"rownum","Monster","SkillType","rid","[rid]","[i32]","rid","Animation","Stats","StatsValues","i32","rid","GrantedEffects","i32","rid","Script1","Script2","Mods","i32","i32","i32","[rid]","i32","i32","[i32]","[rid]","[rid]","[rid]","[rid]","bool"
1842,5338,4,338,[],[],8499,115,"[887,2163,4793,1927]","[5,1,25,-33]",0,8544,[],0,"","","",[],89850,0,58,[],0,0,[],[],[],[],[],""
1843,5340,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1844,5340,3,338,[],[],8459,114,[1927],[-66],0,8567,"[8557,5875]",0,"","","on_event_trigger_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisTriggerCleaveGA1Flipped );\""\r\non_event_right_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisShieldChargeFootstep );\""\r\non_event_left_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisShieldChargeFootstep );\""",[],89744,0,0,[],0,0,[],[],[],[],[],""
1845,5340,4,338,[],[],8499,115,"[887,2163,4793,1927]","[5,1,25,-33]",0,8544,[],0,"","","",[],89850,0,58,[],0,0,[],[],[],[],[],""
1846,5341,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1847,5342,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1848,5342,3,338,[],[],8455,116,[1927],[-50],0,8567,[8618],0,"","","on_event_contact_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisMortar, Ahead );\""",[],90206,0,0,[],0,0,"[2,15]","[173,2513]",[],[],[],""
1849,5378,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1850,5378,1,338,[],[],8453,18,[],[],0,8548,[],0,"","","",[],49768,0,0,[],0,0,[],[],[],[],[],""
1851,5381,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1852,5381,1,338,[],[],8453,18,[],[],0,8548,[],0,"","","",[],49768,0,0,[],0,0,[],[],[],[],[],""
1853,5384,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1854,5384,1,338,[],[],8453,18,[],[],0,8548,[],0,"","","",[],49768,0,0,[],0,0,[],[],[],[],[],""
1855,5477,0,405,[],[],8452,"",[],[],0,"",[],0,"","","",[],3000,0,0,[],0,0,[],[],[],[],[],""
1856,5477,1,405,[],[],8524,1,"[4601,7117,4842,1795]","[1,1,23]",0,468,[],0,"","","",[],90336,0,124,[],0,0,[],[],[],[],[],""
1857,5478,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1858,5478,3,338,[],[],8463,"",[],[],0,5751,[],0,"","","",[],25978,0,0,[],0,0,[],[],[],[],[],""
1859,505,0,339,[],[],8452,"",[],[],0,"",[],0,"","","",[],3000,0,0,[],0,0,[],[],[],[],[],""
1860,505,1,1623,[],[],8453,"","[173,196]","[4,1]",0,"",[],0,"","","",[],5096,0,0,[],80,0,[],[],[],[],[],""
1861,603,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1862,1301,1,2323,[],[],8453,"","[173,482]","[2,50]",0,"",[],0,"","","",[],77062,0,0,[],80,0,[],[],[],[],[],""
1863,1301,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1864,1314,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1865,1314,1,659,[],[],8507,"",[],[],0,"",[],0,"","","",[],3198,0,0,[],0,0,[],[],[],[],[],""
1866,1314,3,1917,[],[],8537,"",[],[],0,"",[],0,"","","",[],90422,0,82,[],-50,0,[],[],[],[],[],""
1867,5494,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[5491],0,0,[],[],[],[],[],""
1868,5494,1,6882,[],[],8516,"",[485],[30],0,"",[],0,"","","",[],71180,0,0,[5491],-40,0,[],[],[],[],[],""
1869,5494,2,6883,[],[],8454,"",[],[],0,"",[],0,"","","",[],40180,0,0,[5491],0,0,[],[],[],[],[],""
1870,5494,3,4674,[],[],8518,"","[485,3380]","[50,100]",0,"",[],0,"","","",[],90550,0,0,[5491],0,0,[],[],[],[],[],""
1871,5494,4,6916,[],[],8513,"",[],[],0,"",[],0,"","","",[],90588,0,0,[5491],0,0,[],[],[],[],[],""
1872,259,2,661,[],[],8508,"",[],[],0,"",[],0,"","","",[],3198,0,0,[],0,0,[],[],[],[],[],""
1873,259,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1874,281,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1875,376,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1876,376,3,338,[],[],8485,114,[1215],[-80],0,8548,[],0,"","","",[],90636,0,93,[],-40,0,[],[],[],[],[],""
1877,3489,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1878,3489,2,664,[],[],8508,"",[],[],0,665,[],0,3495,"","",[],3198,0,0,[],0,0,[],[],[],[],[],""
1879,3748,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1880,3748,2,3607,[],[],8508,"",[],[],0,"",[],0,"","","",[],43542,0,0,[],0,0,[],[],[],[],[],""
1881,3754,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1882,3754,2,3609,[],[],8508,"",[],[],0,"",[],0,"","","",[],43542,0,0,[],0,0,[],[],[],[],[],""
1883,3754,3,4990,[],[],8455,"",[173],[5],0,"",[],0,"","","",[],90686,0,0,[],0,0,[],[],[],[],[],""
1884,3754,4,4576,[],[],8460,"",[434],[80],0,"",[],0,"","","",[],25938,0,0,[],0,0,[],[],[],[],[],""
1885,4135,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1886,4135,1,338,[],[],8516,22,[],[],0,8550,[],0,"","","",[],24532,0,0,[],90,0,[],[],[],[],[],""
1887,4136,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1888,4136,1,338,[],[],8516,22,[],[],0,8550,[],0,"","","",[],24532,0,0,[],90,0,[],[],[],[],[],""
1889,4137,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1890,4137,1,338,[],[],8516,22,[],[],0,8550,[],0,"","","",[],24532,0,0,[],90,0,[],[],[],[],[],""
1891,483,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1892,961,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1893,3515,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1894,3523,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1895,3523,4,338,[],[],8541,114,"[887,2163,4793]","[6,1,25]",0,8544,[8553],0,"","on_start_GeometryTrigger = \""PlayEffect( MetamorphosisSkillSurgeMedium );\""","on_event_contact_for_GeometryTrigger = \""TriggerSkill( MetamorphosisTriggerCircleGS2 );\""",[],14186,0,129,[],0,0,[100],[434],[],[],[3741],""
1896,3530,0,338,[],[],8452,"",[],[],0,"",[],0,"","","",[],3000,0,0,[],0,0,[],[],[],[],[],""
1897,3530,1,3266,[],[],8453,"",[173],[2],0,"",[],0,"","","",[],21650,0,0,[],0,0,[],[],[],[],[],""
1898,3530,2,3266,[],[],8454,"","[1783,2128,2129,2130,2481,1215,6860,1795]","[1,3,1000,60,-30,-10,50,50]",0,"",[],0,"","","",[],90996,0,0,[],13,0,[],[],[],[],[],""
1899,3530,4,3266,[],[],8465,45,"[1927,1783,173,6860]","[-50,1,4,70]",0,3272,"[6963,1569]",0,"","","",[],39076,0,0,[],-70,0,[],[],[],[],[],""
1900,3582,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1901,3582,1,1395,[],[],8453,"",[173],[4],0,"",[],0,"","","",[],91154,0,0,[],0,0,[],[],[],[],[],""
1902,3582,2,1395,[],[],8486,20,[173],[2],0,"",[],0,"","","",[],69200,0,93,[],-80,0,[],[],[],[],[],""
1903,3582,3,1395,[],[],8576,20,[173],[1],0,"",[],0,"","","",[],39936,0,123,[],0,0,[],[],[],[],[],""
1904,3922,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1905,3922,1,338,[1234],[20],6442,"",[],[],0,"",[7381],0,"","","on_event_contact_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisTriggeredThrust, ContactPoint );\""",[],288,0,0,[],30,0,[],[],[],[],[],""
1906,3923,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1907,3923,1,338,[1234],[20],6442,"",[],[],0,"",[7381],0,"","","on_event_contact_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisTriggeredThrust, ContactPoint );\""",[],288,0,0,[],30,0,[],[],[],[],[],""
1908,3924,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1909,3924,1,338,[1234],[20],6442,"",[],[],0,"",[7381],0,"","","on_event_contact_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisTriggeredThrust, ContactPoint );\""",[],288,0,0,[],30,0,[],[],[],[],[],""
1910,4861,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1911,5270,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1912,5380,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1913,5387,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1914,5387,1,2320,[],[],8453,"",[173],[2],0,"",[],0,"","","",[],77062,0,0,[],20,0,[],[],[],[],[],""
1915,5387,2,6847,[],[],8454,"",[],[],0,"",[],0,"","","",[],31588,0,0,[],0,0,[],[],[],[],[],""
1916,5387,3,6229,[],[],8455,"",[],[],0,"",[],0,"","","on_start_EmptyActionSpell = \""AddBuff( hidden_monster, infinity, 0, 1, 0, 0 );\""\r\non_event_start_for_EmptyActionSpell = \""AddBuff( basilisk_gaze, infinity, 4, 15, 5000, 0 );\""\r\non_event_end_for_EmptyActionSpell = \""RemoveBuff( basilisk_gaze );\""\r\non_end_EmptyActionSpell = \""RemoveBuff( hidden_monster );\""",[],91928,0,0,[],0,0,[],[],[],[],[],""
1917,846,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1918,3514,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1919,3522,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1920,3529,0,338,[],[],8452,"",[],[],0,"",[],0,"","","",[],3000,0,0,[],0,0,[],[],[],[],[],""
1921,3529,1,3268,[],[],8453,"",[173],[2],0,"",[],0,"","","",[],21650,0,0,[],0,0,[],[],[],[],[],""
1922,3529,2,3268,[],[],8454,"","[1783,2128,2129,2130,2481,1215,6860,1795]","[1,3,1000,60,-30,-10,50,50]",0,"",[],0,"","","",[],90996,0,0,[],13,0,[],[],[],[],[],""
1923,3529,4,3268,[],[],8465,45,"[1927,1783,173,6860]","[-50,1,4,70]",0,3272,"[6963,1569]",0,"","","",[],39076,0,0,[],-70,0,[],[],[],[],[],""
1924,3605,1,3563,[],[],8453,"",[],[],0,"",[],0,"","","",[],40698,0,0,[],0,0,[],[],[],[],[],""
1925,3605,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1926,3607,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1927,3616,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1928,3623,1,3626,[],[],8453,"",[173],[2],0,"",[],0,"","","",[],40262,0,0,[],0,0,[],[],[],[],[],""
1929,3623,4,3626,[],[],8477,22,"[173,2513]","[0,5]",0,"",[],0,"","","",[],796,0,51,[],0,0,[],[],[],[],[],""
1930,3630,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1931,3630,1,3959,[],[],8453,"",[],[],0,"",[],0,"","","",[],40786,0,0,[],0,0,[],[],[],[],[],""
1932,3630,2,3960,[],[],8454,"",[],[],0,"",[],0,"","","",[],40814,0,0,[],0,0,[],[],[],[],[],""
1933,3637,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1934,3637,1,3932,[],[],8516,"",[],[],0,"",[],0,"","","",[],34302,0,0,[],0,0,[],[],[],[],[],""
1935,3637,2,3994,[],[],8454,"","[173,2513]","[2,5]",0,"",[],0,"","","",[],40596,0,0,[],-20,0,[],[],[],[],[],""
1936,3637,3,338,[],[],8485,"",[1215],[-80],0,8548,[],0,"","","",[],90636,0,93,[],-40,0,[],[],[],[],[],""
1937,3647,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1938,3647,1,2865,[],[],8453,"",[],[],0,"",[],0,"","","",[],92296,0,0,[],0,0,[],[],[],[],[],""
1939,3647,3,3593,[],[],8463,"","[1982,434]","[100,50]",0,"",[],0,"","","",[],71154,0,0,[],0,0,[],[],[],[],[],""
1940,5011,0,338,[],[],8515,"",[3380],[100],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1941,5343,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1942,5343,2,6215,[],[],8517,"",[],[],0,"",[],0,"","","",[],70900,0,0,[],0,0,[],[],[],[],[],""
1943,5343,3,5678,[],[],8468,"",[],[],0,"",[],0,"","","",[],92382,0,0,[],0,0,[],[],[],[],[],""
1944,5343,4,6584,[],[],8500,22,[],[],0,6962,[],0,"","","",[],92408,0,98,[],0,0,[],[],[],[],[],""
1945,5365,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1946,5365,1,5401,[],[],8516,"",[],[],0,"",[],0,"","","",[],288,0,0,[],0,0,[],[],[],[],[],""
1947,604,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1948,1683,0,338,[],[],8515,"",[483],[50],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1949,1683,1,823,[],[],8516,"","[455,483]","[50,50]",0,"",[],0,"","","",[],4750,0,0,[],80,0,[],[],[],[],[],""
1950,1683,4,823,[],[],8519,"",[483],[50],0,831,[],0,"","","",[],15074,0,0,[],0,0,[],[],[],[],[],""
1951,1684,0,338,[],[],8515,"",[483],[50],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1952,1684,1,823,[],[],8516,"","[455,483]","[50,50]",0,"",[],0,"","","",[],4750,0,0,[],80,0,[],[],[],[],[],""
1953,1684,3,3324,[],[],8455,"",[2163],[2],0,"",[],0,"","","",[],92566,0,0,[],0,0,[],[],[],[],[],""
1954,1684,4,823,[],[],8519,"",[483],[50],0,831,[],0,"","","",[],15074,0,0,[],0,0,[],[],[],[],[],""
1955,1685,0,338,[],[],8515,"",[484],[50],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1956,1685,1,3892,[],[],8516,"",[484],[50],0,"",[],0,"","","",[],92654,0,0,[],80,0,[],[],[],[],[],""
1957,1686,0,338,[],[],8515,"",[484],[50],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1958,1686,1,3892,[],[],8516,"",[484],[50],0,"",[],0,"","","",[],92654,0,0,[],80,0,[],[],[],[],[],""
1959,1686,2,5353,[],[],8536,"",[1215],[-30],0,"",[],0,"","","",[],92732,0,136,[],-50,0,[],[],[],[],[],""
1960,1782,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1961,1782,2,1294,[],[],8454,"","[214,70,634]","[2,150,-50]",0,"",[],0,"","","",[],9790,0,0,[],30,0,[],[],[],[],[],""
1962,1782,3,612,[],[],8578,22,[],[],0,"",[1336],0,"","","on_start_EmptyActionSpell = \""Delay( 0.1, { TriggerSkill(MassPower); AddBuff( power_charge, infinity ); } ); Delay( 0.3, { TriggerSkill(MassPower); AddBuff( power_charge, infinity ); } ); Delay( 0.5, { TriggerSkill(MassPower); AddBuff( power_charge, infinity ); } );\""\r\non_event_contact_for_EmptyActionSpell = \""TriggerSkill(Discharge);\""",[],32974,0,0,[],0,0,[],[],[],[],[],""
1963,1784,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1964,1784,2,1294,[],[],8454,"","[214,70,634]","[2,150,-50]",0,"",[],0,"","","",[],9790,0,0,[],30,0,[],[],[],[],[],""
1965,1784,3,612,[],[],8578,22,[],[],0,"",[1336],0,"","","on_start_EmptyActionSpell = \""Delay( 0.1, { TriggerSkill(MassPower); AddBuff( power_charge, infinity ); } ); Delay( 0.3, { TriggerSkill(MassPower); AddBuff( power_charge, infinity ); } ); Delay( 0.5, { TriggerSkill(MassPower); AddBuff( power_charge, infinity ); } );\""\r\non_event_contact_for_EmptyActionSpell = \""TriggerSkill(Discharge);\""",[],32974,0,0,[],0,0,[],[],[],[],[],""
1966,5439,0,338,[],[],8515,"",[484],[30],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1967,5439,1,4562,[],[],8516,"",[],[],0,"",[],0,"","","",[],25938,0,0,[],40,0,[],[],[],[],[],""
1968,5439,3,3904,[],[],8518,"",[],[],0,"",[],0,"","","",[],92908,0,0,[],30,0,[],[],[],[],[],""
1969,5439,4,4563,[],[],8460,"",[484],[30],0,"","[8572,5927]",0,"","","on_event_contact_for_QuakeSlam = \""TriggerSkill( MetamorphGeometryEarthquake );\""",[],92982,0,0,[],0,0,[],[],[],[],[],""
1970,5444,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1971,5444,2,1938,[],[],8454,"","[214,1215]","[2,80]",0,"",[],0,"","","",[],34634,0,0,[],40,0,[],[],[],[],[],""
1972,3771,2,4345,[],[],8523,"","[175,1795]","[-50,40]",0,"",[],0,"","","",[],93102,0,83,[],-40,0,[],[],[],[],[],""
1973,3782,3,4265,[],[],8459,"",[],[],0,"",[],0,"","","",[],93146,0,0,[],0,0,[],[],[],[],[],""
1974,3782,4,2612,[],[],8500,"","[357,434]","[3000,100]",0,2613,[],0,"","","",[],93202,0,98,[],100,0,[],[],[],[],[],""
1975,3790,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1976,3790,1,1619,[],[],8444,"","[1927,5371]","[-60,40]",0,"",[],0,"","on_start_Puncture = \""PlayEffect( MetamorphosisSplatSurge );\""","",[],29212,0,0,[],0,0,[],[],[],[],[3615],""
1977,3793,0,338,[],[],8452,"",[],[],0,"",[],0,"","","",[],3000,0,0,[],0,0,[],[],[],[],[],""
1978,3793,2,3978,[],[],8523,20,"[482,1795]","[50,40]",0,"",[],0,"","","",[],93326,0,83,[],0,0,[],[],[],[],[],""
1979,3796,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1980,3796,4,4327,[],[],8500,"",[357],[6000],0,"",[],0,"","","",[],46836,0,98,[],0,0,[],[],[],[],[],""
1981,5530,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1982,5530,1,6880,[],[],8524,20,[1795],[40],0,"",[],0,"","","",[],93398,0,124,[],-30,0,[],[],[],[],[],""
1983,5530,2,4713,[],[],8454,"",[],[],0,"",[],0,"","","",[],49768,0,0,[],0,0,[],[],[],[],[],""
1984,5530,3,2968,[],[],8455,"",[],[],0,"",[],0,"","","",[],93422,0,0,[],0,0,[],[],[],[],[],""
1985,847,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1986,1248,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1987,1248,1,3897,[],[],8516,"",[],[],0,"",[],0,"","","",[],92654,0,0,[],80,0,[],[],[],[],[],""
1988,1394,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1989,1394,2,4854,[],[],8517,"",[434],[100],0,"",[],0,"","","",[],93466,0,0,[],0,0,[],[],[],[],[],""
1990,1395,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1991,1648,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1992,1648,2,5703,[],[],8517,"",[],[],0,"",[],0,"","","",[],25938,0,0,[],0,0,[],[],[],[],[],""
1993,1649,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1994,1746,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1995,1747,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1996,1747,1,2772,[],[],8496,20,[],[],0,"",[],0,"","","",[],36068,0,57,[],-50,0,[],[],[],[],[],""
1997,3386,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1998,3387,0,3575,[],[],8515,"",[],[],0,"",[],0,"","","",[],93482,0,0,[],0,0,[],[],[],[],[],""
1999,5013,0,338,[],[],8515,"",[3380],[100],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
2000,5013,2,5376,[],[],8486,20,[],[],0,"",[],0,"","","",[],93528,0,93,[],0,0,[],[],[],[],[],""
2001,5395,1,5383,[],[],8453,"",[],[],0,"",[],0,"","","",[],76550,0,0,[],0,0,[],[],[],[],[],""
2002,5395,2,5393,[],[],8454,"",[],[],0,4134,[],0,5400,"","",[],47982,0,0,[],0,0,[],[],[],[],[],""
2003,5400,1,5393,[],[],8453,"",[],[],0,5383,[],0,5395,"","",[],76550,0,0,[],0,0,[],[],[],[],[],""
2004,5400,2,4134,[],[],8454,"",[],[],0,"",[],0,"","","",[],47982,0,0,[],0,0,[],[],[],[],[],""
2005,5404,1,6655,[],[],8453,"",[],[],0,"",[],0,"","","",[],39196,0,0,[],0,0,[],[],[],[],[],""
2006,5404,2,6656,[],[],8454,"",[],[],0,"",[],0,"","","",[],46070,0,0,[],0,0,[],[],[],[],[],""
2007,5404,3,5514,[],[],8455,"",[],[],0,"",[],0,"","","",[],49498,0,0,[],-20,0,[],[],[],[],[],""
2008,5409,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
2009,5409,1,5696,[],[],8453,"",[],[],0,"",[],0,"","","",[],93582,0,0,[],0,0,[],[],[],[],[],""
2010,5409,2,5358,[],[],8508,"",[],[],0,"",[],0,"","","",[],70968,0,0,[],0,0,[],[],[],[],[],""
2011,5409,3,5363,[],[],8518,"",[485],[30],0,"",[],0,"","","",[],70900,0,0,[],-10,0,[],[],[],[],[],""
2012,5409,4,6622,[],[],8460,"",[],[],0,"",[1233],0,"","","",[],71154,0,0,[],0,0,[],[],[],[],[],""
2013,5424,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
2014,5424,1,4679,[],[],8516,"",[],[],0,"",[],0,"","","",[],24532,0,0,[],0,0,[],[],[],[],[],""
2015,5424,3,2644,[],[],8574,"","[214,1215,196]","[2,200,1]",0,"",[],0,"","","",[],93696,0,131,[],0,0,[],[],[],[],[],""
2016,5424,4,4135,[],[],8465,"","[1783,173]","[1,6]",0,"",[5390],0,"","","",[],93776,0,0,[],0,0,[],[],[],[],[],""
2017,5445,2,4478,[],[],8454,"",[6184],[2],0,"",[],0,"","","",[],93844,0,0,[],0,0,[],[],[],[],[],""
2018,5445,0,3517,[],[],8515,"",[],[],0,"",[],0,"","","",[],48128,0,0,[],0,0,[],[],[],[],[],""
2019,1878,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
2020,4871,2,674,[],[],8508,"",[],[],0,"",[],0,"","","",[],3198,0,0,[],0,0,[],[],[],[],[],""
2021,4871,1,177,[],[],8516,"",[1927],[-40],0,"",[],0,"","","",[],93896,0,0,[],-40,0,[],[],[],[],[],""
2022,4871,3,5334,[],[],8537,20,"[6184,1215]","[1,-20]",0,"",[],0,"","","",[],93964,0,82,[],-50,0,[],[],[],[],[],""
2023,4871,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
2024,4871,4,5334,[],[],8460,"",[],[],0,5340,"[5342,5341]",0,"","","",[],94024,0,0,[],0,0,[],[],[],[],[],""
2025,4872,2,674,[],[],8508,"",[],[],0,"",[],0,"","","",[],3198,0,0,[],0,0,[],[],[],[],[],""
2026,4872,1,177,[],[],8516,"",[1927],[-40],0,"",[],0,"","","",[],93896,0,0,[],-40,0,[],[],[],[],[],""
2027,4872,3,5334,[],[],8537,20,"[6184,1215]","[1,-20]",0,"",[],0,"","","",[],93964,0,82,[],-50,0,[],[],[],[],[],""
2028,4872,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
2029,4872,4,5334,[],[],8460,"",[],[],0,5340,"[5342,5341]",0,"","","",[],94024,0,0,[],0,0,[],[],[],[],[],""
2030,4873,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
2031,4873,1,683,[],[],8507,"",[1927],[-30],0,"",[],0,"","","",[],65088,0,0,[],0,0,[],[],[],[],[],""
2032,4873,2,4329,[],[],8537,20,"[2312,10911]","[1,-15]",0,"",[],0,"","","",[],47820,0,82,[],0,0,[],[],[],[],[],""
2033,4873,3,291,[],[],8509,"",[],[],0,"",[],0,"","","",[],94182,0,0,[],0,0,[],[],[],[],[],""
2034,4873,4,4329,[],[],8460,"","[173,357,2513,434]","[12,6000,20,70]",0,"",[],0,"","","",[],75938,0,0,[],0,0,[],[],[],[],[],""
2035,5248,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
2036,5282,1,3571,[],[],8453,"","[214,1215]","[2,300]",0,"",[],0,"","","",[],40698,0,0,[],50,0,[],[],[],[],[],""
