"rownum","Id","PanelImage","HeaderImage","Screenshots","Description","League","bool","ItemImages","HoverImages","TrailerVideoLink","BackgroundImage","bool","bool"
70,"Delirium8","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel7","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading7",[],"Extend your passive skill tree by placing a Cluster Jewel in one of its outermost sockets. With craftable mods that improve the passives generated, add one of 280 new notables, or even graft additional sockets for deeper nesting, Cluster Jewels let you grow your own passive tree.\r\n\r\nDropping from any monster in the Delirium League, these new Jewels are one of the most significant improvements to build customisation since the introduction of Ascendancy Classes.","Delirium","","[""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/NotableSmallClusterJewel"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/CarrionShine"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/BroodRuin"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/OneWithNothing"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/Voices""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/NotableSmallClusterJewel_hover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/CarrionShine_hover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/BroodRuin_hover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/OneWithNothing_hover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/Voices_hover""]","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
71,"Delirium9","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel8","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading8",[],"Conquerors of the Atlas revitalised Path of Exile's endgame experience. In Delirium, we have made Conqueror spawning deterministic, reintroduced Sextant vendor recipes, created extra incentives to reach higher Awakening levels, revamped Vaal side areas in maps, improved the Temple of Atzoatl, and more.","Delirium",1,[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
72,"Delirium10","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel9","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading9","[""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel9/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel9/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel9/Screenshot3""]","Delirium introduces four new Skill Gems and three new Support Gems. In classic Path of Exile style, we've focused on versatile designs that can complement many styles of gameplay.","Delirium","",[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
73,"Delirium11","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel10","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading10",[],"In addition to the new Currency Items, Cluster Jewels, Gems and Endgame Simulacrum Maps, Path of Exile: Delirium introduces many new Divination Cards and Unique Items that provide new character build opportunities.","Delirium",1,"[""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/Perfidy"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/AlgorMortis"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/KitavasTeachings"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/SplitPersonality"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/TheTinkerersTable"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/TheProgenyofLunaris""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/Perfidy_hover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/AlgorMortis_hover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/KitavasTeachings_hover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/SplitPersonality_hover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/TheTinkerersTable_hover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/TheProgenyofLunaris_hover""]","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
74,"Delirium12","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel11","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading11",[],"Alongside Path of Exile: Delirium, we're also launching two sets of Supporter Packs - the Darkseer and Fateweaver Packs. There are two price points available for each and they each contain points, Armour sets and other cosmetic microtransactions!\r\n\r\nPath of Exile: Delirium will launch on March 13 (PST) on PC and the following week on Xbox One and PlayStation 4.","Delirium","",[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground",1,""
75,"Harvest1","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/ThumbnailTrailer","",[],"","Harvest","",[],[],"http://web.poecdn.com/public/videos/HarvestTrailer_En.bk2","","",""
76,"Harvest2","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel1","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading1",[],"In Path of Exile: Harvest, Oshabi is cultivating the Sacred Grove, an ancient garden of mysterious power. Plant seeds that grow into dangerous enemies and craft their Lifeforce onto your items.\n\nOur June expansion contains the Harvest challenge league, powerful new crafting options, eight new skills, two new support gems, revamps of Two-handed Weapons, Warcry skills, Brands, Slams and the Passive Skill Tree itself. We've also introduced 12 new unique items and rebalanced over 50 existing ones.","Harvest","",[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
77,"Harvest3","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel2","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading2","[""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel2/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel2/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel2/Screenshot3""]","<italic>{\""It is beautiful, yes? I believe it to be older than the Eternal Empire. Older than the Vaal? I am not so sure. But it does not look like their work. I like to believe it is a work of my ancestral Azmeri. I was once blessed with a deep connection to the land. It would speak to me, and nourish me. But that connection was severed. And in turn, my tribe severed their connection to me. I was alone. Lost. The land spoke no more... until I found this place.\""} -- Oshabi","Harvest",1,[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
78,"Harvest4","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel3","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading3",[],"Seek out the Seed Cache in every area you explore. Take its seeds through Oshabi's portal to the Sacred Grove. Sow those seeds to grow dangerous and rewarding monsters. While most seeds grow easily, rarer high-tier ones require more careful planning but yield more valuable results.","Harvest","","[""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/PrimalFeastingHorrorGrain"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/VividRazorlegSeed"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/WildBramblebackBulb""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/PrimalSeed"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/VividSeed"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/WildSeed""]","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
79,"Harvest5","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel4","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading4","[""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel4/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel4/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel4/Screenshot3""]","When your monsters are ready for harvest, slaughter them and claim their Lifeforce. Every enemy you fight in the Sacred Grove is one you intentionally planted. Customise your combat around your character's capabilities and what rewards you're seeking.","Harvest",1,[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
80,"Harvest6","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel5","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading5",[],"Every monster you defeat in the Grove grants you a crafting option. Performing one of these powerful crafts consumes Lifeforce from the monsters you just harvested. In order to maximise your Lifeforce and hence crafting potential, you'll want to take on as many monsters as you dare handle. Harvest Crafting provides powerful directed crafting to an extent that Path of Exile has never seen before.","Harvest","","[""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/QuicksilverFlaskItem"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/TributetotheGoddessItem"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/JewelledLegionScarabItem"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/ChaosPoint"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/TheBeachhead""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/QuicksilverFlask"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/TributeToTheGoddess"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/JewelledLegionScarab"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/ChaosPointDigMap"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/TheBeachheadHarbingerMap""]","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
81,"Harvest7","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel6","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading6",[],"As you build the ultimate garden, you'll discover exotic seeds with specific needs that must be met in order to grow. Various pipes, storage tanks and dispersers can help you fertilise your garden with any remaining Lifeforce.","Harvest",1,"[""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/DisperserItem"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/CondenserItem"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/WildLifeforceCollectorItem""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/Disperser"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/Condenser"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/WildLifeforceCollector""]","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
82,"Harvest8","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel7","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading7","[""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel7/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel7/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel7/Screenshot3""]","Oshabi speaks of the legend of three primordial beasts: Ersi, Janaar and Namharim. For those able to cultivate these rare seeds, the immense monsters that emerge can yield Harvest's most valuable rewards.","Harvest","",[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
83,"Harvest9","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel8","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading8",[],"The Passive Skill Tree has received many improvements including better support for some mechanics (for example, Two-handed Weapons or Rage) with both numeric buffs and entirely new clusters of passives. In addition, there are many new notable and keystones passives, which include both fan-favourites from Timeless Jewels and even some entirely new ones.","Harvest",1,[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
84,"Harvest10","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel9","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading9","[""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel9/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel9/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel9/Screenshot3""]","As part of our two-handed weapon improvements, several melee skills have been recategorised as slams. We've introduced a new slam skill and support gem. We've also revamped several existing slams with new visual effects, improved functionality and greater power for two-handed weapon users.","Harvest","",[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
85,"Harvest11","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel10","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading10","[""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel10/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel10/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel10/Screenshot3""]","We've added four new Warcry skills and reworked three existing ones. Warcries now scale based on the power of nearby enemies rather than the quantity. Many Warcries also <italic>{exert} your attacks, increasing their power for a number of attacks.","Harvest",1,[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
86,"Harvest12","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel11","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading11","[""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel11/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel11/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel11/Screenshot3""]","We've introduced three new Brands, one Brand support gem and have revamped existing Brands. We've made Brands a lot more versatile while also reviewing how their core mechanics work. Brand Recall no longer reigns supreme but is a useful tool alongside many new options.","Harvest","",[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
87,"Harvest13","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel12","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading12",[],"We're introducing 12 new unique items and reworking over 50 existing ones.","Harvest",1,"[""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/StormSecret"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/DoryanisPrototype"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/MoonbendersWing"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/WakeofDestruction""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/StormSecretTopazRing"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/DoryanisPrototypeSaintsHauberk"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/MoonbendersWingTomahawk"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Items/WakeOfDestructionMeshBoots""]","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
88,"Harvest14","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel13","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading13",[],"Delirium and Cluster Jewels are being integrated into the core Path of Exile experience! Because Delirium stacks with other league mechanics to make them more difficult and rewarding, the chance of encountering it rises exponentially with the number of other league mechanics in the area.","Harvest","",[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
89,"Harvest15","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel14","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading14",[],"Last week we released a Beta of our new Vulkan renderer which has greatly reduced stuttering and smoothed out game performance. This renderer has made a massive improvement for many players, and we aim to fix issues that other players have encountered before the release of Harvest. This new renderer comes alongside continued graphics technology improvements such as a new Bloom system that is used extensively in the Harvest league.","Harvest",1,[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
90,"Harvest16","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel15","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading15",[],"We're also launching two sets of Supporter Packs alongside Harvest - the Malice and Benevolence Packs. There are two price points available for each and they feature masses of points alongside new Armour Sets and other exclusive cosmetic microtransactions!\n\nPath of Exile: Harvest will launch on June 19 (PDT) on PC, and June 24 on Xbox One and PlayStation 4.","Harvest","",[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground",1,""
91,"Heist1","Art/2DArt/UIImages/Login/LeagueInfo/Heist/ThumbnailTrailer","",[],"","Heist","",[],[],"http://web.poecdn.com/public/videos/HeistTrailer_En.bk2","","",""
92,"Heist2","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel1","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading1",[],"In <italic>{Path of Exile: Heist}, you will hire skilled thieves to help you pull off risky Heists. Steal valuable artifacts to fund and train your crew as you plan towards the execution of a Grand Heist.\n\nOur September expansion contains the Heist challenge league, nine new Skills and Support Gems, revamps of Curses, Steel Skills, and some Spells. Grand Heists offer exclusive new rewards such as Weapon and Body Armour Enchantments, Heist Trinkets, Alternate-quality Gems and Replica Unique Items.","Heist","",[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","",""
93,"Heist3","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel2","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading2","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel2/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel2/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel2/Screenshot3""]","Buy your passage to the Rogue Harbour where you'll consort with a crew of thieves who offer nefarious services. Thirteen Rogues can be contracted to assist you with setting up or executing a Heist by filling roles such as transportation, lockpicking or demolition.","Heist",1,[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","",""
94,"Heist4","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel3","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading3","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel3/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel3/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel3/Screenshot3""]","In order to execute a Heist, you need to know the location of a valuable Artifact and what defences safeguard it. Contracts containing these clues can be found throughout Wraeclast alongside coins with the mysterious emblem of the Rogue Harbour. Travel there and turn in these objects to hire the expertise you need for your Heist.","Heist","","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/RoguesMarker"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/ContractBunker"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/ForgottenSight"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/UrnofFarud"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/IncenseofKeth""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/RoguesMarkerHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/ContractBunkerHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/ForgottenSightHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/UrnofFarudHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/IncenseofKethHover""]","","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","",""
95,"Heist5","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel4","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading4","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel4/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel4/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel4/Screenshot3""]","If you can't escape the Heist, you'll lose everything you stole while infiltrating the facility. You'll need to support your Rogue while they bypass security in order to reach the vault. Be careful with how much commotion you cause, or you may trigger the alarm, causing the facility to be locked down. When this happens, it's time to run.","Heist",1,[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","",""
96,"Heist6","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel5","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading5",[],"Specialised items can be equipped to Rogues to make them stealthier, deadlier, and more adept at their roles. Like any other Path of Exile items, Rogue equipment can be crafted with currency items. A well-equipped crew is a great asset when undertaking the most difficult Heists.","Heist","","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/CriminalsGoldenBrooch"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/SulphurBlowtorch"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/EnforcersStandardSharpeningStoneoftheNewt"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/HonourVisage""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/CriminalsGoldenBroochHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/SulphurBlowtorchHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/EnforcersStandardSharpeningStoneoftheNewtHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/HonourVisageHover""]","","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","",""
97,"Heist7","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel6","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading6","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel6/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel6/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel6/Screenshot3""]","The ultimate goal of a thief is to pull off a Grand Heist. This requires access to Blueprints that show where the vaults are located inside sprawling facilities. These elaborate jobs require masterful planning, purchasing additional intel about the facility, and hiring multiple Rogues to assist with their many obstacles. This planning can result in a huge pay-off as each vault has its own exclusive rewards.","Heist",1,"[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/BlueprintLaboratory"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/FleetBlueprintBunkerofInsulation"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/GhastlyView""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/BlueprintLaboratoryHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/FleetBlueprintBunkerofInsulationHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/GhastlyViewHover""]","","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","",""
98,"Heist8","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel7","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading7",[],"One of the exclusive rewards you'll be able to steal from Grand Heists are Trinkets, which go in their own new equipment slot. These magical items influence what rewards you'll find from future Heists you run. Some of their modifiers affect the items dropped by enemies and chests, while others modify the rewards you could obtain from a Heist's special reward chests.","Heist","","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/ArmageddonCurio"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/FateCurio""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/ArmageddonCurioHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/FateCurioHover""]","","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","",""
99,"Heist9","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel8","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading8",[],"Alternate Quality Gems come from Grand Heist reward rooms and provide even more depth for existing Skill and Support Gems. Each existing Path of Exile gem has up to three Alternate Quality versions which grant different quality bonuses than the original gems. Some simply increase the power of the gem while others entirely change which builds most benefit from the gem.","Heist",1,"[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/ArchmageSupport"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/Cleave"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/HeraldofAgony""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/ArchmageSupportHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/CleaveHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/HeraldofAgonyHover""]","","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","",""
100,"Heist10","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel9","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading9",[],"Other rewards you can claim from Grand Heists are Replica Unique Items and Experimented Base Types. Replica Unique items result from attempts to re-create unique items of legend, where the end product has a few crucial differences. They're often appropriate for entirely different character builds than the original item. Experimented Base Types are a variety of new item base types that have exotic properties that differ from their core-game counterparts.","Heist","","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/ReplicaSorrowoftheDivine"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/ReplicaLioneyesPaws"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/ReplicaAbyssus"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/SkullBarrage""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/ReplicaSorrowoftheDivineHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/ReplicaLioneyesPawsHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/ReplicaAbyssusHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/SkullBarrageHover""]","","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","",""
101,"Heist11","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel10","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading10",[],"The final type of new reward available from Grand Heists is a selection of Weapon and Body Armour enchantments. These enchantments come on unnaturally-powerful rare items and affect the magnitude of modifiers on those items. Some of these enchantments are so powerful that they involve substantial drawbacks.","Heist",1,"[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/DragonWrap"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/HonourMangler""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/DragonWrapHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Items/HonourManglerHover""]","","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","",""
102,"Heist12","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel11","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading11","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel11/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel11/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel11/Screenshot3""]","We've added a new Curse-related skill and a new Curse support gem. The new Doom mechanic causes a self-cast Curse to increase in intensity over time until it expires. This works well in conjunction with the Impending Doom support, which causes an explosion of chaos damage when a linked curse ends. Curses have also received a new look.","Heist","",[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","",""
103,"Heist13","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel12","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading12","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel12/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel12/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel12/Screenshot3""]","We've revamped Steel Skills by introducing Shards, deadly blades fragments that hover near your character. The Call of Steel Skill is available whenever you have a Steel skill equipped. It bursts Shards from the ground, providing more ammunition for Steel projectiles, and causes existing Shards to explode out of impaled enemies. We've also added one new Steel Skill and reworked both Shattering and Lancing Steel.","Heist",1,[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","",""
