"rownum","QuestKey","i32","QuestStates","[i32]","Text","bool","Message","MapPinsKeys1","i32","MapPinsTexts","MapPinsKeys2","[rid]","bool","[i32]","QuestStateCalcuationKey","i32","i32","i32","i32","rid"
758,73,2,[1188],[],"You have cleared the Twilight Strand. Talk to Lilly for a reward.","","Talk to Lilly for your reward",[73],0,"[""Talk to Lilly for your reward""]",[],[],"",[],0,0,155360,0,8,""
759,73,3,[1189],[],"Lilly has asked you to clear the Twilight Strand of undead.","","Clear the Twilight Strand",[74],0,"[""Clear the Twilight Strand""]",[],[],"",[],0,0,155618,0,8,""
760,75,0,[1190],[],"Quest Complete - You have defeated the Puppet Mistress. Tarkleigh has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],0,0,155810,0,0,""
761,75,1,[1191],[],"Quest Complete - You have defeated the Puppet Mistress. Tarkleigh has rewarded you with a Book of Skill. Use it to gain {0}.","","",[],0,[],[],[],"",[],0,0,156066,0,0,""
762,75,2,[1194],[],"You have defeated the Puppet Mistress. Talk to Tarkleigh for a reward.","","Talk to Tarkleigh for your reward",[73],0,"[""Talk to Tarkleigh for your reward""]",[],[],"",[],0,0,156308,0,8,""
763,75,3,[1195],[],"Tarkleigh has asked you to defeat the Puppet Mistress.","","Defeat the Puppet Mistress",[84],0,"[""Defeat the Puppet Mistress""]",[84],[],"",[],0,0,156576,0,8,""
764,75,4,[1196],[],"Tarkleigh has asked you to defeat the Puppet Mistress.","","Defeat the Puppet Mistress",[84],0,"[""Defeat the Puppet Mistress""]",[],[],"",[],0,0,156660,0,8,""
765,76,0,[1197],[],"Quest Complete - You have defeated Abberath. Bestel has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],0,0,156824,0,0,""
766,76,1,[1198],[],"Quest Complete - You have defeated Abberath. Bestel has rewarded you with a Book of Skill. Use it to gain {0}.","","",[],0,[],[],[],"",[],0,0,157052,0,0,""
767,76,2,[1201],[],"You have defeated Abberath. Talk to Bestel for a reward.","","Talk to Bestel for your reward",[73],0,"[""Talk to Bestel for your reward""]",[],[],"",[],0,0,157260,0,8,""
768,76,3,[1202],[],"Bestel has asked you to defeat Abberath, the Cloven God, at Prisoner's Gate.","","Defeat Abberath",[81],0,"[""Defeat Abberath""]",[81],[],"",[],0,0,157528,0,8,""
769,76,4,[1203],[],"Bestel has asked you to defeat Abberath, the Cloven God, at Prisoner's Gate.","","Defeat Abberath",[81],0,"[""Defeat Abberath""]",[],[],"",[],0,0,157590,0,8,""
770,74,0,[1254],[],"Quest Complete - You have returned Bestel's Manuscript to him. He has rewarded you.",1,"",[],0,[],[],[],"",[],0,0,157764,0,8,""
771,74,1,[1253],[],"You have returned Bestel's Manuscript to him. Talk to him for a reward.","","Quest Complete",[73],0,[],[],[],"",[],0,0,157930,0,8,""
772,74,2,[1252],[],"You have returned Bestel's Manuscript to him. Talk to him for a reward.","","",[73],0,"[""Talk to Bestel for your reward""]",[],[],"",[],0,0,158022,0,8,""
773,74,3,[1251],[],"You have found Bestel's Manuscript. Bring it back to him in Lioneye's Watch.","","Deliver the Manuscript to Bestel",[73],0,"[""Deliver the Manuscript to Bestel""]",[],[],"",[],0,0,158342,0,8,""
774,74,4,[1250],[],"Bestel has asked you to find his Manuscript, which he left behind in the wreck of his ship on the Tidal Island.","","Find Bestel's Manuscript",[76],0,"[""Find Bestel's Manuscript at the Tidal Island""]",[],[],"",[],0,0,158740,0,8,""
775,77,0,"[1278,55]",[],"Quest Complete - You have killed Greust and defeated Ralakesh. Eramir has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],0,0,158944,0,0,""
776,77,1,"[1278,57]",[],"Quest Complete - You have killed Greust and defeated Ralakesh. Eramir has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],0,0,158952,0,0,""
777,77,2,"[1278,90]",[],"Quest Complete - You have killed Greust and defeated Ralakesh. Eramir has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],0,0,158960,0,0,""
778,77,3,[1278],[],"Quest Complete - You have killed Greust and defeated Ralakesh. Eramir has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],0,0,158964,0,0,""
779,77,4,"[1277,55]",[],"Quest Complete - You have killed Greust and defeated Ralakesh. Eramir has rewarded you with a Book of Skill. Use it to gain {0}.","","",[],0,[],[],[],"",[],0,0,159232,0,0,""
780,77,5,"[1277,57]",[],"Quest Complete - You have killed Greust and defeated Ralakesh. Eramir has rewarded you with a Book of Skill. Use it to gain {0}.","","",[],0,[],[],[],"",[],0,0,159240,0,0,""
781,77,6,"[1277,90]",[],"Quest Complete - You have killed Greust and defeated Ralakesh. Eramir has rewarded you with a Book of Skill. Use it to gain {0}.","","",[],0,[],[],[],"",[],0,0,159248,0,0,""
782,77,7,[1277],[],"Quest Complete - You have killed Greust and defeated Ralakesh. Eramir has rewarded you with a Book of Skill. Use it to gain {0}.","","",[],0,[],[],[],"",[],0,0,159252,0,0,""
783,77,8,"[1276,55]",[],"You have killed Greust and defeated Ralakesh. Talk to Eramir for a reward.","","",[89],0,[],[],[],"",[],0,0,159428,0,8,""
784,77,9,"[1276,57]",[],"You have killed Greust and defeated Ralakesh. Talk to Eramir for a reward.","","",[89],0,[],[],[],"",[],0,0,159452,0,8,""
785,77,10,"[1276,90]",[],"You have killed Greust and defeated Ralakesh. Talk to Eramir for a reward.","","",[89],0,[],[],[],"",[],0,0,159476,0,8,""
786,77,11,[1276],[],"You have killed Greust and defeated Ralakesh. Talk to Eramir for a reward.","","",[89],0,[],[],[],"",[],0,0,159496,0,8,""
787,77,12,"[1274,55]",[],"You have killed Greust and defeated Ralakesh. Talk to Eramir for a reward.","","Talk to Eramir for your reward",[89],0,"[""Talk to Eramir for your reward""]",[],[],"",[],0,0,159656,0,8,""
788,77,13,"[1274,57]",[],"You have killed Greust and defeated Ralakesh. Talk to Eramir for a reward.","","Talk to Eramir for your reward",[89],0,"[""Talk to Eramir for your reward""]",[],[],"",[],0,0,159752,0,8,""
789,77,14,"[1274,90]",[],"You have killed Greust and defeated Ralakesh. Talk to Eramir for a reward.","","Talk to Eramir for your reward",[89],0,"[""Talk to Eramir for your reward""]",[],[],"",[],0,0,159848,0,8,""
790,77,15,[1274],[],"You have killed Greust and defeated Ralakesh. Talk to Eramir for a reward.","","Talk to Eramir for your reward",[89],0,"[""Talk to Eramir for your reward""]",[],[],"",[],0,0,159940,0,8,""
791,77,16,"[1273,55]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Kill Greust to defeat Ralakesh.","","Kill Greust",[97],0,"[""Kill Greust""]",[97],[],"",[],0,0,160266,0,8,""
792,77,17,"[1273,57]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Kill Greust to defeat Ralakesh.","","Kill Greust",[97],0,"[""Kill Greust""]",[97],[],"",[],0,0,160340,0,8,""
793,77,18,"[1273,90]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Kill Greust to defeat Ralakesh.","","Kill Greust",[97],0,"[""Kill Greust""]",[97],[],"",[],0,0,160414,0,8,""
794,77,19,[1273],[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Kill Greust to defeat Ralakesh.","","Kill Greust",[97],0,"[""Kill Greust""]",[97],[],"",[],0,0,160484,0,8,""
795,77,20,"[1288,55]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Pass through the Den to reach the Forest Encampment and defeat Ralakesh.","","Find the old Forest Encampment",[97],0,"[""Find the old Forest Encampment""]",[],[],"",[],0,0,160952,0,8,""
796,77,21,"[1288,57]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Pass through the Den to reach the Forest Encampment and defeat Ralakesh.","","Find the old Forest Encampment",[97],0,"[""Find the old Forest Encampment""]",[],[],"",[],0,0,161048,0,8,""
797,77,22,"[1288,90]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Pass through the Den to reach the Forest Encampment and defeat Ralakesh.","","Find the old Forest Encampment",[97],0,"[""Find the old Forest Encampment""]",[],[],"",[],0,0,161144,0,8,""
798,77,23,[1288],[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Pass through the Den to reach the Forest Encampment and defeat Ralakesh.","","Find the old Forest Encampment",[97],0,"[""Find the old Forest Encampment""]",[],[],"",[],0,0,161236,0,8,""
799,77,24,"[1261,1289,55]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Use the Obsidian Key to access the Den and from there reach the Forest Encampment and defeat Ralakesh.","","Use the Obsidian Key to access the Den",[94],0,"[""Use the Obsidian Key to access the Den""]",[94],[],"",[],0,0,161816,0,8,""
800,77,25,"[1261,1289,57]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Use the Obsidian Key to access the Den and from there reach the Forest Encampment and defeat Ralakesh.","","Use the Obsidian Key to access the Den",[94],0,"[""Use the Obsidian Key to access the Den""]",[94],[],"",[],0,0,161948,0,8,""
801,77,26,"[1261,1289,90]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Use the Obsidian Key to access the Den and from there reach the Forest Encampment and defeat Ralakesh.","","Use the Obsidian Key to access the Den",[94],0,"[""Use the Obsidian Key to access the Den""]",[94],[],"",[],0,0,162080,0,8,""
802,77,27,"[1261,1289]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Use the Obsidian Key to access the Den and from there reach the Forest Encampment and defeat Ralakesh.","","Use the Obsidian Key to access the Den",[94],0,"[""Use the Obsidian Key to access the Den""]",[94],[],"",[],0,0,162208,0,8,""
803,77,28,"[1261,55]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Take the Obsidian Key from Silk to access the Den and from there reach the Forest Encampment and defeat Ralakesh.","","Take the Obsidian Key from Silk",[94],0,"[""Take the Obsidian Key from Silk to access the Den.""]",[],[],"",[],0,0,162800,0,8,""
804,77,29,"[1261,57]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Take the Obsidian Key from Silk to access the Den and from there reach the Forest Encampment and defeat Ralakesh.","","Take the Obsidian Key from Silk",[94],0,"[""Take the Obsidian Key from Silk to access the Den.""]",[],[],"",[],0,0,162936,0,8,""
805,77,30,"[1261,90]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Take the Obsidian Key from Silk to access the Den and from there reach the Forest Encampment and defeat Ralakesh.","","Take the Obsidian Key from Silk",[94],0,"[""Take the Obsidian Key from Silk to access the Den.""]",[],[],"",[],0,0,163072,0,8,""
806,77,31,[1261],[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Take the Obsidian Key from Silk to access the Den and from there reach the Forest Encampment and defeat Ralakesh.","","Take the Obsidian Key from Silk",[94],0,"[""Take the Obsidian Key from Silk to access the Den.""]",[],[],"",[],0,0,163204,0,8,""
807,77,32,"[1289,55]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Use the Obsidian Key to access the Den and from there reach the Forest Encampment and defeat Ralakesh.","","Use the Obsidian Key to access the Den",[94],0,"[""You can now access the Chamber of Sins Level 2\nUse the Obsidian Key to access the Den""]",[94],[],"",[],0,0,163426,0,8,""
808,77,33,"[1289,57]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Use the Obsidian Key to access the Den and from there reach the Forest Encampment and defeat Ralakesh.","","Use the Obsidian Key to access the Den",[94],0,"[""You can now access the Chamber of Sins Level 2\nUse the Obsidian Key to access the Den""]",[94],[],"",[],0,0,163648,0,8,""
809,77,34,"[1289,90]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Use the Obsidian Key to access the Den and from there reach the Forest Encampment and defeat Ralakesh.","","Use the Obsidian Key to access the Den",[94],0,"[""You can now access the Chamber of Sins Level 2\nUse the Obsidian Key to access the Den""]",[94],[],"",[],0,0,163870,0,8,""
810,77,35,[1289],[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Use the Obsidian Key to access the Den and from there reach the Forest Encampment and defeat Ralakesh.","","Use the Obsidian Key to access the Den",[94],0,"[""You can now access the Chamber of Sins Level 2\nUse the Obsidian Key to access the Den""]",[94],[],"",[],0,0,164088,0,8,""
811,77,36,"[1858,966,55]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Help Silk to access the second level of the Chamber of Sins and the Den.","","Help Silk to access the Chamber of Sins Level 2",[94],0,"[""Help Silk to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],0,0,164664,0,8,""
812,77,37,"[1858,966,57]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Help Silk to access the second level of the Chamber of Sins and the Den.","","Help Silk to access the Chamber of Sins Level 2",[94],0,"[""Help Silk to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],0,0,164834,0,8,""
813,77,38,"[1858,966,90]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Help Silk to access the second level of the Chamber of Sins and the Den.","","Help Silk to access the Chamber of Sins Level 2",[94],0,"[""Help Silk to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],0,0,165004,0,8,""
814,77,39,"[1858,966]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Help Silk to access the second level of the Chamber of Sins and the Den.","","Help Silk to access the Chamber of Sins Level 2",[94],0,"[""Help Silk to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],0,0,165170,0,8,""
815,77,40,"[1858,1287,55]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Defeat Maligaro to lower the barrier to the second level of the Chamber of Sins and the Den.","","Defeat Maligaro to access the Chamber of Sins Level 2",[93],0,"[""Defeat Maligaro to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],0,0,165810,0,8,""
816,77,41,"[1858,1287,57]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Defeat Maligaro to lower the barrier to the second level of the Chamber of Sins and the Den.","","Defeat Maligaro to access the Chamber of Sins Level 2",[93],0,"[""Defeat Maligaro to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],0,0,165992,0,8,""
817,77,42,"[1858,1287,90]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Defeat Maligaro to lower the barrier to the second level of the Chamber of Sins and the Den.","","Defeat Maligaro to access the Chamber of Sins Level 2",[93],0,"[""Defeat Maligaro to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],0,0,166174,0,8,""
818,77,43,"[1858,1287]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Defeat Maligaro to lower the barrier to the second level of the Chamber of Sins and the Den.","","Defeat Maligaro to access the Chamber of Sins Level 2",[93],0,"[""Defeat Maligaro to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],0,0,166352,0,8,""
819,77,44,"[1858,55]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Talk to Sin about how to lower the barrier to the second level of the Chamber of Sins and the Den.","","Talk to Sin",[89],0,"[""Talk to Sin about how to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],0,0,166902,0,8,""
820,77,45,"[1858,57]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Talk to Sin about how to lower the barrier to the second level of the Chamber of Sins and the Den.","","Talk to Sin",[89],0,"[""Talk to Sin about how to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],0,0,167092,0,8,""
821,77,46,"[1858,90]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Talk to Sin about how to lower the barrier to the second level of the Chamber of Sins and the Den.","","Talk to Sin",[89],0,"[""Talk to Sin about how to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],0,0,167282,0,8,""
822,77,47,[1858],[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Talk to Sin about how to lower the barrier to the second level of the Chamber of Sins and the Den.","","Talk to Sin",[89],0,"[""Talk to Sin about how to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],0,0,167468,0,8,""
823,77,48,"[1272,55]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. The path from the Crossroads is blocked, but there is another way through the Den. Find a way to access the Den.","","Find a way into the Den",[94],0,"[""Find a way into the Den""]",[],[],"",[],0,0,167988,0,8,""
824,77,49,"[1272,57]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. The path from the Crossroads is blocked, but there is another way through the Den. Find a way to access the Den.","","Find a way into the Den",[94],0,"[""Find a way into the Den""]",[],[],"",[],0,0,168070,0,8,""
825,77,50,"[1272,90]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. The path from the Crossroads is blocked, but there is another way through the Den. Find a way to access the Den.","","Find a way into the Den",[94],0,"[""Find a way into the Den""]",[],[],"",[],0,0,168152,0,8,""
826,77,51,[1272],[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. The path from the Crossroads is blocked, but there is another way through the Den. Find a way to access the Den.","","Find a way into the Den",[94],0,"[""Find a way into the Den""]",[],[],"",[],0,0,168230,0,8,""
827,77,52,"[1271,55]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. The path from the Crossroads is blocked. Talk to Helena to find another way around.","","Talk to Helena",[89],0,"[""Talk to Helena about how to reach the old Forest Encampment""]",[],[],"",[],0,0,168714,0,8,""
828,77,53,"[1271,57]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. The path from the Crossroads is blocked. Talk to Helena to find another way around.","","Talk to Helena",[89],0,"[""Talk to Helena about how to reach the old Forest Encampment""]",[],[],"",[],0,0,168868,0,8,""
829,77,54,"[1271,90]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. The path from the Crossroads is blocked. Talk to Helena to find another way around.","","Talk to Helena",[89],0,"[""Talk to Helena about how to reach the old Forest Encampment""]",[],[],"",[],0,0,169022,0,8,""
830,77,55,[1271],[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. The path from the Crossroads is blocked. Talk to Helena to find another way around.","","Talk to Helena",[89],0,"[""Talk to Helena about how to reach the old Forest Encampment""]",[],[],"",[],0,0,169172,0,8,""
831,77,56,"[1270,55]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Kill Greust to defeat Ralakesh.","","Travel to the old Forest Encampment and kill Greust",[97],0,"[""Travel to the old Forest Encampment\nKill Greust to defeat Ralakesh""]",[],[],"",[],0,0,169446,0,8,""
832,77,57,"[1270,57]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Kill Greust to defeat Ralakesh.","","Travel to the old Forest Encampment and kill Greust",[97],0,"[""Travel to the old Forest Encampment\nKill Greust to defeat Ralakesh""]",[],[],"",[],0,0,169614,0,8,""
833,77,58,"[1270,90]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Kill Greust to defeat Ralakesh.","","Travel to the old Forest Encampment and kill Greust",[97],0,"[""Travel to the old Forest Encampment\nKill Greust to defeat Ralakesh""]",[],[],"",[],0,0,169782,0,8,""
834,77,59,[1270],[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Kill Greust to defeat Ralakesh.","","Travel to the old Forest Encampment and kill Greust",[97],0,"[""Travel to the old Forest Encampment\nKill Greust to defeat Ralakesh""]",[],[],"",[],0,0,169946,0,8,""
835,78,0,[1279],[],"Quest Complete - You have killed Maligaro. Helena has rewarded you.",1,"",[],0,[],[],[],"",[],0,0,170088,0,8,""
836,78,1,[1280],[],"Quest Complete - You have killed Maligaro. Talk to Helena for your reward.","","Quest Complete",[89],0,[],[],[],"",[],0,0,170260,0,8,""
837,78,2,[1281],[],"You have killed Maligaro and Sin has harvested his soul. Talk to Helena for your reward.","","Talk to Helena for your reward",[89],0,"[""Talk to Helena for your reward""]",[],[],"",[],0,0,170596,0,8,""
838,78,3,[1282],[],"Sin wants you to kill Maligaro, so he can harvest his soul. You have found him in his Sanctum, now you must fight him and kill him.","","Kill Maligaro",[95],0,"[""Kill Maligaro""]",[95],[],"",[],0,0,170966,0,8,""
839,78,4,[1262],[],"Sin wants you to kill Maligaro, so he can harvest his soul. Now that you have entered Maligaro's Sanctum, search for him and kill him.","","Find Maligaro",[95],0,"[""Find Maligaro and kill him""]",[],[],"",[],0,0,171352,0,8,""
840,78,5,[1283],[],"Sin wants you to kill Maligaro, so he can harvest his soul. You have opened the portals using his Map, now enter Maligaro's Sanctum.","","Enter Maligaro's Sanctum",[95],0,"[""Enter Maligaro's Sanctum""]",[],[],"",[],0,0,171752,0,8,""
841,78,6,"[1284,1293]",[],"Sin wants you to kill Maligaro, so he can harvest his soul. Use Maligaro's Map in the Reverie Device in the Chamber of Sins to find him.","","",[94],0,"[""Use Maligaro's Map in his Map Device""]",[94],[],"",[],0,0,172152,0,8,""
842,78,7,"[1284,1260,1285]",[],"Sin wants you to kill Maligaro, so he can harvest his soul. Use Maligaro's Map in the Reverie Device in the Chamber of Sins to find him.","","",[94],0,"[""Use Maligaro's Map in his Map Device""]",[94],[],"",[],0,0,172280,0,8,""
843,78,8,"[1284,1260]",[],"Sin wants you to kill Maligaro, so he can harvest his soul. Now that you have Maligaro's Map, you can search for him in the Chamber of Sins.","","",[94],0,"[""Find Maligaro""]",[94],[],"",[],0,0,172642,0,8,""
844,78,9,"[1284,1285]",[],"Sin wants you to kill Maligaro, so he can harvest his soul. Use Maligaro's Map in the Reverie Device in the Chamber of Sins to find him.","","Use Maligaro's Map in his Map Device",[94],0,"[""Travel to the Chamber of Sins\nUse Maligaro's Map in his Map Device""]",[],[],"",[],0,0,172886,0,8,""
845,78,10,[1284],[],"Sin wants you to kill Maligaro, so he can harvest his soul. Now that you have Maligaro's Map, you can search for him in the Chamber of Sins.","","Find Maligaro in the Chamber of Sins",[94],0,"[""Travel to the Chamber of Sins\nFind Maligaro""]",[],[],"",[],0,0,173080,0,8,""
846,78,11,"[1286,1259]",[],"Sin wants you to kill Maligaro, so he can harvest his soul. Search the Crypt beneath the Fellshrine for Maligaro's Map, which will lead you to him.","","Find Maligaro's Map",[93],0,"[""Find Maligaro's Map""]",[93],[],"",[],0,0,173510,0,8,""
847,78,12,[1286],[],"Sin wants you to kill Maligaro, so he can harvest his soul. Travel to the Crypt beneath the Fellshrine and search for Maligaro's Map, which will lead you to him.","","Find Maligaro's Map in the Fellshrine Crypt",[93],0,"[""Travel to the Fellshrine Crypt\nFind Maligaro's Map""]",[],[],"",[],0,0,174058,0,8,""
848,78,13,[1287],[],"Sin wants you to kill Maligaro, so he can harvest his soul. Talk to Helena about how to reach him.","","Talk to Helena",[89],0,"[""Talk to Helena to find out how to reach Maligaro""]",[],[],"",[],0,0,174386,0,8,""
849,78,14,[1255],[],"Talk to Sin in town about Maligaro.","","",[89],0,"[""Talk to Sin""]",[],[],"",[],0,0,174514,0,8,""
850,79,0,[1288],[],"Quest Complete - You have delivered the Black Venom to Silk and he has rewarded you with the Obsidian Key.",1,"",[],0,[],[],[],"",[],0,0,174734,0,8,""
851,79,1,[1289],[],"Quest Complete - You have delivered the Black Venom to Silk and he has rewarded you with the Obsidian Key.",1,"",[],0,[],[],[],"",[],0,0,174738,0,8,""
852,79,2,[1291],[],"You have delivered the Black Venom to Silk. Talk to him for your reward.","","",[94],0,"[""Talk to Silk for your reward""]",[94],[],"",[],0,0,174990,0,8,""
853,79,3,[1292],[],"You have killed Maligaro and his pet spider, Black Death. Deliver the Black Venom to Silk in the Chamber of Sins for your reward.","","Bring the Black Venom to Silk",[94],0,"[""Bring the Black Venom to Silk""]",[],[],"",[],0,0,175404,0,8,""
854,79,4,[1281],[],"You have killed Maligaro and his pet spider, Black Death. Take the Black Venom and deliver it to Silk.","","Take the Black Venom",[95],0,"[""Take the Black Venom""]",[95],[],"",[],0,0,175744,0,8,""
855,79,5,[1282],[],"Silk has asked to you to retrieve some venom from Black Death, Maligaro's pet spider. Kill it and Maligaro to obtain some Black Venom.","","",[95],0,"[""Kill Maligaro and Black Death""]",[95],[],"",[],0,0,176122,0,8,""
856,79,6,"[1293,1283]",[],"Silk has asked to you to retrieve some venom from Black Death, Maligaro's pet spider. Search for it in Maligaro's Sanctum.","","",[95],0,"[""Search Maligaro's Sanctum for the Black Venom""]",[],[],"",[],0,0,176496,0,8,""
857,79,7,[1293],[],"Silk has asked to you to retrieve some venom from Black Death, Maligaro's pet spider.","","Open Maligaro's Map and find the Black Venom",[95],0,"[""Open Maligaro's Map and find the Black Venom""]",[],[],"",[],0,0,176882,0,8,""
858,80,0,[1374],[],"Quest Complete - You have killed Arakaali and gained access to Act 8.",1,"",[],0,[],[],[],"",[],0,0,177028,0,8,""
859,80,1,[1295],[],"You have killed Arakaali and gained access to Act 8, but failed to save Silk.","","The exit to Act 8 is now open",[102],0,"[""The exit to Act 8 is now open""]",[102],[],"",[],0,0,177354,0,8,""
860,80,2,[1296],[],"Silk is consorting with Arakaali, an ancient Vaal goddess. Kill Arakaali at the heart of the Temple of Decay to save Silk.","","Kill Arakaali",[102],0,"[""Kill Arakaali""]",[102],[],"",[],0,0,177706,0,8,""
861,80,3,[1269],[],"Silk is consorting with Arakaali, an ancient Vaal goddess. Search the Temple of Decay for Silk and save him from Arakaali.","","",[102],0,"[""Find Silk and Arakaali""]",[102],[],"",[],0,0,178046,0,8,""
862,80,4,[1299],[],"Silk is consorting with Arakaali, an ancient Vaal goddess. Enter Arakaali's temple and save him.","","Enter Arakaali's temple and save Silk",[102],0,"[""Enter Arakaali's temple and save Silk""]",[],[],"",[],0,0,178426,0,8,""
863,80,5,[1297],[],"Silk is consorting with Arakaali, an ancient Vaal goddess. Find a way to get past the webs blocking the entrance to Arakaali's temple.","","Find a way into the Arakaali's temple",[102],0,"[""Find a way into the Arakaali's temple""]",[],[],"",[],0,0,178882,0,8,""
864,80,6,"[1298,1288,1351]",[],"Silk is consorting with Arakaali, an ancient Vaal goddess. Find him in Arakaali's temple and save him.","","",[102],0,"[""Find Arakaali's temple and save Silk""]",[],[],"",[],0,0,179202,0,8,""
865,80,7,"[1298,1288]",[],"Silk is consorting with Arakaali, an ancient Vaal goddess. Find him and save him from Arakaali.","","",[102],0,"[""Find Silk and save him from Arakaali""]",[],[],"",[],0,0,179504,0,8,""
866,80,8,"[1298,1351]",[],"Silk is consorting with Arakaali, an ancient Vaal goddess. Find him in Arakaali's temple and save him.","","Find Arakaali's temple and save Silk",[94],0,"[""Find Arakaali's temple and save Silk""]",[],[],"",[],0,0,179688,0,8,""
867,80,9,[1298],[],"Silk is consorting with Arakaali, an ancient Vaal goddess. Find him and save him from Arakaali.","","Find Silk and save him from Arakaali",[94],0,"[""Find Silk and save him from Arakaali""]",[],[],"",[],0,0,179868,0,8,""
868,83,0,[1299],[],"Quest Complete - You have delivered the Fireflies to Yeena. She has burned open the entrance to the Temple of Decay.",1,"",[],0,[],[],[],"",[],0,0,180108,0,8,""
869,83,1,"[1301,1302,1303,1304,1305,1306,1307,1300]",[],"Yeena needs seven Fireflies to burn open the entrance to Arakaali's temple. Deliver them to her at the entrance to the temple.","","Deliver the Fireflies to Yeena at Arakaali's temple",[102],0,"[""Deliver the Fireflies to Yeena at Arakaali's temple""]",[],[],"",[],0,0,180632,0,8,""
870,83,2,"[1301,1302,1303,1304,1305,1306,1307,1308]",[],"Yeena needs seven Fireflies to burn open the entrance to Arakaali's temple. Deliver them to her at the entrance to the temple.","","Deliver the Fireflies to Yeena at Arakaali's temple",[102],0,"[""Deliver the Fireflies to Yeena at Arakaali's temple""]",[],[],"",[],0,0,180794,0,8,""
871,83,3,"[1301,1302,1303,1304,1305,1306,1307]",[],"Bring the Fireflies to Yeena in town.","","Deliver the Fireflies to Yeena",[89],0,"[""Deliver the Fireflies to Yeena""]",[],[],"",[],0,0,181052,0,8,""
