"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","VideoURL1","SkillGemsKey","VideoURL2","CharactersKeys"
188,"KineticBolt&Barrage","Fire a flurry of Kinetic Bolts in quick succession, damaging enemies consistently over a wide area. \n\nYou cannot stop or move while firing. This gem improves damage but be careful not to get stuck taking damage while monsters attack you.","Vous permet de rapidement tirer une salve répétée d'Éclairs cinétiques capable de blesser uniformément les ennemis.\n\nCette Gemme de soutien améliore vos dégâts, mais vous devez rester statique pendant la durée de l'attaque ; prenez donc garde lorsque vous vous en servez dans les situations dangereuses.","Mit dieser Gemme entfesselt ihr eine schnelle Salve aus Kinetischen Geschossen, die nacheinander abgefeuert werden und über eine größere Fläche Schaden an Gegnern verursachen.\n\nSeid vorsichtig, wenn ihr diese Gemme in gefährlichen Situationen einsetzt, da ihr euch beim Abfeuern nicht bewegen und somit bedrohlichen Gegnern nicht ausweichen könnt.","キネティックボルトを連続で浴びせ、広いエリアの敵に一定のダメージを与える。\n\nキネティックボルトを放っている間は動けなくなる。このジェムによって与えるダメージは大幅に増加するが、敵に攻撃されている最中に動けなくならないように注意が必要。","역학 투사체를 한 차례 빠르게 연속 발사하여, 넓은 지역에 있는 적에게 지속적으로 피해를 줍니다.\n\n발사 도중 중단하거나 이동할 수 없습니다. 이 젬을 사용하면 피해를 증가시킬 수 있지만, 공격 중 몬스터에게 피해를 받아 꼼짝없이 당할 수 있으니 유의하십시오.","Dispare uma sequência de Tiros Cinéticos rapidamente, causando dano nos inimigos de forma consistente em uma grade área.\n\nVocê não pode parar ou se mover enquanto disparando. Esta gema melhora o dano, mas cuidado para não ficar travado sofrendo dano enquanto monstros o atacam.","Быстро выпускает очередь Кинетических зарядов, непрерывно нанося урон врагам в большой области. \n\nВы не можете досрочно прекратить очередь или сдвинуться с места при стрельбе. Этот камень увеличивает урон, но будьте осторожны, чтобы не подставить себя под удары нападающих монстров.","Dispara una ráfaga de Descargas cinéticas en rápida sucesión y daña a los enemigos de forma consistente en una amplia área. \n\nNo puedes detenerte ni moverte mientras disparas. Esta gema mejora el daño, pero ten cuidado de no quedarte atrapado recibiendo daño mientras te atacan los monstruos.","กระหน่ำยิงกระสุนของ กระสุนจลนศาสตร์ (Kinetic Bolt) ออกมาเป็นชุดอย่างรวดเร็ว สร้างความเสียหายอย่างต่อเนื่องต่อศัตรูในพื้นที่กว้าง\n\nคุณไม่สามารถหยุดหรือเคลื่อนที่ได้ขณะที่ยิง หินเสริมนี้ช่วยเพิ่มความเสียหาย แต่ควรระวัง อย่าติดอยู่กับที่แล้วรับความเสียหายขณะที่มอนสเตอร์โจมตีคุณอยู่","快速連續發射力量穿引，持續對範圍內敵人造成傷害。\n\n發射時你無法停止或移動。此寶石可以增強傷害，但請小心不要在使用時被怪物攻擊。","http://web.poecdn.com/public/videos/EKineticBolt/EKineticBoltBarrage.bk2",431,"http://down.qq.com/poe/videos/tutorial/TKineticBoltBarrage.bk2",[]
189,"KineticBolt&AddedLightningDamage","Add lightning damage to Kinetic Bolt and its projectiles. A simple but valuable way to quickly kill enemies.","Ajoute des Dégâts de foudre aux projectiles d'Éclair cinétique. Une solution simple et efficace pour éliminer vos ennemis plus rapidement.","Fügt 'Kinetisches Geschoss' und seinen Projektilen Blitzschaden hinzu. Ein einfacher und doch wirkungsvoller Weg, Gegner auf schnelle Weise zu töten.","キネティックボルトとその投射物に雷ダメージを加える。シンプルだが敵を早く倒す貴重な方法である。","역학 투사체와 이 스킬 젬이 발사하는 투사체에 번개 피해를 추가합니다. 단순하지만 적을 신속히 처치하는 데 유용합니다.","Adiciona dano de raio ao Tiro Cinético e seus projéteis. Uma forma simples, porém valiosa, de matar seus inimigos rapidamente.","Добавляет урон от молнии Кинетическому заряду и его снарядам. Простой, но полезный способ быстрого убийства врагов.","Agrega daño de rayo a Descarga cinética y a sus proyectiles. Es una manera sencilla pero útil de matar enemigos.","เสริมความเสียหาย สายฟ้า ให้กับ กระสุนจลนศาสตร์ (Kinetic Bolt) และกระสุนของมัน ดูธรรมดาแต่มีค่ามากต่อการกำจัดศัตรูอย่างรวดเร็ว","附加閃電傷害至力量穿引和他的投射物。簡單且快速擊殺敵人。","http://web.poecdn.com/public/videos/EKineticBolt/EKineticBoltLightning.bk2",41,"http://down.qq.com/poe/videos/tutorial/TKineticBoltLightning.bk2",[1]
190,"KineticBolt&AddedColdDamage","Add cold damage to Kinetic Bolt and its projectiles. A simple but valuable way to quickly kill enemies.","Ajoute des Dégâts de froid aux projectiles d'Éclair cinétique. Une solution simple et efficace pour éliminer vos ennemis plus rapidement.","Fügt 'Kinetisches Geschoss' und seinen Projektilen Kälteschaden hinzu. Ein einfacher und doch wirkungsvoller Weg, Gegner auf schnelle Weise zu töten.","キネティックボルトとその投射物に冷気ダメージを加える。シンプルだが敵を早く倒す貴重な方法である。","역학 투사체와 이 스킬 젬이 발사하는 투사체에 냉기 피해를 추가합니다. 단순하지만 적을 신속히 처치하는 데 유용합니다.","Adiciona dano de gelo ao Tiro Cinético e seus projéteis. Uma forma simples, porém valiosa, de matar seus inimigos rapidamente.","Добавляет урон от холода Кинетическому заряду и его снарядам. Простой, но полезный способ быстрого убийства врагов.","Agrega daño de hielo a Descarga cinética y a sus proyectiles. Es una manera sencilla pero útil de matar enemigos.","เสริมความเสียหาย น้ำแข็ง ของ กระสุนจลนศาสตร์ (Kinetic Bolt) และกระสุนของมัน ดูธรรมดาแต่มีค่ามากต่อการกำจัดศัตรูอย่างรวดเร็ว","附加冰冷傷害至力量穿引和他的投射物。簡單且快速擊殺敵人。","http://web.poecdn.com/public/videos/EKineticBolt/EKineticBoltCold.bk2",38,"http://down.qq.com/poe/videos/tutorial/TKineticBoltCold.bk2",[]
191,"KineticBolt&ElementalDamageWithAttacks","Increase the elemental damage dealt by Kinetic Bolt and its projectiles.\n\nKinetic Bolt doesn't inherently deal elemental damage. Added elemental damage can come from equipment (or from Added Lightning and Added Cold support gems). This gem can increase that damage to more quickly kill enemies.","Augmente les Dégâts élémentaires des projectiles d'Éclair cinétique.\n\nPar défaut, Éclair cinétique n'inflige pas de Dégâts élémentaires. Vous pouvez toutefois lui en donner grâce à des bonus de Dégâts élémentaires supplémentaires provenant d'équipement ou de gemmes (Soutien : Dégâts de froid ou de foudre supplémentaires), afin d'éliminer vos ennemis plus rapidement.","Erhöht den Elementarschaden, der mit 'Kinetisches Geschoss' und seinen Projektilen verursacht wird.\n\nKinetisches Geschoss verursacht standardmäßig keinen Elementarschaden. Dieser kann durch Unterstützungsgemmen (wie Zusätzlicher Blitzschaden oder Zusätzlicher Kälteschaden) hinzugefügt werden. Diese Gemme kann diesen Schaden erhöhen, um Gegner schneller töten zu können.","キネティックボルトとその投射物の元素ダメージを増加させる。\n\nキネティックボルトはもともと元素ダメージを与えないため、追加の元素ダメージは装備品 (または雷追加、冷気追加サポートジェム) から来るものである。このジェムはそれらのダメージを増加し、敵をより早く倒す。","역학 투사체와 이 스킬 젬이 발사하는 투사체의 원소 피해가 증가합니다.\n\n역학 투사체는 그 자체로는 원소 피해를 주지 않습니다. 다만 장비 (또는 번개 피해 추가 보조 및 냉기 피해 추가 보조 젬)에 의해 원소 피해가 추가될 수 있습니다. 이 젬은 피해를 증가시켜 적을 더 신속히 처치할 수 있습니다.","Aumenta o dano elemental causado pelo Tiro Cinético e seus projéteis.\n\nTiro Cinético não causa dano elemental de forma inerente. Dano elemental adicional pode vir do seu equipamento (ou das gemas de Dano de Raio/Gelo Adicional). Esta gema pode aumentar o dano para matar seus inimigos mais facilmente.","Увеличивает урон от стихий Кинетического заряда и его снарядов.\n\nИзначально Кинетический заряд не наносит стихийного урона. Дополнительный урон от стихий может появиться за счёт снаряжения (или камней поддержки Урон молнией и Урон холодом). Данный камень может повысить такой урон, чтобы убивать врагов быстрее.","Aumenta el daño elemental que inflige Descarga cinética y sus proyectiles.\n\nDescarga cinética no inflige daño elemental de forma inherente. El daño elemental agregado puede provenir del equipo (o de gemas de asistencia con rayo agregado y hielo agregado). Esta gema puede aumentar ese daño para que puedas matar enemigos más rápido.","เพิ่มความเสียหาย ธาตุ ของ กระสุนจลนศาสตร์ (Kinetic Bolt) และกระสุนของมัน\nปกติ กระสุนจลนศาสตร์ ไม่สร้างความเสียหาย ธาตุ โดยตรง แต่ความเสียหาย ธาตุ นั้นสามารถถูกเสริมได้จากไอเทมสวมใส่ (หรือจาก หินเสริม Added Lightning และ Added Cold) หินเสริมนี้สามารถเพิ่มความเสียหายส่วนนั้นเพื่อให้สังหารศัตรูได้เร็วขึ้น","增加力量穿引和它投射物的元素傷害。\n\n力量穿引本身不會造成元素傷害。可以透過裝備來附加元素傷害(或附加閃電、冰冷傷害輔助寶石)。此寶石可以增加傷害，更快的擊殺敵人。","http://web.poecdn.com/public/videos/EKineticBolt/EKineticBoltDamage.bk2",113,"http://down.qq.com/poe/videos/tutorial/TKineticBoltDamage.bk2",[]
192,"KineticBolt&Inspiration","Reduce the mana cost of using Kinetic Bolt. Also increase Kinetic Bolt's elemental damage and chance to critically strike with each attack.\nWands can have powerful critical strikes. Critical strikes can deal more damage and inflict elemental ailments on enemies.\nKinetic Bolt doesn't inherently deal elemental damage. Added elemental damage can come from equipment (or from Added Lightning and Added Cold support gems).","Réduit le coût en mana d'Éclair cinétique, et augmente également ses Dégâts élémentaires et ses chances d'infliger un Coup critique.\nLes baguettes sont capables d'administrer de puissants Coups critiques, infligeant ainsi d'importants dégâts et potentiellement des Altérations sur les ennemis.\nPar défaut, Éclair cinétique n'inflige pas de Dégâts élémentaires. Vous pouvez toutefois lui en donner grâce à des bonus de Dégâts élémentaires supplémentaires provenant d'équipement ou de gemmes (Soutien : Dégâts de froid ou de foudre supplémentaires).","Verringert die Manakosten von 'Kinetisches Geschoss' und erhöht den Elementarschaden und die Chance, mit einem Angriff einen kritischen Treffer zu landen.\nZauberstäbe können mächtige kritische Treffer landen, die mehr Schaden verursachen und bei Gegnern elementare Beeinträchtigungen anwenden.\nKinetisches Geschoss verursacht standardmäßig keinen Elementarschaden. Dieser kann durch Ausrüstungsgegenstände oder Unterstützungsgemmen (wie Zusätzlicher Blitzschaden oder Zusätzlicher Kälteschaden) hinzugefügt werden.","キネティックボルトの消費マナが減少する。また、キネティックボルトの元素ダメージとクリティカル率が攻撃ごとに増加する。\nワンドは強力なクリティカルヒットを与える。クリティカルヒットはより多くのダメージを与え、敵の元素状態異常を引き起こす。\nキネティックボルトはもともと元素ダメージを与えないため、追加の元素ダメージは装備品 (または雷追加、冷気追加サポートジェム) から来るものである。","역학 투사체 사용에 필요한 마나 소모가 감소합니다. 또한 역학 투사체의 원소 피해 및 각 공격에 따르는 치명타 확률이 증가합니다.\n마법봉은 강력한 치명타를 줄 수 있습니다. 치명타 명중 시 증폭된 피해를 주고 적에게 원소 상태 이상을 유발합니다.\n역학 투사체는 그 자체로는 원소 피해를 주지 않습니다. 다만 장비 (또는 번개 피해 추가 보조 및 냉기 피해 추가 보조 젬)에 의해 원소 피해가 추가될 수 있습니다.","Reduz o custo de mana para usar Tiro Cinético. Também aumenta o dano elemental do Tiro Cinético e a chance de golpear com um crítico com cada ataque.\nVarinhas podem ter golpes críticos poderosos. Golpes Críticos podem causar mais dano e infligir afecções elementais aos inimigos.\nTiro Cinético não causa dano elemental de forma inerente. Dano elemental adicional pode vir do seu equipamento (ou das gemas de Dano de Raio/Gelo Adicional). Esta gema pode aumentar o dano para matar seus inimigos mais facilmente.","Сокращает расход маны Кинетическим зарядом. Также увеличивает его урон от стихий и шанс критического удара с каждой атакой.\nОт жезлов можно добиться мощных критических ударов. Критические удары способны нанести врагам больше урона и наложить на них стихийные состояния.\nИзначально Кинетический заряд не наносит стихийного урона. Дополнительный урон от стихий может появиться за счёт снаряжения (или камней поддержки Урон молнией и Урон холодом). Данный камень может повысить такой урон, чтобы убивать врагов быстрее.","Reduce el costo de maná de Descarga cinética. También aumenta el daño elemental de Descarga cinética y la probabilidad de infligir un golpe crítico con cada ataque.\nLas varitas pueden tener golpes críticos poderosos. Los golpes críticos pueden infligir más daño y aplicar estados alterados elementales sobre los enemigos.\nDescarga cinética no inflige daño elemental de forma inherente. El daño elemental agregado puede provenir del equipo (o de gemas de asistencia con rayo agregado y hielo agregado).","ลดค่าใช้งานมานา จากการใช้ กระสุนจลนศาสตร์ (Kinetic Bolt) และยังเพิ่มความเสียหาย ธาตุ และโอกาสคริติคอล ของ กระสุนจลนศาสตร์ ในการโจมตีแต่ละครั้ง\nไม้กายสิทธิ์อาจมีคริติคอลอันทรงพลัง และการคริติคอลสามารถสร้างความเสียหายได้เพิ่มขึ้น อีก และยังสร้างสถานะ เจ็บป่วยธาตุ ต่อศัตรูได้อีกด้วย\nกระสุนจลนศาสตร์ ไม่สร้างความเสียหาย ธาตุ โดยตรง แต่ความเสียหาย ธาตุ นั้นสามารถถูกเสริมได้จากไอเทมสวมใส่ (หรือจาก หินเสริม Added Lightning และ Added Cold) ","減少力量穿引的魔力消耗。同時每次攻擊時增加力量穿引的元素傷害和暴擊率。\n法杖有強大的暴擊率。暴擊會造成更多傷害且會對敵人造成元素異常狀態。\n力量穿引本身不會造成元素傷害。可以透過裝備來附加元素傷害(或附加閃電、冰冷傷害輔助寶石)。","http://web.poecdn.com/public/videos/EKineticBolt/EKineticBoltInspiration.bk2",55,"http://down.qq.com/poe/videos/tutorial/TKineticBoltInspiration.bk2",[]
193,"SplittingSteel&Impale","Deal more physical damage and Impale enemies, dealing additional damage to enemies with additional hits. You can impale enemies up to five times to deal even more additional damage to enemies.","Permet d'infliger Davantage de Dégâts physiques et d'Empaler les ennemis. Les ennemis Empalés subissent plus de Dégâts lorsque vous les touchez (jusqu'à 5 fois par Empalement).","Fügt mehr physischen Schaden zu und spießt Gegner auf, was bei Gegnern mit zusätzlichen Treffern noch weiteren Schaden verursacht. Ihr könnt Gegner bis zu fünf Mal aufspießen, um diesen noch mehr Schaden zuzufügen.","物理ダメージを増加し、敵を串刺しにすることで、追加ヒットと追加ダメージを与える。敵を最大で5回串刺しにし、より多くの追加ダメージを敵に与えることができる。","증폭된 물리 피해를 주고 적들을 꿰뚫어, 추가 적중 시에 추가 피해를 줍니다. 적을 최대 다섯 번까지 꿰뚫어 추가 피해를 줄 수 있습니다.","Causa mais dano físico e Empala os inimigos, causando dano adicional aos inimigos com acertos adicionais. Você pode empalar inimigos até cinco vezes para causar ainda mais dano adicional à eles.","Наносите больше физичесого урона и Прокалывайте врагов, нанося противникам дополнительный урон с каждым ударом. Прокол можно наложить до пяти раз, чтобы в результате наносить ещё больше дополнительного урона.","Inflige más daño físico y empala a los enemigos, con lo que inflige daño adicional a los enemigos con golpes adicionales. Puedes empalar a los enemigos hasta cinco veces para infligirles aún más daño adicional.","สร้างความเสียหาย กายภาพ เพิ่มขึ้น และสร้างสถานะ ทิ่มแทง ต่อศัตรู ซึ่งจะทำให้การปะทะเพิ่มเติมสร้างความเสียหายเพิ่มต่อศัตรู คุณสามารถสร้างสถานะ ทิ่มแทง ต่อศัตรูได้สูงสุด 5 ระดับ เพื่อสร้างความเสียหายต่อศัตรูเพิ่มขึ้นไปอีก","造成更多物理傷害並用穿刺敵人，用額外的擊中對敵人造成額外的傷害。你可以穿刺敵人至多 5 次，甚至對敵人造成更多額外傷害。","http://web.poecdn.com/public/videos/ShatteringSteel/ESplitImpale.bk2",407,"http://down.qq.com/poe/videos/tutorial/TSplitBrutal.bk2",[]
194,"SplittingSteel&Brutality","Cause Splitting Steel to deal much more physical damage, but no elemental damage.\n\nTry not to get additional lightning, fire, cold or chaos damage with this support gem, as they will be reduced to zero.","Permet à Acier à fragmentation d'infliger beaucoup plus de Dégâts physiques, mais aucun Dégâts élémentaire.\n\nSi vous vous servez de cette Gemme de soutien, évitez les bonus de Dégâts de feu, de froid, de foudre et de chaos, étant donné que ceux-ci sont réduits à zéro.","Bewirkt, dass 'Zersplitternder Stahl' viel mehr physischen Schaden aber keinen Elementarschaden verursacht.\n\nDiese Unterstützungsgemme solltet ihr nicht mit zusätzlichem Blitz-, Kälte-, Feuer- oder Chaosschaden verbinden, da diese auf Null reduziert werden.","スプリッティングスティールの物理ダメージをより増加するが、元素ダメージは与えない。\n\n追加雷、火、冷気、混沌ダメージをこのジェムと一緒に使用すると、その効果はゼロになるため、避けるべきである。","강철 분할이 주는 물리 피해가 더욱 증폭되지만, 원소 피해는 0이 됩니다.\n\n해당 보조 젬을 사용할 때에는 번개, 화염, 냉기 혹은 카오스 피해가 0이 되므로 해당하는 속성의 추가 피해를 높이지 마십시오.","Faz com que Aço Violento cause muito mais dano físico, mas nenhum dano elemental.\n\nTente não pegar nenhum dano de raio, fogo, gelo ou caos com esta gema de suporte, já que serão reduzidos a zero.","Заставляет Раскалывающую сталь наносить намного больше физического урона, но убирает урон от стихий.\n\nИспользуя этот камень поддержки, старайтесь не добавлять умению урон от молнии, огня, холода или урон хаосом, так как он будет снижен до нуля.","Hace que Acero explosivo inflija mucho más daño físico, pero no daño elemental.\n\nIntenta no obtener daño adicional de rayo, de fuego, de hielo o de caos con esta gema de asistencia, pues este se reducirá a cero.","ทำให้ แท่งเหล็กกระจาย (Splitting Steel) สร้างความเสียหาย กายภาพ เพิ่มขึ้น อีก มาก แต่ไม่สร้างความเสียหาย ธาตุ\n\nหากต้องการใช้หินเสริมนี้ คุณไม่ควรมีม็อดที่เสริมความเสียหาย สายฟ้า, ไฟ, น้ำแข็ง หรือ เคออส เพราะความเสียหายเหล่านั้นจะถูกปรับให้เป็นศูนย์","使鋼之裂化造成更多物理傷害，但不會造成元素傷害。\n\n不要使用額外的閃電、火焰、冰冷或混沌傷害輔助此寶石，因為它們的效果會被降至 0。","http://web.poecdn.com/public/videos/ShatteringSteel/ESplitBrutality.bk2",335,"http://down.qq.com/poe/videos/tutorial/TSplitImpale.bk2",[]
195,"SplittingSteel&LMP","Increase the number of shards that explode from Splitting Steel when you launch a Steel Shard, hitting more enemies.\n\nObtain the Greater Multiple Projectiles Support gem at later levels to throw more projectiles and hit larger groups of enemies.","Augmente la quantité d'Éclats d'acier qui explosent lorsque vous utiliser Acier à fragmentation, vous permettant ainsi de toucher plus d'ennemis.\n\nPlus tard, vous pourrez également vous procurer Soutien : Projectiles multiples majeurs afin couvrir encore plus de terrain.","Erhöht die Anzahl der Splitter, die durch 'Zersplitternder Stahl' explodieren, wenn ihr einen Stahlsplitter abfeuert, wodurch mehr Gegner getroffen werden.\n\nVerwendet 'Unterstützung: Größere Projektilaufteilung' ab einer späteren Stufe, um weitere Projektile abzufeuern und größere Gruppen von Gegnern zu treffen.","スプリティングスティールの破片の数が増加し、より多くの敵にヒットする。\n\nレベルが上がり、投射物追加（大）サポートジェムを手に入れれば、投射物の数が2つに増え、より多数の敵をヒットできるようになる。","강철 조각을 발사할 때 강철 분할로 폭발하는 조각의 수를 증가시켜 더 많은 수의 적을 타격합니다.\n\n더 높은 레벨에서 상위 다중 투사체 보조 젬과 함께 사용하면 더 많은 적에게 추가 투사체를 발사할 수 있습니다.","Aumenta a quantidade de fragmentos que explodem do Aço Violento quando você lança um Fragmento de Aço, acertando mais inimigos.\n\nObtenha a gema de suporte Projéteis Múltiplos Maior em níveis superiores para atirar mais projéteis e acertar grupos maiores de inimigos.","Увеличивает количество взрывающихся осколков Раскалывающей стали, когда вы выпускаете стальной осколок, поражая больше врагов.\n\nДобудьте камень поддержки Много дополнительных снарядов на более поздних уровнях, чтобы выбрасывать больше снарядов поражать большие группы противников.","Aumenta la cantidad de esquirlas que explotan de Acero explosivo cuando lanzas una esquirla de acero, por lo que golpea a más enemigos.\n\nObtén la gema de asistencia de Proyectiles múltiples mayores en niveles altos para lanzar más proyectiles y golpear a grupos más grandes de enemigos.","เพิ่มจำนวนสะเก็ดที่ระเบิดออกมาจาก แท่งเล็กกระจาย (Splitting Steel) ทำให้มันปะทะได้หลายเป้าหมายในคราวเดียว\n\nเมื่อเลเวลสูงขึ้น เปลี่ยนไปใช้ หินเสริม Greater Multiple Projectiles เพื่อโยนกระสุนเพิ่มขึ้นและปะทะศัตรูหลายตัวในพื้นที่ที่ใหญ่กว่าเดิม","當你發射鋼鐵碎片時，增加來自鋼之裂化爆炸的碎片數量，以擊中更多敵人。\n\n在更高等後獲得高階多重投射輔助寶石，可以發射更多投射物並擊中更大群的怪物。","http://web.poecdn.com/public/videos/ShatteringSteel/ESplitMultiProj.bk2",36,"http://down.qq.com/poe/videos/tutorial/TSplitMultiProj.bk2",[4]
196,"SplittingSteel&ViciousProjectiles","Greatly increases the physical damage dealt by Splitting Steel, at the cost of slightly reducing your attack speed. An invaluable way to increase your damage.","Augmente considérablement les Dégâts physiques infligés par Acier à fragmentation. En contrepartie, cette Gemme de soutien réduit votre Vitesse d'attaque — mais cela en vaut la chandelle !","Erhöht den physischen Schaden, der mit 'Zersplitternder Stahl' verursacht wird signifikant und verringert im Gegenzug die Angriffsgeschwindigkeit. Ein wirkungsvoller Weg, den Schaden zu erhöhen.","スプリティングスティールのアタックスピードが減少する代わりに、物理ダメージを大幅に増加する。ダメージを増加させる貴重な方法である。","강철 분할이 주는 물리 피해가 크게 증가하고, 대신 공격 속도가 약간 감소합니다. 피해를 증가시킬 때 효과적인 방법입니다.","Aumenta bastante o dano físico causado pelo Aço Violento, ao custo de reduzir levemente sua velocidade de ataque. Uma forma valiosa de aumentar seu dano.","Резко увеличивает физический урон Раскалывающей стали ценой небольшого снижения скорости атаки. Бесценный способ повысить ваш урон.","Aumenta considerablemente el daño físico infligido por Acero explosivo, a costa de reducir ligeramente tu velocidad de ataque. Es una manera invaluable de aumentar tu daño.","เพิ่มทั้งความเสียหาย กายภาพ ให้กับ แท่งเหล็กกระจาย (Splitting Steel) เป็นอย่างมาก แลกกับการลดความเร็วในการโจมตีเล็กน้อย เป็นวิธีที่ดีในการเพิ่มความเสียหายของคุณ","大幅增加鋼之裂化所造成的物理傷害，副作用為稍微減少你的攻擊速度。一種方便增加你傷害的方法。","http://web.poecdn.com/public/videos/ShatteringSteel/ESplitViciousProj.bk2",231,"http://down.qq.com/poe/videos/tutorial/TSplitViciousProj.bk2",[]
197,"SplittingSteel&Maim","Support Splitting Steel with this gem to Maim enemies, dealing more physical damage and slowing their movement. Slow monsters to make them easier to avoid.","Cette Gemme de soutien vous permet de Mutiler vos ennemis touchés par Acier à fragmentation. Elle vous permet également de leur infliger Davantage de Dégâts physiques et de ralentir leurs déplacements. Les ennemis ralentis sont moins dangereux, car plus faciles à éviter.","Unterstützt 'Zersplitternder Stahl' mit dieser Gemme, um Gegner zu verstümmelt, wodurch diese mehr physischen Schaden erleiden und in ihrer Bewegung verlansamt werden. Langsameren Monstern könnt ihr einfacher ausweichen.","このジェムでスプリティングスティールをサポートすれば、敵を重傷状態にし、より多くの物理ダメージを与え、敵の動きを遅くすることが出来る。動きの遅くなった敵は、避けやすい。","해당 젬의 보조를 받는 강철 분할이 적에게 힘줄 절단을 유발하여 더 많은 물리 피해를 주고 이동 속도를 감소시킵니다. 몬스터의 속도를 늦춰 공격을 더 쉽게 피할 수 있습니다.","Suporte Aço Violento com esta gema para Mutilar inimigos, causando mais dano físico e reduzindo sua velocidade de movimento. Desacelere os monstros para fazer com que sejam mais fáceis de ser evitados.","Усильте Раскалывающую сталь этим камнем, чтобы накладывать на врагов увечье, нанося им больше физического урона и замедляя их передвижение. Замедлите монстров, чтобы от них было легче увернуться.","Asiste a Acero explosivo con esta gema para lisiar a los enemigos, infligirles más daño físico y ralentizar su movimiento. Ralentiza a los monstruos para que te resulte más fácil evitarlos.","เสริม แท่งเหล็กกระจาย (Splitting Steel) ด้วยหินเสริมนี้เพื่อสร้างสถานะ ขาหัก ต่อศัตรู ซึ่งจะสร้างความเสียหาย กายภาพ เพิ่มขึ้นและลดความเร็วในการเคลื่อนที่ของมัน ใช้หินเสริมนี้เพื่อทำให้มอนสเตอร์เชื่องช้าเพื่อให้หลีกเลี่ยงได้ง่ายขึ้น","使用此寶石輔助鋼之裂化來癱瘓敵人，造成更多物理傷害並減少他們的移動速度。緩速怪物使你更容易閃避他們。","http://web.poecdn.com/public/videos/ShatteringSteel/ESplitMaim.bk2",332,"http://down.qq.com/poe/videos/tutorial/TSplitMaim.bk2",[4]
198,"SplittingSteel&SlowerProjectiles","Slow down your bolts of Splitting Steel to make them hit harder for more damage. The projectiles that explode from Call of Steel's shards are also slower, and deal more damage.","Ralentit les projectiles d'Acier à fragmentation, mais leur permet d'infliger Davantage de Dégâts. Les projectiles secondaires d'Acier à fragmentation sont eux aussi plus lents, mais infligent également Davantage de Dégâts.","Verlangsamt die Projektile von 'Zersplitternder Stahl', damit sie härter auftreffen und mehr Schaden verursachen. Die Projektile, die durch 'Ruf des Stahls' explodieren, sind langsamer, aber verursachen mehr Schaden.","スプリティングスティールの投射物のスピードを遅くすることで、より大きなダメージを与える。コールオブスティールの爆発により放たれた投射物のスピードも遅くなり、より大きなダメージを与える。","강철 분할로 발사되는 화살의 속도를 늦춰, 증폭된 피해를 주도록 합니다. 강철의 부름의 조각에서 터져 나오는 투사체들도 느려지고, 증폭된 피해를 줍니다.","Reduza seus tiros de Aço Villento fazendo com que eles batam mais com maior dano. Os projéteis que explodem dos fragmentos do Chamado do Aço são mais lentos, e causam mais dano.","Замедлите снаряды Раскалывающей стали с тем, чтобы они били сильней и наносили больше урона. Разлетающиеся из осколков Зова стали снаряды также замедляются и наносят больше урона.","Ralentiza tus descargas de Acero explosivo para que golpeen más fuerte y hagan más daño. Los proyectiles que explotan de las esquirlas de Convocación de acero también son más lentos e infligen más daño.","ลดความเร็วของแท่งเหล็กจาก แท่งเหล็กกระจาย (Splitting Steel) เพื่อให้ปะทะได้แรงขึ้นและสร้างความเสียหาย เพิ่มขึ้น อีก กระสุนที่ระเบิดจากสะเก็ดของ เรียกเหล็กกล้า (Call of Steel) จะมีความเร็วช้าลงเช่นกัน และสร้างความเสียหาย เพิ่มขึ้น อีก","減速你鋼之裂化的投射物，使它們擊中時有更多的傷害。來自鋼之呼喚碎片爆炸的投射物速度減慢，並造成更多傷害。","http://web.poecdn.com/public/videos/ShatteringSteel/ESplitSlowerProj.bk2",210,"http://down.qq.com/poe/videos/tutorial/TSplitSlowerProj.bk2",[]
199,"ShieldCrush&Multistrike","Greatly increase Shield Crush's attack speed by performing three attacks in quick succession.","Augmente considérablement la Vitesse d'attaque de Bouclier écrasant en attaquant trois fois d'affilée.","Erhöht die Angriffsgeschwindigkeit von 'Zermalmender Schild' stark, indem drei Angriffe in kurzer Abfolge ausgeführt werden.","攻撃を三回連続して繰り返すことでシールドクラッシュのアタックスピードを大幅に増加させる。","빠르게 3번 연달아 공격하여 방패 타쇄의 공격 속도를 크게 증가시킵니다.","Aumenta bastante a velocidade de ataque da gema Esmagar Escudos executando três ataques em sequência.","Значительно повышает скорость атаки Сокрушающего щита, выполняя три атаки подряд.","Aumenta mucho la velocidad de ataque de Barrido con escudo y ejecuta tres ataques en rápida sucesión.","เพิ่มความเร็วในการโจมตีของ โล่บดขยี้ (Shield Crush) เป็นอย่างมาก และทำให้คุณทำการโจมตีต่อเนื่องติดกันอย่างรวดเร็ว 3 ครั้ง","透過三次連續迅速的攻擊來大幅增加重盾粉碎的攻擊速度。","http://web.poecdn.com/public/videos/ShieldCrush/ShieldCrushMultistrike.bk2",188,"http://down.qq.com/poe/videos/tutorial/ShieldCrushMultistrike.bk2",[]
