"rownum","Id","PositionX","PositionY","i32","i32","[rid]","string","string","[rid]","i32","[rid]","[rid]","rid","string","i32","i32","string","rid","rid","string","bool","i32","i32","bool"
198,"G3_compass_label",-16843010,-16843010,-16843010,-16843010,[],"Utzaal region, draft #2\r\nsites of interest & fatality\r\nfor the future records of\r\nThe Reliquarians, 1619ic","","[3640,3641]",3,[72],[3765],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinLabel",13,"","","",4205,4205,""
199,"G3_compassexposed_label",-16843010,-16843010,-16843010,-16843010,[],"Utzaal region, draft #3\r\nsites of treasure & death\r\nfor the future records of\r\nThe Reliquarians, 1619ic","",[3765],3,[72],[3814],3765,"",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinLabel",13,"","","",4205,4205,""
200,"G3_compasspast_label",-16843010,-16843010,-16843010,-16843010,[],"Historical Utzaal, draft #1\r\nest. year 400bic\r\npreliminary survey\r\nfor the future records of\r\nThe Reliquarians, 1619ic","",[3814],3,[72],[],3814,"",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinLabel",13,"","","",4205,4205,""
201,"G3_MapBorder_Surface",-16843010,-16843010,-16843010,-16843010,[],"","","[3640,3641]",3,[72],[],"","WorldMapBorder",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinBorderSurface",3,"","","",4205,4205,""
202,"G3_MapBorder_Underground",-16843010,-16843010,-16843010,-16843010,[],"","","[3640,3641]",3,[72],[],"","WorldMapBorder",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinBorderUnderground",4,"","","",4205,4205,""
203,"G3_lake",-16843010,-16843010,-16843010,-16843010,[],"","",[3641],3,[72],[3765],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinSunkenRuins","","","","",4205,4205,""
204,"G3_1",126,0,0,0,[126],"Sandswept Marsh","When the city flooded, the peasants fled quickly... but not quickly enough.",[1523],3,[3640],[3814],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinSandsweptMarsh","","","","",4205,4205,""
205,"G3_1_Rootdredge",126,0,0,0,[],"Rootdredge","...the trees move, you best move as well...",[3640],3,[72],"[4824,3814]","","WorldMapContentBoss",204,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinRootdredge",0,"","","",4205,4205,""
206,"G3_1_RootdredgeSlain",126,0,0,0,[],"Rootdredge","...chopped down a tree, did you?...",[4824],3,[72],[3814],"","WorldMapContentBossDone",204,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinRootdredge",0,"","","",4205,4205,1
207,"G3_1_Corpse",126,0,0,0,[],"Hanging Tree","...we give sites like that plenty of space...",[3640],3,[72],"[4834,3814]","","WorldMapContentBag",204,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinSandsweptCorpse",0,"","","",4205,4205,""
208,"G3_1_CorpseDone",126,0,0,0,[],"Hanging Tree","...never can be sure what killed them...",[4834],3,[72],[3814],"","WorldMapContentBagDone",204,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinSandsweptCorpse",0,"","","",4205,4205,1
209,"G3_1_CannibalDuo",126,0,0,0,[],"Orok Campfire","...don't be stirring up the Orok!...",[3640],3,[72],"[4872,3814]","","WorldMapContentRareMonster",204,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinSandsweptCannibalDuo",0,"","","",4205,4205,""
210,"G3_1_CannibalDuoDone",126,0,0,0,[],"Orok Campfire","...the Orok will be out for blood now...",[4872],3,[72],[3814],"","WorldMapContentRareMonsterDone",204,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinSandsweptCannibalDuo",0,"","","",4205,4205,1
211,"G3_town",125,0,0,0,[125],"Ziggurat Encampment","Only a small crown of stone remains above the deadly waters.",[3640],3,[3641],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinTown","",3765,"The last untouched Vaal ruin holds treasures and secrets for the ages.","",4205,4205,""
212,"G3_2_1",127,0,0,0,[127],"Infested Barrens","Armies march unseen under the earth.","[3750,3756]",3,[3642],[3814],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinJungleOutskirts","","","","",4205,4205,""
213,"G3_2_1_ExplorerCamp",127,0,0,0,[],"Troubled Camp","...haven't seen them in weeks...",[3642],3,[72],[3814],"","WorldMapContentCamp",212,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinOutskirtsCamp",0,"","","",4205,4205,""
214,"G3_2_1_ExplorerCampDone",127,0,0,0,[],"Troubled Camp","...well, now their silence makes sense...",[],3,[72],[3814],"","WorldMapContentCampDone",212,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinOutskirtsCamp",0,"","","",4205,4205,1
215,"G3_2_2",-16843010,-16843010,-16843010,-16843010,[128],"The Matlan Waterways","When the end came, the nobles flooded the city to spite would-be looters.",[3642],3,[3804],[3814],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinWaterways","","","","",4205,4205,""
216,"G3_2_2_WaterwaysMechanism",-16843010,-16843010,-16843010,-16843010,[],"Canal Lever","...surely, where the canals can be controlled?...",[3804],3,[72],"[3765,3814]","","Act3/WorldMapContentWaterwaysMechanism",215,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinWatewaysMechanism",0,"","","",4205,4205,""
217,"G3_2_2_WaterwaysMechanismDone",-16843010,-16843010,-16843010,-16843010,[],"Canal Lever","...finally, Utzaal is revealed!...",[3765],3,[72],[3814],"","Act3/WorldMapContentWaterwaysMechanismDone",215,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinWatewaysMechanism",0,"","","",4205,4205,1
218,"G3_2_2_Shaman",-16843010,-16843010,-16843010,-16843010,[],"Narag's Hut","...that one has a foul tongue indeed...",[3804],3,[72],"[4897,3814]","","WorldMapContentRareMonster",215,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinWaterwaysShaman",0,"","","",4205,4205,""
219,"G3_2_2_ShamanDone",-16843010,-16843010,-16843010,-16843010,[],"Narag's Hut","...she won't be speaking much now...",[4897],3,[72],[3814],"","WorldMapContentRareMonsterDone",215,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinWaterwaysShaman",0,"","","",4205,4205,1
220,"G3_3",129,0,0,0,[129],"Jungle Ruins","The bountiful fields of the city of Utzaal are now nothing but tangled jungle.",[3641],3,[3750],[3814],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinJungleDepths","","","","",4205,4205,""
221,"G3_3_Silverback",129,0,0,0,[],"Mighty Silverfist","...you see the silver fur, you run...",[3750],3,[72],"[4682,3814]","","WorldMapContentBossUpgrade",220,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinSilverback",0,"","","",4205,4205,""
222,"G3_3_SilverbackSlain",129,0,0,0,[],"Mighty Silverfist","...a shame that such a majestic creature is gone...\r\n\r\n<white>{Grants Two Weapon Set Passive Skill Points}",[4682],3,[72],[3814],"","WorldMapContentBossUpgradeDone",220,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinSilverback",0,"","","",4205,4205,1
223,"G3_3_FinalRest",129,0,0,0,[],"Jungle Grave","...we're all still keeping an eye out for Servi's son...",[3750],3,[72],"[4869,3814]","","Act3/WorldMapContentFinalRest",220,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinFinalRest",0,"","","",4205,4205,""
224,"G3_3_FinalRestDone",129,0,0,0,[],"Jungle Grave","...oh... that's terrible...",[4869],3,[72],[3814],"","Act3/WorldMapContentFinalRestDone",220,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinFinalRest",0,"","","",4205,4205,1
225,"G3_3_ExplorerCamp",129,0,0,0,[],"Troubled Camp","...a few days overdue reporting back...",[3750],3,[72],[3814],"","WorldMapContentCamp",220,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinDepthsCamp",0,"","","",4205,4205,""
226,"G3_3_ExplorerCampDone",129,0,0,0,[],"Troubled Camp","...I'll add it to my log...",[],3,[72],[3814],"","WorldMapContentCampDone",220,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinDepthsCamp",0,"","","",4205,4205,1
227,"G3_4",-16843010,-16843010,-16843010,-16843010,[130],"The Venom Crypts","The remains of the Temple of Yaomac play host to countless deadly guests.",[3750],3,[3751],[3814],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinSnakePit","","","",1,4205,4205,""
228,"G3_4_Underground",-16843010,-16843010,-16843010,-16843010,[],"The Venom Crypts","The remains of the Temple of Yaomac play host to countless deadly guests.",[3750],3,[72],[3814],"","",227,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinSnakePitUnderground","","","","",4205,4205,""
229,"G3_4_DenOfSnakes",-16843010,-16843010,-16843010,-16843010,[],"Orok Poison","...the source of their vile rot...",[3751],3,[72],"[3814,3783,4686,4688]","","Act3/WorldMapContentSnakePotion",227,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinDenOfSnakes",0,"","","",4205,4205,""
230,"G3_4_DenOfSnakesDoneReward1",-16843010,-16843010,-16843010,-16843010,[],"Venom Draught","...bolstered against the coming darkness...\r\n\r\n<white>{25% increased Stun Threshold}",[3783],3,[72],[3814],"","Act3/WorldMapContentSnakePotionRed",227,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinDenOfSnakes",0,"","","",4205,4205,1
231,"G3_4_DenOfSnakesDoneReward2",-16843010,-16843010,-16843010,-16843010,[],"Venom Draught","...bolstered against the coming darkness...\r\n\r\n<white>{30% increased Elemental Ailment Threshold}",[4686],3,[72],[3814],"","Act3/WorldMapContentSnakePotionGreen",227,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinDenOfSnakes",0,"","","",4205,4205,1
232,"G3_4_DenOfSnakesDoneReward3",-16843010,-16843010,-16843010,-16843010,[],"Venom Draught","...bolstered against the coming darkness...\r\n\r\n<white>{25% increased Mana Regeneration Rate}",[4688],3,[72],[3814],"","Act3/WorldMapContentSnakePotionBlue",227,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinDenOfSnakes",0,"","","",4205,4205,1
233,"G3_5",131,0,0,0,[131],"Chimeral Wetlands","Beautiful, but deadly.","[3642,3756]",3,[3752],[3814],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinChimeralWetlands","","","","",4205,4205,""
234,"G3_5_Xyclucian",131,0,0,0,[],"Xyclucian, the Chimera","...hunting grounds of an ancient beast...",[3752],3,[72],"[4826,3814]","","WorldMapContentBossUltimatum",233,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinXyclucian",0,"","","",4205,4205,""
235,"G3_5_XyclucianSlain",131,0,0,0,[],"Xyclucian, the Chimera","...truly, the beast is felled? Impressive...",[4826],3,[72],[3814],"","WorldMapContentBossUltimatumDone",233,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinXyclucian",0,"","","",4205,4205,1
236,"G3_5_DeadExplorerCamp",131,0,0,0,[],"Ravaged Camp","...been gone over a month...",[3752],3,[72],"[4894,3814]","","WorldMapContentChest",233,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinWetlandsCamp",0,"","","",4205,4205,""
237,"G3_5_DeadExplorerCampDone",131,0,0,0,[],"Ravaged Camp","...as I expected. I'll add it to the log...",[4894],3,[72],[3814],"","WorldMapContentChestDone",233,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinWetlandsCamp",0,"","","",4205,4205,1
238,"G3_5_FlowerGauntlet",131,0,0,0,[],"Toxic Bloom","...a place of gasping death...",[3752],3,[72],"[4899,3814]","","WorldMapContentRareMonster",233,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinWetlandsFlowerGauntlet",0,"","","",4205,4205,""
239,"G3_5_FlowerGauntletDone",131,0,0,0,[],"Toxic Bloom","...a lucky fool. Lucky, but foolish...",[4899],3,[72],[3814],"","WorldMapContentRareMonsterDone",233,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinWetlandsFlowerGauntlet",0,"","","",4205,4205,1
240,"G3_6_1",132,0,0,0,[132],"Jiquani's Machinarium","Stone men move in the dark.","[3752,3756]",3,[3753],[3814],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinMachinarium","","","",1,4205,4205,""
241,"G3_6_1_Underground",132,0,0,0,[],"Jiquani's Machinarium","Stone men move in the dark.","[3752,3756]",3,[72],[3814],"","",240,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinMachinariumUnderground","","","","",4205,4205,""
242,"G3_6_1_Blackjaw",132,0,0,0,[],"Blackjaw, the Remnant","...locked away, undying, for his horrific crimes...",[3753],3,[72],"[3785,3814]","","WorldMapContentBossUpgrade",240,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinBlackjaw",0,"","","",4205,4205,""
243,"G3_6_1_BlackjawSlain",132,0,0,0,[],"Blackjaw, the Remnant","...should have left him to suffer...\r\n\r\n<white>{+10% to Fire Resistance}",[3785],3,[72],[3814],"","WorldMapContentBossUpgradeDone",240,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinBlackjaw",0,"","","",4205,4205,1
244,"G3_6_2",133,0,0,0,[133],"Jiquani's Sanctum","Remnants of Vaal artifice still remain.",[3753],3,[3754],[3814],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinLowerMachinarium","","","",1,4205,4205,""
245,"G3_6_2_Underground",133,0,0,0,[],"Jiquani's Sanctum","Remnants of Vaal artifice still remain.",[3753],3,[72],[3814],"","",244,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinLowerMachinariumUnderground","","","","",4205,4205,""
246,"G3_6_2_Zicoatl",133,0,0,0,[],"Zicoatl, Warden of the Core","...well that's ominous...",[3754],3,[72],"[4827,3814]","","WorldMapContentBoss",244,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinZicoatl",0,"","","",4205,4205,""
247,"G3_6_2_ZicoatlSlain",133,0,0,0,[],"Zicoatl, Warden of the Core","...of course it was a trap!...",[4827],3,[72],[3814],"","WorldMapContentBossDone",244,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinZicoatl",0,"","","",4205,4205,1
248,"G3_6_2_CorruptionAltar",133,0,0,0,[],"Paquate's Mechanism","...it's risky, but it's up to you...",[3754],3,[72],"[4873,3814]","","Act3/WorldMapContentCorruptionAltar",244,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinCorruptionAltar",0,"","","",4205,4205,""
249,"G3_6_2_CorruptionAltarDone",133,0,0,0,[],"Paquate's Mechanism","...was it worth it?...",[4873],3,[72],[3814],"","Act3/WorldMapContentCorruptionAltarDone",244,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinCorruptionAltar",0,"","","",4205,4205,1
250,"G3_7",134,0,0,0,[134],"The Azak Bog","Death wears a mostly human face.",[3642],3,[3767],[3814],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinCarverBog","","","","",4205,4205,""
251,"G3_7_Ignagduk",134,0,0,0,[],"Ignagduk, the Bog Witch","...beware the blood moon...",[3767],3,[72],"[4755,3814]","","WorldMapContentBossUpgrade",250,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinIgnagduk",0,"","","",4205,4205,""
252,"G3_7_IgnagdukSlain",134,0,0,0,[],"Ignagduk, the Bog Witch","...a good day in the jungle, indeed.\r\n\r\n<white>{+30 to Spirit}",[4755],3,[72],[3814],"","WorldMapContentBossUpgradeDone",250,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinIgnagduk",0,"","","",4205,4205,1
253,"G3_8",135,0,0,0,[135],"The Drowned City","A waterlogged corpse, ripe for the looting.",[3765],3,[3768],[3814],3765,"",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinSunkenRuins","","","","",4205,4205,""
254,"G3_9",136,0,0,0,[136],"The Molten Vault","The cult of Kamasa exploited Utzaal long before its fall.",[3768],3,[3769],[3814],3765,"",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinTreasureVault","","","",1,4205,4205,""
255,"G3_9_Underground",136,0,0,0,[],"The Molten Vault","The cult of Kamasa exploited Utzaal long before its fall.",[3768],3,[72],[3814],3765,"",254,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinTreasureVaultUnderground","","","","",4205,4205,""
256,"G3_9_Mektul",136,0,0,0,[],"Mektul, the Forgemaster","...infernal hammering at all hours, echoing from the city!...",[3769],3,[72],"[4677,3814]",3765,"WorldMapContentBoss",254,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinMektul",0,"","","",4205,4205,""
257,"G3_9_MektulSlain",136,0,0,0,[],"Mektul, the Forgemaster","...finally, silence!...",[4677],3,[72],[3814],3765,"WorldMapContentBossDone",254,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinMektul",0,"","","",4205,4205,1
258,"G3_10",138,0,0,0,"[137,138]","The Temple of Chaos","Here, all challengers were welcome, regardless of wealth or station.",[3752],3,[3770],[3814],3770,"",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinTempleOfTheChaosGod","",2691,"Not a god, but something else entirely... whatever they may be, Chaos is now watching you.",1,4205,4205,""
259,"G3_10_Underground",138,0,0,0,[],"The Temple of Chaos","Here, all challengers were welcome, regardless of wealth or station.",[3752],3,[72],[3814],3770,"",258,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinTempleOfTheChaosGodUnderground","",2691,"Not a god, but something else entirely... whatever they may be, Chaos is now watching you.","",4205,4205,""
260,"G3_10_Ultimatum",138,0,0,0,[],"Ultimatum","...where peasants and High Priests alike could face the challenge...",[3770],3,[72],"[2691,3814]",3770,"Act3/WorldMapContentUltimatum",258,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinUltimatum",0,"","","",4205,4205,""
261,"G3_10_UltimatumDone",138,0,0,0,[],"Ultimatum","...impressive work!...",[2691],3,[72],[3814],3770,"Act3/WorldMapContentUltimatumDone",258,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinUltimatum",0,"","","",4205,4205,1
262,"G3_11",139,0,0,0,[139],"Apex of Filth","An ascent into squalor and madness.",[3768],3,[3806],[3814],3765,"",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinAggorat","","","","",4205,4205,""
263,"G3_11_TheQueenOfFilth",139,0,0,0,[],"The Queen of Filth","...I can't even describe what I saw through the spyglass...",[3806],3,[72],"[4644,3814]",3765,"WorldMapContentBoss",262,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinTheQueenOfFilth",0,"","","",4205,4205,""
264,"G3_11_TheQueenOfFilthSlain",139,0,0,0,[],"The Queen of Filth","...let's never speak of this again...",[4644],3,[72],[3814],3765,"WorldMapContentBossDone",262,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinTheQueenOfFilth",0,"","","",4205,4205,1
265,"G3_11_CroneVendor",139,0,0,0,[],"Bubbling Respite","...a kind one? I'll believe it when I see it...",[3806],3,[72],[3814],3765,"WorldMapContentCamp",262,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinAggoratCrone",0,"","","",4205,4205,""
266,"G3_11_CroneVendorDone",139,0,0,0,[],"Bubbling Respite","...oh, well that was nice...",[],3,[72],[3814],3765,"WorldMapContentCampDone",262,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinAggoratCrone",0,"","","",4205,4205,1
267,"G3_12",-16843010,-16843010,-16843010,-16843010,[140],"Temple of Kopec","Wet stone emanates an inner warmth. Vaal brilliance lies in wait.",[3765],3,[3807],[3814],3765,"",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinZiggurat","",3807,"The last great work of the Vaal Empire still shines within.",1,4205,4205,""
268,"G3_12_Underground",-16843010,-16843010,-16843010,-16843010,[],"Temple of Kopec","Wet stone emanates an inner warmth. Vaal brilliance lies in wait.",[3765],3,[72],[3814],3765,"",267,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinZigguratUnderground","",3807,"The last great work of the Vaal Empire still shines within.","",4205,4205,""
269,"G3_12_Ketzuli",-16843010,-16843010,-16843010,-16843010,[],"Ketzuli, High Priest of the Sun","...been trapped down there, all this time...",[3807],3,[72],"[4830,3814]",3765,"WorldMapContentBoss",267,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinKetzuli",0,"","","",4205,4205,""
270,"G3_12_KetzuliSlain",-16843010,-16843010,-16843010,-16843010,[],"Ketzuli, High Priest of the Sun","...good to put them out of their endless misery...",[4830],3,[72],[3814],3765,"WorldMapContentBossDone",267,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinKetzuli",0,"","","",4205,4205,1
271,"G3_14",142,0,0,0,[142],"Utzaal","A doomed city, full of life, unaware what is soon to come.",[3641],3,[3809],[],3814,"",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinSunkenRuins","","","","",4205,4205,""
272,"G3_14_ViperNapuatzi",142,0,0,0,[],"Viper Napuatzi","...the Fang of the Vaal will defend her city...",[3809],3,[72],[4829],3814,"WorldMapContentBoss",271,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinViperNapauatzi",0,"","","",4205,4205,""
273,"G3_14_ViperNapuatziSlain",142,0,0,0,[],"Viper Napuatzi","...disappeared just before her death...",[4829],3,[72],[],3814,"WorldMapContentBossDone",271,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinViperNapauatzi",0,"","","",4205,4205,1
274,"G3_14_TrialmasterStatue",142,0,0,0,[],"Chaos Statue","...for those willing to face a challenge...",[3809],3,[72],[2164],3814,"WorldMapContentQuestionMark",271,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinChaosStatue",0,"","","",4205,4205,""
275,"G3_14_TrialmasterStatueDone",142,0,0,0,[],"Chaos Statue","...you know where to find it...",[2164],3,[72],[],3814,"WorldMapContentQuestionMarkDone",271,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinChaosStatue",0,"","","",4205,4205,1
276,"G3_14_Artefacts",142,0,0,0,[],"Peculiar Fortunes","...golden idols abound...",[3809],3,[72],"[4875,4877,4879]",3814,"WorldMapContentBag",271,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinUtzaalArtefacts",0,"","","",4205,4205,""
277,"G3_14_ArtefactsDone",142,0,0,0,[],"Peculiar Fortunes","...just imagine Oswald's glee...","[4875,4877,4879]",3,[72],[],3814,"WorldMapContentBagDone",271,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinUtzaalArtefacts",0,"","","",4205,4205,1
278,"G3_16",144,0,0,0,[144],"Aggorat","The Vaal warred not with their neighbours, but with death itself.",[3809],3,[3811],[],3814,"",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinAggorat","","","","",4205,4205,""
279,"G3_16_BloodSacrifice",144,0,0,0,[],"Blood Sacrifice","...a simple stab to a heart is all it took...",[3811],3,[72],[4831],3814,"WorldMapContentQuestionMarkUpgrade",278,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinBloodSacrifice",0,"","","",4205,4205,""
280,"G3_16_BloodSacrificeDone",144,0,0,0,[],"Blood Sacrifice","...a strange power, but worth the price?...\r\n\r\n<white>{Grants Two Weapon Set Passive Skill Points}",[4831],3,[72],[],3814,"WorldMapContentQuestionMarkUpgradeDone",278,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinBloodSacrifice",0,"","","",4205,4205,1
281,"G3_16_GoliathSoulCore",144,0,0,0,[],"Undamaged Core","...the use of Soul Cores, to be expected...",[72],3,[72],[4919],3814,"WorldMapContentBag",278,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinAggoratSoulCore",0,"","","",4205,4205,""
282,"G3_16_GoliathSoulCoreDone",144,0,0,0,[],"Undamaged Core","...what is the morality of using these Cores, anyway?...",[72],3,[72],[],3814,"WorldMapContentBagDone",278,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinAggoratSoulCore",0,"","","",4205,4205,1
283,"G3_16_Artefacts",144,0,0,0,[],"Peculiar Fortunes","...they're all about to die, what use do they have for it?...",[3811],3,[72],"[4972,4974,4976]",3814,"WorldMapContentBag",278,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinAggoratArtefacts",0,"","","",4205,4205,""
284,"G3_16_ArtefactsDone",144,0,0,0,[],"Peculiar Fortunes","...that fetched a pretty penny...","[4972,4974,4976]",3,[72],[],3814,"WorldMapContentBagDone",278,0,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinAggoratArtefacts",0,"","","",4205,4205,1
285,"G3_17",145,0,0,0,[145],"The Black Chambers","They scream not in agony, but in ecstasy.",[3811],3,[3812],[],3814,"",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinDoryanisSanctum","",3907,"Despite all his inventions and all his horrors, there was nothing Doryani could do to stop the end.",1,4205,4205,""
286,"G3_17_Underground",145,0,0,0,[],"The Black Chambers","They scream not in agony, but in ecstasy.",[3811],3,[72],[],3814,"",285,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinDoryanisSanctumUnderground","",3907,"Despite all his inventions and all his horrors, there was nothing Doryani could do to stop the end.","",4205,4205,""
287,"G3_17_Doryani",145,0,0,0,[],"Doryani, Royal Thaumaturge","...he would likely be in the depths of the Black Chambers...",[3812],3,[72],[3907],3814,"WorldMapContentActBoss",285,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinDoryani",0,"","","",4205,4205,""
288,"G3_17_DoryaniSlain",145,0,0,0,[],"Doryani, Royal Thaumaturge","...we'll see how this strange new alliance goes...",[3907],3,[72],[],3814,"WorldMapContentActBossDone",285,0,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinDoryani",0,"","","",4205,4205,1
289,"C_G1_compassrose",-16843010,-16843010,-16843010,-16843010,[],"","",[2889],7,[72],[],"","Act1/compassrose",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinCompass",5,"","","",4205,4205,""
290,"C_G1_compasstextbox_visual",-16843010,-16843010,-16843010,-16843010,[],"","",[2889],7,[72],[],"","Act1/MapBorderEzomyte",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinLabel",6,"","","",4205,4205,""
291,"C_G1_compass_label",-16843010,-16843010,-16843010,-16843010,[],"Ogham county, est. 1132ic\r\nin the province of Phaaryl\r\nSurvey commissioned by\r\nthe office of Count Geonor\r\nin the year of 1619ic","",[2889],7,[72],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinLabel",7,"","","",4205,4205,""
292,"C_G1_MapBorder_Surface",-16843010,-16843010,-16843010,-16843010,[],"","",[2889],7,[72],[],"","WorldMapBorder",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinBorderSurface",3,"","","",4205,4205,""
293,"C_G1_MapBorder_Underground",-16843010,-16843010,-16843010,-16843010,[],"","",[2889],7,[72],[],"","WorldMapBorder",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinBorderUnderground",4,"","","",4205,4205,""
