"rownum","Id","bool_8","IsLocal","IsWeaponLocal","Semantic","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool_23","IsVirtual","MainHandAlias_Stat","OffHandAlias_Stat","bool_41","HASH32","BelongsActiveSkills","Category","bool_78","bool_79","IsScalable","ContextFlags","DotFlag","WeaponHandCheck"
12911,"map_zana_more_possible_options","","","",4,"","","","","","","","","","","","","","",1,2632035525,[],"","","",1,[],[],""
12912,"map_zana_options_quality_+","","","",3,"","","","","","","","","","","","","","",1,2563599453,[],"","","",1,[],[],""
12913,"map_zana_maps_have_shaper_and_elder_packs","","","",4,"","","","","","","","","","","","","","",1,1397520966,[],"","","",1,[],[],""
12914,"atlas_daily_master_missions_+","","","",3,"","","","","","","","","","","","","","",1,2791088258,[],"","","",1,[],[],""
12915,"sextant_uses_+","","","",3,"","","","","","","","","","","","","","",1,2848093866,[],"","","",1,[],[],""
12916,"map_awakener_boss_awakened_support_drop_chance_+%","","","",1,"","","","","","","","","","","","","","",1,2409077678,[],"","","",1,[],[],""
12917,"map_awakener_boss_unique_watchstone_drop_chance_+%","","","",1,"","","","","","","","","","","","","","",1,2241472759,[],"","","",1,[],[],""
12918,"map_awakener_boss_unique_watchstone_drop_with_uses_+","","","",3,"","","","","","","","","","","","","","",1,2171930546,[],"","","",1,[],[],""
12919,"map_synthesis_map_monsters_drop_synthesised_item_chance_permyriad","","","",7,"","","","","","","","","","","","","","",1,2712645015,[],"","","",1,[],[],""
12920,"map_synthesis_map_boss_drop_well_rolled_fractured_item_chance_%","","","",1,"","","","","","","","","","","","","","",1,1697266163,[],"","","",1,[],[],""
12921,"map_synthesis_map_boss_synthesis_uniques_drop_with_3_implicits","","","",4,"","","","","","","","","","","","","","",1,1756573524,[],"","","",1,[],[],""
12922,"map_elder_boss_watchers_eye_drop_additional_chance_%","","","",1,"","","","","","","","","","","","","","",1,3212021063,[],"","","",1,[],[],""
12923,"map_shaper_boss_drops_X_additional_shaper_items","","","",3,"","","","","","","","","","","","","","",1,923323176,[],"","","",1,[],[],""
12924,"map_elder_shaper_and_guardians_influenced_item_drop_chance_%","","","",1,"","","","","","","","","","","","","","",1,3609063032,[],"","","",1,[],[],""
12925,"map_shaper_elder_guardians_assisted_by_allies","","","",4,"","","","","","","","","","","","","","",1,752017208,[],"","","",1,[],[],""
12926,"map_rogue_markers_stack_size_+%","","","",1,"","","","","","","","","","","","","","",1,3284865886,[],"","","",1,[],[],""
12927,"map_breach_monsters_life_+%","","","",1,"","","","","","","","","","","","","","",1,3466004949,[],"","","",1,[],[],""
12928,"map_breach_monsters_damage_+%","","","",1,"","","","","","","","","","","","","","",1,1116227735,[],"","","",1,[],[],""
12929,"map_harbinger_lucky_shard_drops","","","",4,"","","","","","","","","","","","","","",1,36458617,[],"","","",1,[],[],""
12930,"map_abyss_depths_chance_+%","","","",1,"","","","","","","","","","","","","","",1,3131550102,[],"","","",1,[],[],""
12931,"map_red_beast_from_deep_chance_+%","","","",1,"","","","","","","","","","","","","","",1,447373149,[],"","","",1,[],[],""
12932,"map_red_beast_from_wilds_chance_+%","","","",1,"","","","","","","","","","","","","","",1,2253046137,[],"","","",1,[],[],""
12933,"map_red_beast_from_caverns_chance_+%","","","",1,"","","","","","","","","","","","","","",1,1294936615,[],"","","",1,[],[],""
12934,"map_red_beast_from_sands_chance_+%","","","",1,"","","","","","","","","","","","","","",1,191297132,[],"","","",1,[],[],""
12935,"map_blight_chest_duplicate_rewards_chance_permillage","","","",6,"","","","","","","","","","","","","","",1,875187986,[],"","","",1,[],[],""
12936,"map_metamorph_sample_has_reward_chance_+%","","","",1,"","","","","","","","","","","","","","",1,1806289793,[],"","","",1,[],[],""
12937,"map_delirium_additional_reward_type_chance_%","","","",1,"","","","","","","","","","","","","","",1,1031973722,[],"","","",1,[],[],""
12938,"map_delirium_splinter_stack_size_+%","","","",1,"","","","","","","","","","","","","","",1,662433846,[],"","","",1,[],[],""
12939,"map_harvest_seeds_%_chance_to_grant_additional_craft_permillage","","","",6,"","","","","","","","","","","","","","",1,4027631609,[],"","","",1,[],[],""
12940,"map_harvest_higher_tier_seed_rolls_+","","","",3,"","","","","","","","","","","","","","",1,2184666363,[],"","","",1,[],[],""
12941,"map_harvest_boss_encounter_chance_+%","","","",1,"","","","","","","","","","","","","","",1,2241848516,[],"","","",1,[],[],""
12942,"map_heist_smugglers_cache_encounter_chance_+%","","","",1,"","","","","","","","","","","","","","",1,3694498349,[],"","","",1,[],[],""
12943,"map_heist_blueprint_drop_chance_+%","","","",1,"","","","","","","","","","","","","","",1,1999900596,[],"","","",1,[],[],""
12944,"map_twinned_boss_chance_%","","","",1,"","","","","","","","","","","","","","",1,4222195262,[],"","","",1,[],[],""
12945,"map_ground_consecrated","","","",4,"","","","","","","","","","","","","","",1,3244407735,[],"","","",1,[],[],""
12946,"map_atlas_exile_influence_extra_progress_chance_%","","","",1,"","","","","","","","","","","","","","",1,2615618155,[],"","","",1,[],[],""
12947,"map_vaal_side_area_chance_%","","","",1,"","","","","","","","","","","","","","",1,315248141,[],"","","",1,[],[],""
12948,"map_ascendancy_trial_chance_%","","","",1,"","","","","","","","","","","","","","",1,1094221790,[],"","","",1,[],[],""
12949,"map_contains_abyss_depths","","","",4,"","","","","","","","","","","","","","",1,3758720032,[],"","","",1,[],[],""
12950,"main_hand_bleeding_effect_+%","","","",3,"","","","","","","","","","","","","","",1,405960077,[],"","","",1,[],[],1
12951,"off_hand_bleeding_effect_+%","","","",3,"","","","","","","","","","","","","","",1,1768879006,[],"","","",1,[],[],1
12952,"local_bleeding_effect_+%","",1,1,3,"","","","","","","","","","","","",12950,12951,1,1445933066,[],"","","",1,[],[],""
12953,"vampiric_icon_bleeding_effect_+%_final","","","",1,"","","","","","","","","","","","","","",1,1961532042,[],"","","",1,[],[],""
12954,"impales_cannot_be_called","","","",4,"","","","","","","","","","","","","","",1,157751526,[],"","","",1,[],[],""
12955,"map_delirium_monster_cluster_jewel_drop_chance_permyriad","","","",7,"","","","","","","","","","","","","","",1,1026214337,[],"","","",1,[],[],""
12956,"map_gain_additional_einhar_mission_%_chance_on_map_completion","","","",1,"","","","","","","","","","","","","","",1,2119580979,[],"","","",1,[],[],""
12957,"map_favour_from_einhar_missions_+%","","","",1,"","","","","","","","","","","","","","",1,2636693826,[],"","","",1,[],[],""
12958,"map_gain_additional_alva_mission_%_chance_on_map_completion","","","",1,"","","","","","","","","","","","","","",1,3277116085,[],"","","",1,[],[],""
12959,"map_favour_from_alva_missions_+%","","","",1,"","","","","","","","","","","","","","",1,1745869734,[],"","","",1,[],[],""
12960,"map_favour_from_jun_missions_+%","","","",1,"","","","","","","","","","","","","","",1,392941164,[],"","","",1,[],[],""
12961,"map_yellow_beasts_replaced_by_red_beasts_chance_%","","","",1,"","","","","","","","","","","","","","",1,1335527061,[],"","","",1,[],[],""
12962,"map_red_beasts_spawned_in_pairs_chance_%","","","",1,"","","","","","","","","","","","","","",1,3909007578,[],"","","",1,[],[],""
12963,"map_abyss_lich_chance_+%","","","",1,"","","","","","","","","","","","","","",1,3392677508,[],"","","",1,[],[],""
12964,"map_abyss_depths_level_+","","","",3,"","","","","","","","","","","","","","",1,3353707555,[],"","","",1,[],[],""
12965,"map_abyss_depths_number_of_magic_packs_+%","","","",1,"","","","","","","","","","","","","","",1,2553935708,[],"","","",1,[],[],""
12966,"map_abyss_depths_number_of_rare_packs_+%","","","",1,"","","","","","","","","","","","","","",1,2049797661,[],"","","",1,[],[],""
12967,"map_abyss_depths_pack_size_+%","","","",1,"","","","","","","","","","","","","","",1,588018956,[],"","","",1,[],[],""
12968,"map_abyss_depths_item_quantity_+%","","","",1,"","","","","","","","","","","","","","",1,1486327097,[],"","","",1,[],[],""
12969,"map_affliction_encounter_additional_chance_%","","","",1,"","","","","","","","","","","","","","",1,3807587098,[],"","","",1,[],[],""
12970,"map_additional_invasion_bosses_minimum","","","",3,"","","","","","","","","","","","","","",1,2402860225,[],"","","",1,[],[],""
12971,"map_additional_invasion_bosses_maximum","","","",3,"","","","","","","","","","","","","","",1,2823116416,[],"","","",1,[],[],""
12972,"map_invasion_boss_drop_X_additional_special_items","","","",3,"","","","","","","","","","","","","","",1,133988419,[],"","","",1,[],[],""
12973,"map_invasion_boss_item_quantity_+%","","","",1,"","","","","","","","","","","","","","",1,3507389016,[],"","","",1,[],[],""
12974,"map_incursion_kill_time_doubled","","","",4,"","","","","","","","","","","","","","",1,837533539,[],"","","",1,[],[],""
12975,"map_incursion_architects_drop_X_incursion_rares","","","",3,"","","","","","","","","","","","","","",1,198022018,[],"","","",1,[],[],""
12976,"map_incursion_item_quantity_+%","","","",1,"","","","","","","","","","","","","","",1,1499128816,[],"","","",1,[],[],""
12977,"map_blight_encounter_additional_chance_%","","","",1,"","","","","","","","","","","","","","",1,4020591860,[],"","","",1,[],[],""
12978,"map_blight_up_to_X_additional_bosses","","","",3,"","","","","","","","","","","","","","",1,465661008,[],"","","",1,[],[],""
12979,"map_blight_higher_lane_amounts_more_likely","","","",4,"","","","","","","","","","","","","","",1,372166098,[],"","","",1,[],[],""
12980,"map_blight_lane_additional_chest_chance_%","","","",1,"","","","","","","","","","","","","","",1,3144388549,[],"","","",1,[],[],""
12981,"map_metamorphosis_encounter_additional_chance_%","","","",1,"","","","","","","","","","","","","","",1,3231752730,[],"","","",1,[],[],""
12982,"map_metamorphosis_additional_sample_rewards","","","",3,"","","","","","","","","","","","","","",1,1702809380,[],"","","",1,[],[],""
12983,"map_X_harbingers_are_packs","","","",3,"","","","","","","","","","","","","","",1,3546067104,[],"","","",1,[],[],""
12984,"map_betrayal_item_rewards_drop_X_additional_times","","","",3,"","","","","","","","","","","","","","",1,2281683360,[],"","","",1,[],[],""
12985,"map_betrayal_item_reward_option_chance_+%","","","",1,"","","","","","","","","","","","","","",1,2302211886,[],"","","",1,[],[],""
12986,"map_rare_monsters_spawn_X_beyond_portals","","","",3,"","","","","","","","","","","","","","",1,2726994696,[],"","","",1,[],[],""
12987,"map_unique_monsters_spawn_X_beyond_portals","","","",3,"","","","","","","","","","","","","","",1,1660010897,[],"","","",1,[],[],""
12988,"map_rare_beyond_monsters_drop_X_additional_currency_items","","","",3,"","","","","","","","","","","","","","",1,3032060459,[],"","","",1,[],[],""
12989,"map_essence_corruption_cannot_release_monsters","","","",4,"","","","","","","","","","","","","","",1,1691242927,[],"","","",1,[],[],""
12990,"map_essences_are_1_tier_higher_chance_%","","","",1,"","","","","","","","","","","","","","",1,774657287,[],"","","",1,[],[],""
12991,"map_harvest_crafting_outcomes_X_lucky_rolls","","","",3,"","","","","","","","","","","","","","",1,2186785460,[],"","","",1,[],[],""
12992,"map_incursion_chance_for_additional_upgrade_when_killing_non_resident_architect_%","","","",1,"","","","","","","","","","","","","","",1,2667385666,[],"","","",1,[],[],""
12993,"map_incursion_add_room_tier_to_other_architects_room_when_killing_architect","","","",4,"","","","","","","","","","","","","","",1,2328627340,[],"","","",1,[],[],""
12994,"map_incursion_all_monster_packs_magic_and_allow_rare_chance_%","","","",4,"","","","","","","","","","","","","","",1,3031449505,[],"","","",1,[],[],""
12995,"map_all_monster_packs_magic_and_allow_rare_chance_%","","","",4,"","","","","","","","","","","","","","",1,2300580304,[],"","","",1,[],[],""
12996,"map_rare_beasts_more_common","","","",4,"","","","","","","","","","","","","","",1,1099401441,[],"","","",1,[],[],""
12997,"map_einhar_damage_vs_unique_monsters_+%_final","","","",1,"","","","","","","","","","","","","","",1,2342091210,[],"","","",1,[],[],""
12998,"map_einhar_cooldown_recovery_rate_+%","","","",1,"","","","","","","","","","","","","","",1,4178644386,[],"","","",1,[],[],""
12999,"map_additional_red_beast_chance_%","","","",1,"","","","","","","","","","","","","","",1,3792029930,[],"","","",1,[],[],""
13000,"map_breach_X_additional_rare_monsters","","","",1,"","","","","","","","","","","","","","",1,1765007606,[],"","","",1,[],[],""
13001,"map_breach_number_of_magic_packs_+%","","","",1,"","","","","","","","","","","","","","",1,1920061967,[],"","","",1,[],[],""
13002,"map_blighted_maps_drop_with_random_anoints","","","",4,"","","","","","","","","","","","","","",1,3769967429,[],"","","",1,[],[],""
13003,"map_smugglers_cache_additional_chance_%","","","",1,"","","","","","","","","","","","","","",1,1865325146,[],"","","",1,[],[],""
13004,"map_blueprint_drop_revealed_chance_%","","","",1,"","","","","","","","","","","","","","",1,2436953880,[],"","","",1,[],[],""
13005,"map_maps_drop_with_affliction_enchantments_chance_%","","","",1,"","","","","","","","","","","","","","",1,1513715154,[],"","","",1,[],[],""
13006,"map_affliction_encounter_reward_types_+","","","",3,"","","","","","","","","","","","","","",1,1605104790,[],"","","",1,[],[],""
13007,"map_affliction_encounter_boss_chance_+%","","","",1,"","","","","","","","","","","","","","",1,3318320813,[],"","","",1,[],[],""
13008,"map_metamorphosis_max_power_level_+%","","","",1,"","","","","","","","","","","","","","",1,728871287,[],"","","",1,[],[],""
13009,"map_metamorphosis_boss_life_+%","","","",1,"","","","","","","","","","","","","","",1,2322561491,[],"","","",1,[],[],""
13010,"map_metamorphosis_boss_damage_+%","","","",1,"","","","","","","","","","","","","","",1,3423620123,[],"","","",1,[],[],""
13011,"map_metamorphosis_double_reward_chance_%","","","",1,"","","","","","","","","","","","","","",1,1085298849,[],"","","",1,[],[],""
13012,"map_perandus_coin_stack_size_+%","","","",1,"","","","","","","","","","","","","","",1,1599909156,[],"","","",1,[],[],""
13013,"map_harbinger_additional_currency_shard_stack_tenths_to_drop","","","",3,"","","","","","","","","","","","","","",1,1408268444,[],"","","",1,[],[],""
13014,"map_blight_encounter_blighted_map_reward_chance_+%","","","",1,"","","","","","","","","","","","","","",1,143183879,[],"","","",1,[],[],""
13015,"map_blight_encounter_blight_reward_type_chance_+%","","","",1,"","","","","","","","","","","","","","",1,589470305,[],"","","",1,[],[],""
13016,"map_cadiro_offer_X_lucky_rolls","","","",3,"","","","","","","","","","","","","","",1,1760586759,[],"","","",1,[],[],""
13017,"map_cadiro_offer_cost_+%","","","",1,"","","","","","","","","","","","","","",1,1554150052,[],"","","",1,[],[],""
13018,"map_delirium_boss_unique_cluster_jewel_drop_chance_+%","","","",1,"","","","","","","","","","","","","","",1,851091798,[],"","","",1,[],[],""
13019,"map_delirium_boss_splinter_amount_+%","","","",1,"","","","","","","","","","","","","","",1,984583211,[],"","","",1,[],[],""
13020,"map_smugglers_cache_blueprint_drop_chance_+%","","","",1,"","","","","","","","","","","","","","",1,2283997529,[],"","","",1,[],[],""
13021,"map_abyss_chance_%_per_+2%_pack_size","","","",1,"","","","","","","","","","","","","","",1,764616359,[],"","","",1,[],[],""
13022,"map_breach_time_passed_+%","","","",1,"","","","","","","","","","","","","","",1,3138018938,[],"","","",1,[],[],""
13023,"map_einhar_ignores_mission_completion","","","",4,"","","","","","","","","","","","","","",1,2454974748,[],"","","",1,[],[],""
13024,"map_betrayal_secondary_target_amount_+%","","","",1,"","","","","","","","","","","","","","",1,1518450252,[],"","","",1,[],[],""
13025,"map_blight_encounter_pack_size_+%_final","","","",1,"","","","","","","","","","","","","","",1,1288305919,[],"","","",1,[],[],""
13026,"map_blight_encounter_spawn_rate_+%","","","",1,"","","","","","","","","","","","","","",1,2573137458,[],"","","",1,[],[],""
13027,"map_contains_rogue_metamorph_%_chance","","","",3,"","","","","","","","","","","","","","",1,2529912136,[],"","","",1,[],[],""
13028,"map_can_create_additional_metamorph_after_first_%_chance","","","",3,"","","","","","","","","","","","","","",1,2415534618,[],"","","",1,[],[],""
13029,"map_betrayal_gain_X_intelligence_for_random_safehouse_on_map_completion","","","",3,"","","","","","","","","","","","","","",1,2832780740,[],"","","",1,[],[],""
13030,"map_betrayal_executed_targets_gain_an_additional_rank_chance_%","","","",1,"","","","","","","","","","","","","","",1,1224093619,[],"","","",1,[],[],""
13031,"monster_additional_crusader_item_drop_chance_%",1,"","",3,"","","","","","","","","","","","","","",1,1212307204,[],"","","",1,[],[],""
13032,"monster_additional_basilisk_item_drop_chance_%",1,"","",3,"","","","","","","","","","","","","","",1,3193467245,[],"","","",1,[],[],""
13033,"monster_additional_eyrie_item_drop_chance_%",1,"","",3,"","","","","","","","","","","","","","",1,1855381595,[],"","","",1,[],[],""
13034,"monster_additional_adjudicator_item_drop_chance_%",1,"","",3,"","","","","","","","","","","","","","",1,1749307823,[],"","","",1,[],[],""
13035,"map_regal_to_exalt_%",1,"","",1,"","","","","","","","","","","","","","",1,228984206,[],"","","",1,[],[],""
13036,"map_regret_to_divine_%",1,"","",1,"","","","","","","","","","","","","","",1,3920456039,[],"","","",1,[],[],""
13037,"map_transmute_to_alteration_%",1,"","",1,"","","","","","","","","","","","","","",1,1990828034,[],"","","",1,[],[],""
13038,"map_alchemy_to_chaos_%",1,"","",1,"","","","","","","","","","","","","","",1,1855564293,[],"","","",1,[],[],""
13039,"map_chisel_to_map_%",1,"","",1,"","","","","","","","","","","","","","",1,1494928634,[],"","","",1,[],[],""
13040,"map_orb_of_chance_to_unique_item_%",1,"","",1,"","","","","","","","","","","","","","",1,3233524115,[],"","","",1,[],[],""
13041,"map_triple_exalt_%",1,"","",1,"","","","","","","","","","","","","","",1,2245221076,[],"","","",1,[],[],""
13042,"map_skill_gem_to_scarab_%",1,"","",1,"","","","","","","","","","","","","","",1,3387972550,[],"","","",1,[],[],""
13043,"map_support_gem_to_jewel_%",1,"","",1,"","","","","","","","","","","","","","",1,4134328299,[],"","","",1,[],[],""
13044,"debilitate_on_hit_ms","","","",3,"","","","","","","","","","","","","","",1,2809789479,[],"","","",1,[],[],""
13045,"einhar_damage_+%_final_vs_unique_enemies","","","",1,"","","","","","","","","","","","","","",1,1379530730,[],"","","",1,[],[],""
13046,"delirium_splinter_stack_size_+%_final","","","",1,"","","","","","","","","","","","","","",1,2701301794,[],"","","",1,[],[],""
13047,"map_incursions_spawn_special_monster","","","",4,"","","","","","","","","","","","","","",1,2321150874,[],"","","",1,[],[],""
13048,"map_betrayal_non_interrogate_options_grant_X_intelligence","","","",3,"","","","","","","","","","","","","","",1,1214832587,[],"","","",1,[],[],""
13049,"map_sulphite_veins_also_grant_same_amount_of_azurite_chance_%","","","",1,"","","","","","","","","","","","","","",1,1299029357,[],"","","",1,[],[],""
13050,"map_sulphite_veins_are_guarded_by_delve_monsters_granting_sulphite_on_death","","","",4,"","","","","","","","","","","","","","",1,2890888780,[],"","","",1,[],[],""
13051,"map_abyss_monster_spawn_amount_+%","","","",1,"","","","","","","","","","","","","","",1,3679425564,[],"","","",1,[],[],""
13052,"map_abyss_monster_experience_+%","","","",1,"","","","","","","","","","","","","","",1,2826991890,[],"","","",1,[],[],""
13053,"map_abyssal_trove_item_quantity_+%","","","",1,"","","","","","","","","","","","","","",1,4270201474,[],"","","",1,[],[],""
13054,"map_abyssal_trove_dropped_item_level_+","","","",1,"","","","","","","","","","","","","","",1,2075470211,[],"","","",1,[],[],""
13055,"map_abyssal_trove_drop_rare_with_abyss_socket_chance_%","","","",1,"","","","","","","","","","","","","","",1,4248952574,[],"","","",1,[],[],""
13056,"map_legion_additional_number_of_sergeants","","","",3,"","","","","","","","","","","","","","",1,3635098720,[],"","","",1,[],[],""
13057,"map_legion_sergeants_reward_additional_chance_%","","","",1,"","","","","","","","","","","","","","",1,918597590,[],"","","",1,[],[],""
13058,"map_legion_army_additional_war_chest","","","",4,"","","","","","","","","","","","","","",1,80972924,[],"","","",1,[],[],""
13059,"map_additional_rogue_exile_per_X_league_mechanics","","","",3,"","","","","","","","","","","","","","",1,554369113,[],"","","",1,[],[],""
13060,"map_additional_rogue_exile_pack_%_chance","","","",1,"","","","","","","","","","","","","","",1,898527644,[],"","","",1,[],[],""
13061,"map_wild_rogue_exiles_have_special_reward_chance_%","","","",1,"","","","","","","","","","","","","","",1,2498995232,[],"","","",1,[],[],""
13062,"map_rogue_exiles_are_doubled_chance_%","","","",1,"","","","","","","","","","","","","","",1,11649855,[],"","","",1,[],[],""
13063,"map_abyss_chance_%","","","",1,"","","","","","","","","","","","","","",1,1737817693,[],"","","",1,[],[],""
13064,"map_maps_drop_with_blight_encounter_enchantment_chance_%","","","",1,"","","","","","","","","","","","","","",1,1621302972,[],"","","",1,[],[],""
13065,"map_affliction_encounter_monster_depth_+%","","","",1,"","","","","","","","","","","","","","",1,3270559546,[],"","","",1,[],[],""
13066,"water_sphere_damage_+%",1,"","",1,"","","","","","","","","","","","","","",1,3052222554,"[""water_sphere"",""water_sphere_triggered""]","","","",1,[],[],""
13067,"map_abyss_depths_hoards_drop_currency_items","","","",4,"","","","","","","","","","","","","","",1,557837187,[],"","","",1,[],[],""
13068,"map_betrayal_intelligence_+%","","","",1,"","","","","","","","","","","","","","",1,3867748377,[],"","","",1,[],[],""
13069,"map_betrayal_targets_drop_veiled_item_chance_%","","","",1,"","","","","","","","","","","","","","",1,2261309708,[],"","","",1,[],[],""
13070,"is_essence_monster","","","",4,"","","","","","","","","","","","","","",1,932289326,[],"","","",1,[],[],""
13071,"map_einhar_mission_beast_invasion_chance_%","","","",1,"","","","","","","","","","","","","","",1,1406377115,[],"","","",1,[],[],""
13072,"map_affliction_secondary_wave_acceleration_+%","","","",1,"","","","","","","","","","","","","","",1,640212883,[],"","","",1,[],[],""
13073,"map_affliction_secondary_wave_delay_ms_+","","","",3,"","","","","","","","","","","","","","",1,4082251918,[],"","","",1,[],[],""
13074,"map_ultimatum_league","","","",4,"","","","","","","","","","","","","","",1,1628739567,[],"","","",1,[],[],""
13075,"map_rare_beyond_monster_chance_to_drop_currency_item_%",1,"","",1,"","","","","","","","","","","","","","",1,3854849716,[],"","","",1,[],[],""
13076,"map_blight_bosses_drop_X_anointed_items",1,"","",3,"","","","","","","","","","","","","","",1,2410626141,[],"","","",1,[],[],""
13077,"map_delirium_3_additional_reward_types_chance_%","","","",1,"","","","","","","","","","","","","","",1,165133920,[],"","","",1,[],[],""
13078,"no_barrage_projectile_spread","","","",4,"","","","","","","","","","",1,"","","",1,202871549,[],"","","","",[],[],""
13079,"strafe_distance_+%","","","",1,"","","","","","","","","","","","","","",1,623907967,[],"","","",1,[],[],""
13080,"spell_damage_+%_final_from_quiet_might","","","",1,"","","","","","","","","","","",1,"","","",3893198256,[],"","","",1,[],[],""
13081,"monster_is_touched_by_ghost","","","",4,"","","","","","","","","","","","","","",1,1471597834,[],"","","","",[],[],""
13082,"monster_dropped_item_quantity_+%_if_possessed_or_touched","","","",1,"","","","","","","","","","","","","","",1,2799321833,[],"","","",1,[],[],""
13083,"map_area_has_sirus_influence","","","",4,"","","","","","","","","","","","","","",1,3367577557,[],"","","",1,[],[],""
13084,"map_currency_fusing_drops_full_stack_permillage_chance",1,"","",6,"","","","","","","","","","","","","","",1,2171830442,[],"","","",1,[],[],""
13085,"map_currency_chromatic_drops_full_stack_permillage_chance",1,"","",6,"","","","","","","","","","","","","","",1,3944120814,[],"","","",1,[],[],""
13086,"map_currency_jeweller_drops_full_stack_permillage_chance",1,"","",6,"","","","","","","","","","","","","","",1,1816705310,[],"","","",1,[],[],""
13087,"map_currency_chaos_drops_full_stack_permillage_chance",1,"","",6,"","","","","","","","","","","","","","",1,2053237735,[],"","","",1,[],[],""
13088,"map_currency_alchemy_drops_full_stack_permillage_chance",1,"","",6,"","","","","","","","","","","","","","",1,3401404754,[],"","","",1,[],[],""
13089,"map_currency_alteration_drops_full_stack_permillage_chance",1,"","",6,"","","","","","","","","","","","","","",1,1876110933,[],"","","",1,[],[],""
13090,"map_currency_scouring_drops_full_stack_permillage_chance",1,"","",6,"","","","","","","","","","","","","","",1,1091654138,[],"","","",1,[],[],""
13091,"map_currency_chance_drops_full_stack_permillage_chance",1,"","",6,"","","","","","","","","","","","","","",1,1929916985,[],"","","",1,[],[],""
13092,"map_currency_chisel_drops_full_stack_permillage_chance",1,"","",6,"","","","","","","","","","","","","","",1,2552690755,[],"","","",1,[],[],""
13093,"map_currency_transumation_drops_full_stack_permillage_chance",1,"","",6,"","","","","","","","","","","","","","",1,2916808531,[],"","","",1,[],[],""
13094,"map_currency_whetstone_drops_full_stack_permillage_chance",1,"","",6,"","","","","","","","","","","","","","",1,2815444539,[],"","","",1,[],[],""
13095,"map_currency_armourers_drops_full_stack_permillage_chance",1,"","",6,"","","","","","","","","","","","","","",1,2463678759,[],"","","",1,[],[],""
13096,"map_currency_gemcutter_stack_6_permillage_chance",1,"","",6,"","","","","","","","","","","","","","",1,2539412058,[],"","","",1,[],[],""
13097,"map_currency_regal_stack_5_permillage_chance",1,"","",6,"","","","","","","","","","","","","","",1,3560071181,[],"","","",1,[],[],""
13098,"map_currency_divine_stack_4_permillage_chance",1,"","",6,"","","","","","","","","","","","","","",1,2900222310,[],"","","",1,[],[],""
13099,"map_currency_annulment_stack_3_permillage_chance",1,"","",6,"","","","","","","","","","","","","","",1,3447947732,[],"","","",1,[],[],""
13100,"map_currency_regret_stack_20_permillage_chance",1,"","",6,"","","","","","","","","","","","","","",1,2503517944,[],"","","",1,[],[],""
13101,"map_currency_blessed_stack_8_permillage_chance",1,"","",6,"","","","","","","","","","","","","","",1,1632868704,[],"","","",1,[],[],""
13102,"map_currency_mirror_stack_2_permillage_chance",1,"","",6,"","","","","","","","","","","","","","",1,3593521373,[],"","","",1,[],[],""
13103,"map_currency_vaal_stack_7_permillage_chance",1,"","",6,"","","","","","","","","","","","","","",1,4117723488,[],"","","",1,[],[],""
13104,"map_betrayal_target_double_experience_chance_%","","","",1,"","","","","","","","","","","","","","",1,3329248841,[],"","","",1,[],[],""
13105,"map_red_beast_double_experience_chance_%","","","",1,"","","","","","","","","","","","","","",1,2935171960,[],"","","",1,[],[],""
13106,"map_incursion_architects_drop_incursion_rare_chance_%","","","",1,"","","","","","","","","","","","","","",1,3738898649,[],"","","",1,[],[],""
13107,"map_incursion_architect_double_experience_chance_%","","","",1,"","","","","","","","","","","","","","",1,3121587719,[],"","","",1,[],[],""
13108,"map_boss_chance_to_drop_additional_scarab_permillage","","","",6,"","","","","","","","","","","","","","",1,3718933080,[],"","","",1,[],[],""
13109,"map_boss_chance_to_drop_additional_unique_permillage","","","",6,"","","","","","","","","","","","","","",1,3790795436,[],"","","",1,[],[],""
13110,"map_boss_chance_to_drop_additional_map_currency_permillage","","","",6,"","","","","","","","","","","","","","",1,2045764953,[],"","","",1,[],[],""
13111,"map_boss_chance_to_drop_additional_talisman_permillage","","","",6,"","","","","","","","","","","","","","",1,362085638,[],"","","",1,[],[],""
13112,"map_boss_chance_to_drop_additional_essence_permillage","","","",6,"","","","","","","","","","","","","","",1,1546546203,[],"","","",1,[],[],""
13113,"map_boss_chance_to_drop_additional_silver_coin_permillage","","","",6,"","","","","","","","","","","","","","",1,2601350610,[],"","","",1,[],[],""
13114,"map_boss_chance_to_drop_additional_map_permillage","","","",6,"","","","","","","","","","","","","","",1,2397003718,[],"","","",1,[],[],""
13115,"map_amulet_to_talisman_permillage",1,"","",6,"","","","","","","","","","","","","","",1,147844686,[],"","","",1,[],[],""
13116,"map_boss_chance_to_drop_additional_fragment_permillage","","","",6,"","","","","","","","","","","","","","",1,3536624355,[],"","","",1,[],[],""
13117,"map_additional_tormented_spirit_chance_%","","","",1,"","","","","","","","","","","","","","",1,1321152767,[],"","","",1,[],[],""
13118,"map_additional_shrine_chance_%","","","",1,"","","","","","","","","","","","","","",1,448381780,[],"","","",1,[],[],""
13119,"map_additional_harbinger_chance_%","","","",1,"","","","","","","","","","","","","","",1,2573620232,[],"","","",1,[],[],""
13120,"map_additional_invasion_boss_chance_%","","","",1,"","","","","","","","","","","","","","",1,1668832892,[],"","","",1,[],[],""
