"rownum","Id","Term","Term (French)","Term (German)","Term (Japanese)","Term (Korean)","Term (Portuguese)","Term (Russian)","Term (Spanish)","Term (Thai)","Term (Traditional Chinese)","Definition","Definition (French)","Definition (German)","Definition (Japanese)","Definition (Korean)","Definition (Portuguese)","Definition (Russian)","Definition (Spanish)","Definition (Thai)","Definition (Traditional Chinese)","string_24","string_32","string_32 (French)","string_32 (German)","string_32 (Japanese)","string_32 (Korean)","string_32 (Portuguese)","string_32 (Russian)","string_32 (Spanish)","string_32 (Thai)","string_32 (Traditional Chinese)"
520,"MonsterVolatilePlants1","Volatile Plants","Plantes instables","Explosive Pflanzen","ボラタイルプラント","폭발성 식물","Plantas Voláteis","Нестабильные растения","Plantas volátiles","ต้นไม้ไล่ระเบิด","易爆植物","Monster periodically creates Volatile Plants, releasing orbs that move towards enemies; exploding when they get close enough; dealing [Chaos] Damage.","Le monstre crée périodiquement des Plantes instables. Celles-ci libèrent des orbes qui se dirigent vers les ennemis et explosent lorsqu'ils sont suffisamment proches, infligeant des Dégâts de [Chaos|Chaos].","Monster erzeugt in regelmäßigen Abständen explosive Pflanzen, die Kugeln aussenden, die sich auf Gegner zubewegen; sie explodieren, wenn sie nahe genug herankommen und verursachen [Chaos|Chaos]schaden.","モンスターは定期的にボラタイルプラントを生成し、そのプラントは敵に向かって移動するオーブを放つ。オーブは敵に十分近づいたときに爆発し、[Chaos|混沌]ダメージを与える。","몬스터가 주기적으로 폭발성 식물을 생성하여, 적을 향해 움직이는 보주를 내보냅니다. 보주는 가까워지면 폭발하여 [Chaos|카오스] 피해를 줍니다.","O monstro cria Plantas Voláteis periodicamente, liberando orbes que vão até os inimigos e explodem, causando dano de [Chaos|caos].","Монстр периодически создаёт нестабильные растения, которые выпускают сферы, движущиеся в сторону врага и взрывающиеся при достаточном сближении, нанося урон [Chaos|хаосом].","El monstruo crea plantas volátiles periódicamente que liberan orbes que se mueven hacia los enemigos para explotar cuando se acercan lo suficiente e infligir daño de [Chaos|caos].","มอนสเตอร์ สร้าง ต้นไม้ไล่ระเบิด ที่ปล่อยลูกพลังที่จะเคลื่อนที่เข้าหาศัตรูแล้วระเบิดตัวเองเมื่ออยู่ใกล้เพื่อสร้างความเสียหาย [Chaos|เคออส]","怪物定期製造易爆植物，釋放出朝敵人移動的球體，在夠靠近時引爆，造成[Chaos|混沌]傷害。","","","","","","","","","","",""
521,"MonsterVolatilePlants2","Empowering Volatile Plants","Plantes instables améliorées","Verstärkte Explosive Pflanzen","強化ボラタイルプラント","강화하는 폭발성 식물","Plantas Voláteis Empoderado","Улучшенные нестабильные растения","Plantas volátiles potenciadas","ต้นไม้ไล่ระเบิดที่เสริมฤทธิ์","強化易爆植物","Monster periodically creates Powerful Volatile Plants, releasing orbs that move towards enemies; exploding when they get close enough; dealing [Chaos] Damage.","Le monstre crée périodiquement de puissantes Plantes instables. Celles-ci libèrent des orbes qui se dirigent vers les ennemis et explosent lorsqu'ils sont suffisamment proches, infligeant des Dégâts de [Chaos|Chaos].","Monster erzeugt in regelmäßigen Abständen verstärkte explosive Pflanzen, die Kugeln aussenden, die sich auf Gegner zubewegen; sie explodieren, wenn sie nahe genug herankommen und verursachen [Chaos|Chaos]schaden.","モンスターは定期的に強力なボラタイルプラントを生成し、そのプラントは敵に向かって移動するオーブを放つ。オーブは敵に十分近づいたときに爆発し、[Chaos|混沌]ダメージを与える。","몬스터가 주기적으로 강력한 폭발성 식물을 생성하여, 적을 향해 움직이는 보주를 내보냅니다. 보주는 가까워지면 폭발하여 [Chaos|카오스] 피해를 줍니다.","O monstro cria Plantas Voláteis Poderosas periodicamente, liberando orbes que vão até os inimigos e explodem, causando dano de [Chaos|caos].","Монстр периодически создаёт могучие нестабильные растения, которые выпускают сферы, движущиеся в сторону врага и взрывающиеся при достаточном сближении, нанося урон [Chaos|хаосом].","El monstruo crea plantas volátiles poderosas periódicamente que liberan orbes que se mueven hacia los enemigos para explotar cuando se acercan lo suficiente e infligir daño de [Chaos|caos].","มอนสเตอร์ สร้าง ต้นไม้ไล่ระเบิดทรงพลัง ที่ปล่อยลูกพลังที่จะเคลื่อนที่เข้าหาศัตรูแล้วระเบิดตัวเองเมื่ออยู่ใกล้เพื่อสร้างความเสียหาย [Chaos|เคออส]","怪物定期製造強力易爆植物，釋放出朝敵人移動的球體，在夠靠近時引爆，造成[Chaos|混沌]傷害。","","","","","","","","","","",""
522,"MonsterVolatileRocks1","Volatile Crag","Rocher instable","Explosive Felsen","ボラタイルクラッグ","폭발성 바위","Penedos Voláteis","Нестабильные обломки","Rocas volátiles","หินหลอมไล่ระเบิด","易爆燃彈","Monster periodically creates Volatile Crag that moves towards enemies; exploding when they get close enough; dealing [Fire] Damage.","Le monstre crée périodiquement un Rocher instable qui se dirige vers les ennemis et explose lorsqu'il est suffisamment proche, infligeant des Dégâts de [Fire|Feu].","Monster erzeugt in regelmäßigen Abständen explosive Felsen, die sich auf Gegner zubewegen und explodieren, wenn sie nahe genug herankommen und dabei [Fire|Feuer]schaden verursachen.","モンスターは定期的にボラタイルクラッグを生成し、そのクラッグは敵に向かって移動する。クラッグは敵に十分近づいたときに爆発し、[Fire|火]ダメージを与える。","몬스터가 주기적으로 적을 향해 움직이는 폭발성 바위를 생성합니다. 바위는 가까워지면 폭발하여 [Fire|화염] 피해를 줍니다.","O monstro cria Rochedo Volátil periodicamente, que vai até os inimigos e explode, causando dano de [Fire|fogo].","Монстр периодически создаёт нестабильные обломки, которые движутся в сторону врага и взрываются при достаточном сближении, нанося урон от [Fire|огня].","El monstruo crea rocas volátiles periódicamente que se mueven hacia los enemigos para explotar cuando se acercan lo suficiente e infligir daño de [Fire|fuego].","มอนสเตอร์ สร้าง หินหลอมไล่ระเบิด ที่จะเคลื่อนที่เข้าหาศัตรูแล้วระเบิดตัวเองเมื่ออยู่ใกล้เพื่อสร้างความเสียหาย [Fire|ไฟ]","怪物定期製造會朝敵人移動的易爆燃彈，在夠靠近時引爆，造成[Fire|火焰]傷害。","","","","","","","","","","",""
523,"MonsterVolatileRocks2","Empowering Volatile Crag","Rocher instable amélioré","Verstärkte Explosive Felsen","強化ボラタイルクラッグ","강화하는 폭발성 바위","Penedos Voláteis Empoderado","Улучшенные нестабильные обломки","Rocas volátiles potenciadas","หินหลอมไล่ระเบิดที่เสริมฤทธิ์","強化易爆燃彈","Monster periodically creates Powerful Volatile Crag that moves towards enemies; exploding when they get close enough; dealing [Fire] Damage.","Le monstre crée périodiquement un puissant Rocher instable qui se dirige vers les ennemis et explose lorsqu'il est suffisamment proche, infligeant des Dégâts de [Fire|Feu].","Monster erzeugt in regelmäßigen Abständen verstärkte explosive Felsen, die sich auf Gegner zubewegen und explodieren, wenn sie nahe genug herankommen und dabei [Fire|Feuer]schaden verursachen.","モンスターは定期的に強力なボラタイルクラッグを生成し、そのクラッグは敵に向かって移動する。クラッグは敵に十分近づいたときに爆発し、[Fire|火]ダメージを与える。","몬스터가 주기적으로 적을 향해 움직이는 강력한 폭발성 바위를 생성합니다. 바위는 가까워지면 폭발하여 [Fire|화염] 피해를 줍니다.","O monstro cria Rochedo Volátil Poderoso periodicamente, que vai até os inimigos e explode, causando dano de [Fire|fogo].","Монстр периодически создаёт мощные нестабильные обломки, которые движутся в сторону врага и взрываются при достаточном сближении, нанося урон от [Fire|огня].","El monstruo crea rocas volátiles poderosas periódicamente que se mueven hacia los enemigos para explotar cuando se acercan lo suficiente e infligir daño de [Fire|fuego].","มอนสเตอร์ สร้าง หินหลอมไล่ระเบิดทรงพลัง ที่จะเคลื่อนที่เข้าหาศัตรูแล้วระเบิดตัวเองเมื่ออยู่ใกล้เพื่อสร้างความเสียหาย [Fire|ไฟ]","怪物定期製造會朝敵人移動的強力易爆燃彈，在夠靠近時引爆，造成[Fire|火焰]傷害。","","","","","","","","","","",""
524,"Pack","Pack","Groupe","Gruppe","パック","무리","Grupo","Группа","Grupo","กองมอนสเตอร์","怪物群","A Pack Monster or [Minion] is a Monster that naturally spawns as a part of a Monster Pack in areas or from mechanics like [Strongbox|Strongboxes].\r\nMonsters or [Minion|Minions] created by other Monsters do not count as Pack Monsters or [Minion|Minions].","Un monstre ou une [Minion|Créature] de Groupe est un monstre qui apparaît naturellement en tant que membre d'un Groupe de monstres, que ce soit dans les zones ou via des mécaniques telles que les [Strongbox|Coffres-forts].\r\nLes monstres ou [Minion|Créatures] générés par d'autres monstres ne sont pas considérés comme des monstres ou [Minion|Créatures] de Groupe.","Ein Gruppenmonster oder [Minion|Kreatur] ist ein Monster, das als Teil einer Gruppe von Monstern in Gebieten oder durch Mechaniken wie [Strongbox|Tresoren] auf natürliche Weise der Gruppe angehört.\r\nMonster oder [Minion|Kreaturen], die durch andere Monster erzeugt werden, zählen nicht als Gruppenmonster oder [Minion|Kreaturen].","パックのモンスターまたは[Minion|ミニオン]とはエリアのモンスターパックとして自然にスポーンしたモンスターのこと、あるいは[Strongbox|ストロングボックス]のようなメカニクスからスポーンしたモンスターのことである。\r\n他のモンスターによって生成されたモンスターまたは[Minion|ミニオン]は、パックモンスターまたは[Minion|ミニオン]として見なされない。","무리 몬스터 또는 [Minion|소환수]는 지역 내 몬스터 무리의 일부로 자연적으로 생성되거나 [Strongbox|금고] 등의 메커니즘을 통해 생성되는 몬스터입니다.\r\n다른 몬스터가 생성하는 몬스터 또는 [Minion|소환수]는 무리 몬스터 또는 [Minion|소환수]로 간주되지 않습니다.","Um monstro de grupo ou [Minion|Lacaio] é aquele que nasce naturalmente como parte de um grupo de monstros em áreas ou por mecânicas como as [Strongbox|caixas-forte].\r\nMonstros ou [Minion|Lacaios] criados por outros monstros não contam como monstros de grupo ou [Minion|Lacaios].","Монстр или [Minion|приспешник] группы – это монстр, который изначально появляется в составе группы монстров в области или от механик наподобие [Strongbox|ларцов].\r\nМонстры или [Minion|приспешники], созданные другими монстрами, не считаются монстрами или [Minion|приспешниками] группы.","Un monstruo o [Minion|esbirro] de grupo es un monstruo que se genera de forma natural como parte de un grupo de monstruos en las áreas o por mecánicas como las [Strongbox|cajas fuertes].\r\nLos monstruos o [Minion|esbirros] creados por otros monstruos no cuentan como monstruos o [Minion|esbirros] de grupo.","มอนสเตอร์หรือ[Minion|มิเนียน]ใน กอง คือมอนสเตอร์ที่ถูกสร้างขึ้นมาโดยธรรมชาติภายในด่านหรือสร้างขึ้นด้วยกลไกต่างๆ อย่าง[Strongbox|กล่องนิรภัย]\r\nมอนสเตอร์หรือมิเนียนที่ถูกสร้างโดยมอนสเตอร์ตัวอื่น ไม่นับว่าเป็นมอนสเตอร์หรือ[Minion|มิเนียน]ในกอง","怪物群怪物或[Minion|手下]是在區域中作為怪物群的一部分自然生成或透過像[Strongbox|保險箱]等機制生成的怪物。\r\n由其他怪物所創造的怪物或[Minion|手下]不會被視為怪物群怪物或[Minion|手下]。","","","","","","","","","","",""
525,"UniqueArrowModifierChain","Crescendo Arrows","Flèches crescendo","Ketten-Pfeile","クレッシェンドアロー","점강 화살","Flechas Crescentes","Стрелы крещендо","Flechas in crescendo","ศรเร่งจังหวะ","強鳴箭","Crescendo Arrows [Chain] 6 additional times and deal 60% increased Damage for each time they have [Chain|Chained].","Les Flèches crescendo [Chain|Ricochent] 6 fois supplémentaires et ont 60% d'augmentation de Dégâts pour chaque [Chain|Ricochet] effectué.","Ketten-Pfeile [Chain|verketten] 6 zusätzliche Male und verursachen 60% erhöhten Schaden für jedes Mal, wenn sie sich [Chain|verketten].","クレッシェンドアローは、追加で6回[Chain|連鎖]し、過去に[Chain|連鎖]した回数ごとにダメージが60%増加する。","점강 화살은 6회 추가로 [Chain|연쇄]되고 [Chain|연쇄]할 때마다 주는 피해가 60% 증가합니다.","As flechas da habilidade ganham 6 [Chain|propagações] adicionais e causam mais 60% de dano por [Chain|propagação].","Стрелы крещендо [Chain|наносят удар по цепи] 6 дополнительных раз и наносят увеличенный на 60% урон за каждый [Chain|удар по цепи].","Las flechas in crescendo se [Chain|encadenan] 6 veces adicionales e infligen el daño aumentado un 60% por cada vez que se hayan [Chain|encadenado].","ศรเร่งจังหวะ [Chain|ชิ่ง] เพิ่มเติม 6 ครั้งและสร้างความเสียหาย เพิ่มขึ้น 60% ต่อจำนวนครั้งที่มันผ่านการ [Chain|ชิ่ง]","強鳴矢可[Chain|連鎖]額外 6 次，每次[Chain|連鎖]使造成的傷害增加 60%。","","","","","","","","","","",""
526,"UniqueArrowModifierSplit","Splinter Arrows","Flèches à fragmentation","Splitter-Pfeile","スプリンターアロー","파편 화살","Flechas Fragmentadas","Расщепляющиеся стрелы","Flechas de astillamiento","ศรแตกสะเก็ด","斷片箭","Splintering Arrows [Split] towards 6 targets.","Les Flèches à fragmentation se [Split|Divisent] vers 6 cibles.","Splitter-Pfeile [Split|Splittern] auf 6 Ziele.","スプリンターアローは6体の対象に向かって[Split|分裂]する。","파편화되는 화살은 6개의 대상을 향해 [Split|분할]됩니다.","As flechas da habilidade [Split|se fragmentam] contra 6 alvos.","Расщепляющиеся стрелы [Split|разделяются] в направлении 6 целей.","Las flechas de astillamiento se [Split|dividen] hacia 6 objetivos.","ศรแตกสะเก็ด [Split|แยก] ไปหาเป้าหมาย 6 ตัว","斷片矢會[Split|分裂]並射向 6 個目標。","","","","","","","","","","",""
527,"UniqueArrowModifierPierceReturn","Reversing Arrows","Flèches boomerang","Rückkehr-Pfeile","リバーシングアロー","역행 화살","Flechas Reversas","Возвратные стрелы","Flechas de reversión","ศรคืนถิ่น","迴轉箭","Reversing Arrows [Pierce] all targets and [Return] to you.","Les Flèches boomerang [Pierce|Transpercent] toutes les cibles et [Return|Reviennent] à vous.","Rückkehr-Pfeile [Pierce|durchbohren] alle Ziele und [Return|kehren] zu Euch zurück.","リバーシングアローは全ての対象を[Pierce|貫通]し、プレイヤーの元に[Return|回帰]する。","역행 화살은 모든 대상을 [Pierce|관통]하고 플레이어에게 [Return|돌아옵니다].","As flechas da habilidade [Pierce|atravessam] os alvos e [Return|retornam] para você.","Возвратные стрелы [Pierce|пронзают] все цели и [Return|возвращаются] к вам.","Las flechas de reversión [Pierce|perforan] a todos los objetivos y [Return|regresan] a ti.","ศรคืนถิ่น [Pierce|เจาะทะลุ] ทุกเป้าหมายแล้ว [Return|ย้อนกลับ]มา หาคุณ","迴轉箭會[Pierce|穿透]所有目標並[Return|返回]你。","","","","","","","","","","",""
528,"UniqueArrowModifierCrit","Diamond Arrows","Flèches de diamant","Diamant-Pfeile","ダイアモンドアロー","다이아몬드 화살","Flechas Diamante","Алмазные стрелы","Flechas de diamante","ศรเพชร","鑽石箭","All [HitDamage|Hits] with Diamond Arrows are [Critical|Critical Hits] with 60% increased [CriticalDamageBonus|Critical Damage Bonus].","Les Flèches de diamant infligent systématiquement des [Critical|Touches critiques] au [HitDamage|Toucher] et on 60% d'augmentation de [CriticalDamageBonus|Bonus de Dégâts critiques].","Alle [HitDamage|Treffer] mit Diamant-Pfeilen sind [Critical|kritische Treffer] mit 60% erhöhtem [CriticalDamageBonus|kritischem Schadensbonus].","ダイアモンドアローによる全ての[HitDamage|ヒット]は[Critical|クリティカルヒット]となり、[CriticalDamageBonus|クリティカルダメージボーナス]が60%増加する。","다이아몬드 화살의 모든 [HitDamage|명중]은 [CriticalDamageBonus|치명타 피해 보너스]가 60% 증가한 [Critical|치명타 명중]입니다.","Todos os [HitDamage|ataques] com as flechas da habilidade são considerados [Critical|golpes críticos] com 60% de [CriticalDamageBonus|dano crítico bônus].","Все [HitDamage|попадания] Алмазными стрелами являются [Critical|критическими] с 60% увеличением [CriticalDamageBonus|бонуса к критическому урону].","Todos los [HitDamage|impactos] de las flechas de diamante son [Critical|críticos] y tienen la [CriticalDamageBonus|bonificación de daño crítico] aumentada un 60%.","การ[HitDamage|ปะทะ] ทุกชนิด ด้วยศรเพชร จะ[Critical|ปะทะคริติคอล] โดยมี[CriticalDamageBonus|โบนัสความเสียหายคริติคอล] เพิ่มขึ้น 60%","鑽石箭的所有[HitDamage|擊中]為[Critical|暴擊]且 with 60% increased [CriticalDamageBonus|暴擊傷害加成]增加 60%。","","","","","","","","","","",""
529,"UniqueArrowModifierRarity","Covetous Arrows","Flèches de cupidité","Gier-Pfeile","コヴェタスアロー","갈망 화살","Flechas da Cobiça","Алчные стрелы","Flechas de codicia","ศรละโมบ","貪婪箭","Enemies killed with Covetous Arrows drop items with 600% increased [ItemRarity|Rarity].","Les objets cédés par les ennemis tués par des Flèches de cupidité ont 600% d'augmentation de [ItemRarity|Rareté].","Gegner, die mit Gier-Pfeilen getötet werden, lassen Gegenstände mit 600% erhöhter [ItemRarity|Seltenheit] fallen.","コヴェタスアローによりキルされた敵はドロップするアイテムの[ItemRarity|レアリティ]が600%増加する。","갈망 화살로 처치한 적은 [ItemRarity|희귀도]가 600% 증가한 아이템을 떨어뜨립니다.","Inimigos abatidos com as flechas da habilidade largam itens com 600% mais [ItemRarity|raridade].","Из врагов, убитых Алчными стрелами, выпадают предметы с 600% повышением [ItemRarity|редкости].","Los enemigos que mueren por las flechas de codicia arrojan objetos con [ItemRarity|rareza] aumentada un 600%.","ศัตรูที่ถูกสังหารด้วยศรละโมบ จะดรอป ไอเทม โดยมี[ItemRarity|ระดับความหายาก]ของไอเทม เพิ่มขึ้น 600%","以貪婪箭擊殺的敵人掉落物品時，[ItemRarity|稀有度]增加 600%。","","","","","","","","","","",""
530,"UniqueArrowModifierStun","Blunt Arrows","Flèches contondantes","Stumpf-Pfeile","ブラントアロー","둔기 화살","Flechas Contundentes","Затупленные стрелы","Flechas romas","ศรทื่อ","重擊箭","Blunt Arrows cause 600% increased [Stun|Stun Buildup].","Les Flèches contondantes entraînent 600% d'augmentation d'[Stun|Accumulation d'Étourdissement].","Stumpf-Pfeile verursachen 600% mehr [Stun|Betäubungsaufbau].","ブラントアローは付与する[Stun|スタン]蓄積が600%増加する。","둔기 화살은 600% 증가한 [Stun|기절 축적]을 유발합니다.","As flechas da habilidade causam 50% mais acúmulo de [Stun|atordoamento].","Затупленные стрелы вызывают 600% повышение скорости накопления [Stun|оглушения].","Las flechas romas tienen la [Stun|acumulación del aturdimiento] aumentada un 600%.","ศรทื่อ [Stun|สะสมค่าสตัน] เพิ่มขึ้น 600%","重擊箭造成的[Stun|暈眩]累積增加 600%。","","","","","","","","","","",""
531,"Repeat","Repeating Skills","Aptitudes à répétition","Wiederholende Fertigkeiten","スキルを繰り返す","반복되는 스킬","Habilidades de Repetição","Повторяющиеся умения","Habilidades repetidoras","สกิลเกิดซ้ำ","重複技能","Some effects can cause Barrageable Skills to Repeat, causing you to perform the part of the skill where it fires off projectiles or other effects multiple times in quick succession from a single use of the skill.\r\n\r\nSkills take 5% longer to perform for each time they Repeat.","Certains effets peuvent permettre aux Aptitudes Répétables de se Répéter, vous faisant ainsi exécuter la partie de l'aptitude qui tire des projectiles ou d'autres effets plusieurs fois de suite à partir d'une seule utilisation de l'aptitude.\r\n\r\nL'exécution des Aptitudes prend 5% plus de temps pour chaque Répétition.","Einige Effekte können dazu führen, dass sich sperrfeuerartige Fertigkeiten wiederholen, was dazu führt, dass der Teil der Fertigkeit, bei dem Projektile oder andere Effekte abgefeuert werden, bei einmaligem Einsatz der Fertigkeit mehrmals in schneller Folge ausgeführt wird.\r\n\r\nDie Ausführung der Fertigkeit dauert bei jeder Wiederholung 5% länger.","いくつかの効果はバラージ可能スキルを繰り返すようにするものがあり、そのスキルを1度使用した時に投射物の発射またはその他の効果を複数回連続して繰り返すようにする。\r\n\r\nスキルは繰り返した回数ごとにスキルを実行するのにかかる時間が5%長くなる。","일부 효과는 연발 사격 가능 스킬이 반복되게 하여, 스킬을 한 번 사용했을 때 해당 스킬 중 투사체 또는 그 외의 효과를 발사하는 부분을 여러 번 빠르게 수행하게 합니다.\r\n\r\n스킬을 반복할 때마다 수행에 걸리는 시간이 5%씩 증가합니다.","Alguns efeitos podem fazer habilidades do tipo barragem executarem várias vezes, repetindo a parte em que disparam projéteis ou outros efeitos diversas vezes em rápida sucessão com um único uso da habilidade.\r\n\r\nCada repetição aumenta em 5% o tempo de execução das habilidades.","Некоторые эффекты могут вызывать повтор умений, допускающих очередь, таким образом, что вы будете повторять ту часть умения, где оно выпускает снаряды или другие эффекты, несколько раз в быстрой последовательности за одно использование умения.\r\n\r\nИспользование умений требует на 5% дольше времени за каждый их повтор.","Algunos efectos pueden hacer que las habilidades aluvionales se repitan, por lo que realizarás la parte de la habilidad en la que dispara proyectiles u otros efectos varias veces en rápida sucesión usando la habilidad una sola vez.\r\n\r\nLas habilidades tardan un 5% más en realizarse cada vez que se repiten.","ผลบางอย่างอาจทำให้ สกิลที่ระดมยิงได้ เกิดซ้ำ ทำให้คุณออกท่าสกิลในส่วนที่ยิงโพรเจกไทล์หรือปล่อยผลอื่นๆ ออกมาติดกันอย่างรวดเร็วในการใช้สกิลเพียงครั้งเดียว\r\n\r\nสกิลใช้เวลาออกท่านานขึ้น 5% ต่อจำนวนครั้งที่มันเกิดซ้ำ","某些效果會使可施展彈幕的技能重複，使你使用該技能一次，便可快速地以該技能發射投射物或其他效果多次。\r\n\r\n每重複一次，技能施展費時延長 5%。","","","","","","","","","","",""
532,"UniqueShrineFire","Guided Meteoric Shrine","Autel guidé météorique","Geleiteter Meteoritenschrein","黄金の隕石のシュライン","유도 유성 성소","Altar Meteórico Guiado","Направленный алтарь метеоров","Santuario meteórico guiado","แท่นบูชาอุกกาบาตตามตัว","引導隕石神殿","Meteors rain down around you when in range of enemies.","Des Météores s'abattent autour de vous lorsque des ennemis sont à portée.","Meteore regnen um Euch herum herab, wenn Ihr in Reichweite von Gegnern seid.","敵が範囲内にいる時に隕石がプレイヤーの周囲に降り注ぐ。","적들의 범위 내에 있을 때 주위에 유성이 빗발칩니다.","Meteoros caem ao seu redor quando há inimigos por perto.","Вблизи врагов вокруг вас с неба падают метеоры.","Llueven meteoritos a tu alrededor cuando estás al alcance de los enemigos.","อุกกาบาตตกลงมารอบตัวคุณ เมื่ออยู่ในระยะของศัตรู","敵人處於接戰範圍時，在你周圍降下隕石。","","","","","","","","","","",""
533,"UniqueShrineLightning","Guided Tempest Shrine","Autel guidé de la Tempête","Geleiteter Gewitterschrein","黄金のテンペストシュライン","유도 폭풍의 성소","Altar da Tempestade Guiado","Направленный алтарь бури","Santuario de tempestad guiado","แท่นบูชามรสุมตามตัว","引導暴風神殿","Lightning bolts strike the ground around you when in range of enemies.","Des éclairs frappent le sol autour de vous lorsque des ennemis sont à portée.","Blitze schlagen in den Boden um Euch herum ein, wenn Ihr in Reichweite von Gegnern seid.","敵が範囲内にいる時に稲妻がプレイヤーの周囲に降り注ぐ。","적들의 범위 내에 있을 때 주위의 바닥에 벼락이 떨어집니다.","Relâmpagos atingem o chão ao seu redor quando há inimigos por perto.","Вблизи врагов вокруг вас в землю бьют разряды молнии.","Unas descargas de rayo golpean el suelo a tu alrededor cuando estás al alcance de los enemigos.","ฟ้าผ่าลงมายังพื้นรอบตัวคุณ เมื่ออยู่ในระยะของศัตรู","敵人處於接戰範圍時，在你周圍降下雷彈。","","","","","","","","","","",""
534,"UniqueShrineCold","Guided Freezing Shrine","Autel guidé du Gel ","Geleiteter Gefrierschrein","黄金の凍結のシュライン","유도 동결의 성소","Altar Congelante Guiado","Направленный алтарь мороза","Santuario congelante guiado","แท่นบูชาแช่แข็งตามตัว","引導霜寒神殿","Freezing shards fire around you in a spiral when in range of enemies.","Des éclats de glace sont tirés en spirale autour de vous lorsque des ennemis sont à portée.","Einfriersplitter schießen in einer Spirale um Euch herum, wenn Ihr in Reichweite von Gegnern seid.","敵が範囲内にいる時に氷の破片がプレイヤーの周囲に螺旋状に放たれる。","적들의 범위 내에 있을 때 동결의 파편이 주위에 나선형으로 발사됩니다.","Lança fragmentos de gelo em espiral ao seu redor quando há inimigos por perto.","Вблизи врагов вокруг вас по спирали разлетаются замораживающие осколки.","Unas esquirlas congelantes se disparan a tu alrededor en forma de espiral cuando estás al alcance de los enemigos.","สะเก็ดน้ำแข็งยิงออกมารอบตัวคุณ เมื่ออยู่ในระยะของศัตรู","敵人處於接戰範圍時，在你周圍刮起霜寒碎片。","","","","","","","","","","",""
535,"UniqueShrineChaos","Dreaming Gloom Shrine","Autel de la Morosité onirique","Traumhafter Finsterschrein","夢見る暗闇のシュライン","몽환의 순흑의 성소","Altar Sombrio Onírico","Алтарь сонного мрака","Santuario de sueño sombrío","แท่นบูชาภวังค์มืดมัว","夢境漆黑神殿","Slain enemies explode, dealing [Chaos] damage equal to a quarter of their maximum Life.","Les ennemis tués explosent, infligeant des dégâts de [Chaos|Chaos] équivalents à un quart de leur Vie maximale.","Getötete Gegner explodieren und verursachen [Chaos|Chaos]schaden in Höhe eines Viertels ihres maximalen Lebens.","倒した敵は爆発し、その最大ライフの4分の1と同量の[Chaos|混沌]ダメージを与える。","쓰러진 적이 폭발하여, 자신의 생명력 최대치의 1/4과 동일한 [Chaos|카오스] 피해를 줍니다.","Inimigos abatidos explodem, causando dano de [Chaos|caos] equivalente a um quarto da vida máxima deles.","Убитые враги взрываются, нанося урон [Chaos|хаосом] в размере четверти от их максимума здоровья.","Los enemigos derrotados explotan para infligir daño de [Chaos|caos] equivalente a una cuarta parte de su vida máxima.","ศัตรูที่ถูกสังหารจะระเบิด สร้างความเสียหาย [Chaos|เคอส] เท่ากับ 1/4 ของ พลังชีวิตสูงสุดของมัน","遭擊殺的敵人爆炸，造成相當於其最大生命四分之一的[Chaos|混沌]傷害。","","","","","","","","","","",""
536,"AbyssalWasting","Abyssal Wasting","Dépérissement abyssal","Abgründige Verwüstung","アビスの消耗","심연의 소진","Devastação Abissal","Истощение Бездны","Desgaste abisal","อะบิสโรยรา","深淵耗損","Abyssal Wasting reduces Life Regeneration Rate by 50% for 6 seconds","Dépérissement abyssal réduit le Taux de Régénération de Vie de 50% pendant 6 secondes","Abgründige Verwüstung verringert die Lebensregenerations-Rate um 50% für 6 Sekunden.","アビスの消耗はライフ自動回復レートを6秒間50%減少させる。","심연의 소진은 생명력 재생 속도를 6초 동안 50% 감소시킵니다.","Devastação Abissal reduz a regeneração de vida em 50% por 6 segundos","Истощение Бездны снижает скорость регенерации здоровья на 50% на 6 секунд","El desgaste abisal reduce la velocidad de regeneración de vida en un 50% durante 6 segundos","อะบิสโรยรา ลดอัตราการฟื้นฟูพลังชีวิต 50% 6 วินาที","深淵耗損使生命回復降低 50%，持續 6 秒","","","","","","","","","","",""
