"rownum","Id","Types","ExtraMods","TypesFiltered","PreviousTier","bool_72","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","HASH16","[string]_91","BuffTemplates","Tier","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","[rid]_135","TextAudio","rid_167","MapStats","MapStatValues","MapMods","i32_231","i32_235","i32_239","[i32]_243","i32_259","i32_263","bool_267","[i32]_268","i32_284","i32_288"
69,"MonsterVolatileOnDeath3",[0],[13363],[],[68],1,"Volatile Fiends III","Monstres instables III","Explosive Feinde II","ボラタイルフィーンド III","일촉즉발의 마귀들 III","Monstros Voláteis III","Нестабильные демоны III","Enemigos volátiles III","ปีศาจไล่ระเบิด ระดับ 3","易爆惡魔 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonstersSpawnVolatile",53683,[],[],3,"Monsters have a 30% chance to release deadly [Volatiles] on death. [Rarity|Rare] monsters leave larger ones","Les Monstres ont 30% de chances de libérer des [Volatiles|Orbes instables] mortels en mourant. Les monstres [Rarity|Rares] libèrent des Orbes plus grands","Monster haben 30% Chance, bei Tod [Volatiles|explosive Kerne] zu entfesseln. [Rarity|Seltene] Monster entfesseln größere Kerne","モンスターは死亡時に30%の確率で危険な[Volatiles|ボラタイル]を放出する。[Rarity|レア]モンスターはより大きな[Volatiles|ボラタイル]を放出する","몬스터가 사망 시 30% 확률로 치명적인 [Volatiles|폭발물] 방출, [Rarity|희귀] 적은 더 큰 폭발물을 남김","Monstros têm 30% de chance de liberar explosivos [Volatiles|voláteis] letais ao morrer. Monstros [Rarity|raros] deixam explosivos maiores","Монстры с 30% шансом выпускают смертоносные [Volatiles|нестабильности] при смерти. [Rarity|Редкие] монстры оставляют более крупные нестабильности","Los monstruos tienen un 30% de probabilidad de liberar [Volatiles|volátiles] letales al morir. Los monstruos [Rarity|raros] dejan volátiles más grandes","มอนสเตอร์ มีโอกาสปล่อย[Volatiles|พลังไล่ระเบิด] 30% เมื่อตาย ส่วนมอนสเตอร์[Rarity|แรร์] จะปล่อยพลังที่มีขนาดใหญ่กว่าเดิม","怪物在死亡時有 30% 機率釋放致命的[Volatiles|易爆物] 。[Rarity|稀有]怪物會留下較大的易爆物",[],11143,"",[8205],[15],[],0,0,0,"[68,0]",70,0,"",[],0,0
70,"MonsterVolatileOnDeath4",[0],[13364],[],[69],1,"Volatile Fiends IV","Monstres instables IV","Explosive Feinde IV","ボラタイルフィーンド IV","일촉즉발의 마귀들 IV","Monstros Voláteis IV","Нестабильные демоны IV","Enemigos volátiles IV","ปีศาจไล่ระเบิด ระดับ 4","易爆惡魔 IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonstersSpawnVolatile",24121,[],[],4,"Monsters have a 40% chance to release deadly [Volatiles] on death. [Rarity|Rare] monsters leave larger ones","Les Monstres ont 40% de chances de libérer des [Volatiles|Orbes instables] mortels en mourant. Les monstres [Rarity|Rares] libèrent des Orbes plus grands","Monster haben 40% Chance, bei Tod [Volatiles|explosive Kerne] zu entfesseln. [Rarity|Seltene] Monster entfesseln größere Kerne","モンスターは死亡時に40%の確率で危険な[Volatiles|ボラタイル]を放出する。[Rarity|レア]モンスターはより大きな[Volatiles|ボラタイル]を放出する","몬스터가 사망 시 40% 확률로 치명적인 [Volatiles|폭발물] 방출, [Rarity|희귀] 적은 더 큰 폭발물을 남김","Monstros têm 40% de chance de liberar explosivos [Volatiles|voláteis] letais ao morrer. Monstros [Rarity|raros] deixam explosivos maiores","Монстры с 40% шансом выпускают смертоносные [Volatiles|нестабильности] при смерти. [Rarity|Редкие] монстры оставляют более крупные нестабильности","Los monstruos tienen un 40% de probabilidad de liberar [Volatiles|volátiles] letales al morir. Los monstruos [Rarity|raros] dejan volátiles más grandes","มอนสเตอร์ มีโอกาสปล่อย[Volatiles|พลังไล่ระเบิด] 40% เมื่อตาย ส่วนมอนสเตอร์[Rarity|แรร์] จะปล่อยพลังที่มีขนาดใหญ่กว่าเดิม","怪物在死亡時有 40% 機率釋放致命的[Volatiles|易爆物] 。[Rarity|稀有]怪物會留下較大的易爆物",[],11143,"",[8205],[22],[],0,0,0,"[69,0,68]",71,0,"",[],0,0
71,"MonsterVolatileOnDeath5",[0],[13365],[],[70],1,"Volatile Fiends V","Monstres instables V","Explosive Feinde V","ボラタイルフィーンド V","일촉즉발의 마귀들 V","Monstros Voláteis V","Нестабильные демоны V","Enemigos volátiles V","ปีศาจไล่ระเบิด ระดับ 5","易爆惡魔 V","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonstersSpawnVolatile",39099,[],[],5,"Monsters have a 50% chance to release deadly [Volatiles] on death. [Rarity|Rare] monsters leave larger ones","Les Monstres ont 50% de chances de libérer des [Volatiles|Orbes instables] mortels en mourant. Les monstres [Rarity|Rares] libèrent des Orbes plus grands","Monster haben 50% Chance, bei Tod [Volatiles|explosive Kerne] zu entfesseln. [Rarity|Seltene] Monster entfesseln größere Kerne","モンスターは死亡時に50%の確率で危険な[Volatiles|ボラタイル]を放出する。[Rarity|レア]モンスターはより大きな[Volatiles|ボラタイル]を放出する","몬스터가 사망 시 50% 확률로 치명적인 [Volatiles|폭발물] 방출, [Rarity|희귀] 적은 더 큰 폭발물을 남김","Monstros têm 50% de chance de liberar explosivos [Volatiles|voláteis] letais ao morrer. Monstros [Rarity|raros] deixam explosivos maiores","Монстры с 50% шансом выпускают смертоносные [Volatiles|нестабильности] при смерти. [Rarity|Редкие] монстры оставляют более крупные нестабильности","Los monstruos tienen un 50% de probabilidad de liberar [Volatiles|volátiles] letales al morir. Los monstruos [Rarity|raros] dejan volátiles más grandes","มอนสเตอร์ มีโอกาสปล่อย[Volatiles|พลังไล่ระเบิด] 50% เมื่อตาย ส่วนมอนสเตอร์[Rarity|แรร์] จะปล่อยพลังที่มีขนาดใหญ่กว่าเดิม","怪物在死亡時有 50% 機率釋放致命的[Volatiles|易爆物] 。[Rarity|稀有]怪物會留下較大的易爆物",[],11143,"",[8205],[30],[],0,0,0,"[70,0,69,0]",-16843010,-16843010,"",[],0,0
72,"MonsterBuffEnragedBosses",[0],[],[],[],1,"Enraged Bosses","Boss enragés","Wütende Bosse","激怒するボス","격앙된 보스","Chefes Enfurecidos","Яростные боссы","Jefes enfurecidos","บอสเดือดดาล ระดับ 1","狂怒頭目","Art/2DArt/UIImages/InGame/Ultimatum/Icons/OverwhelmingMonsters",59510,[],[],1,"Bosses have 30% increased [Toughness] and 10% increased Damage","Les Boss ont 30% d'Augmentation de [Toughness|Robustesse] et 10% d'Augmentation de Dégâts","Bosse haben 30% erhöhte [Toughness|Widerstandsfähigkeit] und 10% erhöhten Schaden","ボスは[Toughness|タフネス]が30%増加しダメージが10%増加する","보스들의 [Toughness|강인함] 30% 증가, 피해 10% 증가","Chefes têm a [Toughness|dureza] aumentada em 30% e o dano aumentado em 10%","Боссы получают 30% повышение [Toughness|стойкости] и наносят увеличенный на 10% урон","Los jefes tienen la [Toughness|dureza] aumentada un 30% y el daño aumentado un 10%","บอส มี[Toughness|ความทรหด] เพิ่มขึ้น 30% และมีความเสียหาย เพิ่มขึ้น 10%","頭目增加 30% [Toughness|堅韌]和 10% 傷害",[],11250,"",[8205],[15],[13421],0,0,0,[],73,0,"",[],0,0
73,"MonsterBuffEnragedBosses2",[0],[],[],[72],1,"Enraged Bosses II","Boss enragés II","Wütende Bosse II","激怒するボス II","격앙된 보스 II","Chefes Enfurecidos II","Яростные боссы II","Jefes enfurecidos II","บอสเดือดดาล ระดับ 2","狂怒頭目 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/OverwhelmingMonsters",22832,[],[],3,"Bosses have 60% increased [Toughness] and 20% increased Damage","Les Boss ont 60% d'Augmentation de [Toughness|Robustesse] et 20% d'Augmentation de Dégâts","Bosse haben 60% erhöhte [Toughness|Widerstandsfähigkeit] und 20% erhöhten Schaden","ボスは[Toughness|タフネス]が30%増加しダメージが20%増加する","보스들의 [Toughness|강인함] 60% 증가, 피해 20% 증가","Chefes têm a [Toughness|dureza] aumentada em 60% e o dano aumentado em 20%","Боссы получают 60% повышение [Toughness|стойкости] и наносят увеличенный на 20% урон","Los jefes tienen la [Toughness|dureza] aumentada un 60% y el daño aumentado un 20%","บอส มี[Toughness|ความทรหด] เพิ่มขึ้น 60% และมีความเสียหาย เพิ่มขึ้น 20%","頭目增加 60% [Toughness|堅韌]和 20% 傷害",[],11250,"",[8205],[22],[13422],0,0,0,[72],74,0,"",[],0,0
74,"MonsterBuffEnragedBosses3",[0],[],[],[73],1,"Enraged Bosses III","Boss enragés III","Wütende Bosse III","激怒するボス III","격앙된 보스 III","Chefes Enfurecidos III","Яростные боссы III","Jefes enfurecidos III","บอสเดือดดาล ระดับ 3","狂怒頭目 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/OverwhelmingMonsters",17106,[],[],5,"Bosses have 100% increased [Toughness] and 30% increased Damage","Les Boss ont 100% d'Augmentation de [Toughness|Robustesse] et 30% d'Augmentation de Dégâts","Bosse haben 100% erhöhte [Toughness|Widerstandsfähigkeit] und 30% erhöhten Schaden","ボスは[Toughness|タフネス]が30%増加しダメージが30%増加する","보스들의 [Toughness|강인함] 100% 증가, 피해 30% 증가","Chefes têm a [Toughness|dureza] aumentada em 100% e o dano aumentado em 30%","Боссы получают 100% повышение [Toughness|стойкости] и наносят увеличенный на 30% урон","Los jefes tienen la [Toughness|dureza] aumentada un 100% y el daño aumentado un 30%","บอส มี[Toughness|ความทรหด] เพิ่มขึ้น 100% และมีความเสียหาย เพิ่มขึ้น 30%","頭目增加 100% [Toughness|堅韌]和 30% 傷害",[],11250,"",[8205],[30],[13423],0,0,0,"[73,0]",-16843010,-16843010,"",[],0,0
75,"MonsterBuffRareMonsterMods",[0],[13424],[],[],1,"Lethal Rare Monsters","Monstre Rares mortels","Tödliche seltene Monster","リーサルレアモンスター","치명적인 희귀 몬스터","Monstros Raros Letais","Беспощадные редкие монстры","Monstruos raros letales","มอนสเตอร์แรร์ร้ายแรง ระดับ 1","致死稀有怪物","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LethalRareMonsters",3542,[],[],1,"30% increased [Rarity|Rare] Monsters","30% d'Augmentation du nombre de Monstres [Rarity|Rares]","30% erhöhte [Rarity|seltene] Monster","[Rarity|レア]モンスターの量が30%増加する","[Rarity|희귀] 몬스터 30% 증가","Quantidade de monstros [Rarity|raros] aumentada em 30%","30% увеличение количества редких монстров","Los monstruos [Rarity|raros] están aumentados un 30%","เพิ่มมอนสเตอร์[Rarity|แรร์] 30%","增加 30% [Rarity|稀有]怪物",[],11256,"","[8205,15090,1030]","[9,0,30]",[],0,0,0,[],76,0,"",[],0,0
76,"MonsterBuffRareMonsterMods2",[0],[13424],[],[75],1,"Lethal Rare Monsters","Monstre Rares mortels","Tödliche seltene Monster II","リーサルレアモンスター","치명적인 희귀 몬스터","Monstros Raros Letais","Беспощадные редкие монстры","Monstruos raros letales","มอนสเตอร์แรร์ร้ายแรง ระดับ 2","致死稀有怪物","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LethalRareMonsters",45497,[],[],3,"60% increased [Rarity|Rare] Monsters","60% d'Augmentation du nombre de Monstres [Rarity|Rares]","60% erhöhte [Rarity|seltene] Monster","[Rarity|レア]モンスターの量が60%増加する","[Rarity|희귀] 몬스터 60% 증가","Quantidade de monstros [Rarity|raros] aumentada em 60%","60% увеличение количества редких монстров","Los monstruos [Rarity|raros] están aumentados un 60%","เพิ่มมอนสเตอร์[Rarity|แรร์] 60%","增加 60% [Rarity|稀有]怪物",[],11256,"","[8205,15090,1030]","[15,0,60]",[],0,0,0,[75],77,0,"",[],0,0
77,"MonsterBuffRareMonsterMods3",[0],[13424],[],[76],1,"Lethal Rare Monsters","Monstre Rares mortels","Tödliche seltene Monster III","リーサルレアモンスター","치명적인 희귀 몬스터","Monstros Raros Letais","Беспощадные редкие монстры","Monstruos raros letales","มอนสเตอร์แรร์ร้ายแรง ระดับ 3","致死稀有怪物","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LethalRareMonsters",1165,[],[],5,"[Rarity|Rare] Monsters have an additional [MonsterModifiers|Modifier]\n100% increased [Rarity|Rare] Monsters","Les Monstres [Rarity|Rares] ont un [MonsterModifiers|Modificateur] supplémentaire\n100% d'Augmentation du nombre de Monstres [Rarity|Rares]","[Rarity|Seltene] Monster haben einen zusätzlichen [MonsterModifiers|Modifikator]\n100% erhöhte [Rarity|seltene] Monster","[Rarity|レア]モンスターは[MonsterModifiers|モッド]を追加で1個持つ\n[Rarity|レア]モンスターの量が100%増加する","[Rarity|희귀] 몬스터가 [MonsterModifiers|속성] 1개 추가 보유\n[Rarity|희귀] 몬스터 100% 증가","Monstros [Rarity|raros] têm 1 [MonsterModifiers|modificador] adicional\nQuantidade de monstros [Rarity|raros] aumentada em 100%","[Rarity|Редкие] монстры обладают дополнительным [MonsterModifiers|свойством]\n100% увеличение количества редких монстров","Los monstruos [Rarity|raros] tienen un [MonsterModifiers|modificador] adicional\nLos monstruos [Rarity|raros] están aumentados un 100%","มอนสเตอร์[Rarity|แรร์]มี [MonsterModifiers|ม็อด] เพิ่มเติม 1 อย่าง\nเพิ่มมอนสเตอร์[Rarity|แรร์] 100%","[Rarity|稀有]怪物擁有一條額外[MonsterModifiers|詞綴]\n增加 100% 稀有怪物",[],11256,"","[8205,15090,1030]","[22,1,100]",[],0,0,0,"[76,0]",-16843010,-16843010,"",[],0,0
78,"LightningRuneDaemon1",[5],[],[],[],1,"Stormcaller Runes","Runes du Mande-orage","Sturmbeschwörer-Runen","ストームコーラー・ルーン","폭풍 소환사 룬","Runas Invocadoras de Tormentas","Руны призывателя шторма","Runas llamatormentas","อักขระเรียกสายฟ้า ระดับ 1","風暴喚者符文","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",11866,[],[],1,"Runes will appear that will call deadly [Lightning] storms if you remain in them","Des runes d'orage apparaissent\r\nCes runes déclenchent des tempêtes de [Lightning|Foudre] mortelle si vous restez dessus","Es erscheinen Runen, die tödliche [Lightning|Blitz]stürme beschwören, wenn Ihr auf ihnen steht","範囲内に留まると強力な[Lightning|ライトニング]ストームを呼び出すルーンが出現する","룬이 여러 개 나타납니다. 룬 안에 서 있으면 무시무시한 [Lightning|번개] 폭풍이 밀려옵니다.","Runas aparecerão e invocarão tempestades [Lightning|elétricas] mortais se você permanecer nelas","Появятся руны, которые будут призывать смертоносные шторма [Lightning|молнии], если вы будете стоять в них","Aparecerán unas runas que invocarán tormentas de [Lightning|rayo] mortales si permaneces sobre ellas","อักขระ จะปรากฏและจะเรียก พายุ[Lightning|สายฟ้า]อันตราย หากคุณยืนอยู่ในนั้น","若你持續待在符文中，符文會顯現並召喚致命的[Lightning|閃電]風暴",[],11071,"",[8205],[9],[],0,0,0,[],79,0,"",[],0,0
79,"LightningRuneDaemon2",[5],[],[],[78],1,"Stormcaller Runes II","Runes du Mande-orage II","Sturmbeschwörer-Runen II","ストームコーラー・ルーン II","폭풍 소환사 룬 II","Runas Invocadoras de Tormentas II","Руны призывателя шторма II","Runas llamatormentas II","อักขระเรียกสายฟ้า ระดับ 2","風暴喚者符文 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",40295,[],[],3,"Large runes will appear that will call deadly [Lightning] storms if you remain in them","De grandes runes d'orage apparaissent\r\nCes runes déclenchent des tempêtes de [Lightning|Foudre] mortelle si vous restez dessus","Es erscheinen große Runen, die tödliche [Lightning|Blitz]stürme beschwören, wenn Ihr auf ihnen steht","範囲内に留まると強力な[Lightning|ライトニング]ストームを呼び出す巨大なルーンが出現する","큰 룬이 여러 개 나타납니다. 룬 안에 서 있으면 무시무시한 [Lightning|번개] 폭풍이 밀려옵니다.","Runas grandes aparecerão e invocarão tempestades [Lightning|elétricas] mortais se você permanecer nelas","Появятся большие руны, которые будут призывать смертоносные шторма [Lightning|молнии], если вы будете стоять в них","Aparecerán unas runas grandes que invocarán tormentas de [Lightning|rayo] mortales si permaneces sobre ellas","อักขระขนาดใหญ่ จะปรากฏและจะเรียก พายุ[Lightning|สายฟ้า]อันตราย หากคุณยืนอยู่ในนั้น","若你持續待在符文中，大型符文會顯現並召喚致命的[Lightning|閃電]風暴",[],11074,"",[8205],[15],[],0,0,0,[78],80,0,"",[],0,0
80,"LightningRuneDaemon3",[5],[],[],[79],1,"Stormcaller Runes III","Runes du Mande-orage III","Sturmbeschwörer-Runen III","ストームコーラー・ルーン III","폭풍 소환사 룬 III","Runas Invocadoras de Tormentas III","Руны призывателя шторма III","Runas llamatormentas III","อักขระเรียกสายฟ้า ระดับ 3","風暴喚者符文 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",43498,[],[],5,"Many large runes will appear that will call deadly [Lightning] storms if you remain in them","Une multitude de grandes runes d'orage apparaissent\r\nCes runes déclenchent des tempêtes de [Lightning|Foudre] mortelle si vous restez dessus","Es erscheinen viele große Runen, die tödliche [Lightning|Blitz]stürme beschwören, wenn Ihr auf ihnen steht","範囲内に留まると強力な[Lightning|ライトニング]ストームを呼び出す複数の巨大なルーンが出現する","큰 룬이 많이 나타납니다. 룬 안에 서 있으면 무시무시한 [Lightning|번개] 폭풍이 밀려옵니다.","Muitas runas grandes aparecerão e invocarão tempestades [Lightning|elétricas] mortais se você permanecer nelas","Появится много больших рун, которые будут призывать смертоносные шторма [Lightning|молнии], если вы будете стоять в них","Aparecerán muchas runas grandes que invocarán tormentas de [Lightning|rayo] mortales si permaneces sobre ellas","อักขระขนาดใหญ่จำนวนมาก จะปรากฏและจะเรียก พายุ[Lightning|สายฟ้า]อันตราย หากคุณยืนอยู่ในนั้น","若你持續待在符文中，許多大型符文會顯現並召喚致命的[Lightning|閃電]風暴",[],11077,"",[8205],[22],[],0,0,0,"[79,0]",-16843010,-16843010,"",[],0,0
81,"ExpandingDonutsDaemon1",[5],[],[],[],1,"Impending Doom","Fatalité imminente","Drohendes Verdammnis","迫りくる終焉","임박한 멸망","Destruição Iminente","Нависшая опасность","Perdición inminente","หายนะเข้าใกล้ ระดับ 1","末日厄運","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ExpandingDonut",19673,[],[],1,"Rings of Doom appear on the ground which grow over time, exploding for [Physical] damage once they reach a maximum area","Des anneaux de Fatalité apparaissent sur le sol et s'agrandissent à mesure que le temps passe. Ils explosent lorsqu'ils atteignent leur taille maximale, infligeant des dégâts [Physical|Physiques]","Ringe des Chaos erscheinen auf dem Boden, die mit der Zeit größer werden und für [Physical|physischen] Schaden explodieren, sobald sie die maximale Fläche erreicht haben","時間の経過とともに成長し最大に達すると爆発し[Physical|物理]ダメージを与える終焉の輪が地面に現れる","바닥에 멸망의 고리가 나타나서 서서히 커지다가 최대 면적에 도달하면 폭발해 [Physical|물리]를 줍니다.","Anéis da Destruição aparecem no chão e crescem com o tempo, explodindo e causando dano [Physical|físico] ao atingirem uma área máxima","На земле возникают постепенно растущие кольца рока, которые детонируют [Physical|физическим] уроном по достижении максимума области действия","Aparecen unos anillos de perdición en el suelo que van creciendo con el tiempo y detonan cuando alcanzan su área máxima para infligir daño [Physical|físico]","วงแหวนหายนะ ปรากฏบนพื้นและขยายใหญ่ขึ้นอย่างต่อเนื่อง และจะระเบิดออกเป็นความเสียหาย [Physical|กายภาพ] เมื่อมีพื้นที่สูงสุด","災厄圓環出現在地面並持續擴大，在達到最大範圍時爆炸，造成[Physical|物理]傷害",[],11080,"",[8205],[12],[],0,0,0,[],82,0,"",[],0,0
82,"ExpandingDonutsDaemon2",[5],[],[],[81],1,"Impending Doom II","Fatalité imminente II","Drohendes Verdammnis II","迫りくる終焉 II","임박한 멸망 II","Destruição Iminente II","Нависшая опасность II","Perdición inminente II","หายนะเข้าใกล้ ระดับ 2","末日厄運戒指 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ExpandingDonut",4737,[],[],2,"Rings and circles of Doom appear on the ground which grow over time, exploding for [Physical] damage once they reach a maximum area","Des anneaux et des cercles de Fatalité apparaissent sur le sol et s'agrandissent à mesure que le temps passe. Ils explosent lorsqu'ils atteignent leur taille maximale, infligeant des dégâts [Physical|Physiques]","Ringe und Kreise des Chaos erscheinen auf dem Boden, die mit der Zeit größer werden und für [Physical|physischen] Schaden explodieren, sobald sie die maximale Fläche erreicht haben","時間の経過とともに成長し最大に達すると爆発し[Physical|物理]ダメージを与える終焉の輪および円が地面に現れる","바닥에 멸망의 고리와 원이 나타나서 서서히 커지다가 최대 면적에 도달하면 폭발해 [Physical|물리]를 줍니다.","Anéis e círculos da Destruição aparecem no chão e crescem com o tempo, explodindo e causando dano [Physical|físico] ao atingirem uma área máxima","На земле возникают постепенно растущие кольца и круги рока, которые детонируют [Physical|физическим] уроном по достижении максимума области действия","Aparecen unos anillos y círculos de perdición en el suelo que van creciendo con el tiempo y detonan cuando alcanzan su área máxima para infligir daño [Physical|físico]","วงแหวนและวงกลมหายนะ ปรากฏบนพื้นและขยายใหญ่ขึ้นอย่างต่อเนื่อง และจะระเบิดออกเป็นความเสียหาย [Physical|กายภาพ] เมื่อมีพื้นที่สูงสุด","災厄圓環和圓圈出現在地面並持續擴大，在達到最大範圍時爆炸，造成[Physical|物理]傷害",[],11083,"",[8205],[20],[],0,0,0,[81],-16843010,-16843010,"",[],0,0
83,"BloodOrbsDaemon1",[5],[],[],[],1,"Blood Globules","Globules de sang","Blutkugeln","血球","핏방울","Glóbulos de Sangue","Кровяные шары","Glóbulos sangrientos","ลูกโลหิต ระดับ 1","鮮血之球","Art/2DArt/UIImages/InGame/Ultimatum/Icons/BloodOrbs",28945,[],[],1,"Globules of blood manifest nearby, tracking you. When above you they will fall, dealing [Physical] damage","Des globules de sang se manifestent à proximité et vous suivent à la trace. Lorsqu'ils arrivent au-dessus de vous, ils tombent en infligeant des dégâts [Physical|Physiques]","Blutkugeln manifestieren sich in der Nähe und verfolgen Euch. Wenn sie sich über Euch befinden, fallen sie herunter und verursachen [Physical|physischen] Schaden.","血球が出現し、プレイヤーを追跡する。頭上にくると、落下し[Physical|物理]ダメージを与える","주변에 핏방울이 여러 개 나타나 플레이어를 향해 움직입니다. 플레이어의 머리 위에 오면 떨어지며 [Physical|물리] 피해를 줍니다.","Glóbulos de sangue se manifestam nas proximidades e te seguem. Quando estiverem sobre você, cairão, causando dano [Physical|físico]","Поблизости от вас появляются кровяные шары, преследующие вас. Оказавшись над вами, они упадут, нанося [Physical|физический] урон","Unos glóbulos de sangre se manifiestan en las cercanías y te siguen. Cuando estén encima de ti, caerán para infligir daño [Physical|físico]","ลูกโลหิต จะผุดขึ้นมาใกล้ๆ แล้วไล่ตามคุณ มันจะทิ้งตัวเมื่ออยู่เหนือหัวคุณเพื่่อสร้างความเสียหาย [Physical|กายภาพ]","血之球體在附近顯現，對你進行追蹤。在你上方時它們會降下，造成[Physical|物理]傷害",[],11086,"",[8205],[12],[],0,0,0,[],84,0,"",[],0,0
84,"BloodOrbsDaemon2",[5],[],[],[83],1,"Blood Globules II","Globules de sang II","Blutkugeln II","血球 II","핏방울 II","Glóbulos de Sangue II","Кровяные шары II","Glóbulos sangrientos II","ลูกโลหิต ระดับ 2","鮮血之球 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/BloodOrbs",29459,[],[],2,"Globules of blood manifest nearby, tracking you. When above you they will fall, dealing [Physical] damage and creating damaging blood ground","Des globules de sang se manifestent à proximité et vous suivent à la trace. Lorsqu'ils arrivent au-dessus de vous, ils tombent en infligeant des dégâts [Physical|Physiques] et créent un sol de sang","Blutkugeln manifestieren sich in der Nähe und verfolgen Euch. Wenn sie sich über Euch befinden, fallen sie herunter, verursachen [Physical|physischen] Schaden und erzeugen einen Blutboden.","血球が出現し、プレイヤーを追跡する。頭上にくると、落下し[Physical|物理]ダメージを与え、血液領域を生成する","주변에 핏방울이 여러 개 나타나 플레이어를 향해 움직입니다. 플레이어의 머리 위에 오면 떨어지며 [Physical|물리] 피해를 주고 바닥에 피해를 주는 피의 지대를 형성합니다.","Glóbulos de sangue se manifestam nas proximidades e te seguem. Quando estiverem sobre você, cairão, causando dano [Physical|físico] e criando um chão de sangue danoso","Поблизости от вас появляются кровяные шары, преследующие вас. Оказавшись над вами, они упадут, нанося [Physical|физический] урон и создавая наносящую урон кровавую землю","Unos glóbulos de sangre se manifiestan en las cercanías y te siguen. Cuando estén encima de ti, caerán para infligir daño [Physical|físico] y crear suelo sangriento","ลูกโลหิต จะผุดขึ้นมาใกล้ๆ แล้วไล่ตามคุณ มันจะทิ้งตัวเมื่ออยู่เหนือหัวคุณเพื่่อสร้างความเสียหาย [Physical|กายภาพ] และสร้าง พื้นโลหิต ขึ้นมา","血之球體在附近顯現，對你進行追蹤。在你上方時它們會降下，造成[Physical|物理]傷害並製造傷害性的鮮血地面",[],11089,"",[8205],[20],[],0,0,0,[83],-16843010,-16843010,"",[],0,0
85,"OmnitectDaemon1",[6],[],"[6,8]",[],1,"Vaal Omnitect","Omnitecte Vaal","Vaal-Omnitekt","ヴァール・オムニテクト","바알 종합체","Omniteto Vaal","Вседуша ваал","Omnitecto vaal","มหาสถาปนิกวาล์ ระดับ 1","瓦爾．全能","Art/2DArt/UIImages/InGame/Ultimatum/Icons/OmnitechBoss",13817,[],[],1,"An ancient Vaal machination will deploy attacks against nearby intruders","Une ancienne machination Vaal déploie des attaques contre les intrus à proximité","Eine uralte Vaal-Maschinerie wird Angriffe gegen Eindringlinge im Umkreis einsetzen","古代のヴァールのマシンが周囲の侵入者に対して攻撃を展開する","고대의 바알 기계가 주변의 침입자들을 공격하는 장치를 배치합니다.","Uma antiga maquinação vaal desencadeará ataques contra intrusos próximos","Древний механизм ваал будет применять атаки против нарушителей поблизости","Una antigua máquina vaal se despliega para atacar a los intrusos cercanos","จักรกลวาล์แต่โบราณ จะทำการ โจมตี ต่อผู้รุกรานที่อยู่ใกล้","一台古老的瓦爾機械，會對附近的入侵者發動攻擊",[],11050,"",[8205],[9],[],0,0,0,[],86,0,"",[],0,0
86,"OmnitectDaemon2",[6],[],[],[85],1,"Vaal Omnitect II","Omnitecte Vaal II","Vaal-Omnitekt II","ヴァール・オムニテクト II","바알 종합체 II","Omniteto Vaal II","Вседуша ваал II","Omnitecto vaal II","มหาสถาปนิกวาล์ ระดับ 2","瓦爾．全能 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/OmnitechBoss",52021,[],[],3,"An ancient Vaal machination will deploy an array of attacks against nearby intruders","Une ancienne machination Vaal déploie une panoplie d'attaques contre les intrus à proximité","Eine uralte Vaal-Maschinerie wird eine Reihe von Angriffen gegen Eindringlinge im Umkreis einsetzen","古代のヴァールのマシンが周囲の侵入者に対して連続攻撃を展開する","고대의 바알 기계가 주변의 침입자들을 공격하는 장치를 배열합니다.","Uma antiga maquinação vaal desencadeará uma série de ataques contra intrusos próximos","Древний механизм ваал будет применять ряд атак против нарушителей поблизости","Una antigua máquina vaal se despliega para liberar una ráfaga de ataques contra los intrusos cercanos","จักรกลวาล์แต่โบราณ จะทำการ โจมตีเป็นชุด ต่อผู้รุกรานที่อยู่ใกล้","一台古老的瓦爾機械，會對附近的入侵者發動一連串攻擊",[],11313,"",[8205],[15],[],0,0,0,[85],87,0,"",[],0,0
