"rownum","Id","Stats","StatValues","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","i32_56","bool_60","EffectCategory","NextEffect","string_85","BoonDesc","BoonDesc (French)","BoonDesc (German)","BoonDesc (Japanese)","BoonDesc (Korean)","BoonDesc (Portuguese)","BoonDesc (Russian)","BoonDesc (Spanish)","BoonDesc (Thai)","BoonDesc (Traditional Chinese)","CurseDesc","CurseDesc (French)","CurseDesc (German)","CurseDesc (Japanese)","CurseDesc (Korean)","CurseDesc (Portuguese)","CurseDesc (Russian)","CurseDesc (Spanish)","CurseDesc (Thai)","CurseDesc (Traditional Chinese)","i32_109","i32_113","bool_117","[rid]_118","Guard","FirstEffect","i32_158","i32_162","bool_166","bool_167","HASH16"
47,"BoonDefyDeath",[19988],[1],"Sekhema's Cloak","Voile de Sekhema","Umhang der Sekhema","セケマのマント","세케마의 망토","Capa da Sekhema","Плащ Сехемы","Capa de la sekhema","ผ้าคลุมเซ็คเคมา","絲克瑪的披風","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHolyDescryIcon",2,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHolyDescry","Upon reaching 0 [Honour], revive once with full [Honour]","Lorsque vous atteignez 0 d'[Honour|Honneur], vous revenez à la vie avec tout votre [Honour|Honneur], une seule fois","Sobald Ihr 0 [Honour|Ehre] erreicht, werdet Ihr einmalig mit voller [Honour|Ehre] wiederbelebt","[Honour|名誉]が0になった時に一度だけ[Honour|名誉]を全回復して復活する","[Honour|명예]가 0이 되면 [Honour|명예]가 가득 찬 상태로 1회 부활","Ao alcançar 0 de [Honour|Honra], revive uma vez com [Honour|Honra] cheia ","При достижении 0 [Honour|чести] вы единожды возрождаетесь с полной [Honour|честью]","Cuando llegues a 0 de [Honour|honor], revivirás una vez con todo el [Honour|honor]","เมื่อ[Honour|เกียรติ]เหลือ 0 คุณจะคืนชีพ\r\nโดยมี[Honour|เกียรติ]เต็มเพียงครั้งเดียว","[Honour|榮譽]歸 0 時，在[Honour|榮譽]全滿的狀態下復活一次","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",34499
48,"BoonPreventMinorAfflictions",[16413],[1],"Dekhara's Necklace","Collier de Dekhara","Halskette der Dekhara","デカーラの首飾り","데카라의 목걸이","Colar da Dekhara","Ожерелье дехара","Collar de dekhara","สร้อยเด็คคารา","勇士項鍊","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonDekharasResolveIcon",13,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonDekharasResolve","You cannot receive any more Minor [Afflictions]","Vous ne pouvez plus recevoir d'autres [Afflictions|Afflictions] mineures","Ihr könnt keine weiteren Kleinen [Afflictions|Bürden] mehr erhalten","軽微な[Afflictions|不幸]をこれ以上獲得することがない","보조 [Afflictions|고난] 획득 불가","Você não pode receber mais [Afflictions|Aflições] Menores ","Вы больше не можете получать малые [Afflictions|проклятия]","No puedes recibir ninguna [Afflictions|desventaja] menor más","คุณไม่สามารถรับ [Afflictions|ทัณฑ์]ชั้นต่ำ ได้อีก","你不能再獲得任何次要[Afflictions|苦痛]","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",13598
49,"AfflictionPreventBoons",[16414],[1],"Unassuming Brick","Brique quelconque","Unscheinbare Mauer","予期せぬヘマ","겸손한 친구","Tijolo Despretencioso","Небольшой кирпич","Bloqueo modesto","อิฐถ่อมตัว","不起眼的磚","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnassumingBrickIcon",13,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnassumingBrick","","","","","","","","","","","You cannot gain any more [Boons]","Vous ne pouvez plus recevoir d'autres [Boons|Bienfaits]","Ihr könnt keine weiteren [Boons|Segen] mehr erhalten","これ以上[Boons|恩恵]を獲得することができなくなる","[Boons|은혜] 획득 불가","Você não pode ganhar mais [Boons|Dádivas]","Вы больше не можете получать [Boons|благословения]","No puedes obtener ninguna [Boons|ventaja] más","คุณไม่สามารถรับ [Boons|พร] ได้อีก","你不會獲得任何[Boons|恩惠]",3,0,"",[],[],"",3,0,"","",50613
50,"BoonImmuneForNextRoom",[19107],[1],"Moment's Peace","Instant de paix","Moment der Ruhe","一瞬の平和","찰나의 평화","Momento de Paz","Минутная передышка","Momento de paz","สงบสุขชั่วครู่","片刻和平","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonClothFragmentTreeIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonClothFragmentTree","You cannot be Damaged until you complete the next room","Vous ne pouvez pas subir de Dégâts jusqu’à ce que vous terminiez la prochaine salle","Ihr könnt keinen Schaden erleiden, bis Ihr den nächsten Raum abschließt","次の部屋を完了するまでダメージを受けない","다음 방을 완료할 때까지 피해를 받지 않음","Você não pode sofrer Dano até completar a próxima sala","Вам нельзя нанести урон до завершения следующего зала","No te pueden dañar hasta que completes la siguiente sala","คุณจะไม่ได้รับความเสียหาย\r\nจนกว่าคุณจะผ่านห้องถัดไป","完成下個房間前，你不會受到任何傷害。","","","","","","","","","","",3,0,"",[],[],"",3,0,1,"",30866
51,"AfflictionLose%LifeAndEnergyShieldOnRoomCompletion",[16839],[30],"Spiked Exit","Sortie pointue","Stachliger Ausgang","棘のある出口","가시투성이 출구","Saída Espinhenta","Шипастый выход","Salida espinosa","ทางออกติดหนาม","尖刺入口","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpikedEntranceIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpikedEntrance","","","","","","","","","","","Take {0} [Physical] Damage on Room Completion","Vous subissez {0} Dégâts [Physical|Physiques] en terminant une Salle","Erleidet {0} [Physical|physischen] Schaden nach Abschluss des Raums","部屋を完了すると[Physical|物理]ダメージを{0}受ける","방 완료 시 [Physical|물리] 피해 {0} 받음","Receba {0} de Dano [Physical|Físico] ao concluir a sala","Вы получаете {0} [Physical|физического] урона при завершении зала","Recibes {0} de daño [Physical|físico] al completar la sala","รับความเสียหาย [Physical|กายภาพ] {0} เมื่อผ่านห้อง","完成房間時受到 {} [Physical|物理]傷害",3,0,"",[],[],"",3,0,"","",53929
52,"AfflictionNoMinimap","[16477,16482]","[1,-90]","Tattered Blindfold","Bandeau déchiré","Zerrissene Augenbinde","ボロボロの目隠し","해진 안대","Venda Esfarrapada","Рваная повязка","Ojos vendados","ผ้าปิดตาขาดวิ่น","破爛眼罩","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseTatteredBlindfoldIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseTatteredBlindfold","","","","","","","","","","","90% reduced Light Radius\r\nMinimap is hidden","90% de Réduction de votre Rayonnement lumineux\r\nLa Minicarte est cachée","90% verkleinerter Lichtradius\r\nMinikarte ist verdeckt","光半径が90%減少する\nミニマップが隠される","시야 반경 90% 감소\r\n미니맵 숨김","Raio de Iluminação reduzido em 90%\r\nMini-mapa é escondido","90% уменьшение радиуса обзора\r\nМини-карта скрыта","Radio de iluminación reducido un 90%\r\nEl minimapa está oculto","ลดรัศมีแสง 90%\r\nแผนที่ย่อ ถูกซ่อนเร้น","減少 90% 光線範圍\r\n(小地圖被隱藏)",3,0,"",[],[],"",3,0,"","",48875
53,"AfflictionCannotGainSacredWater",[16478],[1],"Unquenched Thirst","Soif inassouvie","Ungestillter Durst","癒されぬ渇き","채워지지 않는 갈증","Sede Insaciável","Неутолённая жажда","Sed insaciable","กระหายไม่รู้จบ","口乾舌燥","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionUnquenchedThirstIcon",13,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionUnquenchedThirst","","","","","","","","","","","You cannot gain [SacredWater|Sacred Water]","Vous ne pouvez pas gagner d'[SacredWater|Eaux sacrées]","Ihr könnt kein [SacredWater|Heiliges Wasser] erhalten","[SacredWater|神聖な水]を獲得できなくなる","[SacredWater|신성한 물] 획득 불가","Você não pode obter [SacredWater|Águas Sagradas] ","Вы не можете получать [SacredWater|святую воду]","No puedes obtener [SacredWater|agua sagrada]","คุณไม่สามารถรับ [SacredWater|วารีศักดิ์สิทธิ์] ได้","你無法獲得[SacredWater|神聖之水]",3,0,"",[],[],"",3,0,"","",38381
54,"AfflictionDamageTakenOnLowLife",[20453],[100],"Dishonoured Tattoo","Tatouage déshonorant","Unehrenhafte Tätowierung","不名誉なタトゥー","명예 잃은 문신","Tatuagem Desonrada","Татуировка позора","Tatuaje de deshonra","ลายสักเสื่อมเกียรติ","屈辱紋身","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionDishonouredTattooIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionDishonouredTattoo","","","","","","","","","","","100% increased Damage Taken while on [LowLife|Low Life]","Vous avez 100% d'augmentation de Dégâts subis tant que votre [LowLife|Vie est Basse]","100% erhöhter erlittener Schaden bei [LowLife|niedrigem Leben]","[LowLife|低ライフ]時に受けるダメージが100%増加する","[LowLife|낮은 생명력] 상태일 때 받는 피해 100% 증가","100% a mais de Dano Recebido enquanto estiver com [LowLife|Vida Baixa] ","100% увеличение получаемого урона при [LowLife|малом количестве здоровья]","Daño recibido aumentado un 100% mientras tengas la [LowLife|vida baja]","เพิ่มความเสียหายที่ได้รับ 100%\r\nขณะ [LowLife|พลังชีวิตเหลือน้อย]","[LowLife|貧血狀態]時增加 100% 承受傷害",3,0,"",[],[],"",3,0,"","",5501
55,"BoonDoubleSacredWaterThisFloor",[16480],[1],"Diverted River","Rivière détournée","Umgeleiteter Fluss","迂回した川","방향을 바꾼 강","Rio Desviado","Отведённая река","Río desviado","แม่น้ำผันน้ำ","岔河","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldFragmentRiverBentRiverIcon",4,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldFragmentRiverBentRiver","[SacredWater|Sacred Water] found on this floor is doubled","Les [SacredWater|Eaux sacrées] trouvées sur cet étage sont doublées","Gefundenes [SacredWater|Heiliges Wasser] in dieser Ebene wird verdoppelt","この階層で見つかる[SacredWater|神聖な水]が二倍になる","이 층에서 발견하는 [SacredWater|신성한 물] 2배","[SacredWater|Água Sagrada] encontrada neste andar é dobrada ","Найденная на этом этаже [SacredWater|святая вода] удваивается","El [SacredWater|agua sagrada] que encuentras en este piso está duplicada","[SacredWater|วารีศักดิ์สิทธิ์] ที่พบในชั้นนี้ เพิ่มเป็นสองเท่า","此樓層掉落的[SacredWater|神聖之水]為 2 倍","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",45401
56,"BoonDoubleSacredWater",[16479],[1],"Raincaller","Mande-pluie","Regenrufer","雨乞い","비 소환사","Chamado da Chuva","Призыватель дождя","Invocador de lluvia","ผู้เรียกฝน","喚雨者","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonRaincallingStaffIcon",13,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonRaincallingStaff","[SacredWater|Sacred Water] found is doubled","Les [SacredWater|Eaux sacrées] trouvées sont doublées","Gefundenes [SacredWater|Heiliges Wasser] wird verdoppelt","見つかる[SacredWater|神聖な水]が二倍になる","발견하는 [SacredWater|신성한 물] 2배","[SacredWater|Água Sagrada] encontrada é dobrada ","Найденная [SacredWater|святая вода] удваивается","El [SacredWater|agua sagrada] que encuentras está duplicada","[SacredWater|วารีศักดิ์สิทธิ์] ที่พบ เพิ่มเป็นสองเท่า","掉落的[SacredWater|神聖之水]為 2 倍","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",31580
57,"AfflictionWrongRoom",[16481],[33],"Deceptive Mirror","Miroir trompeur","Verzerrender Spiegel","欺きの鏡","기만하는 거울","Espelho Enganador","Обманчивое зеркало","Espejo engañoso","กระจกลวงหลอก","騙人鏡子","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseMirrorIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseMirror","","","","","","","","","","","You are not always taken to the room you select","Vous ne vous rendez pas toujours dans la salle que vous choisissez","Ihr werdet nicht immer zu dem Raum gebracht, den Ihr auswählt","選択した部屋に常に行くことができるわけではなくなる","일정 확률로 선택하지 않은 방으로 이동","Você nem sempre é levado até a sala que selecionar","Вы не всегда попадаете в тот зал, который выбрали","No siempre irás a la sala que elijas","คุณจะไม่ถูกนำไปยัง ห้องที่คุณเลือก เสมอไป","你不一定會被帶到你選擇的房間",3,0,"",[],[],"",3,0,"","",14131
58,"AfflictionNoHonourRecoveredThisFloor",[16214],[1],"Haemorrhage","Hémorragie","Ausbluten","出血","실혈","Hemorragia","Кровотечение","Hemorragia","ตกเลือด","出血","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionHaemorrhageIcon",3,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionHaemorrhage","","","","","","","","","","","You cannot restore [Honour] (removed after killing the next Boss)","Vous ne pouvez pas restaurer l'[Honour|Honneur] (disparaît après avoir tué le prochain Boss)","Ihr könnt keine [Honour|Ehre] wiederherstellen (nach Tötung des nächsten Bosses entfernt)","[Honour|名誉]を回復できなくなる (次のボスを倒すと取り除かれる )","[Honour|명예] 회복 불가 (다음 보스 처치 시 제거)","Você não pode restaurar [Honour|Honra] (removido após matar o próximo Chefe)","Вы не можете восстанавливать [Honour|честь] (пропадает после убийства следующего босса)","No puedes restaurar [Honour|honor] (se eliminará cuando mates al siguiente jefe)","คุณไม่สามารถรับ[Honour|เกียรติ]ได้\r\n(ถูกกำจัด เมื่อสังหารบอสถัดไป)","你無法恢復[Honour|榮譽]（擊殺下個頭目時移除）",3,0,"",[],[],"",3,0,"","",34171
59,"BoonRevealWholeFloor",[16484],[1],"All-Seeing Eye","L'Œil-qui-voit-tout","Allsehendes Auge","全てを見通す目","전시안","Olho Que Tudo Vê","Всевидящее око","Ojo que todo lo ve","ดวงตาเห็นสรรพสิ่ง","全視之眼","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAllSeeingEyeIcon",13,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAllSeeingEye","The Trial Map is fully revealed","La Carte de l'Épreuve vous est entièrement dévoilée","Die Prüfungs-Karte ist vollständig aufgedeckt","試練のマップが完全に公開される","시련 지도가 완전히 밝혀짐","O Mapa da Provação é totalmente revelado","Карта Испытания полностью раскрыта","El mapa de la prueba está totalmente revelado","แผนที่บททดสอบ ถูกเปิดเผยโดยสมบูรณ์","試煉地圖被完整揭露","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",9121
60,"BoonTrapSpeed",[16162],[1],"Lustrous Pearl","Perle brillante","Glänzende Perle","光沢のある真珠","빛나는 진주","Pérola Lustrosa","Блестящая жемчужина","Perla lustrosa","ไข่มุกมันวาว","璀璨珍珠","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLustrousPearlIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLustrousPearl","Traps are slower","Les pièges sont plus lents","Fallen sind langsamer","罠が遅くなる","덫이 느려짐","Armadilhas são mais lentas","Ловушки действуют медленнее","Las trampas son más lentas","กับดัก ช้าลง","陷阱被緩速","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",51140
61,"BoonMonsterReducedActionSpeed",[16717],[15],"Viscous Ichor","Ichor visqueux","Zähflüssiges Sekret","粘り気のある体液","점성 있는 영액","Fluido Viscoso","Вязкий ихор","Icor viscoso","ของเหลวหนืดข้น","粘稠膿液","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonViciousIchorIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonViciousIchor","Monsters have 15% reduced Action Speed","Les monstres ont 15% de Réduction de Vitesse d'action","Monster haben 15% verringerte Aktionsgeschwindigkeit","モンスターのアクションスピードが15%減少する","몬스터의 동작 속도 15% 감소","Monstros têm Velocidade de Ação reduzida em 15%","15% снижение скорости действий монстров","Los monstruos tienen la velocidad de acción reducida un 15%","มอนสเตอร์ มีความเร็วในการกระทำ ลดลง 15%","怪物減少 15% 行動速度","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",57507
62,"BoonMonsterReducedSanctumDamage",[],[],"Wooden Effigy","Effigie en bois","Holzfigur","木製の人形","나무 제웅","Efígie de Madeira","Деревянное чучело","Efigie de madera","รูปไม้จำลอง","木人像","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonWoodenEffigyIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonWoodenEffigy","[UNUSED]","25% de Perte d’impact des monstres sur la Résolution","Monster haben 25% weniger Wirkung auf die Willenskraft","モンスターが減らす決心が25%低下する","몬스터가 투지에 주는 영향 25% 감폭","Monstros impactam 25% menos Determinação","Монстры влияют на решимость на 25% слабее","Los monstruos eliminan un 25% menos de resolución","มอนสเตอร์ บั่นทอนความมุ่งมั่น ลดลง อีก 25%","怪物影響 25% 更少決心","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",46977
63,"BoonMonsterReducedMaximumLife",[991],[-30],"Sanguine Vial","Fiole sanguine","Phiole des Bluts","血の色の小瓶","핏빛 시약","Frasco Sanguíneo","Кровавый флакон","Vial sanguino","ขวดแก้วโลหิต","血紅瓶","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSanguineVialIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSanguineVial","Monsters have 30% less Maximum Life","Les monstres ont 30% de Perte de Vie maximale","Monster haben 30% weniger maximales Leben","モンスターの最大ライフが30%低下する","몬스터의 최대 생명력 30% 감폭","Monstros têm 30% menos Vida Máxima","Монстры имеют на 30% меньше здоровья","Los monstruos tienen un 30% menos de vida máxima","มอนสเตอร์ มีพลังชีวิตสูงสุด ลดลง อีก 30%","怪物有 30% 更少最大生命","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",41741
64,"BoonPlayerMoreDamage",[16750],[50],"Ornate Dagger","Dague ornée","Verzierter Dolch","豪華なダガー","화려한 단검","Adaga Ornamentada","Украшенный кинжал","Daga ornamentada","กริชหรูหรา","華麗匕首","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFancyDaggerIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFancyDagger","You and your minions deal 50% more Damage","Vous et vos Créatures infligez 50% Davantage de Dégâts","Ihr und Eure Kreaturen verursachen 50% mehr Schaden","プレイヤーとそのミニオンのダメージが50%上昇する","플레이어와 플레이어의 소환수가 주는 피해 50% 증폭","Você e seus lacaios causam 50% mais Dano","Вы и приспешники наносите на 50% больше урона","Tú y tus esbirros infligen un 50% más de daño","คุณและมิเนียนของคุณ\r\nสร้างความเสียหาย เพิ่มขึ้น อีก 50%","你和你的召喚物造成 50% 更多傷害","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",29924
65,"BoonInstaKillGuards10",[16572],[10],"Assassin's Blade","Lame de l'Assassin","Klinge des Assassinen","暗殺者の刃","암살자의 칼날","Lâmina do Assassino","Клинок убийцы","Espada del asesino","มีดมือสังหาร","刺客之刃","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBlade","The next 10 non-Boss Monsters you [HitDamage|Hit] are killed Instantly","Les 10 prochains monstres (hors boss) que vous [HitDamage|Touchez] meurent sur le coup","Die nächsten 10 Monster (Bosse ausgenommen), die Ihr [HitDamage|trefft], werden sofort getötet","これ以降プレイヤーが[HitDamage|ヒット]を与えた10体のボス以外のモンスターは即座に死ぬ","다음으로 [HitDamage|명중]하는 비-보스 몬스터 10마리가 즉사","Os próximos 10 Monstros que você [HitDamage|Acertar] e que não sejam Chefes são mortos instantaneamente ","Следующие 10 монстров, не являющихся боссами, будут мгновенно убиты при получении [HitDamage|удара] от вас","Los próximos 10 monstruos que [HitDamage|impactes] y que no sean jefes morirán al instante","มอนสเตอร์ที่ไม่ใช่บอส 10 ตัวถัดไปที่คุณ[HitDamage|ปะทะ]จะถูกสังหารทันที","你接下來[HitDamage|擊中]的 10 個非頭目怪物會被立即擊殺","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",6090
66,"BoonInstaKillGuards9",[16572],[9],"Assassin's Blade","Lame de l'Assassin","Klinge des Assassinen","暗殺者の刃","암살자의 칼날","Lâmina do Assassino","Клинок убийцы","Espada del asesino","มีดมือสังหาร","刺客之刃","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 9 non-Boss Monsters you [HitDamage|Hit] are killed Instantly","Les 9 prochains monstres (hors boss) que vous [HitDamage|Touchez] meurent sur le coup","Die nächsten 9 Monster (Bosse ausgenommen), die Ihr [HitDamage|trefft], werden sofort getötet","これ以降プレイヤーが[HitDamage|ヒット]を与えた9体のボス以外のモンスターは即座に死ぬ","다음으로 [HitDamage|명중]하는 비-보스 몬스터 9마리가 즉사","Os próximos 9 Monstros que você [HitDamage|Acertar] e que não sejam Chefes são mortos instantaneamente ","Следующие 9 монстров, не являющихся боссами, будут мгновенно убиты при получении [HitDamage|удара] от вас","Los próximos 9 monstruos que [HitDamage|impactes] y que no sean jefes morirán al instante","มอนสเตอร์ที่ไม่ใช่บอส 9 ตัวถัดไปที่คุณ[HitDamage|ปะทะ]จะถูกสังหารทันที","你接下來[HitDamage|擊中]的 9 個非頭目怪物會被立即擊殺","","","","","","","","","","",3,0,"",[],[],65,3,0,"","",6090
67,"BoonInstaKillGuards8",[16572],[8],"Assassin's Blade","Lame de l'Assassin","Klinge des Assassinen","暗殺者の刃","암살자의 칼날","Lâmina do Assassino","Клинок убийцы","Espada del asesino","มีดมือสังหาร","刺客之刃","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 8 non-Boss Monsters you [HitDamage|Hit] are killed Instantly","Les 8 prochains monstres (hors boss) que vous [HitDamage|Touchez] meurent sur le coup","Die nächsten 8 Monster (Bosse ausgenommen), die Ihr [HitDamage|trefft], werden sofort getötet","これ以降プレイヤーが[HitDamage|ヒット]を与えた8体のボス以外のモンスターは即座に死ぬ","다음으로 [HitDamage|명중]하는 비-보스 몬스터 8마리가 즉사","Os próximos 8 Monstros que você [HitDamage|Acertar] e que não sejam Chefes são mortos instantaneamente ","Следующие 8 монстров, не являющихся боссами, будут мгновенно убиты при получении [HitDamage|удара] от вас","Los próximos 8 monstruos que [HitDamage|impactes] y que no sean jefes morirán al instante","มอนสเตอร์ที่ไม่ใช่บอส 8 ตัวถัดไปที่คุณ[HitDamage|ปะทะ]จะถูกสังหารทันที","你接下來[HitDamage|擊中]的 8 個非頭目怪物會被立即擊殺","","","","","","","","","","",3,0,"",[],[],65,3,0,"","",6090
68,"BoonInstaKillGuards7",[16572],[7],"Assassin's Blade","Lame de l'Assassin","Klinge des Assassinen","暗殺者の刃","암살자의 칼날","Lâmina do Assassino","Клинок убийцы","Espada del asesino","มีดมือสังหาร","刺客之刃","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 7 non-Boss Monsters you [HitDamage|Hit] are killed Instantly","Les 7 prochains monstres (hors boss) que vous [HitDamage|Touchez] meurent sur le coup","Die nächsten 7 Monster (Bosse ausgenommen), die Ihr [HitDamage|trefft], werden sofort getötet","これ以降プレイヤーが[HitDamage|ヒット]を与えた7体のボス以外のモンスターは即座に死ぬ","다음으로 [HitDamage|명중]하는 비-보스 몬스터 7마리가 즉사","Os próximos 7 Monstros que você [HitDamage|Acertar] e que não sejam Chefes são mortos instantaneamente ","Следующие 7 монстров, не являющихся боссами, будут мгновенно убиты при получении [HitDamage|удара] от вас","Los próximos 7 monstruos que [HitDamage|impactes] y que no sean jefes morirán al instante","มอนสเตอร์ที่ไม่ใช่บอส 7 ตัวถัดไปที่คุณ[HitDamage|ปะทะ]จะถูกสังหารทันที","你接下來[HitDamage|擊中]的 7 個非頭目怪物會被立即擊殺","","","","","","","","","","",3,0,"",[],[],65,3,0,"","",6090
69,"BoonInstaKillGuards6",[16572],[6],"Assassin's Blade","Lame de l'Assassin","Klinge des Assassinen","暗殺者の刃","암살자의 칼날","Lâmina do Assassino","Клинок убийцы","Espada del asesino","มีดมือสังหาร","刺客之刃","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 6 non-Boss Monsters you [HitDamage|Hit] are killed Instantly","Les 6 prochains monstres (hors boss) que vous [HitDamage|Touchez] meurent sur le coup","Die nächsten 6 Monster (Bosse ausgenommen), die Ihr [HitDamage|trefft], werden sofort getötet","これ以降プレイヤーが[HitDamage|ヒット]を与えた6体のボス以外のモンスターは即座に死ぬ","다음으로 [HitDamage|명중]하는 비-보스 몬스터 6마리가 즉사","Os próximos 6 Monstros que você [HitDamage|Acertar] e que não sejam Chefes são mortos instantaneamente ","Следующие 6 монстров, не являющихся боссами, будут мгновенно убиты при получении [HitDamage|удара] от вас","Los próximos 6 monstruos que [HitDamage|impactes] y que no sean jefes morirán al instante","มอนสเตอร์ที่ไม่ใช่บอส 6 ตัวถัดไปที่คุณ[HitDamage|ปะทะ]จะถูกสังหารทันที","你接下來[HitDamage|擊中]的 6 個非頭目怪物會被立即擊殺","","","","","","","","","","",3,0,"",[],[],65,3,0,"","",6090
70,"BoonInstaKillGuards5",[16572],[5],"Assassin's Blade","Lame de l'Assassin","Klinge des Assassinen","暗殺者の刃","암살자의 칼날","Lâmina do Assassino","Клинок убийцы","Espada del asesino","มีดมือสังหาร","刺客之刃","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 5 non-Boss Monsters you [HitDamage|Hit] are killed Instantly","Les 5 prochains monstres (hors boss) que vous [HitDamage|Touchez] meurent sur le coup","Die nächsten 5 Monster (Bosse ausgenommen), die Ihr [HitDamage|trefft], werden sofort getötet","これ以降プレイヤーが[HitDamage|ヒット]を与えた5体のボス以外のモンスターは即座に死ぬ","다음으로 [HitDamage|명중]하는 비-보스 몬스터 5마리가 즉사","Os próximos 5 Monstros que você [HitDamage|Acertar] e que não sejam Chefes são mortos instantaneamente ","Следующие 5 монстров, не являющихся боссами, будут мгновенно убиты при получении [HitDamage|удара] от вас","Los próximos 5 monstruos que [HitDamage|impactes] y que no sean jefes morirán al instante","มอนสเตอร์ที่ไม่ใช่บอส 5 ตัวถัดไปที่คุณ[HitDamage|ปะทะ]จะถูกสังหารทันที","你接下來[HitDamage|擊中]的 5 個非頭目怪物會被立即擊殺","","","","","","","","","","",3,0,"",[],[],65,3,0,"","",6090
