"rownum","WorldArea","MonsterPacks","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","i32_40","[i32]_44","MapPin","Decorations","MapContentSet","CorruptedPin","i32_124","i32_128","MapPinCompleted","ObjectiveDescription","SpecialMapText","SpecialMapText (French)","SpecialMapText (German)","SpecialMapText (Japanese)","SpecialMapText (Korean)","SpecialMapText (Portuguese)","SpecialMapText (Russian)","SpecialMapText (Spanish)","SpecialMapText (Thai)","SpecialMapText (Traditional Chinese)","SpecialMapFlavourText","SpecialMapFlavourText (French)","SpecialMapFlavourText (German)","SpecialMapFlavourText (Japanese)","SpecialMapFlavourText (Korean)","SpecialMapFlavourText (Portuguese)","SpecialMapFlavourText (Russian)","SpecialMapFlavourText (Spanish)","SpecialMapFlavourText (Thai)","SpecialMapFlavourText (Traditional Chinese)","SpecialMapHelpText","SpecialMapHelpText (French)","SpecialMapHelpText (German)","SpecialMapHelpText (Japanese)","SpecialMapHelpText (Korean)","SpecialMapHelpText (Portuguese)","SpecialMapHelpText (Russian)","SpecialMapHelpText (Spanish)","SpecialMapHelpText (Thai)","SpecialMapHelpText (Traditional Chinese)","i32_188","i32_192","f32_196","f32_200","f32_204","bool_208","bool_209","MapContent","bool_226","string_227","string_227 (French)","string_227 (German)","string_227 (Japanese)","string_227 (Korean)","string_227 (Portuguese)","string_227 (Russian)","string_227 (Spanish)","string_227 (Thai)","string_227 (Traditional Chinese)","f32_235"
70,278,"[648,651]","The cult of Kamasa exploited Utzaal long before its fall.","Le culte de Kamasa a exploité Utzaal bien avant sa chute.","Der Kamasa-Kult beutete Utzaal lange vor seinem Untergang aus.","カマサの教団はウトザールの破滅の遥か前からそれを搾取していた。","카마사 교단은 웃자알이 몰락하기 오래전 그곳을 착취했습니다.","O culto de Kamasa explorou Utzaal muito antes de sua queda.","Культ Камасы пил соки из Утцааля задолго до его падения.","El culto de Kamasa se aprovechó de Utzaal mucho antes de su caída.","ลัทธิคามาซาหาประโยชน์\r\nจากอุทซาลมาช้านาน\r\nก่อนที่มันจะล่มสลาย","卡瑪薩邪教早在奧札爾墮落前便將其掏空殆盡。",0,[0],0,63,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
71,279,[717],"Remnants of Vaal artifice still remain.","Des vestiges de l'artifice Vaal subsistent encore.","Überreste der Vaal-Technologie sind noch vorhanden.","ヴァールの工夫の残骸が未だ残っている。","바알이 세운 책략의 흔적이 아직 남아 있습니다.","Vestígios de estratagemas vaal ainda persistem.","Останки изобретений ваал видны по сей день.","Aún quedan remanentes del artificio de los vaal.","ซากของเล่ห์กลวาล์ยังคงอยู่","瓦爾機巧的殘骸依然存在。",0,[0],0,64,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
72,289,[583],"Bleak heights overlook a devastated land.","Des sommets mornes surplombent une terre dévastée.","Kahle Höhen überragen ein verwüstetes Land.","荒涼たる高みが荒廃した地を見下ろしている。","음산한 고원이 황폐한 땅을 내려다봅니다.","Montes sombrios sobrepõem uma terra devastada.","Мрачные скалы возвышаются над опустошённой землёй.","Desde las alturas inhóspitas se observa una tierra devastada.","ยอดสูงเสียดฟ้าตั้งตระหง่าน\r\nเหนือแผ่นดินที่ล่มสลาย","寒風刺骨的高處俯視著飽受摧殘的土地。",0,[0],1,"",0,4,6,4833,5,124,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,65,200,"","",[],"","","","","","","","","","","",0
73,290,[641],"Life still clings to the highest places.","La vie s'accroche encore aux endroits les plus élevés.","An den höchsten Orten gibt es noch Anzeichen von Leben.","最も高き場所には未だ生命がしがみついている。","가장 높은 곳에 아직 생명이 들러붙어 있습니다.","A vida ainda se agarra aos lugares mais altos.","Жизнь все еще цепляется за самые высокие места.","La vida aún se aferra a los lugares más altos.","ชีวิตยังคงยืนยง\r\nในสถานที่สูงยิ่ง","生命無所謂高處不勝寒。",0,[0],1,"",0,4,6,4833,5,124,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,65,200,"","",[],"","","","","","","","","","","",0
74,352,[],"As separate worlds draw ever closer, the Nameless gather at the edge of existence.","Alors que des mondes séparés se rapprochent, les Sans-Nom se rassemblent à la frontière de l'existence.","Während die getrennten Welten immer näher zusammenrücken, versammeln sich die Namenlosen am Rande der Existenz.","異なる世界がかつてなく近づく中、名もなき者たちが現実の縁に集まってくる。","분리된 세계들이 점점 가까워지는 동안, 이름 없는 자들은 존재의 가장자리에 모여듭니다.","Com os mundos separados se aproximando, os Inominados se reúnem no limite do fim.","Когда разделённые миры близятся друг к другу, Безымянные жмутся к границе бытия.","A medida que los mundos separados se acercan cada vez más, los sin nombre se reúnen en el borde de la existencia.","เมื่อโลกที่แยกจากกันเข้ามาใกล้\r\nเหล่าผู้ไร้ชื่อรวมตัวกัน\r\nที่ขอบแห่งการมีตัวตน","隨著分隔的世界靠得越來越近，無名者為了存活而集結了起來。",0,[7],14,65,"",14,1,4151,14,127,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
75,341,[],"The prismatic patterns of Time shimmer and coalesce in vast geodes hidden from sight.","Les motifs prismatiques du Temps scintillent et se rassemblent dans d'immenses géodes dissimulées des regards.","Die prismatischen Muster der Zeit schimmern und verschmelzen in riesigen Geoden, die den Augen verborgen sind.","時の虹色の模様は輝き、目に見えぬ場所で広大な晶洞へと変わる。","시간의 무지갯빛 문양은, 시야로부터 숨은 채 광활한 정동 속에서 아른거리며 응집합니다.","Padrões prismáticos do tempo cintilam e se fundem em grandes geodos ocultos.","Разноцветные узоры Времени сверкают и сгущаются в обширных жеодах, сокрытых от глаз.","Los patrones prismáticos del tiempo brillan y se fusionan en enormes geodas ocultas a la vista.","แบบแผนปริซึมแหง่กาลเวลา\r\nทั้งแวววาวและรวมตัวกัน\r\nในโพรงผลึกมหึมา\r\nที่ไร้ผู้ใดพบเห็น","時間的棱彩圖樣閃爍著，並聚合成不可見的巨大晶球。",11,[35],17,67,"",17,1,4152,17,130,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
76,339,[],"<i>{\""Sons from foreign shores}\n<i>{Took refuge from the storm}\n<i>{Bringing knowledge of runes}\n<i>{Our fate was carved soon.\""} \r\n- Ezomyte Folklore","<i>{« Des enfants venus d'ailleurs}\n<i>{Se réfugièrent de la tempête}\n<i>{Apportant la connaissance des runes}\n<i>{Et scellant notre destin futur.\""} \r\n- Folklore ézomyte","<i>{\""Söhne von fremden Küsten}\n<i>{Suchten Zuflucht vor dem Sturm}\n<i>{Sie brachten das Wissen der Runen mit}\n<i>{Unser Schicksal war bald besiegelt.\""}\r\n– Folklore der Ezomyten","「異なる浜の息子たち\n嵐に追われ避難するためやってきた\nルーンの知識を持ってきて\n我らの運命はすぐに刻まれた。」\r\nーエゾミアの民間伝承","<i>{\""낯선 해안에서 온 아들들이}\n<i>{폭풍을 피해 숨어들며}\n<i>{룬에 대한 지식을 가져왔고}\n<i>{우리의 운명은 곧 정해졌네.\""} \r\n- 에조미어 민담","<i>{\""Filhos de terras distantes}\n<i>{abrigaram-se de ventos cortantes.}\n<i>{Com runas e saber profundo,}\n<i>{selaram o destino do mundo.\""}\r\n - Folclore Ezomyta","<i>{«‎Сыны с брегов далёких}\n<i>{От бури суровой укрылись}\n<i>{О рунах знания неся}\n<i>{Судьбу нашу вскоре сложили»‎.} \r\n- эзомитский фольклор","<i>{\""Hijos de costas extranjeras}\n<i>{Se refugiaron de la tormenta}\n<i>{Y trajeron el conocimiento de las runas}\n<i>{Nuestro destino pronto quedó grabado\"".} \r\n- Folclore ezomita","<i>{\""บุตรหลานแดนไกล}\n<i>{ลี้ภัยจากมรสุม}\n<i>{สอนเราให้รู้อักขระ}\n<i>{สลักชะตาเราในเร็ววัน\""}\r\n- นิทานพื้นบ้านเอโซไมต์","<i>{\""來自異國海岸的子嗣}\n<i>{為躲避風暴來到此地}\n<i>{隨之而來的是符文的知識}\n<i>{吾等的命運隨即被刻劃而成。\""} \r\n- 艾茲麥民間傳說",11,[35],15,68,"",15,1,4153,15,129,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
77,294,[743],"The Spirit guides the mountain-born.","L'Esprit guide les natifs des montagnes.","Der Geist leitet die in den Bergen Geborenen.","精霊は山に生まれし者を導く。","혼백이 산에서 태어난 자들을 인도합니다.","O espírito guia os nascidos da montanha.","Дух направляет рождённых в горах.","El Espíritu guía a los nacidos en las montañas.","พระวิญญาณทรงชี้ทาง\r\nแก่ผู้ที่กำเนิดในขุนเขา","魂靈會指引山地的後裔。",0,[0],0,60,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
78,340,[],"A mirror is a perfect prison for one's sense of self... until it cracks.","Un miroir est la prison idéale pour l'idée que l'on a de soi… jusqu'à ce qu'il se brise.","Ein Spiegel ist ein perfektes Gefängnis für das eigene Selbstverständnis … bis er Risse bekommt.","鏡は自己を閉じ込めておくのに最適な牢獄だ……割れてしまうまでは。","거울은 자아감을 가두기에 완벽한 감옥입니다... 금이 가기 전까지는요.","O espelho é a prisão perfeita para o ego... até ele se estilhaçar.","Зеркало – идеальная тюрьма для собственного я... пока оно не треснет.","Un espejo es la prisión perfecta para el sentido de uno mismo... hasta que se rompe.","กระจกเป็นที่คุมขังที่เหมาะแก่การ\r\nจองจำตัวตนของผู้หนึ่ง...\r\nจนกระทั่งมันเริ่มร้าว","鏡子是個對自我認知的完美監獄……直到破碎為止。",0,[7],16,66,"",16,1,4154,16,126,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","Reflective waters...","Reflective waters...","Spiegelnde Gewässer ...  ","水面が反射している……","반사하는 물...","Águas refletoras...","Отражающие воды...","Aguas reflectoras...","สายน้ำที่สะท้อน...","映照水域……",0
79,310,"[738,739,740]","Beware a chill colder than death itself.","Préparez-vous à un froid plus intense que la mort elle-même.","Hütet euch vor einer Kälte, die kälter ist als der Tod selbst.","死よりも冷たい冷気を恐れよ。","죽음보다 차가운 한기를 조심하십시오.","Cuidado com o frio mais gelado que a própria morte.","Бойся стылости холоднее самой смерти.","Cuidado con el frío que es más frío que la muerte.","พึงระวังไอหนาว\r\nที่เยือกเย็นกว่าความตาย","當心比死亡還要冷峻的寒冷。",0,[0],0,70,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
80,309,[773],"The Cataclysm tore the land asunder.","Le Cataclysme a brisé la terre en morceaux.","Die Katastrophe hat das Land in Stücke gerissen.","大災害は大地を引き裂いた。","대재앙이 이 땅을 갈라 놓았습니다.","O Cataclismo rasgou a terra em pedaços.","Катаклизм разорвал эту землю на части.","El Cataclismo partió la tierra en dos.","มหาภัยพิบัติ\r\nทำให้แผ่นดินขาดสะบั้น","浩劫劈天裂地。",0,[0],0,69,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
81,84,"[572,575]","A rare enclave of fertile earth.","Une enclave rare de terre fertile.","Eine seltene Enklave fruchtbarer Erde.","豊穣な大地の稀なる集落。","비옥한 흙의 귀한 공동체입니다.","Um pedaço raro de terra fértil.","Редкий уголок плодородной земли.","Un enclave extraño de tierra fértil.","ดินแดนหายาก\r\nที่มีแผ่นดินอุดมสมบูรณ์","一片罕見的沃土。",0,[6],0,41,"",0,3,4833,0,125,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
82,85,[733],"A refuge from the villains it once contained.","Un refuge contre les bandits qu'il contenait autrefois.","Ein Zufluchtsort vor den Schurken, die es einst beherbergte.","かつて囚えていた悪党たちからの避難所。","한때 이곳에 있던 악당들로부터 피신할 곳입니다.","Um refúgio dos vilões que antes o ocupavam.","Укрытие от злодеев, которых она когда-то содержала.","Un refugio de los villanos que una vez tuvo.","เป็นที่พักจากคนชั่ว\r\nที่เคยกักขังมันไว้","曾經囚禁惡徒之地，如今卻成為庇護所。",0,[6],0,41,"",0,3,4833,0,125,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
83,357,"[768,769,770,771,772]","Valako kept them here, to perfect their skills for war... but the Blood Fever consumed them.","Valako les a gardés ici, pour parfaire leurs aptitudes martiales… mais la Fièvre du sang les a consumés.","Valako hielt sie hier, um ihre Fähigkeiten für den Krieg zu perfektionieren ... doch das Blutfieber überkam sie.","ヴァラコは彼らが戦いの技を極められるよう彼らをここに留まらせたが……彼らは血熱に飲み込まれてしまった。","발라코가 그들을 이곳에 두고 전쟁 기술을 갈고닦게 했지만... 피의 열병이 그들을 집어삼켰습니다.","Valako os manteve aqui para aperfeiçoarem suas habilidades de guerra... mas a febre sangrenta os consumiu.","Валако держал их там, чтобы довести до совершенства их военные умения... но Кровавая лихорадка поглотила их.","Valako los mantuvo ahí, para perfeccionar sus habilidades para la guerra... pero la fiebre de sangre los consumió.","วาลาโคขังพวกเขาไว้ตรงนี้\r\nเพื่อฝึกปรือให้พร้อมรบ...\r\nทว่าพวกเขา\r\nถูกไข้โลหิตครอบงำ","瓦拉庫讓他們待在這裡，讓他們的戰爭技能更臻完美……最後血熱病吞噬了他們。",6,[8],20,71,0,21,7,4833,20,"","Eye of the Storm","L'Œil du cyclone","Auge des Sturms","嵐の目","태풍의 눈","Olho do Furacão","Глаз бури","Ojo de la tormenta","ใจกลางพายุ","暴風之眼","Within the storm, warriors can be seen, heard and feared.","Au sein de la tempête, les guerriers peuvent être vus, entendus et craints.","Inmitten des Sturms sind Krieger zu sehen, zu hören und zu fürchten.","嵐の中で戦士たちは見え、聞こえ、恐れられる。","폭풍 안에서 전사들의 모습이 보이고 소리를 들은 자들은 그들을 두려워한다.","Em meio à tempestade, guerreiros podem ser vistos, ouvidos e temidos.","Внутри бури воинов можно видеть, слышать и страшиться.","En la tormenta, se puede ver, oír y temer a los guerreros.","ท่ามกลางพายุ มีนักรบให้พบเห็น\r\nให้ยินเสียง ให้กลัวเกรง","在風暴之中，戰士們的身影與聲音令人畏懼。","Find and activate a Karui Beacon in a nearby Map to remove the Maelstrom and gain access to this Map.","Trouvez et activez une Balise karuie dans une Carte proche pour faire disparaître le Maelström et obtenir l'accès à cette Carte .","Findet und aktiviert ein Karui-Leuchtfeuer in einer nahegelegenen Karte, um den Mahlstrom zu entfernen und Zugang zu dieser Karte zu erhalten.","近くのマップでカルイビーコンをアクティベートし、渦を取り除きこのマップにアクセスしよう。","주변의 지도에 있는 카루이 표식을 찾아서 활성화하면 마엘스트롬을 제거하고 이 지도에 들어갈 수 있습니다.","Encontre e ative um Sinalizador Karui em um mapa próximo para eliminar o turbilhão e obter acesso a este mapa.","Найдите и активируйте маяк каруи на карте поблизости, чтобы убрать вихрь и открыть дорогу на эту карту.","Encuentra y activa un faro karui en un mapa cercano para eliminar el remolino y poder acceder a este mapa.","คามหาและเปิดใช้\r\nสัญญาณไฟคารุย\r\nในแผนที่ที่อยู่ใกล้แห่งหนึ่ง\r\nเพื่อสลายกระแสน้ำวน\r\nแล้วเปิดทางเข้าไปยังแผนที่นี้","在附近的地圖中尋找並啟動卡魯烽火，以消除魔暴並取得進入此地圖的權限。",4833,40,0,40,40,"","",[],1,"Crazed Chieftain...","Crazed Chieftain...","Verrückter Häuptling ... ","狂気の族長...","미쳐버린 부족장...","Caudilho enlouquecido...","Обезумевший вождь...","Jefe de guerra enloquecido...","หัวหน้าเผ่าสิ้นสติ...","瘋狂酋長……",0
84,308,"[632,602,601]","The Temporal's tongue captures the ear of those vying for power.","La langue du Temporel captive l'oreille de ceux qui se disputent le pouvoir.","Die Worte des Meisters der Zeit lassen die Ohren derer aufhorchen, die um die Macht wetteifern.","時を操る者の言葉は力を求める者たちの耳を捕らえる。","시간의 존재의 혀는 권력을 차지하기 위해 다투는 자들의 귀를 사로잡습니다.","A palavra do Temporal prende a atenção dos que disputam o poder.","Язык Вечного пленяет уши тех, кто борется за власть.","La lengua del Temporal captura el oído de aquellos que luchan por el poder.","วาจาผู้รู้กาล\r\nเข้าถึงหูของ\r\nผู้ที่อยากชิงอำนาจ","時空之靈的言語會蠱惑追尋力量者。",6,[8],22,72,0,23,7,4833,22,"","Temporal Sandstorm","Tempête de sable temporelle","Temporaler Sandsturm","時空の砂嵐","시간의 모래 폭풍","Tempestade de Areia Temporal","Песчаная буря времени","Tormenta de arena temporal","พายุทรายกาลเวลา","時空沙暴","The Temporal's tongue captures the ear of those vying for power.","La langue du Temporel captive l'oreille de ceux qui se disputent le pouvoir.","Die Worte des Meisters der Zeit lassen die Ohren derer aufhorchen, die um die Macht wetteifern.","時を操る者の言葉は力を求める者たちの耳を捕らえる。","시간의 존재의 혀는 권력을 차지하기 위해 다투는 자들의 귀를 사로잡습니다.","A palavra do Temporal prende a atenção dos que disputam o poder.","Язык Вечного пленяет уши тех, кто борется за власть.","La lengua del Temporal captura el oído de aquellos que luchan por el poder.","วาจาผู้รู้กาล\r\nเข้าถึงหูของ\r\nผู้ที่อยากชิงอำนาจ","時空之語擄獲了那些渴望權力之人的耳朵。","Find and activate Temporal Tethers in nearby Maps to dispel the Sandstorm and gain access to this Map.","Trouvez et activez des Attaches temporelles dans des Cartes proches pour dissiper la Tempête de sable et obtenir l'accès à cette Carte.","Findet und aktiviert drei Temporale Vorrichtungen in nahegelegenen Karten, um den Sandsturm aufzulösen und Zugang zu dieser Karte zu erhalten.","近くのマップで時空の鎖をアクティベートし、砂嵐を解呪しこのマップにアクセスしよう。","주변의 지도에서 시간의 올가미를 찾아 활성화하면, 모래 폭풍을 흩어 버리고 이 지도에 들어갈 수 있습니다.","Encontre e ative Condutores Temporais em mapas próximos para eliminar a tempestade de areia e obter acesso a este mapa.","Найдите и активируйте временные привязи на картах поблизости, чтобы развеять песчаную бурю и открыть дорогу на эту карту.","Encuentra y activa tres ataduras temporales en los mapas cercanos para despejar la tormenta de arena y obtener acceso a este mapa.","ตามหาและเปิดใช้ล่ามรั้ง\r\nในแผนที่ที่อยู่ใกล้\r\nเพื่อคลายมนต์พายุทราย\r\nแล้วเปิดทางเข้าไปยังแผนที่นี้","在附近的地圖中尋找並啟動時空繫鏈，以驅散沙暴並取得進入此地圖的權限。",4833,40,0,40,40,"","",[],1,"","","","","","","","","","",0
85,269,[563],"Darkness always finds its way into the minds of the weak.","Les ténèbres parviennent toujours à s'immiscer dans l'esprit des faibles.","Dunkelheit findet immer einen Weg in die Köpfe der Schwachen.","闇は必ず弱者の心に潜り込む。","어둠은 항상 약자의 정신에서 빈틈을 찾아냅니다.","A escuridão sempre encontra um jeito de se infiltrar na cabeça dos fracos.","Тьма всегда находит дорогу в разум слабых.","La oscuridad siempre encuentra su camino en las mentes de los débiles.","ความมืดย่อมพบหนทาง\r\nเข้าสู่จิตใจผู้ที่อ่อนแออยู่ร่ำไป","黑暗總是能滲入弱者的心靈。",6,[8],26,38,0,27,7,4833,26,"","Mansion in the Mists","Manoir dans les Brumes","Herrenhaus in den Nebeln","霧の中の豪邸","안개 속 대저택","Mansão nas Brumas","Поместье в тумане","Mansión de las nieblas","แมนชั่นในม่านหมอก","迷霧府邸","Dead litter the surrounding woods, their blood drained and taken.","Des cadavres jonchent les bois environnants, leur sang drainé et emporté.","Die umliegenden Wälder sind voller Leichen, ihre Körper blutleer.","血が抜かれ奪われた死者が辺りの森に散らばっている。","주변의 숲에는 피를 모조리 빨린 시체들이 널려 있습니다.","Com o sangue drenado e roubado, os mortos se espalham pelas matas ao redor.","Мёртвые, лишённые крови, усеивают окружающие леса.","Los bosques circundantes están llenos de cadáveres, desangrados y despojados de su sangre.","ศพกระจัดกระจาย\r\nอยู่ในป่ารอบข้าง\r\nเลือดพวกเขาถูกพรากไปสิ้น","屍骸散落在周圍的樹林中，他們的鮮血被抽乾並奪走。","Lure nearby Draiocht Wisps to this Mansion to purge the evil surrounding it.\r\nDraiocht Wisps can be lured closer by completing Maps that they gather about.","Attirez les Flammeroles draiochtes proches vers ce Manoir pour dissiper du mal qui l'entoure.\r\nLes Flammeroles draiochtes peuvent être attirées plus près en terminant des Cartes autour desquelles elles se rassemblent.","Lockt Draíocht-Irrlichter aus der Umgebung in dieses Herrenhaus, um das Böse zu vertreiben, das es umgibt.\r\nDraíocht-Irrlichter können näher herangelockt werden, indem man Karten abschließt, in denen sie vorkommen.","この館へ周囲の邪悪を祓うため、近くのドリオクト・ウィスプをおびき寄せる。\r\nドリオクト・ウィスプは、それらが集まっているマップを完了すると、さらにこの館の近くへおびき寄せられる。","주변에 있는 드라이어흐트 도깨비불을 이 대저택으로 유인하여 이 대저택을 에워싼 악을 정화하십시오.\r\n드라이어흐트 도깨비불이 모여 있는 지도를 완료하여 유인할 수 있습니다.","Atraia Lúmens Draíocht até esta mansão para purgar o mal que a cerca.\r\nLúmens Draíocht podem ser atraídos ao concluir mapas onde eles se reúnem.","Подманите огоньки Дриохт ближе к этому поместью, чтобы очистить окружающее его зло.\r\nОгоньки Дриохт можно подманить, завершая карты, вокруг которых они собираются.","Atrae a los fuegos fatuos de la Draiocht a esta mansión para purgar el mal que la rodea.\r\nLos fuegos fatuos de la Draiocht se pueden atraer completando los mapas en los que se encuentran.","ลวงวิสป์ดรีออกต์มายัง\r\nแมนชั่นนี้เพื่อชำระล้าง\r\nความชั่วช้าที่บดบัง\r\nคุณสามารถลวงวิสป์ดรีออกต์\r\nได้ด้วยการผ่านแผนที่\r\nที่มีพวกมันรวมตัวให้สำเร็จ","引誘附近的魔幻妖精至府邸，以驅逐縈繞的邪惡。 透過完成魔幻妖精聚集的地圖，即可將它們引誘得更近。",4833,40,0,40,40,"","",[],1,"","","","","","","","","","",0
86,333,"[662,663]","The Vaal who survived the Cataclysm must now survive each other.","The Vaal who survived the Cataclysm must now survive each other.","Die Vaal, die die Katastrophe überlebten, müssen sich jetzt gegenseitig überleben.","大災害を生き延びたヴァールは今度はお互いを生き延びねばならない。","대재앙에서 살아남은 바알인들은 이제 서로에게서 살아남아야 합니다.","Os vaal que sobreviveram ao Cataclismo agora precisam sobreviver uns aos outros.","Ваал, пережившие Катаклизм, должны теперь пережить друг друга.","Los vaal que sobrevivieron al cataclismo ahora deberán sobrevivir encerrados.","ชาววาล์ที่รอดจาก\r\nวันมหาภัยพิบัติ\r\nจะต้องเอาตัวรอด\r\nจากกันและกันให้จงได้","在災變中倖存的瓦爾人，如今必須在彼此的殘殺中生存",6,[8],24,73,0,25,7,4833,24,"","Estazunti's Vault","Estazunti's Vault","Estazuntis Schatzkammer","エスタズンティの避難所","에스타준티의 금고실","Cofre de Estazunti","Убежище Эстазунти","Cámara de Estazunti","สถานนิรภัยเอสตาซุนที","艾斯祖太的寶庫","Closed and forgotten to time, the Vault holds living secrets.","Closed and forgotten to time, the Vault holds living secrets.","Verschlossen und mit der Zeit vergessen, birgt die Kammer lebende Geheimnisse.","閉じたまま時と共に忘れられたこの避難所にはいくつもの生きた秘密が残されている。","닫힌 채 시간의 저편으로 잊힌 금고실에는 살아 있는 비밀이 숨겨져 있습니다.","Trancado e esquecido, o cofre guarda segredos vivos.","Закрытое и забытое, убежище хранит живые секреты.","Cerrada y perdida en el tiempo, la cámara custodia secretos vivientes.","พระคลังที่ถูกปิดตาย\r\nให้กาลเวลาลืมเลือน\r\nเก็บงำความลับที่มีชีวิต","幽閉於時間中而受到遺忘的寶庫藏有尚存於世的秘密。","Find and activate a Vessel of Estazunti in one of the connected Maps to access the Sealed Vault.","Find and activate a Vessel of Estazunti in one of the connected Maps to access the Sealed Vault.","Findet und aktiviert das Gefäß von Estazunti in einer verbundenen Karte, um die versiegelte Schatzkammer zu betreten.","隣接マップのひとつでエスタズンティの器を見つけてアクティベートし、封印された避難所にアクセスしよう。","연결된 지도 중 하나에서 에스타준티의 그릇을 찾고 활성화하면 봉인된 금고실에 들어갈 수 있습니다.","Encontre e ative um Receptáculo de Estazunti em um dos mapas conectados para acessar o Cofre Selado.","Найдите и активируйте Сосуд Эстазунти на одной из связанных карт, чтобы открыть доступ в Запечатанное убежище.","Encuentra y activa un recipiente de Estazunti en uno de los mapas conectados para entrar a la Cámara sellada. ","ตามหาและเปิดใช้\r\nภาชนะเอสตาซุนที\r\nในแผนที่ที่เชื่อมกันแห่งหนึ่ง\r\nเพื่อเปิดทางเข้าไปยัง\r\nสถานนิรภัยปิดตายแห่งนี้","\r\n在與連接至封印寶庫的地圖中尋找並啟動一枚艾斯祖太容器。",4815,40,0,40,40,"","",[],1,"","","","","","","","","","",0
87,307,"[625,623]","Where nomads share tales of a time before drought.","Là où les nomades partagent des histoires d'une époque avant la sécheresse.","Wo Nomaden Geschichten aus einer Zeit vor der Dürre teilen.","遊牧民たちが干ばつよりも前の時代を語る場所。","유목민들이 가뭄 전의 시대에 대한 이야기를 나누는 곳입니다.","Onde os nômades contam histórias de um tempo anterior à seca.","Там, где кочевники делятся историями о временах до засухи.","Donde los nómadas cuentan historias de un tiempo anterior a la sequía.","ถิ่นที่คนพเนจรเล่าเรื่องราว\r\nยุคสมัยก่อนที่จะเกิดความแห้งแล้ง","遊牧民在這裡講述著大旱來臨前的故事。",0,[0],0,75,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
88,303,"[640,697]","A garden bereft of its gardener still grows as it pleases.","Un jardin privé de son jardinier continue de pousser à sa guise.","Ein Garten ohne Gärtner wächst dennoch so, wie es ihm gefällt.","庭師のいない庭が未だ自由に繁茂する。","정원은 정원사가 없어져도 제멋대로 자랍니다.","Mesmo sem seu jardineiro, o jardim ainda cresce livremente.","Сад, лишённый садовника, продолжает расти как ему заблагорассудится.","Un jardín al que le falta su jardinero sigue creciendo a su antojo.","ป่าที่ไร้คนสวน\r\nยังเติบโตได้\r\nดังที่มันต้องการ","即使失去園丁，花園仍然自由地生長。",0,[0],0,90,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
89,313,[736],"Merchants and pirates alike need a safe port to peddle their wares.","Les marchands comme les pirates ont besoin d'un port sûr pour vendre leurs marchandises.","Sowohl Händler als auch Piraten benötigen einen sicheren Hafen, um ihre Waren zu handeln.","商人も海賊も品を売るための安全な港が必要だ。","상인과 해적 모두, 물건을 팔려면 안전한 항구가 필요합니다.","Tanto mercadores quanto piratas precisam de um porto seguro para negociar suas mercadorias.","Что купцам, что пиратам нужен безопасный порт для продажи своего добра.","Tanto mercaderes como piratas necesitan un puerto seguro donde comerciar sus mercancías.","ทั้งพ่อค้าหรือโจรสลัด\r\nต่างต้องการท่าเรือที่ปลอดภัย\r\nในการขายของของพวกเขา","商人與海盜都需要一個安全的港口來販賣貨物。",0,[0],0,85,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
