"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","TextXBox","TextXBox (French)","TextXBox (German)","TextXBox (Japanese)","TextXBox (Korean)","TextXBox (Portuguese)","TextXBox (Russian)","TextXBox (Spanish)","TextXBox (Thai)","TextXBox (Traditional Chinese)","i32_24","i32_28","i32_32","i32_36","[rid]_40","i32_56"
42,"ProxyKey46","<b>{Right-click} a <gemitem>{Skill Gem} to open the Skill Gems panel.","Effectuez un <b>{clic droit} sur une <gemitem>{Gemme d'aptitude} pour ouvrir le panneau des Gemmes d'aptitude.","<b>{Rechtsklicke} eine <gemitem>{Fertigkeitengemme}, um das Fertigkeitenmenü zu öffnen.","<gemitem>{スキルジェム}を<b>{右クリック}してスキルジェムパネルを開きます。","<gemitem>{스킬 젬}을 <b>{우클릭}하면 스킬 젬 창이 열립니다.","Clique com o <b>{Botão Direito} em uma <gemitem>{Gema de Habilidade} para abrir o painel de Gemas de Habilidade.","Щёлкните <b>{правой кнопкой мыши} на <gemitem>{камне умения}, чтобы открыть окно камней умений.","Haz <b>{clic derecho} en una <gemitem>{gema de habilidad} para abrir el panel de gemas de habilidad.","<b>{คลิกขวา}ที่<gemitem>{หินสกิล}เพื่อเปิดหน้าต่างหินสกิล","對<gemitem>{技能寶石}<b>{點擊右鍵}即可開啟技能寶石面板。","Press <<xbox_button_view>> to access the <b>{Character menu} and use <<xbox_button_lb>> or <<xbox_button_rb>> to cycle between tabs.","Appuyez sur <<xbox_button_view>> pour accéder au <b>{Menu de personnage} et utilisez <<xbox_button_lb>> ou <<xbox_button_rb>> pour naviguer entre les onglets.","Drücke <<xbox_button_view>>, um das <b>{Charaktermenü} aufzurufen und benutze <<xbox_button_lb>> oder <<xbox_button_rb>>, um zwischen den Reitern zu wechseln.","<<xbox_button_view>>を押して<b>{キャラクターメニュー}にアクセスし、<<xbox_button_lb>>または<<xbox_button_rb>>を使用してタブ間を移動できます。","<<xbox_button_view>>를 눌러 <b>{캐릭터 메뉴}에 들어간 후 <<xbox_button_lb>> 또는 <<xbox_button_rb>>로 탭을 이동할 수 있습니다.","Pressione <<xbox_button_view>> parar acessar o <b>{menu Personagem} e use <<xbox_button_lb>> ou <<xbox_button_rb>> para mudar de abas.","Нажмите <<xbox_button_view>> для открытия <b>{окна персонажа} и переключайтесь между разделами с помощью кнопок <<xbox_button_lb>> и <<xbox_button_rb>>","Presiona <<xbox_button_view>> para acceder al <b>{menú del personaje} y usa <<xbox_button_lb>> o <<xbox_button_rb>> para desplazarte entre las pestañas.","กด <<xbox_button_view>> ค้างเพื่อเปิด<b>{เมนูตัวละคร}แล้วเปลี่ยนแท็บที่ดูได้ด้วยการกด <<xbox_button_lb>> หรือ <<xbox_button_rb>>","按下<<xbox_button_view>>進入<b>{角色選單}後，可使用<<xbox_button_lb>>或<<xbox_button_rb>>切換頁面。",1,100,0,0,[],56
43,"ProxyKey47","<gemitem>{Uncut Skill Gems} can be used to either upgrade existing socketed <gemitem>{Skill Gems} or create new ones.","Les <gemitem>{Gemmes d'aptitude brutes} peuvent être utilisées soit pour améliorer des <gemitem>{Gemmes d'aptitude} équipées, soit pour en créer de nouvelles.","<gemitem>{Ungeschnittene Fertigkeitengemmen} können verwendet werden, um entweder bestehende eingefasste <gemitem>{Fertigkeitengemmen} aufzuwerten oder neue zu erstellen.","<gemitem>{スキルジェムの原石}は、ソケットされた既存の<gemitem>{スキルジェム}をアップグレードするか、新しいスキルジェムを作成するために使用できます。","<gemitem>{미가공 스킬 젬}은 기존에 장착 중인 <gemitem>{스킬 젬}을 업그레이드하거나 새 젬을 만드는 데 사용할 수 있습니다.","<gemitem>{Gemas Brutas de Habilidade} podem ser usadas ou para aprimorar <gemitem>{Gemas de Habilidade} já encaixadas, ou para criar novas.","<gemitem>{Неогранённые камни умений} можно использовать либо для улучшения имеющихся <gemitem>{камней умений} в гнёздах, либо для создания новых.","Puedes utilizar las <gemitem>{gemas de habilidad sin tallar} para mejorar las <gemitem>{gemas de habilidad} que tienes engarzadas o crear otras nuevas.","<gemitem>{หินสกิลหยาบ}สามารถนำไปใช้เพื่ออัพเกรด<gemitem>{หินสกิล}ที่ใส่อยู่ หรือใช้สร้างหินสกิลใหม่ก็ได้เช่นกัน","<gemitem>{未切割技能寶石}可用於升級已插入的<gemitem>{技能寶石}或創造新的技能寶石。","Use <<itemvisual:UncutSkillGem>> <gemitem>{Uncut Skill Gems} to either upgrade existing socketed <gemitem>{Skill Gems} or create new ones.","Utilisez des <<itemvisual:UncutSkillGem>> <gemitem>{Gemmes d'aptitude brutes} soit pour améliorer des <gemitem>{Gemmes d'aptitude} équipées, soit pour en créer de nouvelles.","Verwende <<itemvisual:UncutSkillGem>> <gemitem>{Ungeschnittene Fertigkeitengemmen}, um entweder bestehende eingefasste <gemitem>{Fertigkeitengemmen} aufzuwerten oder neue zu erstellen.","<<itemvisual:UncutSkillGem>> <gemitem>{スキルジェムの原石}を使用して、既存のソケットされた<gemitem>{スキルジェム}をアップグレードするか、新しいものを作成することができます。","<<itemvisual:UncutSkillGem>> <gemitem>{미가공 스킬 젬}을 사용해 기존에 장착 중인 <gemitem>{스킬 젬}을 업그레이드하거나 새 젬을 만들 수 있습니다.","Use <<itemvisual:UncutSkillGem>> <gemitem>{Gemas Brutas de Habilidade} para aprimorar as <gemitem>{Gemas de Habilidade} já encaixadas ou criar novas.","<<itemvisual:UncutSkillGem>> <gemitem>{Неогранённые камни умений} можно использовать либо для улучшения имеющихся <gemitem>{камней умений} в гнёздах, либо для создания новых.","Usa las <<itemvisual:UncutSkillGem>> <gemitem>{gemas de habilidad sin tallar} para mejorar las <gemitem>{gemas de habilidad} que tienes engarzadas o crear otras nuevas.","ใช้ <<itemvisual:UncutSkillGem>> <gemitem>{หินสกิลหยาบ} เพื่ออัพเกรด<gemitem>{หินสกิล}ที่ใส่อยู่ หรือใช้สร้าง<gemitem>{หินสกิลใหม่}ก็ได้เช่นกัน","使用<<itemvisual:UncutSkillGem>> <gemitem>{未切割的技能寶石}可以升級已插入的<gemitem>{技能寶石}或創造新的技能寶石。",1,100,0,0,[],56
44,"ProxyKey48","Attribute Requirements for your <gemitem>{Support Gems} are separate from those of your <gemitem>{Skill Gems} and <b>{Equipment}.","Les Prérequis d'Attributs de vos <gemitem>{Gemmes de soutien} sont distincts de ceux de vos <gemitem>{Gemmes d'aptitude} et de votre <b>{Équipment}.","Die Attributanforderungen für <gemitem>{Unterstützungsgemmen} sind getrennt von denen für <gemitem>{Fertigkeitengemmen} und <b>{Ausrüstung}.","<gemitem>{サポートジェム}の能力値要件は、<gemitem>{スキルジェム}および<b>{装備}の能力値要件とは別のものです。","<gemitem>{보조 젬}의 능력치 요구사항은 <gemitem>{스킬 젬}과 <b>{장비}의 요구사항과는 별개입니다.","Os Requisitos de Atributo para suas <gemitem>{Gemas de Suporte} são separados dos de suas <gemitem>{Gemas de Habilidade} e <b>{Equipmento}.","Требования к характеристикам для ваших <gemitem>{камней поддержки} отдельные от таковых для <gemitem>{камней умений} и <b>{снаряжения}.","Los requisitos de atributos de tus <gemitem>{gemas de asistencia} son independientes de los de tus <gemitem>{gemas de habilidad} y <b>{equipamiento}.","คุณมีเงื่อนไขค่าคุณสมบัติในการใช้<gemitem>{หินเสริม} ที่แยกจากเงื่อนไขในการใช้<gemitem>{หินสกิล}และเงื่อนไขในการใช้<b>{ไอเทมสวมใส่}","<gemitem>{輔助寶石}的能力值要求與你的<gemitem>{技能寶石}以及<b>{裝備}不同。","","","","","","","","","","",1,100,0,0,[],56
45,"ProxyKey49","Items can be <b>{Disenchanted} at some Vendors in Town, granting Currency Shards in return.","Les objets peuvent être <b>{Désenchantés} auprès de certains Marchands en Ville, vous octroyant des Éclats d'Objets monétaires en retour.","Bei einigen Händlern in der Stadt können Gegenstände <b>{entzaubert} werden, wofür man Währungssplitter erhält.","街にいる一部のベンダーはアイテムを<b>{解呪}することができ、カレンシーの欠片が得られます。","마을에 있는 상인에게 가면 아이템의 <b>{인챈트를 해제}하여 화폐 파편을 받을 수 있습니다.","Itens podem ser <b>{Desencantados} em alguns Mercadores na Cidade, concedendo Fragmentos Monetários em troca.","Предметы можно <b>{распылять} у некоторых торговцев в лагере, получая взамен осколки валюты.","Puedes <b>{desencantar} tus objetos en algunos vendedores del pueblo para recibir esquirlas de objetos monetarios a cambio.","คุณสามารถนำไอเทมไป<b>{สลาย}เพื่อแลกกับเศษเงินตราได้ที่ผู้ค้าขายบางคนในเมือง","物品可在城鎮中由某些商人<b>{祛魔}，藉此獲得通貨碎片。","","","","","","","","","","",1,100,0,0,[],56
46,"ProxyKey51","You can customise key bindings via the <b>{Input} tab in the <b>{options menu}.","Vous pouvez personnaliser vos raccourcis clavier via l'onglet <b>{Contrôles} dans le <b>{Menu des options}.","Du kannst die Tastenbelegung über die Schaltfläche <b>{Eingabe} im Menü <b>{Optionen} anpassen.","<b>{オプションメニュー}の<b>{入力}タブでキーバインディングを設定できます。","<b>{설정 메뉴}의 <b>{입력} 탭에서 키 지정을 변경할 수 있습니다.","Você pode customizar os botões designados via aba de <b>{Entrada} no <b>{menu de opções}.","Вы можете переназначить клавиши в разделе <b>{Ввод} <b>{меню настроек}.","Puedes personalizar los atajos en la pestaña <b>{Entrada} del <b>{menú de opciones}.","คุณสามารถปรับปุ่มต่างๆ ของคุณได้ในแท็บ<b>{การควบคุม}ภายใน<b>{เมนูตัวเลือก}","你可以在<b>{設定選單}的<b>{輸入}頁面自訂快捷鍵設定。","Press and hold <<xbox_button_view>> to open a radial menu for direct access to the <b>{rebind menu} and <b>{Character menu} tabs.","Appuyez et maintenez <<xbox_button_view>> pour ouvrir un menu circulaire et ainsi avoir un accès direct aux onglets <b>{Menu des raccourcis} et <b>{Menu de personnage}.","Drücke und halte <<xbox_button_view>>, um ein Radialmenü für den direkten Zugriff auf die Reiter <b>{Zuweisungsmenü} und <b>{Charaktermenü} zu öffnen.","<<xbox_button_view>>を押し続けるとラジアルメニューが開き、<b>{リバインドメニュー}タブと<b>{キャラクターメニュー}タブに直接アクセスできます。","<<xbox_button_view>>를 길게 누르면 원형 메뉴가 열리고, 이곳에서는 <b>{지정 변경 메뉴}와 <b>{캐릭터 메뉴} 탭을 바로 이용할 수 있습니다.","Pressione e segure <<xbox_button_view>> para abrir um menu radial e acessar diretamente as abas do <b>{menu de reatribuição} e <b>{menu Personagem}.","Нажмите и удерживайте <<xbox_button_view>> для открытия радиального меню, чтобы получить доступ к функции <b>{переназначения} и разделам <b>{окна персонажа}.","Mantén presionado <<xbox_button_view>> para abrir el menú circular que te otorga acceso directo a las pestañas <b>{menú de vinculación} y <b>{menú del personaje}.","กด <<xbox_button_view>> ค้างเพื่อเปิดเมนูแป้นหมุนและเข้าแท็บ<b>{เมนูปรับปุ่ม}และ<b>{เมนูตัวละคร}ได้โดยตรง","按住<<xbox_button_view>>開啟輪盤選單，即可直接進入<b>{重新綁定選單}和<b>{角色選單}頁面。",1,100,0,0,[],56
47,"ProxyKey52","Gold is useful in shops and also to respec your character.","L'Or sert principalement dans les boutiques et à respécialiser votre personnage.","Gold ist nützlich in Geschäften und auch, um euren Charakter neu zu spezialisieren.","ゴールドは店で利用できるだけでなく、キャラクターの振り直しにも利用できます。","골드는 상점에서 사용되며, 캐릭터를 재설계하는 데도 유용합니다.","O Ouro só é últil nas lojas e também para restituir seu personagem.","Золото пригодится вам в лавках и для сброса умений персонажа.","El oro es útil en las tiendas y también para volver a especializar tu personaje.","ทองมีไว้ใช้ในร้านค้าและมีไว้คืนพาสซีฟให้กับตัวละครของคุณอีกด้วย","黃金可用來在商店中購買物品，也可用來重置角色天賦點數。","","","","","","","","","","",1,100,0,0,[],56
48,"ProxyKey53","<b>{Right-click} an Uncut Skill Gem to craft it in a Skill Gems panel.","Effectuez un <b>{clic droit} sur une Gemme d'aptitude brute pour ouvrir le panneau Artisanat des gemmes et la Graver.","<b>{Rechtsklicke} auf eine Ungeschnittene Fertigkeitengemme, um sie in der Fertigkeitsübersicht zu schneiden.","スキルジェムパネル上でスキルジェムの原石を<b>{右クリック}してクラフトします。 ","미가공 스킬 젬을 <b>{우클릭}하면 스킬 젬 패널에서 젬을 제작할 수 있습니다.","Clique com o <b>{Botão Direito} em uma Gema Bruta para talhá-la no painel de Gemas de Habilidade.","Щёлкните <b>{правой кнопкой мыши} на неогранённом камне, чтобы обработать его в окне камней умений.","Haz <b>{clic derecho} en una gema de habilidad sin tallar para tallarla en el panel de gemas de habilidad.","<b>{คลิกขวา}ที่หินสกิลหยาบเพื่อนำไปคราฟท์ในหน้าต่างหินสกิล","在技能寶石面板中對未切割的寶石<b>{點擊右鍵}來加以打磨。","Press <<xbox_button_x>> on an <b>{Uncut Gem} in your inventory to craft it via the <b>{Skill Gem Crafting} panel.","Appuyez avec <<xbox_button_x>> sur une Gemme d'aptitude brute pour la Graver via le panneau <b>{Artisanat des gemmes}.","Drücke <<xbox_button_x>> auf eine <b>{Ungeschnittene Gemme} in deinem Inventar, um sie über die Oberfläche  <b>{Fertigkeitengemme anfertigen} zu schneiden.","インベントリ内の<b>{原石}上で<<xbox_button_x>>を押すことで<b>{スキルジェムクラフト}パネルを介して原石をクラフトできます。","소지품에 있는 <b>{미가공 스킬 젬}을 선택한 후 <<xbox_button_x>>를 누르면 <b>{스킬 젬 제작} 패널을 통해 젬을 제작할 수 있습니다.","Pressione <<xbox_button_x>> em uma <b>{Gema Bruta} em seu inventário para forjá-la através do painel de <b>{Forja de Gema de Habilidade}.","Нажмите <<xbox_button_x>> на <b>{неогранённом камне} в инвентаре, чтобы обработать его в окне <b>{обработки камней}.","Presiona <<xbox_button_x>> sobre una <b>{gema sin tallar} de tu inventario para tallarla en el panel de <b>{Fabricación de gemas de habilidad}.","กด <<xbox_button_x>> ที่<b>{หินหยาบ}เพื่อนำไปคราฟท์ใน<b>{หน้าต่างคราฟท์หินสกิล}","在背包中對著<b>{未切割的寶石}按下<<xbox_button_x>>，即可在<b>{技能寶石工藝}面板加以打磨。",1,100,0,0,[],56
49,"ProxyKey54","Spend your skill points in the Passive Skill Tree to improve your character's chance of survival.","Dépensez vos points de Talent dans l'Arbre des Talents pour améliorer les chances de survie de votre personnage.","Gib deine Fertigkeitspunkte im passiven Fertigkeitenbaum aus, um die Überlebenschancen deines Charakters zu verbessern.","パッシブスキルツリー上でスキルポイントを消費してキャラクターの生存可能性を向上できます。","패시브 스킬 트리에 스킬 포인트를 써서 캐릭터의 생존 확률을 높이십시오.","Gaste seus pontos de habilidade na Árvore Passiva para melhorar as chances de sobrevivência dos seus personagens.","Вкладывайте очки в дерево пассивных умений, чтобы повысить шанс выживания вашего героя.","Gasta tus puntos de habilidad en el árbol de habilidades pasivas para aumentar la probabilidad de que tu personaje sobreviva.","ใช้แต้มพาสซีฟในตารางพาสซีฟเพื่อเพิ่มโอกาสการอยู่รอดของตัวละครของคุณ","在天賦樹使用技能點數，提高角色的生存機率。","Press and hold <<xbox_button_view>> to access the <b>{Passives} and <b>{Skills} tabs directly via the radial menu.","Appuyez et maintenez <<xbox_button_view>> pour accéder aux onglets <b>{Talents} et <b>{Aptitudes} directement via le menu circulaire.","Drücke und halte <<xbox_button_view>>, um direkt über das Radialmenü auf die Reiter <b>{Passive} und <b>{Fertigkeiten} zuzugreifen.","<<xbox_button_view>>を押し続けることでラジアルメニューをから<b>{パッシブ}および<b>{スキル}タブに直接アクセスできます。","<<xbox_button_view>>를 길게 누르면 원형 메뉴를 통해 <b>{패시브}와 <b>{스킬} 탭을 바로 열 수 있습니다.","Pressione e segure <<xbox_button_view>> para acessar as abas de <b>{Passivas} e <b>{Habilidades} diretamente via menu radial.","Нажмите и удерживайте <<xbox_button_view>> для доступа к <b>{пассивным} и <b>{активным} умениям напрямую из радиального меню.","Mantén presionado <<xbox_button_view>> para acceder a las pestañas <b>{Pasivas} y <b>{Habilidades} directamente a través del menú circular.","กด <<xbox_button_view>> ค้างเพื่อเข้าแท็บ<b>{พาสซีฟ}และ<b>{สกิล}ได้โดยตรงผ่านเมนูแป้นหมุน","按住<<xbox_button_view>>，即可從輪盤選單直接進入<b>{天賦}和<b>{技能}頁面。",1,100,0,0,[],56
50,"ProxyKey55","You can allocate Spirit reserves via the <b>{Skills} menu to activate Auras and spawn Minions.","Vous pouvez attribuer vos réserves d'Esprit via le menu <b>{Aptitudes} pour activer des Auras et générer des Créatures.","Ihr könnt über das <b>{Fertigkeiten}-Menü Wille-Reserven zuweisen, um Auren zu aktivieren und Kreaturen zu erwecken.","<b>{スキル}メニューからスピリットのリザーブを割り当てて、オーラを発動し、ミニオンをスポーンできます。","<b>{스킬} 메뉴에서 오라를 활성화하고 소환수를 생성할 때 쓸 정신력 점유를 할당할 수 있습니다.","Você pode alocar reservas de Espírito através do menu <b>{Habilidades} para ativar Auras e invocar Lacaios.","Вы можете распределить резервы духа в <b>{меню умений}, чтобы активировать ауры и призывать приспешников.","Puedes asignar tus reservas de espíritu en el menú de <b>{Habilidades} para activar auras e invocar esbirros.","จัดสรรการสำรองพลังวิญญาณได้ด้วยเมนู<b>{สกิล}เพื่อเปิดใช้ออร่าและเรียกมิเนียนขึ้นมา","你可以透過<b>{技能}選單來分配精魂保留，藉此啟用光環和生成召喚物。","You can allocate <b>{Spirit} reserves via the <b>{Bind Screen} to activate Auras and spawn Minions.","Vous pouvez attibuer vos réserves d'Esprit via le <b>{Menu des raccourcis} pour activer des Auras et générer des Créatures.","Du kannst über das <b>{Zuweisungsfenster} <b>{Wille}-Reserven zuweisen, um Auren zu aktivieren und Kreaturen zu erwecken.","<b>{割り当て画面}から<b>{スピリット}のリザーブを割り当てて、オーラを発動し、ミニオンをスポーンできます。","<b>{지정 화면}에서 오라를 활성화하고 소환수를 생성할 때 쓸 <b>{정신력} 점유를 할당할 수 있습니다.","Você pode alocar reservas de <b>{Espírito} através da <b>{Tela de Vinculação} para ativar Auras e invocar Lacaios. ","Вы можете распределить резервы <b>{духа} в <b>{меню привязки}, чтобы активировать ауры и призывать приспешников.","Puedes asignar tus reservas de <b>{espíritu} en la <b>{Pantalla de vinculación} para activar auras e invocar esbirros.","จัดสรรการสำรอง<b>{พลังวิญญาณ}ได้ด้วย<b>{หน้าจอตั้งปุ่ม}เพื่อเปิดใช้ออร่าและเรียกมิเนียนขึ้นมา","你可以透過<b>{綁定視窗}來分配<b>{精魂}保留，藉此啟用光環和生成召喚物。",1,100,0,0,[],56
51,"ProxyKey56","Spirit reserves can be allocated per weapon set via the <b>{Advanced Info} panel for an equipped skillgem.","Les réserves d'Esprit peuvent être attribuées par Ensemble d'armes via le panneau <b>{Informations avancées} pour une gemme d'aptitude équipée.","Wille-Reserven können in der <b>{Erweiterte Info}-Oberfläche einer ausgerüsteten Fertigkeitengemme pro Waffenset zugewiesen werden.","スピリットのリザーブは、装備されているスキルジェムの<b>{詳細情報}パネルを介して武器セットごとに割り当てることができます。","장착 중인 스킬 젬의 <b>{심화 정보} 창에서 무기 세트별로 정신력 점유를 할당할 수 있습니다.","Reservas de Espírito podem ser alocadas por conjunto de armas através do painel <b>{Informações Avançadas} para uma gema de habilidade equipada.","Резервы духа можно назначать отдельно для каждого набора оружия в окне <b>{дополнительной информации} камня умения.","Las reservas de espíritu de una gema de habilidad equipada se pueden asignar para cada set de arma en el panel <b>{Información avanzada}.","จัดการการสำรองพลังวิญญาณแยกตามชุดอาวุธด้วยหน้าต่าง<b>{ข้อมูลขั้นสูง}ภายในหินสกิลที่สวมใส่","可透過<b>{進階資訊}面板為已裝備的技能寶石分配每個武器套裝的精魂保留。","<b>{Spirit} reserves can be allocated per weapon set via the Bind Screen reservation panel.","Les réserves d'Esprit peuvent être attribuées par Ensemble d'armes via le panneau Réservation du Menu des raccourcis.","<b>{Wille}-Reserven können in dem Reservierungsabschnitt des Zuweisungsfensters pro Waffenset zugewiesen werden.","<b>{スピリット}のリザーブは、割り当て画面のリザーブパネルを介して武器セットごとに割り当てることができます。","지정 화면의 점유 창에서 무기 세트별로 <b>{정신력} 점유를 할당할 수 있습니다.","Reservas de <b>{Espírito} podem ser alocadas por conjunto de armas através do painel de reservas da Tela de Vinculação.","Резервы <b>{духа} можно назначать отдельно для каждого набора оружия в меню привязки.","Las reservas de <b>{espíritu} se pueden asignar para cada set de arma en el panel de reserva de la Pantalla de vinculación.","จัดการการสำรอง<b>{พลังวิญญาณ}แยกตามชุดอาวุธด้วยหน้าต่างการสำรองของหน้าจอตั้งปุ่ม","可透過綁定視窗保留面板為每個武器套裝分配<b>{精魂}保留。",1,100,0,0,[],56
52,"ProxyKey57","","","","","","","","","","","You can switch targeting modes via the <b>{rebind menu} between Automatic, Melee and Ranged.","Vous pouvez changer de mode de ciblage (Automatique, Mêlée ou À distance) via le <b>{Menu des raccourcis}.","Du kannst den Zielmodus über das <b>{Zuweisungsmenü} zwischen Automatisch, Nahkampf und Fernkampf umschalten.","<b>{リバインドメニュー}でターゲティングモードを自動、近接または遠距離に切り替えられます。","<b>{지정 변경 메뉴}에서 대상 지정 모드를 자동, 근접, 원거리로 변경할 수 있습니다.","Você pode alternar os modos de mira através do <b>{menu de vinculação} entre Automático, Corpo a Corpo e À Distância.","Вы можете переключать режим прицеливания в окне <b>{переназначения кнопок} между автоматическим, ближним и дальним боем.","Puedes cambiar de modo de selección de objetivos en el <b>{menú de vinculación} para elegir entre Automático, Cuerpo a cuerpo y A distancia.","คุณสามารถสลับโหมดเลือกเป้าหมายระหว่างโหมดอัตโนมัติ ประชิด และระยะไกลได้ด้วย<b>{เมนูปรับปุ่ม}","你可透過<b>{重新綁定選單}切換自動、近戰和遠程的目標選擇模式。",1,100,0,0,[],56
53,"ProxyKey58","","","","","","","","","","","<b>{Automatic} targeting mode switches between Melee and Ranged targeting depending on your active weapon set.","Le mode de ciblage <b>{Automatique} alterne entre le ciblage de Mêlée et À distance en fonction de votre ensemble d'armes actif.","Der <b>{automatische} Zielmodus schaltet je nach aktivem Waffenset zwischen Nahkampf- und Fernkampfzielen um.","<b>{自動}ターゲティングモードは、アクティブな武器セットに応じて近接ターゲットと遠距離ターゲットが切り替わります。","<b>{자동} 대상 지정 모드에서는, 활성화된 무기 세트에 따라 대상 지정이 근접 또는 원거리로 변경됩니다.","<b>{Automático} alterna entre mira Corpo a Corpo e À Distância de acordo com o conjunto de armas ativo.","<b>{Автоматический} режим прицеливания переключается между ближним и дальним боем в зависимости от вашего текущего набора оружия.","El modo de selección de objetivos <b>{Automático} cambia entre Cuerpo a cuerpo y A distancia en función del set de armas que tengas activo.","โหมดเลือกเป้าหมาย<b>{อัตโนมัติ}จะสลับระหว่างการเลือกเป้าหมายแบบประชิดหรือระยะไกลตามชุดอาวุธของคุณที่ใช้งาน","<b>{自動}目標選擇模式會依據你使用中的武器套裝來切換近戰和遠程目標選擇。",1,100,0,0,[],56
54,"ProxyKey59","","","","","","","","","","","Set your targeting mode to <b>{Melee} or <b>{Ranged} to forces all weapon sets and skills to target with this method.","Définissez votre mode de ciblage sur <b>{Mêlée} ou <b>{À distance} pour forcer tous les ensembles d'armes et aptitudes à cibler avec cette méthode.","Stellt den Zielmodus auf <b>{Nahkampf} oder <b>{Fernkampf} ein, um alle Waffensets und Fertigkeiten zu zwingen, mit dieser Methode zu zielen.","ターゲティングモードを<b>{近接}または<b>{遠距離}に設定すると、すべての武器セットおよびスキルがこの方法でターゲティングされるようになります。","대상 지정 모드를 <b>{근접} 또는 <b>{원거리}로 설정하면, 모든 무기 세트와 스킬이 이 방법으로 대상을 지정하게 됩니다.","Defina seu modo de mira para <b>{Corpo a Corpo} ou <b>{À Distância} para forçar todos os conjuntos de armas e habilidades a usarem esse método de mira.","Переключите режим на <b>{ближний} или <b>{дальний} бой, и все наборы оружия и умения будут использовать этот метод прицеливания.","Establece tu modo de selección de objetivos como <b>{Cuerpo a cuerpo} o <b>{A distancia} para forzar a que todos los sets de armas y habilidades seleccionen a los objetivos con este método.","ปรับโหมดเลือกเป้าหมายให้เป็นโหมด<b>{ประชิด}หรือ<b>{ระยะไกล}เพื่อบังคับให้ชุดอาวุธและสกิลทั้งหมดเลือกเป้าหมายได้ด้วยวิธีดังกล่าว","將目標選擇模式設為<b>{近戰}或<b>{遠程}，會強制所有武器套裝和技能一律採用此方法。",1,100,0,0,[],56
55,"ProxyKey60","","","","","","","","","","","<b>{Melee} or <b>{Ranged} modes can be customised via the <b>{Bind Screen} and also impacts <b>{Automatic} targeting mode.","Les modes <b>{Mêlée} et <b>{À distance} peuvent être personnalisés via le <b>{Menu des raccourcis} et impactent également le mode de ciblage <b>{Automatique}.","Die Modi <b>{Nahkampf} und <b>{Fernkampf} können über das <b>{Zuweisungsfenster} angepasst werden und wirken sich auch auf den <b>{automatischen} Zielmodus aus.","<b>{近接}または<b>{遠距離}モードは<b>{割り当て画面}でカスタマイズでき、自動ターゲティングモードにも影響します。","<b>{근접} 또는 <b>{원거리} 모드의 동작은 <b>{지정 화면}을 통해 세밀하게 설정할 수 있고, <b>{자동} 대상 지정 모드도 이에 영향을 받습니다.","Os modos <b>{Corpo a Corpo} ou <b>{À Distância} podem ser personalizados através da <b>{Tela de Vinculação} e também afetam o modo de mira <b>{Automático}.","Режимы <b>{ближнего} и <b>{дальнего} боя можно настраивать в <b>{меню привязки} и это также влияет на <b>{автоматическое} прицеливание.","Los modos <b>{Cuerpo a cuerpo} y <b>{A distancia} se pueden personalizar en la <b>{Pantalla de vinculación}, y esto también afecta al modo de selección de objetivos <b>{Automático}.","คุณสามารถปรับแต่งโหมด<b>{ประชิด}หรือ<b>{ระยะไกล}ได้ด้วย<b>{หน้าจอตั้งปุ่ม} ซึ่งจะส่งผลต่อโหมดการเลือกเป้าหมาย<b>{อัตโนมัติ}เช่นกัน","<b>{近戰}或<b>{遠程}模式可透過<b>{綁定畫面}自訂，且也會影響<b>{自動}目標選擇模式。",1,100,0,0,[],56
56,"ProxyKey61","","","","","","","","","","","Press and hold the <b>{Map Button} and use <<xbox_rstick>> to pan the full map. ","Appuyez et maintenez enfoncé le <b>{bouton Carte} et utilisez <<xbox_rstick>> pour déplacer l'intégralité de la carte.","Halte die <b>{Kartentaste} gedrückt und benutze <<xbox_rstick>>, um die gesamte Karte zu verschieben. ","<b>{マップボタン}を押したまま、<<xbox_rstick>>でマップ全体をパンします。","<b>{지도 버튼}을 누른 상태로 <<xbox_rstick>을 사용하면 전체 지도에서 이동할 수 있습니다.","Pressione e segure o <b>{Botão de Mapa} e use <<xbox_rstick>> para mover o mapa completo. ","Удерживая <b>{кнопку карты}, двигайте <<xbox_rstick>> для прокрутки развёрнутой карты.","Mantén presionado el <b>{botón del mapa} y usa <<xbox_rstick>> para ver el mapa completo.","กด<b>{ปุ่มแผนที่}ค้างแล้วใช้ <<xbox_rstick>> เพื่อเลื่อนดูแผนที่ตัวเต็ม","按住<b>{地圖按鍵}並使用<<xbox_rstick>>來拖曳整張地圖。 ",1,100,0,0,[],56
