"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Invisible","Removable","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Stats","CancelOnDeath","MergeMode","ShowCount","Maximum_Stat","Current_Stat","bool_80","i32_81","BuffVisual","bool_101","bool_102","BuffCategory","bool_107","bool_108","bool_109","bool_110","BuffLimit","bool_115","Implementation","IsRecovery","bool_125","MinStat","bool_142","UIStackMode","bool_147","IsSkillBuff","i32_149","[i32]_153","bool_169","bool_170","MultiPartAchievement","bool_187","Stats2","GrantedFlags","GrantedStats","ConditionStats","bool_252","bool_253","bool_254","bool_255","rid_256","[i32]_272","string_288","string_288 (French)","string_288 (German)","string_288 (Japanese)","string_288 (Korean)","string_288 (Portuguese)","string_288 (Russian)","string_288 (Spanish)","string_288 (Thai)","string_288 (Traditional Chinese)","[rid]_296","[i32]_312","i32_328","PreloadGroup","bool_348","bool_349","bool_350"
1391,"recent_minion_buffs","","","","","","","","","","",1,"","","","","","","","","","","","[1892,172,135]",1,2,"","","","",31,0,1,"",1,"",1,1,"",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],"[1892,172,135]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1392,"gain_10_aoe_every_second_up_to_50","","","","","","","","","","",1,"","","","","","","","","","","",[],1,1,"","","",1,31,0,1,"",1,"","","","",0,"","GainStatsAtIntervalWhileStationary","","","","",8,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1393,"have_used_a_travel_skill_recently","","","","","","","","","","",1,"","","","","","","","","","","",[10320],"",9,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[10320],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1394,"have_cast_a_spell_recently","","","","","","","","","","",1,"","","","","","","","","","","",[10322],"",9,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[10322],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1395,"have_cursed_an_enemy_recently","","","","","","","","","","",1,"","","","","","","","","","","",[10324],"",9,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[10324],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1396,"have_chilled_an_enemy_recently","","","","","","","","","","",1,"","","","","","","","","","","",[],"",9,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[],[10326],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1397,"have_stunned_an_enemy_with_a_two_handed_melee_weapon_recently","","","","","","","","","","",1,"","","","","","","","","","","",[10328],"",9,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[10328],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1398,"have_crit_with_a_two_handed_melee_weapon_recently","","","","","","","","","","",1,"","","","","","","","","","","",[10329],"",9,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[10329],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1399,"have_used_a_brand_skill_recently","","","","","","","","","","",1,"","","","","","","","","","","",[10331],"",9,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[10331],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1400,"have_hit_with_main_hand_weapon_recently","","","","","","","","","","",1,"","","","","","","","","","","",[10333],"",9,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[10333],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1401,"have_hit_with_off_hand_weapon_recently","","","","","","","","","","",1,"","","","","","","","","","","",[10335],"",9,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[10335],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1402,"have_ignited_an_enemy_recently","","","","","","","","","","",1,"","","","","","","","","","","",[],"",9,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[],[10337],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1403,"have_summoned_totem_in_past_2_seconds","","","","","","","","","","",1,"","","","","","","","","","","",[10356],"",9,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[10356],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1404,"cannot_regen_life","","","","","","","","","","",1,"","","","","","","","","","","",[1008],1,3,"","","","",31,0,1,"",18,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[1008],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1405,"nearby_enemies_deal_reduced_damage","","","","","","","","","","",1,"","","","","","","","","","","",[24],"",3,"","","","",31,0,1,"",18,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[24],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1406,"generic_buff_aura","","","","","","","","","","",1,"","","","","","","","","","","",[],1,3,"","","","",31,0,1,"",18,"",1,1,"",0,"","GenericBuffAura","","","","",8,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1407,"affliction_corpse_degen","You are taking Physical Damage over time","Vous subissez des Dégâts physiques sur la durée.","Ihr erleidet physischen Schaden über Zeit.","物理継続ダメージを受けている","지속 물리 피해를 받고 있습니다","Você sofre dano físico degenerativo.","Вы получаете постепенный физический урон","Recibes daño físico degenerativo","คุณได้รับความเสียหาย กายภาพ ต่อเนื่อง","你正在承受物理持續傷害","","","Putrefaction","Putréfaction ","Fäulnis","腐敗","나병","Putrefação","Разложение","Putrefacción","เน่าเปื่อย","化膿",[344],"",3,"","","","",31,1284,"","",2,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[344],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1408,"hinder_aura","","","","","","","","","","",1,"","","","","","","","","","","",[10770],1,3,"","","","",31,0,1,"",18,"",1,1,"",0,"","HinderAura","","","","",8,"","",0,[],"","",[],"",[],[],[10770],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1409,"corpse_sink","","","","","","","","","","",1,"","","","","","","","","","","",[],"",11,"","","","",31,0,1,"",18,"",1,1,"",0,"","CorpseSink","","","","",8,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1410,"orion_beam_bomb_slow","You take 10% increased Damage and are 6% slower for each stack.","Les Dégâts physiques sont augmentés de 10% contre vous. Chaque application vous Ralentit de 6%.","Ihr erleidet pro Stapel 10% erhöhten Schaden und seid 6% langsamer.","スタックごとに受けるダメージが10%増加し6%減速する。","중첩 하나당 받는 피해가 10% 증가하고 동작이 6% 느려집니다.","Você sofre +10% de dano e fica 6% mais devagar por instância.","Вы получаете увеличенный на 10% урон и замедляетесь на 6% за каждый заряд.","Recibes daño aumentado un 10% y eres un 6% más lento por cada acumulación.","คุณได้รับความเสียหาย เพิ่มขึ้น 10% และช้าลง 6% ต่อจำนวนสถานะนี้","每層使你增加 10% 承受傷害和被緩速 6%。","","","Corruption of the Awakener","Corruption de l'Éveilleur ","Verderbtheit des Erweckers","覚醒させる者の腐敗","각성자의 타락","Corrupção do Precursor","Осквернение Пробудителя","Corrupción del Despertador","มลทินของผู้ทำให้โลกตื่น","喚醒者的腐化","[467,10783]",1,4,1,"","",1,31,1289,1,"",2,"",1,1,"",8,"","","","","","",8,"","",0,[],"","",[],1,[],[],"[467,10783]",[],"","","","","",[],"","","","","","","","","","",[],[3],1,[],"","",""
1411,"vomit_chunk_stew","You are slowed for each stack of this Debuff.","Chaque application de cet effet vous Ralentit de plus en plus.","Ihr seid für jeden Stapel dieser Schwächung verlangsamt.","このデバフがスタックする度に減速する。","이 디버프가 중첩될수록 움직임이 느려집니다.","Você sofre desaceleração por instância desta penalidade.","Каждый заряд этого отрицательного эффекта замедляет вас.","Estás ralentizado por cada acumulación de este efecto nocivo.","คุณเชื่องช้าลงต่อจำนวนดีบัฟนี้","每層此減異效果使你被緩速。","","","Explosive Retch","Vomi explosif ","Explosives Erbrochenes ","爆発性の嘔吐","폭발성 구역질","Vômito Explosivo","Взрывоопасная рвота","Arcada explosiva","ระเบิดอาเจียน","爆裂噴發",[337],"",4,1,"","","",31,1290,1,"",2,"",1,1,"",5,"","","","","","",8,"","",0,[],"","",[],"",[],[],[337],[],"","","","","",[],"","","","","","","","","","",[],[3],1,[],"","",""
1412,"spellslinger","You will trigger spells when you fire wand projectiles.","Vous déclenchez des sorts lorsque vous tirez des projectiles avec votre baguette.","Ihr löst Zauber aus, wenn Ihr Zauberstab-Projektile feuert.","ワンドで投射物放った場合、スペルがトリガーされる。","마법봉 투사체를 발사할 때 주문을 발동합니다.","Você ativa magias ao disparar projéteis de varinha.","Вы будете вызывать срабатывание чар, когда стреляете снарядами из жезла.","Activarás hechizos cuando dispares proyectiles de varita.","คุณจะทริกเกอร์เวทออกมาเองเมื่อคุณยิงกระสุนออกจากไม้กายสิทธิ์","當你發射法杖投射物會觸發法術。","",1,"Spellslinger","Projection de sortilèges","Zauberschwinger","スペルスリンガー","주문투척","Lança-magias","Чароплёт","Lanzahechizos","มือเวทจอมขมัง","法術回音",[],1,1,"","","","",31,1291,1,"",1,"",1,1,"",0,"","","","","","",1,"",1,0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1413,"have_crit_with_herald_recently","","","","","","","","","","",1,"","","","","","","","","","","",[10822],"",9,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[10822],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1414,"increased_enemy_elemental_damage_taken_from_item","You take increased Elemental Damage.","Vous avez une Augmentation des Dégâts élémentaires subis.","Ihr erleidet erhöhten Elementarschaden.","受ける元素ダメージが増加。","받는 원소 피해가 증가합니다.","Você sofre mais dano elemental.","Вы получаете увеличенный урон от стихий.","Recibes daño elemental aumentado.","คุณได้รับความเสียหาย ธาตุ เพิ่มขึ้น","你承受元素傷害。","","","Elemental Damage Taken Increase","Vulnérabilité aux éléments ","Erhöhung des erlittenen Elementarschadens","被元素ダメージ増加","받는 원소 피해 증가","Aumento de Dano Elemental Sofrido","Увеличение получаемого урона от стихий","Aumento del daño elemental recibido","เพิ่มความเสียหายธาตุที่ได้รับ","增加承受元素傷害",[3363],1,3,"","","","",31,993,1,"",2,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[3363],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1415,"rune_paint_hidden_teleport_cooldown","","","","","","","","","","",1,"","","","","","","","","","","",[],"",3,"","","","",31,0,1,"",2,"",1,1,"",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1416,"keystone_reactionary_physical_damage_reduction","","","","","","","","","","",1,"","","","","","","","","","","",[1040],"",3,"","","","",31,0,1,"",18,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[1040],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1417,"keystone_reactionary_plus_elemental_max_resist","","","","","","","","","","",1,"","","","","","","","","","","","[136,954]","",3,"","","","",31,0,1,"",18,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[136,954]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1418,"keystone_reactionary_track_guard_skill_ended_recently","","","","","","","","","","",1,"","","","","","","","","","","",[],"",3,"","","","",31,0,1,"",18,"",1,1,"",0,"","KeystoneReactionaryTrackGuardSkill","","","","",8,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1419,"keystone_reactionary_damage_taken_pluspercent","","","","","","","","","","",1,"","","","","","","","","","","",[10932],"",3,"","","","",31,0,1,"",18,"",1,1,"",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[10932],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1420,"glorious_madness","You're going gloriously mad. You will be repeatedly touched in random ways.","Vous êtes en proie à une démence sublime. Vous allez entrer en contact de manière répétée avec des effets aléatoires.","Ihr verfallt dem Wahnsinn und werdet wiederholt auf zufällige Weise berührt.","輝かしい狂気に侵されている。ランダムなデバフを何度も受ける。","찬란한 광기에 빠졌습니다. 무작위 방식으로 여러 차례 손길의 영향을 받습니다.","A loucura está dominando você. Efeitos aleatórios te atingirão repetidamente.","Вы становитесь по-великолепному безумны. Вас постоянно будут \""касаться\"" различными путями.","Te estás volviendo loco de manera gloriosa. Recibirás Toques repetidamente y de maneras aleatorias.","คุณกำลังบ้าคลั่งอย่างทรงเกียรติ คุณจะติดสถานะ สัมผัส แบบสุ่มอย่างต่อเนื่อง","你正在榮耀瘋顛中。你會不斷隨機施放觸之效果。","","","Glorious Madness","Splendide démence ","Herrlicher Wahnsinn","燦然たる狂気","찬란한 광기","Loucura Gloriosa","Великолепное безумие","Locura gloriosa","ความบ้าคลั่งอันทรงเกียรติ","榮耀瘋癲","[10920,10921]",1,3,"","","","",31,1266,1,"",18,"",1,1,"",0,"","GloriousMadness","","","","",8,"",1,0,[],"","",[],"",[],[],"[10920,10921]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1421,"lightning_volatile_slow","You have 30% less action speed.","Vous perdez 30% de Vitesse d'action.","Ihr verfügt über 30% weniger Aktionsgeschwindigkeit.","アクションスピードが30%低下。","동작 속도가 30% 감폭됩니다.","Você tem 30% menos velocidade de ação.","Скорость ваших действий на 30% меньше.","Tienes un 30% menos de velocidad de acción.","คุณมีความเร็วในการกระทำ ลดลง อีก 30%","你有 30% 更少行動速度。","","","Electrifying Gaze","Regard électrifiant ","Elektrisierendes Starren","電撃の凝視","대전하의 응시","Contemplação Eletrificante","Электризующий взор","Mirada electrizante","การจับจ้องไฟฟ้าสถิต","電光凝視",[10783],1,3,"","","",1,31,1306,1,"",2,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[10783],[],"","","","","",[],"","","","","","","","","","",[],[3],1,[],"","",""
1422,"herald_of_agony_max_virulence_hidden","","","","","","","","","","",1,"","","","","","","","","","","",[10726],1,3,"","","","",31,0,1,"",18,"",1,1,"",0,"","","",1,"","",8,"",1,0,[],"","",[],"",[],[],[10726],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1423,"elemental_warding_buff_fated","You are unaffected by Curses","Les Malédictions ne vous affectent pas.","Ihr seid unbeeinträchtigt von Flüchen.","呪いの影響を受けない。","저주의 영향을 받지 않습니다.","Você não sofre os efeitos de maldições.","Вы невосприимчивы к проклятиям.","No te afectan las maldiciones","คุณไม่ได้รับผลจาก คำสาป","你不受到詛咒影響","",1,"Elemental Warding","Préservation élémentaire ","Elementare Abwehr","エレメンタルウォーディング","원소의 수호","Salvaguarda Elemental","Стихийная защита","Guarda elemental","ธาตุพิทักษ์","元素守護",[6951],1,3,"","","","",31,1374,1,"",1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[6951],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1424,"rallying_cry_new_weapon_damage_added","A portion of your ally's weapon damage is being added to you","Vous bénéficiez d'une partie des dégâts d'arme de vos alliés.","Ihr erhaltet einen Teil des Waffenschadens von Verbündeten.","味方の武器ダメージの一部を、自身に追加。","동료의 무기 피해의 일부가 플레이어에게 추가되고 있습니다.","Parte do dano da arma do seu aliado é adicionada ao seu.","Часть урона от оружия вашего союзника добавлена к вашему урону.","Una parte del daño del arma de tu aliado se te añade a ti.","ความเสียหายจากอาวุธของเพื่อนได้ถูกนำมาเสริมให้คุณ","你友方的部分武器傷害附加至你身上","","","Rallied","Ralliement ","Schlachtruf","ラリイド","집결함","Mobilização","Сплочённость","Inspirado","รวมทัพ","召集","[30,45,52,59,66,31,46,53,60,67]",1,3,"","","",1,31,1379,1,"",1,"",1,1,"",0,"","RemoveOnOwnerWeaponSwap","","","","",8,"","",0,[],"","",[],"",[],[],"[30,45,52,59,66,31,46,53,60,67]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1425,"infernal_cry","You will explode if you die with this debuff.","Vous exploserez si vous mourez en étant affecté par cet effet.","Ihr explodiert, wenn Ihr mit dieser Schwächung sterbt.","このデバフを受けている間に死亡した場合、爆発する。","이 디버프를 가진 상태에서 죽으면 폭발합니다.","Você explodirá se morrer com esta penalidade.","Вы взорветесь, если умрете во время действия этого отрицательного эффекта.","Explotarás si mueres con este efecto nocivo.","คุณจะระเบิดหากคุณตายขณะที่มีบัฟนี้อยู่","若你死時有此減益效果，你會爆炸。","","","Infernal Cry","Cri infernal ","Höllischer Schrei","インファーナルクライ","지옥불 함성","Clamor Infernal","Клич преисподней","Grito infernal","คำรามโลกันตร์","煉獄戰吼",[],1,3,"","","",1,31,1369,1,"",2,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1426,"enduring_cry_endurance_charge_benefits","You have extra physical damage reduction and elemental resistance for each endurance charge you have.","Vous bénéficiez d'un bonus supplémentaire de Réduction des Dégâts physiques subis et de Résistances élémentaires pour chaque Charge d'endurance que vous avez.","Ihr erhaltet für jede Widerstands-Ladung zusätzliche physische Schadensminderung und Elementarwiderstände.","エンデュランスチャージの数に応じて、追加の物理ダメージ軽減および元素耐性を獲得。","보유 중인 인내 충전 하나당 추가적인 물리 피해 감소 및 원소 저항을 얻습니다.","Você tem redução de dano físico adicional e resistência elemental por carga de tolerância.","Вы имеете дополнительное уменьшение получаемого физического урона и сопротивление стихиям за каждый имеющийся у вас заряд выносливости.","Tienes reducción de daño físico extra y resistencias elementales extra por cada carga de aguante que tengas.","คุณได้รับการเสริมค่าป้องกันกายภาพและค่าต้านทาน ธาตุ ตามจำนวน Endurance Charge ที่คุณมี","你身上每顆耐力球使你有額外物理傷害減免和元素抗性。","","","Enduring Cry","Cri d'endurance ","Widerstandsschrei","エンデュアリングクライ","인내의 함성","Clamor Fortalecedor","Клич стойкости","Grito de aguante","คำรามทนทาน","堅決戰吼","[137,435]",1,3,"","","","",31,441,1,"",1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[16878],"[137,435]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1427,"have_changed_stance_recently","","","","","","","","","","",1,"","","","","","","","","","","",[11052],"",9,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[11052],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1428,"ancestral_cry","You have embodied Kaom. Your [Strike|Strikes] and [Slam|Slams] are [AncestralBoost|Ancestrally Boosted].","Vous incarnez Kaom. Vos [Strike|Frappes] et [Slam|Fracas] sont [AncestralBoost|Améliorés par les ancêtres].","Ihr verkörpert Kaom. Eure [Strike|Schläge] und [Slam|Hiebe] sind durch [AncestralBoost|Ahnen verstärkt].","カオムの具現化となっている。[Strike|ストライク]および[Slam|スラム]は[AncestralBoost|先祖の加護]を受ける。","카옴의 화신이 되었습니다. [Strike|타격]과 [Slam|강타]가 [AncestralBoost|선대의 힘으로 증폭]됩니다.","Você se tornou a encarnação de Kaom. Seus [Strike|golpes] e suas [Slam|pancadas] recebem [AncestralBoost|Reforço Ancestral].","Вы воплощаете Каома. Ваши [Strike|удары] и [Slam|мощные удары] [AncestralBoost|усилены предками].","Has encarnado a Kaom. Tus [Strike|golpes] y [Slam|embates] están [AncestralBoost|potenciados ancestralmente].","คุณเป็นตัวแทนของคอมม์ การฟาดและทุบของคุณได้รับ[AncestralBoost|พลังจากบรรพชน]","你已成為岡姆的化身。你的[Strike|打擊]和[Slam|重擊]受到[AncestralBoost|先祖強化]。","","","Ancestral Cry","Cri ancestral ","Schrei der Ahnen","アンセストラルクライ","선대의 함성","Clamor Ancestral","Клич предков","Grito ancestral","คำรามบรรพชน","先祖戰吼","[732,25318]",1,2,"","","","",31,1351,1,"",1,"",1,1,"",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[16878],"[732,25318]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1429,"brand_detonate_buff","","","","","","","","","","","","","[UNUSED] Brand Detonate Buff","[UNUSED] Brand Detonate Buff","[UNUSED] Brand Detonate Buff","[UNUSED] Brand Detonate Buff","[UNUSED] Brand Detonate Buff","[UNUSED] Brand Detonate Buff","[UNUSED] Brand Detonate Buff","[UNUSED] Brand Detonate Buff","[UNUSED] Brand Detonate Buff","[UNUSED] Brand Detonate Buff",[10939],"",3,"","","","",31,1000,1,"",1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[10939],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1430,"magma_sigil","You are Branded. and will gain energy over time. When the brand is removed, the energy will explode.","Vous engrangez de l'énergie, car un Symbole de pénitence est lié à vous. Cette énergie explosera lorsque le Symbole sera retiré.","Ihr seid gezeichnet und ladet Euch über die Zeit mit Energie auf. Wenn das Zeichen entfernt wird, explodiert die Energie.","時間と共にエナジーを得るブランドを受けている。ブランドが取り除かれた時、エナジーが爆発する。","낙인이 찍혀, 지속적으로 에너지를 획득합니다. 낙인이 제거되면 에너지가 폭발합니다.","Você recebeu um glifo e ganha energia gradualmente. Quando o glifo se dissipa, a energia explode.","Вы заклеймены и постепенно наполняетесь энергией. Когда клеймо снимется, энергия взорвется.","Estás marcado y ganarás energía a lo largo del tiempo. Cuando la marca se desprenda, la energía explotará.","คุณถูกตราเวทเกาะ และจะเก็บสะสมพลังงานต่อเนื่อง เมื่อตราเวทถูกกำจัด พลังงานที่เก็บสะสมไว้จะระเบิดออกมา","你被烙印附著。且隨著時間獲得能量。當烙印被移除，能量會爆炸。","","","[DNT-UNUSED] Penance Brand","[DNT-UNUSED] Symbole de pénitence ","[DNT-UNUSED] Penance Brand","[DNT-UNUSED] Penance Brand","속죄의 낙인","WIP Glifo da Penitência","[DNT-UNUSED] Клеймо покаяния","[DNT-UNUSED] Marca de penitencia","DNT","贖罪烙印","[467,16902]",1,1,1,"","",1,31,1387,1,"",2,"",1,1,"",0,"","","","","","",2,"","",0,[],"","",[],"",[],[],"[467,16902]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1431,"immolation_sigil","You are Branded.","Un Symbole est lié à vous.","Ihr seid gezeichnet.","ブランドを受けている。","낙인이 찍혔습니다.","Você recebeu um glifo.","Вы заклеймены.","Estás marcado.","คุณถูกตราเวทเกาะ","你被烙印附著。","","","[DNT-UNUSED] Wintertide Brand","[DNT-UNUSED] Symbole du froid hivernal ","[DNT-UNUSED] Wintertide Brand","[DNT-UNUSED] Wintertide Brand","겨울의 낙인","WIP Glifo da Maré Invernal","[DNT-UNUSED] Клеймо зимы","[DNT-UNUSED] Marca de ola invernal","DNT","冬潮烙印","[467,16902]",1,1,1,"","",1,31,1388,1,"",2,"",1,1,"",0,"","","","","","",2,"","",0,[],"","",[],"",[],[],"[467,16902]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1432,"trigger_sigil","You are Branded.","Un Symbole est lié à vous.","Ihr seid gezeichnet.","ブランドを受けている。","낙인이 찍혔습니다.","Você recebeu um glifo.","Вы заклеймены.","Estás marcado.","คุณถูกตราเวทเกาะ","你被烙印附著。","","","[DNT-UNUSED] Arcanist Brand","[DNT-UNUSED] Symbole de l'Arcaniste","[DNT-UNUSED] Arcanist Brand","[DNT-UNUSED] Arcanist Brand","신비학자 낙인","WIP Glifo do Arcanista","[DNT-UNUSED] Клеймо чаротворца","[DNT-UNUSED] Marca del arcanista","DNT","奧術烙印","[467,16902]",1,1,1,"","",1,31,1389,1,"",2,"",1,1,"",0,"","","","","","",2,"","",0,[],"","",[],"",[],[],"[467,16902]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1433,"immolation_brand_burn","You are taking cold damage over time from a Wintertide Brand.","Vous subissez des Dégâts de froid sur la durée, car un Symbole du froid hivernal est lié à vous.","Ihr erleidet Kälteschaden über Zeit durch ein Zeichen des Winters.","ウィンタータイドブランドから冷気継続ダメージを受けている。","겨울의 낙인으로부터 지속 냉기 피해를 받고 있습니다.","Você sofre dano de frio degenerativo causado por Glifo da Maré Invernal.","Вы получаете постепенный урон от холода от клема зимы.","Estás recibiendo daño degenerativo de hielo por una Marca de ola invernal.","คุณได้รับความเสียหาย น้ำแข็ง ต่อเนื่องจาก ตราเวทหน้าหนาว","你受到來自冬潮烙印的冰冷持續傷害。","","","Wintertide","Froid hivernal ","Winter","ウィンタータイド","겨울","Maré Invernal","Зима","Ola invernal","หน้าหนาว","冬潮",[1965],1,1,"","","",1,31,1377,1,"",2,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[1965],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1434,"magma_pustule","You have been energised by a Penance Brand.","Vous engrangez de l'énergie à cause d'un Symbole de pénitence ennemi.","Ihr wurdet durch ein Zeichen der Buße mit Energie aufgeladen.","ペナンスブランドによりエナジーを受けている。","속죄의 낙인으로부터 에너지를 획득했습니다.","Você recebeu energia de um Glifo da Penitência.","Вы переполнены энергией от Клейма покаяния.","Has sido energizado por una Marca de penitencia.","คุณถูกกระตุ้นจาก ตราเวทผู้บำเพ็ญ","你被贖罪烙印充能。","","","Penance","Pénitence ","Buße","ペナンス","속죄","Penitência","Покаяние","Penitencia","บำเพ็ญ","贖罪烙印",[],"",4,1,"",11081,"",31,1356,1,"",2,"",1,1,"",0,"","PenanceBrandCharge","","","","",8,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
1435,"immolation_brand_burn_secondary","You are taking cold damage over time from being near an ending Wintertide Brand effect.","Vous subissez des Dégâts de froid sur la durée, car vous êtes proche d'un Symbole du froid hivernal qui se termine.","Ihr erleidet Kälteschaden über Zeit, da Ihr Euch in der Nähe eines endenden Effekts eines Zeichens des Winters befindet.","効果終了間近のウィンタータイドから冷気継続ダメージを受けている。","끝나가는 겨울의 낙인 효과 근처에 있어 지속 냉기 피해를 받고 있습니다.","A proximidade de um Glifo da Maré Invernal prestes a acabar faz você sofrer dano de frio degenerativo.","Вы получаете постепенный урон от холода из-за нахождения рядом с открепившимся клеймом зимы.","Recibes daño degenerativo de hielo por estar cerca de un efecto de Marca de ola invernal cuya duración está llegando a su fin.","คุณได้รับความเสียหาย น้ำแข็ง ต่อเนื่องจากการอยู่ใกล้กับผลของ ตราเวทหน้าหนาว ที่กำลังจะหมดไป","你受到來自附近結束的冬潮烙印的冰冷持續傷害。","","","Wintertide's End","Fin du froid hivernal ","Ende des Winters","ウィンタータイドエンド","겨울의 끝","Fim da Maré Invernal","Конец зимы","Final de ola invernal","การสิ้นสุดของหน้าหนาว","冬潮之終",[1965],1,3,"","","",1,31,1378,1,"",2,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[1965],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
