"rownum","Quest","Order","FlagsPresent","FlagsMissing","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool_60","Message","Message (French)","Message (German)","Message (Japanese)","Message (Korean)","Message (Portuguese)","Message (Russian)","Message (Spanish)","Message (Thai)","Message (Traditional Chinese)","MapPinsKeys","i32_85","MapPinsText","MapPinsText (French)","MapPinsText (German)","MapPinsText (Japanese)","MapPinsText (Korean)","MapPinsText (Portuguese)","MapPinsText (Russian)","MapPinsText (Spanish)","MapPinsText (Thai)","MapPinsText (Traditional Chinese)","MapPinsKey","WorldArea","bool_129","[i32]_130","[i32]_146","i32_162","SoundEffect","string_182","QuestItem","bool_206","bool_207"
1157,116,38,[1665],[],"Detonate the Explosives.","Faites détoner les Explosifs.","Detoniert den Sprengstoff.","爆薬を起爆しろ","폭발물을 터뜨리십시오.","Detone os explosivos.","Подорвите взрывчатку.","Detona los explosivos.","จุดชนวนวัตถุระเบิด","引爆炸藥。","","Detonate the Explosives","Faites détoner les Explosifs","Detoniert den Sprengstoff","爆薬を起爆しろ","폭발물 터뜨리기","Detone os explosivos","Подорвите взрывчатку","Detona los explosivos","จุดชนวนวัตถุระเบิด","引爆炸藥",[],0,"Detonate the Explosives","Faites détoner les Explosifs","Detoniert den Sprengstoff.","爆薬を起爆しろ","폭발물 터뜨리기","Detone os explosivos","Подорвите взрывчатку","Detona los explosivos","จุดชนวนวัตถุระเบิด","引爆炸藥","",[387],"",[4483],[],11,"","",[],"",""
1158,116,39,[1664],[],"Speak to Rog.","Parlez à Rog.","Sprecht mit Rog.","ログに話しかけろ","로그와 대화하십시오.","Fale com Rog.","Поговорите с Рогом.","Habla con Rog.","พูดคุยกับร็อก","和羅格交談。","","Speak to Rog","Parlez à Rog","Sprecht mit Rog","ログに話しかけろ","로그와 대화하기","Fale com Rog","Поговорите с Рогом","Habla con Rog","พูดคุยกับร็อก","和羅格交談",[],0,"Speak to Rog","Parlez à Rog","Sprecht mit Rog.","ログに話しかけろ","로그와 대화하기","Fale com Rog","Поговорите с Рогом","Habla con Rog","พูดคุยกับร็อก","和羅格交談","",[387],"",[4483],[],11,"","",[],"",""
1159,116,40,[],[],"Search the Island for Uhtred.","Fouillez l'Île à la recherche d'Uthred.","Durchsucht die Insel nach Uhtred.","島でウートレドを探せ","섬에서 우트레드를 찾으십시오.","Procure Uhtred pela ilha.","Отыщите Утреда на острове.","Registra la isla en busca de Uhtred.","ตามหาเออห์เทร็ดภายในเกาะ","在島嶼上搜尋烏特雷。","","Search for Uhtred","Cherchez Uthred","Sucht nach Uhtred","ウートレドを探せ","우트레드 찾기","Procure Uhtred","Отыщите Утреда","Busca a Uhtred","ตามหาเออห์เทร็ด","搜尋烏特雷",[],0,"Search the Island for Uhtred","Fouillez l'Île à la recherche d'Uthred","Durchsucht die Insel nach Uhtred.","島でウートレドを探せ","섬에서 우트레드 찾기","Procure Uhtred pela ilha","Отыщите Утреда на острове","Registra la isla en busca de Uhtred","ตามหาเออห์เทร็ดภายในเกาะ","在島嶼上搜尋烏特雷","",[387],"","[4483,4427]",[],11,"","",[],"",""
1160,116,41,[],[],"Explore the Islands in search of Uhtred.","Explorez les Îles à la recherche d'Uthred.","Erkundet die Inseln auf der Suche nach Uhtred.","ウートレドを探して島々を探索しろ","우트레드를 찾아 섬을 탐험하십시오.","Explore as ilhas em busca do Uhtred.","Обследуйте острова в поисках Утреда.","Explora las islas en busca de Uhtred.","ออกสำรวจตามเกาะต่างๆ เพื่อตามหาเออห์เทร็ด","探索群島以尋找烏特雷。","","Explore the Islands","Explorez les Îles","Erkundet die Inseln","島々を探索しろ","섬 탐험하기","Explore as ilhas","Обследуйте острова","Explora las islas","ออกสำรวจตามเกาะต่างๆ","探索群島",[],0,"Explore the Islands in search of Uhtred","Explorez les Îles à la recherche d'Uthred","Erkundet die Inseln auf der Suche nach Uhtred.","ウートレドを探して島々を探索しろ","우트레드를 찾아 섬 탐험하기","Explore as ilhas em busca do Uhtred","Обследуйте острова в поисках Утреда","Explora las islas en busca de Uhtred","ออกสำรวจ​ตาม​เกาะ​ต่างๆ เพื่อ​ตามหา​เออห์เทร็ด","探索群島以尋找烏特雷","",[],"","[4483,4427]",[],11,"","",[],"",""
1161,116,42,[5543],[],"Use Uhtred's Logbook on the Atlas to reveal Islands.","Utilisez le Journal de bord d'Uthred sur l'Atlas pour révéler des Îles.","Verwendet Uhtreds Logbuch auf dem Atlas, um Inseln zu enthüllen.","ウートレドのログブックを使用しアトラス上で島々を公開しろ","아틀라스에 우트레드의 일지를 사용해 섬들을 드러내십시오.","Use o diário do Uhtred no Atlas para revelar ilhas.","Используйте журнал Утреда на Атласе, чтобы разведать острова.","Usa el Registro de Uhtred en el Atlas para revelar islas.","ใช้สมุดปูมเดินทางของเออห์เทร็ดเผยเกาะต่างๆ บนแอตลาส","在輿圖上使用烏特雷的日誌以揭露島嶼。","","Use Uhtred's Logbook","Utilisez le Journal de bord d'Uthred","Verwendet Uhtreds Logbuch","ウートレドのログブックを使用しろ","우트레드의 일지 사용하기","Use o diário do Uhtred","Используйте журнал Утреда","Usa el Registro de Uhtred","ใช้สมุดปูมเดินทางของเออห์เทร็ด","使用烏特雷的日誌",[],0,"Use Uhtred's Logbook on the Atlas","Utilisez le Journal de bord d'Uthred sur l'Atlas","Verwendet Uhtreds Logbuch auf dem Atlas und enthüllt damit Inseln.","ウートレドのログブックを使用しアトラス上で島々を公開しろ","아틀라스에 우트레드의 일지 사용하기","Use o diário do Uhtred no Atlas","Используйте журнал Утреда на Атласе","Usa el Registro de Uhtred en el Atlas","ใช้​สมุดปูมเดินทางของเออห์เทร็ดบน​แอตลาส","在輿圖上使用烏特雷的日誌","",[],"",[4745],[],11,"","",[],"",""
1162,116,43,[],[5543],"Take Uhtred's Logbook from Rog.","Prenez le Journal de bord d'Uthred que vous offre Rog.","Nehmt Uhtreds Logbuch von Rog.","ログからウートレドのログブックを受け取れ","로그에게 우트레드의 일지를 받으십시오.","Pegue o diário do Uhtred com o Rog.","Заберите журнал Утреда у Рога.","Acepta el Registro de Uhtred de Rog.","รับสมุดปูมเดินทางของเออห์เทร็ดจากร็อก","從羅格處領取烏特雷的日誌。","","Take Uhtred's Logbook","Prenez le Journal de bord d'Uthred","Nehmt Uhtreds Logbuch","ウートレドのログブックを受け取れ","우트레드의 일지 받기","Pegue o diário do Uhtred","Заберите журнал Утреда","Acepta el Registro de Uhtred","รับสมุดปูมเดินทางของเออห์เทร็ด","領取烏特雷的日誌",[],0,"Take Uhtred's Logbook from Rog","Prenez le Journal de bord d'Uthred que vous offre Rog","Nehmt Uhtreds Logbuch von Rog.","ログからウートレドのログブックを受け取れ","로그에게 우트레드의 일지 받기","Pegue o diário do Uhtred com o Rog","Заберите журнал Утреда у Рога","Acepta el Registro de Uhtred de Rog","รับ​สมุดปูมเดินทางของเออห์เทร็ดจาก​ร็อก","從羅格處領取烏特雷的日誌","",[362],"",[4745],[4427],11,"","",[],"",""
1163,116,44,[],[],"Speak to Rog.","Parlez à Rog.","Sprecht mit Rog.","ログに話しかけろ","로그와 대화하십시오.","Fale com Rog.","Поговорите с Рогом.","Habla con Rog.","พูดคุยกับร็อก","和羅格交談。","","Speak to Rog","Parlez à Rog","Sprecht mit Rog","ログに話しかけろ","로그와 대화하기","Fale com Rog","Поговорите с Рогом","Habla con Rog","พูดคุยกับร็อก","和羅格交談",[],0,"Speak to Rog","Parlez à Rog","Sprecht mit Rog.","ログに話しかけろ","로그와 대화하기","Fale com Rog","Поговорите с Рогом","Habla con Rog","พูดคุยกับร็อก","和羅格交談","",[362],"",[4744],[],11,"","",[],"",""
1164,116,45,[],[],"Return to the Ruins of Kingsmarch.","Retournez aux Ruines de Marcheroi.","Kehrt zu den Ruinen von Königsmark zurück.","キングスマーチの廃墟に戻れ","킹스마치 폐허로 돌아가십시오.","Volte às Ruínas de Kingsmarch.","Вернитесь в Развалины Кингсмарша.","Regresa a las Ruinas de Marca del rey.","กลับไปยังซากนครคิงส์มาร์ช","返回金司馬區廢墟。","","Return to the Ruins of Kingsmarch","Retournez aux Ruines de Marcheroi","Kehrt zu den Ruinen von Königsmark zurück","キングスマーチの廃墟に戻れ","킹스마치 폐허로 돌아가기","Volte às Ruínas de Kingsmarch","Вернитесь в Развалины Кингсмарша","Regresa a las Ruinas de Marca del rey","กลับไปยังซากนครคิงส์มาร์ช","返回金司馬區廢墟",[],0,"Return to the Ruins of Kingsmarch","Retournez aux Ruines de Marcheroi","Kehrt zu den Ruinen von Königsmark zurück.","キングスマーチの廃墟に戻れ","킹스마치 폐허로 돌아가기","Volte às Ruínas de Kingsmarch","Вернитесь в Развалины Кингсмарша","Regresa a las Ruinas de Marca del rey","กลับ​ไป​ยัง​ซากนครคิงส์มาร์ช","返回金司馬區廢墟","",[],"",[4744],[],11,"","",[],"",""
1165,116,46,[],[5543],"Pick up Uhtred's Logbook.","Récupérez le Journal de bord d'Uthred.","Nehmt Uhtreds Logbuch.","ウートレドのログブックを拾え","우트레드의 일지를 챙기십시오.","Pegue o diário do Uhtred.","Подберите журнал Утреда.","Recoge el Registro de Uhtred.","เก็บสมุดปูมเดินทางของเออห์เทร็ด","拾起烏特雷的日誌。","","Pick up Uhtred's Logbook","Récupérez le Journal de bord d'Uthred","Nehmt Uhtreds Logbuch","ウートレドのログブックを拾え","우트레드의 일지 챙기기","Pegue o diário do Uhtred","Подберите журнал Утреда","Recoge el Registro de Uhtred","เก็บสมุดปูมเดินทางของเออห์เทร็ด","拾起烏特雷的日誌",[],0,"Pick up Uhtred's Logbook","Récupérez le Journal de bord d'Uthred","Nehmt Uhtreds Logbuch.","ウートレドのログブックを拾え","우트레드의 일지 챙기기","Pegue o diário do Uhtred","Подберите журнал Утреда","Recoge el Registro de Uhtred","เก็บสมุดปูมเดินทางของเออห์เทร็ด","拾起烏特雷的日誌","",[388],"",[4483],[4427],11,"","",[],"",""
1166,116,47,[1662],[],"Speak to Tujen.","Parlez à Tujen.","Sprecht mit Tujen.","トゥジェンに話しかけろ","투젠과 대화하십시오.","Fale com Tujen.","Поговорите с Туджином.","Habla con Tujen.","พูดคุยกับทูเจน","和圖貞交談。","","Speak to Tujen","Parlez à Tujen","Sprecht mit Tujen","トゥジェンに話しかけろ","투젠과 대화하기","Fale com Tujen","Поговорите с Туджином","Habla con Tujen","พูดคุยกับทูเจน","和圖貞交談",[],0,"Speak to Tujen","Parlez à Tujen","Sprecht mit Tujen.","トゥジェンに話しかけろ","투젠과 대화하기","Fale com Tujen","Поговорите с Туджином","Habla con Tujen","พูดคุยกับทูเจน","和圖貞交談","",[388],"",[4483],[],11,"","",[],"",""
1167,116,48,[],[],"Speak to Rog.","Parlez à Rog.","Sprecht mit Rog.","ログに話しかけろ","로그와 대화하십시오.","Fale com Rog.","Поговорите с Рогом.","Habla con Rog.","พูดคุยกับร็อก","和羅格交談。","","Speak to Rog","Parlez à Rog","Sprecht mit Rog","ログに話しかけろ","로그와 대화하기","Fale com Rog","Поговорите с Рогом","Habla con Rog","พูดคุยกับร็อก","和羅格交談",[],0,"Speak to Rog","Parlez à Rog","Sprecht mit Rog.","ログに話しかけろ","로그와 대화하기","Fale com Rog","Поговорите с Рогом","Habla con Rog","พูดคุยกับร็อก","和羅格交談","",[362],"",[4483],[],11,"","",[],"",""
1168,116,49,[],[],"Return to the Ruins of Kingsmarch.","Retournez aux Ruines de Marcheroi.","Kehrt zu den Ruinen von Königsmark zurück.","キングスマーチの廃墟に戻れ","킹스마치 폐허로 돌아가십시오.","Volte às Ruínas de Kingsmarch.","Вернитесь в Развалины Кингсмарша.","Regresa a las Ruinas de Marca del rey.","กลับไปยังซากนครคิงส์มาร์ช","返回金司馬區廢墟。","","Return to the Ruins of Kingsmarch","Retournez aux Ruines de Marcheroi","Kehrt zu den Ruinen von Königsmark zurück","キングスマーチの廃墟に戻れ","킹스마치 폐허로 돌아가기","Volte às Ruínas de Kingsmarch","Вернитесь в Развалины Кингсмарша","Regresa a las Ruinas de Marca del rey","กลับไปยังซากนครคิงส์มาร์ช","返回金司馬區廢墟",[],0,"Return to the Ruins of Kingsmarch","Retournez aux Ruines de Marcheroi","Kehrt zu den Ruinen von Königsmark zurück.","キングスマーチの廃墟に戻れ","킹스마치 폐허로 돌아가기","Volte às Ruínas de Kingsmarch","Вернитесь в Развалины Кингсмарша","Regresa a las Ruinas de Marca del rey","กลับ​ไป​ยัง​ซากนครคิงส์มาร์ช","返回金司馬區廢墟","",[],"",[4483],[],11,"","",[],"",""
1169,116,50,[1660],[],"Defeat Vorana, Last to Fall.","Terrassez Vorana, la Dernière à succomber.","Besiegt Vorana, Letzte der Gefallenen.","最後に倒れし者、ヴォラナを倒せ","최후의 보루 보라나를 처치하십시오.","Derrote Vorana, a Última a Cair.","Победите Ворану, Стоящую до конца.","Derrota a Vorana, Última en caer.","สยบวอราน่า ผู้สุดท้ายที่วินาศ","擊敗最後生還．沃拉娜。","","Defeat Vorana, Last to Fall","Terrassez Vorana, la Dernière à succomber","Besiegt Vorana, Letzte der Gefallenen","最後に倒れし者、ヴォラナを倒せ","최후의 보루 보라나","Derrote Vorana, a Última a Cair","Победите Ворану, Стоящую до конца","Derrota a Vorana, Última en caer","สยบวอราน่า ผู้สุดท้ายที่วินาศ","擊敗最後生還．沃拉娜",[],0,"Defeat Vorana, Last to Fall","Terrassez Vorana, la Dernière à succomber","Besiegt Vorana, Letzte der Gefallenen.","最後に倒れし者、ヴォラナを倒せ","최후의 보루 보라나","Derrote Vorana, a Última a Cair","Победите Ворану – Стоящую до конца","Derrota a Vorana, Última en caer","สยบวอราน่า ผู้สุดท้ายที่วินาศ","擊敗最後生還．沃拉娜","",[388],"",[4484],[],11,"","",[],"",""
1170,116,51,[1661],[],"Explore the Tomb.","Explorez le Tombeau.","Erkundet das Grab.","墓を調査しろ","무덤을 탐험하십시오.","Explore a tumba.","Осмотрите гробницу.","Explora la tumba.","สำรวจหลุมศพ","探索陵墓。","","Explore the Tomb","Explorez le Tombeau","Erkundet das Grab","墓を調査しろ","무덤 탐험하기","Explore a tumba","Осмотрите гробницу","Explora la tumba","สำรวจหลุมศพ","探索陵墓",[],0,"Explore the Tomb","Explorez le Tombeau","Erkundet das Grab.","墓を調査しろ","무덤 탐험하기","Explore a tumba","Осмотрите гробницу","Explora la tumba","สำรวจหลุมศพ","探索陵墓","",[388],"",[4484],[],11,"","",[],"",""
1171,116,52,[1657],[],"Enter the Tomb.","Entrez dans le Tombeau.","Betretet das Grab.","墓に入れ","무덤에 들어가십시오.","Entre na tumba.","Войдите в гробницу.","Accede a la tumba.","เข้าไปในหลุมศพ","進入陵墓。","","Enter the Tomb","Entrez dans le Tombeau","Betretet das Grab","墓に入れ","무덤에 들어가기","Entre na tumba","Войдите в гробницу","Accede a la tumba","เข้าไปในหลุมศพ","進入陵墓",[],0,"Enter the Tomb","Entrez dans le Tombeau","Betretet das Grab.","墓に入れ","무덤에 들어가기","Entre na tumba","Войдите в гробницу","Accede a la tumba","เข้าไปในหลุมศพ","進入陵墓","",[388],"",[4484],[],11,"","",[],"",""
1172,116,53,[1658],[],"Detonate the Explosives.","Faites détoner les Explosifs.","Detoniert den Sprengstoff.","爆薬を起爆しろ","폭발물을 터뜨리십시오.","Detone os explosivos.","Подорвите взрывчатку.","Detona los explosivos.","จุดชนวนวัตถุระเบิด","引爆炸藥。","","Detonate the Explosives","Faites détoner les Explosifs","Detoniert den Sprengstoff","爆薬を起爆しろ","폭발물 터뜨리기","Detone os explosivos","Подорвите взрывчатку","Detona los explosivos","จุดชนวนวัตถุระเบิด","引爆炸藥",[],0,"Detonate the Explosives","Faites détoner les Explosifs","Detoniert den Sprengstoff.","爆薬を起爆しろ","폭발물 터뜨리기","Detone os explosivos","Подорвите взрывчатку","Detona los explosivos","จุดชนวนวัตถุระเบิด","引爆炸藥","",[388],"",[4484],[],11,"","",[],"",""
1173,116,54,[1659],[],"Speak to Tujen.","Parlez à Tujen.","Sprecht mit Tujen.","トゥジェンに話しかけろ","투젠과 대화하십시오.","Fale com Tujen.","Поговорите с Туджином.","Habla con Tujen.","พูดคุยกับทูเจน","和圖貞交談。","","Speak to Tujen","Parlez à Tujen","Sprecht mit Tujen","トゥジェンに話しかけろ","투젠과 대화하기","Fale com Tujen","Поговорите с Туджином","Habla con Tujen","พูดคุยกับทูเจน","和圖貞交談",[],0,"Speak to Tujen","Parlez à Tujen","Sprecht mit Tujen.","トゥジェンに話しかけろ","투젠과 대화하기","Fale com Tujen","Поговорите с Туджином","Habla con Tujen","พูดคุยกับทูเจน","和圖貞交談","",[388],"",[4484],[],11,"","",[],"",""
1174,116,55,[],[],"Search the Island for Vorana.","Fouillez l'Île à la recherche de Vorana.","Durchsucht die Insel nach Vorana.","島でヴォラナを探せ","섬에서 보라나를 찾으십시오.","Procure Vorana pela ilha.","Отыщите Ворану на острове.","Registra la isla en busca de Vorana.","ตามหาวอราน่าภายในเกาะ","在島嶼上搜尋沃拉娜。","","Search for Vorana","Cherchez Vorana","Sucht nach Vorana","ヴォラナを探せ","보라나 찾기","Procure Vorana","Отыщите Ворану","Busca a Vorana","ตามหาวอราน่า","搜尋沃拉娜",[],0,"Search the Island for Vorana","Fouillez l'Île à la recherche de Vorana","Durchsucht die Insel nach Vorana.","島でヴォラナを探せ","섬에서 보라나 찾기","Procure Vorana pela ilha","Отыщите Ворану на острове","Registra la isla en busca de Vorana","ตามหาวอราน่าภายในเกาะ","在島嶼上搜尋沃拉娜","",[388],"","[4484,4426]",[],11,"","",[],"",""
1175,116,56,[],[],"Explore the Islands in search of Vorana.","Explorez les Îles à la recherche de Vorana.","Erkundet die Inseln auf der Suche nach Vorana.","ヴォラナを探して島々を探索しろ","보라나를 찾아 섬을 탐험하십시오.","Explore as ilhas em busca da Vorana.","Обследуйте острова в поисках Вораны.","Explora las islas en busca de Vorana.","ออกสำรวจตามเกาะต่างๆ เพื่อตามหาวอราน่า","探索群島以尋找沃拉娜。","","Explore the Islands","Explorez les Îles","Erkundet die Inseln","島々を探索しろ","섬 탐험하기","Explore as ilhas","Обследуйте острова","Explora las islas","ออกสำรวจตามเกาะต่างๆ","探索群島",[],0,"Explore the Islands in search of Vorana","Explorez les Îles à la recherche de Vorana","Erkundet die Inseln auf der Suche nach Vorana.","ヴォラナを探して島々を探索しろ","보라나를 찾아 섬 탐험하기","Explore as ilhas em busca da Vorana","Обследуйте острова в поисках Вораны","Explora las islas en busca de Vorana","ออกสำรวจ​ตาม​เกาะ​ต่างๆ เพื่อ​ตามหา​วอราน่า","探索群島以尋找沃拉娜","",[],"","[4484,4426]",[],11,"","",[],"",""
1176,116,57,[5542],[],"Use Vorana's Logbook on the Atlas to reveal Islands.","Utilisez le Journal de bord de Vorana sur l'Atlas pour révéler des Îles.","Verwendet Voranas Logbuch auf dem Atlas, um Inseln zu enthüllen.","ヴォラナのログブックを使用しアトラス上で島々を公開しろ","아틀라스에 보라나의 일지를 사용해 섬들을 드러내십시오.","Use o diário da Vorana no Atlas para revelar ilhas.","Используйте журнал Вораны на Атласе, чтобы разведать острова.","Usa el Registro de Vorana en el Atlas para revelar islas.","ใช้สมุดปูมเดินทางของวอราน่าเผยเกาะต่างๆ บนแอตลาส","在輿圖上使用沃拉娜的日誌以揭露島嶼。","","Use Vorana's Logbook","Utilisez le Journal de bord de Vorana","Verwendet Voranas Logbuch","ヴォラナのログブックを使用しろ","보라나의 일지 사용하기","Use o diário da Vorana","Используйте журнал Вораны","Usa el Registro de Vorana","ใช้สมุดปูมเดินทางของวอราน่า","使用沃拉娜的日誌",[],0,"Use Vorana's Logbook on the Atlas","Utilisez le Journal de bord de Vorana sur l'Atlas","Verwendet Voranas Logbuch auf dem Atlas und enthüllt damit Inseln.","ヴォラナのログブックを使用しアトラス上で島々を公開しろ","아틀라스에 보라나의 일지 사용하기","Use o diário da Vorana no Atlas","Используйте журнал Вораны на Атласе","Usa el Registro de Vorana en el Atlas","ใช้​สมุดปูมเดินทางของวอราน่า​บน​แอตลาส","在輿圖上使用沃拉娜的日誌","",[],"","[4531,245]",[],11,"","",[],"",""
1177,116,58,[5542],[],"Speak to Tujen.","Parlez à Tujen.","Sprecht mit Tujen.","トゥジェンに話しかけろ","투젠과 대화하십시오.","Fale com Tujen.","Поговорите с Туджином.","Habla con Tujen.","พูดคุยกับทูเจน","和圖貞交談。","","Speak to Tujen","Parlez à Tujen","Sprecht mit Tujen","トゥジェンに話しかけろ","투젠과 대화하기","Fale com Tujen","Поговорите с Туджином","Habla con Tujen","พูดคุยกับทูเจน","和圖貞交談",[],0,"Speak to Tujen","Parlez à Tujen","Sprecht mit Tujen.","トゥジェンに話しかけろ","투젠과 대화하기","Fale com Tujen","Поговорите с Туджином","Habla con Tujen","พูดคุยกับทูเจน","和圖貞交談","",[362],"",[4531],[],11,"","",[],"",""
1178,116,59,[],[5542],"Take Vorana's Logbook from Gwennen.","Prenez le Journal de bord de Vorana que vous offre Gwennen.","Nehmt Voranas Logbuch von Gwennen.","グウェネンからヴォラナのログブックを受け取れ","그위넨에게 보라나의 일지를 받으십시오.","Pegue o diário da Vorana com a Gwennen.","Заберите журнал Вораны у Гвеннен.","Acepta el Registro de Vorana de Gwennen.","รับสมุดปูมเดินทางของวอราน่าจากเกว็นเน็น","從關南處領取沃拉娜的日誌。","","Take Vorana's Logbook","Prenez le Journal de bord de Vorana","Nehmt Voranas Logbuch","ヴォラナのログブックを受け取れ","보라나의 일지 받기","Pegue o diário da Vorana","Заберите журнал Вораны","Acepta el Registro de Vorana","รับสมุดปูมเดินทางของวอราน่า","領取沃拉娜的日誌",[],0,"Take Vorana's Logbook from Gwennen","Prenez le Journal de bord de Vorana que vous offre Gwennen","Nehmt Voranas Logbuch von Gwennen.","グウェネンからヴォラナのログブックを受け取れ","그위넨에게 보라나의 일지 받기","Pegue o diário da Vorana com a Gwennen","Заберите журнал Вораны у Гвеннен","Acepta el Registro de Vorana de Gwennen","รับ​สมุดปูมเดินทางของวอราน่าจาก​เกว็นเน็น","從關南處領取沃拉娜的日誌","",[362],"",[4531],[4426],11,"","",[],"",""
1179,116,60,[],[],"Speak to Gwennen.","Parlez à Gwennen.","Sprecht mit Gwennen.","グウェネンに話しかけろ","그위넨과 대화하십시오.","Fale com Gwennen.","Поговорите с Гвеннен.","Habla con Gwennen.","พูดคุยกับเกว็นเน็น","和關南交談。","","Speak to Gwennen","Parlez à Gwennen","Sprecht mit Gwennen","グウェネンに話しかけろ","그위넨과 대화하기","Fale com Gwennen","Поговорите с Гвеннен","Habla con Gwennen","พูดคุยกับเกว็นเน็น","和關南交談",[],0,"Speak to Gwennen","Parlez à Gwennen","Sprecht mit Gwennen.","グウェネンに話しかけろ","그위넨과 대화하기","Fale com Gwennen","Поговорите с Гвеннен","Habla con Gwennen","พูดคุยกับเกว็นเน็น","和關南交談","",[362],"",[4530],[],11,"","",[],"",""
1180,116,61,[],[],"Return to the Ruins of Kingsmarch.","Retournez aux Ruines de Marcheroi.","Kehrt zu den Ruinen von Königsmark zurück.","キングスマーチの廃墟に戻れ","킹스마치 폐허로 돌아가십시오.","Volte às Ruínas de Kingsmarch.","Вернитесь в Развалины Кингсмарша.","Regresa a las Ruinas de Marca del rey.","กลับไปยังซากนครคิงส์มาร์ช","返回金司馬區廢墟。","","Return to the Ruins of Kingsmarch","Retournez aux Ruines de Marcheroi","Kehrt zu den Ruinen von Königsmark zurück","キングスマーチの廃墟に戻れ","킹스마치 폐허로 돌아가기","Volte às Ruínas de Kingsmarch","Вернитесь в Развалины Кингсмарша","Regresa a las Ruinas de Marca del rey","กลับไปยังซากนครคิงส์มาร์ช","返回金司馬區廢墟",[],0,"Return to the Ruins of Kingsmarch","Retournez aux Ruines de Marcheroi","Kehrt zu den Ruinen von Königsmark zurück.","キングスマーチの廃墟に戻れ","킹스마치 폐허로 돌아가기","Volte às Ruínas de Kingsmarch","Вернитесь в Развалины Кингсмарша","Regresa a las Ruinas de Marca del rey","กลับ​ไป​ยัง​ซากนครคิงส์มาร์ช","返回金司馬區廢墟","",[],"",[4530],[],11,"","",[],"",""
1181,116,62,[],[5542],"Pick up Vorana's Logbook.","Récupérez le Journal de bord de Vorana.","Nehmt Voranas Logbuch.","ヴォラナのログブックを拾え","보라나의 일지를 챙기십시오.","Pegue o diário da Vorana.","Подберите журнал Вораны.","Recoge el Registro de Vorana.","เก็บสมุดปูมเดินทางของวอราน่า","拾起沃拉娜的日誌。","","Pick up Vorana's Logbook","Récupérez le Journal de bord de Vorana","Nehmt Voranas Logbuch","ヴォラナのログブックを拾え","보라나의 일지 챙기기","Pegue o diário da Vorana","Подберите журнал Вораны","Recoge el Registro de Vorana","เก็บสมุดปูมเดินทางของวอราน่า","拾起沃拉娜的日誌",[],0,"Pick up Vorana's Logbook","Récupérez le Journal de bord de Vorana","Nehmt Voranas Logbuch.","ヴォラナのログブックを拾え","보라나의 일지 챙기기","Pegue o diário da Vorana","Подберите журнал Вораны","Recoge el Registro de Vorana","เก็บสมุดปูมเดินทางของวอราน่า","拾起沃拉娜的日誌","",[389],"",[4484],[4426],11,"","",[],"",""
1182,116,63,[1656],[],"Speak to Gwennen.","Parlez à Gwennen.","Sprecht mit Gwennen.","グウェネンに話しかけろ","그위넨과 대화하십시오.","Fale com Gwennen.","Поговорите с Гвеннен.","Habla con Gwennen.","พูดคุยกับเกว็นเน็น","和關南交談。","","Speak to Gwennen","Parlez à Gwennen","Sprecht mit Gwennen","グウェネンに話しかけろ","그위넨과 대화하기","Fale com Gwennen","Поговорите с Гвеннен","Habla con Gwennen","พูดคุยกับเกว็นเน็น","和關南交談",[],0,"Speak to Gwennen","Parlez à Gwennen","Sprecht mit Gwennen.","グウェネンに話しかけろ","그위넨과 대화하기","Fale com Gwennen","Поговорите с Гвеннен","Habla con Gwennen","พูดคุยกับเกว็นเน็น","和關南交談","",[389],"",[4484],[],11,"","",[],"",""
1183,116,64,[],[],"Speak to Gwennen.","Parlez à Gwennen.","Sprecht mit Gwennen.","グウェネンに話しかけろ","그위넨과 대화하십시오.","Fale com Gwennen.","Поговорите с Гвеннен.","Habla con Gwennen.","พูดคุยกับเกว็นเน็น","和關南交談。","","Speak to Gwennen","Parlez à Gwennen","Sprecht mit Gwennen","グウェネンに話しかけろ","그위넨과 대화하기","Fale com Gwennen","Поговорите с Гвеннен","Habla con Gwennen","พูดคุยกับเกว็นเน็น","和關南交談",[],0,"Speak to Gwennen","Parlez à Gwennen","Sprecht mit Gwennen.","グウェネンに話しかけろ","그위넨과 대화하기","Fale com Gwennen","Поговорите с Гвеннен","Habla con Gwennen","พูดคุยกับเกว็นเน็น","和關南交談","",[362],"",[4484],[],11,"","",[],"",""
