"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","StatsKeys1","CharacterPanelDescriptionModesKey","StatsKeys2","StatsKeys3","CharacterPanelTabsKey","bool_96","[i32]_97","i32_113","StatsKeys4","bool_133","StatsKeys5","bool_150","StatsKeys6","i32_167"
334,"Cooldown","","","","","","","","","","",[20745],14,[],[20332],2,1,[],0,[],1,[],1,[],0
335,"CooldownCount","","","","","","","","","","",[17274],14,[],[20332],2,1,[],0,[],1,[],1,[],0
336,"WarcryEchoCount","Echo count","Nombre d'Échos","Echoanzahl","エコー回数","메아리 수","Contagem de Ecos","Число повторений","Cantidad de repeticiones","จำนวน ของการก้องสะท้อน","迴響次數",[24507],0,[],[],2,1,[],0,[],1,[],1,[],0
337,"WarcryEchoDelay","Echo delay","Délai des Échos","Echoverzögerung","エコー遅延","메아리 지연시간","Atraso de Ecos","Задержка повторения","Demora de repeticiones","ช่วงเวลารอ ของการก้องสะท้อน","迴響延遲",[24508],9,[],[],2,1,[9],0,[],1,[],1,[],0
338,"LifeLossOnSkilluse","","","","","","","","","","",[20307],14,[],[],2,1,[],0,[],1,[],1,[],0
339,"AlignFateDelay","Delay between fates","Délai entre les destins","Verzögerung zwischen Schicksalen","運命の間の遅延","운명 사이의 지연시간","Intervalo entre destinos","Задержка Совпадения судеб","Demora entre destinos","ช่วงเวลารอ ระหว่างชะตา","命運間延遲",[22342],9,[26670],[],2,"",[9],0,[],1,[],1,[26671],0
340,"TriggerGemMaximumEnergy","","","","","","","","","","",[20362],14,[],[],2,1,[],0,[],1,[],1,[],0
341,"CastOnShockEnergy","","","","","","","","","","",[17829],14,[],[],2,1,[],0,[],1,[],1,[],0
342,"CastOnFreezeEnergy","","","","","","","","","","",[17830],14,[],[],2,1,[],0,[],1,[],1,[],0
343,"CastOnIgniteEnergy","","","","","","","","","","",[17831],14,[],[],2,1,[],0,[],1,[],1,[],0
344,"CastOnMeleeKillEnergy","","","","","","","","","","",[17832],14,[],[],2,1,[],0,[],1,[],1,[],0
345,"CastWhenStunnedEnergy","","","","","","","","","","",[17834],14,[],[],2,1,[],0,[],1,[],1,[],0
346,"CastOnDamageTakenEnergy","","","","","","","","","","",[17835],14,[],[],2,1,[],0,[],1,[],1,[],0
347,"CastOnCritEnergy","","","","","","","","","","",[17836],14,[],[],2,1,[],0,[],1,[],1,[],0
348,"CastOnDodgeEnergy","","","","","","","","","","",[17952],14,[],[],2,1,[],0,[],1,[],1,[],0
349,"CastOnMinionDeathEnergy","","","","","","","","","","",[18715],14,[],[],2,1,[],0,[],1,[],1,[],0
350,"CastWhileChannellingEnergy","","","","","","","","","","",[17956],14,[],[],2,1,[],0,[],1,[],1,[],0
351,"CastOnMeleeStunEnergy1","","","","","","","","","","",[17958],14,[],[],2,1,[],0,[],1,[],1,[],0
352,"CastOnMeleeStunEnergy2","","","","","","","","","","",[17959],14,[],[],2,1,[],0,[],1,[],1,[],0
353,"CastOnCharmEnergy","","","","","","","","","","",[21188],14,[],[],2,1,[],0,[],1,[],1,[],0
354,"ArcaneArcherEnergy","","","","","","","","","","",[22856],14,[],[],2,1,[],0,[],1,[],1,[],0
355,"BarrierInvocationEnergy","","","","","","","","","","",[17938],14,[],[],2,1,[],0,[],1,[],1,[],0
356,"ElementalInvocationEnergy1","","","","","","","","","","",[19751],14,[],[],2,1,[],0,[],1,[],1,[],0
357,"ElementalInvocationEnergy2","","","","","","","","","","",[19752],14,[],[],2,1,[],0,[],1,[],1,[],0
358,"ElementalInvocationEnergy3","","","","","","","","","","",[19753],14,[],[],2,1,[],0,[],1,[],1,[],0
359,"MeleeKillInvocationEnergy","","","","","","","","","","",[19965],14,[],[],2,1,[],0,[],1,[],1,[],0
360,"FeralInvocationEnergy","","","","","","","","","","",[24314],14,[],[],2,1,[],0,[],1,[],1,[],0
361,"CastOnBlockEnergy","","","","","","","","","","",[20118],14,[],[],2,1,[],0,[],1,[],1,[],0
362,"TriggerGemEnergyGainModifier","","","","","","","","","","",[19079],14,[],[],2,1,[],0,[],1,[],1,[],0
363,"MH_CritChance","","Chances de Coup critique (Main principale)","Haupthand: Kritische Trefferchance","メインハンドクリティカル率","주 무기 치명타 확률","Chance de Crítico com a Mão Principal","Шанс критического удара оружия в правой руке","Probabilidad de golpe crítico de la mano principal","โอกาสคริติคอล ของมือหลัก","主手暴擊率",[539],14,"[7180,2849]","[425,1633,19992,1198,2742,18253]",5,1,[],0,[],1,[],1,[],0
364,"MH_CritChanceEffective","","","","","","","","","","",[21706],14,"[7180,2849]","[425,1633,19992,1198,2742]",5,"",[],0,[],1,[],1,[539],0
365,"MH_DoubleCritChanceEffective","","","","","","","","","","",[21711],14,"[7180,2849]","[425,1633,19992,1198,2742]",5,1,[],0,[],1,[],1,[],0
366,"MH_AddedCritChanceFromHitChance","","","","","","","","","","","[22019,22017]",14,"[7180,2849]","[425,1633,19992,1198,2742,18253]",5,1,[],0,[],"",[],"",[],0
367,"OH_CritChance","","Chances de Coup critique (Main secondaire)","Nebenhand: Kritische Trefferchance","オフハンドクリティカル率","보조 장비 치명타 확률","Chance de Crítico com a Mão Secundária","Шанс критического удара оружия в левой руке","Probabilidad de golpe crítico de la mano secundaria","โอกาสคริติคอล ของมือรอง","副手暴擊率",[540],14,"[7181,2849]","[425,1633,19992,1198,2742,18253]",5,1,[],0,[],1,[],1,[],0
368,"OH_CritChanceEffective","","","","","","","","","","",[21707],14,"[7181,2849]","[425,1633,19992,1198,2742]",5,1,[],0,[],1,[],1,[540],0
369,"OH_DoubleCritChanceEffective","","","","","","","","","","",[21712],14,"[7181,2849]","[425,1633,19992,1198,2742]",5,1,[],0,[],1,[],1,[],0
370,"OH_AddedCritChanceFromHitChance","","","","","","","","","","","[22020,22018]",14,"[7181,2849]","[425,1633,19992,1198,2742,18253]",5,1,[],0,[],"",[],"",[],0
371,"Spell_CritChance","","Chances de Coup critique du sort","Zauber: Kritische Trefferchance","スペルクリティカル率","주문 치명타 확률","Chance de Crítico Mágico","Шанс критического удара чарами","Probabilidad de golpe crítico con hechizos","โอกาสคริติคอล ของเวท","法術暴擊率",[541],14,[425],"[1633,19992,1198,2742,8804]",5,1,[],0,[],1,[],1,[],0
372,"Spell_CritChanceEffective","","","","","","","","","","",[21708],14,[425],"[1633,19992,1198,2742]",5,1,[],0,[],1,[],1,[541],0
373,"CritChance","","Chances de Coup critique","Kritische Trefferchance","クリティカル率","치명타 확률","Chance de Crítico","Шанс критического удара","Probabilidad de golpe crítico","โอกาสคริติคอล","暴擊率",[730],14,[1633],"[19992,1198,2742,8804]",5,1,[],0,[],1,[],1,[],0
374,"Secondary_CritChanceEffective","","","","","","","","","","",[21709],14,[1633],"[19992,1198,2742]",5,1,[],0,[],1,[],1,[730],0
375,"CritVsImmobilised","","","","","","","","","","",[20321],14,[],"[19992,1198,2742]",5,1,[],0,[],1,[],1,[],0
376,"MH_CritMulti","","Multiplicateur de Coup critique (Main principale)","Haupthand: Multiplikator für kritische Treffer","メインハンドクリティカルダメージ倍率","주 무기 치명타 피해 배율","Multiplicador de Crítico com a Mão Principal","Множитель критического удара оружия в правой руке","Multiplicador de golpe crítico de la mano principal","ตัวคูณคริติคอล ของมือหลัก","主手暴擊加成",[596],14,"[7180,2849,21706]","[425,1633,19992,1198,2742]",5,1,[],0,[],1,[],1,[],0
377,"OH_CritMulti","","Multiplicateur de Coup critique (Main secondaire)","Nebenhand: Multiplikator für kritische Treffer","オフハンドクリティカルダメージ倍率","보조 장비 치명타 피해 배율","Multiplicador de Crítico com a Mão Secundária","Множитель критического удара оружия в левой руке","Multiplicador de golpe crítico de la mano secundaria","ตัวคูณคริติคอล ของมือรอง","副手暴擊加成",[597],14,"[7181,2849,21707]","[425,1633,19992,1198,2742]",5,1,[],0,[],1,[],1,[],0
378,"Spell_CritMulti","","Multiplicateur de Coup critique du sort","Zauber: Multiplikator für kritische Treffer","スペルクリティカルダメージ倍率","주문 치명타 피해 배율","Multiplicador de Crítico Mágico","Множитель критического удара чарами","Multiplicador de golpe crítico con hechizos","ตัวคูณคริติคอล ของเวท","法術暴擊加成",[598],14,"[425,21708]","[1633,19992,1198,2742]",5,1,[],0,[],1,[],1,[],0
379,"CritMulti","","Multiplicateur de Coup critique","Multiplikator für kritische Treffer","クリティカルダメージ倍率","치명타 피해 배율","Multiplicador de Crítico","Множитель критического удара","Multiplicador de golpe crítico","ตัวคูณคริติคอล","暴擊加成",[729],14,"[1633,21709]","[19992,1198,2742]",5,1,[],0,[],1,[],1,[],0
380,"CritMultiVsFullLife","","","","","","","","","","",[3467],14,[],"[19992,1198,2742]",5,1,[],0,[],1,[],1,[],0
381,"MH_Accuracy","","Score de Précision (Main principale)","Haupthand: Treffgenauigkeit","メインハンド命中力","주 무기 정확도","Precisão com a Mão Principal","Меткость оружия в правой руке","Precisión de la mano principal","อัตราความแม่นยำ ของมือหลัก","主手命中值",[281],14,"[7180,2849]","[425,1633,1198,19992,700]",6,1,[],0,[],1,[],1,[],0
382,"OH_Accuracy","","Score de Précision (Main secondaire)","Nebenhand: Treffgenauigkeit","オフハンド命中力","보조 장비 정확도","Precisão com a Mão Secundária","Меткость оружия в левой руке","Precisión de la mano secundaria","อัตราความแม่นยำ ของมือรอง","副手命中值",[282],14,"[7181,2849]","[425,1633,1198,19992,701]",6,1,[],0,[],1,[],1,[],0
383,"MH_HitChanceMinRange","","","","","","","","","","","[662,670,684]",14,"[7180,2849]","[1633,2885,684]",6,"",[],0,[],"",[],"",[],0
384,"MH_HitChanceMidRange","","","","","","","","","","","[664,669,685]",14,"[7180,2849,669]","[1633,2885,685]",6,"",[],0,[],"",[],"",[],0
385,"MH_HitChanceMaxRange","","","","","","","","","","","[666,668,686]",14,"[7180,2849,668]","[1633,2885,686]",6,"",[],0,[],"",[],"",[],0
386,"OH_HitChanceMinRange","","","","","","","","","","","[663,673,684]",14,"[7181,2849]","[1633,2885,684]",6,"",[],0,[],"",[],"",[],0
387,"OH_HitChanceMidRange","","","","","","","","","","","[665,672,685]",14,"[7181,2849,672]","[1633,2885,685]",6,"",[],0,[],"",[],"",[],0
388,"OH_HitChanceMaxRange","","","","","","","","","","","[667,671,686]",14,"[7181,2849,671]","[1633,2885,686]",6,"",[],0,[],"",[],"",[],0
389,"MH_BleedingChance","","Chances de Saignement (Main principale)","Chance, Blutung durch Haupthandftreffer zu verursachen","メインハンドヒット出血確率","주 무기로 명중 시 출혈 유발 확률","Chance de infligir Sangramento com acertos da Mão Principal","Шанс наложить кровотечение от ударов правой рукой","<size:23>{Probabilidad de infligir sangrado con golpes de la mano principal}","โอกาสสร้างสถานะ เลือดไหล จากการปะทะ ด้วยมือหลัก","主手武器擊中時機率造成流血",[6090],14,"[7180,2849]","[425,2621,1633,19992]",7,1,[],0,[],1,[],1,[],0
390,"MH_BleedingDamage","","Dégâts de Saignement par seconde (Main principale)","Blutungsschaden pro Sekunde von Haupthandtreffern","メインハンドヒット秒間出血ダメージ","주 무기로 명중 시 초당 출혈 피해","Dano de Sangramento por segundo de acertos da Mão Principal","Урон от кровотечения в секунду от ударов правой рукой","<size:23>{Daño de sangrado por segundo por golpes con la mano principal}","ความเสียหายต่อวินาทีของ เลือดไหล จากการปะทะ ด้วยมือหลัก","主手武器擊中時每秒流血傷害","[20221,20222]",14,"[7180,2849]",[1198],7,1,[],0,"[6090,19932,2311,2313]",1,[],1,[],0
391,"OH_BleedingChance","","Chances de Saignement (Main secondaire)","Chance, Blutung durch Nebenhandftreffer zu verursachen","オフハンドヒット出血確率","보조 장비로 명중 시 출혈 유발 확률","Chance de infligir Sangramento com acertos da Mão Secundária","Шанс наложить кровотечение от ударов левой рукой","<size:23>{Probabilidad de infligir sangrado con golpes de la mano secundaria}","โอกาสสร้างสถานะ เลือดไหล จากการปะทะ ด้วยมือรอง","副手武器擊中時機率造成流血",[6091],14,"[7181,2849]","[425,2621,1633,19992]",7,1,[],0,[],1,[],1,[],0
392,"OH_BleedingDamage","","Dégâts de Saignement par seconde (Main secondaire)","Blutungsschaden pro Sekunde von Nebenhandtreffern","オフハンドヒット秒間出血ダメージ","보조 장비로 명중 시 초당 출혈 피해","Dano de Sangramento por segundo de acertos da Mão Secundária","Урон от кровотечения в секунду от ударов левой рукой","<size:23>{Daño de sangrado por segundo por golpes con la mano secundaria}","ความเสียหายต่อวินาทีของ เลือดไหล จากการปะทะ ด้วยมือรอง","副手武器擊中時每秒流血傷害","[20223,20224]",14,"[7181,2849]",[1198],7,1,[],0,"[6091,19932,2311,2314]",1,[],1,[],0
393,"Spell_BleedingChance","","","","","","","","","","",[6092],14,[425],"[1633,19992,2621]",7,1,[],0,[],1,[],1,[],0
394,"Spell_BleedingDamage","","","","","","","","","","","[20225,20226]",14,[425],"[1198,1633,19992,2621]",7,1,[],0,"[6092,19932]",1,[],1,[],0
395,"Secondary_BleedingChance","","","","","","","","","","",[6093],14,[1633],"[19992,2621]",7,1,[],0,[],1,[],1,[],0
396,"Secondary_BleedingDamage","","","","","","","","","","","[20227,20228]",14,[1633],"[1198,19992,2621]",7,1,[],0,"[6093,19932]",1,[],1,[],0
397,"BleedingDuration","","","","","","","","","","",[20698],14,[],"[19992,2621]",7,1,[],0,"[6090,6091,6092,6093,19932]",1,[],1,[],0
398,"MH_IgniteChanceEstimate","","","","","","","","","","","[22729,22730]",14,"[7180,2849]","[425,1633,1198,19992,10201,5652,7321]",7,1,[],0,[],1,[],1,[],0
399,"MH_IgniteDamageEstimate","","","","","","","","","","","[20237,20238]",14,"[7180,2849,22720]","[425,1633,1198,19992,10201]",7,1,[],0,[],1,[],1,[],0
400,"OH_IgniteChanceEstimate","","","","","","","","","","","[22731,22732]",14,"[7181,2849]","[425,1633,1198,19992,10201,5652,7322]",7,1,[],0,[],1,[],1,[],0
401,"OH_IgniteDamageEstimate","","","","","","","","","","","[20239,20240]",14,"[7181,2849,22722]","[425,1633,1198,19992,10201]",7,1,[],0,[],1,[],1,[],0
402,"Spell_IgniteChanceEstimate","","","","","","","","","","","[22733,22734]",14,[425],"[1198,1633,19992,10201,5652]",7,1,[],0,[],1,[],1,[],0
403,"Spell_IgniteDamageEstimate","","","","","","","","","","","[20241,20242]",14,"[425,22724]","[1198,1633,19992,10201]",7,1,[],0,[],1,[],1,[],0
404,"Secondary_IgniteChanceEstimate","","","","","","","","","","","[22735,22736]",14,[1633],"[1198,1633,19992,10201,5652]",7,1,[],0,[],1,[],1,[],0
405,"Secondary_IgniteDamageEstimate","","","","","","","","","","","[20243,20244]",14,"[1633,22726]","[1198,19992,10201]",7,1,[],0,[],1,[],1,[],0
406,"IgniteDuration","","Modificateur de Durée d'Embrasement","Modifikator für Entzündungsdauer","発火持続時間モッド","점화 지속시간 속성 부여","Modificador da Duração de Incêndio","Модификатор длительности поджога","Modificador de duración de la quemadura","ม็อดระยะเวลาของสถานะ ลุกไหม้","點燃時間修正",[20699],14,[],"[19992,10201]",7,1,[],0,"[20238,20240,20242,20244]",1,[],1,[],0
407,"OilGroundIgniteAddDamage","","","","","","","","","","","[24714,24715]",14,[],[],7,1,[],0,[],1,[],1,[],0
408,"MH_ShockChanceEstimate","","","","","","","","","","","[22697,22698]",14,"[7180,2849,22708]","[425,1633,1198,19992,10202]",7,1,[],0,[],1,[],1,[],0
409,"MH_ShockMagnitude","Main Hand [Shock] [BuffMagnitude|Magnitude]","[BuffMagnitude|Amplitude] de l'[Shock|Électrocution] (Main principale)","Haupthand: [BuffMagnitude|Magnitude] von [Shock|Schocken]","メインハンド[Shock|感電][BuffMagnitude|強度]","주 무기 [Shock|감전] [BuffMagnitude|강도]","[BuffMagnitude|Intensidade] da [Shock|Eletrificação] da Mão Principal","[BuffMagnitude|Сила] наложения [Shock|шока] правой рукой","[BuffMagnitude|Magnitud] de la [Shock|electrocución] de la mano principal ","[BuffMagnitude|จำนวนค่า]ของสถานะ [Shock|ช็อค] ของมือหลัก","主手[Shock|感電][BuffMagnitude|幅度]",[22718],1,"[7180,2849,22708]","[425,1633,1198,19992,10202]",7,1,[],0,[],1,[],1,[],0
410,"MH_ShockDuration","Main Hand [Shock] duration","Durée de l'[Shock|Électrocution] (Main principale)","Haupthand: [Shock|Schock]dauer","メインハンド[Shock|感電]持続時間","주 무기 [Shock|감전] 지속시간","Duração da [Shock|Eletrificação] da Mão Principal","Длительность [Shock|шока], накладываемого правой рукой","Duración de la [Shock|electrocución] de la mano principal ","ระยะเวลาของสถานะ [Shock|ช็อค] ของมือหลัก","主手[Shock|感電]持續時間",[22717],9,"[7180,2849,22708]","[425,1633,1198,19992,10202]",7,1,[13],0,[],1,[],1,[],0
411,"OH_ShockChanceEstimate","","","","","","","","","","","[22699,22700]",14,"[7181,2849,22710]","[425,1633,1198,19992,10202]",7,1,[],0,[],1,[],1,[],0
412,"OH_ShockMagnitude","Off Hand [Shock] [BuffMagnitude|Magnitude]","[BuffMagnitude|Amplitude] de l'[Shock|Électrocution] (Main secondaire)","Nebenhand: [BuffMagnitude|Magnitude] von [Shock|Schocken]","オフハンド[Shock|感電][BuffMagnitude|強度]","보조 장비 [Shock|감전] [BuffMagnitude|강도]","[BuffMagnitude|Intensidade] de [Shock|Eletrificação] da Mão Secundária","[BuffMagnitude|Сила] наложения [Shock|шока] левой рукой","[BuffMagnitude|Magnitud] de la [Shock|electrocución] de la mano secundaria","[BuffMagnitude|จำนวนค่า]ของสถานะ [Shock|ช็อค] ของมือรอง","副手[Shock|感電][BuffMagnitude|幅度]",[22718],1,"[7181,2849,22710]","[425,1633,1198,19992,10202]",7,1,[],0,[],1,[],1,[],0
413,"OH_ShockDuration","Off Hand [Shock] duration","Durée de l'[Shock|Électrocution] (Main secondaire)","Nebenhand: [Shock|Schock]dauer","オフハンド[Shock|感電]持続時間","보조 장비 [Shock|감전] 지속시간","Duração da [Shock|Eletrificação] da Mão Secundária","Длительность [Shock|шока], накладываемого левой рукой","Duración de la [Shock|electrocución] de la mano secundaria","ระยะเวลาของสถานะ [Shock|ช็อค] ของมือรอง","副手[Shock|感電]持續時間",[22717],9,"[7181,2849,22710]","[425,1633,1198,19992,10202]",7,1,[13],0,[],1,[],1,[],0
414,"Spell_ShockChanceEstimate","","","","","","","","","","","[22701,22702]",14,"[425,22712]","[1198,1633,19992,10202]",7,1,[],0,[],1,[],1,[],0
415,"Spell_ShockMagnitude","","","","","","","","","","",[22718],14,"[425,22712]","[1198,1633,19992,10202]",7,1,[],0,[],1,[],1,[],0
416,"Spell_ShockDuration","","","","","","","","","","",[22717],14,"[425,22712]","[1198,1633,19992,10202]",7,1,[],0,[],1,[],1,[],0
417,"Secondary_ShockChanceEstimate","","","","","","","","","","","[22703,22704]",14,"[1633,22714]","[1198,19992,10202]",7,1,[],0,[],1,[],1,[],0
418,"Secondary_ShockMagnitude","","","","","","","","","","",[22718],14,"[1633,22714]","[1198,19992,10202]",7,1,[],0,[],1,[],1,[],0
419,"Secondary_ShockDuration","","","","","","","","","","",[22717],14,"[1633,22714]","[1198,19992,10202]",7,1,[],0,[],1,[],1,[],0
420,"MH_ChillMagnitudeEstimate","","","","","","","","","","","[22181,22182]",14,"[7180,2849,22172]","[425,1633,1198,19992,8141]",7,1,[],0,[],1,[],1,[],0
421,"MH_ChillDuration","Main Hand [Chill] duration","Durée de la Frigorification (Main principale)","Haupthand: [Chill|Unterkühlungs]dauer","メインハンド[Chill|冷却]持続時間","주 무기 [Chill|냉각] 지속시간","Duração do [Chill|Esfriamento] da Mão Principal","Длительность [Chill|охлаждения], накладываемого правой рукой","Duración del [Chill|escarchamiento] de la mano principal ","ระยะเวลาของสถานะ [Chill|หนาวเย็น] ของมือหลัก","主手[Chill|冰緩]持續時間",[20700],9,"[7180,2849,22172]","[425,1633,1198,19992,8141]",7,1,[13],0,[],1,[],1,[],0
422,"OH_ChillMagnitudeEstimate","","","","","","","","","","","[22183,22184]",14,"[7181,2849,22174]","[425,1633,1198,19992,8141]",7,1,[],0,[],1,[],1,[],0
423,"OH_ChillDuration","Off Hand [Chill] duration","Durée de la Frigorification (Main secondaire)","Nebenhand: [Chill|Unterkühlungs]dauer","オフハンド[Chill|冷却]持続時間","보조 장비 [Chill|냉각] 지속시간","Duração do [Chill|Esfriamento] da Mão Secundária","Длительность [Chill|охлаждения], накладываемого левой рукой","Duración del [Chill|escarchamiento] de la mano secundaria","ระยะเวลาของสถานะ [Chill|หนาวเย็น] ของมือรอง","副手[Chill|冰緩]持續時間",[20700],9,"[7181,2849,22174]","[425,1633,1198,19992,8141]",7,1,[13],0,[],1,[],1,[],0
424,"Spell_ChillMagnitudeEstimate","","","","","","","","","","","[22185,22186]",14,"[425,22176]","[1633,19992,8141]",7,1,[],0,[],1,[],1,[],0
425,"Spell_ChillDuration","","","","","","","","","","",[20700],14,"[425,22176]","[1633,19992,8141]",7,1,[],0,[],1,[],1,[],0
426,"Secondary_ChillMagnitudeEstimate","","","","","","","","","","","[22187,22188]",14,"[1633,22178]","[19992,8141]",7,1,[],0,[],1,[],1,[],0
427,"Secondary_ChillDuration","","","","","","","","","","",[20700],14,[22178],"[1198,8141]",7,1,[],0,[],1,[],1,[],0
428,"MH_ChanceToPoison","","Chances d'Empoisonnement (Main principale)","Chance auf Vergiften von Haupthandtreffern","メインハンドヒット毒付与確率","주 무기로 명중 시 중독 확률","Chance de Envenenar com acertos da Mão Principal","Шанс отравить от ударов правой рукой","Probabilidad de envenenar con golpes de la mano principal","โอกาสสร้างสถานะ พิษ จากการปะทะ ด้วยมือหลัก","主手武器擊中時中毒機率",[20261],14,"[7180,2849]","[425,1633,1198,17718]",7,1,[],0,[],1,[],1,[],0
429,"MH_PoisonDamage","","Dégâts de Poison par seconde (Main principale)","Giftschaden pro Sekunde von Haupthandtreffern","メインハンドヒットによる秒間毒ダメージ","주 무기로 명중 시 초당 중독 피해","Dano de Veneno por segundo de acertos da Mão Principal","Урон от яда в секунду от ударов правой рукой","Daño de veneno por segundo por golpes con la mano principal","ความเสียหายต่อวินาทีของ พิษ จากการปะทะ ด้วยมือหลัก","主手武器擊中時每秒中毒傷害","[20253,20254]",14,"[7180,2849]","[1198,425,1633,1198,17718]",7,1,[],0,"[20261,14506,1137,20696]",1,[],1,[],0
430,"OH_ChanceToPoison","","Chances d'Empoisonnement (Main secondaire)","Chance auf Vergiften von Nebenhandtreffern","オフハンド毒付与確率","보조 장비로 명중 시 중독 확률","Chance de Envenenar com acertos da Mão Secundária","Шанс отравить от ударов левой рукой","Probabilidad de envenenar con golpes de la mano secundaria","โอกาสสร้างสถานะ พิษ จากการปะทะ ด้วยมือรอง","副手武器擊中時中毒機率",[20262],14,"[7181,2849]","[425,1633,1198,17718]",7,1,[],0,[],1,[],1,[],0
431,"OH_PoisonDamage","","Dégâts de Poison par seconde (Main secondaire)","Giftschaden pro Sekunde von Nebenhandtreffern","オフハンドヒットによる秒間毒ダメージ","보조 장비로 명중 시 초당 중독 피해","Dano de Veneno por segundo de acertos da Mão Secundária","Урон от яда в секунду от ударов левой рукой","<size:22>{Daño de veneno por segundo por golpes con la mano secundaria}","ความเสียหายต่อวินาทีของ พิษ จากการปะทะ ด้วยมือรอง","副手武器擊中時每秒中毒傷害","[20255,20256]",14,"[7181,2849]","[425,1633,1198,17718]",7,1,[],0,"[20262,14506,1138,20696]",1,[],1,[],0
432,"Spell_ChanceToPoison","","Chances d'Empoisonnement","Chance auf Vergiften","毒付与確率","중독 확률","Chance de Envenenar","Шанс отравить","Probabilidad de envenenar","โอกาสสร้างสถานะ พิษ","中毒機率",[20263],14,[425],"[1633,17718]",7,1,[],0,[],1,[],1,[],0
433,"Spell_PoisonDamage","","Dégâts de Poison par seconde","Giftschaden pro Sekunde","秒間毒ダメージ","초당 중독 피해","Dano de Veneno por segundo","Урон от яда в секунду","Daño de veneno por segundo","ความเสียหายต่อวินาทีของ พิษ","每秒中毒傷害","[20257,20258]",14,[425],"[1198,1633,17718]",7,1,[],0,"[20263,14506,20696]",1,[],1,[],0
434,"Secondary_ChanceToPoison","","Chances d'Empoisonnement","Chance auf Vergiften","毒付与確率","중독 확률","Chance de Envenenar","Шанс отравить","Probabilidad de envenenar","โอกาสสร้างสถานะ พิษ","中毒機率",[20264],14,[1633],[17718],7,1,[],0,[],1,[],1,[],0
435,"Secondary_PoisonDamage","","Dégâts de Poison par seconde","Giftschaden pro Sekunde","秒間毒ダメージ","초당 중독 피해","Dano de Veneno por segundo","Урон от яда в секунду","Daño de veneno por segundo","ความเสียหายต่อวินาทีของ พิษ","每秒中毒傷害","[20259,20260]",14,[1633],"[1198,17718]",7,1,[],0,"[20264,14506,20696]",1,[],1,[],0
436,"PoisonDuration","","","","","","","","","","",[20701],14,[],[17718],7,1,[],0,"[20261,20262,20263,20264,14506,20696]",1,[],1,[],0
437,"SkillCannotShock","","","","","","","","","","",[10202],14,[],"[19992,1198]",7,1,[],0,[],1,[],1,[],0
438,"SkillCannotIgnite","","","","","","","","","","",[10201],14,[],"[19992,1198]",7,1,[],0,[],1,[],1,[],0
439,"SkillCannotChill","","","","","","","","","","",[8141],14,[],"[19992,1198]",7,1,[],0,[],1,[],1,[],0
440,"SkillCannotFreeze","","","","","","","","","","",[8140],14,[],"[19992,1198]",7,1,[],0,[],1,[],1,[],0
441,"MH_FreezeBuildup_Phys","","","","","","","","","","",[22268],14,"[7180,2849,6551]","[425,1633,19992,1198,8140]",7,1,[],0,"[270,271]",1,[],1,[],0
442,"MH_FreezeBuildup_Fire","","","","","","","","","","",[23035],14,"[7180,2849,6552]","[425,1633,19992,1198,8140]",7,1,[],0,"[258,259]",1,[],1,[],0
443,"MH_FreezeBuildup_Cold","","","","","","","","","","",[23039],14,"[7180,2849]","[425,1633,19992,1198,8140,6553]",7,1,[],0,"[254,255]",1,[],1,[],0
444,"MH_FreezeBuildup_Lightning","","","","","","","","","","",[23043],14,"[7180,2849,6554]","[425,1633,19992,1198,8140]",7,1,[],0,"[262,263]",1,[],1,[],0
445,"MH_FreezeBuildup_Chaos","","","","","","","","","","",[23047],14,"[7180,2849,6555]","[425,1633,19992,1198,8140]",7,1,[],0,"[266,267]",1,[],1,[],0
446,"OH_FreezeBuildup_Phys","","","","","","","","","","",[22269],14,"[7181,2849,6551]","[425,1633,19992,1198,8140]",7,1,[],0,"[272,273]",1,[],1,[],0
447,"OH_FreezeBuildup_Fire","","","","","","","","","","",[23036],14,"[7181,2849,6552]","[425,1633,19992,1198,8140]",7,1,[],0,"[260,261]",1,[],1,[],0
448,"OH_FreezeBuildup_Cold","","","","","","","","","","",[23040],14,"[7181,2849]","[425,1633,19992,1198,8140,6553]",7,1,[],0,"[256,257]",1,[],1,[],0
449,"OH_FreezeBuildup_Lightning","","","","","","","","","","",[23044],14,"[7181,2849,6554]","[425,1633,19992,1198,8140]",7,1,[],0,"[264,265]",1,[],1,[],0
450,"OH_FreezeBuildup_Chaos","","","","","","","","","","",[23048],14,"[7181,2849,6555]","[425,1633,19992,1198,8140]",7,1,[],0,"[268,269]",1,[],1,[],0
451,"Spell_FreezeBuildup_Phys","","","","","","","","","","",[22270],14,"[425,6551]","[19992,1198,1633,8140]",7,1,[],0,"[252,253]",1,[],1,[],0
452,"Spell_FreezeBuildup_Fire","","","","","","","","","","",[23037],14,"[425,6552]","[19992,1198,1633,8140]",7,1,[],0,"[246,247]",1,[],1,[],0
453,"Spell_FreezeBuildup_Cold","","","","","","","","","","",[23041],14,[425],"[19992,1198,1633,8140,6553]",7,1,[],0,"[244,245]",1,[],1,[],0
454,"Spell_FreezeBuildup_Lightning","","","","","","","","","","",[23045],14,"[425,6554]","[19992,1198,1633,8140]",7,1,[],0,"[248,250]",1,[],1,[],0
