"rownum","string_0","rid_8","string_24","string_24 (French)","string_24 (German)","string_24 (Japanese)","string_24 (Korean)","string_24 (Portuguese)","string_24 (Russian)","string_24 (Spanish)","string_24 (Thai)","string_24 (Traditional Chinese)","[string]_32","[rid]_48","rid_64","[rid]_80","i32_96","i32_100","[rid]_104","[rid]_120","[rid]_136","[string]_152","[rid]_168","[rid]_184","[string]_200","[string]_200 (French)","[string]_200 (German)","[string]_200 (Japanese)","[string]_200 (Korean)","[string]_200 (Portuguese)","[string]_200 (Russian)","[string]_200 (Spanish)","[string]_200 (Thai)","[string]_200 (Traditional Chinese)","[string]_216","[string]_216 (French)","[string]_216 (German)","[string]_216 (Japanese)","[string]_216 (Korean)","[string]_216 (Portuguese)","[string]_216 (Russian)","[string]_216 (Spanish)","[string]_216 (Thai)","[string]_216 (Traditional Chinese)","rid_232"
1563,"TavakaiA4_OnTekaru_C1b","","For untold generations, he slept soundly in that prison. <continue>But the Deceiver woke from his slumber twenty years ago, and has been causing more and more problems ever since. <continue>The fog... crashing ships... foul dreams... cursed voices... <continue>Even Matiki, the Elder you found, was deceived and led astray by Tekaru's lies. <continue>It will be much worse now that the Deceiver is free, thanks to you. ","Pendant des générations, il est resté bien sagement endormi dans sa prison. <continue>Mais le Dupeur est sorti de sa torpeur il y a vingt ans, et il cause problème sur problème depuis. <continue>La brume… Les navires qui s'échouent… Des rêves insidieux… Des murmures de malédiction… <continue>Même Matiki, l'Ancien que vous avez trouvé, s'est fait duper par les mensonges de Tekaru et a disparu. <continue>Mais cela va être bien pire maintenant que le Dupeur est libre.","Während unzähliger Generationen lag er in seinem Gefängnis in tiefem Schlaf. \r\n<continue>Aber vor zwanzig Jahren erwachte der Täuscher aus seinem Schlummer und hat seitdem mehr und mehr Probleme verursacht.\r\n<continue>Der Nebel … zerschellte Schiffe … Albträume … verfluchte Stimmen …\r\n<continue>Selbst Matiki, der Älteste, den Ihr gefunden habt, wurde von Tekarus Lügen getäuscht und in die Irre geführt.\r\n<continue>All das wird noch viel schlimmer werden, da der Täuscher dank Euch jetzt frei ist.","幾世代もの間、奴はあの牢獄で深く眠り続けていた。<continue>だが欺く者は二十年前にその眠りから覚め、以来次々と問題を起こしてきた。<continue>霧……難破船……悪夢……呪われた声……<continue>お前が見つけた長老、マティキでさえテカルの嘘に騙され惑わされてしまった。<continue>これからは更に悪いことが起こるだろう、お前のおかげで欺く者が自由となったからな。","기만자는 대대로 그 감옥 안에서 조용히 잠들어 있었다. <continue>하지만 20년 전 잠에서 깨어난 이후로 점점 더 많은 문제를 일으키고 있지. <continue>안개... 난파선... 흉흉한 꿈... 저주받은 목소리... <continue>심지어 네가 발견한 장로 마티키조차 테카루의 거짓말에 속아 길을 잃고 말았지. <continue>하지만 네 덕분에 이제 기만자가 풀려났으니, 앞으로는 더 끔찍한 일이 펼쳐질 것이다.","Ele ficou lá, quieto e adormecido por muitas e muitas gerações. <continue>Mas o Trapaceiro despertou de seu leito há 20 anos, e os problemas só aumentaram desde então. <continue>A névoa... os naufrágios... os sonhos ruins... as vozes malditas... <continue>Até o Matiki, o ancião que você encontrou, foi enganado e levado pelas mentiras de Tekaru. <continue>Mas agora, com o Trapaceiro solto, tudo vai piorar. Graças a você.","Бессчётные поколения он крепко спал в этой тюрьме. <continue>Но Обманщик очнулся от своей дрёмы двадцать лет назад, и с тех пор вызывает всё больше и больше проблем. <continue>Туман... кораблекрушения... дурные сны... проклятые голоса... <continue>Даже Матики, найденный тобой старейшина, был обманут и сбит с толку ложью Текару. <continue>Теперь станет гораздо хуже, раз Обманщик на свободе.","Durante incontables generaciones, durmió plácidamente en esa prisión. <continue>Pero el Impostor despertó hace veinte años, y no ha hecho otra cosa que causar cada vez más problemas desde entonces. <continue>La niebla... los barcos que chocan... sueños desagradables... voces malditas... <continue>Hasta Matiki, el anciano que encontraste, fue engañado por las mentiras de Tekaru y apartado del camino. <continue>Pero ahora que el Impostor está libre, todo será peor, gracias a ti.","มันหลับใหลในที่คุมขังแห่งนั้นมาหลายต่อหลายชั่วรุ่น<continue>แต่ผู้ลวงหลอกตื่นจากนิทรามาเมื่อ 20 ปีก่อน สร้างปัญหา\r\nให้กับเรามากขึ้นไปทุกที<continue>ทั้งหมอก... ทั้งเรือล่ม... ฝันโสโครก... เสียงสามานย์<continue>กระทั่งมาทิกิ ผู้เฒ่าที่เจ้าพบก็ถูกเทคารูลวงหลอกให้พลัดหลงไป<continue>แต่อะไรๆ มันจะแย่ไปกว่านี้เพราะผู้ลวงหลอกเป็นอิสระ\r\nด้วยน้ำมือเจ้าไปแล้ว","無數世代以來，他在那座監牢中沉睡。<continue>但欺詐者在二十年前突然甦醒，從那時起，麻煩就越來越多。<continue>迷霧……船隻觸礁……惡夢纏身……詛咒的低語……<continue>甚至連你們找到的那位長老──馬提奇，也被特卡魯的謊言欺騙。<continue>但現在情況更糟了，欺詐者如今徹底自由了。","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Tavakai/Tavakai_05_03_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tavakai/Tavakai_05_03_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tavakai/Tavakai_05_03_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tavakai/Tavakai_05_03_04b.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tavakai/Tavakai_05_03_05.ogg""]",[472],"",[],0,100,[],[],[],[],[198],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
1564,"TavakaiA4_OnMakoru_A1","","It is... disappointing... to see our young abandoning the Way and becoming... what? <continue>Workhands? For the Kalguurans? It is ridiculous! She could be so much more!","C'est… décevant… de voir l'une de nos jeunes abandonner la Voie pour devenir… quoi ? <continue>De la main-d'œuvre ? Pour les Kalguuriens ? Ridicule ! Elle pourrait faire tellement mieux !","Es ist … enttäuschend zu sehen, wie unsere Jugend sich vom Kodex abwendet und zu … was genau werden?\r\n<continue>Arbeiter? Für die Kalguur? Das ist lächerlich. Sie könnte so viel mehr erreichen!","残念だ……若者たちが『道』を捨て……何だ？労働者となっているのか？カルグール人どもの？馬鹿げている！彼女にはもっと可能性があるというのに！","참으로... 실망스럽군... 우리 젊은이들이 길을 버리다니... 대체 뭘 위해서? <continue>칼구르인들의 일꾼이 되려고? 어처구니가 없지! 그 아이는 훨씬 더 뛰어난 존재가 될 수 있었는데!","É... decepcionante... ver nossos jovens trocando o modo para se tornarem... o quê? <continue>Peões dos kalguuranos? É revoltante! Ela poderia ser muito mais.","Это... печально... видеть, как наша молодежь оставляет Путь и становится... кем? <continue>Батраками? Для калгууранцев? Это смехотворно! Она могла добиться гораздо большего!","Es... decepcionante ver a nuestros jóvenes abandonar la Tradición para convertirse en, ¿qué? <continue>¿Mano de obra? ¿De los kalguranos? ¡Es ridículo! ¡Ella podría ser mucho más que eso!","มัน... น่าผิดหวัง... ที่ได้เห็นหนุ่มสาวของเราทอดทิ้งวิถีแล้วเป็น...\r\nอะไรกันเล่า?<continue>เป็นลูกมือ? ให้กับพวกคาลเกอร์เนี่ยนะ? มันน่าเหลวไหลนัก!\r\nเธอเป็นอะไรได้มากไปกว่านั้นนัก!","真是……令人失望……看到我們的年輕人背離道路，然後變成……什麼？<continue>工人？替卡爾葛人工作？這簡直荒唐！她明明可以成就更多的！","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Tavakai/Tavakai_06_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tavakai/Tavakai_06_01_02.ogg""]",[472],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
1565,"TavakaiA4_OnMakoru_A2_Dex4",2,"<i>{I} find her rather impressive. You should give her a chance.","<i>{Je} la trouve plutôt impressionnante. Vous devriez lui donner sa chance.","<i>{Ich} bin von ihr ziemlich beeindruckt. Ihr solltest ihr eine Chance geben.","私は彼女は結構すごいと思うけどね。チャンスをあげるべきよ。","<i>{나}는 그녀가 대단한 것 같던데. 기회를 좀 주지그래.","<i>{Eu} vejo valor nela. Ela merece uma chance.","<i>{Меня} она довольно-таки впечатлила. Тебе стоит дать ей шанс.","<i>{A mí} me parece bastante impresionante. Deberías darle una oportunidad.","<i>{ข้า}ประทับใจกับเธอไม่เบาเลยนะ เจ้าน่าจะให้โอกาสเธอบ้าง","<i>{我}覺得她挺讓人佩服的。你應該給她一次機會。","[""Audio/Dialogue/4.0/Characters/Dex/Ranger/Ranger_Convo/Ranger_Convo_TavakaiA4_06.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
1566,"TavakaiA4_OnMakoru_A2_Dex4b",8,"Makoru is capable and skilled. I don't see the problem, meself.","Makoru est douée et compétente. Je ne vois pas où est le problème.","Makoru ist fähig und geschickt. Ehrlich gesagt verstehe ich das Problem nicht.","マコルは有能で腕もいい。何が問題なのかわからないね。","마코루는 유능하고 실력 있는 사람이야. 나는 뭐가 문제인지 모르겠군.","Makoru é competente e habilidosa. Não entendo qual é o problema.","Макору способная и умелая. Лично я не вижу проблемы.","Makoru es capaz y hábil. Yo no le veo ningún problema.","มาโครูมีศักยภาพและทักษะ ข้ามิเห็นปัญหาใด","瑪寇魯有能力也有技術，我自己是看不出有什麼問題啦。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Tavakai_Convo_A4_06.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
1567,"TavakaiA4_OnMakoru_A2_DexInt4b",10,"Ah, but if only we had such clear insight for ourselves, the way we do for others.","Ah, si seulement nous pouvions faire pour nous-mêmes ce que nous faisons pour les autres.","Ah, wenn wir doch nur bei uns selbst eine so klare Erkenntnis hätten wie bei anderen.","ああ、我々が他者を見るようにはっきりと己を見ることができればな。","아, 우리가 타인을 볼 때만큼이나 또렷하게 자신을 돌아볼 수 있다면 얼마나 좋을까.","Ah, se ao menos a gente tivesse essa clareza toda quando se trata da nossa própria vida...","Ах, если бы мы для себя видели дорогу так же ясно, как для других.","Ah, si tan solo tuviéramos una perspectiva tan buena para nosotros como para los demás.","อา เราน่าจะเข้าใจตนได้ปราดเปรื่องอย่างที่เราเข้าใจผู้อื่น","唉，要是我們看自己也能像看別人那樣清楚就好了。","[""Audio/Dialogue/4.0/Characters/DexInt/Monk/Monk_Convo/Monk_Tavakai_Convo_A4_06.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
1568,"TavakaiA4_OnMakoru_A2_Int4",1,"I think she's doing just fine. Makoru's the least intolerable person I've met here.","Je pense qu'elle s'en sort très bien. Makoru est la personne la moins détestable que j'ai rencontrée ici.","Ich glaube, sie macht ihren Weg. Von allen Menschen, die ich hier getroffen habe, geht mir Makoru am wenigsten auf die Nerven.","うまくやってると思うわよ。ここで会った人の中でマコルが一番我慢できなくない人だもの。","마코루는 좋은 사람 같던데. 여기서 만난 사람들 중에서 그나마 말이 통하더라고.","Eu acho que ela está indo muito bem. É a pessoa que menos me irrita aqui.","Я думаю, она вполне справляется. Макору наименее невыносимая из тех, кого я здесь встречала.","Yo creo que le va muy bien. Makoru es la persona menos intolerante que he conocido en este lugar.","ข้าว่ามันก็ดีนะ ในบรรดาคนที่ข้าพบเจอมาที่นี่ มาโครูเป็นคนที่\r\nทำให้ข้าเสียความอดทนน้อยที่สุด","我覺得她會表現得不錯，至少在這裡所有我見過的人裡，瑪寇魯是最不難相處的。","[""Audio/Dialogue/4.0/Characters/Int/Witch/Witch_Convo/Witch_Convo_TavakaiA4_05.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
1569,"TavakaiA4_OnMakoru_A2_Int4b",7,"But Chieftain, with respect, who are you to judge her path?","Mais, chef, avec tout le respect que je vous dois, qui êtes-vous pour juger le chemin qu'elle a choisi ?","Aber Häuptling, bei allem Respekt, ist es an Euch, über ihren Weg zu urteilen?","だが族長よ、失礼だが、あなたに彼女の道のことを決めつける権利があるのか？","하지만, 미안한 얘기지만, 당신에게 그녀의 길을 판단할 자격이 있을까, 부족장?","Mas caudilho, respeitosamente, quem é você para julgar o caminho dela?","Но вождь, кто ты таков, чтобы судить её путь?","Pero, Jefe, con todo respeto, ¿quién eres para juzgar su camino?","ช้าก่อนหัวหน้าเผ่า ด้วยความเคารพนา เจ้ามีสิทธิ์ตัดสิน\r\nเส้นทางของเธอได้รึ?","但酋長啊，你又憑什麼來評斷她選擇的道路？","[""Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Convo/Sorceress_Convo_TavakaiA4_06.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
1570,"TavakaiA4_OnMakoru_A2_Str4b",6,"She will make a name for herself, in her own way.","Elle va se faire un nom, à sa propre façon.","Sie wird sich einen Namen machen, auf ihre eigene Weise.","彼女は自分のやり方で名声を上げるさ。","마코루는 자기만의 방식으로 이름을 떨칠 거야.","Ela vai construir a reputação dela, do jeito dela.","Она сделает себе имя, своим путём.","Ella llegará a tener renombre, y lo hará a su manera.","เธอจะสร้างชื่อให้ตัวเองด้วยวิธีของเธอ","她會用自己的方式闖出一番名堂。","[""Audio/Dialogue/4.0/Characters/Str/Warrior/Warrior_Convo/Warrior_Tavakai_Convo_A4_06.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
1571,"TavakaiA4_OnMakoru_A2_StrDex4b",9,"Hey, don't knock hired-hands. Trade's the bones of it all. Gets us soft beds, privies, and such. All the things that make life worth living.","Hé, crachez pas sur les travailleurs. Le commerce est à la base de tout. C'est grâce à ça qu'on peut dormir dans un lit douillet, se soulager dans des latrines et tout le reste… Tout ce qui fait que la vie vaut d'être vécue.","Hey, macht die Arbeiter nicht schlecht. Das Handwerk ist die Grundlage für alles andere. Verschafft uns weiche Betten, Toiletten und so weiter. All die Dinge, die das Leben lebenswert machen.","おい、労働者を甘く見るなよ。商売ってのは全ての基盤だ。それで柔らかいベッドや厠なんかにありつけるんだからな。人生に生きる価値を与えるもの全部にだ。","이봐, 일꾼이 뭐 어떻다고 그래? 교역은 세상의 근간이라고. 푹신한 침대, 변소... 삶을 살 만하게 만들어 주는 건 다 교역 덕분에 있는 거야.","Ei, não desmereça os trabalhadores. O comércio é a base de tudo. É o que garante camas macias, banheiros e outras mordomias da vida.","Эй, не пинай наёмников. Ремесло во главе угла. Даёт нам мягкую постель, уборную и прочее. Все те вещи, которые делают жизнь стоящей.","Ey, no menosprecies a los trabajadores independientes. El comercio es la columna vertebral de todo. Nos da camas suaves, letrinas y demás. Todo lo que hace que la vida valga la pena.","เฮ้ย อย่าว่าคนงานนะ งานนี้เป็นหัวใจสำคัญของทุกอย่าง ทำให้\r\nเรามีเตียงนุ่มๆ มีห้องดีๆ อะไรแบบนั้น มีของที่ทำให้ชีวิตคุ้มค่า\r\nน่ะ","嘿，別小看打工的！貿易可是我們生活的根本，有了它，我們才有軟床、廁所，還有其他讓日子過得舒服的東西。這些才是讓人想活下去的東西。","[""Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Convo/Mercenary_Tavakai_Convo_A4_06.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
1572,"TavakaiA4_OnMakoru_Int4b_A3","","I am her father! So I am more than qualified!","Je suis son père ! Ça signifie que je suis plus que qualifié !","Ich bin ihr Vater! Also bin ich mehr als tauglich!","私は彼女の父だ！私には十分にその権利がある！","나는 그 아이 아비다! 당연히 자격이 있고말고!","Sou o pai dela e mais do que qualificado!","Я её отец. И прекрасно всё понимаю!","¡Soy su padre! ¡Estoy más que calificado!","ข้าเป็นพ่อเธอ! ข้ายิ่งกว่ามีสิทธิ์เสียอีก!","我是她父親，我可太有資格了！","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Tavakai/Tavakai_06_01_SorceressExtras_01.ogg""]",[472],"",[7],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
1573,"TavakaiA4_OnMakoru_Dex4b_A3","","She is more than capable! Which is why she belongs with us!","Elle a énormément de talent ! Et c'est pour ça que c'est ici qu'est sa place !","Sie ist mehr als fähig! Deshalb sollte sie bei uns sein!","彼女は十二分に有能だ！だからこそ我々と共にいるべきなのだ！","충분히 그럴 실력이 있어! 그래서 우리의 일원인 거다!","Ela tem capacidade de sobra! Por isso deve ficar com a gente!","Она более чем одарённа. Потому она и принадлежит нам!","¡Ella es más que capaz! ¡Por eso debería estar con nosotros!","เธอยิ่งกว่ามีศักยภาพอีก! เธอถึงควรมาอยู่กับพวกเรา!","她完全能夠勝任！正因如此，她才應該和我們在一起！","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Tavakai/Tavakai_06_01_HuntressExtras_01.ogg""]",[472],"",[8],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
1574,"TavakaiA4_OnMakoru_StrDex4b_A3","","If that is all that makes your life worth living, then I pity you.","Si c'est tout ce qui rend votre vie digne d'être vécue, alors je vous plains.","Wenn das alles ist, was das Leben für Euch lebenswert macht, dann tut Ihr mir leid.","それがお前の人生に生きる価値を与える全てならば、お前に同情する。","네 삶의 의미가 그것뿐이라면, 정말 가련하구나.","Se é só isso que dá sentido à sua vida, eu tenho pena de você.","Если вы живёте только ради этого, мне жаль вас.","Si eso es lo que hace que tu vida valga la pena, entonces me das lástima.","หากชีวิตเจ้าคุ้มค่าด้วยเรื่องแค่นั้น ข้าก็สังเวชเจ้านัก","如過那是你活著的意義，那我替你感到婉惜。","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Tavakai/Tavakai_06_01_MercenaryExtras_01.ogg""]",[472],"",[9],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
1575,"TavakaiA4_OnMakoru_B1","","Ugh. The First Karui Captain of some outsiders fleet, is there really honour in that? I doubt it. <continue>Kanu rejected us to be a lowly '<i>{first mate}', as they call it. I know his father. He is deeply ashamed. <continue>The youth these days are more foolish than ever.","Peuh ! La première capitaine karui d'une flotte étrangère… Quel honneur y a-t-il à cela ? Je n'en vois pas. <continue>Kanu nous a abandonnés pour devenir un vulgaire <i>{second}, comme ils disent. Je connais son père, il a honte de lui. <continue>Les jeunes d'aujourd'hui sont plus bêtes que jamais.","Ugh. Die erste Karui-Kapitänin in einer fremden Flotte, ist das wirklich ehrenvoll? Das bezweifle ich.\r\n<continue>Kanu hat sich von uns abgewandt, um ein niederer \""<i>{erster Offizier}\"" zu werden, so wie sie das nennen. Ich kenne seinen Vater. Er ist zutiefst beschämt.\r\n<continue>Noch nie war die Jugend so dumm wie heutzutage.","ふん。余所者の艦隊の最初のカルイの船長か。そんなことに名誉があるか？<continue>カヌは奴らの言う卑しい『一等航海士』となるために我らを捨てた。私はあいつの父を知っている。深く恥じていた。<continue>近頃の若者どもはこれまでで最も愚かだ。","쳇. 외부인 함대의 첫 카루이 선장이라... 그게 과연 명예로운 것이라고 생각하나? 난 그렇게 생각하지 않는다. <continue>카누는 우리를 버리고 외부인들이 '<i>{일등 항해사}라 부르는 하찮은 일을 맡았지. 난 그의 아버지를 안다. 지금 크나큰 수치심에 휩싸여 있지. <continue>요즘 젊은 것들은 어리석기 그지없군.","Ugh. A primeira karui a comandar uma frota de estrangeiros... Isso lá é honra? Duvido. <continue>Kanu nos virou as costas só para ser um reles \""<i>{imediato}\"", como dizem. Conheço o pai dele. Ele sente vergonha até hoje. <continue>A juventude de hoje está cada vez mais perdida.","Фи. Первый капитан каруи во флоте каких-то чужаков, и в этом должен быть некий почёт? Сомневаюсь. <continue>Кану отказался от нас, чтобы стать несчастным «‎<i>{первым помощником}», как они это называют. Я знаю его отца. Ему очень стыдно. <continue>Молодёжь нынче глупее некуда.","Uf. La primera capitana karui de una flota de forasteros, ¿hay honor en eso? Lo dudo. <continue>Kanu nos rechazó para convertirse en una <i>{\""primera oficial\""}, entiendo que así le dicen, de poca monta. Conozco a su padre. Está sumamente avergonzado. <continue>Los jóvenes de hoy son más necios que nunca.","ฮึ กัปตันคารุยคนแรกของกองเรือคนนอก มันมีเกียรตินักรึ?\r\nข้าไม่เชื่อดอก<continue>คานูปฏิเสธเราเพื่อไปเป็นไอ้ที่พวกเขาเรียกว่า<i>{ต้นเรือ}ที่ต่ำต้อย\r\nแบบนั้นน่ะนะ ข้ารู้จักพ่อเขา เขาอับอายขายหน้า<continue>หนุ่มสาวสมัยนี้โง่งมกว่าสมัยไหนๆ","唉，去當什麼外來者艦隊的「第一位卡魯船長」，這種事……真有什麼榮耀可言嗎？我可不這麼認為。<continue>卡努拋棄了我們，去當什麼「<i>{大副}」，他們是這麼叫的吧。我認識他母親。她深感羞愧。<continue>現在的年輕人比以前更愚蠢了。","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Tavakai/Tavakai_06_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tavakai/Tavakai_06_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tavakai/Tavakai_06_02_03.ogg""]",[472],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
1576,"TavakaiA4_OnKanu_A1","","Kanu was always headstrong. Loud and disrespectful... all the makings of a great warrior! <continue>He threw it all away to work for the Kalguurans. <continue>We have lost many to foreign causes. That's why Ngakanu is now off limits to outsiders.","Kanu a toujours été une tête brûlée. Tapageur et irrespectueux… Toutes les qualités d'un grand guerrier ! <continue>Il a tout abandonné pour travailler pour les Kalguuriens. <continue>Nous avons perdu bon nombre d'entre nous pour des causes étrangères. C'est pourquoi Ngakanu est désormais interdite aux étrangers.","Kanu war schon immer ein Dickkopf. Laut und respektlos … mit allen Anzeichen, die einen großen Krieger ausmachen!\r\n<continue>Er hat all das hingeworfen, um für die Kalguur zu arbeiten.\r\n<continue>Wir haben schon viele an fremde Angelegenheiten verloren. Darum ist Ngakanu inzwischen für Außenstehende tabu.","カヌは最初から頑固だった。煩く、無礼な奴だった……全て素晴らしい戦士の素質だ！<continue>あいつはカルグール人たちのために働くためにそれを全て捨ててしまった。<continue>我らは余所者たちのせいで多くの者を失った。だから今ではナカヌは余所者は立入禁止にしている。","카누는 언제나 고집 세고, 시끄럽고, 무례했지만... 그건 훌륭한 전사에 걸맞은 자질이지! <continue>그런 걸 다 내팽개치고 칼구르인들 밑에서 일하다니. <continue>우리는 외세에 많은 이들을 잃었다. 그래서 응가카누가 외부인들의 출입을 금지하는 것이지.","Kanu sempre foi teimoso, falastrão e insolente... como os bons guerreiros costumam ser! <continue>Ele pôs tudo a perder para trabalhar para os kalguuranos. <continue>Já perdemos gente demais por causas externas. É por isso que Ngakanu é proibido para estrangeiros.","Кану всегда был своевольным. Громким и неуважительным... все признаки отличного воина! <continue>И всё это он выбросил, чтобы работать на калгууранцев. <continue>Мы многих потеряли на посторонние занятия. Вот почему Нгакану теперь закрыт для чужаков.","Kanu siempre fue obstinado. Ruidoso e irrespetuoso... ¡todo lo necesario para ser un gran guerrero! <continue>Lo abandonó todo para trabajar para los kalguranos. <continue>Hemos perdido a muchos por causas extranjeras. Por eso ahora Ngakanu está fuera del alcance de los forasteros.","คานูเป็นคนหัวรั้น เสียงดัง ไม่เชื่อฟัง... มีลักษณะเหมาะกับการ\r\nเป็นนักรบชั้นเลิศ!<continue>เขาทิ้งมันไปหมดเพื่อไปทำงานให้พวกคาลเกอร์<continue>เราเสียคนมากมายไปกับอุดมการณ์ต่างถิ่น เราถึงปิดนาคานู\r\nไม่ให้คนนอกได้เข้ามาอีก","卡努一直都很固執、吵鬧還不懂尊重……這些都是成為偉大戰士的特質！<continue>可他卻把這一切都拋棄了，去為卡爾葛人賣命。<continue>我們已經失去了太多族人，他們為外族而戰、為他人而亡。所以，尼加卡努如今全面禁止外來者。","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Tavakai/Tavakai_07_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tavakai/Tavakai_07_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tavakai/Tavakai_07_01_03.ogg""]",[472],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
1577,"TavakaiA4_OnKanu_A2_Dex4",2,"You can't control the young. It's wrong to try.","On ne peut pas contrôler la jeunesse, vous seriez fou d'essayer.","Man kann die Jugend nicht kontrollieren. Es ist falsch, es zu versuchen.","若者を制御することはできないわ。それをしようというのが間違っている。","젊은이들에게 이래라저래라해 봤자야.","Não dá para controlar os jovens. É errado tentar fazer isso.","Нельзя управлять молодыми. Неправильно пытаться.","No puedes controlar a los jóvenes. E interntarlo está mal.","เจ้าควบคุมเยาวชนไม่ได้หรอก มันเป็นเรื่องผิดๆ","你無法控制年輕人，這麼做是不對的。","[""Audio/Dialogue/4.0/Characters/Dex/Ranger/Ranger_Convo/Ranger_Convo_TavakaiA4_07.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
1578,"TavakaiA4_OnKanu_A2_Dex4b",8,"The Azmeri welcome new ideas. Home cannot be a prison.","Les Azmériens sont ouverts aux nouvelles idées. Un foyer ne doit pas être une prison.","Die Azmeri heißen neue Ideen willkommen. Die Heimat darf kein Gefängnis sein.","アズメリは新たな思想を歓迎するけどね。故郷は牢獄であっちゃいけないよ。","아즈메리는 새로운 발상을 두 팔 벌려 받아들이지. 집이 감옥처럼 느껴져서는 안 돼.","Os azmeri aceitam ideias novas. O lar não pode ser uma prisão.","Азмири приветствуют новые идеи. Дом не может быть тюрьмой.","Los azmeri aceptan las ideas nuevas. El hogar no puede ser una prisión.","ชาวแอสเมรีพร้อมรับความคิดใหม่ บ้านมิอาจเป็นคุก","阿茲莫里人總能接納新的想法。家園不該是囚籠。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Tavakai_Convo_A4_07.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
1579,"TavakaiA4_OnKanu_A2_DexInt4b",10,"False faith can often lead the youth astray.","Les fausses croyances peuvent souvent mener les jeunes à leur perte.","Falscher Glaube kann junge Menschen oft in die Irre führen.","偽りの信仰が若者を惑わすことは多い。","거짓된 믿음은 종종 젊은이들을 그릇된 길로 이끌지.","Uma fé falsa costuma desviar os jovens do caminho.","Ложная вера часто может сбить молодых с пути.","La fe falsa suele guiar a los jóvenes por caminos errados.","ศรัทธาลวงหลอกย่อมล่อลวงเยาวชนให้หลงผิด","錯誤的信仰常使年輕人誤入歧途。","[""Audio/Dialogue/4.0/Characters/DexInt/Monk/Monk_Convo/Monk_Tavakai_Convo_A4_07.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
