"rownum","Id","WorldArea","WorldAreasKeys","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","QuestFlags1","Act","QuestFlags2","QuestFlags3","QuestFlag1","string_124","ParentMapPin","MetadataId","PinProperty","QuestFlag2","string_180","string_180 (French)","string_180 (German)","string_180 (Japanese)","string_180 (Korean)","string_180 (Portuguese)","string_180 (Russian)","string_180 (Spanish)","string_180 (Thai)","string_180 (Traditional Chinese)","bool_188","i32_189","i32_193","bool_197","i32_198"
324,"G3_12_Ketzuli","",[],"Ketzuli, High Priest of the Sun","Ketzuli, Grand prêtre du Soleil","Ketzuli, Hohepriester der Sonne","太陽の大祭司、ケツーリ","태양의 고위 사제 케출리","Ketzuli, Sumo Sacerdote do Sol","Кетцули, старший жрец Солнца","Ketzuli, Sumo sacerdote del sol","เค็ทซูลี นักบวชระดับสูงแห่งตะวัน","豔陽神聖主教．凱亞祖利","...been trapped down there, all this time...","...ont été piégés là-dessous, pendant tout ce temps...","… hier unten gefangen, all diese Zeit …","……ずっとあそこに閉じ込められていた……","...지금껏 이곳에 갇혀 있었다니...","... ficaram presos lá embaixo todo esse tempo...","...всё это время там под замком...","...ha estado atrapado ahí abajo, todo este tiempo...","...ติดอยู่ข้างล่างนี้มาช้านาน...","……這麼久以來，一直被困在底下……",[3807],3,[72],"[4830,3814]",3765,"WorldMapContentBoss",322,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinKetzuli",0,"","","","","","","","","","","","",4830,4830,"",56
325,"G3_12_KetzuliSlain","",[],"Ketzuli, High Priest of the Sun","Ketzuli, Grand prêtre du Soleil","Ketzuli, Hohepriester der Sonne","太陽の大祭司、ケツーリ","태양의 고위 사제 케출리","Ketzuli, Sumo Sacerdote do Sol","Кетцули, старший жрец Солнца","Ketzuli, Sumo sacerdote del sol","เค็ทซูลี นักบวชระดับสูงแห่งตะวัน","豔陽神聖主教．凱亞祖利","...good to put them out of their endless misery...","...il est bon de les avoir libéré de leur souffrance interminable...","… gut, sie von ihrem endlosen Leid zu erlösen …","……終わらぬ惨めさから解放してやったのは親切だった……","...끝없는 고통을 끝내 줘서 다행입니다...","Foi bom livrá-los de seu sofrimento eterno...","...избавив их от нескончаемых мук...","...me alegro de haber acabado con su sufrimiento eterno...","...ดีที่ทำให้พวกเขา\r\nได้พ้นทุกข์เสียที...","……讓他們脫離無盡苦海的感覺真好……",[4830],3,[72],[3814],3765,"WorldMapContentBossDone",322,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinKetzuli",0,"","","","","","","","","","","","",4830,4830,1,56
326,"G3_14",175,[175],"Utzaal","Utzaal","Utzaal","ウトザール","웃자알","Utzaal","Утцааль","Utzaal","อุทซาล","奧札爾","A doomed city, full of life, unaware what is soon to come.","Une ville condamnée, pleine de vie, qui ignore ce qui l'attend.","Eine dem Untergang geweihte Stadt, voller Leben, ohne zu wissen, was bald kommen wird.","滅亡の運命にある都市、活気に満ち溢れ、間もなく訪れることに気づいていない。","파멸을 앞둔 도시로, 앞으로 닥칠 일을 전혀 모른 채 생동감으로 가득합니다.","Uma cidade condenada, cheia de vida, alheia ao que está por vir.","Обречённый город, полный жизни, не ведающий о том, что вскоре грядёт.","Una ciudad condenada, llena de vida, ajena a lo que está por llegar.","นครใกล้หายนะที่เต็มไปด้วยชีวิต\r\nทว่าหาได้ล่วงรู้ถึงวาระสุดท้ายไม่","一座遭逢厄運的城市，充滿生命，卻沒意識到即將到來的災難。",[3641],3,[3809],[],3814,"","","Metadata/Terrain/WorldMaps/Act3/Objects/MapPinSunkenRuins","","","","","","","","","","","","","",4830,4830,"",56
327,"G3_14_ViperNapuatzi",175,[],"Viper Napuatzi","Vipère Napuatzi","Viper Napuatzi","ヴァイパー・ナプアツィ","바이퍼 나푸앗지","Víbora Napuatzi","Гадюка Напуаци","Napuatzi la Víbora","อสรพิษนาปวดซี","邪魔毒蛇．納普阿茲","...the Fang of the Vaal will defend her city...","...le Croc des Vaal défendra sa ville...","… der Giftzahn der Vaal wird ihre Stadt verteidigen …","……ヴァールの牙は自分の街を守るだろう……","...바알의 송곳니가 자신의 도시를 지킬 것입니다...","A Presa dos Vaal defenderá sua cidade...","...Клык ваал защитит её город...","...el Colmillo de los vaal defenderá su ciudad...","...คมเขี้ยวแห่งวาล์\r\nจะปกป้องนครของเธอ...","……瓦爾之牙會保衛她的城市……",[3809],3,[72],[4829],3814,"WorldMapContentBoss",326,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinViperNapauatzi",0,"","","","","","","","","","","","",4830,4830,"",56
328,"G3_14_ViperNapuatziSlain",175,[],"Viper Napuatzi","Vipère Napuatzi","Viper Napuatzi","ヴァイパー・ナプアツィ","바이퍼 나푸앗지","Víbora Napuatzi","Гадюка Напуаци","Napuatzi la Víbora","อสรพิษนาปวดซี","邪魔毒蛇．納普阿茲","...disappeared just before her death...","...a disparu juste avant sa mort...","… verschwand kurz vor ihrem Tod …","……死の直前に消えてしまった……","...죽기 직전에 사라졌군요...","... desapareceu pouco antes de sua morte...","...исчезла прямо перед своей кончиной...","...desapareció justo antes de su muerte...","...เธอหายไปก่อนที่จะตาย...","……在她死亡前消失了……",[4829],3,[72],[],3814,"WorldMapContentBossDone",326,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinViperNapauatzi",0,"","","","","","","","","","","","",4830,4830,1,56
329,"G3_14_TrialmasterStatue",175,[],"Chaos Statue","Statue de Chaos","Chaosstatue","混沌の像","카오스 조각상","Estátua do Caos","Статуя Хаоса","Estatua de Caos","รูปปั้นเคออส","混沌雕像","...for those willing to face a challenge...","...pour ceux qui veulent relever un défi...","… für die, die sich einer Herausforderung stellen wollen …","……困難に立ち向かう意志のある者たちなら……","...도전을 원한다면...","Para aqueles dispostos a encarar um desafio...","...для тех, кто желает испытать себя...","...aquellos dispuestos a enfrentarse a un desafío...","...สำหรับผู้ที่พร้อม\r\nเผชิญการท้าทาย...","……專為那些願意面對挑戰之人所準備……",[3809],3,[72],[2164],3814,"WorldMapContentQuestionMark",326,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinChaosStatue",0,"","","","","","","","","","","","",4830,4830,"",56
330,"G3_14_TrialmasterStatueDone",175,[],"Chaos Statue","Statue de Chaos","Chaosstatue","混沌の像","카오스 조각상","Estátua do Caos","Статуя Хаоса","Estatua de Caos","รูปปั้นเคออส","混沌雕像","...you know where to find it...","...vous savez où le trouver...","… ihr wisst, wo sie zu finden ist …","……どこにあるかはわかっているだろう……","...어디서 찾을 수 있을지는 알겠지요...","Você sabe onde procurar...","...ты знаешь, где искать...","...saben dónde encontrarlo...","...เจ้ารู้แล้วว่าต้องไปที่ไหน...","……你知道該去哪裡找到它……",[2164],3,[72],[],3814,"WorldMapContentQuestionMarkDone",326,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinChaosStatue",0,"","","","","","","","","","","","",4830,4830,1,56
331,"G3_14_Artefacts",175,[],"Peculiar Fortunes","Fortunes singulières","Sonderbare Reichtümer","特異な富","기이한 재물","Tesouros Peculiares","Исключительные ценности","Fortunas peculiares","ทรัพย์สมบัติน่าฉงน","古怪的財寶","...golden idols abound...","...les idoles en or sont nombreuses...","… überall goldenen Statuen …","……黄金の像だらけだ……","...곳곳에 황금 우상이 널려 있습니다...","Há ídolos dourados por toda parte...","...множество золотых идолов...","...ídolos dorados en abundancia...","...เทวรูปทองคำ\r\nอยู่มากมาย...","……黃金魔偶無所不在……",[3809],3,[72],"[4875,4877,4879]",3814,"WorldMapContentBag",326,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinUtzaalArtefacts",0,"","","","","","","","","","","","",4830,4830,"",56
332,"G3_14_ArtefactsDone",175,[],"Peculiar Fortunes","Fortunes singulières","Sonderbare Reichtümer","特異な富","기이한 재물","Tesouros Peculiares","Исключительные ценности","Fortunas peculiares","ทรัพย์สมบัติน่าฉงน","古怪的財寶","...just imagine Oswald's glee...","...imaginez la joie d'Oswald...","… stellt Euch nur Oswalds Freude vor …","……オズワルドの喜びようを想像してみろ……","...오즈월드가 얼마나 기뻐할까요...","Imagine a alegria do Oswald...","...подумать только, как будет рад Освальд...","...imagina la alegría de Oswald...","...นึกดูว่าออสวอลด์\r\nจะยินดีปรีดาเพียงใด...","……想像一下奧斯瓦德會有多開心……","[4875,4877,4879]",3,[72],[],3814,"WorldMapContentBagDone",326,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinUtzaalArtefacts",0,"","","","","","","","","","","","",4830,4830,1,56
333,"G3_16",177,[177],"Aggorat","L'Aggorat","Die Aggorat","アゴラット","아고라트","Aggorat","Аггорат","Aggorat","แอ็กโกแรท","阿戈拉","The Vaal warred not with their neighbours, but with death itself.","Les Vaal n'ont pas fait la guerre à leurs voisins, mais à la mort elle-même.","Die Vaal kämpften nicht mit ihren Nachbarn, sondern mit dem Tod selbst.","ヴァール人は隣人と戦ったのではなく、死そのものと戦った。","바알은 이웃 민족이 아니라 죽음 그 자체와 전쟁을 벌였습니다.","Os vaal não guerreavam com seus vizinhos, mas com a própria morte.","Ваал воевали не с соседями, а с самой смертью.","Los vaal no luchaban contra sus vecinos, sino contra la propia muerte.","พวกวาล์มิได้รบรากับเพื่อนบ้าน\r\nแต่รบรากับความตายเสียเอง","瓦爾人對抗的不是他們的鄰居，而是死亡本身。",[3809],3,[3811],[],3814,"","","Metadata/Terrain/WorldMaps/Act3/Objects/MapPinAggorat","","","","","","","","","","","","","",4830,4830,"",56
334,"G3_16_BloodSacrifice",177,[],"Blood Sacrifice","Sacrifice de sang","Blutopfer","血の生贄","피의 희생","Sacrifício de Sangue","Кровавое жертвоприношение","Sacrificio de sangre","แท่นสังเวยโลหิต","血犧","...a simple stab to a heart is all it took...","...un simple coup de poignard dans le coeur, c'est tout ce qu'il fallait...","… ein einfacher Stich ins Herz, das war schon alles …","……心臓を一突き、それだけだ……","...심장을 한 번 찌르는 것만으로 족했습니다...","Bastou uma simples facada no coração...","...достаточно было лишь пырнуть в сердце...","...solo hizo falta una simple puñalada en el corazón...","...เพียงแค่แทงเข้าไปในหัวใจก็พอ...","……就只是刺入心臟這麼簡單……",[3811],3,[72],[4831],3814,"WorldMapContentQuestionMarkUpgrade",333,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinBloodSacrifice",0,"","","","","","","","","","","","",4830,4830,"",56
335,"G3_16_BloodSacrificeDone",177,[],"Blood Sacrifice","Sacrifice de sang","Blutopfer","血の生贄","피의 희생","Sacrifício de Sangue","Кровавое жертвоприношение","Sacrificio de sangre","แท่นสังเวยโลหิต","血犧","...a strange power, but worth the price?...\r\n\r\n<white>{Grants Two Weapon Set Passive Skill Points}","...un pouvoir étrange, mais en vaut-il le prix ?...\r\n\r\n<white>{Octroie deux points de Talent d'Ensemble d'armes}","… eine merkwürdige Macht, aber ihren Preis wert? …\r\n\r\n<white>{Gewährt zwei Waffenset-Fertigkeitspunkte}","……奇妙な力だが、代償に釣り合うか？……\r\n\r\n<white>{武器セットパッシブスキルポイント2点を与える}","...기이한 힘이지만, 어떤 대가를 치러야 할까요?...\r\n\r\n<white>{무기 세트 패시브 스킬 포인트 2포인트 부여}","Um poder estranho, mas vale o preço...?\r\n\r\n<white>{Concede dois pontos de habilidades passivas de conjunto de armas}","...необычная сила, но стоило ли оно того?..\r\n\r\n<white>{Дарует 2 очка пассивных умений для набора оружия}","...un poder extraño, ¿pero vale la pena el precio?...\r\n\r\n<white>{Otorga dos puntos de habilidades pasivas de set de arma}","...พลังประหลาดนัก\r\nแต่คุ้มกับสิ่งที่เสียไปกระมัง?...\r\n\r\n<white>{ให้แต้มพาสซีฟชุดอาวุธ 2 แต้ม}","……一股奇怪的力量，但代價是值得的嗎？……",[4831],3,[72],[],3814,"WorldMapContentQuestionMarkUpgradeDone",333,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinBloodSacrifice",0,"","","","","","","","","","","","",4830,4830,1,56
336,"G3_16_GoliathSoulCore",177,[],"Undamaged Core","Noyau intact","Unversehrter Kern","無傷のコア","손상되지 않은 핵","Núcleo Intacto","Неповреждённое ядро","Núcleo intacto","แกนไร้ความเสียหาย","未受損的核心","...the use of Soul Cores, to be expected...","...l'utilisation des Noyaux d'âme, comme on pouvait s'y attendre...","… die Verwendung von Seelenkernen, erwartungsgemäß …","……ソウルコアの使用、予想通りだ……","...예상대로 영혼 핵을 사용하는군요...","... o uso de Núcleos d'Alma, como era de se esperar...","...можно ожидать использования Ядер душ...","...el uso de núcleos de alma, era de esperar...","...ต้องใช้แกนวิญญาณดังที่คิด...","……要用到靈魂核心，在預料之中……",[72],3,[72],[4919],3814,"WorldMapContentBag",333,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinAggoratSoulCore",0,"","","","","","","","","","","","",4830,4830,"",56
337,"G3_16_GoliathSoulCoreDone",177,[],"Undamaged Core","Noyau intact","Unversehrter Kern","無傷のコア","손상되지 않은 핵","Núcleo Intacto","Неповреждённое ядро","Núcleo intacto","แกนไร้ความเสียหาย","未受損的核心","...what is the morality of using these Cores, anyway?...","...quelle est la moralité en ce qui concerne l'utilisation de ces Noyaux, de toute façon ?....","… welche Art von Moral steht überhaupt hinter der Verwendung dieser Kerne? …","……これらのコアを使うのは道徳的にどうなんだ？……","...그나저나, 이 핵을 사용하는 게 비도덕적인 일일까요?...","Qual é a ética por trás do uso desses núcleos, afinal...?","...насколько вообще нравственно применять эти ядра?..","...¿es moral usar estos núcleos?...","...ว่าแต่การเอาแกนวิญญาณพวกนี้\r\nมาใช้มันผิดศีลธรรมไหมนะ?...","……使用這些核心有什麼道德問題嗎？……",[72],3,[72],[],3814,"WorldMapContentBagDone",333,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinAggoratSoulCore",0,"","","","","","","","","","","","",4830,4830,1,56
338,"G3_16_Artefacts",177,[],"Peculiar Fortunes","Fortunes singulières","Sonderbare Reichtümer","特異な富","기이한 재물","Tesouros Peculiares","Исключительные ценности","Fortunas peculiares","ทรัพย์สมบัติน่าฉงน","古怪的財寶","...they're all about to die, what use do they have for it?...","...ils sont tous sur le point de mourir, quelle utilité en ont-ils ?...","… sie werden alle sterben, welchen Nutzen hätten sie noch davon? …","……どうせ皆死んでしまうんだ、彼らに何の使い道がある？……","...어차피 곧 죽을 텐데, 저들에게 무슨 소용이란 말입니까?...","Eles estão prestes a morrer, que utilidade isso tem para eles...?","...они все вот-вот погибнут, какой от этого прок?..","...todos están a punto de morir, ¿de qué les sirve ya?...","...พวกเขาใกล้จะตายในไม่ช้า\r\nจะเอาของพวกนี้\r\nไปใช้ทำอะไรได้เล่า?...","……他們都快死了，要它還有什麼用？……",[3811],3,[72],"[4972,4974,4976]",3814,"WorldMapContentBag",333,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinAggoratArtefacts",0,"","","","","","","","","","","","",4830,4830,"",56
339,"G3_16_ArtefactsDone",177,[],"Peculiar Fortunes","Fortunes singulières","Sonderbare Reichtümer","特異な富","기이한 재물","Tesouros Peculiares","Исключительные ценности","Fortunas peculiares","ทรัพย์สมบัติน่าฉงน","古怪的財寶","...that fetched a pretty penny...","...qui a rapporté une belle somme...","… das hat ganz schön was eingebracht …","……いい値がついたな……","...돈깨나 되겠군요...","Isso rendeu algumas moedas...","...немалое состояние...","...eso me dio un buen dinero...","...มันให้ราคาดีไม่เบา...","……這價值一大筆錢……","[4972,4974,4976]",3,[72],[],3814,"WorldMapContentBagDone",333,"Metadata/Terrain/WorldMaps/Act3/Objects/SideContent/MapPinAggoratArtefacts",0,"","","","","","","","","","","","",4830,4830,1,56
340,"G3_17",178,[178],"The Black Chambers","Les Chambres noires","Die schwarzen Kammern","黒の間","검은 내실","As Câmaras Sombrias","Чёрные залы","Las cámaras negras","โถงดำ","漆黑密室","They scream not in agony, but in ecstasy.","Ils ne crient pas d'agonie, mais d'extase.","Sie schreien nicht vor Qual, sondern vor Ekstase.","彼らは苦痛の叫びではなく、恍惚の叫びを上げる。","이들은 고통이 아니라 환희에 빠져 비명을 지릅니다.","Seus gritos não são de agonia, mas de êxtase.","Они кричат не в агонии, а в экстазе.","No gritaban de agonía, sino de éxtasis.","พวกเขามิได้กรีดร้องไปด้วยทุกข์\r\nทว่าโหยหวนไปด้วยปีติ","他們並非因痛苦而尖叫，而是因為狂喜。",[3811],3,[3812],[],3814,"","","Metadata/Terrain/WorldMaps/Act3/Objects/MapPinDoryanisSanctum","",3907,"Despite all his inventions and all his horrors, there was nothing Doryani could do to stop the end.","Malgré toutes ses inventions et toutes ses atrocités, Doryani n'a rien pu faire pour empêcher la fin.","Trotz all seiner Erfindungen und all seiner Schrecken konnte Doryani nichts tun, um den Untergang abzuwenden.","ドリヤニのあらゆる発明とあらゆる恐怖をもってしても、彼には終わりを止めるためにできることは何もなかった。","도리아니는 그 많은 발명품과 그 많은 흉물을 가지고도, 종말을 막을 방법이 없었습니다.","Apesar de todas as suas invenções e horrores, não havia nada que Doryani pudesse fazer para impedir o fim.","Несмотря на все свои изобретения и жуткие приёмы, Дориани не смог остановить катастрофу.","A pesar de todos sus inventos y todos sus horrores, no había nada que Doryani pudiera hacer para detener el fin.","แม้นดอร์ยานีจะคิดค้น\r\nหรือทำเรื่องเลวทรามมาเท่าไร\r\nเขาก็ไม่อาจหยุดยั้งจุดจบได้","儘管多里亞尼創造出這麼多的發明和恐怖，他依然無法阻止終結的到來。",1,4830,4830,"",56
341,"G3_17_Underground",178,[],"The Black Chambers","Les Chambres noires","Die schwarzen Kammern","黒の間","검은 내실","As Câmaras Sombrias","Чёрные залы","Las cámaras negras","โถงดำ","漆黑密室","They scream not in agony, but in ecstasy.","Ils ne crient pas d'agonie, mais d'extase.","Sie schreien nicht vor Qual, sondern vor Ekstase.","彼らは苦痛の叫びではなく、恍惚の叫びを上げる。","이들은 고통이 아니라 환희에 빠져 비명을 지릅니다.","Seus gritos não são de agonia, mas de êxtase.","Они кричат не в агонии, а в экстазе.","No gritaban de agonía, sino de éxtasis.","พวกเขามิได้กรีดร้องไปด้วยทุกข์\r\nทว่าโหยหวนไปด้วยปีติ","他們並非因痛苦而尖叫，而是因為狂喜。",[3811],3,[72],[],3814,"",340,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinDoryanisSanctumUnderground","",3907,"Despite all his inventions and all his horrors, there was nothing Doryani could do to stop the end.","Malgré toutes ses inventions et toutes ses atrocités, Doryani n'a rien pu faire pour empêcher la fin.","Trotz all seiner Erfindungen und all seiner Schrecken konnte Doryani nichts tun, um den Untergang abzuwenden.","ドリヤニのあらゆる発明とあらゆる恐怖をもってしても、彼には終わりを止めるためにできることは何もなかった。","도리아니는 그 많은 발명품과 그 많은 흉물을 가지고도, 종말을 막을 방법이 없었습니다.","Apesar de todas as suas invenções e horrores, não havia nada que Doryani pudesse fazer para impedir o fim.","Несмотря на все свои изобретения и жуткие приёмы, Дориани не смог остановить катастрофу.","A pesar de todos sus inventos y todos sus horrores, no había nada que Doryani pudiera hacer para detener el fin.","แม้นดอร์ยานีจะคิดค้น\r\nหรือทำเรื่องเลวทรามมาเท่าไร\r\nเขาก็ไม่อาจหยุดยั้งจุดจบได้","儘管多里亞尼創造出這麼多的發明和恐怖，他依然無法阻止終結的到來。","",4830,4830,"",56
342,"G3_17_Doryani",178,[],"Doryani, Royal Thaumaturge","Doryani, Thaumaturge royal","Doryani, Königlicher Thaumaturg","宮廷魔術師、ドリヤニ","왕실 마석학자 도리아니","Doryani, o Taumaturgo Real","Дориани, царский волшебник","Doryani, Taumaturgo real","ดอร์ยานี จอมเวทมณีราชสำนัก","皇家奇術師．多里亞尼","...he would likely be in the depths of the Black Chambers...","...il serait probablement dans les profondeurs des Chambres Noires...","… er wäre wahrscheinlich in den Tiefen der Schwarzen Kammern …","……恐らくは黒の間の奥にいるだろう……","...아마 검은 내실 깊숙한 곳에 있을 겁니다...","Ele provavelmente estaria nos confins das Câmaras Sombrias...","...он, скорее всего, в недрах Чёрных залов...","...seguramente estará en las profundidades de las Cámaras negras...","...เขาย่อมอยู่ลึก\r\nเข้าไปในโถงดำเป็นแน่...","……他可能位於漆黑密室的深處……",[3812],3,[72],[3907],3814,"WorldMapContentActBoss",340,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinDoryani",0,"","","","","","","","","","","","",4830,4830,"",56
343,"G3_17_DoryaniSlain",178,[],"Doryani, Royal Thaumaturge","Doryani, Thaumaturge royal","Doryani, Königlicher Thaumaturg","宮廷魔術師、ドリヤニ","왕실 마석학자 도리아니","Doryani, o Taumaturgo Real","Дориани, царский волшебник","Doryani, Taumaturgo real","ดอร์ยานี จอมเวทมณีราชสำนัก","皇家奇術師．多里亞尼","...we'll see how this strange new alliance goes...","...nous verrons comment se passe cette étrange nouvelle alliance...","… wir werden sehen, wo diese merkwürdige neue Allianz hinführt …","……この奇妙な同盟はどんな結末を迎えるか……","...이 기이한 새 동맹이 어떻게 되나 보지요...","Veremos como essa nova e estranha aliança se desenrola...","...посмотрим, во что выльется этот странный новый союз...","...veamos cómo va esta extraña y nueva alianza...","...ดูกันว่าพันธมิตรใหม่\r\nพิลึกพิลั่นนี่จะเป็นเช่นไร...","……我們等著看這個奇怪新同盟的成效……",[3907],3,[72],[],3814,"WorldMapContentActBossDone",340,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinDoryani",0,"","","","","","","","","","","","",4830,4830,1,56
344,"G4_journeysendfog_visual","",[],"","","","","","","","","","","","","","","","","","","","",[3861],4,[72],[4281],"","Act4/journeysendfog","","Metadata/Terrain/WorldMaps/Act4/Objects/LocationKedgeBay",16,"","","","","","","","","","","","",4830,4830,"",56
345,"G4_MapBorder_Surface","",[],"","","","","","","","","","","","","","","","","","","","",[3861],4,[72],[],"","Act4/WorldMapBorder_clouds_compass","","Metadata/Terrain/WorldMaps/Act4/Objects/MapPinBorderSurface",3,"","","","","","","","","","","","",4830,4830,"",56
346,"G4_compasstextbox_visual","",[],"","","","","","","","","","","","","","","","","","","","",[3861],4,[72],[],"","Act4/MapBorderKalguur","","Metadata/Terrain/WorldMaps/Act4/Objects/MapPinCompassLabel",14,"","","","","","","","","","","","",4830,4830,"",56
347,"G4_compass_label","",[],"The islands surrounding\r\nthe port of Kingsmarch\r\nas described by the\r\nMeridian Free Traders\r\n1619ic","Les îles entourant le\r\nport de Marcheroi\r\ncomme décrit par les\r\nLibres-marchands du\r\nMéridien en 1619ic","Die Inseln um den\r\nden Hafen von Königsmark\r\nwie von den Meridian-\r\nFreihändlern beschrieben\r\n1619ic","キングスマーチ港を\r\n囲む島々\r\n帝国暦1619年、\r\nメリディアン・フリー・トレーダーズ\r\nによる記述","메리디아 자유 교역상\r\n협회에서 묘사한\r\n킹스마치 항만\r\n주변의 제도\r\n제국력 1619년","As ilhas ao redor\r\ndo porto de Kingsmarch\r\ncomo descritas pelos\r\nComerciantes Livres do Meridional\r\n1619 i.c.","Порт Кингсмарш\r\nи окружающие острова,\r\nпо описанию Свободных\r\nторговцев меридиана\r\n1619 и.л.","Las islas que rodean el\r\npuerto de Marca del rey\r\ntal como las describieron los\r\nComerciantes libres del meridiano\r\n1619 IC","หมู่เกาะรอบเมืองท่าคิงส์มาร์ช\r\nตามคำบรรยายของ\r\nกิลด์นักค้าเสรีเมริเดียน 1619 จ.ศ.","金司馬區港\r\n周遭島嶼\r\n依據子午自由\r\n貿易商口述\r\n恆曆 1619 年","","","","","","","","","","",[3861],4,[72],[],"","","","Metadata/Terrain/WorldMaps/Act4/Objects/MapPinCompassLabel",15,"","","","","","","","","","","","",4830,4830,"",56
348,"G4_ShipMarker_Town",179,[],"Kingsmarch","Marcheroi","Königsmark","キングスマーチ","킹스마치","Kingsmarch","Кингсмарш","Marca del rey","คิงส์มาร์ช","金司馬區","","","","","","","","","","",[3861],4,[72],[],"","",349,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinTown","","","","","","","","","","","","","",4830,4830,"",56
349,"G4_town",179,[179],"Kingsmarch","Marcheroi","Königsmark","キングスマーチ","킹스마치","Kingsmarch","Кингсмарш","Marca del rey","คิงส์มาร์ช","金司馬區","A rare jewel on the sea.","Un joyau rare sur la mer.","Ein seltenes Juwel in der See.","海の珍しい宝石。","바다 위에 떠 있는 진귀한 보석입니다.","Uma joia rara no mar.","Редкая жемчужина морей.","Una joya rara en el mar.","เมืองอัญมณีในท้องทะเล\r\nที่พบได้ยากนัก","海上的稀有珠寶。",[3861],4,[3861],[],"","","","Metadata/Terrain/WorldMaps/Act4/Objects/MapPinTown","","","","","","","","","","","","","",4830,4830,"",56
350,"G4_ShipMarker_IsleOfKin",181,[],"Isle of Kin","L'Île de la Marmaille","Insel der Kin","キンの島","혈족의 섬","Ilha da Família","Остров Рода","Marca del rey","เกาะคิน","金氏島","","","","","","","","","","",[3861],4,[72],[],"","",351,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinIsleOfKin","","","","","","","","","","","","","",4830,4830,"",56
351,"G4_1_1",181,[181],"Isle of Kin","L'Île de la Marmaille","Insel der Kin","キンの島","혈족의 섬","Ilha da Família","Остров Рода","Isla del clan","เกาะคิน","金氏島","They work frantically to feed the angry mountain...","Ils travaillent frénétiquement pour nourrir la montagne affâmée...","Sie arbeiten hektisch um den hungrigen Berg zu nähren …","怒れる山に食わせるため、奴らは必死に働いている。","이들은 성난 산의 배를 채우기 위해 미친 듯이 일합니다...","Trabalham freneticamente para saciar a montanha zangada...","Они неистово трудятся, чтобы накормить сердитую гору...","Trabajan frenéticamente para alimentar a la montaña enfurecida.","พวกมันทำงานอย่างลนลาน\r\nเพื่อป้อนอาหาร\r\nให้ภูเขาที่โกรธเกรี้ยว...","他們瘋狂的工作，只為了平息山峰那憤怒的飢渴...",[3861],4,[3862],[],"","","","Metadata/Terrain/WorldMaps/Act4/Objects/MapPinIsleOfKin","","","","","","","","","","","","","",4830,4830,"",56
352,"G4_1_1_BlindBeast",181,[],"The Blind Beast","La Bête aveugle","Die Blinde Bestie","盲目の獣","눈먼 짐승","A Fera Cega","Слепой зверь","La bestia ciega","สัตว์ร้ายตาบอด","眼盲巨獸","...tortured and enraged for the crowd...","...torturée et enragée pour la foule...","… gequält und erzürnt für die Menge …","……群衆のために虐められ怒らせられる……","...군중을 위해 고통받고 분노로 몰렸습니다...","... torturada e enfurecida para o público...","...истязаемый и разъярённый на потеху толпе...","...torturados y enfurecidos para la multirud...","...ถูกทรมานให้เดือดดาล\r\nเพื่อฝูงชน...","...為眾人所折磨，為眾人所激怒...",[3862],4,[72],[873],"","WorldMapContentBoss",351,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinBlindBeast",0,"","","","","","","","","","","","",4830,4830,"",56
