"rownum","Room","Level","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon_DDSFile","Mod","ModValues","Description2","Description2 (French)","Description2 (German)","Description2 (Japanese)","Description2 (Korean)","Description2 (Portuguese)","Description2 (Russian)","Description2 (Spanish)","Description2 (Thai)","Description2 (Traditional Chinese)"
59,18,4,"sacrificechamber_lvl4","Contains a Unique Item\r\nContains the Morphology Mechanism which can be used to modify [Corrupted] Unique Items\r\nRoom [IncursionDestabilization|Destabilises] once device is used","Contains a Unique Item\r\nContains the Morphology Mechanism which can be used to modify [Corrupted] Unique Items\r\nRoom [IncursionDestabilization|Destabilises] once device is used","Enthält einen einzigartigen Gegenstand\r\nEnthält den Morphologiemechanismus, der verwendet werden kann, um [Corrupted|verderbte] einzigartige Gegenstände zu modifizieren\r\nRaum wird nach dem Benutzen des Geräts [IncursionDestabilization|destabilisiert]","ユニークアイテムが存在する\r\n[Corrupted|コラプト]ユニークアイテムを変更できる変身の装置が出現する\r\nこの装置を使用するとこの部屋の[IncursionDestabilization|不安定化]が起きる","고유 아이템 포함\r\n사용 시 [Corrupted|타락한] 고유 아이템에 속성을 부여하는 형태학 기계 장치 포함\r\n장치 사용 시 방이 [IncursionDestabilization|불안정해짐]","Contém um item único\r\nContém um Mecanismo de Morfologia, que pode ser usado para modificar itens únicos [Corrupted|corrompidos]\r\nApós utilizá-lo, a sala é [IncursionDestabilization|desestabilizada]","Содержит уникальный предмет\r\nСодержит структурный механизм, позволяющий изменять [Corrupted|осквернённые] уникальные предметы\r\nКомната [IncursionDestabilization|дестабилизируется] после использования устройства","Contiene un objeto único\r\nContiene un Mecanismo de morfología que se puede usar para modificar los objetos únicos [Corrupted|corruptos]\r\nLa sala se [IncursionDestabilization|desestabiliza] tras usar el dispositivo","มีไอเทมยูนิค 1 ชิ้น\r\nมีกลไกสัณฐานที่เปลี่ยนแปลงไอเทมยูนิควาล์ที่[Corrupted|มีมลทิน]\r\nห้องนี้จะถูก[IncursionDestabilization|ระงับเสถียรภาพ]หลังจากที่ใช้เครื่อง","包含一件傳奇物品\r\n包含一個改造瓦爾傳奇的裝置\r\n在使用後房間會[IncursionDestabilization|不穩定]","Empyrean of Blood","Empyrean of Blood","Lichthimmel des Blutes","血の天空","피의 천공","Empyreano de Sangue","Кровавый рай","Empíreo de sangre","วิมานเลือด","血之星穹","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconSacrificialChamber.dds",14766,"[50,1]","May drop [IncursionMedallionPreventDestabilise|Juatalotli's Medallion], [IncursionMedallionRerollRestrictedRoom|Hayoxi's Medallion], [IncursionMedallionAddRoom|Uromoti's Medallion], [IncursionMedallionAddAdditionalRestrictedRoom|Estazunti's Medallion] or [IncursionMedallionAddTempleModifier|Zantipi's Medallion]","May drop [IncursionMedallionPreventDestabilise|Juatalotli's Medallion], [IncursionMedallionRerollRestrictedRoom|Hayoxi's Medallion], [IncursionMedallionAddRoom|Uromoti's Medallion], [IncursionMedallionAddAdditionalRestrictedRoom|Estazunti's Medallion] or [IncursionMedallionAddTempleModifier|Zantipi's Medallion]","Kann [IncursionMedallionPreventDestabilise|Juatalotlis Medaillon], [IncursionMedallionRerollRestrictedRoom|Hayoxis Medaillon], [IncursionMedallionAddRoom|Uromotis Medaillon], [IncursionMedallionAddAdditionalRestrictedRoom|Estazuntis Medaillon] oder [IncursionMedallionAddTempleModifier|Zantipis Medaillon] fallen lassen","[IncursionMedallionPreventDestabilise|フアタロトリのメダリオン]、[IncursionMedallionRerollRestrictedRoom|ハヨキのメダリオン]、[IncursionMedallionAddRoom|ウロモティのメダリオン]、[IncursionMedallionAddAdditionalRestrictedRoom|エスタズンティのメダリオン]または[IncursionMedallionAddTempleModifier|ザンティピのメダリオン]をドロップすることがある","[IncursionMedallionPreventDestabilise|주앗탈로틀리의 메달리온], [IncursionMedallionRerollRestrictedRoom|하욕시의 메달리온], [IncursionMedallionAddRoom|우로모티의 메달리온], [IncursionMedallionAddAdditionalRestrictedRoom|에스타준티의 메달리온] 또는 [IncursionMedallionAddTempleModifier|잔티피의 메달리온]이 나올 수 있음","Pode largar o [IncursionMedallionPreventDestabilise|Medalhão de Juatalotli], [IncursionMedallionRerollRestrictedRoom|Medalhão de Hayoxi], [IncursionMedallionAddRoom|Medalhão de Uromoti], [IncursionMedallionAddAdditionalRestrictedRoom|Medalhão de Estazunti] ou [IncursionMedallionAddTempleModifier|Medalhão de Zantipi]","Можно найти [IncursionMedallionPreventDestabilise|Медальон Ваталотли], [IncursionMedallionRerollRestrictedRoom|Медальон Хайоши], [IncursionMedallionAddRoom|Медальон Уромоти], [IncursionMedallionAddAdditionalRestrictedRoom|Медальон Эстазунти] или [IncursionMedallionAddTempleModifier|Медальон Зантипи]","Puede dar un [IncursionMedallionPreventDestabilise|Medallón de Juatalotli], un [IncursionMedallionRerollRestrictedRoom|Medallón de Hayoxi], un [IncursionMedallionAddRoom|Medallón de Uromoti], un [IncursionMedallionAddAdditionalRestrictedRoom|Medallón de Estazunti] o un [IncursionMedallionAddTempleModifier|Medallón de Zantipi]","อาจดรอป[IncursionMedallionPreventDestabilise|เหรียญตราฮัวตาล็อตลี], [IncursionMedallionRerollRestrictedRoom|เหรียญตราเฮโยคี], [IncursionMedallionAddRoom|เหรียญตราอูรูมอที], [IncursionMedallionAddAdditionalRestrictedRoom|เหรียญตราเอสตาซุนที] หรือ[IncursionMedallionAddTempleModifier|เหรียญตราซานทีพี]","可能掉落 [IncursionMedallionPreventDestabilise|瓦爾羅特聖徽]、[IncursionMedallionRerollRestrictedRoom|荷霖蔡聖徽]、[IncursionMedallionAddRoom|烏爾摩堤聖徽]、[IncursionMedallionAddAdditionalRestrictedRoom|艾斯祖太聖徽] 或 [IncursionMedallionAddTempleModifier|善堤比聖徽]"
60,20,1,"architect","Defeating the Architect allows use of Xipocado's Console which can be used to place various [IncursionRestrictedRoom|Restricted Rooms]\r\nDefeating the Architect also unlocks [IncursionMedallions|Medallions]","Vaincre l'Architecte donne accès à la Console de Xipocado, qui peut être utilisée pour placer diverses [IncursionRestrictedRoom|Salles restreintes]\r\nVaincre l'Architecte débloque également les [IncursionMedallions|Médallions]","Das Töten des Architekten erlaubt die Verwendung von Xipocados Konsole, die benutzt werden kann, um verschiedene [IncursionRestrictedRoom|Eingeschränkte Räume] zu platzieren.\r\nDas Töten des Architekten schaltet auch [IncursionMedallions|Medaillons] frei.","アーキテクトを倒すとシポカドの制御盤を使用できるようになり、様々な [IncursionRestrictedRoom|立ち入り制限の部屋]を配置できるようになる\r\nアーキテクトを倒すと[IncursionMedallions|メダリオン]もアンロックされる","건축가 처치 시 지포카도의 콘솔을 사용해 다양한 [IncursionRestrictedRoom|제한된 방] 배치 가능\r\n건축가 처치 시 [IncursionMedallions|메달리온]도 해제됨","Derrotar o Arquiteto permite usar o Terminal de Xipocado, que pode ser usado para montar várias [IncursionRestrictedRoom|salas proibidas]\r\nDerrotar o Arquiteto também desbloqueia [IncursionMedallions|medalhões]","Победа над Архитектором позволяет использовать пульт Шипокадо для размещения различных [IncursionRestrictedRoom|особых комнат]\r\nПобеда над Архитектором также разблокирует [IncursionMedallions|медальоны]","Al derrotar al Arquitecto, podrás usar la Consola de Xipocado que se puede usar para colocar varias [IncursionRestrictedRoom|salas restringidas]\r\nAl derrotar al Arquitecto también se desbloquean los [IncursionMedallions|medallones]","สยบสถาปนิกเพื่อเปิดโอกาสใช้แผงควบคุมของจีโปคาโดที่ใช้วาง[IncursionRestrictedRoom|ห้องต้องห้าม]ได้\r\nการสยบสถาปนิกจะปลดล็อก[IncursionMedallions|เหรียญตรา]เช่นกัน","擊敗建築師後可使用希波卡多的控制台，可用於放置各種[IncursionRestrictedRoom|限制房間]\r\n擊敗建築師也會解鎖[IncursionMedallions|聖徽]","Architect's Chamber","Chambre de l'Architecte","Kammer des Architekten","アーキテクトの間","건축가의 방","Câmara do Arquiteto","Кабинет архитектора","Cámara del arquitecto","ห้องสถาปนิก","建築師之室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconArchitect.dds","",[],"May drop [IncursionMedallionAddRoom|Uromoti's Medallion], [IncursionMedallionRerollRoomCards|Puhuarte's Medallion] or [IncursionMedallionAddTempleModifier|Zantipi's Medallion]","Peut céder un [IncursionMedallionAddRoom|Médaillon d'Uromoti], un [IncursionMedallionRerollRoomCards|Médaillon de Puhuarte] ou un [IncursionMedallionAddTempleModifier|Médaillon de Zantipi]","Kann [IncursionMedallionAddRoom|Uromotis Medaillon], [IncursionMedallionRerollRoomCards|Puhuartes Medaillon] oder [IncursionMedallionAddTempleModifier|Zantipis Medaillon] fallen lassen","[IncursionMedallionAddRoom|ウロモティのメダリオン]、[IncursionMedallionRerollRoomCards|プフアテのメダリオン]または[IncursionMedallionAddTempleModifier|ザンティピのメダリオン]をドロップすることがある","[IncursionMedallionAddRoom|우로모티의 메달리온], [IncursionMedallionMaximumCrystalCapacity|조펙의 메달리온], [IncursionMedallionMaximumMedallionCapacity|아즈카파의 메달리온], [IncursionMedallionRerollRoomCards|푸후알테의 메달리온] 또는 [IncursionMedallionAddTempleModifier|잔티피의 메달리온]이 나올 수 있음","Pode largar o [IncursionMedallionAddRoom|Medalhão de Uromoti], [IncursionMedallionRerollRoomCards|Medalhão de Puhuarte] ou [IncursionMedallionAddTempleModifier|Medalhão de Zantipi]","Можно найти [IncursionMedallionAddRoom|Медальон Уромоти], [IncursionMedallionRerollRoomCards|Медальон Пухварте] или [IncursionMedallionAddTempleModifier|Медальон Зантипи]","Puede dar un [IncursionMedallionAddRoom|Medallón de Uromoti], un [IncursionMedallionRerollRoomCards|Medallón de Puhuarte] o un [IncursionMedallionAddTempleModifier|Medallón de Zantipi]","อาจดรอป[IncursionMedallionAddRoom|เหรียญตราอูรูมอที], [IncursionMedallionRerollRoomCards|เหรียญตราพูฮวาเท] หรือ[IncursionMedallionAddTempleModifier|เหรียญตราซานทีพี]","可能掉落 [IncursionMedallionAddRoom|烏爾摩堤聖徽]、[IncursionMedallionRerollRoomCards|普希瓦爾聖徽] 或 [IncursionMedallionAddTempleModifier|善堤比聖徽]"
61,21,1,"entrance","","","","","","","","","","","Foyer","Vestibule","Foyer","前室","현관","Saguão","Прихожая","Vestíbulo","โถงทางเข้า","門廳","","",[],"","","","","","","","","",""
62,22,1,"currency_reward","Contains Rare Treasury Chests containing Currency\r\nRoom [IncursionDestabilization|Destabilises] once accessible","Contient des Coffres aux trésors Rares remplis d'Objets monétaires\r\nLa Salle se [IncursionDestabilization|Déstabilise] une fois accessible","Enthält seltene Schatzkammertruhen mit Währung\r\nRaum wird nach dem Abschluss [IncursionDestabilization|destabilisiert]","カレンシーを含む財宝のレアチェストが出現する\r\nこの部屋にアクセスすると部屋の[IncursionDestabilization|不安定化]が起きる","화폐가 들어 있는 희귀 보물 창고 상자 포함\r\n방에 들어갈 수 있게 되면 방이 [IncursionDestabilization|불안정해짐]","Contém baús de tesouro raros com moedas\r\nA sala se [IncursionDestabilization|desestabilizará] assim que estiver acessível","Содержит редкие сундуки с валютой\r\nКомната [IncursionDestabilization|дестабилизируется] после получения доступа к ней","Contiene cofres raros del tesoro que contienen objetos monetarios\r\nLa sala se [IncursionDestabilization|desestabiliza] una vez que sea accesible","มีหีบท้องพระคลังแรร์ที่มีเงินตรา\r\nห้องนี้จะถูก[IncursionDestabilization|ระงับเสถียรภาพ]เมื่อเข้าถึงได้","包含裝有通貨的稀有寶庫寶箱\r\n可通行後房間會[IncursionDestabilization|不穩定]","Kishara's Vault","Chambre forte de Kishara","Kisharas Schatzkammer","キシャラの宝物庫","키샤라의 금고실","Cofre de Kishara","Хранилище Кишары","Sala de Kishara","ห้องนิรภัยคิชาร่า","奇夏拉的密庫","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconRewardCurrency.dds","",[],"","","","","","","","","",""
63,23,1,"lineage_support_reward","Contains a Historic Chest containing a random [LineageSupports|Lineage Support Gem]\r\nRoom [IncursionDestabilization|Destabilises] once accessible","Contient un Coffre historique qui renferme une [LineageSupports|Gemme de soutien de Lignage] aléatoire\r\nLa Salle se [IncursionDestabilization|Déstabilise] une fois accessible","Enthält eine Historische Truhe mit einer zufälligen [LineageSupports|Abstammungs-Unterstützung]\r\nRaum wird nach dem Abschluss [IncursionDestabilization|destabilisiert]","ランダムな[LineageSupports|リネージュサポートジェム]を含む歴史のチェストが出現する\r\nこの部屋にアクセスするとこの部屋の[IncursionDestabilization|不安定化]が起きる","무작위 [LineageSupports|혈통 보조 젬]이 들어 있는 역사적인 상자 포함\r\n방에 들어갈 수 있게 되면 방이 [IncursionDestabilization|불안정해짐]","Contém um baú histórico com uma [LineageSupports|gema de reforço de origem] aleatória\r\nA sala se [IncursionDestabilization|desestabilizará] assim que estiver acessível","Содержит исторический сундук со случайным [LineageSupports|династическим камнем поддержки]\r\nКомната [IncursionDestabilization|дестабилизируется] после получения доступа к ней","Contiene un cofre histórico que contiene una [LineageSupports|gema de asistencia de linaje] aleatoria\r\nLa sala se [IncursionDestabilization|desestabiliza] una vez que sea accesible","มีหีบโบราณกาลที่มี[LineageSupports|หินเสริมสายสกุล]แบบสุ่ม 1 เม็ด\r\nห้องนี้จะถูก[IncursionDestabilization|ระงับเสถียรภาพ]เมื่อเข้าถึงได้","包含一個裝有隨機[LineageSupports|族裔輔助寶石]的歷史寶箱\r\n可通行後房間會[IncursionDestabilization|不穩定]","Vault of Reverence","Chambre forte de la révérence","Halle der Verehrung","畏敬の宝物庫","숭배의 금고실","Cofre da Reverência","Хранилище поклонения","Sala de reverencia","ห้องนิรภัยสักการะ","敬畏寶庫","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconRewardGem.dds","",[],"","","","","","","","","",""
64,24,1,"socketable_reward","Contains a Rune Cache containing [Rune|Runes]\r\nRoom [IncursionDestabilization|Destabilises] once accessible","Contient une Cache de Runes remplie de [Rune|Runes]\r\nLa Salle se [IncursionDestabilization|Déstabilise] une fois accessible","Enthält eine Runen-Lagertruhe mit [Rune|Runen]\r\nRaum wird nach dem Abschluss [IncursionDestabilization|destabilisiert]","[Rune|ルーン]を含むルーンキャッシュが出現する\r\nこの部屋にアクセスするとこの部屋の[IncursionDestabilization|不安定化]が起きる","[Rune|룬]이 들어 있는 룬 은닉함 포함\r\n방에 들어갈 수 있게 되면 방이 [IncursionDestabilization|불안정해짐]","Contém um estoque de runas com [Rune|runas]\r\nA sala se [IncursionDestabilization|desestabilizará] assim que estiver acessível","Содержит рунный сундук с [Rune|рунами]\r\nКомната [IncursionDestabilization|дестабилизируется] после получения доступа к ней","Contiene un alijo de runas que contiene [Rune|runas]\r\nLa sala se [IncursionDestabilization|desestabiliza] una vez que sea accesible","มีหีบอักขระที่มี[Rune|อักขระ] 1 ชิ้น\r\nห้องนี้จะถูก[IncursionDestabilization|ระงับเสถียรภาพ]เมื่อเข้าถึงได้","包含一個裝有[Rune|符文]的符文寶箱\r\n可通行後房間會[IncursionDestabilization|不穩定]","Jiquani's Vault","Chambre forte de Jiquani","Jiquanis Schatzkammer","ジクアニの宝物庫","지콰니의 금고실","Cofre de Jiquani","Хранилище Джиквани","Sala de Jiquani","ห้องนิรภัยฮิคัวนี","吉卡尼的密庫","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconRewardSocketable.dds","",[],"","","","","","","","","",""
65,25,1,"tablet_reward","Contains the Corrupted Precursor Machine which allows the [Corrupted|Corruption] of a [Tablet|Tablet]\r\nRoom [IncursionDestabilization|Destabilises] once accessible","Contient une Machine corrompue des Prédécesseurs, qui permet de [Corrupted|Corrompre] une [Tablet|Tablette]\r\nLa Salle se [IncursionDestabilization|Déstabilise] une fois accessible","Enthält die Verderbte Wegbereitermaschine, die die [Corrupted|Verderbung] einer [Tablet|Tafel] ermöglicht\r\nRaum wird nach dem Abschluss [IncursionDestabilization|destabilisiert]","[Tablet|石板]の[Corrupted|コラプト化]を可能にする先人のコラプト化装置が出現する\r\nこの部屋にアクセスするとこの部屋の[IncursionDestabilization|不安定化]が起きる","[Tablet|서판]을 [Corrupted|타락]시킬 수 있게 해 주는 타락한 선도자 장치 포함\r\n방에 들어갈 수 있게 되면 방이 [IncursionDestabilization|불안정해짐]","Contém uma Máquina Precursora Corrompida, que permite [Corrupted|corromper] uma [Tablet|tábua]\r\nA sala se [IncursionDestabilization|desestabilizará] assim que estiver acessível","Содержит осквернённую машину Предтеч, позволяющую [Corrupted|осквернять] [PrecursorTablet|плитки Предтеч]\r\nКомната [IncursionDestabilization|дестабилизируется] после получения доступа к ней","Contiene la Máquina precursora corrupta que permite [Corrupted|corromper] una [Tablet|tablilla]\r\nLa sala se [IncursionDestabilization|desestabiliza] una vez que sea accesible","มีเครื่องจักรกลุ่มชนก่อนกาลอาบมลทินที่[Corrupted|ใส่มลทิน]ให้กับ[Tablet|แผ่นหิน]\r\nห้องนี้จะถูก[IncursionDestabilization|ระงับเสถียรภาพ]เมื่อเข้าถึงได้","包含已汙染的先行者機器，可讓[Tablet|碑牌]進行[Corrupted|腐化]\r\n可通行後房間會[IncursionDestabilization|不穩定]","Tablet Research Vault","Chambre forte de Recherche de Tablettes","Tafelforschungs-Schatzkammer","石板研究の宝物庫","서판 연구 금고실","Cofre de Pesquisa de Tábuas","Хранилище плиток","Sala de investigación de tablillas","ห้องนิรภัยวิจัยแผ่นหิน","碑牌研究密庫","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconRewardTablet.dds","",[],"","","","","","","","","",""
66,26,1,"unique_reward","Contains a Reliquary Display which holds a Unique item\r\nRoom [IncursionDestabilization|Destabilises] once accessible","Contient un Piédestal de reliquaire qui renferme un objet Unique\r\nLa Salle se [IncursionDestabilization|Déstabilise] une fois accessible","Enthält eine Reliquienkammer-Auslage mit einem einzigartigen Gegenstand\r\nRaum wird nach dem Abschluss [IncursionDestabilization|destabilisiert]","ユニークアイテムを展示している聖廟の展示箱が出現する\r\nこの部屋にアクセスするとこの部屋の[IncursionDestabilization|不安定化]が起きる","고유 아이템이 들어 있는 성유물 보관실 전시물 포함\r\n방에 들어갈 수 있게 되면 방이 [IncursionDestabilization|불안정해짐]","Contém um mostruário do relicário com um item único\r\nA sala se [IncursionDestabilization|desestabilizará] assim que estiver acessível","Содержит витрину реликвария с уникальным предметом\r\nКомната [IncursionDestabilization|дестабилизируется] после получения доступа к ней","Contiene un Muestrario de reliquias que contiene un objeto único\r\nLa sala se [IncursionDestabilization|desestabiliza] una vez que sea accesible","มีตู้แสดงวัตถุโบราณที่มีไอเทมยูนิค 1 ชิ้น\r\nห้องนี้จะถูก[IncursionDestabilization|ระงับเสถียรภาพ]เมื่อเข้าถึงได้","包含一個裝有傳奇物品的聖物展示台\r\n可通行後房間會[IncursionDestabilization|不穩定]","Ancient Reliquary Vault","Chambre forte du Reliquaire antique","Uralte Reliquienkammer","古代の聖廟の宝物庫","고대의 성유물 보관실 금고실","Cofre do Relicário Antigo","Древнее хранилище-реликварий","Sala del relicario antiguo","ห้องนิรภัยวัตถุโบราณ","遠古聖物密庫","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconRewardUnique.dds","",[],"","","","","","","","","",""
67,27,1,"access_chamber","Completion unlocks access to Atziri's Chamber\r\nRoom [IncursionDestabilization|Destabilises] once accessible","Terminer cette Salle déverrouille l'accès à la Chambre d'Atziri\r\nLa Salle se [IncursionDestabilization|Déstabilise] une fois accessible","Der Abschluss erlaubt Zugang zu Atziris Kammer\r\nRaum wird nach dem Abschluss [IncursionDestabilization|destabilisiert]","アッツィリの私室へアクセスできるようになる\r\nこの部屋にアクセスするとこの部屋の[IncursionDestabilization|不安定化]が起きる","완료 시 앗지리의 석실에 갈 수 있음\r\n방에 들어갈 수 있게 되면 방이 [IncursionDestabilization|불안정해짐]","Ao concluir, permite acessar os Aposentos de Atziri\r\nA sala se [IncursionDestabilization|desestabilizará] assim que estiver acessível","Завершение даёт доступ в Покои Атзири\r\nКомната [IncursionDestabilization|дестабилизируется] после получения доступа к ней","Al completarla se desbloquea el acceso a la Cámara de Atziri\r\nLa sala se [IncursionDestabilization|desestabiliza] una vez que sea accesible","การผ่านห้องนี้จะปลดล็อกห้องอัถสิริ\r\nห้องนี้จะถูก[IncursionDestabilization|ระงับเสถียรภาพ]เมื่อเข้าถึงได้","完成後解鎖進入阿茲里密室的權限\r\n可通行後房間會[IncursionDestabilization|不穩定]","Royal Access Chamber","Chambre d'accès royale","Königliches Vorzimmer","王家の連絡通路","왕실 전실","Câmara de Acesso Real","Царская приёмная","Cámara de acceso real","ห้องราชสำนัก","皇家通道室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconAccessChamber.dds","",[],"","","","","","","","","",""
68,29,1,"unsocketing_reward","Contains the Extraction Workbench which can be used to destroy an [Equipment] item, returning any [Augment|Augments] socketed in it\r\nRoom [IncursionDestabilization|Destabilises] once accessible","Contient l'Établi d'extraction, qui peut être utilisé pour détruire un objet d'[Equipment|Équipement] afin d'en récupérer les [Augment|Augmentations] enchâssées\r\nLa Salle se [IncursionDestabilization|Déstabilise] une fois accessible","Enthält die Extraktionswerkbank, die verwendet werden kann, um einen [Equipment|Ausrüstungs]gegenstand zu zerstören, wodruch man alle darin eingefassten [Augment|Augmentationen] zurückerhält\r\nRaum wird nach dem Abschluss [IncursionDestabilization|destabilisiert]","[Equipment|装備]アイテムを破壊し、それにソケットされている[Augment|オーグメント]を回収する抽出の作業台が出現する\r\nこの部屋にアクセスするとこの部屋の[IncursionDestabilization|不安定化]が起きる","사용 시 [Equipment|장비] 아이템을 파괴하고 홈에 장착된 [Augment|증강물]을 돌려받을 수 있는 추출 작업대 포함\r\n방에 들어갈 수 있게 되면 방이 [IncursionDestabilization|불안정해짐]","Contém a Bancada de Extração, que pode ser usada para destruir um item de [Equipment|equipamento], restituindo os [Augment|aprimoramentos] encaixados\r\nA sala se [IncursionDestabilization|desestabilizará] assim que estiver acessível","Содержит верстак для извлечения, позволяющий извлечь любые [Augment|усилители] из предмета [Equipment|снаряжения], уничтожив этот предмет\r\nКомната [IncursionDestabilization|дестабилизируется] после получения доступа к ней","Contiene la Mesa de trabajo de extracción que se puede usar para destruir un objeto de [Equipment|equipamiento] y que te devuelva cualquier [Augment|mejora] engarzada en él\r\nLa sala se [IncursionDestabilization|desestabiliza] una vez que sea accesible","มีโต๊ะทำงานถอนวัตถุที่ทำลาย[Equipment|ไอเทมสวมใส่]เพื่อเก็บ[Augment|วัตถุฝัง]ที่อยู่ในรูของมัน\r\nห้องนี้จะถูก[IncursionDestabilization|ระงับเสถียรภาพ]เมื่อเข้าถึงได้","包含萃取工作台，可用於摧毀一件[Equipment|裝備]物品，並歸還鑲嵌在其中的任何[Augment|增幅]\r\n可通行後房間會[IncursionDestabilization|不穩定]","Extraction Chamber","Chambre d'extraction","Extraktionskammer","抽出の広間","추출실","Câmara de Extração","Зал извлечения","Cámara de extracción","ห้องถอนวัตถุ","萃取室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconRewardExtract.dds","",[],"","","","","","","","","",""
69,19,1,"","","","","","","","","","","","Sacrifice Room","Salle du sacrifice","Opferraum","生贄の部屋","희생실","Sala de Sacrifícios","Комната жертвоприношений","Sala de sacrificios","ห้องสังเวย","獻祭室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/SacrificeRoom.dds","",[],"","","","","","","","","",""
70,28,1,"","Complete the Royal Access Chamber to unlock","Terminez la Chambre d'accès royale pour déverrouiller l'accès","Schließt das Königliche Vorzimmer ab, um freizuschalten","王家の連絡通路を完了してアンロックする","해제하려면 왕실 전실을 완료하십시오","Conclua a Câmara de Acesso Real para desbloquear","Завершите Царскую приёмную, чтобы разблокировать","Completa la Cámara de acceso real para desbloquearla","ปลดล็อกได้ด้วยการผ่านห้องราชสำนักให้สำเร็จ","完成皇家通道室以解鎖","Atziri's Chamber","Chambre d'Atziri","Atziris Kammer","アッツィリの私室","앗지리의 석실","Aposentos de Atziri","Покои Атзири","Cámara de Atziri","ห้องอัถสิริ","阿茲里的密室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconAtziri.dds","",[],"","","","","","","","","",""
71,30,1,"viperspymaster_defeated_lvl1","","","","","","","","","","","Spymaster's Study","Bureau du maître-espion","Spionagemeister-Arbeitszimmer","密偵長の書斎","첩보대장의 서재","Escritório do Mestre-espião","Кабинет соглядатая","Estudio del maestro de espionaje","ห้องศึกษานักจารชน","情報大師書房","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconViperSpymaster.dds","",[],"","A des chances plus élevées de Médaillon de Juatalotli, augmentant avec les paliers","Höhere Chance auf Juatalotlis Medaillon; Chance steigt mit Level","高確率でフアタロトリのメダリオン、ティアと共に確率が上がる","","Tem uma chance alta de largar o Medalhão de Juatalotli, que aumenta com o nível","Повышенный шанс найти Медальон Ваталотли, растёт с уровнем","Tiene una probabilidad más alta de Medallón de Juatalotli que aumenta con el nivel","มีโอกาสมีเหรียญตราฮัวตาล็อตลีสูงขึ้น โอกาสนี้เพิ่มขึ้นตามระดับของห้อง","擁有高機率獲得瓦爾羅特的聖徽，隨著階級增加"
72,30,2,"viperspymaster_defeated_lvl2","","","","","","","","","","","Hall of Shadows","Salle des ombres","Halle der Schatten","影の広間","그림자의 전당","Salão das Sombras","Зал теней","Salón de las sombras","โถงแห่งเงา","陰影之殿","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconViperSpymaster.dds","",[],"","A des chances plus élevées de Médaillon de Juatalotli, augmentant avec les paliers","Höhere Chance auf Juatalotlis Medaillon; Chance steigt mit Level","高確率でフアタロトリのメダリオン、ティアと共に確率が上がる","","Tem uma chance alta de largar o Medalhão de Juatalotli, que aumenta com o nível","Повышенный шанс найти Медальон Ваталотли, растёт с уровнем","Tiene una probabilidad más alta de Medallón de Juatalotli que aumenta con el nivel","มีโอกาสมีเหรียญตราฮัวตาล็อตลีสูงขึ้น โอกาสนี้เพิ่มขึ้นตามระดับของห้อง","擁有高機率獲得瓦爾羅特的聖徽，隨著階級增加"
73,30,3,"viperspymaster_defeated_lvl3","","","","","","","","","","","Omnipresent Panopticon","Panopticon omniprésent","Omnipräsentes Panoptikum","遍在するパノプティコン","편재의 원형 감옥","Panóptico Onipresente","Всеведущий паноптикум","Panóptico omnipresente","หอหยั่งรู้สรรพสิ่ง","無所不在全視監","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconViperSpymaster.dds","",[],"","A des chances élevées de Médaillon de Juatalotli","Hohe Chance auf Juatalotlis Medaillon","高確率でフアタロトリのメダリオン","","Tem uma chance alta de largar o Medalhão de Juatalotli","Высокий шанс найти Медальон Ваталотли","Tiene una probabilidad alta de Medallón de Juatalotli","มีโอกาสมีเหรียญตราฮัวตาล็อตลีสูง","擁有高機率獲得瓦爾羅特的聖徽"
