"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","SoundFile","ParrotSoundFile","i32_32","i32_36"
5253,"StrDex4b_Gameplay_EndGame_45","The jungles never end.","Les jungles n'en finissent pas.","Der Dschungel nimmt kein Ende.","ジャングルに終わりはねえ。","밀림이 끝이 없어.","As selvas nunca acabam.","Джунглям конца не видно.","Las junglas no se acaban nunca.","ป่าดงดิบนี่ไม่รู้จักจบเสียที","這座叢林簡直沒有盡頭。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Gameplay/Mercenary_Gameplay_EndGame_45.ogg","",10000,0
5254,"StrDex4b_Gameplay_EndGame_46","There better be gold at the end of this... rainbow.","Il y a intérêt à ce qu'il y ait de l'or au bout de de cet... arc-en-ciel.","Hoffentlich befindet sich ein Topf voll Gold am Ende dieses ... Regenbogens.","この虹の先に…宝が眠ってるはずだ。","이... 무지개 끝에 금이 있어야 할 텐데.","É bom que tenha ouro no final desse... arco-íris.","Лучше бы обнаружить золото в конце этой... радуги.","Más vale que haya oro al final de este... arcoíris.","หวังว่าจะมีทองคำอยู่ตรงปลาย... สายรุ้งนะ","在這道……彩虹的盡頭，最好有金幣。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Gameplay/Mercenary_Gameplay_EndGame_46.ogg","",10000,0
5255,"StrDex4b_Gameplay_EndGame_47","Oh, I just know this one's gonna go bad.","J'ai comme un mauvais pressentiment.","Oh, ich weiß einfach, dass das hier schief gehen wird. ","ああ、これじゃダメなことは分かってる。","아, 끝이 좋지 않을 게 분명해.","Ah, eu já sei que vai dar errado.","О, я уверен, тут ничего хорошего не будет.","Oh, ya estoy viendo que esto va a salir mal.","โอ้ ข้าว่ามันจบไม่สวยแน่","喔，我有預感這次會很糟糕。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Gameplay/Mercenary_Gameplay_EndGame_47.ogg","",10000,0
5256,"StrDex4b_Gameplay_EndGame_48","It's almost nostalgic.","C'est presque nostalgique.","Es ist fast schon nostalgisch.","懐かしくなってきた。","옛 추억이 떠오를 것 같네.","É quase nostálgico.","Почти что ностальгия.","Es casi nostálgico.","เกือบนึกถึงความหลังเลยละ","稍微讓人有點懷念呢。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Gameplay/Mercenary_Gameplay_EndGame_48.ogg","",10000,0
5257,"StrDex4b_Gameplay_EndGame_49","Oof... gonna hold my breath for this one.","Ouh... je vais retenir mon souffle pour celui-là.","Puh... ich halte jetzt mal die Luft an.","ああ…息を止めるしかねえな。","윽... 잠깐 숨을 멈춰야겠어.","Oof... vou prender a respiração pra fazer isso.","Уф... тут придётся задержать дыхание.","Uf... voy a contener el aliento para este.","อุ้ย... งานนี้ข้าต้องกลั้นหายใจนะ","嗚……我得憋氣了。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Gameplay/Mercenary_Gameplay_EndGame_49.ogg","",10000,0
5258,"StrDex4b_Gameplay_EndGame_50","Eugh, it's never <i>{downhill,} is it?","Pfff, ce n'est jamais <i>{vers le bas}, n'est-ce pas ?","Puh, es geht nie <i>{bergab}, oder?","はあ。<i>{下り坂}はねえのか？","어휴, <i>{내려가는} 길은 없는 건가?","Droga, nunca é <i>{ladeira abaixo}, né?","Уф, путь никогда не лежит <i>{под горку,} да?","Puf, nunca es <i>{cuesta abajo}, ¿verdad?","เฮ้อ ไม่เคยต้องต่อสู้<i>{ลงเนิน}เลยใช่ไหมล่ะ?","呃，怎麼走都遇不到<i>{下坡，}對嗎？","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Gameplay/Mercenary_Gameplay_EndGame_50.ogg","",10000,0
5259,"StrDex4b_Gameplay_EndGame_51","Might be a nice place to settle down one day.","Ce pourrait être un endroit agréable pour s'installer un jour.","Könnte ein schöner Ort sein, um sich eines Tages niederzulassen.","いつか住むのにピッタリの場所になるかもな。","언젠가 정착하기에 괜찬은 곳 같은데.","Pode ser um bom lugar para me estabelecer um dia.","Неплохое местечко, чтобы однажды в нём осесть.","Podría ser un bonito lugar en el que establecerse algún día.","นี่อาจเป็นที่ที่เหมาะแก่การปักหลักขึ้นมาสักวันนะ","這裡也許是個安頓一天的好地方。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Gameplay/Mercenary_Gameplay_EndGame_51.ogg","",10000,0
5260,"StrDex4b_Gameplay_EndGame_52","Ohh... I'm gonna get sand in me boots for sure.","Hmm... Je vais avoir du sable dans mes bottes, c'est sûr.","Ohh ... Ich werde sicher Sand in meine Stiefel bekommen.","あーあ……絶対靴の中が砂まみれだぜ。","아... 장화에 모래 들어가게 생겼네.","Aaah... com certeza vou acabar com areia nas minhas botas.","Ох... в ботинки обязательно набьётся песок.","Ahh... Seguro que se me mete la arena en las botas.","โอ้... ทรายเข้ารองเท้าข้าแน่ๆ","喔……我的長靴肯定要進沙了。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Gameplay/Mercenary_Gameplay_EndGame_52.ogg","",10000,0
5261,"StrDex4b_Gameplay_EndGame_53","Suspiciously beautiful, this is.","D'une beauté suspecte.","Es ist verdächtig schön hier.","ウソかってくらい綺麗だな。","이거, 수상할 정도로 아름다운데.","Suspeitosamente lindo.","Подозрительно красиво тут.","Sospechosamente hermoso, es esto.","ที่นี่มันงดงามจนน่าระแวง","這真是美到令人生疑。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Gameplay/Mercenary_Gameplay_EndGame_53.ogg","",10000,0
5262,"StrDex4b_Gameplay_EndGame_54","Slow and steady'll get me through this one.","Aller lentement mais sûrement me permettra de passer.","Ich werde es langsam angehen lassen.","ゆっくり着実にこなせば、この問題は解決できるはずだ。","천천히 안정적으로 가야 통과할 수 있어.","Vou conseguir passar por isso, devagar e sempre.","Потихоньку-помаленьку я здесь проберусь.","Lento pero seguro podré superar esto.","ก้าวไปช้าๆ แล้วข้าจะผ่านที่นี่ไปได้","我必須穩紮穩打，才能跨越這道難關。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Gameplay/Mercenary_Gameplay_EndGame_54.ogg","",10000,0
5263,"StrDex4b_Gameplay_EndGame_55","Don't suppose these springs are safe for a bath.","Je ne pense pas que ces sources soient sans danger pour un bain.","Ich glaube nicht, dass diese Quellen zum Baden geeignet sind.","この泉、風呂にするには危険だと思うぜ。","이런 연못에서 목욕을 할 수는 없겠지.","Não acho que essas fontes sejam seguras para um banho.","Вряд ли в этих источниках можно без опаски купаться.","Imagino que estos manantiales no serán seguros para darse un baño.","น้ำพุร้อนพวกนี้ไม่น่าใช้อาบได้นะ","我想這些泉水應該沒辦法讓人好好洗個澡。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Gameplay/Mercenary_Gameplay_EndGame_55.ogg","",10000,0
5264,"StrDex4b_Gameplay_EndGame_56","Suddenly find myself thirsty.","J'ai soudainement soif.","Plötzlich habe ich Durst.","突然気づいちまった。のどが渇いたぜ。","갑자기 목이 마르네.","Nossa que sede.","Начал вдруг чувствовать жажду.","De repente me ha entrado sed.","อยู่ๆ ก็กระหายน้ำขึ้นมา","我突然覺得有點渴。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Gameplay/Mercenary_Gameplay_EndGame_56.ogg","",10000,0
5265,"StrDex4b_Gameplay_EndGame_57","Best step quietly. Hate to wake the dead.","Le mieux est d'agir en silence. Je ne voudrais pas réveiller les morts.","Ich sollte möglichst leise auftreten. Ich will die Toten nicht wecken.","静かに、ゆっくり歩けよな。死者を目覚めさせるのはごめんだ。","조용히 지나가는 게 좋겠어. 망자를 깨우고 싶진 않으니.","Melhor ir em silêncio. Odeio acordar os mortos.","Лучше ходить тихо. Ненавижу будить мёртвых.","Será mejor que pise con cuidado. No me gustaría despertar a los muertos.","ก้าวเบาๆ เสียดีกว่า ไม่อยากปลุกคนตายขึ้นมา","腳步最好輕一點。要是吵醒亡者就不好了。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Gameplay/Mercenary_Gameplay_EndGame_57.ogg","",10000,0
5266,"StrDex4b_Gameplay_EndGame_58","Undead it is.","Il s'agit bien d'un mort-vivant.","Untote also.","アンデッドだよ。","언데드로군.","Mortos-vivos, então.","Значит, мертвецы.","Muertos vivientes tenían que ser.","อันเดดสินะ","果真是不死生物呢。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Gameplay/Mercenary_Gameplay_EndGame_58.ogg","",10000,0
5267,"StrDex4b_Gameplay_EndGame_59","Now isn't this a hidden little paradise?","N'est-ce pas un petit paradis caché ?","Ist das nicht ein verstecktes kleines Paradies?","ここ、まるで小さな秘密の楽園だな。","이건 숨겨진 낙원 아닌가?","Olha só, um pequeno paraíso escondido.","Ну, разве это не крошечный укрытый от глаз рай? ","¿No es este un pequeño paraíso escondido?","นี่เป็นสวรรค์ลับเล็กๆ นี่นา","這可真是個小小的世外桃源啊。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Gameplay/Mercenary_Gameplay_EndGame_59.ogg","",10000,0
5268,"StrDex4b_Gameplay_EndGame_61","Huh, how about that.","Heu, que pensez-vous de cela ?","Hm, was sagt man dazu.","うーん。どうだろ。","허, 저건 몰랐네.","Huh, quem diria.","Хе, как насчёт этого.","Ey, qué te parece eso.","หึ นั่นยังไงล่ะ","這樣如何。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Gameplay/Mercenary_Gameplay_EndGame_61.ogg","",10000,0
5269,"StrDex4b_Gameplay_EndGame_62","Hmm... That's a rare sight.","Hmm... C'est un spectacle très rare.","Hmm ... Das ist ein seltener Anblick.","ふむ……珍しい光景だな。","흐음... 보기 드문 광경인데.","Hmm... Taí algo que não se vê todo dia.","Такое редко увидишь.","Hmm... Eso es algo que no se ve mucho.","หืม... ไม่ค่อยได้พบเห็นอะไรแบบนี้เลยนะ","嗯……真是罕見的景象。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Gameplay/Mercenary_Gameplay_EndGame_62.ogg","",10000,0
5270,"StrDex4b_Gameplay_EndGame_63","Well this is... If I was a poet, I'd... Ah something.","Eh bien, c'est... Si j'étais poète, je ferais... quelque chose.","Nun, das ist ... Wenn ich ein Dichter wäre, würde ich ... etwas ...","うん……もし俺が詩人だったら、その……何かしらするだろうな。","음, 이건... 내가 시인이었다면... 뭐든 썼겠지.","Bom, isso é... Se eu fosse poeta, eu... Ah, sei lá.","Что ж, это... будь я поэтом, я бы... что-нибудь.","Bueno esto es... Si fuera un poeta, yo... haría algo.","นี่มัน... ถ้าข้าเป็นกวี ข้าคงจะ... อา ทำอะไรสักอย่าง","好吧，這還真是……如果我是個詩人，我就會……呻吟點什麼了。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Gameplay/Mercenary_Gameplay_EndGame_63.ogg","",10000,0
5271,"StrDex4b_Gameplay_EndGame_64","That's neat.","C'est remarquable.","Das ist nett.","いいね。","멋진데.","Que legal.","Красота.","Eso está bien.","ดูดีอยู่นะ","太棒了。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Gameplay/Mercenary_Gameplay_EndGame_64.ogg","",10000,0
5272,"StrDex4b_Gameplay_IntroSalesPitch_01","You've got a weapon, I'll wield it. Just tell me where to point it. I've seen the highs and horrors of war, and I'll do whatever it takes to survive. If you've got coin, I'm your man.","Vous avez une arme, et moi, un bras pour la brandir. Dites-moi juste où la pointer. J'ai vu les gloires et les horreurs des guerres et je survivrai coûte que coûte. Si vous avez de l'argent, je suis votre homme.","Du hast eine Waffe, ich werde sie einsetzen. Sag mir nur, gegen wen sie richten soll. Ich habe die Höhepunkte und Schrecken des Krieges erlebt und werde alles tun, um zu überleben. Wenn du Geld hast, bin ich dein Mann.","武器があるなら俺によこしな。どいつが標的かだけ教えてくれ。戦の天国も地獄も見てきた。生き残るためならなんだってやるぜ。金はあるか？なら任せとけ。","네게 무기가 있으니, 내가 그걸 들겠다. 어딜 찔러야 하는지만 얘기해라. 나는 전쟁의 과실과 공포를 모두 경험했으니, 목숨을 부지하는 데 필요한 일이라면 뭐든 하겠다. 네게 돈이 있다면, 난 널 섬기겠다.","Você tem uma arma, eu a empunharei. Apenas me diga para onde apontá-la. Eu vi os altos e baixos da guerra e farei o que for preciso para sobreviver. Se você tiver dinheiro, eu sou seu homem.","У тебя есть оружие, а я умею им орудовать. Просто скажи, куда его направить. Я видел успехи и ужасы войны, и я выживу во что бы то ни стало. Если у тебя есть звонкая монета, то я – тот, кто тебе нужен.","Si tienes un arma, yo la empuñaré. Solo dime hacia dónde apuntarla. He visto las maravillas y los horrores de la guerra, y haré lo que haga falta para sobrevivir. Si tienes monedas, soy tu hombre.","เจ้ามีอาวุธ ข้าจะใช้ให้ บอกมาว่าจะให้เล็งไปหาใคร ข้าพบเห็นเรื่องดีร้ายในสงครามมานักต่อนัก พร้อมเอาตัวรอดได้ทุกวิถีทาง ถ้าเจ้ามีเงิน เจ้าก็มีข้า","你提供武器，我來揮舞。你只需要告訴我該把矛頭指向哪裡。我曾見識過戰爭的激烈和殘酷，而我願意為了生存做出任何事。如果你有錢，我就會為你效勞。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Gameplay/Mercenary_IntroLine_SalesPitch_01.ogg","",10000,0
5273,"StrDex4b_Acrobatics_01","Dancin' about, I'll be.","S'il faut danser, je le ferai.","Ich werde herumtanzen.","踊ろうぜ。","춤을 춰 볼까.","Eu vou dançar por aí.","Буду танцевать вокруг.","Bailando estaré.","ข้าจะเต้นไปเต้นมาก็แล้วกัน","與我起舞吧。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneAcrobatics_01.ogg","",10000,0
5274,"StrDex4b_AncestralBond_01","Make the totems do the work.","Laissons les totems faire le travail.","Die Totems sollen die Arbeit machen.","トーテムにやらせよう。","일은 토템이 하면 되지.","Faça os totens trabalharem!","Пусть трудятся тотемы.","Que los tótems hagan todo el trabajo.","ให้โทเทมทำงานไปละกันนะ","讓圖騰發揮作用。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneAncestralBond_01.ogg","",10000,0
5275,"StrDex4b_AvatarOfFire_01","Firepower!","Puissance de feu !","Feuerkraft!","火の力！","화력!","Poder de fogo!","Огневая мощь!","¡El poder del fuego!","พลังไฟ!","火力！","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneAvatarOfFire_01.ogg","",10000,0
5276,"StrDex4b_BloodMagic_01","What is mana, anyway?","Qu'est-ce que le mana, de toute façon ?","Was ist Mana überhaupt?","そもそもマナって何なんだ？","마나가 대체 뭐길래?","O que que é mana, afinal?","А что вообще такое «‎мана»?","¿Qué es el maná, igualmente?","แล้วมานาคืออะไรกันเล่า?","魔力到底是什麼東西？","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneBloodMagic_01.ogg","",10000,0
5277,"StrDex4b_ChaosInnoculation_01","The right tool for a dark world.","L'outil adéquat pour un monde obscur.","Das richtige Werkzeug für eine dunkle Welt.","この暗い世界にピッタリの道具だな。","어두운 세계에 어울리는 도구다.","A ferramenta certa para um mundo sombrio.","Нужный инструмент в тёмном мире.","La herramienta perfecta para un mundo oscuro.","เครื่องมือที่เหมาะกับโลกที่มืดมิด","很符合這個黑暗的世界的工具。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneChaosInnoculation_01.ogg","",10000,0
5278,"StrDex4b_Conduit_01","Teamwork means survival.","Le travail en équipe est synonyme de survie.","Teamwork bedeutet Überleben.","チームワークてのは生き残れるかどうかを左右する。","살아남으려면 협동이 필요해.","Trabalho em equipe significa sobrevivência.","Будешь не один – выживешь.","Trabajar en equipo es sobrevivir.","การทำงานเป็นทีมคือการเอาตัวรอด","團隊合作意味著存活。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneConduit_01.ogg","",10000,0
5279,"StrDex4b_DanceWithDeath_01","Gonna die sooner or later anyway.","De toute façon, je mourrai tôt ou tard.","Früher oder später stirbt man sowieso.","どうせ遅かれ早かれ死ぬんだ。","어차피 죽은 목숨이다.","Vou morrer mais cedo ou mais tarde, de qualquer maneira.","Рано или поздно всё равно помру.","Moriré antes o después igualmente.","จะช้าจะเร็วก็ต้องตายอยู่ดี","反正早晚都會死。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneDanceWithDeath_01.ogg","",10000,0
5280,"StrDex4b_EldritchBattery_01","Clever trick...","Astucieux...","Cleverer Trick ...","なんて巧妙な手口…","영리한 재주인걸...","Truque inteligente...","Ловкий трюк...","Un truco ingenioso...","กลเม็ดฉลาดนัก...","真是聰明的技倆……","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneEldritchBattery_01.ogg","",10000,0
5281,"StrDex4b_ElementalEquilibrium_01","Keep 'em guessin.","Laissez-les deviner.","Sie sollen weiter raten.","ハラハラさせておけばいいのさ。","계속 고민하게 만들어 주자고.","Não abra o jogo.","Пусть гадают.","Mantenlos en vilo.","ให้พวกมันเดาไปเรื่อย","讓他們眼花撩亂。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneElementalEquilibrium_01.ogg","",10000,0
5282,"StrDex4b_EternalYouth_01","I choose to live forever.","Je choisis de vivre éternellement.","Ich entscheide mich für das ewige Leben.","俺は永遠の命を望むね。","난 영원히 사는 걸 택하겠다.","Eu escolho viver para sempre.","Я выбираю жить вечно.","He decidido vivir para siempre.","ข้าจะอยู่ไปตลอดกาล","我選擇永生不死。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneEternalYouth_01.ogg","",10000,0
5283,"StrDex4b_GhostReaver_01","Whatever keeps me alive.","Tout ce qui me permet de rester en vie.","Was immer mich am Leben hält.","生かしてくれるなら何でもいい。","살아남을 수 있다면 뭐든지.","O que for preciso pra ficar vivo.","Всё, что сохраняет мне жизнь.","Lo que sea que me mantenga vivo.","อะไรก็ได้ที่ช่วยให้ข้ามีชีวิตอยู่","能讓我活下去的都行。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneGhostReaver_01.ogg","",10000,0
5284,"StrDex4b_GiantsBlood_01","Good for intimidation.","C'est un bon moyen d'intimider les gens.","Gut zur Einschüchterung.","威圧には効果的だな。","위협하기는 좋겠지.","Bom para intimidação.","Неплохо для устрашения.","Buena para la intimidación.","ใช้ขู่ก็ดีนะ","很適合拿來威嚇。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneGiantsBlood_01.ogg","",10000,0
5285,"StrDex4b_GlancingBlows_01","A shield's a merc's best friend.","Le bouclier est le meilleur ami du mercenaire.","Ein Schild ist der beste Freund eines Söldners.","盾は傭兵には欠かせねえ、親友みたいなもんだ。","방패는 용병의 가장 좋은 친구다.","Um escudo é o melhor amigo de um mercenário.","Щит – лучший друг наёмника.","Un escudo es el mejor amigo de un mercenario.","โล่เป็นสหายคู่ใจทหารรับจ้าง","盾牌是傭兵最好的朋友。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneGlancingBlows_01.ogg","",10000,0
5286,"StrDex4b_Heartstopper_01","Little technique I learned on a campaign.","Une petite technique que j'ai apprise lors d'une campagne.","Eine kleine Strategie, die ich auf einem Feldzug gelernt habe.","従軍の時に学んだ、ちょっとしたテクニックさ。","오랜 여정에서 배운 소소한 기술이랄까.","Uma pequena técnica que aprendi em uma campanha.","Маленькая хитрость, которой я научился в походе.","Una pequeña técnica que aprendí en una campaña.","เทคนิคเล็กๆ น้อยๆ ที่รู้มาตอนที่ออกศึกน่ะ","我在一場戰役中學到的小技巧。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneHeartstopper_01.ogg","",10000,0
5287,"StrDex4b_HexMaster_01","Gotta time it just right.","Il faut le faire au bon moment.","Ich muss es genau richtig abstimmen.","ちょうどいいタイミングでやらなくちゃな。","타이밍을 딱 맞춰야 한다.","Tem que cronometrar bem.","Надо будет точно подгадывать время.","Hay que lanzar en el momento justo.","ต้องเลือกจังหวะให้ดี","需要掌握好時機。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneHexMaster_01.ogg","",10000,0
5288,"StrDex4b_HollowPalmTechnique_01","Learned a thing or two from the monks.","Les moines m'ont appris une chose ou deux.","Ich habe ein oder zwei Dinge von den Mönchen gelernt.","モンクからは、1、2個学んだよ。","몽크들에게 배운 게 있지.","Aprendi uma coisa ou duas com os monges.","Научился кое-чему у монахов.","He aprendido un par de cosas de los monjes.","ได้เรียนรู้อะไรมาจากพวกนักบวชน่ะ","我從僧侶那裡學來的招式。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneHollowPalmTechnique_01.ogg","",10000,0
5289,"StrDex4b_IronReflexes_01","Never was very nimble.","Je n'ai jamais été très agile.","Ich war nie sehr gewandt.","俊敏な方じゃねえんだよな。","원래 기민한 편은 아니었어.","Nunca fui muito ágil.","Никогда особо прытким не был.","Nunca he sido muy ágil.","ข้าไม่ใช่คนตัวไวอยู่แล้ว","從來都不怎麼靈活。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneIronReflexes_01.ogg","",10000,0
5290,"StrDex4b_MindOverMatter_01","Maybe if I <i>{believe}, I'll survive...","Peut-être que si j'y <i>{crois}, je survivrai...","Vielleicht werde ich überleben, wenn ich daran <i>{glaube} ...","たぶん、俺が<i>{信じて}いれば、生き残れるだろう…","<i>{믿음}이 있으면 살아남을 수 있을까...","Talvez se eu <i>{acreditar}, eu sobreviva...","Может, если <i>{поверю}, то и выживу...","Quizás si <i>{creo}, sobreviviré...","หากข้า<i>{เชื่อมั่น}อะไรบางอย่าง ข้าอาจรอดตายก็ได้...","只要我<i>{相信}，也許就能活下去……","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneMindOverMatter_01.ogg","",10000,0
5291,"StrDex4b_NecromanticTalisman_01","Now I'm the boss.","Maintenant, c'est moi le patron.","Jetzt bin ich der Boss.","今は俺がボスだ。","이제 내가 대장이다.","Agora eu que mando.","Теперь я командир.","Ahora soy el jefe.","ข้าเป็นเจ้านายแล้ว","現在我才是老大。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneNecromanticTalisman_01.ogg","",10000,0
5292,"StrDex4b_Oasis_01","Gotta make do with what you got.","Il faut faire avec ce qu'on a.","Du musst dich mit dem begnügen, was du hast.","手元にあるもので何とかしなくちゃな。","수중에 있는 걸로 어떻게든 해야지.","Tem que se virar com o que tem.","Приходится обходиться тем, что есть.","Hay que arreglarse con lo que se tiene.","มีอะไรก็ต้องใช้ให้ดี","得用手邊有的東西將就一下。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneOasis_01.ogg","",10000,0
5293,"StrDex4b_PainAttunement_01","No pain, no gain.","On n'a rien sans rien.","Ohne Fleiss kein Preis.","痛みなくして得るものなし、だ。","아픔이 없으면, 얻는 것도 없다.","Sem dor, sem ganho.","Потом и кровью.","Sin dolor no hay recompensa.","ไม่เจ็บก็ไม่จำ","沒有痛苦，就沒有收穫。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystonePainAttunement_01.ogg","",10000,0
5294,"StrDex4b_ResoluteTechnique_01","I never miss.","Je ne rate jamais.","Ich verfehle nie.","逃がさねえ。","난 절대 빗맞히지 않아.","Eu nunca erro.","Я не промахиваюсь.","Nunca fallo.","ข้าไม่มีทางพลาด","我從不失手。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneResoluteTechnique_01.ogg","",10000,0
5295,"StrDex4b_UnwaveringStance_01","I can take it.","Je peux le supporter.","Ich halte das aus.","絶対取れる。","얼마든지 받아 주마.","Eu aguento.","Я выдержу.","Puedo soportarlo.","ข้าทนได้ไหว","我扛得住。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneUnwaveringStance_01.ogg","",10000,0
5296,"StrDex4b_VaalPact_01","The Vaal had some good ideas.","Les Vaal avaient de bonnes idées.","Die Vaal hatte einige gute Ideen.","ヴァールのアイデアは良かったんだけどな。","바알에 좋은 생각이 있었군.","Os Vaal tiveram algumas boas ideias.","У ваал были неплохие идеи.","Los vaal tenían algunas buenas ideas.","พวกวาล์ก็มีความคิดดีๆ อยู่บ้าง","瓦爾人想出了一些很棒的點子。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneVaalPact_01.ogg","",10000,0
5297,"StrDex4b_ZealotsOath_01","I believe in making my own way.","Je crois qu'il faut tracer son propre chemin.","Ich glaube daran, meinen eigenen Weg zu gehen.","自分の道を切り開けるって、俺は信じてる。","내 길은 내가 만들어 간다.","Eu acredito em fazer o meu próprio caminho.","Я верю в свой собственный путь.","Creo que lo mejor es forjar mi propio camino.","ข้าเชื่อมั่นในการหาเส้นทางตัวเอง","我相信自己開創出來的道路。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_KeystoneZealotsOath_01.ogg","",10000,0
5298,"StrDex4b_Keystone_Resonance","Eh, I'm colour-blind anyway.","Eh, I'm colour-blind anyway.","Äh, ich bin sowieso farbenblind.","ま、俺はどっちにしろ色盲だしな。","에라 모르겠다. 난 어차피 색맹인데.","Ah, tanto faz... sou daltônico mesmo.","Eh, I'm colour-blind anyway.","Meh, igual soy daltónico.","เอ ยังไงข้าก็ตาบอดสีอยู่ดี","呃，反正我也是色盲。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_Keystone_Resonance.ogg","",10000,50000
5299,"StrDex4b_Keystone_BlackflameCovenant","Always was a bit of a pyro. This won't help.","Always was a bit of a pyro. This won't help.","Ich war schon immer ein Pyromane. Das ist nicht gerade hilfreich.","昔から火は好きだったんだ。これでも変わらねえだろうな。","나는 늘 불 지르는 게 좋았지. 이것도 도움이 안 될 거고.","Sempre tive um pé no fogo. Isso não muda nada.","Always was a bit of a pyro. This won't help.","Siempre me gustó mucho el fuego. Esto no ayudará.","ข้าน่ะหัวร้อนอยู่แล้ว เจ้านี่ไม่ช่วยอะไรหรอก","我一直都有點縱火狂傾向。這沒什麼幫助。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_Keystone_BlackflameCovenant.ogg","",10000,50000
5300,"StrDex4b_Keystone_RitualCadence","Can't even pronounce that one.","Can't even pronounce that one.","Das kann ich noch nichtmal aussprechen.","読み方すらわからねえ。","이건 발음도 못 하겠는데.","Nem sei pronunciar isso aí.","Can't even pronounce that one.","Eso ni siquiera lo puedo pronunciar.","ข้าอ่านคำนั้นไม่ออกซะด้วยซ้ำ","連那個字都唸不出來。","Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Wild/Mercenary_Keystone_RitualCadence.ogg","",10000,50000
