"rownum","Id","Audio","[i32]_24","VolumePercentage","QuestFlag1","QuestFlag2","[i32]_76","[i32]_92"
246,"DannigEGOlroth2","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Dannig_Greeting/DannigEndgame_Farewell_03_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Dannig_Greeting/DannigEndgame_Farewell_03_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Dannig_Greeting/DannigEndgame_Farewell_03_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Dannig_Greeting/DannigEndgame_Farewell_04_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Dannig_Greeting/DannigEndgame_Farewell_04_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Dannig_Greeting/DannigEndgame_Farewell_04_03.ogg""]",[],100,[72],[],[],[]
247,"TujenFour1","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_05.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_06.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_07.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_08.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_09.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_10.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_11.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_12.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_13.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_14.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_15.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_16.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_17.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_18.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_19.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_20.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_21.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_22.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_23.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Greeting_Kingsmarch_24.ogg""]",[],100,[],[],[],[]
248,"TujenFour2","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Farewell_Kingsmarch_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Farewell_Kingsmarch_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Farewell_Kingsmarch_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Farewell_Kingsmarch_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Farewell_Kingsmarch_05.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Farewell_Kingsmarch_06.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Farewell_Kingsmarch_07.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Farewell_Kingsmarch_08.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Farewell_Kingsmarch_09.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Farewell_Kingsmarch_10.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Farewell_Kingsmarch_11.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Farewell_Kingsmarch_12.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Farewell_Kingsmarch_13.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Farewell_Kingsmarch_14.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Farewell_Kingsmarch_15.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Farewell_Kingsmarch_16.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Farewell_Kingsmarch_17.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Farewell_Kingsmarch_18.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Farewell_Kingsmarch_19.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen_Greeting/Tujen_Farewell_Kingsmarch_20.ogg""]",[],100,[],[],[],[]
249,"RogFour1","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Greeting_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Greeting_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Greeting_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Greeting_01_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Greeting_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Greeting_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Greeting_02_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Greeting_02_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Greeting_03_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Greeting_03_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Greeting_03_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Greeting_03_04.ogg""]",[],100,[],[],[],[]
250,"RogFour2","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Farewell_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Farewell_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Farewell_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Farewell_01_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Farewell_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Farewell_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Farewell_02_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Farewell_02_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Farewell_03_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Farewell_03_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Farewell_03_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog_Greeting/Rog_Farewell_03_04.ogg""]",[],100,[],[],[],[]
251,"Kanu1","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Greeting_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Greeting_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Greeting_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Greeting_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Greeting_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Greeting_02_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Greeting_03_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Greeting_03_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Greeting_03_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Greeting_04_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Greeting_04_02.ogg""]",[],100,[],[],[],[]
252,"Kanu2","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Farewell_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Farewell_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Farewell_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Farewell_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Farewell_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Farewell_02_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Farewell_03_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Farewell_03_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Farewell_03_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Farewell_04_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Farewell_04_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Farewell_04_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Farewell_05_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Farewell_05_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Farewell_04_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Kanu_Greeting/KanuA4_Farewell_05_03.ogg""]",[],100,[],[],[],[]
253,"Rhodri1","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_02_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_04_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_04_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_04_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_05_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_05_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_06_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_06_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_06_03.ogg""]",[],100,[],[],[],[]
254,"Rhodri2","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_01_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_02_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_03_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_03_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_04_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_04_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_04_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_04_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_05_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_05_02.ogg""]",[],100,[],[],[],[]
255,"RhodriBoat1","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_02_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_04_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_04_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_04_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_05_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_05_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_06_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_06_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Greeting_06_03.ogg""]",[],100,[],[],[],[]
256,"RhodriBoat2","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_01_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_02_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_03_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_03_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_04_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_04_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_04_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_04_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_05_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Rhodri_Greeting/RhodriA4_Farewell_05_02.ogg""]",[],100,[],[],[],[]
257,"Makoru1","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Greeting_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Greeting_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Greeting_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Greeting_01_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Greeting_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Greeting_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Greeting_02_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Greeting_02_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Greeting_03_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Greeting_03_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Greeting_03_03.ogg""]",[],100,[],[],[],[]
258,"Makoru2","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Farewell_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Farewell_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Farewell_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Farewell_01_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Farewell_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Farewell_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Farewell_02_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Farewell_02_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Farewell_03_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Farewell_03_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Farewell_03_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Farewell_03_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Farewell_04_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Farewell_04_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Farewell_04_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Makoru_Greeting/MakoruA4_Farewell_04_04.ogg""]",[],100,[],[],[],[]
259,"ElwynianGrumpy1","[""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Greeting_Gumpy_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Greeting_Gumpy_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Greeting_Gumpy_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Greeting_Gumpy_01_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Greeting_Gumpy_01_05.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Greeting_Gumpy_01_06.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Greeting_Gumpy_01_07.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Greeting_Gumpy_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Greeting_Gumpy_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Greeting_Gumpy_02_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Greeting_Gumpy_02_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Greeting_Gumpy_02_05.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Greeting_Gumpy_03_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Greeting_Gumpy_03_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Greeting_Gumpy_03_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Greeting_Gumpy_03_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Greeting_Gumpy_03_05.ogg""]",[],100,[],[],[],[]
260,"ElwynianGrumpy2","[""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Farewell_Grumpy_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Farewell_Grumpy_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Farewell_Grumpy_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Farewell_Grumpy_01_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Farewell_Grumpy_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Farewell_Grumpy_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Farewell_Grumpy_02_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Farewell_Grumpy_02_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Farewell_Grumpy_02_05.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Farewell_Grumpy_02_06.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Farewell_Grumpy_03_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Farewell_Grumpy_03_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Farewell_Grumpy_03_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act5/Elwynian_Greeting/Elwynian_Farewell_Grumpy_03_04.ogg""]",[],100,[],[],[],[]
