"rownum","Id","Name","GrantedEffect","SupportText","SupportText (French)","SupportText (German)","SupportText (Japanese)","SupportText (Korean)","SupportText (Portuguese)","SupportText (Russian)","SupportText (Spanish)","SupportText (Thai)","SupportText (Traditional Chinese)","SupportName","GemTags","Consumed_Mod","ItemColor","[rid]_84","AdditionalGrantedEffects","bool_116","bool_117","[i32]_118","i32_134","i32_138"
675,"DoubleBarrelSupportThree","",809,"Supports [Crossbow] [Ammunition] Skills, causing them to load an extra bolt at the cost of reload speed. Supported Skills will also automatically reload when they [HeavyStun|Heavy Stun] an enemy.","Modifie les aptitudes de [Ammunition|Munitions] d'[Crossbow|Arbalète], leur permettant de charger un carreau supplémentaire au détriment de la vitesse de rechargement. De plus, les aptitudes modifiées se rechargent automatiquement lorsqu'elles infligent un [HeavyStun|Étourdissement massif] à un ennemi.","Unterstützt [Crossbow|Armbrust]-[Ammunition|Munitions]fertigkeiten und bewirkt, dass diese einen zusätzlichen Bolzen auf Kosten der Nachladegeschwindigkeit laden. Unterstützte Fertigkeiten werden auch automatisch nachgeladen, wenn sie einen Gegner [HeavyStun|schwer betäuben].","[Crossbow|クロスボウ][Ammunition|弾薬]スキルをサポートし、リロードスピードと引き換えに追加のボルトを装填できるようにする。サポートされたスキルは敵を[HeavyStun|ヘビースタン]させた時に常にリロードを行うようになる。","[Crossbow|석궁] [Ammunition|탄약] [Skills|스킬]에 적용됩니다. 재장전 속도를 희생하여 추가 볼트를 장전합니다. 보조 대상 스킬이 적을 [HeavyStun|강력 기절]시키면 자동으로 재장전됩니다.","Reforça habilidades de [Ammunition|munição] de [Crossbow|besta], permitindo que carreguem uma seta adicional ao custo do tempo de recarga. As habilidades reforçadas também se recarregarão automaticamente quando [HeavyStun|atordoarem totalmente] um inimigo.","Усиливает умения [Ammunition|боезапаса] [Crossbow|самострелов]. Усиленные умения заряжают дополнительный болт ценой скорости перезарядки, а также автоматически перезаряжаются при [HeavyStun|сильном оглушении] ими врага.","Asiste habilidades de [Ammunition|munición] de [Crossbow|ballestas] para que carguen una saeta adicional a costa de la velocidad de recarga. Las habilidades asistidas también se recargarán automáticamente cuando [HeavyStun|aturdan totalmente] a un enemigo.","ใช้เสริมสกิล[Ammunition|กระสุน][Crossbow|หน้าไม้] เพื่อให้สกิลนี้บรรจุลูกศรได้เพิ่มเติม 1 ดอก แลกกับความเร็วในการรีโหลดที่ลดลง สกิลที่เสริมจะรีโหลดโดยอัตโนมัติเช่นกันเมื่อสร้างสถานะ [HeavyStun|สตันหนัก] ต่อศัตรู","輔助[Crossbow|十字弓][Ammunition|彈藥]技能，使其犧牲裝填速度來額外裝填一發弩箭。以被輔助的技能對敵人造成[HeavyStun|沉重暈眩]時，也會自動裝填。","","[16,50,5]","",3,[],[],"","",[],-1,-1
676,"CombatReloadSupport","",810,"Supports [Crossbow] [Ammunition] Skills, causing them to load multiple extra bolts and attack faster. Supported Skills cannot reload normally, instead loading bolts when you Dodge.","Modifie les aptitudes de [Ammunition|Munitions] d'[Crossbow|Arbalète], leur permettant de charger plusieurs carreaux supplémentaires et d'attaquer plus rapidement. Les Aptitudes modifiées ne peuvent pas recharger normalement, mais rechargent des carreaux lorsque vous effectuez une Roulade.","Unterstützt [Crossbow|Armbrust]-[Ammunition|Munitions]fertigkeiten und bewirkt, dass man extra Bolzen nachlädt und schneller angreift. Unterstützte Fertigkeiten können nicht normal nachgeladen werden, sondern laden Bolzen, wenn man die Ausweichrolle benutzt.","[Crossbow|クロスボウ][Ammunition|弾薬]スキルをサポートし、追加で複数のボルトを装填するようにし、アタックスピードを上げる。サポートされたスキルは通常の方法ではリロードできなくなり、代わりにドッジした時にリロードするようになる。","[Crossbow|석궁] [Ammunition|탄약] 스킬에 적용되어, 여러 개의 추가 볼트를 장전하고 더 빨리 공격하게 합니다. 보조 대상 스킬이 평소처럼 재장전하지 않고, 대신 플레이어가 회피할 때 재장전합니다.","Reforça habilidades de [Ammunition|munição] de [Crossbow|besta], permitindo que carreguem várias setas adicionais e ataquem mais rápido. Essas habilidades não recarregam normalmente; em vez disso, recarregam ao usar evasão.","Усиливает умения [Ammunition|боезапаса] [Crossbow|самострелов]. Усиленные умения заряжают несколько дополнительных болтов и атакуют быстрее, но не могут перезаряжаться как обычно, вместо этого заряжая болты при увороте кувырком.","Asiste habilidades de [Ammunition|munición] de [Crossbow|ballestas] para que carguen múltiples saetas adicionales y ataquen más rápido. Las habilidades asistidas no pueden recargarse de la forma habitual; en lugar de eso, cargan las saetas cuando esquivas.","ใช้เสริมสกิล[Ammunition|กระสุน][Crossbow|หน้าไม้] เพื่อให้สกิลนี้บรรจุลูกศรได้เพิ่มเติมหลายดอกและโจมตีเร็วขึ้น สกิลที่เสริมจะไม่สามารถรีโหลดได้ตามปกติ แต่จะรีโหลดลูกศรเมื่อคุณกลิ้งหลบแทน","輔助[Crossbow|十字弓][Ammunition|彈藥]技能，使其裝填多發額外弩箭。被輔助的技能無法正常重新裝填，而是在你躲避時裝填弩箭。","","[16,61,50,5]","",3,[],[],"","",[],-1,-1
677,"AutoReloadSupport","",811,"Supports [Crossbow] [Ammunition] Skills, causing them to automatically reload when they [HeavyStun|Heavy Stun] an enemy.","Modifie les aptitudes de [Ammunition|Munitions] d'[Crossbow|Arbalète], leur permettant de se recharger automatiquement lorsqu'elles infligent un [HeavyStun|Étourdissement massif] à un ennemi.","Unterstützt [Crossbow|Armbrust]-[Ammunition|Munitions]fertigkeiten und bewirkt, dass diese automatisch nachladen, wenn sie einen Gegner [HeavyStun|schwer betäuben].","[Crossbow|クロスボウ][Ammunition|弾薬]スキルをサポートし、敵を[HeavyStun|ヘビースタン]させた時に自動的にリロードするようにする。","[Crossbow|석궁] [Ammunition|탄약] 스킬에 적용됩니다. 스킬이 적을 [HeavyStun|강력 기절]시킬 때 자동으로 재장전됩니다.","Reforça habilidades de [Ammunition|munição] de [Crossbow|besta], permitindo que recarreguem automaticamente ao [HeavyStun|atordoar totalmente] um inimigo.","Усиливает умения [Ammunition|боезапаса] [Crossbow|самострелов]. Усиленные умения автоматически перезаряжаются при [HeavyStun|сильном оглушении] ими врага.","Asiste habilidades de [Ammunition|munición] de [Crossbow|ballesta] para que se recarguen automáticamente cuando [HeavyStun|aturdan totalmente] a un enemigo.","ใช้เสริมสกิล[Ammunition|กระสุน][Crossbow|หน้าไม้] เพื่อให้สกิลนี้รีโหลดโดยอัตโนมัติเมื่อสร้างสถานะ [HeavyStun|สตันหนัก] ต่อศัตรู","輔助[Crossbow|十字弓][Ammunition|彈藥]技能，使其[HeavyStun|沉重暈眩]一名敵人時自動裝填。","","[16,50,5]","",3,[],[],"","",[],-1,-1
678,"AmmoConservationSupport","",812,"Supports [Crossbow] [Ammunition] Skills, granting a chance to not consume a Bolt when firing.","Modifie les aptitudes de [Ammunition|Munitions] d'[Crossbow|Arbalète], leur octroyant une chance de ne pas consommer de Carreau au tirer.","Unterstützt [Crossbow|Armbrust]-[Ammunition|Munitions]fertigkeiten und gewährt eine Chance, beim Feuern keinen Bolzen zu verbrauchen.","[Crossbow|クロスボウ][Ammunition|弾薬]スキルをサポートし、発砲時に一定確率でボルトを消費しないようにする。","[Crossbow|석궁] [Ammunition|탄약] 스킬에 적용되어, 발사 시 일정 확률로 볼트를 소모하지 않게 해 줍니다.","Reforça habilidades de [Ammunition|munição] de [Crossbow|besta], concedendo uma chance de não gastar uma seta ao disparar.","Усиливает умения [Ammunition|боезапаса] [Crossbow|самострелов]. Усиленные умения даруют шанс не израсходовать болт при выстреле.","Asiste habilidades de [Ammunition|munición] de [Crossbow|ballesta] para otorgar una probabilidad de que no se consuma una saeta cuando disparas.","ใช้เสริมสกิล[Ammunition|กระสุน][Crossbow|หน้าไม้] เพื่อให้สกิลนี้มีโอกาสไม่กลืนกินลูกศรเมื่อยิงออกไป","輔助[Crossbow|十字弓][Ammunition|彈藥]技能，在射擊時有機率不消耗弩箭。","","[16,50,5]","",3,[],[],"","",[],-1,-1
679,"AmmoConservationSupportTwo","",813,"Supports [Crossbow] [Ammunition] Skills, granting a chance to not consume a Bolt when firing.","Modifie les aptitudes de [Ammunition|Munitions] d'[Crossbow|Arbalète], leur octroyant une chance de ne pas consommer de Carreau au tirer.","Unterstützt [Crossbow|Armbrust]-[Ammunition|Munitions]fertigkeiten und gewährt eine Chance, beim Feuern keinen Bolzen zu verbrauchen.","[Crossbow|クロスボウ][Ammunition|弾薬]スキルをサポートし、発砲時に一定確率でボルトを消費しないようにする。","[Crossbow|석궁] [Ammunition|탄약] 스킬에 적용되어, 발사 시 일정 확률로 볼트를 소모하지 않게 해 줍니다.","Reforça habilidades de [Ammunition|munição] de [Crossbow|besta], concedendo uma chance de não gastar uma seta ao disparar.","Усиливает умения [Ammunition|боезапаса] [Crossbow|самострелов]. Усиленные умения даруют шанс не израсходовать болт при выстреле.","Asiste habilidades de [Ammunition|munición] de [Crossbow|ballesta] para otorgar una probabilidad de que no se consuma una saeta cuando disparas.","ใช้เสริมสกิล[Ammunition|กระสุน][Crossbow|หน้าไม้] เพื่อให้สกิลนี้มีโอกาสไม่กลืนกินลูกศรเมื่อยิงออกไป","輔助[Crossbow|十字弓][Ammunition|彈藥]技能，在射擊時有機率不消耗弩箭。","","[16,50,5]","",3,[],[],"","",[],-1,-1
680,"AmmoConservationSupportThree","",814,"Supports [Crossbow] [Ammunition] Skills, granting a chance to not consume a Bolt when firing, at the cost of Reload speed.","Modifie les aptitudes de [Ammunition|Munitions] d'[Crossbow|Arbalète]. Les aptitudes modifiées ont une chance de ne pas consommer de Carreau au tirer, mais perdent en Vitesse de rechargement.","Unterstützt [Crossbow|Armbrust]-[Ammunition|Munitions]fertigkeiten und gewährt eine Chance, beim Feuern keinen Bolzen zu verbrauchen, was jedoch zu Lasten der Nachladegeschwindigkeit geht.","[Crossbow|クロスボウ][Ammunition|弾薬]スキルをサポートし、リロードスピードを犠牲にして発砲時に一定確率でボルトを消費しないようにする。","[Crossbow|석궁] [Ammunition|탄약] 스킬에 적용되어, 재장전 속도를 희생하고 발사 시 일정 확률로 볼트를 소모하지 않게 해 줍니다.","Reforça habilidades de [Ammunition|munição] de [Crossbow|besta], sacrificando tempo de recarga para conceder uma chance de não gastar uma seta ao disparar.","Усиливает умения [Ammunition|боезапаса] [Crossbow|самострелов]. Усиленные умения даруют шанс не израсходовать болт при выстреле ценой скорости перезарядки.","Asiste habilidades de [Ammunition|munición] de [Crossbow|ballesta] para otorgar una probabilidad de que no se consuma una saeta cuando disparas, a costa de la velocidad de recarga.","ใช้เสริมสกิล[Ammunition|กระสุน][Crossbow|หน้าไม้] เพื่อให้สกิลนี้มีโอกาสไม่กลืนกินลูกศรเมื่อยิงออกไป แลกกับความเร็วในการรีโหลด","輔助[Crossbow|十字弓][Ammunition|彈藥]技能，以裝填速度為代價，在射擊時有機率不消耗弩箭。","","[16,50,5]","",3,[],[],"","",[],-1,-1
681,"AmmoConservationSupportFour","",815,"Supports [Crossbow] Skills, causing them to load a bolt into all [Crossbow] [Ammunition] on kill.","Modifie les aptitudes d'[Crossbow|Arbalète], leur permettant de recharger un carreau dans toutes les [Ammunition|Munitions] d'[Crossbow|Arbalète] en tuant.","Unterstützt [Crossbow|Armbrust]fertigkeiten und bewirkt, dass beim Töten ein Bolzen in alle [Crossbow|Armbrust]-[Munitions]fertigkeiten geladen wird.","[Crossbow|クロスボウ]スキルをサポートし、キル時に全ての[Crossbow|クロスボウ]の[Ammunition|弾薬]にボルトを1本装填するようにする。","[Crossbow|석궁] 스킬에 적용되어, 적 처치 시 모든 [Crossbow|석궁] [Ammunition|탄약]에 볼트가 1개 장전되게 합니다.","Reforça habilidades de [Crossbow|besta], fazendo com que recarreguem todos os tipos de [Ammunition|munição] de [Crossbow|besta] ao matar.","Усиливает умения [Crossbow|самострелов]. Усиленные умения заряжают по болту в весь [Ammunition|боезапас] [Crossbow|самострелов] при убийстве.","Asiste habilidades de [Crossbow|ballesta] para que carguen una saeta en todas las [Ammunition|municiones] de [Crossbow|ballesta] al matar.","ใช้เสริมสกิล[Ammunition|กระสุน][Crossbow|หน้าไม้] เพื่อให้สกิลนี้บรรจุลูกศร 1 ดอกเข้าไปใน[Ammunition|กระสุน][Crossbow|หน้าไม้]ทั้งหมดได้เมื่อสังหารด้วยสกิลที่เสริม","輔助[Crossbow|十字弓]技能，在被輔助的技能造成擊殺時，裝填一發弩箭至所有[Crossbow|十字弓][Ammunition|彈藥]技能。","","[16,61,50,5]","",3,[],[],"","",[],-1,-1
682,"NimbleReloadSupport","",816,"Supports [Crossbow] [Ammunition] Skills, causing them to Reload bolts significantly faster.","Modifie les aptitudes de [Ammunition|Munitions] d'[Crossbow|Arbalète], leur permettant de Recharger les carreaux bien plus rapidement.","Unterstützt [Crossbow|Armbrust]-[Ammunition|Munitions]fertigkeiten und bewirkt, dass ihre Bolzen bedeutend schneller nachgeladen werden.","[Crossbow|クロスボウ][Ammunition|弾薬]スキルをサポートし、ボルトのリロードを大幅に素早くできるようにする。","[Crossbow|석궁] [Ammunition|탄약] 스킬에 적용되어, 볼트 재장전 속도를 훨씬 빠르게 해 줍니다.","Reforça habilidades de [Ammunition|munição] de [Crossbow|besta], permitindo que recarreguem setas significativamente mais rápido.","Усиливает умения [Ammunition|боезапаса] [Crossbow|самострелов]. Усиленные умения перезаряжают болты значительно быстрее.","Asiste habilidades de [Ammunition|munición] de [Crossbow|ballesta] para que recarguen sus saetas bastante más rápido.","ใช้เสริมสกิล[Ammunition|กระสุน][Crossbow|หน้าไม้] เพื่อให้สกิลนี้รีโหลดลูกศรได้เร็วขึ้นเป็นอย่างยิ่ง","輔助[Crossbow|十字弓][Ammunition|彈藥]技能，使裝填弩箭的速度大幅加快。","","[16,50,5]","",3,[],[],"","",[],-1,-1
683,"FreshClipSupport","",817,"Supports [Crossbow] Skills, granting them more damage for each bolt reloaded by that Skill in the last 6 seconds.","Modifie les aptitudes d'[Crossbow|Arbalète], leur octroyant davantage de dégâts pour chaque carreau rechargé par cette aptitude au cours des 6 dernières secondes.","Unterstützt [Crossbow|Armbrust]-Fertigkeiten und gewährt diesen mehr Schaden für jeden Bolzen, der in den letzten 6 Sekunden nachgeladen wurde.","[Crossbow|クロスボウ]スキルをサポートし、過去6秒間にそのスキルによってリロードされたボルトごとにダメージを上昇させる。","[Crossbow|석궁] 스킬에 적용되어, 마지막 6초 동안 그 스킬로 재장전한 볼트의 개수에 따라 피해를 증가시킵니다.","Reforça habilidades de [Crossbow|besta], aumentando o dano conforme a quantidade de setas recarregadas pela habilidade nos últimos 6 segundos.","Усиливает [Crossbow|самострелов]. Усиленные умения наносят больше урона за каждый болт, перезаряженный этим умением за последние 6 секунд.","Asiste habilidades de [Crossbow|ballesta] para otorgarles más daño por cada saeta recargada por esa habilidad en los últimos 6 segundos.","ใช้เสริมสกิล[Crossbow|หน้าไม้] เพื่อให้สกิลนี้มีความเสียหายเพิ่มขึ้น อีก\r\nตามจำนวนลูกศรที่รีโหลดด้วยสกิลนี้ใน 6 วินาทีที่ผ่านมา","輔助[Crossbow|十字弓]技能，使過去 6 秒內由該技能裝填的每支弩箭造成更多傷害。","",[16],"",3,[],[],"","",[],-1,-1
684,"FreshClipSupportTwo","",818,"Supports [Crossbow] Skills, granting them more damage for each bolt reloaded by that Skill in the last 8 seconds.","Modifie les aptitudes d'[Crossbow|Arbalète], leur octroyant davantage de dégâts pour chaque carreau rechargé par cette aptitude au cours des 8 dernières secondes.","Unterstützt [Crossbow|Armbrust]-Fertigkeiten und gewährt diesen mehr Schaden für jeden Bolzen, der in den letzten 8 Sekunden nachgeladen wurde.","[Crossbow|クロスボウ]スキルをサポートし、過去8秒間にそのスキルによってリロードされたボルトごとにダメージを上昇させる。","[Crossbow|석궁] 스킬에 적용되어, 지난 8초 동안 그 스킬로 재장전한 볼트의 개수에 따라 피해를 증가시킵니다.","Reforça habilidades de [Crossbow|besta], aumentando o dano conforme a quantidade de setas recarregadas pela habilidade nos últimos 8 segundos.","Усиливает [Crossbow|самострелов]. Усиленные умения наносят больше урона за каждый болт, перезаряженный этим умением за последние 8 секунд.","Asiste habilidades de [Crossbow|ballesta] para otorgarles más daño por cada saeta recargada por esa habilidad en los últimos 8 segundos.","ใช้เสริมสกิล[Crossbow|หน้าไม้] เพื่อให้สกิลนี้มีความเสียหายเพิ่มขึ้น อีก\r\nตามจำนวนลูกศรที่รีโหลดด้วยสกิลนี้ใน 6 วินาทีที่ผ่านมา","輔助[Crossbow|十字弓]技能，使過去 8 秒內由該技能裝填的每支弩箭造成更多傷害。","",[16],"",3,[],[],"","",[],-1,-1
685,"SacrificialLambSupport","",819,"Supports Skills which create [Minion|Minions], causing your Skills which can target [Minion|Minions] to prioritise targeting [Minion|Minions] from the Supported Skill before your other [Minion|Minions] where possible.","Modifie les aptitudes qui génèrent des [Minion|Créatures], permettant à vos aptitudes capables de cibler des [Minion|Créatures] de cibler en priorité les [Minion|Créatures] générées par l'Aptitude modifiée avant vos autres [Minion|Créatures] lorsque cela est possible.","Unterstützt Fertigkeiten, die [Minion|Kreaturen] erzeugen, und bewirkt, dass Eure Fertigkeiten, die auf [Minion|Kreaturen] zielen können, nach Möglichkeit vorrangig auf [Minion|Kreaturen] der unterstützten Fertigkeit zielen.","[Minion|ミニオン]を生成するスキルをサポートし、プレイヤーの[Minion|ミニオン]を対象とするスキルが、可能な限り他の[Minion|ミニオン]よりもサポートされたスキルによる[Minion|ミニオン]を優先して対象にするようにする。","[Minion|소환수] 생성 스킬에 적용됩니다. 가능한 경우, [Minion|소환수]를 대상으로 지정하는 스킬들이 보조 대상 스킬로 생성된 [Minion|소환수]를 다른 [Minion|소환수]보다 우선적으로 대상으로 지정합니다.","Reforça habilidades que criam [Minion|lacaios], fazendo com que suas habilidades que selecionam [Minion|lacaios] priorizem os criados pela habilidade reforçada antes de seus outros [Minion|lacaios], sempre que possível.","Усиливает умения, создающие [Minion|приспешников]. Ваши умения, способные выбирать целью [Minion|приспешников], отдают приоритет [Minion|приспешникам] от усиленного умения вместо других ваших [Minion|приспешников], если возможно.","Asiste habilidades que crean [Minion|esbirros] para que tus habilidades que toman como objetivo a los [Minion|esbirros] prioricen a los [Minion|esbirros] de la habilidad asistida antes que a tus otros [Minion|esbirros] siempre que sea posible.","ใช้เสริมสกิลที่สร้าง[Minion|มิเนียน] เพื่อให้สกิลของคุณที่เลือก[Minion|มิเนียน]เป็นเป้าหมายได้ทำการเลือก[Minion|มิเนียน]จากสกิลที่เสริมให้เป็นเป้าหมายก่อน[Minion|มิเนียน]ตัวอื่น","輔助會創造[Minion|召喚物]的技能，讓能夠以[Minion|召喚物]為目標的技能在情況允許時優先以被輔助的技能的[Minion|召喚物]而不是其他[Minion|召喚物]為目標。","","[16,8]","",3,[],[],"","",[],-1,-1
686,"SacrificialLambSupportTwo","",820,"Supports Skills which create [Minion|Minions], causing your Skills which can target [Minion|Minions] to prioritise targeting [Minion|Minions] from the Supported Skill before your other [Minion|Minions] where possible, as well as causing them to always be considered Detonatable.","Modifie les aptitudes qui génèrent des [Minion|Créatures], permettant à vos aptitudes capables de cibler des [Minion|Créatures] de cibler en priorité les [Minion|Créatures] générées par l'Aptitude modifiée avant vos autres [Minion|Créatures] lorsque cela est possible, en plus de toujours les considérér comme Détonables.","Unterstützt Fertigkeiten, die [Minion|Kreaturen] erzeugen, und bewirkt, dass Eure Fertigkeiten, die auf [Minion|Kreaturen] zielen können, nach Möglichkeit vorrangig auf [Minion|Kreaturen] der unterstützten Fertigkeit zielen und diese immer als detonierbar betrachten.","[Minion|ミニオン]を生成するスキルをサポートし、プレイヤーの[Minion|ミニオン]を対象とするスキルが、可能な限り他の[Minion|ミニオン]よりもサポートされたスキルによる[Minion|ミニオン]を優先して対象にするようにする。またそのミニオンが常に爆破可能と見なされるようにする。","[Minion|소환수] 생성 스킬에 적용됩니다. 가능한 경우, [Minion|소환수]를 대상으로 지정하는 스킬들이 보조 대상 스킬로 생성된 [Minion|소환수]를 다른 [Minion|소환수]보다 우선적으로 대상으로 지정하고, 항상 기폭 가능한 것으로 간주되게 합니다.","Reforça habilidades que criam [Minion|lacaios], fazendo com que suas habilidades que selecionam [Minion|lacaios] priorizem os criados pela habilidade reforçada antes de seus outros [Minion|lacaios], sempre que possível, que também passam a ser sempre detonáveis.","Усиливает умения, создающие [Minion|приспешников]. Ваши умения, способные выбирать целью [Minion|приспешников], отдают приоритет [Minion|приспешникам] от усиленного умения вместо других ваших [Minion|приспешников], если возможно. Кроме того, эти приспешники всегда считаются взрываемыми.","Asiste habilidades que crean [Minion|esbirros] para que tus habilidades que toman como objetivo a los [Minion|esbirros] prioricen a los [Minion|esbirros] de la habilidad asistida antes que a tus otros [Minion|esbirros] siempre que sea posible y también hagan que siempre se consideren detonables.","ใช้เสริมสกิลที่สร้าง[Minion|มิเนียน] เพื่อให้สกิลของคุณที่เลือก[Minion|มิเนียน]เป็นเป้าหมายได้ทำการเลือก[Minion|มิเนียน]จากสกิลที่เสริมให้เป็นเป้าหมายก่อน[Minion|มิเนียน]ตัวอื่น และทำให้พวกมันนับว่าถูกจุดระเบิดได้เสมอ","輔助能製造[Minion|召喚物]的技能，讓能夠以[Minion|召喚物]為目標的技能在情況允許時優先以被輔助的技能的[Minion|召喚物]而不是其他[Minion|召喚物]為目標，並使其總是視為可引爆。","","[16,8]","",3,[],[],"","",[],-1,-1
687,"OverwhelmingPresence","",393,"","","","","","","","","","","","[9,24,48,49,12]","",3,[],[],1,"",[],-1,-1
688,"AlchemistsBoon","",394,"","","","","","","","","","","","[10,24,48,49,12]","",3,[],[],1,"",[],-1,-1
689,"ReapersInvocation","",395,"","","","","","","","","","","","[10,11,24,48,49,25,63,41]","",3,[],[396],1,1,[],-1,-1
690,"Sacrifice","",397,"","","","","","","","","","","","[48,11,24,8,49]","",3,[],[],1,"",[],-1,-1
691,"Archmage","",398,"","","","","","","","","","","","[11,24,48,49,2]","",3,[],[],1,"",[],-1,-1
692,"MagneticSalvo","",400,"","","","","","","","","","","","[10,24,13,14,5,2]","",3,[],[],"","",[],-1,-1
693,"FreezingSalvo","",401,"","","","","","","","","","","","[10,24,13,14,5,1,60]","",3,[],[],"","",[],-1,-1
694,"TriggeredGasCloud","",402,"","","","","","","","","","","","[24,14,25,15]","",3,[],[],"","",[],-1,-1
695,"TriggeredDetonation","",403,"","","","","","","","","","","","[24,14,25]","",3,[],[],"","",[],-1,-1
696,"Berserk","",404,"","","","","","","","","","","","[9,24,48,49]","",3,[],[],1,"",[],-1,-1
697,"HeraldOfPlague","",405,"","","","","","","","","","","","[10,24,48,49,3,29]","",3,[],[],1,"",[],-1,-1
698,"HeraldOfBlood","",406,"","","","","","","","","","","","[48,9,10,24,13,49,14,30,29,52]","",3,[],[],1,"",[],-1,-1
699,"WitheringPresence","",407,"","","","","","","","","","","","[11,24,48,49,12,3,15]","",3,[],[],1,"",[],-1,-1
700,"RavenousSwarm","",408,"","","","","","","","","","","","[48,11,24,8,49,30,3,15]","",3,[],[],1,"",[],-1,-1
701,"MirageArcher","",412,"","","","","","","","","","","","[48,10,24,49,25,15,41]","",3,[],"[413,414]",1,1,"[1,2]",-1,-1
702,"CombatFrenzy","",415,"","","","","","","","","","","","[10,24,48,49]","",3,[],[],1,"",[],-1,-1
703,"CastOnBlock","",416,"","","","","","","","","","","","[48,24,49,25,41]","",3,[],[418],1,1,[],-1,-1
704,"CastCurseOnBlock","",417,"","","","","","","","","","","","[48,10,11,24,49,25,41]","",3,[],[419],1,1,[],-1,-1
705,"GatheringStorm","",420,"","","","","","","","","","","","[10,11,24,13,14,7,2,15,28,31]","",3,[],[],"","",[],-1,-1
706,"IronWillSupport","",821,"[DNT-UNUSED] Modifiers to Melee damage also apply to Spell damage for supported skill","[DNT-UNUSED] Modifiers to Melee damage also apply to Spell damage for supported skill","[DNT-UNUSED] Modifiers to Melee damage also apply to Spell damage for supported skill","[DNT-UNUSED] Modifiers to Melee damage also apply to Spell damage for supported skill","[DNT-UNUSED] Modifiers to Melee damage also apply to Spell damage for supported skill","WIP Modificadores de dano corpo a corpo também se aplicam ao dano mágico de habilidades reforçadas","[DNT-UNUSED] Modifiers to Melee damage also apply to Spell damage for supported skill","[DNT-UNUSED] Modifiers to Melee damage also apply to Spell damage for supported skill","DNT","被輔助的技能同時使影響近戰傷害的詞綴套用到法術傷害","","[16,4,7]","",3,[],[],"","",[],-1,-1
707,"IronGripSupport","",822,"[DNT-UNUSED] Modifiers to Melee damage also apply to Projectile damage for supported skill","[DNT-UNUSED] Modifiers to Melee damage also apply to Projectile damage for supported skill","[DNT-UNUSED] Modifiers to Melee damage also apply to Projectile damage for supported skill","[DNT-UNUSED] Modifiers to Melee damage also apply to Projectile damage for supported skill","[DNT-UNUSED] Modifiers to Melee damage also apply to Projectile damage for supported skill","WIP Modificadores de dano corpo a corpo também se aplicam ao dano de projétil de habilidades reforçadas","[DNT-UNUSED] Modifiers to Melee damage also apply to Projectile damage for supported skill","[DNT-UNUSED] Modifiers to Melee damage also apply to Projectile damage for supported skill","DNT","被輔助的技能同時使影響近戰傷害的詞綴套用到投射物傷害","","[16,13,7,5]","",3,[],[],"","",[],-1,-1
708,"BranchingFissuresSupport","",823,"Supports Skills which create Fissures in the ground, causing them to create additional secondary Fissures which branch off from the primary fissure, with lowered area of effect and Damage.","Modifie les Aptitudes qui créent des Fissures dans le sol, leur permettant de créer des Fissures secondaires supplémentaires qui se ramifient depuis la fissure principale, avec une zone d'effet et des Dégâts réduits.","Unterstützt Fertigkeiten, die Spalten im Boden erzeugen und bewirkt, dass sie zusätzliche sekundäre Spalten erzeugen, die sich von der primären Spalte verzweigen, mit verringertem Wirkungsbereich und Schaden.","地面に亀裂を生成するスキルをサポートし、二次的亀裂を追加で生成するようにする。二次的亀裂はメインの亀裂から枝分かれし効果範囲とダメージが下がる。","지면에 균열을 만드는 스킬에 적용되어, 부가 균열을 추가로 생성하게 합니다. 부가 균열은 줄어든 효과 범위와 피해로 주 균열에서 갈라져 나옵니다.","Reforça habilidades que criam fendas no chão, fazendo com que criem fendas secundárias que se ramificam da fenda principal e possuem área de efeito e dano reduzidos.","Усиливает умения, создающие расселины в земле. Усиленные умения создают дополнительные второстепенные расселины, которые ответвляются от основной, со сниженной областью действия и уроном.","Asiste habilidades que crean fisuras en el suelo para que creen fisuras secundarias adicionales que se ramifican de la fisura principal, con área de efecto y daño disminuidos.","ใช้เสริมสกิลที่สร้างรอยแยกไว้บนพื้น เพื่อให้สกิลนี้สร้างรอยแยกรองเพิ่มเติมที่แยกออกมาจากรอยแยกหลัก โดยรอยแยกรองจะมีพื้นที่ส่งผลและความเสียหายต่ำลง","輔助在地面產生裂縫的[Melee|近戰][Attack|攻擊]，使其產生額外的第二段裂縫，自主要的裂縫發散，且具有較低的效果範圍和傷害。 ","",[16],"",3,[],[],"","",[],-1,-1
