"rownum","Id","HASH16","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)"
1125,"CallToTheFirstOnes",4150,"The Ezomyte, desperate for aid, cried out to the gods.","Les Ézomytes, qui recherchaient désespérément de l'aide,\r\nen appelèrent aux dieux.","Verzweifelt und hilflos riefen die Ezomyten ihre Götter um Hilfe.","エゾマイト達は必死に助けを求め、神々に呼びかけた。","에조미어인은 신들에게 제발 도와 달라고 울부짖었다.","Os Ezomitas, desesperados por ajuda, clamaram aos deuses.","Отчаявшись найти помощь, эзомит возопил к богам.","El Ezomita, desesperado por ayuda, suplicó a los dioses.","ชาว​เอโซไมต์ต้องการ​ความ​ช่วย​เหลือ​เป็น​อย่าง​มาก จึง​เรียก​ร้อง​หา​เหล่า​ทวยเทพ","心急的艾茲麥人，呼喚著神祇的救贖。"
1126,"TheValleyOfSteelBoxes",46817,"\""The most valuable treasures should be hidden in plain sight.\"" \r\n- Ina, Keeper of Goods","« Les trésors les plus inestimables devraient être cachés en pleine lumière. »\r\n– Ina, Gardienne de biens","\""Die wertvollsten aller Schätze sollten dort versteckt werden, wo ein jeder sie sehen kann.\""\r\n– Ina, Wächter der Güter","「最も貴重な宝は丸見えの場所に隠しておくべきです」\r\nー品々の番人イナ","\""가장 귀한 보물은 뻔히 뵈는 곳에 숨겨져 있는 법.\""\r\n-재화의 수호자 아이나","\""O tesouro mais valioso deve ser escondido em plena vista.\""\r\n- Ina, Vigia de Mercadorias","«Ценнейшие из вещиц лучше прятать на виду»\r\n- келарь Ина","\""Los tesoros más valiosos deben ser escondidos a plena vista\"".\r\n-Ina, Guardiana de Bienes","“สมบัติ​ที่​มี​ค่าที่​สุด​ควร​ถูก​ซ่อน​อยู่​ใน​ที่​ที่​มอง​เห็น​ได้​ง่าย” \r\n- อีนา ผู้ดูแล​สินค้า","\""視若無睹的地點，暱藏寶藏的最佳選擇。\""\r\n- 寶物管理員殷娜"
1127,"UniqueChest11",4270,"TBC","TBC","TBC"," ","TBC","TBC","TBC","TBC","TBC","TBC"
1128,"UniqueBootsDex11",29123,"The higher you soar, the further you must fall. ","Plus votre essor est grand, plus rude sera la chute.","Je höher Ihr Euch erhebt, umso tiefer werdet Ihr fallen.","高く飛ぶほど、落下は長い。","높이 오를수록 추락은 깊어진다.","Quanto mais alto você voar, mais você vai cair.","Чем выше взлетаешь, тем дольше падать.","Cuanto más te elevas, más debes caer.","ยิ่ง​เจ้า​ทะยาน​สูง เจ้า​ยิ่ง​ตก​แรง","飛的越高，墜的越重。"
1129,"UniqueBodyStr8",5538,"The pirates of Pondium know that full pockets have a tendency to sink.","Les pirates de Pondium savent que\r\nles poches remplies ont tendance à couler.","Die Piraten von Pondium wissen um die Sinkbarkeit voller Taschen.","ポンディウムの海賊達は大金を持ち歩いていると沈みやすいことを知っている。","폰디움의 해적은 두둑한 주머니일수록 잘 가라앉는다는 것을 안다.","Os piratas de Pondium sabem que bolsos cheios têm uma tendência de afundarem.","Пираты Пондия знают, что набитые карманы тянут тебя на дно.","Los piratas de Pondium saben que los bolsillos llenos tienen tendencia a hundirse.","โจรสลัด​แห่ง​พอนเดียม​รู้​ดี​ว่า​สมบัติ​เต็ม​กระเป๋า​ย่อม​มี​วันจม​ได้​เสมอ","波地安的海盜們秉持著相同的理念，\r\n滿載的口袋，更容易下沉。"
1130,"UniqueAmulet36",40851,"Friendship worth its weight in gold,\r\na treasure every day.\r\nI thought together we'd grow old,\r\nuntil fate pulled you away.","Une amitié qui vaut son pesant en or,\r\nun trésor pour l'éternité.\r\nJe nous voyais vieillir ensemble, mais le sort\r\na décidé de t'emporter.","Der Wert der Freundschaft in Gold gemessen,\r\nein Schatz an jedem Tage, gewiss unvergessen.\r\nIch dachte, gemeinsam werden wir alt,\r\ndoch das Schicksal war so kalt.","値千金の友情、\r\n毎日の宝物。\r\n共に老いると思ったが、\r\n運命が君を連れ去った。","금옥 같은 우정은\r\n나날의 보물이었다.\r\n나는 그대와 함께 나이 들어갈 것이라 생각했으나\r\n운명이 그대를 멀리 데려갔다.","A amizade que mais do que ouro valia\r\num tesouro a cada dia.\r\nPensei que juntos seguiríamos mundo afora\r\naté que o destino te levou embora.","Дружба стоит полной меры золота,\r\nто сокровище на каждый божий день.\r\nМы бы вместе проводили молодость,\r\nкабы не судьбины злая тень.","La amistad vale su peso en oro,\r\nun tesoro por cada día.\r\nPensé que juntos nos haríamos viejos,\r\nhasta que el destino te llevó.","มิตรภาพ​หนักแน่น​ดุจ​ทอง\r\nเป็น​สมบัติ​ของ​ชีวิต\r\nข้า​คิด​ว่า​เรา​จะ​แก่​ชรา​ไป​ด้วย​กัน\r\nจน​ถึง​วัน​ที่​โชคชะตา​พราก​เจ้า​ไป","友情似金，\r\n珍藏每日。\r\n欲白頭偕老，\r\n嘆命運無情。"
1131,"UniqueBelt23",17754,"You were always there, by my side,\r\nwhether we sat or played.\r\nOur friendship was a joyful ride,\r\nI wish you could have stayed.","En tout temps tu étais là à mes côtés,\r\nPour le repos comme pour le jeu.\r\nNotre amitié fut des plus gaies,\r\nComme j'aurais aimé que tu restes encore un peu.","Du warst immer da an meiner Seite, ohne Frage.\r\nEgal, wie wir uns die Zeit vertrieben.\r\nUnsere Freundschaft, Freude bringende Tage.\r\nIch wünscht', du wärest geblieben.","君はいつも僕と共にいた\r\n座った時も、遊ぶ時も。\r\n僕らの友情は楽しい旅で、\r\nずっと一緒にいたかった。","앉아 있을 때나 뛰어놀 때나,\r\n그대는 항상 내 곁에 있었다.\r\n우리의 우정은 신나는 여행길이었지.\r\n그대가 여전히 내 곁에 있었더라면 얼마나 좋을까.","Você sempre esteve lá, ao meu lado,\r\nseja quando sentávamos ou brincávamos.\r\nNossa amizade foi uma jornada alegre,\r\nEu queria que você pudesse ter ficado.","Играли иль просто сидели -\r\nты вечно меня держался.\r\nУ дружбы был звон веселья…\r\nЭх, если бы ты остался.","Siempre estuviste ahí, a mi lado,\r\nmientras estábamos sentados o jugando.\r\nNuestra amistad fue un viaje divertido,\r\ndesearía que te hubieses quedado.","เจ้า​เคย​อยู่​เคียง​ข้าง​ข้า​มา​ตลอด\r\nยาม​เรา​นั่ง​ยาม​เรา​เล่น​เสมอ​มา\r\nมิตรภาพ​เรา​ช่าง​สุข​สำราญ\r\nเสียดาย​ที่​เจ้า​ไม่​ได้​อยู่​ตรง​นี้​ต่อ​ไป","無論玩耍、發愣，\r\n你一直都在我身旁。\r\n友情多麼美好，\r\n多麼希望你能留下。"
1132,"UniqueTwoHandMace12",7275,"The sea strikes the rock relentlessly.\r\nWhether in one day or in ten thousand years,\r\neventually the rock will crumble,\r\nand the Brine King's domain will grow.","La mer heurte le rocher inexorablement.\r\nQue cela demande un jour ou dix mille ans,\r\nle rocher finira par céder\r\net le domaine du Roi des Embruns s'étendra.","Die See prallt unermüdlich auf das Gestein.\r\nOb an einem Tag oder in zehntausend Jahren,\r\nirgendwann gibt das Gestein nach\r\nund das Reich des Gischtkönigs wächst einmal mehr.\r\n","海は絶え間なく岩を打ち\r\n一日後か、一万年後か、\r\nやがて岩は崩れ去り、\r\n海水の王の領域は広がる。","바다가 바위를 매섭게 때린다.\r\n하루가 걸리든 천 년이 걸리든\r\n결국 바위는 부서지고\r\n염수왕이 거느리는 영토는 더욱 넓어지리.","O mar golpeia a pedra implacavelmente.\r\nSeja em um dia ou em dez mil anos,\r\neventualmente a pedra desmorona,\r\ne o reino do Rei da Salmoura crescerá","Море без устали бьется о скалу.\r\nЧерез день или десять тысяч лет\r\nкамень все равно обратится в пыль,\r\nприумножив вотчину Морского Царя.","El mar golpea a la roca de forma incesante.\r\nPuede que pase un día o diez mi años,\r\npero eventualmente la roca se derrumbará,\r\ny el dominio del Rey del Mar aumentará.","คลื่น​กระทบ​หิน​ริม​ฝั่ง​ตลอด​เวลา\r\nไม่​ว่า​จะ​หนึ่ง​วัน​หรือ​หมื่น​ปี\r\nแต่​สัก​วัน​หิน​ก็​จะ​สลาย​ไป\r\nแล้ว​แดน​ของ​ราชัน​น้ำเค็ม​ก็​จะ​ขยายตัว","大海無情的拍打著岩涯，\r\n哪怕一日萬年，石子終究會碎裂，\r\n而海王的領域也將持續擴張。"
1133,"UniqueJewel91",4810,"Malachai ran roughshod over every ethical boundary in pursuit of creating the ideal gemling.\r\nFor him, there was no doubt that the end would justify the means.","Malachai a piétiné toutes les barrières éthiques qui se trouvaient sur son chemin afin de pouvoir créer le Serti idéal.\r\nPour lui, le fait que la fin justifie les moyens ne faisait aucun doute.","Malachai durchbrach rücksichtslos jede ethnische Grenze bei seinem Streben, den perfekten Gemmling zu schöpfen.\r\nFür ihn gab es nie einen Zweifel, dass das Ergebnis die Mittel heiligte.","マラカイは理想のジェムリングの想像を追求する中で全ての倫理的な境界線を土足で踏み越えた。\r\n彼は結果が手段を正当化することを疑っていなかった。","말라카이는 이상적인 마석병을 만들겠다는 일념으로 모든 윤리적 경계를 가차없이 넘어섰다.\r\n그는 목적이 수단을 정당화한다고 믿어 의심치 않았다.","Malachai passou por cima de cada limite ético em busca da criação da gemante perfeita.\r\nPara ele, não havia dúvidas de que o fim justificaria os meios.","В попытках создать идеального каменита Малахай грубо попрал все нормы морали.\r\nОн не сомневался, что результат оправдывает любые средства.","Malachai sobrepasó todos los límites éticos en una búsqueda desesperada de la creación de un gemita ideal.\r\nPara él, sin duda el fin justificaba los medios.","มาลาไค​ทำลาย​ขอบเขต​ทาง​จริยธรรม​ทุก​ประการ​เพื่อ​สร้าง​มณีชน​ใน​อุดมคติ\r\nสำหรับ​เขา​แล้ว ผลลัพธ์​ที่​ตามมา​ย่อม​ทำให้​การ​กระทำ​นั้น​ชอบ​ธรรม","為了獲得完美的寶石實驗品，\r\n瑪拉凱近乎打破了所有道德的約束。\r\n對他而言，結果將會合理化這一切。"
1134,"UniqueJewel92",29832,"After years of subterfuge, sabotage, and sacrifice,\r\nSarn had become a powder keg just waiting to explode.\r\nFinally, Victario lit the match.","Après des années de subterfuges, de sabotages et de sacrifices,\r\nSarn s'était transformée en un baril de poudre sur le point d'exploser.\r\nEt, finalement, c'est Victario qui alluma la mèche.","Nach Jahren der Ausflüchte, Sabotage und Opfer wurde aus Sarn\r\nein Pulverfass, das nur auf den Moment der Entzündung wartete.\r\nAm Ende war es Victario, dessen Streichholz alles entflammte.","長年の暗躍、工作、そして犠牲の後に、\r\nサーンは爆発を待つだけの火薬樽となっていた。\r\nそしてヴィクタリオがマッチに火をつけた。","기만, 훼방, 희생의 세월이 흐르고 흘러\r\n사안은 폭발 직전의 화약고가 되었고,\r\n마침내 빅타리오가 성냥을 그었다.","Depois de anos de subterfúgio, sabotagem e sacrifício,\r\nSarn se tornou um barril de pólvora prestes a explodir.\r\nFinalmente, Victario ascendeu o fósforo.","Народ Сарна уже походил на бочонок с взрывчатым порошком.\r\nВиктарио оставалось только поднести факел.","Después de años de picaresca, sabotajes y sacrificios,\r\nSarn se había convertido en un barril de pólvora a la espera de explotar.\r\nFinalmente, Victario encendió la mecha.","หลัง​จาก​ที่​ออก​อุบาย บ่อน​ทำลาย และ​สังเวย​มาหลายต่อหลายปี\r\nซาร์น​ก็​กลาย​เป็น​ดินปืน​ที่​รอ​การ​ปะทุ\r\nท้าย​ที่สุด วิคทาริโอ​จุด​ไม้​ขีด​ไฟ","歷經長年的詭計、破壞、奉獻，\r\n薩恩城的民眾有如即將引爆的火藥桶。\r\n維多里奧僅是點燃了手上火柴。"
1135,"UniqueJewel93",62609,"Even as the tide turned, and victory swiftly became impossible,\r\nthe legionnaires of Lioneye's Watch stood their ground and fought on,\r\nevery last man dying a brutal, but honourable death.","Même lorsque le vent tourna et que la victoire devint impossible,\r\nles légionnaires du Guet d'Œil de Lion n'abandonnèrent pas et continuèrent à se battre,\r\nmourant un à un d'une mort brutale, mais honorable.","Selbst als sich das Blatt wendete und ein Sieg ungreifbar wurde, standen \r\ndie Legionäre von Löwenauges Wacht ihren Mann und kämpften bis zum erbitterten Ende.\r\nAuch der letzte Mann starb einen qualvollen, aber ehrenhaften Tod.","風向きが変わり、一瞬の内に勝利は不可能となったが、\r\nライオンアイの見張り場の兵士たちは持ち場を離れず戦い続け、\r\n最後の一人まで暴力的な、しかし名誉ある死を遂げた。","전세가 역전되어 순식간에 승리가 불가능해졌음에도,\r\n라이온아이 초소의 군단병들은 물러나지 않고 싸웠고\r\n마지막 한 명까지 잔혹하지만 명예로운 죽음을 맞았다.","Mesmo depois da maré mudar e a vitória rapidamente tornar-se impossível,\r\nos legionários da Vigília de Lioneye se mantiveram de pé e lutaram,\r\ncom cada homem morrendo brutalmente, mas com honra.","Не имея возможности победить, все мужчины,\r\nженщины и дети на Заставе Львиного глаза \r\nсражались до последнего и встретили \r\nпочетную смерть.","Incluso cuando se tornaron las mareas y la victoria rápidamente se convirtió en imposible,\r\nlos legionarios de la Vigilancia de Lioneye mantuvieron la compostura y siguieron luchando,\r\nhasta el último hombre, sufriendo una muerte brutal pero honorable.","แม้​ใน​ยาม​ที่​สถานการณ์​พลิก​ผัน และ​ชัยชนะ​นั้น​กลับ​เป็น​ไป​ไม่​ได้​อย่าง​รวดเร็ว\r\nนักรบ​กองพัน​ของ​ฐานที่มั่น​ไลออนอาย​ต่าง​ยืน​หยัด​สู้​ต่อไป\r\nทุกคน​ต่าง​ตาย​อย่าง​โหดเหี้ยม ทว่า​มี​เกียรติ","即使面臨絕對敗仗，\r\n獅眼守望的每位軍人，\r\n堅持守住家園，\r\n殘暴但光榮的死去。"
1136,"UniqueJewel94",27502,"Cadiro watched young Chitus play in the frostbitten grass, care-free, happy,\r\nand unburdened by the responsibility the Perandus scion would soon endure.","Cadiro regarda le jeune Chitus jouer dans l'herbe gelée, insouciant, heureux,\r\net libéré du poids des responsabilités auxquelles l'héritier Pérandus allait bientôt avoir à faire face.","Cadiro sah dem jungen Chitus beim Spielen im gefrorenen Gras zu –\r\nheiter, vergnügt und nichtsahnend, welche Verantwortung ihm, \r\ndem Sprössling Perandus', einst auferlegt würde.","カディーロは若きチタスが霜に覆われた草の中で遊ぶのを眺めていた。\r\n気ままで幸せで、ペランダスの子がすぐに背負うことになる責任を知らずに。","카디로는 어린 치투스가 페란두스 가문의 자손으로서 감내해야 할 짐 따윈 없이\r\n얼어붙은 들판에서 천진난만하고 행복하게 뛰노는 모습을 지켜보았다.","Cadiro observou o jovem Chitus brincando na grama congelada, sem medo, feliz\r\ne sem o fardo da responsabilidade que o herdeiro de Perandus logo teria que carregar.","Кадиро наблюдал за игрой юного Титуса на тронутой инеем траве: беспечной и счастливой,\r\nбез следа скорого бремени ответственности, возложенной на род Перандусов.","Cadiro observaba al joven Chitus jugar en la hierba escarchada, sin preocupaciones, feliz,\r\ny sin el peso de la responsabilidad con la que el heredero de Perandus tendría que cargar dentro de poco.","คาดิโร​เฝ้า​มอง​เจ้าหนู​ชิตัส​วิ่ง​เล่น​ใน​แดนหิมะ แล​ดู​มี​สุข\r\nและ​ไม่​ต้อง​แบก​รับ​ภาระ​ที่​เพแรนดัส​คน​หนึ่ง​จะ​ต้อง​พบ​ใน​ไม่​ช้า","卡迪羅看著年幼切特斯無憂無慮的在霜凍的草中玩耍，\r\n毫不受到普蘭德斯貴族即將承受的責任所影響。"
1137,"UniqueJewel95",36859,"As Malachai stepped into the Highgate mines,\r\ncold winds billowed from the mountain above.\r\nOne final, feeble attempt to save what was meant to be eternal.","Au moment où Malachai pénétra dans les mines de Hautevoie,\r\nun vent glacial déferla en provenance de la montagne.\r\nUne ultime et dérisoire tentative de sauver ce qui était censé être éternel.","Als Malachai die Minen von Hohenpforte betrat,\r\nwehten eisige Winde vom Berg herab. Ein letzter, \r\nschwacher Versuch, etwas zu retten, was für die Ewigkeit bestimmt war.","マラカイがハイゲートの鉱山に踏み込む時、\r\n冷たい風が上方の山から吹きつけた。\r\n永遠であるはずだったものを救うための最後の、弱々しい試みだった。","말라카이가 하이게이트 광산에 들어서자\r\n차가운 바람이 산 위에서 피어올랐다.\r\n본디 영원해야 할 것을 구하기 위한 최후의 미약한 몸부림이었다.","Conforme Malachai entrou nas minas de Highgate,\r\nventos gelados sopraram das profundezas.\r\nUma última e fraca tentativa de salvar o que era para ser eterno.","Когда Малахай вошел в шахты под Горой Верузо, с нее задули холодные ветры. \r\nЭто была последняя и тщетная попытка спасти то, чему прочили вечную жизнь.","Cuando Malachai entró a las minas de Atalaya,\r\nunos fríos vientos soplaron desde arriba de la montaña.\r\nUn último débil intento de salvar aquello que debía ser eterno.","เมื่อ​มาลาไค​ย่าง​เข้าไป​ใน​เหมือง​ไฮเกท ไอ​เย็น​แผ่ซ่าน​ออก​มา​จาก​ภูเขา​เบื้อง​บน\r\nเป็น​ความพยายาม​สุดท้าย​อัน​อ่อนแอ​ใน​การ​กอบ​กู้​สิ่ง​ที่​ควร​เป็น​นิรันดร์","瑪拉凱踏入統治者之殿礦坑的同時，\r\n山中刺骨寒風迎面襲來。\r\n做為保衛原先永恆的事物，\r\n最後一次，微弱的抵抗著。"
1138,"UniqueJewel96",63841,"News of Kaom's victory in the south spread quickly.\r\nThose in support of the coming rebellion bided their time.\r\nThe rest fled like rats from a fire.","La nouvelle de la victoire de Kaom au Sud ne tarda pas à se répandre.\r\nCeux en faveur de la rébellion imminente rongèrent leur frein.\r\nLes autres s'enfuirent comme des rats face à un incendie.","Die Kunde von Kaoms Sieg verbreitete sich wie ein Lauffeuer.\r\nDie, die den Aufstand unterstützten, warteten auf ihren Moment,\r\nwährend die anderen flohen, wie Ratten vor einer Flut.","カオムの南での勝利の知らせはすぐに広まった。\r\n来たる反乱を支持する者たちは好機を待ち、\r\n残りは炎から逃げる鼠のように散っていった。","삽시간에 남부에서 카옴이 승리했다는 소식이 퍼졌다.\r\n임박한 모반을 지지하는 자들은 적당한 때를 기다렸고,\r\n나머지는 불을 피하는 쥐떼처럼 줄행랑을 놓았다.","Notícias sobre a vitória de Kaom ao sul se espalharam rapidamente.\r\nAqueles a favor da futura rebelião aguardavam seu momento.\r\nO resto fugiu como ratos em um incêndio.","Вести о победе Каома на юге быстро разлетелись по свету. \r\nСторонники скорого восстания стали ждать подходящего момента. \r\nПрочие пустились в бега подобно угодившим в огонь крысам.","Las noticias de la victoria de Kaom en el sur se extendieron rápidamente.\r\nAquellos que apoyaban la rebelión se quedaron.\r\nEl resto huyeron como ratas de un fuego.","ข่าวคราว​ชัยชนะ​แห่ง​คอมม์​ทาง​ใต้​แพร่กระจาย​อย่าง​รวดเร็ว\r\nผู้​ที่​สนับสนุน​การ​กบฏ​รอ​เวลา\r\nส่วน​พวก​ที่​เหลือ​หนี​ไป​ดั่ง​หนู​ที่​หนี​จาก​ไฟ","岡姆勝仗的消息迅速傳向了南方。\r\n支持叛亂的人，將會珍惜他們僅存的時間。\r\n其餘人等竄逃如烈火中的老鼠。"
1139,"UniqueJewel97",55748,"The winter that followed the Cataclysm was especially harsh.\r\nWraeclast's few survivors fought to the death for the last scraps of bread.","L'hiver qui suivit le Cataclysme fut particulièrement rude.\r\nLes rares survivants de Wraeclast s'entretuèrent pour les dernières miettes de pain.","Der Winter, der auf die Katastrophe folgte, war besonders brutal. Wraeclasts Handvoll\r\nÜberlebende machten sich selbst die letzten Brotstückchen bis zum Tode streitig.","大災害の後の冬は特に厳しいものだった。\r\nレイクラストの数少ない生存者達は残ったパンくずを巡って死ぬまで戦った。","대재앙 이후의 겨울은 유독 가혹했다.\r\n레이클라스트의 몇 안 남은 생존자들은 마지막 빵 한 조각이라도 차지하기 위해 목숨을 걸고 싸웠다.","O inverno após o Cataclismo foi especialmente rigoroso.\r\nOs poucos sobreviventes de Wraeclast lutaram até a morte por migalhas de pão.","Первая зима после Катаклизма была особенно суровой. \r\nНа окраинах Рэкласта горстки выживших \r\nбились насмерть за последние крошки хлеба.","El invierno que siguió al Cataclismo fue especialmente duro.\r\nLos pocos supervivientes de Wraeclast lucharon hasta la muerte por las últimas migajas de pan.","ฤดู​หนาว​หลัง​วัน​มหา​ภัยพิบัติ​ช่าง​โหดร้าย\r\nผู้​รอดชีวิต​น้อยนิด​ใน​เวร์แคลส์ท\r\nต่อสู้​ถึง​ตาย​เพื่อ​ชิง​เศษขนมปัง","災變後，瓦爾克拉斯的寒冬特別的苛刻，\r\n在邊境，生存者為僅存的糧食互相至於死地。"
1140,"UniqueJewel98",21351,"Emperor Chitus could offer you a gift with one hand,\r\nand drive a blade into your back with the other.\r\nHis blend of brutality and charisma cultured a potent \r\nmixture of fear and admiration among the masses.","L'Empereur Chitus pouvait vous offrir un présent d'une main,\r\net vous planter un couteau dans le dos de l'autre.\r\nCe mélange de brutalité et de charisme inspira chez le peuple\r\nun fort sentiment de crainte mêlée d'admiration.","Kaiser Chitus könnte Euch mit einer Hand ein Geschenk reichen\r\nund gleichzeitig mit der anderen eine Klinge in Euren Rücken rammen.\r\nSeine Mischung aus Brutalität und Ausstrahlungskraft bildete eine \r\nwirksame Mixtur der Furcht und Bewunderung unter den Volksmassen.","皇帝チタスは片手で贈り物を与えながら、\r\nもう一方の手で背中に刃を突き立てることができた。\r\n彼の残虐性とカリスマの調合は\r\n人々の中で恐怖と尊敬の混合を育てた。","치투스 황제는 한 손으로 선물을 건네면서\r\n다른 손으로 등에 칼을 꽂을 수 있는 자였다.\r\n잔혹함과 카리스마를 겸비한 그는 대중들에게\r\n경외심을 자아내는 존재였다.","Imperador Chitus poderia lhe dar um presente com uma mão\r\ne te apunhalar pelas costas com a outra.\r\nSua combinação de brutalidade e carisma cultivou uma mistura\r\npotente de medo e admiração nas massas.","Император Титус мог одаривать одной рукой и всаживать нож в спину другой. \r\nЭто сочетание жестокости и обаяния приучило людей смотреть на него с обожанием и страхом.","El Emperador Chitus podía ofrecerte un regalo con una mano,\r\ny clavarte un cuchillo en la espalda con la otra.\r\nSu mezcla de brutalidad y carisma creaban una potente\r\nmezcla de miedo y admiración entre las masas.","จักรพรรดิ​ชิตัส อาจ​ประทาน​รางวัล​ด้วย​หัตถ์​พระองค์​เอง แล้ว​ใช้​กริช​แทง​เข้า​ที่​หลัง​เจ้า​ด้วย​พระหัตถ์​อีก​ข้าง\r\nเขา​ผสาน​สเน่ห์​เข้า​กับ​ความ​โหดร้าย​ได้​อย่าง​น่า​ฉงน\r\nทำให้​ปวง​ประชา​ทั้ง​กลัว​เกรง​ทั้ง​เลื่อมใส","一手遞出賜禮的同時，\r\n另一手中的刀刃已深植對方背心。\r\n這就是帝王切特斯，魅力混雜著殘暴，\r\n使恐懼與崇敬同時萌生大眾。"
1141,"UniqueJewel99",55638,"The Maraketh knew that a mountain path\r\nfree of vegetation was cut by regular avalanches,\r\nand so the advancing Eternals were unwittingly drawn into a deathtrap.","Les Marakeths savaient qu'un chemin de montagne\r\nsans végétation était creusé par des avalanches régulières,\r\nainsi les Éternels en marche furent-ils attirés à leur insu vers une mort certaine.","Die Maraketh wussten, dass ein Gebirgspfad frei von Vegetation\r\nregelmäßig von Lawinen heimgesucht wurde und so wurden\r\ndie vorrückenden Ewigen unwissentlich in eine Todesfalle gelockt.","マラケス達は植物の生えていない\r\n山道は定期的に雪崩に襲われることを知っていた。\r\n故に侵攻する永遠なる者たちは知らずの内に死の罠へと誘い込まれた。","마라케스인들은 휑한 산길이 산사태로 끊겼으며,\r\n그 덕에 제국군이 어느새 죽음의 덫으로\r\n발을 들이미는 중이라는 사실을 알고 있었다.","Os Maraketh sabiam que um caminho na montanha\r\nsem vegetação era cortado por avalanches,\r\nentão os Eternos em avanço foram levados a uma armadilha mortal.","Маракеты знали, что горная тропа без следа растительности - верный признак частых лавин. \r\nНаступающие вечные не ведали, что сами идут в смертельную западню.","Los Maraketh sabían que un camino de la montaña\r\nlibre de vegetación era azotado por avalanchas de forma regular,\r\ny los Eternos que avanzaban fueron atraídos a una trampa mortal sin saberlo.","พวก​มาราเค็ท​รู้​ดี​ว่า​เส้นทาง​ที่​ไร้​พืช​บน​เขา​มัก​มี​หิมะ​ถล่ม​เป็น​ประจำ\r\nพวก​นิรันดร์ชน​ที่​บุก​จึง​ถูก​ล่อ​เข้า​สู่​กับดัก​มรณะ​โดย​ไม่รู้ตัว","馬拉克斯人民非常清楚，\r\n山徑無花無草為雪崩所致。\r\n不知覺的永恆軍隊，\r\n一步步，邁向死亡。"
1142,"UniqueJewel100",35106,"At night, as a young Daresso shared his bed with a woman whose name he could not recall,\r\nhis thoughts remained in the one place he called his own: The Grand Arena.","La nuit, alors que le jeune Daresso partageait sa couche avec une femme dont il ne se souvenait plus du nom,\r\nses pensées se trouvaient au seul endroit qu'il considérait comme chez lui : la Grande Arène.","Bei Nacht, als ein junger Daresso sein Bett mit einem Weib teilte, an dessen Namen er sich\r\nnicht mehr erinnern konnte, weilten seine Gedanken an dem Ort, den er sein Eigen nannte: Die große Arena.","夜、若きダレッソが名前を思い出せぬ女性と閨を共にする中、\r\n彼の思考は唯一彼が自分のものであると言える場所に留まっていた。大闘技場だ。","소싯적 다레소는 이름을 기억할 수 없는 여인과 한 침대에서 밤을 보냈으나\r\n그의 생각은 그가 자신의 소유라 부르는 한 장소에 머물렀으니, 바로 대 투기장이었다.","À noite, enquanto o jovem Daresso dividia sua cama com uma mulher cujo nome ele não se lembrava,\r\nseus pensamentos estavam no único lugar que ele chamava de seu: A Grande Arena.","Находясь ночью в постели с женщиной, имя которой он не мог вспомнить, молодой Дарессо \r\nмысленно пребывал в единственном месте, которое называл своим: на Великой Арене.","Por la noche, mientras el joven Daresso compartía su cama con una mujer cuyo nombre no recordaba,\r\nsus pensamientos permanecían en el único lugar que llamaba suyo: La Gran Arena.","กลาง​ดึก เมื่อ​หนุ่ม​น้อย​ดาเรสโซ่​นอน​ร่วม​เตียง​กับ​ผู้หญิง​ที่​เขา​ลืม​ชื่อ\r\nเขา​กลับ​นึกถึง​ที่​แห่ง​เดียว​ที่​เขา​เรียก​ได้​ว่า​บ้าน: มหา​ลานประลอง","年輕的德瑞索與女子共享夜晚，\r\n但他的思緒卻停擺著，\r\n在大競技場。"
1143,"UniqueJewel101",51352,"The infamous Weylam Roth was never afraid\r\nto push the boundaries of Templar authority,\r\nand was never deterred when the Templar pushed back.","Le tristement célèbre Weylam Roth n'a jamais eu peur\r\nde repousser les limites de l'autorité des Templiers\r\net ne s'est jamais laissé abattre quand les Templiers poussaient en retour.","Der berüchtigte Weylam Roth schreckte nie davor zurück,\r\ndie Grenzen der Templerautorität zu verschieben\r\nund er ließ sich nicht beirren, als die Templer ihn zurückdrängten.","悪名高いウェイラム・ロスは\r\nテンプラーの権力の限界を押し止めることを恐れず、\r\nテンプラーが押し返しても思いとどまることはなかった。","악명 높은 웨일럼 로스,\r\n템플러의 권위를 주저 없이 침범했네,\r\n템플러가 물러날 때 결코 단념하지 않았구나.","O infame Weylam Roth nunca teve medo\r\nde testar os limites da autoridade Templária,\r\ne nunca foi dissuadido quando os Templários o testaram de volta.","Вейлам Рот всегда напрашивался на изгнание. \r\nБольше всего ему нравилось оспаривать пределы \r\nдозволенного жрецам и не идти на попятную, \r\nкогда жрецы принимали ответные меры.","El Infame Weylam Roth nunca tuvo miedo\r\nde sobrepasar los límites de la autoridad Templaria,\r\ny nunca desistía cuando los Templarios lo presionaban.","เวย์แลม รอธ​ผู้​ฉาวโฉ่​นั้น​ไม่​กลัว​ที่​จะ​ท้าทาย​อำนาจ​ของ​ทาง​การ​เทมพลาร์\r\nและ​ไม่​เคย​กลัว​เมื่อ​เทมพลาร์​แสดง​อำนาจ​เล่นงาน​คืน","惡名昭著的威廉羅斯，\r\n對於神主權威他從不畏懼，\r\n即使引發神主的反制，也改變不了他。"
