"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","XBoxText","XBoxText (French)","XBoxText (German)","XBoxText (Japanese)","XBoxText (Korean)","XBoxText (Portuguese)","XBoxText (Russian)","XBoxText (Spanish)","XBoxText (Thai)","XBoxText (Traditional Chinese)","XBoxText2","XBoxText2 (French)","XBoxText2 (German)","XBoxText2 (Japanese)","XBoxText2 (Korean)","XBoxText2 (Portuguese)","XBoxText2 (Russian)","XBoxText2 (Spanish)","XBoxText2 (Thai)","XBoxText2 (Traditional Chinese)","HASH32","PlaystationText","PlaystationText (French)","PlaystationText (German)","PlaystationText (Japanese)","PlaystationText (Korean)","PlaystationText (Portuguese)","PlaystationText (Russian)","PlaystationText (Spanish)","PlaystationText (Thai)","PlaystationText (Traditional Chinese)","string_44","string_44 (French)","string_44 (German)","string_44 (Japanese)","string_44 (Korean)","string_44 (Portuguese)","string_44 (Russian)","string_44 (Spanish)","string_44 (Thai)","string_44 (Traditional Chinese)"
3452,"TutorialPanelStashContent2","In fact, all your other characters in the same league can also access the same stash, so if you get a great bow while playing your Marauder, you can stash it to use on your Ranger later.","De plus, tous vos personnages d'une même ligue ont accès à la même réserve. Si, en jouant votre Maraudeur, vous trouvez l'arc parfait pour votre Rôdeuse, rien ne vous empêche de le déposer dans la réserve pour qu'elle puisse le récupérer plus tard.","Alle deine Charaktere der gleichen Liga teilen sich eine Truhe. Findest du zum Beispiel mit deinem Marodeur einen guten Bogen, so kannst du ihn aufbewahren und später für deine Waldläuferin benutzen.","実のところ、同じリーグ内のキャラクターは同じスタッシュにアクセスできます。つまり、マローダーをプレイ中に素晴らしい弓を手に入れたら、スタッシュに入れておき、後でレンジャーで使うことができるのです。","한 리그에 있는 모든 캐릭터가 같은 보관함을 이용하고 있나요? 그렇다면 머라우더로 플레이하다 멋진 활을 습득할 경우, 나중에 레인저가 쓸 수 있도록 미리 보관함에 넣어두는 일도 가능합니다.","Além disso, todos os seus outros personagens na mesma liga também podem acessar o mesmo baú, então se você conseguir um ótimo arco enquanto estiver jogando de Marauder, você pode guardá-lo para usar com a sua Caçadora depois.","Кстати, у всех ваших персонажей в одной лиге общий тайник, так что если во время игры за Дикаря вы нашли отличный лук, вы можете сохранить его для вашей Охотницы.","De hecho, todos tus otros personajes en la misma liga también pueden acceder al mismo alijo, así que si consigues un buen arco mientras juegas con tu Merodeador, puedes almacenarlo para usarlo con tu Exploradora más tarde.","ที่จริง ตัวละครตัวอื่นๆ ของคุณในลีกเดียวกันยังสามารถเข้าถึง คลังเก็บของ เดียวกัน ฉะนั้นหากคุณพบ ธนู ดีๆ ขณะที่เล่น Marauder อยู่ คุณสามารถนำมันไปเก็บไว้ในคลังให้ Ranger ของคุณใช้งานได้ในภายหลัง","帳號中隸屬相同聯盟下的角色皆使用相同的倉庫空間，當你使用野蠻人冒險時找到了一把不錯的弓，你可以透過倉庫轉移給你的遊俠使用。","","","","","","","","","","","","","","","","","","","","",2393698520,"","","","","","","","","","","","","","","","","","","",""
3453,"TutorialPanelStashSubtitle1","Expanding Your Stash","Agrandir votre Réserve :","Deine Truhe erweitern:","スタッシュを拡大する","보관함 확장하기","Expandindo seu Baú","Расширение вашего тайника","Expandir tu alijo","การขยายคลังเก็บของของคุณ","擴大你的倉庫","","","","","","","","","","","","","","","","","","","","",3274945350,"","","","","","","","","","","","","","","","","","","",""
3454,"TutorialPanelStashContent3","At some point you may find yourself running low on stash space. Extra stash tabs can be bought in the Microtransactions shop, and once purchased, will be available in every league. They come in a few different varieties:","Vous risquez tôt ou tard de manquer de place dans votre réserve. Vous avez la possibilité d'acheter des onglets de réserve supplémentaires dans la boutique des microtransactions. Une fois achetés, ces onglets resteront disponible d'une ligue sur l'autre. Il existe plusieurs variétés d'onglets :","Wenn du einen unsättigbaren Sammeltrieb hast, läufst du Gefahr deine Truhenfächer schnell zu füllen. Zusätzliche Truhenfächer können im Shop für Mikrotransaktionen erworben werden. Es gibt mehrere Arten von Truhenfächern:","ゲームを進めていくにつれ、スタッシュの容量が足りなくなるかもしれません。有料アイテムショップでスタッシュのタブを購入することができます。一旦購入すれば、どのリーグでも使用できます。タブには色々な種類があります:","게임을 진행하다 보면 기존 보관함으로는 모자랄 때가 있습니다. 이럴 땐 포인트 아이템 상점에서 추가 보관함 탭을 구입할 수 있으며, 구입한 뒤에는 모든 리그에서 사용할 수 있습니다. 추가 보관함은 기존 보관함과 몇 가지 차이점이 있습니다.","Em algum momento, você pode se deparar com a falta de espaço no seu baú. Abas adicionais de baú podem ser adquiridas na loja de Microtransações e, assim que adquiridas, serão disponibilizadas em todas as ligas. Elas vêm em diferentes variantes:","Может случиться, что и в вашем тайнике осталось мало места. Дополнительные секции для тайника можно приобрести в магазине микротранзакций. Существует несколько видов секций:","En algún momento te encontrarás con que te queda poco espacio en el alijo. Se pueden comprar pestañas de alijo adicionales en la tienda de microtransacciones, y una vez compradas, estarán disponibles en todas las ligas. Vienen en varias variedades distintas:","ในบางจุดที่คุณอาจพบว่าคลังเก็บของของคุณใกล้เต็ม คุณสามารถซื้อแท็บเก็บของเพิ่มเติมได้ใน ร้านค้าสินค้าแฟชั่น เมื่อคุณซื้อแล้ว คุณจะใช้แท็บเหล่านั้นได้ทุกลีก โดยแท็บต่างๆ จะมีรูปแบบที่ต่างกันได้ดังนี้:","流亡一段時間後你可能會覺得自己的倉庫空間漸漸無法滿足需求。不必擔心，額外的倉庫頁可以透過商城購買，而且一旦購買日後每一個聯盟都可以使用。倉庫頁分幾種類別：","","","","","","","","","","","","","","","","","","","","",91981637,"","","","","","","","","","","","","","","","","","","",""
3455,"TutorialPanelStashImage2","Art/2DArt/UIImages/InGame/TutorialPictures/StandardStash1","Art/2DArt/UIImages/InGame/TutorialPictures/StandardStash1","Art/2DArt/UIImages/InGame/TutorialPictures/StandardStash1","Art/2DArt/UIImages/InGame/TutorialPictures/StandardStash1","Art/2DArt/UIImages/InGame/TutorialPictures/StandardStash1","Art/2DArt/UIImages/InGame/TutorialPictures/StandardStash1","Art/2DArt/UIImages/InGame/TutorialPictures/StandardStash1","Art/2DArt/UIImages/InGame/TutorialPictures/StandardStash1","Art/2DArt/UIImages/InGame/TutorialPictures/StandardStash1","Art/2DArt/UIImages/InGame/TutorialPictures/StandardStash1","","","","","","","","","","","","","","","","","","","","",703694089,"","","","","","","","","","","","","","","","","","","",""
3456,"TutorialPanelStashCaption2","Basic stash tabs are functionally identical to your free tabs.","Les onglets de réserve basiques sont identiques à ceux avec lesquels vous commencez.","Die Basis-Truhenfächer bieten die exakt gleichen Funktionalitäten, wie die bereits verfügbaren Fächer in deiner Truhe.","ベーシックスタッシュタブは、初期装備のタブと同じ機能を持っています。","기본 보관함 탭은 무료로 사용할 수 있는 보관함과 동일한 기능을 지닙니다.","Abas básicas de baú são funcionalmente idênticas às suas abas grátis.","Обычные секции ничем не отличаются от стандартных бесплатных секций вашего тайника.","Las pestañas de alijo básico son funcionalmente idénticas a tus pestañas gratuitas.","แท็บเก็บของพื้นฐาน มีการทำงานเหมือนกับ แท็บฟรี ของคุณทุกประการ","一般倉庫頁和起初免費的倉庫頁擁有一樣的功能。","","","","","","","","","","","","","","","","","","","","",3474123624,"","","","","","","","","","","","","","","","","","","",""
3457,"TutorialPanelStashImage3","Art/2DArt/UIImages/InGame/TutorialPictures/PremiumStash1","Art/2DArt/UIImages/InGame/TutorialPictures/PremiumStash1","Art/2DArt/UIImages/InGame/TutorialPictures/PremiumStash1","Art/2DArt/UIImages/InGame/TutorialPictures/PremiumStash1","Art/2DArt/UIImages/InGame/TutorialPictures/PremiumStash1","Art/2DArt/UIImages/InGame/TutorialPictures/PremiumStash1","Art/2DArt/UIImages/InGame/TutorialPictures/PremiumStash1","Art/2DArt/UIImages/InGame/TutorialPictures/PremiumStash1","Art/2DArt/UIImages/InGame/TutorialPictures/PremiumStash1","Art/2DArt/UIImages/InGame/TutorialPictures/PremiumStash1","","","","","","","","","","","","","","","","","","","","",1865651104,"","","","","","","","","","","","","","","","","","","",""
3458,"TutorialPanelStashCaption3","Premium stash tabs can be labelled and colour-coded for ease of use, and allow you to list items for sale. You can price each item individually or set a price that applies for every item in the tab.","Les onglets de réserve premium peuvent être renommés et colorés pour plus de praticité. Ils vous permettent également de mettre en vente vos objets : vous pourrez donner un prix individuel à chacun d'entre eux, ou bien choisir un prix unique qui s'appliquera sur tous les objets de l'onglet.","Premium-Truhenfächer können benannt und farbig gekennzeichnet werden, wodurch du fortan komfortabel auf sie zugreifen kannst. Außerdem erlauben sie das Listen von Gegenständen für den Verkauf. Der Preis kann je Gegenstand individuell eingestellt oder auf das gesamte Fach angewendet werden.","プレミアムスタッシュタブは、使いやすいように色分けしたりラベルを付けることができ、アイテムを売る際にリスト化することもできます。アイテムごとまたはタブごとに値段を設定できます。","프리미엄 보관함 탭은 사용하기 편하게 이름과 색상이 주어지며, 아이템을 판매하도록 내놓을 수 있습니다. 탭 안에 있는 모든 아이템에 적용할 가격을 설정할 수 있으며, 각 아이템마다 가격을 따로 매길 수도 있습니다.","Abas premium do baú podem ser renomeadas e coloridas para facilitar seu uso, e permitem que você anuncie itens à venda. Você pode colocar preços individualmente ou configurar um preço que será aplicado a todos itens na aba.","Премиум-секции обладают расширенным функционалом: вы можете изменять их название и цвет, а также размещать в них предметы на продажу. Вы можете назначить отдельную цену на каждый предмет или назначить одну цену для всех предметов в секции.","Las pestañas de alijo premium se pueden etiquetar y codificar por colores para facilitar su uso, y te permiten listar objetos para su venta. Puedes establecer un precio de venta para cada objeto de forma individual o establecer un precio que se aplique a todos los objetos de la pestaña.","แท็บเก็บของพรีเมียม นั้นสามารถตั้งชื่อและเปลี่ยนสีเพื่อให้ใช้งานได้ง่ายขึ้น และทำให้คุณสามารถนำไอเทมไปตั้งขายได้อีกด้วย คุณสามารถตั้งไอเทมแต่ละชิ้นแยกจากกัน หรือตั้งราคาเดียวให้กับไอเทมทุกชิ้นที่อยู่ในแท็บนั้น","高級倉庫頁提供了命名和更改標籤顏色的功能，也使你可以設置販售該頁面中的道具。你可以單獨為想販售的道具標價，或者將整個倉庫頁設為均一價。","Premium stash tabs can be labelled and colour-coded for ease of use, and allow you to list items for sale.","Les onglets de réserve premium peuvent être renommés et colorés pour plus de praticité. Ils vous permettent également de mettre en vente vos objets.","Premium-Truhenfächer können benannt und farbig gekennzeichnet werden, wodurch du fortan komfortabel auf sie zugreifen kannst. Außerdem erlauben sie das Listen von Gegenständen für den Verkauf.","プレミアムスタッシュタブは、使いやすいように色分けしたりラベルを付けることができ、アイテムを売る際にリスト化することもできます。","프리미엄 보관함 탭은 사용하기 편하게 이름과 색상이 주어지며, 아이템을 판매하도록 내놓을 수 있습니다.","Abas Premium do Baú podem ser nomeadas e coloridas para uma fácil usabilidade, e também permitem que você liste itens para venda.","Премиум-секции обладают расширенным функционалом: вы можете изменять их название и цвет, а также размещать в них предметы на продажу.","Las pestañas de alijo premium pueden etiquetarse y codificarse por colores para facilitar su uso, y te permiten listar objetos para su venta.","แท็บเก็บของพรีเมียม นั้นสามารถตั้งชื่อและเปลี่ยนสีเพื่อให้ใช้งานได้ง่ายขึ้น และทำให้คุณสามารถนำไอเทมไปตั้งขายได้","高級倉庫頁提供了命名和更改標籤顏色的功能，也使你可以設置販售該頁面中的道具。","","","","","","","","","","",1582554580,"","","","","","","","","","","","","","","","","","","",""
3459,"TutorialPanelStashImage4","Art/2DArt/UIImages/InGame/TutorialPictures/Stash3","Art/2DArt/UIImages/InGame/TutorialPictures/Stash3","Art/2DArt/UIImages/InGame/TutorialPictures/Stash3","Art/2DArt/UIImages/InGame/TutorialPictures/Stash3","Art/2DArt/UIImages/InGame/TutorialPictures/Stash3","Art/2DArt/UIImages/InGame/TutorialPictures/Stash3","Art/2DArt/UIImages/InGame/TutorialPictures/Stash3","Art/2DArt/UIImages/InGame/TutorialPictures/Stash3","Art/2DArt/UIImages/InGame/TutorialPictures/Stash3","Art/2DArt/UIImages/InGame/TutorialPictures/Stash3","","","","","","","","","","","","","","","","","","","","",4093402190,"","","","","","","","","","","","","","","","","","","",""
3460,"TutorialPanelStashCaption4","The specialised stash tabs, such as the Currency stash tab, can hold thousands of specific items, far exceeding the normal stack-size limits, and keep them neatly organized.","Les onglets de réserve spécialisés, tel que l'onglet d'Objets monétaires, peuvent accueillir des milliers d'exemplaires d'objets bien précis. En plus de leur contenance exceptionelle, ces onglets ordonnent soigneusement vos trésors.","Die spezialisierten Truhenfächer, wie etwa das Währungs-Truhenfach, können gleichzeitig tausende Exemplare bestimmter Gegenstände aufbewahren und das jeweilige Stapellimit überschreiten. Diese Fächer bieten eine außergewöhnliche Ordnung für bestimmte Gegenstände.","特殊スタッシュタブ、例えばカレンシースタッシュタブなどは、通常のスタッシュの容量よりはるかに多く、特定のアイテムを何千と収納し、整理することができます。","화폐 보관함처럼 특정 용도를 위해 마련한 보관함 탭에서는, 기존의 아이템 중첩 한도에 상관없이 특정 아이템을 수천 개씩 쌓아두어 깔끔하게 정리하는 것도 가능합니다.","As abas do baú especializadas, tal como a Aba Monetária pode armazenar milhares de itens específicos, excedendo em muito os limites normais de tamanho de pilha, e os mantendo bem organizadas.","Особые секции, например, секции для валюты, вмещают тысячи определенных предметов, что значительно превышает возможности обычной секции.","Las pestañas de alijo especializadas, como la pestaña de alijo de Objetos Monetarios, pueden contener miles de objetos específicos, excediendo en gran medida los límites normales de acumulación, y mantenerlos bien ordenados.","แท็บเก็บของพิเศษ อย่างเช่น แท็บเงินตรา นั้นสามารถเก็บไอเทมเฉพาะได้หลายพันชิ้น ซึ่งเป็นจำนวนที่มากกว่าขนาดกองทั่วไป และยังช่วยให้ไอเทมเหล่านี้ถูกจัดเก็บอย่างเป็นระเบียงเรียบร้อย","特殊倉庫頁，如通貨倉庫頁，能夠儲藏上千個特定物品，完全高出平常的堆疊限制，而且還擺的整整齊齊。","","","","","","","","","","","","","","","","","","","","",2925715114,"","","","","","","","","","","","","","","","","","","",""
3461,"TutorialPanelStashContent4","All stash tabs have a search bar at the bottom that lets you search for and and filter out items, so you can quickly find what you are looking for.\r\n\r\nThe items in your stash never go away. However, when a temporary league ends, all the items in your stash will be moved to the stash in its permanent equivalent.\r\n\r\nWhen this happens, your items can be found in stash tabs labelled \""Remove Only\"". These will hold your items indefinitely, but anything removed from a Remove Only tab can't be returned to that tab.","En bas de la fenêtre de la réserve se trouve une barre de recherche qui vous permet de filtrer les objets d'un onglet, afin de rapidement trouver ce qu'il vous faut.\r\n\r\nLes objets dans votre réserve ne disparaissent jamais. Cependant, lorsqu'une ligue temporaire s'achève, tous les objets qui s'y trouvaient sont transférés dans la réserve de la ligue permanente équivalente.\r\n\r\nLorsque cela se produit, vos objets sont placés dans des onglets de \""Retrait\"" pour une durée illimitée. Un objet récupéré depuis un onglet de retrait ne peut pas y retourner.","Alle Truhenfächer verfügen im unteren Bereich über eine Leiste, über die du Gegenstände suchen und nach ihnen filtern kannst.\r\n\r\nDie Gegenstände sind in deiner Truhe sicher. Denk aber daran, dass am Ende einer temporären Liga alle Gegenstände aus deiner Truhe in die Truhe der entsprechenden permanenten Liga verschoben werden.\r\n\r\nWenn das passiert, findest du die verschobenen Gegenstände in Truhenfächern mit der Bezeichnung 'Nur entfernen'. In diesen Fächern sind deine Gegenstände sicher aufgehoben, jedoch kann ein Gegenstand, der aus einem 'Nur entfernen'-Fach entnommen wird, dort nicht mehr abgelegt werden.","全てのスタッシュタブの下部にはサーチバーがあり、アイテムを検索したり、フィルターにかけることができ、探しているアイテムをすぐに見つけることができます。\r\n\r\nスタッシュに入っているアイテムは、無くなることはありません。しかし、リーグが終了すると、スタッシュに入っているアイテムは全てスタンダードゲーム内のスタッシュに移動します。\r\n\r\nその場合、移動したアイテムはスタッシュ内の「取り出しのみ」タブに収納されます。ここにあるアイテムは無期限に保存されますが、一旦取り出すと、「取り出しのみ」タブに戻すことはできません。","모든 보관함 탭의 하단에는 아이템을 찾고 분류할 수 있도록 검색창이 있어 원하는 아이템을 빠르게 찾을 수 있습니다.\r\n\r\n보관함에 넣은 아이템은 사라지지 않지만, 기간제 리그가 종료될 경우 해당 보관함에 있는 모든 아이템이 동등한 형태를 지닌 영구 보관함 탭으로 옮겨집니다.\r\n\r\n옮겨야 할 아이템은 이름 뒤에 \""삭제 전용\"" 문구가 붙은 보관함 탭에서 확인할 수 있습니다. 해당 탭에 있는 아이템은 무기한으로 보관할 수 있으나, 삭제 전용 탭에서 옮겨진 아이템은 다시 해당 탭으로 돌려놓을 수 없습니다.","Todas as abas do baú têm uma barra de busca na parte de baixo que permite que você procure por itens e os filtre, para que você consiga rapidamente encontrar o que procura.\r\n\r\nOs itens no seu baú nunca somem. Entretanto, quando uma liga temporária termina, todos os itens no seu baú serão movidos para o baú da sua liga permanente equivalente.\r\n\r\nQuando isso acontece, seus itens podem ser encontrados em abas com o nome \""Apenas Remover\"". Elas armazenarão os itens indeterminadamente, mas tudo que for removido da aba Apenas Remover não poderá ser retornado à mesma.","На всех секциях есть поле для поиска, поэтому вы легко сможете найти нужный вам предмет.\r\n   \r\nПредметы из вашего тайника никогда не пропадают. Однако, при завершении временной лиги, все предметы из тайника этой лиги будут перенесены в тайник постоянной лиги.\r\n \r\nПосле переноса, вы сможете найти ваши предметы в секциях с пометкой \""Только забрать\"": как только вы заберете предмет из такой секции, вы уже не сможете вернуть его обратно в эту секцию.","Todas las pestañas de alijo tienen una barra de búsqueda en la parte inferior que te permite buscar y filtrar objetos, para que puedas encontrar rápidamente lo que estás buscando.\r\n\r\nLos objetos en tu alijo nunca desaparecen. Sin embargo, cuando termina una liga temporal, todos los objetos en tu alijo son trasladados al alijo de su liga permanente equivalente.\r\n\r\nCuando esto ocurre, tus objetos pueden ser encontrados en las pestañas de alijo etiquetadas como \""Solo retirar\"". Estas mantendrán tus objetos de manera indefinida, pero cualquier cosa retirada de una pestaña de Solo Retirar no puede ser devuelta a esa pestaña.","แท็บเก็บของทุกแท็บมี ช่องค้นหา ด้านล่างที่ช่วยให้คุณสามารถค้นหาและกรองไอเทมเพื่อให้คุณค้นหาไอเทมที่อยากเจอได้โดยเร็ว\r\n\r\nไอเทมใน คลังเก็บของ ของคุณจะไม่หายไป แต่เมื่อลีกชั่วคราวสิ้นสุดลง ไอเทมทั้งหมดในคลังของคุณจะถูกย้ายไปยัง คลังเก็บของ ในลีกถาวรที่เทียบเท่า\r\n\r\nเมื่อเกิดการเคลื่อนย้ายเช่นนี้ คุณจะพบไอเทมได้ใน แท็บเก็บของ ที่มีชื่อว่า \""นำออกอย่างเดียว\"" แท็บเหล่านี้จะเก็บไอเทมของคุณไว้ตลอดกาล แต่ไอเทมที่นำออกมาจาก แท็บนำออกอย่างเดียว จะไม่สามารถใส่กลับเข้าไปในแท็บนั้นได้","每一種倉庫頁的下方都提供了搜尋的功能，讓你可以迅速方便的找到自己的物品。\r\n\r\n倉庫中的物品永遠不會消失。然而當挑戰聯盟或者短期聯盟結束後，它們將會被移動至對應的長期聯盟中。\r\n\r\n這類轉移發生後，你的道具將會出現在長期聯盟的倉庫中，分頁名稱將顯示為「只能取出」，這些倉庫頁雖然沒有保存期限，但如其名稱所指出，物品取出後是無法放回去的。「只能取出」倉庫頁被清空後，重新登入遊戲後將會消失。","","","","","","","","","","","","","","","","","","","","",17325871,"","","","","","","","","","","","","","","","","","","",""
3462,"TutorialPanelStashImage5","Art/2DArt/UIImages/InGame/TutorialPictures/Stash2","Art/2DArt/UIImages/InGame/TutorialPictures/Stash2","Art/2DArt/UIImages/InGame/TutorialPictures/Stash2","Art/2DArt/UIImages/InGame/TutorialPictures/Stash2","Art/2DArt/UIImages/InGame/TutorialPictures/Stash2","Art/2DArt/UIImages/InGame/TutorialPictures/Stash2","Art/2DArt/UIImages/InGame/TutorialPictures/Stash2","Art/2DArt/UIImages/InGame/TutorialPictures/Stash2","Art/2DArt/UIImages/InGame/TutorialPictures/Stash2","Art/2DArt/UIImages/InGame/TutorialPictures/Stash2","","","","","","","","","","","","","","","","","","","","",1913693032,"","","","","","","","","","","","","","","","","","","",""
3463,"TutorialPanelStashCaption5","Remove-only tabs keep your items safe and sound after a challenge league ends.","Les onglets de retrait gardent vos objets en sécurité après la fin d'une ligue de défi.","Nur entfernen-Fächer sind Fächer, die am Ende einer Liga automatisch in ihre jeweiligen Elternligen migriert werden. Sobald du einen Gegenstand aus diesen Fächern aufnimmst, kannst du ihn nicht mehr zurücklegen.","チャレンジリーグ終了後、アイテムは「取り出しのみ」タブ内に安全に保存されます。","삭제 전용 탭은 챌린지 리그가 끝난 후에도 아이템을 안전하게 보관해줍니다.","Abas Remover Apenas mantêm os itens seguros depois que uma liga de desafios termina.","После завершения лиги испытаний все ваши предметы будут перенесены в секцию с пометкой Только забрать.","Las pestañas de Solo Retirar mantienen tus objetos a salvo después de que termine una liga de desafío.","แท็บนำออกอย่างเดียว จะทำให้ไอเทมของคุณปลอดภัยหายห่วงหลังจากที่ลีกท้าทายสิ้นสุดลง","「只能取出」倉庫頁會完善保存你的物品。","","","","","","","","","","","","","","","","","","","","",1571716897,"","","","","","","","","","","","","","","","","","","",""
3464,"TutorialPanelNavigationTitle1","Waypoints and the World Panel","Les points de téléportation et la fenêtre Monde","Wegpunkte und die Weltkarte","ウェイポイントとワールドパネル","거점 및 세계 지도","Marcadores e o Painel Global","Порталы и Мир","Transportadores y el Panel del mundo:","เวย์พอยน์กับหน้าต่างโลก","傳送點和世界面板","","","","","","","","","","","","","","","","","","","","",3998248442,"","","","","","","","","","","","","","","","","","","",""
3465,"TutorialPanelNavigationSubtitle1","Waypoints:","Les points de téléportation :","Wegpunkte:","ウェイポイント:","거점:","Marcadores:","Порталы:","Transportadores:","เวย์พอยน์:","傳送點：","","","","","","","","","","","","","","","","","","","","",495854426,"","","","","","","","","","","","","","","","","","","",""
3466,"TutorialPanelNavigationContent1","Wraeclast is pretty big, and is full of places you'll want to visit and revisit. To help you get around, the land is dotted with 'Waypoints' which let you quickly travel to destinations you have previously visited. To use a waypoint, activate it and select where you would like to travel. You can only travel to waypoints you've activated previously, so it is always worth activating new waypoints when you come across them.","Wraeclast est une contrée assez vaste qui regorge de lieux que vous devrez visiter et revisiter. Pour vous faciliter la chose, le continent est parsemé de \""Points de téléportation\"" qui vous permettent de vous transporter vers des destinations déjà connues. Pour utiliser un point de téléportation, activez-le puis choisissez là où vous désirez aller. Vous ne pouvez vous transporter que vers des points de téléportation déjà activés, donc n'oubliez pas d'interagir avec eux lorsque vous en découvrez de nouveaux.","Wraeclast ist ziemlich groß, und es gibt zahlreiche Orte, die du erreichen willst und auch solche, zu denen du zurückkehren musst. Damit du vom vielen Laufen keine Blasen an den Füßen bekommst, sind im ganzen Land sogenannte 'Wegpunkte' verstreut. Wenn du einen Wegpunkt erst einmal aktiviert hast, kannst du von dort aus zu anderen Wegpunkten im ganzen Land reisen. Da du nur Wegpunkte nutzen kannst, die du zuvor aktiviert hast, lohnt es sich, jeden Wegpunkt zu aktivieren, den du zu Gesicht bekommst.","レイクラストは広大であり、様々な場所を訪れまたは再訪することもあるでしょう。移動を楽にするため、レイクラスト内には「ウェイポイント」が点在しており、前に訪れた場所にすぐ行くことができます。ウェイポイントを使用するには、起動して行きたい場所を選択してください。起動したウェイポイントのみへしか移動できないため、新しいウェイポイントを見つけたら起動しておくと便利です。","레이클라스트는 방대한 땅이자, 여러 번 방문하고 싶은 장소들이 가득한 지역입니다. 여행을 돕기 위해 각 지역을 '거점'과 함께 점으로 표시해두어 이전에 방문한 목적지를 빠르게 이동할 수 있도록 했습니다. 사용하려면 거점을 활성화한 후 이동하고자 하는 지역을 선택하시면 됩니다. 전에 활성화한 거점만 이용하실 수 있으니, 여행할 때마다 잊지 말고 새로운 거점을 활성화하시기 바랍니다.","Wraeclast é bem grande, e é cheia de lugares que você vai querer visitar e revisitar. Para ajudar você a se locomover, a terra é marcada com 'Marcadores' que permitem que você viaje rapidamente para destinos que você visitou anteriormente. Para usar um marcador, ative-o e selecione para onde você deseja viajar. Você só pode viajar para marcadores ativados anteriormente, então sempre vale a pena ativar novos marcadores quando os encontrar.","Рэкласт - большой континент со множеством мест, в которые вы захотите вернуться. Для этого существуют порталы, которые позволят вам быстро перемещаться между областями, в которых вы уже побывали. Чтобы использовать портал, активируйте его и выберите место, в которое хотите попасть. Вы можете перемещаться только между активированными порталами, так что как только вы встретите новый портал, имеет смысл сразу же его активировать.","Wraeclast es bastante grande y está lleno de lugares que querrás visitar una y otra vez. Así que para que te resulte más cómodo recorrerlo, hay algunos \""Transportadores\"" que te permiten viajar de forma rápida a los destinos que hayas visitado anteriormente. Para usar un transportador, actívalo y selecciona a dónde te gustaría viajar. Solo puedes viajar a transportadores que hayas activado antes, así que recuerda activar siempre todos los nuevos transportadores que encuentres.","เวร์แคลส์ทนั้นมีขนาดใหญ่พอสมควร เต็มไปด้วยสถานที่ที่คุณอยากไปเยือนและอยากไปเยือนซ้ำ แผ่นดินนี้เต็มไปด้วย 'เวย์พอยน์' ซึ่งช่วยให้คุณสามารถเดินทางไปยังที่ที่คุณเคยมาเยือน คุณสามารถใช้ เวย์พอยน์ ได้ด้วยการเปิดใช้งานมันแล้วเลือกสถานที่ที่คุณอยากเดินทาง คุณสามารถเดินทางไปสู่ เวย์พอยน์ ที่คุณเคยเปิดใช้งานเท่านั้น ดังนั้นการเปิดใช้ เวย์พอยน์ ที่พบเห็นจึงเป็นเรื่องคุ้มค่าเสมอ","瓦爾克拉斯是個非常大的陸地，也有很多地方是時常需要拜訪的。為了讓流亡者更容易跑腿，地圖上會出現許多傳送點，讓你在啟用後能夠迅速的往返。","","","","","","","","","","","","","","","","","","","","",3869207539,"","","","","","","","","","","","","","","","","","","",""
3467,"TutorialPanelNavigationImage1","Art/2DArt/UIImages/InGame/TutorialPictures/Navigation1","Art/2DArt/UIImages/InGame/TutorialPictures/Navigation1","Art/2DArt/UIImages/InGame/TutorialPictures/Navigation1","Art/2DArt/UIImages/InGame/TutorialPictures/Navigation1","Art/2DArt/UIImages/InGame/TutorialPictures/Navigation1","Art/2DArt/UIImages/InGame/TutorialPictures/Navigation1","Art/2DArt/UIImages/InGame/TutorialPictures/Navigation1","Art/2DArt/UIImages/InGame/TutorialPictures/Navigation1","Art/2DArt/UIImages/InGame/TutorialPictures/Navigation1","Art/2DArt/UIImages/InGame/TutorialPictures/Navigation1","","","","","","","","","","","","","","","","","","","","",2485064909,"","","","","","","","","","","","","","","","","","","",""
3468,"TutorialPanelNavigationCaption1","Selecting a quest icon on the World Panel will display a path to the next step of the quest.","Dans la fenêtre Monde, sélectionnez l'icône d'une quête pour en afficher le chemin vers la prochaine étape.","Wenn du das Icon einer Quest in der Weltkarte markierst, wird dir auf der Weltkarte ein Pfad mit den nächsten Schritten angezeigt.","ワールドパネルでクエストを選択すると、次のクエストへの道が示されます。","세계 지도에서 퀘스트 아이콘을 선택하면 해당 퀘스트까지 경로가 표시됩니다.","Selecionar um ícone de missão no Painel Global exibirá um caminho até a próxima parte da missão.","Выберите иконку задания, чтобы увидеть, куда идти дальше.","Al seleccionar un icono de misión en el Panel del Mundo se mostrará un camino para llegar al siguiente paso de la misión.","การเลือก ไอคอนภารกิจ ใน หน้าต่างโลก จะแสดงเส้นทางสู่ขั้นตอนต่อไปของภารกิจนั้น","選擇任務圖示後，世界面板將會顯示下一步的路線。","","","","","","","","","","","","","","","","","","","","",2205698314,"","","","","","","","","","","","","","","","","","","",""
