"rownum","Id","Stats","StatValues","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","i32_56","MapObjective","VisualIdentity","bool_92"
48,"AzmeriSpiritSwarm",[2699],[5],"Contains 5 additional [AzmeriSpirit|Azmeri Spirits]","Contains 5 additional [AzmeriSpirit|Azmeri Spirits]","Enthält 5 zusätzliche [AzmeriSpirit|Azmeri-Geister]","エリアに5体の[AzmeriSpirit|アズメリの精霊]が出現する","[AzmeriSpirit|아즈메리 혼백] 5개 추가 등장","Contém 5 [AzmeriSpirit|Espíritos Azmeri] adicionais","В области можно встретить 5 дополнительных [AzmeriSpirit|духов азмири]","Contiene 5 [AzmeriSpirit|espíritus azmeri] adicionales","ด่านมี [AzmeriSpirit|วิญญาณแอสเมรี] เพิ่มเติม 5 ตน","區域含有5個[AzmeriSpirit|阿茲莫里魂靈]","Swarming Spirits","Swarming Spirits","Schwirrende Geister","群がる精霊","몰려드는 혼백","Espíritos Enxameantes","Наводняющие духи","Congregación de espíritus","รวมฝูงวิญญาณ","魂靈蜂擁",56,"",56,""
49,"MapBossesInArea",[25417],[3],"Contains 3 additional [MapBoss|Map Bosses] throughout the area","Contains 3 additional [MapBoss|Map Bosses] throughout the area","Enthält 3 zusätzliche [MapBoss|Kartenbosse] im gesamten Gebiet","エリア全体に[MapBoss|マップボス]が追加で3体出現する","지역 전체에 [AzmeriSpirit|아즈메리 혼백] 3개 추가 등장","Contém 3 [MapBoss|chefes de mapa] adicionais espalhados pela área","В области можно встретить 3 дополнительных [MapBoss|боссов карт] по всей области","Contiene 3 [MapBoss|jefes del mapa] adicionales en el área","มี[MapBoss|บอสประจำแผนที่] เพิ่มเติม 3 ตัว ทั่วทั้งด่าน","區域內含有3名[MapBoss|地圖頭目]","Power Struggle","Power Struggle","Machtkampf","権力闘争","힘 싸움","Luta pelo Poder","Борьба за власть","Lucha de poder","ช่วงชิงอำนาจ","力量爭奪",56,"",57,""
50,"CorruptionRandomArea",[4737],[2],"Area has 2 additional random Waystone Modifiers","Area has 2 additional random Waystone Modifiers","Gebiet hat 2 zusätzliche zufällige Wegstein-Modifikatoren","エリアはランダムなウェイストーンモッドを追加で2個持つ","지역에 무작위 경로석 속성 2개 추가","Área tem 2 modificadores de Pedra-guia adicionais aleatórios","На область действуют 2 дополнительных случайных свойства путевых камней","El área tiene 2 modificadores de piedras guía aleatorios adicionales","ด่านมี ม็อดศิลานำทางแบบสุ่ม เพิ่มเติม 2 อย่าง","區域有 2 個額外的隨機換界石詞綴","Corrupted Mirage","Corrupted Mirage","Verderbtes Trugbild","穢れた蜃気楼","타락한 신기루","Miragem Corrompida","Осквернённый мираж","Espejismo corrupto","มิราจมลทิน","腐化幻象",56,"",58,""
51,"TabletDoubleEffect",[20103],[100],"Doubles Effect of [Tablet|Tablets] used on Area","Doubles Effect of [Tablet|Tablets] used on Area","Verdoppelt die Wirkung von [Tablet|Tafeln], die auf das Gebiet angewendet werden","エリアに使用された[Tablet|石板]の効果が2倍になる","지역에 사용된 [Tablet|서판]의 효과 2배","Dobra o efeito das [Tablet|tábuas] usadas na área","Удваивает эффект использованных на области [Tablet|плиток]","Duplica el efecto de las [Tablet|tablillas] que se usan en el área","เพิ่มผลของ [Tablet|แผ่นหิน] ที่ใช้ในด่าน เป็นสองเท่า","區域上使用的[Tablet|碑牌]效果加倍","Energized Ley Lines","Energized Ley Lines","Energetisierte Ley-Linien","活性化したレイライン","에너지를 띤 지맥","Fluxos Energéticos Energizados","Напитанные энергетические линии","Líneas ley energizadas","เส้นพลังงานแรงกล้า","能量地脈",56,"",59,""
52,"ExceptionalItemChance","[25437,25494,25495,25496,25497,26114]","[1000,1,1,1,1,1]","1000% increased [ExceptionalItem|Exceptional Items] found in Area\nMonster may drop any[ExceptionalItem|Exceptional Items]","1000% increased [ExceptionalItem|Exceptional Items] found in Area\nMonster may drop any[ExceptionalItem|Exceptional Items]","1000% erhöhte [ExceptionalItem|außergewöhnliche Gegenstände], die im Gebiet gefunden werden\nMonster können beliebige [ExceptionalItem|außergewöhnliche Gegenstände] fallen lassen","エリアで見つかる[ExceptionalItem|規格外アイテム]が100%増加する\nモンスターは[ExceptionalItem|規格外アイテム]をドロップすることがある","지역에서 발견하는 [ExceptionalItem|특출난 아이템] 1000% 증가\n몬스터가 아무 [ExceptionalItem|특출난 아이템]이나 떨어뜨릴 수 있음","1.000% mais [ExceptionalItem|itens excepcionais] encontrados na área\nOs monstros podem largar qualquer [ExceptionalItem|item excepcional]","1000% увеличение количества найденных в области [ExceptionalItem|исключительных предметов]\nИз монстров могут выпадать любые [ExceptionalItem|исключительные предметы]","Cantidad de [ExceptionalItem|objetos excepcionales] encontrados en el área aumentada un 1000%\nEl monstruo puede arrojar cualquier [ExceptionalItem|objeto excepcional]","เพิ่ม [ExceptionalItem|ไอเทมดีเด่น] ที่พบในด่าน 1000%\nมอนสเตอร์อาจดรอป [ExceptionalItem|ไอเทมดีเด่น] ใดก็ได้","區域內找到的[ExceptionalItem|卓越物品]提高1000%\n怪物可以掉落任意[ExceptionalItem|卓越物品]","Exceptional Find","Exceptional Find","Außergewöhnlicher Fund","規格外の発見","특출난 발견","Achado Excepcional","Исключительная находка","Descubrimiento excepcional","พบเจอของดี","卓越發現",56,"",60,""
53,"WaterBiome",[25856],[1],"Also counts as a [Biome|Water] Area","Also counts as a [Biome|Water] Area","Zählt auch als [Biome|Wasser]gebiet","[Biom|水]バイオームエリアとしても見なされる","[Biome|물] 지역으로도 간주됨","Também conta como uma área de [Biome|água]","Также считается [Biome|водной] областью","También cuenta como un área de [Biome|agua]","นับว่าเป็น ด่าน[Biome|สายน้ำ] เช่นกัน","同時計算為[Biome|水域]區域","Water Influence","Water Influence","Wassereinfluss","水の影響","물 영향력","Influência da Água","Влияние воды","Influencia de agua","อิทธิพลสายน้ำ","水域影響",56,"",61,""
54,"MountainBiome",[25857],[1],"Also counts as a [Biome|Mountain] Area","Also counts as a [Biome|Mountain] Area","Zählt auch als [Biome|Berg]gebiet","[Biom|山]バイオームエリアとしても見なされる","[Biome|산] 지역으로도 간주됨","Também conta como uma área de [Biome|montanha]","Также считается [Biome|горной] областью","También cuenta como un área de [Biome|montaña]","นับว่าเป็น ด่าน[Biome|ภูเขา] เช่นกัน","同時計算為[Biome|山地]區域","Mountain Influence","Mountain Influence","Bergeinfluss","山の影響","산 영향력","Influência da Montanha","Влияние горы","Influencia de montaña","อิทธิพลภูเขา","山地影響",56,"",62,""
55,"GrassBiome",[25858],[1],"Also counts as a [Biome|Grass] Area","Also counts as a [Biome|Grass] Area","Zählt auch als [Biome|Gras]gebiet","[Biom|草原]バイオームエリアとしても見なされる","[Biome|풀] 지역으로도 간주됨","Também conta como uma área de [Biome|relva]","Также считается [Biome|травянистой] областью","También cuenta como un área de [Biome|hierba]","นับว่าเป็น ด่าน[Biome|หญ้า] เช่นกัน","同時計算為[Biome|草地]區域","Grass Influence","Grass Influence","Graseinfluss","草原の影響","풀 영향력","Influência da Relva","Влияние травы","Influencia de hierba","อิทธิพลหญ้า","草地影響",56,"",63,""
56,"ForestBiome",[25859],[1],"Also counts as a [Biome|Forest] Area","Also counts as a [Biome|Forest] Area","Zählt auch als [Biome|Wald]gebiet","[Biom|森]バイオームエリアとしても見なされる","[Biome|숲] 지역으로도 간주됨","Também conta como uma área de [Biome|floresta]","Также считается [Biome|лесной] областью","También cuenta como un área de [Biome|bosque]","นับว่าเป็น ด่าน[Biome|ป่า] เช่นกัน","同時計算為[Biome|森林]區域","Forest Influence","Forest Influence","Waldeinfluss","森の影響","숲 영향력","Influência da Floresta","Влияние леса","Influencia de bosque","อิทธิพลป่า","森林影響",56,"",64,""
57,"SwampBiome",[25860],[1],"Also counts as a [Biome|Swamp] Area","Also counts as a [Biome|Swamp] Area","Zählt auch als [Biome|Sumpf]gebiet","[Biom|沼]バイオームエリアとしても見なされる","[Biome|늪] 지역으로도 간주됨","Também conta como uma área de [Biome|pântano]","Также считается [Biome|болотистой] областью","También cuenta como un área de [Biome|pantano]","นับว่าเป็น ด่าน[Biome|หนองน้ำ] เช่นกัน","同時計算為[Biome|沼澤]區域","Swamp Influence","Swamp Influence","Sumpfeinfluss","沼の影響","늪 영향력","Influência do Pântano","Влияние болота","Influencia de pantano","อิทธิพลหนองน้ำ","沼澤影響",56,"",65,""
58,"DesertBiome",[25861],[1],"Also counts as a [Biome|Desert] Area","Also counts as a [Biome|Desert] Area","Zählt auch als [Biome|Wüsten]gebiet","[Biom|砂漠]バイオームエリアとしても見なされる","[Biome|사막] 지역으로도 간주됨","Também conta como uma área de [Biome|deserto]","Также считается [Biome|пустынной] областью","También cuenta como un área de [Biome|desierto]","นับว่าเป็น ด่าน[Biome|ทะเลทราย] เช่นกัน","同時計算為[Biome|沙漠]區域","Desert Influence","Desert Influence","Wüsteneinfluss","砂漠の影響","사막 영향력","Influência do Deserto","Влияние пустыни","Influencia de desierto","อิทธิพลทะเลทราย","沙漠影響",56,"",66,""
59,"ImmuredFuryQuest","[21949,14940,21593]","[1,1,20]","Doryani has spotted [ImmuredFury|The Immured Fury] in this Area","Doryani has spotted [ImmuredFury|The Immured Fury] in this Area","Doryani hat [ImmuredFury|Den fleischgewordenen Zorn] in diesem Gebiet gesichtet","ドリヤニがエリアで[ImmuredFury|幽閉された憤怒]を発見した","도리아니가 이 지역에서 [ImmuredFury|유폐된 광분]을 포착함","Doryani avistou o [ImmuredFury|Furor Confinado] nessa área","Дориани обнаружил [ImmuredFury|Замурованную ярость] в этой области","Doryani ha avistado a la [ImmuredFury|Furia encarcelada] en esta área","ดอร์ยานีได้พบกับ [ImmuredFury|โทสะใต้พันธนาการ] ในด่าน","多里亞尼在此區域發現了[ImmuredFury|禁錮之怒]","Immured Fury","Immured Fury","Fleischgewordener Zorn","幽閉された憤怒","유폐된 광분","Furor Confinado","Замурованная ярость","Furia encarcelada","โทสะใต้พันธนาการ","禁錮之怒",56,"",4,1
60,"AllDropsNotEquipment",[21619],[1],"[Equipment] dropped by monsters is replaced with other items","[Equipment] dropped by monsters is replaced with other items","[Equipment|Ausrüstung], die von Monstern fallen gelassen wird, wird durch andere Gegenstände ersetzt","モンスターがドロップする[Equipment|装備品]は他のアイテムに置き換えられる","몬스터들이 떨어뜨리는 [Equipment|장비]가 다른 아이템으로 교체됨","[Equipment|Equipamentos] largados por monstros são substituídos por outros itens","Выпавшее из монстров [Equipment|снаряжение] заменяется другими предметами","El [Equipment|equipamiento] que arrojan los monstruos se reemplaza por otros objetos","[Equipment|ไอเทมสวมใส่] ที่ดรอปจากมอนสเตอร์ ถูกแทนที่ด้วย ไอเทมชนิดอื่น","怪物掉落的[Equipment|裝備]會被其他物品替換","Mirage of Riches","Mirage of Riches","Illusion des Reichtums","富の蜃気楼","재물의 신기루","Miragem das Riquezas","Мираж богатства","Espejismo de riquezas","มิราจนำทรัพย์","財富幻象",56,"",67,""
61,"ExperienceGain",[1359],[1],"Monsters grant 100% increased Experience","Monsters grant 100% increased Experience","Monster gewähren 100% erhöhte Erfahrungspunkte","モンスターが付与する経験値は100%増加する","몬스터가 주는 경험치 100% 증가","Monstros concedem experiência aumentada em 100%","Монстры дают увеличенный на 100% опыт","Los monstruos otorgan la experiencia aumentada un 100%","มอนสเตอร์ ให้ค่าประสบการณ์ เพิ่มขึ้น 100%","怪物增加100%經驗","Wisdom's Teachings","Wisdom's Teachings","Lehren der Weisheit","知恵の教え","지혜의 가르침","Ensinamentos de Sabedoria","Учения мудрости","Enseñanzas sabias","ภูมิปัญญาพร่ำสอน","智慧傳授",56,"",68,""
62,"AllDropsNotGold",[24887],[-100],"Gold dropped by monsters is replaced with other items","Gold dropped by monsters is replaced with other items","Das von Monstern fallengelassene Gold wird durch andere Gegenstände ersetzt","モンスターがドロップするゴールドは他のアイテムに置き換えられる","몬스터들이 떨어뜨리는 금화가 다른 아이템으로 교체됨","Ouro largado por monstros é substituído por outros itens","Выпавшее из монстров золото заменяется другими предметами","El oro que arrojan los monstruos se reemplaza por otros objetos","ทอง ที่ดรอปจากมอนสเตอร์ ถูกแทนที่ด้วย ไอเทมชนิดอื่น","怪物掉落的金幣會被其他物品替換","Tight Pockets","Tight Pockets","Leere Taschen","小さなポケット","가벼운 주머니","Unha de Fome","Тугие карманы","Cortos de dinero","กระเป๋าแบน","緊縮口袋",56,"",69,""
63,"LivesAndEffectiveness","[4797,24367]","[1,100]","Players have unlimited [LimitedRespawn|Revivals] in area\nMonsters have 100% increased [MonsterEffectiveness|Effectiveness]","Players have unlimited [LimitedRespawn|Revivals] in area\nMonsters have 100% increased [MonsterEffectiveness|Effectiveness]","Spieler haben in diesem Gebiet unbegrenzte [LimitedRespawn|Wiederbelebungen]\nMonster haben 100% erhöhte [MonsterEffectiveness|Schlagkraft]","エリアでのプレイヤーの[LimitedRespawn|復活試行回数]が無限になる\nモンスターの[MonsterEffectiveness|エフェクティブ]が100%増加する","지역 내 플레이어들이 무한히 [LimitedRespawn|부활]할 수 있음\n몬스터의 [MonsterEffectiveness|효율] 100% 증가","Jogadores têm [LimitedRespawn|renascimentos] ilimitados na área\nMonstros têm a [MonsterEffectiveness|eficiência] aumentada em 100%","У игроков в области неограниченные [LimitedRespawn|возрождения]\n100% повышение [MonsterEffectiveness|эффективности] монстров","Los jugadores tienen [LimitedRespawn|resurrecciones] ilimitadas en el área\nLos monstruos tienen la [MonsterEffectiveness|efectividad] aumentada un 100%","ผู้เล่น มี[LimitedRespawn|สิทธิ์คืนชีพ]ในด่าน ไม่จำกัด\nมอนเตอร์ มี[MonsterEffectiveness|ประสิทธิภาพ] เพิ่มขึ้น 100%","區域中的玩家沒有的[LimitedRespawn|復活]次數限制\n怪物增加100%[MonsterEffectiveness|效用]","Fragment of Immortality","Fragment of Immortality","Fragment der Unsterblichkeit","不死のかけら","불멸의 조각","Fragmento da Imortalidade","Осколок бессмертия","Fragmento de inmortalidad","เศษพลังคงกระพัน","永生碎片",56,"",70,""
64,"ItemRarityGreater",[1239],[100],"100% increased [Rarity] of items found in area","100% increased [Rarity] of items found in area","100% höhere [Rarity|Seltenheit] der in diesem Gebiet gefundenen Gegenstände","エリアで見つかるアイテムの[Rarity|レアリティ]が100%増加する","지역에서 발견하는 아이템 [Rarity|희귀도] 100% 증가","[Rarity|Raridade] de itens encontrados na área aumentada em 100%","100% повышение [Rarity|редкости] найденных в области предметов","[Rarity|Rareza] de los objetos encontrados en el área aumentada un 100%","เพิ่ม[Rarity|ระดับความหายาก]ของ ไอเทม ที่พบในด่าน 100%","增加100%區域中找到的物品[Rarity|稀有度]","Prosperous Populous","Prosperous Populous","Blühendes Volk","繫栄する民衆","번영하는 인구","População Próspera","Процветающая популяция","Abundancia y prosperidad","กลุ่มชนรุ่งเรือง","富裕繁榮",56,"",71,""
65,"DuplicatedRares",[8340],[5],"5 [Rarity|Rare] Monsters are Duplicated","5 [Rarity|Rare] Monsters are Duplicated","5 [Rarity|seltene] Monster werden dupliziert","5体の[Rarity|レア]モンスターが複製される","[Rarity|희귀] 몬스터 5마리가 복제됨","5 monstros [Rarity|raros] são duplicados","5 [Rarity|редких] монстров продублированы","5 monstruos [Rarity|raros] están duplicados","มอนสเตอร์[Rarity|แรร์] 5 ตัว ถูกสร้างซ้ำ","5名[Rarity|稀有]怪物會被複製","Echoes of Power","Echoes of Power","Echos der Macht","力の反響","힘의 메아리","Ecos de Poder","Отголоски силы","Ecos de poder","ภาพสะท้อนของพลัง","力量回聲",56,"",72,""
