"rownum","Id","ItemClass","Width","Height","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","InheritsFrom","DropLevel","FlavourText","Implicit_Mods","SizeOnGround","SoundEffect","Tags","ModDomain","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Inflection (French)","Inflection (German)","Inflection (Japanese)","Inflection (Korean)","Inflection (Portuguese)","Inflection (Russian)","Inflection (Spanish)","Inflection (Thai)","Inflection (Traditional Chinese)","Equip_AchievementItem","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemType","bool_225","UncutGemSoundEffect","rid_242","bool_258","Unmodifiable","Achievement","ShopTag","rid_292","i32_308","[rid]_312","[rid]_328","[rid]_344"
2215,"Metadata/Items/Weapons/TwoHandWeapons/Traps/FourTrap1",97,2,2,"Clay Trap","Piège en argile","Lehmfalle","粘土のトラップ","점토 덫","Armadilha de Argila","Глиняная ловушка","Trampa de arcilla","Clay Trap","黏土陷阱","Metadata/Items/TrapTools/AbstractTrapTool",2,"",[],2,"",[],1,14757,1115643247,[],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2216,"Metadata/Items/Weapons/TwoHandWeapons/Traps/FourTrap2",97,2,2,"Clamping Trap","Piège à mâchoires","Klemmfalle","締め付けトラップ","죔쇠 덫","Armadilha de Grampos","Ловушка-капкан","Trampa apresante","Clamping Trap","猛夾陷阱","Metadata/Items/TrapTools/AbstractTrapTool",6,"",[],2,"",[],1,14758,3206282995,[],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2217,"Metadata/Items/Weapons/TwoHandWeapons/Traps/FourTrap3",97,1,3,"Shrapnel Trap","Piège à shrapnel","Schrapnellfalle","榴散弾のトラップ","파편 덫","Armadilha de Estilhaços","Ловушка со шрапнелью","Trampa de metralla","Shrapnel Trap","彈片陷阱","Metadata/Items/TrapTools/AbstractTrapTool",10,"",[],2,"",[],1,14759,1157237161,[],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2218,"Metadata/Items/Weapons/TwoHandWeapons/Traps/FourTrap4",97,2,2,"Urn Trap","Piège urne","Urnenfalle","壺のトラップ","단지 덫","Armadilha de Urna","Ловушка в кувшине","Trampa de urna","Urn Trap","甕陷阱","Metadata/Items/TrapTools/AbstractTrapTool",16,"",[],2,"",[],1,14760,2481219534,[],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2219,"Metadata/Items/Weapons/TwoHandWeapons/Traps/FourTrap5",97,1,3,"Incense Trap","Piège encensoir","Weihrauch-Falle","香炉のトラップ","향 덫","Armadilha de Incenso","Ловушка в курительнице","Trampa de incienso","Incense Trap","香爐陷阱","Metadata/Items/TrapTools/AbstractTrapTool",22,"",[1757],2,"",[],1,14761,3758102845,[],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2220,"Metadata/Items/Weapons/TwoHandWeapons/Traps/FourTrap6",97,2,2,"Bladed Trap","Piège à lames","Klingenfalle","刃のトラップ","칼날 덫","Armadilha Laminada","Ловушка с лезвиями","Trampa afilada","Bladed Trap","刀刃陷阱","Metadata/Items/TrapTools/AbstractTrapTool",27,"",[],2,"",[],1,14762,724482824,[],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2221,"Metadata/Items/Weapons/TwoHandWeapons/Traps/FourTrap7",97,1,3,"Dart Trap","Piège à fléchettes","Pfeilfalle","投げ矢のトラップ","화살침 덫","Armadilha de Dardos","Ловушка с дротиками","Trampa de dardos","Dart Trap","飛鏢陷阱","Metadata/Items/TrapTools/AbstractTrapTool",33,"",[],2,"",[],1,14763,2055574315,[],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2222,"Metadata/Items/Weapons/TwoHandWeapons/Traps/FourTrap8",97,2,2,"Spike Trap","Piège à pointes","Stachelfalle","スパイクのトラップ","가시 덫","Armadilha de Estacas","Ловушка с клиньями","Trampa de pinchos","Spike Trap","尖刺陷阱","Metadata/Items/TrapTools/AbstractTrapTool",38,"",[],2,"",[],1,14764,1307738444,[],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2223,"Metadata/Items/Weapons/TwoHandWeapons/Traps/FourTrap9",97,1,3,"Coiled Trap","Piège enroulé","Spiralfalle","ばね仕掛けのトラップ","코일형 덫","Armadilha Enrolada","Ловушка с катушкой","Trampa espiralada","Coiled Trap","纏繞陷阱","Metadata/Items/TrapTools/AbstractTrapTool",45,"",[],2,"",[],1,14765,2468980859,[],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2224,"Metadata/Items/Weapons/TwoHandWeapons/Traps/FourTrap10",97,2,2,"Lead Trap","Piège en plomb","Bleifalle","鉛のトラップ","납 덫","Armadilha de Chumbo","Свинцовая ловушка","Trampa de plomo","Lead Trap","誘導陷阱","Metadata/Items/TrapTools/AbstractTrapTool",49,"",[],2,"",[],1,14766,950603118,[],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2225,"Metadata/Items/Weapons/TwoHandWeapons/Traps/FourTrap11",97,2,2,"Medallion Trap","Piège médaillon","Medaillon-Falle","メダリオントラップ","메달리온 덫","Armadilha de Medalhão","Розеточная ловушка","Trampa de medallón","Medallion Trap","獎章陷阱","Metadata/Items/TrapTools/AbstractTrapTool",52,"",[],2,"",[],1,14767,4138478430,[],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2226,"Metadata/Items/Weapons/TwoHandWeapons/Traps/FourTrap12",97,1,3,"Intricate Trap","Piège complexe","Komplizierte Falle","複雑なトラップ","정교한 덫","Armadilha Complexa","Затейливая ловушка","Trampa intrincada","Intricate Trap","複雜陷阱","Metadata/Items/TrapTools/AbstractTrapTool",56,"",[],2,"",[],1,14768,1539673769,[],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2227,"Metadata/Items/Weapons/TwoHandWeapons/Traps/FourTrap13",97,2,2,"Refined Trap","Piège raffiné","Raffinierte Falle","洗練されたトラップ","제련된 덫","Armadilha Refinada","Утончённая ловушка","Trampa refinada","Refined Trap","精製陷阱","Metadata/Items/TrapTools/AbstractTrapTool",65,"",[],2,"",[],1,14769,1098486026,[],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2228,"Metadata/Items/Weapons/TwoHandWeapons/Talismans/Talisman1",109,2,2,"Changeling Talisman","Talisman changelin","Wechselbalg-Talisman","変身のタリスマン","체인질링 부적","Talismã de Metamorfo","Талисман-перевёртыш","Talismán cambiaformas","Changeling Talisman","變形魔符","Metadata/Items/Weapons/TwoHandWeapons/TwoHandTalismans/AbstractTalisman",1,"",[],2,701,[1082],1,14770,2068548253,[],"","M","M","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2229,"Metadata/Items/Weapons/TwoHandWeapons/Talismans/Talisman2",109,2,2,"Nettle Talisman","Talisman urticant","Nessel-Talisman","イラクサのタリスマン","쐐기풀 부적","Talismã de Urtiga","Талисман из крапивы","Talismán espinoso","Nettle Talisman","蕁麻魔符","Metadata/Items/Weapons/TwoHandWeapons/TwoHandTalismans/AbstractTalisman",5,"",[],2,701,[1082],1,14771,2585641251,[],"","M","M","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2230,"Metadata/Items/Weapons/TwoHandWeapons/Talismans/Talisman3",109,2,2,"Cinderbark Talisman","Talisman braisécorce","Glutrinden-Talisman","灰皮のタリスマン","재껍질 부적","Talismã de Cascagris","Талисман из угольной коры","Talismán cortezagrís","Cinderbark Talisman","灰樹皮魔符","Metadata/Items/Weapons/TwoHandWeapons/TwoHandTalismans/AbstractTalisman",10,"",[1694],2,701,[1082],1,14772,1703567990,[],"","M","M","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2231,"Metadata/Items/Weapons/TwoHandWeapons/Talismans/Talisman4",109,2,2,"Familial Talisman","Talisman familial","Familiärer Talisman","眷属のタリスマン","가문의 부적","Talismã Familiar","Наследственный талисман","Talismán familiar","Familial Talisman","家族魔符","Metadata/Items/Weapons/TwoHandWeapons/TwoHandTalismans/AbstractTalisman",16,"",[1695],2,701,[1083],1,14773,1956927609,[],"","M","M","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2232,"Metadata/Items/Weapons/TwoHandWeapons/Talismans/Talisman5",109,2,2,"Frenzied Talisman","Talisman frénétique","Rasender Talisman","狂乱のタリスマン","격분의 부적","Talismã Enfurecido","Буйный талисман","Talismán frenético","Frenzied Talisman","狂亂魔符","Metadata/Items/Weapons/TwoHandWeapons/TwoHandTalismans/AbstractTalisman",22,"",[],2,701,[1083],1,14774,3384688974,[],"","M","M","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2233,"Metadata/Items/Weapons/TwoHandWeapons/Talismans/Talisman6",109,2,2,"Primal Talisman","Talisman primitif","Urzeitlicher Talisman","原始のタリスマン","원시 부적","Talismã Primal","Первобытный талисман","Talismán primitivo","Primal Talisman","原始魔符","Metadata/Items/Weapons/TwoHandWeapons/TwoHandTalismans/AbstractTalisman",28,"",[1700],2,701,[1083],1,14775,345421177,[],"","M","M","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2234,"Metadata/Items/Weapons/TwoHandWeapons/Talismans/Talisman7",109,2,2,"Rabid Talisman","Talisman rabique","Tollwütiger Talisman","狂犬病のタリスマン","광포한 부적","Talismã Raivoso","Бешеный талисман","Talismán rabioso","Rabid Talisman","狂暴魔符","Metadata/Items/Weapons/TwoHandWeapons/TwoHandTalismans/AbstractTalisman",34,"",[1698],2,701,[1084],1,14776,844730749,[],"","M","M","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2235,"Metadata/Items/Weapons/TwoHandWeapons/Talismans/Talisman8",109,2,2,"Vicious Talisman","Talisman vicieux","Boshafter Talisman","獰猛のタリスマン","포악한 부적","Talismã Terrível","Злобный талисман ","Talismán agresivo","Vicious Talisman","惡毒魔符","Metadata/Items/Weapons/TwoHandWeapons/TwoHandTalismans/AbstractTalisman",40,"",[],2,701,[1084],1,14777,935900636,[],"","M","M","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2236,"Metadata/Items/Weapons/TwoHandWeapons/Talismans/Talisman9",109,2,2,"Voltfang Talisman","Talisman voltecroc","Stromzahn-Talisman","電牙のタリスマン","전기송곳니 부적","Talismã Voltepresa","Талисман грозового когтя","Talismán colmilloléctrico","Voltfang Talisman","伏特之牙魔符","Metadata/Items/Weapons/TwoHandWeapons/TwoHandTalismans/AbstractTalisman",46,"",[1697],2,701,[1179],1,14778,3618590385,[],"","M","M","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2237,"Metadata/Items/Weapons/TwoHandWeapons/Talismans/Talisman10",109,2,2,"Lumbering Talisman","Talisman sylvestre","Schwerfälliger Talisman","鈍重のタリスマン","굼뜬 부적","Talismã Claudicante","Талисман увальня","Talismán pesado","Lumbering Talisman","笨重魔符","Metadata/Items/Weapons/TwoHandWeapons/TwoHandTalismans/AbstractTalisman",52,"",[],2,701,[1179],1,14779,2035277932,[],"","M","M","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2238,"Metadata/Items/Weapons/TwoHandWeapons/Talismans/Talisman11",109,2,2,"Roaring Talisman","Talisman rugissant","Brüllender Talisman","咆哮のタリスマン","포효하는 부적","Talismã Estrondoso","Ревущий талисман","Talismán aullador","Roaring Talisman","咆哮魔符","Metadata/Items/Weapons/TwoHandWeapons/TwoHandTalismans/AbstractTalisman",58,"",[1698],2,701,[],1,14780,881583161,[],"","M","M","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2239,"Metadata/Items/Weapons/TwoHandWeapons/Talismans/Talisman12",109,2,2,"Wingbeat Talisman","Talisman ailebattue","Flügelschlag-Talisman","翼撃のタリスマン","날갯짓 부적","Talismã Bateasas","Крылатый талисман","Talismán golpealado","Wingbeat Talisman","振翼魔符","Metadata/Items/Weapons/TwoHandWeapons/TwoHandTalismans/AbstractTalisman",65,"",[],2,701,[],1,14781,4260552182,[],"","M","M","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2240,"Metadata/Items/Weapons/TwoHandWeapons/Talismans/Talisman13",109,2,2,"Condemned Talisman","Talisman condamné","Verurteilter Talisman","断罪のタリスマン","사형수의 부적","Talismã Condenado","Талисман осуждённого","Talismán condenado","Condemned Talisman","譴責魔符","Metadata/Items/Weapons/TwoHandWeapons/TwoHandTalismans/AbstractTalisman",65,"",[1699],2,701,[],1,14782,1119325071,[],"","M","M","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2241,"Metadata/Items/Armours/BodyArmours/FourBodyStr1",24,2,3,"Rusted Cuirass","Cuirasse rouillée","Verrosteter Kürass","錆びた胴鎧","녹슨 흉갑","Couraça Enferrujada","Ржавая кираса","Coraza oxidada","Rusted Cuirass","生鏽胸甲","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",1,"",[],3,"","[38,1082]",1,14786,2537089471,[],"","F","M","","","F","FS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2242,"Metadata/Items/Armours/BodyArmours/FourBodyStr2",24,2,3,"Fur Plate","Plastron en fourrure","Pelzpanzer","毛皮張りのプレート","모피 판금 갑옷","Placas de Pele","Меховой доспех","Peto de piel","Fur Plate","毛皮鎧甲","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",4,"",[],3,"","[38,1082]",1,14787,2296070016,[],"","M","M","","","FP","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2243,"Metadata/Items/Armours/BodyArmours/FourBodyStr3",24,2,3,"Iron Cuirass","Cuirasse en fer","Eisen-Kürass","鉄の胴鎧","철 흉갑","Couraça de Ferro","Железная кираса","Coraza de hierro","Iron Cuirass","鍛鐵胸甲","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",11,"",[],3,"","[38,1082]",1,14788,3601767394,[],"","F","M","","","F","FS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2244,"Metadata/Items/Armours/BodyArmours/FourBodyStr4",24,2,3,"Raider Plate","Plastron de pillard","Plündererpanzer","襲撃者のプレート","레이더 판금 갑옷","Placas do Saqueador","Рейдерский нагрудник","Peto de incursor","Raider Plate","俠客鎧甲","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",16,"",[],3,"","[38,1083]",1,14789,3874038005,[],"","M","M","","","FP","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2245,"Metadata/Items/Armours/BodyArmours/FourBodyStr5",24,2,3,"Maraketh Cuirass","Cuirasse maraketh","Maraketh-Kürass","マラケスの胴鎧","마라케스 흉갑","Couraça Maraketh","Маракетская кираса","Coraza maraketh","Maraketh Cuirass","馬拉克斯胸甲","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",20,"",[],3,"","[38,1083]",1,14790,3050892703,[],"","F","M","","","F","FS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2246,"Metadata/Items/Armours/BodyArmours/FourBodyStr6",24,2,3,"Steel Plate","Plastron en acier","Stahlpanzer","鋼鉄のプレート","강철 판금 갑옷","Placas de Aço","Стальной доспех","Peto de acero","Steel Plate","堅鋼鎧甲","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",27,"",[],3,"","[38,1083]",1,14791,1772064554,[],"","M","M","","","FP","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2247,"Metadata/Items/Armours/BodyArmours/FourBodyStr7",24,2,3,"Full Plate","Plastron complet","Panzerrüstung","フルプレート","전신 판금 갑옷","Placas Completas","Полные латы","Armadura de placas","Full Plate","連身鎧甲","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",33,"",[],3,"","[38,1084]",1,14792,4115603329,[],"","M","F","","","FP","FP","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2248,"Metadata/Items/Armours/BodyArmours/FourBodyStr8",24,2,3,"Vaal Cuirass","Cuirasse vaal","Vaal-Kürass","ヴァールの胴鎧","바알 흉갑","Couraça Vaal","Нагрудник ваал","Coraza vaal","Vaal Cuirass","瓦爾胸甲","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",37,"",[],3,"","[38,1084]",1,14793,2465163480,[],"","F","M","","","F","MS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2249,"Metadata/Items/Armours/BodyArmours/FourBodyStr9",24,2,3,"Juggernaut Plate","Plastron de colosse","Kolosspanzer","ジャガーノートプレート","거수 판금 갑옷","Placas do Colosso","Доспех покорителя","Peto de coloso","Juggernaut Plate","勇士鎧甲","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",45,"",[],3,"","[38,1179]",1,14794,1261194709,[],"","M","M","","","FP","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2250,"Metadata/Items/Armours/BodyArmours/FourBodyStr10",24,2,3,"Chieftain Cuirass","Cuirasse de chef tribal","Stammesführerkürass","族長の胴鎧","치프틴 흉갑","Couraça do Caudilho","Доспех вождя","Coraza de jefe de guerra","Chieftain Cuirass","酋長胸甲","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",50,"",[],3,"","[38,1179]",1,14795,1931529478,[],"","F","M","","","F","MS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2251,"Metadata/Items/Armours/BodyArmours/FourBodyStr11",24,2,3,"Colosseum Plate","Plastron du colisée","Kolosseumspanzer","コロシアムプレート","원형 경기장 판금 갑옷","Placas do Coliseu","Доспех поединщика","Peto de coliseo","Colosseum Plate","決鬥之鎧","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",52,"",[],3,"",[38],1,14796,3514988717,[],"","M","M","","","FP","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2252,"Metadata/Items/Armours/BodyArmours/FourBodyStr12",24,2,3,"Champion Cuirass","Cuirasse de champion","Streiterkürass","王者の胴鎧","챔피언 흉갑","Couraça do Campeão","Доспех чемпиона","Coraza de campeón","Champion Cuirass","冠軍胸甲","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",58,"",[],3,"",[38],1,14797,1291240908,[],"","F","M","","","F","MS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2253,"Metadata/Items/Armours/BodyArmours/FourBodyStr13",24,2,3,"Glorious Plate","Cuirasse glorieuse","Prachtpanzer","栄光のプレート","영광의 판금 갑옷","Placas Gloriosas","Великолепные латы","Peto glorioso","Glorious Plate","榮耀戰鎧","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",65,"",[],3,"",[38],1,14798,2570281595,[],"","F","M","","","FP","FP","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2254,"Metadata/Items/Armours/BodyArmours/FourBodyStr14",24,2,3,"Conqueror Plate","Plastron de conquérant","Erobererpanzer","征服者のプレート","정복자 판금 갑옷","Placas do Conquistador","Доспех завоевателя","Peto de conquistador","Conqueror Plate","征服者鎧甲","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",68,"",[1644],3,"",[38],1,14799,3619795429,[],"","M","M","","","FP","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2255,"Metadata/Items/Armours/BodyArmours/FourBodyStr15",24,2,3,"Abyssal Cuirass","Cuirasse abyssale","Abgrund-Kürass","深淵の胴鎧","심연의 흉갑","Couraça Abissal","Доспех кромешной тьмы","Coraza abisal","Abyssal Cuirass","深淵胸甲","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",73,"",[1645],3,"",[38],1,14800,1310137064,[],"","F","M","","","F","MS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2256,"Metadata/Items/Armours/BodyArmours/FourBodyDex1",24,2,3,"Leather Vest","Tunique en cuir","Lederweste","革のベスト","가죽 조끼","Colete de Couro","Кожаный жилет","Jubón de cuero","Leather Vest","皮革背心","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",1,"",[],3,"","[39,1082]",1,14801,348967927,[],"","F","F","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2257,"Metadata/Items/Armours/BodyArmours/FourBodyDex2",24,2,3,"Quilted Vest","Tunique matelassée","Steppweste","キルティングベスト","누비 조끼","Colete Acolchoado","Стёганый жилет","Jubón acolchado","Quilted Vest","襯墊背心","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",4,"",[],3,"","[39,1082]",1,14802,3377190258,[],"","F","F","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2258,"Metadata/Items/Armours/BodyArmours/FourBodyDex3",24,2,3,"Pathfinder Coat","Pardessus d'éclaireur","Pfadfinderwams","開拓者のコート","패스파인더 외투","Casaco do Desbravador","Куртка следопыта","Coselete de rastreadora","Pathfinder Coat","追獵者外套","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",11,"",[],3,"","[39,1082]",1,14803,2857341891,[],"","M","N","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2259,"Metadata/Items/Armours/BodyArmours/FourBodyDex4",24,2,3,"Shrouded Vest","Tunique enveloppée","Bedeckende Weste","覆い布のベスト","연막의 조끼","Colete Encoberto","Плотная кожанка","Jubón de ocultamiento","Shrouded Vest","籠罩背心","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",16,"",[],3,"","[39,1083]",1,14804,3353876613,[],"","F","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2260,"Metadata/Items/Armours/BodyArmours/FourBodyDex5",24,2,3,"Rhoahide Coat","Pardessus en peau de rhoa","Rhoa-Fellwams","ロア革のコート","로아가죽 외투","Casaco de Pele de Rhoa","Доспех из шкур роа","Coselete de cuero de rhoa","Rhoahide Coat","恐喙鳥皮外套","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",22,"",[],3,"","[39,1083]",1,14805,2384509965,[],"","M","N","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2261,"Metadata/Items/Armours/BodyArmours/FourBodyDex6",24,2,3,"Studded Vest","Tunique cloutée","Nietenweste","鋲打ちのベスト","징 박힌 조끼","Colete Cravejado","Клёпаный нагрудник","Jubón reforzado","Studded Vest","鑲釘背心","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",26,"",[],3,"","[39,1083]",1,14806,365247436,[],"","F","F","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2262,"Metadata/Items/Armours/BodyArmours/FourBodyDex7",24,2,3,"Scout's Vest","Tunique d'éclaireur","Späherweste","偵察者のベスト","정찰병의 조끼","Colete do Batedor","Безрукавка разведчика","Jubón de exploración","Scout's Vest","斥侯背心","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",33,"",[],3,"","[39,1084]",1,14807,1939694085,[],"","F","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2263,"Metadata/Items/Armours/BodyArmours/FourBodyDex8",24,2,3,"Serpentscale Coat","Pardessus en écailles de serpent","Schlangenschuppen-Wams","サーペントスケイルコート","뱀 비늘 외투","Casaco de Escamas de Serpente","Доспех из змеиной чешуи","Coselete de piel de serpiente","Serpentscale Coat","蛇鱗外套","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",36,"",[],3,"","[39,1084]",1,14808,1006345025,[],"","M","N","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2264,"Metadata/Items/Armours/BodyArmours/FourBodyDex9",24,2,3,"Corsair Vest","Tunique de corsaire","Korsarenweste","コルセアのベスト","해적 조끼","Colete do Corsário","Жилет корсара","Jubón de corsario","Corsair Vest","海盜背心","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",45,"",[],3,"","[39,1179]",1,14809,2440946391,[],"","F","F","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2265,"Metadata/Items/Armours/BodyArmours/FourBodyDex10",24,2,3,"Smuggler Coat","Pardessus de contrebandier","Schmugglerwams","密輸業者のコート","밀수범 외투","Casaco do Contrabandista","Куртка контрабандиста","Coselete de contrabandista","Smuggler Coat","走私者外套","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",51,"",[],3,"","[39,1179]",1,14810,3187147211,[],"","M","N","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2266,"Metadata/Items/Armours/BodyArmours/FourBodyDex11",24,2,3,"Strider Vest","Tunique d'arpenteur","Streicher-Weste","ストライダーベスト","질주자 조끼","Colete do Andarilho","Жилет наездника","Jubón de caminante","Strider Vest","疾行者背心","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",52,"",[],3,"",[39],1,14811,1935745615,[],"","F","F","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2267,"Metadata/Items/Armours/BodyArmours/FourBodyDex12",24,2,3,"Hardleather Coat","Pardessus en cuir durci","Hartleder-Wams","ハードレザーコート","경화가죽 외투","Casaco de Couro Duro","Куртка из грубой кожи","Coselete de cuero duro","Hardleather Coat","硬皮外套","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",56,"",[],3,"",[39],1,14812,2815293492,[],"","M","N","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2268,"Metadata/Items/Armours/BodyArmours/FourBodyDex13",24,2,3,"Exquisite Vest","Tunique exquise","Exquisite Weste","精巧なベスト","정교한 조끼","Colete Requintado","Изысканный нагрудник","Jubón exquisito","Exquisite Vest","精美背心","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",65,"",[],3,"",[39],1,14813,2224026930,[],"","F","F","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2269,"Metadata/Items/Armours/BodyArmours/FourBodyDex14",24,2,3,"Mail Coat","Pardessus en mailles","Kettenwams","メイルコート","사슬 외투","Casaco de Malha","Кольчужная куртка","Coselete de malla","Mail Coat","鎖甲外套","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",68,"",[1647],3,"",[39],1,14814,3993685041,[],"","M","N","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2270,"Metadata/Items/Armours/BodyArmours/FourBodyDex15",24,2,3,"Armoured Vest","Tunique blindée","Gepanzerte Weste","装甲ベスト","장갑을 두른 조끼","Colete Blindado","Бригантный доспех","Jubón acorazado","Armoured Vest","裝甲背心","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",73,"",[1646],3,"",[39],1,14815,4177894839,[],"","F","F","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2271,"Metadata/Items/Armours/BodyArmours/FourBodyInt1",24,2,3,"Tattered Robe","Robe déchirée","Zerrissene Robe","擦り切れたローブ","조각난 로브","Traje Esfarrapado","Рваное платье","Túnica raída","Tattered Robe","殘破長袍","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",1,"",[],3,"","[40,1082]",1,14816,2841669070,[],"","F","F","","","M","NS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
