"rownum","NPCKey","i32_16","DialogueOption","DialogueOption (French)","DialogueOption (German)","DialogueOption (Japanese)","DialogueOption (Korean)","DialogueOption (Portuguese)","DialogueOption (Russian)","DialogueOption (Spanish)","DialogueOption (Thai)","DialogueOption (Traditional Chinese)","[rid]_28","[rid]_44","[rid]_60","Script","QuestFlags1","Category","QuestRewardOffersKey","QuestFlag2","NPCTextAudioKeys","Script2","bool_172","bool_173","[i32]_174","[i32]_190","i32_206","[i32]_210","[i32]_226","bool_242","BaseItemTypes","[i32]_259","bool_275","DialogueOption2","ConsoleQuickAction","Music1","i32_316","[rid]_320","i32_336","Music2","i32_356","QuestFlag3","bool_376","i32_377","row_381","TalkDialogue","bool_405","Ascendancy","bool_422"
1352,182,5,"All These Mushrooms","Tous ces champignons","All diese Pilze","こんなにも多くのキノコ","이 많은 버섯","Esses Cogumelos Todos","Все эти грибы","Todos estos hongos","เห็ดพวกนี้","如此多的蘑菇",[],[],[5677],"",[5677],3,"",5677,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[933],"",[],1
1353,182,6,"Farrow's Tool","L'Outil de Farrow","Farrows Werkzeug","ファロウの道具","패로우의 도구","Ferramenta de Farrow","Инструмент Фарроу","La herramienta de Farrow","เครื่องมือของแฟร์โรว์","法羅的工具",[1372],[],[5702],"",[5702],3,"",5702,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",1,"",[733],"",[],1
1354,183,0,"Second Rune Introduction","Présentations de la deuxième Rune","Einführung: Zweite Rune","第二のルーン導入","두 번째 룬 소개","Introdução à Segunda Runa","Приветствие (вторая руна)","Presentación a la segunda runa","แนะนำอักขระที่สอง","介紹第二符文",[1620],"[1378,1352,1621]",[1378],"triggerer.FinishNPCChat();",[1378],6,"",1378,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[669],"",[],""
1355,183,1,"Second Rune Found","Deuxième Rune trouvée","Zweite Rune gefunden","第二のルーン発見","두 번째 룬 찾음","Segunda Runa Encontrada","Вторая руна (найдена)","Segunda runa encontrada","พบอักขระที่สอง","找到第二符文","[1621,1352]","[1374,1622]",[1374],"triggerer.FinishNPCChat();",[1374],6,"",1374,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[670],"",[],""
1356,183,2,"Third Rune Introduction","Présentations de la troisième Rune","Einführung: Dritte Rune","第三のルーン導入","세 번째 룬 소개","Introdução à Terceira Runa","Приветствие (третья руна)","Presentación a la tercera runa","แนะนำอักขระที่สาม","介紹第三符文",[1621],"[1378,1352,1622]",[1378],"triggerer.FinishNPCChat();",[1378],6,"",1378,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[671],"",[],""
1357,183,3,"Third Rune Found","Troisième Rune trouvée","Dritte Rune gefunden","第三のルーン発見","세 번째 룬 찾음","Terceira Runa Encontrada","Третья руна (найдена)","Tercera runa encontrada","พบอักขระที่สาม","找到第三符文","[1622,1352]",[1374],[],"triggerer.FinishNPCChat();\r\ntriggerer.SetQuestFlag( ExpeditionQuestHuntingGroundsNPCTalked ); \r\ntriggerer.SendOpenScreen( WaypointScreen ); \r\nDelayIgnoringPause( 3, { triggerer.ForceInteractWithNPC( this ); } );",[1374],6,"",1374,[],"triggerer.PlayInterlude( 'Audio/Music/Endgame/Leagues/Expedition/Stingers/FarrowRunestoneFinal', 0.5 );","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[672],"",[],""
1358,183,4,"Third Rune Found","Troisième Rune trouvée","Dritte Rune gefunden","第三のルーン発見","세 번째 룬 찾음","Terceira Runa Encontrada","Третья руна (найдена)","Tercera runa encontrada","พบอักขระที่สาม","找到第三符文","[1622,1352]",[],[1505],"triggerer.FinishNPCChat();",[1505],6,"",1505,[],"triggerer.PlayInterlude( 'Audio/Music/Endgame/Leagues/Expedition/Stingers/FarrowRunestoneFinal', 0.5 );","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[673],"",[],""
1359,183,5,"Ancient Remnants","Vestiges antiques","Alte Relikte","古代のレムナント","고대 유적","Vestígios Antigos","Древние реликты","Remanentes antiguos","ซากอารยธรรมโบราณ","遠古遺物",[],[],[1439],"",[],3,"",1439,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[709],"",[],""
1360,183,6,"Ezomyte Runes","Runes ézomytes","Ezomytische Runen","エゾマイトのルーン","에조미어 룬","Runas Ezomytas","Эзомитские руны","Runas ezomitas","อักขระเอโซไมต์","艾茲麥符文",[1439],[],[1440],"",[],3,"",1440,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[710],"",[],""
1361,183,7,"Celestial Shapes","Formes célestes","Himmlische Formen","天上の形","천공의 형체","Formas Celestiais","Небесные формы","Formas celestiales","รูปดวงดารา","星象形體",[1440],[],[1441],"",[],3,"",1441,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[711],"",[],""
1362,183,8,"Ezomyr","Ézomyr","Ezomyr","エゾミア","에조미어","Ezomyr","Эзомир","Ezomyr","เอโซเมียร์","艾茲麥",[1441],[],[1442],"",[],3,"",1442,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[712],"",[],""
1363,183,9,"All These Beasts","Toutes ces bêtes","All diese Bestien","こんなにも多くの獣","이 많은 야수","Essas Feras Todas","Все эти звери","Todas estas bestias","สัตว์ร้ายพวกนี้","如此多的野獸",[],[],[5678],"",[5678],3,"",5678,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[934],"",[],1
1364,184,0,"Second Rune Introduction","Présentations de la deuxième Rune","Einführung: Zweite Rune","第二のルーン導入","두 번째 룬 소개","Introdução à Segunda Runa","Приветствие (вторая руна)","Presentación a la segunda runa","แนะนำอักขระที่สอง","介紹第二符文",[1620],"[1377,1353,1621]",[1377],"triggerer.FinishNPCChat();",[1377],6,"",1377,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[669],"",[],""
1365,184,1,"Second Rune Found","Deuxième Rune trouvée","Zweite Rune gefunden","第二のルーン発見","두 번째 룬 찾음","Segunda Runa Encontrada","Вторая руна (найдена)","Segunda runa encontrada","พบอักขระที่สอง","找到第二符文","[1621,1353]","[1376,1622]",[1376],"triggerer.FinishNPCChat();",[1376],6,"",1376,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[670],"",[],""
1366,184,2,"Third Rune Introduction","Présentations de la troisième Rune","Einführung: Dritte Rune","第三のルーン導入","세 번째 룬 소개","Introdução à Terceira Runa","Приветствие (третья руна)","Presentación a la tercera runa","แนะนำอักขระที่สาม","介紹第三符文",[1621],"[1377,1353,1622]",[1377],"triggerer.FinishNPCChat();",[1377],6,"",1377,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[671],"",[],""
1367,184,3,"Third Rune Found","Troisième Rune trouvée","Dritte Rune gefunden","第三のルーン発見","세 번째 룬 찾음","Terceira Runa Encontrada","Третья руна (найдена)","Tercera runa encontrada","พบอักขระที่สาม","找到第三符文","[1622,1353]",[1376],[],"triggerer.FinishNPCChat();\r\ntriggerer.SetQuestFlag( ExpeditionQuestFarmlandsNPCTalked );\r\ntriggerer.SendOpenScreen( WaypointScreen ); \r\nDelayIgnoringPause( 3, { triggerer.ForceInteractWithNPC( this ); } ); ",[1376],6,"",1376,[],"triggerer.PlayInterlude( 'Audio/Music/Endgame/Leagues/Expedition/Stingers/FarrowRunestoneFinal', 0.5 );","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[672],"",[],""
1368,184,4,"Third Rune Found","Troisième Rune trouvée","Dritte Rune gefunden","第三のルーン発見","세 번째 룬 찾음","Terceira Runa Encontrada","Третья руна (найдена)","Tercera runa encontrada","พบอักขระที่สาม","找到第三符文","[1622,1353]",[],[1447],"triggerer.FinishNPCChat();",[1447],6,"",1447,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[673],"",[],""
1369,184,5,"Ancient Remnants","Anciens Vestiges","Alte Relikte","古代のレムナント","고대 유적","Vestígios Antigos","Древние реликты","Remanentes antiguos","ซากอารยธรรมโบราณ","遠古遺物",[],[],[1439],"",[],3,"",1439,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[709],"",[],""
1370,184,6,"Ezomyte Runes","Runes ézomytes","Ezomytische Runen","エゾマイトのルーン","에조미어 룬","Runas Ezomytas","Эзомитские руны","Runas ezomitas","อักขระเอโซไมต์","艾茲麥符文",[1439],[],[1440],"",[],3,"",1440,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[710],"",[],""
1371,184,7,"Celestial Shapes","Formes célestes","Himmlische Formen","天上の形","천공의 형체","Formas Celestiais","Небесные формы","Formas celestiales","รูปดวงดารา","星象形體",[1440],[],[1441],"",[],3,"",1441,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[711],"",[],""
1372,184,8,"Ezomyr","Ézomyr","Ezomyr","エゾミア","에조미어","Ezomyr","Эзомир","Ezomyr","เอโซเมียร์","艾茲麥",[1441],[],[1442],"",[],3,"",1442,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[712],"",[],""
1373,184,9,"All These Ezomytes","Tous ces Ézomytes","All diese Ezomyten","こんなにも多くのエゾマイト","이 많은 에조미어인","Esses Ezomytas Todos","Все эти эзомиты","Todos estos ezomitas","ชาวเอโซไมต์พวกนี้","如此多的艾茲麥人",[],[],[5679],"",[5679],3,"",5679,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[935],"",[],1
1374,185,0,"[DNT] Farrow Tree Of Souls","[DNT] Farrow Tree Of Souls","[DNT] Farrow Tree Of Souls","[DNT] Farrow Tree Of Souls","[DNT] Farrow Tree Of Souls","[DNT] Farrow Tree Of Souls","[DNT] Farrow Tree Of Souls","[DNT] Farrow Tree Of Souls","[DNT] Farrow Tree Of Souls","[DNT] Farrow Tree Of Souls",[],[1359],[],"triggerer.FinishNPCChat(); Delay( 3.0, { triggerer.SetQuestFlag( ExpeditionTreeOfSoulsRunicCatacombsEntranceOpen ); globals.expedition_catacombs_roots.DirtyStateMachine(); } );",[1359],6,"",1359,[],"SetStateTo( tree, 1 );","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[676],"",[],""
1375,185,1,"[DNT] Runestone","[DNT] Runestone","[DNT] Runestone","[DNT] Runestone","[DNT] Runestone","[DNT] Runestone","[DNT] Runestone","[DNT] Runestone","[DNT] Runestone","[DNT] Runestone",[1359],[1390],[1390],"triggerer.FinishNPCChat();",[1390],6,"",1390,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[677],"",[],""
1376,185,2,"Ancient Remnants","Vestiges antiques","Alte Relikte","古代のレムナント","고대 유적","Vestígios Antigos","Древние реликты","Remanentes antiguos","ซากอารยธรรมโบราณ","遠古遺物",[],[],[1439],"",[],3,"",1439,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[709],"",[],""
1377,185,3,"Ezomyte Runes","Runes ézomytes","Ezomytische Runen","エゾマイトのルーン","에조미어 룬","Runas Ezomytas","Эзомитские руны","Runas ezomitas","อักขระเอโซไมต์","艾茲麥符文",[1439],[],[1440],"",[],3,"",1440,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[710],"",[],""
1378,185,4,"Celestial Shapes","Formes célestes","Himmlische Formen","天上の形","천공의 형체","Formas Celestiais","Небесные формы","Formas celestiales","รูปดวงดารา","星象形體",[1440],[],[1441],"",[],3,"",1441,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[711],"",[],""
1379,185,5,"Ezomyr","Ézomyr","Ezomyr","エゾミア","에조미어","Ezomyr","Эзомир","Ezomyr","เอโซเมียร์","艾茲麥",[1441],[],[1442],"",[],3,"",1442,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[712],"",[],""
1380,186,0,"Tome I: The Runes of Aldur","Tome I: Les Runes d'Aldur","Band I: Die Runen von Aldur","第一巻: アルダーのルーン","책 1권: 알두르의 룬","Tomo I: As Runas de Aldur","Том I: Руны Альдура","Tomo I: Las runas de Aldur","ตำราเล่มที่ 1: อักขระแห่งอัลเดอร์","卷一：阿德爾的符文",[1494],[],"[1421,5709]","triggerer.FinishNPCChat();\r\nSetStateTo( wild, 4 );\r\nSetStateTo( finished, 1 );\r\nglobals.craftingbenchexpeditionunlock2.DirtyStateMachine();\r\nIfInArea( 'ExpeditionSubArea_Kalguur_Act2', ()\r\n{\r\n\tSetQuestFlagForAll( Act2FarrowTomeSeen );\r\n\tIfLeagueQuestFlagSet( triggerer, ExpeditionAct2CraftingBenchUnlocked, (){ triggerer.SetQuestFlag( ExpeditionAct2QuestComplete ); } );\r\n} );\r\nIfInArea( 'ExpeditionSubArea_Kalguur_Act3', ()\r\n{ \r\n\tSetQuestFlagForAll( Act3FarrowTomeSeen );\r\n\tIfLeagueQuestFlagSet( triggerer, ExpeditionAct3CraftingKnowledgeUnlocked, (){ triggerer.SetQuestFlag( ExpeditionAct3QuestComplete ); } );\r\n} );\r\nglobals.craftingbenchexpeditionunlock3.DirtyStateMachine();\r\nIfInArea( 'G4_13', (){ SetQuestFlagForAll( Act4FarrowTomeSeen ); } );\r\nglobals.craftingbenchexpeditionunlock4.DirtyStateMachine();","[1421,5709]",6,"",1421,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[678],"",[],""
1381,186,1,"Tome II: The Fractured Middengard","Tome II: Le Middengard fracturé","Band II: Das Zerfallene Middengard","第二巻: 分断されたミデンガルド","책 2권: 분열된 미덴가르드","Tomo II: A Ruptura de Middengard","Том II: Раскол в Мидденгарде","Tomo II: Middengard fracturado","ตำราเล่มที่ 2: มิดเดนการ์ดแตกหัก","卷二：破碎的密登加德",[1495],[],"[1491,5710]","triggerer.FinishNPCChat();\r\nSetStateTo( wild, 4 );\r\nSetStateTo( finished, 1 );\r\nglobals.craftingbenchexpeditionunlock2.DirtyStateMachine();\r\nIfInArea( 'ExpeditionSubArea_Kalguur_Act2', ()\r\n{\r\n\tSetQuestFlagForAll( Act2FarrowTomeSeen );\r\n\tIfLeagueQuestFlagSet( triggerer, ExpeditionAct2CraftingBenchUnlocked, (){ triggerer.SetQuestFlag( ExpeditionAct2QuestComplete ); } );\r\n} );\r\nIfInArea( 'ExpeditionSubArea_Kalguur_Act3', ()\r\n{ \r\n\tSetQuestFlagForAll( Act3FarrowTomeSeen );\r\n\tIfLeagueQuestFlagSet( triggerer, ExpeditionAct3CraftingKnowledgeUnlocked, (){ triggerer.SetQuestFlag( ExpeditionAct3QuestComplete ); } );\r\n} );\r\nglobals.craftingbenchexpeditionunlock3.DirtyStateMachine();\r\nIfInArea( 'G4_13', (){ SetQuestFlagForAll( Act4FarrowTomeSeen ); } );\r\nglobals.craftingbenchexpeditionunlock4.DirtyStateMachine();","[1491,5710]",6,"",1491,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[679],"",[],""
1382,186,2,"Tome III: The Triskelion","Tome III : Le Triskèle","Band III: Das Triskelion","第三巻: トリスケリオン","책 3권: 트리스켈리온","Tomo III: A Triskelion","Том III: Трискелион","Tomo III: El trisquel","ตำราเล่มที่ 3: ทริสเกียล","卷三：三曲",[1496],[],"[1492,5711]","triggerer.FinishNPCChat();\r\nSetStateTo( wild, 4 );\r\nSetStateTo( finished, 1 );\r\nglobals.craftingbenchexpeditionunlock2.DirtyStateMachine();\r\nIfInArea( 'ExpeditionSubArea_Kalguur_Act2', ()\r\n{\r\n\tSetQuestFlagForAll( Act2FarrowTomeSeen );\r\n\tIfLeagueQuestFlagSet( triggerer, ExpeditionAct2CraftingBenchUnlocked, (){ triggerer.SetQuestFlag( ExpeditionAct2QuestComplete ); } );\r\n} );\r\nIfInArea( 'ExpeditionSubArea_Kalguur_Act3', ()\r\n{ \r\n\tSetQuestFlagForAll( Act3FarrowTomeSeen );\r\n\tIfLeagueQuestFlagSet( triggerer, ExpeditionAct3CraftingKnowledgeUnlocked, (){ triggerer.SetQuestFlag( ExpeditionAct3QuestComplete ); } );\r\n} );\r\nglobals.craftingbenchexpeditionunlock3.DirtyStateMachine();\r\nIfInArea( 'G4_13', (){ SetQuestFlagForAll( Act4FarrowTomeSeen ); } );\r\nglobals.craftingbenchexpeditionunlock4.DirtyStateMachine();","[1492,5711]",6,"",1492,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[680],"",[],""
1383,186,3,"Tome IV: The Rise of Cadigan","Tome IV : L'Avènement de Cadigan","Band IV: Der Aufstieg von Cadigan","第四巻: カディガンの台頭","책 4권: 캐디건의 득세","Tomo IV: A Ascensão de Cadigan","Том IV: Возвышение Кадигана","Tomo IV: El ascenso de Cadigan","ตำราเล่มที่ 4: แคดิแกนครองราชย์","卷四：卡迪根的崛起",[1497],[],"[1493,5712]","triggerer.FinishNPCChat();\r\nSetStateTo( wild, 4 );\r\nSetStateTo( finished, 1 );\r\nglobals.craftingbenchexpeditionunlock2.DirtyStateMachine();\r\nIfInArea( 'ExpeditionSubArea_Kalguur_Act2', ()\r\n{\r\n\tSetQuestFlagForAll( Act2FarrowTomeSeen );\r\n\tIfLeagueQuestFlagSet( triggerer, ExpeditionAct2CraftingBenchUnlocked, (){ triggerer.SetQuestFlag( ExpeditionAct2QuestComplete ); } );\r\n} );\r\nIfInArea( 'ExpeditionSubArea_Kalguur_Act3', ()\r\n{ \r\n\tSetQuestFlagForAll( Act3FarrowTomeSeen );\r\n\tIfLeagueQuestFlagSet( triggerer, ExpeditionAct3CraftingKnowledgeUnlocked, (){ triggerer.SetQuestFlag( ExpeditionAct3QuestComplete ); } );\r\n} );\r\nglobals.craftingbenchexpeditionunlock3.DirtyStateMachine();\r\nIfInArea( 'G4_13', (){ SetQuestFlagForAll( Act4FarrowTomeSeen ); } );\r\nglobals.craftingbenchexpeditionunlock4.DirtyStateMachine();","[1493,5712]",6,"",1493,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[681],"",[],""
1384,186,4,"Ancient Remnants","Vestiges antiques","Alte Relikte","古代のレムナント","고대 유적","Vestígios Antigos","Древние реликты","Remanentes antiguos","ซากอารยธรรมโบราณ","遠古遺物",[],[],[1439],"",[],3,"",1439,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[709],"",[],""
1385,186,5,"Ezomyte Runes","Runes ézomytes","Ezomytische Runen","エゾマイトのルーン","에조미어 룬","Runas Ezomytas","Эзомитские руны","Runas ezomitas","อักขระเอโซไมต์","艾茲麥符文",[1439],[],[1440],"",[],3,"",1440,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[710],"",[],""
1386,186,6,"Celestial Shapes","Formes célestes","Himmlische Formen","天上の形","천공의 형체","Formas Celestiais","Небесные формы","Formas celestiales","รูปดวงดารา","星象形體",[1440],[],[1441],"",[],3,"",1441,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[711],"",[],""
1387,186,7,"Ezomyr","Ézomyr","Ezomyr","エゾミア","에조미어","Ezomyr","Эзомир","Ezomyr","เอโซเมียร์","艾茲麥",[1441],[],[1442],"",[],3,"",1442,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[712],"",[],""
1388,186,8,"Tree of Souls","Arbre des âmes","Der Baum der Seelen","魂の木","영혼의 나무","Árvore das Almas","Дерево Душ","El Árbol de las almas","ต้นตรึงวิญญาณ","攝魂之樹",[],[],[5699],"",[],3,"",5699,[],"","","",[],[],4839,[],[],"","",[],"","","",382,57,[],57,"",0,"","",0,"",[721],"",[],""
1389,186,9,"The Great Forge","La Grande forge","Die Große Schmiede","偉大なる鍛冶場","대제련소","A Grande Forja","Великая кузница","La gran forja","โรงหลอมยิ่งใหญ่","宏偉熔爐",[],[],[5700],"",[],3,"",5700,[],"","","",[],[],4839,[],[],"","",[],"","","",383,57,[],57,"",0,"","",0,"",[722],"",[],""
1390,186,10,"The Mystics","Les Mystiques","Die Mystiker","神秘家たち","신비학자들","Os Místicos","Мистики","Los místicos","ผู้ครองมนต์","神秘主義者",[],[],[5701],"",[],3,"",5701,[],"","","",[],[],4839,[],[],"","",[],"","","",384,57,[],57,"",0,"","",0,"",[723],"",[],""
1391,186,11,"Tome III: The Triskelion","Tome III : Le Triskèle ","Band III: Das Triskelion","第三巻: トリスケリオン","책 3권: 트리스켈리온","Tomo III: A Triskelion","Том  III: Трискелион","Tomo III: El trisquel","ตำราเล่มที่ 3: ทริสเกียล","卷三：三曲","[1496,1492]",[1388],[],"triggerer.FinishNPCChat();\r\nSetStateTo( wild, 4 );\r\nSetStateTo( finished, 1 );\r\nglobals.craftingbenchexpeditionunlock2.DirtyStateMachine();\r\nIfInArea( 'ExpeditionSubArea_Kalguur_Act2', ()\r\n{\r\n\tSetQuestFlagForAll( Act2FarrowTomeSeen );\r\n\tIfLeagueQuestFlagSet( triggerer, ExpeditionAct2CraftingBenchUnlocked, (){ triggerer.SetQuestFlag( ExpeditionAct2QuestComplete ); } );\r\n} );\r\nIfInArea( 'ExpeditionSubArea_Kalguur_Act3', ()\r\n{ \r\n\tSetQuestFlagForAll( Act3FarrowTomeSeen );\r\n\tIfLeagueQuestFlagSet( triggerer, ExpeditionAct3CraftingKnowledgeUnlocked, (){ triggerer.SetQuestFlag( ExpeditionAct3QuestComplete ); } );\r\n} );\r\nglobals.craftingbenchexpeditionunlock3.DirtyStateMachine();\r\nIfInArea( 'G4_13', (){ SetQuestFlagForAll( Act4FarrowTomeSeen ); } );\r\nglobals.craftingbenchexpeditionunlock4.DirtyStateMachine();",[1388],6,"",72,[],"","","",[],[4429],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[680],"",[],""
1392,193,0,"Ancient Arsenal","Arsenal antique","Uraltes Arsenal","古代の武器庫","고대 병기창","Arsenal Antigo","Древний арсенал","Arsenal antiguo","คลังสรรพาวุธโบราณ","遠古軍械庫","[1364,1363,1362]",[1686],[],"triggerer.FinishNPCChat(); \r\ntriggerer.SetQuestFlag( ExpeditionFarrowAct2DungeonRevealSeen );\r\ntriggerer.SendOpenScreen( WaypointScreen ); \r\nDelayIgnoringPause( 3, { triggerer.ForceInteractWithNPC( this ); } );",[1451],6,"",1451,[]," triggerer.PlayInterlude( 'Audio/Music/Endgame/Leagues/Expedition/Stingers/FarrowRunestoneFinal', 0.5 );","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[],"",[],""
1393,193,1,"Ancient Arsenal","Arsenal antique","Uraltes Arsenal","古代の武器庫","고대 병기창","Arsenal Antigo","Древний арсенал","Arsenal antiguo","คลังสรรพาวุธโบราณ","遠古軍械庫",[1451],[],[1686],"triggerer.FinishNPCChat(); ",[1686],6,"",1686,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[674],"",[],""
1394,193,2,"All This Death","Toute cette mort","All dieser Tod","こんなにも多くの死","이 많은 죽음","Essas Mortes Todas","Вся эта смерть","Toda esta muerte","ความตายพวกนี้","如此多的死亡",[],[],[5682],"",[5682],3,"",5682,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[938],"",[],1
1395,193,3,"Maraketh Values","Valeurs des Marakeths   ","Werte der Maraketh","マラケスの価値観","마라케스의 가치","Valores Maraketh","Ценности маракетов","Valores maraketh","ค่านิยมมาราเค็ท","馬拉克斯的價值觀",[4562],[],[1443],"",[],3,"",1443,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[714],"",[],""
1396,192,0,"Ancient Arsenal","Arsenal antique","Uraltes Arsenal","古代の武器庫","고대 병기창","Arsenal Antigo","Древний арсенал","Arsenal antiguo","คลังสรรพาวุธโบราณ","遠古軍械庫","[1364,1363,1362]",[1686],[],"triggerer.FinishNPCChat(); \r\ntriggerer.SetQuestFlag( ExpeditionFarrowAct2DungeonRevealSeen );\r\ntriggerer.SendOpenScreen( WaypointScreen ); \r\nDelayIgnoringPause( 3, { triggerer.ForceInteractWithNPC( this ); } );",[1451],6,"",1451,[]," triggerer.PlayInterlude( 'Audio/Music/Endgame/Leagues/Expedition/Stingers/FarrowRunestoneFinal', 0.5 );","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[],"",[],""
1397,192,1,"Ancient Arsenal","Arsenal antique","Uraltes Arsenal","古代の武器庫","고대 병기창","Arsenal Antigo","Древний арсенал","Arsenal antiguo","คลังสรรพาวุธโบราณ","遠古軍械庫",[1451],[],[1686],"triggerer.FinishNPCChat(); ",[1686],6,"",1686,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[674],"",[],""
1398,192,2,"All These Bones","Tous ces os","All diese Knochen","こんなにも多くの骨","이 많은 뼈","Esses Ossos Todos","Все эти кости","Todos estos huesos","กระดูกพวกนี้","如此多的骨骸",[],[],[5680],"",[5680],3,"",5680,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[936],"",[],1
1399,192,3,"Maraketh Values","Valeurs des Marakeths   ","Werte der Maraketh","マラケスの価値観","마라케스의 가치","Valores Maraketh","Ценности маракетов","Valores maraketh","ค่านิยมมาราเค็ท","馬拉克斯的價值觀",[4562],[],[1443],"",[],3,"",1443,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[714],"",[],""
1400,191,0,"Ancient Arsenal","Arsenal antique","Uraltes Arsenal","古代の武器庫","고대 병기창","Arsenal Antigo","Древний арсенал","Arsenal antiguo","คลังสรรพาวุธโบราณ","遠古軍械庫","[1364,1363,1362]",[1686],[],"triggerer.FinishNPCChat(); \r\ntriggerer.SetQuestFlag( ExpeditionFarrowAct2DungeonRevealSeen );\r\ntriggerer.SendOpenScreen( WaypointScreen ); \r\nDelayIgnoringPause( 3, { triggerer.ForceInteractWithNPC( this ); } );",[1451],6,"",1451,[]," triggerer.PlayInterlude( 'Audio/Music/Endgame/Leagues/Expedition/Stingers/FarrowRunestoneFinal', 0.5 );","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[],"",[],""
1401,191,1,"Ancient Arsenal","Arsenal antique","Uraltes Arsenal","古代の武器庫","고대 병기창","Arsenal Antigo","Древний арсенал","Arsenal antiguo","คลังสรรพาวุธโบราณ","遠古軍械庫",[1451],[],[1686],"triggerer.FinishNPCChat(); ",[1686],6,"",1686,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[674],"",[],""
1402,191,2,"All This Sand","Tout ce sable","All dieser Sand","こんなにも多くの砂","이 많은 모래","Essa Areia Toda","Весь этот песок","Toda esta arena","ทรายพวกนี้","如此多的黃沙",[],[],[5681],"",[5681],3,"",5681,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[937],"",[],1
