"rownum","Id","TargetCharacter","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","OGGFiles","NPC1","rid_64","TargetCharacters","i32_96","i32_100","[rid]_104","NPC2","NPC3","QuestFlag1","QuestFlag2","QuestFlag3","QuestFlag4","QuestFlag5","Video","Script"
5135,"UnaP1_Intro_A1","","Welcome back. It is good to see you.","Je suis contente de vous revoir par ici.","Willkommen zurück. Es ist schön, Euch zu sehen.","おかえりなさい。また会えて嬉しいわ。","잘 돌아왔어요. 만나서 반가워요.","Oi de novo. É bom te ver.","С возвращением. Рада тебя видеть.","<if:MS>{Bienvenido de nuevo. Es bueno verte.}<elif:FS>{Bienvenida de nuevo. Es bueno verte.}","ยินดีต้อนรับกลับมา ดีที่ได้พบเจ้าอีกครา","歡迎回來。見到你真是太好了。","[""Audio/Dialogue/4.0/NPC/Interlude/P1/Una/Una_Intro_NotWarrior_01.ogg""]","[747,749]","","[1,7,2,8,10,9,11]",0,100,[],[],[],[],[],[1931],[],[],"",""
5136,"UnaP1_Intro_A2_Finn","","And you're alive!","En vie, qui plus est !","Und Ihr seid am Leben!","生きていたんだな！","아직 살아있었네요!","E não morreu!","<if:MS>{Ты жив!}<elif:FS>{Ты жива!}","<if:MS>{¡Y estás vivo!}<elif:FS>{¡Y estás viva!}","เจ้ายังไม่ตาย!","你還活著！","[""Audio/Dialogue/4.0/NPC/Interlude/P1/Finn/Finn_Intro_NotWarrior_01.ogg""]",[746],"","[1,7,2,8,10,9,11]",0,100,[],[],[],[],[],[1931],[],[],"",""
5137,"UnaP1_Intro_Str4b_A1","","You're home!","Tu es rentré !","Du bist zuhause!","戻ってたんだな！","돌아왔군요!","Está em casa!","Ты вернулся!","¡Has vuelto a casa!","เจ้าอยู่บ้านแล้ว!","歡迎回家！","[""Audio/Dialogue/4.0/NPC/Interlude/P1/Una/Una_Intro_Warrior_01.ogg""]","[747,749]","",[6],0,100,[],[],[],[],[],[1931],[],[],"",""
5138,"UnaP1_Intro_Str4b_A2_Finn","","Bring it in here! Give your old pal Finn a hug! No? Alright. Fair.","Allez, approche ! Viens faire un câlin à ton vieux pote Finn ! Non ? D'accord. Je comprends.","Bring es hier rein! Umarme doch mal deinen alten Kumpel Finn! Nein? Na schön. In Ordnung.","こっちへ来いよ！抱きしめてくれ！嫌？そうか。仕方ない。","어서 오십시오! 오랜 친구 핀에게 포옹 한 번 해주시겠습니까? 싫다고요? 어쩔 수 없죠.","Vem cá! Dá um abraço no seu velho amigo Finn! Não? Tá bom... justo.","Заходи! Обними старину Финна! Нет? Ну ладно. Как хочешь.","¡Dame la mano! ¡Dale un abrazo a tu viejo amigo Finn! ¿No? Bueno, está bien, lo acepto.","เอาน่า! มากอดฟินน์เพื่อนเก่าเจ้าหน่อยสิ! ไม่เหรอ? ก็ไ้ด้ ไม่\r\nเป็นไร","過來！給老友費恩抱一下！不要嗎？好吧。沒關係。","[""Audio/Dialogue/4.0/NPC/Interlude/P1/Finn/Finn_Intro_Warrior_01.ogg""]",[746],"",[6],0,100,[],[],[],[],[],[1931],[],[],"",""
5139,"UnaP1_Intro_RenlyNotMet_B1","","Much has happened since you've been gone. <continue>Please, speak to Renly. He's our reluctant leader now.","Il s'est passé beaucoup de choses depuis la dernière fois. <continue>Je vous en prie, allez voir Renly. C'est lui notre chef, maintenant, bien malgré lui.","Während Eurer Abwesenheit ist viel geschehen. \r\n<continue Bitte, sprecht mit Renly. Er ist jetzt unser unfreiwilliger Anführer.","あなたがいない間、色々なことがありました。<continue>レンリィと話してください。嫌々ながら、彼は私たちのリーダーをしてくれています。","당신이 떠난 후로 많은 것이 바뀌었어요. <continue>렌리와 얘기를 나눠 보세요. 그는 마지못해 우리의 지도자가 되었죠.","Muita coisa aconteceu na sua ausência. <continue>Por favor, fale com o Renly. Ele é nosso líder relutante agora.","<if:MS>{С тех пор как ты ушёл, много чего успело произойти. }<elif:FS>{С тех пор как ты ушла, много чего успело произойти. }<continue><if:MS>{Поговори с Ренли. Он теперь наш вынужденный лидер.}<elif:FS>{Поговори с Ренли. Он теперь наш вынужденный лидер.}","Han pasado muchas cosas desde que partiste. <continue>Por favor, habla con Renly. Él es nuestro reacio líder actualmente.","ยามเจ้าไม่อยู่ก็มีเรื่องราวเกิดขึ้นมากมาย<continue>ช่วยคุยกับเรนลีย์เถิด เขาเป็นผู้นำจำเป็นของเราในตอนนี้","自你離開了以後發生很多事。<continue>去跟倫利談談吧。現在他當上了我們不情願的領袖。","[""Audio/Dialogue/4.0/NPC/Interlude/P1/Una/Una_OnBlackwood_05.ogg"",""Audio/Dialogue/4.0/NPC/Interlude/P1/Una/Una_OnBlackwood_06.ogg""]","[747,749]","",[],0,100,[],[],[],[],[],[391],[],[],"",""
5140,"UnaP1_OnBlackwood_A1","","We call it the Blackwood now because it is overrun by darkness. <continue>It was once a beautiful forest known to us as the Beltimber, but now, we dare not go there. <continue>The sun never reaches the forest floor, and cultists have made it their home.","Nous l'appelons la Forênoire, dorénavant, car elle est envahie de ténèbres. <continue>Ces bois, auxquels nous donnions le nom de Belsylve, étaient autrefois charmants. Nous n'osons plus y mettre les pieds. <continue>La lumière du jour ne touche jamais le sol et des sectateurs y ont élu domicile.","Wir nennen ihn den Schwarzen Forst, weil er der Dunkelheit anheimgefallen ist. \r\n<continue>Einst war es ein wunderschöner Wald, den wir Belholz nannten, aber jetzt trauen wir uns nicht mehr dorthin.\r\n<continue>Die Sonne dringt nie bis auf den Waldboden vor und die Kultisten haben ihn zu ihrer Heimat gemacht.","今は闇に覆われているからブラックウッドと呼んでいます。かつてはベルティンバーと呼ばれた美しい森だったのですが、今では恐ろしくて近寄れません。<continue>太陽の光は森の地面まで届かず、狂信者たちの住処となっています。","그곳은 어둠으로 뒤덮이는 바람에 이젠 검은 숲이라 불려요. <continue>한때는 벨팀버라 불리는 아름다운 숲이었지만, 이제는 감히 발도 들일 수가 없죠. <continue>햇살이 숲 바닥에 닿는 법이 없고, 광신도들이 그곳에 자리를 잡았거든요.","A gente chama de Bosque Sable agora porque está tomada pela escuridão. <continue>Já foi uma bela mata, conhecida como Cinturão Verde, mas hoje a gente nem ousa chegar perto. <continue>O sol nunca toca o chão da floresta, e os cultistas fizeram dela seu lar.","Теперь мы зовём его Чернолесьем, потому что он охвачен силами тьмы. <continue>Однажды это был прекрасный лес, мы называли его Белтимбер, но теперь мы боимся туда заходить. <continue>Солнце больше не касается лесного покрова, и теперь эти места служат домом для культистов.","Ahora lo llamamos el Bosque negro porque ha sido tomado por la oscuridad. <continue>Alguna vez fue un hermoso bosque y se lo conocía como Bosque Bel, pero ahora nadie se atreve a entrar. <continue>El sol nunca alcanza el suelo del bosque, y los cultistas lo han convertido en su hogar.","บัดนี้เราเรียกมันว่าเป็นป่าวิกาล เพราะมันถูกความมืดล่วงล้ำ<continue>ในอดีตมันเป็นป่าสวยงามที่มีนามว่าเบลทิมเบอร์ แต่กาลนี้เรา\r\nไม่กล้าออกไปที่นั่น<continue>แสงตะวันไม่เคยฉายถึงพื้นป่า และสาวกต่างเข้ามาอยู่อาศัย","我們現在稱它為黑木林，因為它被黑暗給籠罩了。<continue>它曾經是個名為貝美木林的美麗森林，但我們現在不敢再靠近了。<continue>森林的地表永遠照不到陽光，教徒也把那裡占為己有。","[""Audio/Dialogue/4.0/NPC/Interlude/P1/Una/Una_OnBlackwood_01.ogg"",""Audio/Dialogue/4.0/NPC/Interlude/P1/Una/Una_OnBlackwood_02.ogg"",""Audio/Dialogue/4.0/NPC/Interlude/P1/Una/Una_OnBlackwood_03.ogg""]","[747,749]","",[],0,100,[],[],[],[],[],[],[],[],"",""
5141,"UnaP1_OnBlackwood_A2_Finn","","It's the same sort of darkness we saw in Freythorn. <continue>The whispering, creeping, lurking shite, that killed all my friends.","Le genre de ténèbres qu'on a vues à Freyépine. <continue>Pleines de merdes qui chuchotent, qui grimpent, qui rôdent, et qui ont tué tous mes amis.","Es ist die gleiche Art von Dunkelheit, die wir im Freydorn sahen.\r\n<continue>Der flüsternde, schleichende, lauernde Ding, das alle meine Freunde tötete.","フレイソーンで見たのと同じような闇だ。<continue>俺の友人たちを皆殺しにした、囁き、忍び寄り、潜むもの。","프레이쏜에서 봤던 것과 똑같은 어둠입니다. <continue>속삭이고 스멀대며 숨어드는, 제 친구들을 모두 죽인 어둠 말입죠.","É o mesmo tipo de treva que vimos em Freythorn. <continue>Aquele sussurro insidioso, sorrateiro, maldito... que matou todos os meus amigos.","Мы уже видели такую же тьму в Фрейторне. <continue>Эта ползучая, крадущаяся, шепчущая гадость перебила всех моих друзей.","Es la misma clase de oscuridad que vimos en Villafrey. <continue>Esas basuras susurrantes, acechantes y rastreras mataron a mis amigos.","มันเป็นความมืดเหมือนที่เราเจอที่ชายคาเฟรย์ธอร์น<continue>เสียงกระซิบ ไอ้ตัวคลาน ตัวลอบเร้นที่ฆ่าเพื่อนข้าไปหมด","那是和我們在弗雷索恩看到的相同黑暗力量。<continue>就是那個不斷低語、潛行於暗處的怪物殺了我的朋友。","[""Audio/Dialogue/4.0/NPC/Interlude/P1/Finn/Finn_OnBlackwood_01.ogg"",""Audio/Dialogue/4.0/NPC/Interlude/P1/Finn/Finn_OnBlackwood_02.ogg""]",[746],"",[],0,100,[],[],[],[],[],[],[],[],"",""
5142,"UnaP1_OnBlackwood_B1","","It's alright. You've got a new family now.","Ne t'inquiète pas. Tu as une nouvelle famille, maintenant.","Alles ist gut. Du hast jetzt eine neue Familie.","大丈夫。あなたにはもう新しい家族がいます。","괜찮아요. 이제는 새로운 가족이 생겼잖아요.","Está tudo bem. Agora você tem uma nova família.","Всё в порядке. Теперь у тебя есть новая семья.","Está bien. Ahora tienes una nueva familia.","ไม่เป็นไรนะ เจ้ามีครอบครัวใหม่แล้ว","沒事了。你現在有新家人了。","[""Audio/Dialogue/4.0/NPC/Interlude/P1/Una/Una_OnBlackwood_04.ogg""]","[747,749]","",[],0,100,[],[],[],[],[],[],[],[],"",""
5143,"UnaP1_OnBlackwood_B2_Finn","","Yeah... I do. ","Ouais… c'est vrai. ","Ja … das stimmt.","ああ……そうだな。","네... 그렇죠.","É... tenho.","Да... Это правда. ","Sí... es cierto.","ใช่... ข้ามีแล้ว","確實……沒錯。","[""Audio/Dialogue/4.0/NPC/Interlude/P1/Finn/Finn_OnBlackwood_03.ogg""]",[746],"",[],0,100,[],[],[],[],[],[],[],[],"",""
5144,"UnaP1_OnDarkness_A1","","The darkness creeping across our lands is some remnant of Corruption... <continue>The being that whispers from beyond... it's an opportunist.","Les ténèbres qui grouillent sur nos terres sont une espèce de reliquat de Corruption… <continue>L'être qui murmure d'un autre monde, quant à lui… c'est un opportuniste.","Die Dunkelheit, die sich über unser Land ausbreitet, ist eine Art Überbleibsel der Verderbtheit … \r\n<continue>Das Geschöpf, das aus dem Jenseits flüstert … es ist ein Opportunist.","私たちの地に忍び寄る闇は穢れの残滓です……<continue>彼方から囁く存在は……この機に乗じているのです。","그 어둠은 마치 타락의 잔재인 것처럼 우리의 땅을 조금씩 집어삼키고 있어요... <continue>그리고 그 너머에서... 어떤 기회주의자가 속삭이고 있죠.","A escuridão que rasteja pelas nossas terras é resto da corrupção... <continue>A criatura que sussurra do além... é uma oportunista.","Тьма, ползущая по нашим землям, несёт в себе след Порчи... <continue>Сущность, шепчущая из-под земли... она цепляется за любую возможность.","La oscuridad que acecha a nuestra tierra es un remanente de la Corrupción... <continue>El ser que susurra desde el más allá... es un oportunista.","ความมืดที่คืบคลานผ่านแผ่นดินของเราเป็นซากแห่งพลัง\r\nมลทิน...<continue>แต่ผู้ที่กระซิบกระซาบจากแดนไกล... มันเป็นผู้ฉวยโอกาส","在我們的土地擴散開來的黑暗是某種腐化的遺痕……<continue>那個在遠方發出低語的東西……是個投機者。","[""Audio/Dialogue/4.0/NPC/Interlude/P1/Una/Una_OnDarkness_01.ogg"",""Audio/Dialogue/4.0/NPC/Interlude/P1/Una/Una_OnDarkness_02.ogg""]","[747,749]","",[],0,100,[],[],[],[],[],[],[],[],"",""
5145,"UnaP1_OnDarkness_A2_Finn","","Kickin' us while we're down. <continue>We saw this coming, too. Saw them take hold of Freythorn.","Ils frappent leurs ennemis à terre. <continue>Le pire, c'est qu'on l'a vu venir. On les a vus s'emparer de Freyépine.","Es tritt uns, während wir am Boden liegen.\r\n<continue>Wir haben es sogar kommen ehen. Wir haben gesehen, wie es Freydorn in seine Gewalt gebracht hat.","俺たちが弱っている所につけこんでくるんだ。<continue>こうなるのはわかっていたのにな。奴らがフレイソーンを支配するのを見たんだ。","엎친 데 겹친 격이라니까요. <continue>이럴 줄 알았습니다. 어둠이 프레이쏜을 삼키는 걸 이미 봤으니까요.","Nos chuta quando já estamos no chão. <continue>A gente previu isso também. Viu eles se apossarem de Freythorn.","Атакует нас, пока мы ослаблены. <continue>Мы этого и ожидали. Видели, как они захватили Фрейторн.","Nos patean mientras estamos en el suelo. <continue>Y eso también lo vimos venir. Vimos cómo se apoderaban de Villafrey.","ซ้ำเติมในยามที่เรายังล้มอยู่<continue>เราเคยเจอเรื่องแบบนี้เหมือนกัน เคยเห็นพวกมันยึดชายคา\r\nเฟรย์ธอร์นไป","趁我們危急的時候落井下石。<continue>我們也預見會有這樣的結果了。預見他們掌控弗雷索恩。","[""Audio/Dialogue/4.0/NPC/Interlude/P1/Finn/Finn_OnDarkness_01.ogg"",""Audio/Dialogue/4.0/NPC/Interlude/P1/Finn/Finn_OnDarkness_02.ogg""]",[746],"",[],0,100,[],[],[],[],[],[],[],[],"",""
5146,"UnaP1_OnDarkness_B1","","What scares me the most? The cultists... they're not insane. <continue>They <i>{choose} to follow the King in the Mists. They're not mad. They're fanatics.","Ce qui m'effraie le plus ? Les sectateurs… ils ne sont pas fous. <continue>Ils <i>{choisissent} de suivre le Roi des Brumes. Ce n'est pas de la démence. C'est du fanatisme.","Was mir am meisten Angst macht? Die Kultisten … sie sind nicht verrückt.\r\n<continue>Sie haben sich <i>{entschieden}, dem König in den Nebeln zu folgen. Sie sind nicht wahnsinnig. Sie sind Fanatiker.","私が最も恐ろしいこと、それは信者たちが……狂っていないということです。<continue>彼らは霧の王に従うことを自ら選んでいるのです。彼らは狂っているのではなく、狂信者たちなのです。","가장 두려운 점이 뭔지 아시나요? 그 광신도들은... 미친 게 아니에요. <continue>연무 속의 왕을 <i>{선택}한 거죠. 그들은 미치광이가 아니라, 광신자들이에요.","O que mais me assusta? Os cultistas... Eles não são loucos. <continue>Eles <i>{escolhem} seguir o Rei nas Brumas. Não são insanos. São fanáticos.","Знаешь, что пугает меня больше всего? Культисты... они не безумцы. <continue>Они сами <i>{выбрали} поклоняться Хозяину в туманах. Они не сумасшедшие. Они фанатики.","¿Qué es lo que más me aterra? Que los cultistas... no están locos. <continue>Ellos <i>{eligen} seguir al Rey de las nieblas. No están locos. Son fanáticos.","รู้ไหมว่าข้ากลัวเรื่องใดนัก? สาวกพวกนี้... ไม่ได้เสียสติ<continue>พวกเขา<i>{เลือก}ที่จะติดตามราชันในม่านหมอก พวกเขาไม่ได้เป็น\r\nบ้า พวกเขาทำด้วยความเลื่อมใส","最讓我感到害怕的是什麼？是那些教徒……他們一點都不瘋癲。<continue>他們<i>{選擇}追隨迷霧之王。他們並沒有陷入瘋狂。只是比較狂熱罷了。","[""Audio/Dialogue/4.0/NPC/Interlude/P1/Una/Una_OnDarkness_03.ogg"",""Audio/Dialogue/4.0/NPC/Interlude/P1/Una/Una_OnDarkness_04.ogg""]","[747,749]","",[],0,100,[],[],[],[],[],[],[],[],"",""
5147,"UnaP1_OnDarkness_B2_Finn","","I think the Thane and Lady of Holten made a deal. <continue>Reckon they felt vulnerable after all that happened here in Ogham. <continue>Many think they were forced into all this, but I think... yeah, I think they were <i>{willing}.","Je crois que le thane et la dame de Holten ont conclu un marché. <continue>Après tout ce qui s'est passé ici à Ogham, j'imagine qu'ils se sont sentis vulnérables. <continue>Beaucoup pensent qu'on les y a forcés, mais pour moi… ouais, pour moi, ça s'est fait de leur <i>{plein gré}.","Ich glaube, der Thane und die Dame von Holten haben einen Pakt geschlossen. \r\n<continue>Ich denke, sie fühlten sich verwundbar, nach allem, was hier in Ogham geschehen ist.\r\n<continue>Viele glaube, dass sie zu all dem gezwungen wurden, aber ich denke … ja, ich denke, sie habe es aus <i>{eigenem} Willen getan.","ホルテンの族長と夫人は取引をしたんだろう。<continue>オガムで起こったことを見て、怖かったんだろう。<continue>無理やりやらされてると思ってる奴らが多いが、俺に言わせりゃ……ああ、進んでやってるんだよ。","홀튼의 테인과 그의 아내는 거래를 한 모양입니다. <continue>오검에서 그런 일들이 벌어지고 나니 위협을 느꼈겠죠. <continue>많은 사람들은 그들이 어쩔 수 없이 그런 짓을 했다고 보지만... 전 그들이 <i>{원해서} 했다고 생각합니다.","Acho que o thane e a dama de Holten fizeram um acordo. <continue>Devem ter se sentido vulneráveis depois de tudo que rolou aqui em Ogham. <continue>Muitos acham que foram forçados a isso, mas eu penso que... É, acho que foi de <i>{livre vontade}.","Я думаю, что Тан и Леди Холтена заключили сделку. <continue>Наверняка они почувствовали себя уязвимыми после всего, что случилось здесь в Огаме. <continue>Многие думают, что они были вынуждены пойти на это, но... я думаю, что они так поступили <i>{добровольно}.","Creo que los señores de Holten cerraron un trato. <continue>Entiendo que se sintieron vulnerables después de todo lo que ocurrió aquí en Ogham.\r\n <continue>Muchos creen que los han obligado a participar de todo esto, pero to creo que... sí, creo que lo hicieron <i>{voluntariamente}.","ข้าว่าเธนกับคุณหญิงแห่งโฮลเทนทำข้อตกลงอะไรไว้<continue>เดาว่าพวกเขารู้สึกอ่อนแอจากเรื่องราวทั้งหลายที่เกิดขึ้นที่\r\nอ็อกแฮมนี่<continue>หลายคนคิดว่าพวกเขาถูกบีบบังคับให้ทำแบบนี้ แต่ข้าคิดว่า... ใช่\r\nข้าว่าพวกเขา<i>{จงใจ}","我想霍爾登的領主和夫人達成了交易。<continue>在奧格姆發生這麼多事之後，他們應該感到勢單力薄。<continue>許多人認為他們是被迫如此，但我覺得……沒錯，他們是<i>{自願}的。","[""Audio/Dialogue/4.0/NPC/Interlude/P1/Finn/Finn_OnDarkness_03.ogg"",""Audio/Dialogue/4.0/NPC/Interlude/P1/Finn/Finn_OnDarkness_04.ogg"",""Audio/Dialogue/4.0/NPC/Interlude/P1/Finn/Finn_OnDarkness_05.ogg""]",[746],"",[],0,100,[],[],[],[],[],[],[],[],"",""
5148,"UnaP1_OnDarkness_C1","","I fear you may be right.","Je crains que ce ne soit la vérité.","Ich fürchte, du könntest recht haben.","そうかもしれません。","당신 말이 맞을지도 모르겠어요.","Você pode ter razão, infelizmente.","Самое страшное, что, возможно, ты прав.","Temo que tengas razón.","ข้ากลัวว่าเจ้าจะคิดถูกนัก","恐怕你是對的。","[""Audio/Dialogue/4.0/NPC/Interlude/P1/Una/Una_OnDarkness_05.ogg""]","[747,749]","",[],0,100,[],[],[],[],[],[],[],[],"",""
5149,"UnaP1_OnStonesOfSerle_A1","","There is a henge at the centre of the Stones of Serle. We could try to summon the fey spirits there.","Il y a un cromlech au centre des Pierres de Serle. On pourrait essayer d'y invoquer les esprits féériques.","In der Mitte der Steine von Serle gibt es ein Monument. Wir könnten versuchen, dort Geister aus der Anderswelt zu beschwören.","セールの巨石群の中心にヘンジがあります。そこで自然の精たちを呼び出してみましょう。","세를의 두름돌 중앙에 헨지가 하나 있어요. 그곳에서 영물 혼백을 소환해 보죠.","Tem um henge no centro das Pedras de Serle. Podemos tentar invocar os espíritos feéricos lá.","В центре камней Серли есть круг. Мы могли бы попытаться призвать волшебных духов в нём.","Hay un círculo de piedras en el centro de las Piedras de Serle. Podríamos tratar de invocar a los espíritus feéricos allí.","มีวงศิลาอยู่ตรงใจกลางศิลาเซอร์ล เราอาจเรียกวิญญาณ\r\nเหนือธรรมชาติตรงนั้นได้","瑟雷之石的中心有座石陣。我們可以試著在那裡召喚亡靈。","[""Audio/Dialogue/4.0/NPC/Interlude/P1/Una/Una_OnStonesOfSerle_AreaOrRenly_01.ogg""]","[747,749]","",[],0,100,[],[],[],[],[],[],[],[],"",""
5150,"UnaP1_OnStonesOfSerle_A2_Finn","","Them old stones, eh? There's a strange power there. An old power. <continue>Makes your hair stand on end, some days.","Ah, ces vieilles pierres ? C'est un pouvoir étrange qu'elles recèlent. Un pouvoir ancien. <continue>De quoi faire froid dans le dos, parfois.","Die alten Steine, was? Dort gibt es eine seltsame Macht. Eine alte Macht.\r\n<continue>An manchen Tagen stehen einem die Haare zu Berge.","あの古い石か？あそこにゃ妙な力がある。古い力だ。<continue>日によっちゃ、身の毛がよだつような場所だ。","그 오래된 돌 말입니까? 그곳에는 이상한 고대의 힘이 깃들어 있죠. <continue>가끔은 머리가 쭈뼛 선다니까요.","Pedras antigas, é? Tem um poder estranho ali. Um poder antigo. <continue>Às vezes chega a arrepiar os cabelos.","Эти старые камни? Там есть какая-то таинственная сила. Древняя сила. <continue>Иногда от неё волосы дыбом встают.","¿En esas piedras viejas, cierto? Hay un poder extraño allí. Un poder antiguo. <continue>Hay ocasiones en que te eriza la piel.","หินเก่าแก่พวกนั้นรึ? ที่นั่นมีพลังประหลาด พลังเก่าแก่<continue>บางวันก็ทำให้เจ้าขนลุกได้เลย","那些古老的石頭？那裡有著奇怪的力量。那個力量十分古老。<continue>有時候，在那裡都會覺得寒毛直豎。","[""Audio/Dialogue/4.0/NPC/Interlude/P1/Finn/Finn_OnStonesOfSerle_AreaOrRenly_01.ogg"",""Audio/Dialogue/4.0/NPC/Interlude/P1/Finn/Finn_OnStonesOfSerle_AreaOrRenly_02.ogg""]",[746],"",[],0,100,[],[],[],[],[],[],[],[],"",""
5151,"UnaP1_OnStonesOfSerle_B1","","It was one of the first sites the Ezomytes built when newcomers taught us runes so very long ago. <continue>That's why I hold out hope that we can still be heard. <continue>As the song goes, <i>{'the darker the night, the brighter the runelight...'} <continue>If I can reach the fey spirits, they will help you push through the darkness of the Blackwood. They can show you the way.","L'un des premiers sites à avoir été construits par les Ézomytes lorsque des nouveaux venus nous enseignèrent les runes, il y a une éternité. <continue>Voilà pourquoi je continue d'espérer qu'on nous écoutera. <continue>Comme dit la chanson, <i>{« plus la nuit s'assombrit, plus la rune reluit »}… <continue>Si je parviens à entrer en contact avec les esprits féériques, ils aideront à écarter les ténèbres de la Forênoire. Ils sauront montrer le chemin.","Es war eine der ersten Stätten, die die Ezomyten erbauten, als uns vor langer Zeit Neuankömmlinge die Runen lehrten.\r\n<continue>Deshalb habe ich noch Hoffnung, dass wir dort gehört werden können. \r\n<continue>Wie es in dem Lied heißt: <i>{Je dunkler die Nacht, desto heller das Runenlicht …\""}.\r\n<continue>Falls ich die Geister der Anderswelt erreichen kann, werden sie Euch helfen, die Dunkelheit des Schwarzen Forsts zu durchdringen. Sie können Euch den Weg weisen.","遥か昔、新参者たちが私たちにルーンを教えてくれた時にエゾミアの民が最初に作った場所の一つです。<continue>だからまだ私たちの話を聞いてくれるのではないかと期待しています。<continue>「夜が暗いほど、ルーンは明るく照らす……」と歌われています。<continue>もし自然の精たちと接触できれば、彼らはブラックウッドの闇の中を通る手助けをしてくれます。道を示してくれます。","아주 먼 옛날, 이방인들이 룬을 가르쳐 줬을 때 에조미어인들이 세운 첫 장소 중 하나죠. <continue>그래서 아직 우리의 목소리라 닿을 거라는 희망을 버리지 않은 거예요. <continue>노래에는 이렇게 나와 있어요. <i>{\""밤이 어두울수록 룬의 빛은 밝아진다...\""} <continue>영물 혼백에 닿을 수만 있다면, 그들이 검은 숲의 어둠을 몰아내는 걸 돕고 길을 보여줄 거예요.","Foi um dos primeiros lugares erguidos pelos ezomytas quando os recém-chegados nos ensinaram as runas, há muito, muito tempo. <continue>É por isso que ainda tenho esperança de que possamos ser ouvidos. <continue>Como diz a canção: <i>{\""quanto mais escuridão a noite produz, mais forte brilha a runaluz\""}... <continue>Se eu conseguir alcançar os espíritos feéricos, eles vão ajudar você a atravessar a escuridão do Bosque Sable. Eles podem mostrar o caminho.","На этой древней стоянке, одной из первых, построенных эзомитами, много лет назад новоприбывшие обучили нас знанию рун. <continue>Именно поэтому я всё ещё надеюсь, что нас могут услышать. <continue>Как в песне поётся, <i>{«чем темнее мрак ночи, тем ярче светят рун лучи...»} <continue>Если мы сможем достучаться до волшебных духов, они помогут тебе пробиться через тьму Чернолесья. Они покажут тебе дорогу.","Ese fue uno de los primeros sitios que los ezomitas construyeron cuando los recién llegados nos enseñaron sobre runas hace mucho tiempo. <continue>Como dice la canción \""<I>{Cuanto más oscura la noche, más brillan las runas...}\"" <continue>Si logro alcanzar los espíritus feéricos, te ayudarán a atravesar la oscuridad del Bosque negro. Podrán mostrarte el camino.","มันเป็นที่แรกๆ ที่ชาวเอโซไมต์สร้างขึ้นเมื่อเหล่าผู้มาใหม่สอนให้\r\nเรารู้จักอักขระมาเนิ่นนาน<continue>ข้าถึงยังหวังอยู่ว่ายังมีผู้ใดได้ยินเสียงเราอีก<continue>เหมือนกับเพลงที่ว่า <i>{\""ราตรียิ่งมืดมน แสงอักขระยิ่งสว่าง...\""}<continue>หากข้าติดต่อวิญญาณเหนือธรรมชาติได้ พวกเขาจะช่วยเจ้า\r\nผลักดันผ่านความมืดของป่าวิกาล พวกเขาจะเผยทางให้กับ\r\nเจ้าได้","當新來客在很久以前教導我們符文時，那裡是艾茲麥人最早建造的地方之一。<continue>這也是為什麼我抱持著我們依舊能被聽見的希望。<continue>正如歌詞所述：<i>{\""夜越黑，符文之光也越亮……\""}<continue>如果我能與亡靈接觸，它們就能協助你穿過黑木林的黑暗。它們能為你照亮道路。","[""Audio/Dialogue/4.0/NPC/Interlude/P1/Una/Una_OnStonesOfSerle_AreaOrRenly_02.ogg"",""Audio/Dialogue/4.0/NPC/Interlude/P1/Una/Una_OnStonesOfSerle_AreaOrRenly_03.ogg"",""Audio/Dialogue/4.0/NPC/Interlude/P1/Una/Una_OnStonesOfSerle_AreaOrRenly_04.ogg"",""Audio/Dialogue/4.0/NPC/Interlude/P1/Una/Una_OnStonesOfSerle_AreaOrRenly_05.ogg""]","[747,749]","",[],0,100,[],[],[],[],[],[],[],[],"",""
