"rownum","Id","AnimatedArt","BeamArt","EffectPacksArt","ObjectArt","Variants","BuffVisuals","[i32]_104","ProjectileArt","Stat","MonsterVarieties","ActiveSkill","GrantedEffect","Monster","i32_216","MiscProjectileArt","MiscParticleArt","SkillWeaponEffectsArt","ArtVariationStat"
231,"hellscape_tentacle_grab",[],[],[],[],"[""Default""]",[647],[18079],[],338,[],[519],[],[],1000,[],[],[],""
232,"bear_slam","[2113,2114]",[],[],[],"[""Default""]",[],"[18079,18079,55033]",[],24537,[],[670],[],"[""Default"",""Forgemaster""]",1000,[],[],[],""
233,"cast_on_shock","[2121,2122]",[],[264],[],"[""Default""]",[],[18079],[],338,[],[672],[],[],1000,[],[],[],""
234,"cast_on_freeze","[2123,2124]",[],[265],[],"[""Default""]",[],[18079],[],338,[],[673],[],[],1000,[],[],[],""
235,"cast_on_ignite","[2125,2126]",[],[266],[],"[""Default""]",[],[18079],[],338,[],[674],[],[],1000,[],[],[],""
236,"cast_on_elemental_ailment","[2125,2126]",[],[267],[],"[""Default""]",[],[18079],[],338,[],[675],[],[],1000,[],[],[],""
237,"cast_on_melee_kill","[2129,2130]",[],[268],[],"[""Default""]",[],[18079],[],338,[],[676],[],[],1000,[],[],[],""
238,"cast_on_death","[2131,2132]",[],[269],[],"[""Default""]",[],[18079],[],338,[],[677],[],[],1000,[],[],[],""
239,"hollow_form",[],[],"[680,681,682]",[],"[""Default""]",[],[18079],[],338,[],[914],[],[],1000,[],[],[],""
240,"cast_when_stunned","[2133,2134]",[],[270],[],"[""Default""]",[],[18079],[],338,[],[678],[],[],1000,[],[],[],""
241,"cast_on_damage_takenCopy","[2135,2136]",[],[271],[],"[""Default""]",[],[18079],[],338,[],[679],[],[],1000,[],[],[],""
242,"cast_on_critical_strike","[2137,2138]",[],[272],[],"[""Default""]",[],[18079],[],338,[],[680],[],[],1000,[],[],[],""
243,"rolling_slam_ancestral","[1857,1860]",[],[],[],"[""Default""]",[],"[18079,18079,5816]",[],338,[],[564],[],"[""Default"",""Kitava""]",1000,[],[],[],""
244,"disengage","[2139,2971]",[],[],[],"[""Default""]",[],"[18079,18079,33359,17043]",[],338,[],"[533,531]",[],"[""Default"",""Brambleghast"",""SpiritWalker""]",1000,[],[],[],""
245,"barrier_invocation","[2140,2141]",[],[273],[],"[""Default""]","[785,650]",[18079],[],338,[],[681],[],[],1000,[],[],[],""
246,"cast_on_dodge","[2146,2147]",[],[276],[],"[""Default""]",[],[18079],[],338,[],[682],[],[],1000,[],[],[],""
247,"cast_while_channelling","[2148,2149]",[],[277],[],"[""Default""]",[],[18079],[],338,[],[683],[],[],1000,[],[],[],""
248,"cast_on_melee_stun","[2150,2151]",[],[278],[],"[""Default""]",[],[18079],[],338,[],[684],[],[],1000,[],[],[],""
249,"stormbringer_blade","[2152,2153]",[],[],[],"[""Default""]",[],[18079],[],338,[],[594],[],[],1000,[],[],[],""
250,"bladestorm",[2154],[],[],[38],"[""Default"",""Celestial""]",[],"[18079,27572]",[],338,[],[409],[],[],1000,[],[],[],""
251,"shield_phalanx",[],[],[],[30],"[""Default""]",[],[18079],[],338,[],[691],[],[],1000,[],[],[],""
252,"spinning_flail",[],[],[],[],"[""Default""]",[],[18079],[],338,[],[572],[],[],1000,[],[],[],""
253,"dominating_aura",[],[],[],[],"[""Default""]","[653,654,655]",[18079],[],338,[],[693],[],[],1000,[],[],[],""
254,"explosive_grenade","[2160,2364]",[],[],[],"[""Default"",""ExpodingBaby"",""VaalGuard""]",[],"[18079,63272,34552]",[391],338,[],"[697,698]",[],[],1000,[],[],[],""
255,"flash_grenade","[2163,2367]",[],[279],[],"[""Default"",""Vampiric""]",[],"[18079,20069]",[394],338,[],[699],[],[],1000,[],[],[],""
256,"toxic_grenade","[2166,2368,2171,2173]",[],[],[],"[""Default""]",[],[18079],[396],338,[],[700],[],[],1000,[],[],[],""
257,"oil_grenade","[2168,2370]",[],[],[],"[""Default"",""VaalGuard""]",[813],"[18079,34552]",[397],338,[],"[701,702]",[],[],1000,[],[],[],""
258,"fire_grenade","[2170,2372]",[],[],[],"[""Default""]",[],[18079],[399],338,[],[703],[],[],1000,[],[],[],""
259,"shock_grenade","[2784,2785]",[],[],[],"[""Default""]",[],"[18079,18079,38415,48680]",[480],338,[],[704],[],"[""Default"",""Doryani"",""Sulphite""]",1000,[],[],[],""
260,"player_melee_grenade_launcher","[2790,2791]",[],[],[],"[""Default""]",[],"[18079,18079]",[485],338,[],[775],[],"[""Default""]",1000,[],[],[],""
261,"summon_skeletons",[],[],[],[],"[""Default""]",[],[18079],[],338,"[12,13,14,15,16,17,18,19]","[279,280,281,282,283,284,285,286]",[],[],1000,[],[],[],""
262,"summon_packleader",[],[],[],[],"[""Default""]",[],[18079],[],338,[22],[287],[],[],1000,[],[],[],""
263,"summon_mist_raven",[],[],[],[],"[""Default""]",[],[18079],[],338,[23],[288],[],[],1000,[],[],[],""
264,"summon_spiraling_conspiracy","[3471,3472]",[240],[],[],[],[],[],[],338,[65],[289],[],[],1000,[],[],[],""
265,"packleader_great_hunt","[2510,2373,2511,2512]",[],[],[],"[""Default""]",[],[18079],[400],338,[],[713],[],[],1000,[],[],[],""
266,"bone_offering",[2175],[],"[285,712]",[],"[""Default""]",[709],[18079],[],338,[30],[161],[],[],1000,[],[],[],""
267,"pain_offering",[2176],[],"[287,712]",[],"[""Default""]",[711],[18079],[],338,[32],[706],[],[],1000,[],[],[],""
268,"revive_minion",[],[],[],[],"[""Default""]",[],[18079],[],338,[],[705],[],[],1000,[],[],[],""
269,"rage",[],[],[],[],"[""Default""]",[656],[18079],[],18119,[],[],[],[],1000,[],[],[],""
270,"broken_armour_debuff","[2179,2183]",[],[281],[],"[""Default""]",[659],[18079],[],18125,[],[],[],[],1000,[],[],[],""
271,"armour_fully_broken_consumed",[2187],[],[],[],"[""Default""]",[],[18079],[],18129,[],[],[],[],1000,[],[],[],""
272,"resonating_slam","[2190,2191]",[],[],[],"[""Default""]",[],[18079],[],338,[],[710],[],[],1000,[],[],[],""
273,"sniper_gas_shot","[2510,2373,2511,2512]",[],[],[],"[""Default""]",[],[18079],[400],338,[],[712],[],[],1000,[],[],[],""
274,"death_storm",[2192],[],[],[],"[""Default""]",[],[18079],[],338,[],[714],[],[],1000,[],[],[],""
275,"bombadier_destructive_link",[2193],[],[348],[],"[""Default""]",[],[18079],[],338,[],[716],[],[],1000,[],[],[],""
276,"djinn_force_recharge",[],[],[],[],"[""Default""]",[],[18079],[],338,[],[717],[],[],1000,[],[],[],""
277,"ice_bind",[],[163],[],[],"[""Default""]",[],[18079],[],338,[],[715],[],[],1000,[],[],[],""
278,"staggering_palm","[2195,2197,2199]",[],[757],[],"[""Default""]",[663],"[18079,18079,59057]",[],338,[],[720],[],"[""Default"",""Thunderfist""]",1000,[],[],[],""
279,"wind_palm_projectile",[2523],[],[],[],"[""Default""]",[],"[18079,18079,59057]",[403],338,[],[721],[],"[""Default"",""Thunderfist""]",1000,[],[],[],""
280,"command_minion",[2201],[],[],[],"[""Default""]",[],[18079],[],338,[],"[709,1029]",[],[],1000,[],[],[],""
281,"charged_staff",[2205],[],[],[],"[""Default""]","[830,831]","[18079,18079,14598]",[],338,[],"[722,723]",[],"[""Default"",""Aurora""]",1000,[],[],[],""
282,"rolling_magma","[2207,2208]",[],[],[],"[""Default""]",[],"[18079,18079,52342,29041]",[401],338,[],[206],[],"[""Default"",""Lichborn"",""Divine Dragon""]",1000,[],[],[],""
283,"siphoning_strike","[2211,2213,2215]",[],[291],[],"[""Default""]",[],"[18079,18079,59057]",[],338,[],[724],[],"[""Default"",""Thunderfist""]",1000,[],[],[],""
284,"tempest_bell","[2219,2222]",[171],[],[42],"[""Default""]","[664,667,670]","[18079,18079,56473,27603,14598]",[],338,[],[725],[],"[""Default"",""Breachlord"",""Djinn"",""Aurora""]",1000,[],[],[],""
285,"generic_minion_command",[2201],[],[],[],"[""Default""]",[],[18079],[],338,[],[726],[],[],1000,[],[],[],""
286,"frozen_locus","[2230,2231,2232]",[],[],[47],"[""Default""]",[],[18079],[],338,[],[727],[],[],1000,[],[],[],""
287,"bonestorm","[2530,2532]",[],[357],[],"[""Default""]",[891],[18079],[404],338,[],[728],[],[],1000,[],[],[],""
288,"bone_cage","[3013,3015,3017]",[],[],[],"[""Default""]",[702],[18079],[],338,[],[729],[],[],1000,[],[],[],""
289,"contagion","[2235,2242]",[],"[323,329,335]",[],"[""Default"",""Arcane"",""Celestial"",""Sunprism"",""Scientist"",""Project""]","[676,682]","[18079,47901,27572,52008,64816,55295]",[],338,[],[227],[],[],1000,[],[],[],""
290,"consume_corpse",[2250],[],[294],[],"[""Default""]",[],[18079],[],338,[],[730],[],[],1000,[],[],[],""
291,"unearth",[2248],[],[292],[],"[""Default""]",[],[18079],[],338,[20],[731],[],[],1000,[],[],[],""
292,"poison_burst_arrow",[2253],[],[],[],"[""Default""]",[],"[18079,18079,60059,7333]",[406],338,[],[733],[],"[""Default"",""Night Lotus"",""Blight""]",1000,[],[],[],""
293,"power_siphon","[2251,2252]",[210],[295],[],"[""Default"",""UniqueWand""]",[],"[18079,21767]",[],22480,[],[90],[],[],1000,[],[],[],""
294,"stormcaller_arrow","[2256,2257]",[],[],[76],"[""Default""]",[],"[18079,18079,7062,59812]",[409],338,[],"[735,736]",[],"[""Default"",""Faridun"",""Ghostfuse""]",1000,[],[],[],""
295,"ripwire_arrow",[3179],[],[],[],"[""Default""]",[],[18079],[423],338,[],[737],[],[],1000,[],[],[],""
296,"lightning_rod","[2262,2263]",[],[],[49],"[""Default""]",[],"[18079,18079,7062]",[412],338,[],[738],[],"[""Default"",""Faridun""]",1000,[],[],[],""
297,"gas_arrow",[],[],[],[],"[""Default""]",[],"[18079,18079,60059,7333]",[443],338,[],[739],[],"[""Default"",""Night Lotus"",""Blight""]",1000,[],[],[],""
298,"fireball",[2275],[],[],[],"[""Default""]",[],"[18079,18079,49438,39541]","[414,415,416]",338,[],[742],[],"[""Default"",""DemonicFire"",""Stygian""]",1000,[],[],[],""
299,"solar_orb","[2278,2279]",[],[],[63],"[""Default""]",[699],"[18079,18079,49438,39541]",[],338,[],[741],[],"[""Default"",""DemonicFire"",""Stygian""]",1000,[],[],[],""
300,"plague_bearer_nova",[2284],[],[322],[],"[""Default""]",[],"[18079,18079,49438,39541]",[],338,[],[744],[],"[""Default"",""DemonicFire"",""Stygian""]",1000,[],[],[],""
301,"channel_shield_charge","[2458,2459,2460,2461]",[],[318],[],"[""Default""]",[],[18079],[],338,[],[6],[],[],1000,[],[],[],""
302,"electrocuting_arrow",[3261],[],[],[],"[""Default""]",[720],"[18079,18079,7062]",[426],338,[],[745],[],"[""Default"",""Faridun""]",1000,[],[],[],""
303,"snap","[2285,2286,2287,2522]",[],[],[],"[""Default""]",[],"[18079,18079,35955,22646,4760]",[],338,[],[746],[],"[""Default"",""Darkshard"",""Aybssal"",""Obsidian""]",1000,[],[],[],""
304,"rain_of_arrows_new","[1326,2346,1345]",[],[],[],"[""Default""]",[],[18079],[428],338,[],[740],[],[],1000,[],[],[],""
305,"perfect_strike","[2446,2448,2449,2447]",[],[315],[],"[""Default""]",[],[18079],[],25760,[],[747],[],[],1000,[],[],[],""
306,"snipe","[2756,2757]",[],[435],[],"[""Default""]",[],"[18079,18079,14598]",[424],338,[],[438],[],"[""Default"",""Aurora""]",1000,[],[],[],""
307,"lightning_warp","[2301,2319,2307,2313,2349,2325]",[],[],[],"[""Default""]",[853],"[18079,18079,35955]",[],338,[],[69],[],"[""Default"",""Darkshard""]",1000,[],[],[],""
308,"vile_disruption","[2337,2340,2338,2339,2342,2341]",[],[],[],"[""Default""]",[854],[18079],[],338,[],[70],[],[],1000,[],[],[],""
309,"empower_barrage","[2357,2358]",[],[],[],"[""Default""]","[690,691]","[18079,18079,17043]",[],338,[],[155],[],"[""Default"",""SpiritWalker""]",1000,[],[],[],""
310,"shield_block",[],[],[],[],"[""Default""]",[],[18079],[],338,[],[748],[],[],1000,[],[],[],""
311,"parry",[2885],[],[581],[],"[""Default""]",[778],[18079],[],22194,[],[941],[],[],1000,[],[4],[],""
312,"detonating_arrow","[2343,2344]",[],[],[],"[""Default""]",[],[18079],[],338,[],[732],[],[],1000,[],[],[],""
313,"resonating_shield",[2345],[],[],[],"[""Default""]",[],[18079],[],338,[],[750],[],[],1000,[],[],[],""
314,"mana_remnants",[2347],[169],[352],[],"[""Default""]",[694],[18079],[],338,[],[751],[],[],1000,[],[],[],""
315,"sanguine_revelry",[2348],[170],[353],[],"[""Default""]",[695],[18079],[],338,[],[752],[],[],1000,[],[],[],""
316,"toxic_growth","[2350,2351]",[],[],[53],"[""Default""]",[],"[18079,18079,60059,7333]",[429],338,[],[734],[],"[""Default"",""Night Lotus"",""Blight""]",1000,[],[],[],""
317,"ancestral_warrior_totem","[2837,2836,2838]",[],[638],[59],"[""Default""]",[],[18079],[],338,[24],[475],[],[],1000,[],[],[],""
318,"summon_meta_totem_axes","[2837,2836,2838]",[],[638],[],"[""Default""]",[],[18079],[],338,[24],[476],[],[],1000,[],[],[],""
319,"magma_barrier",[],[],[],[],"[""Default""]","[696,697,698]",[18079],[],338,[],[753],[],[],1000,[],[],[],""
320,"magma_barrier_explosion",[2374],[],[],[],[],[],[],[],338,[],[754],[],[],1000,[],[],[],""
321,"flameblast","[2375,2433,2376,2377,2378]",[],[300],[],"[""Default""]",[],"[18079,18079,49438,39541]",[],338,[],"[148,149,151,150,152,153,164,165]",[],"[""Default"",""DemonicFire"",""Stygian""]",1000,[],[],[],""
322,"frost_bolt","[2434,2436]",[],[],[],"[""Default"",""ArchitectIceSpear""]",[],"[18079,31346]","[432,438]",338,[],[238],[],[],1000,[],[],[],""
323,"shockwave_totem","[2837,2836,2838]",[],[],[59],"[""Default""]",[],[18079],[],338,[],[779],[],[],1000,[],[],[],""
324,"totem_shockwave_quake","[2443,2444,2445]",[],[],[],"[""Default""]",[],[18079],[],338,[],[781],[],[],1000,[],[],[],""
325,"freezing_shards",[],[],[],[],"[""Default""]",[],[18079],[439],338,[],[780],[],[],1000,[],[],[],""
326,"vine_arrow","[1326,2462,1345]",[166],[319],[56],"[""Default""]",[902],"[18079,18079,60059,7333]",[440],338,[],[782],[],"[""Default"",""Night Lotus"",""Blight""]",1000,[],[],[],""
327,"summon_rhoa_mount",[],[],[],[],"[""Default""]",[],"[18079,18079,14795,26469,16922,49857]",[],338,[25],[783],[],"[""Default"",""Ritualist"",""Honour Guard"",""Delirium"",""Karui""]",1000,[],[],[],""
328,"plague_burst",[2463],[],[],[],"[""Default""]",[],[18079],[],338,[],[784],[],[],1000,[],[],[],""
329,"detonate_dead","[2467,2470,2464,2473]",[],[344],[],"[""Default""]",[],[18079],[],338,[],"[22,23]",[],[],1000,[],[],[],""
330,"corpse_cloud","[2166,2368,2171,2173]",[],[345],[],"[""Default"",""CorpseCloudTriggered""]",[],"[18079,42705]",[],338,[],"[785,786]",[],[],1000,[],[],[],""
331,"raging_spirits",[],[],[],[],"[""Default""]",[],[18079],[],338,[1],[787],[],[],1000,[],[],[],""
332,"skeleton_mage_minion_frostbolt","[2477,2478]",[],[],[],"[""Default""]",[],[18079],[346],338,[],[788],[],[],1000,[],[],[],""
333,"triggered_elemental_discharge","[2479,2480,2481]",[],[],[],"[""Default""]",[],[18079],[],338,[],"[789,790]",[],[],1000,[],[],[],""
334,"triggered_fiery_death",[2503],[],[354],[],"[""Default""]",[],[18079],[],338,[],[791],[],[],1000,[],[],[],""
335,"twister","[2482,2907,2908,2950,2951,2952]",[],[],[60],"[""Default"",""Celestial""]",[741],"[18079,27572,18079,33359]",[508],338,[],[793],[],"[""Default"",""Brambleghast""]",1000,[],[],[],""
336,"raise_zombie",[],[],[349],[],"[""Default""]",[],[18079],[],338,[],[37],[],[],1000,[],[],[],""
337,"hex_blast","[2490,2491]",[],[350],[],"[""Default""]",[],[18079],[],338,[],[464],[],[],1000,[],[],[],""
338,"explosive_spear","[2494,2495,2496]",[],[],[80],"[""Default""]",[],"[18079,18079,22063,14692]",[491],338,[],[794],[],"[""Default"",""Ancestral"",""SpirtWalker""]",1000,[],[],[],""
339,"knockback_wave",[2504],[],[],[],"[""Default""]",[],[18079],[],338,[],[795],[],[],1000,[],[],[],""
340,"lightning_bolt",[2505],[],[],[],"[""Default"",""Skeleton""]",[],"[18079,47697,18079,37812,35955]",[],338,[],"[660,273,661]",[],"[""Default"",""Abyss"",""Darkshard""]",1000,[],[],[],""
341,"spear_wind_vortex",[2524],[],[],[],"[""Default""]",[],[18079],[],338,[],[796],[],[],1000,[],[],[],""
342,"thunderous_leap",[2513],[],[],[],"[""Default""]",[],"[18079,18079,14117,844,22063]",[],338,[],[798],[],"[""Default"",""Valkyrie"",""Dark Tempest"",""Ancestral""]",1000,[],[],[],""
343,"pinned",[],[190],[],[],"[""Default""]",[702],"[18079,18079,56326,3564,49578,48337]",[],18673,[],[],[],"[""Default"",""RingOfBones"",""RipWire"",""Jade"",""RingOfBonesSanguine""]",1000,[],[],[],""
344,"wind_dancer",[2519],[],[],[],"[""Default""]",[893],"[18079,18079,14598]",[],338,[],"[799,800]",[],"[""Default"",""Aurora""]",1000,[],[],[],""
345,"triggered_mana_flare",[2521],[],[],[],"[""Default""]",[],[18079],[],338,[],[801],[],[],1000,[],[],[],""
346,"profane_ritual",[2525],[175],[355],[],"[""Default""]",[708],[18079],[],338,[],[802],[],[],1000,[],[],[],""
347,"oshabi_orb_projectile",[],[],[],[],"[""Default"",""CarnivorousPlant""]",[],"[18079,44924]","[446,448]",338,[],[453],[],[],1000,[],[],[],""
348,"soul_offering","[2526,2527]",[176],"[356,712,359]",[],"[""Default""]",[737],[18079],[],338,[34],[803],[],[],1000,[],[],[],""
349,"dark_effigy_projectile","[2536,2537]",[],[362],[],"[""Default""]",[],[18079],"[450,451]",338,[],[805],[],[],1000,[],[],[],""
350,"dark_offering",[2175],[],"[285,712]",[],"[""Default""]",[],[18079],[],338,[30],[707],[],[],1000,[],[],[],""
351,"grave_offering",[2175],[],"[285,712]",[],"[""Default""]",[],[18079],[],338,[30],[708],[],[],1000,[],[],[],""
352,"ice_bomb","[2534,2535]",[],[],[],"[""Default""]",[],[18079],[],338,[],[807],[],[],1000,[],[],[],""
353,"grim_feast","[2540,2541]",[],"[384,385,386]",[],"[""Default""]",[713],[18079],[],338,[],[808],[],[],1000,[],[],[],""
354,"create_illusion",[],[],"[387,447,388]",[],"[""Default""]",[],[18079],[],338,[],[686],[],[],1000,[],[],[],""
355,"cast_on_minion_death","[2542,2543]",[],[389],[],"[""Default""]",[],[18079],[],338,[],[810],[],[],1000,[],[],[],""
356,"brutus_ground_slam","[2544,2550]",[],[],[],"[""Default"",""Molten"",""Lightning"",""Acolyte"",""Mastodon"",""BitterGuy""]",[],"[18079,19877,41050,31443,45872,30428]",[],338,[],[171],[],[],1000,[],[],[],""
357,"scavenged_plate",[],[],[390],[],"[""Default""]","[714,715]",[18079],[],338,[],[811],[],[],1000,[],[],[],""
358,"dash_attack_to_target",[],[],[],[],"[""Default""]",[],[18079],[],338,[],[812],[],[],1000,[],[],[],""
359,"mana_drain",[],[178],"[416,415]",[],"[""Default""]",[],[18079],[],338,[],[814],[],[],1000,[],[],[],""
360,"bone_blast",[2556],[],[432],[],"[""Default""]",[],[18079],[],338,[],[815],[],[],1000,[],[],[],""
361,"blink_reservation",[],[],[],[],"[""Default""]",[716],[18079],[],338,[],[816],[],[],1000,[],[],[],""
362,"blink",[],[],"[430,475]",[],"[""Default""]",[],"[18079,18079,25598,44655,7999]",[],338,[],[817],[],"[""Default"",""Sand"",""Vaal Chrono Seer"",""Tangmazu""]",1000,[],[],[],""
363,"black_powder_blitz_reservation",[],[],[],[],"[""Default""]",[718],[18079],[],338,[],[818],[],[],1000,[],[],[],""
364,"black_powder_blitz",[3160],[],[],[],"[""Default""]",[],[18079],[],338,[],[819],[],[],1000,[],[],[],""
365,"incinerate_player",[2558],[],[],[],"[""Default""]",[],"[18079,18079,49438,39541]",[],338,[],[820],[],"[""Default"",""DemonicFire"",""Stygian""]",1000,[],[],[],""
366,"molten_blast","[2561,2562]",[],[],[],"[""Default""]",[],[18079],"[454,455]",25760,[],[821],[],[],1000,[],[],[],""
367,"cast_aura_crit_against_enemy","[2606,2607]",[],[],[],"[""Default""]",[],[18079],[],338,[],[822],[],[],1000,[],[],[],""
368,"volatile_dead","[2567,2573]",[],[391],[],"[""Default"",""Monster"",""Stygian"",""Chaos"",""Void""]",[],"[18079,1567,39541,38322,9203,18079,12926]",[],338,[36],"[311,312]",[],"[""Default"",""Darkwood""]",1000,[],[],[],""
369,"hydra",[],[],[],[],"[""Default""]",[719],[18079],[],338,[42],[823],[],[],1000,[],[],[],""
370,"hammer_of_the_gods","[2579,2580,2581]",[],[],[],"[""Default""]",[],[18079],[],338,[],[824],[],[],1000,[],[],[],""
371,"hammer_of_the_gods_fist","[2579,2580,2582]",[],[],[],"[""Default""]",[],[18079],[],338,[],[824],[],[],1000,[],[],[],""
372,"living_bomb_player","[2583,2584,2585]",[],[],[],"[""Default""]",[],"[18079,18079,39541]",[],338,[],[826],[],"[""Default"",""Stygian""]",1000,[],[],[],""
373,"stampede","[2589,2590,2697,2834]",[],[],[],"[""Default""]",[],[18079],[],338,[],[827],[],[],1000,[],[],[],""
374,"shield_wall","[2698,2699]",[],[],[62],"[""Default""]",[],[18079],[],338,[],"[828,1083]",[],[],1000,[],[],[],""
375,"fortifying_cry","[2591,2592,2593]",[],[417],[],"[""Default""]",[724],[18079],[],338,[],[829],[],[],1000,[],[],[],""
376,"shielding_cry_shockwave","[2594,2595]",[],[],[],"[""Default""]",[],[18079],[],338,[],[830],[],[],1000,[],[],[],""
377,"ember_fusillade",[2598],[234],"[490,492]",[],"[""Default""]",[887],"[18079,18079,49438,39541]",[460],338,[],"[831,833,986]",[],"[""Default"",""DemonicFire"",""Stygian""]",1000,[],[],[],""
378,"scattering_calamity",[2601],[],[496],[],"[""Default""]",[890],[18079],[463],338,[],[832],[],[],1000,[],[],[],""
379,"discipline","[2602,2604]",[],[],[],"[""Default""]",[],[18079],[],25261,[],[97],[],[],1000,[],[],[],""
380,"purity","[2608,2609]",[],[],[],"[""Default""]",[],[18079],[],338,[],"[139,140,141,95,382]",[],[],1000,[],[],[],""
381,"impurity","[2608,2610]",[],[],[],"[""Default""]",[],[18079],[],338,[],[142],[],[],1000,[],[],[],""
382,"ancestral_cry","[2684,2694,2695,2696,3180]",[179],[],[],"[""Default"",""Celestial""]",[],"[18079,27572,18079,26782]",[548],338,[],"[447,448,449]",[],"[""Default"",""CryWolf""]",1000,[],[],[],""
383,"ancestral_cry_armour","[2685,2686,2687,2689,2690,2688,2691,2692]",[],"[418,419]",[],[],"[722,723]",[],[],338,[],[],[],[],1000,[],[],[],""
384,"power_shot",[],[],[],[],"[""Default""]",[],[18079],[362],338,[],"[546,774]",[],[],1000,[],[],[],""
385,"burst_shot_default",[],[],[],[],"[""Default""]",[],"[18079,18079,33755,4999,41369,51008]",[],338,[],[607],[],"[""Default"",""Incendiary"",""ArmourPiercing"",""Freezing"",""Stormblast""]",1000,[],[],[],""
386,"rapid_shot_default",[],[],[],[],"[""Default""]",[],[18079],[381],338,[],[598],[],[],1000,[],[],[],""
387,"explosive_shot",[2700],[],[],[],"[""Default""]",[],[18079],[363],338,[],[547],[],[],1000,[],[],[],""
388,"high_velocity_rounds",[2701],[],[],[],"[""Default""]",[],"[18079,18079,20069,897]",[364],338,[],[549],[],"[""Default"",""Vampiric"",""Verisium""]",1000,[],[],[],""
389,"glacial_bolt","[2704,2705]",[],[],[40],"[""Default""]",[],"[18079,18079,897]",[367],338,[],[551],[],"[""Default"",""Verisium""]",1000,[],[],[],""
390,"plasma_blast","[2708,2709,2927]",[],[],[],"[""Default""]",[],"[18079,18079,38415,48680]",[369],338,[],[553],[],"[""Default"",""Doryani"",""Sulphite""]",1000,[],[],[],""
391,"incendiary_shot",[],[],[],[],"[""Default""]",[],"[18079,23384]",[465],338,[],[608],[],"[""IncendiaryMonster""]",1000,[],[],[],""
392,"fragmentation_rounds",[2714],[],[],[],"[""Default""]",[],"[18079,18079,21234,20069,897]",[467],338,[],[610],[],"[""Default"",""ArmourPiercingMonster"",""Vampiric"",""Verisium""]",1000,[],[],[],""
393,"permafrost_bolts",[],[],[],[],"[""Default""]",[],"[18079,18079,897]",[471],338,[],[612],[],"[""Default"",""Verisium""]",1000,[],[],[],""
394,"galvanic_shards",[2929],[159],[],[],"[""Default""]",[],"[18079,18079,38415,48680]",[473],338,[],[614],[],"[""Default"",""Doryani"",""Sulphite""]",1000,[],[],[],""
395,"siege_cascade","[2724,2717,2722]",[],[],[],"[""Default""]",[],"[18079,18079,20069,897]",[372],338,[],[555],[],"[""Default"",""Vampiric"",""Verisium""]",1000,[],[],[],""
396,"hailstorm_rounds",[2719],[],[],[],"[""Default""]",[],"[18079,18079,897]",[375],338,[],[557],[],"[""Default"",""Verisium""]",1000,[],[],[],""
397,"stormblast_bolts","[2721,2729,2889]",[],[],[72],"[""Default""]",[],"[18079,18079,38415,48680]",[377],338,[],[559],[],"[""Default"",""Doryani"",""Sulphite""]",1000,[],[],[],""
398,"artillery_ballista_projectile","[2741,2742,2743]",[],[],[],"[""Default""]",[],[18079],[380],338,[],[433],[],[],1000,[],[],[],""
399,"rapid_shot",[],[],[289],[],"[""Default""]",[],[18079],[382],338,[],[599],[],[],1000,[],[],[],""
400,"armour_piercing_rounds",[],[],[],[],"[""Default""]",[],"[18079,18079,897]",[384],338,[],[601],[],"[""Default"",""Verisium""]",1000,[],[],[],""
401,"ice_shards","[2156,2157]",[],[],[91],"[""Default""]",[],"[18079,18079,897]",[386],338,[],[603],[],"[""Default"",""Verisium""]",1000,[],[],[],""
402,"shockburst_rounds","[2726,2925]",[],[],[],"[""Default""]",[],"[18079,18079,38415,48680]",[388],338,[],[605],[],"[""Default"",""Doryani"",""Sulphite""]",1000,[],[],[],""
403,"armour_explosion",[2744],[],[],[],"[""Default""]",[],[18079],[],338,[],[834],[],[],1000,[],[],[],""
404,"ice_strike","[2746,2747]",[183],"[420,421,422,423,424]",[],"[""Default""]",[],"[18079,18079,14598]",[],338,[],[617],[],"[""Default"",""Aurora""]",1000,[],[],[],""
405,"stomping_ground_shockwave",[2750],[],[],[],"[""Default""]",[],[18079],[],338,[],[836],[],[],1000,[],[],[],""
406,"life_remnants",[2753],[185],[434],[],"[""Default""]",[725],[18079],[],338,[],[837],[],[],1000,[],[],[],""
407,"shockchain_arrow",[2754],[],[],[51],"[""Default""]",[],"[18079,18079,7062]",[476],338,[],[838],[],"[""Default"",""Faridun""]",1000,[],[],[],""
408,"sigil_of_power",[],[],[],[66],"[""Default"",""Divine""]",[726],"[18079,29263]",[],338,[],[457],[],[],1000,[],[],[],""
409,"sigil_of_life",[],[],[],[68],"[""Default""]",[728],[18079],[],338,[],[456],[],[],1000,[],[],[],""
410,"summon_mercenary_companion",[],[],[],[],"[""Default""]",[],[18079],[],338,[43],[696],[],[],1000,[],[],[],""
411,"demon_magus",[],[],[],[],"[""Default""]",[],[18079],[],338,[44],[538],[],[],1000,[],[],[],""
412,"soulbreaker",[2760],[],[],[],"[""Default""]",[],[18079],[],338,[],[843],[],[],1000,[],[],[],""
413,"vaulting_impact",[2761],[],[],[],"[""Default""]",[],"[18079,18079,56473]",[],338,[],[839],[],"[""Default"",""Breachlord""]",1000,[],[],[],""
414,"storm_wave",[2763],[],[],[],"[""Default""]",[],"[18079,18079,14598]",[],338,[],[840],[],"[""Default"",""Aurora""]",1000,[],[],[],""
415,"viper_napuatzi_lightning_spear",[],[],[],[],[],[],[],"[478,479]",338,[],[850],[],[],1000,[],[],[],""
