"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)"
329,"PerfectedEndurance","Perfected Endurance","Endurance perfectionnée","Perfektionierte Widerstandsfähigkeit","完全耐久","다듬어진 인내","Tolerância Aperfeiçoada","Исключительная выносливость","Aguante perfeccionado","Perfected Endurance","絕對堅毅"
330,"EnduringImpact","Enduring Impact","Impact endurant","Andauernde Einwirkung","断固の一撃","지속되는 충격","Impacto Duradouro","Выносливый удар","Impacto duradero","Enduring Impact","堅忍衝擊"
331,"Crater","Crater","Cratère","Krater","クレーター","분화구","Cratera","Кратер","Cráter","Crater","隕石坑"
332,"Vanguard","Vanguard","Avant-garde","Vorhut","ヴァンガード","선봉대","Vanguarda","Авангард","Vanguardia","Vanguard","無懼先鋒"
333,"CrystallineShards","Crystalline Shards","Éclats cristallins","Kristalline Splitter","結晶の破片","결정체 파편","Estilhaços Cristalinos","Кристальные осколки","Esquirlas cristalinas","Crystalline Shards","結晶碎片"
334,"SkitteringStone","Skittering Stone","Pierre grouillante","Huschender Stein","這いまわる石","달리는 돌","Pedra Rastejante","Ходячий камень","Roca escurridiza","Skittering Stone","飛掠之石"
335,"DiallasDesire","Dialla's Desire","Désir de Dialla","Diallas Verlangen","ディアーラの欲望","디알라의 갈망","Desejo de Dialla","Желание Диаллы","Deseo de Dialla","Dialla's Desire","達拉的渴望"
336,"KalisasCrescendo","Kalisa's Crescendo","Crescendo de Kalisa","Kalisas Crescendo","カリサのクレッシェンド","칼리사의 크레센도","Crescente de Kalisa","Крещендо Калисы","Crescendo de Kalisa","Kalisa's Crescendo","卡莉莎的漸強"
337,"Durability","Durability","Durabilité","Haltbarkeit","持続力","내구도","Durabilidade","Прочность","Durabilidad","Durability","耐久"
338,"BreachLineage","Breachlord","Seigneur de Brèche","Rissfürst","ブリーチロード","균열 군주","Lorde da Fenda","Повелитель Разлома","Señor de la fisura","Breachlord","裂痕王"
339,"RakiataLineage","Rakiata's Flow","Flux de Rakiata","Rakiatas Fluss","ラキアタの流れ","라키아타의 흐름","Fluxo de Rakiata","Поток Ракиаты","Flujo de Rakiata","Rakiata's Flow","萊基亞塔的流動"
340,"RigwaldLineage","Rigwald's Ferocity","Férocité de Rigwald","Rigwalds Wildheit","リグワルドの獰猛","리그월드의 흉포함","Ferocidade de Rigwald","Свирепость Ригвальда","Ferocidad de Rigwald","Rigwald's Ferocity","瑞佛的狂暴"
341,"UhtredLineage","Uhtred of Kalguur","Uhtred de Kalguur","Uhtred von Kalguur","カルグールのウートレッド","칼구르의 우트레드","Uhtred de Kalguur","Утред из Калгуура","Uhtred, de Kalguur","Uhtred of Kalguur","卡爾葛的烏特雷"
342,"DaressoLineage","Daresso's Passion","Passion de Daresso","Daressos Leidenschaft","ダレッソの熱情","다레소의 열정","Paixão de Daresso","Страсть Дарессо","Pasión de Daresso","Daresso's Passion","德瑞索的熱情"
343,"AtziriLineage","Atziri's Allure","Envoûtement d'Atziri","Atziris Verlockung","アッツィリの魅惑","앗지리의 매혹","Charme de Atziri","Искушение Атзири","Atracción de Atziri","Atziri's Allure","阿茲里的魅惑"
344,"TacatiLineage","Tacati's Ire","Ire de Tacati","Tacatis Zorn","タカティの怒り","타카티의 진노","Ira de Tacati","Гнев Такати","Ira de Tacati","Tacati's Ire","特卡蒂的憤怒"
345,"KurgalLineage","Blackblood","Sang-noir","Schwarzblut","ブラックブラッド","검은피","Sangue-negro","Чернокровные","Sangrenegra","Blackblood","黑血"
346,"AbyssalLineageTwo","Kulemak's Dominion","Domination de Kulemak","Kulemaks Herrschaft","クーラマクの支配","쿨레막의 지배","Domínio de Kulemak","Господство Кулемака","Dominio de Kulemak","Kulemak's Dominion","骷髏馬克的支配"
347,"AmanamusTithe","Amanamu's Tithe","Dîme d'Amanamu","Amanamus Zehnt","アマナムの十分の一税","아마나무의 십일조","Dízimo de Amanamu","Десятина Аманаму","Diezmo de Amanamu","Amanamu's Tithe","阿姆那姆的稅賦"
348,"VarashtasBlessing","Varashta's Blessing","Bénédiction de Varashta","Varashtas Segen","ヴァラシュタの祝福","바라시타의 축복","Bênção de Varashta","Благословение Варашты","Bendición de Varashta","Varashta's Blessing","瓦拉什塔的祝福"
349,"ArbiterLineage","Arbiter's Ignition","Ignition de l'Arbitre","Zündung des Richters","アービターの着火","중재자의 점화","Deflagração do Árbitro","Воспламенение Арбитра","Ignición del Árbitro","Arbiter's Ignition","仲裁者的燃灼"
350,"ArakaaliLineage","Arakaali's Lust","Convoitise d'Arakaali","Arakaalis Lust","アラカーリの肉欲","아라칼리의 욕망","Lúxuria de Arakaali","Похоть Аракаали","Lujuria de Arakaali","Arakaali's Lust","艾爾卡莉之慾"
