"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","XBoxText","XBoxText (French)","XBoxText (German)","XBoxText (Japanese)","XBoxText (Korean)","XBoxText (Portuguese)","XBoxText (Russian)","XBoxText (Spanish)","XBoxText (Thai)","XBoxText (Traditional Chinese)","XBoxText2","HASH32","PlaystationText","string_44"
269,"StashTabEditorCantEditDesc","This Stash Tab cannot be edited.","Cet Onglet de Réserve ne peut pas être édité.","Dieses Truhenfach kann nicht bearbeitet werden.","このスタッシュタブは編集できません","이 보관함 탭은 편집할 수 없습니다.","Esta aba do baú não pode ser editada.","Эту секцию нельзя редактировать.","Esta pestaña de alijo no se puede editar.","แท็บนี้ไม่สามารถแก้ไขได้","此倉庫頁無法編輯。","","","","","","","","","","","",4104564725,"",""
270,"GamepadActionUnlistAsyncTradeItem","Unlist","Retirer de la liste","Entfernen","掲載をやめる","상품 등록 취소","Remover","Снять с продажи","Deslistar","ยกเลิกการตั้งขาย","下架","","","","","","","","","","","",2216326652,"",""
271,"AsyncTradeCloseSaleHistoryList","Close Sale History","Fermer l'Historique des ventes","Verkaufshistorie schließen","販売履歴を閉じる","판매 내역 닫기","Fechar histórico de vendas","Закрыть историю продаж","Cerrar historial de ventas","ปิดประวัติการขาย","關閉銷售歷史","","","","","","","","","","","",3840951528,"",""
272,"GampadActionAdjustListingPrice","Adjust Listing Price","Ajuster le prix de vente","Angebotspreis anpassen","掲載している値段を変更する","등록 가격 조정","Ajustar preço anunciado","Изменить цену","Ajustar precio de venta","ปรับราคาตั้งขาย","調整上架價格","","","","","","","","","","","",2553554217,"",""
273,"QimahWell","Sacred Well","Puits Sacré","Heiliger Brunnen","神聖な井戸","성스러운 우물","Poço Sagrado","Священный колодец","Pozo sagrado","บ่อวารีศักดิ์สิทธิ์","神聖之井","","","","","","","","","","","",999311703,"",""
274,"SkillPopupWeaponSetDesc","[WeaponSets|Weapon Set]{0}","[WeaponSets|Ensemble d'armes]{0}","[WeaponSets|Waffenset]{0}","[WeaponSets|武器セット]{0}","[WeaponSets|무기 세트]{0}","[WeaponSets|Conjunto de Armas]{0}","[WeaponSets|Набор оружия]{0}","[WeaponSets|Set de armas]{0}","[WeaponSets|ชุดอาวุธ] {0}","[WeaponSets|武器套裝] {0}","","","","","","","","","","","",2150543032,"",""
275,"ObjectDisplayTextEndgameAnomalyMaelstromBeacon","Karui Beacon","Balise karuie","Karui-Leuchtfeuer","カルイのビーコン","카루이 표식","Sinalizador Karui","Маяк каруи","Faro karui","สัญญาณไฟคารุย","卡魯烽塔","","","","","","","","","","","",535574766,"",""
276,"ObjectDisplayTextEndgameAnomalySandstormBeacon","Temporal Tether","Attache temporelle","Temporale Vorrichtung","時空の鎖","시간의 밧줄","Condutor Temporal","Временная привязь","Atadura temporal","ล่ามรั้งเวลา","時空之鏈","","","","","","","","","","","",459706655,"",""
277,"ObjectDisplayTextEndgameAnomalyDraiochtBeacon","Draiocht Hengestone","Pierre de cromlech Draiocht","Draíocht-Henge-Stein","ドリオクトのヘンジストーン","드라이어흐트 헨지석","Pedra-henge Draíocht","Хендж Дриохт","Megalito de la Draiocht","วงศิลาดรีออกต์","魔幻石陣","","","","","","","","","","","",567223956,"",""
278,"ObjectDisplayTextEndgameAnomalyVaalBeacon","Vessel of Estazunti","Réceptacle d'Estazunti","Gefäß von Estazunti","エスタズンティの器","에스타준티의 그릇","Receptáculo de Estazunti","Сосуд Эстазунти","Recipiente de Estazunti","ภาชนะเอสตาซุนที","艾斯祖太的容器","","","","","","","","","","","",3289488949,"",""
279,"ObjectDisplayTextEndgameAtlasTerraformer","Activate Terraformer ({0})","Activate Terraformer ({0})","Aktiviere den Weltenformer","テラフォーマーを起動する ({0})","테라포머 활성화 ({0})","Ativar Terraformador ({0})","Активировать терраформатор ({0})","Activar Terraformador ({0})","เปิดเครื่องแปรสภาพภูมิประเทศ ({0})","啟動地形改造器({0})","","","","","","","","","","","",3924332507,"",""
280,"InterludeDjinnPedestal01","Yoon's Pedestal","Piédéstal de Yoon","Yoons Podest","ヨーンの台座","윤의 주춧대","Pedestal de Yoon","Пьедестал Йуна","Pedestal de Yoon","แท่นของยูน","育恩的臺座","","","","","","","","","","","",375143573,"",""
281,"InterludeDjinnPedestal02","Rangeen's Pedestal","Piédéstal de Rangeen","Rangeens Podest","ランギーンの台座","란긴의 주춧대","Pedestal de Rangeen","Пьедестал Рангины","Pedestal de Rangeen","แท่นของรังกีน","蘭吉恩的臺座","","","","","","","","","","","",1845641848,"",""
282,"InterludeP2Wayfinder","Wayfinder's Seal","Sceau du Cadran indicateur","Siegel des Wegfinders","導き手の封印","길잡이의 인장","Selo do Desbravador","Печать компаса","Sello de señalización","ผนึกของเครื่องนำทาง","尋路者之印","","","","","","","","","","","",4269942905,"",""
283,"PasiveTreeManageJewelWarningNoJewels","No equippable Jewels found in your Inventory.","Aucun Joyau équippable trouvé dans votre Inventaire.","Keine ausrüstbaren Juwelen in deinem Inventar gefunden.","インベントリーに装備可能なジュエルがありません","소지품에 장착 가능 주얼이 없습니다.","Não há joias equipáveis em seu inventário.","В вашем инвентаре не найдено подходящих самоцветов.","No se han encontrado joyas equipables en tu inventario.","ไม่พบจิวเวลที่สวมใส่ได้ในช่องเก็บของของคุณ","你的背包中沒有可裝備的珠寶。","","","","","","","","","","","",924139323,"",""
284,"PasiveTreeManageJewelWarningEmptyCursor","You must have an empty Cursor.","Votre Curseur doit être vide.","Du benötigst einen freien Cursor.","カーソルが物を持っていない必要があります","빈 커서가 있어야 합니다.","É necessário que o cursor esteja vazio.","Курсор должен быть свободен.","Debes tener el cursor vacío.","เคอร์เซอร์ของคุณต้องไม่มีไอเทมอยู่","你的鼠標必須為空。","","","","","","","","","","","",475012681,"",""
285,"PasiveTreeManageJewelWarningNoSpaceToUnequip","No space in Inventory to unsocket Jewel.","Aucun emplacement disponible dans votre Inventaire pour désenchâsser le Joyau.","Kein Platz im Inventar, um Juwel zu entnehmen.","インベントリーにジュエルを外す空きがありません","소지품에 공간이 없어 주얼을 슬롯에서 뺄 수 없습니다.","Não há espaço no inventário para desencaixar a joia.","В инвентаре нет места, чтобы вынуть самоцвет.","No hay espacio en el inventario para desengarzar la joya.","ไม่มีพื้นที่ในช่องเก็บของเพียงพอต่อการถอดจิวเวล","你的背包沒有空間容納移出插槽的珠寶。","","","","","","","","","","","",1414167985,"",""
286,"GamepadActionCyclePassiveJewelSockets","Cycle Jewel Sockets","Faire défiler les Châsses de Joyau","Juwelenfassungen durchgehen","ジュエルソケットをサイクルする","주얼 슬롯 넘기기","Alternar Encaixes de Joias","Сменить гнездо","Cambiar de engarce de joya","เลื่อนตามรูจิวเวล","輪替珠寶插槽","","","","","","","","","","","",1338095334,"",""
287,"StatueOfAukuna","Shrine to the Black Sekhema","Autel à l'honneur de la Sekhema noire","Schrein der Schwarzen Sekhema","黒いセケマへの祠","검은 세케마의 성소","Altar para a Sekhema Sombria","Алтарь Черной Сехемы","Altar de la Sekhema negra","แท่นบูชาเซ็คเคมาสีดำ","漆黑絲克瑪的神殿","","","","","","","","","","","",2070742248,"",""
288,"PasiveTreeManageJewelWarningUnsocketJewelToRefund","Jewel must be removed to refund this Jewel Socket.","Le Joyau doit être enlevé pour rembourser cette Châsse de Joyau.","Juwel muss entfernt werden, um diese Juwelenfassung zu korrigieren.","このジュエルソケットを振り直すにはジュエルを外す必要があります","이 주얼 슬롯의 비용을 환급받으려면 주얼을 빼야 합니다.","Para restituir este encaixe, primeiro remova a joia.","Для возврата очков за это гнездо необходимо вынуть самоцвет.","Debes retirar la joya para reintegrar este engarce de joya.","คุณต้องนำจิวเวลออกก่อน จึงจะรับคืนแต้มในรูจิวเวลนี้ได้","必須移除珠寶以返還此珠寶插槽。","","","","","","","","","","","",2504159098,"",""
289,"GamepadActionManagePassiveJewelSocket","Manage Jewel Socket","Gérer la Châsse de Joyau","Juwelenfassung verwalten","ジュエルソケットを管理","주얼 슬롯 관리","Gerenciar Encaixe de Joia","Управление гнездом","Gestionar engarce de joya","จัดการรูจิวเวล","管理珠寶插槽","","","","","","","","","","","",1051384378,"",""
290,"PasiveTreeManageJewelWarningCantSwap","Jewels could not be swapped.","Les Joyaux n'ont pas pu être échangés.","Juwelen konnten nicht getauscht werden.","ジュエルをスワップすることができません。","주얼을 교체하지 못했습니다.","Não era possível trocar as joias.","Самоцветы не удалось поменять местами.","No se pudo intercambiar las joyas.","ไม่สามารถสลับจิวเวลได้","珠寶無法交換。","","","","","","","","","","","",766737632,"",""
291,"ObjectDisplayTextBallista","Ballista","Baliste","Balliste","バリスタ","쇠뇌","Balista","Баллиста","Balista","หน้าไม้ใหญ่","砲塔","","","","","","","","","","","",1047102007,"",""
292,"InterludeP2_1TitansHeadAnvil","Titan's Head Anvil","Enclume de la Tête de Titan","Titanenkopf-Amboss","タイタンの頭の金床","거신의 머리 모루","Bigorna da Cabeça do Titã","Наковальня из головы Титана","Yunque de la cabeza del titán","ทั่งหัวไททัน","泰坦之首鐵砧","","","","","","","","","","","",2908851074,"",""
293,"AbyssalEndObjectDisplayText","Embrace Abyssal Power?","Embrasser le Pouvoir abyssal ?","Nehmt Ihr die Macht des Abgrunds an?","アビサルの力を受け入れるか？","심연의 힘을 받아들일까요?","Aceitar o poder abissal?","Принять силу Бездны?","¿Aceptas el poder abisal?","น้อมรับพลังอะบิสไหม?","是否擁抱深淵之力？","","","","","","","","","","","",1079574056,"",""
294,"DeadlyMapBossName","[DeadlyMapBoss|Deadly Map Boss]","[DeadlyMapBoss|Boss de Carte mortel]","[DeadlyMapBoss|Tödlicher Kartenboss]","[DeadlyMapBoss|致命的なマップボス]","[DeadlyMapBoss|강력한 지도 보스]","[DeadlyMapBoss|Chefe Mortal de Mapa]","[DeadlyMapBoss|Смертоносный босс карты]","[DeadlyMapBoss|Jefe de mapa letal]","[DeadlyMapBoss|บอสประจำแผนที่มฤตยู]","[DeadlyMapBoss|致命地圖頭目]","","","","","","","","","","","",1353997647,"",""
295,"DeadlyMapBossDescription","Area contains a [DeadlyMapBoss|Deadly Map Boss]. ","La zone contient un [DeadlyMapBoss|Boss de Carte mortel].","Gebiet enthält einen [DeadlyMapBoss|Tödlichen Kartenboss]","エリアには[DeadlyMapBoss|致命的なマップボス]が出現する","지역에 [DeadlyMapBoss|강력한 지도 보스]가 등장합니다.","A área contém um [DeadlyMapBoss|chefe mortal de mapa]","В области можно встретить [DeadlyMapBoss|смертоносного босса карты]. ","El área contiene un [DeadlyMapBoss|jefe de mapa letal]. ","ด่านมี [DeadlyMapBoss|บอสประจำแผนที่มฤตยู]","區域含有一個[DeadlyMapBoss|致命地圖頭目]。","","","","","","","","","","","",3265142373,"",""
296,"ObjectDisplayTextGrandBarya","Grand Barya","Grande Barya","Große Barya","グランドバリャ","대바리야","Barya Épico","Великая бария","Gran barya","มหาบาร์ย่า","宏偉巨靈之幣","","","","","","","","","","","",1030613089,"",""
297,"AtlasAnomalyLockedError","You must complete the Map to interact with this object.","Vous devez terminer la Carte pour interagir avec cet objet.","Du musst die Karte abschließen, um mit diesem Objekt interagieren zu können.","このオブジェクトとインタラクトするにはマップを完了する必要があります。","이 물체와 상호작용하려면 지도를 완료해야 합니다.","É necessário completar o mapa para interagir com este objeto.","Для взаимодействия с этим объектом вы должны завершить карту.","Debes completar este mapa para interactuar con este objeto.","คุณต้องผ่านแผนที่ก่อน จึงจะสามารถเปิดใช้วัตถุนี้ได้","你必須完成地圖才能與此物件互動。","","","","","","","","","","","",3876232584,"",""
298,"ManageJewelWarningCannotUnsocketJewel","Jewel could not be unsocketed.","Le Joyau n'a pas pu être désenchâssé.","Juwel konnte nicht entfernt werden.","ジュエルをソケットから外せません","주얼을 슬롯에서 빼지 못했습니다.","Não era possível desencaixar a joia.","Самоцвет не удалось извлечь.","La joya no se puede desengarzar.","ไม่สามารถถอดจิวเวลนี้ออกมาได้","珠寶無法被從插槽取出。","","","","","","","","","","","",1171539127,"",""
299,"ManageJewelWarningCannotTakeFromOtherSocket","Equipped Jewel could not be unsocketed.","Le Joyau équipé n'a pas pu être désenchâssé.","Ausgerüstetes Juwel konnte nicht entfernt werden.","装備中のジュエルをソケットから外せません","장착된 주얼을 슬롯에서 빼지 못했습니다.","Não era possível desencaixar a joia equipada.","Используемый самоцвет не удалось извлечь.","La joya equipada no se ha podido desengarzar.","ไม่สามารถถอดจิวเวลที่สวมใส่ออกมาได้","裝備中的珠寶無法被從插槽取出。","","","","","","","","","","","",2702598591,"",""
300,"ETradeMarketMessageWhisperFailedDNDModeEnabled","Invalid Query. Your account must not be marked as DND in-game to use this feature.","Requête invalide. Votre compte ne doit pas être marqué comme Ne Pas Déranger (DND) dans le jeu pour utiliser cette fonctionnalité.","Ungültige Anfrage. Dein Konto darf sich im Spiel nicht im DND-Modus befinden, um diese Funktion benutzen zu können.","不正なクエリーです。この機能を使うにはゲーム内でDNDモードの設定を解除する必要があります。","쿼리가 유효하지 않습니다. 계정이 방해금지 모드인 동안에는 이 기능을 사용할 수 없습니다.","Consulta inválida. Sua conta não pode estar marcada como DND no jogo para usar este recurso.","Некорректный запрос. Ваш аккаунт не должен иметь статуса «‎Не беспокоить» в игре для использования этой функции.","Solicitud inválida. Tu cuenta no debe aparecer como NM/DND para usar esta función. ","คำสั่งไม่ถูกต้อง บัญชีของคุณต้องไม่อยู่ในโหมด DND ในเกม จึงจะสามารถใช้ฟีเจอร์นี้ได้","無效的操作。若要使用此功能，你的帳號不能於遊戲中被標記為「勿擾」。","","","","","","","","","","","",462246259,"",""
301,"AbyssPinnacleDoor","Present Kulemak's Invitation","Présenter l'Invitation de Kulemak","Präsentiert Kulemaks Einladung","クーラマクの招待状を提示する","쿨레막의 초대 제시","Convite de Kulemak Atual","Предъявить Приглашение Кулемака","Presenta la invitacion de Kulemak","เสนอคำเชิญของคูเลมาค","展示骷髏馬克的邀請","","","","","","","","","","","",1947944415,"",""
302,"ManageJewelWarningGenericFailToSocket","Jewel could not be socketed.","Le Joyau n'a pas pu être enchâssé.","Juwel konnte nicht eingefasst werden.","ジュエルをソケットすることができません。","주얼을 홈에 장착하지 못했습니다.","Não era possível encaixar a joia.","Не удалось поместить самоцвет в гнездо.","La joya no se pudo engarzar.","ไม่สามารถใส่จิวเวลได้","珠寶無法被嵌入插槽。","","","","","","","","","","","",3901516017,"",""
303,"InfoTitle","Info","Info","Info","情報","정보","Sobre","Информация","Info","ข้อมูล","資訊","","","","","","","","","","","",3335552916,"",""
304,"HUDLeaveUnownedHideoutButtonLabel","Leave Hideout","Quitter le Repaire","Versteck verlassen","隠れ家を離れる","은신처 떠나기","Sair do Refúgio","Покинуть убежище","Salir de la guarida","ออกจากที่ซ่อน","離開藏身處","","","","","","","","","","","",2033575465,"",""
305,"HUDLeaveUnownedHideoutButtonPopupText","","","","","","","","","","","","","","","","","","","","","",2388457501,"",""
306,"ItemDescriptionAbyssGazeSocketable","Place into an empty [Augment] Socket in an Armour to apply its effect to that item. Once socketed it cannot be retrieved but can be replaced by other [Augment] items.","À placer dans une Châsse d'[Augment|Augmentation] d'une Pièce d'armure pour appliquer son effet à cet objet. Une fois enchâssé, ne peut pas être récupéré, mais peut être remplacé par d'autres objets d'[Augment|Augmentation].","Platziere dies in eine leere [Augment|Augmentations]fassung in einer Ausrüstung, um den Effekt auf den Gegenstand anzuwenden. Kann nach dem Einfassen nicht mehr entfernt werden, aber durch andere [Augment|Augmentations]gegenstände ersetzt werden.","防具の空いている[Augment|オーグメント]ソケットに配置すると、その効果がアイテムに適用されます。ソケットにはめ込むと取り出すことはできませんが、他の[Augment|オーグメント]アイテムで置き換えることはできます。","방어구에 있는 빈 [Augment|증강물] 홈에 장착하여 그 아이템에 효과를 적용할 수 있습니다. 홈에 장착한 후에는 빼서 다시 사용할 수 없지만, 다른 [Augment|증강물] 아이템으로 교체할 수는 있습니다.","Insira em um encaixe de [Augment|aprimoramento] vazio de uma armadura para aplicar seu efeito ao item. Depois de encaixado, não pode ser removido, mas pode ser substituído por outros itens de [Augment|aprimoramento].","Вставьте в пустое гнездо для [Augment|усилителей] на доспехах, чтобы применить эффект к ним. После вставки нельзя извлечь, но можно заменить другим [Augment|усилителем].","Colócala en un engarce de [Augmento|mejora] vacío de una armadura para aplicar su efecto a ese objeto. Una vez engarzado, no se podrá recuperar, pero se podrá reemplazar por otros objetos de [Augmento|mejora].","ใส่ใน รู[Augment|วัตถุฝัง]ที่ว่างเปล่า ในเกราะ เพื่อทำให้ไอเทมชิ้นนั้นได้รับผลของมัน เมื่อใส่ไปแล้วจะไม่สามารถถอดออกมาได้อีกแต่สามารถถูกแทนที่ได้ด้วยไอเทม[Augment|วัตถุฝัง]ชิ้นอื่น","放入護甲的一個空置[Augment|增幅]插槽，將其效果套用至該物品。放入插槽後將無法取出，但可以使用其他的[Augment|增幅]物取代。","","","","","","","","","","","",2817375299,"",""
307,"AsyncTradeConfirmationTitle","Purchase Confirmation","Confirmation d'achat","Kaufbestätigung","購入確認","구매 확인","Confirmação de Compra","Подтверждение покупки","Confirmación de compra","ยืนยันการซื้อ","確認購買","","","","","","","","","","","",3190814479,"",""
308,"AsyncTradeConfirmationInfoLabel","Use {0}x(CurrencyIconMarkerDontTranslate){1} to purchase {2}?","Utiliser {0}x(CurrencyIconMarkerDontTranslate){1} pour acheter {2} ?","Möchtest du {0}x(CurrencyIconMarkerDontTranslate){1} benutzen, um {2} zu kaufen?","Use {0}個の(CurrencyIconMarkerDontTranslate){1}を使って{2}を購入しますか？","(CurrencyIconMarkerDontTranslate){1} {0}개로 {2}을(를) 구매하시겠습니까?","Usar {0} (CurrencyIconMarkerDontTranslate){1} para comprar {2}?","Потратить (CurrencyIconMarkerDontTranslate){1} в кол-ве {0} шт. на покупку предмета {2}?","¿Quieres usar {0}(CurrencyIconMarkerDontTranslate){1} para comprar {2}?","คุณต้องการใช้ {0}x(CurrencyIconMarkerDontTranslate){1} ในการซื้อ {2} หรือไม่?","使用 {0}x(CurrencyIconMarkerDontTranslate){1} 購買 {2}？","","","","","","","","","","","",916269052,"",""
309,"AsyncTradeConfirmationForUsingStashCurrencyInfoLabel","Use {0}x(CurrencyIconMarkerDontTranslate){1} in (RedDontTranslate){{stash}} to purchase {2}?","Utiliser {0}x(CurrencyIconMarkerDontTranslate){1} dans (RedDontTranslate){{stash}} pour acheter {2} ?","Möchtest du {0}x(CurrencyIconMarkerDontTranslate){1} im Truhenfach (RedDontTranslate){{stash}} benutzen, um {2} zu kaufen?","Use {0}個の(CurrencyIconMarkerDontTranslate){1}を使って(RedDontTranslate){{stash}}スタッシュにある{2}を購入しますか?","(RedDontTranslate){{stash}}에 있는 (CurrencyIconMarkerDontTranslate){1} {0}개로 {2}을(를) 구매하시겠습니까?","Usar {0} (CurrencyIconMarkerDontTranslate){1} em (RedDontTranslate){{stash}} para comprar {2}?","Потратить (CurrencyIconMarkerDontTranslate){1} в кол-ве {0} шт. из (RedDontTranslate){{тайника}} на покупку предмета {2}?","¿Quieres usar {0}(CurrencyIconMarkerDontTranslate){1} de (RedDontTranslate){{stash}} para comprar {2}?","คุณต้องการใช้ {0}x(CurrencyIconMarkerDontTranslate){1} ภายใน (RedDontTranslate){{stash}} ในการซื้อ {2} หรือไม่?","使用 {0}x(CurrencyIconMarkerDontTranslate){1} 在 (RedDontTranslate){{stash}} 購買 {2}？","","","","","","","","","","","",2222756115,"",""
310,"AsyncTradeConfirmationDontShowAgainLabel","Don't Show Again","Ne plus afficher","Nicht erneut anzeigen","再び表示しないようにする","다시 표시하지 않음","Não mostrar mais","Больше не показывать","No volver a mostrar","ไม่ต้องแสดงอีก","不要再顯示","","","","","","","","","","","",3931035980,"",""
311,"AsyncTradeConfirmationSettingsOption","Show Async Trade Confirmation","Afficher la Confirmation d'échange asynchrone","Bestätigung für asynchronen Handel anzeigen","非同期トレードに確認画面を表示する","비동기 거래 확인 표시","Mostrar Confirmação de Troca Assíncrona","Показывать подтверждение при асинхронной торговле","Mostrar confirmación de comercio asincrónico","แสดงการยืนยันการแลกเปลี่ยนแยกเวลา","顯示非同步交易確認選項","","","","","","","","","","","",2658573027,"",""
312,"AsyncTradeConfirmationForUsingStashCurrencySettingsOption","Show Async Trade Confirmation For Using Stash Currency","Afficher la Confirmation d'échange asynchrone pour l'utilisation des Objets monétaires de la Réserve","Bestätigung für asynchronen Handel für das Benutzen von Truhenwährung anzeigen","スタッシュカレンシーを使った非同期トレードに確認画面を表示する","보관함에 있는 화폐를 사용할 경우 비동기 거래 확인 표시","Mostrar Confirmação de Troca Assíncrona por Usar Moeda de Baú","Показывать подтверждение при асинхронной торговле валютой из тайника","Mostrar confirmación de comercio asincrónico al usar objetos del alijo","แสดงการยืนยันการแลกเปลี่ยนแยกเวลาเมื่อใช้เงินตราในคลัง","使用倉庫貨幣時顯示非同步交易確認選項","","","","","","","","","","","",4103041445,"",""
313,"BindMenuReserveAllSetsTitle","All Sets","Tous les Ensembles","Alle Sets","全てのセット","모든 세트","Todos os Conjuntos","Все наборы","Todos los sets","ทุกชุด","所有套組","","","","","","","","","","","",1594604410,"",""
314,"SpiritReserveAllSetsErrorFailedForSet","Insufffient Spirit (Weapon Set {0})\r\nThis Skill must be reserved in all Weapon Sets.","Esprit insuffisant (Ensemble d'armes {0})\r\nCette Aptitude doit être réservée dans tous les Ensembles d'armes.","Nicht genug Wille (Waffenset {0})\r\nDiese Fertigkeit muss in allen Waffensets reserviert werden.","スピリットが足りません (武器セット {0})\r\nこのスキルは全ての武器セットでリザーブする必要があります。","정신력 부족(무기 세트 {0})\r\n이 스킬은 모든 무기 세트에서 점유되어야 합니다.","Espírito insuficiente (Conjunto de Armas {0})\r\n Esta habilidade deve ser reservada em todos os Conjunto de Armas.","Недостаточно духа (набор оружия {0})\r\nЭто умение должно быть удержано во всех наборах оружия.","Espíritu insuficiente (Set de armas {0})\r\nEsta habilidad debe reservarse en todos los sets de armas.","พลังวิญญาณไม่เพียงพอ (ชุดอาวุธ {0})\r\nสกิลนี้ต้องถูกสำรองไว้ในชุดอาวุธทั้งหมด","靈魂不足（武器套裝 {0}）\r\n 此技能必須在所有武器套裝中保留。","","","","","","","","","","","",1990345607,"",""
315,"GamepadActionSetActiveWeaponSet","Switch to Weapon Set{0}","Permuter vers l'Ensemble d'armes {0}","Zu Waffenset{0} wechseln","武器セット{0}に変更する","무기 세트 {0} 전환","Trocar para Conjunto de Armas {0}","Переключиться на набор оружия {0}","Cambiar al set de armas{0}","สลับเป็นชุดอาวุธ {0}","切換至武器套裝 {0}","","","","","","","","","","","",3659522215,"",""
316,"ControllerObjectDisplayTextSummonElwynian","Summon Elwynian","Invoquer Elwynian","Elwynian beschwören","エルウィニアンを呼ぶ","엘위니언 소환","Invocar Elwynian","Позвать Элвиниен","Invocar a Elwynian","เรียกเอลวินเนียน","召喚艾爾維尼","","","","","","","","","","","",920299932,"",""
317,"GamepadOptionPrioritiseReviveOverSkills","Prioritise Revive Over Skills","Prioriser la Résurrection plutôt que les Aptitudes","Wiederbelebung vor Fertigkeiten priorisieren","他のスキルより復活を優先する","스킬보다 부활 우선","Priorizar ressurreição em vez de habilidades","Отдавать приоритет\nвозрождению вместо умений","Priorizar revivir antes que las habilidades","คืนชีพก่อนใช้สกิลเสมอ","優先復活而不是施放技能","","","","","","","","","","","",2393573749,"",""
318,"GamepadOptionPrioritiseReviveOverSkillsDesc","Forces Revive to always take priority over Skills.","Force la Résurrection à toujours prendre la priorité sur les Aptitudes.","Erzwingt Wiederbelebung immer vor Fertigkeiten zu priorisieren.","他のスキルより復活が常に優先されるよう強制する","선택 시 부활이 항상 스킬보다 우선합니다.","A ressurreição tem prioridade em vez de habilidades.","Если включено, возрождение всегда будет иметь приоритет над умениями.","Hace que revivir siempre tenga prioridad sobre las habilidades.","บังคับให้ตัวละครทำการคืนชีพก่อนการใช้สกิล","使復活的優先級永遠高於技能。","","","","","","","","","","","",550580765,"",""
319,"ControllerObjectDisplayTextSummonCedrus","Summon Cedrus","Invoquer Cédrus","Cedrus beschwören","セドラスを呼ぶ","세드루스 소환","Invocar Cedrus","Позвать Седруса","Invocar a Cedrus","เรียกเซดรัส","召喚瑟卓斯","","","","","","","","","","","",3789638029,"",""
320,"ObjectDisplayTextDominusGemlingCraftingDevice","[DNT] Gemling Device","[DNT] Gemling Device","[DNT] Gemling Device","[DNT] Gemling Device","[DNT] Gemling Device","[DNT] Gemling Device","[DNT] Gemling Device","[DNT] Gemling Device","[DNT] Gemling Device","[DNT] Gemling Device","","","","","","","","","","","",1413444121,"",""
321,"CosmeticPanelNoAvailableCosmetics","You have no available Cosmetics for this category.","Vous n'avez aucun Cosmétique de disponible pour cette catégorie.","Du verfügst über keine kosmetischen Gegenstände für diese Kategorie.","このカテゴリーには利用可能なコスメチックスがありません","이 유형의 이용 가능한 꾸미기 항목이 없습니다.","Você não tem cosméticos dessa categoria disponíveis.","У вас нет доступных украшений в этой категории.","No tienes cosméticos disponibles para esta categoría.","คุณไม่มีเอฟเฟคแฟชั่นในหมวดหมู่นี้","你在這個類別裡沒有可使用的外觀效果。","","","","","","","","","","","",1797869404,"",""
322,"EShopPanelPurchasedItemInWishlistTip","Would you like to remove the purchased items from your Wishlist?","Souhaitez-vous retiré les objets achetés de votre Liste de souhaits","Kategorie. Möchtest du die gekauften Gegenstände aus deiner Wunschliste entfernen?","ウィッシュリストから購入したアイテムを消去しますか？","구매한 아이템을 찜 목록에서 제거하시겠습니까?","Quer remover os itens comprados da sua lista de desejos?","Убрать купленные предметы из списка желаемого?","¿Quieres eliminar los objetos que has comprado de tu lista de deseados?","คุณต้องการนำสินค้าที่ซื้อออกจากรายการสิ่งที่คุณอยากได้หรือไม่?","你要將已購買的物品從願望清單中移除嗎？","","","","","","","","","","","",1263553339,"",""
323,"ObjectDisplayTextDominusDominusLibraryCase","[DNT] Forbbiden Bookcase","[DNT] Forbbiden Bookcase","[DNT] Forbbiden Bookcase","[DNT] Forbbiden Bookcase","[DNT] Forbbiden Bookcase","[DNT] Forbbiden Bookcase","[DNT] Forbbiden Bookcase","[DNT] Forbbiden Bookcase","[DNT] Forbbiden Bookcase","[DNT] Forbbiden Bookcase","","","","","","","","","","","",640461569,"",""
324,"ETradeMarketQuickSearchStats","Quick Search Stats","Recherche rapide de stats","Schnellsuche nach Stats","クイックステータス検索","능력치 빠른 검색","Busca de Estatísticas Rápida","Быстрый поиск свойств","Estadísticas de búsqueda rápida","ค้นหา Stats รวดเร็ว","快速搜尋屬性","","","","","","","","","","","",3407300699,"",""
325,"ETradeMarketEditStatsSearch","Edit Stats Search","Éditer la recherche de stats","Suche nach Stats editieren","ステータス検索を編集する","능력치 검색 편집","Editar Busca de Estatísticas","Изменить искомые свойства","Editar búsqueda de estadísticas","แก้ไขการค้นหา Stats","編輯屬性搜尋","","","","","","","","","","","",1627644591,"",""
326,"ETradeMarketClearStatsSearch","Clear Stats Search","Effacer la recherche de stats","Suche nach Stats leeren","ステータス検索をクリアする","능력치 검색 초기화","Limpar Busca de Estatísticas","Очистить искомые свойства","Borrar búsqueda de estadísticas","ลบการค้นหา Stats","清除屬性搜尋","","","","","","","","","","","",754977686,"",""
327,"ETradeMarketCopyItemButtonHoverText","Copy Item","Copier l'objet","Gegenstand kopieren","アイテムをコピー","아이템 복사","Copiar Item","Копировать предмет","Copiar objeto","ก็อปปี้ไอเทม","複製物品","","","","","","","","","","","",2702938506,"",""
