"rownum","Id","DaggerEPKFile","BowEPKFile","OneHandedMaceEPKFile","OneHandedSwordEPKFile","string","TwoHandedSwordEPKFile","TwoHandedStaffEPKFile","i32","TwoHandedMaceEPKFile","OneHandedAxeEPKFile","TwoHandedAxeEPKFile","ClawEPKFile","PETFile","string"
85,"Weapon_FaithGuard","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath_faith/epk/dmc.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath_faith/epk/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath_faith/epk/axemace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath_faith/epk/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath_faith/epk/sword_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath_faith/epk/staff.epk",15603,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath_faith/epk/axemace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath_faith/epk/axemace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath_faith/epk/axemace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath_faith/epk/dmc.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath_faith/epk/shield.epk"
86,"Weapon_Forge","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/forge/dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/forge/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/forge/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/forge/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/forge/sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/forge/staff.epk",41206,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/forge/axe_mace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/forge/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/forge/axe_mace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/forge/claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/forge/shield.epk"
87,"Weapon_Stalker","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/stalker/dagger_wand_claw.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/stalker/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/stalker/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/stalker/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/stalker/sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/stalker/staff.epk",18683,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/stalker/axe_mace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/stalker/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/stalker/axe_mace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/stalker/dagger_wand_claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/stalker/shield.epk"
88,"Weapon_DragonHunter","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/DragonHunter/epk/dwc.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/DragonHunter/epk/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/DragonHunter/epk/axemace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/DragonHunter/epk/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/DragonHunter/epk/sword_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/DragonHunter/epk/staff.epk",51878,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/DragonHunter/epk/axemace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/DragonHunter/epk/axemace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/DragonHunter/epk/axemace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/DragonHunter/epk/dwc.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/DragonHunter/epk/shield.epk"
89,"Footprint_DragonHunter","","","","","Metadata/Effects/Microtransactions/foot_prints/DragonHunter/foot_fx.epk","","",35660,"","","","","",""
90,"Footprint_Azurite","","","","","Metadata/Effects/Microtransactions/foot_prints/azurite/azurite_foot_fx.epk","","",17110,"","","","","",""
91,"Weapon_Soulstealer","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/soulstealer/dagger_claw_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/soulstealer/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/soulstealer/1H_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/soulstealer/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/soulstealer/sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/soulstealer/staff.epk",12852,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/soulstealer/2H_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/soulstealer/1H_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/soulstealer/2H_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/soulstealer/dagger_claw_wand.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/soulstealer/shield.epk"
92,"Weapon_Crucible","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crucible/dagger_claw_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crucible/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crucible/1H_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crucible/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crucible/sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crucible/staff.epk",61580,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crucible/2H_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crucible/1H_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crucible/2H_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crucible/dagger_claw_wand.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crucible/shield.epk"
93,"Weapon_Assassin","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/ezomyte/dagger_claw_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/ezomyte/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/ezomyte/1H_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/ezomyte/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/ezomyte/sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/ezomyte/staff.epk",47324,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/ezomyte/2H_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/ezomyte/1H_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/ezomyte/2H_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/ezomyte/dagger_claw_wand.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/ezomyte/shield.epk"
94,"Weapon_Undertaker","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Undertaker/epk/dwc.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Undertaker/epk/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Undertaker/epk/axemace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Undertaker/epk/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Undertaker/epk/sword_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Undertaker/epk/staff.epk",21192,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Undertaker/epk/axemace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Undertaker/epk/axemace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Undertaker/epk/axemace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Undertaker/epk/dwc.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Undertaker/epk/shield.epk"
95,"Weapon_Corsair","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_corsair/epk/dwc.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_corsair/epk/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_corsair/epk/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_corsair/epk/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_corsair/epk/sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_corsair/epk/staff.epk",61630,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_corsair/epk/axe_mace_2H.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_corsair/epk/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_corsair/epk/axe_mace_2H.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_corsair/epk/dwc.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_corsair/epk/shield.epk"
96,"Weapon_Mystic","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_mystic/epk/dwc.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_mystic/epk/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_mystic/epk/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_mystic/epk/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_mystic/epk/sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_mystic/epk/staff.epk",62244,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_mystic/epk/axe_mace_2H.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_mystic/epk/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_mystic/epk/axe_mace_2H.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_mystic/epk/dwc.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fairgraves_mystic/epk/shield.epk"
97,"Weapon_Vanguard","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/Vanguard/claw_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/Vanguard/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/Vanguard/1h_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/Vanguard/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/Vanguard/sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/Vanguard/staff.epk",50381,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/Vanguard/2h_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/Vanguard/1h_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/Vanguard/2h_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/Vanguard/claw_wand.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/Vanguard/shield.epk"
98,"Footprint_Mystic","","","","","Metadata/Effects/Microtransactions/foot_prints/fairgraves_mystic/EPK.epk","","",64016,"","","","","",""
99,"Weapon_Empyrean","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/empyrean/dwc.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/empyrean/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/empyrean/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/empyrean/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/empyrean/sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/empyrean/staff.epk",22818,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/empyrean/axe_mace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/empyrean/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/empyrean/axe_mace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/empyrean/dwc.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/empyrean/shield.epk"
100,"Weapon_Pitfighter","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/pit_fighter/DaggerWandClaw.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/pit_fighter/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/pit_fighter/oneHanded_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/pit_fighter/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/pit_fighter/sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/pit_fighter/staff.epk",20087,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/pit_fighter/mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/pit_fighter/axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/pit_fighter/axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/pit_fighter/DaggerWandClaw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/pit_fighter/shield.epk"
101,"Weapon_CrimsonSeraph","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crimsom_seraph/epk/dwc.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crimsom_seraph/epk/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crimsom_seraph/epk/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crimsom_seraph/epk/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crimsom_seraph/epk/sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crimsom_seraph/epk/staff.epk",34031,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crimsom_seraph/epk/axe_mace_2H.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crimsom_seraph/epk/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crimsom_seraph/epk/axe_mace_2H.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crimsom_seraph/epk/dwc.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/crimsom_seraph/epk/shield.epk"
102,"Bow_Mirage_Archer_Stygian","","Metadata/Effects/Microtransactions/Spells/mirage_archer/stygian/stygian_weapon.epk","","","","","",21447,"","","","","",""
103,"Weapon_Sunstone","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Sunstone/wand_dagger/wand_dagger.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Sunstone/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Sunstone/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Sunstone/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Sunstone/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Sunstone/2h_staff/2h_staff.epk",65507,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Sunstone/2h_mace/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Sunstone/1h_axe/1h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Sunstone/2h_axe/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Sunstone/1h_claw/1h_claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Sunstone/shield.epk"
104,"Weapon_Doomcrow","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/doomcrow/epk/dmc.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/doomcrow/epk/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/doomcrow/epk/axemace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/doomcrow/epk/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/doomcrow/epk/sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/doomcrow/epk/staff.epk",18717,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/doomcrow/epk/axemace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/doomcrow/epk/axemace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/doomcrow/epk/axemace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/doomcrow/epk/dmc.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/doomcrow/epk/shield.epk"
105,"Weapon_Madcap","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_horseman/epk/dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_horseman/epk/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_horseman/epk/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_horseman/epk/swords.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_horseman/epk/swords.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_horseman/epk/staff.epk",15576,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_horseman/epk/axe_mace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_horseman/epk/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_horseman/epk/axe_mace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_horseman/epk/claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_horseman/epk/shield.epk"
106,"Footprint_Madcap","","","","","","","",57025,"","","","","",""
107,"Weapon_Huntsman","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_huntsman/epk/dwc.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_huntsman/epk/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_huntsman/epk/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_huntsman/epk/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_huntsman/epk/sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_huntsman/epk/staff.epk",15380,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_huntsman/epk/axe_mace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_huntsman/epk/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_huntsman/epk/axe_mace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_huntsman/epk/dwc.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/darkwood_huntsman/epk/shield.epk"
108,"Footprint_Huntsman","","","","","","","",64151,"","","","","",""
109,"Footprint_Transcendence","","","","","Metadata/Effects/Microtransactions/foot_prints/darkwood/EPK.epk","","",7347,"","","","","",""
110,"Weapon_CultofDarkness","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/cultofdarkness/EPKs/dwc.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/cultofdarkness/EPKs/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/cultofdarkness/EPKs/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/cultofdarkness/EPKs/axe_mace.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/cultofdarkness/EPKs/sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/cultofdarkness/EPKs/staff.epk",18334,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/cultofdarkness/EPKs/axe_mace_2H.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/cultofdarkness/EPKs/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/cultofdarkness/EPKs/axe_mace_2H.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/cultofdarkness/EPKs/dwc.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/cultofdarkness/EPKs/shield.epk"
111,"Weapon_BloodKnight","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/bloodknight/EPKs/dwc.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/bloodknight/EPKs/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/bloodknight/EPKs/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/bloodknight/EPKs/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/bloodknight/EPKs/sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/bloodknight/EPKs/staff.epk",48690,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/bloodknight/EPKs/axe_mace_2H.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/bloodknight/EPKs/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/bloodknight/EPKs/axe_mace_2H.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/bloodknight/EPKs/dwc.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/bloodknight/EPKs/shield.epk"
112,"Footprint_Wild","","","","","","","",43333,"","","","","",""
113,"Footprint_WildGold","","","","","","","",42507,"","","","","",""
114,"Footprint_Wrangler","","","","","","","",222,"","","","","",""
115,"Footprint_SilverWrangler","","","","","","","",14289,"","","","","",""
116,"Weapon_Wild","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wild/EPKs/dwc.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wild/EPKs/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wild/EPKs/axemace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wild/EPKs/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wild/EPKs/sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wild/EPKs/staff.epk",41598,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wild/EPKs/axemace_2H.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wild/EPKs/axemace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wild/EPKs/axemace_2H.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wild/EPKs/dwc.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wild/EPKs/shield.epk"
117,"Weapon_Wrangler","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wrangler/EPKs/dwc.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wrangler/EPKs/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wrangler/EPKs/axemace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wrangler/EPKs/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wrangler/EPKs/sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wrangler/EPKs/staff.epk",8373,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wrangler/EPKs/axemace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wrangler/EPKs/axemace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wrangler/EPKs/axemace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wrangler/EPKs/dwc.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/frontier_wrangler/EPKs/shield.epk"
118,"Weapon_Illusionist","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/illusionist/epk/dagger.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/illusionist/epk/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/illusionist/epk/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/illusionist/epk/1H_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/illusionist/epk/sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/illusionist/epk/staff.epk",6470,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/illusionist/epk/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/illusionist/epk/1h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/illusionist/epk/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/illusionist/epk/claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/illusionist/epk/shield.epk"
