"rownum","MonsterVarietiesKey","[i32]","[i32]","Name"
1234,3991,[],[],"Berrots, The Breaker"
1235,3993,[],[],"Vessider, The Unrivaled"
1236,3995,[],[],"Morgrants, The Deafening"
1237,3933,[],[],"Yorishi, Aurora-sage"
1238,3936,[],[],"Jeinei Yuushu"
1239,3939,[],[],"Otesha, the Giantslayer"
1240,3959,[],[],"Uruk Baleh"
1241,3962,[],[],"El'Abin, Bloodeater"
1242,3964,[],[],"Leli Goya, Daughter of Ash"
1243,3966,[],[],"Bin'aia, Crimson Rain"
1244,3905,"[1089,0]","[30,15]","Musky \""Two-Eyes\"" Grenn"
1245,3908,[],[],"Susara, Siren of Pondium"
1246,3910,"[2098,0]","[20,10]","Lussi \""Rotmother\"" Roth"
1247,1995,[],[],"The Blacksmith"
1248,992,[],[],"Tolman, the Exhumer"
1249,636,[718],[50],"Volkuur's Frostguard"
1250,637,[718],[50],"Volkuur's Frostguard"
1251,646,[718],[50],"Volkuur's Flameguard"
1252,647,[718],[50],"Volkuur's Flameguard"
1253,665,[718],[50],"Volkuur's Stormguard"
1254,666,[718],[50],"Volkuur's Stormguard"
1255,4496,[718],[50],"Volkuur, the Unbreathing Queen"
1256,4522,[718],[50],"Rania Skyborne"
1257,4525,[718],[50],"Lora, the Contender"
1258,4528,[718],[50],"Terese Napora"
1259,5672,[],[],"Farrul, First of the Plains"
1260,5680,[],[],"Craiceann, First of the Deep"
1261,5708,[],[],"Fenumus, First of the Night"
1262,5627,[],[],"Saqawal, First of the Sky"
1263,7598,[],[],"Melur Thornmaul"
1264,7601,[],[],"Elida Blisterclaw"
1265,7604,[],[],"Orvi Acidbeak"
