"rownum","BaseItemTypesKey","Stacks","CurrencyUseType","Action","Directions","FullStack_BaseItemTypesKey","Description","Usage_AchievementItemsKeys","bool","CosmeticTypeName","Possession_AchievementItemsKey","[rid]","[i32]","CurrencyTab_StackSize","XBoxDirections","i32","rid","rid","AchievementItemsKeys","[rid]","[string]"
2666,2332,1,1,"grant_micro","","","Changes the appearance of any equipped Two Hand Axe to the Arcane Infernal Axe.",[],"","Weapon Skin","",[],[],0,"",0,"","",[],[],[]
2667,2333,1,1,"grant_micro","","","Your Leap Slam becomes a Celestial Effect.",[],"","Leap Slam Skin","",[],[],0,"",0,"","",[],[],[]
2668,2334,1,1,"grant_micro","","","Your Raised Spectre's Skins becomes Celestial.",[],"","Raise Spectre Skin","",[],[],0,"",0,"","",[],[],[]
2669,2335,1,1,"grant_micro","","","Your Raised Zombies becomes Celestial.",[],"","Raise Zombie Skin","",[],[],0,"",0,"","",[],[],[]
2670,2336,1,1,"grant_micro","","","Your Summoned Skeletons' Skins becomes Celestial.",[],"","Summon Skeleton Skin","",[],[],0,"",0,"","",[],[],[]
2671,2337,1,1,"grant_micro","","","The Chiyou Apparition possesses your amulet.",[],"","Amulet Effect","",[],[],0,"",0,"",2,[],[],[]
2672,2338,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Chiyou Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2673,2339,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Chiyou Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
2674,2340,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Chiyou Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
2675,2341,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Chiyou Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
2676,2342,1,1,"grant_micro","","","Adds the Chiyou Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2677,2343,1,1,"grant_micro","","","Adds the Chiyou Cloak back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2678,2344,1,1,"grant_micro","","","Changes the appearance of any equipped Dagger, Wand, Claw, Axe, Mace, Sword, Staff or Bow to the Chiyou Weapon Skin.",[],"","Weapon Skin","",[],[],0,"",0,"",2,[],[],[]
2679,2345,1,1,"grant_micro","","","Adds the Chiyou Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
2680,2346,1,1,"grant_micro","","","Adds Chiyou Footprints to any equipped pair of boots.",[],"","Boots Modifier","",[],[],0,"",0,"",2,[],[],[]
2681,2347,1,1,"grant_micro","","","Attaches the Chiyou Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",2,[],[],[]
2682,2348,1,1,"modify_portal_variation","","","This character's portals use the Chiyou Portal Effect.",[],"","Portal Modification","",[],[],0,"",0,"",2,[],[],[]
2683,2349,1,1,"grant_micro","","","Adds the Chiyou Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
2684,2350,1,1,"grant_micro","","","Your Raise Spectre becomes an Arcane Effect.",[],"","Raise Spectre Skin","",[],[],0,"",0,"","",[],[],[]
2685,2351,1,1,"grant_micro","","","Your Summon Raging Spirit's Skins becomes Celestial.",[],"","Summon Raging Spirit Skin","",[],[],0,"",0,"","",[],[],[]
2686,2352,1,1,"grant_micro","","","Your Pyroclast Mine becomes a Void Emperor Effect.",[],"","Pyroclast Mine Skin","",[],[],0,"",0,"","",[],[],[]
2687,2353,1,1,"grant_micro","","","Your Icicle Mine becomes a Void Emperor Effect.",[],"","Icicle Mine Skin","",[],[],0,"",0,"","",[],[],[]
2688,2354,1,1,"grant_micro","","","Your Stormblast Mine becomes a Void Emperor Effect.",[],"","Stormblast Mine Skin","",[],[],0,"",0,"","",[],[],[]
2689,2355,1,1,"grant_micro","","","Your Blastchain Mine Support or High-Impact Mine Support becomes a Void Emperor Effect.",[],"","Remote Mine Support Skin","",[],[],0,"",0,"","",[],[],[]
2690,2356,1,1,"grant_micro","","","Your Summon Skitterbots' Skins becomes a Void Emperor Effect.",[],"","Emperor Summon Skitterbo Skin","",[],[],0,"",0,"","",[],[],[]
2691,2357,1,1,"modify_portal_variation","","","This character's portals use the Celestial Steam-powered Portal Effect.",[],"","Portal Modification","",[],[],0,"",0,"","",[],[],[]
2692,2358,1,1,"grant_micro","","","Adds the Stygian Phoenix Wings back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",1,[],[],[]
2693,2359,1,1,"grant_micro","","","Adds the Eye in the Back to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"","",[],[],[]
2694,2360,1,1,"modify_portal_variation","","","This character's portals use the Devourer Portal Effect.",[],"","Portal Modification","",[],[],0,"",0,"","",[],[],[]
2695,2361,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Basilisk Hood.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2696,2362,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Basilisk Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
2697,2363,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Basilisk Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
2698,2364,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Basilisk Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
2699,2365,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Basilisk Helmet.",[],"","Helmet Attachment","",[],[],0,"",0,"",2,[],[],[]
2700,2366,1,1,"grant_micro","","","Adds the Basilisk Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
2701,2367,1,1,"grant_micro","","","The Basilisk Apparition possesses your amulet.",[],"","Amulet Effect","",[],[],0,"",0,"",2,[],[],[]
2702,2368,1,1,"grant_micro","","","Adds the Basilisk Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
2703,2369,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Crusader Hood.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2704,2370,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Crusader Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2705,2371,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Crusader Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
2706,2372,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Crusader Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
2707,2373,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Crusader Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
2708,2374,1,1,"grant_micro","","","Adds the Crusader Cloak back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2709,2375,1,1,"grant_micro","","","The Crusader Apparition possesses your amulet.",[],"","Amulet Effect","",[],[],0,"",0,"",2,[],[],[]
2710,2376,1,1,"grant_micro","","","Adds the Crusader Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
2711,2377,1,1,"modify_portal_variation","","","This character's portals use the Crusader Portal Effect.",[],"","Portal Modification","",[],[],0,"",0,"",2,[],[],[]
2712,2378,1,1,"grant_micro","","","Adds the Crusader Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
2713,2379,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Eyrie Hood.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2714,2380,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Eyrie Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2715,2381,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Eyrie Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
2716,2382,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Eyrie Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
2717,2383,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Eyrie Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
2718,2384,1,1,"grant_micro","","","Adds the Eyrie Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
2719,2385,1,1,"grant_micro","","","The Eyrie Apparition possesses your amulet.",[],"","Amulet Effect","",[],[],0,"",0,"",2,[],[],[]
2720,2386,1,1,"grant_micro","","","Adds the Eyrie Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
2721,2387,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Judicator Hood.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2722,2388,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Judicator Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2723,2389,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Judicator Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
2724,2390,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Judicator Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
2725,2391,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Judicator Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
2726,2392,1,1,"grant_micro","","","Adds the Judicator Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
2727,2393,1,1,"grant_micro","","","The Judicator Gauntlet Apparition possesses your amulet.",[],"","Amulet Effect","",[],[],0,"",0,"",2,[],[],[]
2728,2394,1,1,"grant_micro","","","The Judicator Apparition possesses your amulet.",[],"","Amulet Effect","",[],[],0,"",0,"",2,[],[],[]
2729,2395,1,1,"grant_micro","","","Adds the Judicator Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
2730,2396,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Orion Hood.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2731,2397,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Orion Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2732,2398,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Orion Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
2733,2399,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Orion Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
2734,2400,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Orion Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
2735,2401,1,1,"grant_micro","","","Adds the Orion Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2736,2402,1,1,"grant_micro","","","Adds the Orion Wings I back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",3,[],[],[]
2737,2403,1,1,"grant_micro","","","Adds the Orion Wings II back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",3,[],[],[]
2738,2404,1,1,"grant_micro","","","Adds the Orion Wings III back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2739,2405,1,1,"grant_micro","","","Adds the Orion Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"","",[],[],[]
2740,2406,1,1,"modify_portal_variation","","","This character's portals use the Orion Portal Effect.",[],"","Portal Modification","",[],[],0,"",0,"","",[],[],[]
2741,2408,1,1,"grant_micro","","","The Orion Apparition possesses your amulet.",[],"","Amulet Effect","",[],[],0,"",0,"","",[],[],[]
2742,2409,1,1,"grant_micro","","","Adds the Orion Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"","",[],[],[]
2743,2410,1,1,"grant_micro","","","Adds the Damnation Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
2744,2411,1,1,"grant_micro","","","Attaches the Damnation Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",2,[],[],[]
2745,2412,1,1,"grant_micro","","","Adds the Damnation Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
2746,2413,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Eternal Damnation Hood.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2747,2414,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Eternal Damnation Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2748,2415,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Eternal Damnation Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
2749,2416,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Eternal Damnation Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
2750,2417,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Eternal Damnation Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
2751,2418,1,1,"grant_micro","","","Adds the Eternal Damnation Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
2752,2419,1,1,"grant_micro","","","Adds the Sanctum Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
2753,2420,1,1,"grant_micro","","","Adds the Sanctum Wings back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2754,2421,1,1,"grant_micro","","","Adds the Sanctum Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
2755,2422,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Grand Sanctum Hood.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2756,2423,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Grand Sanctum Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2757,2424,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Grand Sanctum Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
2758,2425,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Grand Sanctum Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
2759,2426,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Grand Sanctum Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
2760,2427,1,1,"grant_micro","","","Adds the Grand Sanctum Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
2761,2430,1,1,"grant_micro","","","Adds Metamorph Footprints to any equipped pair of boots.",[],"","Boots Modifier","",[],[],0,"",0,"","",[],[],[]
2762,2431,1,1,"grant_micro","","","Adds the Metamorph Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"","",[],[],[]
2763,2432,1,1,"modify_portal_variation","","","This character's portals use the Metamorph Portal Effect.",[],"","Portal Modification","",[],[],0,"",0,"","",[],[],[]
2764,2433,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Metamorph Brimmed Hat.",[],"","Helmet Skin","",[],[],0,"",0,"","",[],[],[]
2765,2434,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Tencent Metamorph Brimmed Hat.",[],"","Helmet Skin","",[],[],0,"",0,"","",[],[],[]
2766,2428,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Purple Smoking Hood.",[],"","Helmet Skin","",[],[],0,"",0,"","",[],[],[]
2767,2429,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Purple Eyes.",[],"","Helmet Skin","",[],[],0,"",0,"","",[],[],[]
2768,2435,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Black Hood.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2769,2436,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Black Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2770,2437,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Black Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
2771,2438,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Black Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
2772,2439,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Black Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
2773,2440,1,1,"grant_micro","","","Adds the Black Wings back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2774,2441,1,1,"grant_micro","","","Adds the Black Cloak back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2775,2442,1,1,"grant_micro","","","Your Flame Dash becomes a Black Effect.",[],"","Flame Dash Skin","",[],[],0,"",0,"",2,[],[],[]
2776,2443,1,1,"grant_micro","","","Your Aura becomes a Black Effect.",[],"","Aura Skin","",[],[],0,"",0,"",2,[],[],[]
2777,2444,1,1,"grant_micro","","","This character's portals use the Black Portal Effect.",[],"","Portal Modification","",[],[],0,"",0,"",2,[],[],[]
2778,2445,1,1,"grant_micro","","","Adds Black Footprints to any equipped pair of boots.",[],"","Boots Modifier","",[],[],0,"",0,"",2,[],[],[]
2779,2448,1,1,"grant_micro","","","Attaches the Black Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",2,[],[],[]
2780,2446,1,1,"grant_micro","","","Adds the Black Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
2781,2447,1,1,"grant_micro","","","Changes the appearance of any equipped Sword to the Black Sword.",[],"","Weapon Skin","",[],[],0,"",0,"",2,[],[],[]
2782,2449,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the White Hood.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2783,2450,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the White Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2784,2451,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the White Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
2785,2452,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the White Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
2786,2453,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the White Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
2787,2454,1,1,"grant_micro","","","Adds the White Wings back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2788,2455,1,1,"grant_micro","","","Adds the White Cloak back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2789,2456,1,1,"grant_micro","","","Your Aura becomes a White Effect.",[],"","Aura Skin","",[],[],0,"",0,"",2,[],[],[]
2790,2457,1,1,"grant_micro","","","Your Herald becomes a White Effect.",[],"","Herald Skin","",[],[],0,"",0,"",2,[],[],[]
2791,2458,1,1,"grant_micro","","","This character's portals use the White Portal Effect.",[],"","Portal Modification","",[],[],0,"",0,"",2,[],[],[]
2792,2459,1,1,"grant_micro","","","Adds White Footprints to any equipped pair of boots.",[],"","Boots Modifier","",[],[],0,"",0,"",2,[],[],[]
2793,2461,1,1,"grant_micro","","","Adds the White Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
2794,2462,1,1,"grant_micro","","","Changes the appearance of any equipped Staff or Wand to the White Weapon.",[],"","Weapon Skin","",[],[],0,"",0,"",2,[],[],[]
2795,2460,1,1,"grant_micro","","","Attaches the White Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",2,[],[],[]
2796,2463,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Black and White Hood.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2797,2464,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Black and White Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2798,2465,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Black and White Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
2799,2466,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Black and White Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
2800,2467,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Black and White Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
2801,2468,1,1,"grant_micro","","","Adds the Black and White Wings back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2802,2469,1,1,"grant_micro","","","Adds the Black and White Cloak back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2803,2470,1,1,"grant_micro","","","Adds Black and White Footprints to any equipped pair of boots.",[],"","Boots Modifier","",[],[],0,"",0,"",2,[],[],[]
2804,2471,1,1,"grant_micro","","","This character's portals use the Black and White Portal Effect.",[],"","Portal Modification","",[],[],0,"",0,"",2,[],[],[]
2805,2472,1,1,"grant_micro","","","Your Blood and Sand and Flesh and Stone becomes a Black and White Effect.",[],"","Blood and Sand Skin","",[],[],0,"",0,"",1,[],[],[]
2806,2473,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Coldsnap Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",1,[],[],[]
2807,2474,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Coldsnap Boots.",[],"","Boots Skin","",[],[],0,"",0,"",1,[],[],[]
2808,2475,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Coldsnap Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",1,[],[],[]
2809,2476,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Coldsnap Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",1,[],[],[]
2810,2477,1,1,"grant_micro","","","Changes the appearance of any equipped Bow to the Coldsnap Bow.",[],"","Weapon Skin","",[],[],0,"",0,"",1,[],[],[]
2811,2478,1,1,"grant_micro","","","Changes the appearance of any equipped Quiver to the Coldsnap Quiver.",[],"","Quiver Skin","",[],[],0,"",0,"",1,[],[],[]
2812,2486,1,1,"grant_micro","","","Changes the appearance of any equipped Claw, Dagger, Wand, Sword, Axe or Mace to the Stygian Weapon.",[],"","Weapon Skin","",[],[],0,"",0,"",1,[],[],[]
2813,2487,1,1,"grant_micro","","","Adds Stygian Footprints to any equipped pair of boots.",[],"","Boots Modifier","",[],[],0,"",0,"","",[],[],[]
2814,2488,1,1,"grant_micro","","","Adds the Stygian Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",1,[],[],[]
2815,2489,1,1,"grant_micro","","","Attaches the Stygian Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",1,[],[],[]
2816,2490,1,1,"grant_micro","","","Your Carrion Golems become Stygian.",[],"","Carrion Gol Skin","",[],[],0,"",0,"",1,[],[],[]
2817,2491,1,1,"grant_micro","","","The standard skin on your Raised spectres are replaced by a Stygian skin.",[],"","Raise Spectre Skin","",[],[],0,"",0,"",1,[],[],[]
2818,2492,1,1,"grant_micro","","","Your Herald becomes a Stygian Effect.",[],"","Herald Skin","",[],[],0,"",0,"",1,[],[],[]
2819,2493,1,1,"grant_micro","","","Your Molten Shell becomes a Stygian Effect.",[],"","Molten Shell Skin","",[],[],0,"",0,"",1,[],[],[]
2820,2479,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Darkprism Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"","",[],[],[]
2821,2480,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Darkprism Boots.",[],"","Boots Skin","",[],[],0,"",0,"","",[],[],[]
2822,2481,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Darkprism Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"","",[],[],[]
2823,2482,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Darkprism Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"","",[],[],[]
2824,2483,1,1,"grant_micro","","","Adds the Darkprism Wings back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"","",[],[],[]
2825,2484,1,1,"grant_micro","","","Attaches the Darkprism Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"","",[],[],[]
2826,2485,1,1,"grant_micro","","","Adds the Darkprism Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"","",[],[],[]
2827,2643,1,1,"grant_micro","","","Your Molten Strike becomes a Celestial Effect.",[],"","Molten Strike Skin","",[],[],0,"",0,"",1,[],[],[]
2828,2644,1,1,"grant_micro","","","Your Tectonic Slam becomes a Celestial Effect.",[],"","Tectonic Slam Skin","",[],[],0,"",0,"",1,[],[],[]
2829,2494,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Alt Deicide Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"","",[],[],[]
2830,2495,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Alt Deicide Boots.",[],"","Boots Skin","",[],[],0,"",0,"","",[],[],[]
2831,2496,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Alt Deicide Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"","",[],[],[]
2832,2497,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Alt Deicide Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"","",[],[],[]
2833,2498,1,1,"grant_micro","","","Adds the Alt Deicide Wings back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"","",[],[],[]
2834,2499,1,1,"grant_micro","","","Changes the appearance of any equipped Axe to the Alt Deicide Axe.",[],"","Weapon Skin","",[],[],0,"",0,"","",[],[],[]
2835,2500,1,1,"grant_micro","","","Changes the appearance of any equipped shield to the Alt Dun Shield.",[],"","Shield Skin","",[],[],0,"",0,"","",[],[],[]
2836,2501,1,1,"grant_micro","","","Adds the Dark Deicide Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"","",[],[],[]
2837,2502,1,1,"grant_micro","","","Your Herald becomes a Dragon Hunter Effect.",[],"","Hunter Herald Skin","",[],[],0,"",0,"","",[],[],[]
2838,2503,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Revenant Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"","",[],[],[]
2839,2504,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Revenant Boots.",[],"","Boots Skin","",[],[],0,"",0,"","",[],[],[]
2840,2505,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Revenant Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"","",[],[],[]
