"rownum","BetrayalJobsKey","BetrayalTargetsKey","BetrayalRanksKey","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Description2","Description2 (French)","Description2 (German)","Description2 (Japanese)","Description2 (Korean)","Description2 (Portuguese)","Description2 (Russian)","Description2 (Spanish)","Description2 (Thai)","Description2 (Traditional Chinese)"
102,2,9,1,"Collecting Gold (Greedy!)","Amasse de l'Or (Avare !)","Sammelt Gold (gierig!)","金貨の回収（強欲！）","획득한 골드 (탐욕스럽군!)","Coletando Ouro (Quanta ganância!)","Собирает золото (скупердяй!)","Coleccionar oro (¡Avaricioso!)","เก็บสะสมทอง (ละโมบนัก!)","運送調整品質的通貨","Banking Currency","Empoche des Objets monétaires","Hortet Währung","カレンシーの貯金","고액 화폐","Guardando Itens Monetários","Сгребает в кучу валюту","Depositar objetos monetarios","สะสมเงินตรา","囤積通貨"
103,2,9,2,"Collecting Gold (Greedy!)","Amasse de l'Or (Avare !)","Sammelt Gold (gierig!)","金貨の回収（強欲！）","획득한 골드 (탐욕스럽군!)","Coletando Ouro (Quanta ganância!)","Собирает золото (скупердяй!)","Coleccionar oro (¡Avaricioso!)","เก็บสะสมทอง (ละโมบนัก!)","運送調整品質的通貨","Banking Currency","Empoche des Objets monétaires","Hortet Währung","カレンシーの貯金","고액 화폐","Guardando Itens Monetários","Сгребает в кучу валюту","Depositar objetos monetarios","สะสมเงินตรา","囤積通貨"
104,2,9,3,"Collecting Gold (Greedy!)","Amasse de l'Or (Avare !)","Sammelt Gold (gierig!)","金貨の回収（強欲！）","획득한 골드 (탐욕스럽군!)","Coletando Ouro (Quanta ganância!)","Собирает золото (скупердяй!)","Coleccionar oro (¡Avaricioso!)","เก็บสะสมทอง (ละโมบนัก!)","運送調整品質的通貨","Banking Currency","Empoche des Objets monétaires","Hortet Währung","カレンシーの貯金","고액 화폐","Guardando Itens Monetários","Сгребает в кучу валюту","Depositar objetos monetarios","สะสมเงินตรา","囤積通貨"
105,4,9,1,"Making deals with Cadiro (Another Bloody Perandus!)","Fait des affaires avec Cadiro (Encore un satané Pérandus !)","Macht Geschäfte mit Cadiro (noch ein blöder Perandus!)","カディーロとの取引（もう一人の血塗れのペランダス！）","수행한 카디로와의 거래 (또 빌어먹을 페란두스로군!)","Fazendo negócios com Cadiro (Outro Perandus dos infernos!)","Совершает сделки с Кадиро (ещё один чёртов Перандус!)","Hacer tratos con Cadiro (¡otro maldito Perandus!)","ทำข้อตกลงกับคาดิโร\r\n(ไอ้พวกแพแรนดัสอีกตัว!)","保護卡爾葛貨幣（蠢蛋！）","Looting Essence Scarabs","Ramasse des Scarabées d'Essence","Erbeutet Essence-Skarabäen","エッセンススカラベの略奪","획득한 에센스 갑충석","Coletando Escaravelhos de Essências","Собирает скарабеев Сущности","Sustraer escarabajos de esencia","ปล้นสคารับเอสเซนส์","保護白色插槽裝備"
106,4,9,2,"Making deals with Cadiro (Another Bloody Perandus!)","Fait des affaires avec Cadiro (Encore un satané Pérandus !)","Macht Geschäfte mit Cadiro (noch ein blöder Perandus!)","カディーロとの取引（もう一人の血塗れのペランダス！）","수행한 카디로와의 거래 (또 빌어먹을 페란두스로군!)","Fazendo negócios com Cadiro (Outro Perandus dos infernos!)","Совершает сделки с Кадиро (ещё один чёртов Перандус!)","Hacer tratos con Cadiro (¡otro maldito Perandus!)","ทำข้อตกลงกับคาดิโร\r\n(ไอ้พวกแพแรนดัสอีกตัว!)","保護卡爾葛貨幣（蠢蛋！）","Looting Essence Scarabs","Ramasse des Scarabées d'Essence","Erbeutet Essence-Skarabäen","エッセンススカラベの略奪","획득한 에센스 갑충석","Coletando Escaravelhos de Essências","Собирает скарабеев Сущности","Sustraer escarabajos de esencia","ปล้นสคารับเอสเซนส์","保護白色插槽裝備"
107,4,9,3,"Making deals with Cadiro (Another Bloody Perandus!)","Fait des affaires avec Cadiro (Encore un satané Pérandus !)","Macht Geschäfte mit Cadiro (noch ein blöder Perandus!)","カディーロとの取引（もう一人の血塗れのペランダス！）","수행한 카디로와의 거래 (또 빌어먹을 페란두스로군!)","Fazendo negócios com Cadiro (Outro Perandus dos infernos!)","Совершает сделки с Кадиро (ещё один чёртов Перандус!)","Hacer tratos con Cadiro (¡otro maldito Perandus!)","ทำข้อตกลงกับคาดิโร\r\n(ไอ้พวกแพแรนดัสอีกตัว!)","保護卡爾葛貨幣（蠢蛋！）","Looting Essence Scarabs","Ramasse des Scarabées d'Essence","Erbeutet Essence-Skarabäen","エッセンススカラベの略奪","획득한 에센스 갑충석","Coletando Escaravelhos de Essências","Собирает скарабеев Сущности","Sustraer escarabajos de esencia","ปล้นสคารับเอสเซนส์","保護白色插槽裝備"
108,3,13,1,"Snatching Essence Scarabs","S'empare de Scarabées d'Essence","Rafft Essenz-Skarabäen zusammen","エッセンススカラベの引奪","붙잡은 에센스 갑충석","Surrupiando Escaravelhos da Essência","Ворует скарабеев Сущности","Apoderarse de escarabajos de esencias","วิ่งราวสคารับเอสเซนส์","強奪尊師聖甲蟲","Snatching Influenced Scarabs","S'empare de Scarabées Influencés","Rafft Beeinflusste Skarabäen zusammen","インフルエンススカラベの引奪","붙잡은 영향을 받은 갑충석","Passando a Mão em Escaravelhos Influenciados","Ворует скарабеев влияния","Apoderarse de escarabajos influenciados","คว้าสคารับที่มีอิทธิพล","強奪尊師聖甲蟲"
109,3,13,2,"Snatching Essence Scarabs","S'empare de Scarabées d'Essence","Rafft Essenz-Skarabäen zusammen","エッセンススカラベの引奪","붙잡은 에센스 갑충석","Surrupiando Escaravelhos da Essência","Ворует скарабеев Сущности","Apoderarse de escarabajos de esencias","วิ่งราวสคารับเอสเซนส์","強奪尊師聖甲蟲","Snatching Influenced Scarabs","S'empare de Scarabées Influencés","Rafft Beeinflusste Skarabäen zusammen","インフルエンススカラベの引奪","붙잡은 영향을 받은 갑충석","Passando a Mão em Escaravelhos Influenciados","Ворует скарабеев влияния","Apoderarse de escarabajos influenciados","คว้าสคารับที่มีอิทธิพล","強奪尊師聖甲蟲"
110,3,13,3,"Snatching Essence Scarabs","S'empare de Scarabées d'Essence","Rafft Essenz-Skarabäen zusammen","エッセンススカラベの引奪","붙잡은 에센스 갑충석","Surrupiando Escaravelhos da Essência","Ворует скарабеев Сущности","Apoderarse de escarabajos de esencias","วิ่งราวสคารับเอสเซนส์","強奪尊師聖甲蟲","Snatching Influenced Scarabs","S'empare de Scarabées Influencés","Rafft Beeinflusste Skarabäen zusammen","インフルエンススカラベの引奪","붙잡은 영향을 받은 갑충석","Passando a Mão em Escaravelhos Influenciados","Ворует скарабеев влияния","Apoderarse de escarabajos influenciados","คว้าสคารับที่มีอิทธิพล","強奪尊師聖甲蟲"
111,1,13,1,"Imbuing Essence Equipment (Trapped Chests!)","Assemble des Fragments","Verstärkt Essenz-Ausrüstung (Truhen mit Fallen!)","エッセンス装備の染色（トラップチェスト！）","힘을 부여한 에센스 장비 (덫 상자!)","Imbuindo Equipamentos de Essência (Baús com Armadilha!)","Наделяет свойствами снаряжение Сущностей (ловушки в сундуках!)","Imbuir equipamiento de esencias (¡cofres atrapados!)","เสริมฤทธิ์ให้กับไอเทมสวมใส่เอสเซนส์\r\n(หีบติดกับดัก!)","組合碎片","Smuggling Helmets (Trapped Chests!)","Fait de la contrebande de Casques (Coffres piégés !)","Schmuggelt Helme (Truhen mit Fallen!)","兜の密輸（トラップチェスト！）","밀수한 투구 (덫 상자!)","Contrabandeando Elmos (Baús Trancados!)","Тайно провозит шлемы (ловушки в сундуках!)","Traficar con cascos (¡Cofres atrapados!)","ลอบขนหมวก\r\n(หีบติดกับดัก!)","走私頭盔（陷阱寶箱！）"
112,1,13,2,"Imbuing Essence Equipment (Trapped Chests!)","Assemble des Fragments","Verstärkt Essenz-Ausrüstung (Truhen mit Fallen!)","エッセンス装備の染色（トラップチェスト！）","힘을 부여한 에센스 장비 (덫 상자!)","Imbuindo Equipamentos de Essência (Baús com Armadilha!)","Наделяет свойствами снаряжение Сущностей (ловушки в сундуках!)","Imbuir equipamiento de esencias (¡cofres atrapados!)","เสริมฤทธิ์ให้กับไอเทมสวมใส่เอสเซนส์\r\n(หีบติดกับดัก!)","組合碎片","Smuggling Helmets (Trapped Chests!)","Fait de la contrebande de Casques (Coffres piégés !)","Schmuggelt Helme (Truhen mit Fallen!)","兜の密輸（トラップチェスト！）","밀수한 투구 (덫 상자!)","Contrabandeando Elmos (Baús Trancados!)","Тайно провозит шлемы (ловушки в сундуках!)","Traficar con cascos (¡Cofres atrapados!)","ลอบขนหมวก\r\n(หีบติดกับดัก!)","走私頭盔（陷阱寶箱！）"
113,1,13,3,"Imbuing Essence Equipment (Trapped Chests!)","Assemble des Fragments","Verstärkt Essenz-Ausrüstung (Truhen mit Fallen!)","エッセンス装備の染色（トラップチェスト！）","힘을 부여한 에센스 장비 (덫 상자!)","Imbuindo Equipamentos de Essência (Baús com Armadilha!)","Наделяет свойствами снаряжение Сущностей (ловушки в сундуках!)","Imbuir equipamiento de esencias (¡cofres atrapados!)","เสริมฤทธิ์ให้กับไอเทมสวมใส่เอสเซนส์\r\n(หีบติดกับดัก!)","組合碎片","Smuggling Helmets (Trapped Chests!)","Fait de la contrebande de Casques (Coffres piégés !)","Schmuggelt Helme (Truhen mit Fallen!)","兜の密輸（トラップチェスト！）","밀수한 투구 (덫 상자!)","Contrabandeando Elmos (Baús Trancados!)","Тайно провозит шлемы (ловушки в сундуках!)","Traficar con cascos (¡Cofres atrapados!)","ลอบขนหมวก\r\n(หีบติดกับดัก!)","走私頭盔（陷阱寶箱！）"
114,2,13,1,"Smuggling Anarchy Scarabs","Fait de la contrebande de Scarabées d'Anarchie","Schmuggelt Anarchie-Skarabäen","アナーキースカラベの密輸","밀수한 혼란 갑충석","Contrabandeando Escaravelhos da Anarquia","Незаконно перевозит скарабеев Анархии","Traficar con escarabajos de anarquía","ลอบขนสคารับเอ็กไซล์อันธพาล","走私精髓","Transporting Helmets","Transporte des Casques","Transportiert Helme","兜の輸送","수송 중인 투구","Transportando Elmos","Перевозит шлемы","Transportar cascos","ขนส่งหมวก","護送頭盔"
115,2,13,2,"Smuggling Anarchy Scarabs","Fait de la contrebande de Scarabées d'Anarchie","Schmuggelt Anarchie-Skarabäen","アナーキースカラベの密輸","밀수한 혼란 갑충석","Contrabandeando Escaravelhos da Anarquia","Незаконно перевозит скарабеев Анархии","Traficar con escarabajos de anarquía","ลอบขนสคารับเอ็กไซล์อันธพาล","走私精髓","Transporting Helmets","Transporte des Casques","Transportiert Helme","兜の輸送","수송 중인 투구","Transportando Elmos","Перевозит шлемы","Transportar cascos","ขนส่งหมวก","護送頭盔"
116,2,13,3,"Smuggling Anarchy Scarabs","Fait de la contrebande de Scarabées d'Anarchie","Schmuggelt Anarchie-Skarabäen","アナーキースカラベの密輸","밀수한 혼란 갑충석","Contrabandeando Escaravelhos da Anarquia","Незаконно перевозит скарабеев Анархии","Traficar con escarabajos de anarquía","ลอบขนสคารับเอ็กไซล์อันธพาล","走私精髓","Transporting Helmets","Transporte des Casques","Transportiert Helme","兜の輸送","수송 중인 투구","Transportando Elmos","Перевозит шлемы","Transportar cascos","ขนส่งหมวก","護送頭盔"
117,4,13,1,"Experimenting with Essences","Mène des expérimentations avec des Essences","Experimentiert mit Essenzen","エッセンスの実験","실험한 에센스","Testando Essências","Экспериментирует над Сущностями","Experimentar con esencias","ทดลองกับเอสเซนส์","檢查化石","Gambling with Helmet Properties","Joue avec les Propriétés des Casques","Experimentiert mit Helm-Eigenschaften","兜の特性のギャンブル","투구 속성 도박","Arriscando com Propriedades de Elmos","Спекулирует на свойствах шлемов","Apostar sobre las propiedades de los cascos","เสี่ยงโชคกับคุณสมบัติของหมวก","用頭盔屬性博弈"
118,4,13,2,"Experimenting with Essences","Mène des expérimentations avec des Essences","Experimentiert mit Essenzen","エッセンスの実験","실험한 에센스","Testando Essências","Экспериментирует над Сущностями","Experimentar con esencias","ทดลองกับเอสเซนส์","檢查化石","Gambling with Helmet Properties","Joue avec les Propriétés des Casques","Experimentiert mit Helm-Eigenschaften","兜の特性のギャンブル","투구 속성 도박","Arriscando com Propriedades de Elmos","Спекулирует на свойствах шлемов","Apostar sobre las propiedades de los cascos","เสี่ยงโชคกับคุณสมบัติของหมวก","用頭盔屬性博弈"
119,4,13,3,"Experimenting with Essences","Mène des expérimentations avec des Essences","Experimentiert mit Essenzen","エッセンスの実験","실험한 에센스","Testando Essências","Экспериментирует над Сущностями","Experimentar con esencias","ทดลองกับเอสเซนส์","檢查化石","Gambling with Helmet Properties","Joue avec les Propriétés des Casques","Experimentiert mit Helm-Eigenschaften","兜の特性のギャンブル","투구 속성 도박","Arriscando com Propriedades de Elmos","Спекулирует на свойствах шлемов","Apostar sobre las propiedades de los cascos","เสี่ยงโชคกับคุณสมบัติของหมวก","用頭盔屬性博弈"
120,3,7,1,"Claiming Ultimatum Scarabs","Perçoit des Scarabées d'Ultimatum","Beansprucht Ultimatum-Skarabäen","アルティメイタムスカラベの回収","요청한 결전 갑충석","Reinvidicando Escaravelhos Ultimatum","Присваивает себе скарабеев Ультиматума","Reclamar escarabajos de ultimátum","เก็บสคารับคำขาด","索取通牒聖甲蟲","Claiming Ultimatum Scarabs","Perçoit des Scarabées d'Ultimatum","Beansprucht Ultimatum-Skarabäen","アルティメイタムスカラベの回収","요청한 결전 갑충석","Reinvidicando Escaravelhos Ultimatum","Присваивает себе скарабеев Ультиматума","Reclamar escarabajos de ultimátum","เก็บสคารับคำขาด","索取通牒聖甲蟲"
121,3,7,2,"Claiming Ultimatum Scarabs","Perçoit des Scarabées d'Ultimatum","Beansprucht Ultimatum-Skarabäen","アルティメイタムスカラベの回収","요청한 결전 갑충석","Reinvidicando Escaravelhos Ultimatum","Присваивает себе скарабеев Ультиматума","Reclamar escarabajos de ultimátum","เก็บสคารับคำขาด","索取通牒聖甲蟲","Claiming Ultimatum Scarabs","Perçoit des Scarabées d'Ultimatum","Beansprucht Ultimatum-Skarabäen","アルティメイタムスカラベの回収","요청한 결전 갑충석","Reinvidicando Escaravelhos Ultimatum","Присваивает себе скарабеев Ультиматума","Reclamar escarabajos de ultimátum","เก็บสคารับคำขาด","索取通牒聖甲蟲"
122,3,7,3,"Claiming Ultimatum Scarabs","Perçoit des Scarabées d'Ultimatum","Beansprucht Ultimatum-Skarabäen","アルティメイタムスカラベの回収","요청한 결전 갑충석","Reinvidicando Escaravelhos Ultimatum","Присваивает себе скарабеев Ультиматума","Reclamar escarabajos de ultimátum","เก็บสคารับคำขาด","索取通牒聖甲蟲","Claiming Ultimatum Scarabs","Perçoit des Scarabées d'Ultimatum","Beansprucht Ultimatum-Skarabäen","アルティメイタムスカラベの回収","요청한 결전 갑충석","Reinvidicando Escaravelhos Ultimatum","Присваивает себе скарабеев Ультиматума","Reclamar escarabajos de ultimátum","เก็บสคารับคำขาด","索取通牒聖甲蟲"
123,1,7,1,"Stockpiling Corrupted Uniques (Trapped Chests!)","Engrange des objets Uniques Corrompus (Coffres piégés !)","Hortet verderbte einzigartige Gegenstände (Truhen mit Fallen!)","コラプトユニークの備蓄（トラップチェスト！）","비축한 타락한 고유 아이템 (덫 상자!)","Estocando Únicos Corrompidos (Baús com Armadilha!)","Копит осквернённые уникальные предметы (ловушки в сундуках!)","Acaparar únicos corruptos (¡cofres atrapados!)","กักตันไอเทมยูนิคที่มีมลทิน\r\n(หีบติดกับดัก!)","囤積通貨（贏了？）","Smuggling Flasks (Trapped Chests!)","Fait de la contrebande de Flacons (Coffres piégés !)","Schmuggelt Fläschchen (Truhen mit Fallen!)","フラスコの密輸（トラップチェスト！）","밀수한 플라스크 (덫 상자!)","Contrabandeando Frascos (Baús Trancados!)","Тайно провозит флаконы (ловушки в сундуках!)","Traficar con frascos (¡Cofres atrapados!)","ลอบขนขวดยา\r\n(หีบติดกับดัก!)","走私藥劑（陷阱寶箱！）"
124,1,7,2,"Stockpiling Corrupted Uniques (Trapped Chests!)","Engrange des objets Uniques Corrompus (Coffres piégés !)","Hortet verderbte einzigartige Gegenstände (Truhen mit Fallen!)","コラプトユニークの備蓄（トラップチェスト！）","비축한 타락한 고유 아이템 (덫 상자!)","Estocando Únicos Corrompidos (Baús com Armadilha!)","Копит осквернённые уникальные предметы (ловушки в сундуках!)","Acaparar únicos corruptos (¡cofres atrapados!)","กักตันไอเทมยูนิคที่มีมลทิน\r\n(หีบติดกับดัก!)","囤積通貨（贏了？）","Smuggling Flasks (Trapped Chests!)","Fait de la contrebande de Flacons (Coffres piégés !)","Schmuggelt Fläschchen (Truhen mit Fallen!)","フラスコの密輸（トラップチェスト！）","밀수한 플라스크 (덫 상자!)","Contrabandeando Frascos (Baús Trancados!)","Тайно провозит флаконы (ловушки в сундуках!)","Traficar con frascos (¡Cofres atrapados!)","ลอบขนขวดยา\r\n(หีบติดกับดัก!)","走私藥劑（陷阱寶箱！）"
125,1,7,3,"Stockpiling Corrupted Uniques (Trapped Chests!)","Engrange des objets Uniques Corrompus (Coffres piégés !)","Hortet verderbte einzigartige Gegenstände (Truhen mit Fallen!)","コラプトユニークの備蓄（トラップチェスト！）","비축한 타락한 고유 아이템 (덫 상자!)","Estocando Únicos Corrompidos (Baús com Armadilha!)","Копит осквернённые уникальные предметы (ловушки в сундуках!)","Acaparar únicos corruptos (¡cofres atrapados!)","กักตันไอเทมยูนิคที่มีมลทิน\r\n(หีบติดกับดัก!)","囤積通貨（贏了？）","Smuggling Flasks (Trapped Chests!)","Fait de la contrebande de Flacons (Coffres piégés !)","Schmuggelt Fläschchen (Truhen mit Fallen!)","フラスコの密輸（トラップチェスト！）","밀수한 플라스크 (덫 상자!)","Contrabandeando Frascos (Baús Trancados!)","Тайно провозит флаконы (ловушки в сундуках!)","Traficar con frascos (¡Cofres atrapados!)","ลอบขนขวดยา\r\n(หีบติดกับดัก!)","走私藥劑（陷阱寶箱！）"
126,2,7,1,"Stockpiling Incursion Scarabs","Engrange des Scarabées d'Incursion","Hortet Inkursion-Skarabäen","インカージョンスカラベの備蓄","비축한 기습 갑충석","Estocando Escaravelhos da Incursão","Копит скарабеев Вмешательства","Acaparar escarabajos de incursión","กักตุนสคารับย้อนเวลา","命運轉移（盜竊預言！）","Transporting Flasks","Transporte des Flacons","Transportiert Fläschchen","フラスコの輸送","수송 중인 플라스크","Transportando Frascos","Перевозит флаконы","Transportar frascos","ขนส่งขวดยา","護送藥劑"
127,2,7,2,"Stockpiling Incursion Scarabs","Engrange des Scarabées d'Incursion","Hortet Inkursion-Skarabäen","インカージョンスカラベの備蓄","비축한 기습 갑충석","Estocando Escaravelhos da Incursão","Копит скарабеев Вмешательства","Acaparar escarabajos de incursión","กักตุนสคารับย้อนเวลา","命運轉移（盜竊預言！）","Transporting Flasks","Transporte des Flacons","Transportiert Fläschchen","フラスコの輸送","수송 중인 플라스크","Transportando Frascos","Перевозит флаконы","Transportar frascos","ขนส่งขวดยา","護送藥劑"
128,2,7,3,"Stockpiling Incursion Scarabs","Engrange des Scarabées d'Incursion","Hortet Inkursion-Skarabäen","インカージョンスカラベの備蓄","비축한 기습 갑충석","Estocando Escaravelhos da Incursão","Копит скарабеев Вмешательства","Acaparar escarabajos de incursión","กักตุนสคารับย้อนเวลา","命運轉移（盜竊預言！）","Transporting Flasks","Transporte des Flacons","Transportiert Fläschchen","フラスコの輸送","수송 중인 플라스크","Transportando Frascos","Перевозит флаконы","Transportar frascos","ขนส่งขวดยา","護送藥劑"
129,4,7,1,"Experimenting with Djinn-Touched Orbs (Forbidden!)","Mène des expérimentations avec des Orbes touchés par le Djinn (Interdit !)","Experimentiert mit Dschinn-berührten Sphären (verboten!)","ジンが触れしオーブの実験（禁忌！）","실험한 진의 손길에 닿은 오브 (금지되어 있음!)","Testando Orbes Tocados pelo Djinn (Proibido!)","Экспериментирует с тронутыми джинном сферами (запретно!)","Experimentar con objetos tocados por genios (¡prohibido!)","ทดลองกับ Orb สัมผัสจินน์\r\n(นี่มันเรื่องต้องหัาม!)","囤積雜物（提高安全性！）","Stealing Harvest Scarabs","Vole des Scarabées du Bosquet","Stiehlt Harvest-Skarabäen","ハーベストスカラベの盗難","훔친 수확 갑충석","Roubando Escaravelhos da Colheita","Ворует скарабеев Жатвы","Robar escarabajos de cosecha","ขโมยสคารับฮาร์เวสต์","竊取豐收聖甲蟲"
130,4,7,2,"Experimenting with Djinn-Touched Orbs (Forbidden!)","Mène des expérimentations avec des Orbes touchés par le Djinn (Interdit !)","Experimentiert mit Dschinn-berührten Sphären (verboten!)","ジンが触れしオーブの実験（禁忌！）","실험한 진의 손길에 닿은 오브 (금지되어 있음!)","Testando Orbes Tocados pelo Djinn (Proibido!)","Экспериментирует с тронутыми джинном сферами (запретно!)","Experimentar con objetos tocados por genios (¡prohibido!)","ทดลองกับ Orb สัมผัสจินน์\r\n(นี่มันเรื่องต้องหัาม!)","囤積雜物（提高安全性！）","Stealing Harvest Scarabs","Vole des Scarabées du Bosquet","Stiehlt Harvest-Skarabäen","ハーベストスカラベの盗難","훔친 수확 갑충석","Roubando Escaravelhos da Colheita","Ворует скарабеев Жатвы","Robar escarabajos de cosecha","ขโมยสคารับฮาร์เวสต์","竊取豐收聖甲蟲"
131,4,7,3,"Experimenting with Djinn-Touched Orbs (Forbidden!)","Mène des expérimentations avec des Orbes touchés par le Djinn (Interdit !)","Experimentiert mit Dschinn-berührten Sphären (verboten!)","ジンが触れしオーブの実験（禁忌！）","실험한 진의 손길에 닿은 오브 (금지되어 있음!)","Testando Orbes Tocados pelo Djinn (Proibido!)","Экспериментирует с тронутыми джинном сферами (запретно!)","Experimentar con objetos tocados por genios (¡prohibido!)","ทดลองกับ Orb สัมผัสจินน์\r\n(นี่มันเรื่องต้องหัาม!)","囤積雜物（提高安全性！）","Stealing Harvest Scarabs","Vole des Scarabées du Bosquet","Stiehlt Harvest-Skarabäen","ハーベストスカラベの盗難","훔친 수확 갑충석","Roubando Escaravelhos da Colheita","Ворует скарабеев Жатвы","Robar escarabajos de cosecha","ขโมยสคารับฮาร์เวสต์","竊取豐收聖甲蟲"
132,3,17,1,"Investigating Titanic Scarabs","Enquêter sur des Scarabées titanesques","Untersucht Titanische Skarabäen","タイタンのスカラベの調査","조사한 거대한 갑충석","Investigando Escaravelhos Titânicos","Исследует титанических скарабеев","Investigar escarabajos titánicos","สืบหาสคารับมหึมา","調查凋落聖甲蟲","Investigating Blight Scarabs","Enquêter sur des Scarabées de l'Infestation","Untersucht Blight-Skarabäen","ブライトスカラベの調査","역병 갑충석 조사","Investigando Escaravelhos Infestados","Исследует скарабеев Скверны","Investigar escarabajos de plaga","สำรวจสคารับไบล์ท","調查凋落聖甲蟲"
133,3,17,2,"Investigating Titanic Scarabs","Enquêter sur des Scarabées titanesques","Untersucht Titanische Skarabäen","タイタンのスカラベの調査","조사한 거대한 갑충석","Investigando Escaravelhos Titânicos","Исследует титанических скарабеев","Investigar escarabajos titánicos","สืบหาสคารับมหึมา","調查凋落聖甲蟲","Investigating Blight Scarabs","Enquêter sur des Scarabées de l'Infestation","Untersucht Blight-Skarabäen","ブライトスカラベの調査","역병 갑충석 조사","Investigando Escaravelhos Infestados","Исследует скарабеев Скверны","Investigar escarabajos de plaga","สำรวจสคารับไบล์ท","調查凋落聖甲蟲"
134,3,17,3,"Investigating Titanic Scarabs","Enquêter sur des Scarabées titanesques","Untersucht Titanische Skarabäen","タイタンのスカラベの調査","조사한 거대한 갑충석","Investigando Escaravelhos Titânicos","Исследует титанических скарабеев","Investigar escarabajos titánicos","สืบหาสคารับมหึมา","調查凋落聖甲蟲","Investigating Blight Scarabs","Enquêter sur des Scarabées de l'Infestation","Untersucht Blight-Skarabäen","ブライトスカラベの調査","역병 갑충석 조사","Investigando Escaravelhos Infestados","Исследует скарабеев Скверны","Investigar escarabajos de plaga","สำรวจสคารับไบล์ท","調查凋落聖甲蟲"
135,1,17,1,"Protecting Unique Items from Theft (Trapped Chests!)","Protège des objets Uniques contre le vol (Coffres piégés !)","Schützt einzigartige Gegenstände vor Dieben (Truhen mit Fallen!)","盗賊からユニークアイテムを保護（トラップチェスト！）","도둑에게서 지켜낸 고유 아이템 (덫 상자!)","Protegendo Itens Únicos Contra Roubo (Baús com Armadilha!)","Защищает уникальные предметы от кражи (ловушки в сундуках!)","Proteger objetos contra robos (¡cofres atrapados!)","ป้องกันไอเทมยูนิคจากการลักขโมย\r\n(หีบติดกับดัก!)","保護物品以免被偷（偏執狂？）","Smuggling Quivers (Trapped Chests!)","Fait du trafic de Carquois (Coffres piégés !)","Schmuggelt Köcher (Truhen mit Fallen!)","矢筒の密輸（トラップチェスト！）","밀수한 화살통 (덫 상자!)","Contrabandeando Aljavas (Baús Trancados!)","Тайно провозит колчаны (ловушки в сундуках!)","Traficar con carcajes (¡Cofres atrapados!)","ลอบขนซองธนู\r\n(หีบติดกับดัก!)","走私箭袋（陷阱寶箱！）"
136,1,17,2,"Protecting Unique Items from Theft (Trapped Chests!)","Protège des objets Uniques contre le vol (Coffres piégés !)","Schützt einzigartige Gegenstände vor Dieben (Truhen mit Fallen!)","盗賊からユニークアイテムを保護（トラップチェスト！）","도둑에게서 지켜낸 고유 아이템 (덫 상자!)","Protegendo Itens Únicos Contra Roubo (Baús com Armadilha!)","Защищает уникальные предметы от кражи (ловушки в сундуках!)","Proteger objetos contra robos (¡cofres atrapados!)","ป้องกันไอเทมยูนิคจากการลักขโมย\r\n(หีบติดกับดัก!)","保護物品以免被偷（偏執狂？）","Smuggling Quivers (Trapped Chests!)","Fait du trafic de Carquois (Coffres piégés !)","Schmuggelt Köcher (Truhen mit Fallen!)","矢筒の密輸（トラップチェスト！）","밀수한 화살통 (덫 상자!)","Contrabandeando Aljavas (Baús Trancados!)","Тайно провозит колчаны (ловушки в сундуках!)","Traficar con carcajes (¡Cofres atrapados!)","ลอบขนซองธนู\r\n(หีบติดกับดัก!)","走私箭袋（陷阱寶箱！）"
137,1,17,3,"Protecting Unique Items from Theft (Trapped Chests!)","Protège des objets Uniques contre le vol (Coffres piégés !)","Schützt einzigartige Gegenstände vor Dieben (Truhen mit Fallen!)","盗賊からユニークアイテムを保護（トラップチェスト！）","도둑에게서 지켜낸 고유 아이템 (덫 상자!)","Protegendo Itens Únicos Contra Roubo (Baús com Armadilha!)","Защищает уникальные предметы от кражи (ловушки в сундуках!)","Proteger objetos contra robos (¡cofres atrapados!)","ป้องกันไอเทมยูนิคจากการลักขโมย\r\n(หีบติดกับดัก!)","保護物品以免被偷（偏執狂？）","Smuggling Quivers (Trapped Chests!)","Fait du trafic de Carquois (Coffres piégés !)","Schmuggelt Köcher (Truhen mit Fallen!)","矢筒の密輸（トラップチェスト！）","밀수한 화살통 (덫 상자!)","Contrabandeando Aljavas (Baús Trancados!)","Тайно провозит колчаны (ловушки в сундуках!)","Traficar con carcajes (¡Cofres atrapados!)","ลอบขนซองธนู\r\n(หีบติดกับดัก!)","走私箭袋（陷阱寶箱！）"
138,2,17,1,"Hoarding Unique Items","Entasse des objets Uniques","Hortet einzigartige Gegenstände","ユニークアイテムの貯め込み","비축한 고유 아이템","Amontoando Itens Únicos","Припрятывает уникальные предметы","Acaparar objetos únicos","กักตุนไอเทมยูนิค","配置物品選項（新玩意兒！）","Transporting Quivers","Transporte des Carquois","Transportiert Köcher","矢筒の輸送","수송 중인 화살통","Transportando Aljavas","Перевозит колчаны","Transportar carcajes","ขนส่งซองธนู","護送箭袋"
