"rownum","Id","bool","IsLocal","IsWeaponLocal","Semantics","bool","string","bool","bool","i32","i32","i32","i32","bool","i32","[string]","rid","bool","bool","bool","[rid]"
7175,"chance_to_block_spells_%_while_affected_by_discipline","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1541106852,[],"","","",1,[]
7176,"energy_shield_delay_-%_while_affected_by_discipline","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",21827313,[],"","","",1,[]
7177,"energy_shield_gain_per_target_hit_while_affected_by_discipline","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",674285254,[],"","","",1,[]
7178,"mana_leech_from_lightning_damage_permyriad_while_affected_by_wrath","","","",6,"","","","",-16843010,-16843010,-16843010,-16843010,"",1021177130,[],"","","",1,[]
7179,"physical_damage_%_to_add_as_lightning_damage_while_affected_by_wrath","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1790150216,[],"","","",1,[]
7180,"base_physical_damage_%_to_convert_to_lightning_while_affected_by_wrath","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",856759208,[],"","","",1,[]
7181,"virtual_non_skill_physical_damage_%_to_convert_to_fire","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",-66588015,[],"","","",1,[26]
7182,"virtual_non_skill_physical_damage_%_to_convert_to_cold","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",1246664143,[],"","","",1,[26]
7183,"virtual_non_skill_physical_damage_%_to_convert_to_lightning","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",848320285,[],"","","",1,[26]
7184,"virtual_non_skill_physical_damage_%_to_convert_to_chaos","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",532304493,[],"","","",1,[26]
7185,"virtual_non_skill_lightning_damage_%_to_convert_to_fire","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",922481708,[],"","","",1,[26]
7186,"virtual_non_skill_lightning_damage_%_to_convert_to_cold","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",2023089439,[],"","","",1,[26]
7187,"virtual_non_skill_lightning_damage_%_to_convert_to_chaos","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",1739206392,[],"","","",1,[26]
7188,"virtual_non_skill_cold_damage_%_to_convert_to_fire","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",196805082,[],"","","",1,[26]
7189,"virtual_non_skill_cold_damage_%_to_convert_to_chaos","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",116062467,[],"","","",1,[26]
7190,"virtual_non_skill_fire_damage_%_to_convert_to_chaos","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",635255444,[],"","","",1,[26]
7191,"base_physical_damage_%_to_convert_to_fire_while_affected_by_anger","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",974013553,[],"","","",1,[]
7192,"physical_damage_%_to_add_as_fire_damage_while_affected_by_anger","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1446453764,[],"","","",1,[]
7193,"life_leech_from_fire_damage_permyriad_while_affected_by_anger","","","",6,"","","","",-16843010,-16843010,-16843010,-16843010,"",220076077,[],"","","",1,[]
7194,"minimum_added_cold_damage_while_affected_by_hatred","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",2107854655,[],"","","",1,[]
7195,"maximum_added_cold_damage_while_affected_by_hatred","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",1020415669,[],"","","",1,[]
7196,"base_physical_damage_%_to_convert_to_cold_while_affected_by_hatred","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1497421358,[],"","","",1,[]
7197,"additional_critical_strike_chance_permyriad_while_affected_by_hatred","","","",6,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1780965312,[],"","","",1,[]
7198,"life_leech_from_any_damage_permyriad_while_affected_by_vitality","","","",6,"","","","",-16843010,-16843010,-16843010,-16843010,"",210651083,[],"","","",1,[]
7199,"life_regeneration_per_minute_while_affected_by_vitality","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-974119813,[],"","","",1,[]
7200,"life_recovery_rate_+%_while_affected_by_vitality","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1620358279,[],"","","",1,[]
7201,"life_gain_per_target_hit_while_affected_by_vitality","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",817562608,[],"","","",1,[]
7202,"virtual_skill_total_mana_cost_+",1,"","",3,"","","",1,-16843010,-16843010,-16843010,-16843010,1,-859504000,[],"","","",1,[1]
7203,"skill_mana_cost_+_while_affected_by_clarity","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-475558441,[],"","","",1,[]
7204,"damage_removed_from_mana_before_life_%_while_affected_by_clarity","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",769734748,[],"","","",1,[]
7205,"recover_10%_mana_on_skill_use_%_chance_while_affected_by_clarity","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1283514306,[],"","","",1,[]
7206,"maximum_mana_%_to_add_to_energy_shield_while_affected_by_clarity","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1477974185,[],"","","",1,[]
7207,"spell_suppression_chance_%_while_affected_by_haste","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-2060910763,[],"","","",1,[]
7208,"gain_onslaught_on_kill_ms_while_affected_by_haste","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-2073475285,[],"","","",1,[]
7209,"gain_phasing_while_affected_by_haste","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",439975305,[],"","","","",[]
7210,"physical_damage_taken_%_as_fire_while_affected_by_purity_of_fire","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1903801746,[],"","","",1,[]
7211,"physical_damage_taken_%_as_cold_while_affected_by_purity_of_ice","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1795401151,[],"","","",1,[]
7212,"physical_damage_taken_%_as_lightning_while_affected_by_purity_of_lightning","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",800297046,[],"","","",1,[]
7213,"physical_damage_taken_%_as_fire_while_affected_by_purity_of_elements","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1233831246,[],"","","",1,[]
7214,"physical_damage_taken_%_as_cold_while_affected_by_purity_of_elements","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1820403768,[],"","","",1,[]
7215,"physical_damage_taken_%_as_lightning_while_affected_by_purity_of_elements","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-127669616,[],"","","",1,[]
7216,"immune_to_ignite_while_affected_by_purity_of_fire","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-368072758,[],"","","","",[]
7217,"immune_to_freeze_while_affected_by_purity_of_ice","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",446747430,[],"","","","",[]
7218,"immune_to_shock_while_affected_by_purity_of_lightning","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",178664488,[],"","","","",[]
7219,"virtual_physical_damage_taken_%_as_fire","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",1425469006,[],"","","",1,[0]
7220,"virtual_physical_damage_taken_%_as_cold","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",-821227220,[],"","","",1,[0]
7221,"virtual_physical_damage_taken_%_as_lightning","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",1281037189,[],"","","",1,[0]
7222,"disable_rarity_epk",1,"","",4,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,2037373989,[],"","","","",[]
7223,"cannot_spawn_support_ghosts",1,"","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-138709772,[],"","","","",[]
7224,"chance_to_gain_frenzy_charge_on_block_%","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1865816334,[],16,"","",1,[]
7225,"spell_damage_+%_per_10_strength","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1619882797,[],"","","",1,[]
7226,"spell_damage_+%_per_16_dex","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-467723699,[],"","","",1,[]
7227,"spell_damage_+%_per_16_strength","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1192703782,[],"","","",1,[]
7228,"spell_damage_+%_per_16_int","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",1663178101,[],"","","",1,[]
7229,"deal_no_non_elemental_damage","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-706590894,[],"","","","",[]
7230,"cast_speed_+%_if_enemy_killed_recently","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-907261892,[],"","","",1,[]
7231,"trigger_on_skill_use_%_if_you_have_a_spirit_charge",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,1,-437631890,[],"",1,"",1,[]
7232,"map_force_private_seed_debug","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1748429689,[],"","","","",[]
7233,"active_skill_display_aegis_variation","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,1,-1128424038,[],"","","","",[]
7234,"volatile_dead_number_of_corpses_to_consume",1,"","",3,"","","",1,-16843010,-16843010,-16843010,-16843010,1,922507123,[],"","","",1,[1]
7235,"unearth_additional_corpse_level","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1164065210,[],"","","",1,[]
7236,"unearth_corpse_level",1,"","",3,"","","",1,-16843010,-16843010,-16843010,-16843010,1,141677480,[],"","","",1,[1]
7237,"corpse_erruption_maximum_number_of_geyers",1,"","",3,"","",1,1,-16843010,-16843010,-16843010,-16843010,1,1245726674,[],"","","",1,[1]
7238,"base_number_of_effigies_allowed",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,1,328795846,[],"","","",1,[]
7239,"visual_attached_elder_tentacles",1,"","",3,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,-378170726,[],"","","",1,[]
7240,"map_elder_influence_additional_packs_of_elder_monsters",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1910242524,[],"","","",1,[]
7241,"bone_lance_damage_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-894383590,"[""unearth"",""unearth_channelled""]","","","",1,[]
7242,"corpse_eruption_damage_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",662386239,"[""cremation""]","","","",1,[]
7243,"volatile_dead_damage_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-991912072,"[""volatile_dead""]","","","",1,[]
7244,"corpse_warp_damage_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-954595768,"[""bodyswap""]","","","",1,[]
7245,"bone_lance_cast_speed_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",673555503,"[""unearth"",""unearth_channelled""]","","","",1,[]
7246,"corpse_eruption_cast_speed_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1140137721,"[""cremation""]","","","",1,[]
7247,"volatile_dead_cast_speed_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-962428806,"[""volatile_dead""]","","","",1,[]
7248,"corpse_warp_cast_speed_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",754597030,"[""bodyswap""]","","","",1,[]
7249,"display_attack_block_chance","","","",4,"","","",1,-16843010,-16843010,-16843010,-16843010,1,1224067471,[],"","","","",[0]
7250,"display_spell_block_chance","","","",4,"","","",1,-16843010,-16843010,-16843010,-16843010,1,-109921801,[],"","","","",[0]
7251,"minimum_added_chaos_damage_taken",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,1,180196678,[],"","","",1,[]
7252,"maximum_added_chaos_damage_taken",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,1,557356576,[],"","","",1,[]
7253,"chance_to_be_maimed_when_hit_%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,1,735275175,[],"","","",1,[]
7254,"energy_shield_gained_on_spell_hit",1,"","",3,"","","",1,-16843010,-16843010,-16843010,-16843010,1,-1791752004,[],"","","",1,[3]
7255,"monster_spirit_charges_are_infinite","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-901038613,[],"","","","",[]
7256,"gain_spirit_charge_on_kill_%_chance","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1874325076,[],"","","",1,[]
7257,"gain_%_life_when_spirit_charge_expires_or_consumed","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",501644590,[],"","","",1,[]
7258,"local_display_trigger_level_x_spirit_burst_on_skill_use_if_have_spirit_charge","",1,"",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",377287426,[],"","","","",[]
7259,"maximum_spirit_charges_per_abyss_jewel_equipped","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1392290031,[],"","","",1,[]
7260,"local_display_socketed_gems_supported_by_level_x_elemental_penetration","",1,"",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1253065118,[],"","","","",[]
7261,"skill_used_by_mirage_archer","","","",4,"","",1,1,-16843010,-16843010,-16843010,-16843010,1,-1910119626,[],"","","","",[1]
7262,"support_mirage_archer_attack_speed_+%_final","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,1,-1995315431,[],"","","",1,[]
7263,"virtual_maximum_spirit_charges",1,"","",3,"","","",1,-16843010,-16843010,-16843010,-16843010,1,1086984931,[],"","","",1,[0]
7264,"gain_debilitating_presence_ms_on_kill_vs_rare_or_unique_enemy","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1727886520,[],"","","",1,[]
7265,"cast_speed_+%_from_grasping_tentacles",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,1,200821564,[],"","","",1,[]
7266,"charge_elder_art_variation",1,"","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-92802586,[],"","","","",[]
7267,"virtual_projectile_additional_height_offset","","","",3,"","",1,1,-16843010,-16843010,-16843010,-16843010,1,373557581,[],"","","",1,[32]
7268,"local_display_trigger_level_20_shade_form_on_skill_use_%","",1,"",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",590480592,[],"","","","",[]
7269,"mirage_archer_projectile_additional_height_offset","","","",3,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,399407337,[],"","","",1,[]
7270,"minimum_added_physical_damage_per_endurance_charge",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,1,795734976,[],"","","",1,[]
7271,"maximum_added_physical_damage_per_endurance_charge",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,1,1467000717,[],"","","",1,[]
7272,"chaos_damage_resistance_%_per_endurance_charge","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1520272265,[],10,"","",1,[]
7273,"elemental_damage_taken_from_hits_+%_per_endurance_charge","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1227633315,[],"","","",1,[]
7274,"physical_damage_reduction_rating_per_endurance_charge","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",792722484,[],"","","",1,[]
7275,"fire_damage_taken_per_minute_per_endurance_charge_if_you_have_been_hit_recently","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",1103690435,[],"","","",1,[]
7276,"minimum_added_lightning_damage_to_spells_per_power_charge",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,1,-1974100636,[],"","","",1,[]
7277,"maximum_added_lightning_damage_to_spells_per_power_charge",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,1,2086720451,[],"","","",1,[]
7278,"additional_spell_block_%_per_power_charge","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-260696128,[],11,"","",1,[]
7279,"lightning_damage_taken_per_minute_per_power_charge_if_have_crit_recently","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",1188959179,[],"","","",1,[]
7280,"avoid_elemental_damage_%_per_frenzy_charge","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1338165829,[],"","","",1,[]
7281,"life_leech_from_attack_damage_permyriad_per_frenzy_charge","","","",6,"","","","",-16843010,-16843010,-16843010,-16843010,"",-884122608,[],"","","",1,[]
7282,"cold_damage_taken_per_minute_per_frenzy_charge_while_moving","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-257886078,[],"","","",1,[]
7283,"raise_spectre_mana_cost_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-417748567,"[""raise_spectre""]","","","",1,[]
7284,"map_packs_have_tentacle_minions",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",536060184,[],"","","",1,[]
7285,"map_elder_influence_spawn_daemon",1,"","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",909395606,[],"","","","",[]
7286,"monster_has_oni_goroshi",1,"","",4,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,1360564911,[],"","","","",[]
7287,"skill_user_maximum_life","","","",3,"","","",1,-16843010,-16843010,-16843010,-16843010,"",1314702784,[],"","","",1,[1]
7288,"local_display_grant_level_x_petrification_statue","",1,"",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",1533164013,[],"","","","",[]
7289,"chest_display_guarded_by_dario","","","",4,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,361153337,[],"","","","",[]
7290,"base_physical_damage_over_time_taken_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,1,1268074135,[],11,"","",1,[]
7291,"ground_spores_art_variation",1,"","",3,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,-1272801794,[],"","","","",[]
7292,"move_daemon_use_random_direction","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-735757977,[],"","","","",[]
7293,"disable_skill_if_weapon_not_bow",1,"","",4,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,-270665894,[],"","","","",[]
7294,"trigger_on_skill_use_from_chest_%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,1,1107242170,[],"",1,"",1,[]
7295,"thrown_weapon_on_return_trigger_skills_with_id","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1067977133,[],"","","","",[]
7296,"thrown_weapon_on_return_trigger_id","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",1401663280,[],"","","","",[]
7297,"thrown_weapon_on_return_trigger_%","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-771355482,[],"","","",1,[]
7298,"skill_cannot_be_interrupted",1,"","",4,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,-559236600,[],"","","","",[]
7299,"skill_cannot_be_stunned",1,"","",4,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,-1268615396,[],"","","","",[]
7300,"skill_cannot_be_knocked_back",1,"","",4,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,-1306282170,[],"","","","",[]
7301,"immobilised_by_elder_%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1909696170,[],"","","",1,[]
7302,"recover_%_maximum_life_on_mana_flask_use","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-351038692,[],"","","",1,[]
7303,"non_instant_mana_recovery_from_flasks_also_recovers_life","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",2016763946,[],"","","","",[]
7304,"spell_damage_+%_per_200_mana_spent_recently","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1162220480,[],"","","",1,[]
7305,"mana_cost_+%_per_200_mana_spent_recently","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-989401964,[],"","","",1,[]
7306,"virtual_track_mana_spent_recently","","","",4,"","","",1,-16843010,-16843010,-16843010,-16843010,"",-1076285022,[],"","","","",[36]
7307,"total_mana_spent_recently","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",1125856121,[],"","","",1,[]
7308,"left_ring_is_shaper_item","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-2097209005,[],"","","","",[]
7309,"left_ring_is_elder_item","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-605251019,[],"","","","",[]
7310,"right_ring_is_shaper_item","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",1078043135,[],"","","","",[]
7311,"right_ring_is_elder_item","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1445130136,[],"","","","",[]
7312,"cannot_be_stunned_by_attacks_if_other_ring_is_elder_item","",1,"",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",850892731,[],"","","","",[]
7313,"cannot_be_stunned_by_attacks_if_left_ring_is_elder_item","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",744312072,[],"","","","",[]
7314,"cannot_be_stunned_by_attacks_if_right_ring_is_elder_item","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-307989759,[],"","","","",[]
7315,"attack_damage_+%_if_other_ring_is_shaper_item","",1,"",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-945662774,[],"","","",1,[]
7316,"attack_damage_+%_if_left_ring_is_shaper_item","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1127149219,[],"","","",1,[]
7317,"attack_damage_+%_if_right_ring_is_shaper_item","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1974165081,[],"","","",1,[]
7318,"spell_damage_+%_if_other_ring_is_elder_item","",1,"",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1268988802,[],"","","",1,[]
7319,"spell_damage_+%_if_left_ring_is_elder_item","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1955106822,[],"","","",1,[]
7320,"spell_damage_+%_if_right_ring_is_elder_item","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1663166248,[],"","","",1,[]
7321,"cannot_be_stunned_by_spells_if_other_ring_is_shaper_item","",1,"",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-854215491,[],"","","","",[]
7322,"cannot_be_stunned_by_spells_if_left_ring_is_shaper_item","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-666136690,[],"","","","",[]
7323,"cannot_be_stunned_by_spells_if_right_ring_is_shaper_item","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",1827387284,[],"","","","",[]
7324,"current_siphoning_charges",1,"","",3,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,240421176,[],"","","",1,[]
7325,"virtual_maximum_siphoning_charges",1,"","",3,"","","",1,-16843010,-16843010,-16843010,-16843010,1,-314072552,[],"","","",1,[0]
7326,"gain_siphoning_charge_on_skill_use_%_chance","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1505605323,[],"","","",1,[]
7327,"maximum_siphoning_charges_per_elder_or_shaper_item_equipped","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",390221748,[],"","","",1,[]
7328,"attack_and_spell_minimum_added_physical_damage_per_siphoning_charge","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,1,191212655,[],"","","",1,[]
7329,"attack_and_spell_maximum_added_physical_damage_per_siphoning_charge","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,1,-338454598,[],"","","",1,[]
7330,"life_leech_from_any_damage_permyriad_per_siphoning_charge","","","",6,"","","","",-16843010,-16843010,-16843010,-16843010,1,-2063470169,[],"","","",1,[]
7331,"non_chaos_damage_%_to_add_as_chaos_damage_per_siphoning_charge","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,1,1115490524,[],"","","",1,[]
7332,"additional_physical_damage_reduction_against_hits_%_per_siphoning_charge","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,1,-1962847543,[],"","","",1,[]
7333,"additional_physical_damage_reduction_%_against_hits","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",2138035792,[],"","","",1,[0]
7334,"armour_differs_against_hits","","","",4,"","","",1,-16843010,-16843010,-16843010,-16843010,1,875814251,[],"","","","",[0]
7335,"display_estimated_physical_damage_reduction_against_hits_%","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,1,353133657,[],"","","",1,[0]
7336,"physical_damage_taken_per_minute_per_siphoning_charge_if_have_used_a_skill_recently","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-50515027,[],"","","",1,[]
7337,"track_have_used_a_skill_recently","","","",4,"","","",1,-16843010,-16843010,-16843010,-16843010,"",1628114072,[],"","","","",[36]
7338,"have_used_a_skill_recently","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",790356692,[],"","","","",[]
7339,"number_of_equipped_shaper_items","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",431940137,[],"","","","",[]
7340,"virtual_physical_damage_taken_per_minute_per_siphoning_charge","","","",3,"","","",1,-16843010,-16843010,-16843010,-16843010,1,2113273413,[],"","","",1,[0]
7341,"map_force_terrain_feature",1,"","",3,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,-2028712952,[],"","","","",[]
7342,"local_display_trigger_level_x_void_shot_on_arrow_fire_while_you_have_void_arrow","",1,"",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-135101086,[],"","","","",[]
7343,"trigger_on_skill_use_%_if_you_have_a_void_arrow","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,1,1106127511,[],"",1,"",1,[]
7344,"current_void_arrows","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1287929468,[],"","","",1,[]
7345,"maximum_void_arrows","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-890894329,[],"","","",1,[]
7346,"local_display_grant_void_arrow_every_x_ms","",1,"",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1046093568,[],"","","","",[]
7347,"local_display_trigger_tentacle_smash_on_kill_%_chance","",1,"",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-834108857,[],"","","","",[]
7348,"local_display_trigger_temporal_anomaly_when_hit_%_chance","",1,"",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-94348251,[],"","","","",[]
7349,"local_display_trigger_void_sphere_on_kill_%_chance","",1,"",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1722679301,[],"","","","",[]
7350,"despair_duration_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",2086408285,"[""despair""]","","","",1,[]
7351,"despair_curse_effect_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",114670135,"[""despair""]",18,"","",1,[]
7352,"inca_rock_spawn_chance_%","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1933727719,[],"","","",1,[]
7353,"inca_rock_spawn_limit","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",388250363,[],"","","",1,[]
7354,"volatile_dead_consume_additional_corpse","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",905898914,[],"","","","",[]
7355,"virtual_chance_to_evade_attacks_%",1,"","",1,"","",1,1,-16843010,-16843010,-16843010,-16843010,1,-1902661620,[],"","","",1,[0]
7356,"projectile_skill_dot_ground_caustic_area_damage_per_minute",1,"","",3,"","",1,1,-16843010,-16843010,-16843010,-16843010,1,108652516,[],"","","",1,[9]
7357,"cannot_be_stunned_by_spells",1,"","",4,"","","",1,-16843010,-16843010,-16843010,-16843010,1,147400455,[],"","","","",[0]
7358,"cannot_be_stunned_by_attacks",1,"","",4,"","","",1,-16843010,-16843010,-16843010,-16843010,1,1107781538,[],"","","","",[0]
7359,"reflected_physical_damage_taken_+%_while_affected_by_determination","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",136565191,[],"","","",1,[]
