"rownum","Id","PositionX","PositionY","Waypoint_WorldAreasKey","WorldAreasKeys","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","FlavourText (English)","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","[i32]","Act","string","[i32]","i32","i32","i32","i32","rid"
94,"7_5",499,235,107,"[107,108]","The Chamber of Sins","La Chambre des péchés","Die Kammer der Sünden","罪の間","죄악의 방","Câmara dos Pecados","Обитель грехов","El Aposento de Pecados","โถงแห่งบาป","罪孽之殿","Decrepit ruins born again. A lusting evil stalks its halls.","Des ruines décrépites qui ont trouvé un second souffle. Un mal désireux en hante les murs.","Heruntergekommene Ruinen wiedergeboren. Ein gierendes Übel sucht diese Hallen heim.","荒廃した遺跡が生まれ変わる。欲望に満ちた悪が、そのホールを闊歩している。","낡은 유적이 다시금 태동할 때, 굶주린 악마의 발걸음이 홀로 향합니다.","Ruínas decrépitas renascidas. Um mal cobiçante à espreita pelos salões.","Дряхлые руины снова очнулись. По залам бродит похотливое зло.","Ruinas decrépitas renacidas. Un mal lujurioso acecha sus salas.","ซาก​โบราณ​กำเนิด​ใหม่\r\nสิ่ง​ชั่วร้าย​มาก​ตัณหา​ย่อง​ตาม​อยู่​ภายใน","衰朽廢墟在次出土。飢渴的邪惡盯梢於長廊。",[1256],7,"7_5","[1259,0]",-16843010,-16843010,-16843010,-16843010,""
95,"7_5_map",435,200,"",[109],"Maligaro's Sanctum","Le Refuge de Maligaro","Maligaros Heiligtum","マリガロの聖域","말리가로의 지성소","Santuário do Maligaro","Святилище Малигаро","El Santuario de Malígaro","สถานพำนักของมาลิกาโร","馬雷葛蘿的書房","The inner depths of decadent darkness.","Les tréfonds d'une perversité décadente.","Die inneren Tiefen entarteter Dunkelheit.","退廃的な闇の奥底。","스러져가는 어둠 속의 심연.","As profundezas de uma escuridão decadente.","Сокровенные глубины упадочного мрака.","Las profundidades internas de la decadente oscuridad.","เบื้องลึก​ภายใน​ของ​ความมืด​อัน​เสื่อมโทรม","腐朽黑暗的內在深處。","[1259,0]",7,"7_5_map",[1261],-16843010,-16843010,-16843010,-16843010,""
96,"7_6",487,347,110,[110],"The Den","La Tanière","Die Höhle","獣の巣","굴","Gruta","Берлога","La Madriguera","ถ้ำสัตว์","獸穴","Sodden spores flourish and feast on decaying flesh.","Des spores détrempés prolifèrent et se repaissent de chair en décomposition.","Durchnässte Sporen gedeihen und erlaben sich am faulenden Fleisch.","ずぶ濡れの胞子が繁茂し、腐肉を食らう。","축축한 곰팡이가 부패한 살점을 먹고 자랍니다.","Esporos encharcados florescem e se alimentam de carne podre.","Споры саваном накрывают гниющую плоть и устраивают себе пир.","Empapadas esporas florecen y se dan un banquete con carne en descomposición.","สปอร์​เปียก​เติบโต กิน​ซาก​เนื้อ​เน่า","腐爛的孢芽在腐爛的肉上盛宴，蓬勃發展。","[1259,0]",7,"7_6",[1262],-16843010,-16843010,-16843010,-16843010,""
97,"7_7",485,458,111,[111],"The Ashen Fields","Les Prés cendreux","Die aschenen Felder","焼け野原","잿빛 들판","Campos Cinzentos","Пепельные поля","Los Campos de Ceniza","ทุ่งมอดไหม้","旱木原野","Scorched earth and slumbering cinder.","Des terres brûlées et de la cendre en sommeil.","Verbrannte Erde und schlummernde Asche.","焼け焦げた大地とまどろむ燃え滓。","그을린 대지와 사그라든 잿더미.","Uma terra causticada e cinzas dormentes.","Опалённая земля и дремлющие угли.","Tierra chamuscada y cenizas dormitantes.","ผืนโลก​ไหม้​เกรียม เถ้าถ่าน​หลับ​ใหล","焦灼的大地和沈沒的煤渣。","[1256,0]",7,"7_7",[1263],-16843010,-16843010,-16843010,-16843010,""
98,"7_8",170,307,112,[112],"The Northern Forest","La Forêt septentrionale","Der Nordwald","北の森","북쪽 숲","Floresta do Norte","Северный лес","El Bosque del Norte","ป่าเหนือ","北部密林","Wooden sentinels tower above.","Des sentinelles d'écorce s'élèvent vers le ciel.","Wächter aus Holz überragen das Land.","木製の歩哨がそびえ立つ。","높이 치솟은 나무가 수호하고 있는 곳.","Uma torre alta de sentinelas de madeira.","Древесные стражи вздымаются из темноты.","Los centinelas de madera se destacan en la altura.","หอคอย​ไม้​ตั้งตระหง่าน​อยู่​เบื้องบน","木之堡壘，巍然屹立。",[1263],7,"7_8",[1264],-16843010,-16843010,-16843010,-16843010,""
99,"7_9",96,344,"",[113],"The Dread Thicket","Le Fourré de l'effroi","Das Dickicht des Grauens","恐怖の密林","공포의 잡목림","Matagal Horrendo","Чащоба","El Matorral Pavoroso","ป่าชัฏสยดสยอง","驚魂樹洞","Dripping with anger and grief, the ancient thicket weeps.","Ruisselant de colère et de chagrin, l'ancien fourré pleure.","Triefend vor Wut und Trauer weint das uralte Dickicht.","怒りと悲しみたっぷりに、古代の密林が涙を流す。","고대의 잡목림이 분노와 슬픔에 겨워 흐느낍니다.","Gotejando com raiva e tristeza, o antigo matagal chora.","Старая чаща хнычет, капая горем и гневом.","Goteando con ira y pena, el antiguo matorral llora.","ป่าไม้​​ร่ำไห้\r\nหยด​ลง​​มา​​ด้วย​​ความ​​โกรธขึ้ง​​และ​​ความ​​เศร้าโศก","痛苦悲傷滴下，古老叢林哭泣。",[1264],7,"7_9",[1265],-16843010,-16843010,-16843010,-16843010,""
100,"7_10",206,203,114,[114],"The Causeway","La Chaussée","Der Damm","土手道","둑길","A Ponte","Перешеек","La Calzada","ทางยกระดับ","堤道","Primordial ruins guard antiquarian secrets.","Des ruines primordiales abritent des secrets antiques.","Urzeitliche Ruinen bewachen altertümliche Geheimnisse.","原初の遺跡は太古の秘密を守っている。","태고의 유적이 오래된 비밀을 수호합니다.","Ruínas primordiais guardam segredos antiquários.","Извечные руины стерегут стародавние тайны.","Las ruinas primordiales vigilan antiguos secretos.","ซาก​โบราณ​ปกป้อง​ความลับ​เก่าแก่​แต่​ก่อนกาล","原始遺址守衛著古老秘密。",[1264],7,"7_10",[1266],-16843010,-16843010,-16843010,-16843010,""
101,"7_11",155,161,115,[115],"The Vaal City","La Cité vaal","Die Stadt der Vaal","ヴァールの街","바알 도시","Cidade Vaal","Город ваал","La Ciudad Vaal","นครวาล์","瓦爾城市","Ancient and arcane, a civilisation lost to the dust of history.","Ancienne et ésotérique, une civilisation perdue dans l'histoire.","Antik und geheimnisvoll. Eine Zivilisation verloren im Staub vergangener Zeiten.","エンシェントとアーケイン、文明は歴史の塵に消えました。","세월의 먼지 속에 유실된 고대의 마법 문명.","Antigo e arcano, uma civilização perdida na poeira da história.","Древняя самобытная цивилизация рухнула в прах истории.","Antigua y arcana, una civilización que se perdió en el polvo de la historia.","อารยธรรม​นี้​เก่าแก่ อาบ​มนตรา\r\nสาบสูญ​ไป​ตาม​ฝุ่นผง​ของ​ประวัติศาสตร์","古老、神秘，文明迷失於歷史的塵土。",[1266],7,"7_11",[1267],-16843010,-16843010,-16843010,-16843010,""
102,"7_12",96,139,"","[116,117]","The Temple of Decay","Le Temple du déclin","Der Tempel der Vergänglichkeit","堕落の寺院","부패의 사원","Templo da Decadência","Храм Разложения","El Templo de Putrefacción","วิหารแห่งการเสื่อมสลาย","腐朽寺廟","Arachnoid servants dribble and drool, coveting pilgrim flesh to feed abhorrent desires.","Des serviteurs arachnoïdes bavent et salivent en convoitant une chair intruse qui rassasierait des envies abjectes.","Das Pilgerfleisch begehrend, geifern und sabbern die Arachnoiden-Diener, um abscheuliche Lüste zu nähren.","蜘蛛の従者は涎を垂らし、忌まわしき欲望を満たすために、巡礼者の肉を欲する。","거미의 시종들이 순례자의 살점을 보고 군침을 흘립니다. 어떤 끔찍한 욕망을 채우려는 걸까요.","Servos aracnídeos babam e salivam, uma carne peregrina cobiçada para alimentar desejos abomináveis.","Слуги арахнида текут ручьём, зарясь на голую плоть для утоления постыдных желаний.","Sirvientes arácnidos salivan y babean mientras codician carne de peregrinos para alimentar deseos aborrecibles.","เหล่า​บริวาร​แมงมุม​ไหล​ริน​น้ำลาย​ยืด\r\nใฝ่​หา​เนื้อ​ผู้​แสวงบุญ​มา​เติมเต็ม​ปรารถนา​อัน​น่า​รังเกียจ","異蛛僕人流著口水搬運著，蜷縮著朝聖的肉體，以滿足憎惡慾望。",[1267],7,"7_12","[1268,0]",-16843010,-16843010,-16843010,-16843010,""
103,"8_1",682,429,118,[118],"The Sarn Ramparts","Les Remparts de Sarn","Die Sarn-Befestigungen","サーンの城壁","사안 성벽","Bastião de Sarn","Бастион Сарна","Las Murallas de Sarn","เขื่อนดินซาร์น","薩恩城牆","A parapet shakes beneath a billowing sky.","Un parapet ébranlé sous un ciel déchaîné.","Ein Wall erzittert unter unfreundlichem Himmel.","波打つ空の下、胸壁が震えている。","굽이치는 하늘 아래 난간이 흔들리고 있습니다.","Um baluarte treme embaixo de um céu crescente.","Бастион содрогается под бурлящим небом.","Un parapeto se sacude debajo de un cielo ondulante.","กำแพง​อิฐ​สั่น​ไหว​ใต้​ท้องฟ้า​หม่น","雲浪翻騰，胸牆搖擺。",[],8,"8_1",[1373],-16843010,-16843010,-16843010,-16843010,""
104,"8_town",461,369,119,[119],"The Sarn Encampment","Le Campement de Sarn","Das Lager von Sarn","サーンの野営地","사안 야영지","Acampamento de Sarn","Лагерь Сарна","El Campamento de Sarn","ค่ายซาร์น","薩恩營地","A shaky peace descends, though swords will never rest.","Une paix fragile s'instille, bien que les armes ne seront jamais déposées.","Ein unsicherer Frieden legt sich übers Lager nieder, doch die Schwerter spielen weiter ihre Lieder.","不安定な平和が訪れるが、剣は決して休むことが無い。","위태로운 평화는 잠시, 전쟁은 계속될 것입니다.","Uma paz trêmula descende, apesar de espadas nunca descansarem.","Здесь правит шаткий мир, но бдительны мечи.","Una paz tambaleante desciende, aunque las espadas nunca descansen.","เกิด​ความสงบ​ที่​สั่นคลอน\r\nแต่​ดาบ​ย่อม​ไม่มี​วัน​พัก","和平，迫使降臨，劍，卻永不憩息。",[1373],8,"8_town",[1374],-16843010,-16843010,-16843010,-16843010,""
105,"8_2",461,290,121,"[120,121]","The Toxic Conduits","Les Canalisations toxiques","Die verseuchten Kanäle","有毒な排水路","독성 도관","Canais Tóxicos","Отравленные каналы","Los Conductos Tóxicos","ท่อส่งสารพิษ","腐化渠道","Spells of blood foul the waters below.","Des teintes de sang souillent les eaux en contrebas.","Blutschauer verseuchen die unterirdischen Wasser.","血の呪文が下水を汚す。","피의 주문이 아래쪽에 고인 물을 오염시키고 있습니다.","Feitiços de sangue mancham as águas abaixo.","Кровь льётся вниз и отравляет стоячие воды.","Oleadas de sangre ensucian las aguas subterráneas.","เวท​โลหิต​ทำให้​น้ำ​ด้าน​ล่าง​เหม็นเน่า","血液的魔術污穢了水源。",[1374],8,"8_2",[1330],-16843010,-16843010,-16843010,-16843010,""
106,"8_3",286,307,"",[122],"The Grand Promenade","L'Esplanade majestueuse","Die große Promenade","大遊歩道","대 산책로","Grande Esplanada","Роскошная набережная","La Rambla Grandiosa","ทางเดินผู้สูงศักดิ์","宏偉行道","A favourite walk of noble lords, now fallen into disrepair.","Une promenade très appréciée des grands seigneurs, aujourd'hui entièrement délabrée.","Einst der Lieblingsweg der Noblen, heute ein Bildnis des Zerfalls.","貴族が好んだ道が、今は荒廃している。","고귀한 군주가 애용하던 산책로. 지금은 완전히 훼손된 상태입니다.","O caminho favorito de nobres lordes, agora caídos e arruinados.","Любимое место прогулок знати обветшало и ныне заброшено.","Una caminata favorita de los nobles lores, ahora caída en abandono.","ทางเดิน​ที่​ขุนนาง​ชอบ​เดิน\r\nแต่​ตอนนี้​เสื่อมโทรม​ไป​หมด​แล้ว","曾是貴族欣賞地，現卻已失修。","[1330,0]",8,"8_3",[1331],-16843010,-16843010,-16843010,-16843010,""
107,"8_4",214,233,"",[123],"The High Gardens","Les Jardins suspendus","Die hohen Gärten","空中庭園","고층 정원","Grandes Jardins","Висячие сады","Los Jardines Altos","สวนเหนือปฐพี","空中花園","Creeping dread chokes life from this thriving terrace.","Une terreur insidieuse asphyxie ces terrasses florissantes.","Unheimlicher Schrecken presst das Leben aus dieser blühenden Terrasse.","この繁栄したテラスから、這い寄る恐怖が命を奪う。","한때 번성했던 거리였지만, 차츰 다가오는 공포로 인해 생기를 잃고 있습니다.","Horrores rastejantes sufocam a vida deste terraço próspero.","Ползучий ужас выжимает жизнь из плодоносных террас.","El insidioso temor sofoca la vida de esta floreciente terraza.","ความกลัว​ที่​คืบคลาน\r\nสูบชีวิต​ออก​จาก​สวน​ที่​งอกงาม​แห่ง​นี้","恐懼使露台的蓬勃窒息。",[1412],8,"8_4",[1411],-16843010,-16843010,-16843010,-16843010,""
108,"8_5",291,233,124,[124],"The Bath House","Les Thermes","Das Badehaus","浴場","목욕탕","Balneário","Купальни","El Baño Público","โรงอาบน้ำ","大浴堂","Hidden sin where revelry thrives.","L'allégresse ambiante cache le péché.","Heimliche Sünden, wo wüstes Gelage herrscht.","お祭り騒ぎが繁栄する隠れた罪。","원죄를 감춘 채 환락이 피어나는 곳.","Pecado escondido onde festas prosperam.","В весёлом разгуле таится грех.","Pecado oculto donde la juerga prospera.","บาป​ซ่อนเร้น​ในถิ่นที่​ความ​สำราญ​เฟื่องฟู","狂歡處隱藏著罪惡。","[1331,0]",8,"8_5",[1412],-16843010,-16843010,-16843010,-16843010,""
109,"8_6",295,178,125,[125],"The Lunaris Concourse","La Jonction de Lunaris","Die Passage zu Lunaris","ルナリスの中央広場","루나리스 중앙 광장","Pátio de Lunaris","Площадь Лунарис","El Vestíbulo de Lunaris","สาธารณสถานลูนาริส","月影神廣場","Allegiances falter like the waning of the moon.","Les allégeances déclinent telle la lune qui décroît.","Treue schwindet wie der abnehmende Mond.","月が欠けるように忠誠心が揺らぐ。","충성심은 저물어가는 달처럼 위태롭습니다.","Alianças enfraquecem como o minguar da lua.","Верность убывает подобно луне.","Las lealtades flaquean como la luna menguante.","ความภักดีเลือนหาย​ดั่ง​ดวงจันทร์​อัสดง","忠誠衰退，有如殘月。","[1412,0]",8,"8_6",[1413],-16843010,-16843010,-16843010,-16843010,""
110,"8_7",188,169,126,"[126,127]","The Lunaris Temple","Le Temple de Lunaris","Der Lunaristempel","ルナリス寺院","루나리스 사원","Templo Lunaris","Храм Лунарис","El Templo de Lunaris","วิหารลูนาริส","月影神殿","Gibbous beauty eclipsed by a sisters' feud.","Une beauté gibbeuse, éclipsée par une rivalité sororale.","Fast vollkommene Schönheit verdunkelt durch die Fehde einer Schwester.","十八夜の美しさが、姉妹の不和で影を潜めた。","보름달 같던 아름다움. 그 아름도 이젠 자매의 불화로 인해 그늘이 드리웠습니다.","A beleza minguante eclipsada pela rivalidade das irmãs.","Явную красоту затмила вражда сестёр.","Una creciente y brillante belleza eclipsada por un feudo entre hermanas.","ความงาม​มากมาย​ถูก​กลบ​โดย​ความอาฆาต​ของ​สอง​พี่น้อง","姊妹世仇使美麗的拱月黯然失色。",[1413],8,"8_7",[1414],-16843010,-16843010,-16843010,-16843010,""
111,"8_8",565,270,"",[128],"The Quay","Les Quais","Der Kai","波止場","부두","Cais","Пристань","El Atracadero","ท่าเทียบเรือ","啟程碼頭","The restless dead shift 'neath darkened waters.","Les morts s'agitent et de meuvent dans les eaux osbcurcies.","Die ruhelosen Toten tummeln sich im finsteren Wasser.","落ち着き無き死者が暗い水の下に移動する。","검은 바다 아래에서 망자들이 끊임없이 배회합니다.","Os mortos incansáveis se mexem debaixo de águas escurecidas.","Мертвецы неусыпно несут дозор под тёмными волнами.","Los inquietos muertos se desplazan debajo de las oscurecidas aguas.","ผีดิบ​เคลื่อน​ไป​ใต้​ผิวน้ำ​มืดมิด","不息亡者沉沒於昏暗水中。","[1330,0]",8,"8_8",[1415],-16843010,-16843010,-16843010,-16843010,""
112,"8_9",662,252,129,[129],"The Grain Gate","La Porte des Récoltes","Die Kornpforte","穀物倉庫","곡물의 문","Portão de Granito","Зерновые ворота","La Puerta del Grano","ทางผ่านธัญพืช","糧儲關口","A barrier trembles before undying feet.","Une barrière qui tremble sous les pas des Nonmourants.","Eine Mauer bröckelt unter untoten Füßen.","不死の歩みを前にして、障壁が震える。","끊임없이 드나드는 발걸음에 근처의 울타리가 흔들릴 정도입니다.","Uma barreira treme perante os pés dos imortais.","Преграда трясётся от поступи бессмертных.","Una barrera tiembla ante pies imperecederos.","ที่​กั้น​สั่นไหว​ต่อ​ฝีเท้า​พวก​ไร้​มรณา","障礙在不息者的腳下顫抖。","[1415,0]",8,"8_9",[1416],-16843010,-16843010,-16843010,-16843010,""
113,"8_10",781,164,130,[130],"The Imperial Fields","Les Champs impériaux","Die kaiserlichen Felder","帝国の穀倉地帯","황실 정원","Campos Imperiais","Имперские поля","Los Campos Imperiales","ทุ่งจักรพรรดิ","皇家疆界","The savagery of war stains both muck and mire.","La brutalité de la guerre entache la bourbe et le limon.","Die Grauen des Krieges beschmutzen Land und Leute.","戦争の残虐性が、泥と沼の両方を汚す。","잔혹한 전흔. 진창과 오물로 더럽혀졌습니다.","A selvageria da guerra mancha tanto a sujeira quanto a lama.","Дикость войны пятнает поля грязью и гноем.","El salvajismo de la guerra mancha tanto el fango como el lodo.","สงคราม​โหดร้าย​แปดเปื้อน​ไป​ทั้ง​โคลนตม","戰爭野蠻惡毒，即便為糞土，也遭汙染。","[1416,0]",8,"8_10",[1417],-16843010,-16843010,-16843010,-16843010,""
114,"8_11",478,140,131,[131],"The Solaris Concourse","La Jonction de Solaris","Die Passage zu Solaris","ソラリスの中央広場","솔라리스 중앙 광장","Pátio de Solaris","Площадь Солярис","El Vestíbulo de Solaris","สาธารณสถานโซลาริส","日耀神廣場","Conquered by the fog of war.","Conquis par le brouillard de guerre.","Erobert vom Nebel des Krieges.","戦場の霧に征服された。","전장의 안개가 뒤덮인 모습입니다.","Conquistado pela neblina da guerra.","Здесь правил балом дым войны.","Conquistado por la niebla de guerra.","ถูก​พิชิต​โดย​หมอก​สงคราม","被戰爭迷霧所征服。","[1419,0]",8,"8_11",[1418],-16843010,-16843010,-16843010,-16843010,""
115,"8_12",540,92,132,"[132,133]","The Solaris Temple","Le Temple de Solaris","Der Solaristempel","ソラリス寺院","솔라리스 사원","Templo Solaris","Храм Солярис","El Templo de Solaris","วิหารโซลาริส","日耀神殿","Luminary flares extinguished by burning pride.","Le flamboiement d'un astre éteint par un orgueil ardent.","Leuchtende Fackeln durch lodernden Stolz gelöscht.","燃え盛るプライドで消された、星々の煌き。","타오르는 태양도 불타는 자부심에 꼬리를 내리고 맙니다.","O brilho de luminárias extinguido pelo orgulho flamejante.","Сполохи света погашены жгучей гордыней.","Brillantes luminarias extinguidas por ardiente orgullo.","แสงไฟ​สว่าง​ดับ​ลง\r\nโดย​ความภาคภูมิ​ที่​คุ​โชน","熾熱的火焰被自豪的熱情所熄滅。","[1418,0]",8,"8_12",[1419],-16843010,-16843010,-16843010,-16843010,""
116,"8_13",405,195,"",[134],"The Harbour Bridge","Le Pont portuaire","Die Hafenbrücke","港の橋","항구 다리","Ponte do Porto","Портовый мост","El Puente Portuario","สะพานท่าเรือ","海港大橋","A dark unrest sends ribbons to war.","Une agitation mystérieuse envoie les rubans à la guerre.","Eine dunkle Unruhe schickt Band'ule in den Krieg.","暗い不安が、戦場にリボンを送る。","드리워진 전조로, 전장에는 리본이 파견되었습니다.","Uma agitação sombria envie fitas à guerra.","Тёмная смута гонит ленты в бой.","Un malestar oscuro envía cintas a la guerra.","ความ​วุ่นวาย​อัน​มืดมิด\r\nส่ง​แถบผ้า​สู่​สมรภูมิ","黑暗的動盪，緞帶前往戰爭。","[1413,0]",8,"8_13",[1420],-16843010,-16843010,-16843010,-16843010,""
117,"9_1",364,506,135,[135],"The Blood Aqueduct","L'Aqueduc de sang","Das Blutaquädukt","血の水道橋","피의 수로","Aqueduto de Sangue","Кровавый акведук","El Acueducto de Sangre","สะพานส่งโลหิต","滲血水道","A mighty spillway tainted by tarrish blacks and sanguine reds.","Un puissant déversoir corrompu par une épaisse crasse noirâtre et des humeurs sanguines.","Ein mächtiger Hochwasserüberlauf, verunreinigt durch Teerschwärze und Blutröte.","タールの黒とサングインの赤で汚された巨大な放水路。","검은 타르와 빨간 피로 얼룩진 거대 방수로.","Um vertedouro poderoso infectado pelo preto da escuridão e vermelho do sangue.","Широкий водоотвод, запятнанный чернильно-чёрным и кроваво-красным.","Un poderoso desagüe manchado por rojos sangrientos y negros alquitranados.","ทางน้ำล้น​อัน​ยิ่งใหญ่\r\nแปดเปื้อน​จาก​คราบดำ​และ​เลือด​แดง​ฉาน","雄偉的溢洪道已被焦油的黑色和血的紅色所污染。",[],9,"9_1",[1500],-16843010,-16843010,-16843010,-16843010,""
118,"9_town",252,425,136,[136],"Highgate","Hautevoie","Hohenpforte","ハイゲート","하이게이트","Highgate","Македы","Atalaya","ไฮเกท","統治者之殿","Survivors huddle 'neath baleful shadows of rot and decay.","Les rescapés se blotissent sous l'ombre maléfique de la dégradation et du déclin.","Die Überlebenden kauern unterhalb den unheilvollen Schatten aus Fäulnis und Verfall.","悪意に満ちた腐敗と崩壊の影の下で、生存者は身を寄せ合う。","생존자들이 하나둘씩 상하고 부패한 암운 속으로 모여듭니다.","Sobreviventes se amontoam embaixo de sombras malignas de podridão e decadência.","Живые теснятся в недобрых тенях гнили и разложения.","Los sobrevivientes se apiñan bajo siniestras sombras de podredumbre y descomposición.","ผู้รอดชีวิต​ร่วม​กัน​หลบ\r\nอยู่​ข้าง​ใต้​เงา​อัน​เน่าเปื่อย","倖存者擁擠在惡意的陰影下，腐爛、衰變。",[1500],9,"9_town",[1501],-16843010,-16843010,-16843010,-16843010,""
119,"9_2",460,326,"",[137],"The Descent","La Descente","Der Abstieg","谷底への道","비탈","A Descida","Спуск","El Descenso","ทางลงต่ำ","下沉地區","A freezing drop to test one's resolve.","Une pente gelée capable de venir à bout du plus déterminé.","Ein eiskalter Sturz, der die Entschlossenheit prüft.","その者の覚悟を試すため、氷結が滴る。","인간의 의지를 시험할 정도로 추운 비탈길입니다.","Uma queda congelante para testar a determinação.","Леденящая круча, готовая испытать решимость путника.","Un descenso helado para poner a prueba la determinación.","ทาง​ลง​ท่ามกลาง​ความ​หนาวเหน็บ\r\nเพื่อ​ทดสอบ​ความ​แน่วแน่","決心的極凍試煉。",[1501],9,"9_2",[1528],-16843010,-16843010,-16843010,-16843010,""
120,"9_3",680,508,138,[138],"The Vastiri Desert","Le Désert vastiri","Die Vastiri-Wüste","ヴァスティリ砂漠","바스티리 사막","Deserto Vastiri","Пустыня Вастири","El Desierto Vastiri","ทะเลทรายวาสตีรี","瓦斯提里荒漠","Blustering sand, sharper than a bandit's blade.","Des rafales de sable plus mordantes que la lame d'un bandit.","Aufgebrauster Sand, schärfer als eine Banditenklinge.","賊の刃よりも鋭い、荒れ狂う砂。","도적의 칼날보다도 날카롭게 몰아치는 모래바람.","Areia estrondosa, mais afiada que a lâmina de um bandido.","Ревущий песок острее разбойничьей сабли.","Ráfagas de arena, más afiladas que la cuchilla de un bandido.","เม็ดทราย​ที่​ร้อน​ระอุ\r\nคมกริบ​กว่า​คม​อาวุธ​โจร​ร้าย","氣焰的沙，比盜賊的刀鋒來的銳利。",[1528],9,"9_3",[1529],-16843010,-16843010,-16843010,-16843010,""
121,"9_4",805,334,"",[139],"The Oasis","L'Oasis","Die Oase","オアシス","오아시스","Oásis","Оазис","El Oasis","โอเอซิส","幻景綠洲","A paradise hidden amongst sunbleached bones and blistering dunes.","Un paradis caché parmi les dunes torrides et les ossements blanchis par le soleil.","Ein Paradies versteckt unter sonnengebleichten Knochen und glühenden Dünen.","日焼けした骨と灼熱の砂丘に隠された楽園。","햇볕에 백화된 뼈와 뜨거운 사구 사이. 낙원이 숨겨져 있군요.","Um parasita escondido entre os ossos queimados e dunas escaldantes.","Рай, притаившийся среди выбеленных солнцем костей и пышущих жаром дюн.","Un paraíso oculto entre huesos blanqueados por el sol y dunas abrasadoras.","สวรรค์​ที่​ซ่อน​อยู่​ท่ามกลาง\r\nกอง​กระดูก​ซีด​และ​ทรายระอุ","隱藏在枯骨和炙熱沙丘之中的天堂。",[1529],9,"9_4",[1530],-16843010,-16843010,-16843010,-16843010,""
122,"9_5",640,285,140,[140],"The Foothills","Les Contreforts","Das Vorgebirge","山麓","구릉","Contraforte","Предгорье","Las Estribaciones","เชิงเขา","山麓","The secrets of history lie hidden among layers of dirt and sand.","Les secrets de l'histoire se dissimulent sous des couches de terre et de sable.","Die Geheimnisse der Geschichte liegen unter Schichten von Schmutz und Sand verborgen.","歴史の秘密は、泥と砂の層に隠れ潜んでいる。","층층이 쌓인 흙과 모래 사이에 역사의 비밀이 감춰져 있습니다.","Os segredos da história escondidos entre camadas de sujeira e poeira.","Тайны истории скрыты под слоем грязи и песка.","Los secretos de la historia yacen ocultos entre capas de tierra y arena.","ความลับ​ของ​ประวัติศาสตร์\r\nเร้น​อยู่​ใต้​ชั้น​ดิน​ทราย","歷史的秘密，隱蔽在層層泥沙之下。",[1529],9,"9_5",[1531],-16843010,-16843010,-16843010,-16843010,""
123,"9_6",590,193,"",[141],"The Boiling Lake","Le Lac bouillant","Der kochende See","沸き立つ湖","끓어오르는 호수","Lago Fervente","Кипящее озеро","El Lago Sofocante","ทะเลสาบเดือด","沸騰湖泊","These corrosive waters devour both flesh and bone.","Ces eaux corrosives dévorent tout autant la chair que l'os.","Diese ätzenden Gewässer verschlingen sowohl Fleisch als auch Knochen.","腐食性の水が、肉と骨両方を貪る。","뼈와 살을 모두 집어삼킬 정도로 부식성이 강한 호수입니다.","Estas águas corrosivas devoram tanto a carne quanto os ossos.","Эти едкие воды растворяют и мясо, и кости.","Estas corrosivas aguas devoran tanto la carne como el hueso.","หนองน้ำ​กรด​นี้​ละลาย​เนื้อหนัง​และ​กระดูก","腐蝕的水侵蝕著骨肉。",[1531],9,"9_6",[1532],-16843010,-16843010,-16843010,-16843010,""
124,"9_7",491,191,142,[142],"The Tunnel","Le Tunnel","Der Tunnel","坑道","터널","Túnel","Тоннель","El Túnel","อุโมงค์","隧道遺跡","Unspeakable horrors filigree and haunt the nameless dark.","Des horreurs indicibles hantent et parsèment la pénombre innommable.","Unbeschreibliche Schrecken suchen die unbekannte Dunkelheit heim.","言い表せない恐怖が名もなき闇を飾り付ける。","헤아릴 수 없는 공포가 의문의 어둠 속을 수놓고 있습니다.","Horrores indescritíveis assombram pela escuridão sem nome.","Сети невыразимого ужаса оплетают безымянную тьму.","Horrores innombrables filigranan y embrujan la indescriptible oscuridad.","ภัยสยอง​อัด​แน่น หลอกหลอน​อยู่​ใน​ความมืด​ไร้​นาม","無法形容的恐怖在無恥的黑暗中作祟。",[1531],9,"9_7",[1533],-16843010,-16843010,-16843010,-16843010,""
