"rownum","Id","i32","[i32]","UnlockType (English)","UnlockType (French)","UnlockType (German)","UnlockType (Japanese)","UnlockType (Korean)","UnlockType (Portuguese)","UnlockType (Russian)","UnlockType (Spanish)","UnlockType (Thai)","UnlockType (Traditional Chinese)","CraftingItemClassCategories","ObtainingDescription (English)","ObtainingDescription (French)","ObtainingDescription (German)","ObtainingDescription (Japanese)","ObtainingDescription (Korean)","ObtainingDescription (Portuguese)","ObtainingDescription (Russian)","ObtainingDescription (Spanish)","ObtainingDescription (Thai)","ObtainingDescription (Traditional Chinese)"
60,"JunLocalFlaskAvoidStunChanceAndMovementSpeedDuringFlaskEffect",1,[1],"Chance to Avoid Stun during Flask Effect","Chances de ne pas subir l'Étourdissement pendant l'Effet des Flacons","Chance, Betäuben zu vermeiden während Fläschchenwirkung","フラスコ効果中のスタン無効化確率","플라스크 효과를 받는 동안 기절 긴급회피 확률","Chance de Evitar Atordoamentos durante o Efeito do Frasco","Шанс избежать оглушения во время действия эффекта флакона","Probabilidad de evitar el aturdimiento durante el efecto del frasco","โอกาสหลีกเลี่ยงสถานะ มึนงง ขณะที่มีผลจากขวดยา","藥劑效果持續時間內避免暈眩機率",[12],"Unveiling flasks","Décryptez des flacons","Enthüllen: Fläschchen","アンヴェール: フラスコ","플라스크 장막 해제","Revelando frascos","Нераскрытое свойство флаконов","Desencriptando frascos","เปิดผนึก ขวดยา","揭露藥劑"
61,"JunLocalFlaskCriticalStrikeChanceDuringFlaskEffect",1,[1],"Reduced Reflect Damage taken during Flask Effect","Réduction des Dégâts renvoyés subis pendant l'Effet des Flacons","Verringerter erlittener reflektierter Schaden während Fläschchenwirkung","フラスコ効果中の受ける反射ダメージ減少","플라스크 효과를 받는 동안 받는 반사 피해 감소","Redução do Dano Refletido sofrido durante o Efeito do Frasco","Уменьшение получаемого отражённого урона во время действия эффекта флакона","Daño reflejado recibido reducido durante el efecto del frasco","ลดความเสียหาย สะท้อน ที่ได้รับ ขณะที่มีผลจากขวดยา","藥劑效果持續時間內減少承受反射傷害",[12],"Unveiling flasks","Décryptez des flacons","Enthüllen: Fläschchen","アンヴェール: フラスコ","플라스크 장막 해제","Revelando frascos","Нераскрытое свойство флаконов","Desencriptando frascos","เปิดผนึก ขวดยา","揭露藥劑"
62,"JunLocalFlaskItemFoundRarityDuringFlaskEffect",1,[1],"Rarity of Items found during Flask Effect","Rareté des Objets trouvés pendant l'Effet des Flacons","Seltenheit gefundener Gegenstände während Fläschchenwirkung","フラスコ効果中の獲得アイテムのレアリティ","플라스크 효과를 받는 동안 발견하는 아이템 희귀도","Raridade dos Itens Encontrados Durante o Efeito de Frascos","Редкость предметов, найденных во время действия эффекта флакона","Rareza de los objetos encontrados durante el efecto del frasco","ความหายากของไอเทม ขณะที่มีผลจากขวดยา","藥劑效果持續時間內物品掉落稀有度",[12],"Unveiling flasks","Décryptez des flacons","Enthüllen: Fläschchen","アンヴェール: フラスコ","플라스크 장막 해제","Revelando frascos","Нераскрытое свойство флаконов","Desencriptando frascos","เปิดผนึก ขวดยา","揭露藥劑"
63,"JunLocalFlaskLifeLeechOnDamageTakenDuringFlaskEffect",1,[1],"Damage taken Leeched as Life during Flask Effect","Dégâts subis Drainés sous forme de Vie pendant l'Effet des Flacons","Erlittener Schaden als Leben geraubt während Fläschchenwirkung","フラスコ効果中の受けたダメージをライフとしてリーチ","플라스크 효과를 받는 동안 받는 피해를 생명력으로 흡수","Dano sofrido é Drenado como Vida durante o Efeito do Frasco","Похищение получаемого урона в виде здоровья во время действия эффекта флакона","Daño recibido absorbido como vida durante el efecto del frasco","ดูดความเสียหายที่ได้รับ มาเป็น พลังชีวิต ขณะที่มีผลจากขวดยา","藥劑效果持續時間內承受傷害偷取生命",[12],"Unveiling flasks","Décryptez des flacons","Enthüllen: Fläschchen","アンヴェール: フラスコ","플라스크 장막 해제","Revelando frascos","Нераскрытое свойство флаконов","Desencriptando frascos","เปิดผนึก ขวดยา","揭露藥劑"
64,"JunLocalFlaskLifeRegenerationPerMinuteDuringFlaskEffect",1,[1],"Life Regeneration during Flask Effect","Régénération de Vie pendant l'Effet des Flacons","Lebensregeneration während Fläschchenwirkung","フラスコ効果中のライフ自動回復","플라스크 효과를 받는 동안 생명력 재생","Regeneração de Vida durante o Efeito do Frasco","Регенерация здоровья во время действия эффекта флакона","Regeneración de vida local del frasco durante el efecto del frasco","การ ฟื้นฟูพลังชีวิต ขณะที่มีผลจากขวดยา","藥劑效果持續時間內生命回復",[12],"Unveiling flasks","Décryptez des flacons","Enthüllen: Fläschchen","アンヴェール: フラスコ","플라스크 장막 해제","Revelando frascos","Нераскрытое свойство флаконов","Desencriptando frascos","เปิดผนึก ขวดยา","揭露藥劑"
65,"JunLocalFlaskSkillManaCostDuringFlaskEffect",1,[1],"Mana Cost of Skills during Flask Effect","Coût en Mana des Aptitudes pendant l'Effet des Flacons - Rang","Manakosten von Fertigkeiten während Fläschchenwirkung","フラスコ効果中のスキルマナコスト","플라스크 효과를 받는 동안 스킬의 마나 소모","Custo de Mana das Habilidades durante Efeito de Frascos","Затраты маны умениями во время действия эффекта флакона","Costo de maná de las habilidades durante el efecto del frasco","ค่าใช้งานมานาของสกิล ขณะที่มีผลจากขวดยา","藥劑效果持續時間內技能魔力消耗",[12],"Unveiling flasks","Décryptez des flacons","Enthüllen: Fläschchen","アンヴェール: フラスコ","플라스크 장막 해제","Revelando frascos","Нераскрытое свойство флаконов","Desencriptando frascos","เปิดผนึก ขวดยา","揭露藥劑"
66,"JunLocalIncreasedPhysicalDamageAndBleedChance",1,"[1,1,1]","Physical Damage and chance to cause Bleeding - Rank","Dégâts physiques et chances d'infliger le Saignement - Rang","Physischer Schaden und Chance, Bluten zu verursachen - Rang","物理ダメージおよび出血確率 - ランク","물리 피해 및 출혈 유발 확률 - 단계","Dano Físico e chance de causar Sangramento - Rank","Физический урон и шанс наложить кровотечение - уровень","Daño físico y probabilidad de infligir sangrado - Nivel","ความเสียหาย กายภาพ และโอกาสสร้างสถานะ เลือดไหล - อันดับ","物理傷害和機率造成流血－階級","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
67,"JunLocalIncreasedPhysicalDamageAndBlindChance",1,"[1,1,1]","Physical Damage and chance to Blind - Rank","Dégâts physiques et chances d'Aveugler - Rang","Physischer Schaden und Chance auf Blenden - Rang","物理ダメージおよび盲目確率 - ランク","물리 피해 및 실명 유발 확률 - 단계","Dano Físico e chance de Cegar - Rank","Физический урон и шанс ослепить - уровень","Daño físico y probabilidad de cegar - Nivel","ความเสียหาย กายภาพ และโอกาสสร้างสถานะ ตาบอด - อันดับ","物理傷害和致盲機率－階級","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
68,"JunLocalIncreasedPhysicalDamageAndImpale",1,"[1,1,1]","Physical Damage and chance to Impale - Rank","Dégâts physiques et chances d'Empaler - Rang","Physischer Schaden und Chance auf Aufspießen - Rang","物理ダメージおよび串刺し確率 - ランク","물리 피해 및 꿰뚫을 확률 - 단계","Dano Físico e chance de Empalar - Rank","Физический урон и шанс наложить Прокол - уровень","Daño físico y probabilidad de empalar - Nivel","ความเสียหาย กายภาพ และโอกาสสร้างสถานะ ทิ่มแทง - อันดับ","物理傷害和穿刺機率－階級","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
69,"JunLocalIncreasedPhysicalDamageAndPoisonChance",1,"[1,1,1]","Physical Damage and chance to Poison - Rank","Dégâts physiques et chances d'Empoisonner - Rang","Physischer Schaden und Chance auf Vergiften - Rang","物理ダメージおよび毒付与確率 - ランク","물리 피해 및 중독 확률 - 단계","Dano Físico e chance de Envenenar - Rank","Физический урон и шанс наложить яд - уровень","Daño físico y probabilidad de envenenar - Nivel","ความเสียหาย กายภาพ และโอกาสสร้างสถานะ พิษ - อันดับ","物理傷害和中毒機率－階級","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
70,"JunLocalIncreaseSocketedSupportGemLevel",1,"[1,1]","Level of Support Gems - Rank","Niveau des Gemmes de soutien - Rang","Stufe von Unterstützungsgemmen - Rang","サポートジェムのレベル - ランク","보조 젬 레벨 - 단계","Nível das Gemas de Suporte - Rank","Уровень камней поддержки - уровень","Nivel de las gemas asistidas - Nivel","เลเวลของ หินเสริม - อันดับ","輔助寶石等級－階級","[0,2,1,3,4]","Unveiling certain weapons or shields from the Syndicate Mastermind","Décryptez certaines armes ou certains boucliers du Cerveau du Syndicat","Enthüllen: bestimmte Waffen oder Schilde des Drahtziehers","アンヴェール: シンジケートの黒幕から得られる特定の武器または盾","연합 지휘자의 특정 무기 장막 해제","Revelando certas armas ou escudos do Comandante do Sindicato","Нераскрытое свойство отдельных видов оружия и щитов Организатора Синдиката","Desencriptando ciertas armas o escudos de la Mente Maestra del Sindicato","เปิดผนึก อาวุธหรือโล่ ที่ได้จาก ผู้บงการองค์กร ที่กำหนด","揭露幕後首領特定武器或盾牌"
71,"JunLuckyCriticalsDuringFocus",1,[1],"Critical Strike Chance is Lucky while Focused","Vos Chances de coup critique sont en votre Faveur pendant la Focalisation","Kritische Trefferchance ist günstig, während Ihr fokussiert seid","フォーカス中のクリティカル率に幸運付与","집중하는 동안 치명타 확률에 행운 적용","Chance de Acerto Crítico é Sortuda enquanto Concentrado","Пока вы сфокусированы, ваш шанс критического удара удачлив","La probabilidad de golpe crítico es afortunada mientras estás concentrado","โอกาสคริติคอลจะโชคดี ขณะที่มีสถานะ ตั้งสมาธิ","專注時暴擊率很幸運",[11],"Unveiling belts","Décryptez des ceintures","Enthüllen: Gürtel","アンヴェール: ベルト","허리띠 장막 해제","Revelando cintos","Нераскрытое свойство поясов","Desencriptando cinturones","เปิดผนึก เข็มขัด","揭露腰帶"
72,"JunManaAndDamageTakenGoesToManaPercent",1,"[1,1,1]","Mana and Damage taken gained as Mana - Rank","Mana et Dégâts subis gagnés sous forme de Mana - Rang","Mana und Erhalt von erlittenem Schaden als Mana - Rang","マナおよび受けたダメージをマナとして獲得 - ランク","마나 및 받은 피해를 마나로 획득 - 단계","Mana e Dano sofrido ganho como Mana - Rank","Мана и восстановление полученного урона в виде маны - уровень","Maná y daño recibido ganado como maná - Nivel","มานา และ ได้รับมานา จากความเสียหายที่ได้รับ - อันดับ","魔力和承受傷害獲得魔力－階級","[9,10]","Unveiling rings or amulets","Décryptez des bagues, des anneaux ou des amulettes","Enthüllen: Ringe oder Amulette","アンヴェール: 指輪またはアミュレット","반지, 목걸이 장막 해제","Revelando anéis ou amuletos","Нераскрытое свойство колец и амулетов","Desencriptando anillos o amuletos","เปิดผนึก แหวนหรือสร้อย","揭露戒指或項鍊"
73,"JunManaAndManaCostPercent",1,"[1,1,1]","Mana and Mana Cost of Skills - Rank","Mana et Coût en Mana des Aptitudes - Rang","Mana und Manakosten von Fertigkeiten - Rang","マナおよびスキルマナコスト - ランク","마나 및 스킬의 마나 소모 - 단계","Mana e Custo de Mana das Habilidades - Rank","Мана и затраты маны умениями - уровень","Maná y costo de maná de las habilidades - Nivel","มานา และ ค่าใช้งานมานา ของสกิล - อันดับ","魔力和技能魔力消耗－階級","[9,10]","Unveiling rings or amulets","Décryptez des bagues, des anneaux ou des amulettes","Enthüllen: Ringe oder Amulette","アンヴェール: 指輪またはアミュレット","반지, 목걸이 장막 해제","Revelando anéis ou amuletos","Нераскрытое свойство колец и амулетов","Desencriptando anillos o amuletos","เปิดผนึก แหวนหรือสร้อย","揭露戒指或項鍊"
74,"JunMaximumCurse",1,[1],"Additional Curse","Malédiction supplémentaire - Rang","Zusätzlicher Fluch","追加の呪い","추가 저주","Maldição Adicional","Дополнительное проклятие","Una maldición adicional","คำสาป เพิ่มเติม","額外詛咒",[6],"Unveiling body armour","Décryptez des armures","Enthüllen: Körperrüstungen","アンヴェール: 鎧","갑옷 장막 해제","Revelando peitorais","Нераскрытое свойство нательных доспехов","Desencriptando armaduras","เปิดผนึก เสื้อเกราะ","揭露身體護甲"
75,"JunMaximumTotem",1,[1],"Number of Summoned Totems","Nombre de Totems Invoqués - Rang","Anzahl beschworener Totems","トーテム召喚数","소환된 토템 수","Número de Totens Convocados","Количество установленных тотемов","Número de tótems invocados","จำนวน โทเทม สูงสุด","召喚圖騰數量",[4],"Unveiling shields","Décryptez des boucliers","Enthüllen: Schilde","アンヴェール: 盾","방패 장막 해제","Revelando escudos","Нераскрытое свойство щитов","Desencriptando escudos","เปิดผนึก โล่","揭露盾牌、戒指或箭袋"
76,"JunMaximumZombieAndSkeleton",1,[1],"Number of Zombies and Skeletons","Nombre de Zombies et Squelettes - Rang","Anzahl beschworener Zombies und Skelette","ゾンビおよびスケルトン数","좀비와 해골 수","Número de Zumbis e Esqueletos","Количество зомби и скелетов","Número de zombis y esqueletos","จำนวน ซอมบี้และโครงกระดูก สูงสุด","殭屍和骷髏數量",[5],"Unveiling helmets","Décryptez des casques","Enthüllen: Helme","アンヴェール: 兜","투구 장막 해제","Revelando elmos","Нераскрытое свойство шлемов","Desencriptando cascos","เปิดผนึก หมวก","揭露頭盔"
77,"JunMeleeRangeAndMeleeGemLevel",1,"[1,1,1]","Melee Range and Melee Modifiers - Rank","Modificateurs d'Allonge et de Mêlée - Rang","Nahkampfreichweite und Nahkampfmodifikatoren - Rang","近接距離および近接モッド - ランク","근접 사거리 및 근접 속성 부여 - 단계","Alcance Corpo a Corpo e Modificadores Corpo a Corpo - Rank","Дальность ближнего боя и модификаторы ближнего боя - уровень","Alcance cuerpo a cuerpo y modificadores cuerpo a cuerpo - Nivel","ระยะโจมตีประชิด และม็อดประชิด - อันดับ","近戰距離和近戰詞綴－階級","[5,7,10]","Unveiling helmets, gloves or amulets","Décryptez des casques, des gants ou des amulettes","Enthüllen: Helme, Handschuhe oder Amulette","アンヴェール: 兜、手袋またはアミュレット","투구, 장갑, 목걸이 장막 해제","Revelando elmos, luvas ou amuletos","Нераскрытое свойство шлемов, перчаток и амулетов","Desencriptando cascos, guantes o amuletos","เปิดผนึก หมวก, ถุงมือ หรือ สร้อย","揭露頭盔、手套或項鍊"
78,"JunMineLayingSpeed",1,"[1,1,1]","Mine Throwing Speed - Rank","Vitesse de jet des Mines - Rang","Minen-Wurfgeschwindigkeit - Rang","マイン投擲スピード - ランク","지뢰 투척 속도 - 단계","Velocidade de Arremesso de Minas - Rank","Скорость броска мин - уровень","Velocidad de lanzamiento de minas - Nivel","ความเร็วในการโยนทุ่นระเบิด - อันดับ","地雷投擲速度－階級","[10,5]","Unveiling amulets or helmets","Décryptez des amulettes ou des casques","Enthüllen: Amulette oder Helme","アンヴェール: アミュレットまたは兜","목걸이, 투구 장막 해제","Revelando amuletos ou elmos","Нераскрытое свойство амулетов и шлемов","Desencriptando amuletos o cascos","เปิดผนึก สร้อยหรือหมวก","揭露項鍊或頭盔"
79,"JunMinimumEnduranceCharges",1,[1],"Minimum Endurance Charges","Minimum de Charges d'endurance - Rang","Minimum an Widerstands-Ladungen","最小エンデュランスチャージ","최소 인내 충전","Mínimo de Cargas de Tolerância","Минимум зарядов выносливости","Cargas de aguante mínimas","จำนวน Endurance Charge ต่ำสุด","最小耐力球","[9,10]","Unveiling rings or amulets","Décryptez des bagues, des anneaux ou des amulettes","Enthüllen: Ringe oder Amulette","アンヴェール: 指輪またはアミュレット","반지, 목걸이 장막 해제","Revelando anéis ou amuletos","Нераскрытое свойство колец и амулетов","Desencriptando anillos o amuletos","เปิดผนึก แหวนหรือสร้อย","揭露戒指或項鍊"
80,"JunMinimumFrenzyCharges",1,[1],"Minimum Frenzy Charges","Minimum de Charges de frénésie - Rang","Minimum an Raserei-Ladungen","最小フレンジーチャージ","최소 격분 충전","Mínimo de Cargas de Frenesi","Минимум зарядов ярости","Cargas de frenesí mínimas","จำนวน Frenzy Charge ต่ำสุด","最小狂怒球","[9,10]","Unveiling rings or amulets","Décryptez des bagues, des anneaux ou des amulettes","Enthüllen: Ringe oder Amulette","アンヴェール: 指輪またはアミュレット","반지, 목걸이 장막 해제","Revelando anéis ou amuletos","Нераскрытое свойство колец и амулетов","Desencriptando anillos o amuletos","เปิดผนึก แหวนหรือสร้อย","揭露戒指或項鍊"
81,"JunMinimumPowerCharges",1,[1],"Minimum Power Charges","Minimum de Charges de pouvoir - Rang","Minimum an Energie-Ladungen","最小パワーチャージ","최소 권능 충전","Mínimo de Cargas de Poder","Минимум зарядов энергии","Cargas de poder mínimas","จำนวน Power Charge ต่ำสุด","最小暴擊球","[9,10]","Unveiling rings or amulets","Décryptez des bagues, des anneaux ou des amulettes","Enthüllen: Ringe oder Amulette","アンヴェール: 指輪またはアミュレット","반지, 목걸이 장막 해제","Revelando anéis ou amuletos","Нераскрытое свойство колец и амулетов","Desencriptando anillos o amuletos","เปิดผนึก แหวนหรือสร้อย","揭露戒指或項鍊"
82,"JunMinionAttackAndCastSpeedOnWeapon",1,"[1,1,1]","Minion Attack and Cast Speed - Rank","Vitesse d'attaque et d'incantation des Créatures - Rang","Kreaturenangriffs- und -zaubergeschwindigkeit - Rang","ミニオンアタックおよびキャストスピード - ランク","소환수 공격 및 시전 속도 - 단계","Velocidade de Ataque e Conjuração do Lacaio - Rank","Приспешники: скорость атаки и сотворения чар - уровень","Velocidad de ataque y velocidad de lanzamiento de hechizos de los esbirros - Nivel","ความเร็วในการโจมตีและร่าย ของมิเนียน - อันดับ","召喚物攻擊和施放速度－階級","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
83,"JunMinionDamageAndMinionMaximumLife",1,"[1,1,1]","Minion Damage and Life - Rank","Dégâts et Vie des Créatures - Rang","Kreaturenschaden und -leben - Rang","ミニオンダメージおよびライフ - ランク","소환수 피해 및 생명력 - 단계","Dano de Lacaio e Vida - Rank","Приспешники: урон и здоровье - уровень","Daño y vida de los esbirros - Nivel","ความเสียหายและพลังชีวิต ของมิเนียน - อันดับ","召喚物傷害和生命－階級","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
84,"JunMinionsRecoverMaximumLifeWhenYouFocus",1,[1],"Minions Recover Life when you Focus","Récupération de Vie des Créatures lorsque vous vous Focalisez","Kreaturen stellen Leben wieder her, wenn Ihr Fokus erhaltet","フォーカス時のミニオンのライフ回復","집중 시 소환수 생명력 회복","Lacaio Recobra Vida quando você se Concentrar","В момент получения Фокуса приспешники восстанавливают здоровье","Los esbirros recuperan vida cuando te concentras","มิเนียน เติมพลังชีวิต เมื่อคุณ ตั้งสมาธิ","當你專注時召喚物回復生命",[7],"Unveiling gloves","Décryptez des gants","Enthüllen: Handschuhe","アンヴェール: 手袋","장갑 장막 해제","Revelando luvas","Нераскрытое свойство перчаток","Desencriptando guantes","เปิดผนึก ถุงมือ","揭露手套"
85,"JunMovementVelocityAndCannotBeChilled",1,"[1,1,1]","Movement Speed and Cannot be Chilled - Rank","Vitesse de déplacement et Immunité à la Frigorification - Rang","Bewegungsgeschwindigkeit und Kann nicht unterkühlt werden - Rang","移動スピードおよび冷却完全耐性 - ランク","이동 속도 및 냉각되지 않음 - 단계","Velocidade de Movimento e Não pode ser Resfriado - Rank","Скорость передвижения и невозможность получить охлаждение - уровень","Velocidad de movimiento y no puedes ser escarchado - Nivel","ความเร็วในการเคลื่อนที่ และป้องกันการติดสถานะหนาวเย็น - อันดับ","移動速度和不會被冰緩－階級",[8],"Unveiling boots","Décryptez des bottes","Enthüllen: Stiefel","アンヴェール: 靴","장화 장막 해제","Revelando botas","Нераскрытое свойство сапог","Desencriptando botas","เปิดผนึก รองเท้า","揭露鞋子"
86,"JunMovementVelocityAndMovementVelocityIfNotHitRecently",1,"[1,1,1]","Movement Speed and Movement Speed when not Hit - Rank","Vitesse de déplacement et Vitesse de déplacement tant que vous n'êtes pas Touché - Rang","Bewegungsgeschwindigkeit und Geschwindigkeit ohne erlittenem Treffer - Rang","移動スピードおよび非ヒット時移動スピード - ランク","이동 속도 및 피해를 받지 않을 때의 이동 속도 - 단계","Velocidade de Movimento e Velocidade de Movimento enquanto não Acertado - Rank","Скорость передвижения и скорость передвижения, если вы не получали ударов - уровень","Velocidad de movimiento y velocidad de movimiento cuando no eres golpeado - Nivel","ความเร็วในการเคลื่อนที่ และความเร็วเมื่อไม่ถูกปะทะ - อันดับ","移動速度和未被擊中時移動速度－階級",[8],"Unveiling boots","Décryptez des bottes","Enthüllen: Stiefel","アンヴェール: 靴","장화 장막 해제","Revelando botas","Нераскрытое свойство сапог","Desencriptando botas","เปิดผนึก รองเท้า","揭露鞋子"
87,"JunMovementVelocityAndOnslaughtOnKill",1,"[1,1,1]","Movement Speed and Onslaught on Kill - Rank","Vitesse de déplacement et Assaut au Toucher - Rang","Bewegungsgeschwindigkeit und Ansturm bei Tötung - Rang","移動スピードおよび撃破時猛攻 - ランク","이동 속도 및 처치 시 맹공 - 단계","Velocidade de Movimento e Agressividade ao Matar - Rank","Скорость передвижения и Боевой раж при убийстве - уровень","Velocidad de movimiento y Fervor al matar - Nivel","ความเร็วในการเคลื่อนที่ และได้รับสถานะ เร่งราวี เมื่อสังหาร - อันดับ","移動速度和擊殺猛攻－階級",[8],"Unveiling boots","Décryptez des bottes","Enthüllen: Stiefel","アンヴェール: 靴","장화 장막 해제","Revelando botas","Нераскрытое свойство сапог","Desencriptando botas","เปิดผนึก รองเท้า","揭露鞋子"
88,"JunNonChaosAddedAsChaos",1,"[1,1]","Damage as Extra Chaos Damage - Rank","Rajout de Dégâts sous forme de Dégâts de chaos - Rang","Schaden als extra Chaosschaden - Rang","ダメージの一部を追加の混沌ダメージとして獲得 - ランク","피해를 추가 카오스 피해로 전환 - 순위","Dano como Dano Extra de Caos - Rank","Урон в виде дополнительного урона хаосом - уровень","Daño como daño de caos extra - Nivel","เสริมความเสียหาย เคออส - อันดับ","傷害的額外混沌傷害－階級","[0,2,1,3,4]","Unveiling certain weapons or shields from It That Fled","Décryptez certaines armes ou certains boucliers de La Chose qui a fui","Enthüllen: bestimmte Waffen oder Schilde von Es, das entkam","アンヴェール: 逃走した者から得られる特定の武器または盾","달아난 그것의 특정 무기 장막 해제","Revelando certas armas ou escudos da Coisa Fugitiva","Нераскрытое свойство отдельных видов оружия и щитов Того-Что-Сбежало","Desencriptando ciertas armas o escudos de Eso que escapó","เปิดผนึก อาวุธหรือโล่ ที่ได้จาก มันผู้หลบหนี ที่กำหนด","揭露竄逃之彼特定武器或盾牌"
89,"JunPercentageAllAttributes",1,"[1,1]","Attributes - Rank","Attributs - Rang","Attribute - Rang","能力値 - ランク","능력치 - 단계","Atributos - Rank","Характеристики - уровень","Atributos - Nivel","ค่าคุณสมบัติ - อันดับ","能力值－階級",[6],"Unveiling certain body armour from Hillock, the Blacksmith","Décryptez certaines armures d'Hillock, le Forgeron","Enthüllen: bestimmte Körperrüstungen von Hillock der Schmied","アンヴェール: 鍛冶屋ヒロックから得られる特定の鎧","대장장이 힐록의 특정 갑옷 장막 해제","Revelando certos peitorais do Hiullock, o Ferreiro","Нераскрытое свойство отдельных нательных доспехов Хиллока, Кузнеца","Desencriptando ciertas armaduras de Hillock, el Herrero","เปิดผนึก เสื้อเกราะ ที่ได้จาก ฮิลล็อค ช่างตีเหล็ก ที่กำหนด","揭露惡靈鐵匠西拉克特定身體護甲"
90,"JunPhysicalDamageConvertedToCold",1,[1],"Physical Damage Converted to Cold Damage","Conversion des Dégâts physiques en Dégâts de froid","Physischer Schaden umgewandelt in Kälteschaden","物理ダメージを冷気ダメージに変換","물리 피해를 냉기 피해로 전환","Dano Físico Convertido para Dano de Gelo","Физический урон становится уроном от холода","Daño físico convertido a daño de hielo","แปลงความเสียหาย กายภาพ เป็น น้ำแข็ง","物理傷害轉化至冰冷傷害",[7],"Unveiling gloves","Décryptez des gants","Enthüllen: Handschuhe","アンヴェール: 手袋","장갑 장막 해제","Revelando luvas","Нераскрытое свойство перчаток","Desencriptando guantes","เปิดผนึก ถุงมือ","揭露手套"
91,"JunPhysicalDamageConvertedToFire",1,[1],"Physical Damage Converted to Fire Damage","Conversion des Dégâts physiques en Dégâts de feu","Physischer Schaden umgewandelt in Feuerschaden","物理ダメージを火ダメージに変換","물리 피해를 화염 피해로 전환","Dano Físico Convertido para Dano de Fogo","Физический урон становится уроном от огня","Daño físico convertido a daño de fuego","แปลงความเสียหาย กายภาพ เป็น ไฟ","物理傷害轉化至火焰傷害",[7],"Unveiling gloves","Décryptez des gants","Enthüllen: Handschuhe","アンヴェール: 手袋","장갑 장막 해제","Revelando luvas","Нераскрытое свойство перчаток","Desencriptando guantes","เปิดผนึก ถุงมือ","揭露手套"
92,"JunPhysicalDamageConvertedToLightning",1,[1],"Physical Damage Converted to Lightning Damage","Conversion des Dégâts physiques en Dégâts de foudre","Physischer Schaden umgewandelt in Blitzschaden","物理ダメージを雷ダメージに変換","물리 피해를 번개 피해로 전환","Dano Físico Convertido para Dano de Raio","Физический урон становится уроном от молнии","Daño físico convertido a daño de rayo","แปลงความเสียหาย กายภาพ เป็น สายฟ้า","物理傷害轉化至閃電傷害",[7],"Unveiling gloves","Décryptez des gants","Enthüllen: Handschuhe","アンヴェール: 手袋","장갑 장막 해제","Revelando luvas","Нераскрытое свойство перчаток","Desencriptando guantes","เปิดผนึก ถุงมือ","揭露手套"
93,"JunPhysicalDamageReductionDuringFocus",1,"[1,1,1]","Physical Damage Reduction while Focused - Rank","Réduction des Dégâts physiques subis pendant la Focalisation - Rang","Physische Schadensminderung, während Ihr fokussiert seid - Rang","フォーカス中の物理ダメージ軽減 - ランク","집중하는 동안 받는 물리 피해 감소 - 단계","Redução de Dano Físico enquanto Concentrado - Rank","Дополнительное уменьшение получаемого физического урона, пока вы сфокусированы - уровень","Reducción de daño físico mientras estás concentrado - Nivel","เสริมค่าป้องกันกายภาพ ขณะที่มีสถานะ ตั้งสมาธิ - อันดับ","專注時物理傷害減免－階級","[5,7]","Unveiling helmets or gloves","Décryptez des casques ou des gants","Enthüllen: Helme oder Handschuhe","アンヴェール: 兜または手袋","투구, 장갑 장막 해제","Revelando elmos ou luvas","Нераскрытое свойство шлемов и перчаток","Desencriptando cascos o guantes","เปิดผนึก หมวกหรือถุงมือ","揭露頭盔或手套"
