"rownum","string_0","string_8","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_16","i32_20","u16_24","string_26","[i32]_34"
114,"PhysConvertTemplar8","They sang of Ixan Keita, knelt in his hollow shrines... but their hearts spoke only of hate.","Ils chantaient les louanges d'Ixan Keita, s'agenouillaient dans ses sanctuaires vides… mais leur cœur n'était que haine.","Sie besangen Ixan Keita, knieten in seinen leeren Schreinen … aber ihre Herzen waren voller Hass.","They sang of Ixan Keita, knelt in his hollow shrines... but their hearts spoke only of hate.","사람들은 익산 케이타에 대한 찬송을 부르고, 그의 공허한 신전 앞에 무릎 꿇었다. 그러나 그들의 마음에 깃든 건 오직 증오뿐이었다.","Cantavam o nome de Ixan Keita, ajoelhavam em templos vazios... No fundo, porém, só sentiam ódio.","They sang of Ixan Keita, knelt in his hollow shrines... but their hearts spoke only of hate.","Cantaron sobre Ixan Keita, se arrodillaron en sus santuarios vacíos… pero sus corazones solo contenían odio.","พวกเขาร้องเพลงเกี่ยวกับอิกซาน เคย์ทา คุกเข่าในอารามกลวงๆ...\r\nแต่ใจพวกเขาพูดออกมาเพียงความเกลียดชังเท่านั้น","他們歌頌伊珊．凱塔、在他空蕩的神殿中雙膝跪地……但他們的心中只有怨懟。",152976,0,0,"ү","[0,1000]"
115,"PhysConvertTemplar9","Ixan mistook silence for reverence. In truth, not one soul believed. And so he remained just that: a mortal soul.","Ixan prit leur silence pour du respect. En vérité, aucune âme ne croyait en lui. Il demeura donc ce qu'il avait toujours été : un simple mortel.","Ixan hielt die Stille für Verehrung. In Wahrheit glaubte niemand an ihn. So blieb er, was er war - eine sterbliche Seele.","Ixan mistook silence for reverence. In truth, not one soul believed. And so he remained just that: a mortal soul.","익산은 그 침묵을 경외심이라 착각했다. 그러나 사실 단 한 명도 그를 믿지 않았다. 그래서 그는 끝내 필멸자를 벗어나지 못했다.","Ixan confundia silêncio com adoração. Mas ninguém acreditava nele. No fim, ele continuou sendo só isso: um homem comum.","Ixan mistook silence for reverence. In truth, not one soul believed. And so he remained just that: a mortal soul.","Ixan malinterpretó el silencio como reverencia. Pero en verdad, ningún alma creía en él. Y así, siempre se mantuvo solo eso: un alma mortal.","อิกซานหลงเชื่อว่าความเงียบงันคือการบูชา แต่ที่จริงไม่มีใครสักคน\r\nที่เชื่อ เขาจึงเป็นเช่นเดิม เป็นวิญญาณที่ไม่จีรังอยู่ร่ำไป","伊珊將諸人的沉默視為敬畏。在場諸人無一真心崇敬，因此他始終僅有一副血肉之軀。",160301,0,0,"ү","[0,1000]"
116,"PhysConvertTemplar10","\""Let them hate me, if they must. Even hatred bows to power.\""\r\n - Ixan Keita","« Qu'ils me haïssent, s'ils le désirent. Même la haine plie face au pouvoir. » — Ixan Keita","\""Lasst sie mich hassen, wenn sie müssen. Selbst Hass beugt sich der Macht.\"" \r\n– Ixan Keita","\""Let them hate me, if they must. Even hatred bows to power.\""\r\n - Ixan Keita","\""날 증오해야만 한다면 말리지 않겠다. 증오라도 힘 앞에서는 고개를 숙이는 법이다.\"" - 익산 케이타","\""Podem me odiar, se quiserem. Até o ódio se curva ao poder.\""\r\n- Ixan Keita","\""Let them hate me, if they must. Even hatred bows to power.\""\r\n - Ixan Keita","\""Deja que me odien si es necesario. Hasta el odio se inclina ante el poder\"".\r\n- Ixan Keita","\""พวกมันจะเกลียดข้าก็เกลียดไป กระทั่งความเกลียดชังยังพ่ายให้\r\nแก่พลัง\"" - อิกซาน เคย์ทา","「就算他們憎恨我，還是得對力量低頭。」- 伊珊．凱塔",131786,0,0,"ү","[0,1000]"
117,"PhysConvertTemplar11","They preached in alleyways and taverns. Few listened. Fewer remembered.","Ils prêchèrent dans les ruelles et les tavernes. Rares sont ceux qui les écoutèrent, plus rare encore sont ceux qui s'en souvinrent.","Sie predigten in Gassen und Tavernen. Wenige hörten zu. Noch weniger erinnerten sich.","They preached in alleyways and taverns. Few listened. Fewer remembered.","그들은 골목에서, 주점에서 말씀을 전했다. 귀를 기울이는 자는 적었고, 기억하는 자는 더 적었다.","Pregavam em becos e tavernas. Poucos ligavam. Quase ninguém se lembrava.","They preached in alleyways and taverns. Few listened. Fewer remembered.","Predicaban en callejones y tabernas. Pocos escuchaban. Pocos recordaron.","พวกเขาเทศน์ในซอยและโรงเหล้า ไม่ค่อยมีคนฟัง แทบไม่มีใครจดจำ","他們在大街小巷、酒肆市集裡弘法，願意聆聽者寥寥無幾，銘記在心者更是屈指可數。",196074,0,0,"ү","[0,1000]"
118,"PhysConvertTemplar12","Attempts to bring organised religion to Trarthus were many - and all of them met with blood.","Nombreuses furent les tentatives d'imposer une religion organisée à Trarthus ; toutes finirent en bain de sang.","Es gab viele Versuche, organisierte Religion nach Trarthus zu bringen - sie alle endeten mit Blutvergießen.","Attempts to bring organised religion to Trarthus were many - and all of them met with blood.","그간 트라투스에 조직화된 종교를 전파하기 위한 숱한 시도가 있었지만, 결과는 하나같이 참혹했다.","Tentaram impor a religião em Trarthus diversas vezes, e todas acabaram em sangue.","Attempts to bring organised religion to Trarthus were many - and all of them met with blood.","Hubo muchos intentos para llevar la religión organizada a Trarthus, y todos terminaron con sangre.","มีหลายคนพยายามเผยแผ่ศาสนาในทาร์ทัส ทุกครั้งลงเอยด้วยเลือด\r\nอยู่ร่ำไป","嘗試在特拉特斯宣教者不在少數……大多演變為血濺現場的全武行。",160304,0,0,"ү","[0,1000]"
119,"PhysConvertTemplar13","Faith is tolerated in Trarthus - but only so long as it is kept to one's self.","La foi est tolérée à Trarthus, tant que vous la gardez pour vous.","Glaube wird in Trarthus toleriert - aber nur, solange man ihn für sich behält.","Faith is tolerated in Trarthus - but only so long as it is kept to one's self.","트라투스에서는 신념이 용인된다. 단, 신념을 혼자서 간직하는 경우에 한해서다.","A fé é tolerada em Trarthus, desde que seja mantida em sigilo.","Faith is tolerated in Trarthus - but only so long as it is kept to one's self.","En Trarthus se tolera la fe, pero siempre y cuando se practique en el interior.","ทาร์ทัสไม่ถือสาถ้าใครจะศรัทธาในศาสนาใด ตราบใดที่เขาคนนั้นเก็บ\r\nศรัทธาไว้กับตัว","特拉特斯對信仰持容忍態度……前提是信仰必須僅止於個人內心。",132982,0,0,"ү","[0,1000]"
120,"PhysConvertTemplar14","Even the pious stray in Trarthus - led not by devils, but by gold and supple skin.","Même les plus pieux s'égarent à Trarthus, séduits non par les diables, mais par l'or et la douceur de la peau.","Selbst die Gottesfürchtigen kommen in Trarthus vom Weg ab - nicht verführt von Teufeln, sondern von Gold und weichem Fleisch.","Even the pious stray in Trarthus - led not by devils, but by gold and supple skin.","트라투스에서는 경건한 자도 탈선하고 만다. 악마가 아닌, 황금과 부드러운 살결에 이끌려.","Até o mais santo se desvia em Trarthus. Não por demônios, mas por ouro e prazer carnal.","Even the pious stray in Trarthus - led not by devils, but by gold and supple skin.","Hasta los piadosos erran el camino en Trarthus, y no porque los guíen los demonios, sino el oro y el suave toque de la piel.","กระทั่งผู้เคร่งศาสนาก็เตลิดได้ในทาร์ทัส... มิได้ถูกชักนำด้วยปีศาจ\r\nแต่ชักนำด้วยทองและผิวที่เนียนนุ่ม","虔誠者在特拉特斯也難以安身立命，他們充其量不過是待宰的羔羊。",159180,0,0,"ү","[0,1000]"
121,"PhysConvertTemplar15","Trarthans revere but one god: the almighty coin.","Les Trathiens ne vénèrent qu'une seule déesse : la toute-puissante piécette.","Trarthaner verehren nur einen Gott: das allmächtige Geld.","Trarthans revere but one god: the almighty coin.","트라투스인이 숭배하는 신은 단 하나, 전능하신 돈뿐이다.","Os trarthanos só se curvam a um deus todo-poderoso: o dinheiro.","Trarthans revere but one god: the almighty coin.","Los trarthanos veneran a un solo dios: el todopoderoso dinero.","ชาวทาร์ทานเคารพเทพเจ้าเพียงองค์เดียว เหรียญผู้ยิ่งใหญ่","閃耀的錢幣是特拉特斯的唯一真神。",174582,0,0,"ү","[0,1000]"
122,"PhysConvertTemplar16","\""If your mission should take you to Trarthus, you'd best carry a knife.\""\r\n - Gospel and Blade","« Si votre mission vous mène à Trarthus, pensez à porter un couteau. » — Lames et paroles divines","\""Sollte Euch Eure Mission nach Trarthus führen, solltet Ihr lieber ein Messer dabeihaben.\"" \r\n– Evangelium und Klinge","\""If your mission should take you to Trarthus, you'd best carry a knife.\""\r\n - Gospel and Blade","\""혹여 임무 때문에 트라투스로 가게 된다면 단도를 챙기는 것이 좋다.\"" - 가스펠과 블레이드","\""Se sua missão te levar a Trarthus, melhor não ir sem uma faca.\""\r\n- Evangelho e Espada","\""If your mission should take you to Trarthus, you'd best carry a knife.\""\r\n - Gospel and Blade","\""Si tu misión fuese a llevarte a Trarthus, será mejor que lleves una navaja\"".\r\n- Góspel y cuchillos","\""หากการเผยแผ่ศาสนานำเจ้าไปสู่ทาร์ทัส เจ้าพกมีดเสียดีกว่า\""\r\n- คำเทศน์และมีด","「如果你接到的任務派你前往特拉特斯，最好隨身攜帶一把短刀。」- 《福音與刀刃》",144128,0,0,"ү","[0,1000]"
123,"PhysConvertTemplarNoble1","{0} Keita came to preach salvation. He left certain there was none to be found.","Il vint prêcher le salut. Il s'en fut en sachant qu'il ne s'y trouvait pas.","{0} Keita kam, um die Erlösung zu predigen. Er ging in der Gewissheit, dass es keine gab.","{0} Keita came to preach salvation. He left certain there was none to be found.","한때 구원을 설교하러 왔던 그는 구원이 없음을 깨닫고 떠나버렸다.","{0} Keita veio pregar salvação. Partiu sem acreditar que ela existisse.","{0} Keita came to preach salvation. He left certain there was none to be found.","{0} Keita intentó predicar sobre la salvación. Se marchó con la certeza de que no había ninguna.","{0} เคย์ทา​ตั้งใจ​สอน​ให้​รู้​ถึง​การ​รอดพ้น และ​จาก​ไป​ด้วย​ความเชื่อมั่น​ว่า​การรอดพ้น​ไม่มี​จริง","他前來宣揚救贖，但最後體認到一切只是庸人自擾。",218883,0,0,"ӥ","[1000,1000,1000]"
124,"PhysConvertTemplarNoble2","In a city built on secrets, faith never stood a chance.","Dans une cité bâtie sur les secrets, la foi n'avait aucune chance.","In einer Stadt mit einem Fundament aus Geheimnissen hatte der Glaube nie eine Chance.","In a city built on secrets, faith never stood a chance.","비밀 위에 세워진 도시에서 신념은 결코 맥을 추지 못한다.","Quando uma cidade vive de segredos, a fé já entra perdendo.","In a city built on secrets, faith never stood a chance.","En una ciudad construida sobre secretos, la fe nunca tuvo oportunidad.","ในนครที่สร้างไว้บนความลับ ศรัทธาไม่มีโอกาสชนะแม้แต่น้อย","在一座爾虞我詐的城市裡，並無信仰立足之地。",245272,0,0,"ӥ","[1000,1000,1000]"
125,"PhysConvertTemplarNoble3","Though born of Keita blood, {0} sought to better Trarthus through faith - until his kin reminded him where power truly lay.","Né de sang Keita, reforgé par la foi, brisé à son retour.","{0} Keita: Geboren in die Blutlinie der Keita. Neu geschmiedet im Glauben. Zerbrochen bei der Rückkehr.","Though born of Keita blood, {0} sought to better Trarthus through faith - until his kin reminded him where power truly lay.","케이타의 혈통에서 태어나, 신념으로 벼려지고, 산산조각이 되어 돌아왔다.","{0}, nascido de sangue keitano, foi moldado pela fé. Voltou em pedaços.","Though born of Keita blood, {0} sought to better Trarthus through faith - until his kin reminded him where power truly lay.","{0}: nacido de la sangre de Keita. Reforjado en la fe. Destrozado al regresar.","{0}: กำเนิด​จาก​สายเลือด​บ้าน​เคย์ทา หลอมใหม่​ด้วย​ศรัทธา สลาย​ไป​เมื่อ​กลับ​ถิ่น","凱塔的血脈塑以信仰，最後一切仍歸於塵土。",206157,0,0,"ӥ","[1000,1000,1000]"
126,"PhysConvertTemplarNoble4","Once Emperor Tyndarus caught wind of Trarthan warlords setting up a society, he sent his legions to stomp them back down.","« Lorsque l'Empereur Tyndarus apprit que les seigneurs de guerre trarthiens avaient établi des cultures et une société à part entière, il fit envoyer ses légions sans attendre afin de les écraser sous sa botte. »","Als Kaiser Tyndarus davon hörte, dass trarthanische Kriegsherren damit begonnen hatten, eine Gesellschaft zu gründen, schickte er sofort seine Legionen, um sie wieder in den Staub zu treten.","Once Emperor Tyndarus caught wind of Trarthan warlords setting up a society, he sent his legions to stomp them back down.","\""틴다루스 황제는 트라투스의 군주들이 땅을 경작하고 공동체를 만들기 시작한 것을 알고, 재빠르게 군단을 보내 모두를 짓밟아 버렸다.\""","Quando o imperador Tyndarus descobriu que os senhores da guerra de Trarthus estavam criando uma sociedade, ordenou que suas legiões acabassem com tudo.","Once Emperor Tyndarus caught wind of Trarthan warlords setting up a society, he sent his legions to stomp them back down.","Cuando el Emperador Tyndarus se enteró de que los jefes de guerra trarthanos estaban sembrando y construyendo una sociedad, rápidamente envió a sus legiones para aplastarlos.","เมื่อจักรพรรดิทินดารัสได้ข่าวว่าขุนศึกทาร์ทานเริ่มเพาะปลูกและ\r\nก่อตั้งสังคม เขารีบส่งกองทหารไปกำราบเพื่อไม่ให้พวกมันกำแหง","Once Emperor Tyndarus caught wind of Trarthan warlords setting up a society, he sent his legions to stomp them back down.",241992,0,0,"ӥ","[1000,1000,1000]"
127,"PhysConvertTemplarNoble5","The Phrecian legions executed the warlords of that era, and instituted crushing taxes on the budding Trarthan society.","« Les légions phréciennes exécutèrent les seigneurs de guerre de la région et firent ployer la nouvelle société trarthienne sous les impôts. »","Die phrecischen Legionen richteten damals die Kriegsherren hin und belegten die aufkeimende trarthanische Gesellschaft mit brutalen Steuern.","The Phrecian legions executed the warlords of that era, and instituted crushing taxes on the budding Trarthan society.","\""프레시아 군단은 당시의 군주를 처형하고는 막 싹트려는 트라투스 공동체에 가혹한 세금을 부과했다.\""","As legiões firecianas executaram os senhores da guerra da época e impuseram impostos absurdos à sociedade trarthana que ainda estava nascendo.","The Phrecian legions executed the warlords of that era, and instituted crushing taxes on the budding Trarthan society.","Las legiones de Phrecia ejecutaron a los jefes de guerra de esa era, e instauraron impuestos devastadores en la joven sociedad trarthana.","กองทหารฟรีเชียประหารขุนศึกแห่งยุคนั้น แล้วตั้งภาษีอย่างหนัก\r\nมากดขี่สังคมทาร์ทานที่กำลังเติบใหญ่","The Phrecian legions executed the warlords of that era, and instituted crushing taxes on the budding Trarthan society.",257622,0,0,"ӥ","[1000,1000,1000]"
128,"AurasMinionsTemplar1","Some foreigners cling to warm memories of Divinity. In Trarthus, that's considered true madness.","Certains étrangers se raccrochent aux doux souvenirs de la Divinité. À Trarthus, ils sont considérés comme de véritables déments.","Manche Fremde klammern sich an wärmende Erinnerungen von Göttlichkeit. In Trarthus hält man das für reinen Irrsinn.","Some foreigners cling to warm memories of Divinity. In Trarthus, that's considered true madness.","신성의 따스한 기억을 간직하는 외지인이 간혹 있다. 트라투스에서 이는 심한 정신 착란으로 여겨진다.","Alguns estrangeiros ainda guardam boas lembranças da divindade. Em Trarthus, isso é considerado insanidade.","Some foreigners cling to warm memories of Divinity. In Trarthus, that's considered true madness.","Algunos forasteros se aferraron a los cálidos recuerdos de la divinidad. En Trarthus, eso se considera locura.","คนต่ายถิ่นบางคนยึดความทรงจำเกี่ยวกับพลังเทวาอันอบอุ่นเป็น\r\nสรณะ ซึ่งเป็นเรื่องที่ถูกมองว่าบ้าคลั่งอย่างแท้จริงในทาร์ทัส","異國人往往會以神性的溫暖記憶做為慰藉，這種行為在特拉特斯被視為真正的瘋狂之舉。",147147,0,0,"ү","[0,1000]"
129,"AurasMinionsTemplar2","Trarthans know Innocence not as a god, but as a tale told by passing missionaries - and quickly forgotten.","Les trarthiens connaissent Innocence non pas en tant que dieu, mais en tant que conte transmis par des missionnaires de passage et aussitôt oublié.","Trarthaner kennen Innocence nicht als Gott, sondern als eine Geschichte, erzählt von Missionaren auf der Durchreise - die sie alsbald wieder vergaßen.","Trarthans know Innocence not as a god, but as a tale told by passing missionaries - and quickly forgotten.","트라투스인에게 이노센스는 신이 아니다. 그저 지나가는 선교사한테서 주워들었다가 금세 잊어버리는 이야기에 불과하다.","Em Trarthus, Inocência não é um deus, mas uma história irrelevante contada por missionários de passagem.","Trarthans know Innocence not as a god, but as a tale told by passing missionaries - and quickly forgotten.","Los trarthanos conocen a Inocencia no como un dios, sino como una historia que cuentan los misioneros viajeros… que pronto se olvida.","ชาวทาร์ทานมิได้รู้จักอินโนเซนในฐานะเทพเจ้า แต่เป็นเรื่องเล่าขาน\r\nของผู้เผยแผ่ศาสนาที่สัญจร และถูกลืมเลือนอย่างรวดเร็ว","「善」在特拉特斯人眼中並非神祇，僅是從途經的傳教士口中得知的故事……但這些話轉個頭就忘了。",171738,0,0,"ү","[0,1000]"
130,"AurasMinionsTemplar3","\""A fire that does not warm, does not feed, does not kill... what use is it in Trarthus?\""","« Un feu qui ne réchauffe pas, ne nourrit pas, ne tue pas… Quelle pourrait être son utilité à Trarthus ? »","\""Ein Feuer, das nicht wärmt, nicht nährt, nicht tötet … welchen Nutzen hat es denn in Trarthus?\""","\""A fire that does not warm, does not feed, does not kill... what use is it in Trarthus?\""","\""온기도 줄 수 없고, 허기도 채울 수 없고, 죽이지도 못하는 불이... 트라투스에서 무슨 쓸모가 있지?\""","\""Se o fogo não aquece, não mata nem alimenta, que utilidade terá em Trarthus?\""","\""A fire that does not warm, does not feed, does not kill... what use is it in Trarthus?\""","\""Un fuego que no calienta, ni alimenta ni mata… ¿qué utilidad podría tener en Trarthus?","\""ไฟที่ไม่ทำให้อบอุ่น ไม่ทำให้อิ่มท้อง ไม่ฆ่า... มีประโยชน์อะไรในทาร์ทัส\r\nเล่า?\""","「如果火焰無法用來取暖、烹煮或是屠殺對手，那它在特拉特斯有什麼意義？」",172922,0,0,"ү","[0,1000]"
131,"AurasMinionsTemplar4","Innocence preaches purity. Trarthus breeds survival. The two have little in common.","Innocence prêche la pureté. Trarthus engendre la survie. Les deux ont bien peu en commun.","Innocence predigt Reinheit. In Trarthus zählt das Überleben. Die beiden haben wenig gemeinsam.","Innocence preaches purity. Trarthus breeds survival. The two have little in common.","이노센스는 정화를 가르치고, 트라투스는 생존을 사육한다. 이 둘은 공통점이 거의 없다.","Inocência prega pureza. Trarthus ensina a sobreviver. São mundos diferentes.","Innocence preaches purity. Trarthus breeds survival. The two have little in common.","Inocencia predica sobre la pureza. Trarthus engendra supervivencia. Esas dos cosas tienen poco en común.","อินโนเซนสอนเรื่องความพิสุทธ์ ทาร์ทัสบ่มเพาะการเอาตัวรอด\r\nสองสิ่งนี้หาได้ใกล้เคียงกันไม่","善追求純粹，而特拉特斯只為下一頓飯作打算，兩者毫無交集。",195933,0,0,"ү","[0,1000]"
132,"AurasMinionsTemplar5","\""When they call Korathin a city of sin, they're not talking about the god.\""","« Quand on dit que Korathin est une ville de péché, on ne parle pas du dieu. »","\""Auch wenn sie Korathin die Stadt der Sünde nennen, hat das nichts mit Religion zu tun.\""","\""When they call Korathin a city of sin, they're not talking about the god.\""","\""코라틴은 죄악의 도시라고 불리지. 씬을 가리키는 게 아니라, 글자 그대로의 죄악 말이야.\""","\""Quando chamam Korathin de cidade do pecado, não estão falando do deus.\""","\""When they call Korathin a city of sin, they're not talking about the god.\""","\""Cuando llaman a Korathin «ciudad de pecado» no se refieren al dios\"".","\""เวลาที่คนบอกว่าโคราธินเป็นนครแห่งบาป เขาไม่ได้พูดถึงเทพเจ้า\r\nที่ชื่อว่าซิน\""","「他們稱科拉廷為罪孽之城，但他們所指的『罪』並非神祇。」",180631,0,0,"ү","[0,1000]"
133,"AurasMinionsTemplar6","\""Some say there's no honour left in Korathin. Others say it never belonged here to begin with.\"" ","« Certains disent que cette ville n'a plus une once d'honneur. D'autres qu'elle n'en a jamais connu. » ","\""Einige sagen, dass es in Korathin keine Ehre mehr gibt. Andere sagen, dass sie noch nie hierher gehörte.\""","\""Some say there's no honour left in Korathin. Others say it never belonged here to begin with.\"" ","\""혹자는 이 도시에서 더는 영광을 찾아볼 수 없다고 하지만, 다른 이는 말하지. 영광은 처음부터 존재한 적 없었다고.\""","\""Uns dizem que Korathin perdeu sua honra. Outros dizem que ela nunca existiu por aqui.\"" ","\""Some say there's no honour left in Korathin. Others say it never belonged here to begin with.\"" ","Algunos dicen que ya no queda honor en Korathin. Otros dicen que jamás lo hubo.","\""บ้างบอกว่าโคราธินไม่มีเกียรติ บ้างบอกว่าเกียรติไม่เหมาะกับที่นี่\r\nตั้งแต่แรก\""","「有些人聲稱這座城市毫無榮譽感，有些人則表示榮譽一向不是此處追尋的價值。」 ",138863,0,0,"ү","[0,1000]"
134,"AurasMinionsTemplar7","A good deed in Trarthus gets you one thing: a target on your back. ","Une bonne action à Trarthus ne vous apportera qu'une seule chose : une cible dans votre dos. ","Eine gute Tat wird in Trarthus nur auf eine Weise belohnt: mit einer Zielscheibe auf dem Rücken.","A good deed in Trarthus gets you one thing: a target on your back. ","트라투스에서 선행을 베풀면 돌아오는 것은 표적이 되는 일뿐이다.","Fazer o bem em Trarthus só serve para pintar um alvo nas suas costas. ","A good deed in Trarthus gets you one thing: a target on your back. ","Una buena acción en Trarthus solo te otorga una cosa: un objetivo en tu espalda.","ผลของการทำดีในทาร์ทัสคือการตกเป็นเป้าหมาย","在特拉特斯行善只會讓你成為眾矢之的。 ",166061,0,0,"ү","[0,1000]"
135,"AurasMinionsTemplar8","\""What's a man to do with morals, when no one else plays by them?\"" ","« À quoi bon respecter un ordre moral si vous êtes la seule personne à l'honorer ? » ","\""Was soll ein Mann mit Moralvorstellungen anfangen, wenn sich sonst niemand nach ihnen richtet?\""","\""What's a man to do with morals, when no one else plays by them?\"" ","\""따르는 자가 아무도 없다면 도덕 따위가 대체 무슨 소용이지?\""","\""De que servem os valores se ninguém os respeita?\"" ","\""What's a man to do with morals, when no one else plays by them?\"" ","\""¿De qué le sirve la moral a un hombre si los demás no le prestan atención?\""","\""คนคนนึงจะเอาศีลธรรมไปทำอะไร ในเมื่อไม่มีใครเล่นตามศีลธรรมกัน\r\nเลย\""","「當倫理早已淪喪，仁義道德有何意義可言？」 ",158898,0,0,"ү","[0,1000]"
136,"AurasMinionsTemplar10","Even in Trarthus, someone buries the bodies. Someone remembers the names. ","Même à Trarthus, quelqu'un s'occupe d'enterrer les corps. Quelqu'un se souvient des noms. ","Selbst in Trarthus begräbt jemand die Leichen. Jemand erinnert sich der Namen.","Even in Trarthus, someone buries the bodies. Someone remembers the names. ","트라투스에서도 누군가는 시신을 묻고, 누군가는 죽은 자의 이름을 기억한다.","Em Trarthus, ainda há quem enterre os mortos e guarde seus nomes. ","Even in Trarthus, someone buries the bodies. Someone remembers the names. ","Incluso en Trarthus, alguien entierra los cuerpos. Alguien recuerda los nombres.","กระทั่งในทาร์ทัส ยังมีคนที่คอยฝังศพ ยังมีคนที่จดจำชื่อได้","特拉特斯也有人埋葬死者、緬懷他們的過往。 ",149469,0,0,"ү","[0,1000]"
137,"AurasMinionsTemplar11","Some virtues endure - not in law, nor gods, but in spite of both.","Certaines vertus persistent, non par la loi ou les dieux, mais justement malgré eux.","Einige Tugenden überdauern - nicht als Gesetze, nicht durch die Götter, sondern trotz ihnen.","Some virtues endure - not in law, nor gods, but in spite of both.","어떤 미덕은 살아남는다. 법이나 신 따위를 통해서가 아니라, 그 둘을 견디고 살아남는 것이다.","Algumas virtudes ainda resistem, não por causa da lei ou dos deuses, mas apesar deles.","Some virtues endure - not in law, nor gods, but in spite of both.","Algunas virtudes perduran… ni gracias a la ley ni a los dioses, sino a pesar de ellos.","ความดีบางอย่างยังยืนยง ใช่ว่าเพราะไร้กฎ ใช่ว่าเพราะไร้เทพ แต่แม้\r\nจะมีกฎหรือเทพอยู่ก็ตาม","有些美德尚存，但並非存在於律法或神祇之中，而是對兩者的憎惡。",162578,0,0,"ү","[0,1000]"
138,"AurasMinionsTemplar12","The surest way to frighten Ixan Keita was kindness. Always hunting for an angle, he could never see it for what it was.","La meilleure façon d'effrayer Ixan Keita était de faire preuve de bonté. Toujours à la recherche d'un angle d'attaque, il ne put jamais voir la bienveillance d'un acte désintéressé.","Der sicherste Weg, Ixan Keita Angst einzujagen, war Güte. Auch wenn er nach immer neuen Ansätzen suchte, konnte er doch nie ihr Wesen erkennen.","The surest way to frighten Ixan Keita was kindness. Always hunting for an angle, he could never see it for what it was.","익산 케이타를 어김없이 두렵게 하는 것은 친절이었다. 언제나 모략을 꾸미는 그에게 친절을 곧이곧대로 받아들이기란 불가능했다.","A melhor forma de assustar Ixan Keita era com gentileza. Sempre desconfiado, vivia procurando segundas intenções.","The surest way to frighten Ixan Keita was kindness. Always hunting for an angle, he could never see it for what it was.","La mejor forma de asustar a Keita era con amabilidad. Al estar siempre buscando el ángulo correcto, nunca pudo verla por lo que era.","วิธีที่ดีที่สุดที่จะทำให้อิกซาน เคย์ทาเกรงกลัวคือการให้ความเมตตา\r\nเขามองหาเหลี่ยมอยู่เสมอ จึงไม่อาจมองเห็นในสิ่งที่มันเป็น","關懷是唯一能讓伊珊．凱塔感到畏懼的事物。無時無刻都在算計的他無法感受發自內心的善意。",195862,0,0,"ү","[0,1000]"
139,"AurasMinionsTemplar13","Keita drew brutes from every corner - sadists, zealots, and worse. What bound them was a taste for cruelty.","Keita dénicha ses brutes dans tous les recoins de la société : sadiques, zélotes et autres tortionnaires de la pire espèce, tous se retrouvaient dans leur goût pour la cruauté.","Keita zog Rohlinge aus allen Ecken an - Sadisten, Fanatiker und Schlimmere. Was sie zusammenhielt, war ihre Vorliebe für Grausamkeit.","Keita drew brutes from every corner - sadists, zealots, and worse. What bound them was a taste for cruelty.","케이타는 곳곳에서 짐승들을 끌어들였다. 잔학한 자들, 맹신자들, 그보다 더한 자들을. 이들은 잔혹한 취미 아래 하나로 묶였다.","Keita atraía apenas a escória, como sádicos, fanáticos e coisa pior. O que os unia era o prazer pela crueldade.","Keita drew brutes from every corner - sadists, zealots, and worse. What bound them was a taste for cruelty.","Keita trajo matones de todos los rincones: sadistas, fanáticos o peor. Lo que los unía era el gusto por la crueldad.","เคย์ทานำพาคนเถื่อนมาจากทุกซอกมุม ทั้งคนซาดิสม์ คนคลั่งศาสนา\r\nหรือแย่กว่านั้น สิ่งที่คุมพวกเขาไว้คือความรสชาติความอำมหิต","凱塔家族網羅了來自四面八方的走狗，施虐者、狂信徒，甚至更可怕的存在。將他們凝聚在一起的，是對殘酷的嗜好。",192164,0,0,"ү","[0,1000]"
140,"AurasMinionsTemplarNoble1","They mocked {0} Keita's prayers. Until one day, the sinner burned, and they said nothing more.","Ils se moquèrent de ses prières, jusqu'à ce qu'un jour, le pêcheur brûle. Alors, ils ne dirent plus rien.","Sie verspotteten {0} Keitas Gebete. Bis der Sünder eines Tages brannte und sie nichts mehr zu sagen konnten.","They mocked {0} Keita's prayers. Until one day, the sinner burned, and they said nothing more.","그들은 그의 기도를 조롱했다. 어느 날 죄인이 불에 타 죽자, 그들은 입을 다물었다.","Zombavam das orações de {0} Keita. Até que um dia o pecador ardeu. Depois disso, todos se calaram.","They mocked {0} Keita's prayers. Until one day, the sinner burned, and they said nothing more.","Se burlaron de las plegarias de {0}. Hasta que un día, el pecador ardió, y ya no dijeron nada más.","พวกเขา​ล้อเลียน​บท​สวด​ของ​{0} เคย์ทา จน​คน​บาป​มอดไหม้​ขึ้น​มา​ใน​วัน​หนึ่ง จึง​ไม่มี​ผู้​ใด​พูด​อะไร​ขึ้น​มา​อีก","他們嘲弄他的祈禱，但在罪惡之人化為灰燼之後，他們就此噤聲。",244369,0,0,"Ӣ","[0,1000,1000]"
