"rownum","BaseItemType","StackSize","CurrencyUseType","Action","Directions","FullStack_BaseItemType","Description","Usage_AchievementItems","Scroll","Possession_AchievementItem","[rid]","[i32]","CurrencyTab_StackSize","XBoxDirections","i32","ModifyMapsAchievements","ModifyContractsAchievements","CombineAchievements","ChangedForHardmode","DescriptionHardmode","IsGold","UsageHint","bool"
338,128,100,1,"bestiary_change_net","","","Effective against Beasts of levels 58 to 70.\r\nActivate to use this type of Net when capturing Beasts.",[],"","",[],[],5000,"",0,[],[],[],"","","","",""
339,129,100,1,"bestiary_change_net","","","Effective against Beasts of levels 60 to 75.\r\nActivate to use this type of Net when capturing Beasts.",[],"","",[],[],5000,"",0,[],[],[],"","","","",""
340,130,100,1,"bestiary_change_net","","","Effective against Beasts of levels 64 and above.\r\nActivate to use this type of Net when capturing Beasts.",[],"","",[],[],5000,"",0,[],[],[],"","","","",""
341,131,100,1,"bestiary_change_net","","","Effective against Beasts of levels 68 and above.\r\nActivate to use this type of Net when capturing Beasts.",[],"","",[],[],5000,"",0,[],[],[],"","","","",""
342,132,100,1,"bestiary_change_net","","","Can be used on Beast corpses of all levels.\r\nActivate to use this type of Net when capturing Beasts.",[],"","",[],[],5000,"",0,[],[],[],"","","","",""
343,743,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Breach",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Breach","","Can be used in a personal Map Device to add modifiers to a Map.",""
344,744,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Breach\r\nBreaches in Area contain an additional Breach Boss' Clasped Hand",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Breach","","Can be used in a personal Map Device to add modifiers to a Map.",""
345,745,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Breach\r\nBreaches in Area contain an additional Breach Boss' Clasped Hand\r\nBreach Hands in Area drop double Breach Splinters",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Breach","","Can be used in a personal Map Device to add modifiers to a Map.",""
346,746,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 2 additional Breaches\r\nBreaches in Area contain an additional Breach Boss' Clasped Hand\r\nBreach Hands in Area drop double Breach Splinters",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Breach","","Can be used in a personal Map Device to add modifiers to a Map.",""
347,747,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","20% increased Maps found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"20% increased Maps found in Area","","Can be used in a personal Map Device to add modifiers to a Map.",""
348,748,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","35% increased Maps found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"20% increased Maps found in Area","","Can be used in a personal Map Device to add modifiers to a Map.",""
349,749,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","50% increased Maps found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"20% increased Maps found in Area","","Can be used in a personal Map Device to add modifiers to a Map.",""
350,750,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","85% increased Maps found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"20% increased Maps found in Area","","Can be used in a personal Map Device to add modifiers to a Map.",""
351,751,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","50% more Unique Items found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"50% more Unique Items found in Area","","Can be used in a personal Map Device to add modifiers to a Map.",""
352,752,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","100% more Unique Items found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"50% more Unique Items found in Area","","Can be used in a personal Map Device to add modifiers to a Map.",""
353,753,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","150% more Unique Items found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"50% more Unique Items found in Area","","Can be used in a personal Map Device to add modifiers to a Map.",""
354,754,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","250% more Unique Items found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"50% more Unique Items found in Area","","Can be used in a personal Map Device to add modifiers to a Map.",""
355,755,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains Einhar\r\nArea contains an additional Red Beast",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","","Can be used in a personal Map Device to add modifiers to a Map.",""
356,756,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains Einhar\r\nArea contains 2 additional Red Beasts",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","","Can be used in a personal Map Device to add modifiers to a Map.",""
357,757,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains Einhar\r\nArea contains 3 additional Red Beasts",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","","Can be used in a personal Map Device to add modifiers to a Map.",""
358,758,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains Einhar\r\nArea contains 5 additional Red Beasts",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","","Can be used in a personal Map Device to add modifiers to a Map.",""
359,759,1,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains Einhar\r\nArea contains 4 additional Red Beasts from The Wilds\r\nCannot be used alongside a Bestiary Scarab",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","","Can be used in a personal Map Device to add modifiers to a Map.",""
360,760,1,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains Einhar\r\nArea contains 4 additional Red Beasts from The Sands\r\nCannot be used alongside a Bestiary Scarab",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","","Can be used in a personal Map Device to add modifiers to a Map.",""
361,761,1,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains Einhar\r\nArea contains 4 additional Red Beasts from The Caverns\r\nCannot be used alongside a Bestiary Scarab",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","","Can be used in a personal Map Device to add modifiers to a Map.",""
362,762,1,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains Einhar\r\nArea contains 4 additional Red Beasts from The Deep\r\nCannot be used alongside a Bestiary Scarab",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","","Can be used in a personal Map Device to add modifiers to a Map.",""
363,763,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Adds Shaper Influence outcome to Map Area\r\n30% more Rare Shaper Items found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Adds Shaper Influence outcome to Map Area\r\n30% more Rare Shaper Items found in Area","","Can be used in a personal Map Device to add modifiers to a Map.",""
364,764,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Adds Shaper Influence outcome to Map Area\r\n60% more Rare Shaper Items found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Adds Shaper Influence outcome to Map Area\r\n30% more Rare Shaper Items found in Area","","Can be used in a personal Map Device to add modifiers to a Map.",""
365,765,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Adds Shaper Influence outcome to Map Area\r\n90% more Rare Shaper Items found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Adds Shaper Influence outcome to Map Area\r\n30% more Rare Shaper Items found in Area","","Can be used in a personal Map Device to add modifiers to a Map.",""
366,766,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Adds Shaper Influence outcome to Map Area\r\n150% more Rare Shaper Items found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Adds Shaper Influence outcome to Map Area\r\n30% more Rare Shaper Items found in Area","","Can be used in a personal Map Device to add modifiers to a Map.",""
367,767,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Adds Elder Influence outcome to Map Area\r\n30% more Rare Elder Items found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Adds Elder Influence outcome to Map Area\r\n30% more Rare Elder Items found in Area","","Can be used in a personal Map Device to add modifiers to a Map.",""
368,768,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Adds Elder Influence outcome to Map Area\r\n60% more Rare Elder Items found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Adds Elder Influence outcome to Map Area\r\n30% more Rare Elder Items found in Area","","Can be used in a personal Map Device to add modifiers to a Map.",""
369,769,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Adds Elder Influence outcome to Map Area\r\n90% more Rare Elder Items found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Adds Elder Influence outcome to Map Area\r\n30% more Rare Elder Items found in Area","","Can be used in a personal Map Device to add modifiers to a Map.",""
370,770,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Adds Elder Influence outcome to Map Area\r\n150% more Rare Elder Items found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Adds Elder Influence outcome to Map Area\r\n30% more Rare Elder Items found in Area","","Can be used in a personal Map Device to add modifiers to a Map.",""
371,771,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains Niko\r\nMap owner gains 20% more Sulphite",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","","Can be used in a personal Map Device to add modifiers to a Map.",""
372,772,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains Niko\r\nMap owner gains 40% more Sulphite",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","","Can be used in a personal Map Device to add modifiers to a Map.",""
373,773,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains Niko\r\nMap owner gains 60% more Sulphite",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","","Can be used in a personal Map Device to add modifiers to a Map.",""
374,774,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains Niko\r\nMap owner gains 100% more Sulphite",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","","Can be used in a personal Map Device to add modifiers to a Map.",""
375,775,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","50% more Divination Cards found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","","Can be used in a personal Map Device to add modifiers to a Map.",""
376,776,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","100% more Divination Cards found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","","Can be used in a personal Map Device to add modifiers to a Map.",""
377,777,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","150% more Divination Cards found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","","Can be used in a personal Map Device to add modifiers to a Map.",""
378,778,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","250% more Divination Cards found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","","Can be used in a personal Map Device to add modifiers to a Map.",""
379,779,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 3 additional Tormented Spirits",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 3 additional Tormented Spirits","","Can be used in a personal Map Device to add modifiers to a Map.",""
380,780,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 5 additional Tormented Spirits",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 3 additional Tormented Spirits","","Can be used in a personal Map Device to add modifiers to a Map.",""
381,781,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 7 additional Tormented Spirits",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 3 additional Tormented Spirits","","Can be used in a personal Map Device to add modifiers to a Map.",""
382,782,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 12 additional Tormented Spirits",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 3 additional Tormented Spirits","","Can be used in a personal Map Device to add modifiers to a Map.",""
383,783,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 3 additional Strongboxes",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 3 additional Strongboxes","","Can be used in a personal Map Device to add modifiers to a Map.",""
384,784,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 4 additional Strongboxes",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 3 additional Strongboxes","","Can be used in a personal Map Device to add modifiers to a Map.",""
385,785,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 5 additional Strongboxes",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 3 additional Strongboxes","","Can be used in a personal Map Device to add modifiers to a Map.",""
386,786,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 9 additional Strongboxes",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 3 additional Strongboxes","","Can be used in a personal Map Device to add modifiers to a Map.",""
387,787,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 2 additional Harbingers",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 2 additional Harbingers","","Can be used in a personal Map Device to add modifiers to a Map.",""
388,788,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 3 additional Harbingers",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 2 additional Harbingers","","Can be used in a personal Map Device to add modifiers to a Map.",""
389,789,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 4 additional Harbingers",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 2 additional Harbingers","","Can be used in a personal Map Device to add modifiers to a Map.",""
390,790,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 7 additional Harbingers",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 2 additional Harbingers","","Can be used in a personal Map Device to add modifiers to a Map.",""
391,791,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Expedition Encounter",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Expedition Encounter","","Can be used in a personal Map Device to add modifiers to a Map.",""
392,792,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Expedition Encounter\r\nArea contains 25% increased number of Runic Monster Markers\r\n20% increased number of Explosives",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Expedition Encounter","","Can be used in a personal Map Device to add modifiers to a Map.",""
393,793,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Expedition Encounter\r\nArea contains 50% increased number of Runic Monster Markers\r\n20% increased number of Explosives",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Expedition Encounter","","Can be used in a personal Map Device to add modifiers to a Map.",""
394,794,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Expedition Encounter\r\nArea contains 50% increased number of Runic Monster Markers\r\n20% increased number of Explosives\r\nRemnants in area have an additional Suffix",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Expedition Encounter","","Can be used in a personal Map Device to add modifiers to a Map.",""
395,795,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Legion Encounter",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Legion Encounter","","Can be used in a personal Map Device to add modifiers to a Map.",""
396,796,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Legion Encounter\r\nEach Legion contains a War Hoard",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Legion Encounter","","Can be used in a personal Map Device to add modifiers to a Map.",""
397,797,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Legion Encounter\r\nEach Legion contains a War Hoard\r\nEach Legion is accompanied by a General",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Legion Encounter","","Can be used in a personal Map Device to add modifiers to a Map.",""
398,798,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 2 additional Legion Encounters\r\nEach Legion contains a War Hoard\r\nEach Legion is accompanied by a General",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Legion Encounter","","Can be used in a personal Map Device to add modifiers to a Map.",""
399,799,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains Metamorph Monsters",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains Metamorph Monsters","","Can be used in a personal Map Device to add modifiers to a Map.",""
400,800,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains Metamorph Monsters\r\nMetamorph Bosses which drop an Itemised Sample drop an additional Itemised Sample",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains Metamorph Monsters","","Can be used in a personal Map Device to add modifiers to a Map.",""
401,801,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains Metamorph Monsters\r\nMetamorph Bosses which drop an Itemised Sample drop an additional Itemised Sample\r\nAll Metamorph Monsters have Rewards",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains Metamorph Monsters","","Can be used in a personal Map Device to add modifiers to a Map.",""
402,802,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains Metamorph Monsters\r\nMetamorph Bosses which drop an Itemised Sample drop two additional Itemised Samples\r\nAll Metamorph Monsters have Rewards",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains Metamorph Monsters","","Can be used in a personal Map Device to add modifiers to a Map.",""
403,803,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains a Blight Encounter",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains a Blight Encounter","","Can be used in a personal Map Device to add modifiers to a Map.",""
404,804,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains a Blight Encounter\r\nBlight Encounters contain an additional Blight Boss",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains a Blight Encounter","","Can be used in a personal Map Device to add modifiers to a Map.",""
405,805,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains a Blight Encounter\r\nBlight Encounters contain an additional Blight Boss\r\n50% chance for Blight Chests to contain an additional Reward",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains a Blight Encounter","","Can be used in a personal Map Device to add modifiers to a Map.",""
406,806,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains a Blight Encounter\r\nBlight Encounters contain an additional Blight Boss\r\n50% chance for Blight Chests to contain an additional Reward\r\nLanes of Blight Encounters in Areas have an additional Reward Chest",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains a Blight Encounter","","Can be used in a personal Map Device to add modifiers to a Map.",""
407,807,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Abyss",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Abyss","","Can be used in a personal Map Device to add modifiers to a Map.",""
408,808,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Abyss\r\nAbysses in Area spawn 50% increased Monsters",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Abyss","","Can be used in a personal Map Device to add modifiers to a Map.",""
409,809,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Abyss\r\nAbysses in Area spawn 50% increased Monsters\r\nAbysses in Area that do not lead to an Abyssal Depths lead to a Stygian Spire",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Abyss","","Can be used in a personal Map Device to add modifiers to a Map.",""
410,810,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 2 additional Abysses\r\nAbysses in Area spawn 50% increased Monsters\r\nAbysses in Area that do not lead to an Abyssal Depths lead to a Stygian Spire",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Abyss","","Can be used in a personal Map Device to add modifiers to a Map.",""
411,811,10,1,"open_blight_crafting","Right click this item to open the Instilling window.","","Can be combined with other [DistilledEmotion|Distilled Emotions] to Instil Amulets\nwith Notable Passive Skills or [Waystone|Waystones] with Layers of [ContainsDelirium|Delirium]",[],"","",[],[],5000,"<<xbox_button_x>>to open the Instilling window.",0,[],[],[],"","","","[DNT] Right Click this item to open the Instilling window.",""
412,812,10,1,"open_blight_crafting","Right click this item to open the Instilling window.","","Can be combined with other [DistilledEmotion|Distilled Emotions] to Instil Amulets\nwith Notable Passive Skills or [Waystone|Waystones] with Layers of [ContainsDelirium|Delirium]",[],"","",[],[],5000,"<<xbox_button_x>>to open the Instilling window.",0,[],[],[],"","","","[DNT] Right Click this item to open the Instilling window.",""
413,813,10,1,"open_blight_crafting","Right click this item to open the Instilling window.","","Can be combined with other [DistilledEmotion|Distilled Emotions] to Instil Amulets\nwith Notable Passive Skills or [Waystone|Waystones] with Layers of [ContainsDelirium|Delirium]",[],"","",[],[],5000,"<<xbox_button_x>>to open the Instilling window.",0,[],[],[],"","","","[DNT] Right Click this item to open the Instilling window.",""
414,814,10,1,"open_blight_crafting","Right click this item to open the Instilling window.","","Can be combined with other [DistilledEmotion|Distilled Emotions] to Instil Amulets\nwith Notable Passive Skills or [Waystone|Waystones] with Layers of [ContainsDelirium|Delirium]",[],"","",[],[],5000,"<<xbox_button_x>>to open the Instilling window.",0,[],[],[],"","","","[DNT] Right Click this item to open the Instilling window.",""
415,815,10,1,"open_blight_crafting","Right click this item to open the Instilling window.","","Can be combined with other [DistilledEmotion|Distilled Emotions] to Instil Amulets\nwith Notable Passive Skills or [Waystone|Waystones] with Layers of [ContainsDelirium|Delirium]",[],"","",[],[],5000,"<<xbox_button_x>>to open the Instilling window.",0,[],[],[],"","","","[DNT] Right Click this item to open the Instilling window.",""
416,816,10,1,"open_blight_crafting","Right click this item to open the Instilling window.","","Can be combined with other [DistilledEmotion|Distilled Emotions] to Instil Amulets\nwith Notable Passive Skills or [Waystone|Waystones] with Layers of [ContainsDelirium|Delirium]",[],"","",[],[],5000,"<<xbox_button_x>>to open the Instilling window.",0,[],[],[],"","","","[DNT] Right Click this item to open the Instilling window.",""
417,817,10,1,"open_blight_crafting","Right click this item to open the Instilling window.","","Can be combined with other [DistilledEmotion|Distilled Emotions] to Instil Amulets\nwith Notable Passive Skills or [Waystone|Waystones] with Layers of [ContainsDelirium|Delirium]",[],"","",[],[],5000,"<<xbox_button_x>>to open the Instilling window.",0,[],[],[],"","","","[DNT] Right Click this item to open the Instilling window.",""
418,818,10,1,"open_blight_crafting","Right click this item to open the Instilling window.","","Can be combined with other [DistilledEmotion|Distilled Emotions] to Instil Amulets\nwith Notable Passive Skills or [Waystone|Waystones] with Layers of [ContainsDelirium|Delirium]",[],"","",[],[],5000,"<<xbox_button_x>>to open the Instilling window.",0,[],[],[],"","","","[DNT] Right Click this item to open the Instilling window.",""
419,819,10,1,"open_blight_crafting","Right click this item to open the Instilling window.","","Can be combined with other [DistilledEmotion|Distilled Emotions] to Instil Amulets\nwith Notable Passive Skills or [Waystone|Waystones] with Layers of [ContainsDelirium|Delirium]",[],"","",[],[],5000,"<<xbox_button_x>>to open the Instilling window.",0,[],[],[],"","","","[DNT] Right Click this item to open the Instilling window.",""
420,820,10,1,"open_blight_crafting","Right click this item to open the Instilling window.","","Can be combined with other [DistilledEmotion|Distilled Emotions] to Instil Amulets\nwith Notable Passive Skills or [Waystone|Waystones] with Layers of [ContainsDelirium|Delirium]",[],"","",[],[],5000,"<<xbox_button_x>>to open the Instilling window.",0,[],[],[],"","","","[DNT] Right Click this item to open the Instilling window.",""
421,183,10,2,"add_jewellery_quality","Right click this item then left click a ring or amulet to apply it. The maximum quality is 20%.","","Adds [Quality|quality] that enhances Life modifiers on a ring or amulet\r\nReplaces other quality types",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a ring or amulet to apply it. The maximum quality is 20%.",0,[],[],[],"","","","Drag this item onto a ring or amulet to apply it. The maximum quality is 20%.",""
422,184,10,2,"add_jewellery_quality","Right click this item then left click a ring or amulet to apply it. The maximum quality is 20%.","","Adds [Quality|quality] that enhances Mana modifiers on a ring or amulet\r\nReplaces other quality types",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a ring or amulet to apply it. The maximum quality is 20%.",0,[],[],[],"","","","Drag this item onto a ring or amulet to apply it. The maximum quality is 20%.",""
423,185,10,2,"add_jewellery_quality","Right click this item then left click a ring or amulet to apply it. The maximum quality is 20%.","","Adds [Quality|quality] that enhances [Defences|Defence] modifiers on a ring or amulet\r\nReplaces other quality types",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a ring or amulet to apply it. The maximum quality is 20%.",0,[],[],[],"","","","Drag this item onto a ring or amulet to apply it. The maximum quality is 20%.",""
424,186,10,2,"add_jewellery_quality","Right click this item then left click a ring or amulet to apply it. The maximum quality is 20%.","","Adds [Quality|quality] that enhances [Physical] modifiers on a ring or amulet\r\nReplaces other quality types",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a ring or amulet to apply it. The maximum quality is 20%.",0,[],[],[],"","","","Drag this item onto a ring or amulet to apply it. The maximum quality is 20%.",""
