"rownum","Id","Types","ExtraMods","TypesFiltered","DaemonSpawningData","PreviousTier","bool_80","Radius","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","HASH16","TypesExtra","MonsterTypesApplyingRuin","MiscAnimated","BuffTemplates","Tier","i32_161","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","MonsterSpawners","bool_189","Achievements","TextAudio","UniqueMapMod"
33,"RevenantDaemon4","[15,22,26]",[],[14],57,32,"",0,"Stalking Ruin IV","Ruine persécutrice IV","Drohendes Verderben IV","付き纏う崩壊 IV","뒤를 쫓는 파탄 IV","Ruína Perseguidora IV","Крадущаяся гибель IV","Ruina acechante IV","ความย่อยยับที่ย่องตาม ระดับ 4","毀滅迷蹤 IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Revenant",49847,[],0,5296,[],4,1,"An invulnerable shade stalks you, aggressively casting Spells that inflict Ruin while teleporting to random locations\r\nFail on reaching 7 Ruin","Une Apparition invulnérable vous pourchasse.\r\nCette Apparition se téléporte à des emplacements aléatoires et lance aggressivement des Sorts infligeant 1 de Ruine.\r\nSi vous atteignez 7 de Ruine, vous échouez l'Ultimatum.","Euch verfolgt ein unverwundbarer Schatten, der aggressiv Zauber wirkt, die Verderben verursachen, während er sich zu zufälligen Zielorten teleportiert\r\nIhr scheitert beim Erreichen von 7 Verderben","崩壊を付与するスペルを盛んにキャストする不死身のシェードストーカーがランダムな位置にテレポートしながらプレイヤーを追跡する\r\n崩壊が7に達するとアルティメイタムに失敗する","무적 상태의 그림자가 당신을 따라다닙니다. 그림자는 파탄을 유발하는 주문을 공격적으로 시전하며 무작위 위치로 순간이동합니다.\r\n파탄이 7중첩 시 실패합니다.","Uma sombra invulnerável o persegue, conjurando Magias agressivamente, infligindo Ruína enquanto teleporta para locais aleatórios\r\nFalha ao atingir 7 Ruínas","Вас преследует неуязвимая тень, агрессивно сотворяющая чары, которые накладывают Гибель, и телепортирующаяся в случайные места\r\nПоражение при достижении 7 эффектов Гибели","Te acecha una sombra invulnerable que lanza hechizos que aplican Ruina de forma agresiva mientras se teletransporta a ubicaciones aleatorias\r\nFallas si alcanzas 7 de Ruina","วิญญาณ​อมตะ จะ​แอบ​ย่อง​ตาม​คุณ มัน​จะ​ร่าย เวท ที่​สร้าง​สถานะ ย่อยยับ อย่าง​เกรี้ยว​กราด​พร้อม​เทเลพอร์ต​ไป​ยัง​ตำแหน่ง​แบบ​สุ่ม\r\nการ​เผชิญหน้า​ล้มเหลว เมื่อ​ติด​สถานะ ย่อยยับ 7 ระดับ","一個無敵的陰影跟隨你，隨機傳送位置時，積極施放法術造成毀滅\r\n到達 10 毀滅時失效",[],"",[],16738,32309
34,"SawbladeDaemon1",[16],[],[],58,"","",0,"Razor Dance","Danse des lames","Messertanz","剃刀の舞","면도날 춤","Dança da Navalha","Танец лезвий","Baile de cuchillas","เลื่อยโลดแล่น ระดับ 1","飛刃舞步","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Sawblade",7052,[],0,5484,[],1,0,"Blades will periodically appear and fly at you, applying Corrupted Blood on Hit","Des lames apparaissent à intervalles réguliers.\r\nCes lames s'en prennent à vous et infligent Sang corrompu si elles vous touchent.","Es erscheinen regelmäßig Klingen, die auf Euch zufliegen und bei Treffer Verderbtes Blut anwenden","ヒット時に汚染された血を付与する刃が定期的に出現しプレイヤーに向かって飛ぶ","칼날이 주기적으로 나타나 당신을 향해 날아가며, 명중 시 타락한 피를 적용합니다.","Lâminas serão disparadas periodicamente e voarão até você, aplicando Sangue Corrompido ao Acertar","В вас периодически будут выпускаться лезвия, накладывающие Осквернённую кровь при нанесении удара","Periódicamente aparecerán unas cuchillas que volarán hacia ti y aplicarán Sangre corrupta con cada golpe","เลื่อย จะ​ปรากฏ​เป็น​ระยะ​และ​พุ่ง​เข้าหา​คุณ สร้าง​สถานะ โลหิต​มลทิน เมื่อ​ปะทะ","刀刃持續出現並向你發射，擊中時造成腐化之血",[],"",[7830],11317,32310
35,"SawbladeDaemon2",[16],[],[],59,34,"",0,"Razor Dance II","Danse des lames II","Messertanz II","剃刀の舞 II","면도날 춤 II","Dança da Navalha II","Танец лезвий II","Baile de cuchillas II","เลื่อยโลดแล่น ระดับ 2","飛刃舞步 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Sawblade",45148,[],0,5484,[],2,0,"Many blades will periodically appear and fly at you, applying Corrupted Blood on Hit","De nombreuses lames apparaissent à intervalles réguliers.\r\nCes lames s'en prennent à vous et infligent Sang corrompu si elles vous touchent.","Es erscheinen regelmäßig viele Klingen, die auf Euch zufliegen und bei Treffer Verderbtes Blut anwenden","ヒット時に汚染された血を付与する複数の刃が定期的に出現しプレイヤーに向かって飛ぶ","많은 칼날이 주기적으로 나타나 당신을 향해 날아가며, 명중 시 타락한 피를 적용합니다.","Várias Lâminas serão disparadas periodicamente e voarão até você, aplicando Sangue Corrompido ao Acertar","В вас периодически будет выпускаться множество лезвий, накладывающих Осквернённую кровь при нанесении удара","Periódicamente aparecerán muchas cuchillas que volarán hacia ti y aplicarán Sangre corrupta con cada golpe","เลื่อย​จำนวน​มาก จะ​ปรากฏ​เป็น​ระยะ​และ​พุ่ง​เข้าหา​คุณ สร้าง​สถานะ โลหิต​มลทิน เมื่อ​ปะทะ","許多刀刃持續出現並向你發射，擊中時造成腐化之血",[],"",[7830],11320,32310
36,"SawbladeDaemon3",[16],[],[],60,35,"",0,"Razor Dance III","Danse des lames III","Messertanz III","剃刀の舞 III","면도날 춤 III","Dança da Navalha III","Танец лезвий III","Baile de cuchillas III","เลื่อยโลดแล่น ระดับ 3","飛刃舞步 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Sawblade",22941,[],0,5484,[],3,0,"Swarms of blades will periodically appear and fly at you, applying Corrupted Blood on Hit","Des nuées de lames apparaissent à intervalles réguliers.\r\nCes lames s'en prennent à vous et infligent Sang corrompu si elles vous touchent.","Es erscheinen regelmäßig Schwärme von Klingen, die auf Euch zufliegen und bei Treffer Verderbtes Blut anwenden","ヒット時に汚染された血を付与する無数の刃が定期的に出現しプレイヤーに向かって飛ぶ","더욱 많은 칼날이 주기적으로 나타나 당신을 향해 날아가며, 명중 시 타락한 피를 적용합니다.","Enxames de Lâminas serão disparadas periodicamente e voarão até você, aplicando Sangue Corrompido ao Acertar","В вас периодически будут выпускаться тучи лезвий, накладывающих Осквернённую кровь при нанесении удара","Periódicamente aparecerán unos aluviones de cuchillas que volarán hacia ti y aplicarán Sangre corrupta con cada golpe","เลื่อย​จำนวน​มหาศาล จะ​ปรากฏ​เป็น​ระยะ และ​พุ่ง​เข้าหา​คุณ สร้าง​สถานะ โลหิต​มลทิน เมื่อ​ปะทะ","更多刀刃持續出現並向你發射，擊中時造成腐化之血",[],"","[7900,7830]",11323,32310
37,"SawbladeDaemon4",[16],[],[],61,36,"",0,"Razor Dance IV","Danse des lames IV","Messertanz IV","剃刀の舞 IV","면도날 춤 IV","Dança da Navalha IV","Танец лезвий IV","Baile de cuchillas IV","เลื่อยโลดแล่น ระดับ 4","飛刃舞步 IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Sawblade",15044,[],0,5484,[],4,0,"Swarms of blades will periodically appear and fly at you, applying Corrupted Blood on Hit and leaving a trail of Blood ground","Des nuées de lames apparaissent à intervalles réguliers.\r\nCes lames s'en prennent à vous et infligent Sang corrompu si elles vous touchent, puis laissent une traînée de Sol ensanglanté.","Es erscheinen regelmäßig Schwärme von Klingen, die auf Euch zufliegen und bei Treffer Verderbtes Blut anwenden und eine Spur aus blutigem Boden hinterlassen","ヒット時に汚染された血を付与し、血の領域を軌跡に残す無数の刃が定期的に出現しプレイヤーに向かって飛ぶ","더욱 많은 칼날이 주기적으로 나타나 당신을 향해 날아가며, 명중 시 타락한 피를 적용하고 지나간 자리에 피의 대지를 남깁니다.","Enxames de Lâminas serão disparadas periodicamente e voarão até você, aplicando Sangue Corrompido ao Acertar e deixando um rastro de Sangue no chão","В вас периодически будут выпускаться тучи лезвий, накладывающих Осквернённую кровь при нанесении удара и оставляющих след из кровавой земли","Periódicamente aparecerán unos aluviones de cuchillas que volarán hacia ti, aplicarán Sangre corrupta con cada golpe y dejarán un rastro de suelo ensangrentado","เลื่อย​จำนวน​มหาศาล จะ​ปรากฏ​เป็น​ระยะ และ​พุ่ง​เข้าหา​คุณ สร้าง​สถานะ โลหิต​มลทิน เมื่อ​ปะทะ​และ​ทิ้ง พื้นเลือด ไว้​เป็น​ทาง","更多刀刃持續出現並向你發射，擊中時造成腐化之血並留下一道鮮血地面",[],"",[],16744,32310
38,"PhysTotemDaemon","[17,19,8]",[],[18],62,"","",0,"Totem of Costly Might","Totem de Puissance destructrice","Totem der zwiespältigen Macht","高価な力のトーテム","완력의 대가 토템","Totem do Poder Suntuoso","Тотем дорогостоящей силы","Tótem de poder costoso","โทเทมแห่งความเกรียงไกรอันแสนแพง","耗力圖騰","Art/2DArt/UIImages/InGame/Ultimatum/Icons/PhysicalTotem",8887,[],0,5296,[],1,0,"An invulnerable Totem will appear that imbues both its allies and its enemies with Speed and powerful Physical Damage benefits, but causes enemies to take 10% of their maximum Life and Energy Shield as Physical Damage per second","Un Totem invulnérable apparaît.\r\nCe Totem applique un bonus de Vitesse et un puissant bonus de Dégâts physiques à ses alliés et à ses ennemis.\r\nCependant, ses ennemis subissent chaque seconde des Dégâts physiques équivalents à 10% de leur Vie et leur Bouclier d'énergie maximaux.","Es erscheint ein unverwundbares Totem, das Verbündete und Gegner mit Geschwindigkeit und physischem Schaden verstärkt, aber bewirkt, dass Gegner 10% ihres maximalen Lebens und Energieschilds als physischen Schaden pro Sekunde erleiden","不死身のトーテムが出現しその味方および敵にスピードおよび強力な物理ダメージを付与するが、敵はその最大ライフおよびエナジーシールドの10％を毎秒火ダメージとして受ける","무적의 토템이 나타납니다. 토템은 자신의 아군과 적 모두에게 속도와 강력한 물리 피해 혜택을 부여하지만, 적에게는 1초마다 적의 최대 생명력과 최대 에너지 보호막의 10%를 물리 피해로 줍니다.","Um Totem invulnerável aparecerá e imbuirá tanto aliados quanto inimigos com Velocidade e poderosos benefícios de Dano Físico, mas faz com que os inimigos sofram 10% de suas Vidas e Escudo de Energia máximos como Dano Físico por segundo","Появится неуязвимый тотем, который ускоряет союзников и врагов и наделяет тех и других мощными преимуществами физического урона, но заставляет врагов получать 10% от их максимума здоровья и энергетического щита в виде физического урона в секунду","Aparecerá un tótem invulnerable que imbuirá tanto a sus aliados como a sus enemigos con velocidad y beneficios poderosos para el daño físico, pero causará que los enemigos reciban un 10% de su vida y escudo de energía máximos como daño físico por segundo","โทเทม​อมตะ จะ​ปรากฏ ซึ่ง​จะ​เพิ่ม ความเร็ว และ​ความ​เสียหาย กายภาพ อัน​ทรงพลัง​ให้​กับ​เพื่อน​และ​ศัตรู​ของ​มัน แต่​ทำให้​ศัตรู​ได้​รับ​ความ​เสียหาย กายภาพ ต่อ​วินาที เท่ากับ 10% ของ พลังชีวิต​และ​โล่พลังงาน​สูงสุด​ของ​มัน","無敵的圖騰增強友方和敵人，更快速和強力的物理傷害加成，但使敵人每秒承受 10% 他們最大生命和能量護盾的物理傷害",[],"",[7831],11314,32311
39,"EleTotemDaemon","[18,19,8]",[],[17],63,"","",0,"Totem of Costly Potency","Totem d'Énergie destructrice","Totem der zwiespältigen Kraft","高価な効能のトーテム","잠재력의 대가 토템","Totem da Potência Suntuosa","Тотем дорогостоящего могущества","Tótem de potencia costosa","โทเทมแห่งศักยภาพอันแสนแพง","耗能圖騰","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ElementalTotem",58910,[],0,5296,[],1,0,"An invulnerable Totem will appear that imbues both its allies and its enemies with Speed and powerful Elemental Damage benefits, but causes enemies to take 15% of their maximum Life and Energy Shield as Fire Damage per second","Un Totem invulnérable apparaît.\r\nCe Totem applique un bonus de Vitesse et un puissant bonus de Dégâts élémentaires à ses alliés et à ses ennemis.\r\nCependant, ses ennemis subissent chaque seconde des Dégâts de feu équivalents à 15% de leur Vie et leur Bouclier d'énergie maximaux.","Es erscheint ein unverwundbares Totem, das Verbündete und Gegner mit Geschwindigkeit und Elementarschaden verstärkt, aber bewirkt, dass Gegner 15% ihres maximalen Lebens und Energieschilds als Feuerschaden pro Sekunde erleiden","不死身のトーテムが出現しその味方および敵にスピードおよび強力な元素ダメージを付与するが、敵はその最大ライフおよびエナジーシールドの15％を毎秒火ダメージとして受ける","무적의 토템이 나타납니다. 토템은 자신의 아군과 적 모두에게 속도와 강력한 원소 피해 혜택을 부여하지만, 적에게는 1초마다 적의 최대 생명력과 최대 에너지 보호막의 15%를 화염 피해로 줍니다.","Um Totem invulnerável aparecerá e imbuirá tanto aliados quanto inimigos com Velocidade e poderosos benefícios de Dano Físico, mas faz com que os inimigos sofram 15% de suas Vidas e Escudo de Energia máximos como Dano Físico por segundo","Появится неуязвимый тотем, который ускоряет союзников и врагов и наделяет тех и других мощными преимуществами стихийного урона, но заставляет врагов получать 15% от их максимума здоровья и энергетического щита в виде урона от огня в секунду","Aparecerá un tótem invulnerable que imbuirá tanto a sus aliados como a sus enemigos con velocidad y beneficios poderosos para el daño elemental, pero causará que los enemigos reciban un 15% de su vida y escudo de energía máximos como daño de fuego por segundo","โทเทม​อมตะ จะ​ปรากฏ ซึ่ง​จะ​เพิ่ม ความเร็ว และ​ความ​เสียหาย ธาตุ อัน​ทรงพลัง​ให้​กับ​เพื่อน​และ​ศัตรู​ของ​มัน แต่​ทำให้​ศัตรู​ได้รับ​ความ​เสียหาย ไฟ ต่อ​วินาที เท่ากับ 15% ของ พลังชีวิต​และ​โล่พลังงาน​สูงสุด​ของ​มัน","無敵的圖騰增強友方和敵人，更快速和強力的元素傷害加成，但使敵人每秒承受 15% 他們最大生命和能量護盾的物理傷害",[],"",[7832],11293,32312
40,"AltarDaemon1",[27],[],[],64,"","",0,"Blood Altar","Autel du Sang","Blutaltar","血の祭壇","피의 제단","Altar Sangrento","Алтарь крови","Altar de sangre","แท่นโลหิต ระดับ 1","血腥神壇","Art/2DArt/UIImages/InGame/Ultimatum/Icons/BloodAltar",50169,[],0,5484,[],1,0,"A ring of Blood surrounds the Altar, dealing heavy Physical Damage over time","Un cercle de Sang entoure l'Autel, infligeant de lourds Dégâts physiques sur la durée.","Ein Ring aus Blut umgibt den Altar und verursacht schweren physischen Schaden über Zeit","血の環が祭壇を囲み、強力な物理継続ダメージを与える","피의 고리가 제단을 둘러싸 큰 물리 지속 피해를 줍니다.","Um círculo de Sangue envolve o Altar, causando um alto Dano Físico Degenerativo","Алтарь окружает кольцо крови, наносящее большой постепенный физический урон","Un anillo de sangre rodea el altar e inflige mucho daño físico degenerativo","วงแหวน​โลหิต ล้อม​รอบ​แท่น สร้าง​ความ​เสียหาย กายภาพ ต่อเนื่อง​อย่าง​หนัก","神壇被一圈鮮血圍繞，造成大量物理持續傷害",[],"",[],16756,""
41,"AltarDaemon2",[27],[],[],65,40,"",0,"Blood Altar II","Autel du Sang II","Blutaltar II","血の祭壇 II","피의 제단 II","Altar Sangrento II","Алтарь крови II","Altar de sangre II","แท่นโลหิต ระดับ 2","血腥神壇 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/BloodAltar",16245,[],0,5484,[],2,0,"A large ring of Blood surrounds the Altar, dealing heavy Physical Damage over time","Un grand cercle de Sang entoure l'Autel, infligeant de lourds Dégâts physiques sur la durée.","Ein großer Ring aus Blut umgibt den Altar und verursacht schweren physischen Schaden über Zeit","血の巨大な環が祭壇を囲み、強力な物理継続ダメージを与える","커다란 피의 고리가 제단을 둘러싸 큰 물리 지속 피해를 줍니다.","Um grande círculo de Sangue envolve o Altar, causando um alto Dano Físico Degenerativo","Алтарь окружает большое кольцо крови, наносящее большой постепенный физический урон","Un gran anillo de sangre rodea el altar e inflige mucho daño físico degenerativo","วงแหวน​โลหิต​ขนาด​ใหญ่ ล้อม​รอบ​แท่น สร้าง​ความ​เสียหาย กายภาพ ต่อเนื่อง​อย่าง​หนัก","神壇被一大圈鮮血圍繞，造成大量物理持續傷害",[],"",[],16762,""
42,"BossTrialMaster",[7],[],[],"","","",0,"The Trialmaster","Le Maître des Épreuves","Der Prüfungsmeister","トライアルマスター","시련의 대가","O Mestre das Provações","Мастер испытаний","El Maestro de pruebas","ผู้คุมบททดสอบ","試煉大師","Art/2DArt/UIImages/InGame/Ultimatum/Icons/EncounterDaemonEffect",58468,[],0,"",[],1,0,"","","","","","","","","","",[],"",[],"",""
43,"Radius1",[6],[],[11],"","","",55,"Limited Arena","Arène réduite","Begrenzte Arena","制限された領域","투기장 면적 제한","Arena Limitada","Ограниченная арена","Arena reducida","ลานประลองที่ถูกจำกัด","受限競技場","Art/2DArt/UIImages/InGame/Ultimatum/Icons/CantLeaveArea",5539,[22],0,"",[],1,0,"The encounter area will be much smaller","Réduit considérablement la circonférence du cercle des Épreuves.","Die Arena der Begegnung ist viel kleiner","エンカウンターの範囲がより狭くなる","인카운터 영역이 훨씬 좁아집니다","A área do encontro é muito menor","Область схватки будет намного меньше","El área del encuentro será mucho más pequeña","พื้นที่​การ​เผชิญหน้า จะ​มี​ขนาด​เล็ก​ลง​มาก","事件區域更小",[],"",[7833],11335,""
44,"MonstersApplyRuin1","[2,26]",[],[],"","","",0,"Ruin","Ruine","Verderben","崩壊","파탄","Ruína","Гибель","Ruina","ย่อยยับ ระดับ 1","毀滅","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonsterAppliesRuin",21525,[10],1,"",[],1,1,"A Monster type will apply Ruin with its special ability\r\nFail on reaching 7 Ruin","Un type de monstre peut vous infliger 1 de Ruine grâce à sa compétence spéciale.\r\nSi vous atteignez 7 de Ruine, vous échouez l'Ultimatum.","Ein Monstertyp verursacht mit seiner besonderen Fähigkeit Verderben\r\nIhr scheitert beim Erreichen von 7 Verderben","1種類のモンスタータイプが特殊なアビリティにより崩壊を付与する\r\n崩壊が7に達するとアルティメイタムに失敗する","1개의 몬스터 유형이 특수 능력으로 파탄을 유발합니다.\r\n파탄이 7중첩 시 실패합니다.","Um tipo de Monstro aplicará Ruína com sua habilidade especial\r\nFalha ao atingir 7 de Ruína","Один вид монстров будет накладывать Гибель особой способностью\r\nПоражение при достижении 7 эффектов Гибели","Un tipo de monstruo aplicará Ruina con su habilidad especial\r\nFallas si alcanzas 7 de Ruina","มอนสเตอร์ 1 ชนิด​จะ​สร้าง​สถานะ ย่อยยับ ด้วย ความ​สามารถ​พิเศษ ของ​มัน\r\nการ​เผชิญหน้า​ล้มเหลว เมื่อ​ติด​สถานะ ย่อยยับ 7 ระดับ","一種怪物種類會用他的特殊能力造成毀滅\r\n到達 7 毀滅時失效",[],"",[7936],11134,""
45,"MonstersApplyRuin2","[2,26]",[],[],"",44,"",0,"Ruin II","Ruine II","Verderben II","崩壊 II","파탄 II","Ruína II","Гибель II","Ruina II","ย่อยยับ ระดับ 2","毀滅 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonsterAppliesRuin",24728,[10],1,"",[],2,2,"A Monster type will apply double Ruin with its special ability\r\nFail on reaching 7 Ruin","Un type de monstre peut vous infliger 2 de Ruine grâce à sa compétence spéciale.\r\nSi vous atteignez 7 de Ruine, vous échouez l'Ultimatum.","Ein Monstertyp verursacht mit seiner besonderen Fähigkeit doppeltes Verderben\r\nIhr scheitert beim Erreichen von 7 Verderben","1種類のモンスタータイプが特殊なアビリティにより崩壊を2倍付与する\r\n崩壊が7に達するとアルティメイタムに失敗する","1개의 몬스터 유형이 특수 능력으로 파탄을 2배 유발합니다.\r\n파탄이 7중첩 시 실패합니다.","Um tipo de Monstro aplicará Ruína dobrada com sua habilidade especial\r\nFalha ao atingir 7 de Ruína","Один вид монстров будет накладывать двойной эффект Гибели особой способностью\r\nПоражение при достижении 7 эффектов Гибели","Un tipo de monstruo aplicará el doble de Ruina con su habilidad especial\r\nFallas si alcanzas 7 de ruina","มอนสเตอร์ 1 ชนิด​จะ​สร้าง​สถานะ ย่อยยับ 2 ระดับ ด้วย ความ​สามารถ​พิเศษ ของ​มัน\r\nการ​เผชิญหน้า​ล้มเหลว เมื่อ​ติด​สถานะ ย่อยยับ 7 ระดับ","一種怪物種類會用他的特殊能力造成雙倍毀滅\r\n到達 7 毀滅時失效",[],"",[7936],11140,""
46,"MonstersApplyRuin3","[2,26]",[],[],"",45,"",0,"Ruin III","Ruine III","Verderben III","崩壊 III","파탄 III","Ruína III","Гибель III","Ruina III","ย่อยยับ ระดับ 3","毀滅 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonsterAppliesRuin",35694,[10],2,"",[],3,2,"Two Monster types will apply double Ruin with their special abilities\r\nFail on reaching 7 Ruin","Deux types de monstres peuvent vous infliger 2 de Ruine grâce à leur compétence spéciale.\r\nSi vous atteignez 7 de Ruine, vous échouez l'Ultimatum.","Zwei Monstertypen verursachen mit ihrer besonderen Fähigkeit doppeltes Verderben\r\nIhr scheitert beim Erreichen von 7 Verderben","2種類のモンスタータイプが特殊なアビリティにより崩壊を2倍付与する\r\n崩壊が7に達するとアルティメイタムに失敗する","2개의 몬스터 유형이 특수 능력으로 파탄을 2배 유발합니다.\r\n파탄이 7이 되면 실패합니다.","Dois tipos de Monstros aplicará Ruína dobrada com sua habilidade especial\r\nFalha ao atingir 7 de Ruína","Два вида монстров будут накладывать двойной эффект Гибели особыми способностями\r\nПоражение при достижении 7 эффектов Гибели","Dos tipos de monstruos aplicarán el doble de Ruina con sus habilidades especiales\r\nFallas si alcanzas 7 de ruina","มอนสเตอร์ 2 ชนิด​จะ​สร้าง​สถานะ ย่อยยับ 2 ระดับ ด้วย ความ​สามารถ​พิเศษ ของ​พวก​มัน\r\nการ​เผชิญหน้า​ล้มเหลว เมื่อ​ติด​สถานะ ย่อยยับ 7 ระดับ","兩種怪物種類會用他的特殊能力造成雙倍毀滅\r\n到達 7 毀滅時失效",[],"","[7901,7936]",11146,""
47,"MonstersApplyRuin4","[2,26]",[],[],"",46,"",0,"Ruin IV","Ruine IV","Verderben IV","崩壊 IV","파탄 IV","Ruína IV","Гибель IV","Ruina IV","ย่อยยับ ระดับ 4","毀滅 IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonsterAppliesRuin",60794,[10],2,"",[],4,4,"Two Monster types will apply quadruple Ruin with their special abilities\r\nFail on reaching 7 Ruin","Deux types de monstres peuvent vous infliger 4 de Ruine grâce à leur compétence spéciale.\r\nSi vous atteignez 7 de Ruine, vous échouez l'Ultimatum.","Zwei Monstertypen verursachen mit ihrer besonderen Fähigkeit vierfaches Verderben\r\nIhr scheitert beim Erreichen von 7 Verderben","2種類のモンスタータイプが特殊なアビリティにより崩壊を4倍付与する\r\n崩壊が7に達するとアルティメイタムに失敗する","2개의 몬스터 유형이 특수 능력으로 파탄을 4배 유발합니다.\r\n파탄이 7중첩 시 실패합니다.","Dois Tipos de Monstros aplicarão o qudruplo de Ruína com suas habilidades especiais\r\nFalha ao atingir 7 de Ruínan","Два вида монстров будут накладывать учетверённый эффект Гибели особыми способностями\r\nПоражение при достижении 7 эффектов Гибели","Dos tipos de monstruos aplicarán cuatro veces más de Ruina con sus habilidades especiales\r\nFallas si alcanzas 7 de ruina","มอนสเตอร์ 2 ชนิด​จะ​สร้าง​สถานะ ย่อยยับ 4 ระดับ ด้วย ความ​สามารถ​พิเศษ ของ​พวก​มัน\r\nการ​เผชิญหน้า​ล้มเหลว เมื่อ​ติด​สถานะ ย่อยยับ 7 ระดับ","兩種怪物種類會用他的特殊能力造成四倍毀滅\r\n到達 7 毀滅時失效",[],"",[],16750,""
48,"PlayerDebuffRecoveryReduction1",[8],[],[],"","","",0,"Reduced Recovery","Récupération réduite","Verringerte Wiederherstellung","回復低下","회복 감소","Recuperação Reduzida","Уменьшенное восстановление","Recuperación reducida","ลดการเติม ระดับ 1","減少回復","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedRecovery",5772,[],0,"",[0],1,0,"60% Reduced Life, Mana, and Energy Shield Recovery Rate","60% de Réduction du Taux de Récupération de Vie, de Mana et de Bouclier d'énergie.","60% verringerte Wiederherstellungsrate von Leben, Mana und Energieschild","ライフ、マナおよびエナジーシールドの回復レートが60%減少する","생명력, 마나, 에너지 보호막 회복 속도가 60% 감소합니다.","Recuperação de Vida, Mana e Escudo de Energia Reduzidas em 60%","60% снижение скорости восстановления здоровья, маны и энергетического щита","Velocidades de recuperación de vida, maná y escudo de energía reducidas un 60%","ลด​อัตราการ เติม พลังชีวิต, มานา, โล่พลังงาน 60%","減少 60% 生命、魔力和能量護盾回復率",[],"",[7834],11353,32313
49,"PlayerDebuffRecoveryReduction2",[8],[],[],"",48,"",0,"Reduced Recovery II","Récupération réduite II","Verringerte Wiederherstellung II","回復低下 II","회복 감소 II","Recuperação Reduzida II","Уменьшенное восстановление II","Recuperación reducida II","ลดการเติม ระดับ 2","減少回復 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedRecovery",37639,[],0,"",[46],2,0,"90% Reduced Life, Mana, and Energy Shield Recovery Rate","90% de Réduction du Taux de Récupération de Vie, de Mana et de Bouclier d'énergie.","90% verringerte Wiederherstellungsrate von Leben, Mana und Energieschild","ライフ、マナおよびエナジーシールドの回復レートが90%減少する","생명력, 마나, 에너지 보호막 회복 속도가 90% 감소합니다.","Recuperação de Vida, Mana e Escudo de Energia Reduzidas em 90%","90% снижение скорости восстановления здоровья, маны и энергетического щита","Velocidades de recuperación de vida, maná y escudo de energía reducidas un 90%","ลด​อัตราการ เติม พลังชีวิต, มานา, โล่พลังงาน 90%","減少 90% 生命、魔力和能量護盾回復率",[],"",[7834],11356,""
50,"PlayerDebuffAreaAndProjectileSpeed","[8,20]",[],[20],"","","",0,"Lessened Reach","Portée écourtée","Verringerte Reichweite","影響範囲減少","거리 감폭","Alcance Reduzido","Уменьшение досягаемости","Alcance disminuido","ด้อยระยะ","縮小範圍","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LessenedReach",50320,[],0,"",[1],1,0,"Players have 60% less Area of Effect and Projectile Speed","Les joueurs ont 60% de Perte de Zone d'effet et de Vitesse des projectiles.","Spieler haben 60% weniger Wirkungsbereich und Projektilgeschwindigkeit","プレイヤーの効果範囲および投射物速度が60%低下する","플레이어의 효과 범위와 투사체 속도가 60% 감폭됩니다.","Jogadores têm 60% menos Área de Efeito e Velocidade de Projétil","Область действия и скорость снарядов игроков уменьшены на 60%","Los jugadores tienen un 60% menos de área de efecto y velocidad de proyectiles","ผู้เล่น มี​พื้นที่​ส่ง​ผล​และ​ความเร็ว​โพรเจกไทล์ ลดลง 60%","玩家有 60% 更少範圍效果和投射物速度",[],"",[7835],11377,32314
