"rownum","Id","i32_8","i32_12","i32_16","Stat","StatValues","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","SupportFamily","HASH16","GemIcon","Variant"
156,"IncreasedProjSpeedHigh",0,0,0,[175],[40],"Greater Faster Projectiles","Vitesse des projectiles majeure","Größere schnellere Projektile","投射物高速化（大）","상위 투사체 속도 증가","Projéteis Rápidos Maior","Большое ускорение снарядов","Proyectiles rápidos mayores","Greater Faster Projectiles","高階投射物加速",32,14517,"Art/2DItems/Gems/Support/FasterProjectiles.dds",3
157,"PhysGainAsChaosMid",0,0,0,[449],[15],"Physical as Extra Chaos","Dégâts physiques sous forme de Dégâts de chaos","Physischer als extra Chaos","物理の一部を追加混沌","물리를 추가 카오스로 전환","Físico como Caos Adicional","Физический урон в виде урона хаосом","Físico como caos extra","Physical as Extra Chaos","物理轉化為額外混沌",33,51009,"Art/2DItems/Gems/Support/MercSilverDexIntSupportGem.dds",2
158,"PhysGainAsChaosHigh",0,0,0,[449],[30],"Greater Physical as Extra Chaos","Dégâts physiques sous forme de Dégâts de chaos majeurs","Größerer physischer als extra Chaos","物理の一部を追加混沌（大）","상위 물리를 추가 카오스로 전환","Físico como Caos Adicional Maior","Большой физический урон в виде урона хаосом","Físico como caos extra mayor","Greater Physical as Extra Chaos","高階物理轉化為額外混沌",33,58214,"Art/2DItems/Gems/Support/MercSilverDexIntSupportGem.dds",3
159,"AddedCooldownCountHigh",0,0,0,[11610],[1],"Second Wind","Second souffle","Zweite Luft","セカンドウィンド","새로운 활력","Fôlego Adicional","Второе дыхание","Segundo aliento","Second Wind","恢復","",50475,"Art/2DItems/Gems/Support/SecondWindSupport.dds",3
160,"AltEssenceDrainSpecificLeechHigh",0,0,0,[3699],[3000],"Gilded Additional Leech","Drain supplémentaire doré","Goldener zusätzlicher Raub","金色の追加リーチ","도금된 추가 흡수","Roubar Adicional Áureo","Позолоченный: Дополнительное похищение","Absorción adicional dorada","Gilded Additional Leech","鍍金額外偷取","",56511,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
161,"WitheringStepSpecificWitherStacksHigh",0,0,0,[10092],[5],"Gilded Wither Stacks","Cumuls de Flétrissure dorés","Goldene Verkümmerungsstapel","金色の衰弱スタック","도금된 위축 중첩","Instâncias de Definhar Áureas","Позолоченный: Заряды истощения","Acumulaciones de marchitamiento doradas","Gilded Wither Stacks","鍍金凋零疊層","",55952,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
162,"FlameblastSpecificStagesHigh",0,0,0,[12988],[3],"Gilded Maximum Stages","Paliers maximaux dorés","Goldene maximale Phasen","金色の最大ステージ","도금된 최대 단계","Estágios Máximos Áureos","Позолоченный: Максимум стадий","Fases máximas doradas","Gilded Maximum Stages","鍍金疊層上限","",48614,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
163,"BodySwapSpecificDamageFromLifeHigh",0,0,0,[6844],[2],"Gilded Damage from Life","Dégâts depuis la Vie dorés","Goldener Schaden von Leben","金色のライフからのダメージ","도금된 생명력에서 피해","Dano de Vida Áureo","Позолоченный: Урон от здоровья","Daño de la vida dorado","Gilded Damage from Life","鍍金生命傷害","",9300,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
164,"BrutalityLow",0,0,0,"[4910,1711,6141]","[1,1,15]","Lesser Brutality","Brutalité mineure","Geringere Brutalität","ブルータリティ（小）","하위 포악함","Brutalidade Menor","Малая жестокость","Brutalidad menor","Lesser Brutality","低階野性殘暴",34,55807,"Art/2DItems/Gems/Support/Brutality.dds",1
165,"BrutalityMid",0,0,0,"[4910,1711,6141]","[1,1,20]","Brutality","Brutalité","Brutalität","ブルータリティ","포악함","Brutalidade","Жестокость","Brutalidad","Brutality","野性殘暴",34,64271,"Art/2DItems/Gems/Support/Brutality.dds",2
166,"BrutalityHigh",0,0,0,"[4910,1711,6141]","[1,1,30]","Greater Brutality","Brutalité majeure","Größere Brutalität","ブルータリティ（大）","상위 포악함","Brutalidade Maior","Большая жестокость","Brutalidad mayor","Greater Brutality","高階野性殘暴",34,59345,"Art/2DItems/Gems/Support/Brutality.dds",3
167,"VaalDoubleStrikeSpecificCloneSpeedHigh",0,0,0,[7780],[40],"Gilded Clone Speed","Vitesse des Clones dorée","Goldene Klongeschwindigkeit","金色のクローンスピード","도금된 분신 속도","Velocidade de Clone Áurea","Позолоченный: Скорость двойников","Velocidad de clones dorada","Gilded Clone Speed","鍍金複製體速度","",56315,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
168,"EleFocusLow",0,0,0,"[3899,2754]","[15,1]","Lesser Elemental Focus","Focalisation élémentaire mineure","Geringerer Elementarfokus","元素ダメージ集中（小）","하위 원소 집중","Foco Elemental Menor","Малая концентрация стихий","Concentración elemental menor","Lesser Elemental Focus","低階元素專注",35,30359,"Art/2DItems/Gems/Support/ElementalFocus.dds",1
169,"EleFocusMid",0,0,0,"[3899,2754]","[20,1]","Elemental Focus","Focalisation élémentaire","Elementarfokus","元素ダメージ集中","원소 집중","Foco Elemental","Концентрация стихий","Concentración elemental","Elemental Focus","元素專注",35,37388,"Art/2DItems/Gems/Support/ElementalFocus.dds",2
170,"EleFocusHigh",0,0,0,"[3899,2754]","[30,1]","Greater Elemental Focus","Focalisation élémentaire majeure","Größerer Elementarfokus","元素ダメージ集中（大）","상위 원소 집중","Foco Elemental Maior","Большая концентрация стихий","Concentración elemental mayor","Greater Elemental Focus","高階元素專注",35,31600,"Art/2DItems/Gems/Support/ElementalFocus.dds",3
171,"PierceLow",0,0,0,[6234],[1],"Lesser Pierce","Transpercement mineur","Geringeres Durchbohren","貫通（小）","하위 관통","Perfurar Menor","Малое пронзание","Perforar menor","Lesser Pierce","低階穿透",37,6040,"Art/2DItems/Gems/Support/Pierce.dds",1
172,"PierceMid",0,0,0,[6234],[3],"Pierce","Transpercement","Durchbohren","貫通","관통","Perfurar","Пронзание","Perforar","Pierce","穿透",37,56267,"Art/2DItems/Gems/Support/Pierce.dds",2
173,"PierceHigh",0,0,0,[6234],[5],"Greater Pierce","Transpercement majeur","Größeres Durchbohren","貫通（大）","상위 관통","Perfurar Maior","Большое пронзание","Perforar mayor","Greater Pierce","高階穿透",37,27970,"Art/2DItems/Gems/Support/Pierce.dds",3
174,"CritDamageLow",0,0,0,[95],[30],"Lesser Critical Damage","Dégâts des Critiques mineurs","Geringerer kritischer Schaden","クリティカルダメージ（小）","하위 치명타 피해","Dano Crítico Menor","Малый критический урон","Daño crítico menor","Lesser Critical Damage","低階暴擊傷害",36,30688,"Art/2DItems/Gems/Support/IncreasedCriticalDamage.dds",1
175,"CritDamageMid",0,0,0,[95],[45],"Critical Damage","Dégâts des Critiques","Kritischer Schaden","クリティカルダメージ","치명타 피해","Dano Crítico","Критический урон","Daño crítico","Critical Damage","暴擊傷害",36,32189,"Art/2DItems/Gems/Support/IncreasedCriticalDamage.dds",2
176,"CritDamageHigh",0,0,0,[95],[70],"Greater Critical Damage","Dégâts des Critiques majeurs","Größerer kritischer Schaden","クリティカルダメージ（大）","상위 치명타 피해","Dano Crítico Maior","Большой критический урон","Daño crítico mayor","Greater Critical Damage","高階暴擊傷害",36,55659,"Art/2DItems/Gems/Support/IncreasedCriticalDamage.dds",3
177,"MinionDamageLow",0,0,0,"[14536,2952]","[-25,15]","Lesser Minion Damage","Dégâts des Créatures mineurs","Geringerer Kreaturenschaden","ミニオンダメージ（小）","하위 소환수 피해:","Dano de Lacaio Menor","Малый урон приспешников","Daño de esbirros menor","Lesser Minion Damage","低階召喚物傷害",40,8821,"Art/2DItems/Gems/Support/MinionDamage.dds",1
178,"MinionDamageMid",0,0,0,"[14536,2952]","[-25,20]","Minion Damage","Dégâts des Créatures","Kreaturenschaden","ミニオンダメージ","소환수 피해","Dano de Lacaio","Урон приспешников","Daño de esbirros","Minion Damage","召喚物傷害",40,28579,"Art/2DItems/Gems/Support/MinionDamage.dds",2
179,"MinionDamageHigh",0,0,0,"[14536,2952]","[-25,30]","Greater Minion Damage","Dégâts des Créatures majeurs","Größerer Kreaturenschaden","ミニオンダメージ（大）","상위 소환수 피해","Dano de Lacaio Maior","Большой урон приспешников","Daño de esbirros mayor","Greater Minion Damage","高階召喚物傷害",40,52472,"Art/2DItems/Gems/Support/MinionDamage.dds",3
180,"WarcrySpeedLow",0,0,0,[3477],[35],"Lesser Warcry Speed","Vitesse des Cris de guerre mineure","Geringere Kriegsschrei-Geschwindigkeit","ウォークライスピード（小）","하위 함성 속도","Velocidade de Clamor Menor","Малое ускорение боевых кличей","Velocidad de gritos de guerra menor","Lesser Warcry Speed","低階戰吼速度",39,55470,"Art/2DItems/Gems/Support/UrgentOrdersSupport.dds",1
181,"WarcrySpeedMid",0,0,0,[3477],[50],"Warcry Speed","Vitesse des Cris de guerre","Kriegsschrei-Geschwindigkeit","ウォークライスピード","함성 속도","Velocidade de Clamor","Ускорение боевых кличей","Velocidad de gritos de guerra","Warcry Speed","戰吼速度",39,47477,"Art/2DItems/Gems/Support/UrgentOrdersSupport.dds",2
182,"WarcrySpeedHigh",0,0,0,[3477],[75],"Greater Warcry Speed","Vitesse des Cris de guerre majeure","Größere Kriegsschrei-Geschwindigkeit","ウォークライスピード（大）","상위 함성 속도","Velocidade de Clamor Maior","Большое ускорение боевых кличей","Velocidad de gritos de guerra mayor","Greater Warcry Speed","高階戰吼速度",39,52142,"Art/2DItems/Gems/Support/UrgentOrdersSupport.dds",3
183,"ChaosPenLow",0,0,0,[596],[10],"Lesser Chaos Penetration","Pénétration du chaos mineure","Geringeres durchdringendes Chaos","混沌耐性突破（小）","하위 카오스 관통","Penetração de Caos Menor","Слабый пронизывающий хаос","Penetración de caos menor","Lesser Chaos Penetration","低階混沌穿透",38,25880,"Art/2DItems/Gems/Support/MercSilverIntSupportGem.dds",1
184,"ChaosPenMid",0,0,0,[596],[15],"Chaos Penetration","Pénétration du chaos","Durchdringendes Chaos","混沌耐性突破","카오스 관통","Penetração de Caos","Пронизывающий хаос","Penetración de caos","Chaos Penetration","混沌穿透",38,33975,"Art/2DItems/Gems/Support/MercSilverIntSupportGem.dds",2
185,"ChaosPenHigh",0,0,0,[596],[20],"Greater Chaos Penetration","Pénétration du chaos majeure","Größeres durchdringendes Chaos","混沌耐性突破（大）","상위 카오스 관통","Penetração de Caos Maior","Сильный пронизывающий хаос","Penetración de caos mayor","Greater Chaos Penetration","高階混沌穿透",38,39984,"Art/2DItems/Gems/Support/MercSilverIntSupportGem.dds",3
186,"GlacialCascadeSpecificNumberOfSpikesHigh",0,0,0,[2104],[2],"Gilded Cascade Count","Nombre d'Éruptions doré","Goldene Kaskadenanzahl","金色のカスケードカウント","도금된 폭포 수","Contador de Sequência Áureo","Позолоченный: Число взрывов","Recuento de cascadas dorado","Gilded Cascade Count","鍍金連擊次數","",32431,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
187,"VoltaxicBurstSpecificConvertLightningToChaosHigh",0,0,0,[1487],[40],"Gilded Voltaxic Conversion","Conversion voltaxique dorée","Goldene Voltaxische Umwandlung","金色のボルタキシック変換","도금된 전도성 전환","Conversão Voltáxica Áurea","Позолоченный: Вольтаксовое превращение","Conversión voltáxica dorada","Gilded Voltaxic Conversion","鍍金魔痕轉換","",17946,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
188,"MinionLifeLow",0,0,0,[6503],[25],"Lesser Minion Life","Vie des Créatures mineure","Geringeres Kreaturenleben","ミニオンライフ（小）","하위 소환수 생명력","Vida de Lacaio Menor","Малое здоровье приспешников","Vida de esbirros menor","Lesser Minion Life","低階召喚物生命",44,23582,"Art/2DItems/Gems/Support/MinionDamage.dds",1
189,"MinionLifeMid",0,0,0,[6503],[40],"Minion Life","Vie des Créatures","Kreaturenleben","ミニオンライフ","소환수 생명력","Vida de Lacaio","Здоровье приспешников","Vida de esbirros","Minion Life","召喚物生命",44,20579,"Art/2DItems/Gems/Support/MinionDamage.dds",2
190,"MinionLifeHigh",0,0,0,[6503],[60],"Greater Minion Life","Vie des Créatures majeure","Größeres Kreaturenleben","ミニオンライフ（大）","상위 소환수 생명력","Vida de Lacaio Maior","Большое здоровье приспешников","Vida de esbirros mayor","Greater Minion Life","高階召喚物生命",44,31863,"Art/2DItems/Gems/Support/MinionDamage.dds",3
191,"MultistrikeMid",0,0,0,"[1250,1237,1260]","[1,15,-15]","Multistrike","Multifrappe","Mehrfachschlag","マルチストライク","연속타격","Ataques Múltiplos","Град ударов","Golpes múltiples","Multistrike","多重打擊",41,62638,"Art/2DItems/Gems/Support/multipleattacks.dds",2
192,"MultistrikeHigh",0,0,0,"[1250,1237,1260]","[2,15,-15]","Greater Multistrike","Multifrappe majeure","Größerer Mehrfachschlag","マルチストライク（大）","상위 연속타격","Ataques Múltiplos Maior","Большой град ударов","Golpes múltiples mayor","Greater Multistrike","高階多重打擊",41,25973,"Art/2DItems/Gems/Support/multipleattacks.dds",3
193,"AddedFireLow",0,0,0,[446],[10],"Lesser Added Fire","Dégâts de feu Rajoutés mineurs","Geringerer Zusätzlicher Feuerschaden","火追加（小）","하위 화염 추가","Fogo Adicional Menor","Малый урон огнём","Fuego agregado menor","Lesser Added Fire","低階附加火焰",42,42977,"Art/2DItems/Gems/Support/AddedFireDamage.dds",1
194,"AddedFireMid",0,0,0,[446],[20],"Added Fire","Dégâts de feu Rajoutés","Zusätzlicher Feuerschaden","火追加","화염 추가","Fogo Adicional","Урон огнём","Fuego agregado","Added Fire","附加火焰",42,45439,"Art/2DItems/Gems/Support/AddedFireDamage.dds",2
195,"AddedFireHigh",0,0,0,[446],[30],"Greater Added Fire","Dégâts de feu Rajoutés majeurs","Größerer Zusätzlicher Feuerschaden","火追加（大）","상위 화염 추가","Fogo Adicional Maior","Большой урон огнём","Fuego agregado mayor","Greater Added Fire","高階附加火焰",42,6121,"Art/2DItems/Gems/Support/AddedFireDamage.dds",3
196,"MeleePhysLow",0,0,0,"[641,6397]","[10,10]","Lesser Melee Physical Damage","Dégâts physiques de mêlée mineurs","Geringerer Physischer Nahkampfschaden","近接物理ダメージ（小）","하위 근접 물리 피해","Dano Físico Corpo a Corpo Menor","Малый физический урон ближнего боя","Daño físico cuerpo a cuerpo menor","Lesser Melee Physical Damage","低階近戰物理傷害",43,64940,"Art/2DItems/Gems/Support/IncreasedPhysicalDamage.dds",1
197,"MeleePhysMid",0,0,0,"[641,6397]","[15,15]","Melee Physical Damage","Dégâts physiques de mêlée","Physischer Nahkampfschaden","近接物理ダメージ","근접 물리 피해","Dano Físico Corpo a Corpo","Физический урон ближнего боя","Daño físico cuerpo a cuerpo","Melee Physical Damage","近戰物理傷害",43,53516,"Art/2DItems/Gems/Support/IncreasedPhysicalDamage.dds",2
198,"MeleePhysHigh",0,0,0,"[641,6397]","[20,20]","Greater Melee Physical Damage","Dégâts physiques de mêlée majeurs","Größerer Physischer Nahkampfschaden","近接物理ダメージ（大）","상위 근접 물리 피해","Dano Físico Corpo a Corpo Maior","Большой физический урон ближнего боя","Daño físico cuerpo a cuerpo mayor","Greater Melee Physical Damage","高階近戰物理傷害",43,63342,"Art/2DItems/Gems/Support/IncreasedPhysicalDamage.dds",3
199,"CombustionHigh",0,0,0,[7789],[-10],"Combustion","Combustion","Entflammen","燃焼促進","연소","Combustão","Воспламенение","Combustión","Combustion","燃燒","",58581,"Art/2DItems/Gems/Support/ChancetoIgnite.dds",3
200,"MinionChaosCloudHigh",0,0,0,[3689],[150],"Minion Caustic Death","Mort caustique des Créatures","Chaoswolke bei Kreaturentod","ミニオンコースティックデス","소환수 부식성 사망","Morte Cáustica de Lacaio","Едкая смерть приспешников","Muerte cáustica de esbirros","Minion Caustic Death","召喚物腐蝕死亡","",13016,"Art/2DItems/Gems/Support/MercSilverIntSupportGem.dds",3
201,"MultiTrapHigh",0,0,0,[1774],[2],"Multiple Traps","Pièges multiples","Mehrfachfallen","マルチトラップ","다중 덫","Armadilhas Múltiplas","Дополнительные ловушки","Trampas múltiples","Multiple Traps","複數陷阱","",2555,"Art/2DItems/Gems/Support/MultiTrap.dds",3
202,"TrapTriggerArcaneSurgeHigh",0,0,0,[11455],[1],"Arcane Traps","Pièges arcaniques","Arkane Fallen","アーケイントラップ","비전 덫","Armadilhas Arcanas","Колдовские ловушки","Trampas arcanas","Arcane Traps","秘能陷阱","",14557,"Art/2DItems/Gems/Support/MercSilverDexIntSupportGem.dds",3
203,"LeechLow",0,0,0,[105],[200],"Lesser Leech","Drain mineur","Geringerer Raub","リーチ（小）","하위 흡수","Roubar Menor","Малое похищение","Absorción menor","Lesser Leech","低階偷取","",32130,"Art/2DItems/Gems/Support/LifeLeech.dds",1
204,"LeechMid",0,0,0,[105],[400],"Leech","Drain","Raub","リーチ","흡수","Roubar","Похищение","Absorción","Leech","偷取","",3240,"Art/2DItems/Gems/Support/LifeLeech.dds",2
205,"LeechHigh",0,0,0,[105],[600],"Greater Leech","Drain majeur","Größerer Raub","リーチ（大）","상위 흡수","Roubar Maior","Большое похищение","Absorción mayor","Greater Leech","高階偷取","",41756,"Art/2DItems/Gems/Support/LifeLeech.dds",3
206,"TrapMineThrowSpeedLow",0,0,0,"[312,1837]","[15,15]","Lesser Throwing Speed","Vitesse de jet mineure","Geringere Wurfgeschwindigkeit","投擲スピード（小）","하위 투척 속도","Velocidade de Arremesso Menor","Малое ускорение броска","Velocidad de lanzamiento menor","Lesser Throwing Speed","低階投擲速度",5,32260,"Art/2DItems/Gems/Support/MercSilverDexIntSupportGem.dds",1
207,"TrapMineThrowSpeedMid",0,0,0,"[312,1837]","[30,30]","Throwing Speed","Vitesse de jet","Wurfgeschwindigkeit","投擲スピード","투척 속도","Velocidade de Arremesso","Ускорение броска","Velocidad de lanzamiento","Throwing Speed","投擲速度",5,3465,"Art/2DItems/Gems/Support/MercSilverDexIntSupportGem.dds",2
208,"TrapMineThrowSpeedHigh",0,0,0,"[312,1837]","[40,40]","Greater Throwing Speed","Vitesse de jet majeure","Größere Wurfgeschwindigkeit","投擲スピード（大）","상위 투척 속도","Velocidade de Arremesso Maior","Большое ускорение броска","Velocidad de lanzamiento mayor","Greater Throwing Speed","高階投擲速度",5,58938,"Art/2DItems/Gems/Support/MercSilverDexIntSupportGem.dds",3
209,"TrapMineDamageLow",0,0,0,"[3018,14537]","[15,-25]","Lesser Trap and Mine Damage","Dégâts des Mines et des Pièges mineurs","Geringerer Fallen- und Minenschaden","トラップ・マインダメージ（小）","하위 덫과 지뢰 피해","Dano de Armadilha e Mina Menor","Малый урон ловушек и мин","Daño de trampas y minas menor","Lesser Trap and Mine Damage","低階陷阱和地雷傷害",11,49954,"Art/2DItems/Gems/Support/TrapAndMineDamage.dds",1
210,"TrapMineDamageMid",0,0,0,"[3018,14537]","[20,-25]","Trap and Mine Damage","Dégâts des Mines et des Pièges","Fallen- und Minenschaden","トラップ・マインダメージ","덫과 지뢰 피해","Dano de Armadilha e Mina","Урон ловушек и мин","Daño de trampas y minas","Trap and Mine Damage","陷阱和地雷傷害",11,31171,"Art/2DItems/Gems/Support/TrapAndMineDamage.dds",2
211,"TrapMineDamageHigh",0,0,0,"[3018,14537]","[30,-25]","Greater Trap and Mine Damage","Dégâts des Mines et des Pièges majeurs","Größerer Fallen- und Minenschaden","トラップ・マインダメージ（大）","상위 덫과 지뢰 피해","Dano de Armadilha e Mina Maior","Большой урон ловушек и мин","Daño de trampas y minas mayor","Greater Trap and Mine Damage","高階陷阱和地雷傷害",11,59079,"Art/2DItems/Gems/Support/TrapAndMineDamage.dds",3
212,"TrapChargeGenHigh",0,0,0,[3907],[40],"Charged Traps","Pièges galvanisants","Aufgeladene Fallen","チャージドトラップ","충전된 덫","Armadilhas Carregadas","Заряженные ловушки","Trampas cargadas","Charged Traps","充能陷阱","",5081,"Art/2DItems/Gems/Support/PowerFrenzyCharge.dds",3
213,"TrapTriggerRadiusLow",0,0,0,[311],[20],"Lesser Trigger Radius","Rayon de Déclenchement mineur","Geringerer Auslöserradius","トリガー半径（小）","하위 발동 반경","Alcance de Acionador Menor","Малый радиус срабатывания","Radio de activación menor","Lesser Trigger Radius","低階觸發範圍","",40446,"Art/2DItems/Gems/Support/MercSilverDexIntSupportGem.dds",1
214,"TrapTriggerRadiusMid",0,0,0,[311],[40],"Trigger Radius","Rayon de Déclenchement","Auslöserradius","トリガー半径","발동 반경","Alcance de Acionador","Радиус срабатывания","Radio de activación","Trigger Radius","觸發範圍","",819,"Art/2DItems/Gems/Support/MercSilverDexIntSupportGem.dds",2
215,"TrapTriggerRadiusHigh",0,0,0,[311],[60],"Greater Trigger Radius","Rayon de Déclenchement majeur","Größerer Auslöserradius","トリガー半径（大）","상위 발동 반경","Alcance de Acionador Maior","Большой радиус срабатывания","Radio de activación mayor","Greater Trigger Radius","高階觸發範圍","",54156,"Art/2DItems/Gems/Support/MercSilverDexIntSupportGem.dds",3
216,"PurifyingFlameSpecificConsecratedGroundEffectHigh",0,0,0,[9038],[30],"Gilded Purified Ground","Sol purifié doré","Goldener gereinigter Boden","金色の神聖領域","도금된 정화된 지대","Chão Purificado Áureo","Позолоченный: Очищенная земля","Suelo purificado dorado","Gilded Purified Ground","鍍金淨化地面","",56144,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
217,"IgnoreEnemyPhysMitLow",0,0,0,[18338],[20],"Lesser Mitigation Ignore","Mitigation ignorée mineure","Geringere Ignorierung der Minderung","軽減無視（小）","하위 완화 무시","Ignorar Mitigação Menor","Слабое игнорирование ослаблений","Ignorar la mitigación menor","Lesser Mitigation Ignore","低階無視減輕",49,16261,"Art/2DItems/Gems/Support/MercSilverStrDexSupportGem.dds",1
218,"IgnoreEnemyPhysMitMid",0,0,0,[18338],[25],"Mitigation Ignore","Mitigation ignorée","Ignorierung der Minderung","軽減無視","완화 무시","Ignorar Mitigação","Игнорирование ослаблений","Ignorar la mitigación","Mitigation Ignore","無視減輕",49,4351,"Art/2DItems/Gems/Support/MercSilverStrDexSupportGem.dds",2
219,"IgnoreEnemyPhysMitHigh",0,0,0,[18338],[30],"Greater Mitigation Ignore","Mitigation ignorée majeure","Größere Ignorierung der Minderung","軽減無視（大）","상위 완화 무시","Ignorar Mitigação Maior","Сильное игнорирование ослаблений","Ignorar la mitigación mayor","Greater Mitigation Ignore","高階無視減輕",49,33557,"Art/2DItems/Gems/Support/MercSilverStrDexSupportGem.dds",3
220,"HolyMortarSpecificCoverInAshHigh",0,0,0,[7852],[50],"Gilded Ash","Cendres dorées","Goldene Asche","金色の灰","도금된 재","Cinza Áurea","Позолоченный: Пепел","Ceniza dorada","Gilded Ash","鍍金灰燼","",37275,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
221,"VaalGroundSlamSpecificStunDurationHigh",0,0,0,[340],[30],"Gilded Stun Duration","Durée d'Étourdissement dorée","Goldene Betäubungsdauer","金色のスタン持続時間","도금된 기절 지속시간","Duração de Atordoamento Áurea","Позолоченный: Длительность оглушения","Duración de aturdimiento dorado","Gilded Stun Duration","鍍金暈眩持續時間","",26618,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
222,"LeapSlamSpecificFrenzyOnHitHigh",0,0,0,[186],[100],"Gilded Frenzy","Frénésie dorée","Goldene Raserei","金色のフレンジー","도금된 격분","Frenesi Áureo","Позолоченный: Бешенство","Frenesí dorado","Gilded Frenzy","鍍金狂怒","",48738,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
223,"GroundSlamSpecificAngleHigh",0,0,0,[3435],[40],"Gilded Increased Angle","Augmentation d'angle dorée","Goldener Vergrößerter Winkel","金色の角度増加","도금된 각도 증가","Ângulo Aumentado Áureo","Позолоченный: Расширенный угол","Ángulo aumentado dorado","Gilded Increased Angle","鍍金增加角度","",39050,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
224,"MoltenShellSpecificPDRHigh",0,0,0,[9799],[15],"Gilded Physical Damage Reduction","Réduction des Dégâts physiques dorée","Goldene physische Schadensminderung","金色の物理ダメージ軽減","도금된 물리 피해 감소","Redução de Dano Físico Áurea","Позолоченный: Уменьшение физического урона","Reducción de daño físico dorada","Gilded Physical Damage Reduction","鍍金物理傷害減免","",26792,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
225,"FistOfWarHigh",0,0,0,"[11855,11856,11859,11858]","[1,20,60,1760]","Fist of War","Poing de guerre","Faust des Krieges","フィストオブウォー","전쟁의 주먹","Punho de Guerra","Кулак войны","Puño de guerra","Fist of War","拳霸","",12347,"Art/2DItems/Gems/Support/FistOfWarGem.dds",3
226,"SmiteSpecificAdditionalTargetHigh",0,0,0,[8332],[100],"Gilded Extra Targets","Cibles supplémentaires dorées","Goldene Extraziele","金色の追加対象","도금된 추가 대상","Alvos Adicionais Áureos","Позолоченный: Дополнительные цели","Objetivos extra dorados","Gilded Extra Targets","鍍金額外目標","",37259,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
227,"ShieldChargeSpecificCrushOnHitHigh",0,0,0,[14401],[50],"Gilded Crush","Écrasement doré","Goldenes Zermalmen","金色のクラッシュ","도금된 타쇄","Esmagar Áureo","Позолоченный: Сокрушение","Destrozo dorado","Gilded Crush","鍍金潰擊","",39307,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
228,"PulveriseLow",0,0,0,"[9614,9612,433]","[-15,15,15]","Lesser Pulverise","Pulvérisation mineure","Geringeres Pulverisieren","強打（小）","하위 분쇄","Pulverizar Menor","Малое распыление","Pulverizar menor","Lesser Pulverise","低階磨鍊",48,35729,"Art/2DItems/Gems/Support/Pulverize.dds",1
229,"PulveriseMid",0,0,0,"[9614,9612,433]","[-15,20,30]","Pulverise","Pulvérisation","Pulverisieren","強打","분쇄","Pulverizar","Распыление","Pulverizar","Pulverise","磨鍊",48,64717,"Art/2DItems/Gems/Support/Pulverize.dds",2
230,"PulveriseHigh",0,0,0,"[9614,9612,433]","[-15,30,40]","Greater Pulverise","Pulvérisation majeure","Größeres Pulverisieren","強打（大）","상위 분쇄","Pulverizar Maior","Большое распыление","Pulverizar mayor","Greater Pulverise","高階磨鍊",48,64416,"Art/2DItems/Gems/Support/Pulverize.dds",3
231,"IncreaseAreaOfEffectLow",0,0,0,[433],[20],"Lesser Increased Area of Effect","Augmentation de Zone d'effet mineure","Geringerer vergrößerter Wirkungsbereich","効果範囲増加（小）","하위 효과 범위 증가","Área de Efeito Aumentada Menor","Малое расширение области действия","Área de efecto aumentada menor","Lesser Increased Area of Effect","低階增加效果範圍",51,22670,"Art/2DItems/Gems/Support/IncreasedAOE.dds",1
232,"IncreaseAreaOfEffectMid",0,0,0,[433],[40],"Increased Area of Effect","Augmentation de Zone d'effet","Vergrößerter Wirkungsbereich","効果範囲増加","효과 범위 증가","Área de Efeito Aumentada","Расширение области действия","Área de efecto aumentada","Increased Area of Effect","增加效果範圍",51,53342,"Art/2DItems/Gems/Support/IncreasedAOE.dds",2
233,"IncreaseAreaOfEffectHigh",0,0,0,[433],[60],"Greater Area of Effect","Augmentation de Zone d'effet majeure","Größerer vergrößerter Wirkungsbereich","効果範囲増加（大）","상위 효과 범위 증가","Área de Efeito Aumentada Maior","Большое расширение области действия","Área de efecto aumentada mayor","Greater Area of Effect","高階效果範圍",51,19113,"Art/2DItems/Gems/Support/IncreasedAOE.dds",3
234,"SparkSpecificNovaHigh",0,0,0,[1776],[1],"Gilded Nova","Nova dorée","Goldene Nova","金色のノヴァ","도금된 폭발","Nova Áurea","Позолоченный: Кольцо","Nova dorada","Gilded Nova","鍍金新星",0,42155,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
