"rownum","Id","Stats","StatValues","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","i32","bool","EffectCategory","NextEffect","string","BoonDesc (English)","BoonDesc (French)","BoonDesc (German)","BoonDesc (Japanese)","BoonDesc (Korean)","BoonDesc (Portuguese)","BoonDesc (Russian)","BoonDesc (Spanish)","BoonDesc (Thai)","BoonDesc (Traditional Chinese)","CurseDesc (English)","CurseDesc (French)","CurseDesc (German)","CurseDesc (Japanese)","CurseDesc (Korean)","CurseDesc (Portuguese)","CurseDesc (Russian)","CurseDesc (Spanish)","CurseDesc (Thai)","CurseDesc (Traditional Chinese)","i32","i32","bool","[rid]","Guard","FirstEffect","i32","i32","bool","bool","HASH16"
53,"AfflictionPreventBoons",[17246],[1],"Unassuming Brick","Brique quelconque","Unscheinbare Mauer","予期せぬヘマ","겸손한 친구","Tijolo Despretencioso","Небольшой кирпич","Bloqueo modesto","อิฐถ่อมตัว","不起眼的磚","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnassumingBrickIcon",11,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnassumingBrick","","","","","","","","","","","You cannot gain any more Boons","Vous ne pouvez plus recevoir d'autre Bienfaits","Ihr könnt keine weiteren Segen mehr erhalten","恩恵を獲得することができなくなる","은혜 획득 불가","Você não pode ganhar mais Dádivas","Вы больше не можете получать благословения","No puedes obtener ninguna ventaja más","คุณไม่สามารถรับ พร ได้อีก","你不會獲得任何恩惠",5,0,"",[],[9120],"",5,0,"","",50613
54,"BoonCannotLoseResolve",[17247],[1],"Prayer Beads","Chapelets","Gebetskette","祈りのビーズ","묵주","Contas de Oração","Чётки","Cuentas de oración","ลูกประคำ","念珠","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonPrayerBeadsIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonPrayerBeads","Cannot lose Resolve until you complete the next room","Vous ne pouvez pas perdre de Résolution jusqu’à ce que vous terminiez la prochaine salle","Ihr könnt keine Willenskraft verlieren, bis Ihr den nächsten Raum abschließt","次の部屋を完了するまで決心を失うことがない","다음 방을 완료할 때까지 투지를 잃지 않음","Não pode perder Determinação até completar a próxima sala","До завершения следующей комнаты вы не теряете решимость","No puedes perder resolución hasta que completes la siguiente sala","ไม่สามารถ สูญเสียความมุ่งมั่น ได้ จนกว่าคุณจะผ่านห้องถัดไป","完成下個房間前，不會失去決心","","","","","","","","","","",5,0,"",[],[9119],"",5,0,1,"",26808
55,"AfflictionLose%ResolveOnRoomCompletion",[17295],[5],"Spiked Exit","Sortie pointue","Stachliger Ausgang","棘のある出口","가시투성이 출구","Saída Espinhenta","Шипастый выход","Salida espinosa","ทางออกติดหนาม","尖刺入口","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpikedEntranceIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpikedEntrance","","","","","","","","","","","Lose 5% of current Resolve on room completion","Vous perdez 5% de votre Résolution actuelle en terminant la salle","Verliert beim Abschluss eines Raums 5% der aktuellen Willenskraft","部屋を完了すると現在の決心の5%を失う","방 완료 시 현재 투지의 5% 상실","Perca 5% da Determinação atual ao completar a sala","Вы теряете 5% текущей решимости при завершении комнаты","Pierdes el 5% de tu resolución actual al completar la sala","สูญเสียความมุ่งมั่นที่มี 5% เมื่อผ่านห้อง","完成房間時，失去 5% 目前決心",5,0,"",[],[9120],"",5,0,"","",53929
56,"AfflictionNoMinimap","[17296,17303]","[1,-90]","Tattered Blindfold","Bandeau déchiré","Zerrissene Augenbinde","ボロボロの目隠し","해진 안대","Venda Esfarrapada","Рваная повязка","Ojos vendados","ผ้าปิดตาขาดวิ่น","破爛眼罩","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseTatteredBlindfoldIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseTatteredBlindfold","","","","","","","","","","","90% reduced Light Radius\r\nMinimap is hidden","90% de Réduction de votre Rayonnement lumineux\r\nLa Minicarte est cachée","90% verringerter Lichtradius\r\nMinikarte ist verdeckt","光半径が90%減少する\nミニマップが隠される","시야 반경 90% 감소\r\n미니맵 숨김","Raio de Iluminação reduzido em 90%\r\nMini-mapa é escondido","90% уменьшение радиуса обзора\r\nМини-карта скрыта","Radio de iluminación reducido un 90%\r\nEl minimapa está oculto","ลดรัศมีแสง 90%\r\nแผนที่ย่อ ถูกซ่อนเร้น","減少 90% 光線範圍\r\n(小地圖被隱藏)",5,0,"",[],[9120],"",5,0,"","",48875
57,"AfflictionCannotGainGold",[17297],[1],"Cutpurse","Coupeur de bourses","Taschendieb","巾着切り","소매치기","Batedor de Carteira","Карманник","Monedero roto","หัวขโมย","扒手","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseCutpurseIcon",11,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseCutpurse","","","","","","","","","","","You cannot gain Aureus coins","Vous ne pouvez pas ramasser d'Aureus","Ihr könnt keine Aurei erhalten","アウレウスを獲得することができなくなる","아우레우스 코인 획득 불가","Você não pode ganhar moedas Aureus","Вы не можете получать Аурус","No puedes obtener áureos","คุณไม่สามารถรับ เหรียญออเรอัส ได้","你不能獲得奧瑞厄斯幣",5,0,"",[],[9120],"",5,0,"","",44526
58,"AfflictionDamageTakenOnLowResolve",[17298],[100],"Voodoo Doll","Poupée vaudou","Voodoopuppe","ブードゥー人形","주술 인형","Boneca de Voodoo","Кукла вуду","Muñeco de vudú","หุ่นคุณไสย","巫毒娃娃","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseVoodooDollIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseVoodooDoll","","","","","","","","","","","100% more Resolve lost while Resolve is below 50%","100% Davantage de Résolution perdue quand votre Résolution est en-dessous de 50%","100% mehr Willenskraft-Verlust während Willenskraft unter 50%","決心が50%未満の時に失う決心が100%上昇する","투지가 50% 미만일 때 상실하는 투지 100% 증폭","100% mais Determinação perdida enquanto a Determinação estiver abaixo de 50%","На 100% больше потери решимости, если решимость ниже 50%","Pierdes un 100% más de resolución si tu resolución está por debajo del 50%","เพิ่มการสูญเสียความมุ่งมั่น อีก 100% ขณะ ความมุ่งมั่นต่ำกว่า 50%","決心低於 50% 時，失去 100% 更多決心",5,0,"",[],[9120],"",5,0,"","",18740
59,"BoonHealFromGold",[17299],[100],"Bronze Coin","Pièce de bronze","Bronzemünze","青銅のコイン","동화","Moeda de Bronze","Бронзовая монета","Moneda de bronce","เหรียญทองแดง","銅幣","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBronzeCoinIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBronzeCoin","Picking up Aureus coins recovers Resolve","Ramasser des Aureus vous fait Récupérer de la Résolution","Das Aufheben von Aurei stellt Willenskraft wieder her","アウレウスを拾うと決心を回復する","아우레우스 코인 획득 시 투지 회복","Coletar moedas Aureus recupera Determinação","Подбор Ауруса восстанавливает решимость","Al recoger áureos recuperas resolución","การเก็บ เหรียญออเรอัส เติมความมุ่งมั่น","撿取奧瑞厄斯幣恢復決心","","","","","","","","","","",5,0,"",[7],[9119],"",5,0,"","",42759
60,"BoonDoubleGoldThisFloor",[17301],[1],"Gold Mine","Mine d'or","Goldmine","金鉱","금광","Mina de Ouro","Золотоносная шахта","Mina de oro","เหมืองทอง","金礦","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldMineIcon",4,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldMine","Aureus coins found on this floor are doubled","Les Aureus trouvés sur cet étage sont doublés","Gefundene Aurei in dieser Ebene sind verdoppelt","この階層で見つかるアウレウスが二倍になる","이 층에서 발견하는 아우레우스 코인 2배","Moedas Aureus encontradas neste andar são dobradas","Найденный на этом этаже Аурус удваивается","Los áureos que encuentras en este piso están duplicados","เหรียญออเรอัส ที่พบในชั้นนี้ เพิ่มเป็นสองเท่า","此樓層掉落的奧瑞厄斯幣為 2 倍","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",50425
61,"BoonDoubleGold",[17300],[1],"Gold Coin","Pièce d'or","Goldmünze","金のコイン","금화","Moeda de Ouro","Золотая монета","Moneda de oro","เหรียญทอง","金幣","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldCoinIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldCoin","Aureus coins found are doubled","Les Aureus trouvés sont doublés","Gefundene Aurei sind verdoppelt","見つかるアウレウスが二倍になる","발견하는 아우레우스 코인 2배","Moedas Aureus encontradas são dobradas","Найденный Аурус удваивается","Los áureos que encuentras están duplicados","เหรียญออเรอัส ที่พบ เพิ่มเป็นสองเท่า","掉落的奧瑞厄斯幣為 2 倍","","","","","","","","","","",5,0,"",[7],[9119],"",5,0,"","",12732
62,"AfflictionWrongRoom",[17302],[33],"Deceptive Mirror","Miroir trompeur","Verzerrender Spiegel","欺きの鏡","기만하는 거울","Espelho Enganador","Обманчивое зеркало","Espejo engañoso","กระจกลวงหลอก","騙人鏡子","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseMirrorIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseMirror","","","","","","","","","","","You are not always taken to the room you select","Vous ne vous rendez pas toujours dans la salle que vous choisissez","Ihr werdet nicht immer zu dem Raum gebracht, den Ihr auswählt","選択した部屋に常に行くことができるわけではなくなる","일정 확률로 선택하지 않은 방으로 이동","Você nem sempre é levado até a sala que selecionar","Вы не всегда попадаете в ту комнату, которую выбрали","No siempre irás a la sala que elijas","คุณจะไม่ถูกนำไปยัง ห้องที่คุณเลือก เสมอไป","你不一定會被帶到你選擇的房間",5,0,"",[],[9120],"",5,0,"","",14131
63,"AfflictionNoResolveRecoveredThisFloor",[17077],[1],"Haemorrhage","Hémorragie","Ausbluten","出血","실혈","Hemorragia","Кровотечение","Hemorragia","ตกเลือด","出血","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHaemorrhageIcon",3,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHaemorrhage","","","","","","","","","","","You cannot recover Resolve (removed after killing the next Floor Boss)","Vous ne pouvez pas récupérer de Résolution (disparaît après avoir tué le Boss du prochain Étage)","Ihr könnt keine Willenskraft wiederherstellen (wird nach der Tötung des nächsten Ebenen-Bosses entfernt)","決心を回復することができなくなる。この不幸は次回階層のボスを倒すと取り除かれる","투지 회복 불가 (다음 층 보스 처치 시 제거)","Você não pode recuperar Determinação (removido após amtar o próximo Chefe de Andar)","Вы не можете восстанавливать решимость (пропадает после убийства босса на следующем этаже)","No puedes recuperar resolución (se eliminará cuando mates al siguiente jefe de piso)","คุณไม่สามารถ เติมความมุ่งมั่น ได้ (ถูกกำจัด เมื่อสังหารบอสชั้นถัดไป)","你不能恢復決心 (此苦痛在擊殺下個樓層頭目時移除)",5,0,"",[],[9120],"",5,0,"","",34171
64,"BoonRevealWholeFloor",[17305],[1],"All-Seeing Eye","L'Œil-qui-voit-tout","Allsehendes Auge","全てを見通す目","전시안","Olho Que Tudo Vê","Всевидящее око","Ojo que todo lo ve","ดวงตาเห็นสรรพสิ่ง","全視之眼","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAllSeeingEyeIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAllSeeingEye","The Sanctum Map is fully revealed","La carte du Sanctuaire vous est entièrement dévoilée","Die Sanktum-Karte ist vollständig aufgedeckt","サンクタムマップが完全に公開される","성역 지도가 완전히 밝혀짐","O Mapa do Sanctum é totalmente revelado","Карта Святилища полностью раскрыта","El mapa del Santuario está totalmente revelado","แผนที่เทวสถาน ถูกเปิดเผยโดยสมบูรณ์","聖域地圖被完整揭露","","","","","","","","","","",5,0,"",[7],[9119],"",5,0,"","",9121
65,"BoonTrapSpeed",[17024],[1],"Lustrous Pearl","Perle brillante","Glänzende Perle","光沢のある真珠","빛나는 진주","Pérola Lustrosa","Блестящая жемчужина","Perla lustrosa","ไข่มุกมันวาว","璀璨珍珠","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLustrousPearlIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLustrousPearl","Traps are slower","Les pièges sont plus lents","Fallen sind langsamer","罠が遅くなる","덫이 느려짐","Armadilhas são mais lentas","Ловушки действуют медленнее","Las trampas son más lentas","กับดัก ช้าลง","陷阱被緩速","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",51140
66,"BoonMonsterReducedActionSpeed",[17546],[20],"Viscous Ichor","Ichor visqueux","Zähflüssiges Sekret","粘り気のある体液","점성 있는 영액","Fluido Viscoso","Вязкий ихор","Icor viscoso","ของเหลวหนืดข้น","粘稠膿液","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonViciousIchorIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonViciousIchor","Monsters have 20% reduced Action Speed","Les monstres ont 20% de Réduction de Vitesse d'action","Monster haben 20% verringerte Aktionsgeschwindigkeit","モンスターのアクションスピードが20%減少する","몬스터의 동작 속도 20% 감소","Monstros têm Velocidade de Ação reduzida em 20%","20% снижение скорости действия монстров","Los monstruos tienen velocidad de acción reducida un 20%","มอนสเตอร์ มีความเร็วในการกระทำ ลดลง 20%","怪物減少 20% 行動速度","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",57507
67,"BoonMonsterReducedSanctumDamage",[17662],[-25],"Wooden Effigy","Effigie en bois","Holzfigur","木製の人形","나무 제웅","Efígie de Madeira","Деревянное чучело","Efigie de madera","รูปไม้จำลอง","木人像","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonWoodenEffigyIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonWoodenEffigy","Monsters impact 25% less Resolve","25% de Perte d’impact des monstres sur la Résolution","Monster haben 25% weniger Wirkung auf die Willenskraft","モンスターが減らす決心が25%低下する","몬스터가 투지에 주는 영향 25% 감폭","Monstros impactam 25% menos Determinação","Монстры влияют на решимость на 25% слабее","Los monstruos eliminan un 25% menos de resolución","มอนสเตอร์ บั่นทอนความมุ่งมั่น ลดลง อีก 25%","怪物影響 25% 更少決心","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",46977
68,"BoonMonsterReducedMaximumLife",[988],[-30],"Sanguine Vial","Fiole sanguine","Phiole des Bluts","血の色の小瓶","핏빛 시약","Frasco Sanguíneo","Кровавый флакон","Vial sanguino","ขวดแก้วโลหิต","血紅瓶","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSanguineVialIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSanguineVial","Monsters have 30% less Maximum Life","Les monstres ont 30% de Perte de Vie maximale","Monster haben 30% weniger maximales Leben","モンスターの最大ライフが30%低下する","몬스터의 최대 생명력 30% 감폭","Monstros têm 30% menos Vida Máxima","Монстры имеют на 30% меньше здоровья","Los monstruos tienen un 30% menos de vida máxima","มอนสเตอร์ มีพลังชีวิตสูงสุด ลดลง อีก 30%","怪物有 30% 更少最大生命","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",41741
69,"BoonPlayerMoreDamage",[17579],[50],"Ornate Dagger","Dague ornée","Verzierter Dolch","豪華なダガー","화려한 단검","Adaga Ornamentada","Украшенный кинжал","Daga ornamentada","กริชหรูหรา","華麗匕首","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFancyDaggerIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFancyDagger","You and your minions deal 50% more Damage","Vous et vos Créatures infligez 50% Davantage de Dégâts","Ihr und Eure Kreaturen verursachen 50% mehr Schaden","プレイヤーとそのミニオンのダメージが50%上昇する","플레이어와 플레이어의 소환수가 주는 피해 50% 증폭","Você e seus lacaios causam 50% mais Dano","Вы и приспешники наносите на 50% больше урона","Tú y tus esbirros infligen un 50% más de daño","คุณและมิเนียนของคุณ สร้างความเสียหาย เพิ่มขึ้น อีก 50%","你和你的召喚物造成 50% 更多傷害","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",29924
70,"BoonInstaKillGuards10",[17395],[10],"Assassin's Blade","Lame de l'Assassin","Klinge des Assassinen","暗殺者の刃","암살자의 칼날","Lâmina do Assassino","Клинок убийцы","Espada del asesino","มีดมือสังหาร","刺客之刃","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBlade","The next 10 Guards you Hit are killed Instantly","Les 10 prochains Gardes que vous Touchez meurent sur le coup","Die nächsten 10 Wächter, die Ihr trefft, werden sofort getötet","これからプレイヤーがヒットを与えた10体のガードは即座に死ぬ","다음으로 명중하는 수호병 10마리가 즉사","Os próximos 10 Guardas que você Acertar morrem Instantaneamente","Следующие 10 охранников будут мгновенно убиты при получении удара от вас","Los próximos 10 guardias que golpees morirán al instante","การ์ด 10 ตัวถัดไปที่คุณปะทะจะถูกสังหารทันที","你接下來擊中的 10 個守衛被立即擊殺","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",6090
71,"BoonInstaKillGuards9",[17395],[9],"Assassin's Blade","Lame de l'Assassin","Klinge des Assassinen","暗殺者の刃","암살자의 칼날","Lâmina do Assassino","Клинок убийцы","Espada del asesino","มีดมือสังหาร","刺客之刃","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 9 Guards you Hit are killed Instantly","Les 9 prochains Gardes que vous Touchez meurent sur le coup","Die nächsten 9 Wächter, die Ihr trefft, werden sofort getötet","これからプレイヤーがヒットを与えた9体のガードは即座に死ぬ","다음으로 명중하는 수호병 9마리가 즉사","Os próximos 9 Guardas que você Acertar morrem Instantaneamente","Следующие 9 охранников будут мгновенно убиты при получении удара от вас","Los próximos 9 guardias que golpees morirán al instante","การ์ด 9 ตัวถัดไปที่คุณปะทะจะถูกสังหารทันที","你接下來擊中的 9 個守衛被立即擊殺","","","","","","","","","","",5,0,"",[],[9119],70,5,0,"","",6090
72,"BoonInstaKillGuards8",[17395],[8],"Assassin's Blade","Lame de l'Assassin","Klinge des Assassinen","暗殺者の刃","암살자의 칼날","Lâmina do Assassino","Клинок убийцы","Espada del asesino","มีดมือสังหาร","刺客之刃","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 8 Guards you Hit are killed Instantly","Les 8 prochains Gardes que vous Touchez meurent sur le coup","Die nächsten 8 Wächter, die Ihr trefft, werden sofort getötet","これからプレイヤーがヒットを与えた8体のガードは即座に死ぬ","다음으로 명중하는 수호병 8마리가 즉사","Os próximos 8 Guardas que você Acertar morrem Instantaneamente","Следующие 8 охранников будут мгновенно убиты при получении удара от вас","Los próximos 8 guardias que golpees morirán al instante","การ์ด 8 ตัวถัดไปที่คุณปะทะจะถูกสังหารทันที","你接下來擊中的 8 個守衛被立即擊殺","","","","","","","","","","",5,0,"",[],[9119],70,5,0,"","",6090
73,"BoonInstaKillGuards7",[17395],[7],"Assassin's Blade","Lame de l'Assassin","Klinge des Assassinen","暗殺者の刃","암살자의 칼날","Lâmina do Assassino","Клинок убийцы","Espada del asesino","มีดมือสังหาร","刺客之刃","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 7 Guards you Hit are killed Instantly","Les 7 prochains Gardes que vous Touchez meurent sur le coup","Die nächsten 7 Wächter, die Ihr trefft, werden sofort getötet","これからプレイヤーがヒットを与えた7体のガードは即座に死ぬ","다음으로 명중하는 수호병 7마리가 즉사","Os próximos 7 Guardas que você Acertar morrem Instantaneamente","Следующие 7 охранников будут мгновенно убиты при получении удара от вас","Los próximos 7 guardias que golpees morirán al instante","การ์ด 7 ตัวถัดไปที่คุณปะทะจะถูกสังหารทันที","你接下來擊中的 7 個守衛被立即擊殺","","","","","","","","","","",5,0,"",[],[9119],70,5,0,"","",6090
74,"BoonInstaKillGuards6",[17395],[6],"Assassin's Blade","Lame de l'Assassin","Klinge des Assassinen","暗殺者の刃","암살자의 칼날","Lâmina do Assassino","Клинок убийцы","Espada del asesino","มีดมือสังหาร","刺客之刃","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 6 Guards you Hit are killed Instantly","Les 6 prochains Gardes que vous Touchez meurent sur le coup","Die nächsten 6 Wächter, die Ihr trefft, werden sofort getötet","これからプレイヤーがヒットを与えた6体のガードは即座に死ぬ","다음으로 명중하는 수호병 6마리가 즉사","Os próximos 6 Guardas que você Acertar morrem Instantaneamente","Следующие 6 охранников будут мгновенно убиты при получении удара от вас","Los próximos 6 guardias que golpees morirán al instante","การ์ด 6 ตัวถัดไปที่คุณปะทะจะถูกสังหารทันที","你接下來擊中的 6 個守衛被立即擊殺","","","","","","","","","","",5,0,"",[],[9119],70,5,0,"","",6090
75,"BoonInstaKillGuards5",[17395],[5],"Assassin's Blade","Lame de l'Assassin","Klinge des Assassinen","暗殺者の刃","암살자의 칼날","Lâmina do Assassino","Клинок убийцы","Espada del asesino","มีดมือสังหาร","刺客之刃","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 5 Guards you Hit are killed Instantly","Les 5 prochains Gardes que vous Touchez meurent sur le coup","Die nächsten 5 Wächter, die Ihr trefft, werden sofort getötet","これからプレイヤーがヒットを与えた5体のガードは即座に死ぬ","다음으로 명중하는 수호병 5마리가 즉사","Os próximos 5 Guardas que você Acertar morrem Instantaneamente","Следующие 5 охранников будут мгновенно убиты при получении удара от вас","Los próximos 5 guardias que golpees morirán al instante","การ์ด 5 ตัวถัดไปที่คุณปะทะจะถูกสังหารทันที","你接下來擊中的 5 個守衛被立即擊殺","","","","","","","","","","",5,0,"",[],[9119],70,5,0,"","",6090
76,"BoonInstaKillGuards4",[17395],[4],"Assassin's Blade","Lame de l'Assassin","Klinge des Assassinen","暗殺者の刃","암살자의 칼날","Lâmina do Assassino","Клинок убийцы","Espada del asesino","มีดมือสังหาร","刺客之刃","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 4 Guards you Hit are killed Instantly","Les 4 prochains Gardes que vous Touchez meurent sur le coup","Die nächsten 4 Wächter, die Ihr trefft, werden sofort getötet","これからプレイヤーがヒットを与えた4体のガードは即座に死ぬ","다음으로 명중하는 수호병 4마리가 즉사","Os próximos 4 Guardas que você Acertar morrem Instantaneamente","Следующие 4 охранника будут мгновенно убиты при получении удара от вас","Los próximos 4 guardias que golpees morirán al instante","การ์ด 4 ตัวถัดไปที่คุณปะทะจะถูกสังหารทันที","你接下來擊中的 4 個守衛被立即擊殺","","","","","","","","","","",5,0,"",[],[9119],70,5,0,"","",6090
77,"BoonInstaKillGuards3",[17395],[3],"Assassin's Blade","Lame de l'Assassin","Klinge des Assassinen","暗殺者の刃","암살자의 칼날","Lâmina do Assassino","Клинок убийцы","Espada del asesino","มีดมือสังหาร","刺客之刃","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 3 Guards you Hit are killed Instantly","Les 3 prochains Gardes que vous Touchez meurent sur le coup","Die nächsten 3 Wächter, die Ihr trefft, werden sofort getötet","これからプレイヤーがヒットを与えた3体のガードは即座に死ぬ","다음으로 명중하는 수호병 3마리가 즉사","Os próximos 3 Guardas que você Acertar morrem Instantaneamente","Следующие 3 охранника будут мгновенно убиты при получении удара от вас","Los próximos 3 guardias que golpees morirán al instante","การ์ด 3 ตัวถัดไปที่คุณปะทะจะถูกสังหารทันที","你接下來擊中的 3 個守衛被立即擊殺","","","","","","","","","","",5,0,"",[],[9119],70,5,0,"","",6090
78,"BoonInstaKillGuards2",[17395],[2],"Assassin's Blade","Lame de l'Assassin","Klinge des Assassinen","暗殺者の刃","암살자의 칼날","Lâmina do Assassino","Клинок убийцы","Espada del asesino","มีดมือสังหาร","刺客之刃","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 2 Guards you Hit are killed Instantly","Les 2 prochains Gardes que vous Touchez meurent sur le coup","Die nächsten 2 Wächter, die Ihr trefft, werden sofort getötet","これからプレイヤーがヒットを与えた2体のガードは即座に死ぬ","다음으로 명중하는 수호병 2마리가 즉사","Os próximos 2 Guardas que você Acertar morrem Instantaneamente","Следующие 2 охранника будут мгновенно убиты при получении удара от вас","Los próximos 2 guardias que golpees morirán al instante","การ์ด 2 ตัวถัดไปที่คุณปะทะจะถูกสังหารทันที","你接下來擊中的 2 個守衛被立即擊殺","","","","","","","","","","",5,0,"",[],[9119],70,5,0,"","",6090
79,"BoonInstaKillGuards1",[17395],[1],"Assassin's Blade","Lame de l'Assassin","Klinge des Assassinen","暗殺者の刃","암살자의 칼날","Lâmina do Assassino","Клинок убийцы","Espada del asesino","มีดมือสังหาร","刺客之刃","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next Guard you Hit is killed Instantly","Le prochain Garde que vous Touchez meurt sur le coup","Der nächste Wächter, den Ihr trefft, wird sofort getötet","これからプレイヤーがヒットを与えた1体のガードは即座に死ぬ","다음으로 명중하는 수호병이 즉사","O próximo Guarda que você acertar morrerá instantaneamente","Следующий охранник будет мгновенно убит при получении удара от вас","El próximo guardia que golpees morirá al instante","การ์ด 1 ตัวถัดไปที่คุณปะทะจะถูกสังหารทันที","你接下來擊中的 守衛被立即擊殺","","","","","","","","","","",5,0,"",[],[9119],70,5,0,"","",6090
80,"BoonIncreasedRelicEffect",[17428],[30],"Enchanted Urn","Urne enchantée","Verzauberte Urne","エンチャントされた骨壷","인챈트된 단지","Urna Encantada","Зачарованная урна","Urna encantada","ไหลงเสน่ห์","附魔之甕","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonEnchantedUrnIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonEnchantedUrn","30% increased Effect of your non-Unique Relics","30% d'Augmentation des Effets de vos Reliques non uniques","30% erhöhte Wirkung Eurer Relikte (einzigartige ausgenommen)","ユニークでないレリックの効果が30%増加する","비-고유 유물의 효과 30% 증가","Efeito das suas Relíquias não Únicas aumentado em 30%","30% усиление эффекта ваших не уникальных реликвий","Efecto de tus reliquias que no son únicas aumentado un 30%","เพิ่มผลของ วัตถุตกทอดที่ไม่ใช่ยูนิค ของคุณ 30%","增加 30% 你非傳奇聖物的效果","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"",1,38167
