"rownum","Index","SkillGem1","Name1 (English)","Name1 (French)","Name1 (German)","Name1 (Japanese)","Name1 (Korean)","Name1 (Portuguese)","Name1 (Russian)","Name1 (Spanish)","Name1 (Thai)","Name1 (Traditional Chinese)","SkillGem2","Name2 (English)","Name2 (French)","Name2 (German)","Name2 (Japanese)","Name2 (Korean)","Name2 (Portuguese)","Name2 (Russian)","Name2 (Spanish)","Name2 (Thai)","Name2 (Traditional Chinese)","row"
135,136,[289],"Bladefall","Averse de lames","Klingenhagel","ブレードフォール","칼날비","Chuva de Lâminas","Мечепад","Caída de filos","มีดร่วง (Bladefall)","虛空刀雨",[293],"Frost Bomb","Bombe de givre","Frostbombe","フロストボム","서리 폭탄","Bomba Congelante","Морозная бомба","Bomba de escarcha","ระเบิดน้ำแข็ง (Frost Bomb)","寒霜爆",143
136,137,[294],"Siege Ballista","Baliste de siège","Belagerungsballiste","シージバリスタ","공성 쇠뇌","Balista de Cerco","Осадная баллиста","Balista de asedio","ป้อมหน้าไม้ทลายกำแพง (Siege Ballista)","攻城炮台",[296],"Summon Stone Golem","Invocation de Golem de roche","Steingolem beschwören","ストーンゴーレム召喚","돌 골렘 소환","Convocar Golem Pedregulho","Призыв каменного голема","Invocar Gólem de piedra","อัญเชิญโกเลมศิลา (Summon Stone Golem)","召喚巨石魔像",144
137,138,"[290,291]","Blade Vortex","Vortex de lames","Klingenwirbel","ブレードヴォーテックス","칼날 소용돌이","Vórtice de Lâminas","Вихрь клинков","Vórtice de filos","กระแสมีดวน (Blade Vortex)","飛刃風暴","[298,358]","Earthquake","Séisme","Erdbeben","アースクエイク","지진","Terremoto","Землетрясение","Terremoto","แผ่นดินไหว (Earthquake)","震地",145
138,139,[300],"Contagion","Contagion","Verseuchung","コンテージョン","전염","Contágio","Инфекция","Contagio","โรคติดต่อ (Contagion)","瘟疫",[731],"Snipe","Tir d'élite","Scharfschuss","スナイプ","저격","Atirador","Прицельный выстрел","Disparo certero","ซุ่มยิง (Snipe)","狙擊",146
139,140,[301],"Wither","Flétrissement","Verkümmern","ウィザー","위축","Definhar","Увядание","Marchitar","เหี่ยวเฉา (Wither)","死亡凋零",[312],"Sunder","Rupture","Hacker","サンダー","산산조각","Ruptura","Раскол","Fisurar","แผ่นดินแยก (Sunder)","大地震擊",147
140,141,[303],"Essence Drain","Drain d'essence","Entkräften","エッセンスドレイン","정수 흡수","Drenar Essência","Похищение сущности","Drenar esencia","ดูดแก่นแท้ (Essence Drain)","靈魂吸取",[309],"Ancestral Protector","Protecteur ancestral","Ahnen-Beschützer","アンセストラルプロテクター","선대의 수호자","Protetor Ancestral","Защитник предков","Protector ancestral","บรรพชนร่มโพธิ์ร่มไทร (Ancestral Protector)","先祖衛士",148
141,142,[285],"Ice Trap","Piège de glace","Eisfalle","アイストラップ","얼음 덫","Armadilha Glacial","Ледяная ловушка","Trampa de hielo","กับดักน้ำแข็ง (Ice Trap)","冰凍陷阱","[311,362]","Ancestral Warchief","Chef de guerre ancestral","Ahnen-Kriegshäuptling","アンセストラルウォーチーフ","선대 대전사","Chefe Guerreiro Ancestral","Вождь предков","Cacique ancestral","บรรพชนผู้นำทัพ (Ancestral Warchief)","先祖戰士長",149
142,143,[295],"Orb of Storms","Orbe des orages","Gewittersphäre","オーブオブストーム","폭풍 보주","Orbe Trovejante","Сфера бурь","Orbe de tormentas","ลูกแก้ววายุ (Orb of Storms)","風暴漩渦",[20],"Lacerate","Lacération","Zerfleischen","ラセレイト","피부 찢기","Dilacerar","Разрубание","Lacerar","ฉีกร่าง (Lacerate)","破空斬",150
143,144,[293],"Frost Bomb","Bombe de givre","Frostbombe","フロストボム","서리 폭탄","Bomba Congelante","Морозная бомба","Bomba de escarcha","ระเบิดน้ำแข็ง (Frost Bomb)","寒霜爆",[238],"Spirit Offering","Offrande spirituelle","Seelenopfer","スピリットオファリング","영혼 공물","Oferenda Espiritual","Подношение духа","Ofrenda del espíritu","เซ่นไหว้ด้วยวิญญาณ (Spirit Offering)","靈魂奉獻",151
144,145,[296],"Summon Stone Golem","Invocation de Golem de roche","Steingolem beschwören","ストーンゴーレム召喚","돌 골렘 소환","Convocar Golem Pedregulho","Призыв каменного голема","Invocar Gólem de piedra","อัญเชิญโกเลมศิลา (Summon Stone Golem)","召喚巨石魔像",[313],"Frostbolt","Globe de givre","Frostkugel","フロストボルト","서리 구체","Disparo Congelante","Морозный шар","Descarga de escarcha","บอลเยือกแข็ง (Frostbolt)","寒冰彈",152
145,146,"[298,358]","Earthquake","Séisme","Erdbeben","アースクエイク","지진","Terremoto","Землетрясение","Terremoto","แผ่นดินไหว (Earthquake)","震地",[314],"Vortex","Vortex","Strudel","巻き込む","소용돌이","Vórtice","Пурга","Vórtice","น้ำวน (Vortex)","旋渦",153
146,147,[731],"Snipe","Tir d'élite","Scharfschuss","スナイプ","저격","Atirador","Прицельный выстрел","Disparo certero","ซุ่มยิง (Snipe)","狙擊","[302,359]","Blight","Fléau","Blight","ブライト","황폐","Infestar","Мор","Plaga","แพร่โรคร้าย (Blight)","邪風",154
147,148,[312],"Sunder","Rupture","Hacker","サンダー","산산조각","Ruptura","Раскол","Fisurar","แผ่นดินแยก (Sunder)","大地震擊",[320],"Scorching Ray","Rayon calcinant","Sengender Strahl","スコーチングレイ","작열 광선","Raio Escaldante","Опаляющий луч","Haz abrasador","ลำแสงแผดเผา (Scorching Ray)","熾灼奔流",155
148,149,[309],"Ancestral Protector","Protecteur ancestral","Ahnen-Beschützer","アンセストラルプロテクター","선대의 수호자","Protetor Ancestral","Защитник предков","Protector ancestral","บรรพชนร่มโพธิ์ร่มไทร (Ancestral Protector)","先祖衛士","[8,719]","Blade Flurry","Déluge de lames","Klingentanz","ブレードフラリィ","질풍의 칼날","Rajada de Lâminas","Порыв клинков","Aluvión de filos","เพลงดาบเกรียวกราว (Blade Flurry)","刀鋒亂舞",156
149,150,"[311,362]","Ancestral Warchief","Chef de guerre ancestral","Ahnen-Kriegshäuptling","アンセストラルウォーチーフ","선대 대전사","Chefe Guerreiro Ancestral","Вождь предков","Cacique ancestral","บรรพชนผู้นำทัพ (Ancestral Warchief)","先祖戰士長",[319],"Dark Pact","Sombre pacte","Finsterer Pakt","ダークパクト","어둠의 서약","Pacto Sombrio","Тёмный договор","Pacto oscuro","สัญญามืด (Dark Pact)","暗夜血契",158
150,151,[20],"Lacerate","Lacération","Zerfleischen","ラセレイト","피부 찢기","Dilacerar","Разрубание","Lacerar","ฉีกร่าง (Lacerate)","破空斬",[184],"Storm Burst","Éclats de foudre","Sturmexplosion","ストームバースト","폭풍 점사","Tormenta Explosiva","Грозовой взрыв","Estallido de tormenta","ระเบิดสายฟ้าฉับพลัน (Storm Burst)","風爆",159
151,152,[238],"Spirit Offering","Offrande spirituelle","Seelenopfer","スピリットオファリング","영혼 공물","Oferenda Espiritual","Подношение духа","Ofrenda del espíritu","เซ่นไหว้ด้วยวิญญาณ (Spirit Offering)","靈魂奉獻",[340],"Cremation","Crémation","Einäscherung","クリメーション","시체 소각","Cremação","Кремация","Cremación","ฌาปนกิจ (Cremation)","熔炎送葬",160
152,153,[313],"Frostbolt","Globe de givre","Frostkugel","フロストボルト","서리 구체","Disparo Congelante","Морозный шар","Descarga de escarcha","บอลเยือกแข็ง (Frostbolt)","寒冰彈",[29],"Volatile Dead","Cadavres instables","Explosiver Tod","ヴォラタイルデッド","시체 불덩이","Morto Volátil","Нестабильный труп","Muertos volátiles","ศพปะทุ (Volatile Dead)","致命之息",162
153,154,[314],"Vortex","Vortex","Strudel","ヴォーテックス","소용돌이","Vórtice","Пурга","Vórtice","น้ำวน (Vortex)","旋渦",[30],"Unearth","Exhumation","Exhumieren","アンアース","발굴","Desenterrar","Эксгумация","Exhumar","ขุดซาก (Unearth)","屍術矢",163
154,155,"[302,359]","Blight","Fléau","Blight","ブライト","황폐","Infestar","Мор","Plaga","แพร่โรคร้าย (Blight)","邪風",[352],"Explosive Trap","Piège explosif","Sprengfalle","エクスプローシブトラップ","폭발 덫","Armadilha Explosiva","Взрывная ловушка","Trampa explosiva","กับดักระเบิด (Explosive Trap)","爆裂陷阱",164
155,156,[320],"Scorching Ray","Rayon calcinant","Sengender Strahl","スコーチングレイ","작열 광선","Raio Escaldante","Опаляющий луч","Haz abrasador","ลำแสงแผดเผา (Scorching Ray)","熾灼奔流",[353],"Siphoning Trap","Piège siphonnant","Entkräftungsfalle","サイフォニングトラップ","착취 덫","Armadilha Sifão","Ловушка переливания","Trampa de absorción","กับดักดูดพลัง (Siphoning Trap)","虹吸陷阱",165
156,157,"[8,719]","Blade Flurry","Déluge de lames","Klingentanz","ブレードフラリィ","질풍의 칼날","Rajada de Lâminas","Порыв клинков","Aluvión de filos","เพลงดาบเกรียวกราว (Blade Flurry)","刀鋒亂舞",[354],"Flamethrower Trap","Piège lance-flammes","Flammenwerferfalle","フレームスローワートラップ","화염방사기 덫","Armadilha Lança-Chamas","Ловушка-огнемёт","Trampa de lanzallamas","กับดักเครื่องพ่นไฟ (Flamethrower Trap)","噴火陷阱",166
157,158,[7],"Charged Dash","Charge fulgurante","Geladener Sprint","チャージドダッシュ","충전 질주","Avanço Fantasma","Заряженный рывок","Embestida cargada","ชาร์จพลังพุ่งตัว (Charged Dash)","雷霆衝鋒",[355],"Lightning Spire Trap","Piège de pic de foudre","Blitzleiterfalle","ライトニングスパイトトラップ","번개 첨탑 덫","Armadilha Espiral Relampejante","Ловушка шпиля молний","Trampa de pararrayos","กับดักสายฟ้า (Lightning Trap)","鋒雷陷阱",167
158,159,[319],"Dark Pact","Sombre pacte","Finsterer Pakt","ダークパクト","어둠의 서약","Pacto Sombrio","Тёмный договор","Pacto oscuro","สัญญามืด (Dark Pact)","暗夜血契",[356],"Seismic Trap","Piège sismique","Seismische Falle","サイズミックトラップ","지진 덫","Armadilha Sísmica","Сейсмическая ловушка","Trampa sísmica","กับดักกระทุ้งปฐพี (Seismic Trap)","地裂陷阱",168
159,160,[184],"Storm Burst","Éclats de foudre","Sturmexplosion","ストームバースト","폭풍 점사","Tormenta Explosiva","Грозовой взрыв","Estallido de tormenta","ระเบิดสายฟ้าฉับพลัน (Storm Burst)","風爆",[350],"Vulnerability","Vulnérabilité","Verwundbarkeit","ヴァルネラビリティ","취약성","Vulnerabilidade","Беззащитность","Vulnerabilidad","บอบบาง (Vulnerability)","脆弱",169
160,161,[340],"Cremation","Crémation","Einäscherung","クリメーション","시체 소각","Cremação","Кремация","Cremación","ฌาปนกิจ (Cremation)","熔炎送葬",[343],"Tectonic Slam","Fracas tectonique","Tektonischer Hieb","テクトニックスラム","지층 강타","Impacto Tectônico","Тектонический удар","Embate tectónico","ทุบเปลือกโลกแยก (Tectonic Slam)","破體之擊",170
161,162,[341],"Bodyswap","Substitution corporelle","Reinkarnation","ボディスワップ","신체 전환","Troca de Corpos","Обмен телами","Intercambio de cuerpos","สลับร่าง (Bodyswap)","屍術傳送",[207],"Spectral Shield Throw","Lancer de bouclier spectral","Spektralschildwurf","スペクトラルシールドスロー","환영 방패 투척","Arremesso de Escudo Espectral","Бросок призрачного щита","Lanzamiento de escudo espectral","โยนโล่เงา (Spectral Shield Throw)","盾靈投擲",171
162,163,[29],"Volatile Dead","Cadavres instables","Explosiver Tod","ヴォラタイルデッド","시체 불덩이","Morto Volátil","Нестабильный труп","Muertos volátiles","ศพปะทุ (Volatile Dead)","致命之息",[252],"Herald of Purity","Héraut de la pureté","Herold der Reinheit","ヘラルドオブピュリティ","순수의 전령","Arauto da Pureza","Вестник чистоты","Heraldo de pureza","สาส์นพิสุทธิ์ (Herald of Purity)","純淨之捷",172
163,164,[30],"Unearth","Exhumation","Exhumieren","アンアース","발굴","Desenterrar","Эксгумация","Exhumar","ขุดซาก (Unearth)","屍術矢",[251],"Herald of Agony","Héraut de l'agonie","Herold der Agonie","ヘラルドオブアゴニー","고통의 전령","Arauto Agonizante","Вестник агонии","Heraldo de agonía","สาส์นทรมาน (Herald of Agony)","苦痛之捷",173
164,165,[352],"Explosive Trap","Piège explosif","Sprengfalle","エクスプローシブトラップ","폭발 덫","Armadilha Explosiva","Взрывная ловушка","Trampa explosiva","กับดักระเบิด (Explosive Trap)","爆裂陷阱",[363],"Consecrated Path","Chemin consacré","Geweihter Pfad","コンセクレイテッドパス","축성의 진격","Caminho Sagrado","Освящённый путь","Camino consagrado","เส้นทางศักดิ์สิทธิ์ (Consecrated Path)","奉獻之路",174
165,166,[353],"Siphoning Trap","Piège siphonnant","Entkräftungsfalle","サイフォニングトラップ","착취 덫","Armadilha Sifão","Ловушка переливания","Trampa de absorción","กับดักดูดพลัง (Siphoning Trap)","虹吸陷阱","[364,718]","Smite","Châtiment","Zerschmettern","スマイト","징벌","Castigo","Кара","Aniquilación","เฆี่ยนตี (Smite)","雷鳴重擊",175
166,167,[354],"Flamethrower Trap","Piège lance-flammes","Flammenwerferfalle","フレームスローワートラップ","화염방사기 덫","Armadilha Lança-Chamas","Ловушка-огнемёт","Trampa de lanzallamas","กับดักเครื่องพ่นไฟ (Flamethrower Trap)","噴火陷阱",[365],"Scourge Arrow","Flèche d'épines","Verhängnispfeil","スカージアロー","재앙의 화살","Flecha Virulenta","Стрела скверны","Flecha de espinas","ลูกศรหายนะ (Scourge Arrow)","天譴之箭",176
167,168,[355],"Lightning Spire Trap","Piège de pic de foudre","Blitzleiterfalle","ライトニングスパイトトラップ","번개 첨탑 덫","Armadilha Espiral Relampejante","Ловушка шпиля молний","Trampa de pararrayos","กับดักสายฟ้า (Lightning Trap)","鋒雷陷阱",[366],"Toxic Rain","Pluie toxique","Toxischer Regen","トキシックレイン","맹독성 비","Chuva Tóxica","Токсичный дождь","Lluvia tóxica","ฝนพิษ (Toxic Rain)","腐蝕毒雨",177
168,169,[356],"Seismic Trap","Piège sismique","Seismische Falle","サイズミックトラップ","지진 덫","Armadilha Sísmica","Сейсмическая ловушка","Trampa sísmica","กับดักกระทุ้งปฐพี (Seismic Trap)","地裂陷阱",[367],"Summon Holy Relic","Invocation de Relique sacrée","Heiliges Relikt beschwören","ホーリーレリック召喚","신성한 유물 소환","Convocar Relíquia Sagrada","Призыв священной реликвии","Invocar reliquia sagrada","อัญเชิญวัตถุศักดิ์สิทธิ์ (Summon Holy Relic)","召喚聖物",178
169,170,[350],"Vulnerability","Vulnérabilité","Verwundbarkeit","ヴァルネラビリティ","취약성","Vulnerabilidade","Беззащитность","Vulnerabilidad","บอบบาง (Vulnerability)","脆弱",[370],"Winter Orb","Orbe de l'hiver","Wintersphäre","ウィンターオーブ","겨울 보주","Orbe Invernal","Зимняя сфера","Orbe invernal","ลูกแก้วเหมันต์ (Winter Orb)","凜冬之球",179
170,171,[343],"Tectonic Slam","Fracas tectonique","Tektonischer Hieb","テクトニックスラム","지층 강타","Impacto Tectônico","Тектонический удар","Embate tectónico","ทุบเปลือกโลกแยก (Tectonic Slam)","破體之擊",[373],"Storm Brand","Symbole de l'orage","Zeichen des Sturms","ストームブランド","폭풍의 낙인","Runa Tempestuosa","Клеймо бури","Marca de tormentas","ตราเวทสายฟ้า (Storm Brand)","風暴烙印",180
171,172,[207],"Spectral Shield Throw","Lancer de bouclier spectral","Spektralschildwurf","スペクトラルシールドスロー","환영 방패 투척","Arremesso de Escudo Espectral","Бросок призрачного щита","Lanzamiento de escudo espectral","โยนโล่เงา (Spectral Shield Throw)","盾靈投擲",[378],"Armageddon Brand","Symbole de l'apocalypse","Zeichen des Untergangs","アルマゲドンブランド","종말의 낙인","Runa do Armagedon","Клеймо Армагеддона","Marca de armagedón","ตราเวทวันสิ้นโลก (Armageddon Brand)","末日烙印",181
172,173,[252],"Herald of Purity","Héraut de la pureté","Herold der Reinheit","ヘラルドオブピュリティ","순수의 전령","Arauto da Pureza","Вестник чистоты","Heraldo de pureza","สาส์นพิสุทธิ์ (Herald of Purity)","純淨之捷",[379],"Brand Recall","Rappel des Symboles","Zeichen zurückrufen","ブランドリコール","낙인 소환","Convocar Runas","Возврат клейм","Evocar marcas","เรียกคืนตราเวท (Brand Recall)","烙印呼喚",182
173,174,[251],"Herald of Agony","Héraut de l'agonie","Herold der Agonie","ヘラルドオブアゴニー","고통의 전령","Arauto Agonizante","Вестник агонии","Heraldo de agonía","สาส์นทรมาน (Herald of Agony)","苦痛之捷",[374],"War Banner","Étendard de guerre","Kriegsbanner","ウォーバナー","전쟁 깃발","Estandarte da Guerra","Знамя войны","Estandarte de guerra","ธงสงคราม (War Banner)","戰爭之旗",183
174,175,[363],"Consecrated Path","Chemin consacré","Geweihter Pfad","コンセクレイテッドパス","축성의 진격","Caminho Sagrado","Освящённый путь","Camino consagrado","เส้นทางศักดิ์สิทธิ์ (Consecrated Path)","奉獻之路",[375],"Dread Banner","Étendard de terreur","Todesbanner","ドレッドバナー","공포의 깃발","Estandarte Horrendo","Знамя страха","Estandarte de pavor","ธงหวาดกลัว (Dread Banner)","恐懼之旗",184
175,176,"[364,718]","Smite","Châtiment","Zerschmettern","スマイト","징벌","Castigo","Кара","Aniquilación","เฆี่ยนตี (Smite)","雷鳴重擊",[376],"Shattering Steel","Acier fendant","Zerschmetternder Stahl","シャタリングスティール","강철 파편","Aço Estraçalhador","Дробящая сталь","Acero devastador","เหล็กกล้าแตกกระจาย (Shattering Steel)","鋼之碎擊",185
176,177,[365],"Scourge Arrow","Flèche d'épines","Verhängnispfeil","スカージアロー","재앙의 화살","Flecha Virulenta","Стрела скверны","Flecha de espinas","ลูกศรหายนะ (Scourge Arrow)","天譴之箭",[372],"Lancing Steel","Acier transperçant","Stechender Stahl","ランシングスティール","강철 관통","Aço Perfurador","Пронзающая сталь","Acero empalador","พุ่งเหล็กกล้า (Lancing Steel)","鋼之突刺",186
177,178,[366],"Toxic Rain","Pluie toxique","Toxischer Regen","トキシックレイン","맹독성 비","Chuva Tóxica","Токсичный дождь","Lluvia tóxica","ฝนพิษ (Toxic Rain)","腐蝕毒雨",[380],"Purifying Flame","Flamme purificatrice","Reinigende Flamme","ピュリファイングフレイム","정화의 불길","Chama Purificadora","Очищающее пламя","Llama purificadora","เปลวไฟชำระล้าง (Purifying Flame)","淨化烈焰",187
178,179,[367],"Summon Holy Relic","Invocation de Relique sacrée","Heiliges Relikt beschwören","ホーリーレリック召喚","신성한 유물 소환","Convocar Relíquia Sagrada","Призыв священной реликвии","Invocar reliquia sagrada","อัญเชิญวัตถุศักดิ์สิทธิ์ (Summon Holy Relic)","召喚聖物",[381],"Soulrend","Déchirure d'âme","Seelenriss","ソウルレンド","영혼 분리","Rasgalma","Разрыв души","Desgarrador de almas","ฉีกวิญญาณ (Soulrend)","靈體撕裂",188
179,180,[370],"Winter Orb","Orbe de l'hiver","Wintersphäre","ウィンターオーブ","겨울 보주","Orbe Invernal","Зимняя сфера","Orbe invernal","ลูกแก้วเหมันต์ (Winter Orb)","凜冬之球",[382],"Bane","Damnation","Bann","ベイン","파멸","Banir","Погибель","Condenación","คาถามรณะ (Bane)","災厄",189
180,181,[373],"Storm Brand","Symbole de l'orage","Zeichen des Sturms","ストームブランド","폭풍의 낙인","Runa Tempestuosa","Клеймо бури","Marca de tormentas","ตราเวทสายฟ้า (Storm Brand)","風暴烙印",[386],"Divine Ire","Courroux divin","Göttlicher Zorn","ディヴァインアイア","신성한 진노","Ira Divina","Божественный гнев","Ira divina","เทพพิโรธ (Divine Ire)","聖怒",190
181,182,[378],"Armageddon Brand","Symbole de l'apocalypse","Zeichen des Untergangs","アルマゲドンブランド","종말의 낙인","Runa do Armagedon","Клеймо Армагеддона","Marca de armagedón","ตราเวทวันสิ้นโลก (Armageddon Brand)","末日烙印",[384],"Wave of Conviction","Vague de condamnation","Welle der Verurteilung","ウェーブオブコンヴィクション","신념의 파도","Onda de Convicção","Волна осуждения","Ola de condena","คลื่นพลังลงทัณฑ์ (Wave of Conviction)","信念浪湧",191
182,183,[379],"Brand Recall","Rappel des Symboles","Zeichen zurückrufen","ブランドリコール","낙인 소환","Convocar Runas","Возврат клейм","Evocar marcas","เรียกคืนตราเวท (Brand Recall)","烙印呼喚",[385],"Zealotry","Zèle","Glaubenseifer","ゼロトリー","열광","Fanatismo","Фанатизм","Exaltación","คลั่งศาสนา (Zealotry)","狂熱",192
183,184,[374],"War Banner","Étendard de guerre","Kriegsbanner","ウォーバナー","전쟁 깃발","Estandarte da Guerra","Знамя войны","Estandarte de guerra","ธงสงคราม (War Banner)","戰爭之旗",[387],"Malevolence","Malfaisance","Boshaftigkeit","マレヴォレンス","악의","Malevolência","Злорадство","Malevolencia","หิงสา (Malevolence)","惡意",193
184,185,[375],"Dread Banner","Étendard de terreur","Todesbanner","ドレッドバナー","공포의 깃발","Estandarte Horrendo","Знамя страха","Estandarte de pavor","ธงหวาดกลัว (Dread Banner)","恐懼之旗",[405],"Precision","Justesse","Präzision","プレシジョン","정밀함","Precisão","Точность","Golpe preciso","เที่ยงตรง (Precision)","精準",194
185,186,[376],"Shattering Steel","Acier fendant","Zerschmetternder Stahl","シャタリングスティール","강철 파편","Aço Estraçalhador","Дробящая сталь","Acero devastador","เหล็กกล้าแตกกระจาย (Shattering Steel)","鋼之碎擊",[391],"Steelskin","Peau d'acier","Stahlhaut","スティールスキン","강철피부","Pele de Aço","Стальная кожа","Piel de acero","ผิวเหล็ก (Steelskin)","鋼筋鐵骨",195
186,187,[372],"Lancing Steel","Acier transperçant","Stechender Stahl","ランシングスティール","강철 관통","Aço Perfurador","Пронзающая сталь","Acero empalador","พุ่งเหล็กกล้า (Lancing Steel)","鋼之突刺",[396],"Bladestorm","Tempête de lames","Klingensturm","ブレードストーム","칼날 폭풍","Tempestade de Lâminas","Ураган лезвий","Tormenta de filos","พายุดาบ (Bladestorm)","旋天劍舞",197
187,188,[380],"Purifying Flame","Flamme purificatrice","Reinigende Flamme","ピュリファイングフレイム","정화의 불길","Chama Purificadora","Очищающее пламя","Llama purificadora","เปลวไฟชำระล้าง (Purifying Flame)","淨化烈焰",[397],"Blood and Sand","Sang et sable","Blut und Sand","ブラッドアンドサンド","피와 모래","Sangue e Areia","Кровь и песок","Sangre y arena","โลหิตและวาลุกา (Blood and Sand)","血腥沙戮",198
188,189,[381],"Soulrend","Déchirure d'âme","Seelenriss","ソウルレンド","영혼 분리","Rasgalma","Разрыв души","Desgarrador de almas","ฉีกวิญญาณ (Soulrend)","靈體撕裂",[398],"Berserk","Berserk","Wüten","バーサーク","광폭","Berserk","Боевое безумие","Barbarie","ปลดปล่อยความบ้าคลั่ง (Berserk)","狂戰",199
189,190,[382],"Bane","Damnation","Bann","ベイン","파멸","Banir","Погибель","Condenación","คาถามรณะ (Bane)","災厄",[399],"Perforate","Perforation","Perforieren","パーフォレイト","천공","Perfurar","Пронзающие шипы","Perforación","แทงทะลุ (Perforate)","裂地刺穿",200
190,191,[386],"Divine Ire","Courroux divin","Göttlicher Zorn","ディヴァインアイア","신성한 진노","Ira Divina","Божественный гнев","Ira divina","เทพพิโรธ (Divine Ire)","聖怒",[400],"Chain Hook","Grappin","Kettenhaken","チェーンフック","사슬 갈고리","Corrente com Gancho","Цепной крюк","Gancho de cadena","โซ่ล่ามตะขอ (Chain Hook)","奪魂勾索",201
191,192,[384],"Wave of Conviction","Vague de condamnation","Welle der Verurteilung","ウェーブオブコンヴィクション","신념의 파도","Onda de Convicção","Волна осуждения","Ola de condena","คลื่นพลังลงทัณฑ์ (Wave of Conviction)","信念浪湧",[406],"Flesh and Stone","Chair et pierre","Fleisch und Stein","フレッシュアンドストーン","육체와 돌","Carne e Pedra","Камень и плоть","Carne y piedra","เลือดเนื้อและศิลา (Flesh and Stone)","血肉骸骨",203
192,193,[385],"Zealotry","Zèle","Glaubenseifer","ゼロトリー","열광","Fanatismo","Фанатизм","Exaltación","คลั่งศาสนา (Zealotry)","狂熱",[409],"Pride","Fierté","Stolz","プライド","자부심","Orgulho","Гордость","Orgullo","โอหัง (Pride)","驕傲",204
193,194,[387],"Malevolence","Malfaisance","Boshaftigkeit","マレヴォレンス","악의","Malevolência","Злорадство","Malevolencia","หิงสา (Malevolence)","惡意",[412],"Cobra Lash","Croc de cobra","Kobraschlag","コブララッシュ","코브라 채찍","Chicote de Cobra","Бросок кобры","Latigazo de cobra","จงอางฟาดหาง (Cobra Lash)","毒蛇鞭笞",205
194,195,[405],"Precision","Justesse","Präzision","プレシジョン","정밀함","Precisão","Точность","Golpe preciso","เที่ยงตรง (Precision)","精準",[423],"Summon Skitterbots","Invocation d'Arachnobots","Arachnobots beschwören","スキッターボット召喚","원격 기폭 장치 소환","Convocar Robôs Rastejantes","Призыв мехаботов","Invocar robots escurridizos","อัญเชิญหุ่นยนต์จิ๋ว (Summon Skitterbots)","召喚探測機獸",208
195,196,[391],"Steelskin","Peau d'acier","Stahlhaut","スティールスキン","강철피부","Pele de Aço","Стальная кожа","Piel de acero","ผิวเหล็ก (Steelskin)","鋼筋鐵骨",[415],"Plague Bearer","Porte-peste","Pestbringer","プレイグベアラー","독성 운반자","Infestador","Носитель чумы","Portador de plaga","พาหะโรคระบาด (Plague Bearer)","病疫之難",209
196,197,[393],"Dash","Élan","Sprint","ダッシュ","질주","Avanço","Рывок","Finta","พุ่งตัว (Dash)","幻步",[426],"Pestilent Strike","Frappe pestilentielle","Seuchenschlag","ペスティレントストライク","전염성 일격","Golpe Pestilento","Моровой удар","Golpe pestilente","ฟาดเชื้อร้าย (Pestilent Strike)","瘟疫打擊",210
197,198,[396],"Bladestorm","Tempête de lames","Klingensturm","ブレードストーム","칼날 폭풍","Tempestade de Lâminas","Ураган лезвий","Tormenta de filos","พายุดาบ (Bladestorm)","旋天劍舞",[413],"Summon Carrion Golem","Invocation de Golem de charogne","Aasgolem beschwören","キャリオンゴーレム召喚","부패 골렘 소환","Convocar Golem da Carniça","Призыв трупного голема","Invocar gólem carroñero","อัญเชิญโกเลมซากศพ (Summon Carrion Golem)","召喚食腐魔像",211
198,199,[397],"Blood and Sand","Sang et sable","Blut und Sand","ブラッドアンドサンド","피와 모래","Sangue e Areia","Кровь и песок","Sangre y arena","โลหิตและวาลุกา (Blood and Sand)","血腥沙戮",[433],"Artillery Ballista","Baliste d'artillerie","Artillerie-Balliste","アーティラリーバリスタ","포대 쇠뇌","Balista de Artilharia","Артиллерийская баллиста","Balista de artillería","ป้อมหน้าไม้ใหญ่ (Artillery Ballista)","火砲砲塔",212
199,200,[398],"Berserk","Berserk","Wüten","バーサーク","광폭","Berserk","Боевое безумие","Barbarie","ปลดปล่อยความบ้าคลั่ง (Berserk)","狂戰",[429],"Shrapnel Ballista","Baliste à shrapnel","Schrapnell-Balliste","シュラプネルバリスタ","파편 쇠뇌","Balista Estilhaçante","Осколочная баллиста","Balista de metralla","ป้อมหน้าไม้แตกอากาศ (Shrapnel Ballista)","彈片砲塔",213
200,201,[399],"Perforate","Perforation","Perforieren","パーフォレイト","천공","Perfurar","Пронзающие шипы","Perforación","แทงทะลุ (Perforate)","裂地刺穿",[432],"Ensnaring Arrow","Flèche d'empêtrement","Fesselnder Pfeil","エンスネアリングアロー","올가미 화살","Flecha Aprisionadora","Стрела ловчего","Flecha atrapante","ศรบ่วง (Ensnaring Arrow)","誘捕箭矢",214
201,202,[400],"Chain Hook","Grappin","Kettenhaken","チェーンフック","사슬 갈고리","Corrente com Gancho","Цепной крюк","Gancho de cadena","โซ่ล่ามตะขอ (Chain Hook)","奪魂勾索",[475],"Stormbind","Rune de l'orage","Sturmrune","ストームバインド","폭풍 연대","Vínculo Tempestuoso","Грозовые руны","Rito de tormenta","อักขระสายฟ้า (Stormbind)","風暴術符",215
