"rownum","Id","Name","GrantedEffect","SupportText","SupportText (French)","SupportText (German)","SupportText (Japanese)","SupportText (Korean)","SupportText (Portuguese)","SupportText (Russian)","SupportText (Spanish)","SupportText (Thai)","SupportText (Traditional Chinese)","SupportName","GemTags","Consumed_Mod","ItemColor","[rid]_84","AdditionalGrantedEffects","bool_116","bool_117","[i32]_118","i32_134"
481,"CullingStrikeSupport","",531,"Supports [Attack|Attack] Skills, causing them to [CullingStrike|Cull] [Rarity|Rare and Unique] Enemies on [HitDamage|Hit].","Modifie les aptitudes d'[Attack|Attaque], leur permettant d'infliger aux ennemis [Rarity|Rares et Uniques], des [CullingStrike|Coups de grâce] au [HitDamage|Toucher].","Unterstützt [Attack|Angriffs]fertigkeiten und bewirkt, dass [Rarity|seltenen und einzigartigen] Gegnern mit [HitDamage|Treffern] ein [CullingStrike|Todesstoß] versetzt wird.","[Attack|アタック]スキルをサポートし、[HitDamage|ヒット]時に[Rarity|レア]または[Rarity|ユニーク]の敵を[CullingStrike|カリングストライク]を与えるようにする。","[Attack|공격] 스킬에 적용됩니다. 스킬이 [Rarity|희귀 및 고유] 적을 [HitDamage|명중]하면 [CullingStrike|마무리 타격]을 가합니다.","Suporta habilidades de [Attack|Ataque], fazendo com que elas [CullingStrike|Abatam] inimigos [Rarity|Raros e Únicos] ao [HitDamage|Acertar].","Усиливает умения [Attack|атак]. Усиленные умения [CullingStrike|добивают] [Rarity|редких и уникальных] врагов при [HitDamage|нанесении удара].","Asiste habilidades de [Attack|ataque] para que inflijan [CullingStrike|golpes de gracia] a los enemigos [Rarity|raros y únicos] al [HitDamage|impactar].","ใช้เสริมสกิล[Attack|โจมตี] เพื่อให้สกิลนี้[CullingStrike|ปลิดชีพ]ศัตรู[Rarity|แรร์และยูนิค]เมื่อ[HitDamage|ปะทะ]","輔助[Attack|攻擊]技能，使其[HitDamage|擊中][Rarity|稀有和傳奇]敵人時造成[CullingStrike|撲殺]效果。","","[16,13]","",3,[],[],"","",[],-1
482,"SpellCascadeSupport","",532,"Supports [Spell|Spells] that affect an area around you or a target location, causing those [Spell|Spells] to also target additional areas on either side of the target area, along a randomly chosen axis. Cannot support [Channelling] skills or [Remote] skills.","Modifie les [Spell|Sorts] qui affectent une zone autour de vous ou d'un emplacement ciblé, permettant à ces [Spell|Sorts] de cibler des zones supplémentaires de part et d'autre de la zone ciblée, le long d'un axe choisi au hasard. Ne peut pas modifier les aptitudes de [Channelling|Canalisation] ni les aptitudes [Remote|Déléguées].","Unterstützt [Spell|Zauber], die auf einen Bereich um Euch herum oder einen Zielort wirken, wodurch diese [Spell|Zauber] auch zusätzliche Bereiche auf beiden Seiten des Zielbereichs entlang einer zufällig gewählten Achse anvisieren. Unterstützt keine [Channelling|Kanalisierungs]fertigkeiten oder [Remote|ferngesteuerte] Fertigkeiten.","プレイヤーの周囲または対象とされた地点の周囲の範囲に影響を与える[Spell|スペル]をサポートし、その[Spell|スペル]がランダムな軸に沿って、対象の範囲の左右の範囲も対象とするようにする。[Channelling|スキルまたは[Remote|リモート]スキルはサポートできない。","플레이어 또는 목표 지점 주위의 범위에 영향을 미치는 [Spell|주문]에 적용됩니다. 해당 [Spell|주문]이 대상 지역에서 무작위로 선택된 축을 따라 양쪽에 있는 추가 지역까지 대상으로 지정합니다. [Channelling|집중 유지] 스킬이나 [Remote|원격] 스킬에는 적용되지 않습니다.","Suporta [Spell|Magias] que afetam uma área ao seu redor ou uma localização alvo, fazendo com que essas [Spell|Magias] também atinjam áreas adicionais em ambos os lados da área alvo, ao longo de um eixo escolhido aleatoriamente. Não pode suportar habilidades [Channelling|Canalizadas] ou habilidades [Remote|Remotas].","Усиливает [Spell|чары], которые действуют вокруг вас или по области. Усиленные [Spell|чары] также действуют в дополнительных областях по каждую сторону от изначальной, вдоль случайно выбранной оси. Не может усиливать [Channelling|поддерживаемые] умения или [Remote|дистанционные] умения.","Asiste [Spell|hechizos] que afectan a un área a tu alrededor o a una ubicación objetivo para que esos [Spell|hechizos] también disparen a áreas adicionales a cada lado del área objetivo, a lo largo de un eje elegido al azar. No puede asistir habilidades de [Channelling|canalización] ni habilidades [Remote|remotas].","ใช้เสริม[Spell|เวท]ที่ส่งผลต่อพื้นที่รอบตัวคุณหรือตำแหน่งเป้าหมาย\r\nเพื่อให้[Spell|เวท]เหล่านี้เลือกพื้นที่เพิ่มเติมเป็นเป้าหมาย โดยพื้นที่นี้จะอยู่ทั้งสองข้างตามเส้นศูนย์กลางแบบสุ่ม\r\nไม่สามารถเสริม สกิล[Channelling|แชนเนล]หรือ[Remote|สกิลรีโมต] ได้","輔助影響你周圍區域或目標區域的[Spell|法術]，使這些[Spell|法術]沿隨機軸向同時影響目標區域其中一側的額外區域。無法輔助[Channelling|引導]技能或[Remote|遠程]技能。","",[16],"",3,[],[],"","",[],-1
483,"ArmourBreakSupport","",533,"Supports Skills that [HitDamage|Hit] Enemies, causing those [HitDamage|Hits] to [ArmourBreak|Break Armour] based on a portion of [Physical|Physical Damage] dealt.","Modifie les aptitudes qui [HitDamage|Touchent] les ennemis, permettant à ces [HitDamage|Touches] de [ArmourBreak|Briser l'armure] en fonction d'une partie des [Physical|Dégâts physiques] infligés.","Unterstützt Fertigkeiten, die [HitDamage|Treffer] bei Gegnern verursachen und diese [HitDamage|Treffer] dazu veranlassen, basierend auf einem Teil des verursachten [Physical|physischen] Schadens, [ArmourBreak|Rüstung zu brechen].","敵を[HitDamage|ヒット]するスキルをサポートし、その[HitDamage|ヒット]が与えた[Physical|物理ダメージ]の割合に応じて敵の[ArmourBreak|アーマーを破壊]するようにする。","적을 [HitDamage|명중]하는 스킬에 적용됩니다. [HitDamage|명중] 시 준 [Physical|물리 피해]의 일부만큼 [ArmourBreak|방어구를 파괴]합니다.","Suporta habilidades que [HitDamage|Acertam] inimigos, fazendo com que esses [HitDamage|Acertos] [ArmourBreak|Quebrem a Armadura] com base em uma parte do [Physical|Dano Físico] causado.","Усиливает умения, [HitDamage|наносящие удары] по врагам. [HitDamage|Удары] усиленными умениями [ArmourBreak|разрушают броню] на основе части нанесённого [Physical|физического урона].","Asiste habilidades que [HitDamage|impactan] a los enemigos para que esos [HitDamage|impactos] [ArmourBreak|rompan la armadura] basándose en una parte del [Physical|daño físico] infligido.","ใช้เสริมสกิลที่[HitDamage|ปะทะ]ศัตรู เพื่อให้การ[HitDamage|ปะทะ]ของสกิลนี้[ArmourBreak|หักเกราะ]ตามความเสียหาย [Physical|กายภาพ] ที่สร้างได้บางส่วน","輔助[HitDamage|擊中]敵人的技能，使[HitDamage|擊中]根據造成[Physical|物理傷害]的一部分造成[ArmourBreak|破甲]。","","[16,30]","",3,[],[],"","",[],-1
484,"FarCombatSupport","",534,"Supports [Attack|Attacks], causing them to deal more damage from farther away.","Modifie les [Attack|Attaques], leur permettant d'infliger davantage de dégâts lorsqu'elles sont utilisées à une distance éloignée.","Unterstützt [Attack|Angriffe], wodurch sie aus größerer Entfernung mehr Schaden verursachen.","[Attack|アタック]をサポートし、遠くから上昇したダメージを与えるようにする。","[Attack|공격]에 적용됩니다. 멀리 있을 때 공격으로 주는 피해가 커집니다.","Suporta [Attack|Ataques], fazendo com que causem mais dano a distâncias maiores.","Усиливает [Attack|атаки]. Усиленные умения наносят больше урона с более дальнего расстояния.","Asiste [Attack|ataques] para que inflijan más daño desde más lejos.","ใช้เสริมการ[Attack|โจมตี] เพื่อให้สกิลนี้สร้างความเสียหายเพิ่มขึ้น อีก จากระยะที่ไกลออกไป","輔助[Attack|攻擊]，使其在遠處造成更多傷害。","","[16,13]","",3,[],[],"","",[],-1
485,"DazingSupport","",535,"Supports [Attack|Attacks], causing them to build up [Daze|Daze] based on a portion of [Physical|Physical] Damage dealt.","Modifie les [Attack|Attaques], leur permettant d'accumuler de l'[Daze|Hébétement] en fonction d'une partie des Dégâts [Physical|Physiques] qu'elles infligent.","Unterstützt [Attack|Angriffe] und lässt sie basierend auf einem Teil des verursachten [Physical|physischen] Schadens [Daze|Benommenheit] aufbauen.","[Attack|アタック]をサポートし、与えた[Physical|物理ダメージ]の割合に応じて敵に[Daze|眩暈]蓄積を与えるようにする。","[Attack|공격]에 적용됩니다. 공격이 주는 [Physical|물리] 피해의 일부로 [Daze|혼미]를 축적합니다.","Suporta [Attack|Ataques], fazendo com que acumulem [Daze|Aturdimento] com base em uma parte do Dano [Physical|Físico] causado.","Усиливает [Attack|атаки]. Усиленные умения накапливают [Daze|оцепенение] на основе части нанесённого [Physical|физического] урона.","Asiste [Attack|ataques] para que acumulen [Daze|desorientación] basándose en una parte del [Physical|daño físico] infligido.","ใช้เสริมการ[Attack|โจมตี] เพื่อให้สกิลนี้สะสมค่า[Daze|งุนงง]ตามความเสียหาย [Physical|กายภาพ] ที่สร้างได้บางส่วน","輔助[Attack|攻擊]，使其根據造成[Physical|物理傷害]的一部分累積[Daze|目眩]。","","[16,13,30]","",3,[],[],"","",[],-1
486,"DazedBreakSupport","",536,"Supports [Attack|Attacks], causing them to [Daze|Daze] Enemies when they fully [ArmourBreak|Break Armour].","Modifie les [Attack|Attaques], leur permettant d'[Daze|Hébéter] les ennemis lorsqu'elles [ArmourBreak|Brisent l'armure] complètement.","Unterstützt [Attack|Angriffe], wodurch sie bei Gegnern [Daze|Benommenheit] anwenden, wenn sie vollständig die[ArmourBreak|Rüstung brechen].","[Attack|アタック]をサポートし、敵の[ArmourBreak|アーマーを完全に破壊]した時に敵に[Daze|眩暈]を与えるようにする。","[Attack|공격]에 적용됩니다. 공격이 [ArmourBreak|방어구를 완전히 파괴]하면 적을 [Daze|혼미]하게 합니다.","Suporta [Attack|Ataques], fazendo com que [Daze|Aturdam] inimigos quando quebrarem completamente sua [ArmourBreak|Armadura].","Усиливает [Attack|атаки]. Усиленные умения накладывают [Daze|оцепенение] на врагов при полном [ArmourBreak|разрушении брони].","Asiste [Attack|ataques] para que [Daze|desorienten] a los enemigos cuando [ArmourBreak|rompen completamente su armadura].","ใช้เสริมการ[Attack|โจมตี] เพื่อให้สกิลนี้สร้างสถานะ [Daze|งุนงง] ต่อศัตรูเมื่อทำให้มัน [ArmourBreak|เกราะหักโดยสมบูรณ์]","輔助[Attack|攻擊]，使其對完全[ArmourBreak|破甲]的敵人造成[Daze|目眩]。","","[16,13]","",3,[],[],"","",[],-1
487,"DazingCrySupport","",537,"Supports [Warcry|Warcries], causing them to [Daze|Daze] Enemies on use.","Modifie les [Warcry|Cris de guerre], leur permettant d'[Daze|Hébéter] les ennemis lors de leur utilisation.","Unterstützt [Warcry|Kriegsschreie] und verursacht bei ihrer Nutzung [Daze|Benommenheit] bei Gegnern.","[Warcry|ウォークライ]をサポートし、使用時に敵に[Daze|眩暈]を与えるようにする。","[Warcry|함성]을 보조합니다. 함성 사용 시 적을 [Daze|혼미]하게 합니다.","Suporta [Warcry|Clamores], fazendo com que [Daze|Aturdam] inimigos ao serem usados.","Усиливает [Warcry|боевые кличи]. Усиленные кличи накладывают [Daze|оцепенение] на врагов при использовании.","Asiste [Warcry|gritos de guerra] para que [Daze|desorienten] a los enemigos al usarse.","ใช้เสริมการ[Warcry|คำราม] เพื่อให้สกิลนี้สร้างสถานะ [Daze|งุนงง] ต่อศัตรูเมื่อใช้งาน","輔助[Warcry|戰吼]，使其在使用時對敵人造成[Daze|目眩]。","","[16,26]","",3,[],[],"","",[],-1
488,"CursedGroundSupport","",538,"Supports [Curse] Skills. Supported [Curse] Skills no longer have an activation delay, instead creating areas which [Curse] Enemies so long as they are within them.","Modifie les aptitudes de [Curse|Malédiction]. Les Aptitudes de [Curse|Malédiction] modifiées n'ont plus de délai d'activation. À la place, elle créent des zones qui [Curse|Maudissent] les ennemis tant qu'ils se trouvent à l'intérieur.","Unterstützt [Curse|Fluch]fertigkeiten. Unterstützte [Curse|Fluch]fertigkeiten haben keine Aktivierungsverzögerung mehr und erzeugen stattdessen Bereiche, die Gegner [Curse|verfluchen], solange sie sich in ihnen aufhalten.","[Curse|呪い]スキルをサポートする。サポートされた[Curse|呪い]スキルはアクティベーション遅延を持たなくなるが、代わりに敵が中に立っている間敵を呪うエリアを生成するようになる。","[Curse|저주] 스킬에 적용됩니다. 보조 대상 [Curse|저주] 스킬의 활성화 지연시간이 없어지고, 대신 일정 범위를 생성하여 그 안에 있는 적을 [Curse|저주]합니다.","Suporta habilidades de [Curse|Maldição]. Habilidades de [Curse|Maldição] suportadas não possuem mais atraso de ativação, passando a criar áreas que [Curse|Amaldiçoam] inimigos enquanto eles estiverem dentro delas.","Усиливает умения [Curse|проклятий]. Усиленные умения [Curse|проклятий] больше не имеют задержки срабатывания, вместо этого создавая области, которые проклинают врагов, покуда те остаются в них.","Asiste habilidades de [Curse|maldición]. Las habilidades de [Curse|maldición] asistidas ya no tienen una demora de activación y, en lugar de eso, crean áreas que [Curse|maldicen] a los enemigos siempre y cuando se encuentren sobre ellas.","ใช้เสริมสกิล[Curse|คำสาป] สกิล[Curse|คำสาป]ที่เสริมไม่มีระยะเวลารอทำงานอีกต่อไป แต่จะสร้างพื้นที่ที่[Curse|สาป]ศัตรูภายในตราบใดที่พวกมันยังอยู่ในพื้นที่นี้","輔助[Curse|詛咒]技能。被輔助的[Curse|詛咒]技能不再有啟動延遲，而是製造出區域，只要敵人在這些區域內，就會受到[Curse|詛咒]。","",[16],"",3,[],[],"","",[],-1
489,"WeaponElementalDamageSupport","",539,"Supports [Attack|Attacks] that use a weapon, causing them to deal more weapon [ElementalDamage|Elemental damage].","Modifie les [Attack|Attaques] qui utilisent une arme, leur permettant d'infliger davantage de [ElementalDamage|Dégâts élémentaires] avec les armes.","Unterstützt [Attack|Angriffe], die eine Waffe benutzen, wodurch sie mehr Waffen-[ElementalDamage|Elementarschaden] verursachen.","武器を使用する[Attack|アタック]をサポートし、与える武器[ElementalDamage|元素ダメージ]が上昇するようにする。","무기를 사용하는 [Attack|공격]에 적용됩니다. 공격이 주는 무기 [ElementalDamage|원소 피해]가 커집니다.","Suporta [Attack|Ataques] que usam uma arma, fazendo com que causem mais [ElementalDamage|Dano Elemental] com a armas. ","Усиливает [Attack|атаки], использующие оружие. Усиленные умения наносят больше урона оружием от [ElementalDamage|стихий].","Asiste [Attack|ataques] que usan un arma para que inflijan más [ElementalDamage|daño elemental] de arma.","ใช้เสริมการ[Attack|โจมตี]ที่ใช้อาวุธ เพื่อให้สกิลนี้สร้าง[ElementalDamage|ความเสียหาย ธาตุ] ด้วยอาวุธ เพิ่มขึ้น อีก","輔助使用武器的[Attack|攻擊]，使其造成更多武器[ElementalDamage|元素傷害]。","","[16,13]","",3,[],[],"","",[],-1
490,"CooldownReductionSupport","",540,"Supports skills with Cooldowns, increasing the rate at which those [CooldownRecovery|Cooldowns Recover].","Modifie les aptitudes qui ont un Temps de recharge, augmentant la [CooldownRecovery|Vitesse de recharge] de leurs temps recharge.","Unterstützt Fertigkeiten mit Abklingzeiten und erhöht die Geschwindigkeit, mit der sich diese [CooldownRecovery|Abklingzeiten erholen].","クールダウンを持つスキルをサポートし、[CooldownRecovery|クールダウン解消]レートを速くする。","재사용 대기시간이 있는 스킬에 적용됩니다. [CooldownRecovery|재사용 대기시간이 회복되는 속도]가 빨라집니다.","Suporta habilidades com Recarga, aumentando a velocidade com que essas [CooldownRecovery|Recargas se Recuperam].","Усиливает умения с временем перезарядки, ускоряя [CooldownRecovery|перезарядку].","Asiste habilidades que tengan enfriamiento para aumentar la velocidad a la que se [CooldownRecovery|recupera ese enfriamiento].","ใช้เสริมสกิลที่มีคูลดาวน์ เพื่อให้สกิลนี้[CooldownRecovery|ฟื้นฟูคูลดาวน์]ได้เร็วขึ้น","輔助具冷卻時間的技能，增加其[CooldownRecovery|冷卻時間恢復]速度。","",[16],"",3,[],[],"","",[],-1
491,"AscendancyElementalExpression","",5786,"","","","","","","","","","","","[24,4,14,5,25,2,1,0,18]","",3,[],[],"","",[],-1
492,"IceShot","",5788,"","","","","","","","","","","","[10,24,60,13,5,1]","",3,[],[],"","",[],-1
493,"WarBanner","",336,"","","","","","","","","","","","[9,10,24,34,48,49,14,12,15]","",3,[],[329],1,1,"[1,0]",-1
494,"DefianceBanner","",337,"","","","","","","","","","","","[9,10,24,34,48,49,14,12,15]","",3,[],[330],1,1,"[1,0]",-1
495,"DreadBanner","",338,"","","","","","","","","","","","[9,10,24,34,48,49,14,12,15]","",3,[],[331],1,1,"[1,0]",-1
496,"FreezingMark","",5789,"","","","","","","","","","","","[10,11,24,60,4,13,14,36,1,15,33]","",3,[],[5790],"","",[],1
497,"VoltaicMark","",5791,"","","","","","","","","","","","[10,24,60,4,13,14,36,2,15,33]","",3,[],[5792],"","",[],-1
498,"AscendancyUnboundAvatar","",5793,"","","","","","","","","","","","[24,48,2,1,0,15,57]","",3,[],[],"","",[],-1
499,"HandOfChayula","",332,"","","","","","","","","","","","[10,11,24,13,14,7,32,3,42]","",3,[],[333],"",1,[],-1
500,"FreezingWord","",334,"","","","","","","","","","","","[24,13,14,1,33]","",3,[],[335],"","",[],-1
501,"AscendancySummonInfernalHound","",134,"","","","","","","","","","","","[24,8,58,49,0]","",3,[],[],"","",[],-1
502,"AscendancyEncasedInJade","",5800,"","","","","","","","","","","","[24,4,48,30,15]","",3,[],[],"","",[],-1
503,"TemporalRift","",5795,"","","","","","","","","","","","[24,4,48,49]","",3,[],[],1,"",[],-1
504,"TimeFreeze","",5796,"","","","","","","","","","","","[24,4,14,15]","",3,[],[],"","",[],-1
505,"TimeSnap","",5794,"","","","","","","","","","","","[24,4]","",3,[],[],"","",[],-1
506,"DemonForm","",5798,"","","","","","","","","","","","[24,44,48,49]","",3,[],[],1,"",[],-1
507,"SorceryWard","",5755,"","","","","","","","","","","","[24,4,48,49,2,1,0]","",3,[],[],1,"",[],-1
508,"TimeOfNeed","",339,"","","","","","","","","","","","[9,24,48,49,15]","",3,[],[],1,"",[],-1
509,"ElementalInvocation","",246,"","","","","","","","","","","","[10,11,24,48,49,25,2,1,0,42]","",3,[],[247],1,1,[],-1
510,"Attrition","",340,"","","","","","","","","","","","[9,10,24,48,49]","",3,[],[],1,"",[],-1
511,"ElementalConflux","",341,"","","","","","","","","","","","[11,24,48,49,2,1,0,15]","",3,[],[],1,"",[],-1
512,"IntoTheBreach","",5802,"","","","","","","","","","","","[24,48,49,55]","",3,[],[],1,"",[],-1
513,"AncestralSpriits","",5801,"","","","","","","","","","","","[24,8,25,15]","",3,[],[],"","",[],-1
514,"RitualSacrifice","",5886,"","","","","","","","","","","","[24,48,15]","",3,[],[],"","",[],-1
515,"EmergencyReload","",342,"","","","","","","","","","","","[9,10,24,48,15]","",3,[],[],"","",[],-1
516,"BloodFountainSupport","",541,"Supports Skills which create stationary objects. Objects created by supported Skills generate a Font of Blood, creating an [Aura] which grants Life regeneration.","Modifie les aptitudes qui créent des objets stationnaires. Les objets créés par les aptitudes modifiées génèrent une Fontaine de Sang, créant une [Aura|Aura] qui octroie de la Régénération de Vie.","Unterstützt Fertigkeiten, die stationäre Objekte erzeugen. Objekte, die von unterstützten Fertigkeiten erzeugt werden, erzeugen eine Blutfontäne, die eine [Aura|Aura] erzeugt, die Lebensregeneration gewährt.","静止したオブジェクトを作成するスキルをサポートする。サポートされているスキルによって作成されたオブジェクトは血の泉を生成し、ライフ自動回復を付与する[Aura|オーラ]を生成する。","고정 물체를 생성하는 스킬에 적용됩니다. 적용된 스킬로 생성된 물체는 피의 샘을 만들고, 생명력 재생을 부여하는 [Aura|오라]를 생성합니다.","Suporta Habilidades que criam objetos parados. Objetos criados por habilidades suportadas geram uma Fonte de Sangue, criando uma [Aura|Aura] que concede regeneração de Vida.","Усиливает умения, создающие неподвижные объекты. Объекты, созданные усиленными умениями, создают купель крови с [Aura|аурой], регенерирующей здоровье.","Asiste habilidades que crean objetos estacionarios. Los objetos creados por las habilidades asistidas generan una fuente de sangre, que crea un [Aura|aura] que otorga regeneración de vida.","ใช้เสริมสกิลที่สร้างวัตถุที่อยู่กับที่\r\nวัตถุที่สร้างขึ้นมาจากสกิลที่เสริมจะสร้างบ่อเกิดโลหิตที่มี[Aura|ออร่า]มอบการ ฟื้นฟูพลังชีวิต","輔助生成靜止物件的技能。被輔助的技能生成的物件會創造一個鮮血之泉，其生成的[Aura|光環]會給予生命回復。","","[16,19]","",3,[],[],"","",[],-1
517,"ManaFountainSupport","",542,"Supports Skills which create stationary objects. Objects created by supported Skills generate a Font of Mana, creating an [Aura] which grants Mana regeneration.","Modifie les aptitudes qui créent des objets stationnaires. Les objets créés par les aptitudes modifiées génèrent une Fontaine de Mana, créant une [Aura|Aura] qui octroie de la Régénération de Mana.","Unterstützt Fertigkeiten, die stationäre Objekte erzeugen. Objekte, die von unterstützten Fertigkeiten erzeugt werden, erzeugen eine Manafontäne, die eine [Aura|Aura] erzeugt, die Manaregeneration gewährt.","静止したオブジェクトを作成するスキルをサポートする。サポートされているスキルによって作成されたオブジェクトは魔力の泉を生成し、マナ自動回復を付与する[Aura|オーラ]を生成する。","고정 물체를 생성하는 스킬에 적용됩니다. 적용된 스킬로 생성된 물체는 마나의 샘을 만들고, 마나 재생을 부여하는 [Aura|오라]를 생성합니다.","Suporta Habilidades que criam objetos parados. Objetos criados por habilidades suportadas geram uma Fonte de Mana, criando uma [Aura|Aura] que concede regeneração de Mana.","Усиливает умения, создающие неподвижные объекты. Объекты, созданные усиленными умениями, создают купель маны с [Aura|аурой], регенерирующей ману.","Asiste habilidades que crean objetos estacionarios. Los objetos creados por las habilidades asistidas generan una fuente de maná, que crea un [Aura|aura] que otorga regeneración de maná.","ใช้เสริมสกิลที่สร้างวัตถุที่อยู่กับที่\r\nวัตถุที่สร้างขึ้นมาจากสกิลที่เสริมจะสร้างบ่อเกิดมานาที่มี[Aura|ออร่า]มอบการ ฟื้นฟูมานา","輔助生成靜止物件的技能。被輔助的技能生成的物件會創造一個魔力之泉，其生成的[Aura|光環]會給予魔力回復。","","[16,19]","",3,[],[],"","",[],-1
518,"RageFountainSupport","",543,"Supports Skills which create stationary objects. Objects created by supported Skills generate a Font of Rage, creating an [Aura] which grants [Rage] over time, as well as preventing [Rage] loss.","Modifie les aptitudes qui créent des objets stationnaires. Les objets créés par les aptitudes modifiées génèrent une Fontaine de Rage, créant une [Aura|Aura] qui octroie de la [Rage|Rage] sur la durée et empêche la perte de [Rage|Rage].","Unterstützt Fertigkeiten, die stationäre Objekte erzeugen. Objekte, die von unterstützten Fertigkeiten erzeugt werden, erzeugen eine Rauschfontäne, die eine [Aura|Aura] erzeugt, die [Rage|Rausch] über Zeit gewährt und [Rage|Rausch]verlust verhindert.","静止したオブジェクトを作成するスキルをサポートする。サポートされているスキルによって作成されたオブジェクトは憤怒の泉を生成し、時間経過で[Rage|憤怒]を生成すると共に、[Rage|憤怒]喪失を抑える[Aura|オーラ]を生成する。","고정 물체를 생성하는 스킬에 적용됩니다. 적용된 스킬로 생성된 물체는 격노의 샘을 만들고, 지속적으로 [Rage|격노]를 부여하는 [Aura|오라]를 생성하며, [Rage|격노] 상실을 방지합니다.","Suporta Habilidades que criam objetos parados. Objetos criados por habilidades suportadas geram uma Fonte de Fúria, criando uma [Aura|Aura] que concede [Rage|Fúria] ao longo do tempo, além de impedir a perda de [Rage|Fúria].","Усиливает умения, создающие неподвижные объекты. Объекты, созданные усиленными умениями, создают купель свирепости с [Aura|аурой], постепенно дарующей [Rage|свирепость] и не позволяющей её терять.","Asiste habilidades que crean objetos estacionarios. Los objetos creados por las habilidades asistidas generan una fuente de furia, que crea un [Aura|aura] que otorga [Rage|furia] a lo largo del tiempo y también impide que pierdas [Rage|furia].","ใช้เสริมสกิลที่สร้างวัตถุที่อยู่กับที่\r\nวัตถุที่สร้างขึ้นมาจากสกิลที่เสริมจะสร้างบ่อเกิดความคลั่งที่มี[Aura|ออร่า]มอบสถานะ [Rage|คลั่ง] อย่างต่อเนื่อง\r\nและป้องกันการสูญเสียสถานะ [Rage|คลั่ง] อีกด้วย","輔助生成靜止物件的技能。被輔助的技能生成的物件會創造一個盛怒之泉，其生成的[Aura|光環]會持續給予[Rage|盛怒]，並防止[Rage|盛怒]的流失。","","[16,19]","",3,[],[],"","",[],-1
519,"AftershockChanceSupport","",553,"Supports [Slam|Slams] you use yourself, giving them a chance to create an [Aftershock].","Modifie les [Slam|Fracas] que vous utilisez vous-même, leur donnant une chance de créer une [Aftershock|Réplique].","Unterstützt [Slam|Hiebe], die Ihr selbst verwendet, und gibt ihnen die Chance, ein [Aftershock|Nachbeben] zu erzeugen.","プレイヤー自らによって使用される[Slam|スラム]をサポートし、プレイヤーが着地した時に[ConsecratedGround|神聖領域]を生成するようにする。","직접 사용하는 [Slam|강타] 스킬에 적용되어, [Aftershock|여진]을 생성할 확률을 부여합니다.","Suporta [Slam|Pancadas] que você mesmo usar, dando a elas uma chance de criar um [Aftershock|Abalos Secundários].","Усиливает [Slam|мощные удары], которые вы используете самостоятельно, даруя им шанс создать [Aftershock|остаточную волну].","Asiste [Slam|embates] que usas tú mismo para darles una probabilidad de crear una [Aftershock|réplica].","ใช้เสริมการ[Slam|ทุบ]ที่คุณใช้ด้วยตัวเอง เพื่อให้สกิลนี้มีโอกาสสร้าง [Aftershock|คลื่นสะท้อน]","輔助你自己使用的[Slam|重擊]，賦予它們製造一道[Aftershock|餘震]的機率。","","[16,13,7,35]","",3,[],[],"","",[],-1
520,"ClusterGrenade","",343,"","","","","","","","","","","","[9,10,24,13,14,5,53,0]","",3,[],[344],"","",[],-1
521,"LightningCloneRetaliation","",346,"","","","","","","","","","","","[24,4,5]","",3,[],[],"","",[],-1
522,"TornadoShot","",347,"","","","","","","","","","","","[10,24,60,13,14,5,30,15]","",3,[],[],"","",[],-1
523,"BlinkSandPlayer","",349,"","","","","","","","","","","","[24,4,31]","",3,[],[],"",1,[],-1
524,"ChargeInfusion","",350,"","","","","","","","","","","","[10,11,24,48,49]","",3,[],[],1,"",[],-1
525,"HolyDescentSupport","",544,"Supports Skills that leap into the air, causing them to create [ConsecratedGround|Consecrated Ground] when you land","Modifie les aptitudes qui vous permettent de bondir dans les airs, leur permettant de créer du [ConsecratedGround|Sol consacré] à l'endroit de votre atterrissage.","Unterstützt Fertigkeiten, bei denen man in die Luft springt, wodurch bei der Landung [ConsecratedGround|geweihter Boden] erzeugt wird.","空中に飛び上がるスキルをサポートし、着地した時に[ConsecratedGround|神聖領域]を生成するようにする。","공중으로 도약하는 스킬에 적용됩니다. 착지할 때 [ConsecratedGround|신성화 지대]를 생성합니다.","Suporta Habilidades que saltam no ar, fazendo com que criem [ConsecratedGround|Solo Sagrado] ao aterrissar.","Усиливает умения с прыжком в воздух. Усиленные умения создают [ConsecratedGround|освящённую землю] в месте приземления.","Asiste habilidades que te hacen saltar en el aire para que creen [ConsecratedGround|suelo consagrado] cuando aterrizas","ใช้เสริมสกิลที่กระโจนขึ้นฟ้า เพื่อให้สกิลนี้สร้าง [ConsecratedGround|พื้นศักดิ์สิทธิ์] เมื่อคุณตกถึงพื้น","輔助躍至空中的技能，使其在你落地時生成[ConsecratedGround|奉獻地面]","","[16,14,15]","",3,[],[],"","",[],-1
