"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","TextHardmode","TextHardmode (French)","TextHardmode (German)","TextHardmode (Japanese)","TextHardmode (Korean)","TextHardmode (Portuguese)","TextHardmode (Russian)","TextHardmode (Spanish)","TextHardmode (Thai)","TextHardmode (Traditional Chinese)"
264,"ReminderTextKeystoneSolipsism","(Intelligence provides no inherent bonus to Energy Shield. 2% reduced Duration of Elemental Ailments on you per 15 Intelligence)","(L'Intelligence n'octroie plus de bonus de Bouclier d'énergie inhérent. 2% de Réduction de la Durée des Altérations élémentaires vous affectant tous les 15 d'Intelligence)","(Intelligenz bietet keinen inhärenten Bonus auf den Energieschild. 2% verringerte Dauer von elementaren Beeinträchtigungen auf Euch pro 15 Intelligenz)","(Solipsism: 知性は本来のボーナスをエナジーシールドに与えなくなる。知性15毎に状態異常持続時間が2%減少)","(지능이 에너지 보호막에 직접적인 보너스를 주지 않습니다. 플레이어에게 적용되는 원소 상태 이상의 지속시간이 지능 15당 2% 감소합니다.)","(Inteligência não concede nenhum bônus inerente ao Escudo de Energia. 2% de redução da Duração de Afecções Elementais em você por cada 15 de Inteligência)","(Интеллект перестаёт усиливать энергетический щит. 2% уменьшение длительности стихийных состояний на вас за каждые 15 интеллекта)","(La inteligencia no otorga ninguna bonificación inherente de escudo de energía. Duración de los estados alterados elementales reducida un 2% sobre ti por cada 15 de inteligencia)","(Intelligence ไม่ให้โบนัสดั้งเดิมแก่ โล่พลังงาน และลดระยะเวลาของ สถานะเจ็บป่วยธาตุ ต่อตัวคุณ 2% ต่อ Intelligence 15 หน่วย)","( 智慧不提供固有的能量護盾加成。每 15 點智慧減少 2% 你身上元素異常狀態的持續時間 )","","","","","","","","","",""
265,"ReminderTextKeystoneVersatileCombatant","(-10% to maximum Chance to Block Attack Damage, -10% to maximum Chance to Block Spell Damage, +2% Chance to Block Spell Damage for each 1% Overcapped Chance to Block Attack Damage)","(-10% au maximum de chances de Bloquer les Dégâts des Attaques, -10% au maximum de chances de Bloquer les Dégâts des Sorts, +2% de chances de Bloquer les Dégâts des Sorts tous les 1% de chances excédentaires de Bloquer les Dégâts des Attaques)","(-10% zu maximaler Chance, Angriffsschaden zu blocken, -10% zu maximaler Chance, Zauberschaden zu blocken, +2% Chance, Zauberschaden zu blocken für jede 1% übergedeckelte Chance, Angriffsschaden zu blocken)","(Versatile Combatant: アタックダメージブロック率の最大値に-10%、スペルダメージブロック率の最大値に-10%、最大値を超えた分のアタックダメージブロック率1%ごとにスペルダメージブロック率を+2%)","(공격 피해 막기 확률 최대치 -10% 및 주문 피해 막기 확률 최대치 -10%를 부여합니다. 제한 초과 공격 피해 막기 확률 1%당 주문 피해 막기 확률 +2%를 부여합니다.)","(-10% do máximo de Chance de Bloquear Dano de Ataque, -10% do máximo de Chance de Bloquear Dano Mágico, +2% de Chance de Bloquear Dano Mágico para cada 1% de Chance de Bloquear o Dano de Ataques Excedente)","(-10% к максимальному шансу блока урона от атак, -10% к максимальному шансу блока урона от чар, +2% к шансу блока урона от чар за каждый 1% шанса блока урона от атак выше максимума)","(-10% a la probabilidad máxima de bloquear el daño de ataques, -10% a la probabilidad máxima de bloquear el daño de hechizos, +2% de probabilidad de bloquear el daño de hechizos por cada 1% de probabilidad excedente de bloquear el daño de ataques)","(มีโอกาสบล็อคความเสียหาย โจมตี สูงสุด -10%, มีโอกาสบล็อคความเสียหาย เวท -10%, มีโอกาสบล็อคความเสียหาย เวท +2% ต่อโอกาสบล็อคความเสียหาย โจมตี ที่เกินโอกาสบล็อคสูงสุด)","( -10% 最大攻擊傷害格擋率、-10% 最大法術傷害格擋率、每 1% 超過上限的攻擊傷害格擋率 +2% 法術傷害格擋率 )","","","","","","","","","",""
266,"ReminderTextKeystoneLetheShade","(Take 50% less Damage over Time if you've started taking Damage over Time in the past second. 100% more Duration of Ailments on you)","(50% de Perte des Dégâts sur la durée subis si vous avez commencé à prendre des Dégâts sur la durée au cours de la dernière seconde. 100% Davantage de Durée des Altérations vous affectant)","(Erleidet 50% weniger Schaden über Zeit, wenn Ihr in der letzten Sekunde aufgehört habt, Schaden über Zeit zu erleiden. 100% mehr Dauer von Beeinträchtigungen auf Euch)","(Lethe Shade: 過去1秒以内に継続ダメージを受け始めた場合、受ける継続ダメージが50%低下する。受ける状態異常の持続時間が100%上昇)","(지난 1초 내에 지속 피해를 받기 시작한 경우 지속 피해가 50% 감폭됩니다. 플레이어에게 적용된 상태 이상의 지속시간이 100% 증폭됩니다.)","(Sofre 50% menos Dano Degenerativo se você começou a sofrer Dano Degenerativo no último segundo. 100% mais Duração de Afecções em você)","(Вы получаете на 50% меньше постепенного урона, если начали получать постепенный урон в последнюю секунду. На 100% большая длительность состояний на вас)","(Recibes un 50% menos de daño degenerativo si has comenzado a recibir daño degenerativo en el último segundo. 100% más de duración de los estados alterados sobre ti)","(ได้รับความเสียหายต่อเนื่อง ลดลง อีก 50% หากคุณเริ่มได้รับความเสียหายต่อเนื่อง ในวินาทีที่ผ่านมา และเพิ่มระยะเวลาของ สถานะเจ็บป่วย ต่อตัวคุณ อีก 100%)","( 若你在過去 1 秒開始受到持續傷害，承受 50% 更少持續傷害。100% 更多你身上異常狀態的持續時間 )","","","","","","","","","",""
267,"ReminderTextUncappedBlockChance","(Uncapped Chance to Block is the value Chance to Block would have if ignoring Maximum Chance to Block)","(Vos chances de Bloquer totales correspondent à la valeur qu'auraient vos chances de Bloquer si elles ignoraient vos chances de Bloquer maximales)","(Die ungedeckelte Blockchance ist der Wert, den die Blockchance hätte, wenn die maximale Blockchance ignoriert würde)","(最大値に制限されないブロック率はブロック率の最大値を無視した場合のブロック率の値)","(\""비 제한 막기 확률\""은 막기 확률 최대치를 무시했을 때의 막기 확률 값입니다)","(Chance de Bloqueio Não Limitada é o valor que a Chance de Bloqueio teria se ignorasse o Máximo de Chance de Bloqueio)","(Не ограниченый шанс блока - полное значение шанса блока без учёта максимального предела)","(La probabilidad de bloquear sin limitar es el valor que tendría la probabilidad de bloquear si se ignorase la probabilidad de bloquear máxima)","(โอกาสบล็อครวมเกิน คือค่าของโอกาสบล็อคที่ควรจะมี หากมองข้ามโอกาสบล็อคสูงสุด)","( 無上限格擋率是指若無視最大格擋率，格擋率可獲得的值 )","","","","","","","","","",""
268,"ReminderTextOvercappedBlockChance","(Overcapped Chance to Block is the amount by which Uncapped Chance to Block is higher than Maximum Chance to Block)","(La différence entre vos chances de Bloquer totales et vos chances de Bloquer maximales représente vos chances de Bloquer excédentaires)","(Die übergedeckelte Blockchance ist der Wert, um den die ungedeckelte Blockchance den Wert der maximalen Blockchance übersteigt)","(最大値を超えたブロック率は、無制限ブロック率が、最大ブロック率よりも高い場合の値)","(\""제한 초과 막기 확률\""은 비 제한 막기 확률에서 막기 확률 최대치를 뺀 값입니다)","(Chance de Bloqueio Excedente é a quantidade acima do Máximo de Chance de Bloqueio)","(Шанс блока выше максимума - величина, на которую не ограниченный шанс блока превышает максимальный шанс блока)","(La probabilidad de bloquear excedente es la cantidad por la cual la probabilidad de bloquear sin limitar es mayor que la probabilidad de bloquear máxima)","(โอกาสบล็อคที่เกินค่าบล็อคสูงสุด คือจำนวนที่ ค่าโอกาสบล็อครวมเกิน นั้นสูงกว่า ค่าโอกาสบล็อคสูงสุด)","( 超過上限的格擋率是指絕對格擋率高於最大格擋率的值 )","","","","","","","","","",""
269,"ReminderTextOvercappedResistance","(Overcapped Resistance is the amount by whch Uncapped Resistance is higher than Maximum Resistance)","(La différence entre votre Résistance totale et votre Résistance maximale représente votre Résistance excédentaire)","(Der übergedeckelte Widerstand ist der Wert, um den der ungedeckelte Widerstand den Wert des maximalen Widerstands übersteigt)","(最大値を超えた耐性は、無制限耐性値が、最大耐性値よりも高い場合の値)","(\""제한 초과 저항\""은 비 제한 저항에서 저항 최대치를 뺀 값입니다)","(Resistência Não Limitada é o valor que as Resistências teriam se ignorassem o Máximo de Resistências)","(Сопротивление выше максимума - величина, на которую не ограниченное сопротивление превышает максимум сопротивления)","(La resistencia excedente es la cantidad por la cual la resistencia sin limitar es mayor que la resistencia máxima)","(ค่าต้านทานที่เกินค่าต้านทานสูงสุด คือจำนวนที่ ค่าต้านทานรวมเกิน นั้นสูงกว่า ค่าต้านทานสูงสุด)","( 超過上限的抗性是指絕對抗性高於最大抗性的值 )","","","","","","","","","",""
270,"ReminderTextFireAilments","(Fire Ailments are Ignited and Scorched)","(Les Altérations de feu sont l'Embrasement et la Calcination)","(Feuer-Beeinträchtigungen sind: entzündet und versengt)","(Fire Ailment: 火の状態異常は、発火と焦げです)","(화염 상태 이상에는 점화와 그을림이 있습니다)","(Afecções de Fogo são Incêndio e Causticado)","(Состояния огня - поджог и Опаление)","(Los estados alterados de fuego son quemado y calcinado)","(สถานะเจ็บป่วยไฟ คือ ลุกไหม้และแผดเผา)","( 火焰異常狀態為點燃和焦灼 )","","","","","","","","","",""
271,"ReminderTextFortifyingHit","(Fortifying grants an amount of Fortification based on the Damage of the Hit)","(Lorsque vous vous Renforcez au Toucher, vous obtenez un cumul de Renforcement en fonction des Dégâts infligés)","(Verstärkende Treffer gewähren Verstärkung, deren Höhe auf dem Schaden des Treffers basiert)","(Fortify: 堅牢化はヒットダメージに基づいて堅牢化の値を付与します)","(방어 상승이 부여하는 방어 상승의 양은 명중으로 주는 피해에 기반합니다)","(Fortificações concedem uma quantidade de Fortificação baseado no Dano do Acerto)","(Укрепляющий удар дарует заряды Укрепления в зависимости от урона данного удара)","(Los golpes fortificantes otorgan una cantidad de Fortificación basada en el daño del golpe)","(Fortifying ให้จำนวนสถานะ การตั้งมั่น ตามจำนวนความเสียหายของการปะทะนั้น)","( 護體根據擊中的傷害總量給予護體 )","","","","","","","","","",""
272,"ReminderTextUpfrontCost","(Upfront Costs are all Costs that are not paid per-second)","(Les Coûts fixes sont les Coûts qui ne sont pas payés par seconde)","(Vorauskosten sind alle Kosten, die nicht pro Sekunde entrichtet werden)","(Upfront Cost: 発動時コストとは秒単位で支払われない全てのコストのことです)","(초기 비용은 초 단위로 지불되지 않는 모든 소모를 의미합니다.)","(Custos Diretos são todos os custos que não são pagos por segundo)","(Мгновенный расход - это любой расход не в секунду)","(Los costos iniciales son todos los costos que no se pagan por segundo)","(ค่าใช้งานเริ่มแรก คือค่าใช้งานทุกชนิดที่ไม่ถูกจ่ายออกไปทุกวินาที","( 前期消耗為每秒未支付的全部消耗 )","","","","","","","","","",""
273,"ReminderTextBlindNoDuration","(Being Blinded causes 20% less Accuracy Rating and Evasion Rating)","(Être Aveuglé infligé 20% de Perte de Scores de Précision et  d'Évasion)","(Geblendet zu sein bewirkt 20% weniger Treffgenauigkeit und Ausweichwert)","(Blind: 盲目は、命中力と回避力を20%低下させる)","(실명은 정확도와 회피를 20% 감폭시킵니다.)","(Estar Cego causa 20% menos Precisão e Evasão)","(Во время ослепления меткость и уклонение на 20% меньше)","(La ceguera provoca un 20% menos de precisión y de evasión)","(สถานะ ตาบอด ลดอัตราความแม่นยำและอัตราการหลบหลีก อีก 20%)","( 被致盲有20%更少命中率和閃避值 )","","","","","","","","","",""
274,"ReminderTextCoveredInFrostNoDuration","(Being Covered in Frost applies 50% less Critical Strike Chance and 20% increased Cold Damage Taken)","(Être Recouvert de givre inflige 50% de Perte de chances de Coup critique et 20% d'Augmentation des Dégâts de froid subis)","(Mit Frost bedeckt wendet 50% weniger kritische Trefferchance und 20% erhöhten erlittenen Kälteschaden an)","(Covered in Frost: 霜まみれは、クリティカル率を50%低下させ、受ける冷気ダメージを20%増加させる。)","(\""서리로 뒤덮임\"" 상태에서는 치명타 확률이 50% 감폭되고 받는 냉기 피해가 20% 증가합니다.)","(Estar coberto por Gelo aplica 50% menos Chance de Golpe Crítico e Dano de Gelo Sofrido aumentado em 20%)","(Покрытие инеем даёт на 50% меньший шанс критического удара и увеличивает получаемый урон от холода на 20%)","(Estar cubierto de escarcha otorga un 50% menos de probabilidad de golpe crítico y daño de hielo recibido aumentado un 20%)","(สถานะ อาบน้ำแข็ง ลดโอกาสคริติคอล อีก 50% และเพิ่มความเสียหาย น้ำแข็ง ที่ได้รับ 20%)","( 被霜寒纏身的敵人有 50% 更少暴擊率和增加承受 20% 冰冷傷害 )","","","","","","","","","",""
275,"ReminderTextCoveredInFrost","(Being Covered in Frost applies 50% less Critical Strike Chance and 20% increased Cold Damage Taken, for 4 seconds)","(Être Recouvert de givre inflige 50% de Perte de chances de Coup critique et 20% d'Augmentation des Dégâts de froid subis pendant 4 secondes)","(Mit Frost bedeckt wendet 50% weniger kritische Trefferchance und 20% erhöhten erlittenen Kälteschaden an, für 4 Sekunden)","(Covered in Frost: 霜まみれは、クリティカル率を50%低下させ、受ける冷気ダメージを20%増加させる。持続時間は4秒)","(\""서리로 뒤덮임\"" 상태에서는 치명타 확률이 50% 감폭되고 받는 냉기 피해가 20% 증가합니다. 4초 동안 유지됩니다)","(Estar coberto por Gelo aplica 50% menos Chance de Golpe Crítico e Dano de Gelo Sofrido aumentado em 20%, por 4 segundos)","(Покрытие инеем даёт на 50% меньший шанс критического удара и увеличивает получаемый урон от холода на 20% на 4 секунды)","(Estar cubierto de escarcha otorga un 50% menos de probabilidad de golpe crítico y daño de hielo recibido aumentado un 20%, durante 4 segundos)","(สถานะ อาบน้ำแข็ง ลดโอกาสคริติคอล อีก 50% และเพิ่มความเสียหาย น้ำแข็ง ที่ได้รับ 20% 4 วินาที)","( 被霜寒纏身的敵人有 50% 更少暴擊率和增加承受 20% 冰冷傷害，持續 4 秒 )","","","","","","","","","",""
276,"ReminderTextCorrosion","(-5000 to total Armour and -1000 to total Evasion Rating per Corrosion. Corrosion lasts 4 seconds and refreshes the duration of existing Corrosion)","(-5000 au total de Score d'Armure et -1000 au total de Score d'Évasion par cumul de Corrosion. La Corrosion dure 4 seconde et chaque nouveau cumul réinitialise la durée de la Corrosion existante)","(-5000 zu Rüstung und -1000 zu Ausweichwert pro Korrosion. Korrosion hält 4 Sekunden an und erneuert die Dauer von bestehender Korrosion)","(Corrosion: 腐食ごとに‐合計アーマーが‐5000および合計回避力が‐1000される。腐食の持続時間は4秒で、既存の腐食デバフを持続時間を更新する。)","(부식 하나당 전체 방어도 -5000, 전체 회피 -1000. 부식이 4초 지속되고 기존 부식의 지속시간을 초기화함)","(-5000 de Armadura total e -1000 de Evasão por Corrosão. Corrosão dura 4 segundos e atualiza a duração da Corrosão existente)","(-5000 к суммарной броне и -1000 к суммарному уклонению за каждый эффект Коррозии. Коррозия длится 4 секунды и обновляет время действия уже наложенной Коррозии)","(-5000 a la armadura total y -1000 a la evasión total por cada Corrosión. Corrosión dura 4 segundos y actualiza la duración de la Corrosión existente)","(ค่าเกราะ ทั้งหมด -5000 และ อัตราการหลบหลีก ทั้งหมด -1000 ต่อจำนวนสถานะ กัดกร่อน โดยสถานะ กัดกร่อน คงอยู่ 4 วินาที และจะคืนระยะเวลาของสถานะ กัดกร่อน ที่มีอยู่)","(每層腐蝕 -5000護甲和 -1000 閃避值。腐蝕持續 4 秒並刷新現有腐蝕的持續時間)","","","","","","","","","",""
277,"ReminderTextKeystonePreciseTechnique","(40% more Attack Damage if Accuracy Rating is higher than Maximum Life. Never deal Critical Strikes)","(Vous avez 40% Davantage de Dégâts d'Attaque si votre Score de Précision est supérieur à votre Vie maximale. Vous n'infligez plus de Coups critiques)","(40% mehr Angriffsschaden, wenn Eure Treffgenauigkeit höher ist als das maximale Leben. Ihr erzielt keine kritischen Treffer)","(Precise Technique: 命中力が最大ライフよりも高い場合、アタックダメージが40%上昇。クリティカルストライクを与えられない。)","(정확도가 최대 생명력보다 높으면 공격 피해가 40% 증폭됩니다. 치명타가 발동하지 않습니다.)","(40% mais Dano de Ataque se a Precisão for maior do que a Vida Máxima. Nunca cause Golpes Críticos)","(На 40% больше урона от атак, если меткость выше максимума здоровья. Вы никогда не наносите критических ударов)","(40% más de daño de ataques si tu precisión es superior a tu vida máxima. Nunca infliges golpes críticos)","(เพิ่มความเสียหาย โจมตี อีก 40% หาก อัตราความแม่นยำ สูงกว่า พลังชีวิตสูงสุด\nไม่สามารถคริติคอลได้)","( 若命中值高於最大生命，有 40% 更多攻擊傷害。不會造成暴擊 )","","","","","","","","","",""
278,"ReminderTextOperativesStrongbox","(Operative's Strongboxes contain Scarabs)","(Les Coffres-forts d'agent contiennent des Scarabées)","(Kundschaftertresore beinhalten Skarabäen)","(諜報員のストロングボックスはスカラベが入っています。)","(첩보원의 금고에 갑충석이 들어 있습니다.)","(Cofres Operativos contém Escaravelhos)","(Ларцы разведчика содержат скарабеев)","(Las Cajas fuertes del Operario contienen escarabajos)","(กล่องนิรภัยของผู้ปฏิบัติงานมี สคารับ)","(技工的保險箱含有聖甲蟲)","","","","","","","","","",""
279,"ReminderTextRogueExileBodyguards","(Rogue Exile Bodyguards take 50% less damage, and have additional Rewards.)","(Les Exilés renégats gardes du corps ont 50% de Perte des Dégâts subis et octroient des Récompenses supplémentaires)","(Abtrünnige Verbannte bei Kartenbossen erleiden 50% weniger Schaden und haben zusätzliche Belohnungen.)","(ローグエグザイルの護衛は、受けるダメージが50%低下し、追加の報酬を持ちます。)","(탈주 유배자 호위병이 받는 피해가 50% 감폭되고, 추가 보상을 제공합니다.)","(Guardas-costa Exilados Renegados sofrem 50% menos dano, e tem Recompensas adicionais.)","(Телохранители бродячих изгнанников получают на 50% меньше урона и приносят дополнительные награды.)","(Los exiliados renegados guardaespaldas reciben un 50% menos de daño y tienen recompensas adicionales.)","(เอ็กไซล์อันธพาลผู้คุ้มกัน ได้รับความเสียหาย ลดลง อีก 50% และมี ของรางวัล เพิ่มเติม)","( 盜賊流亡者保鑣承受 ５0% 更少傷害，並有額外的獎勵 )","","","","","","","","","",""
280,"ReminderTextOilExtractor","(An Oil Extractor destroys an Anointed Item to recover one of the Oils that was used to apply that Anointment)","(Les Extracteurs d'Huile détruisent un Objet enchanté par Cassia et vous rendent l'une des Huiles ayant servi à l'Enchantement)","(Ein Öl-Extrahierer zerstört einen geweihten Gegenstand, um eines der Öle wiederzugewinnen, das bei seiner Weihung verwendet wurde.)","(Oil Extractor: オイル抽出機は、アノイントされたアイテムを破壊し、アノイントに使用されていたオイルの内の1つを回収します。)","(성유 추출기를 사용하면 성유 속성이 있는 아이템을 파괴하여, 속성을 붙일 때 썼던 성유 하나를 돌려받을 수 있습니다.)","(Um Extrator de Óleo destrói um Item Ungido para recuperar um dos Óleos que foram utilizados para aplicar tal Unção)","(Экстрактор масел уничтожает обработанный предмет, извлекая одно из масел, использованных для его обработки)","(Los extractores de aceite destruyen los objetos ungidos para recuperar uno de los aceites que se usaron para aplicar la unción)","(ตัวสกัดน้ำมัน ทำลาย ไอเทมที่ได้รับการเจิม เพื่อเก็บ น้ำมัน หลอดหนึ่งที่ใช้ในการเจิมนั้น","( 精油淬鍊會破壞抹油的物品，來回復其中一個套用抹油的油瓶 )","","","","","","","","","",""
281,"ReminderTextComprehensiveScoutingReports","(Comprehensive Scouting Reports reroll all of Kirac's Atlas Missions, adding additional mission options that can include new outcomes)","(Les Rapports de reconnaissance exhaustifs tirent au hasard de nouvelles missions d'Atlas de Kirac et ajoutent des options de missions supplémentaires)","(Ausführliche Kundschafterberichte würfeln Kiracs Missionen neu. Die neue Auswahl enthält zusätzliche Missions-Optionen.)","(広域偵察報告書は、キラックのアトラスミッションをすべてリロールし、新たな結果が含まれる可能性のある、ミッションオプションを追加します。)","(상세한 정찰 보고서는 키락의 아틀라스 임무를 모두 무작위 변경하여, 새로운 결과를 포함할 수 있는 임무 옵션을 추가합니다.)","(Relatórios Abrangentes de Patrulha re-rolam todas as Missões de Kirac, adicionando opções adicionais de missões que podem incluir novos resultados)","(Подробные доклады разведки обновляют все предлагаемые Кираком задания Атласа, добавляя дополнительные потенциально новые задания)","(Los informes de exploración exhaustivos aleatorizan todas las misiones de Atlas de Kirac y agregan opciones de misión adicionales que pueden incluir nuevos resultados)","(รายงานสำรวจครอบคลุม สุ่มภารกิจแอตลาสของ คิรัค ทั้งหมดให้มี ตัวเลือกแผนที่เพิ่มเติม ซึ่งอาจมีผลลัพธ์ใหม่)","( 全面偵查報告重骰全部基拉克的輿圖任務，增加含有新結果的額外任務選項 )","","","","","","","","","",""
282,"ReminderTextOperativesScoutingReport","(Operative's Scouting Reports reroll all of Kirac's Atlas Missions, granting missions with rewarding implicit modifiers.)","(Les Rapports de reconnaissance d'agent tirent au hasard de nouvelles missions d'Atlas de Kirac et donnent des implicites lucratifs aux missions)","(Umfangreiche Kundschafterberichte würfeln Kiracs Missionen neu. Die neue Auswahl enthält Missionen mit lohnenden impliziten Modifikatoren.)","(諜報員の偵察報告書は、キラックのアトラスミッションをすべてリロールし、得られるミッションに報酬に関する暗黙モッドを追加します。)","(첩보원의 정찰 보고서는 키락의 아틀라스 임무를 모두 무작위 변경하여, 이를 통해 고정 속성을 보상으로 받는 임무를 진행할 수 있습니다.)","(Relatórios Operativos de Patrulha re-rolam todas as Missões de Kirac, concedendo missões com modificadores implícitos recompensadores.)","(Оперативные доклады разведки обновляют все предлагаемые Кираком задания Атласа, добавляя дополнительные награды к содержимому заданий)","(Los informes de exploración del operario aleatorizan todas las misiones de Atlas de Kirac y agregan misiones con modificadores implícitos como recompensas)","(รายงานสำรวจผู้ปฏิบัติงาน สุ่มภารกิจแอตลาสของ คิรัค ทั้งหมดให้มีภารกิจที่มี ม็อดแฝง ที่ให้รางวัลสูง)","( 技工偵查報告重骰全部基拉克的輿圖任務，增加有獎勵固定詞綴的任務 )","","","","","","","","","",""
283,"ReminderTextBlightedScoutingReports","(Blighted Scouting Reports reroll all of Kirac's Atlas Missions, including at least one Anointed Blighted Map)","(Les Rapports de reconnaisance infestés tirent au hasard de nouvelles missions d'Atlas de Kirac, dont au moins une Carte infestée enchantée)","(Befallene Kundschafterberichte würfeln Kiracs Missionen neu. Die neue Auswahl enthält mindestens eine geweihte Befallene Karte.)","(ブライト偵察報告書は、キラックのアトラスミッションをすべてリロールし、得られるミッションには少なくとも1個のアノイントされたブライトマップが含まれます。)","(역병 걸린 정찰 보고서는 키락의 아틀라스 임무를 모두 무작위 변경합니다. 결과에는 성유 속성을 가진 역병 걸린 지도가 1개 이상 포함됩니다.)","(Relatórios Infestados de Patrulha re-rolam todas as Missões de Kirac, incluindo ao menos um Mapa Ungido Infestado)","(Заражённые доклады разведки обновляют все предлагаемые Кираком задания Атласа, включая как минимум одну зачарованную заражённую карту)","(Los informes de exploración infestados aleatorizan todas las misiones de Atlas de Kirac e incluyen al menos un mapa infestado ungido)","(รายงานสำรวจเชื้อราร้าย สุ่มภารกิจแอตลาสของ คิรัค ทั้งหมดให้มี แผนที่ไบล์ทที่ได้รับการเจิม อย่างน้อย 1 ชิ้น)","( 凋落偵查報告重骰全部基拉克的輿圖任務，包含至少 1 個抹油的凋落地圖 )","","","","","","","","","",""
284,"ReminderTextDeliriousScoutingReports","(Delirious Scouting Reports reroll all of Kirac's Atlas Missions, adding layers of Delirium to all non-Unique Maps)","(Les Rapports de reconnaissance délirants tirent au hasard de nouvelles missions d'Atlas de Kirac et ajoutent des stades de Délire à toutes les Cartes non uniques)","(Deliriöse Kundschafterberichte würfeln Kiracs Missionen neu. In der neuen Auswahl enthalten alle Karten (einzigartige ausgenommen) Ebenen des Deliriums.","(デリリウム偵察報告書は、キラックのアトラスミッションをすべてリロールし、すべての非ユニークマップにデリリウムの層を追加します。)","(환영의 정찰 보고서는 키락의 아틀라스 임무를 모두 무작위 변경하여, 모든 비-고유 지도에 환영 현상을 추가합니다.)","(Relatórios Delirantes de Patrulha re-rolam todas as Missões de Kirac, adicionando camadas de Delírio em Mapas não-Únicos)","(Бредовые доклады разведки обновляют все предлагаемые Кираком задания Атласа, добавляя слои Делириума на все неуникальные карты)","(Los informes de exploración de delirio aleatorizan todas las misiones de Atlas de Kirac y agregan capas de delirio a todos los mapas que no sean únicos)","(รายงานสำรวจคลุ้มคลั่ง สุ่มภารกิจแอตลาสของ คิรัค ทั้งหมดให้มีการเพิ่มชั้นของ เดลิเรียม ให้กับแผนที่ทุกด่านที่ไม่ใช่ แผนที่ยูนิค)","( 譫妄偵查報告重骰全部基拉克的輿圖任務，增加譫妄層至全部非傳奇地圖 )","","","","","","","","","",""
285,"ReminderTextOtherworldlyScoutingReports","(Otherworldly Scouting Reports reroll all of Kirac's Atlas Missions, including at least one Breachstone)","(Les Rapports de reconnaissance d'un autre monde tirent au hasard de nouvelles missions d'Atlas de Kirac, dont au moins une Pierre de Brèche)","(Jenseitige Kundschafterberichte würfeln Kiracs Missionen neu. Die neue Auswahl enthält mindestens einen Riss-Stein.)","(異世界の偵察報告書は、キラックのアトラスミッションをすべてリロールし、得られるミッションには少なくとも1個のブリーチストーンが含まれます。)","(신기한 정찰 보고서는 키락의 아틀라스 임무를 모두 무작위 변경합니다. 결과에는 균열석이 1개 이상 포함됩니다.)","(Relatórios Sobrenaturais de Patrulha re-rolam todas as Missões de Kirac, incluindo ao menos uma Pedra de Fenda)","(Потусторонние доклады разведки обновляют все предлагаемые Кираком задания Атласа, включая как минимум один камень Разлома)","(Los informes de exploración de otro mundo aleatorizan todas las misiones de Atlas de Kirac e incluyen al menos una piedra de fisura)","(รายงานสำรวจนอกโลก สุ่มภารกิจแอตลาสของ คิรัค ทั้งหมดให้มี ศิลาบรีช อย่างน้อย 1 ก้อน)","( 超凡偵查報告重骰全部基拉克的輿圖任務，包含至少 1 個裂痕石 )","","","","","","","","","",""
286,"ReminderTextHandofXeshtUla","(Hand of Xesht-Ula can drop Breach Splinters of every Breach type)","(Les Poings de Xesht-Ula peuvent contenir des Esquilles de Brèche de n'importe quel type de Brèche)","(Hand von Xesht-Ula kann Riss-Splitter von jedem Riss-Typ fallen lassen)","(ゼシュト・ウラの手からは、すべてのタイプのブリーチの破片が入手できます。)","(제쉬트-울라의 손에서는 모든 균열 유형의 균열 파편이 나올 수 있습니다.)","(Mão de Xesht-Ula pode derrubar Fragmentos Breach de todos os tipos de Fendas)","(Из сокровищ Ксешт-Улы могут выпасть осколки Разлома любого типа)","(El Puño de Xesht-Ula puede arrojar astillas de fisura de todos los tipos de fisuras)","(มือของเซ็ชท์-อูลา สามารถดรอป สะเก็ดบรีช จาก บรีช ทุกชนิด)","( 烈許烏拉的抑制會掉落每種裂痕的裂痕裂片 )","","","","","","","","","",""
287,"ReminderTextXeshtUlaBoss","(Xesht-Ula can drop Breachstones of every Breach type)","(Xesht-Ula peut céder des Pierres de Brèche de n'importe quel type de Brèche)","(Xesht-Ula kann Riss-Steine von jedem Riss-Typ fallen lassen)","(ゼシュト・ウラからは、すべてのタイプのブリーチストーンが入手できます。)","(제쉬트-울라에서는 모든 균열 유형의 균열석이 나올 수 있습니다.)","(Xesht-Ula pode derrubar uma Pedra da Fenda de cada tipo)","(Из Ксешт-Улы могут выпасть камни Разлома любого типа)","(Xesht-Ula puede arrojar piedras de fisura de todos los tipos de fisuras)","(เซ็ชท์-อูลา สามารถดรอป หินบรีช จาก บรีช ทุกชนิด)","( 烈許烏拉會掉落每種裂痕的裂痕石 )","","","","","","","","","",""
