"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Invisible","Removable","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","StatsKeys","CancelOnDeath","i32_43","ShowCount","Maximum_StatsKey","Current_StatsKey","bool_80","i32_81","BuffVisualsKey","bool_101","bool_102","BuffCategory","bool_107","bool_108","bool_109","bool_110","BuffLimit","bool_115","Id2","IsRecovery","bool_125","MinStat","bool_142","UIStackMode","bool_147","IsSkillBuff","i32_149","[i32]_153","bool_169","bool_170","MultiPartAchievement","bool_187","Stats2","GrantedFlags","GrantedStats","ConditionStats","bool_252","bool_253","bool_254","bool_255","bool_256","rid_257","[i32]_273","string_289","string_289 (French)","string_289 (German)","string_289 (Japanese)","string_289 (Korean)","string_289 (Portuguese)","string_289 (Russian)","string_289 (Spanish)","string_289 (Thai)","string_289 (Traditional Chinese)","[rid]_297","bool_313"
1297,"quick_guard","A percentage of all Damage from Hits is taken from this buff before your Life or Energy Shield. ","Un pourcentage de tous les Dégâts subis au toucher seront absorbés par cet Effet bénéfique avant d'affecter votre Vie ou Bouclier d'énergie.","Ein Teil jeglichen Schadens von Treffern wird zuerst von dieser Stärkung und danach von Eurem Leben oder Energieschild abgezogen.","ヒットによるすべてのダメージの一部をライフ、エナジーシールドに代わりバフが受ける。","피격 시 받는 모든 피해의 일부가 생명력이나 에너지 보호막보다 이 버프에 먼저 적용됩니다.","Uma porcentagem de todo o Dano de golpes é tomado por esse efeito antes da sua Vida ou Escudo de Energia. ","Часть всего урона от ударов берётся сначала из этого положительного эффекта вместо вашего здоровья или энергетического щита.","Un porcentaje de todo el daño de los golpes se deduce de este efecto beneficioso antes que de tu vida o escudo de energía.","บัฟนี้จะรับความเสียหาย ปะทะ ทุกชนิด ส่วนหนึ่งก่อน พลังชีวิตหรือโล่พลังงาน","生命或能量護盾所承受的部分傷害先從此增益效果扣除。","",1,"Steelskin","Peau d'acier ","Stahlhaut","スティールスキン","강철피부","Pele de Aço","Стальная кожа","Piel de acero","ผิวเหล็ก","鋼筋鐵骨","[1037,7761]",1,3,1,"",9972,"",36,1060,1,"",1,"",1,1,"",0,"","QuickGuardBuff","","","","",5,"","",0,[],"","",[],"",[9474],[2686],"[1037,7761,9474]",[9654],"","","","","","",[],"","","","","","","","","","",[],""
1298,"interpolate_stat","","","","","","","","","","",1,"","","","","","","","","","","",[],"",1,"","","","",36,0,1,"",18,"",1,1,"",0,"","InterpolateStat","","","","",5,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"","","","","","","","","","",[],""
1299,"quick_block","","","","","","","","","","","",1,"[UNUSED] Quick Block","[DNT] Quick Block","[DNT] Quick Block","[UNUSED] Quick Block","[DNT] Quick Block","[DNT] Quick Block","[DNT] Quick Block","[UNUSED] Quick Block","[DNT] Quick Block","[UNUSED] Quick Block",[],1,3,"","","","",36,1068,1,"",18,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"","","","","","","","","","",[],""
1300,"cyclone_channelled_stage","You have stages from channelling Cyclone. These stages will be lost while not channelling.","Vous avez cumulé des paliers de Cyclone. Vous les perdrez si vous arrêtez de canaliser l'aptitude.","Ihr habt durch das Kanalisieren von 'Wirbelsturm' Phasen aufgebaut. Diese Phasen gehen verloren, wenn die Fertigkeit nicht mehr kanalisiert wird.","チャネリング中のサイクロンからステージを獲得。ステージはチャネリングを終えると失われる。","집중 유지하는 회오리바람의 단계가 생겼습니다. 집중 유지를 하지 않는 동안은 단계를 잃습니다.","Você tem fases por canalizar o Ciclone. Essas cargas serão perdidas enquanto não canalizadas.","При поддержании Вихря вы накапливаете стадии. Стадии будут потеряны, когда поддержание прекратится.","Tienes fases por canalizar Ciclón. Estas fases se perderán cuando no canalices.","คุณได้สเตจจากการแชนเนล พายุหมุน (Cyclone) ซึ่งจะสูญเสียไปถ้าหยุดแชนเนล","你引導施放旋風斬獲得疊層。此充能在停止引導施放時消失。","","","Cyclone","Cyclone ","Wirbelsturm","サイクロン","회오리바람","Ciclone","Вихрь","Ciclón","พายุหมุน","旋風斬",[],1,3,1,"",9419,"",36,1069,1,"",6,"",1,1,"",0,"","DecayingStageBuff","","","","",5,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"","","","","","","","","","",[],""
1301,"bladestorm_sandstorm","You are in a Sand Bladestorm, granting you increased movement speed.","Vous êtes dans une Tempête de lames de sable. Vous bénéficiez d'une Augmentation de Vitesse de déplacement.","Ihr befindet Euch in einem Sand-Klingensturm, der Euch erhöhte Bewegungsgeschwindigkeit gewährt.","サンドブレードストームの中にいるため、移動スピードが増加。","모래 칼날 폭풍 속에 있기 때문에 이동 속도가 증가합니다.","Você está em uma Tempestade de Lâminas de Areia, o que lhe concede Velocidade de Movimento Aumentada.","Вы находитесь в урагане лезвий песка, ваша скорость передвижения повышена","Estás en una tormenta de filos de arena que te otorga velocidad de movimiento aumentada.","คุณอยู่ใน พายุดาบทราย ทำให้คุณได้รับ: เพิ่มความเร็วในการเคลื่อนที่","沙戮旋天劍舞，增加你的移動速度。","","","Sand Bladestorm","Tempête de sable ","Sand-Klingensturm","サンドブレードストーム","모래 칼날 폭풍","Tempestade de Lâminas de Areia","Ураган лезвий песка","Tormenta de filos de arena","พายุดาบทราย","沙戮旋天劍舞","[9439,179]","",3,"","","","",36,1070,1,"",18,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],"[9439,179]",[],"","","","","","",[],"","","","","","","","","","",[],""
1302,"bladestorm_bloodstorm","You are in a Blood Bladestorm","Vous êtes dans une Tempête de lames de sang.","Ihr befindet Euch in einem Blut-Klingensturm.","ブラッドブレードストームの中にいる。","핏빛 칼날 폭풍 속에 있습니다","Você está em uma Tempestade de Lâminas Sangrentas.","Вы находитесь в урагане лезвий крови","Estás en una tormenta de filos de sangre","คุณอยู่ใน พายุดาบโลหิต","血腥旋天劍舞。","","","Blood Bladestorm","Tempête de sang ","Blut-Klingensturm","ブラッドブレードストーム","핏빛 칼날 폭풍","Tempestade de Lâminas de Sangue","Ураган лезвий крови","Tormenta de filos de sangre","พายุดาบโลหิต","血腥旋天劍舞",[9438],"",3,"","","","",36,1071,1,"",18,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[9438],[],"","","","","","",[],"","","","","","","","","","",[],""
1303,"blood_stance","You are in Blood Stance, deal more area damage with melee attacks, and have less area of effect with melee attacks.","Vous êtes en Posture du sang. Vous infligez Davantage de Dégâts de zone avec les attaques en mêlée. Vous avez une Perte de Zone d'effet avec les attaques en mêlée.","Ihr befindet Euch in der Bluthaltung: Ihr verursacht mehr Flächenschaden mit Nahkampfangriffen, habt aber weniger Wirkungsbereich mit Nahkampfangriffen.","ブラッドスタンス状態のため、近接攻撃による範囲ダメージが上昇、近接攻撃による効果範囲が低下。","핏빛 태세를 취하여 근접 공격의 범위 피해가 증폭하고, 근접 공격 시 효과 범위가 감폭합니다.","Você está em Postura de Sangue, dá mais dano em área com ataques corpo a corpo, e tem menos área de efeito com ataques corpo a corpo.","Вы находитесь в стойке крови и наносите больше урона по области атаками в ближнем бою, но область действия атак ближнего боя становится меньше.","Estás en Postura de sangre, infliges más daño en área con los ataques cuerpo a cuerpo, y tienes menos área de efecto con los ataques cuerpo a cuerpo.","คุณอยู่ในกระบวนท่า โลหิต ทำให้การโจมตีประชิดสร้างความเสียหาย พื้นที่ เพิ่มขึ้น อีก และทำให้การโจมตีประชิดมีพื้นที่ส่งผล ลดลง อีก","你處於血腥姿態，造成更多的近戰攻擊範圍傷害，並更少的近戰攻擊範圍效果。","",1,"Blood Stance","Posture du sang ","Bluthaltung","ブラッドスタンス","핏빛 태세","Postura de Sangue","Стойка крови","Postura de sangre","กระบวนท่าโลหิต","血腥姿態","[9441,9509,9508,5023,13086]",1,2,"","","","",10,1073,1,"",1,"",1,1,"",0,"","","","","","",5,"",1,0,[],"","",[],"",[],[],"[9441,9509,9508,5023,13086]",[],"","","","","","",[],"","","","","","","","","","",[],""
1304,"sand_stance","You are in Sand Stance, deal less area damage with melee attacks, and have more area of effect with melee attacks.","Vous êtes en Posture du sable. Vous avez une Perte de Dégâts de zone avec les attaques en mêlée. Vous avez Davantage de Zone d'effet avec les attaques en mêlée.","Ihr befindet Euch in der Sandhaltung: Ihr verursacht weniger Flächenschaden mit Nahkampfangriffen, habt aber mehr Wirkungsbereich mit Nahkampfangriffen.","サンドスタンス状態のため、近接攻撃による範囲ダメージが低下、近接攻撃による効果範囲が上昇。","모래 태세를 취하여 근접 공격의 범위 피해가 감폭하고, 근접 공격 시 효과 범위가 증폭합니다.","Você está em Postura de Areia, dá menos área em dano com ataques corpo a corpo e mais área de efeito com ataques corpo a corpo.","Вы находитесь в стойке песка и наносите меньше урона по области атаками в ближнем бою, но область действия атак ближнего боя становится больше.","Estás en Postura de arena, infliges menos daño en área con los ataques cuerpo a cuerpo, y tienes más área de efecto con los ataques cuerpo a cuerpo.","คุณอยู่ในกระบวนท่า วาลุกา ทำให้การโจมตีประชิดสร้างความเสียหาย พื้นที่ ลดลง อีก และทำให้การโจมตีประชิดมีพื้นที่ส่งผล เพิ่มขึ้น อีก","你處於沙戮姿態，造成更少的近戰攻擊範圍傷害，並更多的近戰攻擊範圍效果。","",1,"Sand Stance","Posture du sable ","Sandhaltung","サンドスタンス","모래 태세","Postura de Areia","Стойка песка","Postura de arena","กระบวนท่าวาลุกา","沙姿態","[9442,9509,9508,177,9338]",1,2,"","","","",10,1072,1,"",1,"",1,1,"",0,"","","","","","",5,"",1,0,[],"","",[],"",[],[],"[9442,9509,9508,177,9338]",[],"","","","","","",[],"","","","","","","","","","",[],""
1305,"berserk","You deal more damage, have more attack speed, more movement speed and take less damage.","Vous infligez Davantage de Dégâts, vous avez Davantage de Vitesse d'attaque et de déplacement et vous subissez moins de Dégâts.","Ihr zehrt von Eurem Rausch und beginnt zu wüten. Ihr verursacht mehr Schaden, habt mehr Angriffs- und Bewegungsgeschwindigkeit und erleidet weniger Schaden.","与えるダメージ、アタックおよび移動スピードが上昇、受けるダメージが低下。","플레이어가 주는 피해, 공격 속도, 이동 속도가 증폭하며 받는 피해가 감폭합니다.","Você causa mais dano, tem mais velocidade de ataque, mais velocidade de movimento e sofre menos dano.","Вы наносите больше урона, имеете больше скорости атаки и передвижения, и получаете меньше урона.","Infliges más daño, tienes más velocidad de ataque y más velocidad de movimiento, y recibes menos daño.","คุณสร้างความเสียหาย เพิ่มขึ้น อีก, มีความเร็วในการโจมตีและเคลื่อนที่ เพิ่มขึ้น อีก และได้รับความเสียหาย ลดลง อีก","你造成更多傷害、更多攻擊速度、更多移動速度和承受較少傷害。","","","Berserk","Berserk ","Wüten","バーサーク","광폭","Berserk","Боевое безумие","Barbarie","ปลดปล่อยความบ้าคลั่ง","狂戰","[9448,20809,9696,719]",1,2,"","","",1,36,1079,1,"",1,"",1,1,"",0,"","BerserkBuff","","","","",5,"","",0,[],"","",[],"",[],[],"[9448,20809,9696,719]",[],"","","","","","",[],"","","","","","","","","","",[],""
1306,"frozen_in_time","","","","","","","","","","","","","","","","","","","","","","","[9458,479]","",2,"","","","",36,1076,1,"",18,1,1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],"[9450,981,1310]","[9458,479]",[],"","","","","","",[],"","","","","","","","","","",[],""
1307,"shrine_resonating","You have a chance to gain a Power, Frenzy or Endurance Charge on Hit and on Kill, and have higher maximum Power, Frenzy and Endurance Charge count.","Vous avez des chances de gagner une Charge d'endurance, de frénésie ou de pouvoir en touchant ou tuant un ennemi, et votre compte de Charges de pouvoir, de frénésie et d'endurance est plus élevé.","Ihr habt bei Treffer oder Tötung eine Chance auf eine Energie-, Raserei- oder Widerstands-Ladung und habt eine erhöhte maximale Anzahl von Energie-, Raserei- und Widerstands-Ladungen.","ヒット時および敵を倒した時に一定確率でパワーチャージ、フレンジーチャージおよびエンデュランスチャージをを獲得し、パワーチャージ、フレンジーチャージおよびエンデュランスチャージの最大数が増加している","명중 및 처치 시 일정 확률로 권능, 격분 또는 인내 충전을 획득하고, 권능, 격분, 인내 충전의 최대치가 높아집니다.","Você pode ganhar cargas de frenesi, poder ou tolerância ao atingir e ao matar, e tem uma quantidade máxima maior dessas cargas.","У вас есть шанс получить заряд энергии, ярости или выносливости при нанесении удара и убийстве, и повышен максимум зарядов энергии, ярости и выносливости.","Tienes una probabilidad de ganar una carga de poder, frenesí o aguante con cada golpe y al matar, y tienes un recuento máximo mayor de cargas de poder, frenesí y aguante.","คุณมีโอกาสได้รับ Power, Frenzy หรือ Endurance Charge 1 ลูก เมื่อปะทะหรือสังหาร และมีจำนวนสูงสุดของ Power, Frenzy, Endurance Charge ที่สูงขึ้น","你在擊中和擊殺時，有機率獲得 1 顆暴擊、狂怒或耐力球，且擁有更多暴擊、狂怒或耐力球最大數量。","",1,"Resonating Shrine","Autel de Résonance","Widerhallender Schrein","チャージのシュライン","호응하는 성소","Altar Ressonante","Алтарь резонанса","Santuario resonante","แท่นบูชากังวาน","共鳴神殿","[7600,4005,5807,183,181,182]",1,3,"","","","",36,1077,1,"",7,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],"[7600,4005,5807,183,181,182]",[17552],"","","","","","",[],"","","","","","","","","","",[],""
1308,"shrine_gloom","You gain a portion of Non-Chaos Damage as extra Chaos Damage and Enemies you Kill have a chance to Explode, dealing a portion of their Maximum Life as Chaos Damage. ","Vous bénéficiez d'un bonus de Dégâts sous forme de Dégâts de chaos en fonction des Dégâts physiques et élémentaires que vous infligez. Les ennemis que vous tuez ont des chances d'exploser, infligeant ainsi une partie de leur Vie maximale en tant que Dégâts de chaos.","Gewährt einen Teil des Schadens (Chaosschaden ausgenommen) als zusätzlichen Chaosschaden. Gegner, die Ihr tötet, haben eine Chance zu explodieren und einen Teil ihres maximalen Lebens als Chaosschaden zu verursachen.","非混沌ダメージの一部を追加の混沌ダメージとして獲得。倒した敵が一定確率で爆発し、最大ライフの一部を混沌ダメージとして与える。","비-카오스 피해의 일부를 추가 카오스 피해로 획득합니다. 또한 자신이 처치한 적이 일정 확률로 폭발하며 최대 생명력의 일부를 카오스 피해로 줍니다.","Você recebe uma porção do Dano Não-Caótico como Dano de Caos Extra e Inimigos Mortos por você têm u ma chance de Explodir, causando uma porção de sua Vida Máxima como Dano de Caos.","Вы наносите часть урона не-хаосом в виде урона хаосом, а враги, которых вы убиваете, имеют шанс взорваться, нанеся часть от их максимума здоровья в виде урона хаосом.","Ganas una parte del daño que no sea de caos como daño extra de caos, y los enemigos que matas tienen una probabilidad de explotar y con ello infligir una parte de su vida máxima como daño de caos.","คุณนำความเสียหายที่ไม่ใช่ เคออส ของคุณส่วนหนึ่งไปเสริมเป็น เคออส นอกจากนี้ศัตรูที่คุณสังหารมีโอกาสที่จะระเบิด สร้างความเสียหาย เคออส ตามส่วนหนึ่งของพลังชีวิตสูงสุดของพวกมัน","你獲得部分非混沌傷害的額外混沌傷害，並且你擊殺的敵人有機率爆炸，造成部分他們最大生命的混沌傷害。","",1,"Gloom Shrine","Autel de la Morosité ","Finsterer Schrein","暗闇のシュライン","순흑의 성소","Altar Sombrio","Алтарь мрака","Santuario de penumbra","แท่นบูชามืดมัว","漆黑神殿","[7239,4541,5807]",1,3,"","","","",36,1078,1,"",7,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],"[7239,4541,5807]",[17552],"","","","","","",[],"","","","","","","","","","",[],""
1309,"shrine_warlord_monster","","","","","","","","","","",1,1,"Warlord Shrine Monster","Autel du Seigneur de guerre (Monstre)","Schreinmonster des Kriegsfürsten","ウォーロードのシュライン - モンスター","전쟁군주 성소 몬스터","Monstro do Altar: Comandante","Монстр алтаря Вождя","Monstruo de Santuario del jefe de guerra","มอนสเตอร์แท่นบูชาผู้พิชิตศึก","神殿怪物：總督軍",[10881],1,3,"","","","",36,0,1,"",7,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[10881],[],"","","","","","",[],"","","","","","","","","","",[],""
1310,"shrine_redeemer_monster","","","","","","","","","","",1,1,"Redeemer Shrine Monster","Autel de la Rédemptrice (Monstre)","Schreinmonster des Kreuzritters","レディーマーのシュライン - モンスター","대속자 성소 몬스터","Monstro do Altar: Redentor","Монстр алтаря Избавительницы","Monstruo de Santuario de la redentora","มอนสเตอร์แท่นบูชาผู้พิชิตบาป","神殿怪物：救贖者",[10879],1,3,"","","","",36,0,1,"",7,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[10879],[],"","","","","","",[],"","","","","","","","","","",[],""
1311,"shrine_crusader_monster","","","","","","","","","","",1,1,"Crusader Shrine Monster","Autel du Croisé (Monstre)","Schreinmonster des Jägers","クルセイダーのシュライン - モンスター","십자군 성소 몬스터","Monstro do Altar: Cruzado","Монстр алтаря Крестоносца","Monstruo de Santuario del cruzado","มอนสเตอร์แท่นบูชาผู้พิชิตอธรรม","神殿怪物：聖戰軍王",[10880],1,3,"","","","",36,0,1,"",7,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[10880],[],"","","","","","",[],"","","","","","","","","","",[],""
1312,"shrine_hunter_monster","","","","","","","","","","",1,1,"Hunter Shrine Monster","Autel du Chasseur (Monstre)","Schreinmonster der Erlöserin","ハンターのシュライン - モンスター","사냥꾼 성소 몬스터","Monstro do Altar: Caçador","Монстр алтаря Охотника","Monstruo de Santuario del cazador","มอนสเตอร์แท่นบูชาผู้พิชิตเหยื่อ","神殿怪物：獵人",[9893],1,3,"","","","",36,0,1,"",7,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[9893],[],"","","","","","",[],"","","","","","","","","","",[],""
1313,"shrine_vaal_monster","","","","","","","","","","",1,1,"Vaal Shrine Monster","Autel vaal (Monstre)","Schreinmonster der Vaal","ヴァールシュライン - モンスター","바알 성소 몬스터","Monstro do Altar: Vaal","Монстр алтаря ваал","Monstruo de Santuario vaal","มอนสเตอร์แท่นบูชาวาล์","神殿怪物：瓦爾","[5043,5042,3937]",1,3,"","","","",36,0,1,"",7,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],"[5043,5042,3937]",[],"","","","","","",[],"","","","","","","","","","",[],""
1314,"shrine_evolution_monster","","","","","","","","","","",1,1,"Evolving Shrine Monster","Autel de l'Évolution (Monstre)","Schreinmonster der Evolution","進化のシュライン - モンスター","진화의 성소 몬스터","Monstro do Altar: Evoluído","Монстр алтаря развития","Monstruo de Santuario de evolución","มอนสเตอร์แท่นบูชาวิวัฒนาการ","神殿怪物：進化",[13438],1,3,"","","","",36,0,1,"",7,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[13438],[],"","","","","","",[],"","","","","","","","","","",[],""
1315,"support_slashing_movement_skill_buff","Your next Travel skill will be faster. Doesn't apply to skills supported by Close Combat Support.","Votre prochaine Aptitude de trajet sera plus rapide. Ne fonctionne pas avec les aptitudes modifiées par Soutien : Combat rapproché.","Eure nächste Fortbewegungsfertigkeit wird schneller ausgeführt. Gilt nicht für Fertigkeiten, die durch Unterstützung: Gefecht unterstützt werden.","次に使用するトラベルスキルは早くなる。近距離戦闘でサポートされているスキルには適用されない。","다음 이동 전용 스킬이 빨라집니다. 근접 전투의 보조를 받는 스킬에 적용되지 않습니다.","Sua próxima habilidade de Viagem será mais rápida. Não se aplica a habilidades suportadas por Suporte: Combate Próximo.","Ваше следующее умение смещения будет сотворено быстрее. Не влияет на умения, усиленные Боем вплотную.","Tu siguiente habilidad de Viaje será más rápida. No se aplica a las habilidades asistidas por Asistencia de Combate Cerrado.","คุณจะใช้งานสกิล เดินทาง ครั้งต่อไปได้เร็วขึ้น แต่จะไม่มีผลกับสกิลที่เสริมด้วย Close Combat","你下個快行技能會更快。對被近身戰輔助的技能沒有影響。",1,"","Combat Rush","Promptitude ","Eifer des Gefechts","コンバットラッシュ","전투 돌격","Avanço de Combate","Натиск","Adrenalina de combate","รีบต่อกร","疾戰",[9466],1,2,"","","","",36,1115,1,"",1,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[9466],[],"","","","","","",[],"","","","","","","","","","",[],""
1316,"tormented_spirit_tether","","","","","","","","","","",1,"","","","","","","","","","","",[],1,1,"","","","",36,0,1,"",18,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"","","","","","","","","","",[],""
1317,"magnetic_charge_aura","","","","","","","","","","",1,"","","","","","","","","","","",[9519],1,3,"","","","",36,0,1,"",18,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[9519],[],"","","","","","",[],"","","","","","","","","","",[],""
1318,"legion_banner_aura","You are dealing increased Damage, have increased Attack and Cast speed and take reduced Damage.","Vous bénéficiez d'une Augmentation de Dégâts et d'une Réduction de Dégâts subis. Votre Vie se régénère.","Ihr verursacht erhöhten Schaden, habt erhöhte Angriffs- und Zaubergeschwindigkeit und erleidet verringerten Schaden.","与えるダメージ、アタックスピードおよびキャストスピードが増加、受けるダメージが減少。","가하는 피해가 증가하고, 공격 및 시전 속도가 증가하며, 받는 피해가 감소합니다.","Você está causando Dano aumentado, possui Velocidade de Ataque e Conjuração aumentadas e sofre Dano reduzido.","Вы наносите увеличенный, а получаете уменьшенный урон, ваши скорость атаки и сотворения чар повышены.","Infliges daño aumentado, tienes las velocidades de ataque y lanzamiento de hechizo aumentadas y recibes daño reducido.","คุณสร้างความเสียหาย เพิ่มขึ้น, มีความเร็วในการโจมตีและร่าย เพิ่มขึ้น และได้รับความเสียหาย ลดลง","增加你造成傷害、增加攻擊和施放速度並減少承受傷害。","","","Eternal Empire Aura","Aura de l'Empire éternel ","Aura des Ewigen Kaiserreiches","永遠なる帝国のオーラ","영원한 제국 오라","Aura do Império Eterno","Аура Вечной империи","Aura del Imperio eterno","ออร่าจักรวรรดินิรันดร์","不朽帝國光環","[24,719,1947,479]",1,3,"","","","",36,1083,1,"",1,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],"[24,719,1947,479]",[],"","","","","","",[],"","","","","","","","","","",[],""
1319,"remove_when_aura_removed","","","","","","","","","","",1,"","","","","","","","","","","",[],1,1,"","","","",36,0,1,"",18,"",1,1,"",0,"","RemoveWhenAuraRemoved","","","","",5,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"","","","","","","","","","",[],""
1320,"blood_armour","You are in Blood Stance, and nearby enemies take more physical damage from hits based on their proximity to you.","Vous êtes en Posture du sang. Les ennemis subissent davantage de dégâts physiques au toucher en fonction de leur proximité avec vous.","Ihr befindet Euch in der Bluthaltung: Gegner im Umkreis erleiden mehr physischen Schaden von Treffern basierend auf ihrem Abstand zu Euch.","ブラッドスタンス状態です。プレイヤーとの距離に基づいて周囲の敵はヒットから受ける物理ダメージが上昇している。","핏빛 태세를 취하여 주변의 적이 피격 시 받는 물리 피해가 증폭됩니다. 적이 가까울수록 더 많이 증폭됩니다.","Você está em Postura de Sangue, inimigos próximos recebem mais dano físico de golpes, de acordo com sua proximidade.","Вы находитесь в стойке крови и ближайшие враги получают больше физического урона от ударов в зависимости от их близости к вам.","Estás en Postura de sangre, y los enemigos cercanos reciben más daño físico de los golpes en función de lo cerca que estén de ti.","คุณอยู่ในกระบวนท่า โลหิต ศัตรูที่อยู่ใกล้จะได้รับความเสียหาย กายภาพ เพิ่มขึ้น ตามความใกล้ชิดกับคุณ","你正處於血腥姿態，附近的敵人會根據與你的距離，受到更多擊中的物理傷害。","",1,"Flesh","Chair ","Fleisch","フレッシュ","살점","Carne","Плоть","Carne","เลือดเนื้อ","血肉",[9441],1,2,"","","","",11,1086,1,"",1,"",1,1,"",0,"","BloodSandArmour","","","","",5,"",1,0,[],"","",[],"",[],[],[9441],[],"","","","","","",[],"","","","","","","","","","",[],""
1321,"sand_armour","You are in Sand Stance, and take less damage from enemy hits based on their proximity to you.","Vous êtes en Posture du sable. Les ennemis ont une perte des dégâts infligés au toucher contre vous en fonction de leur proximité avec vous.","Ihr befindet Euch in der Sandhaltung: Ihr erleidet weniger Schaden von gegnerischen Treffern basierend auf ihrem Abstand zu Euch.","サンドスタンス状態。プレイヤーとの距離に基づいて周囲の敵から受けるヒットによるダメージが低下している。","모래 태세를 취하여 적에게 피격 시 받는 피해가 감폭됩니다. 적이 가까울수록 더 많이 감폭됩니다.","Você está em Postura de Areia, e você recebe menos dano de inimigos, de acordo com sua proximidade.","Вы находитесь в стойке песка и получаете меньше урона от ударов врагов в зависимости от их близости к вам.","Estás en Postura de arena y recibes menos daño de los golpes enemigos en función de lo cerca que estén de ti.","คุณอยู่ในกระบวนท่า วาลุกา และจะได้รับความเสียหาย ลดลง อีก จากการปะทะของศัตรู ตามความใกล้ชิดกับคุณ","你處於沙戮姿態，根據敵人與你的距離，減少來自敵人擊中的傷害。","",1,"Stone","Pierre ","Stein","ストーン","돌","Pedra","Камень","Piedra","ก้อนหิน","骸骨","[9442,20737]",1,2,"","","","",11,1085,1,"",1,"",1,1,"",0,"","BloodSandArmour","","","","",5,"",1,0,[],"","",[],"",[],[],"[9442,20737]",[],"","","","","","",[],"","","","","","","","","","",[],""
1322,"blood_armour_debuff","","","","","","","","","","",1,"","","","","","","","","","","","[9650,20739]",1,3,"","","","",36,0,1,"",18,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],"[9650,20739]",[],"","","","","","",[],"","","","","","","","","","",[],""
1323,"legion_reward_display","","","","","","","","","","",1,"","","","","","","","","","","","[2491,9987,17740]",1,1,"","","","",36,0,1,"",18,"",1,1,"",0,"","LegionRewardDisplay","","","","",5,"","",0,[],"","",[],"",[],[],"[2491,9987,17740]",[],"","","","","","",[],"","","","","","","","","","",[],""
1324,"life_recoup","","","","","","","","","","",1,"","","","","","","","","","","",[17957],1,1,"","","","",36,0,1,1,18,"",1,"","",0,1,"","","","","",5,"","",0,[],"","",[],"",[],[],[17957],[],"","","","","","",[],"","","","","","","","","","",[],""
1325,"negative_life_recoup","","","","","","","","","","",1,"","","","","","","","","","","",[17958],1,1,"","","","",36,0,1,1,18,"",1,"","",0,1,"","","","","",5,"","",0,[],"","",[],"",[],[],[17958],[],"","","","","","",[],"","","","","","","","","","",[],""
