"rownum","Id","Area1","bool_24","FlavourText","Connections","f32_57","f32_61","f32_65","f32_69","f32_73","UniqueArt","StartingNode","NotOnAtlas","DivCards","DivCardsHardmode","Tier","HASH16","IsUniqueMap","Region","Node_DDSFile","IsNormalMap","RequiresSpecificItem","VoidstoneSlot","MapDeviceLayout","QuestStates","bool_200","NodeDisplayName","Area2","bool_233","bool_234","f32_235","bool_239","i32_240","i32_244","i32_248","i32_252","bool_256","i32_257"
170,"RandomContentVentorsStrongbox","","",2709,[],238.615,696.519,10.722,0,0,"","","",[],[],0,45641,"",3,"Art/2DItems/Maps/VentorStrongboxRandomMap.dds","",1,"",10,[],"","",1317,"","",1,1,0,0,0,0,"",1842
171,"RandomContentVaalTraderJewellery","","",2710,[],841.747,413.518,10.722,0,0,"","","",[],[],0,36167,"",1,"Art/2DItems/Maps/VaalTrader.dds","",1,"",10,[],"","",1318,"","",1,1,1,0,0,0,"",1843
172,"RandomContentVaalTraderWeapons","","",2710,[],843.505,428.898,10.722,0,0,"","","",[],[],0,49421,"",1,"Art/2DItems/Maps/VaalTrader.dds","",1,"",10,[],"","",1318,"","",1,1,1,0,0,0,"",1844
173,"RandomContentVaalTraderArmour","","",2710,[],844.823,447.794,10.722,0,0,"","","",[],[],0,24900,"",1,"Art/2DItems/Maps/VaalTrader.dds","",1,"",10,[],"","",1318,"","",1,1,1,0,0,0,"",1845
174,"RandomContentBetrayalSafeHouseFortress","","",2711,[],143.259,436.667,10.722,0,0,"","","",[],[],0,39749,"",0,"Art/2DItems/Maps/BetrayalSafehouseRandomMap.dds","",1,"",10,[],"","",422,"","",1,1,4,0,0,0,"",1846
175,"RandomContentBetrayalSafeHouseAssassins","","",2711,[],135.788,442.38,10.722,0,0,"","","",[],[],0,64242,"",0,"Art/2DItems/Maps/BetrayalSafehouseRandomMap.dds","",1,"",10,[],"","",423,"","",1,1,4,0,0,0,"",1847
176,"RandomContentBetrayalSafeHouseCaravan","","",2711,[],138.424,430.075,10.722,0,0,"","","",[],[],0,42776,"",0,"Art/2DItems/Maps/BetrayalSafehouseRandomMap.dds","",1,"",10,[],"","",424,"","",1,1,4,0,0,0,"",1848
177,"RandomContentBetrayalSafeHouseLaboratory","","",2711,[],130.221,434.91,10.722,0,0,"","","",[],[],0,30975,"",0,"Art/2DItems/Maps/BetrayalSafehouseRandomMap.dds","",1,"",10,[],"","",425,"","",1,1,4,0,0,0,"",1849
178,"RandomContentBlueprintWing","","",2712,[],141.5,544.117,10.722,0,0,"","","",[],[],0,62402,"",3,"Art/2DItems/Maps/BlueprintWingRandomMap.dds","",1,"",10,[],"",223,1786,"","",1,1,0,0,0,0,"",1850
179,"RandomContentLogbook","","",2713,[],553.48,707.815,10.722,0,0,"","","",[],[],0,52767,"",2,"Art/2DItems/Maps/LogbookRandomMap.dds","",1,"",10,[],"",222,1809,"","",1,1,0,0,0,0,"",1851
180,"RandomContentUntaintedParadise","","",217,[],293.109,299.356,10.722,0,0,"","","",[],[],0,13214,"",0,"Art/2DItems/Maps/UntaintedParadiseRandomMap.dds","",1,"",10,[],"","",1178,"","",1,1,2,0,0,0,"",1852
181,"RandomContentHarvestGrove","","",2715,[],529.443,283.322,10.722,0,0,"","","",[],[],0,1805,"",1,"Art/2DItems/Maps/HarvestGroveRandomMap.dds","",1,"",10,[],"","",1334,"","",1,1,9,0,0,0,"",1853
