"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","XBoxText","XBoxText (French)","XBoxText (German)","XBoxText (Japanese)","XBoxText (Korean)","XBoxText (Portuguese)","XBoxText (Russian)","XBoxText (Spanish)","XBoxText (Thai)","XBoxText (Traditional Chinese)","XBoxText2","XBoxText2 (French)","XBoxText2 (German)","XBoxText2 (Japanese)","XBoxText2 (Korean)","XBoxText2 (Portuguese)","XBoxText2 (Russian)","XBoxText2 (Spanish)","XBoxText2 (Thai)","XBoxText2 (Traditional Chinese)","HASH32","PlaystationText","PlaystationText (French)","PlaystationText (German)","PlaystationText (Japanese)","PlaystationText (Korean)","PlaystationText (Portuguese)","PlaystationText (Russian)","PlaystationText (Spanish)","PlaystationText (Thai)","PlaystationText (Traditional Chinese)","string_44","string_44 (French)","string_44 (German)","string_44 (Japanese)","string_44 (Korean)","string_44 (Portuguese)","string_44 (Russian)","string_44 (Spanish)","string_44 (Thai)","string_44 (Traditional Chinese)"
3386,"TutorialPanelSocialImage3","Art/2DArt/UIImages/InGame/TutorialPictures/Social3","Art/2DArt/UIImages/InGame/TutorialPictures/Social3","Art/2DArt/UIImages/InGame/TutorialPictures/Social3","Art/2DArt/UIImages/InGame/TutorialPictures/Social3","Art/2DArt/UIImages/InGame/TutorialPictures/Social3","Art/2DArt/UIImages/InGame/TutorialPictures/Social3","Art/2DArt/UIImages/InGame/TutorialPictures/Social3","Art/2DArt/UIImages/InGame/TutorialPictures/Social3","Art/2DArt/UIImages/InGame/TutorialPictures/Social3","Art/2DArt/UIImages/InGame/TutorialPictures/Social3","","","","","","","","","","","","","","","","","","","","",27235980,"","","","","","","","","","","","","","","","","","","",""
3387,"TutorialPanelSocialContent6","Path of Exile's players come from all walks of life, and the Path of Exile community is an important part of what makes Path of Exile so much fun. So please remember to be respectful when you talk to other players.","Les joueurs de Path of Exile viennent de tous horizons. La communauté du jeu est très importante à nos yeux : sans elle, Path of Exile ne serait pas aussi amusant. C'est pour cela que nous vous demandons de garder un comportement respectueux envers les autres.","Die Spieler von Path of Exile kommen aus allen Lebensbereichen und Ecken und Enden der Welt, und die Community ist ein unentbehrlicher Teil, der Path of Exile zu dem Spiel macht, das es ist. Damit das auch so bleibt, gehe immer respektvoll mit anderen Spielern um.","Path of Exileにはあらゆるプレイヤーが集まっており、Path of Exileコミュニティはゲームを楽しくする重要な要素です。他プレイヤーとは敬意を持って接しましょう。","각자 다른 배경을 지닌 플레이어들이 모이는 패스 오브 엑자일의 커뮤니티 또한 이 게임을 즐기기 위한 중요한 요소라 할 수 있습니다. 다른 플레이어와 대화할 땐 꼭 상호 예의를 갖춰주시기 바랍니다.","Os jogadores do Path of Exile vêm de todos os lugares, e a comunidade do Path of Exile é uma parte importante do que torna o Path of Exile tão divertido. Então, por favor, lembre-se de ser respeitoso quando conversar com outros jogadores.","В Path of Exile играют люди со всего мира, наше сообщество - одна из причин, по которой играть в Path of Exile очень приятно. Помните об этом и будьте вежливы при общении с другими игроками.","La base de jugadores de Path of Exile es muy variada, y la comunidad de Path of Exile es una de las razones por la que Path of Exile es tan divertido. Así que por favor recuerda ser respetuoso cuando hables con otros jugadores.","ผู้เล่นใน Path of Exile แต่ละคนมาจากชนชั้นทางสังคมที่แตกต่างกัน ชุมชนผู้เล่น Path of Exile ก็ถือเป็นสิ่งสำคัญที่เสริมสร้างความสนุกสนานให้กับ Path of Exile ดังนั้นกรุณาพูดกับผู้เล่นคนอื่นอย่างสุภาพ ให้เกียรติซึ่งกันและกัน","流亡黯道中的玩家來自各地，也都是使流亡黯道社群熱絡的重要一員。在與其他玩家互動時也希望大家能表現出最基本的禮儀，尊重、包容、友善。","","","","","","","","","","","","","","","","","","","","",-1153453999,"","","","","","","","","","","","","","","","","","","",""
3388,"TutorialPanelPropheciesTitle1","Prophecies"," Les Prophéties","          Prophezeiungen","予言","예언","Profecias","Пророчества","Profecías","คำทำนาย","預言：","","","","","","","","","","","","","","","","","","","","",-1491548796,"","","","","","","","","","","","","","","","","","","",""
3389,"TutorialPanelPropheciesContent1","Prophecies are similar to the quests that characters like Tarkleigh send you on, however they are less structured, less predictable, and can only be acquired from Navali in exchange for a silver coin. \r\n\r\nProphecies can do a broad range of things. Some can guarantee that certain items will drop from specific monsters. Some add new monsters to areas, some drastically change the look of certain areas, and some grant avenues to new or upgraded unique items.","Les prophéties s'apparentent aux quêtes données par des personnages tels que Tarkleigh. Elles sont cependant moins structurées, moins prévisibles et seule Navali peut vous en proposer, en échange d'une pièce d'argent.\r\n\r\nLes prophéties peuvent avoir toute une variété d'effets. Certaines d'entre elles vous garantissent l'acquisition d'un objet spécifique après avoir tué un monstre en particulier. D'autres rajoutent de nouveaux monstres dans une zone, ou en modifient radicalement l'apparence. Enfin, certaines prophéties peuvent vous mettre sur la piste de nouveaux objets uniques, ou d'objets uniques améliorés.","Prophezeiungen ähneln Quests, die du von Charakteren wie Tarkleigh erhältst, jedoch sind diese unvorhersehbarer und folgen keinem festgelegten Ablauf. Eine Prophezeiung kannst du nur von Navali im Austausch gegen eine Silbermünze erhalten.\r\n\r\nProphezeiungen sind äußerst vielfältig. Manchmal veranlassen sie, dass ein gewisses getötetes Monster bestimmte Gegenstände fallen lässt, oder sie fügen manchen Gebieten neue Monster hinzu. Einige Prophezeiungen können das Aussehen mancher Gebiete beeinflussen, und andere dir den Weg zu einem bestimmten einzigartigen Gegenstand ebnen.","予言は、例えばタークリーから依頼されるようなクエストと似ていますが、クエストほど体系化されておらず、予測しづらくなっています。また予言は、ナヴァリから銀のコインと引き換えに受け取ることができます。\r\n\r\n予言は様々なものがあります。中にはモンスターを倒すことで特定のアイテムをもたらすものや、エリア内に新しいモンスターを呼び寄せたり、エリアの見た目を変化させたり、新しいまたはアップグレードされたユニークアイテムをもたらすものもあります。","예언은 타클레이 같은 인물이 주는 퀘스트와 비슷하지만, 구체적이지 않고 예측 또한 어려운 특성을 지닙니다. 나발리에게 실버 코인을 내야만 받을 수 있습니다.\r\n\r\n예언을 통해 다양한 일을 겪을 수 있습니다. 특정 몬스터로부터 특정 아이템을 무조건 받을 것이라는 예언도 있고, 지역에 새로운 몬스터가 추가되는 예언도 있으며, 특정 지역의 외관을 극적으로 바꾸는 예언을 포함하여 신규 및 업그레이드된 고유 아이템을 얻을 방법을 제공하는 예언도 있습니다.","Profecias são parecidas com as missões que os personagens, como o Tarkleigh te envia, porém elas são menos estruturadas, menos previsíveis e só podem ser adquiridas através da Navali em troca de uma moeda de prata.\r\n\r\nProfecias podem fazer uma grande variedade de coisas. Algumas podem garantir que certos itens caiam de monstros específicos. Algumas adicionam novos monstros às áreas, algumas mudam drasticamente certas áreas e algumas fornecem grandes caminhos para itens únicos novos ou aprimorados.","Пророчества похожи на задания, которые вы получаете от неигровых персонажей, однако, они более непредсказуемы. Пророчества можно купить только у Навали и только за серебряные монеты. \r\n    \r\nВ игре представлены различные пророчества: некоторые гарантируют выпадение конкретных предметов из определенных монстров, другие добавляют новых монстров в области, а бывают пророчества, изменяющие вид областей или усиливающие уникальные предметы.","Las profecías son similares a las misiones a las que te envían personajes como Tarkleigh. Sin embargo, son menos estructuradas, menos predecibles, y solo pueden ser adquiridas a través de Navali a cambio de una moneda de plata.\r\n\r\nLas profecías pueden hacer un gran abanico de cosas. Algunas pueden garantizar que monstruos específicos arrojen ciertos objetos. Algunas añaden nuevos monstruos a las áreas, algunas cambian drásticamente la apariencia de ciertas áreas, y algunas otorgan vías para conseguir objetos únicos nuevos o mejorarlos.","คำทำนาย นั้นมีลักษณะคล้ายกับเควสต์ที่ตัวละครอย่าง ทาร์กเลย์ ส่งคุณไปทำ แต่มันมีโครงสร้างน้อยกว่า เดาได้ยากกว่า และคุณจะได้รับ คำทำนาย ก็ต่อเมื่อนำ เหรียญเงิน (Silver Coin) ไปให้กับ นาวาลี เพียงเท่านั้น\r\n\r\nคำทำนายทำได้หลายต่อหลายอย่าง คำทำนายบางอย่างจะการันตีให้ไอเทมบางอย่างดรอปจากมอนสเตอร์บางตัวเสมอ คำทำนายบางอย่างจะเพิ่มมอนสเตอร์เข้าไปในด่าน มอนสเตอร์บางตัวเปลี่ยนหน้าตาของด่านบางด่านโดยสิ้นเชิง และคำทำนายบางอย่างจะเปิดทางให้คุณได้รับ ไอเทมยูนิค ใหม่ๆ หรือทำการอัพเกรด ไอเทมยูนิค ได้อีกด้วย","和一般的任務相似，但更難以捉模，沒有一定的模式，只能透過娜瓦莉花費銀幣隨機取得。\r\n\r\n預言能提供非常廣泛的效果。有些能夠保證特定的物品從特定的怪物掉落。有些會為地圖增加更多怪物，有些甚至會改變地區的樣貌，有些還能夠將傳奇物品升級成更強大的版本。","","","","","","","","","","","","","","","","","","","","",1542743892,"","","","","","","","","","","","","","","","","","","",""
3390,"TutorialPanelPropheciesImage1","Art/2DArt/UIImages/InGame/TutorialPictures/Prophecy2","Art/2DArt/UIImages/InGame/TutorialPictures/Prophecy2","Art/2DArt/UIImages/InGame/TutorialPictures/Prophecy2","Art/2DArt/UIImages/InGame/TutorialPictures/Prophecy2","Art/2DArt/UIImages/InGame/TutorialPictures/Prophecy2","Art/2DArt/UIImages/InGame/TutorialPictures/Prophecy2","Art/2DArt/UIImages/InGame/TutorialPictures/Prophecy2","Art/2DArt/UIImages/InGame/TutorialPictures/Prophecy2","Art/2DArt/UIImages/InGame/TutorialPictures/Prophecy2","Art/2DArt/UIImages/InGame/TutorialPictures/Prophecy2","","","","","","","","","","","","","","","","","","","","",-414107777,"","","","","","","","","","","","","","","","","","","",""
3391,"TutorialPanelPropheciesContent2","Sometimes you may get a prophecy that you don't want or need at that moment. Navali can seal such prophecies for some silver coins, turning it into an item that you can store in your stash or trade to another player.","Vous recevrez parfois une prophétie qui ne vous intéresse pas ou dont vous n'avez pas besoin à ce moment-là. Navali peut la sceller contre quelques pièces d'argent, la transformant ainsi en un objet que vous pouvez déposer dans votre réserve ou échanger avec un autre joueur.","Es kann vorkommen, dass du eine Prophezeiung erhältst, die du im Moment nicht gebrauchen kannst. Navali kann eine Prophezeiung gegen einige Silbermünzen versiegeln und in einen Gegenstand verwandeln, den du zur späteren Verwendung in deiner Truhe aufbewahren oder mit anderen Spielern handeln kannst.","時には、望まない予言や必要でない予言を手に入れることがあるかもしれません。ナヴァリは銀のコインと引き換えに、そのような予言を封印し、アイテムに変換してくれます。これらのアイテムはスタッシュに保存したり、他プレイヤーとのトレードに利用できます。","지금 당장은 원하지 않거나 불필요한 예언을 받는 경우도 있습니다. 이럴 때에는 나발리에게 실버 코인을 주어, 예언을 보관함에 봉인하게 하거나 다른 플레이어와 거래할 수 있는 아이템으로 바꿀 수 있습니다.","Às vezes, você pode conseguir uma profecia que você não quer ou precisa no determinado momento. A Navali pode selar tais profecias ao custo de algumas moedas de prata, tornando-as em um item que pode ser armazenado no seu baú ou negociado com outro jogador.","Если полученное пророчество вам не нужно, то Навали может запечатать его за дополнительную плату. Пророчество станет предметом, который вы можете сохранить или продать другим игрокам.","Es posible que algunas veces consigas una profecía que no quieras ni necesites en ese momento. Navali puede sellar dichas profecías por algunas monedas de plata, transformándolas en un objeto que puedes guardar en el alijo o comerciar con otro jugador.","บางครั้งคุณอาจได้รับ คำทำนาย ที่คุณไม่ต้องการในขณะนี้ นาวาลี สามารถ ถอนคำทำนาย ให้กับคุณแลกกับ เหรียญเงิน จำนวนหนึ่ง เพื่อเปลี่ยนคำทำนายให้เป็นไอเทมที่คุณสามารถนำไปเก็บไว้ใน คลังเก็บของ หรือนำไปแลกเปลี่ยนกับผู้เล่นคนอื่น","偶爾你可能會取得對你目前沒有用處的預言，這時你可以花費銀幣請娜瓦莉協助將它封印。封印後的預言會轉化成一件可以儲藏、交易的物品道具。","","","","","","","","","","","","","","","","","","","","",-1568229782,"","","","","","","","","","","","","","","","","","","",""
3392,"TutorialPanelPropheciesImage2","Art/2DArt/UIImages/InGame/TutorialPictures/Prophecy1","Art/2DArt/UIImages/InGame/TutorialPictures/Prophecy1","Art/2DArt/UIImages/InGame/TutorialPictures/Prophecy1","Art/2DArt/UIImages/InGame/TutorialPictures/Prophecy1","Art/2DArt/UIImages/InGame/TutorialPictures/Prophecy1","Art/2DArt/UIImages/InGame/TutorialPictures/Prophecy1","Art/2DArt/UIImages/InGame/TutorialPictures/Prophecy1","Art/2DArt/UIImages/InGame/TutorialPictures/Prophecy1","Art/2DArt/UIImages/InGame/TutorialPictures/Prophecy1","Art/2DArt/UIImages/InGame/TutorialPictures/Prophecy1","","","","","","","","","","","","","","","","","","","","",-1153611977,"","","","","","","","","","","","","","","","","","","",""
3393,"TutorialPanelPropheciesContent3","While some prophecies can grant you access to powerful and valuable rewards, sometimes the prophecy IS the reward. Remember, you can end up fulfilling a prophecy without meaning to, so it's always worth considering spending some silver to save a nice crafting prophecy for an item that could greatly benefit from it.","Bien que certaines prophéties vous donnent accès à de puissantes et de précieuses récompenses, il arrive parfois que la récompense soit la prophétie elle-même. Souvenez-vous qu'une prophétie peut se réaliser sans que vous en ayez l'intention ; il vaut mieux sceller une prophétie intéressante qui aide à l'artisanat et la garder pour plus tard, quand vous aurez à disposition un objet qui pourrait grandement en bénéficier.","Während dir manche Prophezeiungen den Weg zu wertvollen Belohnungen bereiten, gibt es Prophezeiungen, die selbst die Belohnung sind. Beachte, dass du eine Prophezeiung auch aus Versehen erfüllen kannst. Womöglich ist es daher sinnvoll, eine Prophezeiung, mit der du zum Beispiel einen Gegenstand anfertigen kannst, zu versiegeln und für die Verwendung auf einem wertvollen Gegenstand aufbewahrst.","予言の中には、強力で価値のある報酬をもたらすものがある一方で、予言自体が報酬になる場合もあります。思いがけず予言を達成してしまうこともあるので、銀のコインを使ってクラフト要素のある予言を受け取り、それにより大きな恩恵を受けるアイテムのために、保存しておくのも一考です。","일부 예언은 강력하고 값진 보상을 줍니다. 심지어 예언 그 자체가 보상인 경우도 있습니다. 중요치 않은 일에 예언을 허비할 수도 있으므로, 항상 실버 코인을 아껴두십시오. 중요한 아이템을 제작하는 데 도움이 되는 예언이 추후에 필요할 수도 있으니 말입니다.","Apesar de algumas profecias poderem fornecer a você acesso a recompensas poderosas e valiosas, às vezes a profecia É a recompensa. Lembre-se, você pode acabar completando uma profecia sem querer, então é sempre bom considerar gastar um pouco de prata para poupar uma boa profecia de refinamento para um item que pode se beneficiar imensamente dela.","Хотя некоторые пророчества позволяют получить ценную награду, иногда само пророчество и есть награда. Помните, что в некоторых случаях вы можете непреднамеренно исполнить пророчество, поэтому иногда бывает полезным запечатать его и использовать для улучшения предмета.","Mientras que algunas profecías pueden otorgarte recompensas poderosas y valiosas, algunas veces la profecía ES la recompensa. Recuerda, puedes cumplir una profecía sin que sea tu intención, así que siempre merece la pena considerar gastar algunas monedas de plata para guardar una buena profecía de fabricación para un objeto que podría beneficiarse enormemente de ella.","แม้ คำทำนาย บางอย่างจะทำให้คุณได้รับของรางวัลอันทรงพลังและทรงคุณค่า แต่บางครั้งคำทำนายนั้นก็เป็นรางวัลเสียเอง อย่าลืมว่าคุณอาจทำตามคำทำนายได้โดยไม่ตั้งใจ ฉะนั้นการจ่ายเหรียญเงินเพื่อเก็บคำทำนายในการคราฟท์เอาไว้ใช้กับไอเทมที่จะได้รับประโยชน์จากมันเป็นอย่างมาก","有些預言會引領你取得極有價值的獎勵，但別忘了有些預言本身的效果就是價值的所在。為了不要不經意的浪費掉某些稀有的預言，有時將它們封印起來是非常明智的選擇。","","","","","","","","","","","","","","","","","","","","",-83420896,"","","","","","","","","","","","","","","","","","","",""
3394,"TutorialPanelPropheciesVideo1","Art/Videos/Tutorial_SealProphecy_PC.bk2","Art/Videos/Tutorial_SealProphecy_PC.bk2","Art/Videos/Tutorial_SealProphecy_PC.bk2","Art/Videos/Tutorial_SealProphecy_PC.bk2","Art/Videos/Tutorial_SealProphecy_PC.bk2","Art/Videos/Tutorial_SealProphecy_PC.bk2","Art/Videos/Tutorial_SealProphecy_PC.bk2","Art/Videos/Tutorial_SealProphecy_PC.bk2","Art/Videos/Tutorial_SealProphecy_PC.bk2","Art/Videos/Tutorial_SealProphecy_PC.bk2","Art/Videos/Tutorial_SealProphecy_Xbox.bk2","Art/Videos/Tutorial_SealProphecy_Xbox.bk2","Art/Videos/Tutorial_SealProphecy_Xbox.bk2","Art/Videos/Tutorial_SealProphecy_Xbox.bk2","Art/Videos/Tutorial_SealProphecy_Xbox.bk2","Art/Videos/Tutorial_SealProphecy_Xbox.bk2","Art/Videos/Tutorial_SealProphecy_Xbox.bk2","Art/Videos/Tutorial_SealProphecy_Xbox.bk2","Art/Videos/Tutorial_SealProphecy_Xbox.bk2","Art/Videos/Tutorial_SealProphecy_Xbox.bk2","Art/Videos/Tutorial_SealProphecy_Xbox.bk2","Art/Videos/Tutorial_SealProphecy_Xbox.bk2","Art/Videos/Tutorial_SealProphecy_Xbox.bk2","Art/Videos/Tutorial_SealProphecy_Xbox.bk2","Art/Videos/Tutorial_SealProphecy_Xbox.bk2","Art/Videos/Tutorial_SealProphecy_Xbox.bk2","Art/Videos/Tutorial_SealProphecy_Xbox.bk2","Art/Videos/Tutorial_SealProphecy_Xbox.bk2","Art/Videos/Tutorial_SealProphecy_Xbox.bk2","Art/Videos/Tutorial_SealProphecy_Xbox.bk2",76800448,"Art/Videos/Tutorial_SealProphecy_PS4.BK2","Art/Videos/Tutorial_SealProphecy_PS4.BK2","Art/Videos/Tutorial_SealProphecy_PS4.BK2","Art/Videos/Tutorial_SealProphecy_PS4.BK2","Art/Videos/Tutorial_SealProphecy_PS4.BK2","Art/Videos/Tutorial_SealProphecy_PS4.BK2","Art/Videos/Tutorial_SealProphecy_PS4.BK2","Art/Videos/Tutorial_SealProphecy_PS4.BK2","Art/Videos/Tutorial_SealProphecy_PS4.BK2","造型/影片/引導教學_預言封印_PS4.BK2","","","","","","","","","",""
3395,"TutorialPanelCraftingAndCurrencyTitle","Crafting and Currency Orbs","L'Artisanat et les Objets monétaires","Das Anfertigen mithilfe von Sphären (Währung)","クラフトとカレンシーオーブ","제작 및 화폐 오브","Refinamento e Orbes Monetários","Создание предметов и валюта","Fabricación y orbes monetarios","การคราฟท์และ Orb เงินตรา","製作和通貨","","","","","","","","","","","","","","","","","","","","",1542418738,"","","","","","","","","","","","","","","","","","","",""
3396,"TutorialPanelCraftingAndCurrencyContent1","You can modify a vast number of objects in Path of Exile using the various orbs, scrolls, essences, whetstones and other stacking consumables. Collectively these items are referred to as \""Currency\"", as they are also used to trade and barter with both NPCs and other players. At higher levels you might find currencies that other players value highly.\r\n \r\nThe Orb of Transmutation, Orb of Alteration and Orb of Augmentation are great items to carry and use during your journey. They can be used to upgrade normal items to magic and to reroll or change the mods on magic items, and they're common enough that you can pretty quickly replace whatever you use. Using these currencies on flasks can let you customize their behaviour. ","Vous avez la possibilité de modifier un grand nombre d'objets dans Path of Exile en vous servant de divers orbes, parchemins, essences, pierres à aiguiser et autres petits objets consommables que l'on appelle dans leur ensemble des \""Objets monétaires\"" (ou \""Currency\"" en Anglais). Ces objets monétaires sont également employés lors d'échanges et de troc avec les PNJ ou les joueurs. Dans les niveaux les plus élevés, vous trouverez peut-être des objets monétaires qui ont une grande valeur aux yeux des autres joueurs.\r\n\r\nPartir à l'aventure en emportant quelques orbes de transmutation, d'augmentation et d'altération avec soi n'est pas une mauvaise idée. En effet, ces orbes peuvent servir à améliorer des objets normaux en objets magiques, ainsi qu'à modifier ou tirer au sort les mods présents sur un objet magique. Ces trois sortes d'orbes se trouvent assez couramment, donc vous remplacerez rapidement ceux que vous utilisez. Vous pouvez aussi utiliser ces objets monétaires sur vos flacons afin de transformer leur fonctionnement à votre guise.","In Path of Exile gibt es eine große Bandbreite an Möglichkeiten, Objekte mithilfe verschiedener Sphären, Rollen, Essenzen, Schleifsteinen und anderer Verbrauchsgegenstände zu modifizieren. Diese Gegenstände werden unter dem Begriff 'Währung' zusammengefasst, da sie auch zum Handeln mit NSC und anderen Spielern benutzt werden. In höheren Stufen kannst du Währung finden, die andere Spieler sehr schätzen.\r\n\r\nDie Umwandlungssphäre, die Veränderungssphäre und die Aufwertungssphäre sind großartige und hilfreiche Währungsgegenstände, die du während deiner Reise durch Wraeclast immer bei dir tragen solltest. Mit ihnen kannst du normale Gegenstände zu normalen umwandeln oder die Mods auf magischen Gegenständen verändern. Und da du sie relativ häufig findest, solltest du dich nicht scheuen, sie oft zu benutzen. Darüber hinaus kannst du sie auch auf Fläschchen anwenden, um deren Eigenschaften zu verändern.","Path of Exileでは、オーブや巻物、エッセンス、砥石などの消耗品を使用することで、アイテムを改変させることができます。これらは全てまとめて「カレンシー」と呼ばれ、NPCや他プレイヤーとのトレードに使用されます。レベルが上がるにつれ、他プレイヤーが高く評価しているカレンシーを見つけることもあるかもしれません。\r\n\r\n変成のオーブ、改変のオーブ、増強のオーブは、冒険中に持ち歩いて使用するのにうってつけのアイテムです。ノーマルアイテムをアップグレードしたり、マジックアイテムのモッドを変更したりでき、しかもありふれたアイテムなので、使用してもすぐにまた手に入れることができます。これらのアイテムをフラスコに使うと、特性をカスタマイズすることもできます。","패스 오브 엑자일에서 여러분은 다양한 오브, 주문서, 에센스, 숫돌 및 다른 중첩 가능한 소모품을 이용해 방대한 양의 물건에 대한 속성 부여 개조를 행할 수 있습니다. 이러한 아이템을 뭉뚱그려 \""화폐\""라고 부르며, NPC 및 다른 플레이어와 거래 및 흥정을 할 때도 사용할 수 있습니다. 레벨이 높아질수록 다른 플레이어들이 더 높이 평가하는 화폐 아이템들이 등장합니다.\r\n\r\n진화의 오브, 변화의 오브, 확장의 오브는 여정길에 들고 다니기에 더할 나위 없이 좋은 아이템들입니다. 일반 아이템을 마법 아이템으로 업그레이드하거나 마법 아이템에 부여된 속성 부여를 변경, 혹은 무작위로 변경할 수 있습니다. 이것들은 어느 아이템에 사용하든지 간에, 신속히 변경이 가능하며 빠르게 보충할 수 있을 만큼 흔합니다. 이런 화폐류를 이용해, 플라스크 역시 여러분의 행동 양식에 맞도록 개조할 수 있습니다. ","Você pode modificar um grande número de objetos no Path of Exile usando os diversos orbes, pergaminhos, essências, pedras amoladoras e outros consumíveis empilháveis. Coletivamente, esses itens são conhecidos como \""Itens Monetários\"", já que também são usados para trocar e negociar com NPCs e outros jogadores. Em níveis mais altos, você pode encontrar itens monetários que outros jogadores valorizam bastante.\r\n\r\nO Orbe de Transmutação, Orbe de Alteração e Orbe de Ampliação são ótimos itens para carregar consigo e usar durante sua jornada. Eles podem ser usados para aprimorar itens normais para mágico e para recalcular ou mudar os mods em itens mágicos, e eles são comuns o suficiente para que você consiga rapidamente recuperar o que gastou. Usar estes itens monetários em frascos permite que você customize seus comportamentos.","В Path of Exile вы можете изменять огромное количество объектов с помощью различных сфер, свитков, Сущностей, точильных камней и прочих расходуемых предметов. Такие предметы называются \""Валюта\"", поскольку их можно использовать для торговли и обмена с другими игроками и неигровыми персонажами. На высоких уровнях вы можете найти очень ценную и дорогую валюту.\r\n   \r\nВ путешествии по Рэкласту вам пригодятся сферы превращения и сферы усиления, которыми вы сможете улучшать обычные предметы до волшебных и изменять или наделять новыми свойствами волшебные предметы. Кроме того, этими сферами вы сможете изменить поведение ваших флаконов.","En Path of Exile, puedes modificar una gran cantidad de objetos usando diferentes orbes, pergaminos, esencias, piedras de afilar y otros consumibles acumulables. Estos objetos forman parte de la categoría de \""Objetos monetarios\"" y también se usan para comerciar y hacer trueque con los PNJ y otros jugadores. A niveles más altos puede que encuentres algunos objetos monetarios muy valorados por otros jugadores.\r\n\r\nLos orbes de transmutación, alteración y aumento son buenos objetos para llevar contigo durante tu viaje. Puedes usarlos para convertir objetos normales en mágicos y para aleatorizar o cambiar los modificadores en los objetos mágicos, y son lo suficientemente comunes como para que puedas reemplazar rápidamente los que gastes. Si usas estos objetos monetarios en los frascos puedes personalizar su comportamiento.","คุณสามารถเปลี่ยนแปลงวัตถุจำนวนมากใน Path of Exile ด้วยการใช้ Orb, Scroll, เอสเซนส์, Whetstone หรือของใช้แล้วหมดไปต่างๆ โดยไอเทมเหล่านี้ถูกเรียกโดยรวมว่าเป็น \""เงินตรา\"" เพราะมันถูกใช้ในการค้าขายแลกเปลี่ยนกับ NPC และผู้เล่นอื่นๆ เมื่อคุณมีเลเวลสูงขึ้น คุณอาจพบเงินตราที่ผู้เล่นให้มูลค่าสูงอีกด้วย\r\n\r\nOrb of Transmutation, Orb of Alteration, Orb of Augmentation นั้นเป็นไอเทมที่ควรค่าแก่การพกพาและใช้งานในยามที่คุณเดินทาง คุณสามารถใช้ไอเทมเหล่านี้ในการอัพเกรดของระดับธรรมดาให้เป็นเมจิก หรือใช้ในการสุ่มหรือเปลี่ยนแปลงม็อดในไอเทมเมจิกนั่นเอง คุณสามารถพบไอเทมเหล่านี้บ่อยพอที่จะหามาทดแทนตามที่คุณใช้ไปได้ การใช้เงินตราเหล่านี้ไปกับขวดยาของคุณทำให้คุณสามารถปรับแต่งการทำงานของมันได้อีกด้วย","在流亡黯道中你能夠使用多種道具對物品進行改造，像是點金石、精髓、磨刀石、卷軸等消耗型道具，一般稱之為\\「通貨\\」，因為它們時常被當作交易貨幣的一種，隨著你的等級提升，你也將能夠找到更有價值的通貨。\r\n\r\n改造石、蛻變石、增幅石都是非常常見也是平常帶在身上極為有用的通貨物品。它們能夠將普通物品升級成魔法物品，或者改變魔法物品的詞綴和屬性。使用在藥水上也能為你帶來更多不同的效果。","","","","","","","","","","","","","","","","","","","","",1767908656,"","","","","","","","","","","","","","","","","","","",""
