"rownum","BaseItem","MonsterVariety","MonsterAbilities","MonsterAbilities (French)","MonsterAbilities (German)","MonsterAbilities (Japanese)","MonsterAbilities (Korean)","MonsterAbilities (Portuguese)","MonsterAbilities (Russian)","MonsterAbilities (Spanish)","MonsterAbilities (Thai)","MonsterAbilities (Traditional Chinese)","MonsterCategory"
68,4974,10267,"Uses Leap Slam\r\nUses Sweep\r\nUses Enduring Cry\r\nUses Immortal call\r\nCasts Vitality\r\nShares Endurance Charges with allies","Utilise Bond percutant\r\nUtilise Balayage\r\nUtilise Cri d'endurance\r\nUtilise Clameur d'immortalité\r\nUtilise Vitalité\r\nPartage les Charges d'endurance avec les alliés","Nutzt Sprunghieb\r\nNutzt Rundumschlag\r\nNutzt Widerstandsschrei\r\nNutzt Schrei der Unsterblichkeit\r\nZaubert Vitalität\r\nTeilt Widerstands-Ladungen mit Verbündeten","リープスラムを使用する\r\nスウィープを使用する\r\nエンデュアリングクライを使用する\r\nイモータルコールを使用する\r\nバイタリティをキャストする\r\n味方とエンデュランスチャージを共有する","도약 강타 사용\r\n휩쓸기 사용\r\n인내의 함성 사용\r\n불멸의 외침 사용\r\n활력 시전\r\n동료와 인내 충전 공유","Usa Salto Impactante\r\nUsa Arrastão\r\nUsa Clamor Tolerante\r\nUsa Chamado Imortal\r\nConjura Vitalidade\r\nCompartilha Cargas de Tolerância com aliados","Использует Наскок\r\nИспользует Круговой взмах\r\nИспользует Клич стойкости\r\nИспользует Призыв к бессмертию\r\nСотворяет Живучесть\r\nДелится зарядами выносливости с союзниками","Usa Salto con impacto\r\nUsa Barrido\r\nUsa Grito de aguante\r\nUsa Llamado inmortal\r\nLanza Vitalidad\r\nComparte sus cargas de aguante con los aliados","ใช้ กระโจนทุบ (Leap Slam)\r\nใช้ ควง (Sweep)\r\nใช้ คำรามทนทาน (Enduring Cry)\r\nใช้ เรียกความอมตะ (Immortal Call)\r\nร่าย กำลังวังชา (Vitality)\r\nแบ่งปัน Endurance Charge ให้กับเพื่อน","使用躍擊\r\n使用橫掃\r\n使用堅決戰吼\r\n使用不朽戰吼\r\n施放活力\r\n與友方共享耐力球",5
69,4975,10225,"Causes Bleeding","Inflige le Saignement","Verursacht Bluten","出血を引き起こす","출혈 유발","Causa Sangramentos","Вызывает кровотечение","Aplica sangrado","สร้างสถานะ เลือดไหล","造成流血",3
70,4976,10226,"Causes Bleeding\r\nNearby enemies have 50% reduced Life Regeneration rate","Inflige le Saignement\r\nLes Ennemis à proximité ont 50% de réduction du taux de Régénération de Vie","Verursacht Bluten\r\nGegner im Umkreis haben 50% verringerte Lebensregenerations-Rate","出血を引き起こす\r\n近くの敵はライフ自動回復レートが50％減少する","출혈 유발\r\n주변의 적의 생명력 재생 속도 50% 감소","Causa Sangramentos\r\nInimigos Próximos têm 50% de redução da Regeneração de Vida","Вызывает кровотечение\r\nБлижайшие враги имеют 50% снижение скорости регенерации здоровья","Aplica sangrado\r\nLos enemigos cercanos tienen velocidad de regeneración de vida reducida un 50%","สร้างสถานะ เลือดไหล\r\nศัตรูที่อยู่ใกล้ มีความเร็วในการ ฟื้นฟูพลังชีวิต ลดลง 50%","造成流血\r\n附近敵人減少 50% 生命回復率",3
71,4977,10227,"Causes Bleeding\r\nNearby enemies have 50% reduced Life Regeneration rate\r\nCan inflict Bleeding on an Enemy up to 16 times\r\nBleeding does not deal extra Damage while the enemy is moving","Inflige le Saignement\r\nLes Ennemis à proximité ont 50% de réduction du taux de Régénération de Vie\r\nLe Saignement n'inflige pas de Dégâts supplémentaires tant que l'ennemi est en mouvement","Verursacht Bluten\r\nGegner im Umkreis haben 50% verringerte Lebensregenerations-Rate\r\nKann beim Gegner bis zu 16 Mal Bluten verursachen\r\nBluten fügt Gegner bei Bewegung keinen extra Schaden zu","出血を引き起こす\r\n近くの敵はライフ自動回復レートが50％減少する\r\n敵1体に最大16回出血を付与できる\r\n出血は敵が移動中に追加のダメージを与えない","출혈 유발\r\n주변의 적의 생명력 재생 속도 50% 감소\r\n적에게 최대 16회 출혈 유발 가능\r\n적이 이동하는 동안에는 출혈이 추가 피해를 주지 않음","Causa Sangramentos\r\nInimigos Próximos têm 50% de redução da Regeneração de Vida\r\nPode infligir Sangramento em um Inimigo até 16 vezes\r\nSangramento não causa Dano extra enquanto inimigo se move","Вызывает кровотечение\r\nБлижайшие враги имеют 50% снижение скорости регенерации здоровья\r\nМожет наложить на врагов кровотечение до 16 раз\r\nКровотечение не наносит дополнительный урон при передвижении врага","Aplica sangrado\r\nLos enemigos cercanos tienen velocidad de regeneración de vida reducida un 50%\r\nPuede aplicar sangrado a un enemigo hasta 16 veces\r\nEl sangrado no inflige daño extra mientras el enemigo está en movimiento","สร้างสถานะ เลือดไหล\r\nศัตรูที่อยู่ใกล้ มีความเร็วในการ ฟื้นฟูพลังชีวิต ลดลง 50%\r\nสามารถสร้างสถานะ เลือดไหล ต่อศัตรูสูงสุด 16 ระดับ\r\nสถานะ เลือดไหล ไม่สร้างความเสียหายเพิ่มเติม ขณะที่ศัตรูเคลื่อนที่","造成流血\r\n附近敵人減少 50% 生命回復率\r\n可以對敵人造成最多 16 次流血\r\n敵人移動時，流血不會造成額外傷害",3
72,4978,10219,"Summons Constructs\r\n5% increased Attack Damage per 450 Armour","Invoque des Fabrications\r\n5% d'Augmentation des Dégâts d'attaque tous les 450 d'Armure","Beschwört Konstrukte\r\n5% erhöhter Agriffsschaden pro 450 Rüstung","コンストラクトを召喚\r\n450アーマーごとにアタックダメージが5%増加する","구조물 소환\r\n방어도 450당 공격 피해 5% 증가","Convoca Construtos\r\nDano de Ataque aumentado em 5% por cada 450 de Armadura","Призывает механизмы\r\n5% увеличение урона от атак за каждые 450 брони","Invoca constructos\r\nDaño de ataques aumentado un 5% por cada 450 de armadura","อัญเชิญ ชีวิตประดิษฐ์\r\nเพิ่มความเสียหาย โจมตี 5% ต่อค่าเกราะ 450","召喚創造物\r\n每 450 護甲增加 5% 攻擊傷害",2
73,4979,10220,"Summons Constructs\r\n5% increased Attack Damage per 450 Armour\r\nBuffs nearby Constructs with 100% increased Damage and 30% Attack and Cast Speed","Invoque des Fabrications\r\n5% d'Augmentation des Dégâts d'attaque tous les 450 d'Armure\r\nOctroie un Effet bénéfique aux Fabrications, elles ont 100% d'Augmentation de Dégâts et 30% d'Augmentation de la Vitesse d'attaque et d'incantation","Beschwört Konstrukte\r\n5% erhöhter Agriffsschaden pro 450 Rüstung\r\nStärkt Konstrukte im Umkreis mit 100% erhöhten Schaden und 30% Angriffs- und Zaubergeschwindigkeit","コンストラクトを召喚\r\n450アーマーごとにアタックダメージが5%増加する\r\n周囲のコンストラクトにダメージ100％増加、およびアタックスピード、キャストスピード30％増加のバフを付与する","구조물 소환\r\n방어도 450당 공격 피해 5% 증가\r\n주변 구조물에 피해 100% 증가, 공격 및 시전 속도 30% 증가 버프 적용","Convoca Construtos\r\nDano de Ataque aumentado em 5% por cada 450 de Armadura\r\nBuffa construtos próximos com Dano aumentado em 100% e 30% de Velocidade de Ataque e Conjuração","Призывает механизмы\r\n5% увеличение урона от атак за каждые 450 брони\r\nУсиливает ближайшие механизмы 100% увеличением урона и 30% повышением скорости атаки и сотворения чар","Invoca constructos\r\nDaño de ataques aumentado un 5% por cada 450 de armadura\r\nPotencia a los constructos cercanos con daño aumentado un 100% y velocidades de ataque y lanzamiento de hechizos aumentadas un 30%","อัญเชิญ ชีวิตประดิษฐ์\r\nเพิ่มความเสียหาย โจมตี 5% ต่อค่าเกราะ 450\r\nมอบบัฟให้กับ หุ่นกลที่อยู่ใกล้: เพิ่มความเสียหาย 100% และเพิ่มความเร็วในการโจมตีและร่าย 30%","召喚創造物\r\n每 450 護甲增加 5% 攻擊傷害\r\n增益附近友方創造物，增加 100% 傷害和 30% 攻擊和施放速度",2
74,4980,10221,"Summons Constructs\r\n8% increased Attack Damage per 450 Armour\r\nBuffs nearby Constructs with 100% increased Damage and 30% Attack and Cast Speed","Invoque des Fabrications\r\n8% d'Augmentation des Dégâts d'attaque tous les 450 d'Armure\r\nOctroie un Effet bénéfique aux Fabrications, elles ont 100% d'Augmentation de Dégâts et 30% d'Augmentation de la Vitesse d'attaque et d'incantation","Beschwört Konstrukte\r\n8% erhöhter Agriffsschaden pro 450 Rüstung\r\nStärkt Konstrukte im Umkreis mit 100% erhöhten Schaden und 30% Angriffs- und Zaubergeschwindigkeit","コンストラクトを召喚\r\n450アーマーごとにアタックダメージが8%増加する\r\n周囲のコンストラクトにダメージ100％増加、およびアタックスピード、キャストスピード30％増加のバフを付与する","구조물 소환\r\n방어도 450당 공격 피해 8% 증가\r\n주변 구조물에 피해 100% 증가, 공격 및 시전 속도 30% 증가 버프 적용","Convoca Construtos\r\nDano de Ataque aumentado em 5% por cada 450 de Armadura\r\nBuffa construtos próximos com Dano aumentado em 100% e 30% de Velocidade de Ataque e Conjuração\r\nAliados Próximos ganham 20% do Dano Físico como Dano de Raio Extra","Призывает механизмы\r\n8% увеличение урона от атак за каждые 450 брони\r\nУсиливает ближайшие механизмы 100% увеличением урона и 30% повышением скорости атаки и сотворения чар","Invoca constructos\r\nDaño de ataques aumentado un 8% por cada 450 de armadura\r\nPotencia a los constructos cercanos con daño aumentado un 100% y velocidades de ataque y lanzamiento de hechizos aumentadas un 30%","อัญเชิญ ชีวิตประดิษฐ์\r\nเพิ่มความเสียหาย โจมตี 8% ต่อค่าเกราะ 450\r\nมอบบัฟให้กับ หุ่นกลที่อยู่ใกล้: เพิ่มความเสียหาย 100% และเพิ่มความเร็วในการโจมตีและร่าย 30%","召喚創造物\r\n每 480 護甲增加 8% 攻擊傷害\r\n增益附近友方創造物，增加 100% 傷害和 30% 攻擊和施放速度",2
75,4981,10196,"Loses a percentage of Life when casting spells\r\nUpon reaching 20% Life, stops casting to recover to Full Life","Perd un pourcentage de Vie lorsqu'il lance un sort\r\nLorsque sa Vie atteint 20%, il arrête de lancer des sorts pour Récupérer toute sa Vie","Verliert einen prozentualen Teil des Lebens beim Wirken eines Zaubers\r\nBeim Erreichen von 20% Leben wird das Wirken von Zaubern eingestellt, um volles Leben wiederherzustellen","スペルをキャストした時に割合でライフを失う\r\nライフが20％に達した時にキャストを止めライフを全回復する","주문 시전 시 생명력 일부 상실\r\n생명력이 20%가 되면 시전을 중단하고 최대 생명력까지 회복","Perde uma porcentagem da Vida ao conjurar magias\r\nAo atingir 20% de Vida, para de conjurar para recuperar Toda a Vida","Теряет процент здоровья при сотворении чар\r\nПри достижении 20% здоровья прекращает сотворение и полностью восстанавливает здоровье","Pierde un porcentaje de vida cuando lanza hechizos\r\nAl llegar al 20% de vida, deja de lanzar hechizos para recuperar toda la vida","สูญเสียพลังชีวิต ส่วนหนึ่งเมื่อร่ายเวท\r\nเมื่อมีพลังชีวิตเหลือ 20% จะหยุดร่ายเพื่อ เติมพลังชีวิต ให้เต็ม","當施放法術時，失去一定百分比的生命\r\n到 20% 生命時，停止施放來恢復至滿血",1
76,4982,10197,"Loses a percentage of Life when casting spells\r\nUpon reaching 20% Life, stops casting to recover to Full Life\r\nHeals nearby allies for 10% of the Life spent","Perd un pourcentage de Vie lorsqu'il lance un sort\r\nLorsque sa Vie atteint 20%, il arrête de lancer des sorts pour Récupérer toute sa Vie\r\nSoigne les alliés à proximité d'un montant équivalent à 10% de la Vie qu'il dépense","Verliert einen prozentualen Teil des Lebens beim Wirken eines Zaubers\r\nBeim Erreichen von 20% Leben wird das Wirken von Zaubern eingestellt, um volles Leben wiederherzustellen\r\nHeilt Verbündete im Umkreis für 10% des verbrauchten Lebens","スペルをキャストした時に割合でライフを失う\r\nライフが20％に達した時にキャストを止めライフを全回復する\r\n周囲の味方を消費したライフの10％分回復する","주문 시전 시 생명력 일부 상실\r\n생명력이 20%가 되면 시전을 중단하고 최대 생명력까지 회복\r\n소모한 생명력의 10%만큼 주변 동료들 치유","Perde uma porcentagem da Vida ao conjurar magias\r\nAo atingir 20% de Vida, para de conjurar para recuperar Toda a Vida\r\nCura aliados próximos em 10% da Vida gasta","Теряет процент здоровья при сотворении чар\r\nПри достижении 20% здоровья прекращает сотворение и полностью восстанавливает здоровье\r\nИзлечивает ближайших союзников на 10% от израсходованного здоровья","Pierde un porcentaje de vida cuando lanza hechizos\r\nAl llegar al 20% de vida, deja de lanzar hechizos para recuperar toda la vida\r\nCura a los aliados cercanos el 10% de la vida gastada","สูญเสียพลังชีวิต ส่วนหนึ่งเมื่อร่ายเวท\r\nเมื่อมีพลังชีวิตเหลือ 20% จะหยุดร่ายเพื่อ เติมพลังชีวิต ให้เต็ม\r\nรักษาเพื่อนที่อยู่ใกล้ เท่ากับ 10% ของ พลังชีวิตที่จ่ายไป","當施放法術時，失去一定百分比的生命\r\n到 20% 生命時，停止施放來恢復至滿血\r\n治癒附近友方 10% 消耗的生命",1
77,4983,10198,"Loses a percentage of Life when casting spells\r\nUpon reaching 20% Life, stops casting to recover to Full Life\r\nHeals nearby allies for 10% of the Life spent\r\nWhile on Low Life nearby allies gain spell damage","Perd un pourcentage de Vie lorsqu'il lance un sort\r\nLorsque sa Vie atteint 20%, il arrête de lancer des sorts pour Récupérer toute sa Vie\r\nSoigne les alliés à proximité d'un montant équivalent à 10% de la Vie qu'il dépense\r\nTant que sa Vie est Basse, les alliés à proximité gagnent des Dégâts des sort","Verliert einen prozentualen Teil des Lebens beim Wirken eines Zaubers\r\nBeim Erreichen von 20% Leben wird das Wirken von Zaubern eingestellt, um volles Leben wiederherzustellen\r\nHeilt Verbündete im Umkreis für 10% des verbrauchten Lebens\r\nBei niedrigem Leben verursachen Verbündete im Umkreis erhalten Zauberschaden","スペルをキャストした時に割合でライフを失う\r\nライフが20％に達した時にキャストを止めライフを全回復する\r\n周囲の味方を消費したライフの10％分回復する\r\n低ライフ時に周囲の味方はスペルダメージを獲得する","주문 시전 시 생명력 일부 상실\r\n생명력이 20%가 되면 시전을 중단하고 최대 생명력까지 회복\r\n소모한 생명력의 10%만큼 주변 동료들 치유\r\n낮은 생명력 상태일 때 주변 동료들이 주문 피해 획득","Perde uma porcentagem da Vida ao conjurar magias\r\nAo atingir 20% de Vida, para de conjurar para recuperar Toda a Vida\r\nCura aliados próximos em 10% da Vida gasta\r\nEnquanto em Vida Baixa, aliados próximos agnham dano mágico","Теряет процент здоровья при сотворении чар\r\nПри достижении 20% здоровья прекращает сотворение и полностью восстанавливает здоровье\r\nИзлечивает ближайших союзников на 10% от израсходованного здоровья\r\nПри малом количестве здоровья ближайшие союзники наносят урон от чар","Pierde un porcentaje de vida cuando lanza hechizos\r\nAl llegar al 20% de vida, deja de lanzar hechizos para recuperar toda la vida\r\nCura a los aliados cercanos el 10% de la vida gastada\r\nMientras tiene la vida baja, los aliados cercanos ganan daño de hechizos","สูญเสียพลังชีวิต ส่วนหนึ่งเมื่อร่ายเวท\r\nเมื่อมีพลังชีวิตเหลือ 20% จะหยุดร่ายเพื่อ เติมพลังชีวิต ให้เต็ม\r\nรักษาเพื่อนที่อยู่ใกล้ เท่ากับ 10% ของ พลังชีวิตที่จ่ายไป\r\nขณะ พลังชีวิตเหลือน้อย เพื่อนที่อยู่ใกล้ มีความเสียหาย เวท เพิ่มขึ้น","當施放法術時，失去一定百分比的生命\r\n到 20% 生命時，停止施放來恢復至滿血\r\n治癒附近友方 10% 消耗的生命\r\n貧血時，附近友方獲得法術傷害",1
78,4984,10199,"","","","","","","","","","",1
79,4985,10200,"","","","","","","","","","",1
80,4986,10201,"","","","","","","","","","",1
81,4987,10240,"Summons Spiders\r\n","Invoque des Araignées","Beschwört Spinnen","蜘蛛を召喚","거미 소환","Convoca Aranhas","Призывает пауков","Invoca arañas\r\n","อัญเชิญ แมงมุม","召喚蜘蛛",4
82,4988,10241,"Summons Spiders\r\nAlly Spiders deal additional chaos damage with attacks","Invoque des Araignées\r\nLes Araignées alliées inflige des Dégâts de chaos supplémentaires avec les attaques","Beschwört Spinnen\r\nVerbündete Spinnen verursachen zusätzlichen Chaosschaden mit Angriffen","蜘蛛を召喚\r\n味方の蜘蛛はアタックで追加の混沌ダメージを与える","거미 소환\r\n아군 거미가 공격 시 카오스 피해 추가","Convoca Aranhas\r\nAranhas aliadas causam dano adicional de caos com ataques","Призывает пауков\r\nСоюзные пауки наносят дополнительный урон хаосом атаками","Invoca arañas\r\nLas arañas aliadas infligen daño de caos adicional con los ataques","อัญเชิญ แมงมุม\r\nแมงมุมที่เป็นเพื่อน สร้างความเสียหาย เคออส เพิ่มเติม ด้วยการโจมตี","召喚蜘蛛\r\n友方蜘蛛攻擊造成額外混沌傷害",4
83,4989,10242,"Summons Spiders\r\nAlly Spiders deal additional chaos damage with attacks\r\nOwner gains 10% increased Effect of Withered","Invoque des Araignées\r\nLes Araignées alliées inflige des Dégâts de chaos supplémentaires avec les attaques\r\nLe propriétaire gagne 10% d'Augmentation de l'Effet de Flétrissure","Beschwört Spinnen\r\nVerbündete Spinnen verursachen zusätzlichen Chaosschaden mit Angriffen\r\nBesitzer erhält 10% erhöhte Wirkung von Verkümmerung","蜘蛛を召喚\r\n味方の蜘蛛はアタックで追加の混沌ダメージを与える\r\n所有者は衰弱の効果10％増加を得る","거미 소환\r\n아군 거미가 공격 시 카오스 피해 추가\r\n소유자의 위축 효과 10% 증가","Convoca Aranhas\r\nAranhas aliadas causam dano adicional de caos com ataques\r\nDono ganha Efeito do Definhamento aumentado em 20%","Призывает пауков\r\nСоюзные пауки наносят дополнительный урон хаосом атаками\r\nВладелец получает 10% усиление эффекта Истощения","Invoca arañas\r\nLas arañas aliadas infligen daño de caos adicional con los ataques\r\nSu dueño gana efecto de marchitamiento aumentado un 10%","อัญเชิญ แมงมุม\r\nแมงมุมที่เป็นเพื่อน สร้างความเสียหาย เคออส เพิ่มเติม ด้วยการโจมตี\r\nเจ้าของ มีผลของสถานะ เหี่ยวเฉา เพิ่มขึ้น 10%","召喚蜘蛛\r\n友方蜘蛛攻擊造成額外混沌傷害\r\n持有者增加 10% 凋零的效果",4
84,4990,10213,"Must be linked to be powered","Doit être Lié pour être Alimenté ","Muss für Aktivität verbunden sein","電力を供給するためにリンクしなければならない","힘을 얻으려면 연결되어야 함","Precisa ser vinculado para ser empoderado","Для работы должен быть связан с владельцем","Tiene que estar vinculado para poder potenciarse","ต้องมีการ ประสาน จึงมีพลังงาน","必須被連結才能被賦予",2
85,4991,10214,"Must be Linked to be powered\r\n50% effects of Links on this","Doit être Lié pour être Alimenté\r\n50% d'Augmentation des Effets des Liens sur lui","Muss für Aktivität verbunden sein\r\n50% Wirkung von Verbindungen","電力を供給するためにリンクしなければならない\r\nこれに対するリンクの効果が50%増加する","힘을 얻으려면 연결되어야 함\r\n이것의 연결 효과 50%","Precisa ser vinculado para ser empoderado\r\n100% de efeito dos Vínculos nele","Для работы должен быть связан с владельцем\r\n50% усиление эффектов связи с владельцем","Tiene que estar vinculado para poder potenciarse\r\nEfectos de los vínculos sobre esto aumentados un 50%","ต้องมีการ ประสาน จึงมีพลังงาน\r\nเพิ่มผลของ ประสาน ให้กับสิ่งนี้ 50%","必須被連結才能被賦予\r\n50% 於此的連結效果",2
86,4992,10215,"Must be Linked to be powered\r\n100% effects of Links on this","Doit être Lié pour être Alimenté\r\n100% d'Augmentation des Effets des Liens sur lui","Muss für Aktivität verbunden sein\r\n100% Wirkung von Verbindungen","電力を供給するためにリンクしなければならない\r\nこれに対するリンクの効果が100%増加する","힘을 얻으려면 연결되어야 함\r\n이것의 연결 효과 100%","Precisa ser vinculado para ser empoderado\r\n100% de efeito dos Vínculos nele\r\nDono ganha Duração do Efeito da Habilidade aumentado em 20%","Для работы должен быть связан с владельцем\r\n100% усиление эффектов связи с владельцем","Tiene que estar vinculado para poder potenciarse\r\nEfectos de los vínculos sobre esto aumentados un 100%","ต้องมีการ ประสาน จึงมีพลังงาน\r\nเพิ่มผลของ ประสาน ให้กับสิ่งนี้ 100%","必須被連結才能被賦予\r\n100% 於此的連結效果",2
87,4993,10234,"High Life","Vie élevée","Viel Leben","高ライフ","생명력 높음","Vida Alta","Высокий показатель здоровья","Vida alta","พลังชีวิตสูง","高生命",3
88,4994,10235,"Higher Life\r\nReleases a caustic cloud when hit","Vie plus élevée\r\nLibère un nuage caustique lorsqu'il est touché","Viel mehr Leben\r\nStößt bei erlittenem Treffer eine ätzende Wolke aus","高ライフ\r\nヒットを受けた時コースティッククラウドを放出する","생명력이 더 높음\r\n피격 시 부식성 구름 방출","Vida Alta\r\nLibera uma núvem cáustica quando acertado","Очень высокий показатель здоровья\r\nИспускает едкое облако при получении удара","Vida muy alta\r\nLibera una nube cáustica cuando lo golpean","พลังชีวิตสูงกว่า\r\nปล่อย ควันกัดกร่อน เมื่อถูกปะทะ","更高生命\r\n被擊中時，釋放腐蝕雲團",3
89,4995,10236,"Highest Life\r\nReleases a caustic cloud when hit\r\nTaunts on Hit","Vie la plus élevée\r\nLibère un nuage caustique lorsqu'il est touché\r\nProvoque au Toucher","Höchstes Leben\r\nEntfesselt bei erlittenem Treffer eine ätzende Wolke\r\nVerspottet bei Treffer","最高ライフ\r\nヒットを受けた時コースティッククラウドを放出する\r\nヒット時に挑発する","생명력이 가장 높음\r\n피격 시 부식성 구름 방출\r\n명중 시 도발","Vida Alta\r\nLibera uma núvem cáustica quando acertado\r\nLacaios do dono têm Vida máxima aumentada em 40%","Самый высокий показатель здоровья\r\nИспускает едкое облако при получении удара\r\nПровоцирует врагов при нанесении урона","Vida altísima\r\nLibera una nube cáustica cuando lo golpean\r\nProvoca con cada golpe","พลังชีวิตสูงที่สุด\r\nปล่อย ควันกัดกร่อน เมื่อถูกปะทะ\r\nสร้างสถานะ ยั่วยุ เมื่อปะทะ","最高生命\r\n被擊中時，釋放腐蝕雲團\r\n擊中時嘲諷敵人",3
90,4996,10178,"Casts channelled Lightning Beam\r\nCannot inflict Shock","Utilise un Rayon de foudre canalisé\r\nNe peut infliger l'Électrocution","Zaubert kanalisierenden Lichtstrahl\r\nKann kein Schock anwenden","チャネリングライトニングビームをキャストする\r\n感電を付与することができない","집중 유지 번개 광선 시전\r\n감전 유발 불가","Conjura Feixes de Raio canalizados\r\nNão pode infligir Eletrizações","Сотворяет поддерживаемый луч молнии\r\nНе может наложить шок","Lanza un Haz de rayo canalizado\r\nNo puede aplicar electrocución","ร่าย ลำแสงสายฟ้า ที่แชนเนล\r\nไม่สามารถสร้างสถานะ ช็อค ได้","施放引導雷電光束\r\n不能造成感電",0
91,4997,10179,"Casts channelled Lightning Beam\r\nCannot inflict Shock\r\nRemoves Shock on hit to trigger Lightning Explosion","Utilise un Rayon de foudre canalisé\r\nNe peut infliger l'Électrocution\r\nRetire l'Électrocution au Toucher pour déclencher Explosion de foudre","Zaubert kanalisierenden Lichtstrahl\r\nKann kein Schock anwenden\r\nEntfernt bei Treffer Schock und löst Blitzexplosion aus","チャネリングライトニングビームをキャストする\r\n感電を付与することができない\r\nヒット時に感電を取り除きライトニングエクスプロージョンをトリガーする","집중 유지 번개 광선 시전\r\n감전 유발 불가\r\n명중 시 감전을 제거해 번개 폭발 발동","Conjura Feixes de Raio canalizados\r\nNão pode infligir Eletrizações\r\nRemove Eletrizações ao acertar para ativar Explosão Relampejante","Сотворяет поддерживаемый луч молнии\r\nНе может наложить шок\r\nПри попадании снимает шок и вызывает взрыв молнии","Lanza un Haz de rayo canalizado\r\nNo puede aplicar electrocución\r\nElimina la electrocución con cada golpe para activar Explosión de rayo","ร่าย ลำแสงสายฟ้า ที่แชนเนล\r\nไม่สามารถสร้างสถานะ ช็อค ได้\r\nกำจัดสถานะ ช็อค เมื่อปะทะ เพื่อทริกเกอร์ ระเบิดสายฟ้า","施放引導雷電光束\r\n不能造成感電\r\n擊中時移除感電，觸發閃電爆炸",0
92,4998,10180,"Casts channelled Lightning Beam\r\nCannot inflict Shock\r\nRemoves Shock on hit to trigger Lightning Explosion\r\nCasts Purity of Lightning","Utilise un Rayon de foudre canalisé\r\nNe peut infliger l'Électrocution\r\nRetire l'Électrocution au Toucher pour déclencher Explosion de foudre\r\nUtilise Pureté de la foudre ","Zaubert kanalisierenden Lichtstrahl\r\nKann kein Schock anwenden\r\nEntfernt bei Treffer Schock und löst Blitzexplosion aus\r\nZaubert Reinheit des Blitzes","チャネリングライトニングビームをキャストする\r\n感電を付与することができない\r\nヒット時に感電を取り除きライトニングエクスプロージョンをトリガーする\r\nピュリティオブライトニングをキャストする","집중 유지 번개 광선 시전\r\n감전 유발 불가\r\n명중 시 감전을 제거해 번개 폭발 발동\r\n번개의 순수함 시전","Conjura Feixes de Raio canalizados\r\nNão pode infligir Eletrizações\r\nRemove Eletrizações ao acertar para ativar Explosão Relampejante\r\nConjura Pureza Elétrica","Сотворяет поддерживаемый луч молнии\r\nНе может наложить шок\r\nПри попадании снимает шок и вызывает взрыв молнии\r\nСотворяет Спасение от молний","Lanza un Haz de rayo canalizado\r\nNo puede aplicar electrocución\r\nElimina la electrocución con cada golpe para activar Explosión de rayo\r\nLanza Pureza de rayo","ร่าย ลำแสงสายฟ้า ที่แชนเนล\r\nไม่สามารถสร้างสถานะ ช็อค ได้\r\nกำจัดสถานะ ช็อค เมื่อปะทะ เพื่อทริกเกอร์ ระเบิดสายฟ้า\r\nร่าย สายฟ้าพิสุทธิ์ (Purity of Lightning)","施放引導雷電光束\r\n不能造成感電\r\n擊中時移除感電，觸發閃電爆炸\r\n施放閃電淨化",0
93,4999,10243,"5% increased Attack Damage per 450 Evasion Rating","5% d'Augmentation des Dégâts d'attaque tous les 450 de Score d'Évasion","5% erhöhter Angriffsschaden pro 450 Ausweichwertung","回避力450ごとにアタックダメージが5％増加する","회피 450당 공격 피해 5% 증가","Dano de Ataque aumentado em 5% por cada 450 de Evasão","5% увеличение урона от атак за каждые 450 уклонения","Daño de ataques aumentado un 5% por cada 450 de evasión","เพิ่มความเสียหาย โจมตี 5% ต่อ อัตราการหลบหลีก 450","每 450 閃避值，增加 5% 攻擊傷害",4
94,5000,10244,"5% increased Attack Damage per 450 Evasion Rating\r\n5% chance to grant a Frenzy Charge to nearby Allies on Hit","5% d'Augmentation des Dégâts d'attaque tous les 450 de Score d'Évasion\r\n5% de chances d'octroyer une Charge de frénésie aux alliés à proximité au toucher","5% erhöhter Angriffsschaden pro 450 Ausweichwertung\r\n5% Chance, Verbündeten im Umkreis eine Raserei-Ladung bei Treffer zu gewähren","回避力450ごとにアタックダメージが5％増加する\r\nヒット時に5％の確率で近くの味方にフレンジーチャージを1個付与する","회피 450당 공격 피해 5% 증가\r\n명중 시 주변 동료들에게 5%의 확률로 격분 충전 제공","Dano de Ataque aumentado em 5% por cada 450 de Evasão\r\n5% de chance de conceder uma Carga de Frenesi aos Aliados próximos ao Acertar","5% увеличение урона от атак за каждые 450 уклонения\r\n5% шанс даровать заряд ярости союзникам при нанесении удара","Daño de ataques aumentado un 5% por cada 450 de evasión\r\n5% de probabilidad de otorgar una carga de frenesí a los aliados cercanos con cada golpe","เพิ่มความเสียหาย โจมตี 5% ต่อ อัตราการหลบหลีก 450\r\nมีโอกาสมอบ Frenzy Charge 1 ลูก ให้กับเพื่อนที่อยู่ใกล้ 5% เมื่อปะทะ","每 450 閃避值，增加 5% 攻擊傷害\r\n擊中時有 5% 機率給予附近友方 1 顆狂怒球",4
