"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","HASH16","Tags","TagWeight"
106,"ChaosMinionWitchNoble5","\""Witches aren't feared in Trarthus. They're adored. We wisely sided with the rebels against Little Tinny Phrecius.\""","« Personne ne craint les sorcières à Trarthus ; elles sont vénérées. Nous avons eu la sagesse de nous ranger du côté des rebelles contre l'adorable petit Phrécius. »","\""In Trarthus sind Hexen nicht gefürchtet. Sie werden bewundert. Wir haben uns in weiser Voraussicht mit den Rebellen gegen den kleinen Tinny Phrecius verbündet.\""","「ウィッチはトラーサスでは恐れられちゃいない。愛されてるのさ。賢い私たちは反乱者たちと共にティニー・フレシウスちゃんと戦ったのさ。」","\""트라투스에서 마녀는 두려움의 대상이 아니야. 숭배의 대상이지. 우리가 틴다루스 프레시우스 녀석한테 맞선 반군과 손을 잡은 건 옳은 선택이었어.\""","\""Bruxas não metem medo em Trarthus. São adoradas. A gente teve juízo e ficou do lado dos rebeldes contra o tal do Pequenus Phrecius.\""","«Ведьм в Тератне не боятся. Их там обожают. Мы мудро встали на сторону мятежников против Малыша Тинни Фрекия».","\""Nadie le teme a las brujas en Trarthus. Las adoran. Nos aliamos sabiamente con las rebeldes en contra del pequeñito Phrecius\"".","\""ไม่มี​ใคร​กลัว​แม่มด​ใน​ทาร์ทัส​ดอก พวกเธอ​เป็น​ที่​บูชา​ด้วย​ซ้ำ เรา​มี​ปัญญา​พอที่​จะ​เข้า​ข้าง​พวก​กบฏ​ใน​การ​ต่อต้าน​เจ้า​ทินนี่ ฟรีเชียส​ตัวน้อย\""","「在特拉特斯，女巫不會引人恐懼，而是受到崇敬。我們與反抗者站在同一陣線，反抗孬種費西亞斯。」",50775,"[1204,1206,1208]","[1000,1000,1000]"
107,"PhysConvertTemplar1","In Trarthus, faith never died. It just turned inward. ","À Trarthus, la foi n'est jamais morte. Elle s'est simplement tournée vers l'intérieur. ","In Trarthus ist der Glaube nie verschwunden. Er hat sich nur nach innen gerichtet.","トラーサスでは信仰は死ななかった。内側へ向いただけだ。","트라투스에서 신앙은 죽지 않았다. 그저 내면으로 방향을 바꿨을 뿐이다.","A fé não desapareceu em Trarthus. Ela só se voltou para dentro. ","В Тератне вера не вымерла. Она просто обернулась вовнутрь.","En Trarthus, la fe nunca murió. Solo se volvió hacia el interior.","ศรัทธา​ไม่​เคย​สิ้น​ลง​ใน​ทาร์ทัส แต่​กลาย​เป็น​ศรัทธา​ต่อ​ภายใน​เท่านั้น","特拉特斯的信仰從未消亡，而是化為靈魂的一部分。 ",30741,"[1194,1246]","[0,1000]"
108,"PhysConvertTemplar2","The major Houses didn't worship gods. They tried to become them. ","Les grandes maisons ne vénéraient pas les dieux. Elles essayaient de prendre leur place. ","Die großen Häuser beteten keine Götter an. Sie versuchten, welche zu werden.","大家は神を信仰しなかった。神になろうとしたんだ。","주요 가문들은 신을 섬기지 않았으며, 오히려 스스로 신이 되려 했다.","As grandes casas não cultuavam os deuses. Elas tentavam ser um. ","Ведущие Дома богов не почитали. Они пытались ими стать.","Las casas grandes no veneraban a los dioses, trataron de convertirse en ellos.","บ้านใหญ่​ไม่​ได้​สักการะ​เทพเจ้า แต่​พยายาม​ตั้ง​ตน​เป็น​เทพเจ้า​ต่าง​หาก","大多數家族並不敬神，而是企圖成為神。 ",5153,"[1194,1246]","[0,1000]"
109,"PhysConvertTemplar3","Divinity demands belief. Trarthus demanded proof. ","La divinité nécessite la foi. Trarthus exigeait des preuves. ","Göttlichkeit verlangt nach Glaube. Trarthus verlangte nach Beweisen.","神は信仰を要求する。トラーサスは証拠を要求した。","신성은 믿음을 요구하지만, 트라투스가 요구한 것은 증거였다.","A divindade exige fé. Trarthus exigia provas. ","Божественность требует веры. Тератна требовала доказательств.","La divinidad requiere de creencias. Trarthus quiso pruebas.","พลัง​เทวา​ต้องการ​ความเชื่อ ทาร์ทัส​ต้องการ​เครื่อง​พิสูจน์","神性講究的是信仰，而特拉特斯重視證據。 ",40116,"[1194,1246]","[0,1000]"
110,"PhysConvertTemplar4","One claimed the mantle of flame. Another of blood. But in a city of rival 'gods', none rose above the noise.","L'une accapara le manteau des flammes. L'autre du sang. Mais dans une ville de « dieux » rivaux, aucune ne s'éleva au-dessus du reste.","Einer beanspruchte den Umhang der Flamme. Einer den des Blutes. Aber in einer Stadt mit rivalisierenden 'Göttern' konnte keiner über den Lärm erheben.","炎の権能を主張した家がいた。別の家は血だった。だが対抗する『神々』が溢れかえる街の騒音の中で、彼らの声はかき消された。","불의 신을 자처한 자도 있었고, 피의 신을 자처한 자도 있었다. 하지만 경쟁 관계의 '신들'이 넘쳐나는 도시에서, 누구도 그 소란을 누르고 일어서지는 못했다.","Um se dizia senhor das chamas. Outro, do sangue. Mas em uma cidade cheia de \""deuses\"" rivais, ninguém se impôs.","Один облачился в покров из пламени, другой из крови. Но в городе соперничающих «богов» ни один не поднялся над шумом.","Uno reclamó el manto de las llamas. Otro el de la sangre. Pero en una ciudad de \""dioses\"" rivales, ninguno logró sobresalir en el ruido.","มี​คน​ครอง​ผ้า​คลุม​เพลิง อีก​คน​ครอง​ผ้าคลุม​เลือด แต่​ใน​นคร​ที่​เต็ม​ไป​ด้วย 'เทพเจ้า' ที่​เป็น​อริ​กัน ไม่มี​ใคร​เป็น​ใหญ่​เหนือ​ความ​วุ่นวาย​ได้​เลย","其中一個宣稱身批火炎、另一個則宣稱自己浸透鮮血，但這些「神」無一脫穎而出。",2227,"[1194,1246]","[0,1000]"
111,"PhysConvertTemplar5"," A House could rise through war, through gold, through secrets - but not through grace."," Une maison pouvait s'élever par la guerre, l'or ou les secrets, mais jamais par la grâce.","Ein Haus konnte durch Krieg, durch Gold oder durch Geheimnisse aufsteigen – aber nicht durch Gnade.","各家は戦を通して、金を通して、秘密を通して力をつけることはできた……だが神の恩寵を通しては力はつけられなかった。","가문이 세를 불리는 방법에는 전쟁, 황금, 비밀 등이 있었지만, 품위는 그중 하나가 아니었다.","Guerra, ouro, intriga... era assim que uma casa crescia. Mas nunca com virtude.","Дом мог возвыситься посредством войны, посредством золота, посредством тайн – но не посредством добрых дел.","Una casa puede elevarse mediante la guerra, el oro o los secretos, pero nunca mediante gracia.","บ้าน​หนึ่ง​อาจ​ตั้งตน​เป็น​ใหญ่​ได้​ด้วย​สงคราม ด้วย​ทอง ด้วย​ความลับ... แต่​มิใช่​ด้วย​ความ​สง่างาม","一個家族能脫穎而出的手段或為戰爭、或為金錢，或為秘密情報，但其中並無氣質出眾者。",65497,"[1194,1246]","[0,1000]"
112,"PhysConvertTemplar6","Ixan Keita declared himself a god - and built temples to prove it. His slaves were given no choice but to pray.","Ixan Keita s'autoproclama dieu et fit construire un temple pour le prouver. Ses esclaves n'eurent d'autre choix que de prier.","Ixan Keita erklärte sich zu einem Gott – und baute Tempel, um es zu beweisen. Seine Sklaven hatten keine Wahl, als zu beten.","イクサン・ケイタは自分が神であると宣言した……そしてその証拠として神殿を建設した。彼の奴隷たちは祈る他なかった。","익산 케이타는 자신이 신이라 선포하고, 이를 증명하기 위해 신전을 지었다. 그의 노예들은 강제로 기도하는 수밖에 없었다.","Ixan Keita se declarou um deus e construiu templos para convencer as pessoas disso. Seus escravos só podiam louvá-lo.","Иксан Киита провозгласил себя богом – и построил храмы в подтверждение. Его рабам не оставили выбора, кроме как молиться.","Ixan Keita se declaró a sí mismo un dios, y construyó templos para probarlo. A sus esclavos les quedó más opción que rezar.","อิกซาน เคย์ทา​ประกาศ​ตน​ว่า​เป็น​เทพเจ้า แล้ว​สร้าง​วิหาร​มา​พิสูจน์ ทาส​เขา​ไม่มี​ทาง​เลือก​ใด​นอกจาก​การ​สวด​ภาวนา​เท่านั้น","伊珊．凱塔宣稱自己是個神，並大興土木建成一座寺廟做為證明。他的奴隸們別無選擇，只能祈禱。",8278,"[1194,1246]","[0,1000]"
113,"PhysConvertTemplar7","In his quest for Divinity, Ixan Keita demanded worship. Obedience was beaten in. But no man ever reached godhood through fear alone.","Dans sa quête de divinité, Keita exigea d'être vénéré. L'obéissance s'obtint à coups de fouet. Mais aucun homme ne devient dieu par la seule peur.","Auf seiner Suche nach Göttlichkeit verlangte Ixan Keita Anbetung. Gehorsam wurde durch Prügel erzwungen. Aber noch nie hat jemand die Göttlichkeit durch Furcht alleine erreicht.","神性を求めたイクサン・ケイタは崇拝を要求した。暴力により服従を植え付けた。だが恐怖のみによって神となった者はいない。","익산 케이타는 신이 되기 위해 숭배를 요구했고, 따르지 않는 자는 폭력으로 다스렸다. 하지만 두려움만으로 신이 된 자는 지금껏 한 명도 없었다.","Na busca para se tornar um deus, Ixan Keita exigia adoração. A obediência era forçada. Mas ninguém chega à divindade só pelo medo.","В своей жажде божественности Иксан Киита требовал поклонения. Послушание вбивалось палками. Но никто ещё не сделался божеством за счёт одного только страха.","En su misión para alcanzar la divinidad, Ixan Keita exigió veneración. La obediencia se lograba con golpes. Pero ningún hombre llegó a ser un dios usando solo el miedo.","อิกซาน เคย์ทา​แสวงหา​พลัง​เทวา​ด้วย​การ​สั่ง​ให้​ผู้คน​สักการะ ทุบตี​ให้​เชื่อง แต่​ไม่มี​ใคร​ได้​เป็น​เทพเจ้า​ด้วย​ความกลัว​เพียง​อย่างเดียว","在企圖掌握神性的過程中，伊珊．凱塔要求人們向他膜拜，不從者一概鞭笞。然從古至今無人仰賴恐懼獲得神格。",50077,"[1194,1246]","[0,1000]"
114,"PhysConvertTemplar8","They sang of Ixan Keita, knelt in his hollow shrines... but their hearts spoke only of hate.","Ils chantaient les louanges d'Ixan Keita, s'agenouillaient dans ses sanctuaires vides… mais leur cœur n'était que haine.","Sie besangen Ixan Keita, knieten in seinen leeren Schreinen … aber ihre Herzen waren voller Hass.","皆はイクサン・ケイタの歌を歌い、彼の虚ろな寺院で跪いた……だが彼らの心が唱えるのは憎しみだけだった。","사람들은 익산 케이타에 대한 찬송을 부르고, 그의 공허한 신전 앞에 무릎 꿇었다. 그러나 그들의 마음에 깃든 건 오직 증오뿐이었다.","Cantavam o nome de Ixan Keita, ajoelhavam em templos vazios... No fundo, porém, só sentiam ódio.","Они воспевали Иксана Киита, склоняли колени у его пустых алтарей... но сердца их говорили только о ненависти.","Cantaron sobre Ixan Keita, se arrodillaron en sus santuarios vacíos… pero sus corazones solo contenían odio.","พวกเขา​ร้องเพลง​เกี่ยว​กับ​อิกซาน เคย์ทา คุกเข่า​ใน​อาราม​กลวงเปล่า... แต่​ใจ​พวก​เขามี​แต่​ความ​เกลียดชัง​เท่านั้น","他們歌頌伊珊．凱塔、在他空蕩的神殿中雙膝跪地……但他們的心中只有怨懟。",21904,"[1194,1246]","[0,1000]"
115,"PhysConvertTemplar9","Ixan mistook silence for reverence. In truth, not one soul believed. And so he remained just that: a mortal soul.","Ixan prit leur silence pour du respect. En vérité, aucune âme ne croyait en lui. Il demeura donc ce qu'il avait toujours été : un simple mortel.","Ixan hielt die Stille für Verehrung. In Wahrheit glaubte niemand an ihn. So blieb er, was er war – eine sterbliche Seele.","イクサンは沈黙を敬意と取り違えた。実際の所、信じる者は一人もいなかったのだ。故に彼もまた、ただの一人の人間のままだった。","익산은 그 침묵을 경외심이라 착각했다. 그러나 사실 단 한 명도 그를 믿지 않았다. 그래서 그는 끝내 필멸자를 벗어나지 못했다.","Ixan confundia silêncio com adoração. Mas ninguém acreditava nele. No fim, ele continuou sendo só isso: um homem comum.","Иксан принял молчание за почитание. На деле не уверовала ни одна душа. И потому он остался кем был: простым смертным.","Ixan malinterpretó el silencio como reverencia. Pero en verdad, ningún alma creía en él. Y así, siempre se mantuvo solo eso: un alma mortal.","อิกซาน​หลง​เชื่อ​ว่า​ความ​เงียบงัน​คือ​การ​บูชา แต่​ที่​จริง​ไม่มี​ใคร​สัก​คน​ที่​เชื่อ เขา​จึง​เป็น​เช่น​เดิม เป็น​วิญญาณ​ที่​ไม่​จีรัง​อยู่​ร่ำไป","伊珊將諸人的沉默視為敬畏。在場諸人無一真心崇敬，因此他始終僅有一副血肉之軀。",29229,"[1194,1246]","[0,1000]"
116,"PhysConvertTemplar10","\""Let them hate me, if they must. Even hatred bows to power.\""\r\n - Ixan Keita","« Qu'ils me haïssent, s'ils le désirent. Même la haine plie face au pouvoir. » — Ixan Keita","\""Lasst sie mich hassen, wenn sie müssen. Selbst Hass beugt sich der Macht.\"" \r\n– Ixan Keita","「憎むなら憎めばいい。憎しみも力には屈する。」\r\nーイクサン・ケイタ","\""날 증오해야만 한다면 말리지 않겠다. 증오라도 힘 앞에서는 고개를 숙이는 법이다.\""\r\n - 익산 케이타","\""Podem me odiar, se quiserem. Até o ódio se curva ao poder.\""\r\n- Ixan Keita","«Пусть ненавидят меня, если хотят. Даже ненависть подчиняется силе»\r\n– Иксан Киита","\""Deja que me odien si es necesario. Hasta el odio se inclina ante el poder\"".\r\n- Ixan Keita","\""พวกมันจะเกลียดข้าก็เกลียดไป กระทั่งความเกลียดชังยังพ่ายให้แก่พลัง\""\r\n- อิกซาน เคย์ทา","「就算他們憎恨我，還是得對力量低頭。」\r\n- 伊珊．凱塔",714,"[1194,1246]","[0,1000]"
117,"PhysConvertTemplar11","They preached in alleyways and taverns. Few listened. Fewer remembered.","Ils prêchèrent dans les ruelles et les tavernes. Rares sont ceux qui les écoutèrent, plus rare encore sont ceux qui s'en souvinrent.","Sie predigten in Gassen und Tavernen. Wenige hörten zu. Noch weniger erinnerten sich.","彼らは路地や酒場で説き勧めた。聞いていた者は少なかった。覚えていた者は更に少なかった。","그들은 골목에서, 주점에서 말씀을 전했다. 귀를 기울이는 자는 적었고, 기억하는 자는 더 적었다.","Pregavam em becos e tavernas. Poucos ligavam. Quase ninguém se lembrava.","Они проповедовали в переулках и тавернах. Мало кто слушал. Ещё меньше запомнили.","Predicaban en callejones y tabernas. Pocos escuchaban. Pocos recordaron.","พวกเขา​เทศน์​ใน​ซอย​และ​โรงเหล้า ไม่​ค่อย​มี​คน​ฟัง แทบ​ไม่มี​ใคร​จดจำ","他們在大街小巷、酒肆市集裡弘法，願意聆聽者寥寥無幾，銘記在心者更是屈指可數。",65002,"[1194,1246]","[0,1000]"
118,"PhysConvertTemplar12","Attempts to bring organised religion to Trarthus were many - and all of them met with blood.","Nombreuses furent les tentatives d'imposer une religion organisée à Trarthus ; toutes finirent en bain de sang.","Es gab viele Versuche, organisierte Religion nach Trarthus zu bringen – sie alle endeten mit Blutvergießen.","トラーサスに組織だった宗教を持ち込む試みは数多く……全ては血を持って迎えられた。","그간 트라투스에 조직화된 종교를 전파하기 위한 숱한 시도가 있었지만, 결과는 하나같이 참혹했다.","Tentaram impor a religião em Trarthus diversas vezes, e todas acabaram em sangue.","Попыток принести организованную религию в Тератну было много – и все они столкнулись с кровопролитием.","Hubo muchos intentos para llevar la religión organizada a Trarthus, y todos terminaron con sangre.","มี​หลายคน​พยายาม​เผยแผ่​ศาสนา​ใน​ทาร์ทัส และ​จบ​ลง​ด้วย​การ​นองเลือด​เสมอ​มา","嘗試在特拉特斯宣教者不在少數……大多演變為血濺現場的全武行。",29232,"[1194,1246]","[0,1000]"
119,"PhysConvertTemplar13","Faith is tolerated in Trarthus - but only so long as it is kept to one's self.","La foi est tolérée à Trarthus, tant que vous la gardez pour vous.","Glaube wird in Trarthus toleriert – aber nur, solange man ihn für sich behält.","トラーサスでは信仰は許容される……ただし、それを自分自身の内に留めている限り。","트라투스에서는 신념이 용인된다. 단, 신념을 혼자서 간직하는 경우에 한해서다.","A fé é tolerada em Trarthus, desde que seja mantida em sigilo.","Веру в Тератне терпят – но только пока ты держишь её при себе.","En Trarthus se tolera la fe, pero siempre y cuando se practique en el interior.","ทาร์ทัส​ไม่​ถือสา​ถ้า​ใคร​จะ​ศรัทธา​ใน​ศาสนา​ใด ตราบ​ใด​ที่​เขา​คน​นั้นเก็บ​งำ​ศรัทธา​ไว้​กับ​ตัว","特拉特斯對信仰持容忍態度……前提是信仰必須僅止於個人內心。",1910,"[1194,1246]","[0,1000]"
120,"PhysConvertTemplar14","Even the pious stray in Trarthus - led not by devils, but by gold and supple skin.","Même les plus pieux s'égarent à Trarthus, séduits non par les diables, mais par l'or et la douceur de la peau.","Selbst die Gottesfürchtigen kommen in Trarthus vom Weg ab – nicht verführt von Teufeln, sondern von Gold und weichem Fleisch.","敬虔な者たちもトラーサスでは迷ってしまう……彼らを導くのは悪魔ではなく、金としなやかな肌だ。","트라투스에서는 경건한 자도 탈선하고 만다. 악마가 아닌, 황금과 부드러운 살결에 이끌려.","Até o mais santo se desvia em Trarthus. Não por demônios, mas por ouro e prazer carnal.","Даже праведники в Тератне сбиваются с пути – ведомые не дьяволами, но золотом и упругой плотью.","Hasta los piadosos erran el camino en Trarthus, y no porque los guíen los demonios, sino el oro y el suave toque de la piel.","กระทั่ง​ผู้​เคร่งศาสนา​ก็​เตลิด​ได้​ใน​ทาร์ทัส... มิได้​ถูก​ชักนำ​ด้วย​ปีศาจ​ใด แต่​ชักนำ​ด้วย​ทอง​และ​ผิว​ที่​เนียน​นุ่ม","虔誠者在特拉特斯也難以安身立命，他們充其量不過是待宰的羔羊。",28108,"[1194,1246]","[0,1000]"
121,"PhysConvertTemplar15","Trarthans revere but one god: the almighty coin.","Les Trathiens ne vénèrent qu'une seule déesse : la toute-puissante piécette.","Trarthaner verehren nur einen Gott: das allmächtige Geld.","トラーサス人が崇拝するのは一柱の神だけ：万能なる金貨だ。","트라투스인이 숭배하는 신은 단 하나, 전능하신 돈뿐이다.","Os trarthanos só se curvam a um deus todo-poderoso: o dinheiro.","Тератцы поклоняются единственному богу: всемогущей звонкой монете.","Los trarthanos veneran a un solo dios: el todopoderoso dinero.","ชาว​ทาร์ทาน​เคารพ​เทพเจ้า​เพียง​องค์​เดียว เหรียญ​ผู้​ยิ่ง​ใหญ่","閃耀的錢幣是特拉特斯的唯一真神。",43510,"[1194,1246]","[0,1000]"
122,"PhysConvertTemplar16","\""If your mission should take you to Trarthus, you'd best carry a knife.\""\r\n - Gospel and Blade","« Si votre mission vous mène à Trarthus, pensez à porter un couteau. » — Lames et paroles divines","\""Sollte Euch Eure Mission nach Trarthus führen, solltet Ihr lieber ein Messer dabeihaben.\"" \r\n– Evangelium und Klinge","「もしあなたが伝道によりトラーサスに立ち寄ることがあれば、ナイフを持ち歩いた方が良いでしょう。」\r\nー福音と刃","\""혹여 임무 때문에 트라투스로 가게 된다면 단도를 챙기는 것이 좋다.\""\r\n - 가스펠과 블레이드","\""Se sua missão te levar a Trarthus, melhor não ir sem uma faca.\""\r\n- Evangelho e Espada","«Буде заведёт тебя дорога в Тератну, лучше возьми с собой нож».\r\n– «Проповедь и клинок»","\""Si tu misión fuese a llevarte a Trarthus, será mejor que lleves una navaja\"".\r\n- Góspel y cuchillos","\""หากการเผยแผ่ศาสนานำเจ้าไปสู่ทาร์ทัส เจ้าพกมีดเสียดีกว่า\""\r\n- คำเทศน์และมีด","「如果你接到的任務派你前往特拉特斯，最好隨身攜帶一把短刀。」\r\n- 《福音與刀刃》",13056,"[1194,1246]","[0,1000]"
123,"PhysConvertTemplarNoble1","{0} Keita came to preach salvation. He left certain there was none to be found.","{0} Keita vint pour prêcher le salut. Il repartit avec la certitude qu'il n'y en avait point.","{0} Keita kam, um Erlösung zu predigen. Er ging in der Gewissheit, dass es keine gab.","{0}・ケイタは救済を説きにやってきた。それがここにはないことを確信し、彼は去っていった。","한때 구원을 설파하러 왔던 {0} 케이타는 구원이 없음을 깨닫고 떠나버렸다.","{0} Keita veio pregar salvação. Partiu sem acreditar que ela existisse.","{0} Киита явился проповедовать спасение. Ушёл он убеждённым, что искать его негде.","{0} Keita intentó predicar sobre la salvación. Se marchó con la certeza de que no había ninguna.","{0} เคย์ทา​เดินทาง​มา​เพื่อ​สอน​ให้​รู้​จัก​การ​รอดพ้น และ​จาก​ไป​ด้วย​ความเชื่อมั่น​ว่า​การรอดพ้น​ไม่มี​จริง","{0}．凱塔前來宣揚救贖，但最後體認到一切只是庸人自擾。",22275,"[1248,1250,1252]","[1000,1000,1000]"
124,"PhysConvertTemplarNoble2","In a city built on secrets, faith never stood a chance.","Dans une cité bâtie sur les secrets, la foi n'avait aucune chance.","In einer Stadt mit einem Fundament aus Geheimnissen hatte der Glaube nie eine Chance.","秘密の上に建てられた街で、信仰に勝ち目はなかった。","비밀 위에 세워진 도시에서 신념은 결코 맥을 추지 못한다.","Quando uma cidade vive de segredos, a fé já entra perdendo.","В городе, построенном на тайнах, у веры не было шанса.","En una ciudad construida sobre secretos, la fe nunca tuvo oportunidad.","ใน​นคร​ที่​สถาปนา​ขึ้น​มา​ด้วย​ความลับ ศรัทธา​ไม่มี​โอกาส​ชนะ​แม้แต่​น้อย","在一座爾虞我詐的城市裡，並無信仰立足之地。",48664,"[1248,1250,1252]","[1000,1000,1000]"
125,"PhysConvertTemplarNoble3","Though born of Keita blood, {0} sought to better Trarthus through faith - until his kin reminded him where power truly lay.","Bien que de sang Keita, {0} chercha à améliorer Trarthus par la foi, jusqu'à ce que ses proches lui rappellent où se trouve le véritable pouvoir.","Obwohl er das Blut der Keita in sich trug, versuchte {0}, Trarthus durch seinen Glauben zu verbessern – bis seine Verwandten ihn daran erinnerten, wie wahre Macht tatsächlich ausgeübt wird.","ケイタ家の血筋に生まれたが、{0}は信仰を通してトラーサスをより良くしようとした……彼の親族が真の力の在処を思い出させるまでは。","{0}. 케이타의 혈통에서 태어나, 신념을 통해 트라투스를 더 살기 좋은 곳으로 만들고자 하였으나, 그의 동족 덕분에 진정한 권력이 어디 있는지 알게 되었다.","Mesmo sendo da casa Keita, {0} tentou melhorar Trarthus pela fé... até que sua própria família lembrou quem mandava de verdade.","Хоть и киитанец по крови, {0} пытался направить Тератну путём веры – пока его родня не напомнила ему, в чём на самом деле заключалась сила.","Aunque nació con sangre Keita, {0} quiso mejorar Trarthus a través de la fe, hasta que su familia le recordó dónde residía realmente el poder.","แม้ว่า{0}จะ​มี​สายเลือด​เคย์ทา แต่​เขา​มุ่ง​ใช้​ศรัทธา​พัฒนา​ทาร์ทัส​ให้​ดี​ขึ้น จน​กระทั่ง​ตระกูล​เขา​สั่งสอน​ให้​รู้​ซึ้ง​ถึง​พลัง​ที่​แท้จริง","雖然誕生於凱塔家族，{0}試圖透過信仰來為特拉特斯打造更好的未來，直到他的手足讓他見識了真正的力量。",9549,"[1248,1250,1252]","[1000,1000,1000]"
126,"PhysConvertTemplarNoble4","Once Emperor Tyndarus caught wind of Trarthan warlords setting up a society, he sent his legions to stomp them back down.","« Lorsque l'Empereur Tyndarus apprit que les seigneurs de guerre trarthiens avaient établi des cultures et une société à part entière, il fit envoyer ses légions sans attendre afin de les écraser sous sa botte. »","Als Kaiser Tyndarus davon hörte, dass trarthanische Kriegsherren damit begonnen hatten, eine Gesellschaft zu gründen, schickte er sofort seine Legionen, um sie wieder in den Staub zu treten.","皇帝ティンダルスがトラーサスの将軍たちが社会を作ろうとしていることを耳にした時、皇帝は彼らを踏み潰すために軍団を送り込んだ。","틴다루스 황제는 트라투스의 군주들이 공동체를 만들기 시작한 것을 알고, 군단을 보내 모두를 짓밟아 버렸다.","Quando o imperador Tyndarus descobriu que os senhores da guerra de Trarthus estavam criando uma sociedade, ordenou que suas legiões acabassem com tudo.","Как только император Тиндарус прознал о том, что воеводы Тератны устраивают своё общество, он отправил легионы растоптать их.","Cuando el Emperador Tyndarus se enteró de que los jefes de guerra trarthanos estaban sembrando y construyendo una sociedad, rápidamente envió a sus legiones para aplastarlos.","เมื่อ​จักรพรรดิ​ทินดารัส​ได้​ข่าว​ว่า​ขุนศึก​ทาร์ทาน​เริ่ม​เพาะปลูก​และ​ก่อตั้ง​สังคม เขา​รีบ​ส่ง​กอง​ทหาร​ไป​กำราบ​เพื่อ​ไม่​ให้​พวก​มัน​กำแหง","當泰達魯斯帝王聽到特拉特斯督軍在建立國家的風聲時，他派遣了軍團，試圖以武力殲滅他們。",45384,"[1248,1250,1252]","[1000,1000,1000]"
127,"PhysConvertTemplarNoble5","The Phrecian legions executed the warlords of that era, and instituted crushing taxes on the budding Trarthan society.","« Les légions phréciennes exécutèrent les seigneurs de guerre de la région et firent ployer la nouvelle société trarthienne sous les impôts. »","Die phrecischen Legionen richteten damals die Kriegsherren hin und belegten die aufkeimende trarthanische Gesellschaft mit brutalen Steuern.","フレシウスの軍団は当時の将軍たちを処刑し、芽吹いていたトラーサスの社会に過酷な税を課した。","프레시아 군단은 당시의 군주를 처형하고는 막 싹트려는 트라투스 공동체에 가혹한 세금을 부과했다.","As legiões firecianas executaram os senhores da guerra da época e impuseram impostos absurdos à sociedade trarthana que ainda estava nascendo.","Фрекийские легионы казнили военачальников той эпохи и взвалили тяжкие налоги на зарождающееся тератское общество.","Las legiones de Phrecia ejecutaron a los jefes de guerra de esa era, e instauraron impuestos devastadores en la joven sociedad trarthana.","กองทหาร​ฟรีเชีย​ประหาร​ขุนศึก​แห่ง​ยุค​นั้น แล้ว​ตั้ง​ภาษี​ขูดรีด​สังคม​ทาร์ทาน​ที่​กำลัง​เติบ​ใหญ่","費西亞的軍團把當時的督軍都斬殺殆盡，並給仍在發展的特拉特斯社會施以重稅。",61014,"[1248,1250,1252]","[1000,1000,1000]"
128,"AurasMinionsTemplar1","Some foreigners cling to warm memories of Divinity. In Trarthus, that's considered true madness.","Certains étrangers se raccrochent aux doux souvenirs de la Divinité. À Trarthus, ils sont considérés comme de véritables déments.","Manche Fremde klammern sich an wärmende Erinnerungen von Göttlichkeit. In Trarthus hält man das für reinen Irrsinn.","一部の外国人たちは神性の温かな記憶にしがみついている。トラーサスでは、それは真の狂気と言われる。","신성의 따스한 기억을 간직하는 외지인이 간혹 있다. 트라투스에서 이는 심한 정신 착란으로 여겨진다.","Alguns estrangeiros ainda guardam boas lembranças da divindade. Em Trarthus, isso é considerado insanidade.","Некоторые чужестранцы цепляются за тёплые воспоминания о божественности. В Тератне это считается чистым безумием.","Algunos forasteros se aferraron a los cálidos recuerdos de la divinidad. En Trarthus, eso se considera locura.","คน​ต่าง​ถิ่น​บางคน​ยึด​ความทรงจำ​เกี่ยว​กับ​พลังเทวา​อัน​อบอุ่น​เป็น​สรณะ ซึ่ง​เป็น​เรื่อง​ที่​ทาร์ทัส​มอง​ว่า​เสียสติ​โดย​เที่ยงแท้","異國人往往會以神性的溫暖記憶做為慰藉，這種行為在特拉特斯被視為真正的瘋狂之舉。",16075,"[1194,1240]","[0,1000]"
