"rownum","Id","ItemClassesKey","Width","Height","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffect","TagsKeys","ModDomain","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Inflection (French)","Inflection (German)","Inflection (Japanese)","Inflection (Korean)","Inflection (Portuguese)","Inflection (Russian)","Inflection (Spanish)","Inflection (Thai)","Inflection (Traditional Chinese)","Equip_AchievementItemsKey","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemTypesKey","bool_225","rid_226","rid_242","bool_258","Unmodifiable","Achievement1","Achievement2","IgnoreQuantBonus","bool_293","rid_294"
1938,"Metadata/Items/Gems/SupportGemMirageArcher",19,1,1,"Mirage Archer Support","Soutien : Archer mirage","Unterstützung: Phantombogenschütze","ミラージュアーチャーサポート","신기루 궁수 보조","Suporte: Arqueiro Ilusório","Поддержка: Призрачный лучник","Asistencia de Arquero ilusorio","หินเสริม Mirage Archer","幻影射手輔助","Metadata/Items/Gems/SupportSkillGem",5,"",[],1,"",[301],39,9867,683812711,[],"","M","F","","","M","MS","F","","","","",[],[],"","","","","","",[],[],"","",158
1939,"Metadata/Items/Gems/SkillGemNewVulnerability",18,1,1,"Vulnerability","Vulnérabilité","Verwundbarkeit","ヴァルネラビリティ","취약성","Vulnerabilidade","Беззащитность","Vulnerabilidad","บอบบาง (Vulnerability)","脆弱","Metadata/Items/Gems/ActiveSkillGem",24,"",[],1,"",[],39,9306,1532020684,[8659],"","F","F","","","F","FS","F","","","","",[],[],"","","","","","",[],[],"","",""
1940,"Metadata/Items/Gems/SkillGemCaptureMonster",18,1,1,"Capture Monster","Capture de monstre","Monster einfangen","モンスター捕獲","몬스터 포획","Monstro Capturado","Поймать монстра","Capturar monstruo","จับมอนสเตอร์ (Capture Monster)","去吧！捕獸網","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[167],39,9486,718449161,[8659],"","F","N","","","M","M","F","","","","",[],[],"","","","","","",[],[],"","",""
1941,"Metadata/Items/Gems/SkillGemShrapnelTrap",18,1,1,"Explosive Trap","Piège explosif","Sprengfalle","エクスプローシブトラップ","폭발 덫","Armadilha Explosiva","Взрывная ловушка","Trampa explosiva","กับดักระเบิด (Explosive Trap)","爆裂陷阱","Metadata/Items/Gems/ActiveSkillGem",5,"",[],1,"",[],39,9529,77992486,[8659],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],[],"","",""
1942,"Metadata/Items/Gems/SkillGemIceSiphonTrap",18,1,1,"Siphoning Trap","Piège siphonnant","Entkräftungsfalle","サイフォニングトラップ","착취 덫","Armadilha Sifão de Gelo","Ловушка переливания","Trampa de absorción","กับดักดูดพลัง (Siphoning Trap)","虹吸陷阱","Metadata/Items/Gems/ActiveSkillGem",10,"",[],1,"",[],39,9530,360322813,[8659],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],[],"","",""
1943,"Metadata/Items/Gems/SkillGemFlamethrowerTrap",18,1,1,"Flamethrower Trap","Piège lance-flammes","Flammenwerferfalle","フレームスローワートラップ","화염방사기 덫","Armadilha Lança-Chamas","Ловушка-огнемёт","Trampa de lanzallamas","กับดักเครื่องพ่นไฟ (Flamethrower Trap)","噴火陷阱","Metadata/Items/Gems/ActiveSkillGem",28,"",[],1,"",[],39,9531,566609925,[8659],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],[],"","",""
1944,"Metadata/Items/Gems/SkillGemLightningTowerTrap",18,1,1,"Lightning Spire Trap","Piège de pic de foudre","Blitzleiterfalle","ライトニングスパイアトラップ","번개 첨탑 덫","Armadilha Espiral Relampejante","Ловушка шпиля молний","Trampa de pararrayos","กับดักขดลวดสายฟ้า (Lightning Spire Trap)","鋒雷陷阱","Metadata/Items/Gems/ActiveSkillGem",28,"",[],1,"",[],39,9532,-390582110,[8659],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],[],"","",153
1945,"Metadata/Items/Gems/SkillGemPhysCascadeTrap",18,1,1,"Seismic Trap","Piège sismique","Seismische Falle","サイズミックトラップ","지진 덫","Armadilha Císmica","Сейсмическая ловушка","Trampa sísmica","กับดักกระทุ้งปฐพี (Seismic Trap)","地裂陷阱","Metadata/Items/Gems/ActiveSkillGem",28,"",[],1,"",[],39,9533,-340773886,[8659],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],[],"","",349
1946,"Metadata/Items/Gems/SkillGemVaalFleshOffering",18,1,1,"Vaal Flesh Offering","Offrande de chair vaal","Vaal-Fleischopfer","ヴァールフレッシュオファリング","바알 살점 공물","Oferenda de Carne Vaal","Подношение плоти ваал","Ofrenda de carne vaal","วาล์ เซ่นไหว้ด้วยเนื้อหนัง (Vaal Flesh Offering)","瓦爾．血肉奉獻","Metadata/Items/Gems/ActiveSkillGem",12,665,[],1,"",[699],39,9418,-1513965615,[8659],"","F","N","","","F","NS","F","","","","",[],[],"","","","","","",[],[],"","",""
1947,"Metadata/Items/Gems/SkillGemVaalEarthquake",18,1,1,"Vaal Earthquake","Séisme vaal","Vaal-Erdbeben","ヴァールアースクエイク","바알 지진","Terremoto Vaal","Землетрясение ваал","Terremoto vaal","วาล์ แผ่นดินไหว (Vaal Earthquake)","瓦爾．震地","Metadata/Items/Gems/ActiveSkillGem",28,"",[],1,"",[699],39,9512,1468520037,[8659],"","M","N","","","M","NS","M","","","","",[],[],"","","","","","",[],[],"","",209
1948,"Metadata/Items/Gems/SkillGemVaalBlight",18,1,1,"Vaal Blight","Fléau vaal","Vaal-Pesthauch","ヴァールブライト","바알 황폐","Infestação Vaal","Мор ваал","Plaga vaal","วาล์ แพร่โรคร้าย (Vaal Blight)","瓦爾．萎滅","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[699],39,9526,-1537673978,[8659],"","M","M","","","M","MS","F","","","","",[],[],"","","","","","",[],[],"","",268
1949,"Metadata/Items/Gems/SupportGemFrenzyPowerOnTrapTrigger",19,1,1,"Charged Traps Support","Soutien : Pièges galvanisants","Unterstützung: Geladene Fallen","チャージドトラップサポート","충전된 덫 보조","Suporte: Armadilhas Carregadas","Поддержка: Заряженные ловушки","Asistencia de Trampas cargadas","หินเสริม Charged Traps","陷阱充能輔助","Metadata/Items/Gems/SupportSkillGem",31,"",[],1,"",[],39,9869,1587233226,[],"","MP","F","","","F","FP","F","","","","",[],[],"","","","","","",[],[],"","",""
1950,"Metadata/Items/Gems/SupportGemChargedMines",19,1,1,"Charged Mines Support","Soutien : Mines galvanisantes","Unterstützung: Geladene Minen","チャージドマインサポート","충전된 지뢰 보조","Suporte: Minas Carregadas","Поддержка: Заряженные мины","Asistencia de minas cargadas","หินเสริม Charged Mines","地雷充能輔助","Metadata/Items/Gems/SupportSkillGem",31,"",[],1,"",[],39,9868,619178891,[],"","FP","F","","","F","FP","F","","","","",[],[],"","","","","","",[],[],"","",""
1951,"Metadata/Items/Gems/SkillGemVaalAncestralWarchief",18,1,1,"Vaal Ancestral Warchief","Chef de guerre ancestral vaal","Vaal-Ahnen-Kriegshäuptling","ヴァールアンセストラルウォーチーフ","바알 선대의 대전사","Chefe Guerreiro Ancestral Vaal","Вождь предков ваал","Cacique ancestral vaal","วาล์ บรรพชนผู้นำทัพ (Vaal Ancestral Warchief)","瓦爾．先祖戰士長","Metadata/Items/Gems/ActiveSkillGem",28,"",[],1,"",[699],39,9522,-563837252,[8659],"","M","N","","","M","MS","M","","","","",[],[],"","","","","","",[],[],"","",198
1952,"Metadata/Items/Gems/SkillGemConsecratedPath",18,1,1,"Consecrated Path","Chemin consacré","Geweihter Pfad","コンセクレイテッドパス","축성의 진격","Caminho Sagrado","Освящённый путь","Camino consagrado","เส้นทางศักดิ์สิทธิ์ (Consecrated Path)","奉獻之路","Metadata/Items/Gems/ActiveSkillGem",28,"",[],1,"",[],39,9534,229411711,[8659],"","M","M","","","M","MS","M","","","","",[],[],"","","","","","",[],[],"","",304
1953,"Metadata/Items/Gems/SkillGemSmite",18,1,1,"Smite","Châtiment","Zerschmettern","スマイト","징벌","Castigo","Кара","Aniquilación","เฆี่ยนตี (Smite)","雷鳴重擊","Metadata/Items/Gems/ActiveSkillGem",5,"",[],1,"",[],39,9535,488179652,[8659],"","M","N","","","M","FS","F","","","","",[],[],"","","","","","",[],[],"","",302
1954,"Metadata/Items/Gems/SkillGemScourgeArrow",18,1,1,"Scourge Arrow","Flèche d'épines","Verhängnispfeil","スカージアロー","재앙의 화살","Flecha Virulenta","Стрела скверны","Flecha de espinas","ลูกศรหายนะ (Scourge Arrow)","天譴之箭","Metadata/Items/Gems/ActiveSkillGem",28,"",[],1,"",[],39,9537,-392425763,[8659],"","F","M","","","F","FS","F","","","","",[],[],"","","","","","",[],[],"","",176
1955,"Metadata/Items/Gems/SkillGemToxicRain",18,1,1,"Toxic Rain","Pluie toxique","Toxischer Regen","トキシックレイン","맹독성 비","Chuva Tóxica","Токсичный дождь","Lluvia tóxica","ฝนพิษ (Toxic Rain)","腐蝕毒雨","Metadata/Items/Gems/ActiveSkillGem",12,"",[],1,"",[],39,9536,-1526683557,[8659],"","F","M","","","F","MS","F","","","","",[],[],"","","","","","",[],[],"","",197
1956,"Metadata/Items/Gems/SkillGemSummonRelic",18,1,1,"Summon Holy Relic","Invocation de Relique sacrée","Heiliges Relikt beschwören","ホーリーレリック召喚","신성한 유물 소환","Convocar Relíquia Sagrada","Призыв священной реликвии","Invocar reliquia sagrada","อัญเชิญวัตถุศักดิ์สิทธิ์ (Summon Holy Relic)","召喚聖物","Metadata/Items/Gems/ActiveSkillGem",5,"",[],1,"",[],39,9538,1718441355,[8659],"","F","N","","","F","MS","F","","","","",[],[],"","","","","","",[],[],"","",145
1957,"Metadata/Items/Gems/SupportGemChaosAttacks",19,1,1,"Withering Touch Support","Soutien : Toucher flétrissant","Unterstützung: Verkümmernde Berührung","ヒット時衰弱サポート","위축의 손길 보조","Suporte Toque Definhador","Поддержка: Губительное прикосновение","Asistencia de Toque marchitante","หินเสริม Withering Touch","凋零之觸輔助","Metadata/Items/Gems/SupportSkillGem",38,"",[],2,"",[],39,9539,1337767102,[],"","M","F","","","M","NS","F","","","","",[],[],"","","","","","",[],[],"","",""
1958,"Metadata/Items/Gems/SupportGemBonechill",19,1,1,"Bonechill Support","Soutien : Frisson hivernal","Unterstützung: Knochenfrost","ボーンチルサポート","사무치는 한기 보조","Suporte Resfriamento Ósseo","Поддержка: Леденящее охлаждение","Asistencia Hielahuesos","หินเสริม Bonechill","寒冰刺骨輔助","Metadata/Items/Gems/SupportSkillGem",38,"",[],1,"",[],39,9541,-1843903243,[],"","M","F","","","M","NS","F","","","","",[],[],"","","","","","",[],[],"","",""
1959,"Metadata/Items/Gems/SkillGemWinterOrb",18,1,1,"Winter Orb","Orbe de l'hiver","Wintersphäre","ウィンターオーブ","겨울 보주","Orbe Invernal","Зимняя сфера","Orbe invernal","ลูกแก้วเหมันต์ (Winter Orb)","凜冬之球","Metadata/Items/Gems/ActiveSkillGem",28,"",[],1,"",[],39,9542,-1939279962,[8659],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",255
1960,"Metadata/Items/Gems/SkillGemRendingSteel",18,1,1,"Rending Steel","Acier déchirant","Zerreißender Stahl","レンディングスティール","강철 분리","Aço Dilacerador","Раздирающая сталь","Acero desgarrador","Rending Steel","鋼之裂化","Metadata/Items/Gems/ActiveSkillGem",12,"",[],1,"",[],39,9545,732782005,[8659],"","M","M","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
1961,"Metadata/Items/Gems/SkillGemLancingSteel",18,1,1,"Lancing Steel","Acier transperçant","Stechender Stahl","ランシングスティール","강철 관통","Aço Perfurador","Пронзающая сталь","Acero empalador","พุ่งเหล็กกล้า (Lancing Steel)","鋼之突刺","Metadata/Items/Gems/ActiveSkillGem",28,"",[],1,"",[],39,9545,159273520,[8659],"","M","M","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",297
1962,"Metadata/Items/Gems/SkillGemStormBrand",18,1,1,"Storm Brand","Symbole de l'orage","Zeichen des Sturms","ストームブランド","폭풍의 낙인","Runa Tempestuosa","Клеймо бури","Marca de tormentas","ตราเวทสายฟ้า (Storm Brand)","風暴烙印","Metadata/Items/Gems/ActiveSkillGem",12,"",[],1,"",[],39,9543,-876428256,[8659],"","M","N","","","F","NS","F","","","","",[],[],"","","","","","",[],[],"","",266
1963,"Metadata/Items/Gems/SkillGemWarBanner",18,1,1,"War Banner","Étendard de guerre","Kriegsbanner","ウォーバナー","전쟁 깃발","Estandarte da Guerra","Знамя войны","Estandarte de guerra","ธงสงคราม (War Banner)","戰爭之旗","Metadata/Items/Gems/ActiveSkillGem",5,"",[],1,"",[],39,9547,-2073611598,[8659],"","M","N","","","M","NS","M","","","","",[],[],"","","","","","",[],[],"","",249
1964,"Metadata/Items/Gems/SkillGemDreadBanner",18,1,1,"Dread Banner","Étendard de terreur","Todesbanner","ドレッドバナー","공포의 깃발","Estandarte Horrendo","Знамя страха","Estandarte de pavor","ธงหวาดกลัว (Dread Banner)","恐懼之旗","Metadata/Items/Gems/ActiveSkillGem",24,"",[],1,"",[],39,9549,-1591631745,[8659],"","M","N","","","M","NS","M","","","","",[],[],"","","","","","",[],[],"","",250
1965,"Metadata/Items/Gems/SkillGemShatteringSteel",18,1,1,"Shattering Steel","Acier fendant","Zerschmetternder Stahl","シャタリングスティール","강철 파편","Aço Estraçalhador","Дробящая сталь","Acero devastador","เหล็กกล้าแตกกระจาย (Shattering Steel)","鋼之碎擊","Metadata/Items/Gems/ActiveSkillGem",12,"",[],1,"",[],39,9546,1066456013,[8659],"","M","M","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",298
1966,"Metadata/Items/Gems/SupportGemMultiTotem",19,1,1,"Multiple Totems Support","Soutien : Totems multiples","Unterstützung: Mehrere Totems","マルチトーテムサポート","다중 토템 보조","Suporte: Totens Múltiplos","Поддержка: Множество тотемов","Asistencia de Tótems múltiples","หินเสริม Multiple Totems","多重圖騰輔助","Metadata/Items/Gems/SupportSkillGem",38,"",[],1,"",[],39,9540,33708788,[],"","MP","FP","","","M","NS","F","","","","",[],[],"","","","","","",[],[],"","",""
1967,"Metadata/Items/Gems/SkillGemArmageddonBrand",18,1,1,"Armageddon Brand","Symbole de l'apocalypse","Zeichen des Untergangs","アルマゲドンブランド","종말의 낙인","Runa do Armagedom","Клеймо Армагеддона","Marca de armagedón","ตราเวทวันสิ้นโลก (Armageddon Brand)","末日烙印","Metadata/Items/Gems/ActiveSkillGem",28,"",[],1,"",[],39,9544,-1697751466,[8659],"","M","N","","","F","NS","F","","","","",[],[],"","","","","","",[],[],"","",323
1968,"Metadata/Items/Gems/SkillGemRecallBrands",18,1,1,"Brand Recall","Rappel des Symboles","Zeichen zurückrufen","ブランドリコール","낙인 소환","Convocar Runas","Возврат клейм","Evocar marcas","เรียกคืนตราเวท (Brand Recall)","烙印呼喚","Metadata/Items/Gems/ActiveSkillGem",16,"",[],1,"",[167],39,9550,243624776,[8659],"","M","N","","","F","MS","F","","","","",[],[],"","","","","","",[],[],"","",""
1969,"Metadata/Items/Gems/SkillGemSanctify",18,1,1,"Purifying Flame","Flamme purificatrice","Reinigende Flamme","ピュリファイングフレイム","정화의 불길","Chama Purificadora","Очищающее пламя","Llama purificadora","เปลวไฟชำระล้าง (Purifying Flame)","淨化烈焰","Metadata/Items/Gems/ActiveSkillGem",5,"",[],1,"","[300,301]",39,9551,-1348420218,[8659],"","F","F","","","F","NS","F","","","","",[],[],"","","","","","",[],[],"","",""
1970,"Metadata/Items/Gems/SkillGemSoulrend",18,1,1,"Soulrend","Déchirure d'âme","Seelenriss","ソウルレンド","영혼 분리","Rasgalma","Разрыв души","Desgarrador de almas","ฉีกวิญญาณ (Soulrend)","靈體撕裂","Metadata/Items/Gems/ActiveSkillGem",28,"",[],1,"",[],39,9553,-736678601,[8659],"","F","M","","","M","MS","F","","","","",[],[],"","","","","","",[],[],"","",253
1971,"Metadata/Items/Gems/SkillGemDarkRitual",18,1,1,"Bane","Damnation","Verdammung","ベイン","파멸","Banir","Погибель","Condenación","คาถามรณะ (Bane)","災厄","Metadata/Items/Gems/ActiveSkillGem",24,"",[],1,"",[],39,9552,-1110496384,[8659],"","F","F","","","M","FS","F","","","","",[],[],"","","","","","",[],[],"","",256
1972,"Metadata/Items/Gems/SkillGemStormBind",18,1,1,"Stormbind","Rune de l'orage","Sturmrune","ストームバインド","폭풍 연대","Vínculo Tempestuoso","Грозовые руны","Rito de tormenta","อักขระสายฟ้า (Stormbind)","風暴術符","Metadata/Items/Gems/ActiveSkillGem",28,"",[],1,"",[],39,9606,-1079581308,[8659],"","F","F","","","M","FP","M","","","","",[],[],"","","","","","",[],[],"","",285
1973,"Metadata/Items/Gems/SkillGemDivineTempest",18,1,1,"Divine Ire","Courroux divin","Göttlicher Zorn","ディヴァインアイア","신성한 진노","Ira Divina","Божественный гнев","Ira divina","เทพพิโรธ (Divine Ire)","聖怒","Metadata/Items/Gems/ActiveSkillGem",28,"",[],1,"",[],39,9554,1769312730,[8659],"","M","M","","","F","MS","F","","","","",[],[],"","","","","","",[],[],"","",254
1974,"Metadata/Items/Gems/SkillGemPurge",18,1,1,"Wave of Conviction","Vague de condamnation","Welle der Verurteilung","ウェーブオブコンヴィクション","신념의 파도","Onda de Convicção","Волна осуждения","Ola de condena","คลื่นพลังลงทัณฑ์ (Wave of Conviction)","信念浪湧","Metadata/Items/Gems/ActiveSkillGem",16,"",[],1,"",[],39,9555,-1584382450,[8659],"","F","F","","","F","FS","F","","","","",[],[],"","","","","","",[],[],"","",312
1975,"Metadata/Items/Gems/SupportGemEnergyShieldLeech",19,1,1,"Energy Leech Support","Soutien : Drain d'énergie","Unterstützung: Energieraub","エナジーリーチサポート","에너지 흡수 보조","Suporte: Dreno de Energia","Поддержка: Похищение энергетического щита","Asistencia de Absorción de energía","หินเสริม Energy Leech","能量偷取輔助","Metadata/Items/Gems/SupportSkillGem",31,"",[],1,"",[],39,9556,1237276220,[],"","M","M","","","M","NS","F","","","","",[],[],"","","","","","",[],[],"","",""
1976,"Metadata/Items/Gems/SkillGemSpellDamageAura",18,1,1,"Zealotry","Zèle","Glaubenseifer","ゼロトリー","열광","Fanatismo","Фанатизм","Exaltación","คลั่งศาสนา (Zealotry)","狂熱","Metadata/Items/Gems/ActiveSkillGem",24,"",[],1,"",[],39,9557,-95776020,[8659],"","M","M","","","M","MS","F","","","","",[],[],"","","","","","",[],[],"","",251
1977,"Metadata/Items/Gems/SupportGemHandcastRapidFire",19,1,1,"[UNUSED] Handcast Rapid Fire","DNT Handcast Rapid Fire","DNT Handcast Rapid Fire","[UNUSED] Handcast Rapid Fire","DNT Handcast Rapid Fire","DNT Handcast Rapid Fire","DNT Handcast Rapid Fire","[UNUSED] Handcast Rapid Fire","DNT Handcast Rapid Fire","[UNUSED] Handcast Rapid Fire","Metadata/Items/Gems/SupportSkillGem",38,"",[],1,"",[],39,10161,1940326074,[],"","M","N","","","M","","","","","","",[],[],"","","","","","",[],[],"","",""
1978,"Metadata/Items/Gems/SkillGemDamageOverTimeAura",18,1,1,"Malevolence","Malfaisance","Boshaftigkeit","マレヴォレンス","악의","Malevolência","Злорадство","Malevolencia","หิงสา (Malevolence)","惡意","Metadata/Items/Gems/ActiveSkillGem",24,"",[],1,"",[],39,9558,-2015963137,[8659],"","F","F","","","F","NS","F","","","","",[],[],"","","","","","",[],[],"","",252
1979,"Metadata/Items/Gems/SupportGemHandcastSpellBoost",19,1,1,"Intensify Support","Soutien : Intensification","Unterstützung: Intensivieren","インテンシファイサポート","격화 보조","Suporte: Intensificar","Поддержка: Интенсивность","Asistencia de Intensificación","หินเสริม Intensify","強化輔助","Metadata/Items/Gems/SupportSkillGem",31,"",[],1,"",[],39,9560,1796692633,[],"","F","F","","","M","FS","F","","","","",[],[],"","","","","","",[],[],"","",""
1980,"Metadata/Items/Gems/SupportGemHandcastAnticipation",19,1,1,"Unleash Support","Soutien : Déchaînement","Unterstützung: Entfesseln","アンリーシュサポート","촉발 보조","Suporte: Libertar","Поддержка: Высвобождение","Asistencia de Descarga","หินเสริม Unleash","釋放輔助","Metadata/Items/Gems/SupportSkillGem",38,"",[],1,"",[],39,9559,-1899161831,[],"","M","F","","","M","NS","F","","","","",[],[],"","","","","","",[],[],"","",""
1981,"Metadata/Items/Gems/SkillGemSteelskin",18,1,1,"Steelskin","Peau d'acier","Stahlhaut","スティールスキン","강철피부","Pele de Aço","Стальная кожа","Piel de acero","ผิวเหล็ก (Steelskin)","鋼筋鐵骨","Metadata/Items/Gems/ActiveSkillGem",5,"",[],1,"",[],39,9562,1715729970,[8659],"","F","F","","","F","FS","F","","","","",[],[],"","","","","","",[],[],"","",310
1982,"Metadata/Items/Gems/SkillGemBoneArmour",18,1,1,"[UNUSED] Bone Armour","Armure d'os","Knochenrüstung","[UNUSED] Bone Armour","[DNT] Bone Armour","[DNT] Bone Armour","[DNT] Bone Armour","[UNUSED] Bone Armour","[DNT] Bone Armour","[UNUSED] Bone Armour","Metadata/Items/Gems/ActiveSkillGem",5,"",[],1,"",[],39,9562,-433606716,[8659],"","F","F","","","N","","","","","","",[],[],"","","","","","",[],[],"","",""
1983,"Metadata/Items/Gems/SkillGemDash",18,1,1,"Dash","Élan","Spurt","ダッシュ","질주","Avanço","Рывок","Finta","พุ่งตัว (Dash)","幻步","Metadata/Items/Gems/ActiveSkillGem",5,"",[],1,"",[],39,9563,-594309083,[8659],"","M","M","","","M","MS","F","","","","",[],[],"","","","","","",[],[],"","",258
1984,"Metadata/Items/Gems/SkillGemQuickBlock",18,1,1,"[UNUSED] Quick Block","[DNT] Quick Block","[DNT] Quick Block","[UNUSED] Quick Block","[DNT] Quick Block","[DNT] Quick Block","[DNT] Quick Block","[UNUSED] Quick Block","[DNT] Quick Block","[UNUSED] Quick Block","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],39,9238,-308638898,[8659],"","M","N","","","N","","","","","","",[],[],"","","","","","",[],[],"","",""
1985,"Metadata/Items/Gems/SkillGemReplicate",18,1,1,"[UNUSED] Replicate","[DNT] Replicate","[DNT] Replicate","[UNUSED] Replicate","[DNT] Replicate","[DNT] Replicate","[DNT] Replicate","[UNUSED] Replicate","[DNT] Replicate","[UNUSED] Replicate","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],39,9564,-53227363,[8659],"","M","N","","","N","","","","","","",[],[],"","","","","","",[],[],"","",""
1986,"Metadata/Items/Gems/SkillGemBladestorm",18,1,1,"Bladestorm","Tempête de lames","Klingensturm","ブレードストーム","칼날 폭풍","Tempestade de Lâminas","Ураган лезвий","Tormenta de filos","พายุดาบ (Bladestorm)","旋天劍舞","Metadata/Items/Gems/ActiveSkillGem",28,"",[],1,"",[],39,9565,-586648841,[8659],"","F","M","","","F","MS","F","","","","",[],[],"","","","","","",[],[],"","",263
1987,"Metadata/Items/Gems/SkillGemBloodAndSand",18,1,1,"Blood and Sand","Sang et sable","Blut und Sand","ブラッドアンドサンド","피와 모래","Sangue e Areia","Кровь и песок","Sangre y arena","โลหิตและวาลุกา (Blood and Sand)","血腥沙戮","Metadata/Items/Gems/ActiveSkillGem",5,"",[],1,"",[167],39,9566,-1677507481,[8659],"","MP","N","","","M","FS","F","","","","",[],[],"","","","","","",[],[],"","",264
1988,"Metadata/Items/Gems/SkillGemBerserk",18,1,1,"Berserk","Berserk","Wüten","バーサーク","광폭","Berserk","Боевое безумие","Barbarie","ปลดปล่อยความบ้าคลั่ง (Berserk)","狂戰","Metadata/Items/Gems/ActiveSkillGem",34,"",[],1,"",[],39,9567,-1216178032,[8659],"","M","N","","","M","NS","M","","","","",[],[],"","","","","","",[],[],"","",""
1989,"Metadata/Items/Gems/SkillGemPerforate",18,1,1,"Perforate","Perforation","Perforieren","パーフォレイト","천공","Perfurar","Пронзающие шипы","Perforación","แทงทะลุ (Perforate)","裂地刺穿","Metadata/Items/Gems/ActiveSkillGem",5,"",[],1,"",[],39,9568,1269817526,[8659],"","F","N","","","M","MP","F","","","","",[],[],"","","","","","",[],[],"","",""
1990,"Metadata/Items/Gems/SkillGemChainHook",18,1,1,"Chain Hook","Grappin","Kettenhaken","チェーンフック","사슬 갈고리","Corrente com Gancho","Цепной крюк","Gancho de cadena","โซ่ล่ามตะขอ (Chain Hook)","奪魂勾索","Metadata/Items/Gems/ActiveSkillGem",12,"",[],1,"",[],39,9569,-1394101229,[8659],"","M","M","","","M","MS","M","","","","",[],[],"","","","","","",[],[],"","",327
1991,"Metadata/Items/Gems/SkillGemBlitz",18,1,1,"[UNUSED] Blitz","DNT Blitz","DNT Blitz","[UNUSED] Blitz","DNT Blitz","Agressão","DNT Blitz","[UNUSED] Blitz","DNT Blitz","[UNUSED] Blitz","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],39,9511,-2137310312,[8659],"","M","N","","","N","","","","","","",[],[],"","","","","","",[],[],"","",""
1992,"Metadata/Items/Gems/SupportGemCloseCombat",19,1,1,"Close Combat Support","Soutien : Combat rapproché","Unterstützung: Gefecht","近距離戦闘サポート","근접 전투 보조","Suporte: Combate Próximo","Поддержка: Бой вплотную","Asistencia de Combate cerrado","หินเสริม Close Combat","近身戰輔助","Metadata/Items/Gems/SupportSkillGem",18,"",[],1,"",[],39,9570,947240231,[],"","M","F","","","M","MS","F","","","","",[],[],"","","","","","",[],[],"","",""
1993,"Metadata/Items/Gems/SupportGemShockwave",19,1,1,"Shockwave Support","Soutien : Onde de choc","Unterstützung: Schockwelle","ショックウェーブサポート","충격파 보조","Suporte: Onda de Choque","Поддержка: Ударная волна","Asistencia de Onda sísmica","หินเสริม Shockwave","震波輔助","Metadata/Items/Gems/SupportSkillGem",18,"",[],1,"",[],39,9571,-4500047,[],"","F","F","","","M","FS","F","","","","",[],[],"","","","","","",[],[],"","",345
1994,"Metadata/Items/Gems/SkillGemFrostblink",18,1,1,"Frostblink","Transfert givrant","Frostspurt","フロストブリンク","서리점멸","Teleporte Gélido","Ледяной скачок","Destello de escarcha","ก้าวน้ำแข็งพริบตา (Frostblink)","霜漣之瞬","Metadata/Items/Gems/ActiveSkillGem",5,"",[],1,"",[],39,9572,-863002604,[8659],"","M","M","","","M","MS","M","","","","",[],[],"","","","","","",[],[],"","",257
1995,"Metadata/Items/Gems/SkillGemPrecision",18,1,1,"Precision","Justesse","Präzision","プレシジョン","정밀함","Precisão","Точность","Golpe preciso","เที่ยงตรง (Precision)","精準","Metadata/Items/Gems/ActiveSkillGem",10,"",[],1,"",[],39,9561,1929201728,[8659],"","F","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",259
1996,"Metadata/Items/Gems/SkillGemFleshAndStone",18,1,1,"Flesh and Stone","Chair et pierre","Fleisch und Stein","フレッシュアンドストーン","육체와 돌","Carne e Pedra","Камень и плоть","Carne y piedra","เลือดเนื้อและศิลา (Flesh and Stone)","血肉骸骨","Metadata/Items/Gems/ActiveSkillGem",16,"",[],1,"",[],39,9573,-1488651946,[8659],"","FP","N","","","F","MS","F","","","","",[],[],"","","","","","",[],[],"","",265
1997,"Metadata/Items/Gems/SupportGemImpale",19,1,1,"Impale Support","Soutien : Empalement","Unterstützung: Aufspießen","串刺しサポート","꿰뚫기 보조","Suporte: Empalar","Поддержка: Прокол","Asistencia de Empalar","หินเสริม Impale","穿刺輔助","Metadata/Items/Gems/SupportSkillGem",31,"",[],1,"",[],39,9574,578583560,[],"","M","F","","","M","MS","F","","","","",[],[],"","","","","","",[],[],"","",""
