"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","GrantedEffect","GrantedEffectHardmode","GrantedEffect2","GrantedEffect2Hardmode","SupportText","SupportText (French)","SupportText (German)","SupportText (Japanese)","SupportText (Korean)","SupportText (Portuguese)","SupportText (Russian)","SupportText (Spanish)","SupportText (Thai)","SupportText (Traditional Chinese)","SupportName","SupportName (French)","SupportName (German)","SupportName (Japanese)","SupportName (Korean)","SupportName (Portuguese)","SupportName (Russian)","SupportName (Spanish)","SupportName (Thai)","SupportName (Traditional Chinese)","GemTags","Consumed_ModsKey","ItemColor"
736,"SupportPulverise","","","","","","","","","","",10394,"","","","Supports melee attack skills.","Modifie les aptitudes d'attaque de mêlée.","Unterstützt Nahkampf-Angriffsfertigkeiten.","近接アタックスキルをサポートする。","근접 공격 스킬에 적용됩니다.","Suporta habilidades de ataque corpo a corpo.","Усиливает умения атак ближнего боя.","Asiste habilidades de ataque cuerpo a cuerpo.","ใช้เสริม สกิลโจมตีประชิด","輔助近戰攻擊技能。","","","","","","","","","","","[14,9,16,7,13]",14360,4
737,"SupportRage","","","","","","","","","","",10429,"","","","Supports melee attack skills. Minions cannot gain rage.","Modifie les aptitudes d'attaque de mêlée. Les Créatures ne peuvent pas gagner de Rage.","Unterstützt Nahkampf-Angriffsfertigkeiten. Kreaturen können keinen Rausch erhalten.","近接アタックスキルをサポートする。ミニオンは憤怒を得られない。","근접 공격 스킬에 적용됩니다. 소환수 스킬에는 적용되지 않습니다.","Suporta habilidades de ataque corpo a corpo. Lacaios não podem ganhar fúria.","Усиливает умения атак ближнего боя. Приспешники не могут накапливать заряды свирепости.","Asiste habilidades de ataque cuerpo a cuerpo. Los esbirros no pueden ganar furia.","ใช้เสริม สกิลโจมตีประชิด มิเนียนไม่สามารถรับสถานะ คลั่ง ได้","輔助近戰攻擊技能。召喚物無法獲得盛怒。","","","","","","","","","","","[9,16,7,13]",14361,4
738,"CobraLash","","","","","","","","","","",10471,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,3]","",4
739,"CobraLashAltX","[DNT] CobraLashAltX","[DNT] CobraLashAltX","[DNT] CobraLashAltX","[DNT] CobraLashAltX","[DNT] CobraLashAltX","[DNT] CobraLashAltX","[DNT] CobraLashAltX","[DNT] CobraLashAltX","[DNT] CobraLashAltX","[DNT] CobraLashAltX",10472,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,3]","",1
740,"CobraLashAltY","[DNT] CobraLashAltY","[DNT] CobraLashAltY","[DNT] CobraLashAltY","[DNT] CobraLashAltY","[DNT] CobraLashAltY","[DNT] CobraLashAltY","[DNT] CobraLashAltY","[DNT] CobraLashAltY","[DNT] CobraLashAltY","[DNT] CobraLashAltY",10473,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,3]","",2
741,"SummonCarrionGolem","","","","","","","","","","",10475,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,33,8,4,28]","",4
742,"SummonCarrionGolemAltX","Summon Carrion Golem of Hordes","Invocation de Golem de charogne des Hordes","Aasgolem der Horden beschwören","大群のキャリオンゴーレム召喚","군단의 부패 골렘 소환","Convocar Golem da Carniça das Hordas","Призыв трупного голема орды","Invocar gólem carroñero de hordas","อัญเชิญโกเลมซากศพแห่งโขยง (Summon Carrion Golem of Hordes)","召喚食腐魔像．部落",10476,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,33,8,4,28]","",1
743,"SummonCarrionGolemAltY","Summon Carrion Golem of Scavenging","Invocation de Golem de charogne du Charognard","Aasgolem des Plünderns beschwören","死体漁りのキャリオンゴーレム召喚","청소부의 부패 골렘 소환","Convocar Golem da Carniça do Saque","Призыв трупного голема-падальщика","Invocar gólem carroñero de carroña","อัญเชิญโกเลมซากศพแห่งการเก็บซาก (Summon Carrion Golem of Scavenging)","召喚食腐魔像．清洗",10477,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,33,8,4,28]","",2
744,"WitheringStep","","","","","","","","","","",10483,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,35,14,3,22,37,4,15]","",4
745,"PlagueBearer","","","","","","","","","","",10484,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,4,3,14]","",4
746,"SupportFeedingFrenzy","","","","","","","","","","",10486,"","","","Supports skills which create Minions.","\r\nModifie les aptitudes qui génèrent des créatures.","Unterstützt Fertigkeiten, die Kreaturen erzeugen.","ミニオンを作り出すスキルをサポートする。","소환수를 생성하는 스킬에 적용됩니다.","Suporta qualquer habilidade que crie Lacaios.","Усиливает умения, создающие приспешников.","Asiste habilidades que crean esbirros.","ใช้เสริมสกิลที่สร้าง มิเนียน","輔助製造召喚物的技能。","","","","","","","","","","","[11,16,8,15]",14364,4
747,"SupportPredator","","","","","","","","","","",10487,"",10488,"","Supports skills which create Minions.","\r\nModifie les aptitudes qui génèrent des créatures.","Unterstützt Fertigkeiten, die Kreaturen erzeugen.","ミニオンを作り出すスキルをサポートする。","소환수를 생성하는 스킬에 적용됩니다.","Suporta qualquer habilidade que crie Lacaios.","Усиливает умения, создающие приспешников.","Asiste habilidades que crean esbirros.","ใช้เสริมสกิลที่สร้าง มิเนียน","輔助製造召喚物的技能。","","","","","","","","","","","[11,16,8,25,4,15]",14366,4
748,"SerpentStrike","","","","","","","","","","",10489,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,7,36,22]","",4
749,"SupportNightblade","","","","","","","","","","",10491,"","","","Supports attack skills. Cannot support skills which create minions.","Modifie les aptitudes d'attaque. Ne peut modifier les aptitudes qui créent des Créatures.","Unterstützt Angriffsfertigkeiten. Kann keine Fertigkeiten unterstützen, die Kreaturen erzeugen.","アタックスキルをサポートする。ミニオンを作り出すスキルはサポートされない。","공격 스킬에 적용됩니다. 소환수 생성 스킬에는 적용되지 않습니다.","Suporta habilidades de ataque. Não pode suportar habilidades que criam lacaios.","Усиливает умения атак. Не усиливает умения, создающие приспешников.","Asiste habilidades de ataque. No puede asistir habilidades que creen esbirros.","ใช้เสริม สกิลโจมตี ไม่สามารถเสริมสกิลที่สร้างมิเนียนออกมาได้","輔助攻擊技能。不能輔助製造召喚物的技能。","","","","","","","","","","","[13,47,10,16]",14367,4
750,"SupportMeatShield","","","","","","","","","","",10492,"","","","Supports skills which create Minions.","\r\nModifie les aptitudes qui génèrent des créatures.","Unterstützt Fertigkeiten, die Kreaturen erzeugen.","ミニオンを作り出すスキルをサポートする。","소환수를 생성하는 스킬에 적용됩니다.","Suporta qualquer habilidade que crie Lacaios.","Усиливает умения, создающие приспешников.","Asiste habilidades que crean esbirros.","ใช้เสริมสกิลที่สร้าง มิเนียน","輔助製造召喚物的技能。","","","","","","","","","","","[11,16,8]",14365,4
751,"CoilingAssault","","","","","","","","","","",10493,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,22,5]","",4
752,"StormblastMine","","","","","","","","","","",10497,"","","","","","","","","","","","","","","","","","","","","","","","[21,11,25,4,14,2,12,38]","",4
753,"StormblastMineAltX","[DNT] StormblastMineAltX","[DNT] StormblastMineAltX","[DNT] StormblastMineAltX","[DNT] StormblastMineAltX","[DNT] StormblastMineAltX","[DNT] StormblastMineAltX","[DNT] StormblastMineAltX","[DNT] StormblastMineAltX","[DNT] StormblastMineAltX","[DNT] StormblastMineAltX",10498,"","","","","","","","","","","","","","","","","","","","","","","","[21,11,25,4,14,2,12,38]","",1
754,"StormblastMineAltY","[DNT] StormblastMineAltY","[DNT] StormblastMineAltY","[DNT] StormblastMineAltY","[DNT] StormblastMineAltY","[DNT] StormblastMineAltY","[DNT] StormblastMineAltY","[DNT] StormblastMineAltY","[DNT] StormblastMineAltY","[DNT] StormblastMineAltY","[DNT] StormblastMineAltY",10499,"","","","","","","","","","","","","","","","","","","","","","","","[21,11,25,4,14,2,12,38]","",2
755,"SummonSkitterbots","","","","","","","","","","",10504,"","","","","","","","","","","","","","","","","","","","","","","","[20,21,11,25,4,8,1,2,14,12]","",4
756,"SupportHighImpactMine","","","","","","","","","","",10521,"","","","Supports spells, or attacks that use bows or wands. Instead of using that skill, you will throw a mine that will use the skill for you when you detonate it. Mines cannot use channelling skills.","Modifie les sorts et les attaques qui s'effectuent avec des arcs ou des baguettes. Au lieu d'utiliser cette aptitude, vous jetez une mine qui utilisera l'aptitude à votre place lorsque vous l'activerez. Les mines ne peuvent pas utiliser les aptitudes canalisées.","Unterstützt Zauber oder Angriffe, die mit Bögen oder Zauberstäben ausgeführt werden. Anstatt die Fertigkeit direkt zu nutzen, wird eine Mine geworfen, die diese Fertigkeit benutzt, sobald sie gezündet wird. Minen können keine Kanalisierungsfertigkeiten nutzen.","スペルか、弓またはワンドによるアタックをサポートする。スキルを使用する代わりに、爆破するとそのスキルを使用するマインを投げる。マインはチャネリングスキルを使用することはできない。","주문 스킬 또는 활이나 마법봉을 사용하는 공격 스킬에 적용됩니다. 스킬 사용 시 지뢰가 투척되며, 플레이어가 지뢰를 기폭하면 지뢰에서 스킬이 시전됩니다. 집중 유지 스킬에는 적용되지 않습니다.","Suporta magias ou ataques que usam arcos ou varinhas. Ao invés de usar tal habilidade, você arremessará uma mina que utilizará a habilidade por você quando for detonada. Minas não podem usar habilidades canalizadas.","Усиливает чары или атаки, использующие луки или жезлы. Вместо использования этого умения вы будете бросать мину, которая будет использовать это умение, когда вы её взрываете. Мины не могут использовать поддерживаемые умения.","Asiste hechizos o ataques que usen arcos o varitas. En lugar de usar esa habilidad, lanzarás una mina que usará la habilidad por ti cuando la detones. Las minas no pueden usar habilidades de canalización.","ใช้เสริม สกิลเวท หรือสกิลโจมตี ที่ใช้ ธนูหรือไม้กายสิทธิ์ เปลี่ยนจากการใช้สกิลแบบปกติ เป็นการโยนทุ่นระเบิดที่ใช้สกิลนั้นให้กับคุณเมื่อคุณจุดชนวน ทุ่นระเบิดไม่สามารถใช้ สกิลแชนเนล ได้","輔助法術或使用弓和法杖的攻擊。不再使用技能而是投擲地雷，當你引爆時施放技能。地雷不能使用引導時施放技能。","","","","","","","","","","","[21,11,16,14,12]",14256,4
757,"SupportInfernalLegion","","","","","","","","","","",10522,"","","","Supports skills which create Minions.","\r\nModifie les aptitudes qui génèrent des créatures.","Unterstützt Fertigkeiten, die Kreaturen erzeugen.","ミニオンを作り出すスキルをサポートする。","소환수를 생성하는 스킬에 적용됩니다.","Suporta qualquer habilidade que crie Lacaios.","Усиливает умения, создающие приспешников.","Asiste habilidades que crean esbirros.","ใช้เสริมสกิลที่สร้าง มิเนียน","輔助製造召喚物的技能。","","","","","","","","","","","[0,14,11,16,8]",14368,4
758,"PestilentStrike","","","","","","","","","","",10525,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,7,36,14,15,3]","",4
759,"PestilentStrikeAltX","[DNT] PestilentStrikeAltX","[DNT] PestilentStrikeAltX","[DNT] PestilentStrikeAltX","[DNT] PestilentStrikeAltX","[DNT] PestilentStrikeAltX","[DNT] PestilentStrikeAltX","[DNT] PestilentStrikeAltX","[DNT] PestilentStrikeAltX","[DNT] PestilentStrikeAltX","[DNT] PestilentStrikeAltX",10526,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,7,36,14,15,3]","",1
760,"PestilentStrikeAltY","[DNT] PestilentStrikeAltY","[DNT] PestilentStrikeAltY","[DNT] PestilentStrikeAltY","[DNT] PestilentStrikeAltY","[DNT] PestilentStrikeAltY","[DNT] PestilentStrikeAltY","[DNT] PestilentStrikeAltY","[DNT] PestilentStrikeAltY","[DNT] PestilentStrikeAltY","[DNT] PestilentStrikeAltY",10527,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,7,36,14,15,3]","",2
761,"VenomGyre","","","","","","","","","","",10529,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,3,15]","",4
762,"VenomGyreAltX","[DNT] VenomGyreAltX","[DNT] VenomGyreAltX","[DNT] VenomGyreAltX","[DNT] VenomGyreAltX","[DNT] VenomGyreAltX","[DNT] VenomGyreAltX","[DNT] VenomGyreAltX","[DNT] VenomGyreAltX","[DNT] VenomGyreAltX","[DNT] VenomGyreAltX",10530,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,3,15]","",1
763,"VenomGyreAltY","[DNT] VenomGyreAltY","[DNT] VenomGyreAltY","[DNT] VenomGyreAltY","[DNT] VenomGyreAltY","[DNT] VenomGyreAltY","[DNT] VenomGyreAltY","[DNT] VenomGyreAltY","[DNT] VenomGyreAltY","[DNT] VenomGyreAltY","[DNT] VenomGyreAltY",10531,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,3,15]","",2
764,"SupportSwiftAssembly","","","","","","","","","","",10535,"","","","Supports skills which throw Traps or Mines.","Modifie les aptitudes permettant de jeter des mines ou des pièges.","Unterstützt Fallen- oder Minenfertigkeiten.","トラップまたはマインを投げるスキルをサポートする。","덫 또는 지뢰를 투척하는 스킬에 적용됩니다.","Suporta habilidades que arremessam Armadilhas ou Minas.","Усиливает умения, бросающие ловушки или мины.","Asiste habilidades que lanzan trampas o minas.","ใช้เสริมสกิลที่โยน กับดักหรือทุ่นระเบิด","輔助投擲陷阱和地雷技能。","","","","","","","","","","","[10,16,20,21]",14369,4
765,"ShrapnelBallista","","","","","","","","","","",10545,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,19,6]","",4
766,"ShrapnelBallistaAltX","Shrapnel Ballista of Steel","Baliste à shrapnel de l'Acier","Schrapnell-Balliste des Stahls","鋼のシュラプネルバリスタ","강철의 파편 쇠뇌","Balista de Cerco do Aço","Стальная осколочная баллиста","Balista de metralla de acero","ป้อมเครื่องยิงแตกอากาศแห่งเหล็กกล้า (Shrapnel Ballista of Steel)","彈片砲塔．鋼鐵",10546,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,19,33,6]","",1
767,"ShrapnelBallistaAltY","[DNT] ShrapnelBallistaAltY","[DNT] ShrapnelBallistaAltY","[DNT] ShrapnelBallistaAltY","[DNT] ShrapnelBallistaAltY","[DNT] ShrapnelBallistaAltY","[DNT] ShrapnelBallistaAltY","[DNT] ShrapnelBallistaAltY","[DNT] ShrapnelBallistaAltY","[DNT] ShrapnelBallistaAltY","[DNT] ShrapnelBallistaAltY",10547,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,19,6]","",2
768,"SupportArrowNova","","","","","","","","","","",10548,"","","","Supports bow attack skills that fire arrows forwards as projectiles. These skills will instead fire a payload arrow into the air to land at a targeted location. The supported skills' arrows will then fire out in a circle from where it lands. Cannot support skills that already fire arrows into the air, channelled skills, or skills that create Minions.","Modifie les Aptitudes d'Attaque à l'arc qui tirent des flèches face à vous, sous forme de Projectiles. Les Aptitudes modifiées tirent désormais une seule Flèche à déflagration dans les airs qui atterrit à l'emplacement ciblé. À l'impact, tire dans toutes les directions toutes les flèches censées être normalement tirées par l'Aptitude modifiée. Ne peut modifier les Aptitudes qui tirent des flèches dans les airs, les Aptitudes canalisées ou les Aptitudes de Créatures.","Unterstützt Bogen-Angriffsfertigkeiten, die Pfeile als Projektile abfeuern. Diese Fertigkeiten feuern stattdessen eine Sprengladung in die Luft, die an einer Zielposition landet. Die Pfeile der unterstützten Fertigkeit werden dann von dieser Position aus in einem Kreis abgefeuert. Kann keine Fertigkeiten unterstützen, die Kreaturen erzeugen, kanalisiert werden oder die bereits Pfeile in die Luft feuern.","投射物として前方に矢を放つ弓アタックスキルをサポートする。サポートされたスキルは代わりに、対象地点に着弾する矢の弾頭を空中に放つ。サポートされたスキルの矢は、着弾地点から放射状に放たれる。空中に矢を放つスキル、チャネリングスキル、ミニオンを生成するスキルはサポートできない。","전방으로 화살 투사체를 발사하는 활 공격 스킬에 적용됩니다. 기존 투사체 대신 탄두 화살을 허공으로 발사한 뒤 대상 지점에 떨어뜨리는 스킬입니다. 지면에 떨어지면 해당 지점에서 원형으로 보조 대상 스킬의 화살이 발사됩니다. 허공으로 화살을 발사해버리는 스킬이나 집중 유지 스킬, 소환수 생성 스킬에는 적용되지 않습니다.","Suporta habilidades de ataque com arco que disparam flechas adiante como projéteis. Estas habilidades vão disparar, ao invés, um carregamento de flechas no ar para caírem em um local alvo. As flechas das habilidades suportadas serão então disparadas em um círculo a partir de onde caírem. Não pode suportar habilidades que já disparam flechas no ar, habilidades canalizadas ou habilidades que criam Lacaios.","Усиливает умения атак лука, которые в качестве снарядов выпускают вперёд стрелы. Эти умения теперь будут выпускать заряженную стрелу в воздух, которая приземлится в указанной точке. Затем стрелы усиленных умений будут выпущены из этой точки кольцом. Не может усиливать умения, которые уже выпускают стрелы в воздух, поддерживаемые умения или умения, создающие приспешников.","Asiste habilidades de ataque de arco que disparen flechas hacia delante como proyectiles. En lugar de eso, estas habilidades dispararán una flecha cargada al aire que aterrizará en una ubicación objetivo. Y desde esta ubicación objetivo, las flechas de la habilidad asistida saldrán disparadas en forma de círculo. No puede asistir habilidades que ya disparen flechas al aire, habilidades de canalización ni habilidades que creen esbirros.","ใช้เสริม สกิลโจมตีธนู ที่ยิงศรเป็นโพรเจกไทล์ออกไปข้างหน้า ทำให้ยิงศรบรรทุกขึ้นไปบนฟ้าแทน เมื่อตกถึงตำแหน่งเป้าหมายจะยิงศรจาก สกิลที่เสริม ออกไปเป็นวงรอบทิศทาง ไม่สามารถเสริมสกิลที่ยิงธนูขึ้นฟ้า, สกิลแชนเนล หรือสกิลที่สร้าง มิเนียน ได้","輔助往前發射箭矢投射物的弓攻擊技能。此技能將會改為發射裝載彈藥的箭矢至空中並落地於指定位置。被輔助技能的投射物將會從箭矢落地點以新星形式發射。不能輔助朝空中發射箭矢的技能或製造召換物的技能。","","","","","","","","","","","[6,13,10,16,5]",14331,4
769,"SupportBarrage","","","","","","","","","","",10550,"","","","Supports projectile attack skills that use bows or wands. Cannot support triggered skills, channelled skills, or skills that create Minions.","Modifie les Attaques à Projectiles qui utilisent des arcs ou des baguettes. Ne peut modifier les Aptitudes déclenchées, canalisées ou celles qui génèrent des Créatures.","Unterstützt Projektil-Angriffsfertigkeiten, die Bögen oder Zauberstäbe verwenden. Kann keine Fertigkeiten unterstützen, die kanalisiert oder ausgelöst werden oder die Kreaturen erzeugen.","弓またはワンドによる投射物アタックスキルをサポートする。トリガーされるスキル、チャネリングスキル、ミニオンを生成するスキルはサポートできない。","활이나 마법봉을 사용하는 투사체 공격 스킬에 적용됩니다. 발동형 스킬이나 집중 유지 스킬, 소환수 생성 스킬에는 적용되지 않습니다.","Suporta habilidades de ataque com projéteis que usam arcos ou varinhas. Não pode suportar habilidades ativadas, canalizadas ou habilidades que criam Lacaios.","Усиливает атакующие умения снарядов, которые используют луки или жезлы. Не усиливает срабатывающие умения, поддерживаемые умения или умения, создающие приспешников.","Asiste habilidades de ataque de proyectiles que usen arcos o varitas. No puede asistir habilidades de activación, de canalización ni habilidades que creen esbirros.","ใช้เสริม สกิลโจมตีโพรเจกไทล์ ที่ใช้ ธนูหรือไม้กายสิทธิ์ ไม่สามารถเสริมสกิลที่ถูกทริกเกอร์, สกิลแชนเนล หรือสกิลที่สร้าง มิเนียน ได้","輔助使用弓或法杖的投射物攻擊技能。不能輔助觸發型技能或製造召換物的技能。","","","","","","","","","","","[6,13,10,16,5]",14330,4
770,"EnsnaringArrow","","","","","","","","","","",10552,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,14,6]","",4
771,"EnsnaringArrowAltX","[DNT] EnsnaringArrowAltX","[DNT] EnsnaringArrowAltX","[DNT] EnsnaringArrowAltX","[DNT] EnsnaringArrowAltX","[DNT] EnsnaringArrowAltX","[DNT] EnsnaringArrowAltX","[DNT] EnsnaringArrowAltX","[DNT] EnsnaringArrowAltX","[DNT] EnsnaringArrowAltX","[DNT] EnsnaringArrowAltX",10553,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,14,6]","",1
772,"EnsnaringArrowAltY","[DNT] EnsnaringArrowAltY","[DNT] EnsnaringArrowAltY","[DNT] EnsnaringArrowAltY","[DNT] EnsnaringArrowAltY","[DNT] EnsnaringArrowAltY","[DNT] EnsnaringArrowAltY","[DNT] EnsnaringArrowAltY","[DNT] EnsnaringArrowAltY","[DNT] EnsnaringArrowAltY","[DNT] EnsnaringArrowAltY",10554,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,14,6]","",2
773,"ArtilleryBallista","","","","","","","","","","",10562,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,19,14,0,5,6]","",4
774,"ArtilleryBallistaAltX","Artillery Ballista of Cross Strafe","Baliste d'artillerie du Bombardement croisé","Artillerie-Balliste der Querschläger","交差掃射のアーティラリーバリスタ","십자 포화의 포대 쇠뇌","Balista de Artilharia do Fogo Cruzado","Артиллерийская баллиста перекрестного огня","Balista de artillería de bombardeo cruzado","ป้อมเครื่องยิงปืนใหญ่แห่งกากบาทไขว้ (Artillery Ballista of Cross Strafe)","交叉掃射之火砲砲塔",10563,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,19,14,0,5,6]","",1
775,"ArtilleryBallistaAltY","Artillery Ballista of Focus Fire","Baliste d'artillerie du Tir concentré","Artillerie-Balliste des konzentrierten Feuers","集中砲火のアーティラリーバリスタ","집중 사격의 포대 쇠뇌","Balista de Artilharia do Fogo Concentrado","Артиллерийская баллиста прицельного огня","Balista de artillería de fuego concentrado","ป้อมเครื่องยิงปืนใหญ่แห่งการรวมเป้าหมาย (Artillery Ballista of Focus Fire)","集火之火砲砲塔",10564,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,19,14,0,5,6]","",2
776,"SupportGreaterVolley","","","","","","","","","","",9721,"","","","Supports skills that fire projectiles from the user. Does not affect projectiles fired from other locations as secondary effects. Does not support skills that fire projectiles in a spiral.","Modifie les Aptitudes qui tirent des Projectiles à partir de leur utilisateur. N'affecte pas les Projectiles tirés par des effets secondaires à partir d'autres emplacements. Ne peut modifier les aptitudes qui tirent des projectiles en spirale.","Unterstützt Fertigkeiten, die Projektile vom Wirkenden aus abfeuern. Wirkt sich nicht auf Projektile aus, die aus anderen Quellen abgefeuert werden. Unterstützt keine Fertigkeiten, die Projektile in einer Spirale abfeuern.","使用者から投射物を放つスキルをサポートする。副次的効果により他の場所から放たれる投射物には影響しない。投射物を螺旋状に放つスキルはサポートできない。","플레이어가 발사하는 투사체 스킬에 적용됩니다. 부가적인 효과로 다른 곳에서 발사되는 투사체에는 적용되지 않습니다. 투사체를 소용돌이 모양으로 발사하는 스킬에는 적용되지 않습니다.","Suporta habilidades que disparam projéteis do usuário. Não afeta os projéteis disparados de outros locais como efeitos secundários. Não suporta habilidades que disparam projéteis em espiral.","Усиливает умение, выпускающее снаряды в направлении от использующего умение. Не действует на снаряды, выпускаемые из других источников как второстепенные эффекты. Не может усиливать умения, выпускающие снаряды по спирали.","Asiste habilidades que disparen proyectiles desde el personaje. No afecta a los proyectiles disparados desde otras ubicaciones como efectos secundarios. No asiste habilidades que disparen proyectiles en espiral.","ใช้เสริมสกิลที่ยิงโพรเจกไทล์ออกจากตัวผู้ใช้ ไม่ส่งผลต่อโพรเจกไทล์ที่ยิงออกจากตำแหน่งอื่นอันมาจากผลรองของสกิล ไม่สามารถเสริมสกิลที่ยิงออกมาเป็นเกลียวได้","輔助從玩家發射投射物的技能。不會影響從其他位置發射的投射物，作為次要影響。不輔助以螺旋形式發射的投射物。","","","","","","","","","","","[10,16,5]",14347,4
777,"SupportAwakenedAddedFireDamage","","","","","","","","","","",10566,"","","","Supports any skill that hits enemies.","Modifie les aptitudes qui touchent les ennemis.","Unterstützt Fertigkeiten, die Treffer bei Gegnern verursachen.","敵にヒットを与えるスキルをサポートする。","적을 명중하는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade que acerte inimigos.","Усиливает любое умение, наносящее удары по врагам.","Asiste cualquier habilidad que golpee enemigos.","ใช้เสริมสกิลที่ปะทะศัตรู","輔助任何可擊中敵人的技能。","","","","","","","","","","","[0,33,51,9,16]",14371,4
778,"SupportAwakenedAncestralCall","","","","","","","","","","",10567,"","","","Supports melee strike skills, causing them to also strike at extra targets simultaneously. The extra targets must be a minimum distance from the user. If supporting a minion attack skill, the minion's skills will not also strike extra targets. Cannot support Vaal skills or triggered skills.","Modifie les aptitudes de frappe de mêlée, leur permettant d'attaquer simultanément des cibles supplémentaires tant qu'elles ne sont pas trop éloignées de l'utilisateur. Les aptitudes d'attaque de créatures modifiées par cette gemme ne permettront pas aux créatures d'attaquer des cibles supplémentaires. Cette gemme ne peut pas modifier les aptitudes vaal ni celles à déclenchement.","Unterstützt Nahkampf-Schlagfertigkeiten und bewirkt, dass der Schlag gleichzeitig auf zusätzliche Ziele erfolgt. Die zusätzlichen Ziele müssen einen Mindestabstand zum Spieler aufweisen. Bei Unterstützung einer Kreaturen-Angriffsfertigkeit schlagen die Kreaturen nicht gleichzeitig auf mehrere Ziele ein. Kann keine Vaal- oder auslösbare Fertigkeiten unterstützen.","近接ストライクスキルをサポートし、追加の対象を同時にストライクする。使用者から最短距離の敵が追加の対象となる。ミニオンアタックスキルをサポートした場合、ミニオンのスキルは追加の対象をストライクしない。ヴァールスキルまたはトリガーされるスキルはサポートできない。","근접 타격 스킬에 적용됩니다. 더 많은 적을 동시에 공격하게 하며, 이때 적 대상은 시전자와 근접한 거리에 있어야 합니다. 소환수 공격 스킬의 경우, 소환수가 사용하는 스킬에는 적용할 수 없으며 바알 스킬 또는 발동형 스킬에도 적용되지 않습니다.","Suporta habilidades de golpe corpo a corpo, fazendo com que elas também acertem alvos extras simultaneamente. Os alvos extras precisam estar em uma distância mínima do usuário. Se suportar uma habilidade de ataque de lacaio, as habilidades do lacaio também acertarão alvos extras. Não pode suportar habilidades Vaal ou ativadas.","Усиливает умения ударов ближнего боя так, что они атакуют дополнительные цели. Дополнительные цели должны находиться на минимальном расстоянии от использующего умение. При усилении умения атаки приспешников, умения приспешников не будут атаковать дополнительные цели. Нельзя усилить умения ваал и срабатывающие умения.","Asiste habilidades de golpe cuerpo a cuerpo para que también ataquen a objetivos adicionales simultáneamente. Los objetivos adicionales deben estar a una distancia mínima del personaje. Si asiste una habilidad de ataque de un esbirro, las habilidades del esbirro no golpearán también a objetivos adicionales. No puede asistir habilidades vaal ni habilidades de activación.","ใช้เสริม สกิลฟาดโจมตี ทำให้ฟาดหลายเป้าหมายพร้อมกัน เป้าหมายอื่นที่เพิ่มมาจะต้องอยู่ห่างจากผู้ใช้งานไม่ต่ำกว่าระยะขั้นต่ำที่กำหนด หากเสริม สกิลโจมตีมิเนียน สกิลของมิเนียนจะไม่ฟาดหลายเป้าหมาย ไม่สามารถเสริม สกิลวาล์หรือสกิลที่ถูกทริกเกอร์ ได้","輔助近戰打擊技能，使近戰攻擊同時多的目標。額外的目標必須要在使用者的最小範圍內。如果輔助召喚物攻擊技能，召喚物的攻擊技能不會攻擊多數目標。不能輔助瓦爾或觸發技能。","","","","","","","","","","","[51,9,16,7,13,36]",14372,4
779,"SupportAwakenedBrutality","","","","","","","","","","",10568,"","","","Supports any skill that deals damage.","Modifie toutes les aptitudes qui infligent des dégâts.","Unterstützt Fertigkeiten, die Schaden verursachen.","ダメージを与えるスキルをサポートする。","피해를 주는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade que cause dano.","Усиливает любое умение, наносящее удары по врагам.","Asiste cualquier habilidad que inflija daño.","ใช้เสริมสกิลที่สร้างความเสียหายได้","輔助任何可造成傷害的技能。","","","","","","","","","","","[33,51,9,16]",14373,4
