"rownum","Id","MiscAnimatedKey1","SpawnWeight","LevelMin","LevelMax","BuffDefinitionsKey","BuffStatValues","SpawnPatterns","ModsKey","[i32]_100","[i32]_116","MiscAnimatedKey2","EnvironmentsKey","i32_164","Achievements","Type","Type (French)","Type (German)","Type (Japanese)","Type (Korean)","Type (Portuguese)","Type (Russian)","Type (Spanish)","Type (Thai)","Type (Traditional Chinese)","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","DaemonSpawningDataKey","bool_216","i32_217"
40,"GenericFortify4",5088,100,78,100,1691,[-35],[0],[36708],[1],"[100,100,100,100]",5099,1242,6,[7576],"Fortressed","Fortifié","Verstärkt","要塞の","요새화된","Fortificado","<if:MS>{Укреплённый}<elif:MP>{Укреплённые}<else>{Укреплённый}","Fortificado","Fortressed","堡壘","Monsters take reduced Damage \nFortress Totems further reduce the damage Monsters take","Les Monstres ont une Réduction de Dégâts subis \nInvoque des Totems forteresse qui réduisent encore plus les Dégâts subis par les Monstres","Monster erleiden verringerten Schaden\nFestungstotems reduzieren den Schaden, den Monster erleiden, zusätzlich","モンスターが受けるダメージが減少する \n要塞のトーテムがモンスターが受けるダメージを更に減少させる","몬스터가 받는 피해 감소\n요새 토템이 몬스터가 받는 피해를 추가로 감소시킴","Monstros sofrem Dano reduzido \nTotens da Fortaleza reduzem o dano sofrido por Monstros","Монстры получают сниженный урон \nКрепостные тотемы ещё сильнее снижают получаемый монстрами урон","Los monstruos reciben daño reducido \nLos tótems fortificados reducen aún más el daño que reciben los monstruos","มอนสเตอร์ ได้รับความเสียหาย ลดลง\nโทเทมปราการ ลดความเสียหายที่มอนสเตอร์ได้รับลงไปอีก","怪物減少承受傷害\n堡壘圖騰進一步減少怪物承受傷害",22,"",0
41,"GenericMassive1",5095,50,33,45,1692,"[20,60,30]",[2],[36708],[1],"[100,100,100,100]",5101,1242,5,[7577],"Emboldening","Amplifiant","Ermutigend","巨大化の","용기를 주는","Encorajador","<if:MS>{Ободряющий}<elif:MP>{Ободряющие}<else>{Ободряющий}","Alentador","Emboldening","壯膽","Monsters are Massive \nAltar causes Monsters to grow even larger","Les Monstres sont Gigantesques \nPermet aux Monstres de devenir encore plus grands","Monster sind gigantisch\nAltar lässt Monster noch größer werden","モンスターは巨大化する \n祭壇がモンスターを更に大きくする","몬스터 거대화\n제단이 몬스터를 거욱 거대하게 함","Monstros são Gigantescos \nAltar faz com que Monstros cresçam ainda mais","Монстры массивны \nАлтарь делает монстров ещё крупнее","Los monstruos son gigantes \nEl altar hace que los monstruos crezcan aún más","มอนสเตอร์ มีขนาดมหึมา\nแท่นบูชา ทำให้มอนสเตอร์มีขนาดใหญ่ขึ้นไปอีก","怪物很巨大\n祭壇使怪物成長更大",20,"",0
42,"GenericMassive2",5095,50,46,67,1692,"[20,70,35]",[2],[36708],[1],"[100,100,100,100]",5101,1242,5,[7577],"Emboldening","Amplifiant","Ermutigend","巨大化の","용기를 주는","Encorajador","<if:MS>{Ободряющий}<elif:MP>{Ободряющие}<else>{Ободряющий}","Alentador","Emboldening","壯膽","Monsters are Massive \nAltar causes Monsters to grow even larger","Les Monstres sont Gigantesques \nPermet aux Monstres de devenir encore plus grands","Monster sind gigantisch\nAltar lässt Monster noch größer werden","モンスターは巨大化する \n祭壇がモンスターを更に大きくする","몬스터 거대화\n제단이 몬스터를 거욱 거대하게 함","Monstros são Gigantescos \nAltar faz com que Monstros cresçam ainda mais","Монстры массивны \nАлтарь делает монстров ещё крупнее","Los monstruos son gigantes \nEl altar hace que los monstruos crezcan aún más","มอนสเตอร์ มีขนาดมหึมา\nแท่นบูชา ทำให้มอนสเตอร์มีขนาดใหญ่ขึ้นไปอีก","怪物很巨大\n祭壇使怪物成長更大",20,"",0
43,"GenericMassive3",5095,50,68,77,1692,"[20,80,40]",[2],[36708],[1],"[100,100,100,100]",5101,1242,6,[7577],"Emboldening","Amplifiant","Ermutigend","巨大化の","용기를 주는","Encorajador","<if:MS>{Ободряющий}<elif:MP>{Ободряющие}<else>{Ободряющий}","Alentador","Emboldening","壯膽","Monsters are Massive \nAltar causes Monsters to grow even larger","Les Monstres sont Gigantesques \nPermet aux Monstres de devenir encore plus grands","Monster sind gigantisch\nAltar lässt Monster noch größer werden","モンスターは巨大化する \n祭壇がモンスターを更に大きくする","몬스터 거대화\n제단이 몬스터를 거욱 거대하게 함","Monstros são Gigantescos \nAltar faz com que Monstros cresçam ainda mais","Монстры массивны \nАлтарь делает монстров ещё крупнее","Los monstruos son gigantes \nEl altar hace que los monstruos crezcan aún más","มอนสเตอร์ มีขนาดมหึมา\nแท่นบูชา ทำให้มอนสเตอร์มีขนาดใหญ่ขึ้นไปอีก","怪物很巨大\n祭壇使怪物成長更大",20,"",0
44,"GenericMassive4",5095,50,78,100,1692,"[20,90,50]",[2],[36708],[1],"[100,100,100,100]",5101,1242,6,[7577],"Emboldening","Amplifiant","Ermutigend","巨大化の","용기를 주는","Encorajador","<if:MS>{Ободряющий}<elif:MP>{Ободряющие}<else>{Ободряющий}","Alentador","Emboldening","壯膽","Monsters are Massive \nAltar causes Monsters to grow even larger","Les Monstres sont Gigantesques \nPermet aux Monstres de devenir encore plus grands","Monster sind gigantisch\nAltar lässt Monster noch größer werden","モンスターは巨大化する \n祭壇がモンスターを更に大きくする","몬스터 거대화\n제단이 몬스터를 거욱 거대하게 함","Monstros são Gigantescos \nAltar faz com que Monstros cresçam ainda mais","Монстры массивны \nАлтарь делает монстров ещё крупнее","Los monstruos son gigantes \nEl altar hace que los monstruos crezcan aún más","มอนสเตอร์ มีขนาดมหึมา\nแท่นบูชา ทำให้มอนสเตอร์มีขนาดใหญ่ขึ้นไปอีก","怪物很巨大\n祭壇使怪物成長更大",20,"",0
45,"GenericSpeed1",5095,50,16,45,1693,"[10,10,10]",[2],[36708],[1],"[100,100,100,100]",5102,1242,5,[7578],"Invigorating","Tonifiant","Belebend","活性化の","활기를 주는","Revigorante","<if:MS>{Оживляющий}<elif:MP>{Оживляющие}<else>{Оживляющий}","Estimulante","Invigorating","振奮","Monsters are Fast \nGales further accelerate you and Monsters","Les Monstres sont Rapides \nGénère des Bourrasques permettant à vous et aux Monstres d'aller encore plus vite","Monster sind schnell\nStürme beschleunigen Euch und Monster zusätzlich","モンスターは速くなる \n強風がプレイヤーとモンスターを加速させる","몬스터의 속도 증가 \n강풍이 플레이어와 몬스터의 속도를 추가로 증가시킴","Monstros são Rápidos \nBrisas aceleram ainda mais você e os Monstros","Монстры быстрые \nПриливы дополнительно ускоряют вас и монстров","Los monstruos son rápidos \nLos vendavales aceleran aún más a los monstruos y también a ti","มอนสเตอร์ ว่องไว\nพายุ เร่งให้คุณและมอนสเตอร์เร็วขึ้นไปอีก","怪物很迅速\n颶風加速你和怪物",21,"",0
46,"GenericSpeed2",5095,50,46,67,1693,"[12,12,12]",[2],[36708],[1],"[100,100,100,100]",5102,1242,5,[7578],"Invigorating","Tonifiant","Belebend","活性化の","활기를 주는","Revigorante","<if:MS>{Оживляющий}<elif:MP>{Оживляющие}<else>{Оживляющий}","Estimulante","Invigorating","振奮","Monsters are Fast \nGales further accelerate you and Monsters","Les Monstres sont Rapides \nGénère des Bourrasques permettant à vous et aux Monstres d'aller encore plus vite","Monster sind schnell\nStürme beschleunigen Euch und Monster zusätzlich","モンスターは速くなる \n強風がプレイヤーとモンスターを加速させる","몬스터의 속도 증가 \n강풍이 플레이어와 몬스터의 속도를 추가로 증가시킴","Monstros são Rápidos \nBrisas aceleram ainda mais você e os Monstros","Монстры быстрые \nПриливы дополнительно ускоряют вас и монстров","Los monstruos son rápidos \nLos vendavales aceleran aún más a los monstruos y también a ti","มอนสเตอร์ ว่องไว\nพายุ เร่งให้คุณและมอนสเตอร์เร็วขึ้นไปอีก","怪物很迅速\n颶風加速你和怪物",21,"",0
47,"GenericSpeed3",5095,50,68,77,1693,"[15,15,15]",[2],[36708],[1],"[100,100,100,100]",5102,1242,6,[7578],"Invigorating","Tonifiant","Belebend","活性化の","활기를 주는","Revigorante","<if:MS>{Оживляющий}<elif:MP>{Оживляющие}<else>{Оживляющий}","Estimulante","Invigorating","振奮","Monsters are Fast \nGales further accelerate you and Monsters","Les Monstres sont Rapides \nGénère des Bourrasques permettant à vous et aux Monstres d'aller encore plus vite","Monster sind schnell\nStürme beschleunigen Euch und Monster zusätzlich","モンスターは速くなる \n強風がプレイヤーとモンスターを加速させる","몬스터의 속도 증가 \n강풍이 플레이어와 몬스터의 속도를 추가로 증가시킴","Monstros são Rápidos \nBrisas aceleram ainda mais você e os Monstros","Монстры быстрые \nПриливы дополнительно ускоряют вас и монстров","Los monstruos son rápidos \nLos vendavales aceleran aún más a los monstruos y también a ti","มอนสเตอร์ ว่องไว\nพายุ เร่งให้คุณและมอนสเตอร์เร็วขึ้นไปอีก","怪物很迅速\n颶風加速你和怪物",21,"",0
48,"GenericSpeed4",5095,50,78,100,1693,"[18,18,18]",[2],[36708],[1],"[100,100,100,100]",5102,1242,6,[7578],"Invigorating","Tonifiant","Belebend","活性化の","활기를 주는","Revigorante","<if:MS>{Оживляющий}<elif:MP>{Оживляющие}<else>{Оживляющий}","Estimulante","Invigorating","振奮","Monsters are Fast \nGales further accelerate you and Monsters","Les Monstres sont Rapides \nGénère des Bourrasques permettant à vous et aux Monstres d'aller encore plus vite","Monster sind schnell\nStürme beschleunigen Euch und Monster zusätzlich","モンスターは速くなる \n強風がプレイヤーとモンスターを加速させる","몬스터의 속도 증가 \n강풍이 플레이어와 몬스터의 속도를 추가로 증가시킴","Monstros são Rápidos \nBrisas aceleram ainda mais você e os Monstros","Монстры быстрые \nПриливы дополнительно ускоряют вас и монстров","Los monstruos son rápidos \nLos vendavales aceleran aún más a los monstruos y también a ti","มอนสเตอร์ ว่องไว\nพายุ เร่งให้คุณและมอนสเตอร์เร็วขึ้นไปอีก","怪物很迅速\n颶風加速你和怪物",21,"",0
49,"Vaal1",5093,20,33,45,1695,[1],[2],[36708],[1],"[100,100,100,100]",5107,1250,5,[7579],"Vaal","Vaal","Vaal","ヴァールの","바알","Vaal","<if:MS>{Осквернённый}<elif:MP>{Осквернённые}<else>{Осквернённый}","Vaal","Vaal","瓦爾","Items dropped by slain Monsters are Corrupted \nFavours may cost less Tribute on average\nAtziri's apparition protects the Altar","Les Monstres cèdent des Objets corrompus \nCet Autel est protégé par une apparition d'Atziri \nLes Faveurs de cet Autel coûtent typiquement moins de Tribut ","Von Monstern fallen gelassene Gegenstände sind verderbt\nGaben können durchschnittlich weniger Tribut kosten\nAtziris Geistererscheinung bewacht den Altar","倒したモンスターが落とすアイテムはコラプト状態となる \nアトジリの幻影が祭壇を守護する","처치한 몬스터가 타락한 아이템을 떨어뜨림\n헌정품의 공물 점수 비용이 평균적으로 감소함 \n앗지리의 유령이 제단을 지킴","Itens derrubados por Monstros mortos são Corrompidos \nFavores podem custar menos Tribudo em média \nAparições de Atziri protegem o Altar","Выпадающие при убийстве монстров предметы осквернены \nНаграды в целом могут стоить меньше дани\nАлтарь охраняет призрак Атзири","Los objetos arrojados por los monstruos derrotados están corruptos \nLos favores pueden costar menos tributo en promedio\nLa aparición de Atziri protege el altar","ไอเทมที่ดรอปจากมอนสเตอร์ มีมลทิน\nของสนองบรรณาการมีราคาลดลงโดยเฉลี่ย\nร่างเงาของอัถสิริ คอยปกป้องแท่นบูชา","被擊殺怪物掉落的物品為已汙染\n恩賜之物平均消耗較少貢禮\n阿茲里的幻像保護祭壇",13,"",0
50,"Vaal2",5093,20,46,67,1695,[1],[2],[36708],[1],"[100,100,100,100]",5107,1250,5,[7579],"Vaal","Vaal","Vaal","ヴァールの","바알","Vaal","<if:MS>{Осквернённый}<elif:MP>{Осквернённые}<else>{Осквернённый}","Vaal","Vaal","瓦爾","Items dropped by slain Monsters are Corrupted \nFavours may cost less Tribute on average\nAtziri's apparition protects the Altar","Les Monstres cèdent des Objets corrompus \nCet Autel est protégé par une apparition d'Atziri \nLes Faveurs de cet Autel coûtent typiquement moins de Tribut ","Von Monstern fallen gelassene Gegenstände sind verderbt\nGaben können durchschnittlich weniger Tribut kosten\nAtziris Geistererscheinung bewacht den Altar","倒したモンスターが落とすアイテムはコラプト状態となる \nアトジリの幻影が祭壇を守護する","처치한 몬스터가 타락한 아이템을 떨어뜨림\n헌정품의 공물 점수 비용이 평균적으로 감소함 \n앗지리의 유령이 제단을 지킴","Itens derrubados por Monstros mortos são Corrompidos \nFavores podem custar menos Tribudo em média \nAparições de Atziri protegem o Altar","Выпадающие при убийстве монстров предметы осквернены \nНаграды в целом могут стоить меньше дани\nАлтарь охраняет призрак Атзири","Los objetos arrojados por los monstruos derrotados están corruptos \nLos favores pueden costar menos tributo en promedio\nLa aparición de Atziri protege el altar","ไอเทมที่ดรอปจากมอนสเตอร์ มีมลทิน\nของสนองบรรณาการมีราคาลดลงโดยเฉลี่ย\nร่างเงาของอัถสิริ คอยปกป้องแท่นบูชา","被擊殺怪物掉落的物品為已汙染\n恩賜之物平均消耗較少貢禮\n阿茲里的幻像保護祭壇",13,"",0
51,"Vaal3",5093,20,68,77,1695,[1],[2],[36708],[1],"[100,100,100,100]",5107,1250,6,[7579],"Vaal","Vaal","Vaal","ヴァールの","바알","Vaal","<if:MS>{Осквернённый}<elif:MP>{Осквернённые}<else>{Осквернённый}","Vaal","Vaal","瓦爾","Items dropped by slain Monsters are Corrupted \nFavours may cost less Tribute on average\nAtziri's apparition protects the Altar","Les Monstres cèdent des Objets corrompus \nCet Autel est protégé par une apparition d'Atziri \nLes Faveurs de cet Autel coûtent typiquement moins de Tribut ","Von Monstern fallen gelassene Gegenstände sind verderbt\nGaben können durchschnittlich weniger Tribut kosten\nAtziris Geistererscheinung bewacht den Altar","倒したモンスターが落とすアイテムはコラプト状態となる \nアトジリの幻影が祭壇を守護する","처치한 몬스터가 타락한 아이템을 떨어뜨림\n헌정품의 공물 점수 비용이 평균적으로 감소함 \n앗지리의 유령이 제단을 지킴","Itens derrubados por Monstros mortos são Corrompidos \nFavores podem custar menos Tribudo em média \nAparições de Atziri protegem o Altar","Выпадающие при убийстве монстров предметы осквернены \nНаграды в целом могут стоить меньше дани\nАлтарь охраняет призрак Атзири","Los objetos arrojados por los monstruos derrotados están corruptos \nLos favores pueden costar menos tributo en promedio\nLa aparición de Atziri protege el altar","ไอเทมที่ดรอปจากมอนสเตอร์ มีมลทิน\nของสนองบรรณาการมีราคาลดลงโดยเฉลี่ย\nร่างเงาของอัถสิริ คอยปกป้องแท่นบูชา","被擊殺怪物掉落的物品為已汙染\n恩賜之物平均消耗較少貢禮\n阿茲里的幻像保護祭壇",13,"",0
52,"Vaal4",5093,20,78,100,1695,[1],[2],[36708],[1],"[100,100,100,100]",5107,1250,6,[7579],"Vaal","Vaal","Vaal","ヴァールの","바알","Vaal","<if:MS>{Осквернённый}<elif:MP>{Осквернённые}<else>{Осквернённый}","Vaal","Vaal","瓦爾","Items dropped by slain Monsters are Corrupted \nFavours may cost less Tribute on average\nAtziri's apparition protects the Altar","Les Monstres cèdent des Objets corrompus \nCet Autel est protégé par une apparition d'Atziri \nLes Faveurs de cet Autel coûtent typiquement moins de Tribut ","Von Monstern fallen gelassene Gegenstände sind verderbt\nGaben können durchschnittlich weniger Tribut kosten\nAtziris Geistererscheinung bewacht den Altar","倒したモンスターが落とすアイテムはコラプト状態となる \nアトジリの幻影が祭壇を守護する","처치한 몬스터가 타락한 아이템을 떨어뜨림\n헌정품의 공물 점수 비용이 평균적으로 감소함 \n앗지리의 유령이 제단을 지킴","Itens derrubados por Monstros mortos são Corrompidos \nFavores podem custar menos Tribudo em média \nAparições de Atziri protegem o Altar","Выпадающие при убийстве монстров предметы осквернены \nНаграды в целом могут стоить меньше дани\nАлтарь охраняет призрак Атзири","Los objetos arrojados por los monstruos derrotados están corruptos \nLos favores pueden costar menos tributo en promedio\nLa aparición de Atziri protege el altar","ไอเทมที่ดรอปจากมอนสเตอร์ มีมลทิน\nของสนองบรรณาการมีราคาลดลงโดยเฉลี่ย\nร่างเงาของอัถสิริ คอยปกป้องแท่นบูชา","被擊殺怪物掉落的物品為已汙染\n恩賜之物平均消耗較少貢禮\n阿茲里的幻像保護祭壇",13,"",0
53,"Necromantic1",5091,50,33,45,1694,[],[1],[36708],[1],"[100,100,100,100]",5105,1247,5,[7580],"Haunted","Hanté","Heimgesucht","憑依の","으스스한","Assombrado","<if:MS>{Одержимый}<elif:MP>{Одержимые}<else>{Одержимый}","Encantado","Haunted","鬧鬼","Tormented Spirits haunt the Ritual","Ce Rituel est hanté par des Esprits tourmentés","Gequälte Seelen suchen das Ritual heim","祭壇に拷問された幽霊が出没する","의식에 고통받는 혼백 등장","Espíritos Atormentados assombram o Ritual","Ритуал населяют страдающие духи","Unos espíritus atormentados rondan por el ritual","ผีตายโหง ตามหลอกหลอน พิธีกรรมนี้","罪魂環繞祭壇",9,"",0
54,"Necromantic2",5091,50,46,67,1694,[],[1],[36708],[1],"[100,100,100,100]",5105,1247,5,[7580],"Haunted","Hanté","Heimgesucht","憑依の","으스스한","Assombrado","<if:MS>{Одержимый}<elif:MP>{Одержимые}<else>{Одержимый}","Encantado","Haunted","鬧鬼","Tormented Spirits haunt the Ritual","Ce Rituel est hanté par des Esprits tourmentés","Gequälte Seelen suchen das Ritual heim","祭壇に拷問された幽霊が出没する","의식에 고통받는 혼백 등장","Espíritos Atormentados assombram o Ritual","Ритуал населяют страдающие духи","Unos espíritus atormentados rondan por el ritual","ผีตายโหง ตามหลอกหลอน พิธีกรรมนี้","罪魂環繞祭壇",10,"",0
55,"Necromantic3",5091,50,68,77,1694,[],[1],[36708],[1],"[100,100,100,100]",5105,1247,6,[7580],"Haunted","Hanté","Heimgesucht","憑依の","으스스한","Assombrado","<if:MS>{Одержимый}<elif:MP>{Одержимые}<else>{Одержимый}","Encantado","Haunted","鬧鬼","Tormented Spirits haunt the Ritual","Ce Rituel est hanté par des Esprits tourmentés","Gequälte Seelen suchen das Ritual heim","祭壇に拷問された幽霊が出没する","의식에 고통받는 혼백 등장","Espíritos Atormentados assombram o Ritual","Ритуал населяют страдающие духи","Unos espíritus atormentados rondan por el ritual","ผีตายโหง ตามหลอกหลอน พิธีกรรมนี้","罪魂環繞祭壇",11,"",0
56,"Necromantic4",5091,50,78,100,1694,[],[1],[36708],[1],"[100,100,100,100]",5105,1247,6,[7580],"Haunted","Hanté","Heimgesucht","憑依の","으스스한","Assombrado","<if:MS>{Одержимый}<elif:MP>{Одержимые}<else>{Одержимый}","Encantado","Haunted","鬧鬼","Tormented Spirits haunt the Ritual","Ce Rituel est hanté par des Esprits tourmentés","Gequälte Seelen suchen das Ritual heim","祭壇に拷問された幽霊が出没する","의식에 고통받는 혼백 등장","Espíritos Atormentados assombram o Ritual","Ритуал населяют страдающие духи","Unos espíritus atormentados rondan por el ritual","ผีตายโหง ตามหลอกหลอน พิธีกรรมนี้","罪魂環繞祭壇",12,"",0
57,"ChaosGreen1",5087,50,33,45,1687,"[30,8]",[1],[36708],[1],"[100,100,100,100]",5096,1244,5,[7581],"Foul","Infâme","Faul","汚れの","지저분한","Imundo","<if:MS>{Заразный}<elif:MP>{Заразные}<else>{Заразный}","Infame","Foul","汙穢","Monsters deal extra Chaos Damage and can Poison \nToxic vines grasp you while stationary","Les Monstres infligent des Dégâts de chaos supplémentaires et peuvent Empoisonner \nFait pousser des Lianes toxiques qui vous agrippent lorsque vous êtes stationnaire","Monster verursachen zusätzlichen Chaosschaden und können vergiften\nGiftige Ranken greifen im Stand nach Euch","モンスターは追加の混沌ダメージを与え、毒を付与できる \n静止時、有毒な蔓に束縛される","몬스터가 추가 카오스 피해를 주고 중독 유발 \n플레이어가 정지 상태일 때 맹독성 덩굴이 붙잡으려 함","Monstros causam Dano de Caos Extra e podem Envenenar \nVinhas tóxicas o agarram enquanto estiver parado","Монстры наносят дополнительный урон хаосом и могут отравить \nПока вы стоите на месте, вас опутывают ядовитые лозы","Los monstruos infligen daño de caos extra y pueden envenenar \nLas Enredaderas tóxicas te atrapan mientras estás quieto","มอนสเตอร์ สร้างความเสียหาย เคออส เพิ่มเติมและสร้างสถานะ พิษ ได้\nเถาวัลย์พิษ รัดขาคุณขณะที่คุณอยู่กับที่","怪物造成額外混沌傷害並且可以造成中毒\n你靜止時毒素藤蔓會抓住你",17,"",0
58,"ChaosGreen2",5087,50,46,67,1687,"[35,10]",[1],[36708],[1],"[100,100,100,100]",5096,1244,5,[7581],"Foul","Infâme","Faul","汚れの","지저분한","Imundo","<if:MS>{Заразный}<elif:MP>{Заразные}<else>{Заразный}","Infame","Foul","汙穢","Monsters deal extra Chaos Damage and can Poison \nToxic vines grasp you while stationary","Les Monstres infligent des Dégâts de chaos supplémentaires et peuvent Empoisonner \nFait pousser des Lianes toxiques qui vous agrippent lorsque vous êtes stationnaire","Monster verursachen zusätzlichen Chaosschaden und können vergiften\nGiftige Ranken greifen im Stand nach Euch","モンスターは追加の混沌ダメージを与え、毒を付与できる \n静止時、有毒な蔓に束縛される","몬스터가 추가 카오스 피해를 주고 중독 유발 \n플레이어가 정지 상태일 때 맹독성 덩굴이 붙잡으려 함","Monstros causam Dano de Caos Extra e podem Envenenar \nVinhas tóxicas o agarram enquanto estiver parado","Монстры наносят дополнительный урон хаосом и могут отравить \nПока вы стоите на месте, вас опутывают ядовитые лозы","Los monstruos infligen daño de caos extra y pueden envenenar \nLas Enredaderas tóxicas te atrapan mientras estás quieto","มอนสเตอร์ สร้างความเสียหาย เคออส เพิ่มเติมและสร้างสถานะ พิษ ได้\nเถาวัลย์พิษ รัดขาคุณขณะที่คุณอยู่กับที่","怪物造成額外混沌傷害並且可以造成中毒\n你靜止時毒素藤蔓會抓住你",17,"",0
59,"ChaosGreen3",5087,50,68,77,1687,"[40,12]",[1],[36708],[1],"[100,100,100,100]",5096,1244,6,[7581],"Foul","Infâme","Faul","汚れの","지저분한","Imundo","<if:MS>{Заразный}<elif:MP>{Заразные}<else>{Заразный}","Infame","Foul","汙穢","Monsters deal extra Chaos Damage and can Poison \nToxic vines grasp you while stationary","Les Monstres infligent des Dégâts de chaos supplémentaires et peuvent Empoisonner \nFait pousser des Lianes toxiques qui vous agrippent lorsque vous êtes stationnaire","Monster verursachen zusätzlichen Chaosschaden und können vergiften\nGiftige Ranken greifen im Stand nach Euch","モンスターは追加の混沌ダメージを与え、毒を付与できる \n静止時、有毒な蔓に束縛される","몬스터가 추가 카오스 피해를 주고 중독 유발 \n플레이어가 정지 상태일 때 맹독성 덩굴이 붙잡으려 함","Monstros causam Dano de Caos Extra e podem Envenenar \nVinhas tóxicas o agarram enquanto estiver parado","Монстры наносят дополнительный урон хаосом и могут отравить \nПока вы стоите на месте, вас опутывают ядовитые лозы","Los monstruos infligen daño de caos extra y pueden envenenar \nLas Enredaderas tóxicas te atrapan mientras estás quieto","มอนสเตอร์ สร้างความเสียหาย เคออส เพิ่มเติมและสร้างสถานะ พิษ ได้\nเถาวัลย์พิษ รัดขาคุณขณะที่คุณอยู่กับที่","怪物造成額外混沌傷害並且可以造成中毒\n你靜止時毒素藤蔓會抓住你",17,"",0
60,"ChaosGreen4",5087,50,78,100,1687,"[50,14]",[1],[36708],[1],"[100,100,100,100]",5096,1244,6,[7581],"Foul","Infâme","Faul","汚れの","지저분한","Imundo","<if:MS>{Заразный}<elif:MP>{Заразные}<else>{Заразный}","Infame","Foul","汙穢","Monsters deal extra Chaos Damage and can Poison \nToxic vines grasp you while stationary","Les Monstres infligent des Dégâts de chaos supplémentaires et peuvent Empoisonner \nFait pousser des Lianes toxiques qui vous agrippent lorsque vous êtes stationnaire","Monster verursachen zusätzlichen Chaosschaden und können vergiften\nGiftige Ranken greifen im Stand nach Euch","モンスターは追加の混沌ダメージを与え、毒を付与できる \n静止時、有毒な蔓に束縛される","몬스터가 추가 카오스 피해를 주고 중독 유발 \n플레이어가 정지 상태일 때 맹독성 덩굴이 붙잡으려 함","Monstros causam Dano de Caos Extra e podem Envenenar \nVinhas tóxicas o agarram enquanto estiver parado","Монстры наносят дополнительный урон хаосом и могут отравить \nПока вы стоите на месте, вас опутывают ядовитые лозы","Los monstruos infligen daño de caos extra y pueden envenenar \nLas Enredaderas tóxicas te atrapan mientras estás quieto","มอนสเตอร์ สร้างความเสียหาย เคออส เพิ่มเติมและสร้างสถานะ พิษ ได้\nเถาวัลย์พิษ รัดขาคุณขณะที่คุณอยู่กับที่","怪物造成額外混沌傷害並且可以造成中毒\n你靜止時毒素藤蔓會抓住你",17,"",0
61,"Golden1",5089,10,68,72,1696,"[4000,4000]",[1],[36708],[1],"[100,100,100,100]",5103,1243,5,[7582],"Opulent","Abondant","Opulent","富裕の","호화로운","Opulento","<if:MS>{Богатый}<elif:MP>{Богатые}<else>{Богатый}","Opulento","Opulent","富饒","Monsters have greatly increased Item Rarity and Quantity \nContains cursed coin showers","Les Monstres ont une puissante Augmentation de Quantité et de Rareté des objets cédés \nProjette des pluies de pièces maudites","Monster haben deutlich erhöhte Gegenstandsseltenheit und -menge\nEnthält verfluchte Münzenregen","モンスターが落とすアイテムのレアリティおよび数量が大幅に増加する \n呪われたコインの雨が降る","몬스터가 떨어뜨리는 아이템의 희귀도와 수량 크게 증가 \n저주받은 코인 벼락 등장","Monstros têm a Raridade e Quantidade de Itens amplamente aumentada \nContém chuvas de moedas","Редкость и количество выпадающих предметов значительно повышены \nДожди из проклятых монет","Los monstruos tienen cantidad y rareza de objetos muy aumentadas \nContiene lluvias de monedas malditas","มอนสเตอร์ มีระดับความหายากและจำนวนของไอเทม เพิ่มขึ้นเป็นอย่างมาก\nมีเหรียญต้องสาป โปรยปรายเป็นสายฝน","怪物大幅增加物品稀有度和數量\n內含被詛咒的撒幣",14,1,0
62,"Golden2",5089,10,73,77,1696,"[5000,5000]",[1],[36708],[1],"[100,100,100,100]",5103,1243,6,[7582],"Opulent","Abondant","Opulent","富裕の","호화로운","Opulento","<if:MS>{Богатый}<elif:MP>{Богатые}<else>{Богатый}","Opulento","Opulent","富饒","Monsters have greatly increased Item Rarity and Quantity \nContains cursed coin showers","Les Monstres ont une puissante Augmentation de Quantité et de Rareté des objets cédés \nProjette des pluies de pièces maudites","Monster haben deutlich erhöhte Gegenstandsseltenheit und -menge\nEnthält verfluchte Münzenregen","モンスターが落とすアイテムのレアリティおよび数量が大幅に増加する \n呪われたコインの雨が降る","몬스터가 떨어뜨리는 아이템의 희귀도와 수량 크게 증가 \n저주받은 코인 벼락 등장","Monstros têm a Raridade e Quantidade de Itens amplamente aumentada \nContém chuvas de moedas","Редкость и количество выпадающих предметов значительно повышены \nДожди из проклятых монет","Los monstruos tienen cantidad y rareza de objetos muy aumentadas \nContiene lluvias de monedas malditas","มอนสเตอร์ มีระดับความหายากและจำนวนของไอเทม เพิ่มขึ้นเป็นอย่างมาก\nมีเหรียญต้องสาป โปรยปรายเป็นสายฝน","怪物大幅增加物品稀有度和數量\n內含被詛咒的撒幣",14,1,0
