"rownum","BetrayalJobsKey","BetrayalTargetsKey","BetrayalRanksKey","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Description2","Description2 (French)","Description2 (German)","Description2 (Japanese)","Description2 (Korean)","Description2 (Portuguese)","Description2 (Russian)","Description2 (Spanish)","Description2 (Thai)","Description2 (Traditional Chinese)"
81,4,1,1,"Forging Powerful Equipment","Forge de l'Équipement puissant","Schmiedet mächtige Ausrüstung","強力な装備の鍛造","강력한 장비 제작","Forjando Equipamentos Poderosos","Кует мощное снаряжение","Forjar equipamiento poderoso","หลอมไอเทมสวมใส่อันทรงพลัง","研磨強力裝備","Looting Anarchy Scarabs","Ramasse des Scarabées d'Anarchie","Erbeutet Anarchy-Skarabäen","アナーキースカラベの略奪","획득한 혼란 갑충석","Coletando Escaravelhos da Anarquia","Собирает скарабеев Анархии","Sustraer escarabajos de anarquía","ปล้นสคารับเอ็กไซล์อันธพาล","守護精緻裝甲設備"
82,4,1,2,"Forging Powerful Equipment","Forge de l'Équipement puissant","Schmiedet mächtige Ausrüstung","強力な装備の鍛造","강력한 장비 제작","Forjando Equipamentos Poderosos","Кует мощное снаряжение","Forjar equipamiento poderoso","หลอมไอเทมสวมใส่อันทรงพลัง","研磨強力裝備","Looting Anarchy Scarabs","Ramasse des Scarabées d'Anarchie","Erbeutet Anarchy-Skarabäen","アナーキースカラベの略奪","획득한 혼란 갑충석","Coletando Escaravelhos da Anarquia","Собирает скарабеев Анархии","Sustraer escarabajos de anarquía","ปล้นสคารับเอ็กไซล์อันธพาล","守護精緻裝甲設備"
83,4,1,3,"Forging Powerful Equipment","Forge de l'Équipement puissant","Schmiedet mächtige Ausrüstung","強力な装備の鍛造","강력한 장비 제작","Forjando Equipamentos Poderosos","Кует мощное снаряжение","Forjar equipamiento poderoso","หลอมไอเทมสวมใส่อันทรงพลัง","研磨強力裝備","Looting Anarchy Scarabs","Ramasse des Scarabées d'Anarchie","Erbeutet Anarchy-Skarabäen","アナーキースカラベの略奪","획득한 혼란 갑충석","Coletando Escaravelhos da Anarquia","Собирает скарабеев Анархии","Sustraer escarabajos de anarquía","ปล้นสคารับเอ็กไซล์อันธพาล","守護精緻裝甲設備"
84,3,6,1,"Collecting 'Shiny Things' (Abyss Scarabs?)","Collectionne des « trucs qui brillent » (Scarabées Abyssaux ?)","Sammelt 'glitzernde Dinge' (Abgrund-Skarabäen?)","「ピカピカする物」の収集（アビススカラベ？）","\""반짝이는 물건\"" 수집 (심연 갑충석인가?)","Coletando 'Coisas Brilhantes' (Escaravelhos Abissais?)","Собирает \""блестяшки\"" (скарабеи Бездны?)","Coleccionar \""Cosas brillantes\"" (¿escarabajos de abismo?)","เก็บสะสม 'ของระยิบระดับ' (สคารับอะบิส?)","蒐集「亮晶晶」（深淵聖甲蟲？）","Collecting 'Shiny Things' (Abyss Scarabs?)","Collectionne des « trucs qui brillent » (Scarabées Abyssaux ?)","Sammelt 'glitzernde Dinge' (Abgrund-Skarabäen?)","「ピカピカする物」の収集（アビススカラベ？）","\""반짝이는 물건\"" 수집 (심연 갑충석인가?)","Coletando 'Coisas Brilhantes' (Escaravelhos Abissais?)","Собирает \""блестяшки\"" (скарабеи Бездны?)","Coleccionar \""Cosas brillantes\"" (¿escarabajos de abismo?)","เก็บสะสม 'ของระยิบระดับ' (สคารับอะบิส?)","蒐集「亮晶晶」（深淵聖甲蟲？）"
85,3,6,2,"Collecting 'Shiny Things' (Abyss Scarabs?)","Collectionne des « trucs qui brillent » (Scarabées Abyssaux ?)","Sammelt 'glitzernde Dinge' (Abgrund-Skarabäen?)","「ピカピカする物」の収集（アビススカラベ？）","\""반짝이는 물건\"" 수집 (심연 갑충석인가?)","Coletando 'Coisas Brilhantes' (Escaravelhos Abissais?)","Собирает \""блестяшки\"" (скарабеи Бездны?)","Coleccionar \""Cosas brillantes\"" (¿escarabajos de abismo?)","เก็บสะสม 'ของระยิบระดับ' (สคารับอะบิส?)","蒐集「亮晶晶」（深淵聖甲蟲？）","Collecting 'Shiny Things' (Abyss Scarabs?)","Collectionne des « trucs qui brillent » (Scarabées Abyssaux ?)","Sammelt 'glitzernde Dinge' (Abgrund-Skarabäen?)","「ピカピカする物」の収集（アビススカラベ？）","\""반짝이는 물건\"" 수집 (심연 갑충석인가?)","Coletando 'Coisas Brilhantes' (Escaravelhos Abissais?)","Собирает \""блестяшки\"" (скарабеи Бездны?)","Coleccionar \""Cosas brillantes\"" (¿escarabajos de abismo?)","เก็บสะสม 'ของระยิบระดับ' (สคารับอะบิส?)","蒐集「亮晶晶」（深淵聖甲蟲？）"
86,3,6,3,"Collecting 'Shiny Things' (Abyss Scarabs?)","Collectionne des « trucs qui brillent » (Scarabées Abyssaux ?)","Sammelt 'glitzernde Dinge' (Abgrund-Skarabäen?)","「ピカピカする物」の収集（アビススカラベ？）","\""반짝이는 물건\"" 수집 (심연 갑충석인가?)","Coletando 'Coisas Brilhantes' (Escaravelhos Abissais?)","Собирает \""блестяшки\"" (скарабеи Бездны?)","Coleccionar \""Cosas brillantes\"" (¿escarabajos de abismo?)","เก็บสะสม 'ของระยิบระดับ' (สคารับอะบิส?)","蒐集「亮晶晶」（深淵聖甲蟲？）","Collecting 'Shiny Things' (Abyss Scarabs?)","Collectionne des « trucs qui brillent » (Scarabées Abyssaux ?)","Sammelt 'glitzernde Dinge' (Abgrund-Skarabäen?)","「ピカピカする物」の収集（アビススカラベ？）","\""반짝이는 물건\"" 수집 (심연 갑충석인가?)","Coletando 'Coisas Brilhantes' (Escaravelhos Abissais?)","Собирает \""блестяшки\"" (скарабеи Бездны?)","Coleccionar \""Cosas brillantes\"" (¿escarabajos de abismo?)","เก็บสะสม 'ของระยิบระดับ' (สคารับอะบิส?)","蒐集「亮晶晶」（深淵聖甲蟲？）"
87,1,6,1,"Hoarding 'Little Bugs' (Scarabs?)","Amasse des « petits insectes » (Scarabées?)","Hortet \""kleine Käfer\"" (Skarabäen?)","「小さな虫」の貯めこみ（スカラベ？）","비축한 '작은 벌레'(갑충석?)","Acumulando 'Pequenos Insetos' (Escaravelhos?)","Припрятывает \""маленьких жуков\"" (скарабеи?)","Pequeños insectos acaparadores (¿escarabajos?)","กักตุน 'แมลงจิ๋ว' (สคารับ?)","囤積「小蟲子」（聖甲蟲？）","Smuggling Belts (Trapped Chests!)","Fait de la contrebande de Ceintures (dans des coffres piégés !)","Schmuggelt Gürtel (Truhen mit Fallen!)","ベルトの密輸（トラップチェスト！）","밀수한 허리띠 (덫 상자!)","Contrabandeando Cintos (Baús Trancados!)","Тайно провозит пояса (ловушки в сундуках!)","Traficar con cinturones (¡Cofres atrapados!)","ลอบขนเข็มขัด (หีบติดกับดัก!)","走私腰帶（陷阱寶箱！）"
88,1,6,2,"Hoarding 'Little Bugs' (Scarabs?)","Amasse des « petits insectes » (Scarabées?)","Hortet \""kleine Käfer\"" (Skarabäen?)","「小さな虫」の貯めこみ（スカラベ？）","비축한 '작은 벌레'(갑충석?)","Acumulando 'Pequenos Insetos' (Escaravelhos?)","Припрятывает \""маленьких жуков\"" (скарабеи?)","Pequeños insectos acaparadores (¿escarabajos?)","กักตุน 'แมลงจิ๋ว' (สคารับ?)","囤積「小蟲子」（聖甲蟲？）","Smuggling Belts (Trapped Chests!)","Fait de la contrebande de Ceintures (dans des coffres piégés !)","Schmuggelt Gürtel (Truhen mit Fallen!)","ベルトの密輸（トラップチェスト！）","밀수한 허리띠 (덫 상자!)","Contrabandeando Cintos (Baús Trancados!)","Тайно провозит пояса (ловушки в сундуках!)","Traficar con cinturones (¡Cofres atrapados!)","ลอบขนเข็มขัด (หีบติดกับดัก!)","走私腰帶（陷阱寶箱！）"
89,1,6,3,"Hoarding 'Little Bugs' (Scarabs?)","Amasse des « petits insectes » (Scarabées?)","Hortet \""kleine Käfer\"" (Skarabäen?)","「小さな虫」の貯めこみ（スカラベ？）","비축한 '작은 벌레'(갑충석?)","Acumulando 'Pequenos Insetos' (Escaravelhos?)","Припрятывает \""маленьких жуков\"" (скарабеи?)","Pequeños insectos acaparadores (¿escarabajos?)","กักตุน 'แมลงจิ๋ว' (สคารับ?)","囤積「小蟲子」（聖甲蟲？）","Smuggling Belts (Trapped Chests!)","Fait de la contrebande de Ceintures (dans des coffres piégés !)","Schmuggelt Gürtel (Truhen mit Fallen!)","ベルトの密輸（トラップチェスト！）","밀수한 허리띠 (덫 상자!)","Contrabandeando Cintos (Baús Trancados!)","Тайно провозит пояса (ловушки в сундуках!)","Traficar con cinturones (¡Cofres atrapados!)","ลอบขนเข็มขัด (หีบติดกับดัก!)","走私腰帶（陷阱寶箱！）"
90,2,6,1,"Escorting Essential Scarabs","Achemine des Scarabées Essentiels","Eskortiert essentielle  Skarabäen","エッセンススカラベの護衛","호위한 필수 갑충석","Escoltando Escaravelhos Essenciais","Сопровождает скарабеи Сущности","Escoltar escarabajos esenciales","คุ้มกันสคารับเอสเซนส์","護送基礎聖甲蟲","Transporting Belts","Transporte des Ceintures","Transportiert Gürtel","ベルトの輸送","수송 중인 허리띠","Transportando Cintos","Перевозит пояса","Transportar cinturones","ขนส่งเข็มขัด","護送腰帶"
91,2,6,2,"Escorting Essential Scarabs","Achemine des Scarabées Essentiels","Eskortiert essentielle  Skarabäen","エッセンススカラベの護衛","호위한 필수 갑충석","Escoltando Escaravelhos Essenciais","Сопровождает скарабеи Сущности","Escoltar escarabajos esenciales","คุ้มกันสคารับเอสเซนส์","護送基礎聖甲蟲","Transporting Belts","Transporte des Ceintures","Transportiert Gürtel","ベルトの輸送","수송 중인 허리띠","Transportando Cintos","Перевозит пояса","Transportar cinturones","ขนส่งเข็มขัด","護送腰帶"
92,2,6,3,"Escorting Essential Scarabs","Achemine des Scarabées Essentiels","Eskortiert essentielle  Skarabäen","エッセンススカラベの護衛","호위한 필수 갑충석","Escoltando Escaravelhos Essenciais","Сопровождает скарабеи Сущности","Escoltar escarabajos esenciales","คุ้มกันสคารับเอสเซนส์","護送基礎聖甲蟲","Transporting Belts","Transporte des Ceintures","Transportiert Gürtel","ベルトの輸送","수송 중인 허리띠","Transportando Cintos","Перевозит пояса","Transportar cinturones","ขนส่งเข็มขัด","護送腰帶"
93,4,6,1,"'Researching' Exiles (Anarchy Scarabs!)","« Recherche » les Exilés (Scarabées d'Anarchie)","\""Untersucht\"" Verbannte (Anarchie-Skarabäen)","エグザイルの「研究」（アナーキースカラベ！）","'연구한' 유배자(혼란 갑충석!)","Pesquisando' Exilados (Escaravelhos da Anarquia!)","\""Изучает\"" изгнанников (Скарабеи Анархии!)","Investigar exiliados (¡escarabajos de anarquía!)","​'ค้นคว้า' เอ็กไซล์ (สคารับเอ็กไซล์อันธพาล!)","「研究」流亡者（混亂聖甲蟲！）","Gambling with Belt Properties","Joue avec les Propriétés des Ceintures","Experimentiert mit Gürtel-Eigenschaften","ベルトの特性のギャンブル","허리띠 속성 도박","Arriscando com Propriedades de Cintos","Спекулирует на свойствах поясов","Apostar sobre las propiedades de los cinturones","เสี่ยงโชคกับคุณสมบัติของเข็มขัด","用腰帶屬性博弈"
94,4,6,2,"'Researching' Exiles (Anarchy Scarabs!)","« Recherche » les Exilés (Scarabées d'Anarchie)","\""Untersucht\"" Verbannte (Anarchie-Skarabäen)","エグザイルの「研究」（アナーキースカラベ！）","'연구한' 유배자(혼란 갑충석!)","'Pesquisando' Exilados (Escaravelhos da Anarquia!)","\""Изучает\"" изгнанников (Скарабеи Анархии!)","Investigar exiliados (¡escarabajos de anarquía!)","​'ค้นคว้า' เอ็กไซล์ (สคารับเอ็กไซล์อันธพาล!)","「研究」流亡者（混亂聖甲蟲！）","Gambling with Belt Properties","Joue avec les Propriétés des Ceintures","Experimentiert mit Gürtel-Eigenschaften","ベルトの特性のギャンブル","허리띠 속성 도박","Arriscando com Propriedades de Cintos","Спекулирует на свойствах поясов","Apostar sobre las propiedades de los cinturones","เสี่ยงโชคกับคุณสมบัติของเข็มขัด","用腰帶屬性博弈"
95,4,6,3,"'Researching' Exiles (Anarchy Scarabs!)","« Recherche » les Exilés (Scarabées d'Anarchie)","\""Untersucht\"" Verbannte (Anarchie-Skarabäen)","エグザイルの「研究」（アナーキースカラベ！）","'연구한' 유배자(혼란 갑충석!)","'Pesquisando' Exilados (Escaravelhos da Anarquia!)","\""Изучает\"" изгнанников (Скарабеи Анархии!)","Investigar exiliados (¡escarabajos de anarquía!)","​'ค้นคว้า' เอ็กไซล์ (สคารับเอ็กไซล์อันธพาล!)","「研究」流亡者（混亂聖甲蟲！）","Gambling with Belt Properties","Joue avec les Propriétés des Ceintures","Experimentiert mit Gürtel-Eigenschaften","ベルトの特性のギャンブル","허리띠 속성 도박","Arriscando com Propriedades de Cintos","Спекулирует на свойствах поясов","Apostar sobre las propiedades de los cinturones","เสี่ยงโชคกับคุณสมบัติของเข็มขัด","用腰帶屬性博弈"
96,3,9,1,"\""Finding\"" Expedition Scarabs","« Trouve » des Scarabées d'Expédition","\""Findet\"" Expedition-Skarabäen","エクスペディションスカラベの「捜索」","탐험 갑충석 \""찾기\""","\""Encontrando\"" Escaravelhos Expedition (Traidor!)","\""Находит\"" скарабеев Экспедиции","\""Encontrar\"" escarabajos de expedición","\""ตามหา\"" สคารับกองสำรวจ","「找到」探險聖甲蟲","\""Finding\"" Expedition Scarabs","« Trouve » des Scarabées d'Expédition","\""Findet\"" Expedition-Skarabäen","エクスペディションスカラベの「捜索」","\""찾은\"" 탐험 갑충석","\""Encontrando\"" Escaravelhos de Expedições","\""Находит\"" скарабеев Экспедиции","\""Encontrar\"" escarabajos de expedición","\""ตามหา\"" สคารับกองสำรวจ","「找到」探險聖甲蟲"
97,3,9,2,"\""Finding\"" Expedition Scarabs","« Trouve » des Scarabées d'Expédition","\""Findet\"" Expedition-Skarabäen","エクスペディションスカラベの「捜索」","탐험 갑충석 \""찾기\""","\""Encontrando\"" Escaravelhos Expedition (Traidor!)","\""Находит\"" скарабеев Экспедиции","\""Encontrar\"" escarabajos de expedición","\""ตามหา\"" สคารับกองสำรวจ","「找到」探險聖甲蟲","\""Finding\"" Expedition Scarabs","« Trouve » des Scarabées d'Expédition","\""Findet\"" Expedition-Skarabäen","エクスペディションスカラベの「捜索」","\""찾은\"" 탐험 갑충석","\""Encontrando\"" Escaravelhos de Expedições","\""Находит\"" скарабеев Экспедиции","\""Encontrar\"" escarabajos de expedición","\""ตามหา\"" สคารับกองสำรวจ","「找到」探險聖甲蟲"
98,3,9,3,"\""Finding\"" Expedition Scarabs","« Trouve » des Scarabées d'Expédition","\""Findet\"" Expedition-Skarabäen","エクスペディションスカラベの「捜索」","탐험 갑충석 \""찾기\""","\""Encontrando\"" Escaravelhos Expedition (Traidor!)","\""Находит\"" скарабеев Экспедиции","\""Encontrar\"" escarabajos de expedición","\""ตามหา\"" สคารับกองสำรวจ","「找到」探險聖甲蟲","\""Finding\"" Expedition Scarabs","« Trouve » des Scarabées d'Expédition","\""Findet\"" Expedition-Skarabäen","エクスペディションスカラベの「捜索」","\""찾은\"" 탐험 갑충석","\""Encontrando\"" Escaravelhos de Expedições","\""Находит\"" скарабеев Экспедиции","\""Encontrar\"" escarabajos de expedición","\""ตามหา\"" สคารับกองสำรวจ","「找到」探險聖甲蟲"
99,1,9,1,"Accumulating Domination Scarabs (Pathetic!)","Accumule des Scarabées de Domination\r\n(c'est pitoyable !)","Häuft Schrein-Skarabäen an (jämmerlich!)","ドミネーションスカラベの蓄え（惨め！）","축적한 지배 갑충석 (한심해!)","Acumulando Escaravelhos do Domínio (Patético!)","Собирает скарабеев Господства (ничтожество!)","Acumular escarabajos de dominación (¡Patético!)","สะสมสคารับแท่นบูชา (น่าสมเพช!)","累積支配聖甲蟲（太可悲了！）","Securing Quality-Modifying Currency","Met des Objets monétaires modificateurs de Qualité en sûreté","Sichert qualitätssteigernde Währung","品質変更カレンシーの確保","확보한 퀄리티 개조 화폐","Protegendo Moedas Modificadoras de Qualidade","Защищает валюту, изменяющую качество","Asegurar objetos monetarios que modifican la calidad","รักษาเงินตราที่เปลี่ยนค่าคุณภาพ","保護調整品質的通貨"
100,1,9,2,"Accumulating Domination Scarabs (Pathetic!)","Accumule des Scarabées de Domination\r\n(c'est pitoyable !)","Häuft Schrein-Skarabäen an (jämmerlich!)","ドミネーションスカラベの蓄え（惨め！）","축적한 지배 갑충석 (한심해!)","Acumulando Escaravelhos do Domínio (Patético!)","Собирает скарабеев Господства (ничтожество!)","Acumular escarabajos de dominación (¡Patético!)","สะสมสคารับแท่นบูชา (น่าสมเพช!)","累積支配聖甲蟲（太可悲了！）","Securing Quality-Modifying Currency","Met des Objets monétaires modificateurs de Qualité en sûreté","Sichert qualitätssteigernde Währung","品質変更カレンシーの確保","확보한 퀄리티 개조 화폐","Protegendo Moedas Modificadoras de Qualidade","Защищает валюту, изменяющую качество","Asegurar objetos monetarios que modifican la calidad","รักษาเงินตราที่เปลี่ยนค่าคุณภาพ","保護調整品質的通貨"
101,1,9,3,"Accumulating Domination Scarabs (Pathetic!)","Accumule des Scarabées de Domination\r\n(c'est pitoyable !)","Häuft Schrein-Skarabäen an (jämmerlich!)","ドミネーションスカラベの蓄え（惨め！）","축적한 지배 갑충석 (한심해!)","Acumulando Escaravelhos do Domínio (Patético!)","Собирает скарабеев Господства (ничтожество!)","Acumular escarabajos de dominación (¡Patético!)","สะสมสคารับแท่นบูชา (น่าสมเพช!)","累積支配聖甲蟲（太可悲了！）","Securing Quality-Modifying Currency","Met des Objets monétaires modificateurs de Qualité en sûreté","Sichert qualitätssteigernde Währung","品質変更カレンシーの確保","확보한 퀄리티 개조 화폐","Protegendo Moedas Modificadoras de Qualidade","Защищает валюту, изменяющую качество","Asegurar objetos monetarios que modifican la calidad","รักษาเงินตราที่เปลี่ยนค่าคุณภาพ","保護調整品質的通貨"
102,2,9,1,"Transporting Quality-Modifying Currency","Transporte des Objets monétaires altérant la Qualité","Transportiert qualitätssteigernde Währung","品質変更カレンシーの輸送","수송 중인 퀄리티 개조 화폐","Transportando Itens Moneários Modificadores de Qualidade","Перевозит валюту, изменяющую качество","Transportar objetos monetarios que modifican la calidad","ขนส่งเงินตราที่เปลี่ยนค่าคุณภาพ","運送調整品質的通貨","Banking Currency","Empoche des Objets monétaires","Hortet Währung","カレンシーの貯金","고액 화폐","Guardando Itens Monetários","Сгребает в кучу валюту","Depositar objetos monetarios","สะสมเงินตรา","囤積通貨"
103,2,9,2,"Transporting Quality-Modifying Currency","Transporte des Objets monétaires altérant la Qualité","Transportiert qualitätssteigernde Währung","品質変更カレンシーの輸送","수송 중인 퀄리티 개조 화폐","Transportando Itens Moneários Modificadores de Qualidade","Перевозит валюту, изменяющую качество","Transportar objetos monetarios que modifican la calidad","ขนส่งเงินตราที่เปลี่ยนค่าคุณภาพ","運送調整品質的通貨","Banking Currency","Empoche des Objets monétaires","Hortet Währung","カレンシーの貯金","고액 화폐","Guardando Itens Monetários","Сгребает в кучу валюту","Depositar objetos monetarios","สะสมเงินตรา","囤積通貨"
104,2,9,3,"Transporting Quality-Modifying Currency","Transporte des Objets monétaires altérant la Qualité","Transportiert qualitätssteigernde Währung","品質変更カレンシーの輸送","수송 중인 퀄리티 개조 화폐","Transportando Itens Moneários Modificadores de Qualidade","Перевозит валюту, изменяющую качество","Transportar objetos monetarios que modifican la calidad","ขนส่งเงินตราที่เปลี่ยนค่าคุณภาพ","運送調整品質的通貨","Banking Currency","Empoche des Objets monétaires","Hortet Währung","カレンシーの貯金","고액 화폐","Guardando Itens Monetários","Сгребает в кучу валюту","Depositar objetos monetarios","สะสมเงินตรา","囤積通貨"
105,4,9,1,"Securing Kalguuran Currencies (Fool!)","Met des Objets monétaires\r\nkalguuriens en sûreté\r\n(quel imbécile !)","Behütet Kalguurische Währung (Narr!)","カルグールカレンシーの確保（ばか！）","가문의 주화 확보 (멍청해!)","Protegendo Moedas Kalguuran (Babaca!)","Защищает калгууранскую валюту (глупец!)","Asegurar objetos monetarios kalguuranos (¡Tonto!)","รักษาเงินตราคาลเกอร์ (โง่นัก!)","保護卡爾葛貨幣（蠢蛋！）","Looting Essence Scarabs","Ramasse des Scarabées d'Essence","Erbeutet Essence-Skarabäen","エッセンススカラベの略奪","획득한 에센스 갑충석","Coletando Escaravelhos de Essências","Собирает скарабеев Сущности","Sustraer escarabajos de esencia","ปล้นสคารับเอสเซนส์","保護白色插槽裝備"
106,4,9,2,"Securing Kalguuran Currencies (Fool!)","Met des Objets monétaires\r\nkalguuriens en sûreté\r\n(quel imbécile !)","Behütet Kalguurische Währung (Narr!)","カルグールカレンシーの確保（ばか！）","가문의 주화 확보 (멍청해!)","Protegendo Moedas Kalguuran (Babaca!)","Защищает калгууранскую валюту (глупец!)","Asegurar objetos monetarios kalguuranos (¡Tonto!)","รักษาเงินตราคาลเกอร์ (โง่นัก!)","保護卡爾葛貨幣（蠢蛋！）","Looting Essence Scarabs","Ramasse des Scarabées d'Essence","Erbeutet Essence-Skarabäen","エッセンススカラベの略奪","획득한 에센스 갑충석","Coletando Escaravelhos de Essências","Собирает скарабеев Сущности","Sustraer escarabajos de esencia","ปล้นสคารับเอสเซนส์","保護白色插槽裝備"
107,4,9,3,"Securing Kalguuran Currencies (Fool!)","Met des Objets monétaires\r\nkalguuriens en sûreté\r\n(quel imbécile !)","Behütet Kalguurische Währung (Narr!)","カルグールカレンシーの確保（ばか！）","가문의 주화 확보 (멍청해!)","Protegendo Moedas Kalguuran (Babaca!)","Защищает калгууранскую валюту (глупец!)","Asegurar objetos monetarios kalguuranos (¡Tonto!)","รักษาเงินตราคาลเกอร์ (โง่นัก!)","保護卡爾葛貨幣（蠢蛋！）","Looting Essence Scarabs","Ramasse des Scarabées d'Essence","Erbeutet Essence-Skarabäen","エッセンススカラベの略奪","획득한 에센스 갑충석","Coletando Escaravelhos de Essências","Собирает скарабеев Сущности","Sustraer escarabajos de esencia","ปล้นสคารับเอสเซนส์","保護白色插槽裝備"
108,3,13,1,"Snatching Influenced Scarabs","S'empare de Scarabées Influencés","Rafft Beeinflusste Skarabäen zusammen","インフルエンススカラベの引奪","붙잡은 영향을 받은 갑충석","Passando a Mão em Escaravelhos Influenciados","Ворует скарабеев влияния","Apoderarse de escarabajos influenciados","คว้าสคารับที่มีอิทธิพล","強奪尊師聖甲蟲","Snatching Influenced Scarabs","S'empare de Scarabées Influencés","Rafft Beeinflusste Skarabäen zusammen","インフルエンススカラベの引奪","붙잡은 영향을 받은 갑충석","Passando a Mão em Escaravelhos Influenciados","Ворует скарабеев влияния","Apoderarse de escarabajos influenciados","คว้าสคารับที่มีอิทธิพล","強奪尊師聖甲蟲"
109,3,13,2,"Snatching Influenced Scarabs","S'empare de Scarabées Influencés","Rafft Beeinflusste Skarabäen zusammen","インフルエンススカラベの引奪","붙잡은 영향을 받은 갑충석","Passando a Mão em Escaravelhos Influenciados","Ворует скарабеев влияния","Apoderarse de escarabajos influenciados","คว้าสคารับที่มีอิทธิพล","強奪尊師聖甲蟲","Snatching Influenced Scarabs","S'empare de Scarabées Influencés","Rafft Beeinflusste Skarabäen zusammen","インフルエンススカラベの引奪","붙잡은 영향을 받은 갑충석","Passando a Mão em Escaravelhos Influenciados","Ворует скарабеев влияния","Apoderarse de escarabajos influenciados","คว้าสคารับที่มีอิทธิพล","強奪尊師聖甲蟲"
110,3,13,3,"Snatching Influenced Scarabs","S'empare de Scarabées Influencés","Rafft Beeinflusste Skarabäen zusammen","インフルエンススカラベの引奪","붙잡은 영향을 받은 갑충석","Passando a Mão em Escaravelhos Influenciados","Ворует скарабеев влияния","Apoderarse de escarabajos influenciados","คว้าสคารับที่มีอิทธิพล","強奪尊師聖甲蟲","Snatching Influenced Scarabs","S'empare de Scarabées Influencés","Rafft Beeinflusste Skarabäen zusammen","インフルエンススカラベの引奪","붙잡은 영향을 받은 갑충석","Passando a Mão em Escaravelhos Influenciados","Ворует скарабеев влияния","Apoderarse de escarabajos influenciados","คว้าสคารับที่มีอิทธิพล","強奪尊師聖甲蟲"
111,1,13,1,"Assembling Fragments","Assemble des Fragments","Setzt Fragmente zusammen","断片の組み立て","모아온 조각","Montando Fragmentos","Складывает фрагменты воедино","Ensamblar fragmentos","ประกอบชิ้นส่วน","組合碎片","Smuggling Helmets (Trapped Chests!)","Fait de la contrebande de Casques (dans des coffres piégés !)","Schmuggelt Helme (Truhen mit Fallen!)","兜の密輸（トラップチェスト！）","밀수한 투구 (덫 상자!)","Contrabandeando Elmos (Baús Trancados!)","Тайно провозит шлемы (ловушки в сундуках!)","Traficar con cascos (¡Cofres atrapados!)","ลอบขนหมวก (หีบติดกับดัก!)","走私頭盔（陷阱寶箱！）"
112,1,13,2,"Assembling Fragments","Assemble des Fragments","Setzt Fragmente zusammen","断片の組み立て","모아온 조각","Montando Fragmentos","Складывает фрагменты воедино","Ensamblar fragmentos","ประกอบชิ้นส่วน","組合碎片","Smuggling Helmets (Trapped Chests!)","Fait de la contrebande de Casques (dans des coffres piégés !)","Schmuggelt Helme (Truhen mit Fallen!)","兜の密輸（トラップチェスト！）","밀수한 투구 (덫 상자!)","Contrabandeando Elmos (Baús Trancados!)","Тайно провозит шлемы (ловушки в сундуках!)","Traficar con cascos (¡Cofres atrapados!)","ลอบขนหมวก (หีบติดกับดัก!)","走私頭盔（陷阱寶箱！）"
113,1,13,3,"Assembling Fragments","Assemble des Fragments","Setzt Fragmente zusammen","断片の組み立て","모아온 조각","Montando Fragmentos","Складывает фрагменты воедино","Ensamblar fragmentos","ประกอบชิ้นส่วน","組合碎片","Smuggling Helmets (Trapped Chests!)","Fait de la contrebande de Casques (dans des coffres piégés !)","Schmuggelt Helme (Truhen mit Fallen!)","兜の密輸（トラップチェスト！）","밀수한 투구 (덫 상자!)","Contrabandeando Elmos (Baús Trancados!)","Тайно провозит шлемы (ловушки в сундуках!)","Traficar con cascos (¡Cofres atrapados!)","ลอบขนหมวก (หีบติดกับดัก!)","走私頭盔（陷阱寶箱！）"
114,2,13,1,"Smuggling Essences","Fait de la contrebande d'Essences","Schmuggelt Essenzen","エッセンスの密輸","밀수한 에센스","Contrabandeando Essências","Незаконно перевозит Сущности","Traficar con esencias","ลอบขนเอสเซนส์","走私精髓","Transporting Helmets","Transporte des Casques","Transportiert Helme","兜の輸送","수송 중인 투구","Transportando Elmos","Перевозит шлемы","Transportar cascos","ขนส่งหมวก","護送頭盔"
115,2,13,2,"Smuggling Essences","Fait de la contrebande d'Essences","Schmuggelt Essenzen","エッセンスの密輸","밀수한 에센스","Contrabandeando Essências","Незаконно перевозит Сущности","Traficar con esencias","ลอบขนเอสเซนส์","走私精髓","Transporting Helmets","Transporte des Casques","Transportiert Helme","兜の輸送","수송 중인 투구","Transportando Elmos","Перевозит шлемы","Transportar cascos","ขนส่งหมวก","護送頭盔"
116,2,13,3,"Smuggling Essences","Fait de la contrebande d'Essences","Schmuggelt Essenzen","エッセンスの密輸","밀수한 에센스","Contrabandeando Essências","Незаконно перевозит Сущности","Traficar con esencias","ลอบขนเอสเซนส์","走私精髓","Transporting Helmets","Transporte des Casques","Transportiert Helme","兜の輸送","수송 중인 투구","Transportando Elmos","Перевозит шлемы","Transportar cascos","ขนส่งหมวก","護送頭盔"
