"rownum","string_0","i32_8","i32_12","i32_16","[rid]_20","[i32]_36","string_52","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","rid_60","i32_76","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_80","i32_84","u16_88"
142,"ProjectilesReturnHigh",0,0,0,[1126],[1],"Return","Retour","Rückkehr","回帰","돌아옴","Retorna","Возвращение","Regreso","Return","返回","",1294472365,1404834989,1397101741,1080431789,1090786477,1346639021,1358828717,1379669165,1293948077,1047008429,0,196608,0
143,"WitherOnHitLow",0,0,0,[8318],[15],"Lesser Wither on Hit","Flétrissement au Toucher mineur","Geringere Verkümmerung bei Treffer","ヒット時衰弱（小）","하위 명중 시 위축","Definhar ao Atingir Menor","Слабое истощение при ударе","Marchitamiento al impactar menor","Lesser Wither on Hit","低階擊中時凋零",30,1306841513,1418645929,1411305897,1091359145,1101844905,1359663529,1371984297,1393611177,1306317225,1057673641,0,65536,0
144,"WitherOnHitMid",0,0,0,[8318],[30],"Wither on Hit","Flétrissement au Toucher","Verkümmerung bei Treffer","ヒット時衰弱","명중 시 위축","Definhar ao Atingir","Истощение при ударе","Marchitamiento al impactar","Wither on Hit","擊中時凋零",30,1306803075,1418607491,1411267459,1091320707,1101806467,1359625091,1371945859,1393572739,1306278787,1057635203,0,131072,0
145,"WitherOnHitHigh",0,0,0,[8318],[45],"Greater Wither on Hit","Flétrissement au Toucher majeur","Größere Verkümmerung bei Treffer","ヒット時衰弱（大）","상위 명중 시 위축","Definhar ao Atingir Maior","Сильное истощение при ударе","Marchitamiento al impactar mayor","Greater Wither on Hit","高階擊中時凋零",30,1306849350,1418653766,1411313734,1091366982,1101852742,1359671366,1371992134,1393619014,1306325062,1057681478,0,196608,0
146,"VoidSphereSpecificTickRateHigh",0,0,0,[12958],[35],"Gilded Sphere Frequency","Fréquence de la Sphère dorée","Goldene Sphären-Frequenz","金色のスフィア頻度","도금된 구체 빈도","Frequência de Esfera Áurea","Позолоченный: Частота сфер","Frecuencia de esferas doradas","Gilded Sphere Frequency","鍍金球體頻率","",41955609,42479897,42086681,35139865,35139865,41169177,42217753,42479897,41955609,34091289,0,196608,0
147,"MaxShockHigh",0,0,0,[16454],[10],"Maximum Shock Effect","Effet d'Électrocution maximal","Maximale Schockwirkung","最大感電効果","최대 감전 효과","Efeito Eletrificar Máximo","Максимальный эффект шока","Efecto máximo de la electrocución","Maximum Shock Effect","最大感電效果","",401800481,432078113,430767393,338230561,343997729,419495201,427621665,431422753,401800481,326171937,0,196608,0
148,"CriticalStrikeLow",0,0,0,[553],[80],"Lesser Critical Chance","Chances de Critiques mineures","Geringere kritische Trefferchance","クリティカル率（小）","하위 치명타 확률","Chance de Crítico Menor","Малый шанс критического удара","Probabilidad crítica menor","Lesser Critical Chance","低階暴擊率",31,1345608361,1462917801,1454791337,1122392745,1133271721,1400920745,1414159017,1438538409,1345084073,1087265449,0,65536,0
149,"CriticalStrikeMid",0,0,0,[553],[120],"Critical Chance","Chances de Critiques","Kritische Trefferchance","クリティカル率","치명타 확률","Chance de Crítico","Шанс критического удара","Probabilidad crítica","Critical Chance","暴擊率",31,1345646623,1462956063,1454829599,1122431007,1133309983,1400959007,1414197279,1438576671,1345122335,1087303711,0,131072,0
150,"CriticalStrikeHigh",0,0,0,[553],[200],"Greater Critical Chance","Chances de Critiques majeures","Größere kritische Trefferchance","クリティカル率（大）","상위 치명타 확률","Chance de Crítico Maior","Большой шанс критического удара","Probabilidad crítica mayor","Greater Critical Chance","高階暴擊率",31,1345647372,1462956812,1454830348,1122431756,1133310732,1400959756,1414198028,1438577420,1345123084,1087304460,0,196608,0
151,"ReducedProjSpeedLow",0,0,0,[175],[-15],"Lesser Slower Projectiles","Ralentissement des Projectiles mineur","Geringere langsamere Projektile","投射物低速化（小）","하위 투사체 감속","Projéteis Lentos Menor","Слабо замедленные снаряды","Proyectiles lentos menores","Lesser Slower Projectiles","低階投射物減速",32,1373388282,1493712378,1485454842,1145323002,1155939834,1428569594,1444036090,1467497978,1372863994,1108753914,0,65536,0
152,"ReducedProjSpeedMid",0,0,0,[175],[-30],"Slower Projectiles","Ralentissement des Projectiles","Langsamere Projektile","投射物低速化","투사체 감속","Projéteis Lentos","Замедленные снаряды","Proyectiles lentos","Slower Projectiles","投射物減速",32,1373374626,1493698722,1485441186,1145309346,1155926178,1428555938,1444022434,1467484322,1372850338,1108740258,0,131072,0
153,"ReducedProjSpeedHigh",0,0,0,[175],[-40],"Greater Slower Projectiles","Ralentissement des Projectiles majeur","Größere langsamere Projektile","投射物低速化（大）","상위 투사체 감속","Projéteis Lentos Maior","Сильно замедленные снаряды","Proyectiles lentos mayores","Greater Slower Projectiles","高階投射物減速",32,1373417368,1493741464,1485483928,1145352088,1155968920,1428598680,1444065176,1467527064,1372893080,1108783000,0,196608,0
154,"IncreasedProjSpeedLow",0,0,0,[175],[15],"Lesser Faster Projectiles","Vitesse des projectiles mineure","Geringere schnellere Projektile","投射物高速化（小）","하위 투사체 속도 증가","Projéteis Rápidos Menor","Малое ускорение снарядов","Proyectiles rápidos menores","Lesser Faster Projectiles","低階投射物加速",32,1401578095,1525703279,1515217519,1167614575,1178624623,1455710831,1472225903,1495949935,1401053807,1130390127,0,65536,0
155,"IncreasedProjSpeedMid",0,0,0,[175],[30],"Faster Projectiles","Vitesse des projectiles","Schnellere Projektile","投射物高速化","투사체 속도 증가","Projéteis Rápidos","Ускорение снарядов","Proyectiles rápidos","Faster Projectiles","投射物加速",32,1401610540,1525735724,1515249964,1167647020,1178657068,1455743276,1472258348,1495982380,1401086252,1130422572,0,131072,0
156,"IncreasedProjSpeedHigh",0,0,0,[175],[40],"Greater Faster Projectiles","Vitesse des projectiles majeure","Größere schnellere Projektile","投射物高速化（大）","상위 투사체 속도 증가","Projéteis Rápidos Maior","Большое ускорение снарядов","Proyectiles rápidos mayores","Greater Faster Projectiles","高階投射物加速",32,1401567413,1525692597,1515206837,1167603893,1178613941,1455700149,1472215221,1495939253,1401043125,1130379445,0,196608,0
157,"PhysGainAsChaosMid",0,0,0,[449],[15],"Physical as Extra Chaos","Dégâts physiques sous forme de Dégâts de chaos","Physischer als extra Chaos","物理の一部を追加混沌","물리를 추가 카오스로 전환","Físico como Caos Adicional","Физический урон в виде урона хаосом","Físico como caos extra","Physical as Extra Chaos","物理轉化為額外混沌",33,918996801,992266049,983091009,763676481,771016513,952289089,949405505,971818817,918472513,741263169,0,131072,0
158,"PhysGainAsChaosHigh",0,0,0,[449],[30],"Greater Physical as Extra Chaos","Dégâts physiques sous forme de Dégâts de chaos majeurs","Größerer physischer als extra Chaos","物理の一部を追加混沌（大）","상위 물리를 추가 카오스로 전환","Físico como Caos Adicional Maior","Большой физический урон в виде урона хаосом","Físico como caos extra mayor","Greater Physical as Extra Chaos","高階物理轉化為額外混沌",33,919004006,992273254,983098214,763683686,771023718,952296294,949412710,971826022,918479718,741270374,0,196608,0
159,"AddedCooldownCountHigh",0,0,0,[11610],[1],"Second Wind","Second souffle","Zweite Luft","セカンドウィンド","새로운 활력","Fôlego Adicional","Второе дыхание","Segundo aliento","Second Wind","恢復","",1443415339,1575273771,1558758699,1201194283,1213777195,1498203435,1517602091,1538049323,1442891051,1162396971,0,196608,0
160,"AltEssenceDrainSpecificLeechHigh",0,0,0,[3699],[3000],"Gilded Additional Leech","Drain supplémentaire doré","Goldener zusätzlicher Raub","金色の追加リーチ","도금된 추가 흡수","Roubar Adicional Áureo","Позолоченный: Дополнительное похищение","Absorción adicional dorada","Gilded Additional Leech","鍍金額外偷取","",41999551,42523839,42130623,35183807,35183807,41213119,42261695,42523839,41999551,34135231,0,196608,0
161,"WitheringStepSpecificWitherStacksHigh",0,0,0,[10092],[5],"Gilded Wither Stacks","Cumuls de Flétrissure dorés","Goldene Verkümmerungsstapel","金色の衰弱スタック","도금된 위축 중첩","Instâncias de Definhar Áureas","Позолоченный: Заряды истощения","Acumulaciones de marchitamiento doradas","Gilded Wither Stacks","鍍金凋零疊層","",41998992,42523280,42130064,35183248,35183248,41212560,42261136,42523280,41998992,34134672,0,196608,0
162,"FlameblastSpecificStagesHigh",0,0,0,[12988],[3],"Gilded Maximum Stages","Paliers maximaux dorés","Goldene maximale Phasen","金色の最大ステージ","도금된 최대 단계","Estágios Máximos Áureos","Позолоченный: Максимум стадий","Fases máximas doradas","Gilded Maximum Stages","鍍金疊層上限","",41991654,42515942,42122726,35175910,35175910,41205222,42253798,42515942,41991654,34127334,0,196608,0
163,"BodySwapSpecificDamageFromLifeHigh",0,0,0,[6844],[2],"Gilded Damage from Life","Dégâts depuis la Vie dorés","Goldener Schaden von Leben","金色のライフからのダメージ","도금된 생명력에서 피해","Dano de Vida Áureo","Позолоченный: Урон от здоровья","Daño de la vida dorado","Gilded Damage from Life","鍍金生命傷害","",41952340,42476628,42083412,35136596,35136596,41165908,42214484,42476628,41952340,34088020,0,196608,0
164,"BrutalityLow",0,0,0,"[4910,1711,6141]","[1,1,15]","Lesser Brutality","Brutalité mineure","Geringere Brutalität","ブルータリティ（小）","하위 포악함","Brutalidade Menor","Малая жестокость","Brutalidad menor","Lesser Brutality","低階野性殘暴",34,1492965887,1626659327,1610799615,1243666943,1255725567,1548540415,1572395519,1590352383,1492441599,1202379263,0,65536,0
165,"BrutalityMid",0,0,0,"[4910,1711,6141]","[1,1,20]","Brutality","Brutalité","Brutalität","ブルータリティ","포악함","Brutalidade","Жестокость","Brutalidad","Brutality","野性殘暴",34,1492974351,1626667791,1610808079,1243675407,1255734031,1548548879,1572403983,1590360847,1492450063,1202387727,0,131072,0
166,"BrutalityHigh",0,0,0,"[4910,1711,6141]","[1,1,30]","Greater Brutality","Brutalité majeure","Größere Brutalität","ブルータリティ（大）","상위 포악함","Brutalidade Maior","Большая жестокость","Brutalidad mayor","Greater Brutality","高階野性殘暴",34,1492969425,1626662865,1610803153,1243670481,1255729105,1548543953,1572399057,1590355921,1492445137,1202382801,0,196608,0
167,"VaalDoubleStrikeSpecificCloneSpeedHigh",0,0,0,[7780],[40],"Gilded Clone Speed","Vitesse des Clones dorée","Goldene Klongeschwindigkeit","金色のクローンスピード","도금된 분신 속도","Velocidade de Clone Áurea","Позолоченный: Скорость двойников","Velocidad de clones dorada","Gilded Clone Speed","鍍金複製體速度","",41999355,42523643,42130427,35183611,35183611,41212923,42261499,42523643,41999355,34135035,0,196608,0
168,"EleFocusLow",0,0,0,"[3899,2754]","[15,1]","Lesser Elemental Focus","Focalisation élémentaire mineure","Geringerer Elementarfokus","元素ダメージ集中（小）","하위 원소 집중","Foco Elemental Menor","Малая концентрация стихий","Concentración elemental menor","Lesser Elemental Focus","低階元素專注",35,1530164887,1665955479,1649833623,1277326999,1287681687,1586656919,1612084887,1629517463,1529640599,1233942167,0,65536,0
169,"EleFocusMid",0,0,0,"[3899,2754]","[20,1]","Elemental Focus","Focalisation élémentaire","Elementarfokus","元素ダメージ集中","원소 집중","Foco Elemental","Концентрация стихий","Concentración elemental","Elemental Focus","元素專注",35,1530171916,1665962508,1649840652,1277334028,1287688716,1586663948,1612091916,1629524492,1529647628,1233949196,0,131072,0
170,"EleFocusHigh",0,0,0,"[3899,2754]","[30,1]","Greater Elemental Focus","Focalisation élémentaire majeure","Größerer Elementarfokus","元素ダメージ集中（大）","상위 원소 집중","Foco Elemental Maior","Большая концентрация стихий","Concentración elemental mayor","Greater Elemental Focus","高階元素專注",35,1530166128,1665956720,1649834864,1277328240,1287682928,1586658160,1612086128,1629518704,1529641840,1233943408,0,196608,0
171,"PierceLow",0,0,0,[6234],[1],"Lesser Pierce","Transpercement mineur","Geringeres Durchbohren","貫通（小）","하위 관통","Perfurar Menor","Малое пронзание","Perforar menor","Lesser Pierce","低階穿透",37,1554782104,1693980568,1675499416,1298405272,1307973528,1610880920,1638012824,1656100760,1554257816,1253709720,0,65536,0
172,"PierceMid",0,0,0,[6234],[3],"Pierce","Transpercement","Durchbohren","貫通","관통","Perfurar","Пронзание","Perforar","Pierce","穿透",37,1554832331,1694030795,1675549643,1298455499,1308023755,1610931147,1638063051,1656150987,1554308043,1253759947,0,131072,0
173,"PierceHigh",0,0,0,[6234],[5],"Greater Pierce","Transpercement majeur","Größeres Durchbohren","貫通（大）","상위 관통","Perfurar Maior","Большое пронзание","Perforar mayor","Greater Pierce","高階穿透",37,1554804034,1694002498,1675521346,1298427202,1307995458,1610902850,1638034754,1656122690,1554279746,1253731650,0,196608,0
174,"CritDamageLow",0,0,0,[95],[30],"Lesser Critical Damage","Dégâts des Critiques mineurs","Geringerer kritischer Schaden","クリティカルダメージ（小）","하위 치명타 피해","Dano Crítico Menor","Малый критический урон","Daño crítico menor","Lesser Critical Damage","低階暴擊傷害",36,1574074336,1716025312,1697150944,1314813920,1323857888,1629911008,1658091488,1675130848,1573550048,1269069792,0,65536,0
175,"CritDamageMid",0,0,0,[95],[45],"Critical Damage","Dégâts des Critiques","Kritischer Schaden","クリティカルダメージ","치명타 피해","Dano Crítico","Критический урон","Daño crítico","Critical Damage","暴擊傷害",36,1574075837,1716026813,1697152445,1314815421,1323859389,1629912509,1658092989,1675132349,1573551549,1269071293,0,131072,0
176,"CritDamageHigh",0,0,0,[95],[70],"Greater Critical Damage","Dégâts des Critiques majeurs","Größerer kritischer Schaden","クリティカルダメージ（大）","상위 치명타 피해","Dano Crítico Maior","Большой критический урон","Daño crítico mayor","Greater Critical Damage","高階暴擊傷害",36,1574099307,1716050283,1697175915,1314838891,1323882859,1629935979,1658116459,1675155819,1573575019,1269094763,0,196608,0
177,"MinionDamageLow",0,0,0,"[14536,2952]","[-25,15]","Lesser Minion Damage","Dégâts des Créatures mineurs","Geringerer Kreaturenschaden","ミニオンダメージ（小）","하위 소환수 피해:","Dano de Lacaio Menor","Малый урон приспешников","Daño de esbirros menor","Lesser Minion Damage","低階召喚物傷害",40,1600791157,1745101429,1725702773,1338385013,1346249333,1655579253,1685463669,1701061237,1600266869,1290412661,0,65536,0
178,"MinionDamageMid",0,0,0,"[14536,2952]","[-25,20]","Minion Damage","Dégâts des Créatures","Kreaturenschaden","ミニオンダメージ","소환수 피해","Dano de Lacaio","Урон приспешников","Daño de esbirros","Minion Damage","召喚物傷害",40,1600810915,1745121187,1725722531,1338404771,1346269091,1655599011,1685483427,1701080995,1600286627,1290432419,0,131072,0
179,"MinionDamageHigh",0,0,0,"[14536,2952]","[-25,30]","Greater Minion Damage","Dégâts des Créatures majeurs","Größerer Kreaturenschaden","ミニオンダメージ（大）","상위 소환수 피해","Dano de Lacaio Maior","Большой урон приспешников","Daño de esbirros mayor","Greater Minion Damage","高階召喚物傷害",40,1600834808,1745145080,1725746424,1338428664,1346292984,1655622904,1685507320,1701104888,1600310520,1290456312,0,196608,0
180,"WarcrySpeedLow",0,0,0,[3477],[35],"Lesser Warcry Speed","Vitesse des Cris de guerre mineure","Geringere Kriegsschrei-Geschwindigkeit","ウォークライスピード（小）","하위 함성 속도","Velocidade de Clamor Menor","Малое ускорение боевых кличей","Velocidad de gritos de guerra menor","Lesser Warcry Speed","低階戰吼速度",39,1627183278,1775294638,1755502766,1362024622,1368709294,1682888878,1714215086,1730074798,1626658990,1312217262,0,65536,0
181,"WarcrySpeedMid",0,0,0,[3477],[50],"Warcry Speed","Vitesse des Cris de guerre","Kriegsschrei-Geschwindigkeit","ウォークライスピード","함성 속도","Velocidade de Clamor","Ускорение боевых кличей","Velocidad de gritos de guerra","Warcry Speed","戰吼速度",39,1627175285,1775286645,1755494773,1362016629,1368701301,1682880885,1714207093,1730066805,1626650997,1312209269,0,131072,0
182,"WarcrySpeedHigh",0,0,0,[3477],[75],"Greater Warcry Speed","Vitesse des Cris de guerre majeure","Größere Kriegsschrei-Geschwindigkeit","ウォークライスピード（大）","상위 함성 속도","Velocidade de Clamor Maior","Большое ускорение боевых кличей","Velocidad de gritos de guerra mayor","Greater Warcry Speed","高階戰吼速度",39,1627179950,1775291310,1755499438,1362021294,1368705966,1682885550,1714211758,1730071470,1626655662,1312213934,0,196608,0
183,"ChaosPenLow",0,0,0,[596],[10],"Lesser Chaos Penetration","Pénétration du chaos mineure","Geringeres durchdringendes Chaos","混沌耐性突破（小）","하위 카오스 관통","Penetração de Caos Menor","Слабый пронизывающий хаос","Penetración de caos menor","Lesser Chaos Penetration","低階混沌穿透",38,401761560,432039192,430728472,338191640,343958808,419456280,427582744,431383832,401761560,326133016,0,65536,0
184,"ChaosPenMid",0,0,0,[596],[15],"Chaos Penetration","Pénétration du chaos","Durchdringendes Chaos","混沌耐性突破","카오스 관통","Penetração de Caos","Пронизывающий хаос","Penetración de caos","Chaos Penetration","混沌穿透",38,401769655,432047287,430736567,338199735,343966903,419464375,427590839,431391927,401769655,326141111,0,131072,0
185,"ChaosPenHigh",0,0,0,[596],[20],"Greater Chaos Penetration","Pénétration du chaos majeure","Größeres durchdringendes Chaos","混沌耐性突破（大）","상위 카오스 관통","Penetração de Caos Maior","Сильный пронизывающий хаос","Penetración de caos mayor","Greater Chaos Penetration","高階混沌穿透",38,401775664,432053296,430742576,338205744,343972912,419470384,427596848,431397936,401775664,326147120,0,196608,0
186,"GlacialCascadeSpecificNumberOfSpikesHigh",0,0,0,[2104],[2],"Gilded Cascade Count","Nombre d'Éruptions doré","Goldene Kaskadenanzahl","金色のカスケードカウント","도금된 폭포 수","Contador de Sequência Áureo","Позолоченный: Число взрывов","Recuento de cascadas dorado","Gilded Cascade Count","鍍金連擊次數","",41975471,42499759,42106543,35159727,35159727,41189039,42237615,42499759,41975471,34111151,0,196608,0
187,"VoltaxicBurstSpecificConvertLightningToChaosHigh",0,0,0,[1487],[40],"Gilded Voltaxic Conversion","Conversion voltaxique dorée","Goldene Voltaxische Umwandlung","金色のボルタキシック変換","도금된 전도성 전환","Conversão Voltáxica Áurea","Позолоченный: Вольтаксовое превращение","Conversión voltáxica dorada","Gilded Voltaxic Conversion","鍍金魔痕轉換","",41960986,42485274,42092058,35145242,35145242,41174554,42223130,42485274,41960986,34096666,0,196608,0
188,"MinionLifeLow",0,0,0,[6503],[25],"Lesser Minion Life","Vie des Créatures mineure","Geringeres Kreaturenleben","ミニオンライフ（小）","하위 소환수 생명력","Vida de Lacaio Menor","Малое здоровье приспешников","Vida de esbirros menor","Lesser Minion Life","低階召喚物生命",44,1600805918,1745116190,1725717534,1338399774,1346264094,1655594014,1685478430,1701075998,1600281630,1290427422,0,65536,0
189,"MinionLifeMid",0,0,0,[6503],[40],"Minion Life","Vie des Créatures","Kreaturenleben","ミニオンライフ","소환수 생명력","Vida de Lacaio","Здоровье приспешников","Vida de esbirros","Minion Life","召喚物生命",44,1600802915,1745113187,1725714531,1338396771,1346261091,1655591011,1685475427,1701072995,1600278627,1290424419,0,131072,0
190,"MinionLifeHigh",0,0,0,[6503],[60],"Greater Minion Life","Vie des Créatures majeure","Größeres Kreaturenleben","ミニオンライフ（大）","상위 소환수 생명력","Vida de Lacaio Maior","Большое здоровье приспешников","Vida de esbirros mayor","Greater Minion Life","高階召喚物生命",44,1600814199,1745124471,1725725815,1338408055,1346272375,1655602295,1685486711,1701084279,1600289911,1290435703,0,196608,0
191,"MultistrikeMid",0,0,0,"[1250,1237,1260]","[1,15,-15]","Multistrike","Multifrappe","Mehrfachschlag","マルチストライク","연속타격","Ataques Múltiplos","Град ударов","Golpes múltiples","Multistrike","多重打擊",41,1707668654,1863775406,1845425326,1429796014,1433859246,1767568558,1804268718,1818424494,1707144366,1374090414,0,131072,0
192,"MultistrikeHigh",0,0,0,"[1250,1237,1260]","[2,15,-15]","Greater Multistrike","Multifrappe majeure","Größerer Mehrfachschlag","マルチストライク（大）","상위 연속타격","Ataques Múltiplos Maior","Большой град ударов","Golpes múltiples mayor","Greater Multistrike","高階多重打擊",41,1707631989,1863738741,1845388661,1429759349,1433822581,1767531893,1804232053,1818387829,1707107701,1374053749,0,196608,0
193,"AddedFireLow",0,0,0,[446],[10],"Lesser Added Fire","Dégâts de feu Rajoutés mineurs","Geringerer Zusätzlicher Feuerschaden","火追加（小）","하위 화염 추가","Fogo Adicional Menor","Малый урон огнём","Fuego agregado menor","Lesser Added Fire","低階附加火焰",42,1727965153,1885775841,1868736481,1447602145,1451403233,1788782561,1824434145,1839507425,1727440865,1391241185,0,65536,0
194,"AddedFireMid",0,0,0,[446],[20],"Added Fire","Dégâts de feu Rajoutés","Zusätzlicher Feuerschaden","火追加","화염 추가","Fogo Adicional","Урон огнём","Fuego agregado","Added Fire","附加火焰",42,1727967615,1885778303,1868738943,1447604607,1451405695,1788785023,1824436607,1839509887,1727443327,1391243647,0,131072,0
195,"AddedFireHigh",0,0,0,[446],[30],"Greater Added Fire","Dégâts de feu Rajoutés majeurs","Größerer Zusätzlicher Feuerschaden","火追加（大）","상위 화염 추가","Fogo Adicional Maior","Большой урон огнём","Fuego agregado mayor","Greater Added Fire","高階附加火焰",42,1727928297,1885738985,1868699625,1447565289,1451366377,1788745705,1824397289,1839470569,1727404009,1391204329,0,196608,0
196,"MeleePhysLow",0,0,0,"[641,6397]","[10,10]","Lesser Melee Physical Damage","Dégâts physiques de mêlée mineurs","Geringerer Physischer Nahkampfschaden","近接物理ダメージ（小）","하위 근접 물리 피해","Dano Físico Corpo a Corpo Menor","Малый физический урон ближнего боя","Daño físico cuerpo a cuerpo menor","Lesser Melee Physical Damage","低階近戰物理傷害",43,1752497580,1914109356,1898511788,1467415980,1471741356,1814494636,1849753004,1865481644,1751973292,1410792876,0,65536,0
197,"MeleePhysMid",0,0,0,"[641,6397]","[15,15]","Melee Physical Damage","Dégâts physiques de mêlée","Physischer Nahkampfschaden","近接物理ダメージ","근접 물리 피해","Dano Físico Corpo a Corpo","Физический урон ближнего боя","Daño físico cuerpo a cuerpo","Melee Physical Damage","近戰物理傷害",43,1752486156,1914097932,1898500364,1467404556,1471729932,1814483212,1849741580,1865470220,1751961868,1410781452,0,131072,0
198,"MeleePhysHigh",0,0,0,"[641,6397]","[20,20]","Greater Melee Physical Damage","Dégâts physiques de mêlée majeurs","Größerer Physischer Nahkampfschaden","近接物理ダメージ（大）","상위 근접 물리 피해","Dano Físico Corpo a Corpo Maior","Большой физический урон ближнего боя","Daño físico cuerpo a cuerpo mayor","Greater Melee Physical Damage","高階近戰物理傷害",43,1752495982,1914107758,1898510190,1467414382,1471739758,1814493038,1849751406,1865480046,1751971694,1410791278,0,196608,0
199,"CombustionHigh",0,0,0,[7789],[-10],"Combustion","Combustion","Entflammen","燃焼促進","연소","Combustão","Воспламенение","Combustión","Combustion","燃燒","",895280341,966452437,956097749,744678613,751625429,926737621,925820117,944694485,894756053,722527445,0,196608,0
200,"MinionChaosCloudHigh",0,0,0,[3689],[1200],"Minion Caustic Death","Mort caustique des Créatures","Chaoswolke bei Kreaturentod","ミニオンコースティックデス","소환수 부식성 사망","Morte Cáustica de Lacaio","Едкая смерть приспешников","Muerte cáustica de esbirros","Minion Caustic Death","召喚物腐蝕死亡","",401748696,432026328,430715608,338178776,343945944,419443416,427569880,431370968,401748696,326120152,0,196608,0
201,"MultiTrapHigh",0,0,0,[1774],[2],"Multiple Traps","Pièges multiples","Mehrfachfallen","マルチトラップ","다중 덫","Armadilhas Múltiplas","Дополнительные ловушки","Trampas múltiples","Multiple Traps","複數陷阱","",1791494651,1955465723,1939868155,1499728379,1503005179,1855457787,1892682235,1907100155,1790970363,1441008123,0,196608,0
202,"TrapTriggerArcaneSurgeHigh",0,0,0,[11455],[1],"Arcane Traps","Pièges arcaniques","Arkane Fallen","アーケイントラップ","비전 덫","Armadilhas Arcanas","Колдовские ловушки","Trampas arcanas","Arcane Traps","秘能陷阱","",918960349,992229597,983054557,763640029,770980061,952252637,949369053,971782365,918436061,741226717,0,196608,0
203,"LeechLow",0,0,0,[105],[200],"Lesser Leech","Drain mineur","Geringerer Raub","リーチ（小）","하위 흡수","Roubar Menor","Малое похищение","Absorción menor","Lesser Leech","低階偷取","",1807515010,1972141442,1956412802,1514569090,1517059458,1872264578,1909882242,1923906946,1806990722,1454931330,0,65536,0
204,"LeechMid",0,0,0,[105],[400],"Leech","Drain","Raub","リーチ","흡수","Roubar","Похищение","Absorción","Leech","偷取","",1807486120,1972112552,1956383912,1514540200,1517030568,1872235688,1909853352,1923878056,1806961832,1454902440,0,131072,0
205,"LeechHigh",0,0,0,[105],[600],"Greater Leech","Drain majeur","Größerer Raub","リーチ（大）","상위 흡수","Roubar Maior","Большое похищение","Absorción mayor","Greater Leech","高階偷取","",1807524636,1972151068,1956422428,1514578716,1517069084,1872274204,1909891868,1923916572,1807000348,1454940956,0,196608,0
206,"TrapMineThrowSpeedLow",0,0,0,"[312,1837]","[15,15]","Lesser Throwing Speed","Vitesse de jet mineure","Geringere Wurfgeschwindigkeit","投擲スピード（小）","하위 투척 속도","Velocidade de Arremesso Menor","Малое ускорение броска","Velocidad de lanzamiento menor","Lesser Throwing Speed","低階投擲速度",5,918978052,992247300,983072260,763657732,770997764,952270340,949386756,971800068,918453764,741244420,0,65536,0
207,"TrapMineThrowSpeedMid",0,0,0,"[312,1837]","[30,30]","Throwing Speed","Vitesse de jet","Wurfgeschwindigkeit","投擲スピード","투척 속도","Velocidade de Arremesso","Ускорение броска","Velocidad de lanzamiento","Throwing Speed","投擲速度",5,918949257,992218505,983043465,763628937,770968969,952241545,949357961,971771273,918424969,741215625,0,131072,0
208,"TrapMineThrowSpeedHigh",0,0,0,"[312,1837]","[40,40]","Greater Throwing Speed","Vitesse de jet majeure","Größere Wurfgeschwindigkeit","投擲スピード（大）","상위 투척 속도","Velocidade de Arremesso Maior","Большое ускорение броска","Velocidad de lanzamiento mayor","Greater Throwing Speed","高階投擲速度",5,919004730,992273978,983098938,763684410,771024442,952297018,949413434,971826746,918480442,741271098,0,196608,0
209,"TrapMineDamageLow",0,0,0,"[3018,14537]","[15,-25]","Lesser Trap and Mine Damage","Dégâts des Mines et des Pièges mineurs","Geringerer Fallen- und Minenschaden","トラップ・マインダメージ（小）","하위 덫과 지뢰 피해","Dano de Armadilha e Mina Menor","Малый урон ловушек и мин","Daño de trampas y minas menor","Lesser Trap and Mine Damage","低階陷阱和地雷傷害",11,1854194466,2020262690,2006369058,1554170658,1555481378,1922482978,1957872418,1975173922,1853670178,1492304674,0,65536,0
210,"TrapMineDamageMid",0,0,0,"[3018,14537]","[20,-25]","Trap and Mine Damage","Dégâts des Mines et des Pièges","Fallen- und Minenschaden","トラップ・マインダメージ","덫과 지뢰 피해","Dano de Armadilha e Mina","Урон ловушек и мин","Daño de trampas y minas","Trap and Mine Damage","陷阱和地雷傷害",11,1854175683,2020243907,2006350275,1554151875,1555462595,1922464195,1957853635,1975155139,1853651395,1492285891,0,131072,0
211,"TrapMineDamageHigh",0,0,0,"[3018,14537]","[30,-25]","Greater Trap and Mine Damage","Dégâts des Mines et des Pièges majeurs","Größerer Fallen- und Minenschaden","トラップ・マインダメージ（大）","상위 덫과 지뢰 피해","Dano de Armadilha e Mina Maior","Большой урон ловушек и мин","Daño de trampas y minas mayor","Greater Trap and Mine Damage","高階陷阱和地雷傷害",11,1854203591,2020271815,2006378183,1554179783,1555490503,1922492103,1957881543,1975183047,1853679303,1492313799,0,196608,0
212,"TrapChargeGenHigh",0,0,0,[3907],[40],"Charged Traps","Pièges galvanisants","Aufgeladene Fallen","チャージドトラップ","충전된 덫","Armadilhas Carregadas","Заряженные ловушки","Trampas cargadas","Charged Traps","充能陷阱","",1883116505,2052592601,2037126105,1579815897,1579553753,1953240025,1986925529,2005013465,1882592217,1515852761,0,196608,0
