"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","BestiaryRecipeComponentKeys","Notes","Notes (French)","Notes (German)","Notes (Japanese)","Notes (Korean)","Notes (Portuguese)","Notes (Russian)","Notes (Spanish)","Notes (Thai)","Notes (Traditional Chinese)","Category","bool_56","Achievements","bool_73","i32_74","i32_78","GameMode","FlaskMod"
101,"EinharMasterCraft17HardMode","Fangjaw Talisman","un Talisman Mâchecrocs","Reißzahnkiefer-Talisman","牙顎のタリスマン","송곳니턱 부적","Talismã da Mandíbula DentadaTalismã da Mandíbula Dentada","Талисман клыкастика","Talismán de fauces de colmillos","Fangjaw Talisman","齒鯊魔符",[19],"","","","","","","","","","",16,"",[],1,0,1,2,""
102,"EinharMasterCraft18HardMode","Wereclaw Talisman","un Talisman de Griffe-garou","Werklaue-Talisman","人狼爪のタリスマン","변신자발톱 부적","Talismã da Garra do Licantropo","Талисман когтистого оборотня","Talismán de zarpas","Wereclaw Talisman","亡爪魔符",[21],"","","","","","","","","","",16,"",[],1,0,1,2,""
103,"EinharMasterCraft19HardMode","Monkey Twins Talisman","un Talisman des Jumeaux simiesques","Affenzwilling-Talisman","双猿のタリスマン","쌍둥이 원숭이 부적","Talismã dos Gêmeos Macacos","Талисман близнецов-обезьян","Talismán de monos gemelos","Monkey Twins Talisman","雙猴魔符",[13],"","","","","","","","","","",16,"",[],1,0,1,2,""
104,"EinharMasterCraft20HardMode","Three Hands Talisman","un Talisman des Trois mains","Klauentrio-Talisman","三つ手のタリスマン","세 개의 손 부적","Talismã das Três Mãos","Талисман трёх рук","Talismán de tres manos","Three Hands Talisman","三手魔符",[22],"","","","","","","","","","",16,"",[],1,0,1,2,""
105,"EinharMasterCraft21HardMode","Longtooth Talisman","un Talisman Longuedents","Langzahn-Talisman","長い歯のタリスマン","긴 이빨 부적","Talismã do Dente Longo","Талисман длиннозуба","Talismán de diente largo","Longtooth Talisman","長牙魔符",[12],"","","","","","","","","","",16,"",[],1,0,1,2,""
106,"EinharMasterCraft22HardMode","Rotfeather Talisman","un Talisman de la Plume putride","Faulfeder-Talisman","腐羽のタリスマン","썩은 깃털 부적","Talismã da Pena Apodrecida","Талисман перогнильца","Talismán de pluma podrida","Rotfeather Talisman","死羽魔符",[8],"","","","","","","","","","",16,"",[],1,0,1,2,""
107,"EinharMasterCraft23HardMode","Three Rat Talisman","un Talisman des Trois rats","Rattentrio-Talisman","三匹のネズミのタリスマン","세 마리 쥐 부적","Talismã dos Três Ratos","Талисман трёх крыс","Talismán de tres ratas","Three Rat Talisman","三鼠魔符",[9],"","","","","","","","","","",16,"",[],1,0,1,2,""
108,"EinharMasterCraft24HardMode","Avian Twins Talisman (Fire)","un Talisman des Jumeaux rapaces (feu)","Vogelzwilling-Talisman (Feuer)","双鳥のタリスマン（火）","쌍둥이 새 부적 (화염)","Talismã das Aves Gêmeas (Fogo)","Талисман пернатых близнецов (огонь)","Talismán de aves gemelas (fuego)","Avian Twins Talisman (ไฟ)","雙子魔符 (火焰)",[24],"","","","","","","","","","",16,"",[],1,0,1,2,""
109,"EinharMasterCraft25HardMode","Avian Twins Talisman (Lightning)","un Talisman des Jumeaux rapaces (foudre)","Vogelzwilling-Talisman (Blitz)","双鳥のタリスマン（雷）","쌍둥이 새 부적 (번개)","Talismã das Aves Gêmeas (Raio)","Талисман пернатых близнецов (молния)","Talismán de aves gemelas (rayo)","Avian Twins Talisman (สายฟ้า)","雙子魔符 (閃電)",[15],"","","","","","","","","","",16,"",[],1,0,1,2,""
110,"EinharMasterCraft26HardMode","Avian Twins Talisman (Cold)","un Talisman des Jumeaux rapaces (froid)","Vogelzwilling-Talisman (Kälte)","双鳥のタリスマン（冷気）","쌍둥이 새 부적 (냉기)","Talismã das Aves Gêmeas (Gelo)","Талисман пернатых близнецов (холод)","Talismán de aves gemelas (hielo)","Avian Twins Talisman (น้ำแข็ง)","雙子魔符 (冰冷)",[2],"","","","","","","","","","",16,"",[],1,0,1,2,""
111,"EinharMasterCraft27HardMode","Monkey Paw Talisman (Power)","un Talisman de la Patte simiesque (pouvoir)","Affenpfote-Talisman (Energie)","猿の手のタリスマン（パワー）","원숭이 발 부적 (권능)","Talismã da Pata de Macaco (Poder)","Талисман обезьяньей лапки (энергия)","Talismán de pata de mono (poder)","Monkey Paw Talisman (Power)","雙子魔符 (暴擊)",[3],"","","","","","","","","","",16,"",[],1,0,1,2,""
112,"EinharMasterCraft28HardMode","Monkey Paw Talisman (Frenzy)","un Talisman de la Patte simiesque (frénésie)","Affenpfote-Talisman (Raserei) ","猿の手のタリスマン（フレンジー）","원숭이 발 부적 (격분)","Talismã da Pata de Macaco (Frenesi)","Талисман обезьяньей лапки (ярость)","Talismán de pata de mono (frenesí)","Monkey Paw Talisman (Frenzy)","雙子魔符 (狂怒)",[7],"","","","","","","","","","",16,"",[],1,0,1,2,""
113,"EinharMasterCraft29HardMode","Monkey Paw Talisman (Endurance)","un Talisman de la Patte simiesque (endurance)","Affenpfote-Talisman (Widerstand) ","猿の手のタリスマン（エンデュランス）","원숭이 발 부적 (인내)","Talismã da Pata de Macaco (Tolerância)","Талисман обезьяньей лапки (выносливость)","Talismán de pata de mono (aguante)","Monkey Paw Talisman (Endurance)","雙子魔符 (耐力)",[35],"","","","","","","","","","",16,"",[],1,0,1,2,""
114,"EinharMasterCraft30HardMode","from an Amulet into a Talisman","une Amulette en un Talisman","von einem Amulett in einen Talisman","アミュレットをタリスマンに変換","목걸이에서 부적으로","de um Amuleto para um Talismã","из амулета в талисман","de un amuleto a un talismán","จาก สร้อย ให้เป็น สร้อยเครื่องราง","隨機 1 組堆疊 5 個的通貨",[20],"Does not work on Influenced items","Ne fonctionne pas sur les Objets Influencés","Funktioniert nicht mit beeinflussten Gegenständen","インフルエンスアイテムには適用できない","영향을 받은 아이템에는 적용 불가","Não funciona com itens Influenciados","Не работает с предметами с влиянием","No funciona en objetos influenciados","ไม่สามารถใช้งานกับไอเทมที่มีอิทธิพลได้","聖甲蟲為同類型",6,"",[],"",0,1,2,""
115,"EinharMasterCraft31HardMode","Of a Magic Item","d'un Objet magique","eines magischen Gegenstands","マジックアイテム","마법 아이템","De um Item Mágico","Волшебного предмета","De un objeto mágico","ของไอเทมเมจิก","的魔法物品",[36],"","","","","","","","","","",4,"",[],"",0,1,2,""
116,"EinharMasterCraft32HardMode","To have an Implicit Modifier","et lui donner un Modificateur Implicite","und fügt einen impliziten Modifikator hinzu","暗黙モッドを1個付与","고정 속성을 갖도록","Para ter um modificador de implícito","чтобы получить собственное свойство","para que tenga un modificador implícito","ให้มี ม็อดแฝง 1 อย่าง","擁有一條固定詞綴",[28],"","","","","","","Работает только на доспехах и оружии","","","",5,"",[],"",0,1,2,""
117,"EinharMasterCraft33HardMode","Into Another Random Unique Item","en un autre Objet unique au hasard","in einen anderen zufälligen einzigartigen Gegenstand","他のユニークアイテムに変換","다른 무작위 고유 아이템으로","Em Outro Item Único Aleatório","В другой случайный уникальный предмет","en otro objeto único aleatorio","เป็นไอเทมยูนิคแบบสุ่ม","變成其他隨機傳奇物品",[27],"","","","","","","","","","",9,"",[],"",0,1,2,""
118,"EinharMasterCraft34HardMode","Twice","Deux fois","Doppelt","ダブルコラプト","2회","Duas Vezes","Дважды","Doblemente","สองครั้ง","兩次","[28,27]","","","","","","","","","","",5,"",[],"",0,2,2,""
119,"EinharMasterCraft35HardMode","to Farrul's Den","la Tanière de Farrul","zu Farruls Höhle","ファルウルの巣穴","페룰의 굴","Até o Covil de Farrul","в берлогу Фаррул","a la Guarida de Farrul","ไปยัง ถ้ำสัตว์ของฟาร์รุล","到費爾羅的巢窟",[0],"","","","","","","","","","",12,"",[],"",0,1,2,""
120,"EinharMasterCraft36HardMode","to Saqawal's Roost","le Perchoir de Saqawal","zu Saqawals Schlafplatz","サカワルのねぐら","사카왈의 보금자리","Até o Puleiro de Saqawal","в гнездо Сакаваля","al Nido de Saqawal","ไปยัง คอนของซาคาวาล","到斯卡沃的棲地",[17],"","","","","","","","","","",12,"",[],"",0,1,2,""
121,"EinharMasterCraft37HardMode","to Fenumus' Lair","l'Antre de Fénumus","zu Fenumus Versteck","フィヌムスの巣","페누무스의 소굴","Até o Covil de Fenumus","в логово Фенумы","a la Madriguera de Fenumus","ไปยัง ถ้ำมืดของเฟนูมัส","到菲恩絲的獸穴",[25],"","","","","","","","","","",12,"",[],"",0,1,2,""
122,"EinharMasterCraft38HardMode","to Craiceann's Cove","la Crique de Craïcéann","zu Craiceanns Bucht","クレイシアンの入り江","크라칸의 만","Até a Alcova de Craiceann","в грот Краценна","a la Caleta de Craiceann","ไปยัง ถ้ำริมน้ำของเครเชียนน์","到奎爾珊的澳口",[34],"","","","","","","","","","",12,"",[],"",0,1,2,""
123,"EinharMasterCraft39HardMode","Level 20 Aspect of the Cat skill","l'aptitude Aspect du Félin (niveau 20)","Fertigkeit 'Aspekt der Katze', Stufe 20","レベル20猫のアスペクト","20레벨 고양이의 위상 스킬","Habilidade Aspecto do Gato Nível 20","умение Дух кошки 20 уровня","Habilidad Aspecto del gato de nivel 20","สกิล จิตวิญญาณแมว (Aspect of the Cat) เลเวล 20","傲貓祝福技能",[107],"","","","","","","","","","",13,"",[],1,0,1,2,""
124,"EinharMasterCraft40HardMode","Level 20 Aspect of the Avian skill","l'aptitude Aspect du Rapace (niveau 20)","Fertigkeit 'Aspekt des Vogels', Stufe 20","レベル20鳥のアスペクト","20레벨 새의 위상 스킬","Habilidade Aspecto da Ave Nível 20","умение Дух птицы 20 уровня","Habilidad Aspecto del ave de nivel 20","สกิล จิตวิญญาณนก (Aspect of the Avian) เลเวล 20","飛羽祝福技能",[108],"","","","","","","","","","",13,"",[],1,0,1,2,""
125,"EinharMasterCraft41HardMode","Level 20 Aspect of the Spider skill","l'aptitude Aspect de l'Araignée (niveau 20)","Fertigkeit 'Aspekt der Spinne', Stufe 20","レベル20蜘蛛のアスペクト","20레벨 거미의 위상 스킬","Habilidade Aspecto da Aranha Nível 20","умение Дух паука 20 уровня","Habilidad Aspecto de la araña de nivel 20","สกิล จิตวิญญาณแมงมุม (Aspect of the Spider) เลเวล 20","毒蛛祝福技能",[109],"","","","","","","","","","",13,"",[],1,0,1,2,""
126,"EinharMasterCraft42HardMode","Level 20 Aspect of the Crab skill","l'aptitude Aspect du Crabe (niveau 20)","Fertigkeit 'Aspekt des Krebses', Stufe 20","レベル20蟹のアスペクト","20레벨 게의 위상 스킬","Habilidade Aspecto do Caranguejo Nível 20","умение Дух краба 20 уровня","Habilidad Aspecto del cangrejo de nivel 20","สกิล จิตวิญญาณปู (Aspect of the Crab) เลเวล 20","蟹將祝福技能",[110],"","","","","","","","","","",13,"",[],1,0,1,2,""
127,"EinharMasterCraftMorrigan1","Level 30 Aspect of the Cat skill","l'aptitude Aspect du Félin (niveau 30)","Fertigkeit 'Aspekt der Katze', Stufe 30","レベル30猫のアスペクトスキル","30레벨 고양이의 위상 스킬","Habilidade Aspecto do Gato Nível 30","умение Дух кошки 30 уровня","Habilidad Aspecto del gato de nivel 30","สกิล จิตวิญญาณแมว (Aspect of the Cat) เลเวล 30","等級 30 傲貓祝福技能","[107,111]","","","","","","","","","","",13,"",[],"",0,2,1,""
128,"EinharMasterCraftMorrigan2","Level 30 Aspect of the Avian skill","l'aptitude Aspect du Rapace (niveau 30)","Fertigkeit 'Aspekt des Vogels', Stufe 30","レベル30鳥のアスペクトスキル","30레벨 새의 위상 스킬","Habilidade Aspecto da Ave Nível 30","умение Дух птицы 30 уровня","Habilidad Aspecto del ave de nivel 30","สกิล จิตวิญญาณนก (Aspect of the Avian) เลเวล 30","等級 30 飛羽祝福技能","[108,111]","","","","","","","","","","",13,"",[],"",0,2,1,""
129,"EinharMasterCraftMorrigan3","Level 30 Aspect of the Spider skill","l'aptitude Aspect de l'Araignée (niveau 30)","Fertigkeit 'Aspekt der Spinne', Stufe 30","レベル30蜘蛛のアスペクトスキル","30레벨 거미의 위상 스킬","Habilidade Aspecto da Aranha Nível 30","умение Дух паука 30 уровня","Habilidad Aspecto de la araña de nivel 30","สกิล จิตวิญญาณแมงมุม (Aspect of the Spider) เลเวล 30","等級 30 毒蛛祝福技能","[109,111]","","","","","","","","","","",13,"",[],"",0,2,1,""
130,"EinharMasterCraftMorrigan4","Level 30 Aspect of the Crab skill","l'aptitude Aspect du Crabe (niveau 30)","Fertigkeit 'Aspekt des Krebses', Stufe 30","レベル30蟹のアスペクトスキル","30레벨 게의 위상 스킬","Habilidade Aspecto do Caranguejo Nível 30","умение Дух краба 30 уровня","Habilidad Aspecto del cangrejo de nivel 30","สกิล จิตวิญญาณปู (Aspect of the Crab) เลเวล 30","等級 30 蟹將祝福技能","[110,111]","","","","","","","","","","",13,"",[],"",0,2,1,""
131,"EinharMasterCraftMorrigan5","To a Magic Item","en un Objet magique","Auf einen magischen Gegenstand","マジックアイテム","마법 아이템으로","Para um Item Mágico","в волшебный предмет","a un objeto mágico","ให้เป็นไอเทมเมจิก","至 1 個魔法物品","[36,111]","","","","","","","","","","",17,"",[],"",0,2,1,""
132,"EinharMasterCraftMorrigan6","Into Three Items, with Two Mods on Each Item","en trois Objets, chacun ayant deux mods","In drei Gegenstände, mit zwei Modifikatoren für jeden Gegenstand","それぞれ2個のモッドを持つ3個のアイテムにスプリット","각각 속성이 2개 부여된 아이템 3개로","Para Três Itens, com Dois Mods em Cada Item","на три предмета с двумя свойствами на каждом предмете","en tres objetos, con dos mods. en cada objeto","ให้เป็น 3 ชิ้น แต่ละไอเทมจะมีม็อด 2 อย่าง","至 3 個物品，且每個物品帶有 2 個詞綴","[24,111]","Does not work on Influenced or Split items","Ne fonctionne pas sur les Objets Influencés ou Scindés","Funktioniert nicht mit beeinflussten oder geteilten Gegenständen","インフルエンスアイテムおよびスプリットアイテムには適用できない","영향을 받은 아이템 또는 분할된 아이템에는 적용 불가","Não funciona com itens Influenciados ou Divididos","Не работает с предметами с влиянием","No funciona en objetos influenciados ni divididos","ไม่สามารถใช้งานกับไอเทมที่มีอิทธิพลหรือไอเทมที่ถูกแยกได้","勢力或分裂之物無法套用",8,"",[],"",0,2,1,""
133,"EinharMasterCraftMorrigan7","to Have Maximum Possible Links","pour avoir le nombre maximal de liens possible","für die maximale Anzahl an verbundenen Fassungen","可能な最大リンク数","연결부 개수가 최대가 되도록","para Ter o Máximo Possível de Conexões","чтобы получить максимально возможное количество связей","para que tenga los máximos vínculos posibles","ให้มี จำนวนเชื่อม สูงสุดเท่าที่จะเป็นไปได้","擁有最大可能連結","[31,111]","","","","","","","","","","",18,"",[],"",0,2,1,""
134,"EinharMasterCraftMorrigan8","to Have Maximum Possible Number of Sockets","pour avoir le nombre maximal de châsses possible","für die maximale Anzahl an Fassungen","可能な最大ソケット数","홈 개수가 최대가 되도록","para Ter o Máximo Possível de Encaixes","чтобы получить максимально возможное количество гнезд","para que tenga la cantidad máxima de engarces posibles","ให้มี จำนวนรู สูงสุดเท่าที่จะเป็นไปได้","擁有最大可能插槽數","[32,111]","","","","","","","","","","",18,"",[],"",0,2,1,""
135,"EinharMasterCraftMorrigan1HardMode","Level 30 Aspect of the Cat skill","l'aptitude Aspect du Félin (niveau 30)","Fertigkeit 'Aspekt der Katze', Stufe 30","レベル30猫のアスペクトスキル","30레벨 고양이의 위상 스킬","Habilidade Aspecto do Gato Nível 30","умение Дух кошки 30 уровня","Habilidad Aspecto del gato de nivel 30","สกิล จิตวิญญาณแมว (Aspect of the Cat) เลเวล 30","等級 30 傲貓祝福技能","[107,111]","","","","","","","","","","",13,"",[],1,0,2,2,""
136,"EinharMasterCraftMorrigan2HardMode","Level 30 Aspect of the Avian skill","l'aptitude Aspect du Rapace (niveau 30)","Fertigkeit 'Aspekt des Vogels', Stufe 30","レベル30鳥のアスペクトスキル","30레벨 새의 위상 스킬","Habilidade Aspecto da Ave Nível 30","умение Дух птицы 30 уровня","Habilidad Aspecto del ave de nivel 30","สกิล จิตวิญญาณนก (Aspect of the Avian) เลเวล 30","等級 30 飛羽祝福技能","[108,111]","","","","","","","","","","",13,"",[],1,0,2,2,""
137,"EinharMasterCraftMorrigan3HardMode","Level 30 Aspect of the Spider skill","l'aptitude Aspect de l'Araignée (niveau 30)","Fertigkeit 'Aspekt der Spinne', Stufe 30","レベル30蜘蛛のアスペクトスキル","30레벨 거미의 위상 스킬","Habilidade Aspecto da Aranha Nível 30","умение Дух паука 30 уровня","Habilidad Aspecto de la araña de nivel 30","สกิล จิตวิญญาณแมงมุม (Aspect of the Spider) เลเวล 30","等級 30 毒蛛祝福技能","[109,111]","","","","","","","","","","",13,"",[],1,0,2,2,""
138,"EinharMasterCraftMorrigan4HardMode","Level 30 Aspect of the Crab skill","l'aptitude Aspect du Crabe (niveau 30)","Fertigkeit 'Aspekt des Krebses', Stufe 30","レベル30蟹のアスペクトスキル","30레벨 게의 위상 스킬","Habilidade Aspecto do Caranguejo Nível 30","умение Дух краба 30 уровня","Habilidad Aspecto del cangrejo de nivel 30","สกิล จิตวิญญาณปู (Aspect of the Crab) เลเวล 30","等級 30 蟹將祝福技能","[110,111]","","","","","","","","","","",13,"",[],1,0,2,2,""
139,"EinharMasterCraftMorrigan5HardMode","To a Magic Item","en un Objet magique","Auf einen magischen Gegenstand","マジックアイテム","마법 아이템으로","Para um Item Mágico","в волшебный предмет","a un objeto mágico","ให้เป็นไอเทมเมจิก","至 1 個魔法物品","[36,111]","","","","","","","","","","",17,"",[],"",0,2,2,""
