"rownum","Id","SupportCount","PossibleSupports","SecondaryGrantedEffect","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","i32_80","i32_84","SkillFamily","HASH16","HouseIcon"
241,9565,2,"[90,91,92,6,7,77,78,79,232,233,234,120,121,122,191,192,193,194,195,199]","","Infernal Blow of Immolation","Coup infernal de l'Immolation","Höllenschlag der Selbstverbrennung","焼身のインファーナルブロウ","제물의 지옥불 맹타","Golpe Infernal de Imolação","Удар преисподней самосожжения","Golpe infernal de inmolación","ระเบิดอเวจีแห่งการเผาทิ้ง","煉獄之擊．自焚","Applies a charged debuff to themselves the first time the mercenary hits an enemy with this skill. Upon reaching 6 charges, or charges expiring, the charged debuff is removed to damage nearby enemies.","Une attaque qui inflige aux mercenaires un effet néfaste cumulable chaque première fois qu'ils touchent un ennemi avec cette aptitude. Lorsque l'effet néfaste cumulable est cumulé 6 fois ou expire, il est retiré et inflige des dégâts aux ennemis à proximité.","Wendet eine geladene Schwächung auf sich selbst an, wenn der Söldner das erste Mal einen Gegner mit dieser Fertigkeit trifft. Sobald die Schwächung 6 Ladungen erreicht oder diese auslaufen, wird die geladene Schwächung entfernt und verursacht Schaden bei Gegnern im Umkreis.","このスキルで敵に最初にヒットを与えた時に傭兵自身にチャージ状態のデバフを与える。チャージ状態のデバフが6スタックになるか、デバフの効果時間が切れるとデバフは取り除かれ、周囲の敵にダメージを与える。","용병이 이 스킬로 적을 처음 명중시키면 용병 자신에게 충전된 디버프를 적용합니다. 충전이 6회가 되거나 충전이 만료되면 충전된 디버프를 제거하고 주변의 적에게 피해를 줍니다.","Aplica uma penalidade carregada em si mesmo na primeira vez que o mercenário atinge um inimigo com esta habilidade. Ao atingir 6 cargas ou as cargas se dissiparem, a penalidade carregada é removida, causando dano aos inimigos próximos.","Совершает атаку оружием, накладывая на наёмника заряд отрицательного эффекта, когда он впервые наносит удар по врагу этим умением. При достижении 6 зарядов или истечении их времени действия, отрицательный эффект пропадает, нанося урон основной цели и другим врагам поблизости.","Se aplica un efecto nocivo cargado a sí mismo la primera vez que el mercenario golpea a un enemigo con esta habilidad. Cuando alcanza 6 cargas o las cargas expiran, el efecto nocivo cargado se elimina para infligir daño a los enemigos cercanos.","Infernal Blow of Immolation\r\nสร้างดีบัฟแบบมีระดับขั้นต่อตัวเขาเองในครั้งแรกที่ทหารรับจ้างใช้สกิลนี้ปะทะศัตรู เมื่อดีบัฟมีระดับครบ 6 ชาร์จหรือหมดเวลา ดีบัฟที่มีชาร์จจะถูกกำจัดเพื่อจะสร้างความเสียหายต่อศัตรูที่อยู่ใกล้","該傭兵以此技能第一次擊中敵人時會對自己施加一個堆疊的減益效果。達到 6 層或堆疊消失時，堆疊減益效果會去除，對附近敵人造成傷害。",12,100,"",17147,""
242,3353,0,"[49,50,51,65,66,67,159]","","Inflame","Enflammement","Flammenverschlungen","インフレイム","타오르기","Inflamar","Возгорание","Inflamación","โกรธเป็นฟืนไฟ","燃燒之體","Become enraged and cloaked in flame, gaining a percentage of physical damage as extra fire as well as movement speed and attack speed for a short duration.","Devient enragé et enveloppé de flammes pendant une courte durée, rajoutant un pourcentage de dégâts physiques sous forme de dégâts de feu et gagnant de la vitesse de déplacement et d'attaque.","Werdet wütend und von Flammen eingehüllt, verursacht für kurze Dauer einen Teil des physischen Schadens als zusätzlichen Feuerschaden und erhaltet Bewegungs- und Angriffsgeschwindigkeit.","激怒し炎に包まれ、物理ダメージの一部を追加の火ダメージとして獲得し、また短時間、移動スピードおよびアタックスピードを獲得する。","격앙되고 불길에 휩싸여, 짧은 시간 동안 물리 피해의 일부를 추가 화염 피해로 획득하고 이동 속도와 공격 속도도 획득합니다.","Enfureça-se e seja coberto por chamas, ganhando uma porcentagem de dano físico como dano de fogo adicional, além de velocidade de movimento e de ataque por um breve período.","Впадает в ярость и становится объят пламенем, нанося процент от физического урона в виде дополнительного урона от огня и кратковременно получая скорость атаки и передвижения.","Se enfurece y se envuelve en llamas para ganar un porcentaje del daño físico como daño de fuego extra así como velocidad de movimiento y velocidad de ataque durante una breve duración.","Inflame\r\nเดือดดาลและอาบเพลิงเพื่อนำความเสียหาย กายภาพ ส่วนหนึ่งไปเสริมเป็น ไฟ และได้รับความเร็วในการเคลื่อนที่และโจมตีเป็นระยะเวลาสั้นๆ","進入激怒狀態，以火焰包覆自己，獲得相當於物理傷害一定百分比的額外火焰傷害，並獲得移動速度和攻擊速度，持續一小段時間。",12,100,"",8295,"Art/2DArt/SkillIcons/HouseKeitaSkill.dds"
243,1507,2,"[90,91,92,0,1,6,7,77,78,79,232,233,234,142,171,172,173,6,7,193,194,195,199]","","Flamebolt Strike","Frappe incandescente","Flammenbolzenschlag","フレイムボルトストライク","화염살 타격","Golpe de Chamas","Пламенный удар","Golpe de descarga de llamas","ฟาดลูกไฟ","炎彈打擊","Swings with fiery energies. In addition to converting some physical damage to fire damage, the stored energy is released from the weapon as projectiles as you strike, flying out to hit farther-away enemies. The projectiles cannot miss if the melee attack hit a target.","Frappe avec des énergies enflammées. En plus de convertir une partie des dégâts physiques en dégâts de feu, l’énergie emmagasinée est libérée par l’arme sous forme de projectiles lorsque vous frappez, qui s’envolent vers les ennemis les plus éloignés. Les projectiles ne peuvent pas manquer leur cible si l’attaque de mêlée a touché.","Schwingt feurige Energie. Zusätzlich zur Umwandlung eines Teils des physischen Schadens in Feuerschaden wird die in der Waffe gespeicherte Energie mit jedem Schlag in Form von Projektilen abgefeuert, die weiter entfernte Gegner treffen. Die Projektile können nicht verfehlen, wenn der Nahkampfangriff ein Ziel getroffen hat.","炎のエネルギーと共にスイングする。物理ダメージの一部が火ダメージに変換され、攻撃をする際に武器に蓄えられたエネルギーが投射物として放たれ、遠くの敵に飛んでいく。近接攻撃が対象に命中した場合、投射物も対象を外すことはない。","타오르는 에너지를 띠고 무기를 휘두릅니다. 물리 피해의 일부를 화염 피해로 전환하는 동시에, 타격 시 저장된 에너지는 여러 투사체로 방출되어 멀리 떨어진 적들에게 날아가 명중합니다. 근접 공격이 대상에게 명중할 경우 투사체는 빗나가지 않습니다.","Golpeia com energias flamejantes. Além de converter parte do dano físico em dano de fogo, a energia armazenada é liberada na forma de projéteis que, se o ataque corpo a corpo for bem-sucedido, sempre atingem os inimigos mais distantes.","Совершает удар, наполненный энергией огня. При этом часть физического урона становится уроном от огня. Кроме того, при ударах вложенная в оружие энергия становится снарядами, которые летят вперед и поражают врагов, стоящих поодаль. Если удар достиг цели, созданные им снаряды тоже не промахиваются.","Gira con energías ardientes. Además de convertir una parte del daño físico en daño de fuego, la energía almacenada se libera del arma en forma de proyectiles cuando golpeas, volando para impactar a enemigos más lejanos. Los proyectiles no pueden fallar si el ataque cuerpo a cuerpo impacta a un objetivo.","Flamebolt Strike\r\nเหวี่ยงอาวุธด้วยพลังงานไฟ นอกจากการแปลงความเสียหาย กายภาพ ของคุณบางส่วนเป็น ไฟ แล้ว การฟาดของคุณจะปลดปล่อยพลังที่เก็บเอาไว้เป็นโพรเจกไทล์ ซึ่งจะพุ่งออกมาปะทะศัตรูที่อยู่ไกลออกไป หากการโจมตีประชิดปะทะเป้าหมายได้สำเร็จ โพรเจกไทล์ก็ไม่สามารถพลาดได้เช่นกัน","揮舞武器時發出熾烈之力。除了轉換一部分物理傷害為火焰傷害，儲存的能量會在你揮舞時從武器釋放投射物，襲擊遠方的敵人。若近戰攻擊擊中目標，投射物不能被躲避。",12,100,"",19178,""
244,4716,2,"[90,91,92,49,50,51,6,7,71,72,73,232,233,234,83,84,85]",4717,"Static Strike","Frappe électrique","Geladener Schlag","スタティックストライク","정전기 타격","Golpe Estático","Статичный разряд","Golpe de estática","ฟาดสายฟ้าสถิต","充能打擊","Attack with a melee weapon, gaining static energy for a duration if hitting an enemy. While statically charged, frequently hit a number of nearby enemies with beams, dealing attack damage.","Attaque avec une arme de mêlée, emmagasinant de l'énergie statique pendant une certaine durée si un ennemi est touché. Tant qu'elle est chargée statiquement, frappe fréquemment un certain nombre d'ennemis proches avec des rayons qui infligent des dégâts d'attaque.","Greift mit einer Nahkampfwaffe an und lädt für eine Dauer Energie auf, wenn ein Gegner getroffen wird. Im geladenen Zustand wird eine Anzahl von Gegnern im Umkreis wiederholt von Blitzen getroffen, die Angriffsschaden verursachen.","近接武器でアタックを行い、敵にヒットした場合、持続時間中静電気のエネルギーを得る。静電気のエネルギーを身につけているときは近くの多数の敵にビームをヒットさせ、アタックダメージを与える。","근접 무기로 적을 공격해, 명중 시 일정 시간 동안 정전기 에너지를 획득합니다. 정전기를 띤 상태에서는 수시로 주변의 여러 적에게 광선을 방출하여 피해를 줍니다.","Ataca com uma arma corpo a corpo e, ao atingir, ganha energia estática por um período. Com a carga ativa, lança raios que atingem vários inimigos próximos periodicamente, causando dano de ataque.","Атакует врагов оружием ближнего боя, получая статический заряд при нанесении удара по цели. Под действием статических зарядов будет поражать несколько ближайших врагов лучами, нанося урон от атаки.","Ataca con un arma cuerpo a cuerpo para ganar energía estática durante un tiempo si impacta a un enemigo. Mientras está estáticamente cargado, impacta frecuentemente a una cantidad de enemigos cercanos con haces que infligen daño de ataques.","Static Strike\r\nโจมตีศัตรูด้วย อาวุธประชิด ผู้โจมตีจะได้รับพลังสายฟ้าสถิตเป็นระยะเวลาหนึ่งหากสกิลนี้ปะทะศัตรู ขณะที่ผู้โจมตีมีสายฟ้าสถิต เขาจะปล่อยลำแสงปะทะศัตรูที่อยู่ใกล้จำนวนหนึ่งซ้ำๆ ซึ่งจะสร้างความเสียหาย โจมตี","以近戰武器攻擊，若擊中敵人的話便會獲得持續一段時間的充能。充能時，會頻繁地以光束打擊附近的多名敵人，造成攻擊傷害。",6,100,"",24931,""
245,5037,2,"[90,91,92,0,1,6,7,142,171,172,173,6,7,68,69,70,83,84,85,59,60,61,120,121,122,191,192,86,87,88]",5038,"Frost Blades","Lames de givre","Frostklingen","フロストブレード","서리 칼날","Lâminas Gélidas","Ледяные клинки","Filos de escarcha","มีดน้ำแข็ง","冰霜之刃","Attacks enemies with increased range, releasing icy blades from the first enemy hit which fly at other enemies.","Une attaque avec une portée accrue qui, en touchant les ennemis, libère des lames de glaces qui volent en direction d'autres ennemis.","Greift Gegner mit vergrößerter Reichweite an und entfesselt eisige Klingen, die vom ersten getroffenen Gegner auf andere Gegner geschleudert werden.","広い近接ストライク距離を持つアタックを敵に行い、最初に命中した敵から他の敵に向かって氷の刃を飛ばす。","공격 사거리가 늘어나며, 처음 타격당한 적에게서 얼음 칼날이 뚫고 나와 다른 적들에게 날아갑니다.","Ataca com mais alcance. O inimigo atingido lança lâminas gélidas que voam em direção a outros alvos.","Атакует врагов на расстоянии, выпуская из первого поражённого врага ледяные клинки, летящие в других врагов.","Ataca a los enemigos con alcance aumentado y lanza filos helados desde el primer enemigo impactado que vuelan hacia otros enemigos.","Frost Blades\r\nโจมตีศัตรูด้วยระยะที่เพิ่มขึ้น ปล่อยคมดาบน้ำแข็งจากศัตรูตัวแรกที่ถูกปะทะซึ่งจะพุ่งออกไปยังศัตรูตัวอื่น","以增加的範圍攻擊敵人，第一個被擊飛的敵人與其他敵人碰撞時釋放冰霜之刃。",1,100,"",22105,""
246,5161,2,"[90,91,92,0,1,6,7,142,68,69,70,83,84,85,59,60,61,0,120,121,122,89,191,192,1,83,84,85,86,87,88]",5162,"Wild Strike","Frappe déchaînée","Wilder Schlag","ワイルドストライク","사나운 타격","Golpe Selvagem","Шальной удар","Golpe salvaje","ฟาดอย่างบ้าคลั่ง","野性打擊","Strike enemies, converting physical damage to a random element. Depending on the element chosen, causes a fiery explosion, an arcing bolt of lightning, or an icy wave. The same element is not chosen twice in a row.","Frappe les ennemis, convertissant les dégâts physiques en dégâts d'un élément aléatoire. En fonction de l'élément choisi, cette attaque libère une explosion de feu, une chaîne de foudre ou une vague de glace. Le même élément ne peut pas être choisi deux fois de suite.","Schlägt Gegner und wandelt einen Teil des Schadens in ein zufälliges Element um. Je nach Element werden dann eine feurige Explosion, ein Bogenblitz oder eine Eiswelle freigesetzt. Es wird nicht dasselbe Element zweimal in Folge ausgewählt.","敵を攻撃し、物理ダメージをランダムな元素ダメージに変換する。変換された元素ダメージに応じて、炎の爆発、稲妻の放電または氷の波動のいずれかを放つ。このスキルは同じ元素が2回連続して選ばれることはない。","적들을 타격해, 물리 피해를 무작위의 원소 피해로 전환합니다. 선택된 원소에 따라 맹렬한 폭발이나 지직거리는 번개, 얼음 파도 등을 방출합니다. 연속해서 같은 원소 속성이 선택되지 않습니다.","Golpeia os inimigos, convertendo o dano físico em um elemento aleatório. Dependendo do elemento escolhido, libera uma explosão ardente, uma seta voltaica relampejante ou uma onda gélida. Não é possível repetir o mesmo elemento em ataques seguidos.","Атакует врагов, преобразуя физический урон в случайную стихию. В зависимости от выбранной стихии высвобождается огненный взрыв, волна холода или цепная молния. Одна и та же стихия не используется два раза подряд.","Golpea a los enemigos y convierte el daño físico en un elemento aleatorio. Luego, dependiendo del elemento elegido, libera una explosión ardiente, un arco de electricidad o una ola helada. No elige el mismo elemento dos veces seguidas.","Wild Strike\r\nฟาดศัตรูพร้อมแปลงความเสียหาย กายภาพ ไปเป็น ธาตุแบบสุ่ม แล้วปลดปล่อยพลังตามธาตุที่สุ่มได้ โดยจะเป็น ระเบิดไฟ, สายฟ้าชิ่ง หรือ คลื่นพลังน้ำแข็ง สกิลนี้จะไม่เลือกธาตุเดียวติดต่อกัน","打擊敵人，將部分物理傷害轉換為隨機的元素傷害。根據轉換成的元素釋放出爆破、閃電或冰霜。無法連續選擇相同的元素。",28,100,"",40957,""
247,12011,2,"[154,155,156,151,152,153,83,84,85,90,91,92,120,121,122,136,137,138,168,169,170]","","Spectral Helix","Spirale spectrale","Spektralhelix","スペクトラルヘリックス","영체 나선","Espiral Espectral","Призрачная спираль","Hélice espectral","เกลียวอาวุธเงา","靈體旋武","Throws a spectral melee weapon. It spins around while flying in a large spiral, damaging enemies in its path, and bouncing if it collides with walls.","Envoie une réplique spectrale d'une arme de mêlée. L'arme tournoie autour de vous en décrivant une spirale, frappant tous les ennemis sur son passage et rebondissant contre les murs avec lesquels elle entre en collision.","Wirft eine spektrale Nahkampfwaffe. Diese dreht sich im Flug in einer großen Spirale, verursacht an Gegnern in seiner Flugbahn Schaden und prallt ab, wenn sie mit Wänden kollidiert.","霊体の武器を投げる。コピーは回転しながら螺旋を描いて飛び、進路上の敵にダメージを与える。壁に衝突した場合、跳ね返る。","근접 무기의 형태 복제품을 투척합니다. 무기는 큰 나선을 그리면서 날면서 빙글빙글 돌아 경로에 있는 적들에게 피해를 주고, 벽에 충돌하면 튕겨 나옵니다.","Arremessa uma arma corpo a corpo espectral, que gira em uma grande espiral enquanto avança, causando dano aos inimigos atingidos e ricocheteando em paredes.","Бросает призрачное оружие ближнего боя. Вращаясь, оно летит по широкой спирали, нанося урон оказавшимся на пути врагам и отскакивая от стен.","Lanza un arma espectral cuerpo a cuerpo. El arma gira mientras vuela en forma de gran espiral, daña a los enemigos a su paso y rebota si golpea contra las paredes.","Spectral Helix\r\nขว้างร่างเงาของ อาวุธประชิด มันจะหมุนไปรอบๆ เป็นเกลียวขนาดใหญ่ สร้างความเสียหายต่อศัตรูระหว่างทาง และจะเด้งออกเมื่อมันกระทบกับกำแพง","投擲你的近戰武器的靈體。它以大螺旋型式飛行時會旋轉，對其路徑上的敵人造成傷害，並在與牆壁碰撞時彈射。",6,100,"",37916,""
248,4023,3,[],"","Herald of Ice","Héraut de la glace","Herold des Eises","ヘラルドオブアイス","얼음의 전령","Arauto Glacial","Вестник льда","Heraldo de hielo","สาสน์น้ำแข็ง","冰霜之捷","Grants a buff adding cold damage to spells and attacks. If you shatter an enemy, this skill will cause them to explode and deal AoE cold damage to enemies near them. This damage is not affected by modifiers to spell damage.","Octroie un effet bénéfique qui ajoute des dégâts de froid aux sorts et attaques. Si vous fracassez un ennemi gelé, il explose en infligeant des dégâts de zone de froid aux autres ennemis autour de lui. Ces dégâts ne sont pas affectés par les modificateurs de dégâts des sorts.","Gewährt eine Stärkung, die Zaubern und Angriffen Kälteschaden hinzufügt. Wenn Ihr einen Gegner zerschmettert, explodiert dieser und verursacht bei Gegnern im Umkreis Kälte-Wirkungsbereichsschaden. Modifikatoren für Zauberschaden wirken sich nicht auf diesen Schaden aus.","スペルとアタックに冷気ダメージを追加するバフを付与する。敵を粉砕した場合、このスキルにより敵は爆発し近くの敵に範囲攻撃の冷気範囲ダメージを与える。このダメージはスペルダメージのモッドの影響を受けない。","주문과 공격에 냉기 피해를 추가하는 버프를 부여합니다. 적을 박살내면 이 스킬이 해당 적을 폭발시켜 적들에게 범위 냉기 피해를 줍니다. 이 피해는 주문 피해 속성 부여에 영향을 받지 않습니다.","Concede um bônus que adiciona dano de gelo a magias e ataques. Se você estilhaçar um inimigo, esta habilidade fará com que ele exploda e cause dano em área de gelo aos inimigos próximos. Esse dano não é afetado por modificadores de dano de magia.","Дарует положительный эффект, добавляющий дополнительный урон от холода к атакам и чарам. Расколотые враги взрываются, нанося урон от холода по области стоящим рядом с ними врагам. На этот урон не действуют модификаторы урона от чар.","Otorga una bonificación que agrega daño de hielo a los hechizos y los ataques. Si haces añicos a un enemigo, esta habilidad hará que explote e inflija daño de hielo en área a los enemigos cercanos. A este daño no le afectan los modificadores de daño de hechizos.","Herald of Ice\r\nมอบบัฟที่จะเสริมความเสียหาย น้ำแข็ง ให้กับการโจมตีและเวท หากคุณทำให้ศัตรูแตกสลาย สกิลนี้จะทำให้มันระเบิดและสร้างความเสียหาย น้ำแข็ง พื้นที่ ต่อศัตรูที่อยู่ใกล้ ความเสียหายระเบิดนี้จะไม่ได้รับผลจากม็อดความเสียหาย เวท","對法術和攻擊賦予增益效果附加冰冷傷害。如果你粉碎敵人，該技能會使其爆炸，對附近敵人造成範圍冰冷傷害。該傷害不會受到法術傷害詞綴影響。",16,100,"",32807,""
249,11976,2,"[37,38,39,71,72,73,177,178,179,188,189,190,232,233,234,11,12,93,94,95,148,149,150,86,87,88]",11977,"Absolution","Absolution","Absolution","アブソリューション","면죄","Absolvição","Отпущение","Absolución","อภัยบาป","赦免","Damages enemies in an area, applying a debuff for a short duration. If a non-unique enemy dies while affected by the debuff, the corpse will be consumed to summon a Sentinel of Absolution for a secondary duration, or to refresh the duration and life of an existing one instead if you have the maximum number of them. ","Inflige des dégâts de zone et applique un effet néfaste aux ennemis pendant une courte durée. Si un ennemi non unique meurt en étant affecté par cet effet, son cadavre sera consommé et l'aptitude invoquera une Sentinelle de l'absolution ou, si vous êtes à votre maximum de Sentinelles de l'absolution, réinitialisera la durée et la vie de l'une d'entre elles à la place. Les Sentinelles persistent pendant une durée secondaire qui est plus longue que celle de l'effet néfaste initial.","Verursacht bei Gegnern im Umkreis Schaden und wendet für eine kurze Dauer eine Schwächung an. Wenn ein Gegner (einzigartige ausgenommen) unter dem Einfluss der Schwächung stirbt, wird seine Leiche verbraucht und für eine sekundäre Dauer ein Wächter der Absolution beschworen. Falls Ihr die maximale Anzahl von Wächtern erreicht habt, werden stattdessen die Dauer und das Leben eines bestehenden Wächters der Absolution erneuert. ","範囲内の敵にダメージを与え、一定時間デバフを付与する。デバフを受けている非ユニークの敵が死んだ場合、その死体が消費され長い副次的持続時間を持つ赦免のセンチネルを召喚させる。すでに最大数の赦免のセンチネルがいる場合、既存の赦免のセンチネルの持続時間とライフが更新される。","지역에 있는 적에게 피해를 주고 짧은 시간 동안 디버프를 적용합니다. 디버프의 영향을 받는 동안 비-고유 적이 죽으면, 해당 시신을 소모하여 2차 지속시간 동안 면죄의 파수꾼 1명이 소환됩니다. 이미 소환된 파수꾼의 수가 최대치라면 기존 파수꾼 1명의 지속시간과 생명력이 초기화됩니다.","Causa dano aos inimigos em uma área, aplicando uma penalidade por um breve período. Se um inimigo não único morrer com essa penalidade, seu corpo é consumido para invocar uma Sentinela da Absolvição por um período secundário, ou para renovar a duração e a vida de uma existente se você tiver o número máximo delas.","Наносит урон врагам в области, накладывая отрицательный эффект на короткий промежуток времени. Если неуникальный враг умирает, находясь под действием этого отрицательного эффекта, то его труп будет поглощён для призыва Стража отпущения на вторичный промежуток времени, либо для обновления времени существования и здоровья одного из уже призванных Стражей отпущения, если их количество достигло максимума.","Daña a los enemigos en un área y les aplica un efecto nocivo durante un corto período de tiempo. Si un enemigo que no es único muere mientras está bajo el efecto del efecto nocivo, su cadáver se consumirá para invocar a un Centinela de absolución durante un período de tiempo secundario, o bien se renovará la duración y la vida de un centinela ya activo si ya tienes la cantidad máxima de ellos.","Absolution\r\nสร้างความเสียหายต่อศัตรูในพื้นที่และสร้างดีบัฟระยะเวลาสั้นต่อศัตรู ศัตรูที่ไม่ใช่ยูนิคที่ตายขณะที่ติดดีบัฟนี้จะถูกกลืนกินศพเพื่อนำไปอัญเชิญ ทหารยามอภัยบาป 1 คนเป็นระยะเวลารอง หรือหากมีจำนวนสูงสุดแล้วก็จะคืนระยะเวลาคงเหลือและพลังชีวิตให้กับทหารยามที่มีอยู่","對一個區域內的敵人造成傷害，施加持續一小段時間的減益效果。如果非傳奇敵人在受減益效果影響期間死亡，會消耗其屍體來召喚赦免哨兵，另持續一段時間，或者若你的哨兵已達到數量上限，則改為刷新現有哨兵的持續時間和生命。",12,100,"",15611,""
250,11972,0,"[180,181,182,232,233,234,65,66,67,159]","","Battlemage's Cry","Cri du Mage de bataille","Schrei des Kampfmagiers","バトルメイジズクライ","전투마법사의 함성","Grito do Mago de Batalha","Клич боевого мага","Grito del mago de batalla","คำรามนักรบเวท","戰法戰吼","Performs a warcry, taunting nearby enemies to attack the user and exerting subsequent attacks. The user and nearby allies gain a buff that boosts critical strike chance.","Un cri de guerre qui stimule les prochaines attaques et provoque les ennemis à proximité, les obligeant à attaquer l'utilisateur. De plus, ce cri de guerre octroie un effet bénéfique à l'utilisateur et aux alliés à proximité qui améliore les chances de coup critique.","Entfesselt einen Kriegsschrei, der alle Gegner im Umkreis verspottet, wodurch sie den Charakter angreifen, und alle folgenden Angriffe potenziert. Der Nutzer und Verbündete im Umkreis erhalten eine Stärkung, die die Chance auf kritische Treffer erhöht.","ウォークライを行い、近くの敵を挑発し、使用者を攻撃させ、使用者のその後のアタックを奮起させる。使用者および周囲の味方のクリティカル率を強化するバフを付与する。","함성을 질러 주변의 적들을 도발하여 시전자를 공격하게 하고, 이어지는 공격에 전력을 다합니다. 시전자와 주변 동료들에게 치명타 확률을 올려 주는 버프를 부여합니다.","Esbraveja um clamor, desafiando inimigos próximos a atacar o usuário e impelindo ataques subsequentes. O usuário e os aliados próximos recebem um bônus que aumenta a chance de golpe crítico.","Издаёт боевой клич, провоцирующий ближайших врагов атаковать издавшего клич и улучшающий последующие атаки. Дарует положительный эффект, повышающий шанс критического удара.","Ejecuta un grito de guerra que provoca a los enemigos cercanos para que ataquen al usuario y optimiza los siguientes ataques. El usuario y los aliados cercanos obtienen una bonificación que potencia la probabilidad de golpe crítico.","Battlemage's Cry\r\nส่งเสียงคำรามเพื่อยั่วยุศัตรูที่อยู่ใกล้ให้มาโจมตีผู้ใช้ พร้อมกันนี้ก็ทำให้การโจมตีหลังจากนั้นทำไปด้วยความฮึกเหิม ผู้ใช้และเพื่อนที่อยู่ใกล้จะได้รับบัฟเพิ่มโอกาสคริติคอล","發出一道戰吼，嘲諷附近敵人，使他們攻擊施放者，並竭盡後續攻擊。 施放者和附近友方獲得一個提升暴擊率的增益效果。",24,100,"",37344,""
251,978,2,"[177,178,179,188,189,190,136,137,138,232,233,234,0,1,120,121,122,37,38,39,148,149,150]",979,"Raise Spectre of Transience","Réanimation en Spectre de la Fugacité","Schemen der Vergänglichkeit erwecken","一時性のスペクター蘇生","덧없음의 망령 소환","Invocar Espectro Impermanente","Сотворение бренного призрака","Levantar espectro de transitoriedad","ปลุกสเปคเตอร์แห่งความไม่จีรัง","喚醒幽魂．轉瞬","Raises a spectral version of a defeated foe as a temporary minion.","Réanime une version spectrale d'un ennemi vaincu sous forme de créature éphémère.","Beschwört die spektrale Version eines besiegten Gegners als temporäre Kreatur.","倒した敵の幽体を蘇生し、一定時間ミニオンとして戦いに参加させる。","죽은 적의 영혼을 불러들여 임시 소환수로 만듭니다.","Levanta uma versão espectral de um inimigo derrotado como um lacaio temporário.","Создаёт временную призрачную копию погибшего врага в качестве приспешника.","Levanta una versión espectral de un enemigo derrotado como un esbirro temporal.","Raise Spectre of Transience\r\nปลุก สเปคเตอร์ ของศัตรูที่พ่ายแพ้มาเป็น มิเนียนชั่วคราว","復甦一個擊敗敵人的靈體做為暫時召喚物。",28,100,"",50349,""
252,3665,3,[],3666,"Reinforce: Fallen Bishop","Renfort : Évêque déchu","Verstärken: Gefallener Bischof","援軍：堕落した司教","지원군: 몰락한 주교","Reforçar: Bispo Caído","Подкрепление: Падший капеллан","Reforzar: Obispo caído","กำลังเสริม: Fallen Bishop","增援：復甦者主教","Calls on a powerful undead clergyman which curses surrounding enemies.","Invoque un puissant clerc mort-vivant qui maudit les ennemis aux alentours.","Ruft einen mächtigen untoten Geistlichen herbei, der Gegner im Umkreis verflucht.","周囲の敵に呪いをかける強力な不死者の聖職者を召喚する。","주위 적들에게 저주를 거는 강력한 언데드 성직자를 부릅니다.","Convoca um poderoso clérigo morto-vivo que amaldiçoa os inimigos ao redor.","Призывает могущественного неупокоенного священника, проклинающего окружающих врагов.","Invoca a un poderoso clérigo no muerto que maldice a los enemigos circundantes.","Reinforce: Fallen Bishop\r\nเรียกพระอันเดดทรงพลังมาสาปศัตรูรอบตัว","呼叫一個強力不死牧師來詛咒周圍敵人。",28,100,"",4383,"Art/2DArt/SkillIcons/HouseAzadiSkill.dds"
253,3667,3,[],3668,"Reinforce: Fallen Emperor","Renfort : Empereur déchu","Verstärken: Gefallener Kaiser","援軍：堕落した皇帝","지원군: 몰락한 황제","Reforçar: Imperador Caído","Подкрепление: Падший император","Reforzar: Emperador caído","กำลังเสริม: Fallen Emperor","增援：復甦者皇帝","Calls on a long dead emperor to deliver brutal justice to deserving enemies.","Invoque un empereur mort depuis longtemps pour infliger une justice brutale aux ennemis méritants.","Ruft einen längst verstorbenen Kaiser herbei, der gegenüber verdienten Gegnern brutale Gerechtigkeit übt.","裁きに値する敵に苛烈な正義を下す遥か昔に死した皇帝を召喚する。","오래전 죽은 황제를 불러 적들에게 잔혹한 정의의 심판을 내립니다.","Invoca um imperador morto há tempos para impor uma justiça brutal aos inimigos que a merecem.","Призывает давно почившего императора, несущего жестокое правосудие заслужившим того врагам.","Invoca a un emperador que murió hace tiempo para entregar una justicia brutal a los enemigos que lo merecen.","Reinforce: Fallen Emperor\r\nเรียกจักรพรรดิที่สิ้นพระชนม์มาเนิ่นนานมาผดุงธรรมอย่างเหี้ยมโหดต่อศัตรูให้สาสม","呼叫一個已故多年的皇帝，給予敵人殘暴的制裁。",28,100,"",61523,"Art/2DArt/SkillIcons/HouseAzadiSkill.dds"
