"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Metadata","rid_24","NPCMasterKey","ShortName","ShortName (French)","ShortName (German)","ShortName (Japanese)","ShortName (Korean)","ShortName (Portuguese)","ShortName (Russian)","ShortName (Spanish)","ShortName (Thai)","ShortName (Traditional Chinese)","i32_64","NPCAudios1","NPCAudios2","HASH16","row_102","Portrait","DialogueStyle","bool_142","rid_143","Gender","bool_167","i32_168"
459,"Metadata/NPC/League/Heist/Lockpick1","Karst, the Lockpick","Karst, le Crocheteur","Karst der Schlossknacker","ロックピック、カースト","자물쇠 따기 장인 카르스트","Karst, o Arrombador","Карст Взломщик","Karst, el Ganzúa","คาร์สท์ จอมสะเดาะ","開鎖專家．卡司特","Metadata/NPC/NPC","","","Karst","Karst","Karst","カースト","카르스트","Karst","Карст","Karst","คาร์สท์","卡司特",0,[107],[108],22986,"",4,2,1,"","M","",0
460,"Metadata/NPC/League/Heist/Interrogator1","Niles, the Interrogator","Niles, l'Interrogateur","Niles der Vernehmer","尋問者、ナイルズ","심문관 나일스","Niles, o Interrogador","Найлс Дознаватель","Niles, el Interrogador","ไนลส์ จอมสอบสวน","審訊專家．奈爾斯","Metadata/NPC/NPC","","","Niles","Niles","Niles","ナイルズ","나일스","Niles","Найлс","Niles","ไนลส์","奈爾斯",0,[121],[122],19122,"",5,2,1,"","M","",0
461,"Metadata/NPC/League/Heist/Soldier1","Huck, the Soldier","Huck, le Soldat","Huck der Soldat","兵士・ハック","병사 허크","Huck, o Soldado","Хак Боец","Huck, el Soldado","ฮัค ทหารหาญ","大頭兵．哈克","Metadata/NPC/NPC","","","Huck","Huck","Huck","ハック","허크","Huck","Хак","Huck","ฮัค","哈克",0,[119],[120],-26400,"",6,2,1,"","M","",0
462,"Metadata/NPC/League/Heist/HeavyLifter1","Tibbs, the Giant","Tibbs, le Géant","Tibbs der Riese","大男・ティブス","거인 팁스","Tibbs, o Gigante","Тиббс Великан","Tibbs, el Gigante","ทิพส์ มนุษย์ยักษ์","巨人族．堤布斯","Metadata/NPC/NPC","","","Tibbs","Tibbs","Tibbs","ティブス","팁스","Tibbs","Тиббс","Tibbs","ทิพส์","堤布斯",0,[105],[106],-12897,"",7,2,1,"","M","",0
463,"Metadata/NPC/League/Heist/Detector1","Nenet, the Scout","Nenet, l'Éclaireuse","Nenet die Kundschafterin","偵察者、ネネット","정찰병 네넷","Nenet, a Batedora","Ненет Разведчица","Nenet, la Exploradora","เนเนต ผู้ดูลาดเลา","偵查員．能內特","Metadata/NPC/NPC","","","Nenet","Nenet","Nenet","ネネット","네넷","Nenet","Ненет","Nenet","เนเนต","能內特",0,[115],[116],8406,"",8,2,1,"","F","",0
464,"Metadata/NPC/League/Heist/Demolitionist1","Vinderi, the Dismantler","Vindéri, le Désamorceur","Vinderi der Entschärfer","解体屋、ヴィンデーリ","해체전문가 빈데리","Vinderi, o Desmontador","Виндери Разборщик","Vinderi, el Experto en explosivos","วินเดอร์รี จอมทำลาย","拆除專家．溫德利","Metadata/NPC/NPC","","","Vinderi","Vindéri","Vinderi","ヴィンデーリ","빈데리","Vinderi","Виндери","Vinderi","วินเดอร์รี","溫德利",0,[117],[118],30119,"",9,2,1,"","M","",0
465,"Metadata/NPC/League/Heist/CatBurglar1","Tullina, the Catburglar","Tullina, la Cambrioleuse","Tullina die Fassadenkletterin","こそ泥、トゥリナ","밤도둑 툴리나","Tullina, a Ladina","Туллина Ловкачка","Tullina, la Ladrona","ทูลีนา ตีนแมว","邪偷大盜．圖利納","Metadata/NPC/NPC","","","Tullina","Tullina","Tullina","トゥリナ","툴리나","Tullina","Туллина","Tullina","ทูลีนา","圖利納",0,[103],[104],10750,"",10,2,1,"","F","",0
466,"Metadata/NPC/League/Heist/Illusionist1","Gianna, the Master of Disguise","Gianna, la Reine du déguisement","Gianna die Verkleidungskünstlerin","変装の達人、ジアーナ","변장의 달인 지아나","Gianna, a Mestre dos Disfarces","Джианна, мастер маскировки","Gianna, la Maestra del disfraz","เจียนนา เจ้าแห่งการปลอมตัว","偽裝大師．吉安娜","Metadata/NPC/NPC","","","Gianna","Gianna","Gianna","ジアーナ","지아나","Gianna","Джианна","Gianna","เจียนนา","吉安娜",0,[113],[114],-14944,"",11,2,1,"","F","",0
467,"Metadata/NPC/League/Heist/Engineer1","Isla, the Engineer","Isla, l'Ingénieure","Isla die Ingenieurin","エンジニア、アイラ","기술자 아이슬라","Isla, a Engenheira","Айла Инженер","Isla, la Ingeniera","ไอล่า มือช่าง","工程師．伊絲菈","Metadata/NPC/NPC",3260,"","Isla","Isla","Isla","アイラ","아이슬라","Isla","Айла","Isla","ไอล่า","伊絲菈",0,[109],[110],-6306,"",12,2,1,"","F","",0
468,"Metadata/Monsters/LeagueHeist/Boss/VicVox","Vic Vox","Vic Vox","Vic Vox","ヴィック・ヴォックス","빅 복스","Vic Vox","Вик Вокс","Vic Vox","วิค วอกซ์","維克．瓦克斯","Metadata/NPC/NPC","","","Vic","Vic","Vic","ヴィック","빅","Vic","Вик","Vic","วิค","維克",0,[],[],31320,"","","",1,"","M","",0
469,"Metadata/Monsters/LeagueHeist/Boss/VinnyVox","Vinny Vox","Vinny Vox","Vinny Vox","ヴィニー・ヴォックス","비니 복스","Vinny Vox","Винни Вокс","Vinny Vox","วินนี่ วอกซ์","文尼．瓦克斯","Metadata/NPC/NPC","","","Vinny","Vinny","Vinny","ヴィニー","비니","Vinny","Винни","Vinny","วินนี่","文尼",0,[],[],2898,"","","",1,"","M","",0
470,"Metadata/Monsters/LeagueHeist/Boss/Jamanra_","Jamanra, The Great","Jamanra, le Grand","Jamanra der Große","偉大なヤマンラー","위대한 자만라","Jamanra, o Grande","Яманра Великий","Jamanra, el Grande","จามันรา ผู้ยิ่งใหญ่","賈嫚拉大帝","Metadata/NPC/NPC","","","Jamanra","Jamanra","Jamanra","ヤマンラー","자만라","Jamanra","Яманра","Jamanra","จามันรา","賈嫚拉",0,[],[],4810,"","","",1,"","M","",0
471,"Metadata/Monsters/LeagueHeist/Boss/Danai","Nashta, The Usurper","Nashta, l'Usurpatrice","Nashta die Thronräuberin","簒奪者、ナシュタ","찬탈자 나쉬타","Nashta, a Usurpadora","Нашта Самозванка","Nashta, la Usurpadora","แนชตา ผู้ชิงอำนาจ","篡位者．納什塔","Metadata/NPC/NPC","","","Nashta","Danaï","Nashta","ナシュタ","나쉬타","Nashta","Нашта","Nashta","แนชตา","納什塔",0,[],[],-900,"","","",1,"","F","",0
472,"Metadata/Monsters/LeagueHeist/Boss/AdmiralDarnaw","Admiral Darnaw","Admiral Darnaw","Admiral Darnaw","ダルノー提督","다나우 제독","Almirante Darnaw","Адмирал Дарнау","Almirante Darnaw","พลเรือเอกดานอร์","達爾奈上將","Metadata/NPC/NPC","","","Darnaw","Darnaw","Darnaw","ダルノー","다나우","Darnaw","Дарнау","Darnaw","ดานอร์","達爾奈",0,[],[],-687,"","","",1,"","M","",0
473,"Metadata/Monsters/LeagueHeist/Boss/Freidrich","Friedrich Tarollo, Slave Merchant","Friedrich Tarollo, le Marchand d'esclave","Friedrich Tarollo, Sklavenhändler","奴隷商人・フリードレック・タローロ","노예 상인 프레드릭 타롤로","Friedrich Tarollo, Mercador de Escravos","Фридрих Таролло, торговец рабами","Friedrich Tarollo, Comerciante de esclavos","ฟรีดริช ทารอลโล พ่อค้าทาส","奴隸商人．弗里德里克．塔羅洛","Metadata/NPC/NPC","","","Friedrich","Friedrich","Friedrich","フリードレック","프레드릭","Friedrich","Фридрих","Friedrich","ฟรีดริช","弗里德里克",0,[],[],27161,"","","",1,"","M","",0
474,"Metadata/NPC/League/Heist/TheBossLioneyes","Kurai, the Administrator","Kuraï, l'Administratrice","Kurai die Verwalterin","管理者・クライ","사무관 쿠라이","Kurai, a Administradora","Кураи Распорядительница","Kurai, la Administradora","คูรัย ผู้ดูแลทีม","管理員．庫萊","Metadata/NPC/NPC","","","Kurai","Kuraï","Kurai","クライ","쿠라이","Kurai","Кураи","Kurai","คูรัย","庫萊",0,[101],[102],1692,"",0,2,1,"","F","",0
475,"Metadata/Monsters/LeagueHeist/NPCAllies/HeistAdiyah","Adiyah, the Wayfinder","Adiyah, la Passe-muraille","Adiyah die Spurensucherin","道案内人、アーディア","길잡이 아디야","Adiyah, a Desbravadora","Адия Проводница","Adiyah, la Buscacaminos","อาดีย์ยา ผู้หาเส้นทาง","探路專家．阿迪雅","Metadata/NPC/NPC","","","Adiyah","Adiyah","Adiyah","アーディア","아디야","Adiyah","Адия","Adiyah","อาดีย์ยา","阿迪雅",0,[],[],4017,"","","",1,"","F","",0
476,"Metadata/Monsters/LeagueHeist/NPCAllies/HeistKurai","Kurai, the Administrator","Kuraï, l'Administratrice","Kurai die Verwalterin","管理者・クライ","사무관 쿠라이","Kurai, a Administradora","Кураи Распорядительница","Kurai, la Administradora","คูรัย ผู้ดูแลทีม","管理員．庫萊","Metadata/NPC/NPC","","","Kurai","Kuraï","Kurai","クライ","쿠라이","Kurai","Кураи","Kurai","คูรัย","庫萊",0,[],[],14018,"","","",1,"","F","",0
477,"Metadata/Monsters/LeagueHeist/Boss/VicVoxMeeting_","Vic Vox","Vic Vox","Vic Vox","ヴィック・ヴォックス","빅 복스","Vic Vox","Вик Вокс","Vic Vox","วิค วอกซ์","維克．瓦克斯","Metadata/NPC/NPC","","","Vic","Vic","Vic","ヴィック","빅","Vic","Вик","Vic","วิค","維克",0,[],[],-25581,"","","",1,"","M","",0
478,"Metadata/NPC/League/Heist/TullinaFiance","Julius Farrow","Julius Farrow","Julius Farrow","ジュリアス・ファロー","줄리우스 패로우","Julius Farrow","Юлий Фарроу","Julius Farrow","จูเลียส แฟร์โรว์","朱利葉斯．法羅","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],11980,"","","",1,"","F","",0
479,"Metadata/NPC/Act3/Tolman","Tolman","Tolman","Tolman","トールマン","톨먼","Tolman","Толман","Tolman","โทลแมน","托爾曼","Metadata/NPC/NPC","","","","","","","","","","","","",3,[],[],9309,"","","",1,"","M","",0
480,"Metadata/NPC/Act8/Solaris","Solaris","Solaris","Solaris","ソラリス","솔라리스","Solaris","Солярис","Solaris","โซลาริส","日耀神","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],2599,"","","",1,"","F","",0
481,"Metadata/NPC/Act8/Lunarus","Lunaris","Lunaris","Lunaris","ルナリス","루나리스","Lunaris","Лунарис","Lunaris","ลูนาริส","月影神","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],-25134,"","","",1,"","F","",0
482,"Metadata/NPC/RiddleQuest","","","","","","","","","","","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],-15854,"","","",1,"","","",0
483,"Metadata/NPC/League/EndlessDelve/Lilly","Lilly Roth","Lilly Roth","Lilly Roth","リリィ・ロス","릴리 로스","Lilly Roth","Лилия Рот","Lilly Roth","ลิลลี่ รอธ","莉莉羅斯","Metadata/NPC/Act10/Lilly","","","Lilly","Lilly","Lilly","リリィ","릴리","Lilly","Лилия","Lilly","ลิลลี่","莉莉",0,[153],[154],24123,"","",1,1,27,"F","",0
484,"Metadata/NPC/Epilogue/Envoy","The Envoy","L'Émissaire","Der Gesandte","エンヴォイ","사절","O Enviado","Посланник","El Emisario","ราชทูต","使者","Metadata/NPC/NPC","","","","","","","","","","","","",11,[128],[129],27713,"",13,1,1,"","M","",0
485,"Metadata/NPC/Epilogue/EnvoyRandom","The Envoy","L'Émissaire","Der Gesandte","エンヴォイ","사절","O Enviado","Посланник","El Emisario","ราชทูต","使者","Metadata/NPC/NPC","","","","","","","","","","","","",11,[128],[129],5686,"",13,1,1,"","M","",0
486,"Metadata/NPC/Epilogue/EnvoyMaven","The Envoy","L'Émissaire","Der Gesandte","エンヴォイ","사절","O Enviado","Посланник","El Emisario","ราชทูต","使者","Metadata/NPC/NPC",3157,"","","","","","","","","","","",11,[132],[133],18261,"",13,1,1,"","M","",0
487,"Metadata/NPC/Epilogue/EnvoyTangle","The Envoy","L'Émissaire","Der Gesandte","エンヴォイ","사절","O Enviado","Посланник","El Emisario","ราชทูต","使者","Metadata/NPC/NPC","","","","","","","","","","","","",11,[128],[129],22688,"",13,1,1,"","M","",0
488,"Metadata/NPC/Epilogue/EnvoyCleansingFire","The Envoy","L'Émissaire","Der Gesandte","エンヴォイ","사절","O Enviado","Посланник","El Emisario","ราชทูต","使者","Metadata/NPC/NPC","","","","","","","","","","","","",11,[128],[129],-25081,"",13,1,1,"","M","",0
489,"Metadata/NPC/Epilogue/EnvoyTangleBoss1","The Envoy","L'Émissaire","Der Gesandte","エンヴォイ","사절","O Enviado","Посланник","El Emisario","ราชทูต","使者","Metadata/NPC/Epilogue/EnvoyPostBoss","","","","","","","","","","","","",11,[128],[129],-31424,"",13,1,1,"","M","",0
490,"Metadata/NPC/Epilogue/EnvoyTangleBoss2","The Envoy","L'Émissaire","Der Gesandte","エンヴォイ","사절","O Enviado","Посланник","El Emisario","ราชทูต","使者","Metadata/NPC/Epilogue/EnvoyPostBoss",3158,"","","","","","","","","","","",11,[128],[129],23481,"",13,1,1,"","M","",0
491,"Metadata/NPC/Epilogue/EnvoyCleansingFireBoss1","The Envoy","L'Émissaire","Der Gesandte","エンヴォイ","사절","O Enviado","Посланник","El Emisario","ราชทูต","使者","Metadata/NPC/Epilogue/EnvoyPostBoss","","","","","","","","","","","","",11,[128],[129],-3992,"",13,1,1,"","M","",0
492,"Metadata/NPC/Epilogue/EnvoyCleansingFireBoss2","The Envoy","L'Émissaire","Der Gesandte","エンヴォイ","사절","O Enviado","Посланник","El Emisario","ราชทูต","使者","Metadata/NPC/Epilogue/EnvoyPostBoss",3159,"","","","","","","","","","","",11,[128],[129],-5638,"",13,1,1,"","M","",0
493,"Metadata/NPC/Epilogue/Maven","The Maven","La Prodige","Die Seherin","メイヴェン","메이븐","A Maven","Мейвен","La Especialista","เมเวน","釋界","Metadata/NPC/NPC","","","","","","","","","","","","",11,[],[],-15174,"","","",1,"","F","",0
494,"Metadata/NPC/Epilogue/MavenInfluenceIntro","The Maven","La Prodige","Die Seherin","メイヴェン","메이븐","A Maven","Мейвен","La Especialista","เมเวน","釋界","Metadata/NPC/NPC","","","","","","","","","","","","",11,[],[],-30750,"","","",1,"","F","",0
495,"Metadata/NPC/Epilogue/MavenBossObserver","The Maven","La Prodige","Die Seherin","メイヴェン","메이븐","A Maven","Мейвен","La Especialista","เมเวน","釋界","Metadata/NPC/NPC","","","","","","","","","","","","",11,[],[],31446,"","","",1,"","F","",0
496,"Metadata/Monsters/MavenBoss/TheMaven","The Maven","La Prodige","Die Seherin","メイヴェン","메이븐","A Maven","Мейвен","La Especialista","เมเวน","釋界","Metadata/NPC/NPC","","","","","","","","","","","","",11,[],[],4193,"","","",1,"","F","",0
497,"Metadata/Monsters/MavenBoss/MavenBrainBoss","The Maven","La Prodige","Die Seherin","メイヴェン","메이븐","A Maven","Мейвен","La Especialista","เมเวน","釋界","Metadata/NPC/NPC","","","","","","","","","","","","",11,[],[],10806,"","","",1,"","F","",0
498,"Metadata/Monsters/CrimsonPriest","Kadaris, Crimson Mayor","Kadaris, le Maire pourpre","Kadaris, Blutbischof","真紅の市長、カダリス","진홍색 시장 카다리스","Kadaris, Prefeito Carmesim","Кадарис, Кровавый мэр","Kadaris, Alcalde carmesí","คาดาริส เทศมนตรีสีเลือด","緋紅市長．卡達里斯","Metadata/NPC/NPC","","","Kadaris","Kadaris","Kadaris","カダリス","카다리스","Kadaris","Кадарис","Kadaris","คาดาริส","卡達里斯",0,[],[],-23586,"","","",1,"","M","",0
499,"Metadata/Monsters/Skeletons/Pirate/BrutalPirateLordBoss","Captain Clayborne, The Accursed","Capitaine Poindreglaise, le Maudit","Kapitän Clayborne, der Verfluchte","呪われしクレーボーン船長","저주받은 자 클레이본 대장","Capitão Clayborn, o Amaldiçoado","Капитан Клейборн, проклятый","Capitán Clayborne, el Maldito","กัปตันเคลย์บอร์น ผู้ต้องสาป","被詛咒的．隊長克雷波恩","Metadata/NPC/NPC","","","Clayborne","Poindreglaise","Clayborne","クレーボーン","클레이본","Clayborne","Клейборн","Clayborne","เคลย์บอร์น","克雷波恩",0,[],[],22110,"","","",1,"","M","",0
500,"Metadata/Monsters/LunarisSolaris/LunarisMap","Khor, Sister of Shadows","Khor, Sœur des Ombres","Khor, Schwester der Schatten","影の妹、コール","그림자의 자매 코르","Khor, Irmã das Sombras","Хор, Сестра теней","Khor, Hermana de sombras","คอร์ ธิดาแห่งเงา","暗影姊妹．霍爾","Metadata/NPC/NPC","","","Khor","Khor","Khor","コール","코르","Khor","Хор","Khor","คอร์","霍爾",0,[],[],275,"","","",1,"","F","",0
501,"Metadata/Monsters/LunarisSolaris/SolarisMap","Ara, Sister of Light","Ara, Sœur de la Lumière","Ara, Schwester des Lichts","光の妹、アラ","빛의 자매 아라","Ara, Irmã da Luz","Ара, Сестра света","Ara, Hermana de Luz","อารา ธิดาแห่งแสง","光之姊妹．艾拉","Metadata/NPC/NPC","","","Ara","Ara","Ara","アラ","아라","Ara","Ара","Ara","อารา","艾拉",0,[],[],3432,"","","",1,"","F","",0
502,"Metadata/Monsters/DjinnDemon/DjinnDemonMapBoss_","Ormud, Fiend of the Flood","Ormud, Démon du Déluge","Ormud, Ungeheuer der Flut","洪水の悪霊、オルマッド","홍수의 마귀 오르무드","Ormud, Cria da Inundação","Ормад, демон наводнения","Ormud, Demonio de la inundación","ออร์มุด ปีศาจอุทกภัย","洪災惡魔．歐爾曼","Metadata/NPC/NPC","","","Ormud","Ormud","Ormud","オルマッド","오르무드","Ormud","Ормад","Ormud","ออร์มุด ","歐爾曼",0,[],[],15980,"","","",1,"","M","",0
503,"Metadata/Monsters/Vilenta/VilentaMap_","Renkarr, The Kiln Keeper","Renkarr, la Gardienne du fourneau","Renkarr der Ofenwart","炉の番人、レンカール","가마 관리인 렌카르","Renkarr, Guardião da Estufa","Ренкарр, хранительница печи","Renkarr, el Guardián de la forja","เรนคาร์ ผู้ดูแลเตาเผา","烘爐看守．倫卡爾","Metadata/NPC/NPC","","","Renkarr","Renkarr","Renkarr","レンカール","렌카르","Renkarr","Ренкарр","Renkarr","เรนคาร์","倫卡爾",0,[],[],3147,"","","",1,"","F","",0
504,"Metadata/Monsters/Thaumaturgy/ThaumaturgistBoss","Ciergan, Shadow Alchemist","Ciergan, l'Alchimiste des ombres","Ciergan, Schattenalchemist","影の錬金術師、シアガン","그림자 연금술사 시에르간","Ciergan, Alquimista das Sombras","Кьерган, Тёмный алхимик","Ciergan, Alquimista de sombras","เซียร์แกน นักเล่นแร่แปรธาตุเงา","幻影練金師希爾琴","Metadata/NPC/NPC","","","Ciergan","Ciergan","Ciergan","シアガン","시에르간","Ciergan","Кьерган","Ciergan","เซียร์แกน","希爾琴",0,[],[],30691,"","","",1,"","M","",0
505,"Metadata/NPC/League/Ultimatum/UltimatumNPC","The Trialmaster","Le Maître des Épreuves","Der Prüfungsmeister","トライアルマスター","시련의 대가","O Mestre das Provações","Мастер испытаний","El Maestro de pruebas","ผู้คุมบททดสอบ","試煉大師","Metadata/NPC/NPC","","","The Trialmaster","Le Maître des Épreuves","Der Prüfungsmeister","トライアルマスター","시련의 대가","Mestre das Provações","Мастер испытаний","El Maestro de pruebas","ผู้คุมบททดสอบ","試煉大師",0,[134],"[135,136]",-14822,"",14,1,1,"","M","",0
506,"Metadata/NPC/League/Ultimatum/UltimatumNPCPostFight","The Trialmaster","Le Maître des Épreuves","Der Prüfungsmeister","トライアルマスター","시련의 대가","O Mestre das Provações","Мастер испытаний","El Maestro de pruebas","ผู้คุมบททดสอบ","試煉大師","Metadata/NPC/League/Ultimatum/UltimatumNPCBossEndScene","","","The Trialmaster","Le Maître des Épreuves","Der Prüfungsmeister","トライアルマスター","시련의 대가","Mestre das Provações","Мастер испытаний","El Maestro de pruebas","ผู้คุมบททดสอบ","試煉大師",0,[134],[135],-8977,"",14,1,1,"","M","",0
507,"Metadata/Monsters/LeagueDelve/VaalCityBoss","Ahuatotli, the Blind","Ahuatotli, l'Aveugle","Ahuatotli der Blinde","盲人、アワトットリー","눈먼 자, 아후아토틀리","Ahuatotli, o Cego","Ахватотли, Слепой","Ahuatoli, el Ciego","อะฮัวตอตล์ลี ผู้มิอาจเห็น","盲人阿烏塔利","Metadata/Monsters/LeagueDelve/CityBosses/DelveVaalCityBoss","","","Ahuatotli","Ahuatotli","Ahuatotli","アワトットリー","아후아토틀리","Ahuatotli","Ахватотли","Ahuatotli","อะฮัวตอตล์ลี","阿烏塔利",0,[],[],27232,"","","",1,"","M","",0
508,"Metadata/Monsters/LeagueDelve/ProtoVaalCityBoss","Aul, the Crystal King","Aul, le Roi de cristal","Aul der Kristallkönig","水晶の王、アウル","수정의 왕 아울","Aul, o Rei de Cristal","Ол, Кристальный царь","Aul, el Rey de cristal","อืล กษัตริย์คริสตัล","晶之帝奧爾","Metadata/Monsters/LeagueDelve/CityBosses/DelveProtoVaalCityBoss","","","Aul","Aul","Aul","アウル","아울","Aul","Ол","Aul","อืล","奧爾",0,[],[],11813,"","","",1,"","M","",0
509,"Metadata/Monsters/LeagueUltimatum/TrialMaster/TrialMasterBoss","The Trialmaster","Le Maître des Épreuves","Der Prüfungsmeister","トライアルマスター","시련의 대가","O Mestre das Provações","Мастер испытаний","El Maestro de pruebas","ผู้คุมบททดสอบ","試煉大師","Metadata/Monsters/LeagueUltimatum/TrialMaster/TrialMasterBoss","","","The Trialmaster","Le Maître des Épreuves","Der Prüfungsmeister","トライアルマスター","시련의 대가","Mestre das Provações","Мастер испытаний","El Maestro de pruebas","ผู้คุมบททดสอบ","試煉大師",0,[],[],-9887,"","","",1,"","M","",0
510,"Metadata/NPC/Hasina","Hasina","Hasina","Hasina","ハシナ","하시나","Hasina","Хасина","Hasina","ฮาซีน่า","哈希娜","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],11914,"","","",1,"","F","",0
511,"Metadata/NPC/League/Expedition/Saga","Dannig, Warrior Skald","Dannig, le Guerrier scalde","Dannig, Krieger-Skalde","戦う吟唱詩人、ダニグ","전사 시인 대닉","Dannig, Guerreiro Poeta","Дэнниг, воин и скальд","Dannig, Guerrero escaldo","แดนนิก กวีนักรบ","戰鬥詩人．丹尼格","Metadata/NPC/NPC",2410,"","Dannig","Dannig","Dannig","ダニグ","대닉","Dannig","Дэнниг","Dannig","แดนนิก","丹尼格",0,[137],[138],-17432,"",16,3,1,32,"M","",0
512,"Metadata/NPC/League/Expedition/Gambler","Gwennen, the Gambler","Gwennen, la Parieuse","Gwennen die Spielerin","ギャンブラー、グウェネン","도박사 그위넨","Gwennen, a Apostadora","Гвеннен, спекулянтка","Gwennen, la Apostadora","เกว็นเน็น นักพนัน","賭徒．關南","Metadata/NPC/NPC",2407,"","Gwennen","Gwennen","Gwennen","グウェネン","그위넨","Gwennen","Гвеннен","Gwennen","เกว็นเน็น","關南",0,[145],[146],5530,"",17,3,1,30,"F","",0
513,"Metadata/NPC/League/Expedition/Haggler","Tujen, the Haggler","Tujen, le Marchandeur","Tujen der Feilscher","値切り屋、トゥージェン","거간꾼 투젠","Tujen, o Pechincheiro","Туджин, торгаш","Tujen, el Regateador","ทูเจน นักต่อราคา","討價還價．圖貞","Metadata/NPC/NPC",2408,"","Tujen","Tujen","Tujen","トゥージェン","투젠","Tujen","Туджин","Tujen","ทูเจน","圖貞",0,[143],[144],-17317,"",18,3,1,31,"M","",0
514,"Metadata/NPC/League/Expedition/Dealer","Rog, the Dealer","Rog, le Négociateur","Rog der Händler","ディーラー、ログ","중개인 로그","Rog, o Negociador","Рог, делец","Rog, el Comerciante","ร็อก นักขาย","商人．羅格","Metadata/NPC/NPC",2409,"","Rog","Rog","Rog","ログ","로그","Rog","Рог","Rog","ร็อก","羅格",0,[140],[141],23173,"",19,3,1,29,"M","",0
515,"Metadata/Monsters/LeagueExpedition/NPC/ExpeditionDannig","Dannig","Dannig","Dannig","ダニグ","대닉","Dannig","Дэнниг","Dannig","แดนนิก","丹尼格","Metadata/NPC/NPC",2410,"","Dannig","Dannig","Dannig","ダニグ","대닉","Dannig","Дэнниг","Dannig","แดนนิก","丹尼格",0,[139],[138],-26741,511,16,3,1,32,"M","",0
516,"Metadata/Monsters/LeagueExpedition/NPC/ExpeditionGwennen_","Gwennen","Gwennen","Gwennen","グウェネン","그위넨","Gwennen","Гвеннен","Gwennen","เกว็นเน็น","關南","Metadata/NPC/NPC",2407,"","Gwennen","Gwennen","Gwennen","グウェネン","그위넨","Gwennen","Гвеннен","Gwennen","เกว็นเน็น","關南",0,[145],"[146,147,148]",25585,512,17,3,1,30,"F","",0
517,"Metadata/Monsters/LeagueExpedition/NPC/ExpeditionTujen","Tujen","Tujen","Tujen","トゥージェン","투젠","Tujen","Туджин","Tujen","ทูเจน","圖貞","Metadata/NPC/NPC",2408,"","Tujen","Tujen","Tujen","トゥージェン","투젠","Tujen","Туджин","Tujen","ทูเจน","圖貞",0,[143],[144],-29732,513,18,3,1,31,"M","",0
518,"Metadata/Monsters/LeagueExpedition/NPC/ExpeditionRog","Rog","Rog","Rog","ログ","로그","Rog","Рог","Rog","ร็อก","羅格","Metadata/NPC/NPC",2409,"","Rog","Rog","Rog","ログ","로그","Rog","Рог","Rog","ร็อก","羅格",0,[140],[141],-6828,514,19,3,1,29,"M","",0
519,"Metadata/NPC/League/Expedition/SagaHideout","Dannig, Warrior Skald","Dannig, le Guerrier scalde","Dannig, Krieger-Skalde","戦う吟唱詩人、ダニグ","전사 시인 대닉","Dannig, Guerreiro Poeta","Дэнниг, воин и скальд","Dannig, Guerrero escaldo","แดนนิก กวีนักรบ","戰鬥詩人．丹尼格","Metadata/NPC/NPC",2410,"","Dannig","Dannig","Dannig","ダニグ","대닉","Dannig","Дэнниг","Dannig","แดนนิก","丹尼格",0,[137],[138],8686,511,16,3,1,32,"M","",0
520,"Metadata/NPC/League/Expedition/GamblerHideout","Gwennen, the Gambler","Gwennen, la Parieuse","Gwennen die Spielerin","ギャンブラー、グウェネン","도박사 그위넨","Gwennen, a Apostadora","Гвеннен, спекулянтка","Gwennen, la Apostadora","เกว็นเน็น นักพนัน","賭徒．關南","Metadata/NPC/NPC",2407,"","Gwennen","Gwennen","Gwennen","グウェネン","그위넨","Gwennen","Гвеннен","Gwennen","เกว็นเน็น","關南",0,[145],[146],-27842,512,17,3,1,30,"F","",0
521,"Metadata/NPC/League/Expedition/HagglerHideout","Tujen, the Haggler","Tujen, le Marchandeur","Tujen der Feilscher","値切り屋、トゥージェン","거간꾼 투젠","Tujen, o Pechincheiro","Туджин, торгаш","Tujen, el Regateador","ทูเจน นักต่อราคา","討價還價．圖貞","Metadata/NPC/NPC",2408,"","Tujen","Tujen","Tujen","トゥージェン","투젠","Tujen","Туджин","Tujen","ทูเจน","圖貞",0,[143],[144],20353,513,18,3,1,31,"M","",0
522,"Metadata/NPC/League/Expedition/DealerHideout","Rog, the Dealer","Rog, le Négociateur","Rog der Händler","ディーラー、ログ","중개인 로그","Rog, o Negociador","Рог, делец","Rog, el Comerciante","ร็อก นักขาย","商人．羅格","Metadata/NPC/NPC",2409,"","Rog","Rog","Rog","ログ","로그","Rog","Рог","Rog","ร็อก","羅格",0,[140],[141],-8538,514,19,3,1,29,"M","",0
