"rownum","Id","Term","Term (French)","Term (German)","Term (Japanese)","Term (Korean)","Term (Portuguese)","Term (Russian)","Term (Spanish)","Term (Thai)","Term (Traditional Chinese)","Definition","Definition (French)","Definition (German)","Definition (Japanese)","Definition (Korean)","Definition (Portuguese)","Definition (Russian)","Definition (Spanish)","Definition (Thai)","Definition (Traditional Chinese)","string_24","string_32","ItemReference","ModReference"
32,"GoldenLanterns","Golden Lanterns","Lanternes dorées","Goldene Laternen","黄金のランタン","황금 등불","Lanternas Douradas","Золотые фонари","Faroles dorados","ตะเกียงทองคำ","黃金燈籠","Golden Lanterns grant a significant bonus to Rarity of items found when collected, lasting for the remainder of the instance.","Les Lanternes dorées confèrent un bonus de Rareté des Objets considérable lorsqu'elles sont récupérées. Cet effet dure jusqu'à la fin de l'instance.","Goldene Laternen gewähren, wenn sie aufgesammelt werden, einen bedeutenden Bonus auf die Seltenheit gefundener Gegenstände. Ihre Wirkung hält für die verbleibende Dauer der Instanz an.","黄金のランタンは拾った時に見つかるアイテムのレアリティに大幅なボーナスを付与する。そのインスタンスの残り期間中ずっと持続する。","황금 등불을 획득하면 발견하는 아이템의 희귀도가 크게 증가하며, 이 효과는 해당 인스턴스가 끝날 때까지 지속됩니다.","Ao serem coletadas, as Lanternas Douradas concedem um bônus significativo à raridade de itens encontrados, que dura pelo restante da instância.","Золотые фонари дают значительную прибавку к редкости найденных предметов при подборе и действуют до конца области.","Los faroles dorados otorgan una bonificación significativa a la rareza de los objetos encontrados cuando los recoges, y esta bonificación perdura durante el resto de la instancia.","ตะเกียงทองคำ ให้โบนัสระดับความหายากของไอเทมที่พบเมื่อเก็บได้ โดยจะมีผลตลอดอินสแตนซ์","收集黃金燈籠時，將會大幅提升所掉落物品的稀有度，此效果會持續至該地圖區域結束。","","","",""
33,"MonsterFracture","Monster Fracturing","Fracturation des Monstres","Spaltende Monster","モンスターの分割","몬스터 분열","Monstros Fragmentados","Монстры-породители","Fracturación de monstruos","การแตกร้าวของมอนสเตอร์","怪物散裂","Monsters that Fracture on death will split into multiple copies of that Monster at one Rarity tier lower.","Les Monstres qui se Fracturent en mourant se divisent en plusieurs copies de ce Monstre à un palier de Rareté inférieur.","Monster, die sich beim Tod spalten, teilen sich in mehrere Kopien dieses Monsters auf, die ein Seltenheitslevel niedriger sind.","分割するモンスターは死亡時にレアリティティアが1つ低い同種のモンスターの複数のコピーに分裂する。","사망 시 분열하는 몬스터는 해당 몬스터보다 희귀도가 한 단계 낮은 복제본 여러 마리로 갈라집니다.","Ao morrer, monstros que se fragmentam se dividirão em múltiplas cópias desse monstro, com um nível de raridade inferior.","Монстры-породители при смерти разделятся на несколько копий того же монстра на один уровень редкости ниже.","Los monstruos que se fracturan al morir se dividen en varias copias de ese monstruo de un grado de rareza menor.","มอนสเตอร์ที่ แตกร้าว เมื่อตายจะแยกเป็นมอนสเตอร์ตัวเดิมหลายตัวที่มีระดับความหายากลดลงมา 1 ระดับ","死亡時會散裂的怪物，將會散裂成多個稀有度低一個階級的該怪物複製品。","","","",""
34,"DeadMansSulphur","","","","","","","","","","","","","","","","","","","","","","",1,""
35,"KeystoneFirePurist","Voracious Flame","Flamme vorace","Unersättliche Flamme","ヴォラシアスフレイム","탐욕적인 화염","Chama Voraz","Прожорливое пламя","Llama voraz","Voracious Flame","貪婪惡火","You can inflict an additional Ignite on each Enemy\r\nBase Ignite Duration is 1 second\r\n25% less Damage with Ignite\r\nCannot deal non-Fire Damage","Vous pouvez infliger un Embrasement supplémentaire sur chaque Ennemi\r\nLa Durée de base de l'Embrasement est de 1 seconde\r\n25% de Perte de Dégâts avec l'Embrasement\r\nVous pouvez uniquement infliger des Dégâts de feu","Ihr könnt bei jedem Gegner ein zusätzliches Entzünden verursachen\r\nDie Basis-Entzündungsdauer beträgt 1 Sekunde\r\n25% weniger Schaden mit Entzünden\r\nIhr könnt keinen Schaden verursachen (Feuerschaden ausgenommen)","それぞれの敵に発火を追加で1スタック付与できるようになる\r\n発火の基礎持続時間は1秒になる\r\n発火のダメージが25%低下する\r\n火以外の属性のダメージを与えられなくなる","각각의 적에게 추가 점화 1개 유발 가능\r\n기본 점화 지속시간 1초\r\n점화 피해 25% 감폭\r\n비-화염 피해를 줄 수 없음","Você pode infligir um incêndio adicional em cada inimigo\r\nA duração base do incêndio é de 1 segundo\r\n-25% de dano de incêndio\r\nNão pode causar dano que não seja de fogo","Вы можете наложить дополнительный поджог на каждого врага\r\nБазовая длительность поджога равна 1 секунде\r\nНа 25% меньше урона от поджога\r\nНельзя наносить урон не от огня","Puedes aplicar una quemadura adicional a cada enemigo\r\nLa duración base de la quemadura es de 1 segundo\r\n25% menos de daño con quemadura\r\nNo puedes infligir daño que no sea de fuego","คุณสามารถสร้างสถานะ ลุกไหม้ ต่อศัตรูแต่ละตัว เพิ่มเติม 1 ระดับ\r\nสถานะ ลุกไหม้ มีระยะเวลาพื้นฐาน 1 วินาที\r\nลดความเสียหาย ลุกไหม้ อีก 25%\r\nไม่สามารถสร้างความเสียหายที่ไม่ใช่ ไฟ ได้","你可以為每一敵人額外施加一個點燃\r\n基礎點燃持續時間為1秒\r\n點燃造成 25% 更少傷害\r\n無法造成非火焰傷害","","","",""
36,"KeystoneColdPurist","Bitter Frost","Givre mordant","Bitterer Frost","ビターフロスト","원통한 서리","Geada Cortante","Трескучий мороз","Escarcha cortante","Bitter Frost","刺骨酷寒","Enemies Chilled by your Hits have Cold Damage taken increased by Chill Effect\r\nEnemies in your Chilling Areas have Cold Damage taken increased by Chill Effect\r\nCannot deal non-Cold Damage","Les ennemis Frigorifiés par vos Touches ont des Dégâts de froid subis augmentés par l'Effet de la Frigorification\r\nLes ennemis se trouvant dans vos zones Frigorifiantes ont des Dégâts de froid subis augmentés par l'Effet de la Frigorification\r\nVous pouvez uniquement infliger des Dégâts de froid","Der erlittene Kälteschaden von Gegnern, die durch Eure Treffer unterkühlt werden, wird durch die Unterkühlungswirkung erhöht\r\nDer erlittene Kälteschaden von Gegnern in Euren unterkühlenden Bereichen wird durch die Unterkühlungswirkung erhöht\r\nIhr könnt keinen Schaden verursachen (Kälteschaden ausgenommen)","プレイヤーのヒットにより冷却を付与された敵は冷却効果の数値の分受けるダメージが増加する\r\nプレイヤーの冷却エリアの中にいる敵は冷却効果の分受けるダメージが増加する\r\n冷気以外の属性のダメージを与えられなくなる","플레이어에게 피격되어 냉각된 적이 받는 냉기 피해가 냉각 효과만큼 증가\r\n플레이어의 냉각 지역 안에 있는 적이 받는 냉기 피해가 냉각 효과만큼 증가\r\n비-냉기 피해를 줄 수 없음","Inimigos esfriados pelos seus ataques sofrem dano de frio aumentado pelo esfriamento\r\nInimigos nas suas áreas frias sofrem dano de frio aumentado pelo esfriamento\r\nNão pode causar dano que não seja de frio","Эффект охлаждения, получаемый врагами от ваших ударов, увеличивает урон от холода\r\nЭффект охлаждения увеличивает урон от холода, получаемый врагами, находящимися в ваших охлаждённых областях\r\nНельзя наносить урон не от холода ","Los enemigos que escarchas con tus golpes tienen el daño de hielo recibido aumentado por el efecto del escarchamiento\r\nLos enemigos que están en tus áreas de escarchamiento tienen el daño de hielo recibido aumentado por el efecto del escarchamiento\r\nNo puedes infligir daño que no sea de hielo","ศัตรูที่ติดสถานะ หนาวเย็น จากการปะทะของคุณ ได้รับความเสียหาย น้ำแข็ง เพิ่มขึ้น ตามผลของสถานะ หนาวเย็น\r\nศัตรูที่อยู่ใน พื้นที่หนาวเย็น ของคุณ ได้รับความเสียหาย น้ำแข็ง เพิ่มขึ้น ตามผลของสถานะ หนาวเย็น\r\nไม่สามารถสร้างความเสียหายที่ไม่ใช่ น้ำแข็ง ได้","受到你擊中而冰緩的敵人會根據冰緩效果增加承受的冰冷傷害\r\n位於你冰緩區域內的敵人會根據冰緩效果增加承受的冰冷傷害\r\n無法造成非冰冷傷害","","","",""
37,"KeystoneLightningPurist","Roiling Tempest","Tempête tumultueuse","Tosender Sturm","ロイリングテンペスト","요동치는 폭풍","Tempestade Turbulenta","Бушующая буря","Tormenta arrolladora","Roiling Tempest","翻騰狂雷","25% more Maximum Lightning Damage\r\n50% less Minimum Lightning Damage\r\nCannot deal non-Lightning Damage","25% Davantage de Dégâts de foudre maximaux\r\n50% de Perte de Dégâts de foudre minimaux\r\nVous pouvez uniquement infliger des Dégâts de foudre","25% mehr maximaler Blitzschaden\r\n50% weniger minimaler Blitzschaden\r\nIhr könnt keinen Schaden verursachen (Blitzschaden ausgenommen)","雷ダメージの最大値が25%上昇する\r\n雷ダメージの最小値が50%低下する\r\n雷以外の属性のダメージを与えられなくなる","최대 번개 피해 25% 증폭\r\n최소 번개 피해 50% 감폭\r\n비-번개 피해를 줄 수 없음","ㅤ+25% de dano elétrico máximo\r\n -50% de dano elétrico mínimo\r\n Não pode causar dano que não seja elétrico","На 25% больший максимум урона от молнии\r\nНа 50% меньший минимум урона от молнии и свойство\r\nНельзя наносить урон не от молнии","25% más de daño de rayo máximo\r\n50% menos de daño de rayo mínimo\r\nNo puedes infligir daño que no sea de rayo","เพิ่มความเสียหาย สายฟ้าสูงสุด อีก 25%\r\nลดความเสียหาย สายฟ้าต่ำสุด อีก 50%\r\nไม่สามารถสร้างความเสียหายที่ไม่ใช่ สายฟ้า ได้","25% 更多最大閃電傷害\r\n50% 更少最小閃電傷害\r\n無法造成非閃電傷害","","","",""
38,"DirectFlight","Direct Flight","Vol direct","Direktflug","直進距離","직접 비행","Voo Direto","Прямой полёт","Vuelo directo","ระยะทางโดยตรง","直線飛行","Direct Flight is the distance a projectile can travel in a single straight line before it's flight ends. At that point, by default, it will either Return if able, or otherwise dissipate.\r\n\r\nProjectile behaviours that cause the projectile to change directions such as Splitting, Forking, Chaining and Returning start a new Direct Flight in the new direction.","Le Vol direct correspond à la distance qu'un projectile peut parcourir en ligne droite avant la fin de son trajet. À ce moment-là, par défaut, il Reviendra vers vous s'il le peut, ou se dissipera dans le cas contraire.\r\n\r\nLes comportements des projectiles qui les font changer de direction, comme la Division, le Scindement, le Ricochet ou le Retour, entament un nouveau Vol direct dans la nouvelle direction.","Der Direktflug ist die Reichweite, die ein Projektil in einer einzigen geraden Linie zurücklegen kann, bevor sein Flug endet. An diesem Punkt kehrt es standardmäßig entweder zurück, sofern dies möglich ist, oder es löst sich auf.\r\n\r\nProjektilverhalten, das zu einer Richtungsänderung des Projektils führt, wie beispielsweise Aufteilen, Aufgabeln, Verketten und Zurückkehren, startet einen neuen Direktflug in die neue Richtung.","直進距離は投射物が飛行を終えるまでに飛べる距離を直線距離で測った者である。デフォルトでは、この地点に到達すると、可能な場合には投射物は回帰し、そうでない場合には消滅する。\r\n\r\n分裂、分岐、連鎖、回帰のような投射物の飛ぶ方向を変える行動は、新しい位置から直進距離を計測を再開する。","직접 비행이란 투사체의 비행이 끝나기 전까지 투사체가 일직선을 그리며 이동하는 거리를 말합니다. 비행이 끝난 후 가능하다면 투사체가 기본적으로 돌아가고, 불가능하다면 사라집니다.\r\n\r\n분할, 갈라짐, 연쇄 및 돌아옴 등 투사체의 방향을 바꾸는 행동이 일어나면, 새로운 방향으로 직접 비행이 시작됩니다.","Voo Direto é a distância que um projétil percorre em linha reta antes de sumir. Nesse ponto, por padrão, ele retornará (se for capaz) ou se dissipará.\r\n \r\nComportamentos que fazem o projétil mudar de direção, como divisão, ramificação, propagação e retorno, iniciam um novo Voo Direto na nova direção.","Прямым полётом считается расстояние, которое снаряд может преодолеть по прямой прежде чем его полёт прекратится. В этот момент, в обычных условиях, он либо возвратится, если может, либо рассеется.\r\n\r\nПоведение снарядов, заставляющее их менять направление, как-то разделение, разветвление, удар по цепи и возвращение, начинает новый отсчёт прямого полёта в новом направлении.","Vuelo directo es la distancia a la que puede viajar un proyectil en línea recta antes de que su recorrido termine. En ese momento, por defecto, regresará si es posible, o sino se disipará.\r\n\r\nLos comportamientos de proyectiles que hacen que el proyectil cambie de dirección, como dividirse, bifurcarse, encadenarse y regresar, inician un nuevo vuelo directo en la nueva dirección.","ระยะทางโดยตรง คือระยะทางที่โพรเจกไทล์ลูกหนึ่งจะเดินทางเป็นเส้นตรงได้ก่อนที่จะหมดระยะทาง เมื่อถึงตรงนั้น ปกติโพรเจกไทล์นั้นจะย้อนกลับมาหาย้อนกลับมาได้หรือไม่ก็สลายตัวไป\r\n\r\nพฤติกรรมที่ทำให้โพรเจกไทล์เปลี่ยนทิศทางอย่างเช่นการแยก แบ่งตัว ชิ่ง หรือย้อนกลับมา จะเริ่มนับระยะทางโดยตรงครั้งใหม่ในทิศทางใหม่","直線飛行為一個投射物在飛行時間結束前可移動的單一最大直線距離。在結束後，默認情況下其會返回（如果可以的話），或是消失。\r\n\r\n會使投射物改變方向的投射物行為，如裂化、分裂、連鎖、和返回，會在新的方向下開始新的一次直線飛行。","","","",""
39,"GhostlyCopy","Ghostly Copies","Copies fantomatiques","Geisterhafte Kopien","幽体の複製","실체 없는 복제본","Cópias Fantasmagóricas","Призрачные копии","Copias fantasmales","ไอเทมสำเนาผี","幽魂複製品","Ghostly Copies of items that are not chosen will vanish. Items created as a result of Allflame Crafting cannot be returned to a previous state via Imprinting.","Les Copies fantomatiques des objets non sélectionnés disparaîtront. Les objets créés grâce à l'Artisanat de l'Omniflamme ne peuvent pas être restaurés à leur état antérieur à l'aide d'Empreintes.","Geisterhafte Kopien von Gegenständen, die nicht ausgewählt werden, verschwinden. Gegenstände, die das Ergebnis einer Anfertigung mit der Allflamme sind, lassen sich nicht mithilfe eines Abdrucks zu einer vorherigen Version wiederherstellen.","選択されなかったアイテムの幽体の複製は消滅する。オールフレイムクラフトの結果として生成されたアイテムは、インプリントを使用して元の状態に戻すことはできない。","아이템의 실체 없는 복제본 중 선택받지 못한 것들은 사라집니다. 올플레임 제작의 결과로 만들어진 아이템은 각인을 통해 그 전의 상태로 되돌릴 수 없습니다.","Cópias fantasmagóricas de itens não escolhidos desaparecerão. Itens criados por meio da criação com Omnichama não podem ser revertidos para um estado anterior por meio da Impressão.","Не выбранные призрачные копии предметов исчезнут. Предметы, созданные в результате ремесла Всепламени, нельзя вернуть к прежнему состоянию с помощью слепков.","Las copias fantasmales de los objetos que no hayas elegido desaparecerán. Los objetos creados mediante la fabricación de la llama eterna no se pueden devolver al estado anterior mediante la copia.","ไอเทมสำเนาผี ที่ไม่ถูกเลือกจะหายไป ไอเทมที่ถูกสร้างขึ้นมาด้วยผลของการคราฟท์ออลเฟลมจะไม่สามารถใช้อิมพรินต์ให้คืนสู่สภาพเดิมได้","沒有被選擇的幽魂複製品會消失。透過不滅之火工藝製作的物品成果無法透過拓印回到其先前的狀態。","","","",""
40,"PhysicalThorns","Physical Thorns","Épines physiques","Physische Dornen","物理の棘","물리 가시","Espinhos Físicos","Физические шипы","Espinas físicas","ผิวหนามกายภาพ","物理荊棘","Physical Thorns activates when Hit by Physical Damage and lasts for 5 seconds.\r\nWhile active, it reflects a fixed amount of Physical Damage each time the monster with Physical Thorns receives a Physical Hit.\r\nMonsters cannot gain Physical Thorns more than once every 10 seconds.\r\nYou can only take Physical Thorns damage once every 0.1 seconds.","Les Épines physiques s'activent lorsque la cible est Touchée par des Dégâts physiques et durent 5 secondes.\r\nTant qu'elles sont actives, elles renvoient des Dégâts physiques à chaque fois que le monstre subit des Dégâts physiques au Toucher.\r\nLes monstres ne peuvent obtenir des Épines physiques qu'une fois toutes les 10 secondes.\r\nVous ne pouvez subir des Dégâts d'Épines physiques qu'une fois toutes les 0.1 seconde.","Physische Dornen werden bei einem Treffer aktiviert, der physischen Schaden verursacht und haben eine Dauer von 5 Sekunden. \r\nWährend sie aktiv sind, reflektieren sie einen festgelegten Betrag des physischen Schadens, jedes Mal, wenn ein Monster einen physischen Treffer erleidet. \r\nMonster können physische Dornen nicht öfter als einmal alle 10 Sekunden erhalten. \r\nIhr könnt physischen Dornenschaden nur einmal alle 0.1 Sekunden erleiden.","物理の棘は物理ダメージのヒットを受けた時に起動し、5秒持続する。\r\nアクティブ中、物理の棘を持つモンスターが物理のヒットを受けるたびに一定数値の物理ダメージを反射する。\r\nモンスターは10秒に一度だけ物理の棘を獲得できる。\r\nプレイヤーが物理の棘のダメージを受けるのは0.1秒に一度だけである。","물리 가시는 물리 피해에 명중당했을 때 활성화되어 5초 동안 지속됩니다.\r\n활성화된 동안, 물리 가시를 가진 몬스터가 물리 명중을 받을 때마다 일정량의 물리 피해를 반사합니다.\r\n몬스터는 10초에 한 번만 물리 가시를 획득할 수 있습니다.\r\n플레이어는 0.1초에 한 번만 물리 가시 피해를 받을 수 있습니다.","Espinhos físicos são ativados ao sofrer dano físico e duram 5 segundos.\r\nEnquanto estiver ativo, o monstro com espinhos físicos refletirá uma quantidade fixa de dano físico sempre que sofrer um ataque físico.\r\nMonstros não podem ganhar espinhos físicos mais de uma vez a cada 10 segundos.\r\nÉ possível sofrer dano de espinhos físicos apenas uma vez a cada 0,1 segundo.","Физические шипы срабатывают при получении удара с физическим уроном и длятся 5 секунд.\r\nПока действуют, они отражают фиксированное количество физического урона при каждом получении монстром с физическими шипами физического удара.\r\nМонстры не могут получить физические шипы чаще одного раза в 10 секунд.\r\nВы можете получить урон от физических шипов не чаще одного раза каждые 0,1 секунды.","Espinas físicas se activa al recibir un golpe de daño físico, y dura 5 segundos.\r\nMientras está activa, refleja una cantidad fija de daño físico cada vez que el monstruo con Espinas físicas recibe un golpe físico.\r\nLos monstruos no pueden ganar Espinas físicas más de una vez cada 10 segundos.\r\nSolo puedes recibir daño de Espinas físicas una vez cada 0.1 segundos.","ผิวหนามกายภาพ จะทำงานบนตัวมอนสเตอร์ 5 วินาทีเมื่อถูกปะทะด้วยความเสียหาย กายภาพ\r\nเมื่อมอนสเตอร์มีผิวหนามกายภาพ มันจะสะท้อนความเสียหาย กายภาพ ตายตัว ตามจำนวนครั้งที่มอนสเตอร์ตัวนั้นได้รับการปะทะที่มีความเสียหาย กายภาพ\r\nมอนสเตอร์จะมีผิวหนามกายภาพได้สูงสุด 1 ครั้งต่อ 10 วินาที\r\nคุณได้รับความเสียหาย ผิวหนามกายภาพ ได้สูงสุด 1 ครั้งต่อ 0.1 วินาทีเท่านั้น","物理荊棘會於被物理傷害擊中時啟動，持續 5 秒。\r\n啟動時，怪物會於物理荊棘啟動期間每次承受物理擊中時，反射固定值的物理傷害。\r\n怪物每 10 秒只能獲得物理荊棘一次。\r\n你每 0.1 秒只能承受一次物理荊棘傷害。","","","",""
41,"ElementalThorns","Elemental Thorns","Épines élémentaires","Elementare Dornen","元素の棘","원소 가시","Espinhos Elementais","Стихийные шипы","Espinas elementales","ผิวหนามธาตุ","元素荊棘","Elemental Thorns activates when Hit by Elemental Damage and lasts for 5 seconds.\r\nWhile active, it reflects a fixed amount of Elemental Damage each time the monster with Elemental Thorns receives an Elemental Hit, dealing Damage of the highest Elemental Damage type in the received Hit.\r\nMonsters cannot gain Elemental Thorns more than once every 10 seconds.\r\nYou can only take Elemental Thorns damage once every 0.1 seconds.","Les Épines élémentaires s'activent lorsque la cible est Touchée par des Dégâts élémentaires et durent 5 secondes.\r\nTant qu'elles sont actives, elles renvoient des Dégâts élémentaires à chaque fois que le monstre subit des Dégâts élémentaires au Toucher, infligeant des Dégâts du type de Dégâts élémentaires le plus élevé de la Touche subie.\r\nLes monstres ne peuvent obtenir des Épines élémentaires qu'une fois toutes les 10 secondes.\r\nVous ne pouvez subir des Dégâts d'Épines élémentaires qu'une fois toutes les 0.1 seconde.","Elementare Dornen werden bei einem Treffer aktiviert, der Elementarschaden verursacht und haben eine Dauer von 5 Sekunden. \r\nWährend sie aktiv sind, reflektieren sie einen festgelegten Betrag des Elementarschaden , jedes Mal, wenn ein Monster einen Elementartreffer erleidet. \r\nMonster können elementare Dornen nicht öfter als einmal alle 10 Sekunden erhalten. \r\nIhr könnt elementaren Dornenschaden nur einmal alle 0.1 Sekunden erleiden.","元素の棘は元素ダメージのヒットを受けた時に起動し、5秒持続する。\r\nアクティブ中、元素の棘を持つモンスターが元素のヒットを受けるたびに一定数値の元素ダメージを反射する。\r\nモンスターは10秒に一度だけ元素の棘を獲得できる。\r\nプレイヤーが元素の棘のダメージを受けるのは0.1秒に一度だけである。","원소 가시는 원소 피해에 명중당했을 때 활성화되어 5초 동안 지속됩니다.\r\n활성화된 동안, 원소 가시를 가진 몬스터가 원소 명중을 받을 때마다 일정량의 원소 피해를 반사해, 받은 명중의 원소 피해 유형 중 가장 높은 유형의 피해를 줍니다.\r\n몬스터는 10초에 한 번만 원소 가시를 획득할 수 있습니다.\r\n플레이어는 0.1초에 한 번만 원소 가시 피해를 받을 수 있습니다.","Espinhos elementais são ativados ao sofrer dano elemental e duram 5 segundos.\r\nEnquanto estiver ativo, o monstro com espinhos elementais refletirá uma quantidade fixa de dano elemental sempre que sofrer um ataque elemental, causando dano do tipo de dano elemental mais alto no ataque recebido.\r\nMonstros não podem ganhar espinhos elementais mais de uma vez a cada 10 segundos.\r\nÉ possível sofrer dano de espinhos elementais apenas uma vez a cada 0,1 segundo.","Стихийные шипы срабатывают при получении удара с уроном от стихий и длятся 5 секунд.\r\nПока действуют, они отражают фиксированное количество урона от стихий при каждом получении монстром со стихийными шипами удара от стихий, нанося урон от превалирующей стихии полученного удара.\r\nМонстры не могут получить стихийные шипы чаще одного раза в 10 секунд.\r\nВы можете получить урон от стихийных шипов не чаще одного раза каждые 0,1 секунды.","Espinas elementales se activa al recibir un golpe de daño elemental, y dura 5 segundos.\r\nMientras está activa, refleja una cantidad fija de daño elemental cada vez que el monstruo con Espinas elementales recibe un golpe elemental, lo que inflige el daño del tipo de daño elemental más alto que tuviera el golpe recibido.\r\nLos monstruos no pueden ganar Espinas elementales más de una vez cada 10 segundos.\r\nSolo puedes recibir daño de Espinas elementales una vez cada 0.1 segundos.","ผิวหนามธาตุ จะทำงานบนตัวมอนสเตอร์ 5 วินาทีเมื่อถูกปะทะด้วยความเสียหาย ธาตุ\r\nเมื่อมอนสเตอร์มีผิวหนามธาตุ มันจะสะท้อนความเสียหาย ธาตุ ตายตัว ตามจำนวนครั้งที่มอนสเตอร์ตัวนั้นได้รับการปะทะที่มีความเสียหาย ธาตุ โดยการสะท้อนนั้นจะสร้างความเสียหายตาม ธาตุที่มีความเสียหายสูงสุด ในการปะทะที่มันได้รับ\r\nมอนสเตอร์จะมีผิวหนามธาตุได้สูงสุด 1 ครั้งต่อ 10 วินาที\r\nคุณได้รับความเสียหาย ผิวหนามธาตุ ได้สูงสุด 1 ครั้งต่อ 0.1 วินาทีเท่านั้น","元素荊棘會於被元素傷害擊中時啟動，持續 5 秒。\r\n啟動時，怪物會於元素荊棘啟動期間每次承受元素擊中時，反射和該次擊中最高傷害的元素類型相同的固定傷害。\r\n怪物每 10 秒只能獲得元素荊棘一次。\r\n你每 0.1 秒只能承受一次元素荊棘傷害。","","","",""
42,"CrabTotem","Crab Totem","Totem crabe","Krabbentotem","カニトーテム","게 토템","Totem de Caranguejo","Крабовый тотем","Tótem de cangrejo","โทเทมปู","螃蟹圖騰","Supports Spell skills. Instead of casting that Spell, you will summon a Crab that casts the Spell for you. Crabs created this way are not Minions, but are considered to be Totems.\r\n\r\nCannot Support Channelling, Triggered, Cooldown or Vaal Spells, nor Skills used by things other than you, such as Traps, Mines or other proxies.","Modifie les Aptitudes de Sort. Plutôt que de lancer ce Sort, vous invoquez un Crabe qui lance le Sort à votre place. Les Crabes ainsi créés ne sont pas des Créatures ; ils sont considérés comme des Totems.\r\n\r\nNe peut pas modifier les Sorts de Canalisation, Déclenchés, ayant un Temps de recharge ou Vaal, ni les Aptitudes utilisées par toute autre entité que vous, comme les Pièges, les Mines ou d'autres intermédiaires.","Unterstützt Zauberfertigkeiten. Statt den Zauber zu wirken, beschwört Ihr eine Krabbe, die den Zauber für Euch wirkt. Krabben, die auf diese Weise erzeugt werden, sind keine Kreaturen, aber zählen als Totems.\r\n\r\nKann keine kanalisierten oder ausgelösten Fertigkeiten oder Fertigkeiten mit Abklingzeit oder Vaal-Zauber unterstützen, und auch keine Fertigkeiten, die von anderen Dingen außer Euch benutzt werden, wie Fallen, Minen oder andere Dinge.","スペルスキルをサポートする。そのスペルをキャストする代わりに、そのスペルをプレイヤーの代わりにキャストするカニを召喚する。この方法で生成されたカニはミニオンではなく、トーテムとして見なされる。\r\n\r\nチャネリングスペル、トリガーされるスペル、クールダウンスペルまたはヴァールスペルをサポートできず、トラップ、マインまたはその他のプロキシなどのプレイヤー以外の存在により使用されるスキルをサポートできない。","주문 스킬에 적용됩니다. 플레이어가 그 주문을 시전하지 않고, 그 대신 소환되는 게가 주문을 대신 시전해 줍니다. 이렇게 소환된 게는 소환수가 아니며, 토템으로 간주됩니다.\r\n\r\n집중 유지 주문, 발동형 주문, 재사용 대기시간이 있는 주문이나 바알 주문에는 적용되지 않으며, 덫이나 지뢰 등 플레이어가 아닌 개체가 사용하는 스킬에도 적용되지 않습니다.","Reforça habilidades de magia. Em vez de conjurar a magia, você invocará um caranguejo que a conjurará por você. Caranguejos criados dessa forma não são lacaios, mas são considerados totens.\r\n \r\nNão é possível reforçar magias de canalização, magias ativadas, magias com tempo de recarga ou magias vaal, nem habilidades usadas por entidades que não sejam você, como armadilhas, minas ou outros meios de execução indireta.","Усиливает умения чар. Вместо сотворения этих чар вы будете призывать краба, который сотворяет чары вместо вас. Созданные таким образом крабы не являются приспешниками, но считаются тотемами.\r\n\r\nНе может усиливать поддерживаемые и срабатывающие умения, умения с перезарядкой, умения ваал и умения, используемые кем-либо кроме вас, например ловушками, минами и другими подчинёнными объектами.","Asiste habilidades de hechizos. En lugar de lanzar ese hechizo, invocarás un cangrejo que lo lanzará por ti. Los cangrejos creados de esta forma no son esbirros, sino que se consideran tótems.\r\n\r\nNo puede asistir hechizos de canalización, de activación, de enfriamiento, vaal ni habilidades usadas por otras cosas que no seas tú, como las trampas, las minas u otros intermediarios.","ใช้เสริมสกิลเวท เปลี่ยนจากการร่ายเวทแบบปกติ เป็นการอัญเชิญปูที่ร่ายเวทนั้นให้กับคุณ ปูที่ถูกสร้างขึ้นมาด้วยวิธีนี้จะไม่นับว่าเป็นมิเนียน แต่จะนับว่าเป็นโทเทมแทน\r\n\r\nไม่สามารถเสริม เวทแชนเนล, เวทที่ถูกทริกเกอร์, เวทวาล์ หรือสกิลที่ใช้โดยสิ่งต่างๆ ที่ไม่ใช่คุณอย่างเช่นกับดัก ทุ่นระเบิด หรือวัตถุอื่นๆ ได้","輔助法術技能。你不再施放該法術，而是召喚一隻會替你施放該法術的螃蟹。以此方式創造的螃蟹不是召喚物，但會被視為圖騰。\r\n\r\n無法輔助引導、觸發、冷卻或瓦爾，也無法輔助由非你自身使用的技能，例如陷阱、投射物或其他代理物使用的技能。","","","",""
