"rownum","string_0","string_8","string_8 (French)","string_8 (German)","string_8 (Japanese)","string_8 (Korean)","string_8 (Portuguese)","string_8 (Russian)","string_8 (Spanish)","string_8 (Thai)","string_8 (Traditional Chinese)","string_16","string_16 (French)","string_16 (German)","string_16 (Japanese)","string_16 (Korean)","string_16 (Portuguese)","string_16 (Russian)","string_16 (Spanish)","string_16 (Thai)","string_16 (Traditional Chinese)","string_24","i32_32","string_36","string_44"
98,"PassiveSkillRefundGrantedSpecialisationPointsError","Insufficent Specialisation Points.\r\nTo refund this Skill, unallocate some of your\r\nSpecialisation Passive Skills. \r\n\r\nRequired Available Specialisation Points: {0}\r\nCurrent Available Specialisation Points: {1}","Points de Spécialisation insuffisants.\r\nPour rembourser cette Aptitude, désattribuez certains de vos Talents de Spécialisation. \r\n\r\nPoints de Spécialisation disponibles requis : {0}\r\nPoints de Spécialisation disponibles actuellement : {1}","Nicht genügend Spezialisierungspunkte.\r\nUm diese Fertigkeit zurückzuerstatten, entferne einen Teil deiner zugewiesenen\r\nspezialisierten Passiven Fertigkeiten. \r\n\r\nErforderliche verfügbare Spezialisierungspunkte: {0}\r\nAktuell verfügbare Spezialisierungspunkte: {1}","特化ポイントが不足しています。\r\nこのスキルを振り直すには、特化パッシブスキルの\r\n一部の割り当てを解除してください。 \r\n\r\n必要な利用可能な特化ポイント：{0}\r\n現在の利用可能な特化ポイント：{1}","특화 포인트가 부족합니다.\r\n이 스킬의 비용을 돌려받으려면 특화 패시브 스킬 중\r\n몇 개의 할당을 해제해야 합니다. \r\n\r\n필요한 잔여 특화 포인트: {0}\r\n현재 잔여 특화 포인트: {1}","Pontos de Especialização Insuficientes.\r\nPara restituir esta Habilidade, desatribua algumas das suas Habilidades Passivas de Especialização.\r\n\r\nPontos de Especialização Disponíveis Necessários: {0}\r\nPontos de Especialização Disponíveis Atuais: {1}","Недостаточно очков специализации.\r\nЧтобы отказаться от этого умения, отмените \r\nраспределение некоторых из ваших\r\nпассивных умений специализации.\r\n\r\nТребуется доступных очков специализации: {0}\r\nТекущие доступные очки специализации: {1}","Puntos de especialización insuficientes.\r\nPara reintegrar esta habilidad, desasigna algunas\r\nde tus habilidades pasivas de especialización. \r\n\r\nPuntos de especialización disponibles requeridos: {0}\r\nPuntos de especialización disponibles actuales: {1}","แต้มเฉพาะทางไม่เพียงพอ\r\nคุณสามารถรับคืนแต้มชนิดนี้ได้ด้วยการรับคืนแต้มพาสซีฟเฉพาะทางของคุณ\r\n\r\nแต้มเฉพาะทางที่ต้องการ: {0}\r\nแต้มเฉพาะทางที่มีอยู่: {0}","專精點數不足。\r\n若想退還此技能，請取消分配一些\r\n專精天賦技能。\r\n\r\n所需可用專精點數：{0}\r\n當前可用專精點數：{1}","","","","","","","","","","","",-351476468,"",""
99,"ItemErrorDuplicateSupportGemInSkill","This Skill gem contains duplicate Support gems.\r\nOnly one Support gem type is valid per skill.","Cette Gemme d'aptitude contient des Gemmes de soutien en double.\r\nUn seul type de Gemme de soutien est valide par Aptitude.","Diese Fertigkeitengemme enthält doppelte Unterstützungsgemmen.\r\nPro Fertigkeit ist nur ein Unterstützungsgemmen-Typ gültig.","このスキルジェムには重複したサポートジェムが含まれています。\r\nスキルごとに有効なサポートジェムタイプは1個のみです。","이 스킬 젬에는 중복 보조 젬이 장착되어 있습니다.\r\n스킬 하나당 하나의 보조 젬 유형만 유효합니다.","Esta Gema de Habilidade contém Gemas de Suporte duplicadas. \r\nApenas um tipo de Gema de Suporte é válido por habilidade.","Это умение содержит дублирующиеся камни поддержки.\r\nДопускается использовать только один камень поддержки каждого типа на умение.","Esta gema de habilidad contiene gemas de asistencia duplicadas.\r\nSolo un tipo de gema de asistencia es válida por habilidad.","หินสกิลนี้มีหินเสริมที่ซ้ำกัน\r\nคุณสามารถใช้หินเสริมชนิดเดียวกันได้เพียง 1 เม็ดต่อ 1 สกิลเท่านั้น","這個技能寶石含有兩個相同的輔助寶石。\r\n每個技能只能套用一種輔助寶石。","","","","","","","","","","","",1463116391,"",""
100,"GamepadAscendancyTreePopupOverview","You have ascended.\r\nUse [AscendancyPoints|Ascendancy Points] to allocate\r\nAscendancy Passive Skills. ","Vous avez réussi votre Ascendance.\r\nUtilisez les [AscendancyPoints|Points d'Ascendance] pour les attribuer\r\nà des Talents d'Ascendance.","Du hast die Aszendenz erreicht.\r\nVerwende [AscdendancyPoints|Aszendenz-Punkte], um die passiven\r\nAszendenz-Fertigkeiten zuzuweisen.","アセンダンシーを獲得した。\r\n[AscendancyPoints|アセンダンシーポイント]を使用して\r\nアセンダンシーパッシブスキルを割り当ててください。","전직했습니다.\r\n[AscendancyPoints|전직 포인트]를 사용해\r\n전직 패시브 스킬을 할당하십시오.","Você ascendeu. \r\nUse [AscendancyPoints|Pontos Ascendentes] para alocar \r\nHabilidades Passivas Ascendentes.","Вы возвысились.\r\nИспользуйте [AscendancyPoints|очки Восхождения] для выбора\r\nпассивных умений Восхождения.","Has ascendido.\r\nUsa los [AscendancyPoints|puntos de ascendencia] para asignar\r\nhabilidades pasivas de ascendencia.","คุณได้รับคลาสเสริมแล้ว\r\nคุณสามารถอัพพาสซีฟคลาสเสริมได้ด้วยการใช้[AscendancyPoints|แต้มคลาสเสริม]","你已完成昇華。\r\n使用[AscendancyPoints|昇華天賦點數]來分配\r\n昇華天賦技能。","","","","","","","","","","","",1189280135,"",""
101,"RecombinatorUILastResultLabelSuccess","<rareitem>{Recombination Succeeded}","<rareitem>{Recombinaison réussie}","<rareitem>{Rekombination erfolgreich}","<rareitem>{リコンビネート成功}","<rareitem>{재조합 성공}","<rareitem>{Sucesso na Recombinação} ","<rareitem>{Рекомбинация успешна}","<rareitem>{Recombinación completada}","<rareitem>{การผสมไอเทมสำเร็จ}","<rareitem>{重新組合成功}","","","","","","","","","","","",316670796,"",""
102,"RecombinatorUILastResultLabelFailed","<red>{Recombination Failed}","<red>{Recombinaison échouée}","<red>{Rekombination fehlgeschlagen}","<red>{リコンビネート失敗}","<red>{재조합 실패}","<red>{Falha na Recombinação}","<red>{Рекомбинация не удалась}","<red>{La recombinación ha fallado}","<red>{การผสมไอเทมล้มเหลว}","<red>{重新組合失敗}","","","","","","","","","","","",600835080,"",""
103,"SkillWarningNoValidWeaponEquipped","No valid Weapon equipped to use Skill.","Aucune arme équipée valide pour utiliser l'Aptitude.","Keine gültige Waffe ausgerüstet, um die Fertigkeit zu benutzen.","スキルを使用するために有効な武器が装備されていません。","유효한 무기가 장착되어 있지 않아 스킬을 사용할 수 없습니다.","Nenhuma arma válida equipada para usar a Habilidade.","В руках нет подходящего оружия.","No tienes un arma válida equipada para usar esta habilidad.","อาวุธที่สวมใส่ไม่สามารถใช้กับสกิลนี้ได้","未裝備有效武器以使用技能。","","","","","","","","","","","",-4709111,"",""
104,"ConsoleActionSetToggledMinion","Set Minion","Définir Créature","Kreatur festlegen","ミニオンをセット","소환수 설정","Configurar Lacaio","Назначить приспешника","Establecer esbirro","ตั้งมิเนียน","設定召喚物","","","","","","","","","","","",-2029600592,"",""
105,"SkillCraftingEquippedGemsFilter","Equipped Gems","Gemmes équipées","Ausgerüstete Gemmen","装備中のジェム","장착 중인 젬","Gemas Equipadas","Используемые камни","Gemas equipadas","<size:40>{หินที่ใส่}","已裝備的寶石","Upgradeable","Améliorable","Aufwertbar","アップグレード可能","업그레이드 가능","Aprimorável","Можно улучшить","Mejorable","อัพเกรดได้","可升級","",-269888122,"",""
106,"MapAreaStatsTitle","Map Modifiers","Modificateurs de Carte","Kartenmodifikatoren","マップモッド","지도 속성","Modificadores de Mapas","Свойства карты","Modificadores de mapa","ม็อดแผนที่","地圖詞綴","","","","","","","","","","","",572090636,"",""
107,"FavouriteMapsWindowKeepPinsOnScreenCheckboxLabel","Edge Display","Affichage périphérique","Randanzeige","画面端","가장자리 표시","Exibição de Borda","Показывать по краю экрана","Visualización de los bordes","แสดงภาพบนขอบจอ","邊緣顯示","","","","","","","","","","","",1875241293,"",""
108,"FavouriteMapsWindowKeepPinsOnScreenCheckboxPopup","","","","","","","","","","","","","","","","","","","","","",-1409364046,"",""
109,"GamepadOptionPriortiseInteractOverSkills","Prioritise Interact Over Skills","Donner la priorité aux Interactions plutôt qu'aux Aptitudes","Interaktion vor Fertigkeiten priorisieren","スキルよりもインタラクトを優先する","스킬보다 상호작용 우선","Priorizar interações em vez de habilidades","Отдавать приоритет взаимодействию вместо умений","Priorizar la interacción antes que las habilidades","ใช้งานก่อนใช้สกิลเสมอ","互動優先於技能","","","","","","","","","","","",-86029282,"",""
110,"GamepadOptionPriortiseInteractOverSkillsDesc","Forces interact to always take priority over Skills.\r\n\r\nWith this Setting off, only certain Interactions will have priority, such as Area Transitions.","Force les interactions à toujours prendre la priorité sur les Aptitudes.\r\n\r\nSi ce paramètre est désactivé, seules certaines interactions auront la priorité, comme les Transitions de zone.","Erzwingt, dass Interaktionen immer Vorrang vor Fertigkeiten haben.\r\n\r\nWenn diese Einstellung deaktiviert ist, haben nur bestimmte Interaktionen Vorrang, z. B. Gebietsübergänge.","常にスキルよりもインタラクションを優先させる。\r\n\r\nこの設定をオフにすると、エリア移動など特定のインタラクションのみが優先される。","상호작용이 항상 스킬보다 우선적으로 실행되게 합니다.\r\n\r\n이 설정을 끄면 지역 이동 등의 특정 상호작용만 우선적으로 실행됩니다.","Força a interação para sempre ter prioridade sobre Habilidades.\r\n\r\nCom essa configuração desativada, apenas certas Interações terão prioridade, como Transições de Área.","Если включено, взаимодействие всегда будет иметь приоритет над умениями.\r\n\r\nЕсли выключено, только некоторые взаимодействия будут иметь приоритет, например переходы между областями.","Fuerza a que la interacción siempre tenga prioridad sobre las habilidades.\r\n\r\nCon este ajuste desactivado, solo tendrán prioridad ciertas interacciones, como las transiciones de área.","บังคับให้ตัวละครใช้งานวัตถุตามฉากก่อนการใช้สกิล\r\n\r\nหากปิดการตั้งค่านี้ ตัวละครจะทำการใช้งานวัตถุเพียงบางอย่างเท่านั้น อย่างเช่นจุดเปลี่ยนด่าน","強制互動永遠優先於技能。\r\n\r\n關閉此設定時，只有特定的互動才會有優先權，例如區域轉換。","","","","","","","","","","","",-1941044830,"",""
111,"GamepadActionShowStashOptions","Edit Tab Settings","Modifier les paramètres de l'Onglet","Facheinstellungen editieren","タブの設定を編集","탭 설정 편집","Editar Configurações de Aba","Настройки секции","Editar ajustes de pestañas","แก้ไขการตั้งค่าแท็บ","編輯頁面設定","","","","","","","","","","","",2143521836,"",""
112,"GamepadActionCollapseFolder","Collapse Folder","Réduire le dossier","Ordner einklappen","ファルダを折りたたむ","폴더 접기","Fechar Pasta","Свернуть папку","Contraer carpeta","พับโฟลเดอร์","收起資料夾","","","","","","","","","","","",1552878822,"",""
113,"GamepadActionExpandFolder","Expand Folder","Développer le dossier","Ordner ausklappen","フォルダを展開","폴더 펼치기","Abrir Pasta","Развернуть папку","Expandir carpeta","ขยายโฟลเดอร์","展開資料夾","","","","","","","","","","","",-142984258,"",""
114,"StashTabSettingsTitle","Stash Tab Settings","Paramètres de l'Onglet de Réserve","Truhenfach-Einstellungen","スタッシュタブ設定","보관함 탭 설정","Configurações de aba do baú","Настройки секции тайника","Ajustes de la pestaña de alijo","ตั้งค่าแท็บคลัง","倉庫頁設定","","","","","","","","","","","",-923008122,"",""
115,"Colour","Colour","Couleur","Farbe","色","색상","Cor","Цвет","Color","สี","顏色","","","","","","","","","","","",-945912732,"",""
116,"GamepadReorderStashTabsTitle","Organise Tabs","Réorganiser les Onglets","Organisiere Fächer","タブを整理","탭 정리","Organizar abas","Изменить порядок секций","Organizar pestañas","จัดแท็บ","管理頁面","","","","","","","","","","","",1611277072,"",""
117,"GamepadReorderStashTabsLegends","<bigger>{<<xbox_button_a>>} Select Tab\r\n<bigger>{<<xbox_button_x>>} Move Tab To Top\r\n<bigger>{<<xbox_button_b>>} Finish Reordering","<bigger>{<<xbox_button_a>>} Sélectionner l'Onglet\r\n<bigger>{<<xbox_button_x>>} Déplacer l'Onglet vers le haut\r\n<bigger>{<<xbox_button_b>>} Terminer la réorganisation","<bigger>{<<xbox_button_a>>} Wähle Fach\r\n<bigger>{<<xbox_button_x>>} Verschiebe Fach nach oben\r\n<bigger>{<<xbox_button_b>>} Schließe Neuanordnung ab","<bigger>{<<xbox_button_a>>} タブを選択\r\n<bigger>{<<xbox_button_x>>} タブを先頭に移動\r\n<bigger>{<<xbox_button_b>>} 並び替えを終了","<bigger>{<<xbox_button_a>>} 탭 선택\r\n<bigger>{<<xbox_button_x>>} 탭을 상단으로 이동\r\n<bigger>{<<xbox_button_b>>} 순서 변경 완료","<bigger>{<<xbox_button_a>>} Selecionar aba\r\n<bigger>{<<xbox_button_x>>} Mover aba para o topo\r\n<bigger>{<<xbox_button_b>>} Concluir reordenação","<bigger>{<<xbox_button_a>>} Выбрать секцию\r\n<bigger>{<<xbox_button_x>>} Переместить секцию наверх\r\n<bigger>{<<xbox_button_b>>} Завершить","<bigger>{<<xbox_button_a>>} Seleccionar pestaña\r\n<bigger>{<<xbox_button_x>>} Mover pestaña arriba\r\n<bigger>{<<xbox_button_b>>} Finalizar reorganización","<bigger>{<<xbox_button_a>>} เลือกแท็บ\r\n<bigger>{<<xbox_button_x>>} ย้ายแท็บไปด้านบนสุด\r\n<bigger>{<<xbox_button_b>>} ยืนยันการจัดแท็บ","<bigger>{<<xbox_button_a>>} 選擇頁面\r\n<bigger>{<<xbox_button_x>>} 將頁面移至頂部\r\n<bigger>{<<xbox_button_b>>} 完成重新排列","","","","","","","","","","","",925635188,"",""
118,"GamepadReorderStashFolderSubTabsTitle","Organise Tabs In Folder","Ranger les Onglets dans un dossier","Organisiere Fächer in Ordnern","フォルダ内のタブを整理","폴더로 탭 정리","Organizar abas na pasta","Изменить порядок секций в папке","Organizar las pestañas de la carpeta","จัดแท็บภายในโฟลเดอร์","在資料夾中管理頁面","","","","","","","","","","","",929521790,"",""
119,"GoddessOfJusticeEternalFlameLandmark","Goddess of Justice","Déesse de la Justice","Göttin der Gerechtigkeit","正義の女神","정의의 여신","Deusa da Justiça","Богиня правосудия","Diosa de la justicia","เทพีแห่งความยุติธรรม","正義女神","","","","","","","","","","","",1839385645,"",""
120,"LogInToTownTitle","Log in to Town or Hideout","Se connecter en Ville ou au Repaire","Anmelden in Stadt oder Versteck","街または隠れ家にログイン","로그인 시 마을 또는 은신처에서 시작","Acessar a vila ou o refúgio","Войти в игру в лагере или убежище","Aparecer en el pueblo o la guarida","ล็อกอินเข้าเมืองหรือที่ซ่อน","登入至城鎮或藏身處","","","","","","","","","","","",1901012103,"",""
121,"LogInToTownWarning","Are you sure you want to log in to your most recent Town or Hideout instead of attempting to return to the Area where you last logged out?\r\n\r\nAny progression at your previous location will be lost.","Êtes-vous sûr de vouloir vous connecter dans votre Ville ou Repaire le plus récent plutôt que de tenter de retourner dans la Zone précédent votre dernière déconnexion ?\r\n\r\nToute progression réalisée dans cette Zone sera perdue.","Bist du sicher, dass du dich in deiner letzten Stadt oder deinem letzten Versteck anmelden willst, anstatt zu dem Gebiet zurückzukehren, in dem du dich zuletzt abgemeldet hast?\r\n\r\nJeglicher Fortschritt an deinem vorherigen Standort geht verloren.","最後にログアウトしたエリアに戻らず、最後にログアウトした街または隠れ家にログインしますか？\r\n\r\nそのエリアでの進行状況はすべて失われます。","로그인 시 마지막으로 로그아웃했던 지역으로 돌아가지 않고, 최근 방문했던 마을 또는 은신처에서 시작하시겠습니까?\r\n\r\n이전 위치에서 진행했던 기록은 사라집니다.","Quer mesmo acessar a vila ou o refúgio mais recente em vez de tentar voltar à área onde você se desconectou pela última vez?\r\n\r\nTodo o progresso naquele local será perdido.","Вы уверены, что хотите войти в последний посещённый лагерь или убежище вместо попытки вернуться в область, где вы покинули игру?\r\n\r\nВесь прогресс из вашего прежнего местонахождения будет потерян.","¿Seguro que quieres aparecer en el pueblo más reciente o en tu guarida en lugar de intentar volver al área de donde te desconectaste la última vez?\r\n\r\nTodo el progreso de tu ubicación anterior se perderá.","คุณต้องการล็อกอินเข้าไปในเมืองหรือที่ซ่อนล่าสุด แทนที่จะกลับไปยังด่านที่คุณอยู่ก่อนล็อกเอาท์หรือไม่?\r\n\r\nคุณจะสูญเสียความก้าวหน้าในด่านล่าสุดของคุณทั้งหมด","你確定要登入至你近期去過的城鎮或藏身處，而不是嘗試回到你上次登出的位置嗎？¶\r\n¶\r\n你前一位置的任何進度都將遺失。","","","","","","","","","","","",1014422181,"",""
122,"LogInToTownWarningMap","Are you sure you want to log in to your most recent Town or Hideout instead of attempting to return to the Area where you last logged out?\r\n\r\nThis will cost an endgame Map Portal, and may result in you being unable to access the Map.","Êtes-vous sûr de vouloir vous connecter dans votre Ville ou Repaire le plus récent plutôt que de tenter de retourner dans la Zone précédent votre dernière déconnexion ?\r\n\r\nCette action consommera un Portail de Carte d'endgame et pourrait rendre la Carte inaccessible s'il s'agissait de votre dernier Portail.","Bist du sicher, dass du dich in deiner letzten Stadt oder deinem letzten Versteck anmelden willst, anstatt zu dem Gebiet zurückzukehren, in dem du dich zuletzt abgemeldet hast?\r\n\r\nDies kostet ein Endgame-Kartenportal und kann dazu führen, dass du keinen Zugriff mehr auf die Karte hast.","最後にログアウトしたエリアに戻らず、最後にログアウトした街または隠れ家にログインしますか？\r\n\r\nエンドゲームマップポータルが必要になり、そのマップにアクセスできなくなる可能性があります。","로그인 시 마지막으로 로그아웃했던 지역으로 돌아가지 않고, 최근 방문했던 마을 또는 은신처에서 시작하시겠습니까?\r\n\r\n엔드게임 지도 포탈이 하나 소모되고, 지도를 사용할 수 없게 될 수도 있습니다.","Quer mesmo acessar a vila ou o refúgio mais recente em vez de tentar voltar à área onde você se desconectou pela última vez?\r\n\r\nIsso gastará um portal de mapa do fim de jogo e pode impedir o acesso ao mapa depois.","Вы уверены, что хотите войти в последний посещённый лагерь или убежище вместо попытки вернуться в область, где вы покинули игру?\r\n\r\nЭто потратит портал на высокоуровневую карту и может лишить вас доступа к ней.","¿Seguro que quieres aparecer en el pueblo más reciente o en tu guarida en lugar de intentar volver al área de donde te desconectaste la última vez?\r\n\r\nEsto te costará un portal de mapa, y puede que te impida volver a acceder al mapa.","คุณต้องการล็อกอินเข้าไปในเมืองหรือที่ซ่อนล่าสุด แทนที่จะกลับไปยังด่านที่คุณอยู่ก่อนล็อกเอาท์หรือไม่?\r\n\r\nคุณจะเสียวาร์ปช่วงท้ายเกมไปหนึ่งแห่ง และอาจทำให้คุณไม่สามารถเข้าถึงแผนที่นั้นได้อีก","你確定要登入至你近期去過的城鎮或藏身處，而不是嘗試回到你上次登出的位置嗎？\r\n\r\n這將會消耗一個終局地圖傳送門，且可能會使你無法進入地圖。","","","","","","","","","","","",-777840078,"",""
123,"WarpWaypointButtonHover","Travel to Waypoint","Se rendre au Point de téléportation","Zum Wegpunkt reisen","ウェイポイントに向かう","거점으로 이동","Ir até o ponto de acesso","Отправиться к контрольной точке","Viajar al transportador","เดินทางไปยังเวย์พอยน์","前往傳送點","","","","","","","","","","","",1493347376,"",""
124,"GamepadActionStartGameInTown","Start Game in Town/Hideout","Commencer à jouer en Ville ou au Repaire","Spiel in Stadt/Versteck beginnen","街/隠れ家でゲームを開始","마을/은신처에서 게임 시작","Iniciar o jogo na cidade/refúgio","Начать игру в лагере/убежище","Iniciar el juego en el pueblo/guarida","เริ่มเกมในเมือง/ที่ซ่อน","在城鎮/藏身處開始遊戲","","","","","","","","","","","",-105061457,"",""
125,"WorldPanelWarpToArea","Warp to {0}","Se téléporter vers {0}","Nach {0} teleportieren","{0}へワープ","{0}으(로) 이동","Teletransportar para {0}","Перенестись в {0}","Teletransportarte a {0}","วาร์ปไปยัง {0}","傳送到 {0}","","","","","","","","","","","",-815109843,"",""
126,"WorldPanelWarpErrorNoWaypoint","Area does not contain a Waypoint.","Cette zone ne contient aucun Point de téléportation.","Das Gebiet enthält keinen Wegpunkt.","このエリアにウェイポイントはありません。","지역에 거점이 없습니다.","A área não tem um ponto de passagem.","В области нет портала.","Esta área no tiene un transportador.","ด่านนี้ไม่มีเวย์พอยน์","區域中並無傳送點。","","","","","","","","","","","",-398961028,"",""
127,"WorldPanelWarpErrorWaypointInactive","Waypoint for Area has not been Activated.","Le Point de téléportation de cette Zone n'a pas été activé.","Der Wegpunkt für dieses Gebiet wurde nicht aktiviert.","このエリアのウェイポイントは起動していません。","이 지역의 거점이 활성화되지 않았습니다.","O ponto de passagem da área não foi ativado.","Портал в области не активирован.","El transportador de esta área no está activado.","ไม่มีการเปิดใช้เวย์พอยน์ในด่านนี้มาก่อน","區域中傳送點尚未啟動。","","","","","","","","","","","",-1073545123,"",""
128,"WorldPanelWarpErrorNotVisited","You have not visited this Area.","Vous n'êtes pas encore allé dans cette Zone.","Du hast dieses Gebiet noch nicht besucht.","このエリアを訪れたことがありません。","가 본 적 없는 지역입니다.","Você ainda não foi a essa área.","Вы ещё не посетили эту область.","No has visitado esta área.","คุณยังไม่เคยมาเยือนด่านนี้มาก่อน","你未曾進入此區域。","","","","","","","","","","","",825379698,"",""
129,"GamepadStashEditorModeTitle","Edit Stash Mode","Mode édition de la Réserve","Truhenbearbeitungs-Modus ","スタッシュモードを編集","보관함 편집 모드","Editar Modo Baú","Редактор секций","Modo de editar alijo","โหมดแก้ไขคลัง","編輯倉庫模式","","","","","","","","","","","",-551521292,"",""
130,"GamepadActionEditStash","Stash Options","Options de la Réserve","Truhen-Optionen","スタッシュを編集","보관함 옵션","Opções de Baú","Настройки тайника","Opciones de alijo","ตัวเลือกคลังเก็บของ","倉庫選項","","","","","","","","","","","",1927682872,"",""
131,"GamepadActionMoveStashTab","Move Tab","Déplacer l'Onglet","Truhenfach verschieben","タブを移動","탭 이동","Mover Aba","Переместить","Mover pestaña","ย้ายแท็บ","移動頁面","","","","","","","","","","","",-1461844884,"",""
132,"GamepadActionStopMoveTab","Place Tab","Placer l'Onglet","Truhenfach platzieren","タブを配置","탭 배치","Inserir Aba","Подтвердить","Colocar pestaña","วางแท็บ","放置頁面","","","","","","","","","","","",-1232777755,"",""
133,"GamepadActionMoveStashTabToTop","Move to Top","Déplacer en haut","Nach oben bewegen","先頭に移動","제일 위로 이동","Mover para o Topo","Наверх","Mover arriba","เลื่อนไปด้านบนสุด","移動到頂端","","","","","","","","","","","",1111829720,"",""
134,"SkillPanelWarningSupportCapacityExceeded","Support Gem Capacity Exceeded","Capacité de Gemmes de soutien dépassée","Kapazität für Unterstützungsgemmen überschritten","サポートジェムの上限超過","보조 젬 사용량 초과","Capacidade de Gemas de Reforço Excedida","Превышено число камней поддержки","Capacidad de la gema de asistencia excedida","หินเสริมถึงจำนวนจำกัดแล้ว","超出輔助寶石容量","","","","","","","","","","","",-2058370230,"",""
135,"GamepadQuickNavigateApplyMode","Quick Navigate (Applicable Items Only)","Navigation rapide (Objets applicables uniquement)","Schnellnavigation (Nur geeignete Gegenstände)","クイックナビゲート（該当するアイテムのみ）","빠른 찾기 (해당되는 아이템에만 적용)","Navegação Rápida (Apenas Itens Aplicáveis)","Быстрое перемещение (только подходящие предметы)","Navegar rápido (Solo se aplica a objetos)","เลือกดูรวดเร็ว (เฉพาะไอเทมที่ใช้งานได้)","快速引導（僅限適用物品）","","","","","","","","","","","",663840830,"",""
136,"GamepadActionStopSalvaging","Exit Salvage Bench","Quitter l'Établi de recyclage","Verwertungsbank verlassen","サルベージベンチを終了","분해 작업대 나가기","Sair da Bancada de Reciclagem","Закрыть верстак для разборки","Salir de la Mesa de reciclaje","ออกจากโต๊ะรื้อ","退出回收台","","","","","","","","","","","",-1394475488,"",""
137,"GamepadActionShowFolderOptions","Edit Folder Settings","Éditer les paramètres du dossier","Ordnereinstellungen editieren","ファルダ設定を編集","폴더 설정 편집","Editar Configurações de Pasta","Настройка папки","Salir de los ajustes de las pestañas","แก้ไขการตั้งค่าโฟลเดอร์","編輯資料夾設定","","","","","","","","","","","",-226923532,"",""
138,"GamepadActionExitEditStashMode","Exit Edit Stash Mode","Quitter le mode édition de la Réserve","Truhenbearbeitungs-Modus verlassen","スタッシュモードを編集を終了","보관함 편집 모드 나가기","Fechar Edição de Modo Baú","Закрыть редактор секций","Salir del modo de editar alijo","ออกจากโหมดแก้ไขคลัง","退出編輯倉庫模式","","","","","","","","","","","",891221122,"",""
139,"GamepadActionAddNewFolder","Add Folder","Ajouter un dossier","Ordner hinzufügen","フォルダを追加","폴더 추가","Adicionar Pasta","Добавить папку","Añadir carpeta","สร้างโฟลเดอร์","新增資料夾","","","","","","","","","","","",-1461839129,"",""
140,"StashNewFolderDefaultName","New Folder","Nouveau dossier","Neuer Ordner","新しいフォルダ","폴더 새로 만들기","Nova Pasta","Новая папка","Nueva carpeta","โฟลเดอร์ใหม่","新資料夾","","","","","","","","","","","",-1271169498,"",""
141,"StashNewFolderSelectablesTitle","Select Tabs to be added to Folder","Sélectionner les Onglets à ajouter au dosssier","Wähle Fächer, die dem Ordner hinzugefügt werden","フォルダに追加するタブを選択","폴더에 추가할 탭을 선택하세요.","Selecione as abas para adicionar à pasta","Выберите секции для добавления в папку","Selecciona pestañas para añadirlas a la carpeta","เลือกแท็บที่ใส่เข้าโฟลเดอร์นี้","選擇加入資料夾的頁面","","","","","","","","","","","",879115119,"",""
142,"StashNewFolderDescription","A Folder must contain at least one Stash Tab","Un dossier doit contenir au moins un Onglet de Réserve","Ein Ordner muss mindestens ein Truhenfach enthalten","フォルダには少なくとも1個のスタッシュタブが含まれている必要があります","폴더는 보관함 탭을 1개 이상 포함해야 합니다.","A pasta precisa ter ao menos uma aba de baú","Папка должна содержать хотя бы одну секцию","Una carpeta debe tener al menos una pestaña de alijo","โฟลเดอร์จะต้องมีแท็บคลังอย่างน้อย 1 แท็บ","資料夾必須含有至少一個倉庫頁","","","","","","","","","","","",-764125735,"",""
143,"MicrotransactionTrackedStatisticTitleNumUltimatumTrialMasterBossKills","Trial Master Kills","Éliminations du Maître des Épreuves","Prüfungsmeister Tötungen","トライアルマスター撃破回数","시련의 대가 처치","Abates do Mestre das Provações","Убийств Мастера испытаний","Asesinatos del Maestro de pruebas","ผู้คุมบททดสอบที่ถูกสังหาร","試煉大師擊殺數","","","","","","","","","","","",1994709809,"",""
144,"MicrotransactionTrackedStatisticTitleNumUltimatumEncountersFailed","Failed Ultimatums","Ultimatums échoués","Fehlgeschlagene Ultimaten","アルティメイタム失敗回数","실패한 결전","Ultimatos Fracassados","Проваленных Ультиматумов","Ultimátums fallados","คำขาดที่ล้มเหลว","失敗的最後通牒","","","","","","","","","","","",-1047188718,"",""
145,"MicrotransactionTrackedStatisticTitleNumUltimatumEncountersSucceeded","Completed Ultimatums","Ultimatums terminés","Abgeschlossene Ultimaten","アルティメイタム完了回数","완료한 결전","Ultimatos Completados","Завершённых Ультиматумов","Ultimátums completados","คำขาดที่ผ่าน","完成的最後通牒","","","","","","","","","","","",1666783054,"",""
146,"MicrotransactionTrackedStatisticTitleNumUltimatumEncounterWavesCompleted","Total waves completed","Vagues terminées","Wellen insgesamt abgeschlossen","合計ウェーブ完了数","완료한 총 웨이브 수","Total de Levas Completadas","Всего пройдено волн","Oleadas totales completadas","รอบทั้งหมดที่ผ่าน","總共完成波數","","","","","","","","","","","",-600328174,"",""
147,"MicrotransactionHallowedCryptMapDeviceTrackedStatisticTitleBreach","Breach","Breach","Breach","ブリーチ","균열","Fenda","Разлом","Breach","บรีช","裂痕","","","","","","","","","","","",-162555980,"",""
148,"MicrotransactionHallowedCryptMapDeviceTrackedStatisticTitleAbyss","Abyss","Abyss","Abyss","アビス","심연","Abismo","Бездна","Abyss","อะบิส","深淵","","","","","","","","","","","",-69359781,"",""
