"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","PackLeader1","PackLeader1 (French)","PackLeader1 (German)","PackLeader1 (Japanese)","PackLeader1 (Korean)","PackLeader1 (Portuguese)","PackLeader1 (Russian)","PackLeader1 (Spanish)","PackLeader1 (Thai)","PackLeader1 (Traditional Chinese)","PackLeader2","PackLeader2 (French)","PackLeader2 (German)","PackLeader2 (Japanese)","PackLeader2 (Korean)","PackLeader2 (Portuguese)","PackLeader2 (Russian)","PackLeader2 (Spanish)","PackLeader2 (Thai)","PackLeader2 (Traditional Chinese)","Mod"
877,"chaos-water-spiral1","Seething Brine","Embruns bouillonnants","Siedende Gischten","シージングブライン","들끓는 해수","Salmouras Fervilhantes","Бурлящие водяные","Furias salinas","Seething Brine","活水之靈","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconWaterElemental","<craftingcold>{Water} <white>{Constructs}","<white>{Fabrications} d'<craftingcold>{eau}","<craftingcold>{Wasser}-<white>{Konstrukte}","<craftingcold>{水}の<white>{コンストラクト}","<craftingcold>{물} <white>{구조물}.","<white>{Construtos} de <craftingcold>{Água} ","<craftingcold>{Водные} <white>{создания}","<white>{Constructos} de <craftingcold>{agua}","<white>{ชีวิตประดิษฐ์} <craftingcold>{น้ำ}","<craftingcold>{水中}<white>{創造物}","<white>{Pack Leader:}\r\n<white>{Maelström} ","<white>{Chef de groupe :}\r\n<white>{Maelström}","<white>{Gruppenanführer:}\r\n<white>{Mahlstrom}","<white>{パックリーダー：}\r\n<white>{大渦}","<white>{무리 우두머리:}\r\n<white>{마엘스트롬}","<white>{Líder do Grupo:}\r\n <white>{Redemoinho}","<white>{Лидер группы:}\r\n<white>{Вихрь} ","<white>{Líder del grupo:}\r\n<white>{Vorágine}","<white>{หัวหน้ากอง:}\r\n<white>{กระแสน้ำวน}","<white>{怪物群首領：}<white>{魔暴} ","<white>{Pack Leader:}\r\n<white>{Maelström} \r\nCasts <craftingcold>{Water} Vortex","<white>{Chef de groupe :}\r\n<white>{Maelström}\r\nLance Vortex d'<craftingcold>{eau}","<white>{Gruppenanführer:}\r\n<white>{Mahlstrom}\r\nZaubert <craftingcold>{Wasser-Vortex}","<white>{パックリーダー：}\r\n<white>{大渦}\r\n<craftingcold>{ウォーター}ヴォーテックスをキャストする","<white>{무리 우두머리:}\r\n<white>{마엘스트롬}\r\n<craftingcold>{물} 소용돌이를 시전합니다.","<white>{Líder do Grupo:}\r\n <white>{Redemoinho} \r\n Conjura Vórtice de <craftingcold>{Água}","<white>{Лидер группы:}\r\n<white>{Вихрь} \r\nСотворяет <craftingcold>{Водоворот}","<white>{Líder del grupo:}\r\n<white>{Vorágine}\r\nLanza Vórtice de <craftingcold>{agua}","<white>{หัวหน้ากอง:}\r\n<white>{กระแสน้ำวน}\r\nร่าย <craftingcold>{วารี}วน","<white>{怪物群首領：}<white>{魔暴}\r\n施放<craftingcold>{水}之漩渦",""
878,"AtlasUber-fire1","Cannibal Fire-Breathers and Arsonists","Cannibales cracheurs de feu et incendiaires","Kannibalen-Feuerschlucker und Brandstifter","カニバル・ファイヤーブレサーと放火魔","식인종 화염숨결 및 방화범","Canibais Bafo de Fogo Incendiários","Людоеды-изрыгатели огня и поджигатели","Caníbales escupefuego y pirómanos","Cannibal Fire-Breather และ Arsonist","食人焰息者與縱火者","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/T17MonsterIconFireFuryCannibal","Aggressive <white>{Humanoids}\r\nBreathes <craftingfire>{Fire}\r\nThrows <craftingfire>{Fire} bombs","<white>{Humanoïdes} aggressifs\r\nCrache du <craftingfire>{feu}\r\nJete des Bombes de <craftingfire>{enflammées}","Aggressive <white>{Humanoide}\r\nSpuckt <craftingfire>{Feuer}\r\nWirft <craftingfire>{Feuerbomben}","積極的な<white>{人型}\r\n<craftingfire>{火}を吐く\r\n<craftingfire>{ファイヤー}ボムを投げる","공격적인 <white>{인간형}.\r\n<craftingfire>{화염}을 내뿜습니다.\r\n<craftingfire>{화염} 폭탄을 던집니다.","<white>{Humanóides} Agressivos\r\n Sopra <craftingfire>{Fogo}\r\n Arremessa Bomba de <craftingfire>{Fogo}","Агрессивные <white>{гуманоиды}\r\nИзрыгают <craftingfire>{огонь}\r\nБросают <craftingfire>{огненные} бомбы","<white>{Humanoides} agresivos\r\nEscupen <craftingfire>{fuego}\r\nLanzan bombas de <craftingfire>{fuego}","<white>{มนุษย์} ก้าวร้าว\r\nพ่น<craftingfire>{ไฟ}\r\nโยน ระเบิด<craftingfire>{ไฟ}","兇猛的<white>{人形}\r\n噴吐<craftingfire>{火焰}\r\n投擲<craftingfire>{火焰}炸彈","<white>{Pack Leader:\r\nFire Frenzy}","<white>{Chef de groupe :}\r\n<white>{Frénésie de feu}","<white>{Gruppenanführer:\r\nFeuerrausch}","<white>{パックリーダー：}\r\n<white>{火の激怒}","<white>{무리 우두머리:\r\n불의 격분}","<white>{Líder do Grupo:\r\n Fúria Ardente}","<white>{Лидер группы:\r\nЯрость огня}","<white>{Líder del grupo:\r\nFrenesí de fuego}","<white>{หัวหน้ากอง:\r\nเพลิงแค้นคลั่ง}","<white>{怪物群首領：火焰狂怒}","<white>{Pack Leader:\r\nFire Frenzy}\r\nCasts <craftingfire>{Firestorm}, <craftingfire>{Flame} dash","<white>{Chef de groupe :}\r\n<white>{Frénésie de feu}\r\nLance Tempête de <craftingfire>{feu}, Irruption <craftingfire>{enflammée}","<white>{Gruppenanführer:\r\nFeuerrausch}\r\nZaubert <craftingfire>{Feuersturm}, <craftingfire>{Flammenspurt}","<white>{パックリーダー：}\r\n<white>{火の激怒}\r\n<craftingfire>{ファイヤー}ストーム、<craftingfire>{フレイム}ダッシュをキャストする","<white>{무리 우두머리:\r\n불의 격분}\r\n<craftingfire>{화염} 폭풍, <craftingfire>{화염} 질주를 시전합니다.","<white>{Líder do Grupo:\r\n Fúria Ardente}\r\n Conjura <craftingfire>{Tormenta Flamejante}, Avanço <craftingfire>{Flamejante}","<white>{Лидер группы:\r\nЯрость огня}\r\nСотворяет <craftingfire>{Огненный шторм}, <craftingfire>{Огненный рывок}","<white>{Líder del grupo:\r\nFrenesí de fuego}\r\nLanza <craftingfire>{Tormenta de fuego} y Embestida de <craftingfire>{llamas}","<white>{หัวหน้ากอง:\r\nเพลิงแค้นคลั่ง}\r\nร่าย พายุ<craftingfire>{ไฟ} (Firestorm), พุ่ง<craftingfire>{ไฟ} (Flame Dash)","<white>{怪物群首領：火焰狂怒}\r\n施放<craftingfire>{烈炎風暴}、<craftingfire>{烈焰}衝擊",""
879,"AtlasUber-fire2","Goatmen Magus","Mages hommes-boucs","Ziegenmensch-Magier","ゴートマン・メイガス","염소인간 신관","Faunos Magos","Маги козерогов","Hombres cabra magos","Goatman Magus","堅蹄羊人瑪格思","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconGoatManCaster","<white>{Beast} Goatmen\r\nCasts <craftingfire>{Fireball}, <craftingfire>{Flame} Lance","Hommes-boucs (<white>{Bêtes})\r\nLance Boule de <craftingfire>{feu}, Lance de <craftingfire>{flame}","<white>{Bestien}-Ziegenmenschen\r\nZaubert <craftingfire>{Feuerball}, <craftingfire>{Flammenlanze}","<white>{獣}のゴートマン\r\n<craftingfire>{ファイヤー}ボール、<craftingfire>{フレイム}ランスをキャストする","<white>{야수} 염소인간.\r\n<craftingfire>{화염구}, <craftingfire>{화염} 기병창을 시전합니다.","Fauno <white>{Bestial}\r\n Conjura <craftingfire>{Bola de Fogo}, Lança <craftingfire>{Flamejante}","Козероги (<white>{звери})\r\nСотворяют <craftingfire>{Огненный шар} и <craftingfire>{Копье пламени}","Hombres cabra <white>{bestias}\r\nLanzan Bola de <craftingfire>{fuego} y Lanza de <craftingfire>{fuego}","มนุษย์แพะ<white>{สัตว์ร้าย}\r\nร่าย บอล<craftingfire>{ไฟ} (Fireball), ทวน<craftingfire>{ไฟ}","<white>{野獸}羊人\r\n施放<craftingfire>{火球}、<craftingfire>{火焰}矛","","","","","","","","","","","","","","","","","","","","",""
880,"AtlasUber-fire3","Molten Chimerals","Chimérals en fusion","Geschmolzene Chimären","溶融したキメラル","녹아내린 키메랄","Quimerais Vulcânicos","Расплавленные химеры","Quimerinas fundidas","Molten Chimeral","熔岩龍蜥","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/T17MonsterIconMoltenChimeral","Ranged <white>{Beasts} \r\nUses Petrification Glare\r\nBreathes <craftingfire>{Fire}","<white>{Bêtes} attaquant à distance\r\nUtilise Regarde pétrifiant\r\nSouffle du <craftingfire>{feu}","Fernkämpfende <white>{Bestien} \r\nBenutzt Versteinernden Blick\r\nSpuckt <craftingfire>{Feuer}","遠距離攻撃の<white>{獣}\r\n石化のにらみを使用する\r\n<craftingfire>{火}を吐く","원거리 <white>{야수}.\r\n석화 섬광을 사용합니다.\r\n<craftingfire>{화염}을 내뿜습니다.","<white>{Bestas} que atacam à distância\r\n Usa Olhar Petrificador\r\n Sopra <craftingfire>{Fogo}","Дальнобойные <white>{звери}\r\nИспользует Окаменяющий свет\r\nДышит <craftingfire>{огнем}","<white>{Bestias} que atacan a distancia\r\nUsan Mirada de petrificación\r\nEscupen <craftingfire>{fuego}","<white>{สัตว์ร้าย} ระยะไกล\r\nใช้ จ้องให้แข็งเป็นหิน\r\nหายใจพ่น<craftingfire>{ไฟ}","遠距<white>{野獸}\r\n使用石化之視、噴吐<craftingfire>{火焰}","","","","","","","","","","","","","","","","","","","","",""
881,"AtlasUber-fire4","Plated Arachnids","Arachnides cuirassés","Plattierte Arachniden","プレートアラクニド","판금의 거미류","Aracnídeos Reforçados","Пластичатые арахниды","Arácnidos chapados","Plated Arachnid","堅鐵蜘蛛","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/T17MonsterIconScaldingScorpionPlatedArachnids","Spider <white>{Beasts} ","Araignées (<white>{Bêtes})","Spinnen-<white>{Bestien} ","蜘蛛の<white>{獣}","거미 <white>{야수}.","Aranhas <white>{Bestiais}","Пауки (<white>{звери})","<white>{Bestias} araña","แมงุมม<white>{สัตว์ร้าย}","蜘蛛<white>{野獸}","<white>{Pack Leader: \r\nScalding Scorpion}","<white>{Chef de groupe :}\r\n<white>{Scorpion brûlant}","<white>{Gruppenanführer:\r\nBrodelnder Skorpion}","<white>{パックリーダー：}\r\n<white>{燃え盛るスコーピオン}","<white>{무리 우두머리: \r\n뜨거운 전갈}","<white>{Líder do Grupo: \r\n Escorpião Escaldante}","<white>{Лидер группы: \r\nОбжигающий скорпион}","<white>{Líder del grupo:\r\nEscorpión hirviente}","<white>{หัวหน้ากอง:\r\nScalding Scorpion}","<white>{怪物群首領：滾燙毒蠍}","<white>{Pack Leader: \r\nScalding Scorpion}\r\nCasts Skittering <craftingfire>{Flames}","<white>{Chef de groupe :}\r\n<white>{Scorpion brûlant}\r\nLance <craftingfire>{Flammes} grouillantes","<white>{Gruppenanführer:\r\nBrodelnder Skorpion}\r\nZaubert <craftingfire>{Huschende Flammen}","<white>{パックリーダー：}\r\n<white>{燃え盛るスコーピオン}\r\nスキッタリング<craftingfire>{フレイム}をキャストする","<white>{무리 우두머리: \r\n뜨거운 전갈}\r\n달리는 <craftingfire>{화염}을 시전합니다.","<white>{Líder do Grupo: \r\n Escorpião Escaldante}\r\n Conjura <craftingfire>{Chamas} Deslizantes","<white>{Лидер группы: \r\nОбжигающий скорпион}\r\nСотворяет <craftingfire>{Бегущее пламя}","<white>{Líder del grupo:\r\nEscorpión hirviente}\r\nLanza <craftingfire>{Llamas} escurridizas","<white>{หัวหน้ากอง:\r\nScalding Scorpion}\r\nร่าย <craftingfire>{เพลิง}ไหล","<white>{怪物群首領：滾燙毒蠍}\r\n施放飛掠<craftingfire>{烈焰}",""
882,"AtlasUber-fire5","Depraved and Deranged Slavers","Esclavagistes dépravés et fous","Geisteskranke und Geistesgestörte Sklavenhalter","邪悪な奴隷商人と錯乱した奴隷商人","타락한 및 착란한 노예상","Escravoizadores Perturbados e Depravados","Безумные и порочные отловщики рабов","Esclavistas depravados y trastornados","Depraved Slaver และ Deranged Slaver","錯亂奴役者","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/T17MonsterIconFlameCreatorDepravedSlaver","Ranged and Melee <white>{Humanoids}\r\nFires slowing Nets","<white>{Humanoïdes} attaquant à distance et en mêlée\r\nTire des Filets qui ralentissent","Fern- und nahkämpfende verderbte <white>{Humanoide}\r\nFeuert verlangsamende Netze","遠距離攻撃と近接攻撃の<white>{人型}\r\n減速させる網を投げる","원거리 및 근접 <white>{인간형}.\r\n속도를 늦추는 그물을 발사합니다.","<white>{Humanóides} que atacam à distância e Corpo a Corpo.\r\nDispara Redes que causam lentidão","<white>{Гуманоиды} ближнего и дальнего боя\r\nБросают замедляющие сети","<white>{Humanoides} que atacan a distancia y cuerpo a cuerpo\r\nDisparan redes que ralentizan","<white>{มนุษย์} ระยะไกลและประชิด\r\nยิง ตาข่ายที่ทำให้เชื่องช้า","遠距及近戰<white>{人形}\r\n發射減速網","<white>{Pack Leader:\r\nFlame Creator}","<white>{Chef de groupe :}\r\n<white>{Créateur de flamme}","<white>{Gruppenanführer:\r\nFlammenschöpfer}","<white>{パックリーダー：}\r\n<white>{炎の創作者}","<white>{무리 우두머리:\r\n화염 생성자}","<white>{Líder do Grupo:\r\n Criador de Chamas}","<white>{Лидер группы:\r\nСоздатель пламени}","<white>{Líder del grupo:\r\nCreador de llamas}","<white>{หัวหน้ากอง:\r\nผู้ก่อเพลิง}","<white>{怪物群首領：火焰製造者}","<white>{Pack Leader:\r\nFlame Creator}\r\nFires <craftingfire>{Flaming} mortars","<white>{Chef de groupe :}\r\n<white>{Créateur de flamme}\r\nTire des Mortiers <craftingfire>{enflammés}","<white>{Gruppenanführer:\r\nFlammenschöpfer}\r\nFeuert <craftingfire>{Flammende Mörser}","<white>{パックリーダー：}\r\n<white>{炎の創作者}\r\n<craftingfire>{フレイミング}モーターを放つ","<white>{무리 우두머리:\r\n화염 생성자}\r\n<craftingfire>{불을 뿜는} 박격포를 발사합니다.","<white>{Líder do Grupo:\r\n Criador de Chamas}\r\n Dispara Morteiros <craftingfire>{Flamejantes} ","<white>{Лидер группы:\r\nСоздатель пламени}\r\nВыпускает <craftingfire>{пылающие снаряды}","<white>{Líder del grupo:\r\nCreador de llamas}\r\nLanza Morteros <craftingfire>{llameantes}","<white>{หัวหน้ากอง:\r\nผู้ก่อเพลิง}\r\nยิง ระเบิดปูพรม<craftingfire>{เพลิง}","<white>{怪物群首領：火焰製造者}\r\n發射<craftingfire>{烈焰}砲擊",""
883,"AtlasUber-fire6","Resolute Guards","Gardes résolus","Resolute Wachen","レゾリュート・ガード","단호한 수호병","Guardas Resolutos","Решительные стражи","Guardianes resueltos","Resolute Guard","堅決的守衛","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/T17MonsterIconBurningFaithResoluteGuard","Ranged <white>{Constructs}\r\nCasts Holy <craftingfire>{Fireball}","<white>{Fabrications} attaquant à distance\r\nLance Boule de <craftingfire>{feu} bénite","Fernkämpfende <white>{Konstrukte}\r\nZaubert <craftingfire>{Heiliger Feuerball}","遠距離攻撃の<white>{コンストラクト}\r\nホーリー<craftingfire>{ファイヤー}ボールをキャストする","원거리 <white>{구조물}.\r\n성스러운 <craftingfire>{화염구}를 시전합니다.","<white>{Construtos} que atacam à distância\r\nConjura <craftingfire>{Bola de Fogo} Sagrada","Дальнобойные <white>{создания}\r\nСотворяют святой <craftingfire>{Огненный шар}","<white>{Constructos} que atacan a distancia\r\nLanzan Bola de <craftingfire>{fuego} sagrada","<white>{ชีวิตประดิษฐ์} ระยะไกล\r\nร่าย บอล<craftingfire>{ไฟ}ศักดิ์สิทธิ์","遠距<white>{創造物}\r\n施放神聖<craftingfire>{火球}","<white>{Pack Leader:\r\nBurning Faith}","<white>{Chef de groupe :}\r\n<white>{Foi brûlante}","<white>{Gruppenanführer:\r\nBrennender Glaube}","<white>{パックリーダー：}\r\n<white>{燃え盛る信仰}","<white>{무리 우두머리:\r\n불타는 믿음}","<white>{Líder do Grupo:\r\n Fé Ardente}","<white>{Лидер группы:\r\nПылающая вера}","<white>{Líder del grupo:\r\nFe ardiente}","<white>{หัวหน้ากอง:\r\nศรัทธาลุกโชน}","<white>{怪物群首領：燃燒信念}","<white>{Pack Leader:\r\nBurning Faith}\r\nSummons Exploding Orbs\r\nUses <craftingfire>{Molten} Strike, Leap Slam","<white>{Chef de groupe :}\r\n<white>{Foi brûlante}\r\nInvoque des Orbes explosifs\r\nUtilise Frappe <craftingfire>{volcanique}, Bond percutant","<white>{Gruppenanführer:\r\nBrennender Glaube}\r\nBeschwört explodierende Sphären\r\nBenutzt <craftingfire>{Lavaschlag}, Sprunghieb","<white>{パックリーダー：}\r\n<white>{燃え盛る信仰}\r\n爆発するオーブを召喚する\r\n<craftingfire>{モルテン}ストライク、リープスラムを使用する","<white>{무리 우두머리:\r\n불타는 믿음}\r\n폭발하는 보주를 소환합니다.\r\n<craftingfire>{용암} 타격, 도약 강타를 사용합니다.","<white>{Líder do Grupo:\r\n Fé Ardente}\r\n Convoca Orbes Explosivos\r\n Usa Golpe<craftingfire>{Vulcânico}, Salto Impactante","<white>{Лидер группы:\r\nПылающая вера}\r\nПризывает Взрывающиеся сферы\r\nИспользует <craftingfire>{Магмовый удар}, Наскок","<white>{Líder del grupo:\r\nFe ardiente}\r\nInvoca orbes explosivos\r\nUsa Golpe <craftingfire>{fundido} y Salto con impacto","<white>{หัวหน้ากอง:\r\nศรัทธาลุกโชน}\r\nอัญเชิญ ลูกแก้วระเบิด\r\nใช้ ฟาด<craftingfire>{หลอมละลาย}, กระโจนทุบ (Leap Slam)","<white>{怪物群首領：燃燒信念}\r\n召喚爆炸球\r\n使用<craftingfire>{熔岩}打擊、躍擊",""
884,"AtlasUber-fire7","Chosen Loyals","Élus loyaux","Loyale Auserwählte","選ばれし忠臣","선택받은 충신","Escolhidos Fiéis","Избранные приверженецы","Fieles elegidos","Chosen Loyal","被選召的忠僕","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/T17MonsterIconTribalQueenChosenLoyal","<white>{Demon} Warriors\r\nUses <craftingfire>{Molten} Strike","Guerriers <white>{démons}\r\nUtilise Frappe <craftingfire>{volcanique}","<white>{Dämonen}-Krieger\r\nBenutzt <craftingfire>{Lavaschlag}","<white>{悪魔}の戦士\r\n<craftingfire>{モルテン}ストライクを使用する","<white>{악마} 전사.\r\n<craftingfire>{용암} 타격을 사용합니다.","Guerreiros <white>{Demoníacos}\r\n Usa Golpe <craftingfire>{Vulcânico} ","<white>{Демоны}-воины\r\nИспользуют <craftingfire>{Магмовый удар}","Guerreros <white>{Demonio}\r\nUsan Golpe <craftingfire>{fundido}","นักรบ<white>{ปีศาจ}\r\nใช้ ฟาด<craftingfire>{หลอมละลาย} (Molten Strike)","<white>{惡魔}戰士\r\n使用<craftingfire>{熔岩}之擊","<white>{Pack Leader:\r\nTribal Queen}","<white>{Chef de groupe :}\r\n<white>{Reine tribale}","<white>{Gruppenanführer:\r\nStammeskönigin}","<white>{パックリーダー：}\r\n<white>{部族の女王}","<white>{무리 우두머리:\r\n부족 여왕}","<white>{Líder do Grupo:\r\n Rainha Tribal}","<white>{Лидер группы:\r\nПлеменная царица}","<white>{Líder del grupo:\r\nReina tribal}","<white>{หัวหน้ากอง:\r\nราชินีชนเผ่า}","<white>{怪物群首領：部落女王}","<white>{Pack Leader:\r\nTribal Queen}\r\nUses Blink Arrow\r\nCreates <craftingfire>{Burning} Ground","<white>{Chef de groupe :}\r\n<white>{Reine tribale}\r\nUtilise Flèche de transfert\r\nCrée un Sol <craftingfire>{brûlant}","<white>{Gruppenanführer:\r\nStammeskönigin}\r\nBenutzt Teleportpfeil\r\nErzeugt <craftingfire>{brennenden Boden}","<white>{パックリーダー：}\r\n<white>{部族の女王}\r\nブリンクアローを使用する\r\n<craftingfire>{燃焼}領域を生成する","<white>{무리 우두머리:\r\n부족 여왕}\r\n점멸 화살을 사용합니다.\r\n<craftingfire>{용암} 지대를 생성합니다.","<white>{Líder do Grupo:\r\n Rainha Tribal}\r\n Usa Flecha Ilusória\r\n Cria Solo <craftingfire>{Ardente}","<white>{Лидер группы:\r\nПлеменная царица}\r\nИспользует Стрелу-телепорт\r\nСоздает <craftingfire>{горящую} землю","<white>{Líder del grupo:\r\nReina tribal}\r\nUsa Flecha parpadeante\r\nCrea Suelo <craftingfire>{incendiado}","<white>{หัวหน้ากอง:\r\nราชินีชนเผ่า}\r\nใช้ ศรเคลื่อนย้ายพริบตา (Blink Arrow)\r\nสร้าง พื้น<craftingfire>{ลุกไหม้}","<white>{怪物群首領：部落女王}\r\n使用閃電射擊\r\n生成<craftingfire>{灼燒}地表",""
885,"AtlasUber-fire8","Maddened Fanatics","Fanatiques déments","Wahnsinnige Fanatiker","発狂した狂信者","미친 광신도","Fantásticos Enlouquecidos","Безумные фанатики","Fanáticos enloquecidos","Maddened Fanatic","入魔狂熱者","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/T17MonsterIconMoltenSoulMaddenedFanatic","<white>{Humanoids}","<white>{Humanoïdes}","<white>{Humanoide}","<white>{人型}","<white>{인간형}.","<white>{Humanóides","<white>{Гуманоиды}","<white>{Humanoides}","<white>{มนุษย์}","<white>{人形}","<white>{Pack Leader:\r\nMolten Soul}","<white>{Chef de groupe :}\r\n<white>{Âme en fusion}","<white>{Gruppenanführer:\r\nGeschmolzene Seele}","<white>{パックリーダー：}\r\n<white>{溶融した魂}","<white>{무리 우두머리:\r\n녹아내린 영혼}","<white>{Líder do Grupo:\r\n Alma Vulcânica}","<white>{Лидер группы:\r\nРасплавлення душа}","<white>{Líder del grupo:\r\nAlma fundida}","<white>{หัวหน้ากอง:\r\nวิญญาณหลอมละลาย}","<white>{怪物群首領：熔岩靈魂}","<white>{Pack Leader:\r\nMolten Soul}\r\nFires <craftingfire>{Molten} mortars\r\nUses <craftingfire>{Erupting} slam\r\nUses Spectral Throw, creating minions","<white>{Chef de groupe :}\r\n<white>{Âme en fusion}\r\nTire des Mortiers en <craftingfire>{fusion}\r\nUtilise Fracas <craftingfire>{éruptif}\r\nUtilise Lancer spectral, créant des Créatures","<white>{Gruppenanführer:\r\nGeschmolzene Seele}\r\nFeuert <craftingfire>{Lavamörser}\r\nBenutzt <craftingfire>{Eruptionshieb}\r\nBenutzt Spektralwurf, erzeugt Kreaturen","<white>{パックリーダー：}\r\n<white>{溶融した魂}\r\n<craftingfire>{モルテン}モーターを放つ\r\n<craftingfire>{イラプティング}スラムを使用する\r\nミニオンを生成するスペクトラルスローを使用する","<white>{무리 우두머리:\r\n녹아내린 영혼}\r\n<craftingfire>{용암} 박격포를 발사합니다.\r\n<craftingfire>{분출하는} 강타를 사용합니다.\r\n환영 무기 투척을 사용하고 소환수를 생성합니다.","<white>{Líder do Grupo:\r\n Alma Vulcânica}\r\n Dispara morteiros <craftingfire>{Vulcânicos}\r\n Usa impacto<craftingfire>{em Erupção}\r\n Usa Arremesso Espectral, criando lacaios","<white>{Лидер группы:\r\nРасплавлення душа}\r\nВыпускает <craftingfire>{магмовые снаряды}\r\nИспользует <craftingfire>{Удар извержения}\r\nИспользует Призрачный бросок, создавая приспешников","<white>{Líder del grupo:\r\nAlma fundida}\r\nLanza morteros <craftingfire>{fundidos}\r\nUsa Embate de <craftingfire>{erupción}\r\nUsa Lanzamiento espectral para crear esbirros","<white>{หัวหน้ากอง:\r\nวิญญาณหลอมละลาย}\r\nยิง ระเบิดปูพรม<craftingfire>{หลอมละลาย}\r\nใช้ ทุบ<craftingfire>{เพลิงปะทุ}\r\nใช้ โยนอาวุธเงา (Spectral Throw) เพื่อสร้าง มิเนียน","<white>{怪物群首領：熔岩靈魂}\r\n發射<craftingfire>{熔火}砲擊\r\n使用<craftingfire>{爆裂}襲棘\r\n使用靈體投擲，並生成爪牙",""
886,"Atlasuber-cold1","Chilling Hellions","Infernaires frigorifiants","Eisige Biester","チリング・へリオン","냉각의 헬리온","Cães Arrepiantes","Леденящие адские львы","Fieras escarchantes","Chilling Hellion","冰緩地獄犬","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconHellionIce","Cold <white>{Beasts} \r\nCasts <craftingcold>{Arctic} Breath","<white>{Bêtes} de froid\r\nLance Souffle <craftingcold>{arctique}","Kälte-<white>{Bestien} \r\nZaubert <craftingcold>{Eisiger Odem}","冷気の<white>{獣} \r\n<craftingcold>{アークティック}ブレスをキャストする","냉기 <white>{야수}.\r\n<craftingcold>{한기}의 숨결을 시전합니다.","<white>{Bestas} Gelidas\r\n Conjura Sopro <craftingcold>{Ártico} ","<white>{Звери} холода\r\nСотворяют <craftingcold>{Морозное дыхание}","<white>{Bestias} de hielo\r\nLanzan Aliento <craftingcold>{ártico}","<white>{สัตว์ร้าย}น้ำแข็ง\r\nร่าย หายใจพ่น<craftingcold>{น้ำแข็ง} (Arctic Breath)","冰冷<white>{野獸}\r\n施放<craftingcold>{極地}吐息","","","","","","","","","","","","","","","","","","","","",""
887,"Atlasuber-cold2","Animated Glaciers","Glaciers animés","Belebte Gletscher","動く氷河","움직이는 빙하","Geleiras Animadas","Оживлённые ледники","Glaciares animados","Animated Glacier","幻靈冰川山丘","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/T17MonsterIconAnimatedGlacier","Large <white>{Constructs}\r\nUses <craftingcold>{Glacial} Slam","Grandes <white>{fabrications}\r\nUtilise Fracas <craftingcold>{glacial}","Große <white>{Konstrukte}\r\nBenutzt <craftingcold>{Frosthammer}","大型の<white>{コンストラクト}\r\n<craftingcold>{グレイシャル}スラムを使用する","큰 <white>{구조물}.\r\n<craftingcold>{빙하}의 강타를 사용합니다.","<white>{Construtos} Grandes\r\n Usa Pancada <craftingcold>{Glacial} ","Большие <white>{создания}\r\nИспользуют <craftingcold>{Ледниковый удар}","<white>{Constructos} grandes\r\nUsan Embate <craftingcold>{glacial}","<white>{ชีวิตประดิษฐ์}ขนาดใหญ่\r\nใช้ ทุบ<craftingcold>{เยือกแข็ง}","大型<white>{創造物}\r\n使用<craftingcold>{冰川}重擊","","","","","","","","","","","","","","","","","","","","",""
