"rownum","BaseItemTypesKey","Variation_AOFiles","IsNonMasterDoodad","InheritsFrom","bool","IsCraftingBench","Tags","bool","rid","Category","i32","bool","rid","bool","rid"
567,7957,"[""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_v01_01.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_v01_02.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_v01_03.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_v01_04.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_v01_05.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_v01_06.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_v01_07.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_v01_08.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_v01_09.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_v01_010.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_v01_011.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_v01_012.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_v01_014.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_v01_015.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_v01_016.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_v01_017.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_v01_018.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_v01_019.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_v01_020.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_Step_v01_01.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_Step_v01_02.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/fenceGate_v01_01.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/ornatePost_v01_01.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/ornatePost_v01_02.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/ornatePost_v01_03.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/ornatePost_v01_04.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/ornatePost_v01_05.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/ornatePost_v01_012.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/templeFence_Bridge_v01_01.ao"",""Metadata/Terrain/Doodads/LabyrinthFenceKits/fenceGate_v01_01.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[21],1,"",79,0,"","",1,""
568,7958,"[""Metadata/Terrain/Doodads/LabyrinthFenceKits/vineclump_v01_01.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[3],1,"",79,0,"","",1,""
569,7959,"[""Metadata/Terrain/Doodads/LabyrinthSetDressing/broken_spikes_Prison_v01_01.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/broken_spikes_Prison_v01_02.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/broken_spikes_Prison_v01_03.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/broken_spikes_Prison_v01_04.ao"",""Metadata/Terrain/Doodads/Traps/broken_spikes_v01_01.ao"",""Metadata/Terrain/Doodads/Traps/broken_spikes_v01_02.ao"",""Metadata/Terrain/Doodads/Traps/broken_spikes_v01_03.ao"",""Metadata/Terrain/Doodads/Traps/broken_spikes_v01_04.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[19,25]",1,"",79,0,"","",1,""
570,7960,"[""Metadata/Terrain/Doodads/LabyrinthSetDressing/ClassicBaroque.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/ClassicBaroque02.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/OrnateClassic.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",79,0,"","",1,""
571,7961,"[""Metadata/Terrain/Doodads/LabyrinthSetDressing/dead_bodies_darts_v01_01.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/dead_bodies_darts_v01_02.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/dead_bodies_darts_v01_03.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/dead_bodies_darts_v02_01.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/dead_bodies_darts_v02_02.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/dead_bodies_darts_v03_01.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/dead_bodies_darts_v03_02.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[28],1,"",18,0,"","",1,""
572,7962,"[""Metadata/Terrain/Doodads/LabyrinthSetDressing/eleganthouse_splintered_wood_v01.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/eleganthouse_splintered_wood_v02.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/eleganthouse_splintered_wood_v03.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/eleganthouse_splintered_wood_v04.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/eleganthouse_splintered_wood_v05.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[19],1,"",79,0,"","",1,""
573,7963,"[""Metadata/Terrain/Doodads/LabyrinthSetDressing/fishOld_whole_v01_01.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/fishOld_whole_v01_02.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/fishOld_eaten_v01_01.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/fishOld_eaten_v01_02.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/fishOld_eaten_v01_03.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/fishOld_eaten_v01_04.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/fishOld_eaten_v01_05.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[28],1,"",28,0,"","",1,""
574,7964,"[""Metadata/Terrain/Doodads/LabyrinthSetDressing/RailPost.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[21],1,"",79,0,"","",1,""
575,7965,"[""Metadata/Terrain/Doodads/LabyrinthSetDressing/RosettesSet01.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/RosettesSet02.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/RosettesSet03.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/RosettesSet04.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/RosettesSet05.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/RosettesSet06.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/RosettesSet07.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/RosettesSet08.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/RosettesSet09.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/RosettesSet10.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/RosettesSet11.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[12],1,"",79,0,"","",1,""
576,7966,"[""Metadata/Terrain/Doodads/LabyrinthSetDressing/shatteredBlade_v01_01.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/shatteredBlade_v01_02.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/shatteredBlade_v01_03.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/shatteredBlade_v01_04.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/shatteredBlade_v02_01.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/shatteredBlade_v02_02.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/shatteredBlade_v02_03.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/shatteredBlade_v02_04.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/shatteredBlade_v02_05.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/shatteredBlade_v02_06.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[19,25]",1,"",79,0,"","",1,""
577,7967,"[""Metadata/Terrain/Doodads/LabyrinthSetDressing/SmashedRoomba_Blade_v01.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/SmashedRoomba_Blade_v02.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/SmashedRoomba_Nut_v01.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/SmashedRoomba_Spike_v01.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[19,25]",1,"",79,0,"","",1,""
578,7968,"[""Metadata/Terrain/Doodads/LabyrinthSetDressing/SmashedRoomba_v01.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[19,25]",1,"",79,0,"","",1,""
579,7969,"[""Metadata/Terrain/Doodads/LabyrinthSetDressing/spinner_obstacle_broken_pieces_v01_01.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/spinner_obstacle_broken_pieces_v01_02.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/spinner_obstacle_broken_pieces_v01_03.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/spinner_obstacle_broken_pieces_v01_05.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[19,25]",1,"",79,0,"","",1,""
580,7970,"[""Metadata/Terrain/Doodads/LabyrinthSetDressing/spinner_obstacle_broken_v01_01.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/spinner_obstacle_broken_v01_02.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/spinner_obstacle_broken_v01_03.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/spinner_obstacle_broken_v01_04.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/spinner_obstacle_broken_v01_05.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/spinner_obstacle_broken_v01_06.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/spinner_obstacle_broken_v01_07.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[19,25]",1,"",79,0,"","",1,""
581,7971,"[""Metadata/Terrain/Doodads/LabyrinthSetDressing/stray_darts_01.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/stray_darts_02.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/stray_darts_03.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/stray_darts_04.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/stray_darts_05.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/stray_darts_06.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/stray_darts_07.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/stray_darts_08.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[19,25]",1,"",79,0,"","",1,""
582,7972,"[""Metadata/Terrain/Doodads/Traps/blade.ao"",""Metadata/Terrain/Doodads/Traps/GlitchyAbyssEdgeBladeExt.ao"",""Metadata/Terrain/Doodads/Traps/abyssblade_busted.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[25],1,"",79,0,"","",1,""
583,7973,"[""Metadata/Terrain/Doodads/Traps/sawblades_track_straight_v01_01.ao"",""Metadata/Terrain/Doodads/Traps/sawblades_track_end_v01_01.ao"",""Metadata/Terrain/Doodads/Traps/sawblades_track_end_v02_01.ao"",""Metadata/Terrain/Doodads/Traps/sawblades_track_end_v06_02.ao"",""Metadata/Terrain/Doodads/Traps/sawblades_track_crossing_v01_02.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[25],1,"",79,0,"","",1,""
584,7974,"[""Metadata/Terrain/Doodads/Traps/spinner_cogs.ao"",""Metadata/Terrain/Doodads/Traps/spinner_rail_2corners_v02_01.ao"",""Metadata/Terrain/Doodads/Traps/spinner_rail_corner_v01_01.ao"",""Metadata/Terrain/Doodads/Traps/spinner_rail_corner_v02_01.ao"",""Metadata/Terrain/Doodads/Traps/spinner_rail_crossing_v01_01.ao"",""Metadata/Terrain/Doodads/Traps/spinner_rail_crossing_v02_01.ao"",""Metadata/Terrain/Doodads/Traps/spinner_rail_end_v01_01.ao"",""Metadata/Terrain/Doodads/Traps/spinner_rail_straight_v01_01.ao"",""Metadata/Terrain/Doodads/Traps/spinner_rail_straight_v01_02.ao"",""Metadata/Terrain/Doodads/Traps/SpinnerStopper_Corner.ao"",""Metadata/Terrain/Doodads/Traps/SpinnerStopper_Corner2.ao"",""Metadata/Terrain/Doodads/Traps/SpinnerStopper_QuadCorner.ao"",""Metadata/Terrain/Doodads/Traps/SpinnerStopper_QuadStraight.ao"",""Metadata/Terrain/Doodads/Traps/SpinnerStopper_Straight.ao"",""Metadata/Terrain/Doodads/Traps/SpinnerStopper_TriCorner.ao"",""Metadata/Terrain/Doodads/Traps/SpinnerStopper_TriStraight.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[25],1,"",79,0,"","",1,""
585,7975,"[""Metadata/Terrain/Doodads/RuinedCity/ElegantHouse/RomanSittingSoldierwithBack_Clean.ao"",""Metadata/Terrain/Doodads/RuinedCity/ElegantHouse/RomanSittingSoldierwithBack_Vines.ao"",""Metadata/Terrain/Doodads/RuinedCity/ElegantHouse/SittingWoman.ao"",""Metadata/Terrain/Doodads/RuinedCity/Statues/DryGarden/dry_romanstatue_01.ao"",""Metadata/Terrain/Doodads/RuinedCity/ElegantHouse/RomanStandingSoldierwithBack_Clean.ao"",""Metadata/Terrain/Doodads/RuinedCity/ElegantHouse/RomanStandingSoldierwithBack_Vines.ao"",""Metadata/Terrain/Doodads/RuinedCity/ElegantHouse/RomanSittingWomanwithBack_Clean.ao"",""Metadata/Terrain/Doodads/RuinedCity/ElegantHouse/RomanSittingWomanwithBack_Vines.ao"",""Metadata/Terrain/Doodads/RuinedCity/ElegantHouse/Plaque_BackOnly.ao"",""Metadata/Terrain/Doodads/RuinedCity/ElegantHouse/Plaque_BackOnly_Vines.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[20],1,"",79,0,"","",1,""
586,7976,"[""Metadata/Terrain/Doodads/RuinedCity/ElegantHouse/eleganthouse_circular_column_v01_01.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[26],1,"",79,0,"","",1,""
587,7977,"[""Metadata/Terrain/Doodads/RuinedCity/Statues/DryGarden/StatueFemaleDryGarden01.ao"",""Metadata/Terrain/Doodads/RuinedCity/Statues/DryGarden/StatueFemaleDryGarden02.ao"",""Metadata/Terrain/Doodads/RuinedCity/Statues/DryGarden/StatueFemaleDryGarden03.ao"",""Metadata/Terrain/Doodads/RuinedCity/Statues/DryGarden/StatueFemaleDryGarden04.ao"",""Metadata/Terrain/Doodads/RuinedCity/Statues/DryGarden/StatueMaleDryGarden01.ao"",""Metadata/Terrain/Doodads/RuinedCity/Statues/DryGarden/StatueMaleDryGarden02.ao"",""Metadata/Terrain/Doodads/RuinedCity/Statues/DryGarden/StatueMaleDryGarden03.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[20],1,"",57,0,"","",1,""
588,7978,"[""Metadata/Terrain/Doodads/RuinedCity/Statues/DryGarden/StatueFemaleDryGardenLarge01.ao"",""Metadata/Terrain/Doodads/RuinedCity/Statues/DryGarden/StatueFemaleDryGardenLarge02.ao"",""Metadata/Terrain/Doodads/RuinedCity/Statues/DryGarden/StatueFemaleDryGardenLarge03.ao"",""Metadata/Terrain/Doodads/RuinedCity/Statues/DryGarden/StatueMaleDryGardenLarge02.ao"",""Metadata/Terrain/Doodads/RuinedCity/Statues/DryGarden/StatueMaleDryGardenLarge03.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[20],1,"",57,0,"","",1,""
589,7979,"[""Metadata/Terrain/Doodads/Mtx/Crystals/Crystal01_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/Crystal02_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/Crystal03_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/Crystal04_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/Crystal05_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/Crystal06_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/Crystal07_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/Crystal08_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/Crystal09_Hideout.ao""]",1,"Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[8,0]","","",33,0,"","",1,""
590,7980,"[""Metadata/Terrain/Doodads/Act4/Mine/RaptureDeviceStatic.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[25],1,"",13,0,"","",1,""
591,7981,"[""Metadata/Terrain/Doodads/Act4/Plateau/KaomThrone.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",78,0,"","",1,""
592,7982,"[""Metadata/Terrain/Doodads/LabyrinthSetDressing/endgame_portal_statue.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[20],1,"",79,0,"","",1,""
593,7983,"[""Metadata/Effects/misc/darksoulercoaster/rig_hideout.ao"",""Metadata/Effects/misc/darksoulercoaster/rig_hideout_var1.ao"",""Metadata/Effects/misc/darksoulercoaster/rig_hideout_var2.ao""]",1,"Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[15,0]","","",42,0,"","",1,""
594,7984,"[""Metadata/Terrain/Doodads/Mtx/MonolithArcane.ao""]",1,"Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[15,0]","","",6,0,"","",1,""
595,7985,"[""Metadata/Terrain/Doodads/Mtx/Lightning_coil/lightning_coil_01.ao"",""Metadata/Terrain/Doodads/Mtx/Lightning_coil/lightning_coil_02.ao"",""Metadata/Terrain/Doodads/Mtx/Lightning_coil/lightning_coil_03.ao"",""Metadata/Terrain/Doodads/Mtx/Lightning_coil/lightning_coil_04.ao""]",1,"Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[25,0]","","",82,0,"","",1,""
596,7987,"[""Metadata/Terrain/Doodads/Mtx/malachai_heart/close_idle.ao"",""Metadata/Terrain/Doodads/Mtx/malachai_heart/open_idle.ao"",""Metadata/Terrain/Doodads/Mtx/malachai_heart/death_idle.ao""]",1,"Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[28,0]","","",63,0,"","",1,""
597,7988,"[""Metadata/Terrain/Doodads/RuinedCity/Scepter_of_god/rainbalcony_withspash_blood.ao""]",1,"Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[15,0]","","",42,0,"","",1,""
598,7989,"[""Metadata/Terrain/Doodads/Mtx/Crystals/blue/Crystal01_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/blue/Crystal02_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/blue/Crystal03_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/blue/Crystal04_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/blue/Crystal05_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/blue/Crystal06_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/blue/Crystal07_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/blue/Crystal08_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/blue/Crystal09_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/blue/CrystalDebris_Hideout.ao""]",1,"Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[8,0]","","",33,0,"","",1,""
599,7990,"[""Metadata/Terrain/Doodads/Mtx/Crystals/green/Crystal01_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/green/Crystal02_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/green/Crystal03_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/green/Crystal04_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/green/Crystal05_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/green/Crystal06_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/green/Crystal07_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/green/Crystal08_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/green/Crystal09_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/green/CrystalDebris_Hideout.ao""]",1,"Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[8,0]","","",33,0,"","",1,""
600,7991,"[""Metadata/Terrain/Doodads/Mtx/Crystals/red/Crystal01_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/red/Crystal02_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/red/Crystal03_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/red/Crystal04_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/red/Crystal05_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/red/Crystal06_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/red/Crystal07_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/red/Crystal08_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/red/Crystal09_Hideout.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/red/CrystalDebris_Hideout.ao""]",1,"Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[8,0]","","",33,0,"","",1,""
601,7993,"[""Metadata/Terrain/Doodads/Mtx/Act5/hideoutdoodads_socket.ao"",""Metadata/Terrain/Doodads/Mtx/Act5/hideoutdoodads_socket2.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[27,0]",1,"",90,0,"","",1,""
602,7992,"[""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_01.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_02.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_03.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_04.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_05.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_06.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_07.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_08.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_09.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_10.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_11.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_12.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_13.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_14.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_15.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_16.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_17.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_18.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_19.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_20.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_Cluster1.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_Cluster2.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_Cluster3.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_Cluster4.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_Cluster5.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_Cluster6.ao"",""Metadata/Terrain/Doodads/Mtx/Act4/MTXWhiteGrass/MTXWhiteGrass_Cluster7.ao""]",1,"Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[3,0]","","",87,0,"","",1,""
603,7994,"[""Metadata/Terrain/Doodads/Mtx/Crystals/white/Crystal034_WHITE_W.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/white/Crystal035_WHITE_W.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/white/Crystal036_WHITE_W.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/white/Crystal037_WHITE_W.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/white/Crystal038_WHITE_W.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/white/Crystal039_WHITE_W.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/white/Crystal040_WHITE_W.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/white/Crystal041_WHITE_W.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/white/Crystal042_WHITE_W.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/white/Crystal043_WHITE_W.ao"",""Metadata/Terrain/Doodads/Mtx/Crystals/white/Crystal044_WHITE_W.ao""]",1,"Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[8,0]","","",33,0,"","",1,""
604,7995,"[""Metadata/Terrain/Doodads/Act5/Theopolis/DeadOriathCivilians/bonfire_burningbodypile_large_v01_01_hideout.ao"",""Metadata/Terrain/Doodads/Act5/Theopolis/DeadOriathCivilians/bonfire_burningbodypile_v01_06_hideout.ao"",""Metadata/Terrain/Doodads/Act5/Theopolis/DeadOriathCivilians/bonfire_burningbodypile_v01_07_hideout.ao"",""Metadata/Terrain/Doodads/Act5/Theopolis/DeadOriathCivilians/bonfire_burningbodypile_v01_08_hideout.ao""]",1,"Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[28,0]","","",53,0,"","",1,""
