"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","ArtFile","AchievementItemsKey"
45,"ArmourHigh5","Contains 3 to 4 Synthesised Chests with valuable Armour Items\r\nContains 4 Synthesised Chests with Fractured Armour Items","Renferme 3 à 4 Coffres synthétisés contenant des Pièces d'armure de valeur\r\nRenferme 4 Coffres synthétisés contenant des Pièces d'armure fissurées","Enthält 3 bis 4 synthetisierte Truhen mit wertvollen Rüstungsgegenständen\r\nEnthält 4 synthetisierte Truhen mit brüchigen Rüstungsgegenständen","高価値な防具アイテムの入ったシンセシスチェストが3-4個追加される\r\nフラクチャー防具アイテムの入ったシンセシスチェストが4個追加される","결합물 상자 3~4개와 귀중한 방어구 아이템 포함\r\n결합물 상자 4개와 분열된 방어구 아이템 포함","Contém de 3 a 4 Baús Sintetizados com Armaduras\r\nContém 4 Baú Sintetizado com Armaduras Trincadas","Содержит от 3 до 4 синтезированных сундуков с ценными доспехами\r\nСодержит 4 синтезированных сундука с расколотыми доспехами","Contiene 3 a 4 Cofres Sintetizados que tienen objetos de Armadura valiosos\r\nContiene 4 Cofres Sintetizados que tienen Objetos de Armadura fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องป้องกัน ที่มีค่า อยู่ 3 ถึง 4 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องป้องกัน ที่แต่ร้าว อยู่ 4 หีบ","包含 3 至 4 個含有價值護甲的追憶之匣\r\n包含 4 個含有破裂護甲的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArmourItemRewardIcon",""
46,"ArmourEpic5","Contains 1 Synthesised Chest with very valuable Armour Items\r\nContains 3 Synthesised Chests with valuable Armour Items","Renferme 1 Coffre synthétisé contenant des Pièces d'armure de grande valeur\r\nRenferme 3 Coffres synthétisés contenant des Pièces d'armure de valeur","Enthält 1 synthetisierte Truhe mit sehr wertvollen Rüstungsgegenständen\r\nEnthält 3 synthetisierte Truhen mit wertvollen Rüstungsgegenständen","非常に高価値な防具アイテムの入ったシンセシスチェストが1個追加される\r\n高価値な防具アイテムの入ったシンセシスチェストが3個追加される","결합물 상자 1개와 매우 귀중한 방어구 아이템 포함\r\n결합물 상자 3개와 귀중한 방어구 아이템 포함","Contém 1 Baú Sintetizado com Armaduras muito valiosas\r\nContém 3 Baús Sintetizados com Armaduras valiosas","Содержит синтезированный сундук с очень ценными доспехами\r\nСодержит 3 синтезированных сундука с доспехами","Contiene 1 Cofre Sintetizado que tiene objetos de Armadura muy valiosos\r\nContiene 3 Cofres Sintetizados que tienen Objetos de Armadura valiosos","มีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องป้องกัน ที่มีค่ามากๆ อยู่ 1 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องป้องกัน ที่มีค่า อยู่ 3 หีบ","包含 1 個含有價值連城護甲的追憶之匣\r\n包含 3 個含有價值護甲的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArmourItemRewardIcon",""
47,"Weapons","Contains 1 to 2 Synthesised Chests with Weapon Items\r\nContains 1 Synthesised Chest with Fractured Weapon Items","Renferme 1 à 2 Coffres synthétisés contenant des Armes\r\nRenferme 1 Coffre synthétisé contenant des Armes fissurées","Enthält 1 bis 2 synthetisierte Truhen mit Waffen\r\nEnthält 1 synthetisierte Truhe mit brüchigen Waffen","武器アイテムの入ったシンセシスチェストが1-2個追加される\r\nフラクチャー武器アイテムの入ったシンセシスチェストが1個追加される","결합물 상자 1~2개와 무기 아이템 포함\r\n결합물 상자 1개와 분열된 무기 아이템 포함","Contém de 1 a 2 Baús Sintetizados com Armas\r\nContém 1 Baú Sintetizado com Armas Trincadas","Содержит от 1 до 2 синтезированных сундуков с оружием\r\nСодержит 1 синтезированный сундук с расколотым оружием","Contiene de 1 a 2 Cofres Sintetizados que tienen objetos de Armas\r\nContiene 1 Cofre Sintetizado que tiene objetos de Armas fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม อาวุธ อยู่ 1 ถึง 2 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม อาวุธ ที่แต่ร้าว อยู่ 1 หีบ","包含 1 至 2 個含有武器的追憶之匣\r\n包含 1 個含有破裂武器的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/WeaponsItemRewardIcon",""
48,"Weapons2","Contains 2 to 3 Synthesised Chests with Weapon Items\r\nContains 1 Synthesised Chest with Fractured Weapon Items","Renferme 2 à 3 Coffres synthétisés contenant des Armes\r\nRenferme 1 Coffre synthétisé contenant des Armes fissurées","Enthält 2 bis 3 synthetisierte Truhen mit Waffen\r\nEnthält 1 synthetisierte Truhe mit brüchigen Waffen","武器アイテムの入ったシンセシスチェストが2-3個追加される\r\nフラクチャー武器アイテムの入ったシンセシスチェストが1個追加される","결합물 상자 2~3개와 무기 아이템 포함\r\n결합물 상자 1개와 분열된 무기 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Armas\r\nContém 1 Baú Sintetizado com Armas Trincadas","Содержит от 2 до 3 синтезированных сундуков с оружием\r\nСодержит 1 синтезированный сундук с расколотым оружием","Contiene de 2 a 3 Cofres Sintetizados que tienen objetos de Armas\r\nContiene 1 Cofre Sintetizado que tiene objetos de Armas fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม อาวุธ อยู่ 2 ถึง 3 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม อาวุธ ที่แต่ร้าว อยู่ 1 หีบ","包含 2 至 3 個含有武器的追憶之匣\r\n包含 1 個含有破裂武器的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/WeaponsItemRewardIcon",""
49,"Weapons3","Contains 3 to 4 Synthesised Chests with Weapon Items\r\nContains 1 Synthesised Chest with Fractured Weapon Items","Renferme 3 à 4 Coffres synthétisés contenant des Armes\r\nRenferme 1 Coffre synthétisé contenant des Armes fissurées","Enthält 3 bis 4 synthetisierte Truhen mit Waffen\r\nEnthält 1 synthetisierte Truhe mit brüchigen Waffen","武器アイテムの入ったシンセシスチェストが3-4個追加される\r\nフラクチャー武器アイテムの入ったシンセシスチェストが1個追加される","결합물 상자 3~4개와 무기 아이템 포함\r\n결합물 상자 1개와 분열된 무기 아이템 포함","Contém de 3 a 4 Baús Sintetizados com Armas\r\nContém 1 Baú Sintetizado com Armas Trincadas","Содержит от 3 до 4 синтезированных сундуков с оружием\r\nСодержит 1 синтезированный сундук с расколотым оружием","Contiene de 3 a 4 Cofres Sintetizados que tienen objetos de Armas\r\nContiene 1 Cofre Sintetizado que tiene objetos de Armas fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม อาวุธ อยู่ 3 ถึง 4 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม อาวุธ ที่แต่ร้าว อยู่ 1 หีบ","包含 3 至 4 個含有武器的追憶之匣\r\n包含 1 個含有破裂武器的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/WeaponsItemRewardIcon",""
50,"WeaponsHigh3","Contains 2 to 3 Synthesised Chests with valuable Weapon Items\r\nContains 2 Synthesised Chests with Fractured Weapon Items","Renferme 2 à 3 Coffres synthétisés contenant des Armes de valeur\r\nRenferme 2 Coffres synthétisés contenant des Armes fissurées","Enthält 2 bis 3 synthetisierte Truhen mit wertvollen Waffen\r\nEnthält 2 synthetisierte Truhen mit brüchigen Waffen","高価値な武器アイテムの入ったシンセシスチェストが2-3個追加される\r\nフラクチャー武器アイテムの入ったシンセシスチェストが2個追加される","결합물 상자 2~3개와 귀중한 무기 아이템 포함\r\n결합물 상자 2개와 분열된 무기 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Armas\r\nContém 2 Baú Sintetizado com Armas Trincadas","Содержит от 2 до 3 синтезированных сундуков с ценным оружием\r\nСодержит 2 синтезированных сундука с расколотым оружием","Contiene de 2 a 3 Cofres Sintetizados que tienen objetos de Armas valiosos\r\nContiene 2 Cofres Sintetizados que tienen objetos de Armas fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม อาวุธ ที่มีค่า อยู่ 2 ถึง 3 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม อาวุธ ที่แต่ร้าว อยู่ 2 หีบ","包含 2 至 3 個含有價值武器的追憶之匣\r\n包含 2 個含有破裂武器的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/WeaponsItemRewardIcon",""
51,"Weapons4","Contains 4 to 5 Synthesised Chests with Weapon Items\r\nContains 1 Synthesised Chest with Fractured Weapon Items","Renferme 4 à 5 Coffres synthétisés contenant des Armes\r\nRenferme 1 Coffre synthétisé contenant des Armes fissurées","Enthält 4 bis 5 synthetisierte Truhen mit Waffen\r\nEnthält 1 synthetisierte Truhe mit brüchigen Waffen","武器アイテムの入ったシンセシスチェストが4-5個追加される\r\nフラクチャー武器アイテムの入ったシンセシスチェストが1個追加される","결합물 상자 4~5개와 무기 아이템 포함\r\n결합물 상자 1개와 분열된 무기 아이템 포함","Contém de 4 a 5 Baús Sintetizados com Armas\r\nContém 1 Baú Sintetizado com Armas Trincadas","Содержит от 4 до 5 синтезированных сундуков с оружием\r\nСодержит 1 синтезированный сундук с расколотым оружием","Contiene de 4 a 5 Cofres Sintetizados que tienen objetos de Armas\r\nContiene 1 Cofre Sintetizado que tiene objetos de Armas fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม อาวุธ อยู่ 4 ถึง 5 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม อาวุธ ที่แต่ร้าว อยู่ 1 หีบ","包含 4 至 5 個含有武器的追憶之匣\r\n包含 1 個含有破裂武器的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/WeaponsItemRewardIcon",""
52,"WeaponsHigh4","Contains 3 Synthesised Chests with valuable Weapon Items\r\nContains 3 Synthesised Chests with Fractured Weapon Items","Renferme 3 Coffres synthétisés contenant des Armes de valeur\r\nRenferme 3 Coffres synthétisés contenant des Armes fissurées","Enthält 3 synthetisierte Truhen mit wertvollen Waffen\r\nEnthält 3 synthetisierte Truhen mit brüchigen Waffen","高価値な武器アイテムの入ったシンセシスチェストが3個追加される\r\nフラクチャー武器アイテムの入ったシンセシスチェストが3個追加される","결합물 상자 3개와 귀중한 무기 아이템 포함\r\n결합물 상자 3개와 분열된 무기 아이템 포함","Contém 3 Baús Sintetizados com Armas valiosas\r\nContém 3 Baús Sintetizados com Armas Trincadas","Содержит от 3 синтезированных сундука с ценным оружием\r\nСодержит 3 синтезированных сундука с расколотым оружием","Contiene 3 Cofres Sintetizados que tienen objetos de Armas valiosos\r\nContiene 3 Cofres Sintetizados que tienen objetos de Armas fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม อาวุธ ที่มีค่า อยู่ 3 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม อาวุธ ที่แต่ร้าว อยู่ 3 หีบ","包含 3 個含有價值武器的追憶之匣\r\n包含 2 個含有破裂武器的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/WeaponsItemRewardIcon",""
53,"WeaponsEpic4","Contains 1 Synthesised Chest with very valuable Weapon Items\r\nContains 2 Synthesised Chests with valuable Weapon Items","Renferme 1 Coffre synthétisé contenant des Armes de grande valeur\r\nRenferme 2 Coffres synthétisés contenant des Armes de valeur","Enthält 1 synthetisierte Truhe mit sehr wertvollen Waffen\r\nEnthält 2 synthetisierte Truhen mit wertvollen Waffen","非常に高価値な武器アイテムの入ったシンセシスチェストが1個追加される\r\n高価値な武器アイテムの入ったシンセシスチェストが2個追加される","결합물 상자 1개와 매우 귀중한 무기 아이템 포함\r\n결합물 상자 2개와 귀중한 무기 아이템 포함","Contém um Baú Sintetizado com Armas muito valiosas\r\nContém de 4 a 5 Baús Sintetizados com Armas valiosas","Содержит синтезированный сундук с очень ценным оружием\r\nСодержит 2 синтезированных сундука с расколотым оружием","Contiene 1 Cofre Sintetizado que tiene objetos de Armas muy valiosos\r\nContiene 2 Cofres Sintetizados que tienen objetos de Armas fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม อาวุธ ที่มีค่ามากๆ อยู่ 1 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม อาวุธ ที่มีค่า อยู่ 2 หีบ","包含 1 個含有價值連城武器的追憶之匣\r\n包含 2 個含有價值武器的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/WeaponsItemRewardIcon",""
54,"Weapons5","Contains 4 to 5 Synthesised Chests with Weapon Items\r\nContains 2 Synthesised Chests with Fractured Weapon Items","Renferme 4 à 5 Coffres synthétisés contenant des Armes\r\nRenferme 2 Coffres synthétisés contenant des Armes fissurées","Enthält 4 bis 5 synthetisierte Truhen mit Waffen\r\nEnthält 2 synthetisierte Truhen mit brüchigen Waffen","武器アイテムの入ったシンセシスチェストが4-5個追加される\r\nフラクチャー武器アイテムの入ったシンセシスチェストが2個追加される","결합물 상자 4~5개와 무기 아이템 포함\r\n결합물 상자 2개와 분열된 무기 아이템 포함","Contém de 4 a 5 Baús Sintetizados com Armas\r\nContém 2 Baú Sintetizado com Armas Trincadas","Содержит от 4 до 5 синтезированных сундуков с оружием\r\nСодержит 2 синтезированных сундука с расколотым оружием","Contiene de 4 a 5 Cofres Sintetizados que tienen objetos de Armas\r\nContiene 2 Cofres Sintetizados que tienen objetos de Armas fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม อาวุธ อยู่ 4 ถึง 5 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม อาวุธ ที่แต่ร้าว อยู่ 2 หีบ","包含 4 至 5 個含有武器的追憶之匣\r\n包含 2 個含有破裂武器的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/WeaponsItemRewardIcon",""
55,"WeaponsHigh5","Contains 3 to 4 Synthesised Chests with valuable Weapon Items\r\nContains 4 Synthesised Chests with Fractured Weapon Items","Renferme 3 à 4 Coffres synthétisés contenant des Armes de valeur\r\nRenferme 4 Coffres synthétisés contenant des Armes fissurées","Enthält 3 bis 4 synthetisierte Truhe mit wertvollen Waffen\r\nEnthält 4 synthetisierte Truhen mit brüchigen Waffen","高価値な武器アイテムの入ったシンセシスチェストが3-4個追加される\r\nフラクチャー武器アイテムの入ったシンセシスチェストが4個追加される","결합물 상자 3~4개와 귀중한 무기 아이템 포함\r\n결합물 상자 4개와 분열된 무기 아이템 포함","Contém de 3 a 4 Baús Sintetizados com Armas valiosas\r\nContém 4 Baús Sintetizados com Armas Trincadas","Содержит от 3 до 4 синтезированных сундуков с ценным оружием\r\nСодержит 4 синтезированных сундука с расколотым оружием","Contiene de 3 a 4 Cofres Sintetizados que tienen objetos de Armas valiosos\r\nContiene 2 Cofres Sintetizados que tienen objetos de Armas fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม อาวุธ ที่มีค่า อยู่ 3 ถึง 4 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม อาวุธ ที่แต่ร้าว อยู่ 4 หีบ","包含 3 至 4 個含有價值武器的追憶之匣\r\n包含 4 個含有破裂武器的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/WeaponsItemRewardIcon",""
56,"WeaponsEpic5","Contains 1 Synthesised Chest with very valuable Weapon Items\r\nContains 3 Synthesised Chests with valuable Weapon Items","Renferme 1 Coffre synthétisé contenant des Armes de grande valeur\r\nRenferme 3 Coffres synthétisés contenant des Armes de valeur","Enthält 1 synthetisierte Truhe mit sehr wertvollen Waffen\r\nEnthält 3 synthetisierte Truhen mit wertvollen Waffen","非常に高価値な武器アイテムの入ったシンセシスチェストが1個追加される\r\n高価値な武器アイテムの入ったシンセシスチェストが3個追加される","결합물 상자 1개와 매우 귀중한 무기 아이템 포함\r\n결합물 상자 3개와 귀중한 무기 아이템 포함","Contém 1 Baú Sintetizado com Armas muito valiosas\r\nContém 3 Baús Sintetizados com Armas Valiosas","Содержит синтезированный сундук с очень ценным оружием\r\nСодержит 3 синтезированных сундука с расколотым оружием","Contiene 1 Cofre Sintetizado que tiene objetos de Armas muy valiosos\r\nContiene 3 Cofres Sintetizados que tienen objetos de Armas fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม อาวุธ ที่มีค่ามากๆ อยู่ 1 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม อาวุธ ที่มีค่า อยู่ 3 หีบ","包含 1 個含有價值連城武器的追憶之匣\r\n包含 3 個含有價值武器的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/WeaponsItemRewardIcon",""
57,"Perandus","Contains 2 to 3 Synthesised Chests with Perandus Items","Renferme 2 à 3 Coffres synthétisés contenant des Objets de Pérandus","Enthält 2 bis 3 synthetisierte Truhen mit Perandus-Gegenständen","ペランダスアイテムの入ったシンセシスチェストが2-3個追加される","결합물 상자 2~3개와 페란두스 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Itens Perandus","Содержит от 2 до 3 синтезированных сундуков с предметами Перандусов","Contiene de 2 a 3 Cofres Sintetizados que tienen objetos Perandus","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Perandus อยู่ 2 ถึง 3 หีบ","包含 2 至 3 個含有普蘭德斯之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PerandusItemRewardIcon",""
58,"Perandus2","Contains 3 to 4 Synthesised Chests with Perandus Items","Renferme 3 à 4 Coffres synthétisés contenant des Objets de Pérandus","Enthält 3 bis 4 synthetisierte Truhen mit Perandus-Gegenständen","ペランダスアイテムの入ったシンセシスチェストが3-4個追加される","결합물 상자 3~4개와 페란두스 아이템 포함","Contém de 3 a 4 Baús Sintetizados com Itens Perandus","Содержит от 3 до 4 синтезированных сундуков с предметами Перандусов","Contiene de 3 a 4 Cofres Sintetizados que tienen objetos Perandus","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Perandus อยู่ 3 ถึง 4 หีบ","包含 3 至 4 個含有普蘭德斯之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PerandusItemRewardIcon",""
59,"Perandus3","Contains 4 to 5 Synthesised Chests with Perandus Items","Renferme 4 à 5 Coffres synthétisés contenant des Objets de Pérandus","Enthält 4 bis 5 synthetisierte Truhen mit Perandus-Gegenständen","ペランダスアイテムの入ったシンセシスチェストが4-5個追加される","결합물 상자 4~5개와 페란두스 아이템 포함","Contém de 4 a 5 Baús Sintetizados com Itens Perandus","Содержит от 4 до 5 синтезированных сундуков с предметами Перандусов","Contiene de 4 a 5 Cofres Sintetizados que tienen objetos Perandus","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Perandus อยู่ 4 ถึง 5 หีบ","包含 4 至 5 個含有普蘭德斯之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PerandusItemRewardIcon",""
60,"Perandus4","Contains 5 to 6 Synthesised Chests with Perandus Items","Renferme 5 à 6 Coffres synthétisés contenant des Objets de Pérandus","Enthält 5 bis 6 synthetisierte Truhen mit Perandus-Gegenständen","ペランダスアイテムの入ったシンセシスチェストが5-6個追加される","결합물 상자 5~6개와 페란두스 아이템 포함","Contém de 5 a 6 Baús Sintetizados com Itens Perandus","Содержит от 5 до 6 синтезированных сундуков с предметами Перандусов","Contiene de 5 a 6 Cofres Sintetizados que tienen objetos Perandus","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Perandus อยู่ 5 ถึง 6 หีบ","包含 5 至 6 個含有普蘭德斯之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PerandusItemRewardIcon",""
61,"Harbinger","Contains 1 Synthesised Chest with valuable Harbinger Items\r\nContains 1 to 2 Synthesised Chests with Harbinger Items","Renferme 1 Coffre synthétisé contenant des Objets de Précurseurs de valeur\r\nRenferme 1 à 2 Coffres synthétisés contenant des Objets de Précurseurs","Enthält 1 synthetisierte Truhe mit wertvollen Vorboten-Gegenständen\r\nEnthält 1 bis 2 synthetisierte Truhen mit Vorboten-Gegenständen","高価値なハービンジャーアイテムの入ったシンセシスチェストが1個追加される\r\nハービンジャーアイテムの入ったシンセシスチェストが1-2個追加される","결합물 상자 1개와 귀중한 선구자 아이템 포함\r\n결합물 상자 1~2개와 선구자 아이템 포함","Contém 1 Baús Sintetizados com Itens de Emissários Valiosos\r\nContém 1 a 2 Baús Sintetizados com itens Emissários","Содержит синтезированный сундук с ценными предметами Предвестника\r\nСодержит от 1 до 2 синтезированных сундуков с предметами Предвестника","Contiene 1 Cofre Sintetizado que tiene objetos valiosos de Harbinger\r\nContiene de 1 a 2 Cofres Sintetizados que tienen objetos de Harbinger","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Harbinger อยู่ 1 ถึง 2 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม Harbinger ที่มีค่า อยู่ 1 หีบ","包含 1 個含有價值神諭之物的追憶之匣\r\n包含 1 至 2 個含有神諭之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/HarbingerItemRewardIcon",""
62,"Harbinger2","Contains 1 Synthesised Chest with valuable Harbinger Items\r\nContains 2 to 3 Synthesised Chests with Harbinger Items","Renferme 1 Coffre synthétisé contenant des Objets de Précurseurs de valeur\r\nRenferme 2 à 3 Coffres synthétisés contenant des Objets de Précurseurs","Enthält 1 synthetisierte Truhe mit wertvollen Vorboten-Gegenständen\r\nEnthält 2 bis 3 synthetisierte Truhen mit Vorboten-Gegenständen","高価値なハービンジャーアイテムの入ったシンセシスチェストが1個追加される\r\nハービンジャーアイテムの入ったシンセシスチェストが2-3個追加される","결합물 상자 1개와 귀중한 선구자 아이템 포함\r\n결합물 상자 2~3개와 선구자 아이템 포함","Contém 1 Baús Sintetizados com Itens de Emissários Valiosos\r\nContém 2 a 3 Baús Sintetizados com itens Emissários","Содержит синтезированный сундук с ценными предметами Предвестника\r\nСодержит от 2 до 3 синтезированных сундуков с предметами Предвестника","Contiene 1 Cofre Sintetizado que tiene objetos valiosos de Harbinger\r\nContiene de 2 a 3 Cofres Sintetizados que tienen objetos de Harbinger","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Harbinger อยู่ 2 ถึง 3 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม Harbinger ที่มีค่า อยู่ 1 หีบ","包含 1 個含有價值神諭之物的追憶之匣\r\n包含 2 至 3 個含有神諭之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/HarbingerItemRewardIcon",""
63,"Harbinger3","Contains 2 Synthesised Chests with valuable Harbinger Items\r\nContains 2 to 3 Synthesised Chests with Harbinger Items","Renferme 2 Coffres synthétisés contenant des Objets de Précurseurs de valeur\r\nRenferme 2 à 3 Coffres synthétisés contenant des Objets de Précurseurs","Enthält 2 synthetisierte Truhe mit wertvollen Vorboten-Gegenständen\r\nEnthält 2 bis 3 synthetisierte Truhen mit Vorboten-Gegenständen","高価値なハービンジャーアイテムの入ったシンセシスチェストが2個追加される\r\nハービンジャーアイテムの入ったシンセシスチェストが2-3個追加される","결합물 상자 2개와 귀중한 선구자 아이템 포함\r\n결합물 상자 2~3개와 선구자 아이템 포함","Contém 2 Baús Sintetizados com Itens de Emissários Valiosos\r\nContém 2 a 3 Baús Sintetizados com itens Emissários","Содержит 2 синтезированных сундука с ценными предметами Предвестника\r\nСодержит от 2 до 3 синтезированных сундуков с предметами Предвестника","Contiene 2 Cofres Sintetizados que tienen objetos valiosos de Harbinger\r\nContiene de 2 a 3 Cofres Sintetizados que tienen objetos de Harbinger","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Harbinger อยู่ 2 ถึง 3 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม Harbinger ที่มีค่า อยู่ 2 หีบ","包含 2 個含有價值神諭之物的追憶之匣\r\n包含 2 至 3 個含有神諭之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/HarbingerItemRewardIcon",""
64,"Breach","Contains 1 Synthesised Chest with valuable Breach Items\r\nContains 1 to 2 Synthesised Chests with Breach Items","Renferme 1 Coffre synthétisé contenant des Objets de Brèche de valeur\r\nRenferme 1 à 2 Coffres synthétisés contenant des Objets de Brèche","Enthält 1 synthetisierte Truhe mit wertvollen Riss-Gegenständen\r\nEnthält 1 bis 2 synthetisierte Truhen mit Riss-Gegenständen","高価値なブリーチアイテムの入ったシンセシスチェストが1個追加される\r\nブリーチアイテムの入ったシンセシスチェストが1-2個追加される","결합물 상자 1개와 귀중한 균열 아이템 포함\r\n결합물 상자 1~2개와 균열 아이템 포함","Contém 1 Baús Sintetizados com Itens de Fenda valiosos\r\nContém 1 a 2 Baús Sintetizados com itens Fenda","Содержит синтезированный сундук с ценными предметами Разлома\r\nСодержит от 1 до 2 синтезированных сундуков с предметами Разлома","Contiene 1 Cofre Sintetizado que tiene objetos valiosos de Breach\r\nContiene de 1 a 2 Cofres Sintetizados que tienen objetos de Breach","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Breach อยู่ 1 ถึง 2 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม Breach ที่มีค่า อยู่ 1 หีบ","包含 1 個含有價值裂痕之物的追憶之匣\r\n包含 1 至 2 個含有裂痕之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/BreachItemRewardIcon",""
65,"Breach2","Contains 1 Synthesised Chest with valuable Breach Items\r\nContains 2 to 3 Synthesised Chests with Breach Items","Renferme 1 Coffre synthétisé contenant des Objets de Brèche de valeur\r\nRenferme 2 à 3 Coffres synthétisés contenant des Objets de Brèche","Enthält 1 synthetisierte Truhe mit wertvollen Riss-Gegenständen\r\nEnthält 2 bis 3 synthetisierte Truhen mit Riss-Gegenständen","高価値なブリーチアイテムの入ったシンセシスチェストが1個追加される\r\nブリーチアイテムの入ったシンセシスチェストが2-3個追加される","결합물 상자 1개와 귀중한 균열 아이템 포함\r\n결합물 상자 2~3개와 균열 아이템 포함","Contém 1 Baús Sintetizados com Itens de Fenda Valiosos\r\nContém 2 a 3 Baús Sintetizados com itens Fenda ","Содержит синтезированный сундук с ценными предметами Разлома\r\nСодержит от 2 до 3 синтезированных сундуков с предметами Разлома","Contiene 1 Cofre Sintetizado que tiene objetos valiosos de Breach\r\nContiene de 2 a 3 Cofres Sintetizados que tienen objetos de Breach","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Breach อยู่ 2 ถึง 3 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม Breach ที่มีค่า อยู่ 1 หีบ","包含 1 個含有價值裂痕之物的追憶之匣\r\n包含 2 至 3 個含有裂痕之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/BreachItemRewardIcon",""
