"rownum","Id","MinLevel","MaxLevel","Weight","TopologiesKey","MonsterPacksKeys","ArtFile","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","SynthesisAreaSizeKey","AchievementItemsKey"
125,"Pier",31,100,0,2379,"[1554,1555]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Pier","Distant Landing Memory","Souvenir lointain d'une Débarcadère","Entfernte Erinnerung an die Anlegestelle","上陸場の遠い記憶","희미한 접안지 기억","Memória Distante da Aterrisagem","Отдалённое воспоминание: Приземление","Memoria lejana del Desembarco","ความทรงจำที่ห่างไกลของ Landing","記憶：遙遠怒浪港岸",2,""
126,"Plateau",39,100,0,2380,"[1640,1641,1642,1643,1644]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Plateau","Distant Volcanic Plateau Memory","Souvenir lointain d'un Plateau volcanique","Entfernte Erinnerung an das Vulkanische Plateau","火山の高原の遠い記憶","희미한 화산 고원 기억","Memória Distante do Platô Vulcânico","Отдалённое воспоминание: Вулканическое плато","Memoria lejana de la Meseta Volcánica","ความทรงจำที่ห่างไกลของ Volcanic Plateau","記憶：遙遠火山高原",2,""
127,"PoolsAndStreams",21,100,0,2381,"[1649,1650,1651]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PoolsAndStreams","Distant Lush Wetlands Memory","Souvenir lointain de Paluns luxuriants","Entfernte Erinnerung an die Üppige Feuchtlande","生い茂る湿原の遠い記憶","희미한 무성한 습지대 기억","Memória Distante dos Pantanais Exuberantes","Отдалённое воспоминание: Буйные болота","Memoria lejana de los Humedales Frondosos","ความทรงจำที่ห่างไกลของ Lush Wetlands","記憶：遙遠茂盛濕地",2,""
128,"Prison",51,100,0,2382,"[1556,1557]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Prison","Distant Detention Centre Memory","Souvenir lointain d'un Centre de détention","Entfernte Erinnerung an das Gefangenenlager","拘置所の遠い記憶","희미한 중앙 수용소 기억","Memória Distante do Centro de Detenção","Отдалённое воспоминание: Место заключения","Memoria lejana del Centro de Detención","ความทรงจำที่ห่างไกลของ Detention Centre","記憶：遙遠拘留所",2,""
129,"Quarry",38,100,0,2383,[1541],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Quarry","Distant Labour Camp Memory","Souvenir lointain d'un Camp de travail","Entfernte Erinnerung an das Arbeitslager","労働収容所の遠い記憶","희미한 노동자 구역 기억","Memória Distante do Campo de Trabalho","Отдалённое воспоминание: Рабочий лагерь","Memoria lejana del Campo de Trabajo","ความทรงจำที่ห่างไกลของ Labour Camp","記憶：遙遠奴役營",2,""
130,"Reef",52,100,0,2385,[1652],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Reef","Distant Rockpools Memory","Souvenir lointain d'un Lagon","Entfernte Erinnerung an die Felstümpel","潮溜りの遠い記憶","희미한 바위틈 웅덩이 기억","Memória Distante das Piscinas Rochosas","Отдалённое воспоминание: Каменный омут","Memoria lejana de los Estanques","ความทรงจำที่ห่างไกลของ Rockpools","記憶：遙遠岩池",2,""
131,"Ridge",48,100,0,2388,"[1653,1654]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Ridge","Distant Cliffside Path Memory","Souvenir lointain d'un Flanc de falaise","Entfernte Erinnerung an den Klippenpfad","絶壁の道の遠い記憶","희미한 깎아지른 길 기억","Memória Distante da Trilha do Penhasco","Отдалённое воспоминание: Отвесный путь","Memoria lejana del Camino de la Ladera","ความทรงจำที่ห่างไกลของ Cliffside Path","記憶：遙遠懸崖之路",2,""
132,"Rooftop",47,100,0,2389,[1677],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Rooftop","Distant Rooftops Memory","Souvenir lointain de Toits","Entfernte Erinnerung an die Dächer","屋上の遠い記憶","희미한 옥상 기억","Memória Distante dos Telhados","Отдалённое воспоминание: Крыши","Memoria lejana de los Tejados","ความทรงจำที่ห่างไกลของ Rooftops","記憶：遙遠殘破屋頂",2,""
133,"RuinedTemple",17,100,0,2390,[1655],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/RuinedTemple","Distant Reclaimed Temple Memory","Souvenir lointain d'un Temple reconquis","Entfernte Erinnerung an den Überwucherten Tempel","埋め立てられた寺院の遠い記憶","희미한 되찾은 사원 기억","Memória Distante do Templo Reinvidicado","Отдалённое воспоминание: Возвращенный храм","Memoria lejana del Templo Recuperado","ความทรงจำที่ห่างไกลของ Reclaimed Temple","記憶：遙遠教化寺廟",2,""
134,"Sanctuary",45,100,0,2391,"[1558,1559,1560]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Sanctuary","Distant Ritual Memory","Souvenir lointain d'un Lieu de culte","Entfernte Erinnerung an das Ritual","儀式の遠い記憶","희미한 의례소 기억","Memória Distante do Ritual","Отдалённое воспоминание: Ритуал","Memoria lejana del Ritual","ความทรงจำที่ห่างไกลของ Ritual","記憶：遙遠儀式聖所",2,""
135,"Scepter",34,100,0,2394,"[1561,1562,1563]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Scepter","Distant Eternal Residence Memory","Souvenir lointain d'une Résidence éternelle","Entfernte Erinnerung an die Ewige Residenz","永遠の住居の遠い記憶","희미한 영원한 거주지 기억","Memória Distante da Residência Eterna","Отдалённое воспоминание: Вечная резиденция","Memoria lejana de la Residencia Eterna","ความทรงจำที่ห่างไกลของ Eternal Residence","記憶：遙遠永恆居所",2,""
136,"Sewers",51,100,0,2397,"[1564,1565,1566]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Sewers","Distant Effluvia Memory","Souvenir lointain d'Effluves","Entfernte Erinnerung an den Abwasserkanal","悪臭の遠い記憶","희미한 가득한 악취 기억","Memória Distante da Via Fétida","Отдалённое воспоминание: Миазмы","Memoria lejana del Efluvio","ความทรงจำที่ห่างไกลของ Effluvia","記憶：遙遠惡臭地道",2,""
137,"Solaris",29,100,0,2399,"[1567,1568,1569]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Solaris","Distant Pristine Palace Memory","Souvenir lointain d'un Palais immaculé","Entfernte Erinnerung an den Prächtigen Palast","無瑕疵な宮殿の遠い記憶","희미한 온전한 궁전 기억","Memória Distante do Palácio Intocado","Отдалённое воспоминание: Чистый дворец","Memoria lejana del Palacio Prístino","ความทรงจำที่ห่างไกลของ Pristine Palace","記憶：遙遠原始宮殿",2,""
138,"SpiderForest",19,100,0,2402,[1543],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/SpiderForest","Distant Tangle Memory","Souvenir lointain d'un Enchevêtrement","Entfernte Erinnerung an das Gewirr","絡まった遠い記憶","희미한 덩굴 기억","Memória Distante do Emaranhado","Отдалённое воспоминание: Сплетение","Memoria lejana del Embrollo","ความทรงจำที่ห่างไกลของ Tangle","記憶：遙遠毒蛛網巢",2,""
139,"SpiderThicket",19,100,0,2403,"[1659,1660,1661]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/SpiderForest","Distant Infested Temple Memory","Souvenir lointain d'un Temple infesté","Entfernte Erinnerung an den Verseuchten Tempel","蜘蛛の蔓延った寺院の遠い記憶","희미한 감염된 사원 기억","Memória Distante do Templo Infestado","Отдалённое воспоминание: Зараженный храм","Memoria lejana del Templo Infestado","ความทรงจำที่ห่างไกลของ Infested Temple","記憶：遙遠病疫神殿",2,""
140,"Slums",26,100,0,2404,"[1656,1657,1658]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Slums","Distant Shanty Town Memory","Souvenir lointain d'un Faubourg appauvri","Entfernte Erinnerung an die Barackensiedlung","スラム街の遠い記憶","희미한 허름한 마을 기억","Memória Distante da Favela","Отдалённое воспоминание: Трущобы","Memoria lejana del Barrio Bajo","ความทรงจำที่ห่างไกลของ Shanty Town","記憶：遙遠陋棚鎮",2,""
141,"SwampBog",11,100,0,2405,[1570],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/SwampBog","Distant Mud Pit Memory","Souvenir lointain d'une Fosse boueuse","Entfernte Erinnerung an die Schlammgrube","泥溜めの遠い記憶","희미한 진흙 구덩이 기억","Memória Distante do Fosso de Lama","Отдалённое воспоминание: Грязевая яма","Memoria lejana del Foso de Lodo","ความทรงจำที่ห่างไกลของ Mud Pit","記憶：遙遠炙泥坑洞",2,""
142,"Thicket",51,100,0,2406,"[1662,1663,1664]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Thicket","Distant Overgrowth Memory","Souvenir lointain d'une Flore envahissante","Entfernte Erinnerung an die Überwucherung","密林の遠い記憶","희미한 과목림 기억","Memória Distante da Superabundância","Отдалённое воспоминание: Заросли","Memoria lejana de la Vegetación Exuberante","ความทรงจำที่ห่างไกลของ Overgrowth","記憶：遙遠長草遺跡",2,""
143,"Causeway",56,100,0,2321,[1531],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Causeway","Distant River Crossing Memory","Souvenir lointain d'une Traversée fluviale","Entfernte Erinnerung an den Flussübergang","渡河の遠い記憶","희미한 건널목 기억","Memória Distante da Travessia do Rio","Отдалённое воспоминание: Речная переправа","Memoria lejana del Cruce del Río","ความทรงจำที่ห่างไกลของ River Crossing","記憶：遙遠跨河堤道",2,""
144,"Canals",51,100,0,2319,"[1665,1666,1667]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Canals","Distant Waterfront Memory","Souvenir lointain de Chenaux","Entfernte Erinnerung an das Ufer","川岸の遠い記憶","희미한 수변 구역 기억","Memória Distante da Beira-mar","Отдалённое воспоминание: Берег","Memoria lejana del Litoral","ความทรงจำที่ห่างไกลของ Waterfront","記憶：遙遠水濱屍道",2,""
145,"EarlyAcidCave",1,10,0,2300,[1523],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/AcidCave","Distant Limestone Hollow Memory","Souvenir lointain d'un Gouffre calcaire","Entfernte Erinnerung an die Tropfsteinhöhle","石灰石の空洞の遠い記憶","희미한 석회암 동혈 기억","Memória Distante do Oco de Calcário","Отдалённое воспоминание: Известняковая впадина","Memoria lejana de la Hondonada de Piedra Caliza","ความทรงจำที่ห่างไกลของ Limestone Hollow","記憶：遙遠石灰岩洞",2,""
146,"EarlyBeach",1,10,0,2315,[1529],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Beach","Distant Sandbar Memory","Souvenir lointain d'un Banc de sable","Entfernte Erinnerung an die Sandbank","砂州の遠い記憶","희미한 모래톱 기억","Memória Distante das Margens Arenosas","Отдалённое воспоминание: Песчаная отмель","Memoria lejana del Banco de Arena","ความทรงจำที่ห่างไกลของ Sandbar","記憶：遙遠沙壩",2,""
147,"EarlyDungeon",1,10,0,2342,[1536],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Dungeon","Distant Temple Ruins Memory","Souvenir lointain des Ruines d'un temple","Entfernte Erinnerung an die Tempelruinen","寺院の廃墟の遠い記憶","희미한 사원 유적 기억","Memória Distante das Câmaras de Interrogação","Отдалённое воспоминание: Развалины храма","Memoria lejana de las Ruinas del Templo","ความทรงจำที่ห่างไกลของ Temple Ruins","記憶：遙遠神殿遺跡",2,""
148,"EarlyMesa",1,10,0,2367,"[1636,1637]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Mesa","Distant Rocky Mesa Memory","Souvenir lointain d'une Mesa rocheuse","Entfernte Erinnerung an die Felsige Hochebene","岩の大地の遠い記憶","희미한 암석 메사 기억","Memória Distante da Mesa Rochosa","Отдалённое воспоминание: Каменистая долина","Memoria lejana de la Meseta Rocosa","ความทรงจำที่ห่างไกลของ Rocky Mesa","記憶：遙遠堅岩荒漠",2,""
149,"StartBeach_Small",1,2,100,2317,[1529],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Beach","Sandbar Memory","Souvenir d'un Banc de sable","Erinnerung an die Sandbank","砂州の記憶","모래톱 기억","Memória das Margens Arenosas","Воспоминание: Песчаная отмель","Memoria del Banco de Arena","ความทรงจำ Sandbar","記憶：沙壩",0,""
150,"StartGlacier_Small",3,5,100,2256,"[1625,1626,1627,1628]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Glacier","Glacial Cavern Memory","Souvenir d'une Caverne glaciaire","Erinnerung an die Gletscherhöhle","氷河の大洞窟の記憶","빙하의 암굴 기억","Memória da Caverna Glacial","Воспоминание: Ледниковая пещера","Memoria de la Caverna Glacial","ความทรงจำ Glacial Cavern","記憶：冰川洞穴",0,""
151,"StartMesa_Small",3,5,100,2257,"[1636,1637]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Mesa","Rocky Mesa Memory","Souvenir d'une Mesa rocheuse","Erinnerung an die Felsige Hochebene","岩の大地の記憶","암석 메사 기억","Memória da Mesa Rochosa","Воспоминание: Каменистая долина","Memoria de la Meseta Rocosa","ความทรงจำ Rocky Mesa","記憶：堅岩荒漠",0,""
152,"Archives_Small",32,50,100,2307,[1526],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Archives","Repository Memory","Souvenir d'un Recueil","Erinnerung an das Repositorium","知識の宝庫の記憶","기록의 보고 기억","Memória do Repositório","Воспоминание: Хранилище","Memoria del Repositorio","ความทรงจำ Repository","記憶：檔案庫",0,""
153,"Archives_Medium",32,100,100,2306,[1526],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Archives","Repository Memory","Souvenir d'un Recueil","Erinnerung an das Repositorium","知識の宝庫の記憶","기록의 보고 기억","Memória do Repositório","Воспоминание: Хранилище","Memoria del Repositorio","ความทรงจำ Repository","記憶：檔案庫",1,""
154,"Chambers_Small",45,50,100,2332,[1533],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Chambers","Courthouse Memory","Souvenir d'un Tribunal","Erinnerung an das Gericht","裁判所の記憶","법원 기억","Memória da Corte","Воспоминание: Зал суда","Memoria del Tribunal","ความทรงจำ Courthouse","記憶：失序教院",0,""
155,"Chambers_Medium",45,100,100,2331,[1533],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Chambers","Courthouse Memory","Souvenir d'un Tribunal","Erinnerung an das Gericht","裁判所の記憶","법원 기억","Memória da Corte","Воспоминание: Зал суда","Memoria del Tribunal","ความทรงจำ Courthouse","記憶：失序教院",1,""
156,"Cells_Medium",51,100,100,2328,"[1671,1672]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Cells","Holding Cells Memory","Souvenir de Cachots","Erinnerung an die Gefängniszellen","待機房の記憶","구치소 기억","Memória das Celas de Aprisionamento","Воспоминание: Тюремные камеры","Memoria del Centro de Detención","ความทรงจำ Holding Cells","記憶：幽魂監牢",1,""
157,"LushCrater_Medium",48,100,100,2366,[1678],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/LushCrater","Lush Crater Memory","Souvenir d'un Cratère luxuriant","Erinnerung an den Üppigen Krater","生い茂る火口の記憶","우거진 분화구 기억","Memória da Cratera Luxuosa","Воспоминание: Заросший кратер","Memoria del Cráter Frondoso","ความทรงจำ Lush Crater","記憶：失控殞坑",1,""
158,"AshenWood_Medium",16,100,100,2269,[1527],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/AshenWood","Wildfire Memory","Souvenir d'un Feu de forêt","Erinnerung an das Lauffeuer","野火の記憶","들불 기억","Memória do Fogo Selvagem","Воспоминание: Лесной пожар","Memoria de Incendio Descontrolado","ความทรงจำ Wildfire","記憶：野火",1,""
159,"Belly_Medium",40,100,100,2270,[1530],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Belly","Nightmare Memory","Souvenir d'un Cauchemar","Erinnerung an den Albtraum","悪夢の記憶","악몽 기억","Memória do Pesadelo","Воспоминание: Кошмар","Memoria de la Pesadilla","ความทรงจำ Nightmare","記憶：夢靨",1,""
160,"Fields_Medium",60,100,100,2276,"[1673,1674,1675]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Fields","Outskirts Memory","Souvenir d'une Jachère","Erinnerung an den Stadtrand","郊外の記憶","변두리 기억","Memória do Subúrbio","Воспоминание: Окраины","Memoria de las afueras","ความทรงจำ Outskirts","記憶：荒野外郊",1,""
161,"Iceberg_Medium",42,100,100,2281,[1676],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Iceberg","Frozen Drift Memory","Souvenir de Congères gelées","Erinnerung an die Schneeverwehung","凍った吹き溜まりの記憶","얼어붙은 흐름 기억","Memória da Brisa Congelante","Воспоминание: Замёрзшее течение","Memoria de la Deriva Congelada","ความทรงจำ Frozen Drift","記憶：冰凍板塊",1,""
162,"Oasis_Medium",63,100,100,2284,[1542],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Oasis","Paradise Memory","Souvenir d'un Paradis","Erinnerung an das Paradies","楽園の記憶","낙원 기억","Memória do Paraíso","Воспоминание: Рай","Memoria del Paraíso","ความทรงจำ Paradise","記憶：幻影天堂",1,""
163,"Pier_Medium",31,100,100,2286,"[1554,1555]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Pier","Landing Memory","Souvenir d'une Débarcadère","Erinnerung an die Anlegestelle","上陸場の記憶","접안지 기억","Memória da Aterrisagem","Воспоминание: Приземление","Memoria del Desembarco","ความทรงจำ Landing","記憶：怒浪港岸",1,""
164,"Rooftop_Medium",47,100,100,2291,[1677],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Rooftop","Rooftops Memory","Souvenir de Toits","Erinnerung an die Dächer","屋上の記憶","옥상 기억","Memória dos Telhados","Воспоминание: Крыши","Memoria de los Tejados","ความทรงจำ Rooftops","記憶：殘破屋頂",1,""
165,"SpiderForest_Medium",19,100,100,2295,[1543],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/SpiderForest","Tangle Memory","Souvenir d'un Enchevêtrement","Erinnerung an das Gewirr","絡まった記憶","덩굴 기억","Memória do Emaranhado","Воспоминание: Сплетение","Memoria del Embrollo","ความทรงจำ Tangle","記憶：毒蛛網巢",1,""
166,"SwampBog_Medium",11,100,100,2297,[1570],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/SwampBog","Mud Pit Memory","Souvenir d'une Fosse boueuse","Erinnerung an die Schlammgrube","泥溜めの記憶","진흙 구덩이 기억","Memória do Lamaçal","Воспоминание: Грязевая яма","Memoria del Foso de Lodo","ความทรงจำ Mud Pit","記憶：炙泥坑洞",1,""
