"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","TextHardmode (English)","TextHardmode (French)","TextHardmode (German)","TextHardmode (Japanese)","TextHardmode (Korean)","TextHardmode (Portuguese)","TextHardmode (Russian)","TextHardmode (Spanish)","TextHardmode (Thai)","TextHardmode (Traditional Chinese)"
192,"ReminderTextKeystoneEternalYouth","(50% less Life Regeneration Rate. 50% less Maximum total Life Recovery per second from Leech. Energy Shield Recharge instead applies to Life)","(50% de Perte de Vitesse de Régénération de Vie. 50% de Perte de Drain de Vie maximal par seconde. La Recharge de Bouclier d'énergie s'applique désormais à la Vie à la place)","(50% weniger Lebensregenerations-Rate. 50% weniger maximale Gesamtwiederherstellung des Lebens pro Sekunde durch Raub. Energieschild-Wiederaufladungsrate wird stattdessen auf Leben angewendet)","(Eternal Youth: ライフ自然回復速度50%低下。リーチによる秒間最大ライフ回復量50%低下。ライフの代わりにエナジーシールドリチャージがライフに適用されるようになる)","(생명력 재생 속도 50% 감폭. 흡수로 인한 1초당 총 생명력 회복량 최대치 50% 감폭. 에너지 보호막 재충전이 생명력에 대신 적용)","(50% menos Regeneração de Vida. 50% menos Recuperação Total por Segundo do Dreno. Recarga do Escudo de Energia é aplicado à Vida ao invés)","(Скорость регенерации здоровья на 50% ниже. На 50% меньше максимального итогового восстановления здоровья в секунду от похищения. Перезарядка энергетического щита восстанавливает здоровье)","(50% menos de velocidad de regeneración de vida. 50% menos de recuperación de vida total máxima por segundo por absorción. La recarga del escudo de energía se aplica solo a la vida)","(ลดอัตราการ ฟื้นฟูพลังชีวิต อีก 50%, ลดอัตราการ เติมพลังชีวิต สุทธิสูงสุดจากการ ดูด อีก 50%, การ รีชาร์จโล่พลังงาน ส่งผลต่อ พลังชีวิต แทน)","( 50% 更少生命回復率。50%  更少來自偷取的每秒總生命恢復。能量護盾回復套用至生命 )","","","","","","","","","",""
193,"ReminderTextKeystoneWindDancer","(20% less Attack Damage taken if you haven't been Hit by an Attack Recently. 10% more chance to Evade Attacks if you have been Hit by an Attack Recently. 20% more Attack Damage taken if you have been Hit by an Attack Recently)","(20% de Perte de Dégâts d'Attaque subis si vous n'avez pas été Touché par une Attaque Récemment. 10% Davantage de Chance d'Éviter les Attaques si vous avez été Touché par une Attaque Récemment. 20% Davantage de Dégâts d'Attaque subis si vous avez été Touché par une Attaque Récemment)","(20% weniger erlittener Angriffsschaden, wenn Ihr kürzlich nicht durch einen Angriff getroffen wurdet. 10% mehr Chance, Angriffen auszuweichen, wenn Ihr kürzlich durch einen Angriff getroffen wurdet. 20% mehr erlittener Angriffsschaden, wenn Ihr kürzlich durch einen Angriff getroffen wurdet)","(Wind Dancer: 直近アタックによるヒットを受けていない場合、受けるアタックダメージが20％低下する。直近アタックによるヒットを受けた場合は、アタックを回避する確率が10%上昇する。直近アタックによるヒットを受けた場合は、受けるアタックダメージが20%上昇する)","(최근 4초 이내 공격에 피격되지 않은 경우 받는 공격 피해가 20% 감폭됩니다. 최근 4초 이내 공격에 피격된 경우 공격 회피 확률이 10% 증폭됩니다. 최근 4초 이내 공격에 피격된 경우 받는 공격 피해가 20% 증폭됩니다.)","(20% menos Dano sofrido se você não foi Acertado Recentemente. 10% mais chance de Evadir Ataques se você foi Acertado por um Ataque Recentemente. 20% mais Dano de Ataques sofrido se você foi Acertado por um Ataque Recentemente)","(На 20% меньше получаемого урона от атак, если вы недавно не получали удар атакой. На 10% больше шанса уклониться от атак, если вы недавно получали удар атакой. На 20% больше получаемого урона от атак, если вы недавно получали удар атакой)","(20% menos de daño de ataques recibido si no te han golpeado con un ataque recientemente. 10% más de probabilidad de evadir ataques si te han golpeado con un ataque recientemente. 20% más de daño de ataques recibido si te han golpeado con un ataque recientemente)","(ลดความเสียหาย โจมตี ที่ได้รับ อีก 20% หากคุณไม่ถูกปะทะมา เร็วๆนี้, เพิ่มอัตราการหลบหลีกการโจมตี อีก 10% หากคุณถูกปะทะด้วยการโจมตีมาเร็วๆ นี้, ได้รับความเสียหาย โจมตี เพิ่มขึ้น อีก 20% หากคุณถูกปะทะด้วยการโจมตีมาเร็วๆ นี้)","( 若你近期沒有被擊中，承受 20% 更少攻擊傷害。若你近期被攻擊擊中，10% 更多閃避攻擊率。若你近期被攻擊擊中，承受 20% 更多攻擊傷害 )","","","","","","","","","",""
194,"ReminderTextExert","(Vaal Attacks, Channelling Attacks, and Attacks which Repeat cannot be Exerted)","(Les Attaques vaal, canalisées et celles qui sont répétées ne peuvent être Stimulées)","(Vaal-Angriffe, kanalisierte Angriffe und sich wiederholende Angriffe können nicht potenziert werden)","(Exert: ヴァールアタック、チャネリングアタック、繰り返し攻撃は奮起できない)","(바알 공격, 집중 유지 공격, 반복되는 공격은 전력 공격이 불가능합니다.)","(Ataques Vaal, Ataques Canalizados e Ataques que se Repetem não podem ser Impelidos)","(Атаки ваал, поддерживаемые атаки и повторяющиеся атаки не могут быть улучшены)","(Los ataques vaal, los ataques de canalización y los ataques que se repiten no se pueden optimizar)","(การโจมตีด้วยสกิลวาล์, การโจมตีด้วยสกิลแชนเนล, การโจมตีที่เกิดซ้ำ จะไม่สามารถทำไปด้วยความฮึกเหิมได้)","( 瓦爾攻擊、引導施放攻擊和重複的攻擊不能被竭盡 )","","","","","","","","","",""
195,"ReminderTextDebilitate","(Enemies that are Debilitated have 20% less Movement Speed and deal 10% less damage)","(Les Ennemis qui sont Abasourdis ont 20% de Perte de Vitesse de déplacement et 10% de Perte de Dégâts)","(Erschöpfte Gegner haben 20% weniger Bewegungsgeschwindigkeit und verursachen 10% weniger Schaden)","(Debilitate: 弱体化した敵は、移動スピードが20%低下し、与えるダメージが10%低下する)","(\""쇠잔\"" 상태의 적은 이동 속도가 20% 감폭하고 주는 피해가 10% 감폭합니다.)","(Inimigos que estejam Debilitados têm 20% menos Velocidade de Movimento e causam 10% menos dano)","(Изнуренные враги имеют на 20% меньше скорости передвижения и наносят на 10% меньше урона)","(Los enemigos que están agotados tienen un 20% menos de velocidad de movimiento e infligen un 10% menos de daño)","(ศัตรูที่ติดสถานะ อ่อนกำลัง มีความเร็วในการเคลื่อนที่ ลดลง อีก 20% และสร้างความเสียหาย ลดลง อีก 10%)","( 被虛弱的敵人有 20% 更少移動速度和造成 10% 更少傷害 )","","","","","","","","","",""
196,"ReminderTextOverwhelm","(Physical Damage Reduction is lower against Overwhelming Hits, but cannot go negative)","(Lorsqu'elle est Submergée, la Réduction des Dégâts physiques de la cible est réduite, mais elle ne peut jamais devenir négative)","(Physische Schadensminderung fällt gegen Überwältigende Treffer geringer aus, aber kann keinen negativen Wert annehmen)","(Overwhelming: 圧倒するヒットに対しては物理ダメージ軽減効果は低下するが、マイナスにはならない)","(압도하는 공격에 대항할 때는 물리 피해 감소 수치가 낮아지지만, 음수가 되지는 않음)","(Redução de Dano Físico é reduzida contra Acertos Sobrecarregados, mas não pode ser negativada)","(Значение уменьшения получения физического урона меньше против подавляющих ударов, но не может быть меньше нуля)","(La reducción del daño físico es menor contra los golpes que sobrepasan, pero no puede ser negativa)","(ค่าป้องกันกายภาพจะน้อยลงต่อการปะทะที่ ท่วมท้น แต่ไม่สามารถติดลบได้)","( 物理傷害減免對鎮壓之擊來說較低，但不能為負數 )","","","","","","","","","",""
197,"ReminderTextKeystoneTheImpaler","(When your Hits Impale Enemies, also Impale other Enemies near them. Inflict 4 additional Impales on Enemies you Impale. For 4 seconds after you Impale Enemies, they cannot be Impaled again, and Impales cannot be Called from them)","(Lorsque vous Empalez des Ennemis au Toucher, vous Empalez également les autres Ennemis proches. Vous Infligez 4 Empalements supplémentaires aux Ennemis que vous Empalez. Les Ennemis ne peuvent pas être Empalés pendant 4 secondes après que vous les ayez Empalés, et Appel de l'acier ne retire plus leurs Empalements)","(Wenn Eure Treffer Gegner aufspießen, werden auch andere Gegner im Umkreis aufgespießt. Verursacht bei von Euch aufgespießten Gegnern 4 zusätzliche Aufspießungen. Gegner können 4 Sekunden lang nicht aufgespießt werden, nachdem sie von Euch aufgespießt wurden, und Ruf des Stahls kann keine Aufspießungen von ihnen entfernen)","(The Impaler: ヒットにより敵を串刺しにする際、近くにいる敵にも同様の効果を与え、串刺しにした敵をさらに4回串刺しにすることができる。その後4秒間、同じ敵を串刺しにすることはできず、串刺しを呼び寄せることもできない)","(플레이어가 명중시켜 적을 꿰뚫을 경우 근처의 다른 적도 꿰뚫음. 플레이어가 꿰뚫은 적에게 꿰뚫기 4회 추가 부여. 적을 꿰뚫은 후 4초 동안은 해당 적을 꿰뚫을 수 없으며, 해당 적의 꿰뚫기를 부를 수 없음)","(Quando seus Acertos Empalarem Inimigos, também Empale outros Inimigos próximos deles. Inflige 4 Empalamentos adicionais nos inimigos que Empalar. Inimigos não podem ser Empalados por 4 segundos após você os Empalar)","(Когда ваши удары Прокалывают врагов, Прокол также накладывается на других врагов рядом. Накладывает 4 дополнительных Прокола на Проколотых вами врагов. В течение 4 секунд Проколотых вами врагов нельзя Проколоть повторно и нельзя снять с них эффекты Прокола)","(Cuando tus golpes empalan a los enemigos, también empalan a otros enemigos cercanos a ellos. Inflige 4 empalamientos adicionales a los enemigos que empalas. Durante 4 segundos después de que empales a los enemigos, estos no pueden ser empalados de nuevo, y los empalamientos no se pueden extraer de ellos)","(เมื่อการปะทะของคุณสร้างสถานะ ทิ่มแทง ต่อศัตรู คุณจะสร้างสถานะ ทิ่มแทง ต่อศัตรูที่อยู่ใกล้ด้วย, เมื่อคุณสร้างสถานะทิ่มแทงต่อศัตรู คุณจะสร้างสถานะนั้น เพิ่มเติม 4 ระดับ, 4 วินาทีหลังจากที่คุณสร้างสถานะ ทิ่มแทง ต่อศัตรู มันจะไม่ติดสถานะ ทิ่มแทง อีก และไม่สามารถเรียกสถานะนี้ออกมาจากมันได้)","( 當你的擊中穿刺敵人，同時穿刺他們附近的敵人。對被你穿刺的敵人造成 4 次額外穿刺。敵人被你穿刺後 4 秒內不能再被穿刺，且鋼之呼喚無法移除他們身上的穿刺)","","","","","","","","","",""
198,"ReminderTextDefendPercentArmour","(Armour is treated as this percentage of its actual value, only for calculating damage mitigation)","(L'Armure est considérées comme ayant ce pourcentage de sa valeur réelle, mais uniquement pour calculer les réductions de dégâts)","(Rüstung wird als dieser Prozentsatz ihres tatsächlichen Werts berechnet, lediglich zur Berechnung der Schadensminderung)","(ダメージ緩和の計算の際にのみ、実際の値に対してこの割合で扱われる)","(완화되는 피해를 계산하는 경우에 한해 방어도를 원래 수치의 해당 퍼센트로 간주)","(Armadura é considerada como esta porcentagem do seu valor atual, apenas para o cálculo da mitigação de dano)","(Броня считается в данном процентном выражении от её фактического количества, но только для расчетов уменьшения получаемого урона)","(La armadura se considera como este porcentaje de su valor actual, solo para calcular la mitigación del daño)","(ค่าเกราะที่ใช้ในการคำนวณการบรรเทาความเสียหายที่ได้รับจะถูกคำนวณราวกับว่ามีค่าเท่ากับเปอร์เซ็นต์ดังกล่าว)","( 護甲被視為其實際價值的百分比，僅用於計算減傷 )","","","","","","","","","",""
199,"ReminderTextCrushedNoDuration","(Crushed lowers Physical Damage Reduction by 15%)","(Être Écrasé diminue la Réduction des Dégâts physiques de 15%)","(Zermalmt verringert die physische Schadensminderung um 15%)","(Crushed: 破砕は物理ダメージ軽減を15%減少させる)","(타쇄당함이 물리 피해 감소를 15% 낮춤)","(Esmagado abaixa a Redução de Dano Físico em 15%)","(Сокрушенный снижает уменьшение получаемого физического урона на 15%)","(Aplastado disminuye la reducción de daño físico un 15%)","(บดขยี้ ลดค่าป้องกันกายภาพ 15%)","( 壓碎降低 15% 物理傷害減免 )","","","","","","","","","",""
200,"ReminderTextCrushed","(Crushed lowers Physical Damage Reduction by 15% for 4 seconds)","(Être Écrasé diminue la Réduction des Dégâts physiques de 15% pendant 4 secondes)","(Zermalmt verringert die physische Schadensminderung um 15% für 4 Sekunden)","(Crushed: 破砕は物理ダメージ軽減を15%減少させる。持続時間は4秒)","(타쇄당함이 물리 피해 감소를 4초 동안 15% 낮춤)","(Esmagado abaixa a Redução de Dano Físico em 15% por 4 segundos)","(Сокрушенный снижает уменьшение получаемого физического урона на 15% на 4 секунды)","(Aplastado disminuye la reducción de daño físico un 15% durante 4 segundos)","(บดขยี้ ลดค่าป้องกันกายภาพ 15% เป็นเวลา 4 วินาที)","( 壓碎降低 15% 物理傷害減免，持續 4 秒 )","","","","","","","","","",""
201,"ReminderTextInherentRageLoss","(This only affects the inherent loss of Rage when you haven't been Hit or gained Rage Recently)","(N'affecte que la perte de Rage inhérente au fait de ne pas avoir été Touché ou avoir gagné de Rage Récemment)","(Dies betrifft nur den inhärenten Verlust von Rausch, wenn Ihr kürzlich nicht getroffen wurdet oder Rausch erhalten habt)","(この効果は直近にヒット受けていないか憤怒を獲得していない時の憤怒の減少にのみ影響を与える)","(이 효과는 최근 4초 이내 피격되지 않거나 격노를 획득하지 못한 경우 기본적으로 상실하는 격노에만 영향을 미칩니다)","(Isso só afetará a perda de Fúria inerente quando você for Acertado ou ganhar Fúria Recentemente)","(Это влияет только на естественную потерю свирепости, когда вы не получали удар или не набирали свирепость недавно)","(Esto solo afecta a la pérdida natural de Furia, cuando no has sido golpeado ni has ganado Furia recientemente)","(ส่งผลต่อการสูญเสียระดับความคลั่งตามธรรมชาติที่จะสูญเสียหากคุณไม่โดนปะทะหรือได้รับระดับความคลั่งเพิ่มมาเร็วๆนี้เท่านั้น)","( 當你近期沒有被擊中或獲得盛怒時，此只會影響固有失去的盛怒 )","","","","","","","","","",""
202,"ReminderTextColdAilments","(Cold Ailments are Chilled, Frozen and Brittle)","(Les Altérations de froid sont la Frigorification, le Gel et la Fragilisation)","(Kälte-Beeinträchtigungen sind: unterkühlt, eingefroren und zerbrechlich)","(Cold Ailments: 冷気の状態異常には冷却、凍結、脆弱がある)","(냉기 상태 이상에는 냉각, 동결, 허약이 있습니다)","(Afecções de Gelo são Resfriado, Congelado e Enfraquecido)","(Состояния холода - это охлаждение, заморозка и Хрупкость)","(Los estados alterados de hielo son escarchado, congelado y frágil)","(สถานะ เจ็บป่วยน้ำแข็ง ประกอบด้วย หนาวเย็น, แช่แข็ง, เปราะ)","(冰冷異常狀態為冰緩、冰凍和易碎)","","","","","","","","","",""
203,"ReminderTextLightningAilments","(Lightning Ailments are Shocked and Sapped)","(Les Altérations de foudre sont l'Électrocution et l'Amoindrissement)","(Blitz-Beeinträchtigungen sind: geschockt und ausgelaugt)","(Lightning Ailments: 雷の状態異常には感電および消耗がある)","(번개 상태 이상에는 감전, 활력 감소가 있습니다)","(Afecções de Raio são Eletrizado e Exaurido)","(Состояния молнии - это шок и Ошеломление)","(Los estados alterados de rayo son electrocutado y debilitado)","(สถานะ เจ็บป่วยสายฟ้า ประกอบด้วย ช็อคและอ่อนแรง)","(閃電異常狀態為感電和殘喘)","","","","","","","","","",""
204,"ReminderTextKeystoneSecretsOfSuffering","(Cannot Ignite, Chill, Freeze or Shock\nCritical Strikes inflict Scorch, Brittle and Sapped)","(Vous ne pouvez plus Embraser, Frigorifier, Geler ou Électrocuter.\nVos Coups critiques Calcinent, Fragilisent et Amoindrissent)","(Kann nicht entzünden, unterkühlen, einfrieren oder schocken\nKritische Treffer wenden Versengt, Zerbrechlich und Ausgelaugt an)","(Secrets of Suffering: 発火、冷却、凍結および感電を付与することができなくない\nクリティカルストライクは焦げ、脆弱、消耗を付与する)","(점화, 냉각, 동결, 혹은 감전 유발 불가\n치명타가 그을림, 허약, 활력 감소 유발)","(Não pode Incendiar, Resfriar, Congelar ou Eletrizar\nGolpes Críticos infligem Cauterização, Enfraquecimento e Exaurir)","(Не может накладывать поджог, шок и заморозку\nКритические удары накладывают Опаление, хрупкость и ошеломление)","(No puedes quemar, escarchar, congelar ni electrocutar\nLos golpes críticos aplican calcinación, fragilidad y debilitamiento)","(ไม่สามารถสร้างสถานะ ลุกไหม้, หนาวเย็น หรือ ช็อค\nการคริติคอลสร้างสถานะ แผดเผา, เปราะ, อ่อนแรง)","( 不能點燃、冰緩、冰凍或感電\n暴擊造成焦灼、易碎和殘喘 )","","","","","","","","","",""
205,"ReminderTextKeystoneCorruptedSoul","(50% of Non-Chaos Damage taken bypasses Energy Shield\nGain 15% of Maximum Life as Extra Maximum Energy Shield)","(50% des Dégâts subis (hors Dégâts de chaos) ignorent le Bouclier d'énergie.\r\nRajoute 15% de votre Vie maximale sous forme de Bouclier d'énergie maximal)","(50% des erlittenen Schadens (Chaosschaden ausgenommen) umgehen den Energieschild\nErhaltet 15% des maximalen Lebens als extra maximalen Energieschild)","(Corrupted Soul: 受けたダメージのうち混沌ダメージ以外のダメージの50%はエナジーシールドをバイパスする\n最大ライフの15%を追加の最大エナジーシールドとして獲得する)","(비-카오스 피해의 50%가 에너지 보호막을 무시함\n최대 생명력의 15%를 에너지 보호막 최대치로 추가 획득)","(50% do Dano não Caótico sofrido ignora o Escudo de Energia\nGanha 15% da Vida Máxima como Escudo de Energia Extra)","(50% получаемого урона не-хаосом обходит энергетический щит\nДобавляет 15% от максимума здоровья в виде дополнительного максимума энергетического щита)","(El 50% del daño que no es de caos atraviesa el escudo de energía\nGanas el 15% de tu vida máxima como escudo de energía máximo extra)","(ความเสียหาย ที่ไม่ใช่เคออส ที่ได้รับ 50% จะทะลุ โล่พลังงาน\nนำ พลังชีวิตสูงสุด 15% ไปเสริมเป็น โล่พลังงานสูงสุด)","( 50% 承受的非混沌傷害無視能量護盾\n獲得 15% 最大生命的額外最大能量護盾 )","","","","","","","","","",""
206,"ReminderTextKeystoneHollowPalmTechnique","(You count as Dual Wielding while you are Unencumbered\n40% more Attack Speed with Melee Skills while you are Unencumbered\nAdds 14 to 20 Attack Physical Damage to Melee Skills per 10 Dexterity while you are Unencumbered)","(Vous êtes considéré comme maniant deux armes tant que vous n'êtes pas Encombré.\n40% Davantage de Vitesse d'attaque tant que vous n'êtes pas Encombré.\nVos Attaques ont 14 à 20 Dégâts physiques supplémentaires tous les 10 de Dextérité tant que vous n'êtes pas Encombré)","(Ihr zählt als Träger zweier Waffen, während Ihr freie Hand habt\n40% mehr Angriffsgeschwindigkeit mit Nahkampf-Fertigkeiten, während Ihr freie Hand habt\nFügt Nahkampf-Fertigkeiten pro 10 Geschick 14 bis 20 zusätzlichen physischen Angriffsschaden hinzu, während Ihr freie Hand habt)","(Hollow Palm Technique: 徒手空拳状態の時に二刀流とみなされる\n徒手空拳状態の時に近接スキルのアタックスピードが40%上昇する\n徒手空拳状態の時に器用さ10ごとに14から20のアタック物理ダメージを近接スキルに追加する)","(홀가분 상태에서는 쌍수 사용 취급\n홀가분 상태에서 근접 스킬 공격 속도 40% 증폭\n홀가분 상태에서 민첩 10당 근접 스킬에 물리 공격 피해 14~20 추가)","(Você conta como em Empunhadura Dupla enquanto não estiver Sobrecarregado\n40% mais Velocidade de Ataque com Habilidades Corpo a Corpo enquanto não estiver Sobrecarregado)","(Если ваши руки свободны, это считается парным оружием\nНа 40% больше скорости атаки, если ваши руки свободны\nДобавляет от 14 до 20 физического урона от атак за каждые 10 ловкости, если ваши руки свободны)","(Cuando tienes las manos libres cuenta como que tienes doble empuñadura\n40% más de velocidad de ataque con habilidades cuerpo a cuerpo mientras tengas las manos libres\nAgrega de 14 a 20 de daño físico de ataques a las habilidades cuerpo a cuerpo por cada 10 de destreza mientras tengas las manos libres)","(คุณนับว่า ถืออาวุธคู่ ขณะที่มีสถานะ ไร้ภาระ\nเพิ่มความเร็วในการโจมตีด้วย สกิลประชิด อีก 40% ขณะที่มีสถานะ ไร้ภาระ\nเสริมความเสียหาย โจมตี กายภาพ 14 ถึง 20 ให้กับ สกิลประชิด ต่อ Dexterity 10 หน่วย ขณะที่มีสถานะ ไร้ภาระ)","( 你無所拘束時視為雙持武器\n你無所拘束時，使用近戰技能有 40% 更多攻擊速度\n你無所拘束時，每 10 點敏捷使近戰技能附加 14 至 20 攻擊物理傷害 )","","","","","","","","","",""
207,"ReminderTextScorchNonHit","(Scorched Enemies have their Elemental Resistances lowered by 10% for 4 seconds)","(Les Résistances des Ennemis Calcinés sont diminuées de 10% pendant 4 secondes)","(Die Elementarwiderstände von versengten Gegnern werden für 4 Sekunden um 10% verringert)","(Scorch: 焦げ状態の敵は元素耐性が10%低下する。持続時間は4秒)","(\""그을린\"" 적의 원소 저항이 4초 동안 10% 감소)","(Inimigos Causticados têm suas Resistências Elementais reduzidas em 10% por 4 segundos)","(Сопротивления стихиям Опалённых врагов снижаются на 10% в течение 4 секунд)","(Los enemigos calcinados tienen sus resistencias elementales reducidas un 10% durante 4 segundos)","(ศัตรูที่ติดสถานะ แผดเผา มีค่าต้านทาน ธาตุ ลดลง 10% 4 วินาที)","(焦灼的敵人減少 10% 他們的元素抗性 4 秒)","","","","","","","","","",""
208,"ReminderTextBrittleNonHit","(Hits have +2% Critical Strike Chance against Brittle Enemies, for 4 seconds)","(+2% aux Chances de coup critique au Toucher contre les Ennemis Fragilisés, pendant 4 secondes)","(Treffer gegen zerbrechliche Gegner haben für 4 Sekunden +2% zur kritischen Trefferchance)","(Brittle: 脆弱状態の敵に対するヒットのクリティカル率は+2%される。持続時間は4秒)","(\""허약\"" 상태의 적 명중 시 4초 동안 치명타 확률 +2%)","(Acertos têm +2% de Chance de Golpes Críticos contra Inimigos Enfraquecidos, por 4 segundos)","(Удары по Хрупким врагам получают +2% к шансу критического удара в течение 4 секунд)","(Los golpes tienen +2% de probabilidad de golpe crítico contra los enemigos frágiles durante 4 segundos)","(การปะทะศัตรูที่ติดสถานะ เปราะ มีโอกาสคริติคอล +2% 4 วินาที)","(對易碎敵人的擊中 +2% 暴擊率 4 秒)","","","","","","","","","",""
209,"ReminderTextSapNonHit","(Sapped Enemies deal 6% less Damage for 4 seconds)","(Les Ennemis Amoindris ont 6% de Perte de Dégâts pendant 4 secondes)","(Ausgelaugte Gegner verursachen für 4 Sekunden 6% weniger Schaden)","(Sap: 消耗状態の敵が与えるダメージは6%低下する。持続時間は4秒)","(\""활력 감소\"" 상태의 적이 주는 피해가 4초 동안 6% 감폭)","(Inimigos Exauridos causam 6% menos Dano por 4 segundos)","(Ошеломлённые враги в течение 4 секунд наносят на 6% меньше урона)","(Los enemigos debilitados infligen un 6% menos de daño durante 4 segundos)","(ศัตรูที่ติดสถานะ อ่อนแรง สร้างความเสียหายลดลง อีก 6% 4 วินาที)","(殘喘的敵人造成 6% 更少傷害 4 秒)","","","","","","","","","",""
210,"ReminderTextCurseTemporalChains","(Temporal Chains is a Hex which reduces Action Speed by 15%, or 9% on Rare or Unique targets, and makes other effects on the target expire 40% slower. It has 50% less effect on Players and lasts 5 seconds)","(Chaînes temporelles est une Calamité qui réduit de 9% la Vitesse d'action des cibles Rares ou Uniques et de 15% la Vitesse d'action de toutes les autres. Les autres effets affectant les cibles expirent 40% plus lentement. Cette Calamité a 50% de Perte d'effet contre les joueurs et dure 5 secondes)","(Fesseln der Zeit ist eine Verhexung, die die Aktionsgeschwindigkeit um 15% bzw. bei seltenen und einzigartigen Gegnern um 9% verringert und bewirkt, dass die Wirkungen auf dem Ziel 40% langsamer auslaufen. Auf Spieler hat die Verhexung 50% weniger Wirkung und hält 5 Sekunden an)","(テンポラルチェーンは呪術の一種で、対象のアクションスピードを15%減少させる。レアやユニークの敵は9%減少させる。また対象の他のエフェクトの消失を40%遅くする。プレイヤーに対しては効果が50%低下する。持続時間は5秒)","(시간의 사슬은 동작 속도를 15% 감소시키는 사술입니다. 희귀 또는 고유 대상은 9% 감소합니다. 또한, 대상에게 걸린 다른 효과가 40% 느리게 만료되게 합니다. 플레이어에게는 효과가 절반으로 제한되며, 5초 동안 지속됩니다.)","(Grilhões Temporais é um Feitiço que reduz a Velocidade de Ação em 15%, ou 9% em alvos Raros ou Únicos, e faz com que outros efeitos no alvo expirem 40% mais lento. Ele tem 50% menos efeito em Jogadores e dura 5 segundos)","(Путы времени - это порча, которая снижает скорость действий на 15% либо на 9% на редких и уникальных целях, и заставляет другие эффекты на целях исчезать на 40% медленнее. Имеет на 50% меньший эффект на игроках и длится 5 секунд)","(Cadenas temporales es un maleficio que reduce la velocidad de acción un 15%, o un 9% para los objetivos raros o únicos, y hace que los otros efectos que tenga el objetivo expiren un 40% más despacio. Tiene un 50% menos de efecto sobre los jugadores y dura 5 segundos)","(โซ่กาลเวลา เป็น สาปสะกด ที่ลดความเร็วในการกระทำ 15% หรือลดลง 9% สำหรับ เป้าหมายแรร์หรือยูนิค และทำให้ผลของสถานะต่างๆ บนตัวเป้าหมายหมดเวลา ช้าลง 40%, ผลของคำสาปนี้จะลดลง อีก 50% หากใช้กับ ผู้เล่น สาปสะกดนี้คงอยู่ 5 วินาที)","(時空鎖鏈為咒術，減少 15% 行動速度或 9% 對稀有或傳奇目標，並且使目標上的效果比平常慢 40% 失效。對玩家有 50% 更少效果並持續 5 秒)","","","","","","","","","",""
211,"ReminderTextCursePunishment","(Punishment is a Hex which increases Damage taken by 30% while the target is on low life and causes them to be Debilitated for 2 seconds when they Hit. It lasts 8 seconds)","(Punition est une Calamité qui augmente de 30% les Dégâts subis par les cibles dont la Vie est Basse et les Abasourdit pendant 2 secondes lorsqu'elles Touchent. Cette Calamité dure 8 secondes)","(Bestrafung ist eine Verhexung, die den erlittenen Schaden von Zielen mit niedrigem Leben um 30% erhöht und bewirkt, dass diese bei Treffer für 2 Sekunden erschöpft werden. Die Verhexung hält 8 Sekunden an)","(パニッシュメントは呪術の一種で、対象が低ライフ時に受けるダメージを30%増加させ、対象がヒットを行ったときに弱体化のデバフを2秒間与える。持続時間は8秒)","(응징은 대상이 낮은 생명력일 때 받는 피해를 30% 증가시키고, 피격 시 2초 동안 쇠잔 상태로 만드는 저주입니다. 8초 동안 지속됩니다.)","(Castigo é um Feitiço que aumenta o Dano sofrido em 30% enquanto o alvo estiver em vida baixa e faz com que eles sejam Debilitados por 2 segundos quando Acertarem. Ele dura 8 segundos)","(Наказание - это порча, которая увеличивает получаемый урон на 30%, пока цель имеет малое здоровье, и изнуряет её на 2 секунды при нанесении ею удара. Длится 8 секунд)","(Castigo es un maleficio que aumenta el daño recibido un 30% cuando el objetivo tiene la vida baja y hace que esté agotado durante 2 segundos cuando golpea. Dura 8 segundos)","(ลงทัณฑ์ เป็น สาปสะกด ที่เพิ่มความเสียหายที่เป้าหมายได้รับ 30% หากเป้าหมายมี พลังชีวิตเหลือน้อย และหลังจากเป้าหมายทำการปะทะมันจะติดสถานะ อ่อนกำลัง 2 วินาที สาปสะกดนี้คงอยู่ 8 วินาที)","(懲戒為咒術，使貧血的目標增加 30% 承受傷害，且當他們被擊中時被虛弱 2 秒)","","","","","","","","","",""
